a	a˧˥
mốc thếch	mok͡p˦˥ tʰet˦˥
mốc xì	mok͡p˦˥ si˦˨
mối	moj˩˧
mối giường	moj˩˧ jɯəŋ˦˨
mối giềng	moj˩˧ jen˦˨
mối hàng	moj˩˧ haŋ˦˨
mối lái	moj˩˧ laj˩˧
mối mai	moj˩˧ maj˧˥
mối manh	moj˩˧ man˧˥
mối mọt	moj˩˧ mɔk͡p˨ˀ˩ʔ
mối quân	moj˩˧ wɤ̆ŋ˧˥
mối thợ	moj˩˧ tʰɤ˨ˀ˩ʔ
mối tình	moj˩˧ tin˦˨
mối tơ vò	moj˩˧ tɤ˧˥ jɔ˦˨
mống	moŋ͡m˩˧
mống cụt	moŋ͡m˩˧ kuk͡p˨ˀ˩ʔ
mống mắt	moŋ͡m˩˧ măk˦˥
mốt	mok͡p˦˥
mồ	mo˦˨
mồ cha	mo˦˨ ca˧˥
mồ cha chẳng khóc, khóc đống mối	mo˦˨ ca˧˥ căŋ˧˩˨ xɔk͡p˦˥ xɔk͡p˦˥ doŋ͡m˩˧ moj˩˧
mồ côi	mo˦˨ koj˧˥
mồ côi mồ cút	mo˦˨ koj˧˥ mo˦˨ kuk͡p˦˥
mồ hóng	mo˦˨ hɔŋ͡m˩˧
mồ hôi	mo˦˨ hoj˧˥
mồ hôi hột	mo˦˨ hoj˧˥ hok͡p˨ˀ˩ʔ
mồ hôi muối	mo˦˨ hoj˧˥ muəj˩˧
mồ hôi mồ kê	mo˦˨ hoj˧˥ mo˦˨ ke˧˥
mồ hôi nước mắt	mo˦˨ hoj˧˥ nɯək˦˥ măk˦˥
mồ hôi trộm	mo˦˨ hoj˧˥ ʈom˨ˀ˩ʔ
mồ ma	mo˦˨ ma˧˥
mồ mả	mo˦˨ ma˧˩˨
mồ yên mả đẹp	mo˦˨ iɛŋ˧˥ ma˧˩˨ dɛp˨ˀ˩ʔ
mồi	moj˦˨
mồi chài	moj˦˨ caj˦˨
mồm	mom˦˨
mồm cá ngão	mom˦˨ ka˩˧ ŋaw˧˩˨
mồm còn hơi sữa	mom˦˨ kɔŋ͡m˦˨ hɤj˧˥ ʂɯə˧˩˨
mồm loa mép giải	mom˦˨ lwa˧˥ mɛp˦˥ jaj˧˩˨
mồm miệng	mom˦˨ miəŋ˨ˀ˩ʔ
mồm miệng đỡ chân tay	mom˦˨ miəŋ˨ˀ˩ʔ dɤ˧˩˨ cɤ̆ŋ˧˥ tăj˧˥
mồm mép	mom˦˨ mɛp˦˥
mồm mẹ mẻ nói chẳng sứt	mom˦˨ mɛ˨ˀ˩ʔ mɛ˧˩˨ nɔj˩˧ căŋ˧˩˨ ʂɯk˦˥
mồm như quạ cái	mom˦˨ ɲɯ˧˥ wa˨ˀ˩ʔ kaj˩˧
mồm nói như sẹo gỗ	mom˦˨ nɔj˩˧ ɲɯ˧˥ ʂeo˨ˀ˩ʔ ɣo˧˩˨
mồm năm miệng mười	mom˦˨ năm˧˥ miəŋ˨ˀ˩ʔ mɯəj˦˨
mồn một	moŋ͡m˦˨ mok͡p˨ˀ˩ʔ
mồng	moŋ͡m˦˨
mồng ba ăn rốn mồng bốn ngồi trơ	moŋ͡m˦˨ ba˧˥ ăŋ˧˥ ʐoŋ͡m˩˧ moŋ͡m˦˨ boŋ͡m˩˧ ŋoj˦˨ ʈɤ˧˥
mồng gà	moŋ͡m˦˨ ɣa˦˨
mồng năm tháng năm	moŋ͡m˦˨ năm˧˥ tʰaŋ˩˧ năm˧˥
mồng quân	moŋ͡m˦˨ wɤ̆ŋ˧˥
mồng thất	moŋ͡m˦˨ tʰɤ̆k˦˥
mồng tơi	moŋ͡m˦˨ tɤj˧˥
mổ	mo˧˩˨
mổ cò	mo˧˩˨ kɔ˦˨
mổ moi	mo˧˩˨ mɔj˧˥
mổ xác	mo˧˩˨ sak˦˥
mổ xẻ	mo˧˩˨ sɛ˧˩˨
mổng	moŋ͡m˧˩˨
mỗ	mo˧˩˨
mỗi	moj˧˩˨
mỗi cây mỗi hoa, mỗi nhà mỗi cảnh	moj˧˩˨ kɤ̆j˧˥ moj˧˩˨ hwa˧˥ moj˧˩˨ ɲa˦˨ moj˧˩˨ kan˧˩˨
mỗi một	moj˧˩˨ mok͡p˨ˀ˩ʔ
mỗi người mỗi vẻ	moj˧˩˨ ŋɯəj˦˨ moj˧˩˨ jɛ˧˩˨
mỗi người một phách	moj˧˩˨ ŋɯəj˦˨ mok͡p˨ˀ˩ʔ fak˦˥
mỗi người một vẻ	moj˧˩˨ ŋɯəj˦˨ mok͡p˨ˀ˩ʔ jɛ˧˩˨
mỗi nhà mỗi cảnh	moj˧˩˨ ɲa˦˨ moj˧˩˨ kan˧˩˨
mỗi năm mỗi tuổi như đuổi xuân đi	moj˧˩˨ năm˧˥ moj˧˩˨ tuəj˧˩˨ ɲɯ˧˥ duəj˧˩˨ swɤ̆ŋ˧˥ di˧˥
mỗi tuổi mỗi già	moj˧˩˨ tuəj˧˩˨ moj˧˩˨ ja˦˨
mỗi tuổi một già	moj˧˩˨ tuəj˧˩˨ mok͡p˨ˀ˩ʔ ja˦˨
mỗi tội	moj˧˩˨ toj˨ˀ˩ʔ
mộ	mo˨ˀ˩ʔ
mộ bi	mo˨ˀ˩ʔ bi˧˥
mộ binh	mo˨ˀ˩ʔ bin˧˥
mộ chí	mo˨ˀ˩ʔ ci˩˧
mộ danh	mo˨ˀ˩ʔ jan˧˥
mộ giả	mo˨ˀ˩ʔ ja˧˩˨
mộ phu	mo˨ˀ˩ʔ fu˧˥
mộ phần	mo˨ˀ˩ʔ fɤ̆ŋ˦˨
mộ tiếng	mo˨ˀ˩ʔ tiəŋ˩˧
mộ táng	mo˨ˀ˩ʔ taŋ˩˧
mộ xuân	mo˨ˀ˩ʔ swɤ̆ŋ˧˥
mộ đạo	mo˨ˀ˩ʔ daw˨ˀ˩ʔ
mộ địa	mo˨ˀ˩ʔ diə˨ˀ˩ʔ
mộc	mok͡p˨ˀ˩ʔ
mộc bản	mok͡p˨ˀ˩ʔ baŋ˧˩˨
mộc dục	mok͡p˨ˀ˩ʔ juk͡p˨ˀ˩ʔ
mộc già	mok͡p˨ˀ˩ʔ ja˦˨
mộc hương	mok͡p˨ˀ˩ʔ hɯəŋ˧˥
mộc học	mok͡p˨ˀ˩ʔ hɔk͡p˨ˀ˩ʔ
mộc lan	mok͡p˨ˀ˩ʔ laŋ˧˥
mộc mạc	mok͡p˨ˀ˩ʔ mak˨ˀ˩ʔ
mộc nhĩ	mok͡p˨ˀ˩ʔ ɲi˧˩˨
mộc thông	mok͡p˨ˀ˩ʔ tʰoŋ͡m˧˥
mộc thạch	mok͡p˨ˀ˩ʔ tʰak˨ˀ˩ʔ
mộc tinh	mok͡p˨ˀ˩ʔ tin˧˥
mộc tuyền	mok͡p˨ˀ˩ʔ twiəŋ˦˨
mộc tặc	mok͡p˨ˀ˩ʔ tăk˨ˀ˩ʔ
mộc tồn	mok͡p˨ˀ˩ʔ toŋ͡m˦˨
mộc đạc	mok͡p˨ˀ˩ʔ dak˨ˀ˩ʔ
mội	moj˨ˀ˩ʔ
mộng	moŋ͡m˨ˀ˩ʔ
mộng du	moŋ͡m˨ˀ˩ʔ ju˧˥
mộng hàm	moŋ͡m˨ˀ˩ʔ ham˦˨
mộng hùng	moŋ͡m˨ˀ˩ʔ huŋ͡m˦˨
mộng học	moŋ͡m˨ˀ˩ʔ hɔk͡p˨ˀ˩ʔ
mộng hồn	moŋ͡m˨ˀ˩ʔ hoŋ͡m˦˨
mộng mơ	moŋ͡m˨ˀ˩ʔ mɤ˧˥
mộng mẹo	moŋ͡m˨ˀ˩ʔ meo˨ˀ˩ʔ
mộng mị	moŋ͡m˨ˀ˩ʔ mi˨ˀ˩ʔ
mộng răng	moŋ͡m˨ˀ˩ʔ ʐăŋ˧˥
mộng sự	moŋ͡m˨ˀ˩ʔ ʂɯ˨ˀ˩ʔ
mộng thức	moŋ͡m˨ˀ˩ʔ tʰɯk˦˥
mộng tinh	moŋ͡m˨ˀ˩ʔ tin˧˥
mộng triệu	moŋ͡m˨ˀ˩ʔ ʈiəw˨ˀ˩ʔ
mộng tưởng	moŋ͡m˨ˀ˩ʔ tɯəŋ˧˩˨
mộng âm dương	moŋ͡m˨ˀ˩ʔ ɤ̆m˧˥ jɯəŋ˧˥
mộng ước	moŋ͡m˨ˀ˩ʔ ɯək˦˥
mộng ảo	moŋ͡m˨ˀ˩ʔ aw˧˩˨
một	mok͡p˨ˀ˩ʔ
một bước	mok͡p˨ˀ˩ʔ bɯək˦˥
một bề	mok͡p˨ˀ˩ʔ be˦˨
một chiều	mok͡p˨ˀ˩ʔ ciəw˦˨
một chân một tay	mok͡p˨ˀ˩ʔ cɤ̆ŋ˧˥ mok͡p˨ˀ˩ʔ tăj˧˥
một chín một mười	mok͡p˨ˀ˩ʔ cin˩˧ mok͡p˨ˀ˩ʔ mɯəj˦˨
một chút	mok͡p˨ˀ˩ʔ cuk͡p˦˥
một chút gọi là	mok͡p˨ˀ˩ʔ cuk͡p˦˥ ɣɔj˨ˀ˩ʔ la˦˨
một chĩnh hai gáo	mok͡p˨ˀ˩ʔ cin˧˩˨ haj˧˥ ɣaw˩˧
một chạch không đầy đầm	mok͡p˨ˀ˩ʔ cak˨ˀ˩ʔ xoŋ͡m˧˥ dɤ̆j˦˨ dɤ̆m˦˨
một chạp	mok͡p˨ˀ˩ʔ cap˨ˀ˩ʔ
một chặp	mok͡p˨ˀ˩ʔ căp˨ˀ˩ʔ
một chốc	mok͡p˨ˀ˩ʔ cok͡p˦˥
một chốc một lát	mok͡p˨ˀ˩ʔ cok͡p˦˥ mok͡p˨ˀ˩ʔ lak˦˥
một chốn bốn nơi	mok͡p˨ˀ˩ʔ coŋ͡m˩˧ boŋ͡m˩˧ nɤj˧˥
một chốn bốn quê	mok͡p˨ˀ˩ʔ coŋ͡m˩˧ boŋ͡m˩˧ we˧˥
một chốn đôi ba nơi	mok͡p˨ˀ˩ʔ coŋ͡m˩˧ doj˧˥ ba˧˥ nɤj˧˥
một chốn đôi nơi	mok͡p˨ˀ˩ʔ coŋ͡m˩˧ doj˧˥ nɤj˧˥
một chốn đôi quê	mok͡p˨ˀ˩ʔ coŋ͡m˩˧ doj˧˥ we˧˥
một chữ bẻ đôi	mok͡p˨ˀ˩ʔ cɯ˧˩˨ bɛ˧˩˨ doj˧˥
một chữ cắn đôi	mok͡p˨ˀ˩ʔ cɯ˧˩˨ kăŋ˩˧ doj˧˥
một chữ cắn đôi không biết	mok͡p˨ˀ˩ʔ cɯ˧˩˨ kăŋ˩˧ doj˧˥ xoŋ͡m˧˥ biək˦˥
một chữ nên thầy	mok͡p˨ˀ˩ʔ cɯ˧˩˨ nen˧˥ tʰɤ̆j˦˨
một con cá lội mấy người buông câu	mok͡p˨ˀ˩ʔ kɔŋ͡m˧˥ ka˩˧ loj˨ˀ˩ʔ mɤ̆j˩˧ ŋɯəj˦˨ buəŋ˧˥ kɤ̆w˧˥
một con ngựa đau cả tàu không ăn cỏ	mok͡p˨ˀ˩ʔ kɔŋ͡m˧˥ ŋɯə˨ˀ˩ʔ dăw˧˥ ka˧˩˨ tăw˦˨ xoŋ͡m˧˥ ăŋ˧˥ kɔ˧˩˨
một con so lo bằng mười con dạ	mok͡p˨ˀ˩ʔ kɔŋ͡m˧˥ ʂɔ˧˥ lɔ˧˥ băŋ˦˨ mɯəj˦˨ kɔŋ͡m˧˥ ja˨ˀ˩ʔ
một con sâu bỏ rầu nồi canh	mok͡p˨ˀ˩ʔ kɔŋ͡m˧˥ ʂɤ̆w˧˥ bɔ˧˩˨ ʐɤ̆w˦˨ noj˦˨ kan˧˥
một cong hai gáo	mok͡p˨ˀ˩ʔ kɔŋ͡m˧˥ haj˧˥ ɣaw˩˧
một cách	mok͡p˨ˀ˩ʔ kak˦˥
một cái đấm lại một cái đạp	mok͡p˨ˀ˩ʔ kaj˩˧ dɤ̆m˩˧ laj˨ˀ˩ʔ mok͡p˨ˀ˩ʔ kaj˩˧ dap˨ˀ˩ʔ
một câu nhịn là chín câu lành	mok͡p˨ˀ˩ʔ kɤ̆w˧˥ ɲin˨ˀ˩ʔ la˦˨ cin˩˧ kɤ̆w˧˥ lan˦˨
một câu nói ngay làm chay cả tháng	mok͡p˨ˀ˩ʔ kɤ̆w˧˥ nɔj˩˧ ŋăj˧˥ lam˦˨ căj˧˥ ka˧˩˨ tʰaŋ˩˧
một cây chẳng đắp nên non	mok͡p˨ˀ˩ʔ kɤ̆j˧˥ căŋ˧˩˨ dăp˦˥ nen˧˥ nɔŋ͡m˧˥
một cây làm chẳng nên non	mok͡p˨ˀ˩ʔ kɤ̆j˧˥ lam˦˨ căŋ˧˩˨ nen˧˥ nɔŋ͡m˧˥
một còn một mất	mok͡p˨ˀ˩ʔ kɔŋ͡m˦˨ mok͡p˨ˀ˩ʔ mɤ̆k˦˥
một công một của bằng nhau	mok͡p˨ˀ˩ʔ koŋ͡m˧˥ mok͡p˨ˀ˩ʔ kuə˧˩˨ băŋ˦˨ ɲăw˧˥
một công đôi	mok͡p˨ˀ˩ʔ koŋ͡m˧˥ doj˧˥
một công đôi chuyện	mok͡p˨ˀ˩ʔ koŋ͡m˧˥ doj˧˥ cwiəŋ˨ˀ˩ʔ
một công đôi việc	mok͡p˨ˀ˩ʔ koŋ͡m˧˥ doj˧˥ jiək˨ˀ˩ʔ
một cốt một đồng	mok͡p˨ˀ˩ʔ kok͡p˦˥ mok͡p˨ˀ˩ʔ doŋ͡m˦˨
một cổ hai tròng	mok͡p˨ˀ˩ʔ ko˧˩˨ haj˧˥ ʈɔŋ͡m˦˨
một cổ mấy tròng	mok͡p˨ˀ˩ʔ ko˧˩˨ mɤ̆j˩˧ ʈɔŋ͡m˦˨
một cổ đôi tròng	mok͡p˨ˀ˩ʔ ko˧˩˨ doj˧˥ ʈɔŋ͡m˦˨
một cửa	mok͡p˨ˀ˩ʔ kɯə˧˩˨
một dày một mỏng	mok͡p˨ˀ˩ʔ jăj˦˨ mok͡p˨ˀ˩ʔ mɔŋ͡m˧˩˨
một dạ hai lòng	mok͡p˨ˀ˩ʔ ja˨ˀ˩ʔ haj˧˥ lɔŋ͡m˦˨
một dạ một lòng	mok͡p˨ˀ˩ʔ ja˨ˀ˩ʔ mok͡p˨ˀ˩ʔ lɔŋ͡m˦˨
một dạo	mok͡p˨ˀ˩ʔ jaw˨ˀ˩ʔ
một giuộc	mok͡p˨ˀ˩ʔ juək˨ˀ˩ʔ
một già một trẻ bằng nhau	mok͡p˨ˀ˩ʔ ja˦˨ mok͡p˨ˀ˩ʔ ʈɛ˧˩˨ băŋ˦˨ ɲăw˧˥
một giọt máu đào hơn ao nước lã	mok͡p˨ˀ˩ʔ jɔk͡p˨ˀ˩ʔ măw˩˧ daw˦˨ hɤŋ˧˥ aw˧˥ nɯək˦˥ la˧˩˨
một hai	mok͡p˨ˀ˩ʔ haj˧˥
một hình một bóng	mok͡p˨ˀ˩ʔ hin˦˨ mok͡p˨ˀ˩ʔ bɔŋ͡m˩˧
một hơi	mok͡p˨ˀ˩ʔ hɤj˧˥
một hội một thuyền	mok͡p˨ˀ˩ʔ hoj˨ˀ˩ʔ mok͡p˨ˀ˩ʔ tʰwiəŋ˦˨
một khi	mok͡p˨ˀ˩ʔ xi˧˥
một kho vàng chẳng bằng một nang chữ	mok͡p˨ˀ˩ʔ xɔ˧˥ jaŋ˦˨ căŋ˧˩˨ băŋ˦˨ mok͡p˨ˀ˩ʔ naŋ˧˥ cɯ˧˩˨
một kín mười hở	mok͡p˨ˀ˩ʔ kin˩˧ mɯəj˦˨ hɤ˧˩˨
một liều ba bảy cũng liều	mok͡p˨ˀ˩ʔ liəw˦˨ ba˧˥ băj˧˩˨ kuŋ͡m˧˩˨ liəw˦˨
một là một hai là hai	mok͡p˨ˀ˩ʔ la˦˨ mok͡p˨ˀ˩ʔ haj˧˥ la˦˨ haj˧˥
một lá mầm	mok͡p˨ˀ˩ʔ la˩˧ mɤ̆m˦˨
một lát	mok͡p˨ˀ˩ʔ lak˦˥
một lèo	mok͡p˨ˀ˩ʔ leo˦˨
một lòng	mok͡p˨ˀ˩ʔ lɔŋ͡m˦˨
một lòng một dạ	mok͡p˨ˀ˩ʔ lɔŋ͡m˦˨ mok͡p˨ˀ˩ʔ ja˨ˀ˩ʔ
một lô một lốc	mok͡p˨ˀ˩ʔ lo˧˥ mok͡p˨ˀ˩ʔ lok͡p˦˥
một lúc	mok͡p˨ˀ˩ʔ luk͡p˦˥
một lượt	mok͡p˨ˀ˩ʔ lɯək˨ˀ˩ʔ
một lạy sống bằng đống lạy chết	mok͡p˨ˀ˩ʔ lăj˨ˀ˩ʔ ʂoŋ͡m˩˧ băŋ˦˨ doŋ͡m˩˧ lăj˨ˀ˩ʔ cet˦˥
một lầm hai lỡ	mok͡p˨ˀ˩ʔ lɤ̆m˦˨ haj˧˥ lɤ˧˩˨
một lần	mok͡p˨ˀ˩ʔ lɤ̆ŋ˦˨
một lần dại, rái đến già	mok͡p˨ˀ˩ʔ lɤ̆ŋ˦˨ jaj˨ˀ˩ʔ ʐaj˩˧ den˩˧ ja˦˨
một lần ngại tốn, bốn lần chẳng xong	mok͡p˨ˀ˩ʔ lɤ̆ŋ˦˨ ŋaj˨ˀ˩ʔ toŋ͡m˩˧ boŋ͡m˩˧ lɤ̆ŋ˦˨ căŋ˧˩˨ sɔŋ͡m˧˥
một lời	mok͡p˨ˀ˩ʔ lɤj˦˨
một lời nói một đọi máu	mok͡p˨ˀ˩ʔ lɤj˦˨ nɔj˩˧ mok͡p˨ˀ˩ʔ dɔj˨ˀ˩ʔ măw˩˧
một lời nói, một đọi máu	mok͡p˨ˀ˩ʔ lɤj˦˨ nɔj˩˧ mok͡p˨ˀ˩ʔ dɔj˨ˀ˩ʔ măw˩˧
một mai	mok͡p˨ˀ˩ʔ maj˧˥
một miếng giữa làng bằng một sàng xó bếp	mok͡p˨ˀ˩ʔ miəŋ˩˧ jɯə˧˩˨ laŋ˦˨ băŋ˦˨ mok͡p˨ˀ˩ʔ ʂaŋ˦˨ sɔ˩˧ bep˦˥
một miếng khi đói bằng một gói khi no	mok͡p˨ˀ˩ʔ miəŋ˩˧ xi˧˥ dɔj˩˧ băŋ˦˨ mok͡p˨ˀ˩ʔ ɣɔj˩˧ xi˧˥ nɔ˧˥
một miệng kín, chín mười miệng hở	mok͡p˨ˀ˩ʔ miəŋ˨ˀ˩ʔ kin˩˧ cin˩˧ mɯəj˦˨ miəŋ˨ˀ˩ʔ hɤ˧˩˨
một mái chèo xuôi, một mái chèo ngược	mok͡p˨ˀ˩ʔ maj˩˧ ceo˦˨ suəj˧˥ mok͡p˨ˀ˩ʔ maj˩˧ ceo˦˨ ŋɯək˨ˀ˩ʔ
một mình	mok͡p˨ˀ˩ʔ min˦˨
một mình một bóng	mok͡p˨ˀ˩ʔ min˦˨ mok͡p˨ˀ˩ʔ bɔŋ͡m˩˧
một mình vừa chống vừa chèo	mok͡p˨ˀ˩ʔ min˦˨ jɯə˦˨ coŋ͡m˩˧ jɯə˦˨ ceo˦˨
một mười một chín	mok͡p˨ˀ˩ʔ mɯəj˦˨ mok͡p˨ˀ˩ʔ cin˩˧
một mạch	mok͡p˨ˀ˩ʔ mak˨ˀ˩ʔ
một mảy	mok͡p˨ˀ˩ʔ măj˧˩˨
một mất mười ngờ	mok͡p˨ˀ˩ʔ mɤ̆k˦˥ mɯəj˦˨ ŋɤ˦˨
một mất một còn	mok͡p˨ˀ˩ʔ mɤ̆k˦˥ mok͡p˨ˀ˩ʔ kɔŋ͡m˦˨
một mặt	mok͡p˨ˀ˩ʔ măk˨ˀ˩ʔ
một mặt người bằng mười mặt của	mok͡p˨ˀ˩ʔ măk˨ˀ˩ʔ ŋɯəj˦˨ băŋ˦˨ mɯəj˦˨ măk˨ˀ˩ʔ kuə˧˩˨
một mẹ già bằng ba then cửa	mok͡p˨ˀ˩ʔ mɛ˨ˀ˩ʔ ja˦˨ băŋ˦˨ ba˧˥ tʰɛŋ˧˥ kɯə˧˩˨
một mẻ	mok͡p˨ˀ˩ʔ mɛ˧˩˨
một mức	mok͡p˨ˀ˩ʔ mɯk˦˥
một mực	mok͡p˨ˀ˩ʔ mɯk˨ˀ˩ʔ
một ngày hai bữa cơm đèn	mok͡p˨ˀ˩ʔ ŋăj˦˨ haj˧˥ bɯə˧˩˨ kɤm˧˥ dɛŋ˦˨
một ngày kia	mok͡p˨ˀ˩ʔ ŋăj˦˨ kiə˧˥
một ngày mai	mok͡p˨ˀ˩ʔ ŋăj˦˨ maj˧˥
một ngày nên nghĩa	mok͡p˨ˀ˩ʔ ŋăj˦˨ nen˧˥ ŋiə˧˩˨
một người biết lo bằng kho người hay làm	mok͡p˨ˀ˩ʔ ŋɯəj˦˨ biək˦˥ lɔ˧˥ băŋ˦˨ xɔ˧˥ ŋɯəj˦˨ hăj˧˥ lam˦˨
một người cười mười người khóc	mok͡p˨ˀ˩ʔ ŋɯəj˦˨ kɯəj˦˨ mɯəj˦˨ ŋɯəj˦˨ xɔk͡p˦˥
một người làm quan cả họ được nhờ	mok͡p˨ˀ˩ʔ ŋɯəj˦˨ lam˦˨ waŋ˧˥ ka˧˩˨ hɔ˨ˀ˩ʔ dɯək˨ˀ˩ʔ ɲɤ˦˨
một người làm đĩ xấu danh đàn bà	mok͡p˨ˀ˩ʔ ŋɯəj˦˨ lam˦˨ di˧˩˨ sɤ̆w˩˧ jan˧˥ daŋ˦˨ ba˦˨
một người một điều, dỡ lều mà đi	mok͡p˨ˀ˩ʔ ŋɯəj˦˨ mok͡p˨ˀ˩ʔ diəw˦˨ jɤ˧˩˨ lɛu˦˨ ma˦˨ di˧˥
một niềm	mok͡p˨ˀ˩ʔ niəm˦˨
một nách	mok͡p˨ˀ˩ʔ nak˦˥
một năm làm nhà, ba năm hết gạo	mok͡p˨ˀ˩ʔ năm˧˥ lam˦˨ ɲa˦˨ ba˧˥ năm˧˥ het˦˥ ɣaw˨ˀ˩ʔ
một năm một tuổi như đuổi xuân đi	mok͡p˨ˀ˩ʔ năm˧˥ mok͡p˨ˀ˩ʔ tuəj˧˩˨ ɲɯ˧˥ duəj˧˩˨ swɤ̆ŋ˧˥ di˧˥
một nơi	mok͡p˨ˀ˩ʔ nɤj˧˥
một nạm gió bằng một bó chèo	mok͡p˨ˀ˩ʔ nam˨ˀ˩ʔ jɔ˩˧ băŋ˦˨ mok͡p˨ˀ˩ʔ bɔ˩˧ ceo˦˨
một nắng hai sương	mok͡p˨ˀ˩ʔ năŋ˩˧ haj˧˥ ʂɯəŋ˧˥
một phen	mok͡p˨ˀ˩ʔ fɛŋ˧˥
một phép	mok͡p˨ˀ˩ʔ fɛp˦˥
một quan tiền công không bằng một đồng tiền thưởng	mok͡p˨ˀ˩ʔ waŋ˧˥ tiəŋ˦˨ koŋ͡m˧˥ xoŋ͡m˧˥ băŋ˦˨ mok͡p˨ˀ˩ʔ doŋ͡m˦˨ tiəŋ˦˨ tʰɯəŋ˧˩˨
một sương hai nắng	mok͡p˨ˀ˩ʔ ʂɯəŋ˧˥ haj˧˥ năŋ˩˧
một số	mok͡p˨ˀ˩ʔ ʂo˩˧
một sống hai chết	mok͡p˨ˀ˩ʔ ʂoŋ͡m˩˧ haj˧˥ cet˦˥
một sống một chết	mok͡p˨ˀ˩ʔ ʂoŋ͡m˩˧ mok͡p˨ˀ˩ʔ cet˦˥
một sống một còn	mok͡p˨ˀ˩ʔ ʂoŋ͡m˩˧ mok͡p˨ˀ˩ʔ kɔŋ͡m˦˨
một sống một mái	mok͡p˨ˀ˩ʔ ʂoŋ͡m˩˧ mok͡p˨ˀ˩ʔ maj˩˧
một sớm một chiều	mok͡p˨ˀ˩ʔ ʂɤm˩˧ mok͡p˨ˀ˩ʔ ciəw˦˨
một tay	mok͡p˨ˀ˩ʔ tăj˧˥
một tay một chân	mok͡p˨ˀ˩ʔ tăj˧˥ mok͡p˨ˀ˩ʔ cɤ̆ŋ˧˥
một thuyền một bến	mok͡p˨ˀ˩ʔ tʰwiəŋ˦˨ mok͡p˨ˀ˩ʔ ben˩˧
một thuyền một lái	mok͡p˨ˀ˩ʔ tʰwiəŋ˦˨ mok͡p˨ˀ˩ʔ laj˩˧
một thân một mình	mok͡p˨ˀ˩ʔ tʰɤ̆ŋ˧˥ mok͡p˨ˀ˩ʔ min˦˨
một thôi một hồi	mok͡p˨ˀ˩ʔ tʰoj˧˥ mok͡p˨ˀ˩ʔ hoj˦˨
một thôi một thốc	mok͡p˨ˀ˩ʔ tʰoj˧˥ mok͡p˨ˀ˩ʔ tʰok͡p˦˥
một thú	mok͡p˨ˀ˩ʔ tʰu˩˧
một thước cắm dùi không có	mok͡p˨ˀ˩ʔ tʰɯək˦˥ kăm˩˧ juj˦˨ xoŋ͡m˧˥ kɔ˩˧
một thể	mok͡p˨ˀ˩ʔ tʰe˧˩˨
một thời	mok͡p˨ˀ˩ʔ tʰɤj˦˨
một tiền gà ba tiền thóc	mok͡p˨ˀ˩ʔ tiəŋ˦˨ ɣa˦˨ ba˧˥ tiəŋ˦˨ tʰɔk͡p˦˥
một trăm cái giỗ đổ đầu trưởng nam	mok͡p˨ˀ˩ʔ ʈăm˧˥ kaj˩˧ jo˧˩˨ do˧˩˨ dɤ̆w˦˨ ʈɯəŋ˧˩˨ nam˧˥
một trăm người bán một vạn người mua	mok͡p˨ˀ˩ʔ ʈăm˧˥ ŋɯəj˦˨ baŋ˩˧ mok͡p˨ˀ˩ʔ jaŋ˨ˀ˩ʔ ŋɯəj˦˨ muə˧˥
một trận sống mái	mok͡p˨ˀ˩ʔ ʈɤ̆ŋ˨ˀ˩ʔ ʂoŋ͡m˩˧ maj˩˧
một trận thư hùng	mok͡p˨ˀ˩ʔ ʈɤ̆ŋ˨ˀ˩ʔ tʰɯ˧˥ huŋ͡m˦˨
một trời một vực	mok͡p˨ˀ˩ʔ ʈɤj˦˨ mok͡p˨ˀ˩ʔ jɯk˨ˀ˩ʔ
một tí	mok͡p˨ˀ˩ʔ ti˩˧
một tấc không đi một li không dời	mok͡p˨ˀ˩ʔ tɤ̆k˦˥ xoŋ͡m˧˥ di˧˥ mok͡p˨ˀ˩ʔ li˧˥ xoŋ͡m˧˥ jɤj˦˨
một tấc không đi, một li không rời	mok͡p˨ˀ˩ʔ tɤ̆k˦˥ xoŋ͡m˧˥ di˧˥ mok͡p˨ˀ˩ʔ li˧˥ xoŋ͡m˧˥ ʐɤj˦˨
một tấc đến trời	mok͡p˨ˀ˩ʔ tɤ̆k˦˥ den˩˧ ʈɤj˦˨
một tội mất mười tội ngờ	mok͡p˨ˀ˩ʔ toj˨ˀ˩ʔ mɤ̆k˦˥ mɯəj˦˨ toj˨ˀ˩ʔ ŋɤ˦˨
một và	mok͡p˨ˀ˩ʔ ja˦˨
một vài	mok͡p˨ˀ˩ʔ jaj˦˨
một vốn bốn lãi	mok͡p˨ˀ˩ʔ joŋ͡m˩˧ boŋ͡m˩˧ laj˧˩˨
một vốn bốn lời	mok͡p˨ˀ˩ʔ joŋ͡m˩˧ boŋ͡m˩˧ lɤj˦˨
một vừa hai phải	mok͡p˨ˀ˩ʔ jɯə˦˨ haj˧˥ faj˧˩˨
một vực một trời	mok͡p˨ˀ˩ʔ jɯk˨ˀ˩ʔ mok͡p˨ˀ˩ʔ ʈɤj˦˨
một ít	mok͡p˨ˀ˩ʔ it˦˥
một ý một lòng	mok͡p˨ˀ˩ʔ i˩˧ mok͡p˨ˀ˩ʔ lɔŋ͡m˦˨
một điều nói dối sám hối bảy ngày	mok͡p˨ˀ˩ʔ diəw˦˨ nɔj˩˧ joj˩˧ ʂam˩˧ hoj˩˧ băj˧˩˨ ŋăj˦˨
