abadžija	âbad͡ʒija
panteizam	panteǐzam
panteon	pǎnteoːn
pantljika	pǎntʎika
paor	pâor
papa	pâːpa
papagaj	papǎɡaj
papak	pǎːpak
papar	pâpar
paperje	pǎpeːrje
papiga	pǎpiɡa
papila	papǐla
papir	pǎpiːr
papirnat	papǐrnat
papirni	pǎpiːrniː
papirnica	pǎpiːrnit͡sa
papirničar	papǐːrnit͡ʃaːr
papirničarka	papǐːrnit͡ʃaːrka
papirus	pâpirus
paprat	pâpraːt
papren	pâpren
paprika	pǎprika
paprikaš	pâprikaːʃ
par	pâːr
para	pâra
para	pǎra
parabola	parǎbola
paraboličan	parabǒlit͡ʃan
parada	parǎːda
paradajz	parǎdajz
paradigma	paradǐɡma
paradirati	paradǐːrati
paradoksalan	pâradoksaːlaːn
parafraza	parǎfraza
paragraf	parǎɡraf
paragvaj	pâraɡʋaːj
paragvajac	paraɡʋǎːjat͡s
paragvajski	pâraɡʋaːjskiː
paralaksa	paralǎksa
paralelan	paralělan
paralelno	paralělno
paran	pâːran
paranoik	paranǒik
paranoičan	paranǒit͡ʃan
paranoja	paranǒːja
parataksa	parǎtaksa
parazit	parǎziːt
parazitologija	parazitolǒɡija
parazitološki	parazitǒloʃkiː
parazitski	parǎziːtski
parazitski	parǎziːtskiː
parfem	pǎrfeːm
paritet	parǐteːt
pariz	pǎriːz
pariški	pǎriːʃkiː
parižanin	parǐːʒanin
park	pârk
parkiralište	parkǐraliːʃte
parkirati	parkǐːrati
parlament	parlǎment
parlamentaran	pârlamentaːran
parnas	pǎrnas
parobrod	pârobroːd
parodija	pǎroːdija
parola	parǒːla
paronim	parǒnim
paroški	pǎroʃkiː
parta	pâːrta
partecetl	partet͡sětl
particip	partǐt͡siːp
participacija	partit͡sipǎːt͡sija
participirati	partit͡sipǐːrati
partija	pǎrtija
partijski	pǎrtiːjski
partijski	pǎrtiːjskiː
partikula	partǐkula
partitura	partitǔːra
partizan	partǐzaːn
partizanka	partǐzaːnka
partner	pârtner
partnerstvo	pârtnerstʋo
parče	pǎːrt͡ʃe
pas	pâs
pas	pâːs
pasažir	pasǎʒiːr
pashalni	pǎsxaːlniː
pasiv	pǎsiːʋ
pasivan	pâsiːʋan
pasivno	pâsiːʋno
pasjak	pâsjaːk
pasjaluk	pasjǎluk
pasjemenik	pǎsjemeniːk
pasji	pâsji
pasji	pâsjiː
pasmina	pâsmina
pasoš	pâːsoʃ
pasta	pâsta
pasti	pâsti
pasti	pâːsti
pastir	pǎstiːr
pastorak	pâstorak
pastorala	pastorǎːla
pastoralan	pâstoraːlan
pastorka	pâstoːrka
pastorčad	pâstort͡ʃaːd
pastorče	pâstort͡ʃe
pastrmka	pâstrːmka
pastuh	pâstuːx
pastuv	pâstuːʋ
pasulj	pǎsuːʎ
pasus	pâsus
patagonija	patǎɡoːnija
patak	pǎːtak
patent	pǎtent
patetika	patětika
patetičan	patětit͡ʃan
patetično	patětit͡ʃno
patika	pǎtika
patina	pâtina
patiti	pâtiti
patka	pâtka
patkica	pâtkit͡sa
patlidžan	patlǐd͡ʒaːn
patnica	pâtnit͡sa
patnik	pâtniːk
patnja	pǎtɲa
patogen	pâtoɡeːn
patolog	patǒloɡ
patologija	patolǒɡija
patološki	patǒloʃki
patološki	patǒloʃkiː
patos	pâːtos
patos	pǎtos
patricij	pǎtriːt͡siːj
patricijka	pǎtriːt͡siːjka
patricijski	patrǐtsiːjski
patricijski	patrǐtsiːjskiː
patrijarh	patrǐjarx
patrijarhalan	pâtrijarxaːlan
patrijarhalno	pâtrijarxaːlno
patrijarhat	patrijǎrxaːt
patrijaršija	patrijǎrʃija
patrijaršijski	patrijǎrʃiːjskiː
patriot	patrǐot
patriotizam	patriotǐzam
patriotski	patrǐotski
patriotski	patrǐotskiː
patrola	patrǒːla
patron	pǎtroːn
patuljak	patǔːʎak
pauk	pâuːk
paukov	pâuːkoʋ
paun	pâuːn
paunica	paǔnit͡sa
paunov	pâuːnoʋ
paučina	pâut͡ʃina
paučić	pâut͡ʃit͡ɕ
paučji	pâut͡ʃjiː
pavijan	pâʋijaːn
paviljon	paʋǐʎoːn
pazar	pǎzaːr
pazariti	pazǎːriti
pazarište	pǎzariːʃte
pazarni	pǎzaːrniː
pazduh	pâzdux
pazin	pâziːn
pazinština	pazǐːnʃtina
paziti	pâziti
pazuh	pâzuːx
pazuho	pâzuxo
paćenik	pât͡ɕeniːk
pačad	pât͡ʃaːd
pačić	pât͡ʃit͡ɕ
pačji	pât͡ʃjiː
paša	pâʃa
pašanac	paʃǎːnat͡s
pašenog	paʃěnoɡ
pašteta	paʃtěːta
pašče	pǎʃt͡ʃe
pažljiv	pǎʒʎiʋ
pažljivo	pǎʒʎiʋo
pažljivost	pǎʒʎiʋoːst
pažnja	pǎʒɲa
pecati	pêt͡sati
pedagog	pedǎɡoɡ
pedagogija	pedaɡǒɡija
pedagoški	pedǎɡoʃki
pedagoški	pedǎɡoʃkiː
pedagoškinja	pedǎɡoʃkiɲa
pedalin	pedǎliːn
pedalj	pêːdaʎ
pedant	pědant
pedantan	pědantan
pedantno	pědantno
peder	pěːder
pederast	peděrast
pederastija	pederǎstija
pederski	pěːderskiː
pederstvo	pěːderstʋo
pedeset	peděseːt
pedesetak	pedesěːtak
pedesetero	peděseːtero
pedesetgodišnjak	pedesetɡǒdiʃɲaːk
pedesetogodišnjak	pedesetoɡǒdiʃɲaːk
pedesetoro	peděseːtoro
pedijatar	pedǐjaːtar
pedofil	pedǒfiːl
pedofilija	pedofǐlija
pegaz	pêɡaːz
pehlivan	pexlǐʋaːn
pejoracija	pejorǎːt͡sija
pejorativ	pêjoratiːʋ
pejorativan	pêjoratiːʋan
pejzaž	pějzaːʒ
pejzažist	pejzǎʒist
peka	pêka
pekar	pêkaːr
peking	pěkinɡ
pekinški	pěkinʃkiː
pekva	pêkʋa
pelc	pêlt͡s
pelena	pêlena
pelikan	pelǐkaːn
pelivan	pelǐʋaːn
pelud	pělud
pendrek	pěndrek
penetracija	penetrǎːt͡sija
penetrirati	penetrǐːrati
penis	pěːnis
peniti	pêniti
penjati	pěɲati
penjač	pěɲaːt͡ʃ
penjačica	peɲǎt͡ʃit͡sa
penušav	penǔʃaʋ
penzija	pěːnzija
penzijski	pěːnziːjskiː
penzioner	penziǒneːr
penzionerka	penziǒneːrka
penzioni	pênzioːniː
pepeljara	pepěʎara
pepeljast	pêpeʎast
pepeljati	pepěʎati
pepeljav	pêpeʎaʋ
pepeo	pêpeo
pepsin	pěpsiːn
perast	pěrast
peraći	pěraːt͡ɕiː
peraštanin	pěraʃtanin
peraštanka	pěraʃkiɲa
percepcija	pert͡sěpt͡sija
perfekcionizam	perfekt͡sionǐzam
perfekt	pěrfekt
perfektivan	pêrfektiːʋan
perihel	perǐxel
perika	pěrika
perilica	pěrilit͡sa
period	perǐod
periodički	periǒdit͡ʃki
periskop	pěriskop
perjanica	pěrjanit͡sa
perjanik	pěrjaniːk
perje	pêːrje
perla	pêːrla
permanentan	permaněntan
permanentnost	permaněntnoːst
permutacija	permutǎːt͡sija
pernat	pěrnat
pero	pěro
persirati	persǐːrati
personalan	pêrsonaːlan
personifikacija	personifikǎːt͡sija
perspektiva	perspektǐːʋa
perspektivan	pêrspektiːʋan
peru	peru
peruanac	peruǎːnat͡s
peruanski	perǔaːnskiː
perun	pêrun
perut	pêruːt
perverzan	pěrʋerzan
perverzija	perʋěrzija
perverzno	pěrʋerzno
perzija	pěrzija
perzijski	pěrziːjskiː
peršin	pêːrʃin
pesak	pěːsak
peskarija	peskǎrija
pesma	pêsma
pesnica	pěsnit͡sa
pesnik	pêsniːk
pest	pêːst
pet	pêt
pet	pêːt
peta	pěːta
petak	pěːtak
petao	pěːtao
petar	pětar
petarda	pětaːrda
peteljka	pêteːʎka
peterokut	pêterokuːt
petica	pětit͡sa
petica	pěːtit͡sa
petina	pětina
petlja	pêtʎa
petnaestak	petnaěːstak
petorica	petǒrit͡sa
petrograd	pětroɡraːd
pev	pêːʋ
pevac	pěːʋat͡s
pevati	pêʋati
pevač	pěʋaːt͡ʃ
peći	pêt͡ɕi
pećina	pět͡ɕina
pečalba	pět͡ʃaːlba
pečalbar	pět͡ʃalbaːr
pečat	pět͡ʃat
pečen	pět͡ʃen
pečurka	pět͡ʃuːrka
pešadija	peʃǎdija
pešak	pěʃaːk
pešačiti	peʃǎːt͡ʃiti
pešaštvo	peʃǎːʃtʋo
pešice	pêʃit͡seː
peškarija	peʃkǎrija
peškati	pěʃkati
peške	pêʃkeː
peškir	pěʃkiːr
peščanik	peʃt͡ʃǎniːk
peščenjak	peʃt͡ʃěɲaːk
pi	pîː
pica	pîtsa
pica	pǐːtsa
picajzl	pit͡sǎjzl
picajzla	pit͡sǎjzla
pidžama	pid͡ʒǎːma
pigmejski	pǐɡmejskiː
pigment	pǐɡment
pigmentacija	piɡmentǎːt͡sija
pijaca	pǐjat͡sa
pijan	pǐjan
pijanac	pijǎːnat͡s
pijandura	pijǎndura
pijanica	pǐjanit͡sa
pijanino	pijǎniːno
pijanist	pijǎnist
pijanistica	pijǎnistit͡sa
pijanka	pǐjaːnka
pijano	pǐjaːno
pijanstvo	pijǎːnstʋo
pijesak	pijěːsak
pijetao	pjěːtao
pijevac	pijěːʋat͡s
pik	pîk
pikado	pikâːdo
piksel	pǐksel
pila	pǐːla
pilav	pǐlaːʋ
pile	pîle
pilence	pilěːnt͡se
piletina	pǐletina
pileći	pǐlet͡ɕiː
piliti	pǐːliti
pintar	pǐntaːr
pipa	pîpa
piramidalan	pîramidaːlan
pirat	pǐraːt
pirija	pîːrija
piroga	pǐroɡa
piroksen	pirǒkseːn
piroksilin	piroksǐliːn
pisac	pǐːsat͡s
pisak	pîːsak
pisati	pǐːsati
piskati	pîskati
piskavac	pîskaʋat͡s
pisme	pîːsme
pismen	pîsmen
pismeno	pîsmeno
pismenost	pîsmenoːst
pismo	pǐːsmo
pista	pîsta
pistać	pǐstaːt͡ɕ
pistač	pǐstaːt͡ʃ
pitak	pîtak
pitanje	pǐːtaːɲe
pitati	pîtati
pitati	pǐːtati
piti	pîti
pitom	pǐtom
pitomac	pitǒːmat͡s
pitomica	pitǒmit͡sa
pitomost	pǐtomoːst
piton	pǐtoːn
pitoreskan	pitorěskan
piva	pǐːʋa
pivar	pǐʋaːr
pivarski	pǐʋaːrski
pivarski	pǐʋaːrskiː
pivarstvo	piʋǎːrstʋo
pivnica	pǐːʋnit͡sa
pivničar	pǐːʋnit͡ʃaːr
pivničarka	pǐːʋnit͡ʃaːrka
pivo	pîːʋo
pivski	pîːʋskiː
pizda	pǐːzda
pizdek	pizdek
pizdeti	pǐːzdeti
pizditi	pǐːzditi
pizdun	pǐzduːn
pizma	pîzma
piće	pǐːt͡ɕe
pička	pît͡ʃka
pišati	pǐʃati
pišljiv	pǐʃʎiʋ
piščev	pǐːʃt͡ʃeʋ
pjanić	pjâːnitɕ
pjenez	pjêneːz
pjenez	pjěnez
pjeniti	pjêniti
pjenušav	pjenǔʃaʋ
pjesma	pjêsma
pjesna	pjêsna
pjesnik	pjêsniːk
pjeti	pjêti
pjev	pjêːʋ
pjevati	pjêʋati
pjevač	pjěʋaːt͡ʃ
pješadija	pjeʃǎdija
pješak	pjěʃaːk
pješačiti	pjeʃǎːt͡ʃiti
pješaštvo	pjeʃǎːʃtʋo
pješice	pjêʃit͡seː
pješke	pjêʃkeː
pješčanik	pjeʃt͡ʃǎniːk
pješčenjak	pjeʃt͡ʃěɲaːk
placenta	plǎt͡seːnta
pladanj	plǎdaɲ
plah	plâːx
plakanje	plâkaːɲe
plakati	plâkati
plamen	plâmeːn
plamen	plǎmen
plamenac	plaměːnat͡s
plamičak	plamǐːt͡ʃak
plan	plâːn
planer	plǎneːr
planet	plǎneːt
planeta	planěːta
planina	planǐna
planina	plânina
planinar	planǐnaːr
planinski	plǎniːnskiː
planirano	plǎniːraːno
planirati	planǐːrati
plankton	plǎnktoːn
planktonski	plǎnktoːnskiː
planski	plâːnski
planski	plâːnskiː
plantaža	plantǎːʒa
planuti	plǎnuti
plasirati	plasǐːrati
plasman	plǎsmaːn
plast	plâːst
plastelin	plastěliːn
plastenik	plastěniːk
plastika	plǎstika
plastičan	plǎstit͡ʃan
plastično	plǎstit͡ʃno
plastičnost	plǎstit͡ʃnoːst
plata	plǎːta
platac	plǎːtat͡s
platforma	plǎtfoːrma
platfus	plǎtfus
platina	plǎtina
platinski	plâtinskiː
platiti	plǎːtiti
plativ	plǎtiʋ
platiša	plǎtiʃa
platnen	plǎtnen
platni	plâːtniː
platno	plǎːtno
plato	plǎtoː
platon	plǎtoːn
platonski	plǎtoːnski
platonski	plǎtoːnskiː
plauzibilan	plâuzibiːlan
plauzibilnost	plauzibǐːlnoːst
plavetan	plâʋetan
plavetnilo	plaʋětnilo
plavičast	plǎʋit͡ʃast
plavka	plâːʋka
plavojka	plǎʋoːjka
plavokos	plaʋǒkos
plavokrvan	plâʋokrːʋan
plavook	plaʋǒok
plavuša	plǎʋuʃa
plaziti	plâziti
plaća	plǎːt͡ɕa
plaćati	plǎːt͡ɕati
plaćenica	plâːt͡ɕenit͡sa
plaćenik	plâːt͡ɕeniːk
plač	plât͡ʃ
plačan	plât͡ʃan
plačljiv	plǎt͡ʃʎiʋ
plašilo	plâʃilo
plašiti	plâʃiti
plašljiv	plǎʃʎiʋ
plašljivo	plǎʃʎiʋo
plašljivost	plǎʃʎiʋoːst
plašt	plâːʃt
plebejac	pleběːjat͡s
plebejka	plěbeːjka
plebejski	plěbeːjski
plebejski	plěbeːjskiː
pleh	plêx
pleiotropija	pleiotrǒpija
plemenit	pleměnit
plemenit	plêmenit
plemenitaš	plemenǐtaːʃ
plemenitašica	plemenitǎʃit͡sa
plemenitost	pleměnitoːst
plemenitost	plêmenitoːst
plemenski	plêmenski
plemenski	plêmenskiː
plemić	plêmit͡ɕ
plemkinja	plêmkiɲa
plemstvo	plěmstʋo
plen	plêːn
pleonastičan	pleonǎstit͡ʃan
pleonazam	pleonǎzam
pleroma	plerǒːma
ples	plêːs
plesan	plêːsan
plesati	plěːsati
plesač	plěsaːt͡ʃ
plesačica	plesǎt͡ʃit͡sa
plesniv	plěsniʋ
plesniviti	plěsniʋiti
plesnivost	plěsniʋoːst
pleso	plêso
plesti	plêsti
pletenica	pletěnit͡sa
pleća	plět͡ɕa
plećat	plět͡ɕat
pleće	plět͡ɕe
plećka	plêt͡ɕka
pleša	plêʃa
plešiv	plěʃiʋ
plijen	plijêːn
plijesan	plijêːsan
plima	plǐːma
plimni	plîːmniː
plin	plîːn
plinovit	plinǒʋit
plinovod	plînoʋoːd
plitak	plǐːtak
plitica	plîtit͡sa
plitko	plîːtko
plitkost	plǐːtkoːst
plitva	plîtʋa
plivalište	plǐʋaliːʃte
plivanje	plîʋaːɲe
plivati	plîʋati
plivaći	plǐʋaːt͡ɕiː
plivač	plǐʋaːt͡ʃ
plivačica	pliʋǎt͡ʃit͡sa
plivački	plǐʋaːtʃki
plivački	plǐʋaːtʃkiː
pliš	plîʃ
plišani	plǐʃaniː
pljačka	pʎât͡ʃka
pljačkati	pʎât͡ʃkati
pljačkaški	pʎǎt͡ʃkaːʃkiː
pljesak	pʎêːsak
pljeskati	pʎêskati
pljesniv	pʎěsniʋ
pljesniviti	pʎěsniʋiti
pljesnivost	pʎěsniʋoːst
plješa	pʎêʃa
plješiv	pʎěʃiʋ
pljunuti	pʎûnuti
pljuska	pʎûska
pljuvati	pʎûʋati
pljuvač	pʎǔʋaːt͡ʃ
pljuvačica	pʎuʋǎt͡ʃit͡sa
pljuvačka	pʎǔʋat͡ʃka
pljuštati	pʎǔːʃtati
plod	plôːd
plodan	plôdan
plodina	plôdina
ploditi	plǒditi
plodnica	plôdnit͡sa
plodno	plôdno
plodnost	plôdnoːst
plodonosan	plodǒnosan
plodored	plôdoreːd
ploha	plǒxa
plomba	plôːmba
plotun	plǒtuːn
plovan	plôːʋan
plovidba	plǒʋidba
ploviti	plǒʋiti
plovnost	plǒːʋnoːst
plovućac	ploʋǔːt͡ɕat͡s
plovučac	ploʋǔːt͡ʃat͡s
ploča	plôt͡ʃa
pločica	plôt͡ʃit͡sa
pločnik	plôt͡ʃniːk
plug	plûɡ
plural	plǔraːl
pluralistički	pluralǐstit͡ʃki
pluralistički	pluralǐstit͡ʃkiː
pluralizacija	pluralizǎːt͡sija
pluralizam	pluralǐzam
pluralni	plûraːlniː
pluralnost	plurǎːlnoːst
pluskvamperfekt	pluskʋampěrfekt
pluta	plûta
plutati	plǔtati
plutača	plǔtat͡ʃa
pluti	plûti
pluto	plûto
plutokracija	plutokrǎt͡sija
plutokratski	plutǒkratski
plutokratski	plutǒkratskiː
pluton	plǔtoːn
pluća	plǔːt͡ɕa
plućni	plûːt͡ɕniː
plužni	plûʒniː
pneumatologija	pneumatolǒɡija
pneumatski	pneǔmatskiː
po	pô
po	pôː
pobacati	pobǎt͡sati
pobaciti	pobǎːt͡siti
pobadati	pobǎːdati
pobačaj	pôbat͡ʃaːj
pobeda	pôbeda
pobediti	poběːditi
pobediv	pobědiʋ
pobednik	pǒbedniːk
pobeliti	poběːliti
pobeljivati	pobeʎǐːʋati
pobesniti	poběsniti
pobeći	pǒbet͡ɕi
pobeđivati	pobed͡ʑǐːʋati
pobijati	pobǐːjati
pobijediti	pobjěːditi
pobijeliti	pobijěːliti
pobiti	pǒbiti
pobjeda	pôbjeda
pobjediv	pobjědiʋ
pobjednik	pǒbjedniːk
pobjeljivati	pobjeʎǐːʋati
pobjesniti	pobjěsniti
pobjeći	pǒbjet͡ɕi
pobjeđivati	pobjed͡ʑǐːʋati
pobledeti	poblěːdeti
poblediti	pǒblediti
poblijediti	pǒblijediti
poblijedjeti	poblijěːdjeti
pobliže	pôbliʒeː
poboljšanje	poboʎʃǎːɲe
poboljšati	pobǒʎʃati
poboljšavati	poboʎʃǎːʋati
pobornica	pǒboːrnit͡sa
pobornik	pǒboːrniːk
pobosti	pǒbosti
pobočnik	pôbot͡ʃniːk
pobožan	pôboʒan
pobratim	pǒbratim
pobuda	pôbuda
pobuditi	pobǔːditi
pobuna	pôbuna
pobuniti	pobǔːniti
pobunjenica	pobuɲěnit͡sa
pobunjenik	pobuɲěniːk
pobunjivati	pobuɲǐːʋati
pobuđivati	pobud͡ʑǐːʋati
pod	pôd
podanica	pǒdanit͡sa
podanik	pǒdaniːk
podao	pôdao
podatak	podǎːtak
podbadati	podbǎːdati
podbel	pǒdbel
podbeo	pǒdbeo
podbijel	pǒdbijel
podbio	pǒdbio
podbjel	pǒdbjel
podbosti	pǒdbosti
podcijeniti	podt͡sijěːniti
podcrtati	pǒdt͡srtati
podcrtavati	podt͡srtǎːʋati
podela	pôdela
podeliti	poděːliti
poderati	poděrati
podesan	pôdesan
podesiti	pǒdesiti
podest	pǒdest
podešavati	podeʃǎːʋati
podglavlje	pǒdɡlaːʋʎe
podgorica	pǒdɡorit͡sa
podgraditi	podɡrǎːditi
podgrađivati	podɡrad͡ʑǐːʋati
podgrejati	pǒdɡrejati
podgrejavati	podɡrejǎːʋati
podgrijati	pǒdɡrijati
podgrijavati	podɡrijǎːʋati
podgristi	pǒdɡristi
podgrizati	podɡrǐːzati
podignuti	pǒdiɡnuti
podijeliti	podjěːliti
podilaziti	podǐlaziti
podizati	pǒdizati
podići	pǒditɕi
podići	pǒdiːtɕi
podičiti	pǒdit͡ʃiti
podjarmiti	podjǎːrmiti
podjarmljivati	podjarmʎǐːʋati
podjela	pôdjela
podlac	pǒdlat͡s
podmazati	pǒdmazati
podmazivati	podmazǐːʋati
podmititi	podmǐːtiti
podmitljiv	podmǐtʎiʋ
podmitljivost	podmǐtʎiʋoːst
podmićivati	podmit͡ɕǐːʋati
podmorje	pǒdmoːrje
podmornica	pǒdmoːrnit͡sa
podmorničar	pǒːdmornit͡ʃaːr
podmornički	pǒdmoːrnit͡ʃkiː
podmorski	pǒdmorskiː
podmukao	pǒdmuːkao
podmuklo	pǒdmuːklo
podmuklost	pǒdmuːkloːst
podnaslov	podnǎːsloʋ
podne	pǒːdneː
podneblje	pǒːdneːbʎe
podneti	pǒdneːti
podnevni	pǒːdneːʋniː
podnevnik	pǒːdneːʋniːk
podnijeti	pǒdnjeːti
podnosilac	podnǒsilat͡s
podnositelj	podnǒsiteʎ
podnositi	podnǒsiti
podnožje	pǒdnoːʒje
podoban	pôdoban
podoficir	pôdofit͡siːr
podoknica	pǒdoknit͡sa
podrazumevati	podrazuměːʋati
podrazumijevati	podrazumjěːʋati
podrediti	podrêːditi
podrezati	pǒdrezati
podrezivati	podrezǐːʋati
podrigivati	podriɡǐːʋati
podrignuti	pǒdriɡnuti
podrijetlo	podrijěːtlo
podroban	pôdroban
podrobno	pôdrobno
podrugivati	podruɡǐːʋati
podrugnuti	pǒdruɡnuti
podrum	pǒdrum
područje	pǒdruːt͡ʃje
podrška	pǒdrʃka
podržati	podřʒati
podržavati	podrʒǎːʋati
podsetiti	pǒdsetiti
podsetnik	pǒdsetniːk
podsećati	pǒdset͡ɕati
podsjetiti	pǒdsjetiti
podsjetnik	pǒdsjetniːk
podsjećati	pǒdsjet͡ɕati
podsmeh	pôdsmeːx
podsmijeh	pôdsmijeːx
podstaknuti	podstǎknuti
podstanar	pôdstanaːr
podstanarka	pôdstanaːrka
podstanarski	pôdstanaːrski
podstanarski	pôdstanaːrskiː
podstava	pôdstaʋa
podstaviti	pǒdstaʋiti
podstaći	pǒdstat͡ɕi
podsticati	pǒdstit͡sati
podstrek	pôdstreːk
podstrekač	podstrěkaːt͡ʃ
podstrizati	podstrǐːzati
podstrići	pǒdstrit͡ɕi
podsuknja	pǒdsukɲa
podsvest	pôdsʋeːst
podsvestan	pôdsʋestan
podsvijest	pôdsʋijeːst
podsvjestan	pôdsʋjestan
podudaran	pôdudaːran
podudarati	podǔdarati
podudariti	podǔdariti
podudarnost	podudǎːrnoːst
podugačak	pôduɡat͡ʃak
poduhvat	pôduxʋat
poduka	pôduka
poduzeti	podǔzeːti
poduzetnik	pôduzeːtniːk
poduzeće	poduzet͡ɕe
poduzimati	podǔzimati
podučavati	podut͡ʃǎːʋati
podučiti	podǔt͡ʃiti
podvala	pôdʋala
podvaliti	podʋǎːliti
podvaljivati	podʋaʎǐːʋati
podvesti	pǒdʋesti
podvig	pôdʋiːɡ
podvoditi	podʋǒditi
podvostručiti	podʋǒstrut͡ʃiti
podzemlje	pǒːdzeːmʎe
podčiniti	podt͡ʃǐniti
podčinjavati	podt͡ʃiɲǎːʋati
podšprajcati	pǒdʃprajt͡sati
poetika	poětika
poezija	pǒeːzija
pogasiti	poɡǎːsiti
pogača	pǒɡat͡ʃa
pogađati	poɡǎːd͡ʑati
pogađač	poɡǎd͡ʑaːt͡ʃ
pogibati	poɡǐːbati
poginuti	pǒɡinuti
poglavar	poɡlǎʋaːr
poglavito	pǒɡlaʋito
poglavlje	pǒɡlaːʋʎe
pogled	pôɡleːd
pogledati	pǒɡledati
pogledavati	poɡledǎːʋati
pogodak	pǒɡodak
pogodan	pôɡodan
pogoditi	poɡǒditi
pogodnost	poɡǒːdnoːst
pogotovo	poɡǒtoʋo
pogovor	pôɡoʋoːr
pogrbiti	pǒɡrbiti
pogrbljivati	poɡrbʎǐːʋati
pogreb	pǒɡreb
pogrešan	pǒɡreʃan
pogrešiti	poɡrěːʃiti
pogreška	pǒɡreʃka
pogrešno	pǒɡreʃno
pogriješiti	poɡrjěːʃiti
pogrješka	pǒɡrjeʃka
poguban	pôɡuːban
pohabati	pǒxabati
pohlepa	pôxlepa
pohlepan	pôxleːpan
pohlepno	pôxleːpno
pohlepnost	pôxleːpnoːst
pohod	pǒxod
pohota	pôxota
pohotan	pôxotan
pohotljivac	poxǒtʎiʋat͡s
pohotnik	pôxotniːk
pohotno	pôxotno
pohvala	pôxʋala
pohvaliti	poxʋǎːliti
pohvaljivati	poxʋaʎǐːʋati
poimati	pǒimati
pojahati	pǒjaxati
pojam	pǒːjam
pojas	pôjaːs
pojasniti	pojǎsniti
pojati	pojati
pojava	pôjaʋa
pojaviti	pojǎːʋiti
pojavljivati	pojaʋʎǐːʋati
pojačati	pojǎt͡ʃati
pojačavati	pojat͡ʃǎːʋati
pojedinac	pojedǐːnat͡s
pojedinačan	pojedǐnat͡ʃan
pojedinačno	pojedǐnat͡ʃno
pojedini	pojědiːniː
pojednostaviti	pojednostǎːʋiti
pojednostavniti	pojednostǎːʋniti
pojednostavnjivati	pojednostaʋɲǐːʋati
pojesti	pǒjesti
pojmiti	pǒːjmiti
pojmljiv	pǒjmʎiʋ
pojuriti	pojǔːriti
pokajnik	pǒkaːjniːk
pokal	pǒkaːl
pokazatelj	pokǎzateʎ
pokazati	pokǎːzati
pokazivati	pokazǐːʋati
poker	pǒker
pokidati	pǒkidati
pokisnuti	pǒkisnuti
pokladnica	pǒkladnit͡sa
poklanjati	pǒklaɲati
poklon	pǒklon
pokloniti	poklǒniti
poklonstvo	pǒkloːnstʋo
pokoji	pǒkojiː
pokolj	pǒkoʎ
pokopati	pokǒpati
pokoran	pôkoːran
pokoravati	pokorǎːʋati
pokoriti	pokǒriti
pokorno	pôkoːrno
pokornost	pokǒːrnoːst
pokraj	pôkraj
pokrajina	pǒkrajina
pokrajinski	pǒkrajiːnskiː
pokrasti	pǒkrasti
pokrenuti	pokrěːnuti
pokret	pôkreːt
pokretan	pôkreːtan
pokretati	pǒkretati
pokretač	pokrětat͡ʃ
pokriti	pǒkriti
pokrivati	pokrǐːʋati
pokrstiti	pokřstiti
pokrštavati	pokrʃtǎːʋati
pokunjiti	pokǔːɲiti
pokupiti	pokûpiti
pokus	pǒkus
pokućstvo	pǒkut͡ɕstʋo
pokušaj	pôkuʃaːj
pokušati	pǒkuʃati
pokušavati	pokuʃǎːʋati
pokvaren	pǒkʋaːren
pokvarenjak	pokʋarěɲaːk
pokvarenjački	pokʋarěɲaːtʃki
pokvarenjački	pokʋarěɲaːtʃkiː
pokvarenost	pǒkʋaːrenoːst
pokvariti	pokʋǎːriti
pokvarljivi	pokʋǎrʎiʋ
pokvasiti	pǒkʋasiti
pol	pôːl
pola	pôla
pola	pǒːla
polagan	polǎɡaːn
polagano	polǎɡaːno
polagati	polǎːɡati
polako	polǎːko
polaskati	pǒlaskati
polazak	pǒlazak
polaziti	pǒlaziti
polen	pǒlen
polet	pǒlet
poletati	polěːtati
poleteti	polěteti
poletjeti	polětjeti
poliandrija	poliǎndrija
policajac	polit͡sǎːjat͡s
policija	polǐt͡sija
policijski	polǐt͡siːjski
policijski	polǐt͡siːjskiː
polifenija	polifěnija
polijetati	poljěːtati
poliklinika	poliklǐnika
poliklinički	poliklǐnitʃki
poliklinički	poliklǐnitʃkiː
polinezijski	polǐneːziːjskiː
polisemija	polisěmija
politeizam	politeǐzam
politika	polǐtika
političar	polǐtit͡ʃaːr
politički	polǐtit͡ʃkiː
politologija	politolǒɡija
polizati	polǐːzati
poljak	pǒʎaːk
poljakinja	poʎǎkiɲa
polje	pôʎe
poljodelstvo	poʎoděːlstʋo
poljodjelstvo	poʎodjěːlstʋo
poljska	pôʎskaː
poljski	pôʎski
poljski	pôʎskiː
poljski	pǒʎskiː
poljubiti	poʎǔːbiti
polomiti	polǒmiti
polovica	polǒʋit͡sa
polovina	polǒʋina
položaj	pôloʒaːj
položiti	polǒʒiti
polubrat	polǔbrat
poludeti	polǔːdeti
poludjeti	polǔːdjeti
poluga	pǒluɡa
polugodišnji	poluɡǒdiʃɲiː
polugodište	poluɡǒdiːʃte
polumesec	pôlumeseːt͡s
polumesečni	pôlumeset͡ʃniː
polumesečno	pôlumeset͡ʃno
polumjesec	pôlumjeseːt͡s
polumjesečni	pôlumjeset͡ʃniː
polumjesečno	pôlumjeset͡ʃno
