abbadísin	apatiːsɪn
pundum	pʰʏntʏm
pundunum	pʰʏntɔnʏm
punduðu	pʰʏnt
pung	pʰuŋk
punkt	pʰuŋ̊t
punkta	pʰuŋ̊ta
punktainneign	pʰuŋ̥taɪnɛjkn̥
punktakeppni	pʰuŋ̥tacʰɛhpnɪ
punktana	pʰuŋ̊tana
punktar	pʰuŋ̊tar
punktaði	pʰuŋ̊taðɪ
punkti	pʰuŋ̊tɪ
punktinn	pʰuŋ̥tɪn
punktinum	pʰuŋ̊tɪnʏm
punktum	pʰuŋ̊tʏm
punktur	pʰuŋ̊tʏr
punkturinn	pʰuŋ̊tʏrɪn
punktuðu	pʰuŋ̊tʏðʏ
punt	pʰʏn̥t
punta	pʰʏn̥ta
puntlíkri	pʰʏn̥tlikrɪ
puntstrá	pʰʏn̥tstrau
puntstráin	pʰʏn̥tstrauɪn
puntudúkkan	pʰʏn̥tʏtuhkan
purpurarauð	pʰʏr̥pʏrarœið
purpurarauðri	pʰʏr̥pʏrarœiðrɪ
purpurarauðum	pʰʏr̥pʏrarœiðʏm
putaland	pʰʏːtalant
putalandi	pʰʏːtalantɪ
putta	pʰʏhta
puttana	pʰʏhtana
puttann	pʰʏhtan
puttar	pʰʏhtar
puttunum	pʰʏhtɔnʏm
puð	pʰʏːð
puða	pʰʏːða
puðað	pʰʏːðað
pyangyong	pʰɪauŋkɪɔŋk
pylsa	pʰɪlsa
pylsupartýinu	pʰɪlsʏpʰar̥tiɪnʏ
pyntingum	pʰɪn̥tiŋkʏm
pyttur	pʰɪhtʏr
páfa	pʰauːva
páfagauk	pʰauːvakœiːk
páfagaukum	pʰauːvakœiːkʏm
páfagaukur	pʰauːvakœiːkʏr
páfann	pʰauːvan
páfans	pʰauːvans
páfanum	pʰauːvanʏm
páfi	pʰauːvɪ
páfinn	pʰauːvɪn
pál	pʰauːl
pála	pʰauːla
páli	pʰauːlɪ
páll	pʰautl
pálma	pʰaulma
pálmadóttir	pʰaulmatouhtɪr
pálmadóttur	pʰaulmatouhtʏr
pálmann	pʰaulman
pálmar	pʰaulmar
pálmason	pʰaulmasɔːn
pálmasonar	pʰaulmasɔːnar
pálmasunnudag	pʰaulmasʏnʏtaɣ
pálmatré	pʰaulmatrjɛː
pálmi	pʰaulmɪ
pálrún	pʰaulrun
páls	pʰauls
pálsdóttir	pʰaulstouhtɪr
pálsdóttur	pʰaulstouhtʏr
pálsson	pʰaulsɔn
pálssonar	pʰaulsɔnar
pálssyni	pʰaulsɪnɪ
pálína	pʰauːlina
pálínu	pʰauːlinʏ
páska	pʰauska
páskadag	pʰauskataːɣ
páskadagur	pʰauskataːɣʏr
páskaegg	pʰauskaɛk
páskaeggið	pʰauskaɛcɪð
páskana	pʰauskana
páskar	pʰauskar
páskastundinni	pʰauskastʏntɪnɪ
páskavaka	pʰauskavaːka
páskum	pʰauskʏm
páskunum	pʰauskɔnʏm
pásu	pʰauːsʏ
pæjur	pʰaiːjʏr
pæla	pʰaiːla
pældi	pʰailtɪ
pæli	pʰaiːlɪ
pæling	pʰaiːlɪɲk
pælingar	pʰaiːlɪɲkar
pælir	pʰaiːlɪr
pælt	pʰail̥t
pétri	pʰjɛːtrɪ
pétur	pʰjɛːtʏr
péturs	pʰjɛːtʏr̥s
pétursborg	pʰjɛːtʏr̥spɔrk
pétursborgar	pʰjɛːtʏrspɔrkar
pétursdóttir	pʰjɛːtʏr̥stouhtɪr
pétursdóttur	pʰjɛːtʏr̥stouhtʏr
pétursson	pʰjɛːtʏr̥sɔːn
péturssonar	pʰjɛːtʏr̥sɔːnar
péturssyni	pʰjɛːtʏr̥sɪːnɪ
píanisti	pʰiːjanɪstɪ
píanistinn	pʰiːjanɪstɪn
píanó	pʰiːjanou
píanói	pʰiːanouɪ
píanóinu	pʰiːjanouɪnʏ
píanóið	pʰiːanouɪð
píanókonsert	pʰiːjanoukɔnsɛr̥t
píanóleik	pʰiːjanouleiːk
píanóleikara	pʰiːjanouleiːkara
píanóleikari	pʰiːjanouleiːkarɪ
píanóleikarinn	pʰiːjanouleiːkarɪn
píanóundirleik	pʰiːanouʏntɪrleik
pífulaki	pʰiːvʏlaːcɪ
pílagríma	pʰiːlakriːma
pílagrímar	pʰiːlakriːmar
pílagrímarnir	pʰiːlakriːmatnɪr
pílagrímsferð	pʰiːlakrimsfɛrð
pílukast	pʰiːlʏkast
pína	pʰiːna
píndi	pʰintɪ
pínt	pʰin̥t
pínu	pʰiːnʏ
pínulitla	pʰiːnʏlɪhtla
pínulitlir	pʰiːnʏlɪhtlɪr
pínulitlu	pʰiːnʏlɪhtlʏ
pínulítil	pʰiːnʏliːtɪl
pínulítill	pʰiːnʏliːtɪtl̥
pínulítið	pʰiːnʏliːtɪð
píp	pʰiːp
pípa	pʰiːpa
píparann	pʰiːparan
pípu	pʰiːpʏ
pípulagningamaðurinn	pʰiːpʏlakniŋkamaːðʏrɪn
pípunum	pʰiːpɔnʏm
pípur	pʰiːpʏr
píra	pʰiːra
pírir	pʰiːrɪr
pírði	pʰirðɪ
pírðu	pʰirðʏ
pískrað	pʰiskrað
píslarvottur	pʰistlarvɔhtʏr
píslarvætti	pʰistlarvaihtɪ
píslir	pʰistlɪr
pítsa	pʰitsa
pítsu	pʰitsʏ
pó	pʰouː
pókerandlit	pʰouːkerantlɪt
pókus	pʰouːkʏs
pól	pʰouːl
pólflugi	pʰouːlflʏijɪ
pólhæðina	pʰouːlhaiðɪna
pólinn	pʰouːlɪn
pólitík	pʰouːlɪtiːk
pólitíkina	pʰouːlɪtiːcɪna
pólitíkinni	pʰouːlɪtiːcɪnɪ
pólitíkusar	pʰouːlɪtikʏsar
pólitíkusarnir	pʰouːlɪtiːkʏsartnɪr
pólitíkusum	pʰouːlɪtikʏsʏm
pólitísk	pʰouːlɪtisk
pólitíska	pʰouːlɪtiska
pólitískan	pʰouːlɪtiskan
pólitískar	pʰouːlɪtiskar
pólitíski	pʰouːlɪtiskɪ
pólitískir	pʰouːlɪtiscɪr
pólitískra	pʰouːlɪtiskra
pólitískrar	pʰouːlɪtiskrar
pólitískri	pʰouːlɪtiskrɪ
pólitísks	pʰouːlɪtisks
pólitískt	pʰouːlɪtist
pólitísku	pʰouːlɪtiskʏ
pólitískum	pʰouːlɪtiskʏm
pólitískur	pʰouːlɪtiskʏr
pólland	pʰoulant
póllandi	pʰoulantɪ
póllands	pʰoulants
póllandsferja	pʰoulantsfɛrja
póllandsferjuna	pʰoulantsfɛrjʏna
pólsk	pʰoulsk
pólska	pʰoulska
pólskipti	pʰouːlskɪftɪ
pólsku	pʰoulskʏ
pólskum	pʰoulskʏm
pólstjörnuna	pʰouːlstjœtnʏna
pólstjörnunni	pʰouːlstjœtnʏnɪ
pólverja	pʰoulvɛrja
pólverjar	pʰoulvɛrjar
pólverjinn	pʰoulvɛrjɪn
pólverjum	pʰoulvɛrjʏm
póló	pʰouːlou
póst	pʰoust
póstbáta	pʰoustpauta
póstgíró	pʰoustkirou
pósthólf	pʰousthoulv
pósthús	pʰousthus
pósthúsinu	pʰousthusɪnʏ
pósthúsið	pʰousthusɪð
pósthússins	pʰousthusɪns
pósthússtræti	pʰousthustraiːtɪ
pósthússtrætið	pʰousthustraitɪð
pósti	pʰoustɪ
póstinn	pʰoustɪn
póstinum	pʰoustɪnʏm
póstkassa	pʰoustkasa
póstkassann	pʰoustkasan
póstkassanum	pʰoustkasanʏm
póstkassi	pʰoustkasɪ
póstkort	pʰoustkɔr̥t
póstkortum	pʰoustkɔr̥tʏm
póstkössum	pʰoustkœsʏm
póstlagt	pʰoustlaxt
póstlagði	pʰoustlaɣðɪ
póstlegg	pʰoustlɛk
póstleggja	pʰoustlɛkja
póstlista	pʰoustlɪsta
póstlisti	pʰoustlɪstɪ
póstmanninum	pʰoustmanɪnʏm
póstmeistaranum	pʰoustmeistaranʏm
póstmál	pʰoustmaul
póstsamgangna	pʰoustsamkauŋkna
póstsins	pʰoustsɪns
póststimpilinn	pʰouststɪm̥pɪlɪn
póststimplinum	pʰouststɪm̥plɪnʏm
póststofan	pʰouststɔvan
póststofu	pʰouststɔvʏ
póstur	pʰoustʏr
pósturinn	pʰoustʏrɪn
póstávísanir	pʰoustauvisanɪr
pöbb	pʰœp
pöddu	pʰœtʏ
pöddum	pʰœtʏm
pöddur	pʰœtʏr
pökkum	pʰœhkʏm
pökkuð	pʰœhkʏð
pökkuðu	pʰœhkʏðʏ
pökkuðum	pʰœhkʏðʏm
pöllum	pʰœtlʏm
pöllunum	pʰœtlɔnʏm
pönnu	pʰœnʏ
pönnuköku	pʰœnʏkœkʏ
pönnukökum	pʰœnʏkœkʏm
pönnukökur	pʰœnʏkœkʏr
pönnukökurnar	pʰœnʏkœkʏtnar
pönnuna	pʰœnʏna
pönnunni	pʰœnʏnɪ
pönnunum	pʰœnɔnʏm
pönnurnar	pʰœnʏtnar
pönnuskömminni	pʰœnʏskœmɪnɪ
pöntum	pʰœn̥tʏm
pöntun	pʰœn̥tʏn
pöntuð	pʰœn̥tʏð
pöntuðu	pʰœn̥tʏðʏ
pöntuðum	pʰœn̥tʏðʏm
pör	pʰœːr
pörin	pʰœːrɪn
pöróttur	pʰœːrouhtʏr
pössum	pʰœsʏm
pössuðu	pʰœsʏðʏ
púrtara	pʰur̥tara
púðursykur	pʰuːðʏrsɪkʏr
q	kʰuː
r	ɛr
rabarbara	raparpaːra
rabarbari	raparpaːrɪ
rabb	rap
rabba	rapa
rabbaði	rapaðɪ
rabbi	rapɪ
rabbíninn	rapinɪn
radarsvara	raːtarsvaːra
radartækjum	raːtartʰaːjcʏm
radda	rata
raddar	ratar
raddarinnar	ratarɪnar
raddbeitingu	ratpeitiŋkʏ
raddblæ	ratplai
raddblæinn	ratplaijɪn
raddböndin	ratpœntɪn
raddir	ratɪr
raddirnar	ratɪtnar
raddlaus	ratlœis
raddstýring	ratstiriŋk
radisson	raːtɪsɔn
radíus	raːtijʏs
raf	raːv
rafafl	raːvapl̥
rafala	raːvala
rafdregin	ravtrɛjɪn
rafdrifinn	ravtrɪvɪn
rafeindasvæðin	raːvɛjntasvaːjðɪn
rafgeyma	ravcɛjma
rafheimar	raːvheimar
rafhlaða	rafl̥aða
rafhleðsla	rafl̥ɛðstla
rafhlöður	rafl̥œðʏr
rafhlöðurnar	rafl̥œðʏtnar
rafiðnaðarmenn	raːvɪðnaðarmɛn
rafiðnaðarskólans	raːvɪðnaðarskouːlans
rafkerfi	rafcʰɛrvɪ
rafkerfum	rafcʰɛrvʏm
rafkraftar	rafkʰraftar
raflagnir	ravlaknɪr
raflögnum	ravlœknʏm
rafmagn	ravmakn̥
rafmagni	ravmaknɪ
rafmagninu	ravmaknɪnʏ
rafmagnið	ravmaknɪð
rafmagns	ravmaks
rafmagnshellum	ravmakshɛtlʏm
rafmagnsleysi	ravmakslɛːjsɪ
rafmagnssnúrur	ravmakstnuːrʏr
rafmagnstengingu	ravmakstɛjɲciŋkʏ
rafmagnstæki	ravmakstʰajːcɪ
rafmagnsveitan	ravmaksveiːtan
rafmagnsveitu	ravmaksveiːtʏ
rafmagnsveitur	ramaksveiːtʏr
rafmagnsveiturnar	ravmaksvɛːjtʏtnar
rafmenn	ravmɛn
rafn	rapn̥
rafni	rapnɪ
rafns	raps
rafnsdóttir	rapstouhtɪr
rafnsdóttur	rapstouhtʏr
rafnsson	rapsɔn
rafnssonar	rapsɔnar
rafnssyni	rapsɪnɪ
raforku	raːvɔr̥kʏ
raforkuframleiðsla	raːvɔr̥kʏframlɛjðstla
raforkuframleiðslu	raːvɔr̥kʏframleiðstlʏ
raforkukerfa	raːvɔr̥kʏcʰɛrva
raforkukerfin	raːvɔr̥kʏcʰɛrvɪn
raforkukerfisins	raːvɔr̥kʏcʰɛrvɪsɪns
raforkusölu	raːvɔr̥kʏsœːlʏ
raforkuveri	raːvɔr̥kʏvɛːrɪ
raforkuverð	raːvɔr̥kʏvɛrð
raforkuvirki	raːvɔr̥kʏvɪr̥cɪ
rafræn	ravrain
rafræna	ravraina
rafrænan	ravrajnan
rafrænar	ravrainar
rafrænna	ravraitna
rafrænnar	ravraitnar
rafrænni	ravraitnɪ
rafrænt	ravrain̥t
rafrænu	ravrainʏ
rafrænum	ravrainʏm
rafsegulbylgjur	rafsɛɣʏlpɪlcʏr
rafstraum	rafstrœjm
rafstraumur	rafstrœjmʏr
rafstöðina	rafstœðɪna
rafsvið	rafsvɪð
rafsviðsins	rafsvɪðsɪns
raftahlíð	raftahlið
raftákn	raftʰauhkn̥
raftæki	raftʰajcɪ
raftækniráðsins	raftʰajhknɪrauðsɪns
raftónlist	ravtounlɪst
raftónlistargaur	raftʰounlɪstarkœir
rafveita	raveita
rafveitu	raveitʏ
rafveitukerfi	ravɛjtʏcʰɛrvɪ
rafvirkinn	ravɪr̥cɪn
ragga	raka
raggi	rakɪ
ragna	rakna
ragnar	raknar
ragnari	raknarɪ
ragnars	raknar̥s
ragnarsdóttir	raknar̥stouhtɪr
ragnarsdóttur	raknar̥stouhtʏr
ragnarsson	raknar̥sɔːn
ragnarssonar	raknar̥sɔːnar
ragnarssyni	raknarsɪːnɪ
ragnfríðar	rakn̥friðar
ragnfríður	rakn̥friðʏr
ragnheiðar	rakn̥heiðar
ragnheiði	rakn̥heiðɪ
ragnheiður	rakn̥heiðʏr
ragnhildar	rakn̥hɪltʏr
ragnhildi	rakn̥hɪltɪ
ragnhildur	rakn̥hɪltʏr
ragnir	raknɪr
rak	raːk
raka	raːka
rakagefandi	raːkacɛːfantɪ
rakakrem	raːkakʰrɛːm
rakan	raːkan
rakann	raːkan
rakanum	raːkanʏm
rakar	raːkar
rakara	raːkara
rakarinn	raːkarɪn
rakað	raːkað
rakaði	raːkaðɪ
rakaður	raːkaðʏr
rakel	raːkɛl
rakelar	raːkɛlar
raki	raːcɪ
rakin	raːcɪn
rakinn	raːcɪn
rakir	raːcɪr
rakið	raːcɪð
rakka	rahka
rakki	rahcɪ
rakkinn	rahkɪn
rakleitt	raːkleiht
rakleiðis	raːkleiðɪs
rakna	rahkna
raknar	rahknar
raknað	rahknað
raknaði	rahknaðɪ
rakri	raːkrɪ
rakspíra	raːkspira
rakst	rakst
rakt	raxt
raktar	raxtar
rakti	raxtɪ
raktir	raxtɪr
rakur	raːkʏr
rala	raːla
ralli	ralɪ
rallkepni	ralcʰɛhpnɪ
rallí	rali
ram	raːm
ramakvein	raːmakveiːn
ramba	rampa
rambar	rampar
rambað	rampað
rambaði	rampaðɪ
rambó	rampou
ramma	rama
ramman	raman
rammann	raman
rammasamningur	ramasamniŋkʏr
rammaskipulags	ramascɪːpʏlaks
rammaáætlun	ramaauːaihtlʏn
rammgerum	ramcɛrʏm
rammi	ramɪ
rammt	ram̥t
rammur	ramʏr
rammvilltur	ramvɪl̥tʏr
rana	raːna
ranann	raːnan
rananum	raːnanʏm
randver	rantvɛr
randvers	rantvɛr̥s
ranga	rauŋka
rangan	rauŋkan
rangar	rauŋkar
rangfærslur	rauŋkfair̥stlʏr
ranghala	rauŋkhala
ranghugmyndir	rauŋkhʏɣmɪntɪr
ranglaði	rauŋlaðɪ
ranglega	rauŋklɛɣa
ranglátir	rauŋklautɪr
ranglátur	rauŋklautʏr
ranglæti	rauŋklaitɪ
ranglætis	rauŋklajtɪs
rangri	rauŋkrɪ
rangsælis	rauŋksailɪs
rangt	rauŋ̊t
rangur	rauŋkʏr
rangá	rauŋkau
rangárbotna	rauŋkaurpɔhtna
rangárvallasýsla	rauŋkaurvatlasistla
rangárvallasýslu	rauŋkaurvatlasistlʏ
rangárvöllum	rauŋkaurvœtlʏm
rangárþingi	rauŋkaurθiɲcɪ
rangæinga	rauŋkaijiŋka
raninn	raːnɪn
ranka	rauŋ̊ka
rankað	rauŋ̊kað
rankaði	rauŋ̊kaðɪ
rann	ran
ranni	ranɪ
rannsaka	ransaka
rannsakandi	ransakantɪ
rannsakar	ransakar
rannsakað	ransakað
rannsakaði	ransakaðɪ
rannsakaðir	ransakaðɪr
rannsakendur	ransakɛntʏr
rannsókn	ransouhkn̥
rannsókna	ransouhkna
rannsóknanemi	ransouhknanɛːmɪ
rannsóknanna	ransouhknana
rannsóknar	ransouhknar
rannsóknarathafnir	ransouhknaraːtapnɪr
rannsóknardeild	ransouhknarteilt
rannsóknardómari	ransouhknartouːmarɪ
rannsóknarefni	ransouhknarɛpnɪ
rannsóknarfrelsi	ransouhknarfrɛlsɪ
rannsóknarinnar	ransouhknarɪnar
rannsóknarlögreglan	ransouhknarlœɣrɛklan
rannsóknarlögreglumann	ransouhknarlœɣrɛklʏman
rannsóknarlögreglumaður	ransouhknarlœɣrɛklʏmaːðʏr
rannsóknarlögregluna	ransouhknarlœɣrɛklʏna
rannsóknarlögreglunnar	ransouhknarlœɣrɛklʏnar
rannsóknarlögreglunni	ransouhknarlœɣrɛklʏnɪ
rannsóknarmanni	ransouhknarmanɪ
rannsóknarnefnd	ransouhknarnɛmt
rannsóknarnefndar	ransouhknarnɛmtar
rannsóknarniðurstaðna	ransouhknartnɪːðʏrstaðna
rannsóknarráðs	ransouhknarauðs
rannsóknarsamstarfi	ransouhknar̥samstarvɪ
rannsóknarskips	ransouhknar̥scɪfs
rannsóknarstigi	ransouhknar̥stijɪ
rannsóknarstofnun	ransouhknarstɔpnʏn
rannsóknarstofnunar	ransouhknarstɔpnʏnar
rannsóknarstofu	ransouhknarstɔːvʏ
rannsóknarverkefni	ransouhknarvɛr̥kɛpnɪ
rannsóknarverkefnum	ransouhknarvɛr̥kɛpnʏm
rannsóknarvinnu	ransouhknarvɪnʏ
rannsóknasamningur	ransouhknasamniŋkʏr
rannsóknaskip	ransouhknascɪːp
rannsóknastarfið	ransouhknastarvɪð
rannsóknastofa	ransouhknastɔːva
rannsóknastofnanir	ransouhknastɔpnanɪr
rannsóknastofnun	ransouhknastɔpnʏn
rannsóknastofnunar	ransouhknastɔpnʏnar
rannsóknastofu	ransouhknastɔːvʏ
rannsóknaverkefninu	ransouhknavɛr̥kɛpnɪnʏ
rannsóknin	ransouhknɪn
rannsóknina	ransouhknɪna
rannsókninni	ransouhknɪnɪ
rannsóknir	ransouhknɪr
rannsóknirnar	ransouhknɪtnar
rannsóknum	ransouhknʏm
rannsóknunum	ransouhknɔnʏm
rannsökuð	ransœkʏð
rannsökuðu	ransœkʏðʏ
rannveig	ranveiɣ
rannveigar	ranveiɣar
rannveigardóttir	ranvɛjɣartouhtɪr
rannveigu	ranveiɣʏ
rannís	ranis
rapp	rahp
rapparanna	rahparana
rapptextar	rahptʰɛkstar
rarik	raːrɪk
rasa	raːsa
rask	rask
raska	raska
raskast	raskast
raskað	raskað
raskaði	raskaðɪ
raski	rascɪ
rasmussen	rasmʏsɛn
rasp	rasp
raspi	raspɪ
rass	ras
rassgat	raskat
rassgati	raskatɪ
rassgatinu	raskatɪnʏ
rassgatið	raskatɪð
rassi	rasɪ
rassinn	rasɪn
rassinum	rasɪnʏm
rasskinnar	rascɪnar
rasskinnarnar	rascɪnatnar
rassskella	rascɛtla
rassvasanum	rasvasanʏm
rat	raːt
rata	raːta
ratar	raːtar
ratað	raːtað
rataði	raːtaðɪ
ratleikur	raːtlɛjkʏr
ratleikurinn	raːtlɛjkʏrɪn
rauf	rœiːv
raufarhafnar	rœiːvarhapnar
raufarhöfn	rœiːvarhœpn
raufarsel	rœiːvarsɛːl
raufina	rœiːvɪna
rauk	rœiːk
raul	rœiːl
raula	rœiːla
raulandi	rœiːlantɪ
raulaði	rœiːlaðɪ
raun	rœiːn
raunalega	rœiːnalɛɣa
raunamæddur	rœiːnamaitʏr
raunar	rœiːnar
raunarsaga	rœinarsaːɣa
raunasaga	rœinasaːɣa
raunfjölda	rœinfjœlta
raungengi	rœinceiɲcɪ
raungildi	rœincɪltɪ
raungreinum	rœinkreinʏm
raunhyggju	rœinhɪcʏ
raunhæf	rœiːnhaiv
raunhæfa	rœiːnhaiva
raunhæfan	rœiːnhaivan
raunhæfar	rœiːnhaivar
raunhæft	rœiːnhaift
raunhæfur	rœiːnhaivʏr
raunin	rœiːnɪn
rauninni	rœiːnɪnɪ
raunir	rœiːnɪr
raunleiks	rœjnlɛjks
raunneyslu	rœjnɛjstlʏ
raunsæ	rœinsai
raunsæi	rœinsaijɪ
raunsæismanneskjan	rœinsaijɪsmanɛskjan
raunsæismálverk	rœinsaijɪsmaulvɛr̥k
raunsæja	rœinsaija
rauntíma	rœjntʰima
raunum	rœiːnʏm
raunveruleg	rœinvɛrʏlɛɣ
raunverulega	rœinvɛrʏlɛɣa
raunverulegan	rœinvɛrʏlɛɣan
raunverulegar	rœinvɛrʏlɛɣar
raunverulegi	rœinvɛrʏleijɪ
raunverulegir	rœinvɛrʏleijɪr
raunverulegri	rœinvɛrʏlɛɣrɪ
raunverulegt	rœinvɛrʏlɛxt
raunverulegu	rœinvɛrʏlɛɣʏ
raunverulegum	rœinvɛrʏlɛɣʏm
raunverulegur	rœinvɛrʏlɛɣʏr
raunveruleika	rœinvɛrʏleiːka
raunveruleikann	rœinvɛrʏleiːkan
raunveruleikans	rœinvɛrʏleiːkans
raunveruleikanum	rœinvɛrʏleiːkanʏm
raunveruleikasjónvarp	rœjnvɛrʏlɛjkasjounvar̥p
raunveruleiki	rœinvɛrʏleiːcɪ
raunveruleikinn	rœinvɛrʏleiːcɪn
raunverð	rœjnvɛrð
raunvísindastofnun	rœinvisɪntastɔpnʏn
raunvöxtum	rœjnvœkstʏm
raunávöxtun	rœiːnauvœkstʏn
raus	rœiːs
rausa	rœiːsa
rausn	rœistn̥
rausnarlega	rœistnarlɛɣa
raust	rœist
raustina	rœistɪna
rautt	rœiht
rauð	rœiːð
rauða	rœiːða
rauðagerði	rœiːðakɛrðɪ
rauðakrosshúsið	rœiːðakrɔshuːsɪð
rauðakrosshússins	rœiːðakrɔshusɪns
rauðalæk	rœiːðalaiːk
rauðan	rœiːðan
rauðanótt	rœiːðanouht
rauðar	rœiːðar
rauðari	rœiːðarɪ
rauðarárstíg	rœiːðaraurstiːɣ
rauðasandi	rœiːðasantɪ
rauðavatn	rœiːðavahtn
rauðbirkin	rœjðpɪr̥cɪn
rauðbirkinn	rœiðpɪr̥cɪn
rauðbirknum	rœiːðpɪr̥knʏm
rauðbrystingur	rœjðprɪstiŋkʏr
rauðbrúnt	rœiðprun̥t
rauðbrúnu	rœiːðprunʏ
rauðeygð	rœiːðeiɣð
rauðglóandi	rœiːðklouantɪ
rauðhetti	rœiðhɛhtɪ
rauðhettureglunnar	rœiðhɛhtʏrɛklʏnar
rauðhærð	rœiːðhairð
rauðhærðu	rœiːðhairðʏ
rauðhærður	rœiːðhairðʏr
rauði	rœiːðɪ
rauðir	rœiːðɪr
rauðka	rœiθka
rauðkornaþykknis	rœjðkʰɔrtnaθɪhknɪs
rauðkál	rœiːðkaul
rauðkáli	rœiðkaulɪ
rauðleit	rœiðleit
rauðleitt	rœiːðleiht
rauðmálað	rœiðmaulað
rauðri	rœiðrɪ
rauðshelli	rœjðshɛtlɪ
rauðskeggur	rœiðscɛkʏr
rauðu	rœiːðʏ
rauðum	rœiːðʏm
rauður	rœiːðʏr
rauðvín	rœiðvin
rauðvíni	rœiːðvinɪ
rauðvínsflösku	rœiðvinsflœskʏ
raða	raːða
raðar	raːðar
raðast	raːðast
raðað	raːðað
raðaði	raːðaðɪ
raðhús	raːðhus
raðhúsum	raːðhusʏm
raðir	raːðɪr
raðirnar	raːðɪtnar
re	rɛː
rebbastelpa	rɛpastɛl̥pa
rebekka	rɛːpɛhka
rebekku	rɛːpɛhkʏ
redda	rɛta
reddarinn	rɛtarɪn
reddast	rɛtast
reddað	rɛtað
reddaði	rɛtaðɪ
reddingu	rɛtiŋkʏ
refaholt	rɛːvahɔl̥t
refarækt	rɛːvaraixt
refasveit	rɛːvasvɛːjt
reffilegur	rɛfɪlɛɣʏr
refi	rɛːvɪ
refsa	rɛfsa
refsar	rɛfsar
refsað	rɛfsað
refsaði	rɛfsaðɪ
refsiaðgerðum	rɛfsɪaðcɛrðʏm
refsing	rɛfsiŋk
refsinga	rɛfsiŋka
refsingar	rɛfsiŋkar
refsingarskyni	rɛfsiŋkarscɪːnɪ
refsingin	rɛfsiɲcɪn
refsingu	rɛfsɪnk
refsingum	rɛfsiŋkʏm
refsivert	rɛfsɪvɛr̥t
refta	rɛfta
refur	rɛːvʏr
regin	rɛjɪn
reginhafi	reijɪnhaːvɪ
regla	rɛkla
reglan	rɛklan
reglna	rɛklna
reglnanna	rɛklnana
reglu	rɛklʏ
reglubundinn	rɛklʏpʏntɪn
reglubundið	rɛklʏpʏntɪð
reglubundnu	rɛklʏpʏntnʏ
reglubundnum	rɛklʏpʏntnʏm
reglubókunum	rɛklʏpouːkɔnʏm
reglugerð	rɛklʏcɛrð
reglugerða	rɛklʏcɛrða
reglugerðar	rɛklʏcɛrðar
reglugerðarbreytingu	rɛklʏcɛrðarprɛːjtiŋkʏ
reglugerðarinnar	rɛklʏcɛrðarɪnar
reglugerðin	rɛklʏcɛrðɪn
reglugerðinni	rɛklʏcɛrðɪnɪ
reglugerðir	rɛklʏcɛrðɪr
reglugerðum	rɛklʏcɛrðʏm
regluleg	rɛklʏlɛɣ
reglulega	rɛklʏlɛɣa
reglulegar	rɛklʏlɛɣar
reglulegir	rɛklʏlɛːjɪr
reglulegri	rɛklʏlɛɣrɪ
reglulegt	rɛklʏlɛxt
reglulegu	rɛklʏlɛɣʏ
reglulegum	rɛklʏlɛɣʏm
reglum	rɛklʏm
regluna	rɛklʏna
reglunnar	rɛklʏnar
reglunni	rɛklʏnɪ
reglunum	rɛklɔnʏm
reglur	rɛklʏr
reglurnar	rɛklʏtnar
reglusemi	rɛklʏsɛːmɪ
reglustika	rɛklʏstɪːka
reglustiku	rɛklʏstɪːkʏ
regn	rɛkn̥
regnbogann	rɛkpɔɣan
regnbogans	rɛkpɔɣans
regnboganum	rɛkpɔɣanʏm
regnbogasilungi	rɛkpɔasɪːluɲcɪ
regnbogi	rɛkpɔijɪ
regnboginn	rɛkpɔijɪn
regndropar	rɛktrɔpar
regndroparnir	rɛktrɔpatnɪr
regnhlíf	rɛkl̥iv
regnhlífina	rɛkl̥ivɪna
regni	rɛknɪ
regninu	rɛknɪnʏ
regnið	rɛknɪð
regnkápu	rɛkkaupʏ
regnkápum	rɛkkʰaupʏm
regnkápunni	rɛkkaupʏnɪ
regnskynjara	rɛknscɪnjara
regnskógarnir	rɛkskouatnɪr
regnskúr	rɛkskur
regína	rɛːcina
regínu	rɛːcinʏ
reidda	reita
reiddi	reitɪ
reiddist	reitɪst
reiddu	reitʏ
reif	reiːv
reifst	reifst
reifum	reiːvʏm
reigði	reiɣðɪ
reika	reiːka
reikandi	reiːkantɪ
reikar	reiːkar
reikað	reiːkað
reiki	reiːcɪ
reikimeistarar	rɛːjcɪmɛjstarar
reikisamninga	rɛːjcɪsamniŋka
reikistjörnum	rɛːjcɪstjœrtnʏm
reikistjörnuna	rɛːjcɪstjœrtnʏna
reikistjörnunni	rɛːjcɪstjœrtnʏnɪ
reikn	reihkn̥
reikna	reihkna
reiknar	reihknar
reiknast	reihknast
reiknað	reihknað
reiknaðar	reihknaðar
reiknaði	reihknaðɪ
reiknaðir	reihknaðɪr
reiknaðist	reihknaðɪst
reiknaður	reihknaðʏr
reiknikúnstum	rɛjhknɪkunstʏm
reikning	reihkniŋk
reikninga	reihkniŋka
reikningana	reihkniŋkana
reikningar	reihkniŋkar
reikningi	reihkniɲcɪ
reikninginn	reihkniɲcɪn
reikningnum	reihknɪɲknʏm
reiknings	reihkniŋs
reikningsdæmi	reihkniŋstaiːmɪ
reikningseigenda	rɛjhkniŋsɛːjɣɛnta
reikningsskil	reihkniŋscɪːl
reikningsskila	rɛjhkniŋscɪːla
