ۋە	wˈæ
ئەمەل	ˈæmæl
بايرىمى	bɑjrˈɪmɪ
بىرىنىڭ	bɪɾˈɪnɪŋ
بىزدە	bˈɪzdæ
بۇندىن	bˈundɪn
بېيجىڭ	bˈejd͡ʒɪŋ
بەئزى	bˈæzɪ
تائالا	tɑˈɑlɑ
تايىنىپ	tɑjˈɪnɪp
تولا	tˈolɑ
تىز	tˈɪz
تىللىق	tˈɪllɪq
تۆھپە	tˈœhpæ
جەرياندا	d͡ʒærjˈɑndɑ
رۇخسەت	rˈuχsæt
رۇسىيە	rusˈɪjæ
ساقلاش	sˈɑqlɑʃ
سىياسىتى	sˌɪjɑsˈɪtɪ
شىركىتىنىڭ	ʃˌɪrkɪtˈɪnɪŋ
قىلمىغان	qɪlmˈɪʁɑn
قېلىپ	qˈelɪp
كىتابى	kɪtˈɑbɪ
كۆپىنچىسى	kˌœpɪnt͡ʃˈɪsɪ
كۈننىڭ	kˈynnɪŋ
كۈچىنى	kyt͡ʃˈɪnɪ
مىلادىيە	mˌɪlɑdˈɪjæ
مەزگىلدە	mæzɡˈɪldæ
نەتىجىسى	nˌætɪd͡ʒˈɪsɪ
يازغۇچىلار	jˌɑzʁut͡ʃˈɪlɑr
يۈەن	jˈyæn
يېغىن	jˈeʁɪn
چىقىدىغان	t͡ʃˌɪqɪdˈɪʁɑn
ھوقۇقىغا	hˌoquqˈɪʁɑ
ھەممىسىنى	hˌæmmɪsˈɪnɪ
ۋارىسلىق	wɑɾˈɪslɪq
ۋاقىتلىق	wɑqˈɪtlɪq
ئائىلىسىدە	ˌɑɪlɪsˈɪdæ
ئادىتى	ɑdˈɪtɪ
ئازادلىق	ɑzˈɑdlɪq
ئالدىن	ˈɑldɪn
ئالغا	ˈɑlʁɑ
ئايلىنىدۇ	ˌɑjlɪnˈɪdu
ئىشلىرىنى	ˌɪʃlɪɾˈɪnɪ
ئۆزگەرتىش	œzɡˈærtɪʃ
ئۆزۈم	ˈœzym
ئۆمۈر	ˈœmyr
ئەسىرىدە	ˌæsɪɾˈɪdæ
ئەھۋالى	æhwˈɑlɪ
بالىنىڭ	bɑlˈɪnɪŋ
بايرام	bˈɑjrɑm
بايقالغان	bɑjqˈɑlʁɑn
بىرلىك	bˈɪrlɪk
بەلگىلەيدۇ	bˌælɡɪlˈæjdu
تۆۋەندىكى	tˌœwændˈɪkɪ
تەبىئەت	tæbˈɪæt
تەشۋىقات	tæʃwˈɪqɑt
خاتىرە	χɑtˈɪɾæ
ساغلام	sˈɑʁlɑm
سەۋەبىنى	sˌæwæbˈɪnɪ
قازاق	qˈɑzɑq
قالدۇرغان	qɑldˈurʁɑn
كىردى	kˈɪrdɪ
مۇددىتى	muddˈɪtɪ
مۇز	mˈuz
مۇھىت	mˈuhɪt
نورۇز	nˈoɾuz
ياشاپ	jˈɑʃɑp
يىللاردا	jɪllˈɑrdɑ
يۇرت	jˈurt
چاي	t͡ʃˈɑj
چۈشىنىش	t͡ʃyʃˈɪnɪʃ
گرام	ɡrˈɑm
ھاجى	hˈɑd͡ʒɪ
ئاسىيادىكى	ˌɑsɪjɑdˈɪkɪ
ئاشلىق	ˈɑʃlɪq
ئامېرىكىلىق	ˌɑmeɾɪkˈɪlɪq
ئايلاندى	ɑjlˈɑndɪ
ئاڭلىغان	ɑŋlˈɪʁɑn
ئىسسىق	ˈɪssɪq
تارىم	tˈɑɾɪm
تاۋار	tˈɑwɑr
تىلىدىكى	tˌɪlɪdˈɪkɪ
تېلېۋىزىيە	tˌelewɪzˈɪjæ
خاراكتېرلىك	χˌɑɾɑktˈerlɪk
خاقان	χˈɑqɑn
خۇسۇسىي	χusˈusɪj
دۇلات	dˈulɑt
دېگۈدەك	deɡˈydæk
رايونىدا	rˌɑjonˈɪdɑ
زىيارەت	zɪjˈɑɾæt
سوڭرە	sˈoŋræ
سىستېمىسى	sˌɪstemˈɪsɪ
سۆزلەرنىڭ	sœzlˈærnɪŋ
قالسا	qˈɑlsɑ
قاپتۇ	qˈɑptu
قىسمەن	qˈɪsmæn
قىلىنىشى	qˌɪlɪnˈɪʃɪ
قۇرۇق	qˈuɾuq
كىرگۈزۈلگەن	kˌɪrɡyzˈylɡæn
كۆرسىتىش	kœrsˈɪtɪʃ
مۇددەتلىك	muddˈætlɪk
مۇقىم	mˈuqɪm
مەسىلىلەرنى	mˌæsɪlɪlˈærnɪ
نوپۇزلۇق	nopˈuzluq
نىسبىتى	nɪsbˈɪtɪ
ياشلىق	jˈɑʃlɪq
يىپەك	jˈɪpæk
يەھۇدى	jæhˈudɪ
پارغا	pˈɑrʁɑ
پايدا	pˈɑjdɑ
گېرمانىيە	ɡˌermɑnˈɪjæ
ھارام	hˈɑɾɑm
ۋەزىپىسىنى	wˌæzɪpɪsˈɪnɪ
ئارقىدىن	ɑrqˈɪdɪn
ئورگىنى	orɡˈɪnɪ
ئومۇملاشقان	ˌomumlˈɑʃqɑn
ئىسرائىلىيە	ˌɪsrɑɪlˈɪjæ
ئىشى	ˈɪʃɪ
ئىلھام	ˈɪlhɑm
ئىنسانىي	ɪnsˈɑnɪj
ئۈرۈمچىدە	ˌyɾymt͡ʃˈɪdæ
ئەخلاقىي	æχlˈɑqɪj
ئەسىرنىڭ	æsˈɪrnɪŋ
ئەلا	ˈælɑ
ئەھلى	ˈæhlɪ
ئەھۋالدا	æhwˈɑldɑ
باقمىغان	bɑqmˈɪʁɑn
بالىلارنى	bˌɑlɪlˈɑrnɪ
بىخەتەرلىك	bˌɪχætˈærlɪk
تاتار	tˈɑtɑr
تارىختىن	tɑɾˈɪχtɪn
تېپىش	tˈepɪʃ
جىق	d͡ʒˈɪq
خەلقلەر	χˈælqlær
دىۋانى	dɪwˈɑnɪ
دەۋر	dˈæwr
سىرتقى	sˈɪrtqɪ
سۇغا	sˈuʁɑ
سېنى	sˈenɪ
قازان	qˈɑzɑn
قوشۇن	qˈoʃun
قوڭ	qˈoŋ
قۇرغاق	qˈurʁɑq
كوللېكتىپ	kollˈektɪp
كىلىپ	kˈɪlɪp
كۆرە	kˈœɾæ
مىللىتىنىڭ	mˌɪllɪtˈɪnɪŋ
مۆتىدىل	mœtˈɪdɪl
مۇكاپاتى	mˌukɑpˈɑtɪ
مۇھىتى	muhˈɪtɪ
مەزمۇن	mˈæzmun
مەكتەپنىڭ	mæktˈæpnɪŋ
نۆۋەتتە	nœwˈættæ
پىكرى	pˈɪkrɪ
پۇختا	pˈuχtɑ
ھادىسە	hɑdˈɪsæ
ھۆكۈمرانلىق	hˌœkymrˈɑnlɪq
ھەممىدىن	hæmmˈɪdɪn
ھەپتە	hˈæptæ
ۋاكالىتەن	wˌɑkɑlˈɪtæn
ئائىلىنىڭ	ˌɑɪlˈɪnɪŋ
ئاخىرىغىچە	ˌɑχɪɾɪʁˈɪt͡ʃæ
ئادەمگە	ɑdˈæmɡæ
ئاران	ˈɑɾɑn
ئالدىدىكى	ˌɑldɪdˈɪkɪ
ئوقۇغۇچىلارنىڭ	ˌoquʁˌut͡ʃɪlˈɑrnɪŋ
ئىزدەپ	ˈɪzdæp
ئىچ	ˈɪt͡ʃ
ئۆيگە	ˈœjɡæ
ئەركىنلىك	ærkˈɪnlɪk
ئەرلەر	ˈærlær
باشلىنىدۇ	bˌɑʃlɪnˈɪdu
بايلىقىدىن	bˌɑjlɪqˈɪdɪn
بوغۇم	bˈoʁum
بولۇشىنى	bˌoluʃˈɪnɪ
بىلدۈرىدۇ	bˌɪldyɾˈɪdu
بۇلاردىن	bulˈɑrdɪn
بۇنىڭدا	bunˈɪŋdɑ
بەدەن	bˈædæn
تا	tˈɑ
تارمىقى	tɑrmˈɪqɪ
تۈپ	tˈyp
تەدرىجىي	tædrˈɪd͡ʒɪj
تەييار	tˈæjjɑr
جۇڭگونىڭ	d͡ʒuŋɡˈonɪŋ
خاھرى	χˈɑhrɪ
خىزمەتكە	χɪzmˈætkæ
دېگەندە	deɡˈændæ
دەرياسىنىڭ	dˌærjɑsˈɪnɪŋ
دەيدىغان	dæjdˈɪʁɑn
زىچ	zˈɪt͡ʃ
ساقلىنىپ	sɑqlˈɪnɪp
ساھەدە	sɑhˈædæ
ساھەسىدىكى	sˌɑhæsɪdˈɪkɪ
سوزۇق	sˈozuq
قارىلىدۇ	qˌɑɾɪlˈɪdu
قازاقىستان	qˌɑzɑqˈɪstɑn
قالدىم	qˈɑldɪm
قىلىمىز	qɪlˈɪmɪz
قۇرۇلغاندىن	qˌuɾulʁˈɑndɪn
قەرز	qˈærz
قەشقەردە	qæʃqˈærdæ
قەشقەرگە	qæʃqˈærɡæ
كىشىگە	kɪʃˈɪɡæ
كەلتۈرۈش	kæltˈyɾyʃ
لاتىن	lˈɑtɪn
مىللەتنى	mɪllˈætnɪ
مىنگونىڭ	mɪnɡˈonɪŋ
مۇستەقىللىق	mˌustæqˈɪllɪq
مۇلازىمەت	mˌulɑzˈɪmæt
مەندىن	mˈændɪn
يېشىدا	jeʃˈɪdɑ
چارۋىچىلىق	t͡ʃˌɑrwɪt͡ʃˈɪlɪq
گېزىت	ɡˈezɪt
ھاياتىدا	hˌɑjɑtˈɪdɑ
ۋاقىتنىڭ	wɑqˈɪtnɪŋ
ئابدۇللا	ɑbdˈullɑ
ئاتايدۇ	ɑtˈɑjdu
ئاستا	ˈɑstɑ
ئالەمدىن	ɑlˈæmdɪn
ئامېرىكىلىقلار	ˌɑmeɾˌɪkɪlˈɪqlɑr
ئامېرىكىلىقلارنىڭ	ˌɑmeɾˌɪkɪlɪqlˈɑrnɪŋ
ئوخشاپ	ˈoχʃɑp
ئىز	ˈɪz
ئىسمىنى	ɪsmˈɪnɪ
ئىشلىتىلگەن	ˌɪʃlɪtˈɪlɡæn
ئىمان	ˈɪmɑn
ئىنچىكە	ɪnt͡ʃˈɪkæ
ئىپتىدائىي	ˌɪptɪdˈɑɪj
ئىگىسى	ɪɡˈɪsɪ
ئۆتكۈر	ˈœtkyr
ئۇيغۇرنى	ujʁˈurnɪ
ئۇچرىغان	ut͡ʃrˈɪʁɑn
ئۈنۈم	ˈynym
باشقىلارنى	bˌɑʃqɪlˈɑrnɪ
باغلانغان	bɑʁlˈɑnʁɑn
بويى	bˈojɪ
بىردەك	bˈɪrdæk
توختىماي	toχtˈɪmɑj
تىلىدىن	tɪlˈɪdɪn
تىلىغا	tɪlˈɪʁɑ
تۇردى	tˈurdɪ
تەركىبىدە	tˌærkɪbˈɪdæ
تەشكىلات	tæʃkˈɪlɑt
تەلىم	tˈælɪm
خىزمىتىنى	χˌɪzmɪtˈɪnɪ
خىمىيە	χɪmˈɪjæ
خەن	χˈæn
روشەن	rˈoʃæn
رەھمەت	rˈæhmæt
سالغان	sˈɑlʁɑn
قارايدىغان	qˌɑɾɑjdˈɪʁɑn
قولىدىن	qolˈɪdɪn
قىش	qˈɪʃ
قىلغانلىقى	qˌɪlʁɑnlˈɪqɪ
قىلىشتىن	qɪlˈɪʃtɪn
كۈنلىرى	kynlˈɪɾɪ
مىراس	mˈɪɾɑs
مۇددەت	mˈuddæt
مۇكاپاتىغا	mˌukɑpɑtˈɪʁɑ
نۆۋەتلىك	nœwˈætlɪk
نەرسىلەر	nærsˈɪlær
ياغلىق	jˈɑʁlɪq
يېنىدا	jenˈɪdɑ
پۇرسەت	pˈursæt
چاغدىكى	t͡ʃɑʁdˈɪkɪ
گەپنى	ɡˈæpnɪ
ھىجرىيە	hɪd͡ʒrˈɪjæ
ھۆكۈمىتىنىڭ	hˌœkymɪtˈɪnɪŋ
ھەممىمىز	hæmmˈɪmɪz
ئاشىدۇ	ɑʃˈɪdu
ئاكتىپ	ˈɑktɪp
ئالەم	ˈɑlæm
ئايروپىلان	ˌɑjropˈɪlɑn
ئايرىلغان	ɑjrˈɪlʁɑn
ئوتتۇرغا	ottˈurʁɑ
ئولتۇرغان	oltˈurʁɑn
ئىبراھىم	ɪbrˈɑhɪm
ئىدارە	ɪdˈɑɾæ
ئىشتا	ˈɪʃtɑ
ئىمزا	ˈɪmzɑ
ئىنسانىيەت	ˌɪnsɑnˈɪjæt
ئۇرۇقى	uɾˈuqɪ
ئۈستىدىكى	ˌystɪdˈɪkɪ
ئەكسىچە	æksˈɪt͡ʃæ
بىرىدۇر	bɪɾˈɪdur
بىلىش	bˈɪlɪʃ
بەلگىلەش	bælɡˈɪlæʃ
تار	tˈɑr
تارتىش	tˈɑrtɪʃ
تارقىتىش	tɑrqˈɪtɪʃ
تارىخىدىكى	tˌɑɾɪχɪdˈɪkɪ
تاللاش	tˈɑllɑʃ
توم	tˈom
تۈپەيلىدىن	tˌypæjlˈɪdɪn
جۇمھۇرىيىتىنىڭ	d͡ʒˌumhuɾˌɪjɪtˈɪnɪŋ
جەمئىيىتى	d͡ʒˌæmɪjˈɪtɪ
دېمەك	dˈemæk
دەۋا	dˈæwɑ
روزا	rˈozɑ
سىيىت	sˈɪjɪt
سۈت	sˈyt
سەرپ	sˈærp
غايە	ʁˈɑjæ
قازانغان	qɑzˈɑnʁɑn
قانات	qˈɑnɑt
قىزىق	qˈɪzɪq
كەتسە	kˈætsæ
ماتورلۇق	mɑtˈorluq
مىسىر	mˈɪsɪr
مۇسا	mˈusɑ
مەدەنىي	mædˈænɪj
مەنپەئەت	mænpˈææt
نادىر	nˈɑdɪr
نۇرى	nˈuɾɪ
يارىتىش	jɑɾˈɪtɪʃ
ياپون	jˈɑpon
پايتاھتى	pɑjtˈɑhtɪ
پەقەتلا	pæqˈætlɑ
چەكلىك	t͡ʃˈæklɪk
گۆشى	ɡˈœʃɪ
ھاكىم	hˈɑkɪm
ھوقۇقلۇق	hoqˈuqluq
ئاكا	ˈɑkɑ
ئالىدىغان	ˌɑlɪdˈɪʁɑn
ئىشەنچ	ˈɪʃænt͡ʃ
ئۆزبېك	ˈœzbek
ئۆگەنگەن	œɡˈænɡæn
ئۇممۇ	ˈummu
ئېتىش	ˈetɪʃ
ئەھۋالىنى	ˌæhwɑlˈɪnɪ
ئەۋلاد	ˈæwlɑd
باققان	bˈɑqqɑn
بولىدىغانلىقىنى	bˌolɪdˌɪʁɑnlɪqˈɪnɪ
بىرىدۇ	bɪɾˈɪdu
بېشىنى	beʃˈɪnɪ
تىللىرى	tɪllˈɪɾɪ
تەسىرىگە	tˌæsɪɾˈɪɡæ
تەييارلىق	tæjjˈɑrlɪq
جارى	d͡ʒˈɑɾɪ
جۈپ	d͡ʒˈyp
خىلاپلىق	χɪlˈɑplɪq
خەنسۇ	χˈænsu
دېھقانلار	dehqˈɑnlɑr
سامسۇڭ	sˈɑmsuŋ
سانتىمېتىر	sˌɑntɪmˈetɪr
غەلىبە	ʁælˈɪbæ
قاراش	qˈɑɾɑʃ
قوغلاپ	qˈoʁlɑp
كىتاپ	kˈɪtɑp
كۆزدە	kˈœzdæ
كۆكتات	kˈœktɑt
كۈندۇر	kˈyndur
كۈنلەردە	kynlˈærdæ
كېتىدىغان	kˌetɪdˈɪʁɑn
كەلگۈسىدە	kˌælɡysˈɪdæ
موڭغۇللار	moŋʁˈullɑr
مىسال	mˈɪsɑl
مەسچىت	mˈæst͡ʃɪt
مەكتىپى	mæktˈɪpɪ
مەكتەپنى	mæktˈæpnɪ
نەزىرىدە	nˌæzɪɾˈɪdæ
يېتەرلىك	jetˈærlɪk
يېقىندا	jeqˈɪndɑ
پۇلىنى	pulˈɪnɪ
پەرقى	pˈærqɪ
چەتئەل	t͡ʃˈætæl
گىرىپتار	ɡɪɾˈɪptɑr
ھالاك	hˈɑlɑk
ھاۋالە	hɑwˈɑlæ
ھېكايە	hekˈɑjæ
ۋىلايەت	wɪlˈɑjæt
ۋۇجۇدقا	wud͡ʒˈudqɑ
ئاتاقلىق	ɑtˈɑqlɪq
ئاخىر	ˈɑχɪr
ئارمىيىسى	ˌɑrmɪjˈɪsɪ
ئارمىيەسى	ˌɑrmɪjˈæsɪ
ئارىسىغا	ˌɑɾɪsˈɪʁɑ
ئافرىقا	ɑfrˈɪqɑ
ئاللاھقا	ɑllˈɑhqɑ
ئاچقان	ˈɑt͡ʃqɑn
ئىبارەتتۇر	ˌɪbɑɾˈættur
ئىستراتېگىيەلىك	ˌɪstrɑtˌeɡɪjˈælɪk
ئىستىخبارات	ˌɪstɪχbˈɑɾɑt
ئىشلىتىلىدىغان	ˌɪʃlɪtˌɪlɪdˈɪʁɑn
ئىشلەتكەن	ɪʃlˈætkæn
ئىنقىلابى	ˌɪnqɪlˈɑbɪ
ئۈچۈنمۇ	yt͡ʃˈynmu
ئېيتقاندا	ejtqˈɑndɑ
ئەسەرنىڭ	æsˈærnɪŋ
بالىسى	bɑlˈɪsɪ
بىرنى	bˈɪrnɪ
تاتلىق	tˈɑtlɪq
تونۇپ	tˈonup
تېببىي	tˈebbɪj
تېغىنىڭ	teʁˈɪnɪŋ
تەرىپىگە	tˌæɾɪpˈɪɡæ
تەقدىرىنى	tˌæqdɪɾˈɪnɪ
جىسىمنىڭ	d͡ʒɪsˈɪmnɪŋ
جەريانى	d͡ʒærjˈɑnɪ
خۇش	χˈuʃ
خەتەرلىك	χætˈærlɪk
دەپنە	dˈæpnæ
رۇس	rˈus
رەڭ	rˈæŋ
شىنجاڭدىكى	ʃˌɪnd͡ʒɑŋdˈɪkɪ
شەخسنىڭ	ʃˈæχsnɪŋ
شەكىل	ʃˈækɪl
شەھەرلىك	ʃæhˈærlɪk
قورال	qˈoɾɑl
قىزنىڭ	qˈɪznɪŋ
قىسمىدا	qɪsmˈɪdɑ
قىلىنىدىغان	qˌɪlɪnɪdˈɪʁɑn
قۇم	qˈum
كاپالەتلىك	kˌɑpɑlˈætlɪk
كىرىم	kˈɪɾɪm
كىرىمى	kɪɾˈɪmɪ
كۆرىدۇ	kœɾˈɪdu
كۆرۈش	kˈœɾyʃ
كەپتۇ	kˈæptu
مىنۇت	mˈɪnut
مۇنازىرە	mˌunɑzˈɪɾæ
مۇناسىپ	munˈɑsɪp
مەدەنىيىتىنى	mˌædænˌɪjɪtˈɪnɪ
مەنئى	mˈænɪ
مەھسۇلاتى	mˌæhsulˈɑtɪ
نازارەت	nɑzˈɑɾæt
نىشانى	nɪʃˈɑnɪ
نەپەر	nˈæpær
ى	ˈɪ
يىڭى	jˈɪŋɪ
يېشىل	jˈeʃɪl
يەھۇدىلارنىڭ	jˌæhudɪlˈɑrnɪŋ
پاكىز	pˈɑkɪz
پەلسەپە	pælsˈæpæ
چاغاتاي	t͡ʃɑʁˈɑtɑj
ھاياتنىڭ	hɑjˈɑtnɪŋ
ھەقسىز	hˈæqsɪz
ھەمراھ	hˈæmrɑh
ۋالىي	wˈɑlɪj
ۋەكىلى	wækˈɪlɪ
ئايالنىڭ	ɑjˈɑlnɪŋ
ئومۇمەن	omˈumæn
ئويناش	ˈojnɑʃ
ئىجادىيەت	ˌɪd͡ʒɑdˈɪjæt
ئىجتىمائى	ˌɪd͡ʒtɪmˈɑɪ
ئۆزىدىن	œzˈɪdɪn
ئۆزۈمنىڭ	œzˈymnɪŋ
ئۆلكە	ˈœlkæ
ئۈزۈپ	ˈyzyp
ئۈستىدىن	ystˈɪdɪn
ئېلىشى	elˈɪʃɪ
ئېچىلغان	et͡ʃˈɪlʁɑn
ئەسەرلىرىنى	ˌæsærlɪɾˈɪnɪ
ئەمەلدىن	æmˈældɪn
بارىدىغان	bˌɑɾɪdˈɪʁɑn
بازىرىنىڭ	bˌɑzɪɾˈɪnɪŋ
باشلىق	bˈɑʃlɪq
بالىلىق	bɑlˈɪlɪq
بىزدىن	bˈɪzdɪn
بۆلۈنىدۇ	bˌœlynˈɪdu
بېشىدا	beʃˈɪdɑ
بەيئەت	bˈæjæt
تارماق	tˈɑrmɑq
تولغان	tˈolʁɑn
تۈرلىرى	tyrlˈɪɾɪ
تەرتىپ	tˈærtɪp
تەرىپىدە	tˌæɾɪpˈɪdæ
تەس	tˈæs
خالىغان	χɑlˈɪʁɑn
خىرىستىيان	χˌɪɾɪstˈɪjɑn
دىنىنى	dɪnˈɪnɪ
دۆلەتلىك	dœlˈætlɪk
دەۋردە	dˈæwrdæ
زادى	zˈɑdɪ
سوئال	sˈoɑl
سىڭىپ	sˈɪŋɪp
شەھەرگە	ʃæhˈærɡæ
قادىر	qˈɑdɪr
قار	qˈɑr
قارىماي	qɑɾˈɪmɑj
قاغان	qˈɑʁɑn
قاماق	qˈɑmɑq
قانۇننىڭ	qɑnˈunnɪŋ
قايتۇرۇپ	qɑjtˈuɾup
قوشۇلۇپ	qoʃˈulup
قىروسىز	qɪɾˈosɪz
قىلالايدىغان	qˌɪlɑlɑjdˈɪʁɑn
قىلغىن	qˈɪlʁɪn
قىلماقتا	qɪlmˈɑqtɑ
قىلىشنىڭ	qɪlˈɪʃnɪŋ
قېتىمدا	qetˈɪmdɑ
قەبىلە	qæbˈɪlæ
قەبۇل	qˈæbul
قەغەز	qˈæʁæz
كۆردۈم	kˈœrdym
كۆرۈنەرلىك	kˌœɾynˈærlɪk
كېتىشى	ketˈɪʃɪ
كېتىپتۇ	ketˈɪptu
كەلدىم	kˈældɪm
كەلگۈسى	kælɡˈysɪ
لايىق	lˈɑjɪq
موللا	mˈollɑ
مۇسابىقە	mˌusɑbˈɪqæ
مۇستاككىل	mustˈɑkkɪl
مۇكاپات	mukˈɑpɑt
مېڭە	mˈeŋæ
مەجبۇرى	mæd͡ʒbˈuɾɪ
مەھسۇلاتلىرىدىن	mˌæhsulˌɑtlɪɾˈɪdɪn
نۇپۇسى	nupˈusɪ
يىگىرمە	jɪɡˈɪrmæ
يۇقىرىقىدەك	jˌuqɪɾɪqˈɪdæk
يۈزىگە	jyzˈɪɡæ
يەھۇدىي	jæhˈudɪj
پارس	pˈɑrs
پارلامېنت	pɑrlˈɑment
ژۇرنال	ʒˈurnɑl
گوۋۇيۈەننىڭ	ɡˌowujyˈænnɪŋ
ھالەتكە	hɑlˈætkæ
ھېيت	hˈejt
ۋاسىتىسى	wˌɑsɪtˈɪsɪ
ئاتىسى	ɑtˈɪsɪ
ئاساستا	ɑsˈɑstɑ
ئاستىدىكى	ˌɑstɪdˈɪkɪ
ئاللاھتىن	ɑllˈɑhtɪn
ئانالىز	ɑnˈɑlɪz
ئاپتونۇم	ɑptˈonum
ئوردىسى	ordˈɪsɪ
ئولتۇرۇپ	oltˈuɾup
ئىجارە	ɪd͡ʒˈɑɾæ
ئىران	ˈɪɾɑn
ئىشتىن	ˈɪʃtɪn
ئىشلاردا	ɪʃlˈɑrdɑ
ئىشلىتىدۇ	ˌɪʃlɪtˈɪdu
ئۆتكۈزۈلگەن	ˌœtkyzˈylɡæn
ئۆيىدە	œjˈɪdæ
ئۇرۇشتا	uɾˈuʃtɑ
ئۇسۇلىنى	ˌusulˈɪnɪ
ئۇچار	ˈut͡ʃɑr
ئۇچراپ	ˈut͡ʃrɑp
ئەنھۇ	ˈænhu
ئەي	ˈæj
باب	bˈɑb
باغلىق	bˈɑʁlɪq
بالىلىرى	bˌɑlɪlˈɪɾɪ
بىرلىشىپ	bɪrlˈɪʃɪp
بىلگەن	bˈɪlɡæn
بېرىلغان	beɾˈɪlʁɑn
تارىخىنى	tˌɑɾɪχˈɪnɪ
تاللاپ	tˈɑllɑp
تورى	tˈoɾɪ
تۆۋەندە	tœwˈændæ
تۈزۈپ	tˈyzyp
تېرە	tˈeɾæ
تېلېفون	telˈefon
تېما	tˈemɑ
تەييارلىنىدۇ	tˌæjjɑrlɪnˈɪdu
تەپسىلىي	tæpsˈɪlɪj
جايدىكى	d͡ʒɑjdˈɪkɪ
خانلىقىنىڭ	χˌɑnlɪqˈɪnɪŋ
خېلىلا	χelˈɪlɑ
خەلقىمىز	χælqˈɪmɪz
دوكتورلۇق	doktˈorluq
دۇر	dˈur
سىلەرگە	sɪlˈærɡæ
سىنانىڭ	sɪnˈɑnɪŋ
شافىئىي	ʃɑfˈɪɪj
شىمالغا	ʃɪmˈɑlʁɑ
شىمالغىچە	ʃˌɪmɑlʁˈɪt͡ʃæ
شەھىرىگە	ʃˌæhɪɾˈɪɡæ
غۇلجا	ʁˈuld͡ʒɑ
قا	qˈɑ
قارىتىلغان	qˌɑɾɪtˈɪlʁɑn
قاسىم	qˈɑsɪm
قولى	qˈolɪ
قوڭۇر	qˈoŋur
قىزىم	qˈɪzɪm
قۇرۇش	qˈuɾuʃ
قۇملۇق	qˈumluq
قېتىمقى	qetˈɪmqɪ
كىتابنىڭ	kɪtˈɑbnɪŋ
كۆرگىلى	kœrɡˈɪlɪ
كۆرۈنگەن	kœɾˈynɡæn
كۈنگە	kˈynɡæ
كېلىش	kˈelɪʃ
كېلىۋاتىدۇ	kˌelɪwɑtˈɪdu
لىكىن	lˈɪkɪn
مىللى	mˈɪllɪ
مىللىئون	mɪllˈɪon
مۇ	mˈu
مۇدىرى	mudˈɪɾɪ
مۇنەۋۋەر	munˈæwwær
مەزمۇنى	mæzmˈunɪ
مەسىلىنى	mˌæsɪlˈɪnɪ
مەپكۇرە	mæpkˈuɾæ
مەھرۇم	mˈæhrum
نامىنى	nɑmˈɪnɪ
نان	nˈɑn
نە	nˈæ
نەق	nˈæq
نەۋائىي	næwˈɑɪj
يارىتىپ	jɑɾˈɪtɪp
ياۋرۇپا	jɑwrˈupɑ
يىللاردىن	jɪllˈɑrdɪn
يىلىدىن	jɪlˈɪdɪn
يۈرگەن	jˈyrɡæn
يۈرەك	jˈyɾæk
يەپ	jˈæp
پەرەز	pˈæɾæz
چىقىشى	t͡ʃɪqˈɪʃɪ
چۈشەنچە	t͡ʃyʃˈænt͡ʃæ
ھايۋان	hˈɑjwɑn
ھۆكۈمران	hœkˈymrɑn
ھېساب	hˈesɑb
ھەركەت	hˈærkæt
ۋاقىتتىكى	wˌɑqɪttˈɪkɪ
ۋەتەنگە	wætˈænɡæ
ۋەدە	wˈædæ
ئاتلىق	ˈɑtlɪq
ئىشلىتىشكە	ˌɪʃlɪtˈɪʃkæ
ئىككىگە	ɪkkˈɪɡæ
ئىنكاس	ˈɪnkɑs
ئىپادە	ɪpˈɑdæ
ئۆتتى	ˈœttɪ
ئۆتكۈزگەن	œtkˈyzɡæn
ئۇرۇق	ˈuɾuq
ئۇسۇلدا	usˈuldɑ
ئۈستۈن	ˈystyn
ئۈلگە	ˈylɡæ
ئېتىپ	ˈetɪp
ئەھۋالغا	æhwˈɑlʁɑ
باردى	bˈɑrdɪ
بولماي	bˈolmɑj
بىردىنبىر	bɪrdˈɪnbɪr
بىرلەشمە	bɪrlˈæʃmæ
بۇيرۇق	bˈujruq
بەلۋاغ	bˈælwɑʁ
تارىخىغا	tˌɑɾɪχˈɪʁɑ
تاللىغان	tɑllˈɪʁɑn
تۇتۇش	tˈutuʃ
تۈركىستاننىڭ	tˌyrkɪstˈɑnnɪŋ
تۈزۈمى	tyzˈymɪ
تېشى	tˈeʃɪ
تەشۋىق	tˈæʃwɪq
جايلارغا	d͡ʒɑjlˈɑrʁɑ
جەمئىيىتىدە	d͡ʒˌæmɪjɪtˈɪdæ
خام	χˈɑm
خەنسۇچە	χænsˈut͡ʃæ
دىققىتىنى	dˌɪqqɪtˈɪnɪ
دېيىشكە	dejˈɪʃkæ
دەسلەپ	dˈæslæp
ساقچى	sˈɑqt͡ʃɪ
سۈرگەن	sˈyrɡæn
شەخس	ʃˈæχs
قاراقاش	qɑɾˈɑqɑʃ
قالدۇرۇپ	qɑldˈuɾup
قاچان	qˈɑt͡ʃɑn
قولدىن	qˈoldɪn
قوللىنىلىدۇ	qˌollɪnɪlˈɪdu
قۇرۇلمىسى	qˌuɾulmˈɪsɪ
قۇل	qˈul
قەيت	qˈæjt
كىشلەر	kˈɪʃlær
كىشىلەردىن	kˌɪʃɪlˈærdɪn
كۆل	kˈœl
كېلەتتى	kelˈættɪ
لۇغەت	lˈuʁæt
