'day	daɪ̯
bituin	bɪtuʔɪn
bituin	bɪtwin
bituin	bɪtʊʔin
bituka	bɪtuxɐ
biya	biɐ
biya	bjaʔ
biyahe	bjɐhe
biyahero	bɪɐheɾo
biyak	bjak
biyanan	bɪenan
biyanan	bɪɐnan
biyas	bjas
biyatiko	bjatɪxo
biyay	bjaɪ̯
biyaya	bjɐjɐʔ
biyenan	bɪenan
biyernes	bjeɾnes
biyetnam	bɪetnam
biyola	bjolɐ
biyolento	bɪolento
biyolin	bɪolin
biyolohiya	bɪolohiɐ
biyolon	bɪolon
biyopisika	bɪopisɪxa
biyuda	bjʊdɐ
biyudo	bjʊdo
bloke	bloxe
blusa	blusɐ
boac	boʔɐk
boba	bobɐ
bobadilla	bodɐbiljɐ
bodabil	bodɐbil
bodega	bodeɰɐ
bodka	bodkɐ
bogota	boɰota
bohaghag	bohɐɡhaɡ
bokabularyo	boxɐbʊlaɾjo
bokal	boxal
bokasyon	boxɐʃon
boksing	boksɪŋ
boksingero	boksɪŋeɾo
bokya	bokjɐʔ
bola	bolɐ
bolera	boleɾɐ
boling	bolɪŋ
bolta	boltɐ
boltiyo	bolt͡ʃo
boluntaryo	bolʊntaɾjo
bomba	bumbɐ
bombay	bumbaɪ̯
bombero	bumbeɾo
bombilya	bumbiljɐ
bondying	bond͡ʒiŋ
bongga	boŋɡɐ
bonifacio	bonɪpaʃo
bonilla	boniljɐ
boongaling	booŋɡalɪŋ
borlas	boɾlɐs
borlaza	boɾlasɐ
bosing	bosɪŋ
bosniya	bosɲa
bosnya	bosɲɐ
bosyo	boʃoʔ
bota	botɐ
botanika	botanɪxa
botas	botɐs
botelya	boteljɐ
botika	botixɐ
botohan	botohɐn
bottomesa	botomesɐ
boya	bojɐ
boykot	boɪ̯xot
brad	bɾɐd
brandi	bɾandɪ
brasil	bɾɐsil
breslavia	bɾeslabjɐ
bretanya	bɾetaɲɐ
brillantes	bɾɪljantes
brilyante	bɾɪljante
brip	bɾɪp
britanya	bɾɪtaɲɐ
brodkast	bɾodkɐst
brodkaster	bɾodkɐsteɾ
brokuli	bɾoxʊli
brotsa	bɾot͡ʃɐ
bruha	bɾuhɐ
bruselas	bɾʊselɐs
brutal	bɾʊtal
buan	bʊɐn
buang	bʊʔaŋ
bubo	bʊbo
bubo	bʊboʔ
bubong	bʊboŋ
buboy	buboɪ̯
bubuli	bʊbʊli
bubungan	bʊbʊŋan
bubuwit	bʊbwit
bubuyog	bʊbujoɡ
bubwit	bʊbwit
buda	budɐ
budbod	bʊdbod
budhi	bʊdhiʔ
budismo	bʊdismo
budista	bʊdistɐ
buenafe	bʊenɐpe
buga	buɰɐʔ
buga	bʊɰa
bugarin	bʊɰaɾɪn
bugat	bʊɰat
bugaw	buɰaʊ̯
bugayong	bʊɰajoŋ
bugbog	bʊɡboɡ
bughaw	bʊɡhaʊ̯
bugnit	bʊɡnit
bugnitbugnit	bʊɡnitbʊɡnit
bugnot	bʊɡnot
bugok	bʊɰok
bugso	bʊɡsoʔ
bugtong	bʊɡtoŋ
buhag	buhɐɡ
buhag	bʊhaɡ
buhaghag	bʊhaɡhaɡ
buhagsigan	bʊhɐɡsiɰɐn
buhagsigwasan	bʊhɐɡsɪɡwasɐn
buhagtigilan	bʊhɐɡtɪɰilɐn
buhangin	bʊhaŋɪn
buhat	buhɐt
buhat	bʊhat
buhawi	bʊhawɪʔ
buhay	buhaɪ̯
buhay	bʊhaɪ̯
buhok	bʊhok
buhol	bʊhol
buka	bʊxa
bukad	bʊxad
bukadkad	bʊxɐdkad
bukaka	bʊxakɐʔ
bukaka	bʊxɐkaʔ
bukal	bʊxal
bukalkal	bʊxɐlkal
bukambibig	bʊxɐmbɪbiɡ
bukana	bʊxanɐ
bukas	buxɐs
bukas	bʊxas
bukayo	bʊxajoʔ
bukbok	bʊkbok
bukid	buxɪd
bukidnon	bʊxɪdnon
buking	bʊxiŋ
buklat	bʊklat
buklaw	bʊklaʊ̯
buklod	bʊklod
buko	buxo
buko	bʊxo
bukod	bʊxod
bukol	buxol
bukong	buxoŋ
bukong	bʊxoŋ
bukot	buxot
bukot	bʊxot
buksan	bʊksan
bula	bulɐ
bula	bulɐʔ
bula	bʊla
bula	bʊlaʔ
bulaan	bʊlaʔɐn
bulacan	bʊlɐxan
bulag	bulɐɡ
bulag	bʊlaɡ
bulaga	bʊlɐɰaʔ
bulagta	bʊlɐɡtaʔ
bulahaw	bʊlahaʊ̯
bulahaw	bʊlɐhaʊ̯
bulak	bulɐk
bulak	bʊlak
bulakan	bʊlaxɐn
bulakan	bʊlɐxan
bulakbol	bʊlɐkbol
bulakenyo	bʊlɐxeɲo
bulaklak	bʊlɐklak
bulalakaw	bʊlɐlaxaʊ̯
bulalato	bʊlɐlato
bulalay	bʊlalaɪ̯
bulalayak	bulɐlɐjak
bulalo	bʊlɐloʔ
bulanadi	bʊlɐnadɪ
bulandal	bʊlɐndal
bulanglang	bʊlɐŋlaŋ
bulanhagui	bʊlɐŋhaɰɪ
bulaos	bʊlaʔos
bulastog	bʊlɐstoɡ
bulate	bʊlate
bulati	bʊlate
bulati	bʊlatɪ
bulatlat	bʊlɐtlat
bulaw	bʊlaʊ̯
bulawan	bʊlawɐn
bulay	bulaɪ̯
bulbol	bʊlbol
bulgar	bʊlɡaɾ
bulgaro	bʊlɡɐɾo
bulgarya	bʊlɡaɾjɐ
buli	bulɪ
buli	bʊli
bulig	bʊliɡ
bulihala	bʊlɪhalɐʔ
bulilit	bʊlilɪt
bulilit	bʊlɪlit
bulilyaso	bʊlɪljaso
buling	bulɪŋ
bulingbuling	bʊlɪŋbulɪŋ
bulkan	bʊlkan
bulo	bʊlo
bulo	bʊloʔ
bulok	bʊlok
bulol	bʊlol
bulon	bʊlon
bulong	bʊloŋ
bulsa	bʊlsa
bulubundukin	bʊlʊbʊnduxɪn
bulugan	bʊluɰɐn
bululos	bʊlʊlos
bulutong	bʊlutoŋ
bulutunggo	bʊlʊtʊŋɡo
bulwak	bʊlwak
bulwang	bʊlwaŋ
bulyaw	bʊljaʊ̯
bumaba	bʊmabɐʔ
bumaba	bʊmɐba
bumaba	bʊmɐbaʔ
bumagal	bʊmaɰɐl
bumagsak	bʊmɐɡsak
bumagyo	bʊmɐɡjo
bumaha	bʊmɐhaʔ
bumahin	bʊmɐhin
bumahing	bʊmɐhiŋ
bumali	bʊmalɪʔ
bumalik	bʊmɐlik
bumalikwas	bʊmɐlɪkwas
bumalintong	bʊmɐlɪntoŋ
bumasa	bʊmasɐ
bumasa	bʊmɐsaʔ
bumata	bʊmatɐʔ
bumatak	bʊmatɐk
bumatik	bʊmɐtik
bumbunan	bumbunɐn
bumbunan	bumbʊnan
bumerang	bʊmeɾaŋ
bumigay	bʊmɪɰaɪ̯
bumili	bʊmɪli
bumilis	bʊmɪlis
bumisita	bʊmɪsitɐ
bumitiw	bʊmɪtiʊ̯
bumiyahe	bʊmjɐhe
bumoto	bʊmoto
bumulong	bʊmʊloŋ
bumuo	bʊmʊʔoʔ
bumuwelta	bʊmweltɐ
bunag	bunɐɡ
bundok	bʊndok
bundol	bʊndol
bunga	buŋɐ
bungal	bʊŋal
bunganga	bʊŋaŋɐʔ
bungangera	bʊŋɐŋeɾɐ
bungangero	bʊŋɐŋeɾo
bungangkahoy	bʊŋɐŋkahoɪ̯
bungaw	bʊŋaʊ̯
bungbong	bʊŋboŋ
bunggabilya	bʊŋɡɐbiljɐ
bunggalo	bʊŋɡɐlo
bunggo	bʊŋɡoʔ
bungi	buŋɪʔ
bungi	bʊŋiʔ
bungisngis	bʊŋɪsŋis
bungkos	bʊŋkos
bungkugan	bʊŋkuɰɐn
bungo	bʊŋoʔ
bungot	bʊŋot
buni	bunɪ
buno	bʊnoʔ
bunot	bʊnot
bunso	bʊnso
bunso	bʊnsoʔ
bunso	bʊŋso
bunso	bʊŋsoʔ
bunsod	bʊnsod
buntala	bʊntalɐʔ
buntis	bʊntis
bunto	bʊnto
bunton	bʊnton
buntonghininga	bʊntoŋhɪnɪŋa
buntot	bʊntot
buntutan	bʊntʊtan
bunyag	bʊɲaɡ
bunyi	buɲɪ
bunyi	bʊɲiʔ
buod	bʊʔod
buol	bʊʔol
buot	bʊʔot
buquid	buxɪd
bura	buɾɐ
bura	bʊɾa
burado	bʊɾado
burahin	bʊɾɐhin
burak	buɾɐk
buraot	bʊɾaʔot
burara	bʊɾaɾɐʔ
burara	bʊɾɐɾaʔ
burat	bʊɾat
burda	bʊɾda
burges	bʊɾɡes
burges	bʊɾɡis
burgis	bʊɾɡis
burias	buɾjɐs
buriko	bʊɾixo
burloloy	bʊɾloloɪ̯
burma	buɾmɐ
burol	bʊɾol
burukinto	bʊɾʊxɪnto
burundi	bʊɾundɪ
buryong	bʊɾjoŋ
bus	bɐs
bus	bʊs
busabos	bʊsabos
busal	busɐl
busal	bʊsal
busangot	bʊsaŋot
busangot	bʊsɐŋot
busay	bʊsaɪ̯
busbos	bʊsbos
busilak	bʊsilɐk
busina	bʊsinɐ
busisi	bʊsisɪʔ
busisi	bʊsɪsiʔ
buslo	bʊsloʔ
buslot	bʊslot
busog	bʊsoɡ
busol	bʊsol
buson	bʊson
buswang	bʊswaŋ
butac	butɐk
butaka	bʊtaxɐ
butaka	bʊtaxɐʔ
butal	bʊtal
butanding	bʊtɐndiŋ
butang	bʊtaŋ
butangero	bʊtɐŋeɾo
butas	butɐs
butas	bʊtas
butaw	butaʊ̯
butaw	bʊtaʊ̯
butete	bʊtete
butete	bʊteteʔ
buti	butɪ
butig	bʊtiɡ
butigan	bʊtɪɰan
butiki	bʊtɪxiʔ
butil	butɪl
butlig	bʊtliɡ
buto	bʊto
butod	bʊtod
butse	bʊt͡ʃe
butse	bʊt͡ʃi
butsi	bʊt͡ʃi
butudkaphay	bʊtudkɐphaɪ̯
butudkilos	bʊtudkilos
buturan	butʊɾan
buuin	bʊʔʊʔin
buumbilang	bʊʔumbilɐŋ
buurin	bʊʔʊɾin
buwa	buɐʔ
buwa	bwaʔ
buwag	bwaɡ
buwagin	bʊɐɰin
buwakaw	bwɐxaʊ̯
buwal	bwal
buwan	bwan
buwanan	bwanɐn
buwang	bwaŋ
buwaya	bwɐjɐ
buwelo	bwelo
buwelta	bweltɐ
buweltahan	bweltɐhan
buwenamano	bʊenɐmano
buwik	bwik
buwis	bwis
buwisan	bwisɐn
buwisan	bʊɪsan
buwisit	bwɪsɪt
buwitre	bwɪtɾe
buya	bujɐʔ
buyaya	bʊjajɐʔ
buyaya	bʊjɐjaʔ
buyo	bʊjo
buyon	bʊjon
buyunin	bujunɪn
buyunin	bʊjʊnin
bwisit	bwisɪt
c	sɪ
cabahug	kxɐbahʊɡ
caballero	kxɐbɐljeɾo
cabanatuan	kxɐbɐnɐtuʔɐn
cabanayan	kxɐbɐnajɐn
cabanlit	kxɐbanlɪt
cabasag	kxɐbasɐɡ
cabiling	kxɐbilɪŋ
cabral	kxabɾɐl
cabrera	kxɐbɾeɾɐ
cabuhat	kxɐbuhɐt
cabungcal	kxɐbuŋkɐl
cabuti	kxɐbʊti
cacdac	kxakdɐk
cadano	kxɐdano
cadapan	kxɐdapɐn
cadayona	kxɐdɐjonɐ
cagalingan	kxɐɰɐliŋɐn
cagao	kxaɰaʊ̯
cagayan	kxɐɰɐjan
caguiat	kxaɡjɐt
caguioa	kxɐɰiwɐ
cahinaan	kxɐhɪnaʔɐn
cainta	kxɐʔɪntaʔ
calalo	kxɐlalo
calamba	kxɐlɐmba
calamba	kxɐlɐmbaʔ
calan	kxɐlan
calauang	kxɐlawɐŋ
calaunan	kxɐlɐʔunɐn
calayan	kxɐlajɐn
calaycay	kxɐlaɪ̯xaɪ̯
calinawan	kxɐlɪnawɐn
calingasan	kxɐlɪŋasɐn
calinisan	kxɐlɪnisɐn
calis	kxalɪs
calixto	kxɐliksto
callao	kaʎaʊ
calma	kxalmɐ
calumpang	kxɐlumpɐŋ
caluya	kxɐlujɐ
camacho	kxɐmat͡ʃo
camarines	kxɐmɐɾines
camiguin	kxɐmɪɰin
campo	kxampo
cancio	kxansɪo
candila	kxɐndilɐ
canicosa	kxɐnɪxosɐ
canilao	kxɐnilaʊ̯
canina	kxɐninɐ
cantiveros	kxɐntɪbeɾos
cantos	kxantos
caparas	kxɐpaɾɐs
capinpin	kxɐpinpɪn
capitan	kxɐpɪtan
capiz	kxapɪs
cardiño	kxɐɾdiɲo
cariaso	kxɐɾjaso
carillo	kxɐɾiljo
cariñosa	kxɐɾɪɲosɐ
carrillo	kxɐɾɾillo
casal	kxasɐl
casanova	kxɐsɐnobɐ
casao	kxasaʊ̯
caseda	kxɐsedɐ
castañeda	kxɐstɐɲedɐ
castrence	kxɐstɾense
catanduanes	kxɐtɐndwɐnes
catapang	kxɐtapɐŋ
catibog	kxɐtiboɡ
catimbang	kxɐtimbɐŋ
catipon	kxɐtipon
cato	kxɐto
catral	kxatɾɐl
cauilan	kxɐwilɐn
cavan	kxɐban
cavite	kxɐbite
cayetano	kxɐjetano
cañete	kxɐɲete
cenizal	senisɐl
chan	t͡ʃɐn
chang	t͡ʃɐŋ
charot	t͡ʃɐɾot
ching	t͡ʃɪŋ
chiong	t͡ʃɪoŋ
chiyoko	t͡ʃɪoxo
choi	t͡ʃoɪ̯
cinco	siŋko
closa	kxlosɐ
collado	kxoljado
cometa	kxometɐ
comia	kxomɪɐ
condez	kxondes
consolacion	kxonsolɐʃon
coo	kxʊ
coquia	kxoxɪɐ
corazon	kxoɾɐson
corcuera	kxoɾkweɾɐ
cornejo	kxoɾneho
coronel	kxoɾonel
corpus	kxoɾpʊs
corrales	kxoɾɾales
correa	kxoɾeɐ
corro	kxoɾɾo
cosico	kxosixo
cotabato	kxotɐbato
coting	kxotiŋ
cpp	sɪpɪpi
crisostomo	kxɾɪsostomo
cruzat	kxɾʊsɐt
cuasay	kwɐsaɪ̯
cubacub	kxʊbaxʊb
cuizon	kxuɪson
custodio	kxʊstod͡ʒo
daan	daʔɐn
daan	dɐʔan
daantaon	dɐʔantɐʔon
dabarkads	dabɐɾkads
dabaw	dabaʊ̯
dabdab	dɐbdab
dacanay	dɐxanaɪ̯
dadaanin	dɐdɐʔanɪn
dadaanin	dɐdɐʔɐnin
daga	daɰɐ
daga	dɐɰaʔ
dagabdab	dɐɰɐbdab
dagadagaan	dɐɰɐdɐɰaʔɐn
dagalwak	dɐɰɐlwak
dagan	dɐɰan
dagas	dɐɰas
dagasdas	dɐɰɐsdas
dagat	daɰɐt
dagatan	dɐɰatɐn
dagdag	dɐɡdaɡ
dagibulog	dɐɰɪbʊloɡ
dagihaynayan	dɐɰɪhaɪ̯najɐn
dagikapnayan	dɐɰɪxɐpnajɐn
dagil	daɰɪl
dagilusaw	dɐɰɪlʊsaʊ̯
dagim	dɐɰim
dagindas	dɐɰɪndas
daginding	dɐɰɪndiŋ
dagipik	dɐɰipɪk
dagisdis	dɐɰɪsdis
dagisik	dɐɰisɪk
dagisik	dɐɰɪsik
dagisikan	daɰɪsɪxan
dagison	dɐɰison
dagit	daɰɪt
dagitab	dɐɰitɐb
dagitban	dɐɰɪtban
dagitigilan	dɐɰɪtiɰɪlan
dagitsigan	dɐɰɪt͡ʃiɰɐn
daglat	dɐɡlat
dagli	dɐɡliʔ
dagok	daɰok
dagos	daɰos
dagsa	dɐɡsaʔ
dagsin	dɐɡsin
dagta	dɐɡtaʔ
dagubang	dɐɰʊbaŋ
dagubdob	dɐɰʊbdob
daguldol	dɐɰʊldol
dagundong	dɐɰʊndoŋ
dagupan	dɐɰupɐn
dagusdos	dɐɰʊsdos
dahak	dahɐk
dahan	dahɐn
dahas	dɐhas
dahil	dahɪl
dahilan	dɐhɪlan
dahilig	dɐhilɪɡ
dahilig	dɐlɪhiɡ
dahop	dɐhop
daig	daʔɪɡ
daig	dɐʔiɡ
daigdig	dɐʔɪɡdiɡ
daing	daʔɪŋ
daing	dɐʔiŋ
dais	dɐʔis
daisuke	daɪ̯suxe
daka	daxɐ
dakdak	dɐkdak
dakila	dɐxilɐʔ
dakip	dɐxip
dakma	dɐkmaʔ
dako	daxo
dakol	dɐxol
dakot	dɐxot
dakota	dɐxotɐ
daks	dɐks
daktao	dɐktaʔo
daktinig	dɐktinɪɡ
dakutin	dɐxʊtin
dala	dalɐ
dala	dɐla
dala	dɐlaʔ
dalag	dɐlaɡ
dalaga	dɐlaɰɐ
dalaginday	dɐlaɰɪndaɪ̯
dalaginding	dɐlaɰɪndiŋ
dalagita	dɐlɐɰitɐ
dalahik	dɐlahɪk
dalahikan	dɐlɐhixɐn
dalamhati	dɐlɐmhatɪʔ
dalampasigan	dɐlɐmpɐsiɰɐn
dalandan	dɐlɐndan
dalang	dalɐŋ
dalangat	dɐlaŋɐt
dalangat	dɐlɐŋat
dalanghita	dɐlɐŋhitɐ
dalangin	dɐlaŋɪn
dalao	dalaʊ̯
dalas	dɐlas
dalatan	dɐlatɐn
dalaw	dalaʊ̯
dalawa	dɐlɐwa
dalawampu	dɐlɐwɐmpuʔ
dalawandaan	dɐlɐwɐndɐʔan
dalawin	dɐlawɪn
dalawit	dɐlawɪt
daldal	dɐldal
daldalera	dɐldɐleɾɐ
daldalero	dɐldɐleɾo
dalhin	dɐlhin
dali	dalɪ
dali	dalɪʔ
dali	dɐliʔ
dalikdik	dɐlikdɪk
daliri	dɐliɾɪʔ
dalisay	dɐlisaɪ̯
dalit	dalɪt
dalit	dɐlit
dalita	dɐlɪtaʔ
dalmasya	dɐlmaʃɐ
dalmatika	dɐlmatɪxa
dalo	dɐlo
dalok	dɐlok
daloy	daloɪ̯
dalubbanwa	dɐlubbɐnwa
dalubbanwahan	dɐlubbɐnwahɐn
dalubguro	dɐlubɡuɾoʔ
dalubhalman	dɐlubhɐlman
dalubhalmanan	dɐlubhɐlmanɐn
dalubhasa	dɐlʊbhasɐʔ
dalubhasaan	dɐlʊbhɐsaʔɐn
dalubhayop	dɐlubhajop
dalubhayupan	dɐlubhɐjupɐn
dalubituinan	dɐlubɪtʊʔɪnan
dalubkabibihan	dɐlubkabɪbɪhan
dalubkatawan	dɐlubkɐtɐwan
dalubkulisap	dɐlubkʊlisɐp
dalubkulisapan	dɐlubkulɪsapɐn
dalublahi	dɐlublahɪʔ
dalublahian	dɐlublahɪʔan
dalublasunan	dɐlublasʊnan
dalublumutan	dɐlublumʊtan
dalubsugaan	dɐlubsuɰaan
dalubtala	dɐlubtalɐʔ
dalubtalaan	dɐlubtalɐʔan
dalubtalain	dɐlʊbtalain
dalubtao	dɐlubtaʔo
dalubtauhan	dɐlubtaʔʊhan
dalubwika	dɐlubwixɐʔ
dalubwikaan	dɐlubwixɐʔan
daluhong	dɐluhoŋ
dalumat	dɐlumɐt
daluro	dɐluɾoʔ
daluro	dɐlʊɾoʔ
dalurok	dɐluɾok
dalusong	dɐlusoŋ
daluyong	dɐlujoŋ
dalwa	dɐlwa
dalya	daljɐ
dama	damɐ
dama	dɐma
damag	damɐɡ
damag	dɐmaɡ
damahan	dɐmahɐn
damahan	dɐmɐhan
damak	dɐmak
damay	damaɪ̯
dambana	dɐmbanɐʔ
dambong	dɐmboŋ
dambuhala	dɐmbʊhalɐʔ
damdam	dɐmdam
damdamin	dɐmdamɪn
damikay	dɐmixaɪ̯
damit	dɐmit
damo	dɐmo
dampa	dɐmpaʔ
dampalit	dɐmpɐlit
dampi	dɐmpiʔ
dampot	dɐmpot
damsiha	dɐmsihɐʔ
damuhan	dɐmʊhan
damuho	dɐmuhoʔ
damulag	dɐmulɐɡ
danas	danɐs
danaw	danaʊ̯
danay	danaɪ̯
danes	dɐnes
danesa	dɐnesɐ
dangal	dɐŋal
danggit	dɐŋɡit
dangkal	dɐŋkal
dani	dɐniʔ
daniw	danɪʊ̯
daniw	dɐniʊ̯
dansay	dɐnsaɪ̯
dantaon	dɐntɐʔon
dantay	dɐntaɪ̯
danum	dɐnum
danumbiling	danumbɪliŋ
danumbulog	danumbʊloɡ
danumhaynayan	dɐnʊmhaɪ̯najɐn
danumkapnayan	dɐnʊmkɐpnajɐn
danumsigwasan	dɐnʊmsɪɡwasɐn
danumtigilan	dɐnʊmtiɰɪlan
danyos	daɲos
dao	dɐʔo
daong	dɐʔoŋ
dapa	dɐpaʔ
dapal	dapɐl
dapat	dapɐt
dapdap	dɐpdap
dapit	dapɪt
dapitan	dɐpitɐn
dapithapon	dɐpɪthapon
daplis	dɐplis
dapog	dɐpoɡ
dapulak	dɐpulɐk
dara	dɐɾa
darak	dɐɾak
daras	dɐɾas
darasigsukat	dɐɾɐsɪɡsuxɐt
dasal	dɐsal
dasmariñas	dɐsmɐɾiɲɐs
daspan	daspɐn
daspanin	daspɐnin
datal	dɐtal
datapuwa	dɐtɐpwaʔ
datapwa	dɐtɐpwaʔ
datapwat	datɐpwat
dati	datɪ
datiles	datɪles
dating	dɐtiŋ
datinguinoo	datɪŋɡɪnoʔo
datu	datʊ
daulat	dɐʔʊlat
daungan	daʔuŋɐn
dausdos	dɐʔʊsdos
davao	dabaʊ̯
daw	daʊ̯
dawdaw	daʊ̯daʊ̯
dawi	dawɪ
dawis	dawɪs
dawit	dawɪt
day	daɪ̯
daya	dajɐʔ
dayag	dajɐɡ
dayalekto	dɐjɐlekto
dayalogo	dɐjaloɰo
dayami	dɐjamɪ
dayan	dɐjan
dayang	dajɐŋ
dayang	dɐjaŋ
dayanghirang	dɐjɐŋhiɾɐŋ
dayap	dajɐp
dayrit	daɪ̯ɾɪt
dayuhan	dɐjuhɐn
dayuhan	dɐjʊhan
dayukyok	dɐjʊkdok
dayungon	dɐjuŋon
deang	d͡ʒɐŋ
debatista	debɐtistɐ
debosyon	deboʃon
decena	desenɐ
dedikado	dedɪxado
dedikasyon	dedɪxɐʃon
dedma	dedmɐ
dee	dɪ
dehins	dehɪns
dehins	deɪ̯ns
dekada	dexadɐ
dekametro	dexametɾo
dekametro	dexɐmetɾo
dekana	dexanɐ
dekano	dexano
deklara	deklɐɾa
deklarasyon	deklɐɾɐʃon
dekorasyon	dexoɾɐʃon
dekwat	dekwɐt
dekwatin	dekwɐtin
delata	delatɐ
delegado	deleɰado
delegasyon	deleɰɐʃon
deliberasyon	delɪbeɾɐʃon
delikadesa	delɪxɐdesɐ
delikado	delɪxado
demanda	demandɐ
demandado	demɐndado
demokrasya	demokɾaʃɐ
demolisyon	demolɪʃon
demonio	demoɲo
demonstrasyon	demonstɾɐʃon
demonyo	demoɲo
demostrasyon	demostɾɐʃon
denggoy	deŋɡoɪ̯
dentista	dentistɐ
dentisteriya	dentɪsteɾiɐ
departamento	depɐɾtɐmento
depensa	depensɐ
depensahan	depensɐhan
deportasyon	depoɾtɐʃon
deposito	deposɪto
depresasyon	depɾesɐʃon
depresyon	depɾeʃon
deregulasyon	deɾeɰʊlɐʃon
desbentaha	desbentahɐ
desesperada	desespeɾadɐ
desesperasyon	desespeɾɐʃon
desgrasya	desɡɾaʃɐ
desidido	desɪdido
desilitro	desɪlitɾo
desimetro	desɪmetɾo
desimpeksiyon	desɪmpekʃon
desisyon	desɪʃon
deskripsiyon	deskɾɪpʃon
deskubri	deskʊbɾi
deskuwento	deskwento
desmaya	desmɐja
desmayado	desmɐjado
despedida	despedidɐ
desperada	despeɾadɐ
desperasyon	despeɾɐʃon
despertador	despeɾtɐdoɾ
destabilisasyon	destɐbɪlɪsɐʃon
destinasyon	destɪnɐʃon
destiyero	dest͡ʃeɾo
destruksiyon	destɾʊkʃon
desyerto	deʃeɾto
detalyado	detɐljado
determinasyon	deteɾmɪnɐʃon
detonasyon	detonɐʃon
diamante	dɪɐmante
dian	dɪʔan
diba	dɪba
dibdib	dɪbdib
dibisyon	dɪbɪʃon
diblinig	dɪblɪniɡ
diborsiyo	dɪboɾʃo
dighal	dɪɡhal
dighay	dɪɡhaɪ̯
diglap	dɪɡlap
digma	dɪɡmaʔ
digmaan	dɪɡmaʔɐn
dignidad	dɪɡnɪdad
digos	diɰos
digtalain	dɪɡtalɐʔin
diigkasin	dɪʔɪɡkasɪn
diin	dɪin
diit	dɪʔit
diitan	diʔɪtɐn
diitan	dɪʔɪtan
dijamco	dɪd͡ʒamko
dikdik	dɪkdik
dike	dixe
dikiam	dɪkjam
dikit	dɪxit
diklap	dɪklap
diko	dixo
diksiyonaryo	dɪkʃonaɾjo
dikta	dɪkta
diktador	dɪktɐdoɾ
diktadora	dɪktɐdoɾɐ
diktadura	dɪktɐduɾɐ
diktadurya	dɪktɐduɾjɐ
dikya	dɪkja
dikya	dɪkjaʔ
dikyam	dɪkjam
dila	dilɐʔ
dilaan	dɪlaʔɐn
dilaan	dɪlɐʔan
dilag	dɪlaɡ
dilambuwaya	dilɐmbwajɐ
dilambuwaya	dɪlambwajɐ
dilat	dilɐt
dilat	dɪlat
dilaw	dɪlaʊ̯
dilawan	dɪlawɐn
dilawan	dɪlɐwan
dilawdinsol	dɪlaʊ̯dɪnsol
dili	dilɪ
dili	dilɪʔ
dilig	dɪliɡ
dilihensiya	dɪlɪhenʃa
dilikas	dɪlɪxas
dilim	dɪlim
dilis	dilɪs
dilis	dɪlis
dilubyo	dɪlubjo
dimaala	dɪmaɐlɐ
dimaandal	dɪmaɐndɐl
dimaapi	dɪmaɐpɪ
dimacali	dɪmɐxalɪ
dimagiba	dɪmɐɰibɐ
dimailig	dɪmaɪ̯lɪɡ
dimalaluan	dɪmɐlalʊɐn
dimalanta	dɪmɐlantɐ
dimapilis	dɪmɐpilɪs
dimaranan	dɪmɐɾanɐn
dimarim	dɪmaɾɪm
dimatatac	dɪmɐtatɐk
dimig	dimɪɡ
dimig	dɪmiɡ
din	dɪn
dinagat	dɪnaɰɐt
dinagipik	dɪnɐɰipɪk
dinamarka	dɪnɐmaɾkɐ
dinamita	dɪnɐmitɐ
dinastiya	dɪnɐstiɐ
dinding	dɪndiŋ
dingal	diŋɐl
dingding	dɪŋdiŋ
dinggin	dɪŋɡin
dingig	dɪŋiɡ
dini	dinɪ
dinig	dɪniɡ
dinosawro	dɪnosaʊ̯ɾo
dinsol	dɪnsol
dinsulan	dɪnsulɐn
dinuguan	dɪnʊɰʊʔan
dipa	dɪpa
dipasupil	dɪpɐsupɪl
dipende	dɪpende
diperensiya	dɪpeɾenʃa
diplomasya	dɪplomaʃɐ
diplomata	dɪplomɐta
diplomatiko	dɪplomɐtɪxo
dipolog	dɪpoloɡ
dipterya	dɪpteɾjɐ
direksiyon	dɪɾekʃon
direkta	dɪɾektɐ
direktiba	dɪɾektibɐ
direktor	dɪɾektoɾ
direktora	dɪɾektoɾɐ
direktoryo	dɪɾektoɾjo
diretso	dɪɾet͡ʃo
diri	diɾɪ
dirihible	dɪɾɪhible
diris	diɾɪs
disaluyan	dɪsɐlujɐn
disente	dɪsente
disenteriya	dɪsenteɾiɐ
disenyo	dɪseɲo
disgrasya	dɪsɡɾaʃɐ
disinuwebe	dɪsɪnwebe
disiotso	dɪsɪʔot͡ʃo
disiplina	dɪsɪplinɐ
disiplinado	dɪsɪplɪnado
disiplinahin	dɪsɪplɪnahɪn
disipulo	dɪsipʊlo
disisais	dɪsɪsɐʔis
disiseis	dɪsɪseʔis
disiseis	dɪsɪsɐʔis
disisiyete	dɪsɪʃete
diskarte	dɪskaɾte
diskita	dɪskɪta
diskompiyado	dɪskumpjɐdo
diskriminasyon	dɪskɾɪmɪnɐʃon
diskumpiyado	dɪskumpjɐdo
diskusyon	dɪskʊʃon
diskuwalipika	dɪskʊɐlɪpɪxa
diskuwalipikado	dɪskʊɐlɪpɪxado
diskuwalipikasyon	dɪskʊɐlɪpɪxɐʃon
dismayado	dɪsmɐjado
diso	dɪso
dispatser	dɪspat͡ʃeɾ
dispensa	dɪspensɐ
distansiya	dɪstanɪʃa
distinggido	dɪstɪŋɡido
