ա	ɑ
հաստված	hɑstvɑd͡z
հասցե	hɑst͡sʰɛ
հասցեատեր	hɑst͡sʰɛɑdɛɾ
հասցնել	hɑst͡sʰənɛl
հավ	hɑv
հավա	hɑvɑ
հավաի	hɑvɑi
հավալուսն	hɑvɑlusən
հավակնոտ	hɑvɑɡnɔd
հավակնորդ	hɑvɑɡnɔɾtʰ
հավան	hɑvɑn
հավանա	hɑvɑnɑ
հավանաբար	hɑvɑnɑpʰɑɾ
հավանական	hɑvɑnɑɡɑn
հավանականություն	hɑvɑnɑɡɑnutʰʏn
հավանել	hɑvɑnɛl
հավասար	hɑvɑsɑɾ
հավասարակողմ	hɑvɑsɑɾɑɡɔʁm
հավասարասրուն	hɑvɑsɑɾɑsɾun
հավասարություն	hɑvɑsɑɾutʰʏn
հավասարում	hɑvɑsɑɾum
հավաստի	hɑvɑsti
հավաստիք	hɑvɑstikʰ
հավատ	hɑvɑd
հավատալ	hɑvɑdɑl
հավատարիմ	hɑvɑdɑɾim
հավատարմաբար	hɑvɑdɑɾmɑpʰɑɾ
հավատարմագրել	hɑvɑdɑɾmɑkʰɾɛl
հավատարմագրվել	hɑvɑdɑɾmɑkʰəɾvɛl
հավատարմորեն	hɑvɑdɑɾmɔɾɛn
հավատարմություն	hɑvɑdɑɾmutʰʏn
հավատք	hɑvɑtkʰ
հավաք	hɑvɑkʰ
հավաքածո	hɑvɑkʰɑd͡zɔ
հավաքածու	hɑvɑkʰɑd͡zu
հավաքական	hɑvɑkʰɑɡɑn
հավաքարար	hɑvɑkʰɑɾɑɾ
հավաքել	hɑvɑkʰɛl
հավաքույթ	hɑvɑkʰujtʰ
հավելել	hɑvɛlɛl
հավելված	hɑvɛlvɑd͡z
հավես	hɑvɛs
հավետ	hɑvɛd
հավերժ	hɑvɛɾʒ
հավերժություն	hɑvɛɾʒutʰʏn
հավիտենական	hɑvidɛnɑɡɑn
հավիտյան	hɑvidjɑn
հավկիթ	hɑfɡitʰ
հավր	hɑvəɾ
հավփալ	hɑfpʰɑl
հավք	hɑfkʰ
հավքել	hɑfkʰɛl
հատ	hɑd
հատակ	hɑdɑɡ
հատակաբաց	hɑdɑɡɑpʰɑt͡sʰ
հատակել	hɑdɑɡɛl
հատապտուղ	hɑdɑbəduʁ
հատել	hɑdɛl
հատիկ	hɑdiɡ
հատկանիշ	hɑdɡɑniʃ
հատկացնել	hɑdɡɑt͡sʰənɛl
հատկություն	hɑdɡutʰʏn
հատնել	hɑdnɛl
հատոր	hɑdɔɾ
հատու	hɑdu
հատուկ	hɑduɡ
հատում	hɑdum
հատուցել	hɑdut͡sʰɛl
հատուցում	hɑdut͡sʰum
հատված	hɑdvɑd͡z
հարաբերություն	hɑɾɑpʰɛɾutʰʏn
հարազատ	hɑɾɑzɑd
հարականջային	hɑɾɑɡɑnt͡ʃʰɑjin
հարակատար	hɑɾɑɡɑdɑɾ
հարակարծություն	hɑɾɑɡɑɾd͡zutʰʏn
հարակիրի	hɑɾɑɡiɾi
հարամի	hɑɾɑmi
հարայ	hɑɾɑj
հարավ	hɑɾɑv
հարավային	hɑɾɑvɑjin
հարավսլավիա	hɑɾɑfslɑvjɑ
հարացույց	hɑɾɑt͡sʰujt͡sʰ
հարբած	hɑɾpʰɑd͡z
հարբել	hɑɾpʰɛl
հարբենալ	hɑɾpʰɛnɑl
հարբութլյան	hɑɾpʰutʰljɑn
հարբուխ	hɑɾpʰuχ
հարգանք	hɑɾkʰɑŋkʰ
հարգել	hɑɾkʰɛl
հարդ	hɑɾtʰ
հարել	hɑɾɛl
հարեւան	hɑɾɛvɑn
հարթ	hɑɾtʰ
հարթակ	hɑɾtʰɑɡ
հարթավայր	hɑɾtʰɑvɑjɾ
հարթաքանդակ	hɑɾtʰɑkʰɑntʰɑɡ
հարթություն	hɑɾtʰutʰʏn
հարթուկ	hɑɾtʰuk
հարթուկել	hɑɾtʰuɡɛl
հարիսա	hɑɾisɑ
հարկ	hɑɾɡ
հարկադրել	hɑɾɡɑtʰɾɛl
հարկահավաք	hɑɾɡɑhɑvɑkʰ
հարկային	hɑɾɡɑjin
հարկանել	hɑɾɡɑnɛl
հարկավ	hɑɾɡɑv
հարկել	hɑɾɡɛl
հարձակում	hɑɾt͡sʰɑɡum
հարմար	hɑɾmɑɾ
հարյանա	hɑɾjɑnɑ
հարյուր	hɑɾʏɾ
հարյուրամյակ	hɑɾʏɾɑmjɑɡ
հարյուրերորդ	hɑɾʏɾɛɾɔɾtʰ
հարնչել	hɑɾənt͡ʃʰɛl
հարոյան	hɑɾɔjɑn
հարություն	hɑɾutʰʏn
հարությունյան	hɑɾutʰʏnjɑn
հարուստ	hɑɾust
հարս	hɑɾs
հարսանեկան	hɑɾsɑnɛɡɑn
հարսանիթ	hɑɾsɑnitʰ
հարսանիք	hɑɾsɑnikʰ
հարսանյաց	hɑɾsɑnjɑt͡sʰ
հարսնազգեստ	hɑɾsnɑskʰɛst
հարսնանալ	hɑɾsnɑnɑl
հարսնանման	hɑɾsnɑnəmɑn
հարսնաշոր	hɑɾsnɑʃɔɾ
հարսնապար	hɑɾsnɑbɑɾ
հարսնարան	hɑɾsnɑɾɑn
հարսնացնել	hɑɾsnɑt͡sʰənɛl
հարսնացու	hɑɾsnɑt͡sʰu
հարսնյակ	hɑɾsnjɑɡ
հարսնցու	hɑɾsənt͡sʰu
հարստություն	hɑɾəstutʰʏn
հարված	hɑɾvɑd͡z
հարվածել	hɑɾvɑd͡zɛl
հարց	hɑɾt͡sʰ
հարցազրույց	hɑɾt͡sʰɑzɾujt͡sʰ
հարցասեր	hɑɾt͡sʰɑsɛɾ
հարցաքննություն	hɑɾt͡sʰɑkʰənːutʰʏn
հարցաքննում	hɑɾt͡sʰɑkʰənːum
հարցմունք	hɑɾt͡sʰmuŋkʰ
հարցնել	hɑɾt͡sʰənɛl
հարցուկ	hɑɾt͡sʰuɡ
հարցում	hɑɾt͡sʰum
հաց	hɑt͡sʰ
հացաբույս	hɑt͡sʰɑpʰujs
հացագործ	hɑt͡sʰɑkʰɔɾd͡z
հացադուլ	hɑt͡sʰɑtʰul
հացահատիկ	hɑt͡sʰɑhɑdiɡ
հացենի	hɑt͡sʰɛni
հացի	hɑt͡sʰi
հացհամեմ	hɑt͡sʰhɑmɛm
հացուտ	hɑt͡sʰud
հափափել	hɑpʰɑpʰɛl
հափշտակում	hɑpʰʃtɑɡum
հաքեր	hɑkʰɛɾ
հեգ	hɛkʰ
հեգել	hɛkʰɛl
հեգենա	hɛkʰɛnɑ
հեգնական	hɛkʰnɑɡɑn
հեգնանք	hɛkʰnɑŋkʰ
հեգնել	hɛkʰnɛl
հեզ	hɛz
հեզաբել	hɛzɑpʰɛl
հեթանոս	hɛtʰɑnɔs
հեթանոսություն	hɛtʰɑnɔsutʰʏn
հեթիթերեն	hɛtʰitʰɛɾɛn
հեթում	hɛtʰum
հեթումյան	hɛtʰumjɑn
հելգոլանդ	hɛlkʰɔlɑntʰ
հելիոս	hɛliɔs
հելիում	hɛlijum
հելիում	hɛlʏm
հելլադա	hɛlːɑtʰɑ
հելլեն	hɛlːɛn
հելլենացի	hɛlːɛnɑt͡sʰi
հելլեսպոնտոս	hɛlːɛspɔndɔs
հելնել	hɛlnɛl
հելսինգֆորս	hɛlsiŋkʰfɔɾs
հելսինկի	hɛlsiŋɡi
հելվեցիա	hɛlvɛt͡sʰjɑ
հեծան	hɛd͡zɑn
հեծանիվ	hɛd͡zɑniv
հեծանոց	hɛd͡zɑnɔt͡sʰ
հեծել	hɛd͡zɛl
հեծելազոր	hɛd͡zɛlɑzɔɾ
հեծելազորային	hɛd͡zɛlɑzɔɾɑjin
հեծեծել	hɛd͡zɛd͡zɛl
հեծյալ	hɛd͡zjɑl
հեծնել	hɛd͡znɛl
հեկտար	hɛɡdɑɾ
հեղաշրջում	hɛʁɑʃəɾt͡ʃʰum
հեղափոխություն	hɛʁɑpʰɔχutʰʏn
հեղել	hɛʁɛl
հեղեղ	hɛʁɛʁ
հեղեղատ	hɛʁɛʁɑd
հեղեղել	hɛʁɛʁɛl
հեղեղում	hɛʁɛʁum
հեղինակ	hɛʁinɑɡ
հեղինակություն	hɛʁinɑɡutʰʏn
հեղինե	hɛʁinɛ
հեղձամղձուկ	hɛχt͡sʰɑməχt͡sʰuɡ
հեղուկ	hɛʁuɡ
հեղույս	hɛʁujs
հեղուսել	hɛʁusɛl
հեղված	hɛʁvɑd͡z
հեղվել	hɛʁvɛl
հեղց	hɛχt͡sʰ
հեյզեր	hɛjzɛɾ
հեն	hɛn
հենան	hɛnɑn
հենասյուն	hɛnɑsʏn
հենդալֆ	hɛntʰɑlf
հենել	hɛnɛl
հենվել	hɛnvɛl
հենրիկ	hɛnɾiɡ
հեշթեգ	hɛʃtʰɛkʰ
հեշտ	hɛʃt
հեշտոց	hɛʃtɔt͡sʰ
հեշտոցային	hɛʃtʰɔt͡sʰɑjin
հեշտություն	hɛʃtutʰʏn
հեջաս	hɛt͡ʃʰɑs
հեռագիր	hɛɾɑkʰiɾ
հեռադիտակ	hɛɾɑtʰidɑɡ
հեռախոս	hɛɾɑχɔs
հեռակառավարման	hɛɾɑɡɑɾɑvɑɾmɑn
հեռակառավարում	hɛɾɑɡɑɾɑvɑɾum
հեռահաղորդակցություն	hɛɾɑhɑʁɔɾtʰɑkʰt͡sʰutʰʏn
հեռաձայն	hɛɾɑt͡sʰɑjn
հեռաձայնել	hɛɾɑt͡sʰɑjnɛl
հեռանալ	hɛɾɑnɑl
հեռանկար	hɛɾɑnəɡɑɾ
հեռաստան	hɛɾɑstɑn
հեռավոր	hɛɾɑvɔɾ
հեռավորություն	hɛɾɑvɔɾutʰʏn
հեռատես	hɛɾɑdɛs
հեռատեսիլ	hɛɾɑdɛsil
հեռացնել	hɛɾɑt͡sʰənɛl
հեռացում	hɛɾɑt͡sʰum
հեռի	hɛɾi
հեռու	hɛɾu
հեռուստ	hɛɾust
հեռուստաընկերություն	hɛɾustɑəŋɡɛɾutʰʏn
հեռուստատեսություն	hɛɾustɑdɛsutʰʏn
հեռուստացմփորիկ	hɛɾustɑt͡sʰəmpʰɔɾiɡ
հեռուստացույց	hɛɾustɑt͡sʰujt͡sʰ
հեսան	hɛsɑn
հեսիոդոս	hɛsiɔtʰɔs
հեսսեն	hɛsːɛn
հեստ	hɛst
հեստապար	hɛstɑbɑɾ
հեստապարուհի	hɛstɑbɑɾuhi
հետ	hɛd
հետադարձ	hɛdɑtʰɑɾt͡sʰ
հետազոտել	hɛdɑzɔdɛl
հետազոտող	hɛdɑzɔdɔʁ
հետազոտություն	hɛdɑzɔdutʰʏn
հետախուզական	hɛdɑχuzɑɡɑn
հետաձգել	hɛdɑt͡sʰəkʰɛl
հետամուտ	hɛdɑmud
հետանցք	hɛdɑnt͡sʰkʰ
հետաքրքիր	hɛdɑkʰəɾkʰiɾ
հետաքրքրասեր	hɛdɑkʰəɾkʰɾɑsɛɾ
հետաքրքրություն	hɛdɑkʰəɾkʰɾutʰʏn
հետեւ	hɛdɛv
հետեւաբար	hɛdɛvɑpʰɑɾ
հետեւակային	hɛdɛvɑɡɑjin
հետեւանք	hɛdɛvɑŋkʰ
հետեւել	hɛdɛvɛl
հետին	hɛdin
հետիոտն	hɛdiɔdən
հետխորհրդային	hɛdχɔɾəɾtʰɑjin
հետմահու	hɛdmɑhu
հետնորդ	hɛdnɔɾtʰ
հետո	hɛdɔ
հետույք	hɛdujkʰ
հետք	hɛtkʰ
հեր	hɛɾ
հերաթ	hɛɾɑtʰ
հերակլիտ	hɛɾɑɡlid
հերերո	hɛɾɛɾɔ
հերթ	hɛɾtʰ
հերիք	hɛɾikʰ
հերիքել	hɛɾikʰɛl
հերկել	hɛɾɡɛl
հերկուլանում	hɛɾɡulɑnum
հերձում	hɛɾt͡sʰum
հերմես	hɛɾmɛs
հերյուն	hɛɾʏn
հերոդոտոս	hɛɾɔtʰɔdɔs
հերոին	hɛɾɔin
հերոս	hɛɾɔs
հերոսաբար	hɛɾɔsɑpʰɑɾ
հերոսական	hɛɾɔsɑɡɑn
հերոսություն	hɛɾɔsutʰʏn
հերոսուհի	hɛɾɔsuhi
հերոստրատ	hɛɾɔstɾɑd
հերոստրատոս	hɛɾɔstɾɑdɔs
հերովդես	hɛɾɔftʰɛs
հերու	hɛɾu
հերցեգովինա	hɛɾt͡sʰɛkʰɔvinɑ
հերք	hɛɾkʰ
հերքել	hɛɾkʰɛl
հերքելի	hɛɾkʰɛli
հերքիչ	hɛɾkʰit͡ʃʰ
հերքում	hɛɾkʰum
հերքվել	hɛɾkʰvɛl
հեց	hɛt͡sʰ
հեւք	hɛfkʰ
հեփեստոս	hɛpʰɛstɔs
հեքիաթ	hɛkʰjɑtʰ
հեքիմ	hɛkʰim
հզոր	həzɔɾ
հի	hi
հիանալ	hijɑnɑl
հիանալի	hijɑnɑli
հիասթափ	hijɑstʰɑpʰ
հիասթափեցնել	hijɑstʰɑpʰɛt͡sʰənɛl
հիասթափություն	hijɑstʰɑpʰutʰʏn
հիասթափում	hijɑstʰɑpʰum
հիասթափված	hijɑstʰɑpʰvɑd͡z
հիասթափվել	hijɑstʰɑpʰvɛl
հիասքանչ	hijɑskʰɑnt͡ʃʰ
հիգիենա	hikʰjɛnɑ
հիդրատ	hitʰɾɑd
հիդրոլիզ	hitʰɾɔliz
հիմ	him
հիմա	himɑ
հիմալայներ	himɑlɑjnɛɾ
հիման	himɑn
հիմար	himɑɾ
հիմարացնել	himɑɾɑt͡sʰənɛl
հիմն	himən
հիմնադիր	himnɑtʰiɾ
հիմնադրական	himnɑtʰɾɑɡɑn
հիմնադրամ	himnɑtʰɾɑm
հիմնադրել	himnɑtʰɾɛl
հիմնադրություն	himnɑtʰɾutʰʏn
հիմնադրուհի	himnɑtʰɾuhi
հիմնադրում	himnɑtʰɾum
հիմնադրվել	himnɑtʰəɾvɛl
հիմնախնդիր	himnɑχəntʰiɾ
հիմնական	himnɑɡɑn
հիմնականորեն	himnɑɡɑnɔɾɛn
հիմնականում	himnɑɡɑnum
հիմնահարց	himnɑhɑɾt͡sʰ
հիմնավորել	himnɑvɔɾɛl
հիմունք	himuŋkʰ
հիմք	himkʰ
հին	hin
հինավուրց	hinɑvuɾt͡sʰ
հինգ	hiŋkʰ
հինգերորդ	hiŋkʰɛɾɔɾtʰ
հինգշաբթի	hiŋkʰʃɑpʰtʰi
հինդի	hintʰi
հինդուիզմ	hintʰuizm
հինդուկուշ	hintʰuɡuʃ
հինդուստան	hintʰustɑn
հինդուստանի	hintʰustɑni
հիշատակ	hiʃɑdɑɡ
հիշել	hiʃɛl
հիշեցնել	hiʃɛt͡sʰənɛl
հիշողություն	hiʃɔʁutʰʏn
հիպատ	hibɑd
հիպերբոլ	hibɛɾpʰɔl
հիպերմարկետ	hibɛɾmɑɾɡɛd
հիպնոս	hibnɔs
հիպոկրատես	hibɔɡɾɑdɛs
հիջազ	hit͡ʃʰɑz
հիսուն	hisun
հիսուն	hisːun
հիսուս	hisus
հիվանդ	hivɑntʰ
հիվանդագին	hivɑntʰɑkʰin
հիվանդախնամ	hivɑntʰɑχənɑm
հիվանդանալ	hivɑntʰɑnɑl
հիվանդանոց	hivɑntʰɑnɔt͡sʰ
հիվանդություն	hivɑntʰutʰʏn
հիտլեր	hidlɛɾ
հիրավի	hiɾɑvi
հիրել	hiɾɛl
հիրիկ	hiɾiɡ
հիցուն	hit͡sʰun
հլու	həlu
հհ	həhə
հհկ	həhəɡə
հղանալ	həʁɑnɑl
հղացք	həʁɑt͡sʰkʰ
հղել	həʁɛl
հղենալ	həʁɛnɑl
հղի	həʁi
հղիանալ	həʁijɑnɑl
հղիացում	həʁijɑt͡sʰum
հղիություն	həʁijutʰʏn
հղություն	həʁutʰʏn
հղում	həʁum
հղփանալ	həχpʰɑnɑl
հղփություն	həχpʰutʰʏn
հմայագիր	həmɑjɑkʰiɾ
հմայել	həmɑjɛl
հմայք	həmɑjkʰ
հմուտ	həmud
հմտություն	həmdutʰʏn
հյութ	hʏtʰ
հյութեղ	hʏtʰɛʁ
հյուլե	hʏlɛ
հյուծել	hʏd͡zɛl
հյուն	hʏn
հյունքյարպեյենտյան	hʏŋkʰjɑɾbɛjɛndjɑn
հյուպատոս	hʏbɑdɔs
հյուպատոսություն	hʏbɑdɔsutʰʏn
հյուս	hʏs
հյուսել	hʏsɛl
հյուսիս	hʏsis
հյուսիսային	hʏsisɑjin
հյուսկեն	hʏskɛn
հյուսն	hʏsən
հյուսվածք	hʏsvɑt͡sʰkʰ
հյուսվածքաբանություն	hʏsvɑt͡sʰkʰɑpʰɑnutʰʏn
հյուր	hʏɾ
հյուրախաղ	hʏɾɑχɑʁ
հյուրանոց	hʏɾɑnɔt͡sʰ
հյուրասրահ	hʏɾɑsəɾɑh
հյուրեր	hʏɾɛɾ
հյուրերդ	hʏɾɛɾətʰ
հյուրերը	hʏɾɛɾə
հյուրերի	hʏɾɛɾi
հյուրերիդ	hʏɾɛɾitʰ
հյուրերին	hʏɾɛɾin
հյուրերիս	hʏɾɛɾis
հյուրերն	hʏɾɛɾən
հյուրերով	hʏɾɛɾɔv
հյուրերովդ	hʏɾɛɾɔvətʰ
հյուրերովս	hʏɾɛɾɔvəs
հյուրերս	hʏɾɛɾəs
հյուրը	hʏɾə
հյուրի	hʏɾi
հյուրիդ	hʏɾitʰ
հյուրին	hʏɾin
հյուրիս	hʏɾis
հյուրն	hʏɾn
հյուրով	hʏɾɔv
հյուրովդ	hʏɾɔvətʰ
հյուրովս	hʏɾɔvəs
հյուրս	hʏɾəs
հնագետ	hənɑkʰɛd
հնագիտություն	hənɑkʰidutʰʏn
հնագույն	hənɑkʰujn
հնազանդ	hənɑzɑntʰ
հնազանդություն	hənɑzɑntʰutʰʏn
հնազանդվել	hənɑzɑntʰvɛl
հնախոս	hənɑχɔs
հնամյա	hənɑmjɑ
հնանալ	hənɑnɑl
հնավուն	hənɑvun
հնար	hənɑɾ
հնարակերտ	hənɑɾɑɡɛɾd
հնարամիտ	hənɑɾɑmid
հնարամտություն	hənɑɾɑmədutʰʏn
հնարավոր	hənɑɾɑvɔɾ
հնարավորություն	hənɑɾɑvɔɾutʰʏn
հնարել	hənɑɾɛl
հնարք	hənɑɾkʰ
հնացած	hənɑt͡sʰɑd͡z
հնացնել	hənɑt͡sʰənɛl
հնգամյա	həŋkʰɑmjɑ
հնդեվրոպաբան	həntʰɛvɾɔbɑpʰɑn
հնդեվրոպաբանություն	həntʰɛvɾɔbɑpʰɑnutʰʏn
հնդեվրոպական	həntʰɛvɾɔbɑɡɑn
հնդեվրոպացի	həntʰɛvɾɔbɑt͡sʰi
հնդիկ	həntʰiɡ
հնդկական	həntʰkɑɡɑn
հնդկահավ	həntʰkɑhɑv
հնդկաչին	həntʰkɑt͡ʃʰin
հնդկաստան	həntʰkɑstɑn
հնդկացի	həntʰkɑt͡sʰi
հնդկացորեն	həntʰkɑt͡sʰɔɾɛn
հնդկերեն	həntʰkɛɾɛn
հնդկընկույզ	həntʰkəŋɡujz
հնդստան	həntʰəstɑn
հնէաբան	hənɛɑpʰɑn
հնձան	hənt͡sʰɑn
հնոտի	hənɔdi
հնոտիք	hənɔdikʰ
հնոց	hənɔt͡sʰ
հնոցապան	hənɔt͡sʰɑbɑn
հնչել	hənt͡ʃʰɛl
հնչյուն	hənt͡ʃʰʏn
հնչյունաբան	hənt͡ʃʰʏnɑpʰɑn
հնչյունական	hənt͡ʃʰʏnɑɡɑn
հնչյունային	hənt͡ʃʰʏnɑjin
հնչույթ	hənt͡ʃʰujtʰ
հո	hɔ
հոբելյան	hɔpʰɛljɑn
հոբելյանական	hɔpʰɛljɑnɑɡɑn
հոբելյար	hɔpʰɛljɑɾ
հոբոյ	hɔpʰɔj
հոգ	hɔkʰ
հոգալ	hɔkʰɑl
հոգատար	hɔkʰɑdɑɾ
հոգեբան	hɔkʰɛpʰɑn
հոգեբանական	hɔkʰɛpʰɑnɑɡɑn
հոգեբանություն	hɔkʰɛpʰɑnutʰʏn
հոգեղեն	hɔkʰɛʁɛn
հոգի	hɔkʰi
հոգնա	hɔkʰnɑ
հոգնած	hɔkʰnɑd͡z
հոգնածություն	hɔkʰnɑd͡zutʰʏn
հոգնակի	hɔkʰnɑɡi
հոգնել	hɔkʰnɛl
հոգնեցնել	hɔkʰnɛt͡sʰənɛl
հոգոց	hɔkʰɔt͡sʰ
հոգս	hɔkʰs
հոգվոց	hɔkʰvɔt͡sʰ
հոդ	hɔtʰ
հոդաբորբ	hɔtʰɑpʰɔɾpʰ
հոդված	hɔtʰvɑd͡z
հոժարել	hɔʒɑɾɛl
հոժարեցնել	hɔʒɑɾɛt͡sʰənɛl
հոժարություն	hɔʒɑɾutʰʏn
հոժարում	hɔʒɑɾum
հոժարվել	hɔʒɑɾvɛl
հոլ	hɔl
հոլաթեւել	hɔlɑtʰɛvɛl
հոլանդական	hɔlɑntʰɑɡɑn
հոլանդացի	hɔlɑntʰɑt͡sʰi
հոլանդերեն	hɔlɑntʰɛɾɛn
հոլանդիա	hɔlɑntʰjɑ
հոլանել	hɔlɑnɛl
հոլանի	hɔlɑni
հոլշտայն	hɔlʃtɑjn
հոլով	hɔlɔv
հոլովակ	hɔlɔvɑɡ
հոլովման	hɔlɔvmɑn
հոլովում	hɔlɔvum
հոլոքոստ	hɔlɔkʰɔst
հոխորտալ	hɔχɔɾdɑl
հոխորտան	hɔχɔɾdɑn
հոխորտանք	hɔχɔɾdɑŋkʰ
հոկայդո	hɔɡɑjtʰɔ
հոկեյ	hɔɡɛj
հոկտեմբեր	hɔɡdɛmpʰɛɾ
հոկտեմբերյան	hɔɡdɛmpʰɛɾjɑn
հոհան	hɔhɑn
հոհենցոլեր	hɔhɛnt͡sʰɔlɛɾ
հոհենցոլերն	hɔhɛnt͡sʰɔlɛɾn
հող	hɔʁ
հողագայլ	hɔʁɑkʰɑjl
հողակոշտ	hɔʁɑɡɔʃt
հողանցում	hɔʁɑnt͡sʰum
հողդողդ	hɔχtʰɔχtʰ
հողդողդել	hɔχtʰɔχtʰɛl
հողեղեն	hɔʁɛʁɛn
հողմ	hɔʁm
հոմանիշ	hɔmɑniʃ
հոմերոս	hɔmɛɾɔs
հոմոֆոբիա	hɔmɔfɔpʰjɑ
հոմս	hɔms
հոյակապ	hɔjɑɡɑb
հոյակառույց	hɔjɑɡɑɾujt͡sʰ
հոյակերտ	hɔjɑɡɛɾd
հոյաշեն	hɔjɑʃɛn
հոն	hɔn
հոնդուրաս	hɔntʰuɾɑs
հոնկոնգ	hɔŋɡɔŋkʰ
հոնոլուլու	hɔnɔlulu
հոնորիոս	hɔnɔɾiɔs
հոնսյու	hɔnsʏ
հոնք	hɔŋkʰ
հոշոտել	hɔʃɔdɛl
հոուգանգ	hɔukʰɑŋkʰ
հոպար	hɔbɑɾ
հոպնակ	hɔbnɑɡ
հոպոպ	hɔbɔb
հոռետես	hɔɾɛdɛs
հոռի	hɔɾi
հոռովել	hɔɾɔvɛl
հոս	hɔs
հոսանուտ	hɔsɑnud
հոսանք	hɔsɑŋkʰ
հոսնական	hɔsnɑɡɑn
հոսք	hɔskʰ
հով	hɔv
հովազ	hɔvɑz
հովանի	hɔvɑni
հովանուտ	hɔvɑnud
հովիկ	hɔviɡ
հովիտ	hɔvid
հովհաննես	hɔvhɑnːɛs
հովհաննես	hɔvɑnɛs
հովհաննիսյան	hɔvhɑnːisjɑn
հովհաննիսյան	hɔvɑnisjɑn
հովհար	hɔvhɑɾ
հովնան	hɔvnɑn
հովո	hɔvɔ
հովսեփ	hɔfsɛpʰ
հոտ	hɔd
հոտաղ	hɔdɑʁ
հոտել	hɔdɛl
հոտոտել	hɔdɔdɛl
հոր	hɔɾ
հորա	hɔɾɑ
հորան	hɔɾɑn
հորանջ	hɔɾɑnt͡ʃʰ
հորանջել	hɔɾɑnt͡ʃʰɛl
հորացիոս	hɔɾɑt͡sʰiɔs
հորաքույր	hɔɾɑkʰujɾ
հորաքրոջ	hɔɾɑkʰəɾɔt͡ʃʰ
հորդ	hɔɾtʰ
հորդանան	hɔɾtʰɑnɑn
հորդել	hɔɾtʰɛl
հորդորակ	hɔɾtʰɔɾɑɡ
հորդորանք	hɔɾtʰɔɾɑŋkʰ
հորդորել	hɔɾtʰɔɾɛl
հորդորեցուցիչ	hɔɾtʰɔɾɛt͡sʰut͡sʰit͡ʃʰ
հորդորիչ	hɔɾtʰɔɾit͡ʃʰ
հորեղբայր	hɔɾɛχpɑjɾ
հորեղբոր	hɔɾɛχpɔɾ
հորթ	hɔɾtʰ
հորթուկ	hɔɾtʰuɡ
հորիզոն	hɔɾizɔn
հորիզոնական	hɔɾizɔnɑɡɑn
հորողբեր	hɔɾɔχpɛɾ
հորովել	hɔɾɔvɛl
հորու	hɔɾu
հորջորջ	hɔɾt͡ʃʰɔɾt͡ʃʰ
հորջորջանք	hɔɾt͡ʃʰɔɾt͡ʃʰɑŋkʰ
հորջորջել	hɔɾt͡ʃʰɔɾt͡ʃʰɛl
հորս	hɔɾs
հորսայս	hɔɾsɑjs
հորքուր	hɔɾkʰuɾ
հու	hu
հուանհե	huɑnhɛ
հուբեյ	hupʰɛj
հուգենոտ	hukʰɛnɔd
հուդա	hutʰɑ
հուդայականություն	hutʰɑjɑɡɑnutʰʏn
հուդզոն	hutʰzɔn
հուդիթ	hutʰitʰ
հուզել	huzɛl
հուզիչ	huzit͡ʃʰ
հուզող	huzɔʁ
հուժկու	huʒɡu
հուլիս	hulis
հուլիսյան	hulisjɑn
հուլունք	huluŋkʰ
հում	hum
հումանիզմ	humɑnizm
հումանիստ	humɑnist
հումանիտար	humɑnidɑɾ
հումոր	humɔɾ
հումուս	humus
հումք	humkʰ
հույզ	hujz
հույլ	hujl
հույլք	hujlkʰ
հույն	hujn
հույս	hujs
հույր	hujɾ
հուն	hun
հունական	hunɑɡɑn
հունան	hunɑn
հունաստան	hunɑstɑn
հունավոր	hunɑvɔɾ
հունարեն	hunɑɾɛn
հունգարացի	huŋkʰɑɾɑt͡sʰi
հունգարերեն	huŋkʰɑɾɛɾɛn
հունգարիա	huŋkʰɑɾjɑ
հունդ	huntʰ
հուներեն	hunɛɾɛn
հունիս	hunis
հունիսյան	hunisjɑn
հունձ	hunt͡sʰ
հունվար	hunvɑɾ
հունվարյան	hunvɑɾjɑn
հունքուբունք	huŋkʰupʰuŋkʰ
հուշ	huʃ
հուշանվեր	huʃɑnəvɛɾ
հուշարձան	huʃɑɾt͡sʰɑn
հուշեր	huʃɛɾ
հուռ	huɾ
հուռթանալ	huɾtʰɑnɑl
հուռութ	huɾutʰ
հուռութք	huɾutʰkʰ
հուսադրել	husɑtʰɾɛl
հուսալի	husɑli
հուսալքել	husɑləkʰɛl
հուսալքություն	husɑləkʰutʰʏn
հուսալքված	husɑləkʰvɑd͡z
հուսակորույս	husɑɡɔɾujs
հուսակտուր	husɑɡəduɾ
հուսահատ	husɑhɑd
հուսահատեցնել	husɑhɑdɛt͡sʰənɛl
հուսահատեցնող	husɑhɑdɛt͡sʰnɔʁ
հուսահատություն	husɑhɑdutʰʏn
հուսահատվել	husɑhɑdvɛl
հուսիկ	husiɡ
հուր	huɾ
հուրոն	huɾɔn
հպատակվել	həbɑdɑɡvɛl
հպարտ	həbɑɾd
հպարտանալ	həbɑɾdɑnɑl
հպարտություն	həbɑɾdutʰʏn
հռենոս	həɾɛnɔs
հռենոս	hɾɛnɔs
հռետոր	hɾɛdɔɾ
հռետորաբան	həɾɛdɔɾɑpʰɑn
հռետորաբանություն	həɾɛdɔɾɑpʰɑnutʰʏn
հռետորաբանություն	hɾɛdɔɾɑpʰɑnutʰʏn
հռիփսիմե	hɾipʰsimɛ
հռոդոս	hɾɔtʰɔs
