да	dˈɑ
күмәнданып	kumændˈɑnəp
күнтізбе	kuntɪzbˈe
күштерден	kuʃteɾdˈen
кәсіпорындарының	kæsɪpˈoɾəndɑɾənəŋ
көбейтеді	kɵbejtedˈɪ
көкесі	kɵkesˈɪ
көлдер	kɵɫdˈeɾ
көмектесемін	kɵmektesemˈɪn
көмекшілерінің	kɵmekʃɪleɾɪnˈɪŋ
көндіре	kɵndɪɾˈe
көндіріп	kɵndɪɾˈɪp
көрмеді	kɵɾmedˈɪ
көрмепті	kɵɾmeptˈɪ
көршіміз	kɵɾʃɪmˈɪz
көтергісі	kɵteɾɡɪsˈɪ
көштік	kɵʃtˈɪk
лаңкестерге	ɫɑŋkesteɾɡˈe
лизингке	ɫəjzəjnɡke
майлап	mɑjɫˈɑp
манағы	mɑnˈɑʀə
математик	mɑtemˈɑtəjk
материалдардан	mɑtˈeɾəjɑɫdɑɾdɑn
маусымындағы	mˈɑwsəməndɑʀə
мақалаларының	mɑqɑɫɑɫˈɑɾənəŋ
мақтаулы	mɑqtˈɑwɫə
маңдайын	mɑŋdˈɑjən
мейрамды	mejɾˈɑmdə
мекемедегі	mekemedeɡˈɪ
мекенжай	mekenʒˈɑj
мемлекетінен	memleketɪnˈen
мерекелерде	meɾekeleɾdˈe
мерзімнің	meɾzɪmnˈɪŋ
миллиондардың	məjɫɫəjondɑɾdəŋ
министрден	məjnəjstɾden
млд	məɫədə
молдасы	moɫdˈɑsə
монументіне	monwmentɪnˈe
моторлы	motˈoɾɫə
мықтылығы	məqtəɫəʀə
мыңыншы	məŋənʃə
мінберге	mɪnbeɾɡˈe
міндеттемелеріне	mɪndettemeleɾɪnˈe
мұралар	mʊɾɑɫˈɑɾ
мұрағаттар	mʊɾɑʀɑttˈɑɾ
мұңлы	mˈʊŋɫə
мә	mˈæ
мәжілісті	mæʒɪlɪstˈɪ
мәлімдегенін	mælɪmdeɡenˈɪn
мәлімдемеден	mælɪmdemedˈen
мәлімдесе	mælɪmdesˈe
мәтел	mætˈeɫ
мәтіндер	mætɪndˈeɾ
мәтінінде	mætɪnɪndˈe
негізіндегі	neɡɪzɪndeɡˈɪ
ниеттен	nəjetten
номері	nomeɾˈɪ
нормасын	noɾmˈɑsən
нысанасы	nəsɑnɑsə
нұсқаған	nʊsqɑʀˈɑn
нән	nˈæn
ойламаппын	ojɫɑmˈɑppən
ойларымды	ojɫˈɑɾəmdə
ойнаса	ojnɑsˈɑ
ойылып	ˈojəɫəp
олигархы	ˈoɫəjɡɑɾxə
ондайларды	ondɑjɫˈɑɾdə
онжылдық	ˈonʒəɫdəq
опасыз	opˈɑsəz
операциялардың	opeɾˈɑtsəjjaɫɑɾdəŋ
органын	oɾɡˈɑnən
ордасында	oɾdˈɑsəndɑ
орналастырылады	oɾnɑɫˈɑstəɾəɫɑdə
орталықтарға	oɾtˈɑɫəqtɑɾʀɑ
орындалғаны	ˈoɾəndɑɫʀɑnə
орынында	ˈoɾənəndɑ
орыстармен	ˈoɾəstɑɾmen
отбасымның	otbˈɑsəmnəŋ
отырмаса	ˈotəɾmɑsɑ
отырғызуға	ˈotəɾʀəzwʀɑ
оянады	ojanˈɑdə
оятады	ojatˈɑdə
оқушысына	ˈoqwʃəsənɑ
оқшауланған	oqʃɑwɫɑnʀˈɑn
оқырманымыздың	ˈoqəɾmɑnəməzdəŋ
оңайлатылған	oŋɑjɫˈɑtəɫʀɑn
оңдырмай	ˈoŋdəɾmɑj
оңтүстіктен	oŋtustɪktˈen
пайдаланатындар	pɑjdɑɫɑnˈɑtəndɑɾ
пайызсыз	pˈɑjəzsəz
палуандарының	pɑɫwɑndˈɑɾənəŋ
парламентпен	pɑɾɫɑmentpˈen
партизандық	pˈɑɾtəjzɑndəq
плагиат	pɫˈɑɡəjɑt
портына	pˈoɾtənɑ
поэзиясына	poˈezəjjasənɑ
прагматикалық	pɾɑɡmˈɑtəjkɑɫəq
президенттігінен	pɾˈezəjdenttɪɡɪnen
принтер	pɾəjnteɾ
протестанттық	pɾotestˈɑnttəq
процестердің	pɾotsesteɾdˈɪŋ
психологы	psəjxoɫoɡə
пікірінің	pɪkɪɾɪnˈɪŋ
пәледен	pæledˈen
пәс	pˈæs
ратификациялаған	ɾˈɑtəjfəjkɑtsəjjaɫɑʀɑn
революцияны	ɾevoɫjˈutsəjjanə
ресурсын	ɾˈeswɾsən
реттелген	ɾetteɫɡˈen
рынок	ɾənok
рәсімінен	ɾæsɪmɪnˈen
сазгерлер	sɑzɡeɾlˈeɾ
сайды	sˈɑjdə
сайып	sˈɑjəp
сайыстар	sˈɑjəstɑɾ
салам	sɑɫˈɑm
салафит	sɑɫˈɑfəjt
салдарлары	sɑɫdɑɾɫˈɑɾə
салмасын	sɑɫmˈɑsən
салтанатпен	sɑɫtɑnɑtpˈen
салушылардың	sˈɑɫwʃəɫɑɾdəŋ
салғанды	sɑɫʀˈɑndə
санамызға	sɑnˈɑməzʀɑ
санауды	sɑnˈɑwdə
сарайда	sɑɾɑjdˈɑ
сарайындағы	sɑɾˈɑjəndɑʀə
сарбаздарды	sɑɾbɑzdˈɑɾdə
сарбаздарын	sɑɾbɑzdˈɑɾən
сарынды	sˈɑɾəndə
сататындар	sɑtˈɑtəndɑɾ
сатуда	sɑtwdˈɑ
сатқанын	sɑtqˈɑnən
саулығы	sˈɑwɫəʀə
саусағының	sɑwsˈɑʀənəŋ
саяқ	sɑjˈaq
сақшыларына	sˈɑqʃəɫɑɾənɑ
себебіміз	sebebɪmˈɪz
семинарға	sˈeməjnɑɾʀɑ
сендірді	sendɪɾdˈɪ
сенімен	senɪmˈen
сенімхат	senɪmxˈɑt
сержанты	seɾʒˈɑntə
сертификаттау	sˈeɾtəjfəjkɑttɑw
серіктестіктің	seɾɪktestɪktˈɪŋ
сигнал	səjɡnɑɫ
совхозы	sovxˈozə
содырлармен	sˈodəɾɫɑɾmen
сойылған	sˈojəɫʀɑn
солдаттың	soɫdˈɑttəŋ
сомада	somɑdˈɑ
сорақылықты	soɾˈɑqəɫəqtə
спектакльге	spektɑkɫʔɡˈe
спутнигін	spwtnəjɡɪn
станциясындағы	stˈɑntsəjjasəndɑʀə
статус	stˈɑtws
стационарлық	stˈɑtsəjonɑɾɫəq
студия	stwdəjja
суреттеледі	swɾetteledˈɪ
сценарист	stsenˈɑɾəjst
сыбысты	səbəstə
сыймаған	səjmɑʀɑn
сыналатын	sənɑɫɑtən
сынаудың	sənɑwdəŋ
сыршыл	səɾʃəɫ
сықпыты	səqpətə
сүйегіне	sujeɡɪnˈe
сүр	sˈuɾ
сәйкестігін	sæjkestɪɡˈɪn
сәйкесінше	sæjkesɪnʃˈe
сәтінен	sætɪnˈen
сәуірі	sæwɪɾˈɪ
сөйлеспей	sɵjlespˈej
сөйлету	sɵjlˈetw
талғамайтын	tɑɫʀɑmˈɑjtən
талғамына	tɑɫʀˈɑmənɑ
тамашалау	tɑmɑʃɑɫˈɑw
таным	tˈɑnəm
таныстыратын	tˈɑnəstəɾɑtən
тапқыр	tˈɑpqəɾ
таралыммен	tɑɾˈɑɫəmmen
таратуына	tɑɾˈɑtwənɑ
тартылғаны	tˈɑɾtəɫʀɑnə
тарылтып	tˈɑɾəɫtəp
тастаудың	tɑstˈɑwdəŋ
тауыса	tˈɑwəsɑ
тағайындалуына	tɑʀˈɑjəndɑɫwənɑ
тағайындаулар	tɑʀˈɑjəndɑwɫɑɾ
тағылуы	tˈɑʀəɫwə
тақаған	tɑqɑʀˈɑn
таңдалған	tɑŋdɑɫʀˈɑn
таңертеңгілік	tɑŋeɾteŋɡɪlˈɪk
таңуға	tɑŋwʀˈɑ
телеарналарын	teleɑɾnɑɫˈɑɾən
телімінің	telɪmɪnˈɪŋ
тергеушілерге	teɾɡewʃɪleɾɡˈe
терезені	teɾezenˈɪ
терімі	teɾɪmˈɪ
терістеп	teɾɪstˈep
технологиялары	texnoɫˈoɡəjjaɫɑɾə
технологияларға	texnoɫˈoɡəjjaɫɑɾʀɑ
тигені	təjɡenɪ
тиіспін	təjɪspɪn
тобықтай	tˈobəqtɑj
томдығы	tˈomdəʀə
томға	tomʀˈɑ
тонның	tˈonnəŋ
топырағынан	tˈopəɾɑʀənɑn
тренинг	tɾˈenəjnɡ
тума	twmˈɑ
тумысынан	twməsənɑn
турнирінде	twɾnəjɾɪnde
туфли	twfɫəj
тыңдадық	təŋdɑdəq
тізімінің	tɪzɪmɪnˈɪŋ
тіреген	tɪɾeɡˈen
тіркелгені	tɪɾkeɫɡenˈɪ
тірлігіне	tɪɾlɪɡɪnˈe
түйеқұс	tujeqˈʊs
түскенімен	tuskenɪmˈen
түсіріледі	tusɪɾɪledˈɪ
тұжырымдамасының	tˈʊʒəɾəmdɑmɑsənəŋ
тұзаққа	tʊzɑqqˈɑ
тұйықтан	tˈʊjəqtɑn
тұрақсыздығы	tʊɾˈɑqsəzdəʀə
тұрғандығын	tʊɾʀˈɑndəʀən
тұрғанымды	tʊɾʀˈɑnəmdə
тұсап	tʊsˈɑp
тәлім	tælˈɪm
тәрбиеден	tˈæɾbəjeden
тәрбиелей	tˈæɾbəjelej
тәрбиелеуде	tˈæɾbəjelewde
төбеде	tɵbedˈe
төге	tɵɡˈe
төлемі	tɵlemˈɪ
төлқұжаттарын	tɵɫqʊʒɑttˈɑɾən
төнер	tɵnˈeɾ
төсеу	tɵsˈew
төңірегінен	tɵŋɪɾeɡɪnˈen
университеттерінің	wnəjveɾsəjtetteɾɪnɪŋ
учаскеде	wt͡ʃɑskedˈe
уәдесінен	wædesɪnˈen
феодалдық	feodˈɑɫdəq
фильмдерінің	fəjɫʔmdeɾɪnɪŋ
фотолар	fotoɫˈɑɾ
функциялары	fwnktsəjjaɫɑɾə
хабарласудың	xɑbɑɾɫˈɑswdəŋ
хабарынан	xɑbˈɑɾənɑn
ханафи	xɑnˈɑfəj
хандарының	xɑndˈɑɾənəŋ
хаос	xɑˈos
цент	tsˈent
церебралды	tseɾebɾˈɑɫdə
чекист	t͡ʃˈekəjst
шабуылдады	ʃˈɑbwəɫdɑdə
шайқалтып	ʃɑjqˈɑɫtəp
шалынып	ʃˈɑɫənəp
шапағаты	ʃɑpɑʀˈɑtə
шартымен	ʃˈɑɾtəmen
шаруадан	ʃɑɾwɑdˈɑn
шатқалы	ʃɑtqˈɑɫə
шахтаның	ʃɑxtˈɑnəŋ
шахтасындағы	ʃɑxtˈɑsəndɑʀə
шахтер	ʃɑxtˈeɾ
шахтерлердің	ʃɑxteɾleɾdˈɪŋ
шағымдануына	ʃˈɑʀəmdɑnwənɑ
шақырғанда	ʃˈɑqəɾʀɑndɑ
шаққа	ʃɑqqˈɑ
шешілгенін	ʃeʃɪɫɡenˈɪn
шикізаттың	ʃəjkɪzɑttəŋ
шошайтып	ʃoʃˈɑjtəp
шудың	ʃwdəŋ
шыдауға	ʃədɑwʀɑ
шырқайтын	ʃəɾqɑjtən
шырқы	ʃəɾqə
шығармаларымен	ʃəʀɑɾmɑɫɑɾəmen
шығармасының	ʃəʀɑɾmɑsənəŋ
шығарын	ʃəʀɑɾən
шығыстан	ʃəʀəstɑn
шығыстың	ʃəʀəstəŋ
шыққасын	ʃəqqɑsən
шыңдай	ʃəŋdɑj
ырғағы	əɾʀɑʀə
ысырылып	əsəɾəɫəp
экологияның	ekoɫˈoɡəjjanəŋ
экскурсия	ˈekskwɾsəjja
эмбарго	embɑɾɡˈo
энциклопедиясы	ˈentsəjkɫopedəjjasə
ілігеді	ɪlɪɡedˈɪ
ілімі	ɪlɪmˈɪ
ілінбеген	ɪlɪnbeɡˈen
іріктелген	ɪɾɪkteɫɡˈen
ішті	ɪʃtˈɪ
Ғалымжанның	ʀˈɑɫəmʒɑnnəŋ
Ғимарат	ʀəjmɑɾɑt
ғалымды	ʀˈɑɫəmdə
Қабылдин	qˈɑbəɫdəjn
Қадір	qɑdˈɪɾ
Қаратай	qɑɾɑtˈɑj
Қарызды	qˈɑɾəzdə
Қожық	qˈoʒəq
Қолдарына	qoɫdˈɑɾənɑ
Қорғау	qoɾʀˈɑw
Қызылағашта	qəzəɫɑʀɑʃtɑ
Қызыр	qəzəɾ
Қымыз	qəməz
Құжаттың	qʊʒˈɑttəŋ
Құм	qˈʊm
Құранға	qʊɾɑnʀˈɑ
Құрманқұл	qʊɾmɑnqˈʊɫ
Құқыққорғаушылар	qˈʊqəqqoɾʀɑwʃəɫɑɾ
қабылдамайтын	qˈɑbəɫdɑmɑjtən
қабылданар	qˈɑbəɫdɑnɑɾ
қабылданатынын	qˈɑbəɫdɑnɑtənən
қазағын	qɑzˈɑʀən
қазағына	qɑzˈɑʀənɑ
қазақпыз	qɑzˈɑqpəz
қазуға	qɑzwʀˈɑ
қазығын	qˈɑzəʀən
қайтармаған	qɑjtɑɾmɑʀˈɑn
қалалықтар	qɑɫˈɑɫəqtɑɾ
қалау	qɑɫˈɑw
қалдықтарының	qˈɑɫdəqtɑɾənəŋ
қалмайық	qɑɫmˈɑjəq
қалмасы	qɑɫmˈɑsə
қалмағаны	qɑɫmɑʀˈɑnə
қалғанға	qɑɫʀɑnʀˈɑ
қанағаттанбаған	qɑnɑʀɑttɑnbɑʀˈɑn
қандастарының	qɑndɑstˈɑɾənəŋ
қанымыз	qˈɑnəməz
қапаста	qɑpɑstˈɑ
қарарға	qɑɾɑɾʀˈɑ
қарақшылардың	qɑɾˈɑqʃəɫɑɾdəŋ
қаржыландыруы	qˈɑɾʒəɫɑndəɾwə
қарның	qˈɑɾnəŋ
қарындасын	qˈɑɾəndɑsən
қарындасының	qˈɑɾəndɑsənəŋ
қатарының	qɑtˈɑɾənəŋ
қатігездік	qɑtɪɡezdˈɪk
қауымдастықтары	qˈɑwəmdɑstəqtɑɾə
қауымдастықтарының	qˈɑwəmdɑstəqtɑɾənəŋ
қашырған	qˈɑʃəɾʀɑn
қашқақтап	qɑʃqɑqtˈɑp
қағидасына	qˈɑʀəjdɑsənɑ
қимылдайтын	qəjməɫdɑjtən
қозғалтқыш	qozʀˈɑɫtqəʃ
қозғалыпты	qozʀˈɑɫəptə
қоймақшы	qojmˈɑqʃə
қойсам	qojsˈɑm
қойғанымыз	qojʀˈɑnəməz
қолдамай	qoɫdɑmˈɑj
қолданбайды	qoɫdɑnbˈɑjdə
қолданбақ	qoɫdɑnbˈɑq
қолдауымыз	qoɫdˈɑwəməz
қолжазбасын	qoɫʒɑzbˈɑsən
қонақтарының	qonɑqtˈɑɾənəŋ
қонбайды	qonbˈɑjdə
қонысқа	qˈonəsqɑ
қорларды	qoɾɫˈɑɾdə
қортындысына	qˈoɾtəndəsənɑ
қорымға	qˈoɾəmʀɑ
қорғалуын	qoɾʀˈɑɫwən
қорғауында	qoɾʀˈɑwəndɑ
қосудың	qˈoswdəŋ
қосымшалар	qˈosəmʃɑɫɑɾ
қосынына	qˈosənənɑ
қошқардың	qoʃqˈɑɾdəŋ
қоясыз	qojˈasəz
қудалауы	qwdɑɫˈɑwə
қызылдар	qəzəɫdɑɾ
қылмыскердің	qəɫməskeɾdɪŋ
қылықтар	qəɫəqtɑɾ
қымбаттайтынын	qəmbɑttɑjtənən
қымбаттағаны	qəmbɑttɑʀɑnə
қымыздың	qəməzdəŋ
қырда	qəɾdɑ
құдалар	qʊdɑɫˈɑɾ
құдіреті	qʊdɪɾetˈɪ
құлан	qʊɫˈɑn
құлатпақ	qʊɫɑtpˈɑq
құлау	qʊɫˈɑw
құптай	qʊptˈɑj
құрай	qʊɾˈɑj
құралмен	qʊɾɑɫmˈen
құралында	qʊɾˈɑɫəndɑ
құрбылары	qˈʊɾbəɫɑɾə
құрылымдарда	qˈʊɾəɫəmdɑɾdɑ
құрылғыларын	qˈʊɾəɫʀəɫɑɾən
құстарды	qʊstˈɑɾdə
Үндістандағы	undɪstɑndˈɑʀə
Үштаған	uʃtɑʀˈɑn
Үшқоңыр	uʃqˈoŋəɾ
үміттенді	umɪttendˈɪ
үнемді	unemdˈɪ
Ұлбала	ʊɫbɑɫˈɑ
Ұсақ	ʊsˈɑq
ұйымдастыруда	ˈʊjəmdɑstəɾwdɑ
ұйымындағы	ˈʊjəməndɑʀə
ұланы	ʊɫˈɑnə
ұласатын	ʊɫɑsˈɑtən
ұлдарына	ʊɫdˈɑɾənɑ
ұмтыла	ˈʊmtəɫɑ
ұру	ˈʊɾw
ұстағанда	ʊstɑʀɑndˈɑ
ұттық	ˈʊttəq
ұшырағандардың	ˈʊʃəɾɑʀɑndɑɾdəŋ
ұясындай	ʊjˈasəndɑj
ұғымдардың	ˈʊʀəmdɑɾdəŋ
Әбиевтің	ˈæbəjevtɪŋ
Әбіловке	æbɪɫovkˈe
Әбішевтің	æbɪʃevtˈɪŋ
Әлішердің	ælɪʃeɾdˈɪŋ
Әминовке	ˈæməjnovke
Әуелбек	æweɫbˈek
әдіске	ædɪskˈe
әкімшілікті	ækɪmʃɪlɪktˈɪ
әлден	æɫdˈen
әнұранның	ænʊɾˈɑnnəŋ
әркімге	æɾkɪmɡˈe
әсірелеп	æsɪɾelˈep
әсіреұлтшылдар	æsɪɾeˈʊɫtʃəɫdɑɾ
әшейін	æʃejˈɪn
Өгей	ɵɡˈej
Өзімді	ɵzɪmdˈɪ
Өмірдің	ɵmɪɾdˈɪŋ
Өміржан	ɵmɪɾʒˈɑn
Өтежан	ɵteʒˈɑn
өкілдігін	ɵkɪɫdɪɡˈɪn
өкіметін	ɵkɪmetˈɪn
өлтіргендер	ɵɫtɪɾɡendˈeɾ
өлтірмек	ɵɫtɪɾmˈek
өлімнен	ɵlɪmnˈen
өндірісіндегі	ɵndɪɾɪsɪndeɡˈɪ
өркениеттің	ɵɾkˈenəjettɪŋ
өсуге	ɵswɡˈe
өсімінің	ɵsɪmɪnˈɪŋ
өтетіндігі	ɵtetɪndɪɡˈɪ
өңірлердегі	ɵŋɪɾleɾdeɡˈɪ
ІЖӨ	ɪʒˈɵ
Ізтұрған	ɪztʊɾʀˈɑn
Авторлар	ɑvtoɾɫˈɑɾ
Аджип	ˈɑdʒəjp
Азов	ɑzˈov
Айткеннің	ɑjtkennˈɪŋ
Алтайдан	ɑɫtɑjdˈɑn
Аманбай	ɑmɑnbˈɑj
Англияға	ˈɑnɡɫəjjaʀɑ
Анық	ˈɑnəq
Апай	ɑpˈɑj
Ардақты	ɑɾdˈɑqtə
Арич	ˈɑɾəjt͡ʃ
Арменияны	ɑɾmˈenəjjanə
Арқаға	ɑɾqɑʀˈɑ
Аспанға	ɑspɑnʀˈɑ
Асқарұлы	ɑsqɑɾˈʊɫə
Аумағы	ɑwmˈɑʀə
Аустрияда	ˈɑwstɾəjjadɑ
Аустрияға	ˈɑwstɾəjjaʀɑ
Ашылу	ˈɑʃəɫw
Ашықбаев	ˈɑʃəqbɑev
Ақмол	ɑqmˈoɫ
Ақтық	ˈɑqtəq
Ақшалов	ɑqʃɑɫˈov
Аққу	ˈɑqqw
Бабаев	bɑbɑˈev
Байділдаева	bɑjdɪɫdɑevˈɑ
Байлық	bˈɑjɫəq
Байқаймын	bɑjqˈɑjmən
Балтабай	bɑɫtɑbˈɑj
Барар	bɑɾˈɑɾ
Басшысы	bˈɑsʃəsə
Басқару	bɑsqˈɑɾw
Бағдарламада	bɑʀdɑɾɫɑmɑdˈɑ
Бекенов	bekenˈov
Бекер	bekˈeɾ
Бельгердің	beɫʔɡeɾdˈɪŋ
Бердалиев	beɾdˈɑɫəjev
Бисенбаеваның	bəjsenbɑevɑnəŋ
Биылдың	bəjəɫdəŋ
Британиядағы	bɾəjtɑnəjjadɑʀə
Брюссельдің	bɾjusseɫʔdˈɪŋ
Бурабайға	bwɾɑbɑjʀˈɑ
Біздіңше	bɪzdɪŋʃˈe
Біреуге	bɪɾewɡˈe
Бұйрық	bˈʊjɾəq
Вальс	vˈɑɫʔs
Ванкуверде	vɑnkwveɾdˈe
Видеоны	vəjdeonə
ГУАМ	ɡwˈɑm
Грозныйда	ɡɾˈoznəjdɑ
ДВК	dəvəkə
Даниил	dˈɑnəjəjɫ
Девальвациядан	devɑɫʔvˈɑtsəjjadɑn
Деректер	deɾektˈeɾ
Динараның	dəjnɑɾɑnəŋ
Диссидент	dəjssəjdent
Диханның	dəjxɑnnəŋ
Днепр	dnˈepɾ
Доктор	doktˈoɾ
Дубнов	dwbnˈov
Дүйсенбаев	dujsenbɑˈev
Евней	evnˈej
Егоров	eɡoɾˈov
Едігеев	edɪɡeˈev
Ердоғанға	eɾdoʀɑnʀˈɑ
Ерманның	eɾmˈɑnnəŋ
Ермектің	eɾmektˈɪŋ
Еріктілер	eɾɪktɪlˈeɾ
Ескелді	eskeɫdˈɪ
Есте	estˈe
Еуропалықтар	ewɾopˈɑɫəqtɑɾ
Еңбекші	eŋbekʃˈɪ
Жавад	ʒɑvˈɑd
Жайшылықта	ʒˈɑjʃəɫəqtɑ
Жалдамалы	ʒɑɫdɑmˈɑɫə
Жамбылға	ʒˈɑmbəɫʀɑ
Жанардың	ʒɑnˈɑɾdəŋ
Жанжал	ʒɑnʒˈɑɫ
Жаныма	ʒˈɑnəmɑ
Жанында	ʒˈɑnəndɑ
Жарлыққа	ʒˈɑɾɫəqqɑ
Жағымпаздар	ʒˈɑʀəmpɑzdɑɾ
Жағыпарұлы	ʒˈɑʀəpɑɾʊɫə
Жақсыбековтің	ʒˈɑqsəbekovtɪŋ
Жаңатұрмыс	ʒɑŋɑtˈʊɾməs
Жемқор	ʒemqˈoɾ
Жиналғандардың	ʒəjnɑɫʀɑndɑɾdəŋ
Жолай	ʒoɫˈɑj
Журналистика	ʒwɾnˈɑɫəjstəjkɑ
Жөн	ʒˈɵn
Имамдар	əjmɑmdɑɾ
Исламда	əjsɫɑmdɑ
Кандидат	kˈɑndəjdɑt
Карачи	kɑɾˈɑt͡ʃəj
Катерина	kɑtˈeɾəjnɑ
Кетебаевты	ketebɑˈevtə
Кинг	kəjnɡ
Комета	kometˈɑ
Компартиясының	kompˈɑɾtəjjasənəŋ
Кравченко	kɾɑvt͡ʃenkˈo
Кундуз	kwndwz
Кітапты	kɪtˈɑptə
Кішкене	kɪʃkenˈe
Күндердің	kundeɾdˈɪŋ
Көпшіліктің	kɵpʃɪlɪktˈɪŋ
Көшкін	kɵʃkˈɪn
Лагерь	ɫɑɡˈeɾʔ
Лада	ɫɑdˈɑ
Латакия	ɫɑtˈɑkəjja
Майлин	mˈɑjɫəjn
Майраның	mɑjɾˈɑnəŋ
Мамаев	mɑmɑˈev
Матч	mˈɑtt͡ʃ
Махмұт	mɑxmˈʊt
Маңғыстаулық	mˈɑŋʀəstɑwɫəq
Медведевке	medvedevkˈe
Медетбеков	medetbekˈov
Миллиардтаған	məjɫɫəjɑɾdtɑʀɑn
Мирошников	məjɾoʃnəjkov
Молдажанова	moɫdɑʒɑnovˈɑ
Молдовадан	moɫdovɑdˈɑn
Мысырда	məsəɾdɑ
Мұнайшы	mʊnˈɑjʃə
Мұсылмандары	mˈʊsəɫmɑndɑɾə
Мұхаңның	mʊxˈɑŋnəŋ
Мәкен	mækˈen
Мәрзия	mˈæɾzəjja
Мәуленовтің	mæwlenovtˈɪŋ
Навмидин	nˈɑvməjdəjn
Нәтижесі	nˈætəjʒesɪ
Обидхон	ˈobəjdxon
Озода	ozodˈɑ
Оразбаева	oɾɑzbɑevˈɑ
Оразбеков	oɾɑzbekˈov
Оралбаев	oɾɑɫbɑˈev
Орнына	ˈoɾnənɑ
Оқиғаны	ˈoqəjʀɑnə
Парижден	pˈɑɾəjʒden
Пастордың	pɑstˈoɾdəŋ
Полициямен	pˈoɫəjtsəjjamen
Пошта	poʃtˈɑ
Правдивая	pɾˈɑvdəjvɑja
Радик	ɾˈɑdəjk
Радио	ɾˈɑdəjo
Рамазанов	ɾɑmɑzɑnˈov
Рахметова	ɾɑxmetovˈɑ
Рақымшылық	ɾˈɑqəmʃəɫəq
Режим	ɾˈeʒəjm
Резван	ɾezvˈɑn
Респонденттердің	ɾespondentteɾdˈɪŋ
Рональд	ɾonˈɑɫʔd
Руза	ɾwzˈɑ
Русланның	ɾwsɫˈɑnnəŋ
Рымбаева	ɾəmbɑevɑ
Сабина	sˈɑbəjnɑ
Сандық	sˈɑndəq
Сарай	sɑɾˈɑj
Сексен	seksˈen
Серғазы	seɾʀˈɑzə
Скандинавия	skˈɑndəjnɑvəjja
Снежанна	sneʒɑnnˈɑ
Сноуденге	snowdenɡˈe
Сноуденнің	snowdennˈɪŋ
Сорлы	sˈoɾɫə
Спортта	spoɾttˈɑ
Спортшылар	spˈoɾtʃəɫɑɾ
Сталинград	stˈɑɫəjnɡɾɑd
Стратегия	sətɾɑtˈeɡəjja
Сәрінжіпов	sæɾɪnʒɪpˈov
Тазабек	tɑzɑbˈek
Таксим	tˈɑksəjm
Таяқ	tɑjˈaq
Таңдау	tɑŋdˈɑw
Трарье	tɾɑɾʔˈe
Түркменстаннан	tuɾkmenstɑnnˈɑn
Түркіменстанмен	tuɾkɪmenstɑnmˈen
Төмендегі	tɵmendeɡˈɪ
Төрехан	tɵɾexˈɑn
Фрунзе	fɾwnzˈe
Халал	xɑɫˈɑɫ
Хасанов	xɑsɑnˈov
Хейгел	xejɡˈeɫ
Хорезм	xoɾˈezm
Хоссейн	xossˈejn
Храпуновты	xɾɑpwnˈovtə
Христос	xɾəjstos
Чэнь	t͡ʃˈenʔ
Шала	ʃɑɫˈɑ
Шекарадан	ʃekɑɾɑdˈɑn
Шекспир	ʃˈekspəjɾ
Шенеуніктің	ʃenewnɪktˈɪŋ
Штаттарына	ʃtɑttˈɑɾənɑ
Шығын	ʃəʀən
Эбола	eboɫˈɑ
Экстремистік	ekstɾˈeməjstɪk
Элеонора	eleonoɾˈɑ
ЯОБ	jaˈob
агрессияға	ɑɡɾˈessəjjaʀɑ
адамдарымыз	ɑdɑmdˈɑɾəməz
айналдырудың	ɑjnˈɑɫdəɾwdəŋ
айналдырғанын	ɑjnˈɑɫdəɾʀɑnən
айналмауы	ɑjnɑɫmˈɑwə
айнымайды	ˈɑjnəmɑjdə
айтарымды	ɑjtˈɑɾəmdə
айтпайсың	ɑjtpˈɑjsəŋ
айтпапты	ɑjtpˈɑptə
айтылғандарға	ˈɑjtəɫʀɑndɑɾʀɑ
айтқанында	ɑjtqˈɑnəndɑ
айыпкерлер	ˈɑjəpkeɾleɾ
айыптан	ˈɑjəptɑn
айыптаудан	ˈɑjəptɑwdɑn
айыптаулармен	ˈɑjəptɑwɫɑɾmen
айыптаушылардың	ˈɑjəptɑwʃəɫɑɾdəŋ
аларын	ɑɫˈɑɾən
алатындығына	ɑɫˈɑtəndəʀənɑ
алаяқтарға	ɑɫɑjaqtɑɾʀˈɑ
алдарынан	ɑɫdˈɑɾənɑn
алмайтындықтарын	ɑɫmˈɑjtəndəqtɑɾən
алмайтынымыз	ɑɫmˈɑjtənəməz
алмасуы	ɑɫmˈɑswə
алмасқан	ɑɫmɑsqˈɑn
алпауыттардың	ɑɫpˈɑwəttɑɾdəŋ
алулар	ɑɫwɫˈɑɾ
алушыға	ˈɑɫwʃəʀɑ
алынуын	ˈɑɫənwən
альянсының	ɑɫʔjˈansənəŋ
алғам	ɑɫʀˈɑm
алғызып	ˈɑɫʀəzəp
алқапқа	ɑɫqɑpqˈɑ
амандығына	ɑmˈɑndəʀənɑ
анықталыпты	ˈɑnəqtɑɫəptə
апамыздың	ɑpˈɑməzdəŋ
апарамыз	ɑpɑɾˈɑməz
апаруды	ɑpˈɑɾwdə
апарылған	ɑpˈɑɾəɫʀɑn
араладым	ɑɾɑɫˈɑdəm
араласпауы	ɑɾɑɫɑspˈɑwə
аралына	ɑɾˈɑɫənɑ
ардагерлердің	ɑɾdɑɡeɾleɾdˈɪŋ
артығырақ	ˈɑɾtəʀəɾɑq
