va	ʋˈæ
Haj	hˈæd͡ʒ
Hamid	hˈæmyd
Hayvon	hˈæjʋɑn
Hyundai	hjʊndˈæy
Ijrochi	yd͡ʒɾˈɑt͡Sy
Ingichka	yŋˈyt͡Skæ
Jeneva	d͡ʒenˈeʋæ
Kanadada	kˌænædˈædæ
Kemasozlik	kˌemæsˈɑzɫyk
Kime	kˈyme
Konning	kˈɑnnyŋ
Koʻk	kˈok
Kuvayt	kˈʊʋæjt
Laos	lˈæɑs
Liviya	ɫyʋˈyjæ
Maqbara	mæqbˈæɾæ
Matbuot	mætbˈʊɑt
Mesopotamiya	mˌesɑpˌɑtæmˈyjæ
Movarounnahrni	mˌɑʋæɾˌɑʊnnˈæhɾny
Moʻgʻul	mˈoʁʊɫ
Muborak	mʊbˈɑɾæk
Nodir	nˈɑdyɾ
Ochiq	ˈɑt͡Syq
Orollar	ɑɾˈɑɫlæɾ
Osiyodan	ˌɑsyjˈɑdæn
Osiyoni	ˌɑsyjˈɑny
Osmon	ˈɑsmɑn
Ota	ˈɑtæ
Oʻlka	ˈoɫkæ
Panama	pænˈæmæ
Past	pˈæst
Peru	pˈeɾʊ
Qushlar	qˈʊʃlæɾ
Quyoshga	qʊjˈɑʃɡæ
Ravshan	ɾˈæʋʃæn
Samarqandiy	sˌæmæɾqˈændyj
Shisha	ʃˈyʃæ
Shtat	ʃtˈæt
Stadion	stædˈyɑn
Sugʻoriladigan	sˌʊʁɑɾˌylædˈyɡæn
Surunkali	sˌʊɾʊnkˈæɫy
Suvning	sˈʊʋnyŋ
Tbilisi	tbyɫˈysy
Tojikistonda	tˌɑd͡ʒykystˈɑndæ
Tumandagi	tˌʊmændˈæɡy
Uy	ˈʊj
Uzeyir	ʊzˈejyɾ
Vazir	ʋˈæzyɾ
Vikipediya	ʋˌykypedˈyjæ
XIV	χˈyʋ
XVI	χʋˈy
Xoʻjalik	χod͡ʒˈæɫyk
Yevklid	jˈeʋkɫyd
Yevropadan	jˌeʋɾɑpˈædæn
Yuqorida	jˌʊqɑɾˈydæ
afzal	ˈæfzˌæɫ
agregatlar	ˌæɡɾeɡˈætlæɾ
ajralish	æd͡ʒɾˈæɫyʃ
aksar	ˈæksæɾ
albomini	ˌæɫbɑmˈyny
almashinadi	ˌæɫmæʃynˈædy
aralashgan	ˌæɾælˈæʃɡæn
asbest	ˈæsbest
asoslar	æsˈɑslæɾ
atlas	ˈætlæs
atroflarida	ˌætɾɑflˌæɾˈydæ
ayolning	æjˈɑɫnyŋ
azotli	æzˈɑtɫy
baholangan	bˌæhɑlˈæŋæn
bajarilishi	bˌæd͡ʒæɾyɫˈyʃy
bajarishi	bˌæd͡ʒæɾˈyʃy
balchiq	bˈæɫt͡Syq
bek	bˈek
belgilagan	bˌeɫɡylˈæɡæn
bemorlarni	bˌemɑɾlˈæɾny
berganlar	beɾɡˈænlæɾ
berishdan	beɾˈyʃdæn
berishdi	beɾˈyʃdy
bildirdi	byɫdˈyɾdy
binobarin	bˌynɑbˈæɾyn
bogliq	bˈɑɡɫyq
bordilar	bɑɾdˈylæɾ
boriladigan	bˌɑɾylædˈyɡæn
boshlanish	bɑʃlˈænyʃ
boyitish	bɑjˈytyʃ
boʻlgandan	boɫɡˈændæn
boʻlganini	bˌoɫɡænˈyny
boʻshligʻiga	bˌoʃɫyʁˈyɡæ
buyumlarga	bˌʊjʊmlˈæɾɡæ
buyurtma	bʊjˈʊɾtmæ
byudjeti	bjʊdd͡ʒˈety
chatishtirib	t͡Sˌætyʃtˈyɾyb
cheklab	t͡Sˈeklæb
chigit	t͡Sˈyɡyt
chuq	t͡Sˈʊq
daraja	dæɾˈæd͡ʒæ
daraxtlari	dˌæɾæχtlˈæɾy
daryolarning	dˌæɾjɑlˈæɾnyŋ
dasturini	dˌæstʊɾˈyny
dasturlash	dæstˈʊɾlæʃ
davridayoq	dˌæʋɾydˈæjɑq
demak	dˈemæk
detal	dˈetæɫ
dizayn	dˈyzæjn
dizel	dˈyzeɫ
dolomit	dɑɫˈɑmyt
doni	dˈɑny
dushmani	dʊʃmˈæny
efirlar	efˌyɾlæɾ
ehtimollar	ˌehtymˈɑɫlæɾ
ehtiyojini	ˌehtyjɑd͡ʒˈyny
ekini	ekˈyny
elementlardan	ˌelementlˈæɾdæn
emasligi	ˌemæsɫˈyɡy
eroniy	eɾˈɑnyj
ettirdilar	ˌettyɾdˈylæɾ
f	ˈef
fakultetlari	fˌækʊɫtetlˈæɾy
faunasi	fˌæʊnˈæsy
fazilatlar	fˌæzylˈætlæɾ
fizikaning	fˌyzykˈænyŋ
foizga	fˌɑˈyzɡæ
fosforli	fˌɑsfˌɑɾɫy
ganch	ɡˈænt͡S
gazlarni	ɡæzlˈæɾny
geolog	ɡeˈɑɫɑɡ
gullaydi	ɡʊɫlˈæjdy
guruxlari	ɡˌʊɾʊχlˈæɾy
haftalik	hæftˌæɫyk
harakatlanish	hˌæɾækætlˈænyʃ
harbiylar	hæɾbˈyjlæɾ
haykallari	hˌæjkæɫlˈæɾy
hayotdagi	hˌæjɑtdˈæɡy
hayotdan	hæjˈɑtdæn
hayotidan	hˌæjɑtˈydæn
hikoyasi	hˌykɑjˈæsy
homiysi	hɑmˈyjsy
hovli	hˈɑʋɫy
huquqni	hʊqˈʊqny
ijrochiligi	ˌyd͡ʒɾɑt͡Syɫˈyɡy
ikkitasi	ˌykkytˈæsy
imzo	ˈymzɑ
instituta	ˌynstytˈʊtæ
iplar	ˈyplæɾ
iqlimli	yqɫˈymɫy
iqtidorli	ˌyqtydˈɑɾɫy
isbotlab	ysbˈɑtlæb
ishonarli	ˌyʃɑnˈæɾɫy
ishqorlar	yʃqˈɑɾlæɾ
ixtiyoriga	ˌyχtyjɑɾˈyɡæ
jagʻ	d͡ʒˈæʁ
janriga	d͡ʒænɾˈyɡæ
janrlarida	d͡ʒˌænɾlæɾˈydæ
janubga	d͡ʒænˈʊbɡæ
jihati	d͡ʒyhˈæty
jinssiz	d͡ʒˈynssyz
joydagi	d͡ʒɑjdˈæɡy
joylaridan	d͡ʒˌɑjlæɾˈydæn
joylariga	d͡ʒˌɑjlæɾˈyɡæ
joylashishi	d͡ʒˌɑjlæʃˈyʃy
kanalar	kænˈælæɾ
kanalining	kˌænæɫˈynyŋ
kasalligini	kˌæsæɫɫyɡˈyny
katalizatorlar	kˌætæɫˌyzætˈɑɾlæɾ
kelin	kˈeɫyn
kelishuv	keɫˈyʃʊʋ
kesim	kˈesym
ketgach	kˈetɡæt͡S
ketishini	kˌetyʃˈyny
kombinatlari	kˌɑmbynætlˈæɾy
kompressor	kɑmpɾˈessɑɾ
konlarda	kɑnlˈæɾdæ
kora	kˈɑɾæ
korxonalarni	kˌɑɾχɑnælˈæɾny
kukuni	kʊkˈʊny
kunduzgi	kʊndˈʊzɡy
kunjut	kˈʊnd͡ʒʊt
lugʻaviy	ɫʊʁˈæʋyj
madaniyatida	mˌædænˌyjætˈydæ
mahkum	mˈæhkʊm
majlisida	mˌæd͡ʒɫysˈydæ
majmualari	mˌæd͡ʒmʊælˈæɾy
mamlakati	mˌæmlækˈæty
manbalaridan	mˌænbælæɾˈydæn
massasini	mˌæssæsˈyny
mavhum	mˈæʋhʊm
mavjudot	mæʋd͡ʒˈʊdɑt
mavzuli	mæʋzˈʊɫy
mazmundagi	mˌæzmʊndˈæɡy
meni	mˈeny
mexanikasi	mˌeχænykˈæsy
minerallarning	mˌyneɾæɫlˈæɾnyŋ
misra	mˈysɾæ
mitti	mˈytty
moddadan	mɑddˈædæn
moʻljallanadi	mˌoɫd͡ʒæɫlænˈædy
muguz	mˈʊɡʊz
muhimdir	mʊhˈymdyɾ
mukofotlari	mˌʊkɑfˌɑtlˈæɾy
muomalada	mˌʊɑmælˈædæ
muomalaga	mˌʊɑmælˈæɡæ
musiqasida	mˌʊsyqæsˈydæ
musodara	mˌʊsɑdˈæɾæ
mustahkamlashga	mˌʊstæhkæmlˈæʃɡæ
muttasil	mʊttˈæsyɫ
namoz	nˈæmɑz
nayza	nˈæjzæ
neytronlar	nejtɾˈɑnlæɾ
nuqtasidan	nˌʊqtæsˈydæn
ochilib	ɑt͡Sˈyɫyb
oilada	ˌɑylˈædæ
oldinga	ɑɫdˈyŋæ
omillarga	ˌɑmyɫlˈæɾɡæ
operatsion	ˌɑpeɾætsˈyɑn
orden	ˈɑɾden
organlariga	ˌɑɾɡænlæɾˈyɡæ
orolida	ˌɑɾɑɫˈydæ
orta	ˈɑɾtæ
oshgan	ˈɑʃɡæn
oshirilishi	ˌɑʃyɾyɫˈyʃy
oyogʻi	ɑjˈɑʁy
oʻlchashga	oɫt͡Sˈæʃɡæ
oʻtagan	otˈæɡæn
oʻtishini	ˌotyʃˈyny
oʻtkazadigan	ˌotkæzædˈyɡæn
oʻtkazgich	otkˈæzɡyt͡S
oʻtkazuvchanligi	ˌotkæzˌʊʋt͡Sænɫˈyɡy
oʻzgartirildi	ˌozɡæɾtyɾˈyɫdy
passiv	pˈæssyʋ
paytdan	pˈæjtdæn
pirit	pˈyɾyt
pishib	pˈyʃyb
platosi	plætˈɑsy
plitalar	pɫytˈælæɾ
pnevmatik	pneʋmˈætyk
podsholik	pɑdʃˈɑɫyk
polizchilik	pˌɑɫyzt͡Sˈyɫyk
predmeti	pɾedmˈety
prokat	pɾˈɑkæt
pullar	pˈʊɫlæɾ
qanot	qˈænɑt
qasida	qæsˈydæ
qatagʻon	qætˈæʁɑn
qatlamida	qˌætlæmˈydæ
qatlamini	qˌætlæmˈyny
qirolicha	qˌyɾɑɫˈyt͡Sæ
qogʻozga	qɑʁˈɑzɡæ
qoldiq	qˈɑɫdyq
qoldirdi	qɑɫdˈyɾdy
qoldirilgan	qˌɑɫdyɾˈyɫɡæn
qolmoqda	qɑɫmˈɑqdæ
qonunni	qɑnˈʊnny
qorakoʻl	qɑɾˈækoɫ
qotib	qˈɑtyb
qozoqlar	qɑzˈɑqlæɾ
qoʻmondonlik	qˌomɑndˈɑnɫyk
qoʻshiniga	qˌoʃynˈyɡæ
qoʻyilmaydi	qˌojyɫmˈæjdy
qoʻyishi	qojˈyʃy
qoʻymaslik	qojmˈæsɫyk
qurbonlik	qʊɾbˈɑnɫyk
qurila	qʊɾˈylæ
ra	ɾˈæ
raqami	ɾæqˈæmy
reaksiyasini	ɾˌeæksˌyjæsˈyny
rejimini	ɾˌed͡ʒymˈyny
rezavor	ɾezˈæʋɑɾ
risolalar	ɾˌysɑlˈælæɾ
ritmik	ɾˈytmyk
rivojlantirildi	ɾˌyʋɑd͡ʒlˌæntyɾˈyɫdy
rostlash	ɾˈɑstlæʃ
ruhoniylar	ɾˌʊhɑnˈyjlæɾ
sababchi	sæbˈæbt͡Sy
sahnaga	sæhnˈæɡæ
saklangan	sæklˈæŋæn
sakrash	sˈækɾæʃ
saltanati	sˌæɫtænˈæty
sanab	sˈænæb
saroyda	sæɾˈɑjdæ
sayyoralarning	sˌæjjɑɾælˈæɾnyŋ
serhosil	seɾhˈɑsyɫ
shaharlardan	ʃˌæhæɾlˈæɾdæn
shaharlarning	ʃˌæhæɾlˈæɾnyŋ
sharoitlarga	ʃˌæɾɑytlˈæɾɡæ
shartnomasiga	ʃˌæɾtnɑmæsˈyɡæ
shaxmat	ʃˈæχmæt
shimolidagi	ʃˌymɑɫydˈæɡy
shirali	ʃyɾˈæɫy
shish	ʃˈyʃ
shoirlarning	ʃˌɑyɾlˈæɾnyŋ
shoshilinch	ʃɑʃˈyɫynt͡S
shoxlari	ʃɑχlˈæɾy
shuki	ʃˈʊky
simmetrik	symmˈetɾyk
sistemalari	sˌystemælˈæɾy
sistemani	sˌystemˈæny
soʻzlarni	sozlˈæɾny
spirtlar	spˈyɾtlæɾ
sugʻorilgan	sˌʊʁɑɾˈyɫɡæn
suradi	sʊɾˈædy
suvlarni	sʊʋlˈæɾny
suyuqliklar	sˌʊjʊqɫˈyklæɾ
suzgich	sˈʊzɡyt͡S
tadbiq	tˈædbyq
tadbirlarni	tˌædbyɾlˈæɾny
tahlili	tæhɫˈyɫy
tanishadi	tˌænyʃˈædy
tanlagan	tænlˈæɡæn
taraqqiyotning	tˌæɾæqqyjˈɑtnyŋ
tarqala	tæɾqˈælæ
tasarrufida	tˌæsæɾɾʊfˌydæ
tashhis	tˈæʃhys
tashishda	tæʃˈyʃdæ
tashkilotlarning	tˌæʃkyɫɑtlˈæɾnyŋ
tasvirini	tˌæsʋyɾˈyny
tavsif	tˈæʋsyf
taxminlar	tæχmˈynlæɾ
tayinlash	tæjˈynlæʃ
tayyorlovchi	tˌæjjɑɾɫˈɑʋt͡Sy
tebranma	tebɾˈænmæ
tengligi	teŋɫˈyɡy
terida	teɾˈydæ
tezlashadi	tˌezlæʃˈædy
tilni	tˈyɫny
togʻlik	tˈɑʁɫyk
topshirgan	tɑpʃˈyɾɡæn
toshbaqa	tɑʃbˈæqæ
toʻplamida	tˌoplæmˈydæ
toʻplamlarida	tˌoplæmlæɾˈydæ
toʻxtatish	toχtˈætyʃ
tugagach	tʊɡˈæɡæt͡S
tugʻilishi	tˌʊʁyɫˈyʃy
turning	tˈʊɾnyŋ
tutdi	tˈʊtdy
tuxumdan	tʊχˈʊmdæn
tuzatishlar	tˌʊzætˈyʃlæɾ
uchdan	ˈʊt͡Sdæn
uchki	ˈʊt͡Sky
uchrashuvi	ˌʊt͡Sɾæʃˈʊʋy
umurtqasizlar	ˌʊmʊɾtqæsˈyzlæɾ
uslubidagi	ˌʊsɫʊbydˈæɡy
usulidan	ˌʊsʊɫˈydæn
usullarida	ˌʊsʊɫlæɾˈydæ
uzatma	ʊzˈætmæ
vakillar	ʋækˈyɫlæɾ
vakillik	ʋækˈyɫɫyk
vakolatlari	ʋˌækɑlætlˈæɾy
valentli	ʋælˈentɫy
vatan	ʋˈætæn
vaziyati	ʋˌæzyjˈæty
viruslar	ʋyɾˈʊslæɾ
xabarlar	χæbˈæɾlæɾ
xalqini	χæɫqˈyny
xarita	χæɾˈytæ
xayol	χˈæjɑɫ
xonali	χɑnˈæɫy
xonasi	χɑnˈæsy
xristianlar	χɾˌystyˈænlæɾ
yashaydilar	jˌæʃæjdˈylæɾ
yerida	jeɾˈydæ
yerlardan	jeɾlˈæɾdæn
yevropalik	jˌeʋɾɑpˈæɫyk
yilida	jyɫˈydæ
yorilib	jɑɾˈyɫyb
yoriqlar	jɑɾˈyqlæɾ
yozishga	jɑzˈyʃɡæ
yozuvchilari	jˌɑzʊʋt͡Sylˈæɾy
yoʻlning	jˈoɫnyŋ
yoʻnalishlarda	jˌonæɫyʃlˈæɾdæ
yuklar	jˈʊklæɾ
yuradigan	jˌʊɾædˈyɡæn
yurishlarida	jˌʊɾyʃlæɾˈydæ
zahar	zˈæhæɾ
zamonda	zæmˈɑndæ
zanjir	zˈænd͡ʒyɾ
ziddiyatlar	zˌyddyjˈætlæɾ
zulm	zˈʊɫm
Allohga	æɫɫˈɑhɡæ
Amur	ˈæmʊɾ
Aviatsiya	ˌæʋyætsˈyjæ
Avtonom	æʋtˈɑnɑm
Barg	bˈæɾɡ
Belarus	belˈæɾʊs
Bizning	bˌyznyŋ
Boshida	bɑʃˈydæ
Boy	bˈɑj
Budda	bˈʊddæ
Chad	t͡Sˈæd
Chin	t͡Sˈyn
Davosi	dæʋˈɑsy
Dnepr	dnˈepɾ
Fitrat	fˌytɾæt
Fransiyaga	fɾˌænsyjˈæɡæ
Fuqarolar	fˌʊqæɾˈɑlæɾ
Gippokrat	ɡyppˈɑkɾæt
Gretsiya	ɡɾetsˈyjæ
Group	ɡɾˈɑʊp
Gʻijduvon	ʁyd͡ʒdˈʊʋɑn
Hindistondan	hˌyndystˈɑndæn
Huquqiy	hʊqˈʊqyj
Iyulning	yjˈʊɫnyŋ
JAR	d͡ʒˈæɾ
Jahonda	d͡ʒæhˈɑndæ
Jalilov	d͡ʒæɫˈyɫɑʋ
Kamerun	kæmˈeɾʊn
Kishi	kˈyʃy
Kommunistik	kˌɑmmʊnˈystyk
Koreyaning	kˌɑɾejˈænyŋ
Koʻl	kˈoɫ
Lanka	lˈænkæ
Londonda	ɫɑndˈɑndæ
Malakka	mælˈækkæ
Matematika	mˌætemætˈykæ
Mendeleyev	mˌendelˈejeʋ
Millat	mˈyɫlæt
Misol	mˈysɑɫ
Nasaf	nˈæsæf
Navbahor	næʋbˈæhɑɾ
Oltiariq	ˌɑɫtyˈæɾyq
Ossuriya	ˌɑssʊɾˈyjæ
Ozarbayjonga	ˌɑzæɾbæjd͡ʒˈɑŋæ
Oʻsh	ˈoʃ
OʻzRning	ˈozɾnˈyŋ
PSA	psˈæ
Pastki	pˈæstky
Perm	pˈeɾm
Pomir	pˈɑmyɾ
Qadim	qˈædym
Qirgʻiz	qˈyɾʁyz
Qurama	qʊɾˈæmæ
Radio	ɾædˈyɑ
Rivojlangan	ɾˌyʋɑd͡ʒlˈæŋæn
Robert	ɾˈɑbeɾt
Rossiyadan	ɾˌɑssyjˈædæn
Sharkda	ʃˈæɾkdæ
Shashmaqom	ʃæʃmˈæqɑm
Shosh	ʃˈɑʃ
Sil	sˈyɫ
Soliq	sˈɑɫyq
Sudan	sˈʊdæn
Suvni	sˈʊʋny
Togʻlar	tˈɑʁlæɾ
Tuproqlari	tˌʊpɾɑqlˈæɾy
Tyanshan	tjˈænʃæn
Urta	ˈʊɾtæ
Us	ˈʊs
Uzun	ˈʊzʊn
Xalil	χˈæɫyɫ
Xitoydagi	χˌytɑjdˈæɡy
Yapon	jˈæpɑn
Yevropaga	jˌeʋɾɑpˈæɡæ
Yevrosiyo	jˌeʋɾɑsˈyjɑ
Yo	jˈɑ
Zangiota	zˌæŋyˈɑtæ
adabiyotidagi	ˌædæbˌyjɑtydˈæɡy
adiblar	ædˈyblæɾ
ahvol	ˈæhʋɑɫ
alevrolit	ˌæleʋɾˈɑɫyt
almashinish	ˌæɫmæʃˈynyʃ
almashlab	æɫmˈæʃlæb
amaliyot	ˌæmæɫˈyjɑt
amaliyotga	ˌæmæɫyjˈɑtɡæ
ammoniy	æmmˈɑnyj
anatomiya	ˌænætɑmˈyjæ
armiyasining	ˌæɾmyjæsˈynyŋ
ashulalar	ˌæʃʊlˈælæɾ
asimmetrik	ˌæsymmˈetɾyk
asrlik	ˈæsɾɫyk
ataydi	ætˈæjdy
avvaliga	ˌæʋʋæɫˈyɡæ
ayollarda	ˌæjɑɫlˈæɾdæ
aytiladigan	ˌæjtylædˈyɡæn
azaliy	æzˈæɫyj
bariy	bˈæɾyj
bayroq	bˈæjɾɑq
belorus	beɫˈɑɾʊs
bemorni	bemˈɑɾny
beqiyos	beqˈyjɑs
berishadi	bˌeɾyʃˈædy
bezovta	bezˈɑʋtæ
bin	bˈyn
binafsha	bynˈæfʃˌæ
birgina	byɾɡˈynæ
birikmalardan	bˌyɾykmælˈæɾdæn
birjasi	byɾd͡ʒˈæsy
bobdan	bˈɑbdæn
bobo	bˈɑbɑ
bogʻliqligini	bˌɑʁɫyqɫyɡˈyny
boisdan	bɑˈysdæn
bolasi	bɑlˈæsy
boqiladigan	bˌɑqylædˈyɡæn
boradilar	bˌɑɾædˈylæɾ
boshini	bɑʃˈyny
boshlash	bˈɑʃlæʃ
boshqarilgan	bˌɑʃqæɾˈyɫɡæn
boshqasiga	bˌɑʃqæsˈyɡæ
boʻlimlar	boɫˈymlæɾ
boʻlishni	boɫˈyʃny
boʻrtib	bˈoɾtyb
buyuradi	bˌʊjʊɾˈædy
buzilishiga	bˌʊzyɫyʃˈyɡæ
byudjet	bjˈʊdd͡ʒet
ch	t͡Sˈe
chaqiradi	t͡Sˌæqyɾˈædy
chek	t͡Sˈek
cheti	t͡Sˈety
chiqaruvchilari	t͡Sˌyqæɾˌʊʋt͡Sylˈæɾy
chiqishida	t͡Sˌyqyʃˈydæ
choralar	t͡Sɑɾˈælæɾ
chunonchi	t͡Sʊnˈɑnt͡Sy
demokratiya	dˌemɑkɾætˈyjæ
devoriga	dˌeʋɑɾˈyɡæ
di	dˈy
dialektik	dˌyælˈektyk
dinini	dynˈyny
dispers	dˈyspeɾs
dollarini	dˌɑɫlæɾˈyny
dutor	dˈʊtɑɾ
effekti	effˌekty
ekishdan	ekˈyʃdæn
ekspeditsiya	ˌekspedytsˈyjæ
elektronlarning	ˌelektɾɑnlˈæɾnyŋ
endemik	endˈemyk
ertaklar	eɾtˈæklæɾ
ertalab	eɾtˈælæb
eshitib	eʃˈytyb
eslatadi	ˌeslætˈædy
etaklari	ˌetæklˈæɾy
evolyusion	ˌeʋɑɫjʊsˈyɑn
feodal	fˌeˈɑdæɫ
fikri	fˌykɾy
filologiya	fˌyɫɑɫɑɡˈyjæ
fondida	fˌɑndˈydæ
fonema	fˌɑnˈemæ
galaktikalar	ɡˌælæktykˈælæɾ
golland	ɡˈɑɫlænd
goʻng	ɡˈoŋ
gʻoyani	ʁɑjˈæny
hamkorligi	hˌæmkɑɾɫˈyɡy
haqiqatga	hˌæqyqˈætɡæ
harakatning	hˌæɾækˈætnyŋ
havzasining	hˌæʋzæsˈynyŋ
haydovchi	hæjdˈɑʋt͡Sy
hidli	hˈydɫy
hodisalarga	hˌɑdysælˈæɾɡæ
hodisasini	hˌɑdysæsˈyny
hokimiyatining	hˌɑkymˌyjætˈynyŋ
holdagi	hɑɫdˈæɡy
hollari	hɑɫlˈæɾy
hududlarga	hˌʊdʊdlˈæɾɡæ
hukmdorlar	hʊkmdˈɑɾlæɾ
ijodkorlari	ˌyd͡ʒɑdkɑɾlˈæɾy
intensiv	yntˈensyʋ
ionlovchi	ˌyɑnɫˈɑʋt͡Sy
ipi	ˈypy
iqtisodiyotda	ˌyqtysˌɑdyjˈɑtdæ
irqiy	ˈyɾqyj
isbotladi	ˌysbɑtlˈædy
ishida	yʃˈydæ
ishlashda	yʃlˈæʃdæ
ishtirokidagi	ˌyʃtyɾˌɑkydˈæɡy
ispanlar	yspˈænlæɾ
jamgʻarmasi	d͡ʒˌæmʁæɾmˈæsy
jamiyatga	d͡ʒˌæmyjˈætɡæ
jangchi	d͡ʒˈæŋt͡Sy
jangga	d͡ʒˈæŋɡæ
janglar	d͡ʒˈæŋlæɾ
jismi	d͡ʒˈysmy
karab	kˈæɾæb
karbonatli	kˌæɾbɑnˈætɫy
kashtan	kˈæʃtæn
kattalar	kættˈælæɾ
kelajak	kelˈæd͡ʒæk
kelishik	keɫˈyʃyk
kelsa	kˈeɫsæ
kengaytirilgan	kˌeŋæjtyɾˈyɫɡæn
kesilgan	kesˈyɫɡæn
kirishiga	kˌyɾyʃˈyɡæ
kitobdan	kytˈɑbdæn
klublari	kɫʊblˈæɾy
koloniya	kˌɑɫɑnˈyjæ
kompyuterlar	kˌɑmpjʊtˈeɾlæɾ
konkret	kˈɑnkɾet
konlarida	kˌɑnlæɾˈydæ
konstruksiyalari	kˌɑnstɾʊksˌyjælˈæɾy
korxonaning	kˌɑɾχɑnˈænyŋ
koʻlami	kolˈæmy
koʻlamli	kolˈæmɫy
koʻrinma	koɾˈynmæ
kunidan	kʊnˈydæn
kurort	kˈʊɾɑɾt
kutilmagan	kˌʊtyɫmˈæɡæn
lingvistik	ɫyŋʋˈystyk
linza	ɫˈynzæ
majmuini	mˌæd͡ʒmʊˈyny
majoziy	mæd͡ʒˈɑzyj
makaron	mækˈæɾɑn
maktabning	mæktˈæbnyŋ
maqbul	mˈæqbʊɫ
marjon	mˈæɾd͡ʒɑn
mashgʻuloti	mˌæʃʁʊɫˈɑty
masjidlar	mæsd͡ʒˈydlæɾ
mazmunga	mæzmˈʊŋæ
mazmuniga	mˌæzmʊnˈyɡæ
medali	medˈæɫy
meliorativ	mˌeɫyɑɾˈætyʋ
mexanizmini	mˌeχænyzmˈyny
mirzo	mˈyɾzɑ
moslashtirilgan	mˌɑslæʃtyɾˈyɫɡæn
muhimi	mʊhˈymy
muhitdagi	mˌʊhytdˈæɡy
muhtoj	mˈʊhtɑd͡ʒ
muljallangan	mˌʊɫd͡ʒæɫlˈæŋæn
mulkdorlar	mʊɫkdˈɑɾlæɾ
munosabatlarga	mˌʊnɑsˌæbætlˈæɾɡæ
muqaddam	mʊqˈæddæm
murabba	mʊɾˈæbbæ
muzeylarida	mˌʊzejlæɾˈydæ
muzokara	mˌʊzɑkˈæɾæ
namunalaridan	nˌæmʊnˌælæɾˈydæn
nasl	nˈæsɫ
natijalarga	nˌætyd͡ʒælˈæɾɡæ
navli	nˈæʋɫy
niderland	nydˈeɾlænd
nihoyasiga	nˌyhɑjæsˈyɡæ
nomida	nɑmˈydæ
nurash	nˈʊɾæʃ
nurlarni	nʊɾlˈæɾny
obrazlarning	ˌɑbɾæzlˈæɾnyŋ
odamlarda	ˌɑdæmlˈæɾdæ
oilalari	ˌɑylælˈæɾy
olishdi	ɑɫˈyʃdy
omillardan	ˌɑmyɫlˈæɾdæn
operator	ˌɑpeɾˈætɑɾ
operatsiyalari	ˌɑpeɾˌætsyjælˈæɾy
oqadigan	ˌɑqædˈyɡæn
oqibatda	ˌɑqybˈætdæ
oqish	ˈɑqyʃ
orbital	ɑɾbˈytæɫ
oshiriladigan	ˌɑʃyɾˌylædˈyɡæn
oshmaydi	ɑʃmˈæjdy
oʻlchaydigan	ˌoɫt͡Sæjdˈyɡæn
oʻlimga	oɫˈymɡæ
oʻlkalarda	ˌoɫkælˈæɾdæ
oʻrmonli	oɾmˈɑnɫy
oʻrnatishga	ˌoɾnætˈyʃɡæ
oʻrtasidan	ˌoɾtæsˈydæn
oʻsma	ˈosmæ
oʻzani	ozˈæny
parametrlari	pˌæɾæmetɾlˈæɾy
pastroq	pˈæstɾɑq
payt	pˈæjt
paytdagi	pæjtdˈæɡy
payvandlash	pæjʋˈændlæʃ
pechi	pˈet͡Sy
periferik	pˌeɾyfˌeɾyk
polimer	pɑɫˈymeɾ
portreti	pɑɾtɾˈety
pravoslav	pɾæʋˈɑslæʋ
preparatlari	pɾˌepæɾætlˈæɾy
pusti	pˈʊsty
pyesalar	pjesˈælæɾ
qahramonning	qˌæhɾæmˈɑnnyŋ
qalinlikda	qˌæɫynɫˈykdæ
qar	qˈæɾ
qatoridan	qˌætɑɾˈydæn
qatorlar	qætˈɑɾlæɾ
qilganida	qˌyɫɡænˈydæ
qilingach	qyɫˈyŋæt͡S
qirgʻogʻida	qˌyɾʁɑʁˈydæ
qoldiruvchi	qˌɑɫdyɾˈʊʋt͡Sy
qolip	qˈɑɫyp
qoʻltiq	qˈoɫtyq
qoʻngʻizlar	qoŋʔˈyzlæɾ
qoʻriqxonalari	qˌoɾyqχˌɑnælˈæɾy
qoʻshiklari	qˌoʃyklˈæɾy
qoʻshinining	qˌoʃynˈynyŋ
qoʻshinni	qoʃˈynny
qoʻzgʻalmas	qozʁˈæɫmæs
qurgʻoqchil	qʊɾʁˈɑqt͡Syɫ
qurilmalarda	qˌʊɾyɫmælˈæɾdæ
qutisi	qʊtˈysy
quyiladigan	qˌʊjylædˈyɡæn
rahbarligi	ɾˌæhbæɾɫˈyɡy
raqam	ɾˈæqæm
ratsional	ɾˌætsyˈɑnæɫ
ravoq	ɾˈæʋɑq
reflekslar	ɾeflˌekslæɾ
rejalarini	ɾˌed͡ʒælæɾˈyny
rejali	ɾed͡ʒˈæɫy
rivojlantirdi	ɾˌyʋɑd͡ʒlæntˈyɾdy
roʻyobga	ɾojˈɑbɡæ
roʻyxatiga	ɾˌojχætˈyɡæ
safarda	sæfˌæɾdæ
sahnalashtirgan	sˌæhnælæʃtˈyɾɡæn
saltanat	sæɫtˈænæt
sana	sˈænæ
sen	sen
senat	sˈenæt
shaharchasi	ʃˌæhæɾt͡Sˈæsy
shaharlarini	ʃˌæhæɾlæɾˈyny
sharhlar	ʃˈæɾhlæɾ
