је	je
лукав	lˈukɐv
луксузним	lˈuksʊznɪm
лучним	lˈut͡ʃnɪm
магната	mˈaɡnɐtɐ
малолетне	mˈalolˌɛtnɛ
малолетника	mˈalolˌɛtnɪkɐ
малтретирања	mˈaltrɛtˌɪrɐɲɐ
маневрима	mˈanɛvrˌɪmɐ
манифестовати	mˈanɪfˌɛstovˌɐtɪ
ману	mˈanʊ
мануелним	mˈanʊˌɛlnɪm
масивног	mˈasɪvnoɡ
мастерсу	mˈastɛrsʊ
матрици	mˈatrɪt͡sɪ
машинском	mˈaʃɪnskom
мајстору	mˈɑjstorʊ
мајчину	mˈɑjt͡ʃɪnʊ
медитацију	mˈɛdɪtˌɐt͡sɪjʊ
медитеранском	mˈɛdɪtˌɛrɐnskom
медијског	mˈɛdɪjskoɡ
менталитета	mˈɛntɐlˌɪtɛtɐ
мерене	mˈɛrɛnɛ
мермерним	mˈɛrmɛrnɪm
мермерних	mˈɛrmɛrnɪh
метаболички	mˈɛtɐbˌolɪt͡ʃkɪ
метрополе	mˈɛtropˌolɛ
микропроцесора	mˈikroprˌot͡sɛsˌorɐ
минералним	mˈinɛrˌɐlnɪm
минералног	mˈinɛrˌɐlnoɡ
мислимо	mˈislɪmo
мишићног	mˈiʃɪt͡ɕnoɡ
миљу	mˈiʎʊ
мл	mˈəlˌə
младунца	mlˈadʊnt͡sɐ
млетачким	mlˈɛtɐt͡ʃkɪm
мобилизацији	mˈobɪlˌɪzɐt͡sˌɪjɪ
модификују	mˈodɪfˌɪkʊjʊ
модуле	mˈodʊlɛ
молекуларна	mˈolɛkˌʊlɑrnɐ
молекулске	mˈolɛkˌʊlskɛ
моменте	mˈomɛntɛ
мониторинг	mˈonɪtˌorɪŋɡ
моравске	mˈorɐfskɛ
мрачној	mrˈat͡ʃnoj
мудра	mˈudrɐ
мудри	mˈudrɪ
мултимедијални	mˈultɪmˌɛdɪjˌɐlnɪ
нe	nˈɛ
навијаче	nˈavɪjˌɐt͡ʃɛ
надземни	nˈad͡ʑɛmnɪ
надмоћност	nˈadmot͡ɕnost
надокнада	nˈadoknˌɐdɐ
надокнађује	nˈadoknˌɐd͡ʑʊje
назнака	nˈaznɐkɐ
наивна	nˈaɪvnɐ
наметнули	nˈamɛtnˌʊlɪ
намјерно	nˈamjerno
намјеру	nˈamjerʊ
нападачу	nˈapɐdˌɐt͡ʃʊ
написаног	nˈapɪsˌɐnoɡ
наплаћују	nˈaplɐt͡ɕˌʊjʊ
напуштеној	nˈapʊʃtˌɛnoj
нарације	nˈɑrɐt͡sˌɪje
наруџбини	nˈɑrʊd͡ʒbˌɪnɪ
насилном	nˈasɪlnom
наставом	nˈastɐvom
наступати	nˈastʊpˌɐtɪ
насљедник	nˈasʎednɪk
нафтом	nˈaftom
нахођењу	nˈahod͡ʑˌɛɲʊ
нацрти	nˈat͡srtɪ
најбољој	nˈɑjboʎoj
најзанимљивијих	nˈɑjzɐnˌɪmʎɪvˌɪjɪh
најзаслужнији	nˈɑjzɐslˌʊʒnɪjɪ
најистакнутије	nˈɑjɪstˌɐknʊtˌɪje
најразвијенијих	nˈɑjrɐzvˌɪjenˌɪjɪh
негативац	nˈɛɡɐtˌɪvɐt͡s
негодовања	nˈɛɡodˌovɐɲɐ
нежности	nˈɛʒnostɪ
незнање	nˈɛznɐɲe
необјављене	nˈɛobjˌɐvljenɛ
неочекиваних	nˈɛot͡ʃˌɛkɪvˌɐnɪh
непокретан	nˈɛpokrˌɛtɐn
непотпуна	nˈɛpotpˌʊnɐ
непотпуне	nˈɛpotpˌʊnɛ
неправилним	nˈɛprɐvˌɪlnɪm
неприступачним	nˈɛprɪstˌʊpɐt͡ʃnɪm
непроменљива	nˈɛpromˌɛnʎɪvɐ
неразјашњеним	nˈɛrɐzjˌɐʃɲenɪm
нередовно	nˈɛrɛdˌovno
неспособна	nˈɛsposˌobnɐ
несрећни	nˈɛsrɛt͡ɕnɪ
нестајања	nˈɛstɑjˌɐɲɐ
неуронских	nˈɛʊrˌonskɪh
неуспехе	nˈɛʊspˌɛhɛ
нижом	nˈiʒom
новинарске	nˈovɪnˌɑrskɛ
нулте	nˈultɛ
обезбјеђује	ˈobɛzbjˌed͡ʑʊje
обелиска	ˈobɛlˌɪskɐ
обећавао	ˈobɛt͡ɕˌɐvɐo
обилним	ˈobɪlnɪm
обимну	ˈobɪmnʊ
ободом	ˈobodom
оборени	ˈoborˌɛnɪ
обојеног	ˈobojˌenoɡ
образложио	ˈobrɐzlˌoʒɪo
обузда	ˈobʊzdɐ
обучавање	ˈobʊt͡ʃˌɐvɐɲe
овалан	ˈovɐlɐn
овласти	ˈovlɐstɪ
одбијању	ˈodbɪjˌɐɲʊ
одвезе	ˈodvɛzɛ
одежде	ˈodɛʒdɛ
одлетео	ˈodlɛtˌɛo
одлети	ˈodlɛtɪ
одмазди	ˈodmɐzdɪ
одолети	ˈodolˌɛtɪ
одразио	ˈodrɐzˌɪo
одређивали	ˈodrɛd͡ʑˌɪvɐlɪ
одсече	ˈotsɛt͡ʃɛ
одстрањује	ˈotstrɐɲˌʊje
одсуством	ˈotsʊstvom
оздрављење	ˈozdrɐvljˌeɲe
океанских	ˈokɛˌɐnskɪh
окно	ˈokno
окосница	ˈokosnˌɪt͡sɐ
окружне	ˈokrʊʒnɛ
олакшица	ˈolɐkʃˌɪt͡sɐ
олакшице	ˈolɐkʃˌɪt͡sɛ
олимпијадама	ˈolɪmpˌɪjɐdˌɐmɐ
олуји	ˈolʊjɪ
опире	ˈopɪrɛ
описиван	ˈopɪsˌɪvɐn
оправдања	ˈoprɐvdˌɐɲɐ
опробао	ˈoprobˌɐo
оптималним	ˈoptɪmˌɐlnɪm
опљачкају	ˈopʎɐt͡ʃkˌɑjʊ
орбитале	ˈorbɪtˌɐlɛ
ормар	ˈormɑr
орнаменти	ˈornɐmˌɛntɪ
освајаче	ˈosvɑjˌɐt͡ʃɛ
осветили	ˈosvɛtˌɪlɪ
освештао	ˈosvɛʃtˌɐo
освртом	ˈosvrtom
осврће	ˈosvrt͡ɕɛ
оспособљен	ˈosposˌobʎen
осредње	ˈosrɛdɲe
остаде	ˈostɐdɛ
оствареном	ˈostvɑrˌɛnom
острваца	ˈostrvɐt͡sɐ
отварајући	ˈotvɑrˌɑjʊt͡ɕɪ
отежана	ˈotɛʒˌɐnɐ
отпусти	ˈotpʊstɪ
официрски	ˈofɪt͡sˌɪrskɪ
охрабривала	ˈohrɐbrˌɪvɐlɐ
охрабрују	ˈohrɐbrˌʊjʊ
очевидац	ˈot͡ʃɛvˌɪdɐt͡s
очишћена	ˈot͡ʃɪʃt͡ɕˌɛnɐ
очног	ˈot͡ʃnoɡ
очувањем	ˈot͡ʃʊvˌɐɲem
ојачано	ˈojɐt͡ʃˌɐno
паде	pˈadɛ
палац	pˈalɐt͡s
палета	pˈalɛtɐ
палету	pˈalɛtʊ
парохијску	pˈɑrohˌɪjskʊ
парфема	pˈɑrfɛmɐ
патака	pˈatɐkɐ
патриотизам	pˈatrɪˌotɪzɐm
паљба	pˈaʎbɐ
певачима	pˈɛvɐt͡ʃˌɪmɐ
педагошког	pˈɛdɐɡˌoʃkoɡ
перајима	pˈɛrɑjˌɪmɐ
песништво	pˈɛsnɪʃtvo
петим	pˈɛtɪm
петнаестог	pˈɛtnɐˌɛstoɡ
пиле	pˈilɛ
писмену	pˈismɛnʊ
планетама	plˈanɛtˌɐmɐ
пластици	plˈastɪt͡sɪ
платама	plˈatɐmɐ
плејмејкера	plˈejmejkˌɛrɐ
побољшањима	pˈoboʎʃˌɐɲɪmɐ
поглавари	pˈoɡlɐvˌɑrɪ
подари	pˈodɑrɪ
подизани	pˈodɪzˌɐnɪ
поднио	pˈodnɪo
подсети	pˈotsɛtɪ
подсећајући	pˈotsɛt͡ɕˌɑjʊt͡ɕɪ
подстаћи	pˈotstɐt͡ɕɪ
подударање	pˈodʊdˌɑrɐɲe
подупиру	pˈodʊpˌɪrʊ
пожалио	pˈoʒɐlˌɪo
пожаре	pˈoʒɑrɛ
позивима	pˈozɪvˌɪmɐ
позицијом	pˈozɪt͡sˌɪjom
покретачи	pˈokrɛtˌɐt͡ʃɪ
покушано	pˈokʊʃˌɐno
полазници	pˈolɐznˌɪt͡sɪ
полиморфизам	pˈolɪmˌorfɪzɐm
полиноми	pˈolɪnˌomɪ
полумесеца	pˈolʊmˌɛsɛt͡sɐ
поморанџе	pˈomorˌɐnd͡ʒɛ
поништити	pˈonɪʃtˌɪtɪ
поносни	pˈonosnɪ
порода	pˈorodɐ
поруџбине	pˈorʊd͡ʒbˌɪnɛ
посланичка	pˈoslɐnˌɪt͡ʃkɐ
посланички	pˈoslɐnˌɪt͡ʃkɪ
поспешује	pˈospɛʃˌʊje
постављати	pˈostɐvljˌɐtɪ
постављење	pˈostɐvljˌeɲe
постаде	pˈostɐdɛ
постизали	pˈostɪzˌɐlɪ
постотак	pˈostotɐk
пострадао	pˈostrɐdˌɐo
потпао	pˈotpɐo
потрес	pˈotrɛs
потрошњом	pˈotroʃɲom
потрудио	pˈotrʊdˌɪo
поузданошћу	pˈo͡ʊzdɐnˌoʃt͡ɕʊ
похапшени	pˈohɐpʃˌɛnɪ
похвали	pˈohvɐlɪ
почињени	pˈot͡ʃɪɲˌenɪ
поштанског	pˈoʃtɐnskoɡ
поштоване	pˈoʃtovˌɐnɛ
поштујући	pˈoʃtʊjˌʊt͡ɕɪ
појачаног	pˈojɐt͡ʃˌɐnoɡ
појање	pˈojɐɲe
правилности	prˈavɪlnˌostɪ
праволинијски	prˈavolˌɪnɪjskɪ
праисторијско	prˈaɪstˌorɪjsko
практиковали	prˈaktɪkˌovɐlɪ
прамац	prˈamɐt͡s
превазиђена	prˈɛvɐzˌɪd͡ʑɛnɐ
преводом	prˈɛvodom
превозили	prˈɛvozˌɪlɪ
преградом	prˈɛɡrɐdom
предавачи	prˈɛdɐvˌɐt͡ʃɪ
предводећи	prˈɛdvodˌɛt͡ɕɪ
предворја	prˈɛdvorjɐ
предностима	prˈɛdnostˌɪmɐ
представником	prˈɛtstɐvnˌɪkom
преживелима	prˈɛʒɪvˌɛlɪmɐ
преименовао	prˈɛɪmˌɛnovˌɐo
прекрио	prˈɛkrɪo
прекрши	prˈɛkrʃɪ
преписао	prˈɛpɪsˌɐo
преписивање	prˈɛpɪsˌɪvɐɲe
пресвете	prˈɛsvɛtɛ
престижне	prˈɛstɪʒnɛ
претвориле	prˈɛtvorˌɪlɛ
претплата	prˈɛtplɐtɐ
претпостављених	prˈɛtpostˌɐvljenɪh
претходнике	prˈɛthodnˌɪkɛ
преузетих	prˈɛʊzˌɛtɪh
преузимали	prˈɛʊzˌɪmɐlɪ
прецизнији	prˈɛt͡sɪznˌɪjɪ
прецизног	prˈɛt͡sɪznoɡ
прецизном	prˈɛt͡sɪznom
прећутно	prˈɛt͡ɕʊtno
приближити	prˈiblɪʒˌɪtɪ
привилегијама	prˈivɪlˌɛɡɪjˌɐmɐ
привлачно	prˈivlɐt͡ʃno
прикрива	prˈikrɪvɐ
прикрије	prˈikrɪje
прилагођавању	prˈilɐɡˌod͡ʑɐvˌɐɲʊ
примани	prˈimɐnɪ
примајући	prˈimɑjˌʊt͡ɕɪ
примиле	prˈimɪlɛ
примитивно	prˈimɪtˌɪvno
припојио	prˈipojˌɪo
притиске	prˈitɪskɛ
притиснут	prˈitɪsnʊt
прихватљиве	prˈihvɐtʎˌɪvɛ
приходом	prˈihodom
пробама	prˈobɐmɐ
програмска	prˈoɡrɐmskɐ
продрле	prˈodrlɛ
продубљује	prˈodʊbʎˌʊje
продужује	prˈodʊʒˌʊje
продукта	prˈodʊktɐ
продукцијска	prˈodʊkt͡sˌɪjskɐ
прожет	prˈoʒɛt
прозвана	prˈozvɐnɐ
пролетаријата	prˈolɛtˌɑrɪjˌɐtɐ
пролетерска	prˈolɛtˌɛrskɐ
пролећних	prˈolɛt͡ɕnɪh
променљиво	prˈomɛnʎˌɪvo
прописани	prˈopɪsˌɐnɪ
пропорционални	prˈoport͡sˌɪonˌɐlnɪ
пропустила	prˈopʊstˌɪlɐ
просторним	prˈostornɪm
противничкој	prˈotɪvnˌɪt͡ʃkoj
процентима	prˈot͡sɛntˌɪmɐ
пројектовањем	prˈojektˌovɐɲem
прстење	prstˈɛɲe
пртљажника	prtʎˈaʒnɪkɐ
псеудонима	psˈɛʊdˌonɪmɐ
психичког	psˈihɪt͡ʃkoɡ
пустињак	pˈustɪɲɐk
пустињом	pˈustɪɲom
путујуће	pˈutʊjˌʊt͡ɕɛ
пуштању	pˈuʃtɐɲʊ
пјева	pjˈevɐ
радарским	rˈadɑrskɪm
раднице	rˈadnɪt͡sɛ
разбијају	rˈazbɪjˌɑjʊ
разбијању	rˈazbɪjˌɐɲʊ
разговарати	rˈazɡovˌɑrɐtɪ
разног	rˈaznoɡ
разочарање	rˈazot͡ʃˌɑrɐɲe
разумом	rˈazʊmom
разумљива	rˈazʊmʎˌɪvɐ
растућег	rˈastʊt͡ɕɛɡ
расхода	rˈashodɐ
реактивне	rˈɛɐktˌɪvnɛ
регуларним	rˈɛɡʊlˌɑrnɪm
резонанце	rˈɛzonˌɐnt͡sɛ
рекет	rˈɛkɛt
репрезентативно	rˈɛprɛzˌɛntɐtˌɪvno
репродуктивног	rˈɛprodˌʊktɪvnoɡ
репродукују	rˈɛprodˌʊkʊjʊ
ресора	rˈɛsorɐ
ретког	rˈɛtkoɡ
рефлектор	rˈɛflɛktor
рецептор	rˈɛt͡sɛptor
рецесије	rˈɛt͡sɛsˌɪje
рељефним	rˈɛʎefnɪm
рибар	rˈibɑr
рибарске	rˈibɑrskɛ
ривалом	rˈivɐlom
роговима	rˈoɡovˌɪmɐ
романтичара	rˈomɐntˌɪt͡ʃɑrɐ
ројалиста	rˈojɐlˌɪstɐ
рукометни	rˈukomˌɛtnɪ
рурални	rˈurɐlnɪ
рутер	rˈutɛr
ручку	rˈut͡ʃkʊ
сабљама	sˈabʎɐmɐ
савесно	sˈavɛsno
саветовала	sˈavɛtˌovɐlɐ
савладани	sˈavlɐdˌɐnɪ
садејству	sˈadejstvʊ
саднице	sˈadnɪt͡sɛ
садржани	sˈadrʒɐnɪ
сазивао	sˈazɪvˌɐo
сазиву	sˈazɪvʊ
самоук	sˈamo͡ʊk
санаторијум	sˈanɐtˌorɪjʊm
сапунице	sˈapʊnˌɪt͡sɛ
састављали	sˈastɐvljˌɐlɪ
састојцима	sˈastojt͡sˌɪmɐ
свакодневнице	svˈakodnˌɛvnɪt͡sɛ
свела	svˈɛlɐ
свемирским	svˈɛmɪrskɪm
свесци	svˈɛst͡sɪ
светилишту	svˈɛtɪlˌɪʃtʊ
светлосну	svˈɛtlosnʊ
световним	svˈɛtovnɪm
свирању	svˈirɐɲʊ
свите	svˈitɛ
свијести	svˈijestɪ
свињског	svˈiɲskoɡ
сврстане	svrstˈanɛ
седења	sˈɛdɛɲɐ
седла	sˈɛdlɐ
седмици	sˈɛdmɪt͡sɪ
секрет	sˈɛkrɛt
сектори	sˈɛktorɪ
секуларне	sˈɛkʊlˌɑrnɛ
сервисима	sˈɛrvɪsˌɪmɐ
сетве	sˈɛtvɛ
симболика	sˈimbolˌɪkɐ
симболике	sˈimbolˌɪkɛ
симетрију	sˈimɛtrˌɪjʊ
синдикатима	sˈindɪkˌɐtɪmɐ
сиријског	sˈirɪjskoɡ
сиромашну	sˈiromˌɐʃnʊ
сиромаштвом	sˈiromˌɐʃtvom
сквер	skvˈɛr
скептичан	skˈɛptɪt͡ʃɐn
скидају	skˈidɑjʊ
склоностима	sklˈonostˌɪmɐ
скрећу	skrˈɛt͡ɕʊ
скривеном	skrˈivɛnom
слависта	slˈavɪstɐ
слалом	slˈalom
слана	slˈanɐ
слатким	slˈatkɪm
сликала	slˈikɐlɐ
сликаре	slˈikɑrɛ
сложи	slˈoʒɪ
слузнице	slˈuznɪt͡sɛ
слушати	slˈuʃɐtɪ
смеле	smˈɛlɛ
сменом	smˈɛnom
смерова	smˈɛrovɐ
смртним	smrtnˈim
смртоносни	smrtˈonosnɪ
смјештено	smjˈeʃtɛno
снабдевала	snˈabdɛvˌɐlɐ
снијега	snˈijeɡɐ
социолошке	sˈot͡sɪˌoloʃkɛ
социолошких	sˈot͡sɪˌoloʃkɪh
социјалистичкој	sˈot͡sɪjˌɐlɪstˌɪt͡ʃkoj
спадали	spˈadɐlɪ
спао	spˈao
спашена	spˈaʃɛnɐ
спектралне	spˈɛktrɐlnɛ
специјализовао	spˈɛt͡sɪjˌɐlɪzˌovɐo
спикер	spˈikɛr
сплет	splˈɛt
споменуте	spˈomɛnˌʊtɛ
спорне	spˈornɛ
справама	sprˈavɐmɐ
спрему	sprˈɛmʊ
спроведених	sprˈovɛdˌɛnɪh
спровођењем	sprˈovod͡ʑˌɛɲem
средњошколске	srˈɛdɲoʃkˌolskɛ
стаклену	stˈaklɛnʊ
сталежу	stˈalɛʒʊ
старешинама	stˈɑrɛʃˌɪnɐmɐ
староседеоцима	stˈɑrosˌɛdɛˌot͡sɪmɐ
старце	stˈɑrt͡sɛ
статуама	stˈatʊˌɐmɐ
стилизованим	stˈilɪzˌovɐnɪm
стицањем	stˈit͡sɐɲem
стратегијска	strˈatɛɡˌɪjskɐ
стрељањем	strˈɛʎɐɲem
сумњичав	sˈumɲɪt͡ʃɐv
сунчане	sˈunt͡ʃɐnɛ
супротну	sˈuprotnʊ
сусед	sˈusɛd
тРНК	tˈərˈənˌəkˌə
таст	tˈast
тачкица	tˈat͡ʃkɪt͡sɐ
творе	tvˈorɛ
текло	tˈɛklo
текстописца	tˈɛkstopˌɪst͡sɐ
текућој	tˈɛkʊt͡ɕoj
телефонима	tˈɛlɛfˌonɪmɐ
тенденцијама	tˈɛndɛnt͡sˌɪjɐmɐ
тенденцијом	tˈɛndɛnt͡sˌɪjom
тенисом	tˈɛnɪsom
теореми	tˈɛorˌɛmɪ
теорему	tˈɛorˌɛmʊ
терасу	tˈɛrɐsʊ
тесаног	tˈɛsɐnoɡ
товара	tˈovɑrɐ
торњеви	tˈorɲevɪ
трактор	trˈaktor
транзицију	trˈanzɪt͡sˌɪjʊ
трансформацијом	trˈansformˌɐt͡sɪjom
трансформисан	trˈansformˌɪsɐn
трејлер	trˈejlɛr
тржишних	trʒˈiʃnɪh
трибунал	trˈibʊnɐl
тринаести	trˈinɐˌɛstɪ
тријумфално	trˈijʊmfˌɐlno
тркачке	trkˈat͡ʃkɛ
трком	trkˈom
трогодишњег	trˈoɡodˌɪʃɲeɡ
троугласти	trˈo͡ʊɡlɐstɪ
трчали	trt͡ʃˈalɪ
тучу	tˈut͡ʃʊ
убацивањем	ˈubɐt͡sˌɪvɐɲem
убацити	ˈubɐt͡sˌɪtɪ
убрзало	ˈubrzɐlo
угрозе	ˈuɡrozɛ
угушила	ˈuɡʊʃˌɪlɐ
удове	ˈudovɛ
ужој	ˈuʒoj
уздужна	ˈuzdʊʒnɐ
узоран	ˈuzorɐn
узурпатора	ˈuzʊrpˌɐtorɐ
украсна	ˈukrɐsnɐ
укрштених	ˈukrʃtɛnɪh
укључивањем	ˈukʎʊt͡ʃˌɪvɐɲem
укључивању	ˈukʎʊt͡ʃˌɪvɐɲʊ
улови	ˈulovɪ
умирало	ˈumɪrˌɐlo
умјетничких	ˈumjetnˌɪt͡ʃkɪh
унапређују	ˈunɐprˌɛd͡ʑʊjʊ
унела	ˈunɛlɐ
уносом	ˈunosom
упозоравао	ˈupozˌorɐvˌɐo
употребљавана	ˈupotrˌɛbʎɐvˌɐnɐ
упражњена	ˈuprɐʒɲˌenɐ
урбанистичком	ˈurbɐnˌɪstɪt͡ʃkom
уредба	ˈurɛdbɐ
уређених	ˈurɛd͡ʑˌɛnɪh
урођени	ˈurod͡ʑˌɛnɪ
уручена	ˈurʊt͡ʃˌɛnɐ
усавршавањем	ˈusɐvrʃˌɐvɐɲem
уселио	ˈusɛlˌɪo
усменог	ˈusmɛnoɡ
успоравају	ˈusporˌɐvɑjʊ
успоравања	ˈusporˌɐvɐɲɐ
успостављајући	ˈuspostˌɐvljɑjˌʊt͡ɕɪ
учвршћивања	ˈut͡ʃvrʃt͡ɕɪvˌɐɲɐ
учило	ˈut͡ʃɪlo
фалсификат	fˈalsɪfˌɪkɐt
фармације	fˈɑrmɐt͡sˌɪje
фашизам	fˈaʃɪzɐm
филозофском	fˈilozˌofskom
филозофску	fˈilozˌofskʊ
флеке	flˈɛkɛ
форматима	fˈormɐtˌɪmɐ
фосфата	fˈosfɐtɐ
франшиза	frˈanʃɪzɐ
фундаментална	fˈundɐmˌɛntɐlnɐ
харач	xˈɑrɐt͡ʃ
хардверу	xˈɑrdvɛrʊ
харему	xˈɑrɛmʊ
хартији	xˈɑrtɪjɪ
хепатитиса	xˈɛpɐtˌɪtɪsɐ
хибрида	xˈibrɪdɐ
хигијена	xˈiɡɪjˌenɐ
хлебом	xlˈɛbom
ходања	xˈodɐɲɐ
хокејашки	xˈokejˌɐʃkɪ
хола	xˈolɐ
хонорара	xˈonorˌɑrɐ
хотеле	xˈotɛlɛ
хотелској	xˈotɛlskoj
храстовог	xrˈastovoɡ
храњивих	xrˈaɲɪvɪh
хтеде	xtˈɛdɛ
хумане	xˈumɐnɛ
хумани	xˈumɐnɪ
царстава	t͡sˈɑrstɐvɐ
цепање	t͡sˈɛpɐɲe
цењено	t͡sˈɛɲeno
цитиран	t͡sˈitɪrɐn
цијене	t͡sˈijenɛ
чашице	t͡ʃˈaʃɪt͡sɛ
челичног	t͡ʃˈɛlɪt͡ʃnoɡ
честог	t͡ʃˈɛstoɡ
чипови	t͡ʃˈipovɪ
чланству	t͡ʃlˈanstvʊ
човекова	t͡ʃˈovɛkˌovɐ
чулног	t͡ʃˈulnoɡ
шаховском	ʃˈahofskom
шећерна	ʃˈɛt͡ɕɛrnɐ
шећерном	ʃˈɛt͡ɕɛrnom
шминку	ʃmˈiŋkʊ
шпицу	ʃpˈit͡sʊ
штабови	ʃtˈabovɪ
штетног	ʃtˈɛtnoɡ
јаловине	jˈalovˌɪnɛ
јаничари	jˈanɪt͡ʃˌɑrɪ
јастук	jˈastʊk
јајасти	jˈɑjɐstɪ
јединственост	jˈedɪnstvˌɛnost
једнаког	jˈednɐkoɡ
једнократну	jˈednokrˌɐtnʊ
једносед	jˈednosɛd
једносмерна	jˈednosmˌɛrnɐ
језерских	jˈezɛrskɪh
јелен	jˈelɛn
јестиве	jˈestɪvɛ
јон	jˈon
јонске	jˈonskɛ
југоисточног	jˈuɡoˌɪstot͡ʃnoɡ
југословенско	jˈuɡoslˌovɛnsko
јужнословенским	jˈuʒnoslˌovɛnskɪm
јуниорску	jˈunɪˌorskʊ
јурисдикција	jˈurɪzdˌɪkt͡sɪjɐ
љепоте	ʎˈepotɛ
љутито	ʎˈutɪto
AMD	ˈamˌədˌə
Auto	ˈaʊto
Henry	xˈɛnrj
IP	ˈip
League	lˈɛɐɡˌʊɛ
Let	lˈɛt
Mac	mˈat͡s
News	nˈɛfs
Online	ˈonlɪnɛ
Road	rˈoɐd
SSD	sˈəsˌədˌə
Show	shˈov
Video	vˈidɛo
an	ˈan
μm	mˈim
Јаго	jˈaɡo
Јанчић	jˈant͡ʃɪt͡ɕ
Једнако	jˈednɐko
Једнога	jˈednoɡɐ
Јесен	jˈesɛn
Јејтса	jˈejtsɐ
Јоакима	jˈoɐkˌɪmɐ
Југоистока	jˈuɡoˌɪstokɐ
Југословени	jˈuɡoslˌovɛnɪ
Јудеји	jˈudejɪ
Љубивоје	ʎˈubɪvˌoje
Ћин	t͡ɕˈin
Џобс	d͡ʒˈops
Абигејл	ˈabɪɡˌejl̩
Аврама	ˈavrɐmɐ
Агатокле	ˈaɡɐtˌoklɛ
Алабама	ˈalɐbˌɐmɐ
Алафилипа	ˈalɐfˌɪlɪpɐ
Албанијом	ˈalbɐnˌɪjom
Албанце	ˈalbɐnt͡sɛ
Александрија	ˈalɛksˌɐndrɪjɐ
Алексинцу	ˈalɛksˌɪnt͡sʊ
Анализе	ˈanɐlˌɪzɛ
Антигону	ˈantɪɡˌonʊ
Антонин	ˈantonɪn
Анђелко	ˈand͡ʑɛlko
Апола	ˈapolɐ
Арагорн	ˈɑrɐɡorn
Арапских	ˈɑrɐpskɪh
Арханђео	ˈɑrhɐnd͡ʑˌɛo
Аурелијан	ˈaʊrˌɛlɪjɐn
Аустралијан	ˈaʊstrˌɐlɪjɐn
Аустроугарском	ˈaʊstrˌo͡ʊɡɑrskom
Аутоботи	ˈaʊtˌobotɪ
БМВ	bˈəmˌəvˌə
Базар	bˈazɑr
Батори	bˈatorɪ
Бахреину	bˈahrɛˌɪnʊ
Бајерна	bˈɑjernɐ
Бајине	bˈɑjɪnɛ
Бањана	bˈaɲɐnɐ
Бенеш	bˈɛnɛʃ
Бенсон	bˈɛnson
Београђани	bˈɛoɡrˌɐd͡ʑɐnɪ
Берта	bˈɛrtɐ
Билбордовој	bˈilbordˌovoj
Билеће	bˈilɛt͡ɕɛ
Бобија	bˈobɪjɐ
Богдановића	bˈoɡdɐnˌovɪt͡ɕɐ
Божјој	bˈoʒjoj
Боливар	bˈolɪvɑr
Бочне	bˈot͡ʃnɛ
Бранком	brˈaŋkom
Братислава	brˈatɪslˌɐvɐ
Бристола	brˈistolɐ
Британским	brˈitɐnskɪm
Бркић	brkˈit͡ɕ
Будимир	bˈudɪmɪr
Букурешта	bˈukʊrˌɛʃtɐ
Буна	bˈunɐ
Бури	bˈurɪ
Буч	bˈut͡ʃ
ВМРО	vmrˈo
Вади	vˈadɪ
Важност	vˈaʒnost
Вал	vˈal
Валоа	vˈaloɐ
Ватикану	vˈatɪkˌɐnʊ
Вегасу	vˈɛɡɐsʊ
Веља	vˈɛʎɐ
Видал	vˈidɐl
Видић	vˈidɪt͡ɕ
Висле	vˈislɛ
Вићентије	vˈit͡ɕɛntˌɪje
Власотинце	vlˈasotˌɪnt͡sɛ
Вон	vˈon
Врњачка	vrɲˈat͡ʃkɐ
Вучинић	vˈut͡ʃɪnɪt͡ɕ
Вучо	vˈut͡ʃo
Вјероватно	vjˈerovˌɐtno
Галбрајт	ɡˈalbrɑjt
Галеб	ɡˈalɛb
Гацка	ɡˈat͡skɐ
Георгијевић	ɡˈɛorɡˌɪjevɪt͡ɕ
Глина	ɡlˈinɐ
Глорија	ɡlˈorɪjɐ
Говоре	ɡˈovorɛ
Голубац	ɡˈolʊbɐt͡s
Гомезова	ɡˈomɛzˌovɐ
Горског	ɡˈorskoɡ
Готима	ɡˈotɪmɐ
Гојковић	ɡˈojkovɪt͡ɕ
Граде	ɡrˈadɛ
Градишки	ɡrˈadɪʃkɪ
Гране	ɡrˈanɛ
Григориј	ɡrˈiɡorɪj
Грим	ɡrˈim
Грималди	ɡrˈimɐldɪ
Грос	ɡrˈos
Грузијска	ɡrˈuzɪjskɐ
Грузијски	ɡrˈuzɪjskɪ
Грчког	ɡrt͡ʃkˈoɡ
Гудеријан	ɡˈudɛrˌɪjɐn
Давидов	dˈavɪdov
Далеком	dˈalɛkom
Далибор	dˈalɪbor
Дамаску	dˈamɐskʊ
Девета	dˈɛvɛtɐ
Десетине	dˈɛsɛtˌɪnɛ
Дејмон	dˈejmon
Дикон	dˈikon
Димитри	dˈimɪtrɪ
Директно	dˈirɛktno
Допринос	dˈoprɪnos
Дрејка	drˈejkɐ
Других	drˈuɡɪh
Дуке	dˈukɛ
Душанка	dˈuʃɐŋkɐ
ЕСПБ	ˈɛzbb
Еверета	ˈɛvɛrˌɛtɐ
Едвардом	ˈɛdvɑrdom
Електронски	ˈɛlɛktrˌonskɪ
Енциклопедије	ˈɛnt͡sɪklˌopɛdˌɪje
Епидемија	ˈɛpɪdˌɛmɪjɐ
Есеј	ˈɛsej
