--nya	--ɲa
memikul	məmikul
memilah	məmilah
memilih	məmilih
memiliki	məmiliki
memilukan	məmilukan
memimpikan	məmimpikan
memimpin	məmimpin
meminati	məminati
meminda	məminda
memindah	məmindah
memindahkan	məmindahkan
meminggir	məmiŋgir
meminggirkan	məmiŋgirkan
meminimalkan	məminimalkan
meminjam	məmindʒam
meminjamkan	məmindʒamkan
meminta	məminta
memintai	məmintai
memintakan	məmintakan
memintal	məmintal
memintanya	məmintaɲa
memintas	məmintas
meminum	məminum
meminyaki	məmiɲaki
memiringkan	məmiriŋkan
memisah	məmisah
memisahkan	məmisahkan
memiskinkan	məmiskinkan
memo	məmo
memohon	məmohon
memohonkan	məmohonkan
memolés	məmoles
memompa	məmompa
memonitor	məmonitor
memonopoli	məmonopoli
memotong	məmotoŋ
mempan	məmpan
mempekerjakan	məmpəkərdʒakan
mempelai	məmpəlai
mempelajari	məmpəladʒari
mempelam	məmpəlam
mempelasari	məmpəlasari
mempelawa	məmpəlawa
mempengaruhi	məmpəŋaruhi
mempengerusikan	məmpəŋərusikan
mempening	məmpəniŋ
memperabukan	məmpərabukan
memperadabkan	məmpəradabkan
memperadik	məmpəradiʔ
memperadudombakan	məmpəradudombakan
memperagakan	məmpəragakan
memperalat	məmpəralat
memperalati	məmpəralati
memperalatkan	məmpəralatkan
memperamat	məmpəramat
memperanakkan	məmpəranaʔkan
memperanginkan	məmpəraŋinkan
memperapikan	məmpərapikan
memperapitkan	məmpərapitkan
memperawak	məmpərawaʔ
memperbabu	məmpərbabu
memperbagus	məmpərbagus
memperbaharui	məmpərbaharui
memperbahasakan	məmpərbahasakan
memperbaiki	məmpərbaiki
memperbantal	məmpərbantal
memperbanyak	məmpərbaɲaʔ
memperbaurkan	məmpərbaurkan
memperbelakangkan	məmpərbəlakaŋkan
memperberat	məmpərbərat
memperbiar	məmpərbiar
memperbinikan	məmpərbinikan
memperbodoh	məmpərbodoh
memperbonéka	məmpərboneka
memperbuat	məmpərbuat
memperbubungkan	məmpərbubuŋkan
memperbudak	məmpərbudaʔ
memperbudikan	məmpərbudikan
memperbulat	məmpərbulat
memperburuk	məmpərburuʔ
mempercabangkan	məmpərtʃabaŋkan
mempercakap	məmpərtʃakap
mempercakapkan	məmpərtʃakapkan
mempercantik	məmpərtʃantiʔ
mempercapak	məmpərtʃapaʔ
mempercaruti	məmpərtʃaruti
mempercayai	məmpərtʃajai
mempercayakan	məmpərtʃajakan
mempercekakkan	məmpərtʃəkaʔkan
mempercekikkan	məmpərtʃəkiʔkan
mempercepat	məmpərtʃəpat
mempercontohkan	məmpərtʃontohkan
mempercumakan	məmpərtʃumakan
mempercékcokkan	məmpərtʃeʔtʃoʔkan
memperdagangkan	məmpərdagaŋkan
memperdahsyat	məmpərdahsjat
memperdakwakan	məmpərdaʔwakan
memperdalam	məmpərdalam
memperdamaikan	məmpərdamaikan
memperdapat	məmpərdapat
memperdaya	məmpərdaja
memperdekat	məmpərdəkat
memperdengarkan	məmpərdəŋarkan
memperdua	məmpərdua
memperduakan	məmpərduakan
memperdébatkan	məmpərdebatkan
memperdéwa	məmpərdewa
mempererat	məmpərərat
mempergauli	məmpərgauli
mempergunakan	məmpərgunakan
memperhalus	məmpərhalus
memperhambakan	məmpərhambakan
memperhatikan	məmpərhatikan
memperhitungkan	məmpərhituŋkan
memperhébat	məmpərhebat
memperincikan	məmpərintʃikan
memperindah	məmpərindah
memperingati	məmpəriŋati
memperingatkan	məmpəriŋatkan
memperjelas	məmpərdʒəlas
memperjual-belikan	məmpərdʒual-bəlikan
memperjuangkan	məmpərdʒuaŋkan
memperjudikan	məmpərdʒudikan
memperkarai	məmpərkarai
memperkarakan	məmpərkarakan
memperkatakan	məmpərkatakan
memperkaya	məmpərkaja
memperkecil	məmpərkətʃil
memperkedok	məmpərkədoʔ
memperkelahikan	məmpərkəlahikan
memperkembangkan	məmpərkəmbaŋkan
memperkenalkan	məmpərkənalkan
memperkenankan	məmpərkənankan
memperkeras	məmpərkəras
memperketat	məmpərkətat
memperkirakan	məmpərkirakan
memperkuat	məmpərkuat
memperkukuh	məmpərkukuh
memperlahankan	məmpərlahankan
memperlakukan	məmpərlakukan
memperlakukannya	məmpərlakukanɲa
memperlambat	məmpərlambat
memperlancar	məmpərlantʃar
memperlemah	məmpərləmah
memperlengkapi	məmpərləŋkapi
memperlihatkan	məmpərlihatkan
memperluas	məmpərluas
memperlunak	məmpərlunaʔ
memperlébar	məmpərlebar
mempermainkan	məmpərmainkan
mempermenangkan	məmpərmənaŋkan
mempermisikan	məmpərmisikan
mempermuda	məmpərmuda
mempermuliakan	məmpərmuliakan
memperoléh	məmpəroleh
memperoléhi	məmpərolehi
memperpanjang	məmpərpandʒaŋ
memperpéndék	məmpərpendeʔ
mempersalahkan	məmpərsalahkan
mempersatukan	məmpərsatukan
mempersediakan	məmpərsədiakan
mempersedikitkan	məmpərsədikitkan
mempersegar	məmpərsəgar
mempersegera	məmpərsəgəra
mempersekutukan	məmpərsəkutukan
memperselangi	məmpərsəlaŋi
memperselangkan	məmpərsəlaŋkan
memperselisihkan	məmpərsəlisihkan
memperselukkan	məmpərsəluʔkan
mempersemaikan	məmpərsəmaikan
mempersembahkan	məmpərsəmbahkan
mempersempit	məmpərsəmpit
mempersendakan	məmpərsəndakan
mempersendikan	məmpərsəndikan
mempersengkétakan	məmpərsəŋketakan
mempersenjatai	məmpərsəndʒatai
mempersiapkan	məmpərsiapkan
mempersilakan	məmpərsilakan
mempersingkat	məmpərsiŋkat
mempersoalkan	məmpərsoalkan
mempersulit	məmpərsulit
mempersétan	məmpərsetan
memperséwakan	məmpərsewakan
mempertahan	məmpərtahan
mempertahankan	məmpərtahankan
mempertandingkan	məmpərtandiŋkan
mempertanggung-jawabkan	məmpərtaŋguŋ-dʒawabkan
mempertanyakan	məmpərtaɲakan
mempertaruhkan	məmpərtaruhkan
mempertebal	məmpərtəbal
mempertegas	məmpərtəgas
memperteguh	məmpərtəguh
mempertempurkan	məmpərtəmpurkan
mempertemukan	məmpərtəmukan
mempertengkarkan	məmpərtəŋkarkan
mempertentangkan	məmpərtəntaŋkan
mempertetap	məmpərtətap
mempertikaikan	məmpərtikaikan
mempertimbangkan	məmpərtimbaŋkan
mempertinggi	məmpərtiŋgi
mempertontonkan	məmpərtontonkan
mempertunangkan	məmpərtunaŋkan
mempertébarkan	məmpərtebarkan
memperténggangkan	məmpərteŋgaŋkan
memperuntukkan	məmpəruntuʔkan
memperédarkan	məmpəredarkan
mempitis	məmpitis
memplagiat	məmplagiat
mempopularkan	məmpopularkan
memprihatinkan	məmprihatinkan
memprioritaskan	məmprioritaskan
memproduksi	məmproduʔsi
memprogramkan	məmprogramkan
memprosés	məmproses
mempunyai	məmpuɲai
mempurung	məmpuruŋ
memuakkan	məmuaʔkan
memualkan	məmualkan
memuaskan	məmuaskan
memuat	məmuat
memuati	məmuati
memuatkan	məmuatkan
memudahkan	məmudahkan
memudar	məmudar
memugar	məmugar
memuja	məmudʒa
memuji	məmudʒi
memujikan	məmudʒikan
memujuk	məmudʒuʔ
memukau	məmukau
memukul	məmukul
memukuli	məmukuli
memukulnya	məmukulɲa
memulai	məmulai
memulakan	məmulakan
memulangkan	məmulaŋkan
memulas	məmulas
memulau	məmulau
memulaukan	məmulaukan
memuliakan	məmuliakan
memulihkan	məmulihkan
memunahkan	məmunahkan
memuncak	məmuntʃaʔ
memunculkan	məmuntʃulkan
memunggah	məmuŋgah
memungkinkan	məmuŋkinkan
memungkiri	məmuŋkiri
memungut	məmuŋut
memuntahkan	məmuntahkan
memupuk	məmupuʔ
memurkai	məmurkai
memurnikan	məmurnikan
memusatkan	məmusatkan
memusing	məmusiŋ
memusingkan	məmusiŋkan
memusnahkan	məmusnahkan
memusuhi	məmusuhi
memutah	məmutah
memutar	məmutar
memutihkan	məmutihkan
memutlakkan	məmutlaʔkan
memutus	məmutus
memutuskan	məmutuskan
memélét	məmelet
meméndék	məmendeʔ
meméndékkan	məmendeʔkan
meméngkol	məmeŋkol
meménsiunkan	məmensiunkan
memépér	məmeper
memépét	məmepet
memépéti	məmepeti
memépétkan	məmepetkan
memérah	məmerah
memérahi	məmerahi
memérahkan	məmerahkan
memésong	məmesoŋ
mena	məna
menaati	mənaʔati
menabrak	mənabraʔ
menabung	mənabuŋ
menabur	mənabur
menaburi	mənaburi
menaburkan	mənaburkan
menadah	mənadah
menadahkan	mənadahkan
menafikan	mənafikan
menafkahkan	mənafkahkan
menaga	mənaga
menagih	mənagih
menahan	mənahan
menahbiskan	mənahbiskan
menaik	mənaiʔ
menaiki	mənaiki
menaikkan	mənaiʔkan
menaja	mənadʒa
menajamkan	mənadʒamkan
menajiskan	mənadʒiskan
menak	mənaʔ
menakjubkan	mənaʔdʒubkan
menaklukkan	mənaʔluʔkan
menaksir	mənaʔsir
menakuti	mənakuti
menakutkan	mənakutkan
menamai	mənamai
menamakan	mənamakan
menamatkan	mənamatkan
menambah	mənambah
menambahkan	mənambahkan
menambak	mənambaʔ
menambal	mənambal
menambalkan	mənambalkan
menambang	mənambaŋ
menambat	mənambat
menambatkan	mənambatkan
menampakkan	mənampaʔkan
menampalkan	mənampalkan
menampan	mənampan
menampar	mənampar
menampi	mənampi
menampilkan	mənampilkan
menampun	mənampun
menampung	mənampuŋ
menanam	mənanam
menanami	mənanami
menanamkan	mənanamkan
menancapkan	mənantʃapkan
menandai	mənandai
menandakan	mənandakan
menandaskan	mənandaskan
menandatangani	mənandataŋani
menanding	mənandiŋ
menandingi	mənandiŋi
menandu	mənandu
menanduk	mənanduʔ
menang	mənaŋ
menangani	mənaŋani
menanggalkan	mənaŋgalkan
menanggap	mənaŋgap
menanggapi	mənaŋgapi
menangguhkan	mənaŋguhkan
menanggulangi	mənaŋgulaŋi
menanggung	mənaŋguŋ
menanggungkan	mənaŋguŋkan
menangis	mənaŋis
menangisi	mənaŋisi
menangkap	mənaŋkap
menangkapi	mənaŋkapi
menangkis	mənaŋkis
menanjak	mənandʒaʔ
menantang	mənantaŋ
menanti	mənanti
menantikan	mənantikan
menantu	mənantu
menantunya	mənantuɲa
menanya	mənaɲa
menanyai	mənaɲai
menanyakan	mənaɲakan
menapak	mənapaʔ
menapis	mənapis
menara	mənara
menaranya	mənaraɲa
menargétkan	mənargetkan
menari	mənari
menarik	mənariʔ
menaruh	mənaruh
menasihati	mənasihati
menasihatkan	mənasihatkan
menata	mənata
menatah	mənatah
menatang	mənataŋ
menatap	mənatap
menaungi	mənauŋi
menawan	mənawan
menawar	mənawar
menawari	mənawari
menawarkan	mənawarkan
menayang	mənajaŋ
menayangkan	mənajaŋkan
mencabang	məntʃabaŋ
mencabangkan	məntʃabaŋkan
mencabar	məntʃabar
mencabarkan	məntʃabarkan
mencabau	məntʃabau
mencabik	məntʃabiʔ
mencabikkan	məntʃabiʔkan
mencabuli	məntʃabuli
mencabut	məntʃabut
mencabuti	məntʃabuti
mencabutkan	məntʃabutkan
mencacah	məntʃatʃah
mencacak	məntʃatʃaʔ
mencacakkan	məntʃatʃaʔkan
mencacap	məntʃatʃap
mencacapi	məntʃatʃapi
mencacar	məntʃatʃar
mencacat	məntʃatʃat
mencacati	məntʃatʃati
mencacatkan	məntʃatʃatkan
mencacau	məntʃatʃau
mencaci	məntʃatʃi
mencadai	məntʃadai
mencadangkan	məntʃadaŋkan
mencaduk	məntʃaduʔ
mencadung	məntʃaduŋ
mencagak	məntʃagaʔ
mencagarkan	məntʃagarkan
mencagil	məntʃagil
mencagun	məntʃagun
mencagut	məntʃagut
mencahayai	məntʃahajai
mencahayakan	məntʃahajakan
mencair	məntʃair
mencairkan	məntʃairkan
mencak	məntʃaʔ
mencakah	məntʃakah
mencakapi	məntʃakapi
mencakar	məntʃakar
mencakup	məntʃakup
mencakupi	məntʃakupi
mencakus	məntʃakus
mencalak	məntʃalaʔ
mencalang	məntʃalaŋ
mencalarkan	məntʃalarkan
mencalit	məntʃalit
mencalitkan	məntʃalitkan
mencalonkan	məntʃalonkan
mencambuk	məntʃambuʔ
mencambuki	məntʃambuki
mencamkan	məntʃamkan
mencampak	məntʃampaʔ
mencampakkan	məntʃampaʔkan
mencampang	məntʃampaŋ
mencampung	məntʃampuŋ
mencampur	məntʃampur
mencampur-adukkan	məntʃampur-aduʔkan
mencampur-baurkan	məntʃampur-baurkan
mencampuri	məntʃampuri
mencampurkan	məntʃampurkan
mencamuk	məntʃamuʔ
mencamurkan	məntʃamurkan
mencanai	məntʃanai
mencanak	məntʃanaʔ
mencanangkan	məntʃanaŋkan
mencancang	məntʃantʃaŋ
mencandu	məntʃandu
mencandui	məntʃandui
mencandukan	məntʃandukan
mencangah	məntʃaŋah
mencangak	məntʃaŋaʔ
mencangam	məntʃaŋam
mencangcang	məntʃaŋtʃaŋ
mencanggungkan	məntʃaŋguŋkan
mencangking	məntʃaŋkiŋ
mencangklong	məntʃaŋʔloŋ
mencangkok	məntʃaŋkoʔ
mencangkokkan	məntʃaŋkoʔkan
mencangkuk	məntʃaŋkuʔ
mencangkul	məntʃaŋkul
mencangkuli	məntʃaŋkuli
mencangkum	məntʃaŋkum
mencangkung	məntʃaŋkuŋ
mencangkup	məntʃaŋkup
mencangkélkan	məntʃaŋkelkan
mencantikkan	məntʃantiʔkan
mencantolkan	məntʃantolkan
mencantum	məntʃantum
mencantumkan	məntʃantumkan
mencap	məntʃap
mencapai	məntʃapai
mencapak	məntʃapaʔ
mencaplok	məntʃaploʔ
mencarah	məntʃarah
mencarahkan	məntʃarahkan
mencarak	məntʃaraʔ
mencarang	məntʃaraŋ
mencari	məntʃari
mencarik	məntʃariʔ
mencarikan	məntʃarikan
mencaring	məntʃariŋ
mencarter	məntʃartər
mencaruk	məntʃaruʔ
mencatat	məntʃatat
mencatatkan	məntʃatatkan
mencatuk	məntʃatuʔ
mencatut	məntʃatut
mencatutkan	məntʃatutkan
mencaték	məntʃateʔ
mencawatkan	məntʃawatkan
mencebak	məntʃəbaʔ
mencebik	məntʃəbiʔ
mencebikkan	məntʃəbiʔkan
mencebir	məntʃəbir
mencebur	məntʃəbur
menceburi	məntʃəburi
menceburkan	məntʃəburkan
mencecah	məntʃətʃah
mencecahkan	məntʃətʃahkan
mencecak	məntʃətʃaʔ
mencecar	məntʃətʃar
mencedera	məntʃədəra
mencederai	məntʃədərai
mencederakan	məntʃədərakan
mencegah	məntʃəgah
mencegat	məntʃəgat
mencekah	məntʃəkah
mencekak	məntʃəkaʔ
mencekakkan	məntʃəkaʔkan
mencekal	məntʃəkal
mencekalkan	məntʃəkalkan
mencekam	məntʃəkam
mencekau	məntʃəkau
mencekih	məntʃəkih
mencekik	məntʃəkiʔ
mencekit	məntʃəkit
mencekok	məntʃəkoʔ
mencekoki	məntʃəkoki
mencekokkan	məntʃəkoʔkan
menceku	məntʃəku
mencekuh	məntʃəkuh
mencekukan	məntʃəkukan
mencekup	məntʃəkup
mencekut	məntʃəkut
mencela	məntʃəla
mencelak	məntʃəlaʔ
mencelakai	məntʃəlakai
mencelakakan	məntʃəlakakan
mencelat	məntʃəlat
mencelep	məntʃələp
menceletuk	məntʃələtuʔ
mencelikkan	məntʃəliʔkan
mencelis	məntʃəlis
menceluk	məntʃəluʔ
mencelung	məntʃəluŋ
mencelup	məntʃəlup
mencelupkan	məntʃəlupkan
mencelur	məntʃəlur
mencelus	məntʃəlus
mencemari	məntʃəmari
mencemarkan	məntʃəmarkan
mencemaskan	məntʃəmaskan
mencemburukan	məntʃəmburukan
mencemerlangkan	məntʃəmərlaŋkan
mencemeti	məntʃəməti
mencemooh	məntʃəmoʔoh
mencemoohkan	məntʃəmoʔohkan
mencemplung	məntʃəmpluŋ
mencemplungkan	məntʃəmpluŋkan
mencemuk	məntʃəmuʔ
mencencang	məntʃəntʃaŋ
mencendawan	məntʃəndawan
mencengam	məntʃəŋam
mencengangkan	məntʃəŋaŋkan
mencengap	məntʃəŋap
mencengkam	məntʃəŋkam
mencengkamkan	məntʃəŋkamkan
mencengkelong	məntʃəŋkəloŋ
mencengkeram	məntʃəŋkəram
mencengkeramkan	məntʃəŋkəramkan
mencengut	məntʃəŋut
mencepat	məntʃəpat
mencepatkan	məntʃəpatkan
menceploskan	məntʃəploskan
mencepol	məntʃəpol
mencepuk	məntʃəpuʔ
mencerabih	məntʃərabih
menceracam	məntʃəratʃam
menceracau	məntʃəratʃau
mencerahkan	məntʃərahkan
mencerai	məntʃərai
menceraiberaikan	məntʃəraibəraikan
menceraikan	məntʃəraikan
menceramahkan	məntʃəramahkan
mencerap	məntʃərap
mencerat	məntʃərat
menceratuk	məntʃəratuʔ
mencerca	məntʃərtʃa
mencerdaskan	məntʃərdaskan
mencergaskan	məntʃərgaskan
menceriakan	məntʃəriakan
menceritai	məntʃəritai
menceritakan	məntʃəritakan
mencerkau	məntʃərkau
mencerlang	məntʃərlaŋ
mencerling	məntʃərliŋ
mencermati	məntʃərmati
mencermatkan	məntʃərmatkan
mencermini	məntʃərmini
mencerminkan	məntʃərminkan
mencerna	məntʃərna
mencernakan	məntʃərnakan
menceroboh	məntʃəroboh
mencerobohi	məntʃərobohi
mencerocos	məntʃərotʃos
mencerowok	məntʃərowoʔ
menceruh	məntʃəruh
menceruk	məntʃəruʔ
mencerup	məntʃərup
mencerut	məntʃərut
mencerét	məntʃəret
mencetus	məntʃətus
mencetuskan	məntʃətuskan
menciak	məntʃiaʔ
menciap	məntʃiap
mencibir	məntʃibir
mencibirkan	məntʃibirkan
mencicik	məntʃitʃiʔ
mencicil	məntʃitʃil
mencicip	məntʃitʃip
mencicipi	məntʃitʃipi
mencicit	məntʃitʃit
menciduk	məntʃiduʔ
mencilok	məntʃiloʔ
mencina	məntʃina
mencincang	məntʃintʃaŋ
mencinta	məntʃinta
mencintai	məntʃintai
mencintakan	məntʃintakan
menciplak	məntʃiplaʔ
menciprat	məntʃiprat
mencipta	məntʃipta
menciptakan	məntʃiptakan
mencirikan	məntʃirikan
mencirit	məntʃirit
menciritkan	məntʃiritkan
mencit	məntʃit
mencitrakan	məntʃitrakan
mencium	məntʃium
menciumi	məntʃiumi
menciumkan	məntʃiumkan
menciut	məntʃiut
menciutkan	məntʃiutkan
mencoaki	məntʃoaki
mencoang	məntʃoaŋ
mencoangkan	məntʃoaŋkan
mencoba	məntʃoba
mencobai	məntʃobai
mencobakan	məntʃobakan
mencoblos	məntʃoblos
mencocok	məntʃotʃoʔ
mencocokkan	məntʃotʃoʔkan
mencocol	məntʃotʃol
mencocolkan	məntʃotʃolkan
mencocor	məntʃotʃor
mencodak	məntʃodaʔ
mencodakkan	məntʃodaʔkan
mencogok	məntʃogoʔ
mencokok	məntʃokoʔ
mencokolkan	məntʃokolkan
mencokét	məntʃoket
mencolok	məntʃoloʔ
mencoloki	məntʃoloki
mencolong	məntʃoloŋ
mencolot	məntʃolot
mencolék	məntʃoleʔ
mencoléng	məntʃoleŋ
mencomot	məntʃomot
mencomél	məntʃomel
mencoméli	məntʃomeli
mencondongkan	məntʃondoŋkan
mencongak	məntʃoŋaʔ
menconggokkan	məntʃoŋgoʔkan
mencongklang	məntʃoŋʔlaŋ
mencongkong	məntʃoŋkoŋ
mencongok	məntʃoŋoʔ
mencongol	məntʃoŋol
mencontoh	məntʃontoh
mencontohi	məntʃontohi
mencontohkan	məntʃontohkan
menconténg	məntʃonteŋ
menconténgkan	məntʃonteŋkan
menconét	məntʃonet
mencopot	məntʃopot
mencopoti	məntʃopoti
mencopotkan	məntʃopotkan
mencopét	məntʃopet
mencorong	məntʃoroŋ
mencorongkan	məntʃoroŋkan
mencorotkan	məntʃorotkan
mencorék	məntʃoreʔ
mencoréng	məntʃoreŋ
mencoréngkan	məntʃoreŋkan
mencorét	məntʃoret
mencoréti	məntʃoreti
mencorétkan	məntʃoretkan
mencotok	məntʃotoʔ
mencuaikan	məntʃuaikan
mencuar	məntʃuar
mencuarkan	məntʃuarkan
mencuat	məntʃuat
mencubit	məntʃubit
mencuca	məntʃutʃa
mencuci	məntʃutʃi
mencucikan	məntʃutʃikan
mencucuh	məntʃutʃuh
mencucukkan	məntʃutʃuʔkan
mencucup	məntʃutʃup
mencucuri	məntʃutʃuri
mencucurkan	məntʃutʃurkan
mencucut	məntʃutʃut
mencuik	məntʃuiʔ
mencuil	məntʃuil
mencuit	məntʃuit
mencukai	məntʃukai
mencukil	məntʃukil
mencukongi	məntʃukoŋi
mencukupi	məntʃukupi
mencukupkan	məntʃukupkan
mencukur	məntʃukur
mencukurkan	məntʃukurkan
menculak	məntʃulaʔ
menculik	məntʃuliʔ
mencumbu	məntʃumbu
mencunam	məntʃunam
mencundang	məntʃundaŋ
mencungap	məntʃuŋap
mencungkil	məntʃuŋkil
mencungul	məntʃuŋul
mencupaikan	məntʃupaikan
mencupak	məntʃupaʔ
mencupar	məntʃupar
mencuplik	məntʃupliʔ
mencurah	məntʃurah
mencurahi	məntʃurahi
mencurahkan	məntʃurahkan
mencuraikan	məntʃuraikan
mencuram	məntʃuram
mencurangi	məntʃuraŋi
mencurat	məntʃurat
mencureng	məntʃurəŋ
mencuri	məntʃuri
mencurigai	məntʃurigai
mencurigakan	məntʃurigakan
mencuru	məntʃuru
mencéboki	məntʃeboki
mencédok	məntʃedoʔ
mencék	məntʃeʔ
mencékér	məntʃeker
mencélak	məntʃelaʔ
mencéléngi	məntʃeleŋi
mencéma	məntʃema
mencéntang	məntʃentaŋ
mencéntong	məntʃentoŋ
mencétak	məntʃetaʔ
mencétakkan	məntʃetaʔkan
mencéti	məntʃeti
mencéténg	məntʃeteŋ
mendabak	məndabaʔ
mendabih	məndabih
mendabik	məndabiʔ
mendabung	məndabuŋ
mendacin	məndatʃin
mendada	məndada
mendadak	məndadaʔ
mendaduh	məndaduh
mendaduk	məndaduʔ
mendadung	məndaduŋ
mendaftar	məndaftar
mendaftar-hitamkan	məndaftar-hitamkan
mendaftarkan	məndaftarkan
mendaga	məndaga
mendagangkan	məndagaŋkan
mendagel	məndagəl
mendagi	məndagi
mendaging	məndagiŋ
mendahaga	məndahaga
mendahak	məndahaʔ
mendahan	məndahan
mendahsyat	məndahsjat
mendahsyatkan	məndahsjatkan
mendahului	məndahului
mendahulukan	məndahulukan
mendaifkan	məndaifkan
mendak	məndaʔ
mendaki	məndaki
mendakikan	məndakikan
mendakwa	məndaʔwa
mendakwai	məndaʔwai
mendakwakan	məndaʔwakan
mendalam	məndalam
mendalami	məndalami
mendalamkan	məndalamkan
mendalang	məndalaŋ
mendalangi	məndalaŋi
mendalangkan	məndalaŋkan
mendalih	məndalih
mendalihkan	məndalihkan
mendalilkan	məndalilkan
mendamaikan	məndamaikan
mendamak	məndamaʔ
mendamar	məndamar
mendamba	məndamba
mendambakan	məndambakan
mendamik	məndamiʔ
mendampak	məndampaʔ
mendampar	məndampar
mendamparkan	məndamparkan
mendampingi	məndampiŋi
mendampingkan	məndampiŋkan
mendamprat	məndamprat
mendanai	məndanai
mendanau	məndanau
mendandani	məndandani
mendangir	məndaŋir
mendangkalkan	məndaŋkalkan
mendangkar	məndaŋkar
mendangkung	məndaŋkuŋ
mendanguk	məndaŋuʔ
mendap	məndap
mendapa	məndapa
mendapat	məndapat
mendapati	məndapati
mendapatkan	məndapatkan
mendarab	məndarab
mendarah	məndarah
mendarahi	məndarahi
mendaras	məndaras
mendarat	məndarat
mendarati	məndarati
mendaratkan	məndaratkan
mendarmabaktikan	məndarmabaʔtikan
mendaruratkan	məndaruratkan
mendasar	məndasar
mendasari	məndasari
mendasarkan	məndasarkan
mendasun	məndasun
mendata	məndata
mendatang	məndataŋ
mendatangi	məndataŋi
mendatangkan	məndataŋkan
mendatar	məndatar
mendatarkan	məndatarkan
mendaulat	məndaulat
mendaulatkan	məndaulatkan
mendaun	məndaun
mendaya-gunakan	məndaja-gunakan
mendayu	məndaju
mendayung	məndajuŋ
mendayungkan	məndajuŋkan
mendayus	məndajus
mendebah	məndəbah
mendebarkan	məndəbarkan
mendebik	məndəbiʔ
mendebu	məndəbu
mendebur	məndəbur
mendecit	məndətʃit
mendecur	məndətʃur
mendedahkan	məndədahkan
mendedas	məndədas
mendedau	məndədau
mendeder	məndədər
mendedes	məndədəs
mendegam	məndəgam
mendegilkan	məndəgilkan
mendeham	məndəham
mendekam	məndəkam
mendekap	məndəkap
mendekapkan	məndəkapkan
mendekat	məndəkat
mendekati	məndəkati
mendekatkan	məndəkatkan
mendekrétkan	məndəʔretkan
mendekus	məndəkus
mendekut	məndəkut
mendelong	məndəloŋ
mendemah	məndəmah
mendempul	məndəmpul
mendenda	məndənda
mendendam	məndəndam
mendendamkan	məndəndamkan
mendengar	məndəŋar
mendengarkan	məndəŋarkan
mendenging	məndəŋiŋ
mendengki	məndəŋki
mendengking	məndəŋkiŋ
mendengkul	məndəŋkul
mendengkung	məndəŋkuŋ
mendengkur	məndəŋkur
mendengkus	məndəŋkus
mendengu	məndəŋu
mendenguk	məndəŋuʔ
mendengung	məndəŋuŋ
mendengungkan	məndəŋuŋkan
mendengus	məndəŋus
mendengut	məndəŋut
mendenting	məndəntiŋ
mendenyut	məndəɲut
mendepa	məndəpa
mendepakan	məndəpakan
mendepakkan	məndəpaʔkan
mendepang	məndəpaŋ
mendepangkan	məndəpaŋkan
mendepun	məndəpun
mendera	məndəra
menderai	məndərai
menderaikan	məndəraikan
menderam	məndəram
menderang	məndəraŋ
menderap	məndərap
menderapkan	məndərapkan
menderas	məndəras
menderau	məndərau
mendering	məndəriŋ
menderis	məndəris
menderit	məndərit
menderita	məndərita
mendermakan	məndərmakan
menderu	məndəru
menderum	məndərum
menderumkan	məndərumkan
mendesah	məndəsah
mendesak	məndəsaʔ
mendesakkan	məndəsaʔkan
mendesar	məndəsar
mendesau	məndəsau
mendesing	məndəsiŋ
mendesir	məndəsir
mendesis	məndəsis
mendesus	məndəsus
mendesuskan	məndəsuskan
mendesut	məndəsut
mendetak	məndətaʔ
mendetar	məndətar
mendetik	məndətiʔ
mendiagnosis	məndiagnosis
mendiakan	məndiakan
mendiami	məndiami
mendiamkan	məndiamkan
mendiang	məndiaŋ
mendiani	məndiani
mendiatkan	məndiatkan
mendidih	məndidih
mendidihkan	məndidihkan
mendidik	məndidiʔ
mendidis	məndidis
mendigulkan	məndigulkan
mendikai	məndikai
mendikté	məndiʔte
mendiktékan	məndiʔtekan
mendilak	məndilaʔ
mendinamiskan	məndinamiskan
mendinamit	məndinamit
mendinaskan	məndinaskan
mendinding	məndindiŋ
mendindingi	məndindiŋi
mending	məndiŋ
mendingan	məndiŋan
mendingin	məndiŋin
mendinginkan	məndiŋinkan
mendira	məndira
mendirikan	məndirikan
mendiris	məndiris
mendirus	məndirus
mendiruskan	məndiruskan
mendiskriminasi	məndisʔriminasi
mendiskréditkan	məndisʔreditkan
mendiskusikan	məndiskusikan
mendistribusikan	məndistribusikan
mendoa	məndoa
mendoakan	məndoakan
mendoan	məndoan
mendobrak	məndobraʔ
mendodos	məndodos
mendodét	məndodet
mendokuméntasikan	məndokumentasikan
mendolarkan	məndolarkan
mendominasi	məndominasi
mendompak	məndompaʔ
mendompléng	məndompleŋ
mendonan	məndonan
mendoncang	məndontʃaŋ
mendonder	məndondər
mendondon	məndondon
mendongak	məndoŋaʔ
mendongakkan	məndoŋaʔkan
mendongkak	məndoŋkaʔ
mendongkol	məndoŋkol
mendongkolkan	məndoŋkolkan
mendongkrak	məndoŋʔraʔ
mendongkél	məndoŋkel
mendongéng	məndoŋeŋ
mendongéngi	məndoŋeŋi
mendongéngkan	məndoŋeŋkan
mendora	məndora
mendorong	məndoroŋ
mendosir	məndosir
mendribel	məndribəl
mendu	məndu
mendua	məndua
menduai	mənduai
menduakan	mənduakan
mendubéskan	məndubeskan
mendudu	məndudu
menduduki	mənduduki
