ve	vɛ
diplomatlar	dɪpɫomatɫˈar
doktrin	dɔktrˈɪn
dondurucu	dɔnduɾud͡ʒˈʊ
doğacak	doːad͡ʒˈak
doğrulayan	doːɾuɫajˈan
doğumda	dˈoːʊmda
durumdu	dˈuɾʊmdʊ
duyulduğu	dujʊɫdˈʊː
duyurmaya	dujˈʊrmaja
dönmez	dœnmˈɛz
dönüştürücü	dœnøʃtyɾyd͡ʒˈø
dönüşümler	dœnˈyʃømlɛr
düelloda	dyælɫodˈa
dükkanlar	dykːanɫˈar
dükkânı	dykːanˈɯ
düzensizlik	dyzˈænsɪzlɪk
düzeyindeki	dyzejɪndekˈɪ
düğüne	dyːnˈɛ
düşmesinin	døʃmesinˈɪn
düşüncesinden	dyʃønd͡ʒesɪndˈæn
edebilecekleri	edebiled͡ʒɛkleɾˈɪ
edemezler	edemɛzlˈɛr
edindikleri	edɪndɪkleɾˈɪ
edinmektedir	edɪnmɛktˈedɪr
efsanenin	ɛfsanenˈɪn
ekleyen	ɛklejˈæn
ekranlar	ɛkranɫˈar
elemanlarından	elemanɫaɾɯndˈan
elması	ælmasˈɯ
emilim	emˈilɪm
engellenmiştir	ænɟællænmˈɪʃtɪr
eni	enˈɪ
epilepsi	epilɛpsˈɪ
erkeksi	ɛrkɛksˈɪ
etini	etinˈɪ
etkilemez	ɛtkilemˈɛz
etkinliğine	ɛtkɪnlijinˈɛ
etmenler	ɛtmænlˈɛr
etseler	ˈɛtselɛr
ettirmeyi	etːˈɪrmejɪ
evlenmemiş	ɛvlænmemˈɪʃ
evrimini	ɛvriminˈɪ
evsel	ɛvsˈæl
ezoterik	ezoteɾˈɪk
fakültenin	fakøltenˈɪn
farkındalığı	farkɯndaɫɯɯˈɯ
filoya	fiɫojˈa
finalinin	finalinˈɪn
firmaya	fˈɪrmaja
fiyatların	fijatɫaɾˈɯn
florası	fɫoɾasˈɯ
fonksiyonudur	fɔnksijonˈudʊr
fonları	fɔnɫaɾˈɯ
galerisinde	ɡaleɾisɪndˈɛ
gayretleri	ɡajrɛtleɾˈɪ
geleneklerinin	ɟelenɛkleɾinˈɪn
gelenektir	ɟelenˈɛktɪr
gelini	ɟelinˈɪ
geliştirip	ɟelɪʃtiɾˈɪp
gelmemektedir	ɟælmemɛktˈedɪr
gerici	ɟeɾid͡ʒˈɪ
getirildikten	ɟetiɾɪldɪktˈæn
getirildiğini	ɟetiɾɪldijinˈɪ
getirilmişti	ɟetiɾɪlmɪʃtˈɪ
gezegensel	ɟezeɟænsˈæl
gezip	ɟezˈɪp
geçilerek	ɟet͡ʃileɾˈɛk
geçimlerini	ɟet͡ʃɪmleɾinˈɪ
geçirilmesini	ɟet͡ʃiɾɪlmesinˈɪ
geçmişiyle	ɟɛt͡ʃmiʃˈɪjlɛ
gidilmesi	ɟidɪlmesˈɪ
gireceğini	ɟiɾed͡ʒejinˈɪ
girildiğinde	ɟiɾɪldijɪndˈɛ
gitara	ɟitaɾˈa
gitmeleri	ɟɪtmeleɾˈɪ
giymeyi	ɟˈɪjmejɪ
grand	ɡrˈand
gökkuşağı	ɟœkːuʃaːˈɯ
gölüdür	ɟœlˈydør
görülmüştü	ɟœɾølmøʃtˈø
görüşmeyi	ɟœɾˈøʃmejɪ
gösterilerini	ɟœsteɾileɾinˈɪ
götürdüğü	ɟœtørdˈøː
gözdesi	ɟœzdesˈɪ
gözlüğü	ɟœzlˈøː
habere	habeɾˈɛ
hacimleri	had͡ʒɪmleɾˈɪ
haftalarında	haftaɫaɾɯndˈa
haklardan	hakɫardˈan
hallerini	haɫleɾinˈɪ
harekâtları	haɾekatɫaɾˈɯ
harekâtını	haɾekatɯnˈɯ
hastalıklarla	hastaɫɯkɫˈarɫa
hayaleti	hajaletˈɪ
hazinesine	hazinesinˈɛ
hazırlamaktadır	hazɯrɫamaktˈadɯr
haçı	hat͡ʃˈɯ
hedefinin	hedefinˈɪn
heterojen	heteɾoʒˈæn
hidroksit	hɪdrɔksˈɪt
hikâyelerden	hikajelɛrdˈæn
hocasının	hod͡ʒasɯnˈɯn
hoşlanmayan	hɔʃɫanmajˈan
hürmet	hørmˈɛt
ifadeyi	ifadejˈɪ
iklimsel	ɪklɪmsˈæl
ilişkisel	ilɪʃkisˈæl
imkan	ɪmkˈan
imtiyazlar	ɪmtijazɫˈar
imzasıyla	ɪmzasˈɯjɫa
inerken	inˈɛrcæn
inmek	ɪnmˈɛk
iradesine	iɾadesinˈɛ
isteksizce	ɪstˈɛksɪzd͡ʒɛ
istenmektedir	ɪstænmɛktˈedɪr
içerisindeydi	it͡ʃeɾisɪndɛjdˈɪ
içindedirler	it͡ʃɪndˈedɪrlɛr
içlerindeki	ɪt͡ʃleɾɪndekˈɪ
işlevselliğini	ɪʃlɛvsællijinˈɪ
kahramanlarından	kahramanɫaɾɯndˈan
kanıtlama	kanˈɯtɫama
kanıtlamış	kanɯtɫamˈɯʃ
kapanma	kapˈanma
kapılarına	kapɯɫaɾɯnˈa
karardan	kaɾardˈan
kardiyak	kardijˈak
karşılaştırarak	karʃɯɫaʃtɯɾaɾˈak
kastedilen	kastedilˈæn
katlama	kˈatɫama
katlar	katɫˈar
kaybetmişlerdir	kajbɛtmɪʃlˈɛrdɪr
kaydedilmişti	kajdedɪlmɪʃtˈɪ
kaymıştır	kajmˈɯʃtɯr
kazanmanın	kazˈanmanɯn
kazanım	kazˈanɯm
kaçırdığı	kat͡ʃɯrdɯɯˈɯ
kedinin	kedinˈɪn
kemerlerle	kemɛrlˈɛrlɛ
kemiğin	kemijˈɪn
kemiğinin	kemijinˈɪn
kentlerden	kæntlɛrdˈæn
kilometreden	kiɫomˈɛtredæn
kimselere	kɪmseleɾˈɛ
klasmanda	kɫasmandˈa
kollarına	kɔɫɫaɾɯnˈa
komitesinin	komitesinˈɪn
konferanslarda	kɔnfeɾansɫardˈa
kongresi	kɔnɡresˈɪ
konudan	konudˈan
konumdan	kˈonʊmdan
konutu	konutˈʊ
koreograf	koɾeɔɡrˈaf
koridoru	koɾidoɾˈʊ
korktuğunu	kɔrktuːnˈʊ
korkuları	kɔrkuɫaɾˈɯ
korkuya	kɔrkujˈa
koroner	koɾonˈɛr
koru	koɾˈʊ
kristali	krɪstalˈɪ
kullandıklarını	kʊɫɫandɯkɫaɾɯnˈɯ
kullanılmaktadırlar	kʊɫɫanɯɫmaktˈadɯrɫar
kurabiye	kuɾabijˈɛ
kurulmadan	kuɾˈʊɫmadan
kutuya	kutujˈa
köklerini	kœkleɾinˈɪ
köklerinin	kœkleɾinˈɪn
kölelere	kœleleɾˈɛ
kötüsü	kœtysˈø
kötüydü	kœtøjdˈø
kıkırdak	kɯkɯrdˈak
kıvrım	kˈɯvrɯm
kıyılarının	kɯjɯɫaɾɯnˈɯn
lahana	ɫahanˈa
lejyonu	lɛʒjonˈʊ
lirası	liɾasˈɯ
makamını	makamɯnˈɯ
manada	manadˈa
mandibular	mandibuɫˈar
mantığın	mantɯɯˈɯn
masraflı	masrafɫˈɯ
medeniyetin	medenijetˈɪn
melodisi	meɫodisˈɪ
memurunun	memuɾunˈʊn
menüsü	menysˈø
metrenin	mˈɛtrenɪn
milyonda	mɪljɔndˈa
modlar	mɔdɫˈar
muhalefetle	muhalefˈɛtlɛ
müfettiş	myfetːˈɪʃ
mühendisliğinin	myhændɪslijinˈɪn
mührü	møhrˈø
müzeleri	myzeleɾˈɪ
müşaviri	myʃaviɾˈɪ
nedenin	nedenˈɪn
nefesini	nefesinˈɪ
nemi	nemˈɪ
neon	neˈɔn
nitelikteki	nitelɪktekˈɪ
nüfusta	nyfʊstˈa
oktav	ɔktˈav
olmaktadırlar	ɔɫmaktˈadɯrɫar
onbirde	ɔnbɪrdˈɛ
organizasyonunu	ɔrɡanizasjonunˈʊ
ormandan	ɔrmandˈan
ortodoks	ɔrtodˈɔks
oynayamadı	ɔjnajˈamadɯ
oyuncularını	ojʊnd͡ʒuɫaɾɯnˈɯ
oyuncuydu	ojʊnd͡ʒʊjdˈʊ
oyunlarıyla	ojʊnɫaɾˈɯjɫa
paradan	pˈaɾadan
partilerle	partilˈɛrlɛ
pasaportlar	pasapɔrtɫˈar
pasaportları	pasapɔrtɫaɾˈɯ
paylaşmaya	pajɫˈaʃmaja
paylaştıkları	pajɫaʃtɯkɫaɾˈɯ
paylaşıyor	pajɫaʃˈɯjɔr
pedal	pedˈaɫ
piyasalarda	pijasaɫardˈa
piyasasının	pijasasɯnˈɯn
planından	pɫanɯndˈan
podyuma	pɔdjˈuma
polimerler	polimɛrlˈɛr
portal	pɔrtˈaɫ
portu	pɔrtˈʊ
postane	pɔstanˈɛ
protestocular	protɛstod͡ʒuɫˈar
raporlama	rapˈɔrɫama
rastlantı	rastɫantˈɯ
referandumda	refeɾandʊmdˈa
rivayetlere	rivajɛtleɾˈɛ
roketleri	rokɛtleɾˈɪ
rolün	roɫˈøn
romanlarını	romanɫaɾɯnˈɯ
saklanmak	sakɫanmˈak
salatalık	saɫataɫˈɯk
saldırırken	saɫdɯɾˈɯrcæn
sanan	sanˈan
sanayileşmiş	sanajilɛʃmˈɪʃ
sanılıyor	sanɯɫˈɯjɔr
saplar	sapɫˈar
sargı	sarɡˈɯ
satılmış	satɯɫmˈɯʃ
savaşlarından	savaʃɫaɾɯndˈan
savaşlarının	savaʃɫaɾɯnˈɯn
savunulması	savunʊɫmasˈɯ
sayar	sajˈar
saçı	sat͡ʃˈɯ
sağlığında	saːɫɯɯɯndˈa
seferini	sefeɾinˈɪ
sekreterliğini	sɛkretɛrlijinˈɪ
sektörler	sɛktœrlˈɛr
sektörünü	sɛktœɾynˈø
senaryolar	senarjoɫˈar
senesinin	senesinˈɪn
senetleri	senɛtleɾˈɪ
servisine	sɛrvisinˈɛ
seslerinin	sɛsleɾinˈɪn
seviyededir	sevijedˈedɪr
seyrüsefer	sɛjrysefˈɛr
seçilmesine	set͡ʃɪlmesinˈɛ
seçmeleri	sɛt͡ʃmeleɾˈɪ
seçmenler	sɛt͡ʃmænlˈɛr
silindi	silɪndˈɪ
simetrisi	simɛtrisˈɪ
sinirleri	sinɪrleɾˈɪ
sinyalinin	sɪnjalinˈɪn
sitelerinden	siteleɾɪndˈæn
solundaki	soɫʊndakˈɪ
soruldu	soɾʊɫdˈʊ
soydan	sɔjdˈan
standartların	standartɫaɾˈɯn
stokları	stɔkɫaɾˈɯ
sultana	sʊɫtanˈa
suçlayan	sʊt͡ʃɫajˈan
söylemesini	sœjlemesinˈɪ
söylemi	sœjlemˈɪ
sözcüktür	sœzd͡ʒˈøktør
söğüt	sœːˈøt
sülfürik	sølfyɾˈɪk
süreçlere	syɾɛt͡ʃleɾˈɛ
sürgünler	sørɟønlˈɛr
süslüdür	søslˈydør
sıkışma	sɯkˈɯʃma
sınavlar	sɯnavɫˈar
sınavlarını	sɯnavɫaɾɯnˈɯ
sınıflandırılırlar	sɯnɯfɫandɯɾɯɫɯrɫˈar
sınırlara	sɯnɯrɫaɾˈa
sığınmış	sɯɯɯnmˈɯʃ
tabanda	tabandˈa
taktiklerini	taktɪkleɾinˈɪ
talebinin	talebinˈɪn
taneler	tanelˈɛr
tanesinde	tanesɪndˈɛ
tanrıyı	tanrɯjˈɯ
tanımadığı	tanɯmadɯɯˈɯ
tanıştırdı	tanˈɯʃtɯrdɯ
tartıştılar	tartɯʃtɯɫˈar
tarzıdır	tarzˈɯdɯr
taşımacılığında	taʃɯmad͡ʒɯɫɯɯɯndˈa
taşımayan	taʃɯmajˈan
tecrübeleri	tɛd͡ʒrybeleɾˈɪ
teftiş	tɛftˈɪʃ
tehlikelere	tɛhlikeleɾˈɛ
tekniğinde	tɛknijɪndˈɛ
teknolojisinde	tɛknoɫoʒisɪndˈɛ
televizyonlarında	televɪzjɔnɫaɾɯndˈa
temizlenir	temɪzlenˈɪr
tesise	tesˈisɛ
tesisinin	tesisinˈɪn
tetik	tetˈɪk
timsah	tɪmsˈah
tiptir	tˈɪptɪr
tiyatroyu	tijatrojˈʊ
tişört	tiʃˈœrt
tondur	tˈɔndʊr
toplamını	tɔpɫamɯnˈɯ
toplanırlar	tɔpɫanɯrɫˈar
topluluklarından	tɔpɫuɫʊkɫaɾɯndˈan
travmatik	travmatˈɪk
tutuklanmasına	tutʊkɫanmasɯnˈa
tükenmekte	tykænmɛktˈɛ
tüneller	tynællˈɛr
umumi	ˈumumɪ
ustalar	ʊstaɫˈar
uygulamalarından	ʊjɡuɫamaɫaɾɯndˈan
uzaklıkları	uzakɫɯkɫaɾˈɯ
uzatarak	uzataɾˈak
uzatılması	uzatɯɫmasˈɯ
vahiy	vahˈɪj
vasal	vasˈaɫ
vazgeçtiğini	vazɟɛt͡ʃtijinˈɪ
veliahtı	veliahtˈɯ
verebilirler	veɾebilɪrlˈɛr
verebilmektedir	veɾebɪlmɛktˈedɪr
verileceğini	veɾiled͡ʒejinˈɪ
verilerden	veɾilɛrdˈæn
verin	veɾˈɪn
videoya	videojˈa
viraj	viɾˈaʒ
vurulmuş	vuɾʊɫmˈʊʃ
vücudundaki	vyd͡ʒudʊndakˈɪ
yakalı	jakaɫˈɯ
yakılmıştır	jakɯɫmˈɯʃtɯr
yanlarını	janɫaɾɯnˈɯ
yansıtılır	jansɯtɯɫˈɯr
yapmasından	japmasɯndˈan
yapımcılarının	japɯmd͡ʒɯɫaɾɯnˈɯn
yaratıp	jaɾatˈɯp
yargıcı	jarɡɯd͡ʒˈɯ
yarışlarına	jaɾɯʃɫaɾɯnˈa
yarışçısı	jaɾɯʃt͡ʃɯsˈɯ
yaylar	jajɫˈar
yayımladılar	jajˈɯmɫadɯɫar
yazdıktan	jazdɯktˈan
yağın	jaːˈɯn
yaşanması	jaʃanmasˈɯ
yemyeşil	jæmjeʃˈɪl
yenilmezlik	jenɪlmɛzlˈɪk
yerleşimden	jɛrlˈeʃɪmdæn
yeteneğe	jetenejˈɛ
yönetmenidir	jœnɛtmenˈidɪr
yönlendiriciler	jœnlændiɾid͡ʒilˈɛr
yörüngeleri	jœɾønɟeleɾˈɪ
yüklediği	jøkledijˈɪ
yüksekse	jˈøksɛksɛ
yükselmesinde	jøksælmesɪndˈɛ
yükselmişti	jøksælmɪʃtˈɪ
yüzeylerinde	jyzɛjleɾɪndˈɛ
yıkıntıları	jɯkɯntɯɫaɾˈɯ
zarfı	zarfˈɯ
zeminden	zemɪndˈæn
zeminin	zeminˈɪn
zemininde	zeminɪndˈɛ
zora	zoɾˈa
Çağlayan	t͡ʃaːɫajˈan
Çermik	t͡ʃɛrmˈɪk
Çevik	t͡ʃevˈɪk
Örnekler	œrnɛklˈɛr
Öğretmeni	œːɾɛtmenˈɪ
Üvey	yvˈɛj
çalkantılı	t͡ʃaɫkantɯɫˈɯ
çalışanlarından	t͡ʃaɫɯʃanɫaɾɯndˈan
çapları	t͡ʃapɫaɾˈɯ
çar	t͡ʃˈar
çekilmesinin	t͡ʃekɪlmesinˈɪn
çekimlerin	t͡ʃekɪmleɾˈɪn
çekimser	t͡ʃekɪmsˈɛr
çeltik	t͡ʃæltˈɪk
çeyreği	t͡ʃɛjrejˈɪ
çiftliğine	t͡ʃɪftlijinˈɛ
çizme	t͡ʃˈɪzmɛ
çubuklu	t͡ʃubʊkɫˈʊ
çözümün	t͡ʃˈœzymøn
çıkarmanın	t͡ʃɯkˈarmanɯn
öksüz	ˈœksøz
önderleri	œndɛrleɾˈɪ
öngörüyordu	œnɟœɾˈyjɔrdʊ
öyküye	œjkyjˈɛ
özelliklerle	œzællɪklˈɛrlɛ
özgürlükler	œzɟørløklˈɛr
özlem	œzlˈæm
öç	ˈœt͡ʃ
ücretin	ød͡ʒretˈɪn
üniversitelerden	ynivɛrsitelɛrdˈæn
üniversitelerinden	ynivɛrsiteleɾɪndˈæn
üretmeyi	yɾˈɛtmejɪ
üyelerindendir	yjeleɾɪndˈændɪr
üzülen	yzylˈæn
İle	ˌilɛ
İntikam	ɪntikˈam
İslâmî	ɪslamˈɯ
ırklardan	ɯrkɫardˈan
ırkından	ɯrkɯndˈan
ıslık	ɯsɫˈɯk
ısıtılır	ɯsɯtɯɫˈɯr
Şampiyonaya	ʃampijonajˈa
Şebinkarahisar	ʃebɪnkaɾahisˈar
Şelalesi	ʃeɫalesˈɪ
şablon	ʃabɫˈɔn
şeyh	ʃˈɛjh
şifreleri	ʃɪfreleɾˈɪ
şifresini	ʃɪfresinˈɪ
şirketlerini	ʃɪrkɛtleɾinˈɪ
Abdülhamit	abdølhamˈɪt
Adventure	advæntuɾˈɛ
Akademisinde	akademisɪndˈɛ
Alexa	alɛksˈa
Allison	aɫlisˈɔn
Aradaki	aɾadakˈɪ
Araçlar	aɾat͡ʃɫˈar
Arnavutça	arnavʊtt͡ʃˈa
Astra	astrˈa
Asuka	asukˈa
Ateşi	ateʃˈɪ
Babam	babˈam
Bali	balˈɪ
Balıkçı	baɫɯkt͡ʃˈɯ
Başakşehir	baʃakʃehˈɪr
Becky	bˈɛd͡ʒkj
Beraber	beɾabˈɛr
Bilgin	bɪlɡˈɪn
Bitkilerin	bɪtkileɾˈɪn
Bloch	bɫˈɔd͡ʒh
Bolşeviklere	bɔɫʃevɪkleɾˈɛ
Brandenburg	brandænbˈʊrɡ
Brejnev	brɛʒnˈɛv
Bremen	bremˈæn
Broken	brˈocæn
Böylesi	bœjlesˈɪ
Canadian	d͡ʒanadiˈan
Candan	d͡ʒandˈan
Carlisle	d͡ʒarlˈɪslɛ
Carson	d͡ʒarsˈɔn
Cezayirli	d͡ʒezajɪrlˈɪ
Challenger	d͡ʒhaɫlænɟˈɛr
Champion	d͡ʒhampiˈɔn
Cho	d͡ʒhˈɔ
Cins	d͡ʒˈɪns
Clayton	d͡ʒɫajtˈɔn
Cobain	d͡ʒobaˈɪn
Count	d͡ʒoˈʊnt
Cumali	d͡ʒˈumalɪ
Dal	dˈaɫ
Dalton	daɫtˈɔn
Dekan	dekˈan
Devrimin	dˈɛvrimɪn
Diaz	diˈaz
Dişilerin	diʃileɾˈɪn
Dominique	dominikuˈɛ
Dora	doɾˈa
Dresden	drɛsdˈæn
Dua	duˈa
Duvarlar	duvarɫˈar
Döneminin	dœneminˈɪn
Eruh	eɾˈʊh
Esnek	ɛsnˈɛk
Eğirdir	ejˈɪrdɪr
Eşit	eʃˈɪt
Fair	faˈɪr
Falls	fˈaɫls
Fanny	fˈannj
Fight	fˈɪɟht
Filistinliler	filɪstɪnlilˈɛr
Firmanın	fˈɪrmanɯn
Fortune	fɔrtunˈɛ
Fotoğraflar	fotoːɾafɫˈar
Gal	ɡˈaɫ
Gayet	ɡajˈɛt
Georgi	ɟeɔrɡˈɪ
Gestapo	ɟɛstapˈɔ
Geçim	ɟˈet͡ʃɪm
Girişim	ɟiɾˈiʃɪm
Give	ɟivˈɛ
Gruplarını	ɡrʊpɫaɾɯnˈɯ
Gölcük	ɟœld͡ʒˈøk
Hadrianus	hadrianˈʊs
Halkının	haɫkɯnˈɯn
Hane	hanˈɛ
Hansen	hˈansæn
Hapisten	hapɪstˈæn
Hassa	hˈassa
Hayrettin	hajretːˈɪn
Hazır	hazˈɯr
Hearts	heˈarts
Hepburn	hɛpbˈʊrn
Herald	heɾˈaɫd
Here	heɾˈɛ
Hristiyanları	hrɪstijanɫaɾˈɯ
Ichigo	ɯd͡ʒhiɡˈɔ
Isabel	ɯsabˈæl
Jade	ʒadˈɛ
Jerome	ʒeɾˈomɛ
Kabil	kabˈɪl
Kablosuz	kabɫˈosʊz
Karamanoğulları	kaɾamanoːʊɫɫaɾˈɯ
Kararname	kaɾarnˈamɛ
Kardeşinin	kardeʃinˈɪn
Kargo	karɡˈɔ
Kartı	kartˈɯ
Kemeri	kemeɾˈɪ
Keza	kezˈa
Killer	kɪllˈɛr
Kirk	kˈɪrk
Kişilerin	kiʃileɾˈɪn
Komiserliği	komisɛrlijˈɪ
Kompleks	kɔmplˈɛks
Konseyin	kɔnsejˈɪn
Konuk	konˈʊk
Konum	kˈonʊm
Koreliler	koɾelilˈɛr
Krizi	krizˈɪ
Kruşçev	krʊʃt͡ʃˈɛv
Kutlu	kʊtɫˈʊ
Kuvvetli	kʊvvɛtlˈɪ
Köroğlu	kœɾoːɫˈʊ
Kızılay	kɯzɯɫˈaj
Lannister	ɫannɪstˈɛr
Larva	ɫarvˈa
Lehistan	lehɪstˈan
Lejyonu	lɛʒjonˈʊ
Lev	lˈɛv
Liderlik	lidɛrlˈɪk
Likya	lɪkjˈa
Louisiana	ɫouisianˈa
Maceraları	mad͡ʒeɾaɫaɾˈɯ
Maksim	mˈaksɪm
Mani	manˈɪ
Mantık	mantˈɯk
Marquis	markuˈɪs
Merkür	mɛrkˈør
Messi	mɛssˈɪ
Meteoroloji	meteoɾoɫoʒˈɪ
Metnin	mɛtnˈɪn
Midyat	mɪdjˈat
Mikro	mɪkrˈɔ
Moreno	moɾenˈɔ
Mortal	mɔrtˈaɫ
Mother	mɔthˈɛr
Mısırlıların	mɯsɯrɫɯɫaɾˈɯn
NCAA	nd͡ʒaˈa
NMR	nˌɛmˌɛɾˈɛ
Neumann	neumˈann
Nora	noɾˈa
Novi	novˈɪ
Numaralı	numˈaɾaɫɯ
Onlardan	ɔnɫˈardan
Orduda	ɔrdudˈa
Original	oɾiɟinˈaɫ
Osmanlının	ɔsmanɫɯnˈɯn
PAL	pˈaɫ
Pendik	pændˈɪk
Pittsburgh	pɪtːsbˈʊrɡh
Pleistosen	pleɪstˈosæn
Poisson	poɪssˈɔn
Polisin	polisˈɪn
Portresi	pɔrtresˈɪ
Qin	kˈɪn
Rabin	rabˈɪn
Ramsay	ramsˈaj
Reading	readˈɪnɡ
Regina	reɟinˈa
Rejim	rˈeʒɪm
Rene	renˈɛ
Ricky	rˈɪd͡ʒkj
Rommel	rɔmmˈæl
Roode	roodˈɛ
Rothen	rɔthˈæn
Rusları	rʊsɫaɾˈɯ
Sad	sˈad
Sahneye	sahnejˈɛ
Sanatsal	sanatsˈaɫ
Sempozyumu	sæmpˈɔzjumʊ
Sevinç	sevˈɪnt͡ʃ
Seyfeddin	sɛjfedːˈɪn
Sezer	sezˈɛr
Sharpe	sharpˈɛ
Sing	sˈɪnɡ
Smoke	smokˈɛ
Snape	snapˈɛ
Soner	sonˈɛr
Stephan	stɛphˈan
Still	stˈɪll
Suite	suitˈɛ
Suşehri	suʃɛhrˈɪ
Sınırları	sɯnɯrɫaɾˈɯ
Takma	tˈakma
Tekke	tekːˈɛ
Temelde	temældˈɛ
Tercan	tɛrd͡ʒˈan
Tevrat	tɛvrˈat
Theory	theˈɔrj
Tipi	tipˈɪ
Toplantıda	tɔpɫantɯdˈa
Troçki	trɔt͡ʃkˈɪ
Tuncer	tʊnd͡ʒˈɛr
Ulaş	uɫˈaʃ
Ulubey	uɫubˈɛj
Unit	unˈɪt
Vatandaşlık	vatandaʃɫˈɯk
Veda	vedˌa
Verdiği	vɛrdijˈɪ
Veriler	veɾilˈɛr
Vietnamlı	viɛtnamɫˈɯ
Vodafone	vodafonˈɛ
Watt	wˈatː
Yabani	jabanˈɪ
Yayını	jajɯnˈɯ
Yazılımın	jazˈɯɫɯmɯn
Yaşasın	jaʃasˈɯn
Yerden	jɛrdˈæn
Yerleşkesi	jɛrlɛʃkesˈɪ
Yunanlara	junanɫaɾˈa
Yöntem	jœntˈæm
Yüreğir	jyɾejˈɪr
Zeytinburnu	zɛjtɪnbʊrnˈʊ
acısı	ad͡ʒɯsˈɯ
adaylarının	adajɫaɾɯnˈɯn
ajanların	aʒanɫaɾˈɯn
ajans	aʒˈans
akademinin	akademinˈɪn
aksini	aksinˈɪ
aktarmaktadır	aktarmaktˈadɯr
aktivitenin	aktivitenˈɪn
akıbeti	akɯbetˈɪ
akıntısı	akɯntɯsˈɯ
akışa	akɯʃˈa
alalım	aɫaɫˈɯm
alkolsüz	aɫkˈɔɫsøz
almışlar	aɫmɯʃɫˈar
altışar	aɫtɯʃˈar
ameliyattan	amelijatːˈan
amiri	amiɾˈɪ
amorf	amˈɔrf
anahtarların	anahtarɫaɾˈɯn
anarşi	anarʃˈɪ
animasyonlu	animasjɔnɫˈʊ
aracında	aɾad͡ʒɯndˈa
arazisine	aɾazisinˈɛ
armoni	armonˈɪ
astım	ˈastɯm
asılır	asɯɫˈɯr
atamıştır	atamˈɯʃtɯr
ateşkesi	atɛʃkesˈɪ
atıcı	atɯd͡ʒˈɯ
avukatlar	avukatɫˈar
avına	avɯnˈa
ayakla	ajˈakɫa
ayaklarında	ajakɫaɾɯndˈa
ayarlanmıştır	ajarɫanmˈɯʃtɯr
ayette	ajetːˈɛ
ayını	ajɯnˈɯ
azınlıklara	azɯnɫɯkɫaɾˈa
açıklamalarını	at͡ʃɯkɫamaɫaɾɯnˈɯ
açıklamıştı	at͡ʃɯkɫamɯʃtˈɯ
açıldıktan	at͡ʃɯɫdɯktˈan
açılmasından	at͡ʃɯɫmasɯndˈan
açıyor	at͡ʃˈɯjɔr
ağaçlarla	aːt͡ʃɫˈarɫa
ağlarının	aːɫaɾɯnˈɯn
aşağıdadır	aʃaːɯdˈadɯr
aşkının	aʃkɯnˈɯn
bahçenin	bˈaht͡ʃɛnɪn
bankaların	bankaɫaɾˈɯn
barındırmak	baɾɯndɯrmˈak
baskına	baskɯnˈa
basmak	basmˈak
bastırmaya	bastˈɯrmaja
bağlayıp	baːɫajˈɯp
bağımsızlığa	baːɯmsɯzɫɯɯˈa
başarıdan	baʃaɾɯdˈan
başarılarla	baʃaɾɯɫˈarɫa
başlayabilir	baʃɫajabilˈɪr
beklerler	bɛklɛrlˈɛr
belirleneceği	belɪrlened͡ʒejˈɪ
belirleyerek	belɪrlejeɾˈɛk
belirtilerin	belɪrtileɾˈɪn
benzese	bænzˈesɛ
beslenmeye	bɛslˈænmejɛ
bileşenlerine	bileʃænleɾinˈɛ
bileşiklerinin	bileʃɪkleɾinˈɪn
bilgini	bɪlɟinˈɪ
bilindi	bilɪndˈɪ
binalarına	binaɫaɾɯnˈa
binicilik	binid͡ʒilˈɪk
birikimini	biɾikiminˈɪ
birimden	bˈiɾɪmdæn
birleşince	bɪrleʃˈɪnd͡ʒɛ
bitirmeye	bitˈɪrmejɛ
bloğun	bɫoːˈʊn
botları	bɔtɫaɾˈɯ
boyanmıştır	bojanmˈɯʃtɯr
boyunlu	bojʊnɫˈʊ
boğuldu	boːʊɫdˈʊ
bulunca	buɫʊnd͡ʒˈa
bulunursa	buɫunˈʊrsa
buluyordu	buɫˈujɔrdʊ
buyruğu	bʊjrˈʊː
buyuk	bujˈʊk
buzulları	buzʊɫɫaɾˈɯ
bölünebilir	bœlynebilˈɪr
bırakmayan	bɯɾakmajˈan
cisimlere	d͡ʒisɪmleɾˈɛ
civarda	d͡ʒivardˈa
cunta	d͡ʒʊntˈa
dalların	daɫɫaɾˈɯn
darbeye	darbejˈɛ
davasına	davasɯnˈa
dağıldılar	daːɯɫdɯɫˈar
dağıtmaya	daːˈɯtmaja
dedikoduları	dedikoduɫaɹˈɯ
deliklerden	delɪklɛrdˈæn
deneyinde	denejɪndˈɛ
denizaltıları	denizaɫtɯɫaɾˈɯ
denizaltısı	denizaɫtɯsˈɯ
denizler	dˈenɪzlɛr
derileri	deɾileɾˈɪ
deriye	deɾijˈɛ
desteklemez	dɛstɛklemˈɛz
desteğinden	dɛstejɪndˈæn
devletlerde	dɛvlɛtlɛrdˈɛ
devrildi	dɛvrɪldˈɪ
değerlendirerek	dejɛrlændiɾeɾˈɛk
değindi	dejɪndˈɪ
değinen	dejinˈæn
değirmenleri	dejɪrmænleɾˈɪ
değişebilmektedir	dejiʃebɪlmɛktˈedɪr
değişkenleri	dejɪʃkænleɾˈɪ
dinamikleri	dinamɪkleɾˈɪ
dinar	dinˈar
