'll	l,əl
influence	ˈɪnflʊəns,ˈɪnfluːəns
influenced	ˈɪnfluːənst,ˈɪnflʊənst
influences	ˈɪnflʊənsɪz,ˈɪnfluːənsɪz
influencing	ˈɪnfluːənsɪŋ
influential	ˌɪnflʊˈɛnʃəl,ˌɪnfluːˈɛnʃəl
influentially	ˌɪnfluːˈɛnʃəlˌi
influenza	ˌɪnfluːˈɛnzɐ
influx	ˈɪnflʌks
influxes	ˈɪnflʌksɪz
info	ˈɪnfəʊ
infomercial	ˌɪnfəʊmˈɜːʃəl
inform	ɪnfˈɔːm
informal	ɪnfˈɔːməl
informality	ɪnfɔːmˈælɪti
informally	ɪnfˈɔːməli
informant	ɪnfˈɔːmənt
informants	ɪnfˈɔːmənts
information	ˌɪnfəmˈeɪʃən
informational	ˌɪnfəmˈeɪʃənəl
informative	ɪnfˈɔːmətɪv,ɪnfˈɔːmətˌɪv
informed	ɪnfˈɔːmd
informer	ɪnfˈɔːmɐ
informers	ɪnfˈɔːməz
informing	ɪnfˈɔːmɪŋ
informs	ɪnfˈɔːmz
infra	ˈɪnfɹɐ
infraction	ɪnfɹˈækʃən
infractions	ɪnfɹˈækʃənz
infrared	ˌɪnfɹəɹˈɛd
infrastructural	ˌɪnfɹəstɹˈʌktʃəɹəl
infrastructure	ˌɪnfɹəstɹˈɐktʃə,ˈɪnfɹəstɹˌʌktʃɐ
infrastructures	ˈɪnfɹəstɹˌʌktʃəz
infrequent	ɪnfɹˈiːkwənt
infrequently	ɪnfɹˈiːkwəntli
infringe	ɪnfɹˈɪndʒ
infringed	ɪnfɹˈɪndʒd
infringement	ɪnfɹˈɪndʒmənt
infringements	ɪnfɹˈɪndʒmənts
infringer	ɪnfɹˈɪndʒɐ
infringes	ɪnfɹˈɪndʒɪz
infringing	ɪnfɹˈɪndʒɪŋ
infuriate	ɪnfjˈɔːɹɪˌeɪt
infuriated	ɪnfjˈɔːɹɪˌeɪtɪd
infuriates	ɪnfjˈɔːɹɪˌeɪts
infuriating	ɪnfjˈɔːɹɪˌeɪtɪŋ
infuriatingly	ɪnfjˈɔːɹɪˌeɪtɪŋli
infuse	ɪnfjˈuːz
infused	ɪnfjˈuːzd
infuser	ɪnfjˈuːsɐ
infusers	ɪnfjˈuːsəz
infuses	ɪnfjˈuːzɪz
infusing	ɪnfjˈuːzɪŋ
infusion	ɪnfjˈuːʒən
infusions	ɪnfjˈuːʒənz
ingenious	ɪndʒˈiːnɪəs,ɪndʒˈiːnjəs
ingeniously	ɪndʒˈiːnɪəsli
ingeniousness	ɪndʒˈiːnɪəsnəs
ingenuity	ˌɪndʒɪnjˈuːɪtˌi
ingenuous	ɪndʒˈɛnjuːəs
ingest	ɪndʒˈɛst
ingested	ɪndʒˈɛstɪd
ingesting	ɪndʒˈɛstɪŋ
ingestion	ɪndʒˈɛstʃən
ingests	ɪndʒˈɛsts
ingle	ɪnɡlˈiː
inglenook	ɪnɡlˈɛnʊk
inglenooks	ɪnɡlˈɛnʊks
inglorious	ɪnɡlˈɔːɹɪəs
ingoing	ɪnɡˈəʊɪŋ
ingot	ˈɪŋɡət
ingots	ˈɪŋɡəts
ingrain	ɪnɡɹˈeɪn
ingrained	ɪnɡɹˈeɪnd
ingrate	ɪnɡɹˈeɪt
ingrates	ɪnɡɹˈeɪts
ingratiate	ɪnɡɹˈeɪʃɪˌeɪt
ingratiated	ɪnɡɹˈeɪʃɪˌeɪtɪd
ingratiates	ɪnɡɹˈeɪʃɪˌeɪts
ingratiating	ɪnɡɹˈeɪʃɪˌeɪtɪŋ
ingratitude	ɪnɡɹˈætɪtjˌuːd
ingredient	ɪngɹˈiːdɪənt,ɪnɡɹˈiːdiənt
ingredients	ɪngɹˈiːdɪənts,ɪnɡɹˈiːdiənts
ingress	ɪnɡɹˈɛs
ingrowing	ˈɪŋɡɹəʊɪŋ
ingrown	ˈɪŋɡɹəʊn
inguinal	ɪnɡˈɪnəl
inhabit	ɪnhˈæbɪt
inhabitable	ɪnhˈæbɪtəbəl
inhabitant	ɪnhˈæbɪtənt
inhabitants	ɪnhˈæbɪtənts
inhabited	ɪnhˈæbɪtɪd
inhabiting	ɪnhˈæbɪtɪŋ
inhabits	ɪnhˈæbɪts
inhalant	ɪnhˈælənt
inhalation	ɪnhɐlˈeɪʃən
inhalations	ɪnhɐlˈeɪʃənz
inhale	ɪnhˈeɪl
inhaled	ɪnhˈeɪld
inhaler	ɪnhˈeɪlɐ
inhalers	ɪnhˈeɪləz
inhales	ɪnhˈeɪlz
inhaling	ɪnhˈeɪlɪŋ
inhere	ɪnhˈiə
inherent	ɪnhˈɪəɹənt,ɪnhˈɛɹənt,ɪnhˈiəɹənt
inherently	ɪnhˈiəɹəntli
inhering	ɪnhˈɜːɹɪŋ
inherit	ɪnhˈɛɹɪt
inheritance	ɪnhˈɛɹɪtəns
inheritances	ɪnhˈɛɹɪtənsɪz
inherited	ɪnhˈɛɹɪtɪd
inheriting	ɪnhˈɛɹɪtɪŋ
inheritor	ɪnhˈɛɹɪtɐ
inheritors	ɪnhˈɛɹɪtəz
inherits	ɪnhˈɛɹɪts
inhibit	ɪnhˈɪbɪt
inhibited	ɪnhˈɪbɪtɪd
inhibiting	ɪnhˈɪbɪtɪŋ
inhibition	ɪnhɪbˈɪʃən,ˌɪnɪbˈɪʃən
inhibitions	ɪnhɪbˈɪʃənz
inhibitor	ɪnhˈɪbɪtɐ
inhibitors	ɪnhˈɪbɪtəz
inhibitory	ɪnhˈɪbɪtəɹˌi
inhibits	ɪnhˈɪbɪts
inhospitable	ɪnhɒspˈɪtəbəl
inhuman	ɪnhjˈuːmən
inhumane	ɪnhjuːmˈeɪn
inhumanely	ɪnhjuːmˈeɪnli
inhumanity	ɪnhjuːmˈænɪti
inhumanly	ɪnhjˈuːmənli
inimical	ɪnˈɪmɪkəl
inimitable	ɪnˈɪmɪtəbəl
inion	ɪnˈaɪɒn
iniquities	ɪnˈɪkwɪtiz
iniquitous	ɪnˈɪkwɪtəs
iniquity	ɪnˈɪkwɪti
initial	ɪnˈɪʃəl
initialise	ɪnˈɪʃəlˌaɪz
initialised	ɪnˈɪʃəlˌaɪzd
initialising	ɪnˈɪʃəlˌaɪzɪŋ
initialled	ɪnˈɪʃəld
initialling	ɪnˈɪʃəlˌɪŋ
initially	ɪnˈɪʃəlˌi,ɪnˈɪʃəli
initials	ɪnˈɪʃəlz
initiate	ɪnˈɪʃɪˌeɪt
initiated	ɪnˈɪʃɪˌeɪtɪd
initiating	ɪnˈɪʃɪˌeɪtɪŋ
initiation	ɪnˌɪʃɪˈeɪʃən
initiations	ɪnˌɪʃɪˈeɪʃənz
initiative	ɪnˈɪʃɪətɪv,ɪnˈɪʃətɪv,ɪnˈɪʃiətˌɪv
initiatives	ɪnˈɪʃətɪvz,ɪnˈɪʃɪətɪvz,ɪnˈɪʃiətˌɪvz
initiator	ɪnˈɪʃɪˌeɪtɐ
initiators	ɪnˈɪʃɪˌeɪtəz
inject	ɪndʒˈɛkt
injected	ɪndʒˈɛktɪd
injecting	ɪndʒˈɛktɪŋ
injection	ɪndʒˈɛkʃən
injections	ɪndʒˈɛkʃənz
injector	ɪndʒˈɛktɐ
injectors	ɪndʒˈɛktəz
injects	ɪndʒˈɛkts
injudicious	ɪndʒuːdˈɪʃəs
injunction	ɪndʒˈɐŋkʃən,ɪndʒˈɐŋʃən,ɪndʒˈʌŋkʃən
injunctions	ɪndʒˈʌŋkʃənz
injunctive	ɪndʒˈʌŋktɪv
injure	ˈɪndʒə,ˈɪndʒɐ
injured	ˈɪndʒəd
injures	ˈɪndʒəz
injuries	ˈɪndʒəɹɪz,ˈɪndʒəɹiz
injuring	ˈɪndʒəɹɪŋ
injurious	ɪndʒˈɔːɹɪəs
injury	ˈɪndʒəɹi
injustice	ɪndʒˈʌstɪs,ɪndʒˈɐstɪs
injustices	ɪndʒˈʌstɪsɪz
ink	ˈɪŋk
inkblot	ˈɪŋkblɒt
inkblots	ˈɪŋkblɒts
inked	ˈɪŋkt
inkiness	ˈɪŋkinəs
inking	ˈɪŋkɪŋ
inkjet	ˈɪŋkdʒˌɛt
inkle	ˈɪŋkəl
inkles	ˈɪŋkəlz
inkling	ˈɪŋklɪŋ
inklings	ˈɪŋklɪŋz
inks	ˈɪŋks
inkstand	ˈɪŋkstænd
inkstands	ˈɪŋkstændz
inkwell	ˈɪŋkwɛl
inkwells	ˈɪŋkwɛlz
inky	ˈɪŋki
inlaid	ˈɪnleɪd
inland	ˈɪnlˌænd
inlay	ɪnlˈeɪ,ˈɪnlˌeɪ
inlaying	ˈɪnleɪɪŋ
inlet	ˈɪnlˌɛt,ˈɪnlət
inlets	ˈɪnləts
inline	ˈɪnlaɪn
inly	ˈɪnli
inmate	ˈɪnmeɪt
inmates	ˈɪnmeɪts
inmost	ˈɪnməʊst
inn	ˈɪn
innards	ˈɪnədz
innate	ɪnnˈeɪt,ˈɪneɪt,ɪnˈeɪt
innately	ɪnnˈeɪtli
inner	ˈɪnə,ˈɪnɐ
innermost	ˈɪnəmˌəʊst
inning	ˈɪnɪŋ
innings	ɪnnˈɪŋz
innit	ɪnnˈɪt
innkeeper	ˈɪnkiːpɐ
innkeepers	ˈɪnkiːpəz
innocence	ˈɪnəsəns
innocent	ˈɪnəsənt
innocently	ˈɪnəsəntli
innocents	ˈɪnəsənts
innocuous	ɪnnˈɒkjuːəs
innocuously	ɪnnˈɒkjuːəsli
innovate	ˈɪnəvˌeɪt
innovated	ˈɪnəvˌeɪtɪd
innovating	ˈɪnəvˌeɪtɪŋ
innovation	ˌɪnəvˈeɪʃən
innovations	ˌɪnəvˈeɪʃənz
innovative	ˈɪnəvˌeɪtɪv,ˈɪnəvətɪv
innovator	ˈɪnəvˌeɪtɐ
innovators	ˈɪnəvˌeɪtəz
innovatory	ˈɪnəvətəɹˌi
inns	ˈɪnz
innuendo	ɪnnjuːˈɛndəʊ
innuendoes	ɪnnjuːˈɛndəʊz
innuendos	ɪnnjuːˈɛndəʊz
innumerable	ɪnjˈuːməɹəbəl
innumeracy	ɪnjˈuːməɹəsi
innumerate	ɪnjˈuːməɹˌeɪt
inoculate	ɪnˈɒkjʊlˌeɪt
inoculated	ɪnˈɒkjʊlˌeɪtɪd
inoculating	ɪnˈɒkjʊlˌeɪtɪŋ
inoculation	ɪnˌɒkjʊlˈeɪʃən
inoculations	ɪnˌɒkjʊlˈeɪʃənz
inoculum	ɪnˈɒkjʊləm
inoffensive	ɪnəfˈɛnsɪv
inoperable	ɪnˈɒpəɹəbəl
inoperative	ɪnˈɒpəɹətˌɪv
inopportune	ɪnɒpətjˈuːn
inordinate	ɪnˈɔːdɪnət
inordinately	ɪnˈɔːdɪnətli
inorganic	ˌɪnɔːɡˈænɪk
inositol	ɪnˈɒsɪtˌɒl
inpatient	ˈɪnpeɪʃənt
inpatients	ˈɪnpeɪʃənts
input	ˈɪnpˌʊt,ˈɪnpʊt
inputs	ˈɪnpʊts,ˈɪnpˌʊts
inputted	ˈɪnpˌʊtɪd,ˈɪnpʌtɪd
inputting	ˈɪnpʌtɪŋ
inquest	ˈɪnkwɛst,ˈɪnkwˌɛst
inquests	ˈɪnkwɛsts
inquire	ɪnkwˈaɪə
inquired	ɪnkwˈaɪəd
inquirer	ɪnkwˈaɪəɹɐ
inquires	ɪnkwˈaɪəz
inquiries	ɪnkwˈaɪəɹɪz,ɪnkwˈaɪəɹiz
inquiring	ɪnkwˈaɪəɹɪŋ
inquiry	ɪnkwˈaɪəɹi
inquisition	ˌɪnkwɪsˈɪʃən
inquisitions	ˌɪnkwɪsˈɪʃənz
inquisitive	ɪnkwˈɪzɪtˌɪv
inquisitively	ɪnkwˈɪzɪtˌɪvli
inquisitiveness	ɪnkwˈɪzɪtˌɪvnəs
inquisitor	ˈɪnkwɪsˌɪtɐ
inquisitorial	ˌɪnkwɪsɪtˈɔːɹɪəl
inquisitors	ˈɪnkwɪsˌɪtəz
inroad	ˈɪnɹəʊd
inroads	ˈɪnɹəʊdz
inrush	ˈɪnɹʌʃ
ins	ˈɪnz
insalubrious	ɪnsælˈuːbɹɪəs
insane	ɪnsˈeɪn
insanely	ɪnsˈeɪnli
insaner	ɪnsˈeɪnɐ
insanitary	ɪnsˈænɪtəɹi
insanity	ɪnsˈænɪti
insatiable	ɪnsˈeɪʃɪəbəl
insatiably	ɪnsˈeɪʃæbli
inscribe	ɪnskɹˈaɪb
inscribed	ɪnskɹˈaɪbd
inscribing	ɪnskɹˈaɪbɪŋ
inscription	ɪnskɹˈɪpʃən
inscriptions	ɪnskɹˈɪpʃənz
inscrutable	ɪnskɹˈuːtəbəl
insect	ˈɪnsɛkt,ˈɪnsˌɛkt
insecticidal	ˌɪnsˌɛktɪsˈaɪdəl
insecticide	ˌɪnsˈɛktɪsˌaɪd
insecticides	ˌɪnsˈɛktɪsˌaɪdz
insectivore	ˌɪnsˈɛktɪvˌɔː
insectivores	ˌɪnsˈɛktɪvˌɔːz
insectivorous	ˌɪnsɛktˈɪvəɹəs
insects	ˈɪnsɛkts,ˈɪnsˌɛkts
insecure	ˌɪnsɪkjˈɔː
insecurely	ˌɪnsɪkjˈɔːli
insecurities	ˌɪnsɪkjˈɔːɹɪtiz
insecurity	ˌɪnsɪkjˈɔːɹɪti
inseminate	ɪnsˈɛmɪnˌeɪt
inseminated	ɪnsˈɛmɪnˌeɪtɪd
inseminating	ɪnsˈɛmɪnˌeɪtɪŋ
insemination	ɪnsˌɛmɪnˈeɪʃən
insensate	ɪnsˈɛnseɪt
insensibility	ɪnsˌɛnsəbˈɪlɪti
insensible	ɪnsˈɛnsəbəl
insensitive	ɪnsˈɛnsɪtˌɪv
insensitively	ɪnsˈɛnsɪtˌɪvli
insensitivity	ɪnsˌɛnsɪtˈɪvɪti
inseparable	ɪnsˈɛpəɹəbəl
inseparably	ɪnsˈɛpəɹəbli
insert	ˈɪnsˌɜːt,ɪnsˈɜːt
inserted	ɪnsˈɜːtɪd
inserting	ɪnsˈɜːtɪŋ
insertion	ɪnsˈɜːʃən
insertions	ɪnsˈɜːʃənz
inset	ɪnsˈɛt,ˈɪnsˌɛt
inshore	ˈɪnʃɔː
inside	ˈɪnsˌaɪd,ɪnsˈaɪd
insider	ɪnsˈaɪdɐ,ɪnsˈaɪdə
insiders	ɪnsˈaɪdəz
insides	ɪnsˈaɪdz
insidious	ɪnsˈɪdɪəs
insidiously	ɪnsˈɪdɪəsli
insight	ˈɪnsˌaɪt,ˈɪnsaɪt
insightful	ɪnsˈaɪtfəl
insights	ˈɪnsaɪts,ˈɪnsˌaɪts
insignia	ɪnsˈɪɡniɐ
insignias	ɪnsˈɪɡniəz
insignificance	ˌɪnsɪɡnˈɪfɪkəns
insignificant	ˌɪnsɪɡnˈɪfɪkənt
insignificantly	ˌɪnsɪɡnˈɪfɪkəntli
insincere	ˌɪnsɪnsˈiə
insincerity	ˌɪnsɪnsˈɛɹɪti
insinuate	ɪnsˈɪnjuːˌeɪt
insinuated	ɪnsˈɪnjuːˌeɪtɪd
insinuating	ɪnsˈɪnjuːˌeɪtɪŋ
insinuation	ɪnsˌɪnjuːˈeɪʃən
insinuations	ɪnsˌɪnjuːˈeɪʃənz
insipid	ɪnsˈɪpɪd
insist	ɪnsˈɪst
insisted	ɪnsˈɪstɪd
insistence	ɪnsˈɪstəns
insistent	ɪnsˈɪstənt
insistently	ɪnsˈɪstəntli
insisting	ɪnsˈɪstɪŋ
insists	ɪnsˈɪsts
insofar	ˈɪnsəfˌɑː
insole	ˈɪnsəʊl
insolence	ˈɪnsələns
insolent	ˈɪnsələnt
insolently	ˈɪnsələntli
insoles	ˈɪnsəʊlz
insoluble	ɪnsˈɒljuːbəl
insolvencies	ɪnsˈɒlvənsiz
insolvency	ɪnsˈɒlvənsi
insolvent	ɪnsˈɒlvənt
insomnia	ɪnsˈɒmniɐ
insomniac	ɪnsˈɒmnɪˌæk
insomniacs	ɪnsˈɒmnɪˌæks
insomuch	ˈɪnsəmˌʌtʃ
insouciance	ɪnsˈaʊʃiəns
insouciant	ɪnsˈaʊʃiənt
insouciantly	ɪnsˈaʊʃiəntli
inspect	ɪnspˈɛkt
inspected	ɪnspˈɛktɪd
inspecting	ɪnspˈɛktɪŋ
inspection	ɪnspˈɛkʃən
inspections	ɪnspˈɛkʃənz
inspector	ɪnspˈɛktə,ɪnspˈɛktɐ
inspectorate	ɪnspˈɛktəɹˌeɪt
inspectorates	ɪnspˈɛktəɹˌeɪts
inspectors	ɪnspˈɛktəz
inspects	ɪnspˈɛkts
inspiration	ˌɪnspɪɹˈeɪʃən,ˌɪnspəɹˈeɪʃən
inspirational	ˌɪnspəɹˈeɪʃənəl
inspirations	ˌɪnspəɹˈeɪʃənz
inspire	ɪnspˈaɪə
inspired	ɪnspˈaɪəd
inspirer	ˈɪnspaɪəɹɐ
inspires	ɪnspˈaɪəz
inspiring	ɪnspˈaɪəɹɪŋ
instabilities	ɪnstəbˈɪlɪtiz
instability	ˌɪnstəbˈɪlɪti,ɪnstəbˈɪlɪti
instable	ɪnstˈeɪbəl
instal	ɪnstˈɔːl
install	ɪnstˈɔːl
installation	ˌɪnstəlˈeɪʃən
installations	ˌɪnstəlˈeɪʃənz
installed	ɪnstˈɔːld
installer	ɪnstˈɔːlɐ
installers	ɪnstˈɔːləz
installing	ɪnstˈɔːlɪŋ
installment	ɪnstˈɔːlmənt
installments	ɪnstˈɔːlmənts
installs	ɪnstˈɔːlz
instalment	ɪnstˈɔːlmənt
instalments	ɪnstˈɔːlmənts
instance	ˈɪnstəns
instanced	ˈɪnstənst
instances	ˈɪnstənsɪz
instant	ˈɪnstənt
instantaneous	ˌɪnstɑːntˈeɪniəs
instantaneously	ˌɪnstɑːntˈeɪniəsli
instantly	ˈɪnstəntli
instants	ˈɪnstənts
instate	ɪnstˈeɪt
instated	ɪnstˈeɪtɪd
instead	ɪnstˈɛd
instep	ɪnstˈɛp
insteps	ɪnstˈɛps
instigate	ˈɪnstɪɡˌeɪt
instigated	ˈɪnstɪɡˌeɪtɪd
instigates	ˈɪnstɪɡˌeɪts
instigating	ˈɪnstɪɡˌeɪtɪŋ
instigation	ˌɪnstɪɡˈeɪʃən
instigator	ˈɪnstɪɡˌeɪtɐ
instigators	ˈɪnstɪɡˌeɪtəz
instil	ɪnstˈɪl
instill	ɪnstˈɪl
instillation	ɪnstɪlˈeɪʃən
instilled	ɪnstˈɪld
instilling	ɪnstˈɪlɪŋ
instils	ɪnstˈɪlz
instinct	ˈɪnstɪŋkt
instinctive	ɪnstˈɪŋktɪv
instinctively	ɪnstˈɪŋktɪvli
instincts	ˈɪnstɪŋkts
instinctual	ɪnstˈɪŋktʃuːəl
institute	ˈɪnstɪtjˌuːt
instituted	ˈɪnstɪtjˌuːtɪd
institutes	ˈɪnstɪtjˌuːts
instituting	ˈɪnstɪtjˌuːtɪŋ
institution	ˌɪnstɪtjˈuːʃən
institutional	ˌɪnstɪtjˈuːʃənəl
institutionalisation	ˌɪnstɪtjˌuːʃənəlaɪzˈeɪʃən
institutionalise	ˌɪnstɪtjˈuːʃənəlˌaɪz
institutionalised	ˌɪnstɪtjˈuːʃənəlˌaɪzd
institutionalising	ˌɪnstɪtjˈuːʃənəlˌaɪzɪŋ
institutionally	ˌɪnstɪtjˈuːʃənəli
institutions	ˌɪnstɪtjˈuːʃənz
instruct	ɪnstɹˈɐkt,ɪnstɹˈʌkt
instructed	ɪnstɹˈʌktɪd
instructing	ɪnstɹˈʌktɪŋ
instruction	ɪnstɹˈʌkʃən,ɪnstɹˈɐkʃən
instructional	ɪnstɹˈɐkʃənəl,ɪnstɹˈʌkʃənəl
instructions	ɪnstɹˈʌkʃənz,ɪnstɹˈɐkʃənz
instructive	ɪnstɹˈʌktɪv
instructor	ɪnstɹˈɐktə,ɪnstɹˈʌktɐ
instructors	ɪnstɹˈɐktəz,ɪnstɹˈʌktəz
instructs	ɪnstɹˈʌkts
instrument	ˈɪnstɹəmənt
instrumental	ˌɪnstɹəmˈɛntəl
instrumentalist	ˌɪnstɹəmˈɛntəlˌɪst
instrumentalists	ˌɪnstɹəmˈɛntəlˌɪsts
instrumentally	ˌɪnstɹəmˈɛntəli
instrumentals	ˌɪnstɹəmˈɛntəlz
instrumentation	ˌɪnstɹəməntˈeɪʃən,ˌɪnstɹəmɛntˈeɪʃən
instrumented	ˈɪnstɹəməntɪd
instrumenting	ˈɪnstɹəməntɪŋ
instruments	ˈɪnstɹəmənts
insubordinate	ˌɪnsəbˈɔːdɪnət
insubordination	ˌɪnsəbˌɔːdɪnˈeɪʃən
insubstantial	ˈɪnsəbstˌɑːnʃəl
insufferable	ɪnsˈʌfəɹəbəl
insufferably	ɪnsˈʌfəɹəbli
insufficiency	ɪnsəfˈɪʃənsi
insufficient	ɪnsəfˈɪʃənt
insufficiently	ɪnsəfˈɪʃəntli
insula	ˈɪnsjʊlɐ
insular	ˈɪnsjʊlɐ
insularity	ˌɪnsjʊlˈæɹɪti
insulate	ˈɪnsjʊlˌeɪt
insulated	ˈɪnsjʊlˌeɪtɪd
insulates	ˈɪnsjʊlˌeɪts
insulating	ˈɪnsjʊlˌeɪtɪŋ
insulation	ˌɪnsuːlˈeɪʃən,ˌɪnsjʊlˈeɪʃən
insulator	ˈɪnsuːlˌeɪtɐ
insulators	ˈɪnsuːlˌeɪtəz
insulin	ˈɪnsuːlˌɪn,ˈɪnsjʊlɪn
insult	ɪnsˈɐlt,ˈɪnsˌɐlt
insulted	ɪnsˈʌltɪd
insulting	ɪnsˈʌltɪŋ
insultingly	ɪnsˈʌltɪŋli
insuperable	ɪnsˈuːpəɹəbəl
insupportable	ɪnsəpˈɔːtəbəl
insurable	ɪnʃˈɔːɹəbəl
insurance	ɪnʃˈɔːɹəns
insurances	ɪnʃˈɔːɹənsɪz
insure	ɪnʃˈɔː
insured	ɪnʃˈɔːd
insureds	ɪnʃˈɔːdz
insurer	ɪnʃˈɔːɹɐ
insurers	ɪnʃˈɔːɹəz
insures	ɪnʃˈɔːz
insurgence	ɪnsˈɜːdʒəns
insurgencies	ɪnsˈɜːdʒənsiz
insurgency	ɪnsˈɜːdʒənsi
insurgent	ɪnsˈɜːdʒənt
insurgents	ɪnsˈɜːdʒənts
insuring	ɪnʃˈɔːɹɪŋ
insurmountable	ɪnsəmˈaʊntəbəl
insurrection	ɪnsəɹˈɛkʃən
insurrectionist	ɪnsəɹˈɛkʃənˌɪst
intact	ɪntˈækt
intaglio	ɪntˈæɡlɪˌəʊ
intake	ˈɪnteɪk,ˈɪntˌeɪk
intakes	ˈɪnteɪks
intangible	ɪntˈændʒəbəl
intangibles	ɪntˈændʒəbəlz
integer	ˈɪntɪdʒə,ˈɪntɪdʒɐ
integers	ˈɪntɪdʒəz
integral	ɪntˈɛgɹəl,ˈɪntɪgɹəl
integrally	ˈɪntɪɡɹəli
integrals	ˈɪntɪɡɹəlz
integrate	ˈɪntɪɡɹˌeɪt,ˈɪntɪgɹˌeɪt
integrated	ˈɪntɪgɹˌeɪtɪd,ˈɪntɪɡɹˌeɪtɪd
integrates	ˈɪntɪɡɹˌeɪts
integrating	ˈɪntɪgɹˌeɪtɪŋ,ˈɪntɪɡɹˌeɪtɪŋ
integration	ˌɪntɪgɹˈeɪʃən,ˌɪntɪɡɹˈeɪʃən
integrationist	ˌɪntɪɡɹˈeɪʃənˌɪst
integrator	ˈɪntɪɡɹˌeɪtɐ
integrity	ɪntˈɛɡɹɪti,ɪntˈɛgɹɪti
intel	ˈɪntɛl
intellect	ˈɪntəlˌɛkt
intellects	ˈɪntəlˌɛkts
intellectual	ˌɪntəlˈɛktʃʊəl,ˌɪntəlˈɛktʃuːəl
intellectualise	ˈɪntəlˌɛktʃuːəlˌaɪz
intellectualised	ˈɪntəlˌɛktʃuːəlˌaɪzd
intellectualising	ˈɪntəlˌɛktʃuːəlˌaɪzɪŋ
intellectualism	ˈɪntəlˌɛktʃuːəlˌɪzəm
intellectually	ˌɪntəlˈɛktʃuːəli
intellectuals	ˌɪntəlˈɛktʃuːəlz
intelligence	ɪntˈɛlɪdʒəns
intelligences	ɪntˈɛlɪdʒənsɪz
intelligent	ɪntˈɛlɪdʒənt
intelligently	ɪntˈɛlɪdʒəntli
intelligentsia	ɪntˌɛlɪdʒˈɛntsiə
intelligibility	ɪntˌɛlɪdʒəbˈɪlɪti
intelligible	ɪntˈɛlɪdʒəbəl
intemperance	ɪntˈɛmpəɹəns
intemperate	ɪntˈɛmpəɹət
intend	ɪntˈɛnd
intendant	ɪntˈɛndənt
intended	ɪntˈɛndɪd
intending	ɪntˈɛndɪŋ
intends	ɪntˈɛndz
intense	ɪntˈɛns
intensely	ɪntˈɛnsli
intensification	ɪntˌɛnsɪfɪkˈeɪʃən
intensified	ɪntˈɛnsɪfˌaɪd
intensifier	ɪntˈɛnsɪfˌaɪə
intensifies	ɪntˈɛnsɪfˌaɪz
intensify	ɪntˈɛnsɪfˌaɪ
intensifying	ɪntˈɛnsɪfˌaɪɪŋ
intensities	ɪntˈɛnsɪtiz
intensity	ɪntˈɛnsɪti
intensive	ɪntˈɛnsɪv
intensively	ɪntˈɛnsɪvli
intent	ɪntˈɛnt
intention	ɪntˈɛnʃən
intentional	ɪntˈɛnʃənəl
intentionality	ɪntˌɛnʃənˈælɪti
intentionally	ɪntˈɛnʃənəli
intentioned	ɪntˈɛnʃənd
intentions	ɪntˈɛnʃənz
intently	ɪntˈɛntli
intents	ɪntˈɛnts
inter	ɪntˈɜː
interact	ˌɪntəɹˈækt
interacted	ˌɪntəɹˈæktɪd
interacting	ˌɪntəɹˈæktɪŋ
interaction	ˌɪntəɹˈækʃən
interactions	ˌɪntəɹˈækʃənz
interactive	ˌɪntəɹˈæktɪv
interactively	ˌɪntəɹˈæktɪvli
interactivity	ˌɪntəɹæktˈɪvɪti
interacts	ˌɪntəɹˈækts
interbank	ˌɪntəbˈæŋk
interbred	ˌɪntəbɹˈɛd
interbreed	ˌɪntəbɹˈiːd
interbreeding	ˌɪntəbɹˈiːdɪŋ
intercede	ˌɪntəsˈiːd
intercedes	ˌɪntəsˈiːdz
interceding	ˌɪntəsˈiːdɪŋ
intercepted	ˌɪntəsˈɛptɪd
intercepting	ˌɪntəsˈɛptɪŋ
interception	ˌɪntəsˈɛpʃən
interceptions	ˌɪntəsˈɛpʃənz
interceptor	ˌɪntəsˈɛptɐ
interceptors	ˌɪntəsˈɛptəz
intercepts	ˌɪntəsˈɛpts
intercession	ˌɪntəsˈɛʃən
interchangeable	ˌɪntətʃˈeɪndʒəbəl
interchangeably	ˌɪntətʃˈeɪndʒəbli
interchanged	ˌɪntətʃˈeɪndʒd
interchanging	ˌɪntətʃˈeɪndʒɪŋ
intercity	ˌɪntəsˈɪti
intercom	ˌɪntəkˈɒm
intercoms	ˌɪntəkˈɒmz
interconnect	ˌɪntəkənˈɛkt
interconnected	ˌɪntəkənˈɛktɪd
interconnectedness	ˌɪntəkənˈɛktɪdnəs
interconnecting	ˌɪntəkənˈɛktɪŋ
interconnection	ˌɪntəkənˈɛkʃən
interconnections	ˌɪntəkənˈɛkʃənz
interconnects	ˌɪntəkənˈɛkts
intercontinental	ˌɪntəkˌɒntɪnˈɛntəl
intercostal	ˌɪntəkˈɒstəl
intercourse	ˈɪntəkˌɔːs,ˌɪntəkˈɔːs
intercultural	ˌɪntəkˈʌltʃəɹəl
intercut	ˌɪntəkˈʌt
interdepartmental	ˌɪntədɪpɑːtmˈɛntəl
interdependence	ˌɪntədɪpˈɛndəns
interdependency	ˌɪntədɪpˈɛndənsi
interdependent	ˌɪntədɪpˈɛndənt
interdiction	ˌɪntədˈɪkʃən
interest	ˈɪntɹəst,ˈɪntɹɪst,ˈɪntəɹɪst
