㔂	lan²⁴
男性	lam²⁴⁻²²ɕiɪŋ²¹
男性化	lam²⁴⁻²²ɕiɪŋ²¹⁻⁵³hua²¹
男方	lam²⁴⁻²²hɔŋ⁴⁴
男朋友	lam²⁴⁻²²piɪŋ²⁴⁻²²iu⁵³
男裝	lam²⁴⁻²²t͡sɔŋ⁴⁴
男高音	lam²⁴⁻²²ko⁴⁴⁻²²im⁴⁴
甸	tiɛn²²
町	tiɪŋ⁴⁴
町	tʰiɪŋ⁵³
甾	t͡saɪ⁴⁴
甾	t͡su⁴⁴
畀	pi²¹
畋	tiɛn²⁴
界	kaɪ²¹
界	kue²¹
界址	kaɪ²¹⁻⁵³t͡ɕi⁵³
界牌	kaɪ²¹⁻⁵³paɪ²⁴
界線	kaɪ²¹⁻⁵³suã²¹
界限	kaɪ²¹⁻⁵³han²²
畏	ui²¹
畏寒	ui²¹⁻⁵³kuã²⁴
畏小禮	ui²¹⁻⁵³ɕiaʊ⁵³⁻⁴⁴le⁵³
畏怯	ui²¹⁻⁵³kʰiap̚³²
畏懼	ui²¹⁻⁵³ku²²
畏擽	ui²¹⁻⁵³ŋiãʊ⁴⁴
畏擽草	ui²¹⁻⁵³ŋiãʊ⁴⁴⁻²²t͡sʰaʊ⁵³
畏縮	ui²¹⁻⁵³sɔk̚³²
畏罪	ui²¹⁻⁵³t͡sue²²
畏途	ui²¹⁻⁵³tɔ²⁴
畏難	ui²¹⁻⁵³lan²⁴
畔	pʰuan²²
畔	pʰuã²²
畖	ua⁴⁴
留	laʊ²⁴
留	liu²⁴
留任	liu²⁴⁻²²d͡ʑim²²
留名	laʊ²⁴⁻²²miã²⁴
留存	liu²⁴⁻²²t͡sun²⁴
留學	liu²⁴⁻²²hak̚⁴
留學	liu²⁴⁻²²oʔ⁴
留學生	liu²⁴⁻²²oʔ⁴⁻²¹ɕiɪŋ⁴⁴
留守	liu²⁴⁻²²ɕiu⁵³
留宿	liu²⁴⁻²²sɔk̚³²
留宿	liu²⁴⁻²²ɕiɔk̚³²
留尼汪	liu²⁴⁻²²nĩ²⁴⁻²²ɔŋ⁴⁴
留影	laʊ²⁴⁻²²iã⁵³
留影	liu²⁴⁻²²iɪŋ⁵³
留心	liu²⁴⁻²²ɕim⁴⁴
留念	liu²⁴⁻²²liam²²
留情	liu²⁴⁻²²t͡ɕiɪŋ²⁴
留意	liu²⁴⁻²²i²¹
留戀	liu²⁴⁻²²luan²⁴
留步	laʊ²⁴⁻²²pɔ²²
留步	liu²⁴⁻²²pɔ²²
留神	liu²⁴⁻²²ɕin²⁴
留級	liu²⁴⁻²²kip̚³²
留置	laʊ²⁴⁻²²ti²¹
留言	liu²⁴⁻²²ɡiɛn²⁴
留話	laʊ²⁴⁻²²ue²²
畚	pʰun⁵³
畚斗	pun²¹⁻⁵³taʊ⁵³
畚箕	pun²¹⁻⁵³ki⁴⁴
畜	hiɔk̚³²
畜	tʰiɔk̚³²
畜	tʰiɪk̚³²
畜牧	tʰiɔk̚³²⁻⁴bɔk̚⁴
畜牧學	tʰiɔk̚³²⁻⁴bɔk̚⁴⁻³²hak̚⁴
畜生	tʰiɔk̚³²⁻⁴ɕiɪŋ⁴⁴
畜產品	tʰiɔk̚³²⁻⁴san⁵³⁻⁴⁴pʰin⁵³
畜養	tʰiɔk̚³²⁻⁴iɔŋ⁵³
畝	bɔ⁵³
畢	pit̚³²
畢業	pit̚³²⁻⁴ɡiap̚⁴
畢業生	pit̚³²⁻⁴ɡiap̚⁴⁻³²ɕiɪŋ⁴⁴
畢業論文	pit̚³²⁻⁴ɡiap̚⁴⁻³²lun²²⁻²¹bun²⁴
畢生	pit̚³²⁻⁴ɕiɪŋ⁴⁴
畢竟	pit̚³²⁻⁴kiɪŋ²¹
略	lioʔ⁴
略	liɔk̚⁴
略勝一籌	liɔk̚⁴⁻³²ɕiɪŋ²¹⁻⁵³it̚³²⁻⁴tiu²⁴
略微	liɔk̚⁴⁻³²bi²⁴
略略仔	lioʔ³²⁻⁵³lioʔ³²⁻⁵³a⁵³
畦	he²⁴
畦	ki²⁴
番	han⁴⁴
番	huan⁴⁴
番仔	huan⁴⁴⁻²²a⁵³
番仔囝	huan⁴⁴⁻²²a⁵³⁻⁴⁴kiã⁵³
番仔婆	huan⁴⁴⁻²²a⁵³⁻⁴⁴po²⁴
番仔曆	huan⁴⁴⁻²²a⁵³⁻⁴⁴liɪk̚⁴
番仔樓	huan⁴⁴⁻²²a⁵³⁻⁴⁴laʊ²⁴
番仔正	huan⁴⁴⁻²²a⁵³⁻⁴⁴t͡ɕiã⁴⁴
番仔油	huan⁴⁴⁻²²a⁵³⁻⁴⁴iu²⁴
番仔火	huan⁴⁴⁻²²a⁵³⁻⁴⁴he⁵³
番仔灰	huan⁴⁴⁻²²a⁵³⁻⁴⁴he⁴⁴
番仔狗	huan⁴⁴⁻²²a⁵³⁻⁴⁴kaʊ⁵³
番仔番薯	huan⁴⁴⁻²²a⁵³⁻⁴⁴han⁴⁴⁻²²t͡su²⁴
番仔碼子	huan⁴⁴⁻²²a⁵³⁻⁴⁴be⁵³⁻⁴⁴t͡ɕi⁵³
番仔肥	huan⁴⁴⁻²²a⁵³⁻⁴⁴pui²⁴
番仔荔枝	huan⁴⁴⁻²²a⁵³⁻⁴⁴nãɪ²²⁻²¹t͡ɕi⁴⁴
番仔蘆薈	huan⁴⁴⁻²²a⁵³⁻⁴⁴lɔ²⁴⁻²²hue²²
番仔話	huan⁴⁴⁻²²a⁵³⁻⁴⁴ue²²
番仔餅	huan⁴⁴⁻²²a⁵³⁻⁴⁴piã⁵³
番匏	huan⁴⁴⁻²²pu²⁴
番婆	huan⁴⁴⁻²²po²⁴
番客	huan⁴⁴⁻²²kʰeʔ³²
番木瓜	huan⁴⁴⁻²²bɔk̚⁴⁻³²kue⁴⁴
番椒	huan⁴⁴⁻²²t͡ɕio⁴⁴
番油	huan⁴⁴⁻²²iu²⁴
番爿	huan⁴⁴⁻²²piɪŋ²⁴
番番	huan⁴⁴⁻²²huan⁴⁴
番肥	huan⁴⁴⁻²²pui²⁴
番膏膏	huan⁴⁴⁻²²ki⁴⁴⁻²²ko⁴⁴
番膏膏	huan⁴⁴⁻²²ko⁴⁴⁻²²ko⁴⁴
番芋	huan⁴⁴⁻²²ɔ²²
番茄	huan⁴⁴⁻²²ka⁴⁴
番荔枝	huan⁴⁴⁻²²nãɪ²²⁻²¹t͡ɕi⁴⁴
番葛	huan⁴⁴⁻²²kuaʔ³²
番薑	huan⁴⁴⁻²²kiũ⁴⁴
番薯	han⁴⁴⁻²²t͡su²⁴
番薯	huan⁴⁴⁻²²t͡su²⁴
番號	huan⁴⁴⁻²²ho²²
番蜘蛛	huan⁴⁴⁻²²ti⁴⁴⁻²²tu⁴⁴
番路	huan⁴⁴⁻²²lɔ²²
番邦	huan⁴⁴⁻²²paŋ⁴⁴
番麥	huan⁴⁴⁻²²beʔ⁴
番黍	huan⁴⁴⁻²²sue⁵³
畫	hua²²
畫	ua²²
畫	ui²²
畫供	ui²²⁻²¹kiɔŋ⁴⁴
畫供	ui²²⁻²¹kiɪŋ⁴⁴
畫像	ua²²⁻²¹ɕiɔŋ²²
畫像	ui²²⁻²¹ɕiɔŋ²²
畫冊	ui²²⁻²¹t͡sʰeʔ³²
畫刊	ui²²⁻²¹kʰan⁴⁴
畫商	ue²²⁻²¹ɕiɔŋ⁴⁴
畫圖	ui²²⁻²¹tɔ²⁴
畫報	ua²²⁻²¹po²¹
畫報	ui²²⁻²¹po²¹
畫室	ue²²⁻²¹ɕiɪk̚³²
畫家	ua²²⁻²¹ka⁴⁴
畫家	ui²²⁻²¹ka⁴⁴
畫展	ua²²⁻²¹tiɛn⁵³
畫展	ui²²⁻²¹tiɛn⁵³
畫幅	ui²²⁻²¹pak̚³²
畫押	ua²²⁻²¹aʔ³²
畫押	ui²²⁻²¹aʔ³²
畫皮	ua²²⁻²¹pʰe²⁴
畫皮	ui²²⁻²¹pʰe²⁴
畫眉	ua²²⁻²¹bi²⁴
畫筆	ue²²⁻²¹pit̚³²
畫虎𡳞	ui²²⁻²¹hɔ⁵³⁻⁴⁴lan²²
畫面	ua²²⁻²¹bin²²
畫面	ui²²⁻²¹bin²²
畬	ɕia⁴⁴
異	i²²
異	ĩ²²
異動	i²²⁻²¹tɔŋ²²
異同	i²²⁻²¹tɔŋ²⁴
異味	i²²⁻²¹bi²²
異國	i²²⁻²¹kɔk̚³²
異地	i²²⁻²¹te²²
異地	i²²⁻²¹tue²²
異域	i²²⁻²¹hiɪk̚⁴
異姓	i²²⁻²¹ɕiɪŋ²¹
異姓	ĩ²²⁻²¹ɕiɪŋ²¹
異己	i²²⁻²¹ki⁵³
異常	i²²⁻²¹ɕiɔŋ²⁴
異彩	i²²⁻²¹t͡sʰaɪ⁵³
異性	i²²⁻²¹ɕiɪŋ²¹
異想天開	i²²⁻²¹ɕiɔŋ⁵³⁻⁴⁴tʰĩ⁴⁴⁻²²kʰui⁴⁴
異族	i²²⁻²¹t͡sɔk̚⁴
異曲同工	i²²⁻²¹kʰiɔk̚³²⁻⁴tɔŋ²⁴⁻²²kɔŋ⁴⁴
異樣	i²²⁻²¹iũ²²
異樣	ĩ²²⁻²¹iũ²²
異物	i²²⁻²¹but̚⁴
異物	ĩ²²⁻²¹but̚⁴
異端	i²²⁻²¹tuan⁴⁴
異端	ĩ²²⁻²¹tuan⁴⁴
異質	i²²⁻²¹t͡ɕit̚³²
異軍突起	i²²⁻²¹kun⁴⁴⁻²²tut̚⁴⁻³²kʰi⁵³
異邦	ĩ²²⁻²¹paŋ⁴⁴
異類	i²²⁻²¹lui²²
當	taŋ⁴⁴
當	tã⁴⁴
當	tŋ̍²¹
當	tŋ̍⁴⁴
當	tɔŋ²¹
當	tɔŋ⁴⁴
當世	tɔŋ⁴⁴⁻²²se²¹
當中	tŋ̍⁴⁴⁻²²tiɔŋ⁴⁴
當中	tɔŋ⁴⁴⁻²²tiɔŋ⁴⁴
當事	tŋ̍⁴⁴⁻²²su²²
當事	tɔŋ⁴⁴⁻²²su²²
當事人	tŋ̍⁴⁴⁻²²su²²⁻²¹laŋ²⁴
當事人	tɔŋ⁴⁴⁻²²su²²⁻²¹lin²⁴
當事國	tɔŋ⁴⁴⁻²²su²²⁻²¹kɔk̚³²
當事者	tɔŋ⁴⁴⁻²²su²²⁻²¹t͡ɕia⁵³
當代	tŋ̍⁴⁴⁻²²taɪ²²
當代	tɔŋ⁴⁴⁻²²taɪ²²
當值	tɔŋ⁴⁴⁻²²tit̚⁴
當做	tŋ̍²¹⁻⁵³t͡sue²¹
當做	tɔŋ²¹⁻⁵³t͡sue²¹
當兵	tŋ̍⁴⁴⁻²²piɪŋ⁴⁴
當其時	tŋ̍⁴⁴⁻²²ki²⁴⁻²²ɕi²⁴
當其然	tɔŋ⁴⁴⁻²²ki²⁴⁻²²liɛn²⁴
當初	tŋ̍⁴⁴⁻²²t͡sʰue⁴⁴
當初	tŋ̍⁴⁴⁻²²t͡sʰɔ⁴⁴
當初時	tŋ̍⁴⁴⁻²²t͡sʰue⁴⁴⁻²²ɕi²⁴
當前	tŋ̍⁴⁴⁻²²t͡ɕiɪŋ²⁴
當前	tɔŋ⁴⁴⁻²²t͡ɕiɛn²⁴
當咧	tŋ̍⁴⁴⁻²²leʔ⁴
當地	tŋ̍⁴⁴⁻²²tue²²
當地	tɔŋ⁴⁴⁻²²te²²
當地時間	tɔŋ⁴⁴⁻²²te²²⁻²¹ɕi²⁴⁻²²kan⁴⁴
當地時間	tɔŋ⁴⁴⁻²²tue²²⁻²¹ɕi²⁴⁻²²kan⁴⁴
當場	tŋ̍⁴⁴⁻²²tiũ²⁴
當夜	tɔŋ⁴⁴⁻²²ia²²
當家	tŋ̍⁴⁴⁻²²ke⁴⁴
當家	tɔŋ⁴⁴⁻²²ka⁴⁴
當家師	tɔŋ⁴⁴⁻²²ka⁴⁴⁻²²su⁴⁴
當局	tŋ̍⁴⁴⁻²²kiɪk̚⁴
當局	tɔŋ⁴⁴⁻²²kiɔk̚⁴
當差	tŋ̍⁴⁴⁻²²t͡sʰe⁴⁴
當年	tŋ̍⁴⁴⁻²²nĩ²⁴
當店	tŋ̍²¹⁻⁵³tiam²¹
當心	tŋ̍⁴⁴⁻²²ɕim⁴⁴
當心	tɔŋ⁴⁴⁻²²ɕim⁴⁴
當政	tŋ̍⁴⁴⁻²²t͡ɕiɪŋ²¹
當政	tɔŋ⁴⁴⁻²²t͡ɕiɪŋ²¹
當日	tɔŋ⁴⁴⁻²²d͡ʑit̚⁴
當是時	tŋ̍⁴⁴⁻²²ɕi²²⁻²¹ɕi²⁴
當時	tŋ̍⁴⁴⁻²²ɕi²⁴
當晚	tɔŋ⁴⁴⁻²²buan⁵³
當機立斷	tɔŋ⁴⁴⁻²²ki⁴⁴⁻²²lip̚⁴⁻³²tuan²¹
當權派	tɔŋ⁴⁴⁻²²kuan²⁴⁻²²pʰaɪ²¹
當欲	tŋ̍⁴⁴⁻²²beʔ³²
當歸	tɔŋ⁴⁴⁻²²kui⁴⁴
當然	tɔŋ⁴⁴⁻²²liɛn²⁴
當當	tɔŋ⁴⁴⁻²²tɔŋ⁴⁴
當眾	tŋ̍⁴⁴⁻²²t͡ɕiɔŋ²¹
當紅	tŋ̍⁴⁴⁻²²aŋ²⁴
當綴	tŋ̍⁴⁴⁻²²te²¹
當選	tŋ̍⁴⁴⁻²²suan⁵³
當面	tŋ̍⁴⁴⁻²²bin²²
當頭	tŋ̍²¹⁻⁵³tʰaʊ²⁴
當頭	tŋ̍⁴⁴⁻²²tʰaʊ²⁴
當頭白日	tŋ̍⁴⁴⁻²²tʰaʊ²⁴⁻²²peʔ⁴⁻²¹lit̚⁴
畸	ki²⁴
畸形	ki²⁴⁻²²hiɪŋ²⁴
畿	ki²⁴
畿	ki⁴⁴
疆	kiaŋ⁴⁴
疆	kiɔŋ⁴⁴
疆域	kiɔŋ⁴⁴⁻²²hiɪk̚⁴
疆場	kiɔŋ⁴⁴⁻²²tiũ²⁴
疆界	kiɔŋ⁴⁴⁻²²kaɪ²¹
疇	tiu²⁴
疊	tiap̚⁴
疊	tʰaʔ⁴
疊	tʰiap̚⁴
疊圈	tʰiap̚⁴⁻³²kʰuan²⁴
疊蜷	tʰiap̚⁴⁻³²kʰun²⁴
疊韻	tiap̚⁴⁻³²un²²
疋	su⁴⁴
疏	sue⁴⁴
疏	sɔ²¹
疏	sɔ⁴⁴
疏失	sɔ⁴⁴⁻²²ɕit̚³²
疏導	sɔ⁴⁴⁻²²to²²
疏忽	sɔ⁴⁴⁻²²hut̚³²
疏懶	sɔ⁴⁴⁻²²lan⁵³
疏散	sɔ⁴⁴⁻²²san²¹
疏浚	sɔ⁴⁴⁻²²t͡sun²¹
疏漏	sɔ⁴⁴⁻²²laʊ²²
疏通	sɔ⁴⁴⁻²²tʰɔŋ⁴⁴
疏遠	sɔ⁴⁴⁻²²uan⁵³
疏開	sɔ⁴⁴⁻²²kʰaɪ⁴⁴
疏鬆	sɔ⁴⁴⁻²²sɔŋ⁴⁴
疑	ɡi²⁴
疑似	ɡi²⁴⁻²²su²²
疑問	ɡi²⁴⁻²²bun²²
疑團	ɡi²⁴⁻²²tʰuan²⁴
疑心	ɡi²⁴⁻²²ɕim⁴⁴
疑忌	ɡi²⁴⁻²²kʰi²²
疑悟	ɡi²⁴⁻²²ŋɔ̃²²
疑惑	ɡi²⁴⁻²²hiɪk̚⁴
疑慮	ɡi²⁴⁻²²lu²²
疑懼	ɡi²⁴⁻²²ku²²
疑案	ɡi²⁴⁻²²an²¹
疑犯	ɡi²⁴⁻²²huan²²
疑竇	ɡi²⁴⁻²²tɔ²²
疑義	ɡi²⁴⁻²²ɡi²²
疑難	ɡi²⁴⁻²²lan²⁴
疑難雜症	ɡi²⁴⁻²²lan²⁴⁻²²t͡sap̚⁴⁻³²t͡ɕiɪŋ²¹
疑雲	ɡi²⁴⁻²²hun²⁴
疑騃	ŋĩ²⁴⁻²²ŋãɪ⁵³
疑騃	ɡi²⁴⁻²²ŋãɪ⁵³
疒	liɪk̚⁴
疒	t͡sʰɔŋ²⁴
疔	tiɪŋ⁴⁴
疕	pʰi⁵³
疙瘩	kit̚³²⁻⁴tap̚³²
疚	kiu²¹
疝	san²¹
疝氣	san²¹⁻⁵³kʰi²¹
疣	iu²⁴
疤	pa⁴⁴
疤痕	pa⁴⁴⁻²²hun²⁴
疤跡	pa⁴⁴⁻²²liaʔ³²
疥	ke²¹
疥	kue²¹
疥癬	ke²¹⁻⁵³ɕiɛn⁵³
疥癬	kue²¹⁻⁵³ɕiɛn⁵³
疫	iaʔ⁴
疫	iɪk̚⁴
疫情	iɪk̚⁴⁻³²t͡ɕiɪŋ²⁴
疫苗	iɪk̚⁴⁻³²biaʊ²⁴
疲	pʰi²⁴
疲乏	pʰi²⁴⁻²²huat̚⁴
疲倦	pʰi²⁴⁻²²kuan²²
疲勞	pʰi²⁴⁻²²lo²⁴
疲憊	pʰi²⁴⁻²²pe²²
疲軟	pʰi²⁴⁻²²luan⁵³
疳	kam⁴⁴
疳積	kam⁴⁴⁻²²t͡ɕiɪk̚³²
疶屎星	t͡sʰuaʔ³²⁻⁵³saɪ⁵³⁻⁴⁴t͡ɕʰĩ⁴⁴
疹	t͡ɕin⁵³
疼	tʰiã²¹
疼	tʰiɪŋ²⁴
疼心	tʰiã²¹⁻⁵³ɕim⁴⁴
疼惜	tʰiã²¹⁻⁵³ɕioʔ³²
疼痛	tʰiã²¹⁻⁵³tʰaŋ²¹
疼痛	tʰɔŋ²⁴⁻²²tʰiã²¹
疾	t͡ɕit̚⁴
疾	t͡ɕiɪk̚⁴
疾患	t͡ɕit̚⁴⁻³²huan²²
疾患	t͡ɕiɪk̚⁴⁻³²huan²²
疾病	t͡ɕit̚⁴⁻³²pĩ²²
疾病	t͡ɕiɪk̚⁴⁻³²pĩ²²
疾苦	t͡ɕit̚⁴⁻³²kʰɔ⁵³
疾苦	t͡ɕiɪk̚⁴⁻³²kʰɔ⁵³
痀	ku⁴⁴
病	piɪŋ²²
病	pĩ²²
病丁	pĩ²²⁻²¹tiɪŋ⁴⁴
病人	pĩ²²⁻²¹laŋ²⁴
病仙	pĩ²²⁻²¹ɕiɛn⁴⁴
病假	piɪŋ²²⁻²¹ka⁵³
病假	pĩ²²⁻²¹ka⁵³
病勢	pĩ²²⁻²¹se²¹
病勢	pẽ²²⁻²¹ɕi²¹
病危	pĩ²²⁻²¹ɡui²⁴
病危	pẽ²²⁻²¹ɡui²⁴
病原	pĩ²²⁻²¹ɡuan²⁴
病原	pẽ²²⁻²¹ɡuan²⁴
病原體	pĩ²²⁻²¹ɡuan²⁴⁻²²tʰe⁵³
病囝	pĩ²²⁻²¹kiã⁵³
病因	pĩ²²⁻²¹in⁴⁴
病夫	piɪŋ²²⁻²¹hu⁴⁴
病夫	pĩ²²⁻²¹hu⁴⁴
病媒	pĩ²²⁻²¹bue²⁴
病媒	pẽ²²⁻²¹bue²⁴
病字殼	pĩ²²⁻²¹li²²⁻²¹kʰak̚³²
病害	pĩ²²⁻²¹haɪ²²
病害	pẽ²²⁻²¹haɪ²²
病床	pĩ²²⁻²¹t͡sʰŋ̍²⁴
病底	pĩ²²⁻²¹tue⁵³
病情	pĩ²²⁻²¹t͡ɕiɪŋ²⁴
病房	pĩ²²⁻²¹paŋ²⁴
病故	pĩ²²⁻²¹kɔ²¹
病故	pẽ²²⁻²¹kɔ²¹
病款	pĩ²²⁻²¹kʰuan⁵³
病死	pĩ²²⁻²¹ɕi⁵³
病死	pẽ²²⁻²¹ɕi⁵³
病母	pĩ²²⁻²¹bu⁵³
病毒	pĩ²²⁻²¹tɔk̚⁴
病源	pĩ²²⁻²¹ɡuan²⁴
病源	pẽ²²⁻²¹ɡuan²⁴
病灶	pĩ²²⁻²¹t͡saʊ²¹
病狀	piɪŋ²²⁻²¹t͡sɔŋ²²
病症	pĩ²²⁻²¹t͡ɕiɪŋ²¹
病痛	pĩ²²⁻²¹tʰiã²¹
病癒	pĩ²²⁻²¹d͡zu⁵³
病癒	pẽ²²⁻²¹d͡zu⁵³
病相	pĩ²²⁻²¹ɕiɔŋ²¹
病相思	pĩ²²⁻²¹ɕiũ⁴⁴⁻²²ɕi⁴⁴
病菌	pĩ²²⁻²¹kʰun⁵³
病號	pĩ²²⁻²¹ho²²
病變	pĩ²²⁻²¹piɛn²¹
病逝	pĩ²²⁻²¹se²²
病逝	pẽ²²⁻²¹se²²
病重	pĩ²²⁻²¹taŋ²²
病重	pẽ²²⁻²¹taŋ²²
病體	pĩ²²⁻²¹tʰe⁵³
病魔	piɪŋ²²⁻²¹mɔ̃²⁴
病魔	pĩ²²⁻²¹mɔ̃²⁴
症	t͡ɕiɪŋ²¹
症候	t͡ɕiɪŋ²¹⁻⁵³haʊ²²
症狀	t͡ɕiɪŋ²¹⁻⁵³t͡sɔŋ²²
症頭	t͡ɕiɪŋ²¹⁻⁵³tʰaʊ²⁴
痊癒	t͡sʰuan⁴⁴⁻²²lu⁵³
痊癒	t͡sʰuan⁴⁴⁻²²u⁵³
痔	ti²²
痔漏	ti²²⁻²¹laʊ²²
痔瘡	ti²²⁻²¹t͡sʰŋ̍⁴⁴
痕	hun²⁴
痕跡	hun²⁴⁻²²liaʔ³²
痕跡	hun²⁴⁻²²t͡ɕiɪk̚³²
痘	taʊ²²
痘	tɔ²²
痙	kiɪŋ²²
痚	he⁴⁴
痚呴	he²⁴⁻²²ku⁴⁴
痛	tʰɔŋ²¹
痛哭	tʰɔŋ²¹⁻⁵³kʰaʊ²¹
痛心	tʰɔŋ²¹⁻⁵³ɕim⁴⁴
痛快	tʰɔŋ²¹⁻⁵³kʰuai²¹
痛恨	tʰɔŋ²¹⁻⁵³hun²²
痛惜	tʰiã²¹⁻⁵³ɕioʔ³²
痛惜	tʰɔŋ²¹⁻⁵³ɕioʔ³²
痛擊	tʰɔŋ²¹⁻⁵³kiɪk̚³²
痛斥	tʰɔŋ²¹⁻⁵³tʰiɪk̚³²
痛楚	tʰɔŋ²¹⁻⁵³t͡sʰɔ⁵³
痛癢	tʰɔŋ²¹⁻⁵³iɔŋ⁵³
痛苦	tʰɔŋ²¹⁻⁵³kʰɔ⁵³
痛風	tʰɔŋ²¹⁻⁵³hɔŋ⁴⁴
痞	pʰi⁵³
痟	ɕiaʊ⁴⁴
痟	ɕiaʊ⁵³
痟狂	ɕiaʊ⁵³⁻⁴⁴kɔŋ²⁴
痟狗	ɕiaʊ⁵³⁻⁴⁴kaʊ⁵³
痟狗母	ɕiaʊ⁵³⁻⁴⁴kaʊ⁵³⁻⁴⁴bu⁵³
痟狗湧	ɕiaʊ⁵³⁻⁴⁴kaʊ⁵³⁻⁴⁴iɪŋ⁵³
痟狗草	ɕiaʊ⁵³⁻⁴⁴kaʊ⁵³⁻⁴⁴t͡sʰaʊ⁵³
痟風	ɕiaʊ⁵³⁻⁴⁴hɔŋ⁴⁴
痠	suan⁴⁴
痠	sŋ̍⁴⁴
痡柴	pɔ⁴⁴⁻²²t͡sʰa²⁴
痢	li²²
痢疾	li²²⁻²¹t͡ɕiɪk̚⁴
痣	ki²¹
痣	t͡ɕi²¹
痧	sua⁴⁴
痧藥	sua⁴⁴⁻²²ioʔ⁴
痰	tʰam²⁴
痰呸	tʰam²⁴⁻²²pʰui²¹
痰壺	tʰam²⁴⁻²²ɔ²⁴
痰盂	tʰam²⁴⁻²²ɔ²⁴
痰罐	tʰam²⁴⁻²²kuan²¹
痱	hui²¹
痱	pui²¹
痱仔	pui²¹⁻⁵³a⁵³
痴	tʰi⁴⁴
痴	t͡ɕʰi⁴⁴
痴呆	t͡ɕʰi⁴⁴⁻²²taɪ⁴⁴
痴哥	t͡ɕʰi⁴⁴⁻²²ko⁴⁴
痴心	t͡ɕʰi⁴⁴⁻²²ɕim⁴⁴
痴情	t͡ɕʰi⁴⁴⁻²²t͡ɕiɪŋ²⁴
痴想	t͡ɕʰi⁴⁴⁻²²ɕiɔŋ⁵³
痴迷	t͡ɕʰi⁴⁴⁻²²be²⁴
痺	pi²¹
痿	ui⁵³
瘋	hɔŋ⁴⁴
瘋子	hɔŋ⁴⁴⁻²²t͡su⁵³
瘋狂	hɔŋ⁴⁴⁻²²kɔŋ²⁴
瘋癲	hɔŋ⁴⁴⁻²²tiɛn⁴⁴
瘍	iaʔ⁴
瘍	iũ²⁴
瘍	iɔŋ²⁴
瘍	iɪk̚⁴
瘓	huan²¹
瘟	un⁴⁴
瘟愛	un⁴⁴⁻²²aɪ²¹
瘟疫	un⁴⁴⁻²²iɪk̚⁴
瘡	t͡sʰŋ̍⁴⁴
瘡	t͡sʰɔŋ⁴⁴
瘤	laʊ²⁴
瘤	liu²⁴
瘦	so⁵³
瘦	sɔ²¹
瘦小	sɔ²¹⁻⁵³ɕiaʊ⁵³
瘦弱	sɔ²¹⁻⁵³liɔk̚⁴
瘦身	sɔ²¹⁻⁵³ɕin⁴⁴
瘦長	san⁵³⁻⁴⁴tŋ̍²⁴
瘧	liɔk̚⁴
瘧	ɡiɔk̚⁴
瘧疾	liɔk̚⁴⁻³²t͡ɕit̚⁴
瘧疾	liɔk̚⁴⁻³²t͡ɕiɪk̚⁴
瘧症	ɡiɔk̚⁴⁻³²t͡ɕiɪŋ²¹
瘩	tap̚³²
瘩	taʔ³²
瘴	t͡ɕiɔŋ²¹
瘸	kio²⁴
瘸	kʰe²⁴
瘸跤	kʰe²⁴⁻²²kʰa⁴⁴
癀發	hɔŋ²⁴⁻²²huat̚³²
療	liaʊ²⁴
療傷	liaʊ²⁴⁻²²ɕiɔŋ⁴⁴
療效	liaʊ²⁴⁻²²haʊ²²
療法	liaʊ²⁴⁻²²huat̚³²
療程	liaʊ²⁴⁻²²tʰiɪŋ²⁴
療養	liaʊ²⁴⁻²²iɔŋ⁵³
療養院	liaʊ²⁴⁻²²iaŋ⁵³⁻⁴⁴ĩ²²
療養院	liaʊ²⁴⁻²²iɔŋ⁵³⁻⁴⁴ĩ²²
癆	lo²⁴
癆病	lo²⁴⁻²²pĩ²²
癆病	lo²⁴⁻²²pẽ²²
癇	han²⁴
癉	tan⁴⁴
癌	ɡam²⁴
癌病	ɡam²⁴⁻²²pĩ²²
癌症	ɡam²⁴⁻²²t͡ɕiɪŋ²¹
癒合	lu⁵³⁻⁴⁴hap̚⁴
癒合	u⁵³⁻⁴⁴hap̚⁴
癖	pʰiaʔ³²
癖	pʰiaʔ⁴
癖	pʰiɪk̚³²
癖好	pʰiaʔ³²⁻⁵³hɔ̃²¹
癖性	pʰiaʔ³²⁻⁵³ɕiɪŋ²¹
癗	lui⁴⁴
癟	piɛt̚³²
癟三	piɛt̚³²⁻⁴sam⁴⁴
癢	iɔŋ⁵³
癢	t͡ɕiũ²²
癥	tiɪŋ⁴⁴
癥結	t͡ɕiɪŋ⁴⁴⁻²²kiɛt̚³²
癩	laɪ²²
癩	tʰaɪ⁵³
癩皮狗	laɪ²²⁻²¹pʰe²⁴⁻²²kaʊ⁵³
癩蛤蟆	laɪ²²⁻²¹haʔ⁴⁻²¹mã²⁴
癩𰣻	tʰaɪ⁵³⁻⁴⁴ko⁴⁴
癬	t͡sʰuã⁵³
癬	ɕiɛn⁵³
癮	un⁵³
癮君子	ɡiɛn²¹⁻⁵³kun⁴⁴⁻²²t͡su⁵³
癮頭	ɡiɛn²¹⁻⁵³tʰaʊ²⁴
癰	iɪŋ⁴⁴
癰疽	iɔŋ⁴⁴⁻²²t͡sʰu⁴⁴
癱	tʰan⁴⁴
癱	tʰuã⁴⁴
癱瘓	tʰan⁴⁴⁻²²huan²¹
癱軟	tʰan⁴⁴⁻²²luan⁵³
