aarōn	aaɾoːn
nūdāveritis	nuːd̪aːwɛɾɪt̪ɪs̠
nūdō	nuːd̪oː
nūgor	nuːɡɔr
nūgātōrius	nuːɡaːt̪oːɾiʊs̠
nūllifōrmis	nuːl̠l̠ɪfoːrmɪs̠
nūllus	nuːl̠l̠ʊs̠
nūme	nuːmɛ
nūmus	nuːmʊs̠
nūnciātīvus	nuːŋkiaːt̪iːwʊs̠
nūnciātōrius	nuːŋkiaːt̪oːɾiʊs̠
nūnciī	nuːŋkiiː
nūnciō	nuːŋkioː
nūnciōs	nuːŋkioːs̠
nūncupātis	nuːŋkʊpaːt̪ɪs̠
nūncupātīs	nuːŋkʊpaːt̪iːs̠
nūncupātōria	nuːŋkʊpaːt̪oːɾia
nūncupātōrius	nuːŋkʊpaːt̪oːɾiʊs̠
nūncupāverimus	nuːŋkʊpaːwɛɾiːmʊs̠
nūncupāverimus	nuːŋkʊpaːwɛɾɪmʊs̠
nūncupāveris	nuːŋkʊpaːwɛɾiːs̠
nūncupāveris	nuːŋkʊpaːwɛɾɪs̠
nūncupāveritis	nuːŋkʊpaːwɛɾiːt̪ɪs̠
nūncupāveritis	nuːŋkʊpaːwɛɾɪt̪ɪs̠
nūndinor	nuːn̪d̪ɪnɔr
nūndinus	nuːn̪d̪ɪnʊs̠
nūntium	nuːn̪t̪iʊ̃ˑ
nūntiā	nuːn̪t̪iaː
nūntiātis	nuːn̪t̪iaːt̪ɪs̠
nūntiātīs	nuːn̪t̪iaːt̪iːs̠
nūntiātōrius	nuːn̪t̪iaːt̪oːɾiʊs̠
nūntiāverimus	nuːn̪t̪iaːwɛɾiːmʊs̠
nūntiāverimus	nuːn̪t̪iaːwɛɾɪmʊs̠
nūntiāveris	nuːn̪t̪iaːwɛɾiːs̠
nūntiāveris	nuːn̪t̪iaːwɛɾɪs̠
nūntiāveritis	nuːn̪t̪iaːwɛɾiːt̪ɪs̠
nūntiāveritis	nuːn̪t̪iaːwɛɾɪt̪ɪs̠
nūntiō	nuːn̪t̪ioː
nūper	nuːpɛr
nūperus	nuːpɛɾʊs̠
nūpta	nuːpt̪a
nūpta	nuːpt̪aː
nūptiae	nuːpt̪iae̯
nūptiālis	nuːpt̪iaːl̪ɪs̠
nūpturiō	nuːpt̪ʊɾioː
nūtriō	nuːt̪ɾioː
nūtrīcius	nuːt̪ɾiːkiʊs̠
nūtrīcātis	nuːt̪ɾiːkaːt̪ɪs̠
nūtrīcātīs	nuːt̪ɾiːkaːt̪iːs̠
nūtrīcāverimus	nuːt̪ɾiːkaːwɛɾiːmʊs̠
nūtrīcāverimus	nuːt̪ɾiːkaːwɛɾɪmʊs̠
nūtrīcāveris	nuːt̪ɾiːkaːwɛɾiːs̠
nūtrīcāveris	nuːt̪ɾiːkaːwɛɾɪs̠
nūtrīcāveritis	nuːt̪ɾiːkaːwɛɾiːt̪ɪs̠
nūtrīcāveritis	nuːt̪ɾiːkaːwɛɾɪt̪ɪs̠
nūtrīcō	nuːt̪ɾiːkoː
nūtrītius	nuːt̪ɾiːt̪iʊs̠
nūtrītiō	nuːt̪ɾiːt̪ioː
nūtrīverimus	nʊt̪ɾɪwɛɾɪmʊs̠
nūtrīx	nuːt̪ɾiːks̠
nūtus	nuːt̪ʊs̠
nūtābundus	nuːt̪aːbʊn̪d̪ʊs̠
nūtātis	nuːt̪aːt̪ɪs̠
nūtātiō	nuːt̪aːt̪ioː
nūtātīs	nuːt̪aːt̪iːs̠
nūtāverimus	nuːt̪aːwɛɾiːmʊs̠
nūtāverimus	nuːt̪aːwɛɾɪmʊs̠
nūtāveris	nuːt̪aːwɛɾiːs̠
nūtāveris	nuːt̪aːwɛɾɪs̠
nūtāveritis	nuːt̪aːwɛɾiːt̪ɪs̠
nūtāveritis	nuːt̪aːwɛɾɪt̪ɪs̠
nūtō	nuːt̪oː
nū̆cleus	nʊkɫ̪eʊs̠
nū̆cleāris	nʊkɫ̪eaːɾɪs̠
nū̆cleārēs	nuːkɫ̪eaːɾeːs̠
nū̆cleārēs	nʊkɫ̪eaːɾeːs̠
nū̆cleāta	nʊkɫ̪eaːt̪a
nū̆cleātae	nʊkɫ̪eaːt̪ae̯
nū̆cleātam	nʊkɫ̪eaːt̪ãˑ
nū̆cleāte	nʊkɫ̪eaːt̪ɛ
nū̆cleātum	nʊkɫ̪eaːt̪ʊ̃ˑ
nū̆cleātus	nʊkɫ̪eaːt̪ʊs̠
nū̆cleātārum	nʊkɫ̪eaːt̪aːɾʊ̃ˑ
nū̆cleātās	nʊkɫ̪eaːt̪aːs̠
nū̆cleātī	nʊkɫ̪eaːt̪iː
nū̆cleātīs	nʊkɫ̪eaːt̪iːs̠
nū̆cleātō	nʊkɫ̪eaːt̪oː
nū̆cleātōrum	nuːkɫ̪eaːt̪oːɾʊ̃ˑ
nū̆cleātōrum	nʊkɫ̪eaːt̪oːɾʊ̃ˑ
nū̆cleātōs	nʊkɫ̪eaːt̪oːs̠
nū̆diū̆s	nuːd̪iuːs̠
nū̆diū̆s	nʊd̪iʊs̠
nū̆ncupātiō	nuːŋkʊpaːt̪ioː
nū̆ncupātiō	nʊŋkʊpaːt̪ioː
nū̆ncupātor	nuːŋkʊpaːt̪ɔr
nū̆ncupātor	nʊŋkʊpaːt̪ɔr
nū̆ncupātīvus	nuːŋkʊpaːt̪iːwʊs̠
nū̆ncupātīvus	nʊŋkʊpaːt̪iːwʊs̠
nū̆ncupō	nuːŋkʊpoː
nū̆ncupō	nʊŋkʊpoː
nȳse͡us	nyːs̠eu̯s̠
oanus	ɔanʊs̠
oarus	ɔaɾʊs̠
oasis	ɔas̠ɪs̠
oaxēs	ɔaks̠eːs̠
ob	ɔb
obacerō	ɔbakɛɾoː
obaemulor	ɔbae̯mʊɫ̪ɔr
obaerātus	ɔbae̯raːt̪ʊs̠
obambulō	ɔbambʊɫ̪oː
obanēnsis	ɔbanẽːs̠ɪs̠
obarmō	ɔbarmoː
obarō	ɔbaɾoː
obaudiō	ɔbau̯d̪ioː
obaurātus	ɔbau̯raːt̪ʊs̠
obcaecō	ɔpkae̯koː
obcō	ɔpkoː
obdormiō	ɔbd̪ɔrmioː
obductiō	ɔbd̪ʊkt̪ioː
obductō	ɔbd̪ʊkt̪oː
obdulcēscō	ɔbd̪ʊɫ̪keːs̠koː
obdulcō	ɔbd̪ʊɫ̪koː
obdō	ɔbd̪oː
obdūcō	ɔbd̪uːkoː
obdūrēfaciō	ɔbd̪uːɾeːfakioː
obdūrēfactum	ɔbd̪uːɾeːfakt̪ʊ̃ˑ
obdūrēfactūrus	ɔbd̪uːɾeːfakt̪uːɾʊs̠
obdūrēfēcerant	ɔbd̪uːɾeːfeːkɛɾan̪t̪
obdūrō	ɔbd̪uːɾoː
obedō	ɔbɛd̪oː
oberrātis	ɔbɛrraːt̪ɪs̠
oberrātīs	ɔbɛrraːt̪iːs̠
oberrāverimus	ɔbɛrraːwɛɾiːmʊs̠
oberrāverimus	ɔbɛrraːwɛɾɪmʊs̠
oberrāveris	ɔbɛrraːwɛɾiːs̠
oberrāveris	ɔbɛrraːwɛɾɪs̠
oberrāveritis	ɔbɛrraːwɛɾiːt̪ɪs̠
oberrāveritis	ɔbɛrraːwɛɾɪt̪ɪs̠
oberrō	ɔbɛrroː
obeō	ɔbeoː
obfundō	ɔpfʊn̪d̪oː
obgerō	ɔbɡɛɾoː
obhorreō	ɔbɔrreoː
obiaceō	ɔbjakeoː
obicere	ɔbjɪkɛɾɛ
obiciendus	ɔbjɪkiɛn̪d̪ʊs̠
obiciēns	ɔbjɪkiẽːs̠
obiciō	ɔbjɪkioː
obiciō	ɔbɪkioː
obiectiō	ɔbjɛkt̪ioː
obiectum	ɔbjɛkt̪ʊ̃ˑ
obiectus	ɔbjɛkt̪ʊs̠
obiectātis	ɔbjɛkt̪aːt̪ɪs̠
obiectātiō	ɔbjɛkt̪aːt̪ioː
obiectātīs	ɔbjɛkt̪aːt̪iːs̠
obiectāverimus	ɔbjɛkt̪aːwɛɾiːmʊs̠
obiectāverimus	ɔbjɛkt̪aːwɛɾɪmʊs̠
obiectāveris	ɔbjɛkt̪aːwɛɾiːs̠
obiectāveris	ɔbjɛkt̪aːwɛɾɪs̠
obiectāveritis	ɔbjɛkt̪aːwɛɾiːt̪ɪs̠
obiectāveritis	ɔbjɛkt̪aːwɛɾɪt̪ɪs̠
obiectūrus	ɔbjɛkt̪uːɾʊs̠
obierimus	ɔbiɛɾiːmʊs̠
obierimus	ɔbiɛɾɪmʊs̠
obieris	ɔbiɛɾiːs̠
obieris	ɔbiɛɾɪs̠
obieritis	ɔbiɛɾiːt̪ɪs̠
obieritis	ɔbiɛɾɪt̪ɪs̠
obitus	ɔbɪt̪ʊs̠
obituārius	ɔbɪt̪ʊaːɾiʊs̠
obitūrus	ɔbɪt̪uːɾʊs̠
obiēcī	ɔbjeːkiː
obiūrgātis	ɔbjuːrɡaːt̪ɪs̠
obiūrgātīs	ɔbjuːrɡaːt̪iːs̠
obiūrgāverimus	ɔbjuːrɡaːwɛɾiːmʊs̠
obiūrgāverimus	ɔbjuːrɡaːwɛɾɪmʊs̠
obiūrgāveris	ɔbjuːrɡaːwɛɾiːs̠
obiūrgāveris	ɔbjuːrɡaːwɛɾɪs̠
obiūrgāveritis	ɔbjuːrɡaːwɛɾiːt̪ɪs̠
obiūrgāveritis	ɔbjuːrɡaːwɛɾɪt̪ɪs̠
obiūrgō	ɔbjuːrɡoː
objaceō	ɔbjakeoː
objectīvus	ɔbjɛkt̪iːwʊs̠
objiciō	ɔbjɪkioː
objūrgō	ɔbjuːrɡoː
oblectātis	ɔbɫ̪ɛkt̪aːt̪ɪs̠
oblectātīs	ɔbɫ̪ɛkt̪aːt̪iːs̠
oblectāverimus	ɔbɫ̪ɛkt̪aːwɛɾiːmʊs̠
oblectāverimus	ɔbɫ̪ɛkt̪aːwɛɾɪmʊs̠
oblectāveris	ɔbɫ̪ɛkt̪aːwɛɾiːs̠
oblectāveris	ɔbɫ̪ɛkt̪aːwɛɾɪs̠
oblectāveritis	ɔbɫ̪ɛkt̪aːwɛɾiːt̪ɪs̠
oblectāveritis	ɔbɫ̪ɛkt̪aːwɛɾɪt̪ɪs̠
oblectō	ɔbɫ̪ɛkt̪oː
obligātis	ɔbl̪ɪɡaːt̪ɪs̠
obligātiō	ɔbl̪ɪɡaːt̪ioː
obligātīs	ɔbl̪ɪɡaːt̪iːs̠
obligātōria	ɔbl̪ɪɡaːt̪oːɾia
obligātōria	ɔbl̪ɪɡaːt̪oːɾiaː
obligātōrius	ɔbl̪ɪɡaːt̪oːɾiʊs̠
obligātōriās	ɔbl̪ɪɡaːt̪oːɾiaːs̠
obligātōriō	ɔbl̪ɪɡaːt̪oːɾioː
obligātōriōs	ɔbl̪ɪɡaːt̪oːɾioːs̠
obligāverimus	ɔbl̪ɪɡaːwɛɾiːmʊs̠
obligāverimus	ɔbl̪ɪɡaːwɛɾɪmʊs̠
obligāveris	ɔbl̪ɪɡaːwɛɾiːs̠
obligāveris	ɔbl̪ɪɡaːwɛɾɪs̠
obligāveritis	ɔbl̪ɪɡaːwɛɾiːt̪ɪs̠
obligāveritis	ɔbl̪ɪɡaːwɛɾɪt̪ɪs̠
obligō	ɔbl̪ɪɡoː
oblinō	ɔbl̪ɪnoː
obliterandō	ɔbl̪ɪt̪ɛɾan̪d̪oː
obliterant	ɔbl̪ɪt̪ɛɾan̪t̪
obliterem	ɔbl̪ɪt̪ɛɾɛ̃ˑ
obliterā	ɔbl̪ɪt̪ɛɾaː
obliterārem	ɔbl̪ɪt̪ɛɾaːɾɛ̃ˑ
obliterārās	ɔbl̪ɪt̪ɛɾaːɾaːs̠
obliterārēs	ɔbl̪ɪt̪ɛɾaːɾeːs̠
obliterās	ɔbl̪ɪt̪ɛɾaːs̠
obliterāsse	ɔbl̪ɪt̪ɛɾaːs̠s̠ɛ
obliterāssem	ɔbl̪ɪt̪ɛɾaːs̠s̠ɛ̃ˑ
obliterāssēs	ɔbl̪ɪt̪ɛɾaːs̠s̠eːs̠
obliterēs	ɔbl̪ɪt̪ɛɾeːs̠
obliterō	ɔbl̪ɪt̪ɛɾoː
oblitterātis	ɔbl̪ɪt̪t̪ɛɾaːt̪ɪs̠
oblitterātus	ɔbl̪ɪt̪t̪ɛɾaːt̪ʊs̠
oblitterātīs	ɔbl̪ɪt̪t̪ɛɾaːt̪iːs̠
oblitterāverimus	ɔbl̪ɪt̪t̪ɛɾaːwɛɾiːmʊs̠
oblitterāverimus	ɔbl̪ɪt̪t̪ɛɾaːwɛɾɪmʊs̠
oblitterāveris	ɔbl̪ɪt̪t̪ɛɾaːwɛɾiːs̠
oblitterāveris	ɔbl̪ɪt̪t̪ɛɾaːwɛɾɪs̠
oblitterāveritis	ɔbl̪ɪt̪t̪ɛɾaːwɛɾiːt̪ɪs̠
oblitterāveritis	ɔbl̪ɪt̪t̪ɛɾaːwɛɾɪt̪ɪs̠
oblitterō	ɔbl̪ɪt̪t̪ɛɾoː
oblocūtiō	ɔbɫ̪ɔkuːt̪ioː
oblongifolius	ɔbɫ̪ɔŋɡɪfɔl̪iʊs̠
oblongopūnctātus	ɔbɫ̪ɔŋɡɔpuːŋkt̪aːt̪ʊs̠
oblongus	ɔbɫ̪ɔŋɡʊs̠
oblongās	ɔbɫ̪ɔŋɡaːs̠
oblongōs	ɔbɫ̪ɔŋɡoːs̠
obloquor	ɔbɫ̪ɔkʷɔr
oblātrō	ɔbɫ̪aːt̪ɾoː
oblātīcius	ɔbɫ̪aːt̪iːkiʊs̠
oblīcus	ɔbl̪iːkʊs̠
oblīdat	ɔbl̪iːd̪at̪
oblīdō	ɔbl̪iːd̪oː
oblīmō	ɔbl̪iːmoː
oblīquitās	ɔbl̪iːkᶣɪt̪aːs̠
oblīquus	ɔbl̪iːkʊs̠
oblīquātis	ɔbl̪iːkʷaːt̪ɪs̠
oblīquātīs	ɔbl̪iːkʷaːt̪iːs̠
oblīquāverimus	ɔbl̪iːkʷaːwɛɾiːmʊs̠
oblīquāverimus	ɔbl̪iːkʷaːwɛɾɪmʊs̠
oblīquāveris	ɔbl̪iːkʷaːwɛɾiːs̠
oblīquāveris	ɔbl̪iːkʷaːwɛɾɪs̠
oblīquāveritis	ɔbl̪iːkʷaːwɛɾiːt̪ɪs̠
oblīquāveritis	ɔbl̪iːkʷaːwɛɾɪt̪ɪs̠
oblīquō	ɔbl̪iːkʷoː
oblīvium	ɔbl̪iːwiʊ̃ˑ
oblīviō	ɔbl̪iːwioː
oblīviōsus	ɔbl̪iːwioːs̠ʊs̠
oblīvīscor	ɔbl̪iːwiːs̠kɔr
oblīvīscēre	ɔbl̪iːwiːs̠keːɾɛ
oblīvīscēre	ɔbl̪iːwiːs̠kɛɾɛ
obmordeō	ɔbmɔrd̪eoː
obmūtēscō	ɔbmuːt̪eːs̠koː
obnoxius	ɔbnɔks̠iʊs̠
obnoxiōsus	ɔbnɔks̠ioːs̠ʊs̠
obnītor	ɔbniːt̪ɔr
obnūbilus	ɔbnuːbɪɫ̪ʊs̠
obnūbilātiō	ɔbnuːbɪɫ̪aːt̪ioː
obnūbilātus	ɔbnuːbɪɫ̪aːt̪ʊs̠
obnūbilō	ɔbnuːbɪɫ̪oː
obnūntiātis	ɔbnuːn̪t̪iaːt̪ɪs̠
obnūntiātus	ɔbnuːn̪t̪iaːt̪ʊs̠
obnūntiātīs	ɔbnuːn̪t̪iaːt̪iːs̠
obnūntiāverimus	ɔbnuːn̪t̪iaːwɛɾiːmʊs̠
obnūntiāverimus	ɔbnuːn̪t̪iaːwɛɾɪmʊs̠
obnūntiāveris	ɔbnuːn̪t̪iaːwɛɾiːs̠
obnūntiāveris	ɔbnuːn̪t̪iaːwɛɾɪs̠
obnūntiāveritis	ɔbnuːn̪t̪iaːwɛɾiːt̪ɪs̠
obnūntiāveritis	ɔbnuːn̪t̪iaːwɛɾɪt̪ɪs̠
obnūntiō	ɔbnuːn̪t̪ioː
oboca	ɔbɔka
obodās	ɔbɔd̪aːs̠
oboediēns	ɔboe̯d̪iẽːs̠
oboediō	ɔboe̯d̪ioː
oboleō	ɔbɔɫ̪eoː
obolus	ɔbɔɫ̪ʊs̠
oborior	ɔbɔɾiɔr
obovātus	ɔbɔwaːt̪ʊs̠
obpugnō	ɔppʊŋnoː
obrigēscō	ɔbrɪɡeːs̠koː
obrimās	ɔbrɪmaːs̠
obrizus	ɔbɾɪzzʊs̠
obrogātis	ɔbrɔɡaːt̪ɪs̠
obrogātiō	ɔbrɔɡaːt̪ioː
obrogātus	ɔbrɔɡaːt̪ʊs̠
obrogātīs	ɔbrɔɡaːt̪iːs̠
obrogāverimus	ɔbrɔɡaːwɛɾiːmʊs̠
obrogāverimus	ɔbrɔɡaːwɛɾɪmʊs̠
obrogāveris	ɔbrɔɡaːwɛɾiːs̠
obrogāveris	ɔbrɔɡaːwɛɾɪs̠
obrogāveritis	ɔbrɔɡaːwɛɾiːt̪ɪs̠
obrogāveritis	ɔbrɔɡaːwɛɾɪt̪ɪs̠
obrogō	ɔbrɔɡoː
obruō	ɔbrʊoː
obryzus	ɔbɾʏzzʊs̠
obrēpō	ɔbreːpoː
obsaepiō	ɔps̠ae̯pioː
obscēnus	ɔps̠keːnʊs̠
obscūra	ɔps̠kuːɾa
obscūra	ɔps̠kuːɾaː
obscūripennis	ɔps̠kuːɾɪpɛnnɪs̠
obscūripēs	ɔps̠kuːɾɪpeːs̠
obscūritās	ɔps̠kuːɾɪt̪aːs̠
obscūrus	ɔps̠kuːɾʊs̠
obscūrātis	ɔps̠kuːɾaːt̪ɪs̠
obscūrātus	ɔps̠kuːɾaːt̪ʊs̠
obscūrātīs	ɔps̠kuːɾaːt̪iːs̠
obscūrāverimus	ɔps̠kuːɾaːwɛɾiːmʊs̠
obscūrāverimus	ɔps̠kuːɾaːwɛɾɪmʊs̠
obscūrāveris	ɔps̠kuːɾaːwɛɾiːs̠
obscūrāveris	ɔps̠kuːɾaːwɛɾɪs̠
obscūrāveritis	ɔps̠kuːɾaːwɛɾiːt̪ɪs̠
obscūrāveritis	ɔps̠kuːɾaːwɛɾɪt̪ɪs̠
obscūrō	ɔps̠kuːɾoː
obsecrātis	ɔps̠ɛkɾaːt̪ɪs̠
obsecrātus	ɔps̠ɛkɾaːt̪ʊs̠
obsecrātīs	ɔps̠ɛkɾaːt̪iːs̠
obsecrāverimus	ɔps̠ɛkɾaːwɛɾiːmʊs̠
obsecrāverimus	ɔps̠ɛkɾaːwɛɾɪmʊs̠
obsecrāveris	ɔps̠ɛkɾaːwɛɾiːs̠
obsecrāveris	ɔps̠ɛkɾaːwɛɾɪs̠
obsecrāveritis	ɔps̠ɛkɾaːwɛɾiːt̪ɪs̠
obsecrāveritis	ɔps̠ɛkɾaːwɛɾɪt̪ɪs̠
obsecrō	ɔps̠ɛkɾoː
obsecundō	ɔps̠ɛkʊn̪d̪oː
obsequia	ɔps̠ɛkᶣia
obsequiam	ɔps̠ɛkᶣiãˑ
obsequium	ɔps̠ɛkᶣiʊ̃ˑ
obsequiās	ɔps̠ɛkᶣiaːs̠
obsequiō	ɔps̠ɛkᶣioː
obsequiōsus	ɔps̠ɛkᶣioːs̠ʊs̠
obsequor	ɔps̠ɛkʷɔr
observantia	ɔps̠ɛrwan̪t̪ia
observābilis	ɔps̠ɛrwaːbɪl̪ɪs̠
observātis	ɔps̠ɛrwaːt̪ɪs̠
observātiō	ɔps̠ɛrwaːt̪ioː
observātus	ɔps̠ɛrwaːt̪ʊs̠
observātīs	ɔps̠ɛrwaːt̪iːs̠
observāverimus	ɔps̠ɛrwaːwɛɾiːmʊs̠
observāverimus	ɔps̠ɛrwaːwɛɾɪmʊs̠
observāveris	ɔps̠ɛrwaːwɛɾiːs̠
observāveris	ɔps̠ɛrwaːwɛɾɪs̠
observāveritis	ɔps̠ɛrwaːwɛɾiːt̪ɪs̠
observāveritis	ɔps̠ɛrwaːwɛɾɪt̪ɪs̠
observō	ɔps̠ɛrwoː
obserātis	ɔps̠ɛɾaːt̪ɪs̠
obserātus	ɔps̠ɛɾaːt̪ʊs̠
obserātīs	ɔps̠ɛɾaːt̪iːs̠
obserāverimus	ɔps̠ɛɾaːwɛɾiːmʊs̠
obserāverimus	ɔps̠ɛɾaːwɛɾɪmʊs̠
obserāveris	ɔps̠ɛɾaːwɛɾiːs̠
obserāveris	ɔps̠ɛɾaːwɛɾɪs̠
obserāveritis	ɔps̠ɛɾaːwɛɾiːt̪ɪs̠
obserāveritis	ɔps̠ɛɾaːwɛɾɪt̪ɪs̠
obses	ɔps̠ɛs̠
obsessiō	ɔps̠ɛs̠s̠ioː
obsetrīcō	ɔps̠ɛt̪ɾiːkoː
obsideō	ɔps̠ɪd̪eoː
obsidiālis	ɔps̠ɪd̪iaːl̪ɪs̠
obsidiānus	ɔps̠ɪd̪iaːnʊs̠
obsignātis	ɔps̠ɪŋnaːt̪ɪs̠
obsignātus	ɔps̠ɪŋnaːt̪ʊs̠
obsignātīs	ɔps̠ɪŋnaːt̪iːs̠
obsignāverimus	ɔps̠iːŋnaːwɛɾiːmʊs̠
obsignāverimus	ɔps̠iːŋnaːwɛɾɪmʊs̠
obsignāveris	ɔps̠iːŋnaːwɛɾiːs̠
obsignāveris	ɔps̠iːŋnaːwɛɾɪs̠
obsignāveritis	ɔps̠iːŋnaːwɛɾiːt̪ɪs̠
obsignāveritis	ɔps̠iːŋnaːwɛɾɪt̪ɪs̠
obsignō	ɔps̠ɪŋnoː
obsistō	ɔps̠ɪs̠t̪oː
obsolefactum	ɔps̠ɔɫ̪ɛfakt̪ʊ̃ˑ
obsolefīō	ɔps̠ɔɫ̪ɛfiːoː
obsolēscente	ɔps̠ɔɫ̪eːs̠kɛn̪t̪ɛ
obsolēscere	ɔps̠ɔɫ̪eːs̠kɛɾɛ
obsolēscō	ɔps̠ɔɫ̪eːs̠koː
obsolēta	ɔps̠ɔɫ̪eːt̪a
obsolēta	ɔps̠ɔɫ̪eːt̪aː
obsolēte	ɔps̠ɔɫ̪eːt̪ɛ
obsolētus	ɔps̠ɔɫ̪eːt̪ʊs̠
obsolētās	ɔps̠ɔɫ̪eːt̪aːs̠
obsolētē	ɔps̠ɔɫ̪eːt̪eː
obsolētī	ɔps̠ɔɫ̪eːt̪iː
obsolētō	ɔps̠ɔɫ̪eːt̪oː
obsolētōs	ɔps̠ɔɫ̪eːt̪oːs̠
obsonāre	ɔps̠ɔnaːɾɛ
obsonō	ɔps̠ɔnoː
obsorbeō	ɔps̠ɔrbeoː
obsordēscō	ɔps̠ɔrd̪eːs̠koː
obstetrīcō	ɔps̠t̪ɛt̪ɾiːkoː
obstipēscō	ɔps̠t̪ɪpeːs̠koː
obstitus	ɔps̠t̪ɪt̪ʊs̠
obstreperus	ɔps̠t̪ɾɛpɛɾʊs̠
obstrepō	ɔps̠t̪ɾɛpoː
obstringō	ɔps̠t̪ɾɪŋɡoː
obstruō	ɔps̠t̪ɾʊoː
obstupefaciō	ɔps̠t̪ʊpɛfakioː
obstupefactūrus	ɔps̠t̪ʊpɛfakt̪uːɾʊs̠
obstupēscō	ɔps̠t̪ʊpeːs̠koː
obstāculum	ɔps̠t̪aːkʊɫ̪ʊ̃ˑ
obstētrīx	ɔps̠t̪eːt̪ɾiːks̠
obstīpus	ɔps̠t̪iːpʊs̠
obstō	ɔps̠t̪oː
obsum	ɔps̠ʊ̃ˑ
obsurdēscō	ɔps̠ʊrd̪eːs̠koː
obsōnāre	ɔps̠oːnaːɾɛ
obtegō	ɔpt̪ɛɡoː
obtemperātis	ɔpt̪ɛmpɛɾaːt̪ɪs̠
obtemperātus	ɔpt̪ɛmpɛɾaːt̪ʊs̠
obtemperātīs	ɔpt̪ɛmpɛɾaːt̪iːs̠
obtemperāverimus	ɔpt̪ɛmpɛɾaːwɛɾiːmʊs̠
obtemperāverimus	ɔpt̪ɛmpɛɾaːwɛɾɪmʊs̠
obtemperāveris	ɔpt̪ɛmpɛɾaːwɛɾiːs̠
obtemperāveris	ɔpt̪ɛmpɛɾaːwɛɾɪs̠
obtemperāveritis	ɔpt̪ɛmpɛɾaːwɛɾiːt̪ɪs̠
obtemperāveritis	ɔpt̪ɛmpɛɾaːwɛɾɪt̪ɪs̠
obtemperō	ɔpt̪ɛmpɛɾoː
obtendō	ɔpt̪ɛn̪d̪oː
obtenebricātus	ɔpt̪ɛnɛbɾɪkaːt̪ʊs̠
obtenebrō	ɔpt̪ɛnɛbɾoː
obterō	ɔpt̪ɛɾoː
obtestor	ɔpt̪ɛs̠t̪ɔr
obticeō	ɔpt̪ɪkeoː
obtineō	ɔpt̪ɪneoː
obtingō	ɔpt̪ɪŋɡoː
obtorpeō	ɔpt̪ɔrpeoː
obtorqueō	ɔpt̪ɔrkᶣeoː
obtrahō	ɔpt̪ɾahoː
obtrectō	ɔpt̪ɾɛkt̪oː
obtruncātis	ɔpt̪ɾʊŋkaːt̪ɪs̠
obtruncātus	ɔpt̪ɾʊŋkaːt̪ʊs̠
obtruncātīs	ɔpt̪ɾʊŋkaːt̪iːs̠
obtruncāverimus	ɔpt̪ɾʊŋkaːwɛɾiːmʊs̠
obtruncāverimus	ɔpt̪ɾʊŋkaːwɛɾɪmʊs̠
obtruncāveris	ɔpt̪ɾʊŋkaːwɛɾiːs̠
obtruncāveris	ɔpt̪ɾʊŋkaːwɛɾɪs̠
obtruncāveritis	ɔpt̪ɾʊŋkaːwɛɾiːt̪ɪs̠
obtruncāveritis	ɔpt̪ɾʊŋkaːwɛɾɪt̪ɪs̠
obtruncō	ɔpt̪ɾʊŋkoː
obtrūdō	ɔpt̪ɾuːd̪oː
obtrūsus	ɔpt̪ɾuːs̠ʊs̠
obtueor	ɔpt̪ʊeɔr
obtundō	ɔpt̪ʊn̪d̪oː
obturbātis	ɔpt̪ʊrbaːt̪ɪs̠
obturbātus	ɔpt̪ʊrbaːt̪ʊs̠
obturbātīs	ɔpt̪ʊrbaːt̪iːs̠
obturbāverimus	ɔpt̪ʊrbaːwɛɾiːmʊs̠
obturbāverimus	ɔpt̪ʊrbaːwɛɾɪmʊs̠
obturbāveris	ɔpt̪ʊrbaːwɛɾiːs̠
obturbāveris	ɔpt̪ʊrbaːwɛɾɪs̠
obturbāveritis	ɔpt̪ʊrbaːwɛɾiːt̪ɪs̠
obturbāveritis	ɔpt̪ʊrbaːwɛɾɪt̪ɪs̠
obturbō	ɔpt̪ʊrboː
obtusifolius	ɔpt̪ʊs̠ɪfɔl̪iʊs̠
obtūrante	ɔpt̪uːɾan̪t̪ɛ
obtūrātis	ɔpt̪uːɾaːt̪ɪs̠
obtūrātus	ɔpt̪uːɾaːt̪ʊs̠
obtūrātīs	ɔpt̪uːɾaːt̪iːs̠
obtūrāverimus	ɔpt̪uːɾaːwɛɾiːmʊs̠
obtūrāverimus	ɔpt̪uːɾaːwɛɾɪmʊs̠
obtūrāveris	ɔpt̪uːɾaːwɛɾiːs̠
obtūrāveris	ɔpt̪uːɾaːwɛɾɪs̠
obtūrāveritis	ɔpt̪uːɾaːwɛɾiːt̪ɪs̠
obtūrāveritis	ɔpt̪uːɾaːwɛɾɪt̪ɪs̠
obtūrō	ɔpt̪uːɾoː
obtūsus	ɔpt̪uːs̠ʊs̠
obtūsātus	ɔpt̪uːs̠aːt̪ʊs̠
obulcō	ɔbʊɫ̪koː
obultrōneus	ɔbʊɫ̪t̪ɾoːneʊs̠
obultrōnius	ɔbʊɫ̪t̪ɾoːniʊs̠
obumbrātis	ɔbʊmbɾaːt̪ɪs̠
obumbrātus	ɔbʊmbɾaːt̪ʊs̠
obumbrātīs	ɔbʊmbɾaːt̪iːs̠
obumbrāverimus	ɔbʊmbɾaːwɛɾiːmʊs̠
