جي	ɟˈeː
بزرگوار	bˈʊzʊɾɡʋˌaːr
بلڪي	bəlˈʌki
بنجڻ	bˌənəɟˈʌɳ
بندرگاھ	bˌəndərɡˈaːh
بيھڪ	bˈeːhək
بگ	bˈʌɡ
ترخانن	t̪ˌərxaːnˈʌn
تفريحي	t̪ˌəfrˈiːhi
تنظيمون	t̪ˌənʐimˈoːn
تيرهن	t̪ˌeːrəhˈʌn
تڪليفن	t̪ˌəklifˈʌn
تڪليفون	t̪ˌəklifˈoːn
جذبات	ɟˌəzəbˈaːt
جز	ɟˈʌz
جهليندو	ɟˌəhəlˈiːndoː
جهوڪ	ɟəhˈoːk
حقيقتون	hˌəqiqt̪ˈoːn
حوا	hʋˈaː
خضدار	xˌəzdˈaːr
خودمختياري	xˈʊdməxt̪jˌaːri
درهم	dˌərəhˈʌm
دستخط	dˌəst̪əxˈʌt
دلير	dəlˈiːr
دودو	dˈoːdoː
دولتمند	dˌoːlət̪əmˈʌnd
رسائي	rəsˈaːi
رني	rˈʌni
رنگي	rˈʌnɡi
روھڙي	roːhˈʌr.i
ريتن	reːt̪ˈʌn
رپين	rəpˈiːn
رکڻو	rəkʰˈʌɳoː
زوردار	zoːrdˈaːr
ساراهيو	saːrˈaːhjoː
سست	sˈʌst̪
سستي	sˈʌst̪i
سفارتڪار	sˌəfaːrˌət̪kˈaːr
سمنڊن	sˌəmənɖˈʌn
سنان	sənˈaːn
سنهيون	sˌənhjˈoːn
سهوليتون	sˌəhoːlit̪ˈoːn
سوراخن	sˌoːraːxˈʌn
سوڌو	sˈoːdʰoː
سيزر	seːzˈʌr
سڏڻ	səɖˈʌɳ
سڪندراعظم	sˌəkəndˌəraːaːʐˈʌm
سڪڻ	səkˈʌɳ
سگھون	səɡʰˈoːn
شاعره	ʃaːˈaːɪrh
شور	ʃˈoːr
شيراز	ʃeːrˈaːz
شگر	ʃəɡˈʌr
شھزادي	ʃˌəhzˈaːdi
صورتن	ʂˌoːrət̪ˈʌn
عبدالغفار	ˌabdˌaːləɣfˈaːr
عددي	adˈʌdi
علامہ	ˌalaːmˈʌh
عمودي	amˈoːdi
عھدو	ahˈʌdoː
فائرنگ	fˌaːɪrˈʌnɡ
فائيل	fˈaːjal
فرقو	fərˈʌqoː
فرنٽ	fˌərənˈʌʈ
فلاسافي	fˌəlaːsˈaːfi
قوتن	qoːt̪ˈʌn
لسو	lˈʌsoː
لنڪ	lənˈʌk
لنڪا	lənˈʌkaː
لهندو	ləhˈʌndoː
ليجسليٽو	lˌeːɟəslˈiːʈoː
ماسا	mˈaːsaː
محض	məhˈʌz
مرحلو	mˌərəhˈʌloː
مساوات	mˌəsaːoːˈaːt
مسڪين	mˌəskˈiːn
مشترڪه	mˌəʃt̪ərəkˈʌh
مصنوعي	mˌəʂnʋˈaːi
معاھدي	maːhˈʌdi
معدني	maːdˈʌni
مغرب	mˈaɣrˌɪb
موبائيل	moːbˈaːjal
مولچند	mˌoːləcˈʌnd
مينھن	mˈeːnhn
مھل	məhˈʌl
ناتا	nˈaːt̪aː
ناھن	naːhˈʌn
نباتاتي	nəbˈaːt̪aːt̪ˌiː
نرالي	nərˈaːli
نزلي	nəzˈʌli
نظرئي	naʐˈari
نوڪر	noːkˈʌr
هرڻ	hərˈʌɳ
هستي	hˈʌst̪i
هندوستاني	hˌɪnduːst̪ˈaːni
هوائون	hʋaːˈoːn
هينري	heːnˈʌri
هڏ	hˈʌɖ
والاري	ʋaːlˈaːri
واڱڻائي	ʋˌaːŋ̩ɳˈaːi
ويجھي	ʋeːɟˈʌhi
ويهندا	ʋeːhˈʌndaː
وٽن	ʋəʈˈʌn
ٻنهين	bˌənhˈiːn
ٻيڙا	bˈeːr.aː
ٽئي	ʈˈʌi
ٽڪيٽ	ʈəkˈiːʈ
پئسو	pˈʌsoː
پابنديون	pˌaːbndjˈoːn
پاڳاري	paːɡˈaːri
پرائيويٽ	pˌəraːjʋˈiːʈ
پرنس	pərˈʌns
پروجيڪٽ	pˌəroːɟikˈʌʈ
پرکڻ	pˌərəkʰˈʌɳ
پلاسٽڪ	pˌəlaːsəʈˈʌk
پولنگ	poːlˈʌnɡ
پڙهايو	pˌər.hˈaːjoː
پڙهندي	pˌər.əhˈʌndi
پکڙي	pəkʰˈʌr.i
پھچڻ	pˌəhəcˈʌɳ
ڀان	bʰˈaːn
ڀاڄين	bʰaːɟˈiːn
ڄم	ɟˈʌm
چوپائي	coːpˈaːi
چيس	cˈeːs
ڇاڙهه	cʰˌaːr.əhˈʌh
ڇند	cʰˈʌnd
ڇهون	cʰəhˈoːn
ڇپي	cʰˈʌpi
ڊبليو	ɖəbˈʌljoː
ڌا	dʰˈaː
ڌام	dʰˈaːm
ڌاڳي	dʰˈaːɡi
ڏسون	ɖɪsˈoːn
ڏيهه	ɖeːhˈʌh
ڦاٽ	pʰˈaːʈ
ڦيرڦار	pʰˌeːrpʰˈaːr
کر	kʰˈʌr
کهڙي	kʰəhˈʌr.i
کٽيو	kʰˈʌʈjoː
کٽڻ	kʰəʈˈʌɳ
کڻندا	kʰəɳˈʌndaː
ڪلر	kəlˈʌr
ڪوچ	kˈoːc
ڪينال	keːnˈaːl
گذرندو	ɡˌəzərˈʌndoː
گروپن	ɡˌəroːpˈʌn
گهرايو	ɡˌəhərˈaːjoː
گھرڙن	ɡʰˌərər.ˈʌn
گھوڙي	ɡʰˈoːr.i
ڳوڙهن	ɡˌoːr.əhˈʌn
ڳڻيو	ɡˈʌɳjoː
ھلائڻ	hˌəlaːˈɪɳ
ھيڊوجن	hˌeːɖoːɟˈʌn
آئل	aːˈɪl
آرڊر	ˌaːrəɖˈʌr
آرڪيالاجيڪل	ˌaːrkjˌaːlaːɟikˈʌl
آرگنائيزيشن	ˌaːrəɡnaːˌiːziʃˈʌn
آفيسن	ˌaːfisˈʌn
آور	aːˈoːr
آڏ	ˈaːɖ
اسٽيٽس	ˌasʈiʈˈʌs
اشارا	aʃˈaːraː
اقوام	aqʋˈaːm
امروهي	ˌamrˈoːhi
اموي	ˈamʋi
امڪاني	ˌamkˈaːni
انسپيڪٽر	ˌansəpˌiːkəʈˈʌr
اولهندي	ˌuːləhˈʌndi
اٿينز	ˌatʰinˈʌz
اڏاوتي	ˌaɖaːˈoːt̪i
اڳڀرو	ˌaɡəbʰˈʌroː
بانو	bˈaːnoː
بلڙي	bəlˈʌr.i
بندن	bəndˈʌn
بنگلو	bənɡˈʌloː
بيزار	bˈeːzaːr
بيٺي	bˈeːʈʰi
بکري	bəkʰˈʌri
تائيد	t̪aːˈiːd
تحريرون	t̪ˌəhrirˈoːn
تختگاهه	t̪ˌəxt̪əɡaːhˈʌh
تخيل	t̪ˈʌxjal
تراني	t̪ərˈaːni
تلڪ	t̪əlˈʌk
تپي	t̪ˈʌpi
جائداد	ɟˌaːɪdˈaːd
جمعيت	ɟˌəmaːˈiːt̪
جنازي	ɟənˈaːzi
جنڪشن	ɟˌənəkəʃˈʌn
جهيڙي	ɟəhˈiːr.i
جيري	ɟˈeːri
جٿي	ɟˈʌtʰi
داڻو	dˈaːɳoː
دهل	dəhˈʌl
ذرڙا	zərˈʌr.aː
ذميوار	zəmjʋˈaːr
ذوالحج	zʋˌaːləhˈʌɟ
رائل	raːˈɪl
رائيٽر	rˌaːiʈˈʌr
راه	rˈaːh
راولپنڊي	rˌaːoːləpˈʌnɖi
راھ	rˈaːh
رضيه	rəzˈiːh
رهائشي	rˌəhaːˈɪʃi
رهنما	rˌəhənˈʌmaː
روزو	rˈoːzoː
رومين	roːmˈiːn
ريا	rjˈaː
ريشم	reːʃˈʌm
سادات	sˌaːdˈaːt
ساراهه	sˌaːraːhˈʌh
سالڪ	saːlˈʌk
سبي	səbˈiː
ستلج	sˌət̪əlˈʌɟ
ستون	sət̪ˈoːn
ستي	sˈʌt̪i
سزائون	sˌəzaːˈoːn
سلامتي	sˌəlaːmˈʌt̪i
سمجھندا	sˌəməɟəhˈʌndaː
سنها	sənˈʌhaː
سنڀاليو	sˌənbʰˈaːljoː
سنگم	sənɡˈʌm
سوٽي	sˈoːʈi
سيال	sjˈaːl
شربت	ʃˌərəbˈʌt̪
شرڪ	ʃərˈʌk
شعرن	ʃaːrˈʌn
شھابا	ʃˌəhaːbˈaː
صابڻ	ʂaːbˈɪɳ
صدرمقام	ʂˌədərˌəmqˈaːm
طعام	tˈaːm
ظهور	ʐəhˈoːr
عبوري	abˈoːri
عضوا	ˈazʋaː
علی	ˈali
غزني	ɣəzˈʌni
فعال	fˈaːl
فهميده	fˌəhəmidˈʌh
فياض	fjˈaːz
فٽبال	fˌəʈbˈaːl
قاتل	qaːt̪ˈʌl
قاعدن	qˈaːjdn
قديمي	qədˈiːmi
لاهري	laːhˈʌri
لاڳت	laːɡˈʌt̪
لسٻيلي	lˌəsbˈiːli
لسٽ	ləsˈʌʈ
لوهي	lˈoːhi
لوھھ	loːhˈʌh
لپري	ləpˈʌri
مارڪو	maːrˈʌkoː
مجاهد	mˌəɟaːhˈʌd
محافظ	mˌəhaːfˈʌʐ
محتاج	mˌəht̪ˈaːɟ
محلو	məhˈʌloː
مسجدون	mˈasɟˌɪdoːn
معاوضو	maːˈoːzoː
معنوي	mˈaːnʋi
منارو	mənˈaːroː
مناسبت	mˌənaːsəbˈʌt̪
مهلب	mˌəhəlˈʌb
موتين	moːt̪ˈiːn
موريا	mˈoːrjaː
مولا	mˈoːlaː
ميرڪ	meːrˈʌk
ميهار	meːhˈaːr
مھينن	mˌəhinˈʌn
نائون	naːˈoːn
ناجائز	nˌaːɟaːˈɪz
نامه	naːmˈʌh
نرالو	nərˈaːloː
نسبتي	nˌəsəbˈʌt̪i
نعمت	naːmˈʌt̪
نيڪي	nˈeːki
نے	nˈʌeː
هاڪ	hˈaːk
هماليه	hˌəmaːlˈiːh
هنگامي	hənɡˈaːmi
هيڏانهن	hˌeːɖaːnəhˈʌn
هٽائي	həʈˈaːi
واشنگٽن	ʋˌaːʃənɡəʈˈʌn
واعدو	ʋaːˈaːdoː
وفادار	ʋˌəfaːdˈaːr
ويجها	ʋeːɟˈʌhaː
وڏ	ʋˈʌɖ
وڏيرو	ʋəɖˈiːroː
وڪي	ʋˈʌki
ياترا	jaːt̪ˈʌraː
ٺاھيل	ʈʰˈaːhjal
ٻوڙو	bˈoːr.oː
ٻٽي	bˈʌʈi
ٽائيٽل	ʈˌaːiʈˈʌl
ٽنگون	ʈənɡˈoːn
ٽيريٽري	ʈˌeːriʈˈʌri
ٽٽڻ	ʈəʈˈʌɳ
ٽڪريون	ʈˌəkrjˈoːn
پئسفڪ	pˌəsəfˈʌk
پاڻمرادو	pˌaːɳəmrˈaːdoː
پراڻيون	pˌəraːɳjˈoːn
پرن	pərˈʌn
پرهيز	pˌərhˈiːz
پرچا	pˈʌrcaː
پرڳڻن	pˌərəɡəɳˈʌn
پليجو	pəlˈiːɟoː
پوتر	poːt̪ˈʌr
پورهئي	pˌoːrəhˈʌi
پوکجي	poːkʰˈʌɟi
پيتي	pˈeːt̪i
پڙھڻ	pər.hˈʌɳ
ڀلا	bʰˈʌlaː
چئنل	cənˈʌl
چاليهن	cˌaːlihˈʌn
چري	cˈʌri
چندن	cəndˈʌn
چڪاس	cəkˈaːs
ڇاڻي	cʰˈaːɳi
ڇڏائي	cʰəɖˈaːi
ڊاڪٽرن	ɖˌaːkəʈərˈʌn
ڊاڪٽريٽ	ɖˌaːkəʈrˈiːʈ
ڊيوڊ	ɖjˈoːɖ
ڊگرين	ɖˌəɡrˈiːn
ڌوئي	dʰˈoːi
ڌڻ	dʰˈʌɳ
ڏندڻ	ɖəndˈʌɳ
ڦرين	pʰərˈiːn
ڦهليل	pʰəhˈʌljal
ڦوڪ	pʰˈoːk
کائينديون	kʰˌaːindjˈoːn
کاڌن	kʰaːdʰˈʌn
کنڊن	kʰənɖˈʌn
ڪال	kˈaːl
ڪلارڪ	kˌəlaːrˈʌk
ڪنيت	kənˈiːt̪
ڪول	kˈoːl
ڪولهي	koːlˈʌhi
ڪٽ	kˈʌʈ
ڪڍيا	kˈʌɖʰjaː
ڪھاڻيون	kˌəhaːɳjˈoːn
گذرندي	ɡˌəzərˈʌndi
گهاٽ	ɡəhˈaːʈ
گوريلا	ɡoːrˈiːlaː
گھٽجي	ɡʰəʈˈʌɟi
ڳايل	ɡˈaːjal
ھيٺيون	heːʈʰjˈoːn
آئرش	ˌaːɪrˈʌʃ
آئوٽرام	ˌaːoːʈrˈaːm
آسام	aːsˈaːm
آفندي	aːfˈʌndi
آفيم	aːfˈiːm
اجمير	ˌaɟmˈiːr
اخذ	axˈʌz
ارتقائي	ˌɪrtɪqˈaːi
ارڙھين	ˌarr.hˈiːn
اسٽاف	ˌasʈˈaːf
اسٽور	ˌasʈˈoːr
افسانن	ˌafsaːnˈʌn
امرڪوٽ	ˌamərkˈoːʈ
انتظاميا	ˌɪntɪʐˈaːmjaː
انتظاميه	ˌɪntɪʐaːmˈiːh
انگور	anɡˈoːr
اوطاق	uːtˈaːq
اونداهي	uːndˈaːhi
ايڊيٽوريل	ˌeːɖiʈˈoːrjal
اڱڻ	ˌaŋ̩ˈʌɳ
بابن	bˈaːbɪn
بجيٽ	bəɟˈiːʈ
بحالي	bəhˈaːli
بختيار	bəxt̪jˈaːr
بدلو	bədˈʌloː
بدوي	bˈʌdʋi
بيورو	bjˈoːroː
بيڪ	bˈeːk
ترار	t̪ərˈaːr
تندن	t̪əndˈʌn
ثقافتن	sˌəqaːfət̪ˈʌn
جاميٽري	ɟˌaːmiʈˈʌri
جست	ɟˈʌst̪
جنڊ	ɟˈʌnɖ
جوڙايو	ɟoːr.ˈaːjoː
جوڙيندا	ɟoːr.ˈiːndaː
جوڳا	ɟˈoːɡaː
جھنگ	ɟəhˈʌnɡ
حاوي	hˈaːʋi
حشو	hˈʌʃoː
حنفي	hənˈʌfi
خدائي	xədˈaːi
خصوصيتن	xˌəʂoːʂit̪ˈʌn
دهشت	dəhˈʌʃt̪
ديوبند	djoːbˈʌnd
رافيل	rˈaːfjal
رباني	rəbˈaːni
رديف	rədˈiːf
رشين	rəʃˈiːn
رلي	rˈʌli
رهاڻ	rəhˈaːɳ
رٽائرمينٽ	rˌəʈaːˌɪrminˈʌʈ
رٽائرڊ	rˌəʈaːɪrˈʌɖ
رکجن	rˌəkʰəɟˈʌn
سارنگ	saːrˈʌnɡ
ساڳين	saːɡˈiːn
سرو	sˈʌroː
سعد	sˈaːd
سماٽ	səmˈaːʈ
سنڌوندي	sɪndhˈuːndi
سواء	sʋˈaː
سوامي	sʋˈaːmi
سوداگر	sˌoːdaːɡˈʌr
سورهن	sˌoːrəhˈʌn
سورٺ	soːrˈʌʈʰ
سونهري	sˌoːnəhˈʌri
سوچيو	sˈoːcjoː
سيٽلائيٽ	sˌeːʈlaːˈiːʈ
سڏائيندا	sˌəɖaːˈiːndaː
شيرين	ʃeːrˈiːn
شيطان	ʃeːtˈaːn
شڪايت	ʃˌəkaːˈiːt̪
شڪلين	ʃˌəklˈiːn
صحرائي	ʂˌəhrˈaːi
ضعيف	zaːˈiːf
عبدالحڪيم	ˌabdˌaːləhkˈiːm
عدالتون	ˌadaːlt̪ˈoːn
عذاب	azˈaːb
عطر	atˈʌr
عيسي	aˈiːsi
فرمائي	fˌərmˈaːi
فلاحي	fəlˈaːhi
فڪشن	fˌəkəʃˈʌn
قائد	qaːˈɪd
قافلي	qaːfˈʌli
قسطنطنيه	qˈɪstnətnih
قوميت	qoːmˈiːt̪
لهرن	lˌəhərˈʌn
لٺ	lˈʌʈʰ
لڳايون	lˌəɡaːjˈoːn
مائڪرو	mˌaːɪkˈʌroː
مارواڙي	maːrʋˈaːr.i
مالهي	maːlˈʌhi
مذھبن	mˌəzəhəbˈʌn
مزاح	mˈʌzaːh
مزاحيہ	mˌəzaːhˈiːh
مزي	mˈʌzi
مشاھدو	mˌəʃaːhˈʌdoː
مصيبت	mˌəʂibˈʌt̪
معتقد	mˌaːt̪əqˈʌd
معدنيات	mˌaːdniˈaːt
مفاصلو	mˌəfaːʂˈʌloː
مقبرن	mˌəqəbərˈʌn
منتقلي	mˌənət̪əqˈʌli
منزلن	mˈanzˌɪln
مٿاهون	mˌətʰaːhˈoːn
مھينا	məhˈiːnaː
نظامي	nɪʐˈaːmi
نعت	nˈaːt̪
نقد	nəqˈʌd
نقصانڪار	nˌəqʂˌaːnkˈaːr
نوبيل	noːbjˈal
نياپو	njˈaːpoː
نيپچون	nˌeːpcˈoːn
هفتن	hˌəfət̪ˈʌn
هوتچند	hˌoːt̪əcˈʌnd
وغيرھ	ʋˌəɣirˈʌh
ويجهڙائي	ʋˌeːɟəhər.ˈaːi
ويڙهيل	ʋeːr.ˈʌhjal
ويڪري	ʋeːkˈʌri
ويھين	ʋeːhˈiːn
وڃو	ʋˈʌɲoː
يڪ	jˈʌk
ٺوس	ʈʰˈoːs
ٻاراڻو	baːrˈaːɳoː
ٻڌائڻ	bˌədʰaːˈɪɳ
ٻڌندڙ	bˌədʰəndˈʌr.
ٽائيٽن	ʈˌaːiʈˈʌn
ٽائٽانڪ	ʈˌaːʈaːnˈʌk
پئسن	pəsˈʌn
پائلٽ	pˌaːɪlˈʌʈ
پائيندا	paːˈiːndaː
پائيپ	paːˈiːp
پاتا	pˈaːt̪aː
پارو	pˈaːroː
پاپ	pˈaːp
پاڻياٺ	paːɳjˈaːʈʰ
پرواهه	pˌərʋaːhˈʌh
پليجي	pəlˈiːɟi
پيلو	pˈeːloː
پٽالا	pəʈˈaːlaː
پٽاندر	pˌəʈaːndˈʌr
پچي	pˈʌci
پکڙجڻ	pˌəkʰər.əɟˈʌɳ
ٿيڻو	tʰˈeːɳoː
ڀانئجي	bʰaːnˈʌɟi
ڀيل	bʰˈeːl
چانور	caːnˈoːr
چشمو	cəʃˈʌmoː
چيئر	ceːˈɪr
چيائون	cjaːˈoːn
چيڪ	cˈeːk
چيڪي	cˈeːki
ڇاتين	cʰaːt̪ˈiːn
ڇلي	cʰˈʌli
ڇپايل	cʰəpˈaːjal
ڊارون	ɖaːrˈoːn
ڊرامه	ɖˌəraːmˈʌh
ڊهي	ɖˈʌhi
ڊين	ɖˈeːn
ڍوري	ɖʰˈoːri
ڏاڪڻ	ɖaːkˈʌɳ
ڏسندو	ɖɪsˈʌndoː
ڏهاڙي	ɖəhˈaːr.i
ڏهاڪن	ɖˌəhaːkˈʌn
ڏيا	ɖjˈaː
ڏيڏر	ɖeːɖˈʌr
ڏيکارين	ɖˌeːkʰaːrˈiːn
ڏکن	ɖəkʰˈʌn
ڏھن	ɖəhˈʌn
ڦاٽڻ	pʰaːʈˈʌɳ
ڦٽا	pʰˈʌʈaː
کارو	kʰˈaːroː
کنڊر	kʰənɖˈʌr
کوجنائن	kʰˌoːɟnaːˈɪn
کوھ	kʰˈoːh
ڪارآمد	kˌaːraːmˈʌd
ڪافر	kaːfˈʌr
ڪرت	kərˈʌt̪
ڪروموسوم	kˌəroːmoːsˈoːm
ڪرڙ	kərˈʌr.
ڪميون	kəmjˈoːn
ڪوئلي	koːˈɪli
ڪوري	kˈoːri
ڪوڙ	kˈoːr.
ڪک	kˈʌkʰ
ڪڪر	kəkˈʌr
گردن	ɡərdˈʌn
گرمين	ɡˌərmˈiːn
گناهه	ɡˌənaːhˈʌh
گنڌار	ɡəndʰˈaːr
آئوٽ	aːˈoːʈ
آجيان	aːɟjˈaːn
آرڪائيوز	ˌaːrkaːjˈoːz
آزمائش	ˌaːzmaːˈɪʃ
آلو	ˈaːloː
آپريٽنگ	ˌaːpriʈˈʌnɡ
آکاڻيون	ˌaːkʰaːɳjˈoːn
آکيرا	aːkʰˈiːraː
آڻيندو	aːɳˈiːndoː
ا	ˈalɪf
اثرائتي	ˌasraːˈɪt̪i
اداڪاره	ˌadaːkaːrˈʌh
استثنا	ˌɪstˈasnaː
اسپيڪر	ˌaspikˈʌr
اسڪائوٽ	ˌaskaːˈoːʈ
اسڪالر	ˌaskaːlˈʌr
اشاعتي	ˌaʃaːˈaːt̪i
اشوڪ	aʃˈoːk
امتيازي	ˌamt̪jˈaːzi
انگلستان	ˌanɡəlˈɪstaːn
اوني	ˈuːni
ايوانن	ˌeːʋaːnˈʌn
اٿم	aʈˈʌm
اڪرام	ˌakrˈaːm
اڳڀرائي	ˌaɡəbʰrˈaːi
اھڙين	ˌahr.ˈiːn
بدوش	bədˈoːʃ
برانچ	bərˈaːnc
براهوئي	bˌəraːhˈoːi
بري	bˈʌri
برٽن	bˌərəʈˈʌn
بلاڪ	bəlˈaːk
بلڊنگ	bˌələɖˈʌnɡ
بوائز	bʋˈaːɪz
بورڊنگ	bˈoːrəɖˌənɡ
بياض	bjˈaːz
بيلٽ	bˈeːləʈ
بيهڻ	bˈeːhəɳ
تحريرن	t̪ˌəhrirˈʌn
تحفو	t̪əhˈʌfoː
تحفي	t̪əhˈʌfi
تختو	t̪ˈʌxt̪oː
تعبير	t̪aːbˈiːr
تعصب	t̪aːʂˈʌb
تپ	t̪ˈʌp
تھن	t̪əhˈʌn
ججهي	ɟəɟˈʌhi
جستجو	ɟəst̪ˈʌɟoː
جمعو	ɟəmˈaːoː
جمن	ɟəmˈʌn
جمھوري	ɟˌəmhˈuːri
جنگجو	ɟənɡˈʌɟoː
حرارت	hˌəraːrˈʌt̪
حصول	həʂˈoːl
حلقو	həlˈʌqoː
حيواني	hjʋˈaːni
خليفا	xəlˈiːfaː
خودڪشي	xˈʊdkəʃˌiː
دانشورن	dˌaːnʃoːrˈʌn
دس	dˈʌs
دونهون	dˌoːnhˈoːn
دوهن	doːhˈʌn
ذرن	zərˈʌn
ذريعا	zərˈiːaː
رجسٽرڊ	rˌəɟəsˌəʈərˈʌɖ
رحلت	rˌəhəlˈʌt̪
رزميه	rˌəzmˈiːh
رسد	rəsˈʌd
رهبر	rˌəhəbˈʌr
روان	rʋˈaːn
رول	rˈoːl
ريڻ	rˈeːɳ
رڌل	rədʰˈʌl
رھجي	rəhˈʌɟi
سافٽويئر	sˌaːfʈʋiˈɪr
سحر	səhˈʌr
سرخ	sˈʊrx
سرٽيفڪيٽ	sˌərʈˌiːfkˈiːʈ
سرپرستي	sˌərəpərˈʌst̪i
سمجهجي	sˌəməɟəhˈʌɟi
سمجهيا	sˌəməɟˈʌhjaː
سنجر	sˌənəɟˈʌr
سهراب	sˌəhərˈaːb
سوڀو	sˈoːbʰoː
سيراب	seːrˈaːb
سيڪشن	sˌeːkəʃˈʌn
سڌاري	sədʰˈaːri
سڌارڻ	sˌədʰaːrˈʌɳ
سڌوسنئون	sˌədʰoːsˌənˈoːn
شر	ʃˈʌr
شرطن	ʃˌərətˈʌn
شعبا	ʃˈɔbaː
شوال	ʃʋˈaːl
صحتمند	ʂˌəhət̪əmˈʌnd
صحيحون	ʂˌəhihˈoːn
صدرالدين	ʂˌədrˌaːldˈiːn
صفوي	ʂˈʌfʋi
عامر	aːmˈʌr
عبدالنبي	ˌabdˌaːlnbˈiː
علاؤ	alˈaːa͡ʊ
عيش	aˈiːʃ
غلبو	ɣˌəlbˈoː
ـ	lˈetəcʰˈahacˈaːrbˈʊr.i
فائر	faːˈɪr
فرعون	fˌəraːˈoːn
فرقا	fərˈʌqaː
فهم	fəhˈʌm
قاعدو	qˈaːjdoː
قدمن	qˌədəmˈʌn
قلمن	qˌələmˈʌn
لاکي	lˈaːkʰi
لاڳاپي	laːɡˈaːpi
لٿي	lˈʌtʰi
لکنؤ	lˌəkʰənˈʌa͡ʊ
ماتر	maːt̪ˈʌr
ماسڪو	maːsˈʌkoː
ماهه	maːhˈʌh
ماٺ	mˈaːʈʰ
ماڇي	mˈaːcʰi
مخلوط	mˌəxlˈuːt
مدفون	mˌədfˈuːn
مدنظر	mˌədənəʐˈʌr
مدني	mədˈʌni
مذمت	mˌəzəmˈʌt̪
مرتبي	mˌərət̪bˈiː
مرثيا	mərˈʌsjaː
مرمر	mˌərəmˈʌr
مصطفي	mˌəʂətˈʌfi
معاهدو	maːhˈʌdoː
منجھ	mˌənəɟˈʌh
منفي	mənˈʌfi
مهرباني	mˌəhərbˈaːni
موئن	moːˈɪn
موڪليائين	mˌoːkljaːˈiːn
مينار	meːnˈaːr
مٿاڇرو	mˌətʰaːcʰˈʌroː
مڃين	məɲˈiːn
مڃيندا	məɲˈiːndaː
مڌم	mədʰˈʌm
ناني	nˈaːni
ناڪاري	naːkˈaːri
نبوت	nəbˈoːt̪
نسخي	nəsˈʌxi
نشريات	nˌəʃriˈaːt
نوشي	nˈoːʃi
نيٽورڪ	nˌeːʈoːrˈʌk
نڪرنديون	nɪkrndjˈoːn
هوائن	hʋaːˈɪn
هيڊڪوارٽر	hˌeːɖkʋˌaːrəʈˈʌr
هڏا	hˈʌɖaː
هڙاپا	hər.ˈaːpaː
هڪجهڙا	hˌəkəɟəhˈʌr.aː
هڻندو	həɳˈʌndoː
وارد	ʋˈaːrd
واسين	ʋaːsˈiːn
واڌو	ʋˈaːdʰoː
وصال	ʋəʂˈaːl
ونسي	ʋˈʌnsi
ويلفيئر	ʋˌeːlfiˈɪr
وڃجي	ʋəɲˈʌɟi
وچون	ʋəcˈoːn
وچڙ	ʋəcˈʌr.
وڇائي	ʋəcʰˈaːi
وڇوڙي	ʋəcʰˈoːr.i
وڪڻڻ	ʋˌəkəɳˈʌɳ
يارنهن	jˌaːrənəhˈʌn
يارڪ	jaːrˈʌk
ٺاهيندو	ʈʰaːhˈiːndoː
ٺاھ	ʈʰˈaːh
ٻڌائين	bˌədʰaːˈiːn
ٻڌائيندو	bˌədʰaːˈiːndoː
ٻڌايل	bədʰˈaːjal
ٻڌمت	bˌədʰəmˈʌt̪
ٻڍل	bəɖʰˈʌl
ٽلٽي	ʈəlˈʌʈi
ٽنگ	ʈˈʌnɡ
ٽوٽل	ʈoːʈˈʌl
ٽيڪسٽ	ʈˌeːkəsˈʌʈ
پارسين	pˌaːrsˈiːn
پانڊون	paːnɖˈoːn
پرايو	pərˈaːjoː
پرفارم	pˌərfaːrˈʌm
پرمانند	pˌərmaːnˈʌnd
پريان	pərjˈaːn
پسندي	pəsˈʌndi
پنھنجون	pˌənhnəɟˈoːn
پورهيو	poːrˈʌhjoː
پوني	pˈoːni
پوڙهي	poːr.ˈʌhi
پڃري	pəɲˈʌri
پچائڻ	pˌəcaːˈɪɳ
پڙهائيندو	pˌər.haːˈiːndoː
ٿاڻو	tʰˈaːɳoː
ڀاتين	bʰaːt̪ˈiːn
ڀيٽا	bʰˈeːʈaː
ڀڳتي	bʰəɡˈʌt̪i
چارو	cˈaːroː
چاھ	cˈaːh
ڇوڪر	cʰoːkˈʌr
ڇھن	cʰəhˈʌn
ڊويزنن	ɖʋˌeːzənˈʌn
ڊگهائي	ɖˌəɡhˈaːi
ڊگھيون	ɖəɡʰjˈoːn
ڍير	ɖʰˈeːr
ڏات	ɖˈaːt̪
ڏيارام	ɖjaːrˈaːm
ڏيکاريا	ɖeːkʰˈaːrjaː
ڦٽڻ	pʰəʈˈʌɳ
کاهي	kʰˈaːhi
کاڄ	kʰˈaːɟ
کجور	kʰəɟˈoːr
کوڙي	kʰˈoːr.i
کپن	kʰəpˈʌn
کڻائي	kʰəɳˈaːi
ڪئلينڊر	kˌəlinɖˈʌr
ڪالمن	kˌaːləmˈʌn
ڪانھي	kˈaːnhi
ڪرشنا	kˌərəʃˈʌnaː
ڪرپشن	kˌərəpəʃˈʌn
ڪشور	kəʃˈoːr
ڪفر	kəfˈʌr
ڪلامن	kˌəlaːmˈʌn
ڪلهي	kəlˈʌhi
ڪليات	kˌəliˈaːt
ڪليسا	kəlˈiːsaː
ڪلچرل	kˌələcərˈʌl
ڪندس	kəndˈʌs
ڪنوينشن	kˌənʋinəʃˈʌn
ڪنڊو	kˈʌnɖoː
