а	ɑ
музичний	mʊzɪt͡ʃnei̯
мука	mukɐ
мука	mʊkɑ
муніципальний	mʊnʲit͡sepɑlʲnei̯
мур	mur
мураха	mʊrɑxɐ
мурахоїд	mʊrɐxɔjid
мурашка	mʊrɑʃkɐ
мурашко	mʊrɑʃkɔ
мурашник	mʊrɑʃnek
мусити	musete
мусульманин	mʊsʊlʲmɑnen
мусульманка	mʊsʊlʲmɑnen
мусульманство	mʊsʊlʲmɑnstwɔ
мусульманський	mʊsʊlʲmɑnʲsʲkei̯
мутація	mʊtɑt͡sʲijɐ
муха	muxɐ
мучити	mut͡ʃete
мігрант	mʲiɦrɑnt
мігрантка	mʲiɦrɑntkɐ
міграційний	mʲiɦrɐt͡sʲii̯nei̯
міграція	mʲiɦrɑt͡sʲijɐ
мігрень	mʲiɦrɛnʲ
мід	mʲid
мідь	mʲidʲ
між	mʲiʒ
міжвоєнний	mʲiʒwɔjɛnːei̯
міжгалактичний	mʲiʒɦɐɫɐktɪt͡ʃnei̯
міжзоряне	mʲiʒzɔrʲɐne
міжзоряний	mʲiʒzɔrʲɐnei̯
міжнародний	mʲiʒnɐrɔdnei̯
міжнародними	mʲiʒnɐrɔdneme
міжособистісний	mʲiʒɔsɔbɪsʲtʲisnei̯
міжособовий	mʲiʒɔsɔbɔʋei̯
міжряддя	mʲiʒrʲɑdʲːɐ
міжурядовий	mʲiʒʊrʲɐdɔʋei̯
мізантроп	mʲizɐntrɔp
мізантропія	mʲizɐntrɔpʲijɐ
мізерний	mʲizernei̯
мізерний	mʲizɛrnei̯
мій	mʲii̯
мікрорайон	mʲikrɔrɐjɔn
мікроскоп	mʲikrɔskɔp
мікроскопічний	mʲikrɔskopʲit͡ʃnei̯
мікроскопія	mʲikrɔskopʲijɐ
мікрофон	mʲikrɔfɔn
мікрохвильова	mʲikrɔxʋelʲɔʋɑ
мікрохвильовий	mʲikrɔxʋelʲɔʋɪi̯
мікрохвильовка	mʲikrɔxʋelʲɔu̯kɐ
мілина	mʲiɫenɑ
мілкий	mʲiɫkɪi̯
міль	mʲilʲ
мільйон	mʲilʲjɔn
мільярд	mʲilʲjɑrd
міліампер	mʲilʲiɐmpɛr
міліметр	mʲilʲimɛtr
мілітаризація	mʲilʲitɐrezɑt͡sʲijɐ
мілітаризувати	mʲilʲitɐrezʊʋɑte
міліція	mʲilʲit͡sʲijɐ
мінералогія	mʲinerɐɫɔɦʲijɐ
мінськ	mʲinʲsʲk
мінімальна	mʲinʲimɑlʲnɐ
мінімальний	mʲinʲimɑlʲnei̯
мінімалізм	mʲinʲimɐlʲizm
мінімаліст	mʲinʲimɐlʲist
мінімалістичний	mʲinʲimɐlʲistɪt͡ʃnei̯
мінімум	mʲinʲimʊm
мінімізація	mʲinʲimʲizɑt͡sʲijɐ
мінімізувати	mʲinʲimʲizʊʋɑte
міністерство	mʲinʲistɛrstwɔ
міністр	mʲinʲistr
міра	mʲirɐ
міркувати	mʲirkʊʋɑte
мірою	mʲirɔjʊ
міряти	mʲirʲɐte
міст	mʲist
містечко	mʲistɛt͡ʃkɔ
містити	mʲistɪte
містичний	mʲistɪt͡ʃnei̯
місто	mʲistɔ
містобудування	mʲistɔbʊdʊʋɑnʲːɐ
місце	mʲist͡se
місцевий	mʲist͡sɛʋei̯
міський	mʲisʲkɪi̯
місяцевий	mʲisʲɐt͡seʋei̯
місяцевий	mʲisʲɐt͡sɛʋei̯
місяць	mʲisʲɐt͡sʲ
місячний	mʲisʲɐt͡ʃnei̯
місіонер	mʲisʲiɔnɛr
місіонерка	mʲisʲiɔnɛrkɐ
місія	mʲisʲijɐ
міт	mʲit
мітинг	mʲitenɦ
мітла	mʲitɫɑ
мітоз	mʲitɔz
мітологія	mʲitɔɫɔɦʲijɐ
мітотичний	mʲitɔtɪt͡ʃnei̯
мітохондрія	mʲitɔxɔndʲrʲijɐ
міф	mʲif
міфологічний	mʲifɔɫoɦʲit͡ʃnei̯
міфологія	mʲifɔɫɔɦʲijɐ
міх	mʲix
міхур	mʲixur
міцний	mʲit͡snɪi̯
міць	mʲit͡sʲ
мічурін	mʲit͡ʃurʲin
мішаний	mʲiʃɐnei̯
мішок	mʲiʃɔk
на	nɑ
набагато	nɐbɐɦɑtɔ
наближати	nɐbɫeʒɑte
наближення	nɐbɫɪʒenʲːɐ
наблизити	nɐbɫɪzete
набряк	nɐbrʲɑk
набряк	nɑbrʲɐk
набій	nɐbʲii̯
набійка	nɐbʲii̯kɐ
навесні	nɐʋesʲnʲi
навидіти	nɐʋɪdʲite
навидіти	nɑʋedʲite
навичка	nɑʋet͡ʃkɐ
навколишнє	nɐu̯kɔɫeʃnʲe
навколишній	nɐu̯kɔɫeʃnʲii̯
навколо	nɐu̯kɔɫɔ
навколосвітній	nɐu̯kɔɫɔsʲʋʲitʲnʲii̯
навмання	nɐu̯mɐnʲːɑ
навмисний	nɐu̯mɪsnei̯
навмисно	nɐu̯mɪsnɔ
наволочка	nɑwɔɫɔt͡ʃkɐ
наврез	nɐu̯rɛz
навруз	nɐu̯ruz
навчальний	nɐu̯t͡ʃɑlʲnei̯
навчання	nɐu̯t͡ʃɑnʲːɐ
навчати	nɐu̯t͡ʃɑte
навчити	nɐu̯t͡ʃɪte
навігаційний	nɐʋʲiɦɐt͡sʲii̯nei̯
навігація	nɐʋʲiɦɑt͡sʲijɐ
навіть	nɑʋʲitʲ
навіщо	nɐʋʲiʃt͡ʃɔ
нагадати	nɐɦɐdɑte
нагадувати	nɐɦɑdʊʋɐte
нагий	nɐɦɪi̯
наголос	nɑɦɔɫɔs
наголосити	nɐɦɔɫɔsɪte
наголошений	nɐɦɔɫɔʃenei̯
наголошувати	nɐɦɔɫɔʃʊʋɐte
нагромаджувати	nɐɦrɔmɑd͡ʒʊʋɐte
нагромадити	nɐɦrɔmɑdete
над	nɑd
надавати	nɐdɐʋɑte
надання	nɐdɐnʲːɑ
надання	nɐdɑnʲːɐ
надати	nɐdɑte
надворі	nɐdwɔrʲi
надвір	nɐdʲʋʲir
наддержава	nɐdːerʒɑʋɐ
надзвичайний	nɐd͡zʋet͡ʃɑi̯nei̯
надзвичайно	nɐd͡zʋet͡ʃɑi̯nɔ
надзвуковий	nɐd͡zwʊkɔʋɪi̯
надлишковий	nɐdɫɪʃkɔʋei̯
надлишок	nɐdɫɪʃɔk
надмір	nɑdʲmʲir
надмірний	nɐdʲmʲirnei̯
надприродний	nɐdprerɔdnei̯
надто	nɑdtɔ
надій	nɐdʲii̯
надійний	nɐdʲii̯nei̯
надійність	nɐdʲii̯nʲisʲtʲ
надіти	nɐdʲite
надію	nɐdʲijʊ
надія	nɐdʲijɐ
надіям	nɐdʲijɐm
надіями	nɐdʲijɐme
надіятися	nɐdʲijɐtesʲɐ
надіях	nɐdʲijɐx
надіє	nɐdʲije
надією	nɐdʲijejʊ
надії	nɐdʲiji
наживо	nɐʒɪwɔ
назавжди	nɐzɐu̯ʒdɪ
назавжди	nɐzɑu̯ʒde
назавше	nɐzɑu̯ʃe
назва	nɑzʋɐ
названий	nɐzʋɑnei̯
названий	nɑzʋɐnei̯
назвати	nɐzʋɑte
назви	nɑzʋe
називати	nɐzeʋɑte
називний	nɐzeu̯nɪi̯
найбільш	nɐi̯bʲilʲʃ
найбільше	nɐi̯bʲilʲʃe
найбільший	nɐi̯bʲilʲʃei̯
найвродливіший	nɐjwrɔdɫɪʋʲiʃei̯
найдружелюбніший	nɐi̯drʊʒelʲubnʲiʃei̯
найманець	nɑi̯mɐnet͡sʲ
найманка	nɑi̯mɐnkɐ
наймати	nɐi̯mɑte
найменш	nɐi̯mɛnʃ
найменше	nɐi̯mɛnʃe
найменший	nɐi̯mɛnʃei̯
наймит	nɑi̯met
наймичка	nɑi̯met͡ʃkɐ
найнижчий	nɐi̯nɪʒt͡ʃei̯
найновіший	nɐi̯nɔʋʲiʃei̯
найняти	nɐi̯nʲɑte
наказовий	nɐkɐzɔʋei̯
налаштовувати	nɐɫɐʃtɔwʊʋɐte
налаштувати	nɐɫɐʃtʊʋɑte
належати	nɐɫɛʒɐte
нам	nɑm
намагатися	nɐmɐɦɑtesʲɐ
намет	nɐmɛt
нами	nɑme
намисто	nɐmɪstɔ
намокати	nɐmɔkɑte
намокнути	nɐmɔknʊte
намібія	nɐmʲibʲijɐ
намір	nɑmʲir
наміри	nɑmʲire
наміру	nɑmʲirʊ
намірів	nɑmʲirʲiu̯
напад	nɑpɐd
нападник	nɐpɑdnek
напам'ять	nɐpɑmjɐtʲ
напередодні	nɐperedɔdʲnʲi
наперсток	nɐpɛrstɔk
написати	nɐpesɑte
направити	nɐprɑʋete
направляти	nɐprɐu̯lʲɑte
наприклад	nɐprɪkɫɐd
наприкінці	nɐprɪkʲinʲt͡sʲi
напружений	nɐpruʒenei̯
напружити	nɐpruʒete
напружувати	nɐpruʒʊʋɐte
напрям	nɑprʲɐm
напрямок	nɑprʲɐmɔk
напій	nɐpʲii̯
наразі	nɐrɑzʲi
нарвал	nɐrʋɑɫ
наречена	nɐret͡ʃɛnɐ
наречена	nɐrɛt͡ʃenɐ
нарешті	nɐrɛʃtʲi
наркоз	nɐrkɔz
наркозалежний	nɐrkɔzɐɫɛʒnei̯
наркозалежність	nɐrkɔzɐɫɛʒnʲisʲtʲ
наркоманія	nɐrkɔmɑnʲijɐ
наркотик	nɐrkɔtek
наркотичний	nɐrkɔtɪt͡ʃnei̯
народ	nɐrɔd
народження	nɐrɔd͡ʒenʲːɐ
народжуваність	nɐrɔd͡ʒʊʋɐnʲisʲtʲ
народжувати	nɐrɔd͡ʒʊʋɐte
народжуватися	nɐrɔd͡ʒʊʋɐtesʲɐ
народити	nɐrɔdɪte
народитися	nɐrɔdɪtesʲɐ
народний	nɐrɔdnei̯
народовладдя	nɐrɔdɔu̯ɫɑdʲːɐ
наручний	nɐrut͡ʃnei̯
нарід	nɑrʲid
нарік	nɐrʲik
нарік	nɑrʲik
нас	nɑs
насамперед	nɐsɑmpered
населений	nɐsɛɫenei̯
населення	nɐsɛɫenʲːɐ
населити	nɐseɫɪte
населяти	nɐselʲɑte
насильство	nɐsɪlʲstwɔ
наскрізь	nɑskrʲizʲ
наслідок	nɑsʲlʲidɔk
насолоджуватися	nɐsɔɫɔd͡ʒʊʋɐtesʲɐ
насолодитися	nɐsɔɫɔdɪtesʲɐ
насправді	nɐsprɑu̯dʲi
наставати	nɐstɐʋɑte
настати	nɐstɑte
настроювати	nɐstrɔjʊʋɐte
настроїти	nɐstrɔjite
настрій	nɑstʲrʲii̯
наступний	nɐstupnei̯
наступник	nɐstupnek
наступниця	nɐstupnet͡sʲɐ
наступного	nɐstupnɔɦɔ
настільний	nɐsʲtʲilʲnei̯
насінина	nɐsʲinɪnɐ
насіння	nɐsʲinʲːɐ
наталія	nɐtɑlʲijɐ
натовп	nɑtɔu̯p
натуральний	nɐtʊrɑlʲnei̯
натще	nɑtʃt͡ʃe
наук	nɐuk
наука	nɐukɐ
науковий	nɐʊkɔʋei̯
науково	nɐʊkɔwɔ
нафта	nɑftɐ
нахил	nɑxeɫ
національний	nɐt͡sʲiɔnɑlʲnei̯
національність	nɐt͡sʲiɔnɑlʲnʲisʲtʲ
націоналізм	nɐt͡sʲiɔnɐlʲizm
націоналіст	nɐt͡sʲiɔnɐlʲist
націоналістичний	nɐt͡sʲiɔnɐlʲistɪt͡ʃnei̯
нація	nɑt͡sʲijɐ
начальник	nɐt͡ʃɑlʲnek
начальство	nɐt͡ʃɑlʲstwɔ
наче	nɑt͡ʃe
начиння	nɐt͡ʃɪnʲːɐ
наш	nɑʃ
наша	nɑʃɐ
наше	nɑʃe
наші	nɑʃʲi
наявний	nɐjɑu̯nei̯
наявність	nɐjɑu̯nʲisʲtʲ
не	nɛ
неба	nɛbɐ
небажаний	nebɑʒɐnei̯
небажання	nebɐʒɑnʲːɐ
небезпека	nebezpɛkɐ
небезпеки	nebezpɛke
небезпечний	nebezpɛt͡ʃnei̯
небеса	nebesɑ
небесний	nebɛsnei̯
небо	nɛbɔ
небог	nebɔɦ
небога	nebɔɦɐ
небувалий	nebʊʋɑɫei̯
небіж	nebʲiʒ
небіж	nɛbʲiʒ
нева	neʋɑ
невблаганний	neu̯bɫɐɦɑnːei̯
невдача	neu̯dɑt͡ʃɐ
невже	neu̯ʒɛ
невидимий	neʋɪdemei̯
невидимість	neʋɪdemʲisʲtʲ
невичерпний	neʋet͡ʃɛrpnei̯
невмирущий	neu̯meruʃt͡ʃei̯
невралгічний	neu̯rɐlʲɦʲit͡ʃnei̯
невроз	neu̯rɔz
неврологічний	nɛu̯rɔɫoɦʲit͡ʃnei̯
неврологія	neu̯rɔɫɔɦʲijɐ
невротичний	neu̯rɔtɪt͡ʃnei̯
невтомний	neu̯tɔmnei̯
невідворотний	neʋʲidwɔrɔtnei̯
невідкладний	neʋʲidkɫɑdnei̯
невідомий	neʋʲidɔmei̯
невідповідний	neʋʲidpɔʋʲidnei̯
невіста	neʋʲistɐ
негайний	neɦɑi̯nei̯
негайно	neɦɑi̯nɔ
негативний	neɦɐtɪu̯nei̯
негативно	neɦɐtɪu̯nɔ
негура	nɛɦʊrɐ
недавно	nedɑu̯nɔ
недавній	nedɑu̯nʲii̯
недвозначний	nedwɔznɑt͡ʃnei̯
недовіра	nedɔʋʲirɐ
недовірливий	nedɔʋʲirɫeʋei̯
недоконаний	nedɔkɔnɐnei̯
недолік	nedɔlʲik
недооцінити	nedɔɔt͡sʲinɪte
недооцінювати	nedɔot͡sʲinʲʊʋɐte
недорозвинений	nedɔrɔzʋɪnenei̯
недосвідчений	nedɔsʲʋʲid͡ʒt͡ʃenei̯
недосвідченість	nedɔsʲʋʲid͡ʒt͡ʃenʲisʲtʲ
недостатньо	nedɔstɑtʲnʲɔ
недостатній	nedɔstɑtʲnʲii̯
недостатність	nedɔstɑtʲnʲisʲtʲ
недоступний	nedostupnei̯
недоторканий	nedɔtɔrkɐnei̯
недоторканний	nedɔtɔrkɑnːei̯
недільний	nedʲilʲnei̯
неділя	nedʲilʲɐ
неживий	neʒeʋɪi̯
нежуйні	neʒui̯nʲi
незабаром	nezɐbɑrɔm
незадоволений	nezɐdɔwɔɫenei̯
незадоволення	nezɐdɔwɔɫenʲːɐ
незадовільний	nezɐdɔʋʲilʲnei̯
незаконний	nezɐkɔnːei̯
незалежний	nezɐɫɛʒnei̯
незалежносте	nezɐɫɛʒnɔste
незалежности	nezɐɫɛʒnɔste
незалежності	nezɐɫɛʒnɔsʲtʲi
незалежність	nezɐɫɛʒnʲisʲtʲ
незалежністю	nezɐɫɛʒnʲisʲtʲʊ
незамінний	nezɐmʲinːei̯
незамінність	nezɐmʲinʲːisʲtʲ
незахищений	nezɐxɪʃt͡ʃenei̯
незвичний	nezʋɪt͡ʃnei̯
незмінний	nezʲmʲinːei̯
незнайомець	neznɐjɔmet͡sʲ
незнайомка	neznɐjɔmkɐ
незнання	neznɐnʲːɑ
незручність	nezrut͡ʃnʲisʲtʲ
незрівнянний	nezʲrʲiu̯nʲɑnːei̯
неймовірний	nei̯mɔʋʲirnei̯
неймовірно	nei̯mɔʋʲirnɔ
нейробіологія	nɛi̯rɔbʲiɔɫɔɦʲijɐ
нейтральний	nei̯trɑlʲnei̯
нейтралізація	nei̯trɐlʲizɑt͡sʲijɐ
нейтралізувати	nei̯trɐlʲizʊʋɑte
нейтралітет	nei̯trɐlʲitɛt
некультурний	nekʊlʲturnei̯
нелюб'язний	nelʲʊbjɑznei̯
нелінійний	nelʲinʲii̯nei̯
нема	nemɑ
немилосердний	nemeɫɔsɛrdnei̯
неминучий	nemenut͡ʃei̯
немовля	nemɔu̯lʲɑ
неможливий	nemɔʒɫɪʋei̯
ненавидіти	nenɐʋɪdʲite
ненавидіти	nenɑʋedʲite
ненависний	nenɑʋesnei̯
ненависть	nenɑʋesʲtʲ
ненавмисний	nenɐu̯mɪsnei̯
ненаголошений	nenɐɦɔɫɔʃenei̯
ненароджений	nenɐrɔd͡ʒenei̯
ненька	nɛnʲkɐ
неньо	nɛnʲɔ
неня	nɛnʲɐ
необмежений	neɔbmɛʒenei̯
необхідний	neobxʲidnei̯
необхідність	neobxʲidʲnʲisʲtʲ
необґрунтований	ɔbɡrʊntɔʋɐnei̯
неодмінний	neodʲmʲinːei̯
неодмінно	neodʲmʲinːɔ
неоніла	neonʲiɫɐ
неорганічна	neɔrɦɐnʲit͡ʃnɐ
неорганічний	neɔrɦɐnʲit͡ʃnei̯
неофіційний	neɔfʲit͡sʲii̯nei̯
непал	nepɑɫ
неперевершений	nepereʋɛrʃenei̯
непередбачений	neperedbɑt͡ʃenei̯
неперервний	neperɛrwnei̯
неписьменний	nepesʲmɛnːei̯
неписьменність	nepesʲmɛnʲːisʲtʲ
непитущий	nepetuʃt͡ʃei̯
неповага	nepɔʋɑɦɐ
непоганий	nepɔɦɑnei̯
неподалік	nepɔdɐlʲik
неподільний	nepodʲilʲnei̯
непокоїти	nepɔkɔjite
непомірний	nepomʲirnei̯
непотрібний	nepotʲrʲibnei̯
непохитний	nepɔxɪtnei̯
неправд	neprɑu̯d
неправда	neprɑu̯dɐ
неправдам	neprɑu̯dɐm
неправдами	neprɑu̯dɐme
неправдах	neprɑu̯dɐx
неправди	neprɑu̯de
неправдивий	neprɐu̯dɪʋei̯
неправдоподібний	neprɐu̯dɔpodʲibnei̯
неправдою	neprɑu̯dɔjʊ
неправду	neprɑu̯dʊ
неправді	neprɑu̯dʲi
неправомірний	neprɐwomʲirnei̯
непривітний	nepreʋʲitnei̯
неприйнятний	neprei̯nʲɐtnɪi̯
неприйнятність	neprei̯nʲɑtʲnʲisʲtʲ
неприємний	neprejɛmnei̯
нерв	nɛrʋ
нервуватися	nerwʊʋɑtesʲɐ
нерегулярний	nereɦʊlʲɑrnei̯
нерегулярність	nereɦʊlʲɑrnʲisʲtʲ
нерухомий	nerʊxɔmei̯
нерухомість	nerʊxɔmʲisʲtʲ
нерівність	nerʲiu̯nʲisʲtʲ
нерідко	nerʲidkɔ
нерішучий	nerʲiʃut͡ʃei̯
нерішучість	nerʲiʃut͡ʃʲisʲtʲ
несвідоме	nesʲʋʲidɔme
несвідомий	nesʲʋʲidɔmei̯
несвідомо	nesʲʋʲidɔmɔ
несерйозний	neserʲɔznei̯
нескладовий	neskɫɐdɔʋɪi̯
нескінченний	nesʲkʲint͡ʃɛnːei̯
несмачний	nesmɐt͡ʃnɪi̯
несподіваний	nespodʲiʋɐnei̯
несподіванка	nespodʲiʋɐnkɐ
неспокій	nespɔkʲii̯
несправедливий	nesprɐʋedɫɪʋei̯
неспростовний	nesprɔstɔu̯nei̯
нестабільний	nestɐbʲilʲnei̯
нестабільність	nestɐbʲilʲnʲisʲtʲ
нестача	nestɑt͡ʃɐ
нестерпний	nestɛrpnei̯
нести	nestɪ
несумісний	nesʊmʲisnei̯
несумісність	nesʊmʲisʲnʲisʲtʲ
нетерплячий	neterplʲɑt͡ʃei̯
нетерпіння	terpʲinʲːɐ
нетиповий	netepɔʋei̯
нетопир	netɔpɪr
нетрадиційний	netrɐdet͡sʲii̯nei̯
неуважний	neʊʋɑʒnei̯
неухильний	neʊxɪlʲnei̯
неформальний	nefɔrmɑlʲnei̯
нечесний	net͡ʃɛsnei̯
нечуваний	net͡ʃuʋɐnei̯
нечутний	net͡ʃutnei̯
нещасливий	neʃt͡ʃɐsɫɪʋei̯
нещасний	neʃt͡ʃɑsnei̯
нещастя	neʃt͡ʃɑsʲtʲɐ
нещирий	neʃt͡ʃɪrei̯
нещирість	neʃt͡ʃɪrʲisʲtʲ
нещодавно	neʃt͡ʃɔdɑu̯nɔ
нещодавній	neʃt͡ʃɔdɑu̯nʲii̯
неістота	neistɔtɐ
неї	nɛji
неґура	nɛɡʊrɐ
нива	nɪʋɐ
нижній	nɪʒnʲii̯
нижчий	nɪʒt͡ʃei̯
низ	nɪz
низка	nɪzkɐ
низький	nezʲkɪi̯
ними	nɪme
нині	nɪnʲi
нинішній	nɪnʲiʃnʲii̯
нирка	nɪrkɐ
ниркова	nerkɔʋɑ
нирковий	nerkɔʋɪi̯
нити	nɪte
нитка	nɪtkɐ
них	nɪx
нищити	nɪʃt͡ʃete
новаторство	nɔʋɑtɔrstwɔ
новаторський	nɔʋɑtɔrsʲkei̯
новела	nɔʋɛɫɐ
новизна	nɔʋeznɑ
новий	nɔʋɪi̯
новина	nɔʋenɑ
новини	nɔʋenɪ
новини	nɔʋɪne
новорічний	nɔworʲit͡ʃnei̯
новітній	nɔʋʲitʲnʲii̯
нога	nɔɦɑ
ножиці	nɔʒet͡sʲi
ножовий	nɔʒɔʋɪi̯
номенклатура	nɔmenkɫɐturɐ
номенклатурний	nɔmenkɫɐturnei̯
номенклатурні	nɔmenkɫɐturnʲi
номер	nɔmer
номінальний	nɔmʲinɑlʲnei̯
норвегія	nɔrʋɛɦʲijɐ
норвежець	nɔrʋɛʒet͡sʲ
норвежка	nɔrʋɛʒkɐ
норвезький	nɔrʋɛzʲkei̯
норма	nɔrmɐ
нормальний	nɔrmɑlʲnei̯
нормальність	nɔrmɑlʲnʲisʲtʲ
нормалізація	nɔrmɐlʲizɑt͡sʲijɐ
нормалізувати	nɔrmɐlʲizʊʋɑte
носилки	nɔsɪɫke
носити	nɔsɪte
носоріг	nɔsorʲiɦ
ностальгувати	nɔstɐlʲɦʊʋɑte
ностальгія	nɔstɐlʲɦʲijɐ
нотувати	nɔtʊʋɑte
ночвах	nɔt͡ʃʋɐx
ночви	nɔt͡ʃʋe
ночі	nɔt͡ʃʲi
ноша	nɔʃɐ
ноші	nɔʃʲi
нудний	nʊdnɪi̯
нудно	nudnɔ
нудота	nʊdɔtɐ
нудьга	nʊdʲɦɑ
нудьгувати	nʊdʲɦʊʋɑte
нуль	nulʲ
нумограй	nʊmɔɦrɑi̯
нутрощі	nutrɔʃt͡ʃʲi
нього	nʲɔɦɔ
нюанс	nʲʊɑns
нюх	nʲux
нюхати	nʲuxɐte
нянів	nʲɑnʲiu̯
ні	nʲi
нігер	nʲiɦer
ніготь	nʲiɦɔtʲ
ніде	nʲide
ніде	nʲidɛ
нідерланди	nʲiderɫɑnde
нідерландський	nʲiderɫɑnd͡zʲsʲkei̯
ніж	nʲiʒ
ніжний	nʲiʒnei̯
ніздре	nʲizdre
ніздрею	nʲizdrejʊ
ніздрю	nʲizdʲrʲʊ
ніздря	nʲizdʲrʲɐ
ніздрям	nʲizdʲrʲɐm
ніздрями	nʲizdʲrʲɐme
ніздрях	nʲizdʲrʲɐx
ніздрі	nʲizdʲrʲi
ніздрів	nʲizdʲrʲiu̯
ній	nʲii̯
нікарагуа	nʲikɐrɑɦʊɐ
ніколи	nʲikɔɫe
німа	nʲimɑ
німець	nʲimet͡sʲ
німецька	nʲimɛt͡sʲkɐ
німецький	nʲimɛt͡sʲkei̯
німецькомовний	nʲimet͡sʲkɔmɔu̯nei̯
німеччина	nʲimɛt͡ʃːenɐ
німий	nʲimɪi̯
німка	nʲimkɐ
ніс	nʲis
ніхто	nʲixtɔ
ніч	nʲit͡ʃ
нічий	nʲit͡ʃɪi̯
нічия	nʲit͡ʃejɑ
нічиє	nʲit͡ʃejɛ
нічиї	nʲit͡ʃeji
нічліг	nʲit͡ʃlʲiɦ
нічний	nʲit͡ʃnɪi̯
нічо	nʲit͡ʃɔ
ніщо	nʲiʃt͡ʃɔ
о	ɔ
об'єднання	ɔbjednɑnʲːɐ
об'єднання	ɔbjɛdnɐnʲːɐ
об'єднати	ɔbjednɑte
об'єднувати	ɔbjɛdnʊʋɐte
об'єкт	ɔbjɛkt
об'єктивний	ɔbjektɪu̯nei̯
об'єм	ɔbjɛm
об'ємний	ɔbjɛmnei̯
обговорення	ɔbɦɔwɔrenʲːɐ
обговорити	ɔbɦɔwɔrɪte
обговорювати	ɔbɦɔwɔrʲʊʋɐte
обдарований	ɔbdɐrɔʋɐnei̯
обдаровувати	ɔbdɐrɔwʊʋɐte
обдарувати	ɔbdɐrʊʋɑte
обдумати	obdumɐte
обдумувати	obdumʊʋɐte
обдурити	ɔbdʊrɪte
обдурювати	obdurʲʊʋɐte
обеззброювати	ɔbezːbrɔjʊʋɐte
обеззброїти	ɔbezːbrɔjite
оберегти	ɔbereɦtɪ
обережний	ɔberɛʒnei̯
обережно	ɔberɛʒnɔ
обережність	ɔberɛʒnʲisʲtʲ
оберігати	ɔberʲiɦɑte
обирати	ɔberɑte
обладнання	ɔbɫɐdnɑnʲːɐ
обладнання	ɔbɫɑdnɐnʲːɐ
обладнати	ɔbɫɐdnɑte
обладнувати	ɔbɫɑdnʊʋɐte
область	ɔbɫɐsʲtʲ
обличчя	ɔbɫɪt͡ʃʲːɐ
обманути	ɔbmɐnute
обманювати	ɔbmɑnʲʊʋɐte
обмежений	ɔbmɛʒenei̯
обмеженню	ɔbmɛʒenʲːʊ
обмеження	ɔbmɛʒenʲːɐ
обмеженням	ɔbmɛʒenʲːɐm
обмеженнями	ɔbmɛʒenʲːɐme
обмеженнях	ɔbmɛʒenʲːɐx
обмеженні	ɔbmɛʒenʲːi
обмежень	ɔbmɛʒenʲ
обмежити	ɔbmɛʒete
обмежувати	ɔbmɛʒʊʋɐte
обмін	ɔbmʲin
обмірковувати	ɔbmʲirkɔwʊʋɐte
обміркувати	ɔbmʲirkʊʋɑte
обов'язковий	ɔbɔʋjɐzkɔʋei̯
обов'язково	ɔbɔʋjɐzkɔwɔ
обов'язок	ɔbɔʋjɐzɔk
обожнювати	ɔbɔʒnʲʊʋɐte
обопільний	ɔbopʲilʲnei̯
оборона	ɔbɔrɔnɐ
оборонити	ɔbɔrɔnɪte
обороняти	ɔbɔrɔnʲɑte
ображати	ɔbrɐʒɑte
образ	ɔbrɐz
образити	ɔbrɑzete
образливий	ɔbrɑzɫeʋei̯
образний	ɔbrɐznei̯
обрати	ɔbrɑte
обрус	obrus
обрус	ɔbrʊs
обсерваторія	ɔbserʋɐtɔrʲijɐ
обставина	ɔbstɑʋenɐ
обстежити	ɔbstɛʒete
обстежувати	ɔbstɛʒʊʋɐte
обсяг	ɔbsʲɐɦ
обурення	oburenʲːɐ
обчислити	ɔbt͡ʃɪsɫete
обчислювати	ɔbt͡ʃɪsʲlʲʊʋɐte
обшук	ɔbʃʊk
обшукати	ɔbʃʊkɑte
обшукувати	obʃukʊʋɐte
обід	obʲid
обід	ɔbʲid
обідати	obʲidɐte
обідній	obʲidʲnʲii̯
обідній	ɔbʲidʲnʲii̯
обіцянка	ɔbʲit͡sʲɑnkɐ
обіцяти	ɔbʲit͡sʲɑte
обґрунтований	ɔbɡrʊntɔʋɐnei̯
обґрунтовувати	ɔbɡrʊntɔwʊʋɐte
обґрунтувати	ɔbɡrʊntʊʋɑte
овес	ɔʋɛs
оволодівати	ɔwɔɫɔdʲiʋɑte
оволодіти	ɔwɔɫodʲite
овоч	ɔwɔt͡ʃ
овочевий	ɔwɔt͡ʃɛʋei̯
овощ	ɔwɔʃt͡ʃ
овід	ɔʋʲid
огайо	ɔɦɑjɔ
огидливий	ɔɦɪdɫeʋei̯
огидний	ɔɦɪdnei̯
огляд	ɔɦlʲɐd
оглядати	ɔɦlʲɐdɑte
оглядини	ɔɦlʲɑdene
оглянути	ɔɦlʲɑnʊte
оголосити	ɔɦɔɫɔsɪte
оголошення	ɔɦɔɫɔʃenʲːɐ
оголошувати	ɔɦɔɫɔʃʊʋɐte
огірок	ɔɦʲirɔk
одежа	ɔdɛʒɐ
оден	ɔdɛn
одержати	ɔdɛrʒɐte
одержувати	ɔdɛrʒʊʋɐte
одержувач	ɔdɛrʒʊʋɐt͡ʃ
одержувача	ɔdɛrʒʊʋɐt͡ʃɐ
одержувачка	ɔdɛrʒʊʋɐt͡ʃkɐ
одержувачів	ɔdɛrʒʊʋɐt͡ʃʲiu̯
