کے	keː
قہ	qˈʌa
لانی	lˈaːni
لاہوری	laːhˈoːri
لمحوں	lˈʌmhˌõː
معاشیات	mˌaːʃiˈaːt
معرض	mˈaːrəz
مقالہ	məqˈaːlˌa
منگوائی	mˌənɡʋˈaːi
ناڈو	nˈaːɖoː
نمٹایا	nɪmʈˈaːjaː
نورالحق	noːrˈaːləhˌəq
نوع	nˈoː
نوٹیفیکشن	nˌoːʈifˈeːkʃan
نہاتے	nəhˈaːteː
نیلی	nˈeːli
والہ	ʋˈaːlˌa
وٹ	ʋˈʌʈ
ویڑن	ʋˈeːr.ən
ٹریس	ʈrˈeːs
ٹیرنس	ʈeːrˈʌns
پرچار	pərcˈaːr
پڑھیں	pˈʌr.hẽː
پھولنگر	phˈuːlnəɡˌər
پیکار	peːkˈaːr
چھٹکارہ	cʰʊʈkˈaːra
چھپائے	cʰəpˈaːeː
ڈاؤ	ɖˈaːoː
ڈسپنسری	ɖˌəsəpˈʌnsərˌiː
ڈیوٹیوں	ɖjuːʈˈiːõː
کاجواب	kˈaːɟʋaːb
کامنصوبہ	kˌaːmənʂˈuːba
کاٹتے	kˈaːʈtˌeː
کرب	kˈarb
کرفرار	kˌərəfrˈaːr
کرلیاہے	kˌərljˈaːheː
کودرپیش	kˌoːdərpˈiːʃ
کوکسی	kˈoːksˌiː
کوکوئی	koːkˈoːi
کوکیا	kˈoːkjaː
کھاتہ	kʰˈaːta
کھوج	kʰˈoːɟ
کھوکھلا	kʰˈoːkʰlˌaː
گردگرفتار	ɡˌərdəɡˌərəftˈaːr
گلیاں	ɡˈʌljãː
گھسنے	ɡʰˈʌsnˌeː
گیتا	ɡˈiːtaː
یئر	jəˈar
یادوں	jˈaːdõː
آررائے	ˌaːrrˈaːeː
ابدی	ˈabdˌiː
ازوقت	azˈoːqət
اسٹارز	ɪsʈˈaːrz
اشکبار	ˌaʃəkbˈaːr
انڈا	ˈanɖaː
انگوٹھے	ˌanɡˈoːʈʰeː
اوربے	ˈoːrbˌeː
اپٹما	ˈapəʈmaː
اہلکا	ˈahəlkaː
ایڈورڈ	eːɖˈoːrɖ
بادلوں	bˈaːdlˌõː
باسی	bˈaːsi
برین	bərˈiːn
بیسویں	bˈeːsʋẽː
بیسڈ	bˈeːsəɖ
ثبت	sˈʌbət
جلایا	ɟəlˈaːjaː
جلنے	ɟˈʌlnˌeː
جھونک	ɟʰˈoːnək
جھڈو	ɟʰˈʌɖoː
حفظان	hˌəfʐˈaːn
داعی	daːˈaːi
دنیاوی	dʊnˈiːaːʋˌiː
رانگ	rˈaːnɡ
رفحان	rˌəfhˈaːn
رفقاء	rˌʊfaqˈaː
رومی	rˈoːmi
رڈ	rˈʌɖ
رہنماتحریک	rˈɛhnəmˌaːtəhˌərik
رہو	rˈʌhoː
زکی	zˈʌki
سبکی	sˈʊbʊkˌiː
سفا	sˈʌfaː
سلائی	səlˈaːi
سمسٹر	səmˈʌsʈər
سیخ	sˈiːx
سیراب	seːrˈaːb
سیڑھی	sˈiːr.hi
ضی	zˈiː
عائدکردی	aːˈɪdəkrdi
فرزندان	fˌərəzndˈaːn
فشاں	fˈɪʃãː
فضہ	fˈʌzˌa
فقط	faqˈat
قل	qˈʌl
للہ	lˈʌlˌa
لگاتا	ləɡˈaːtaː
لہجہ	lˈɛhɟəˌa
محاذوں	məhˈaːzõː
مصلحتوں	mˈʌʂəlˌəhətˌõː
مصور	mʊʂˈaʋʋɪr
مقتدر	mʊqtˈadɪr
مناسک	mənˈaːsək
مٹول	məʈˈoːl
میلنگ	mˈeːlənɡ
میلو	mˈeːloː
میکانزم	meːkˈaːnəzˌəm
نابالغ	naːbˈaːlɪɣ
ناخوش	naːxˈoːʃ
نجفی	nˈʌɟfˌiː
نکلتی	nɪkˈalti
والدکا	ʋˈaːlədkaː
ورسٹی	ʋərˈʌsʈi
وزیرنے	ʋəzˈiːrnˌeː
وقتوں	ʋˈʌqtˌõː
ٹاورز	ʈaːʋˈʌrz
پاسکو	pˈaːskˌoː
پاکر	pˈaːkər
پراسیکیوٹرز	pˌəraːsˌiːkeːoːʈˈʌrz
پراپنے	pərˈaːpnˌeː
پرموجود	pˌərmoːɟˈuːd
پلازے	pəlˈaːzeː
ڈرونز	ɖərˈoːnəz
ڈوبا	ɖˈuːbaː
کاک	kˈaːk
کرادیں	kərˈaːdẽː
کراچر	kərˈaːcər
کفار	kəfˈaːr
کوبے	kˈoːbeː
کونشانہ	kˌoːnɪʃˈaːna
کھولیں	kʰˈoːlẽː
گاجس	ɡˈaːɟəs
گرانفروشوں	ɡˌəraːnˌəfrˈoːʃõː
گرنیڈ	ɡˌərnˈiːɖ
گلدستے	ɡʊldˈasteː
گنجان	ɡənɟˈaːn
گھٹیا	ɡʰˈʌʈjaː
ہنڈریڈ	hˌənɖərˈiːɖ
ہیپی	hˈeːpi
یونینز	jɔnˈiːnəz
اجر	ˈaɟr
اسلوب	ˌʊslˈuːb
اظہارکرتے	ɪʐhˈaːrkərteː
اعظمی	ˈaːʐmˌiː
افسانے	ˌafsˈaːneː
اقتصادیات	ˌɪqtɪʂˌaːdiˈaːt
اناج	anˈaːɟ
انچارجز	ˈancaːrˌəɟəz
اورینٹ	oːrˈiːnʈ
اوپیک	oːpˈiːk
اکائیوں	akˈaːiˌõː
ایکسین	ˌeːksˈiːn
بارپھر	bˈaːrəpʰˌər
بدفعلی	bˌədfˈaːli
بدلی	bˈʌdlˌiː
برادرز	bˌɪraːdˈarz
بزم	bˈazm
بھوتانی	bʰoːtˈaːni
بہرام	bˈɛhraːm
بیٹھک	bˈeːʈʰək
تھیلا	tʰˈeːlaː
تھیلیسیمیا	tʰˌeːlisˈiːmjaː
تینتالیس	tˌeːntaːlˈiːs
جانباز	ɟˈaːnɪbˌaːz
جستجو	ɟˈʊstˌʊɟuː
حلیف	həlˈiːf
درایں	dərˈaːẽː
درندے	darˈɪndeː
دستک	dˈastak
دورکنی	dˈoːrəkni
دیوانہ	dˈiːʋaːna
ذخیرے	zəxˈiːreː
رایم	raːjˈam
رجمنٹ	rˈʌɟəmˌənʈ
روزمیں	rˈoːzmˌẽː
روف	rˈoːf
رکوا	rˈʊkʋaː
رینک	rˈeːnək
زمتو	zˈʌmtˌoː
سج	sˈʌɟ
سریش	sərˈiːʃ
سسرال	sʊsrˈaːl
سفاکانہ	sˌəfaːkˈaːnˌa
سمگلروں	sˈʌməɡˌəlrˌõː
سنہرے	sʊnˈɛhreː
شردھا	ʃˈʌrdʰaː
شکوے	ʃˈɪkʋeː
صدراشرف	ʂˌədrˈaːʃɪrˌəf
صدف	ʂˈʌdəf
عرضی	ˈarzi
غ	ɣˈa͡ɪn
فارمنگ	fˈaːrəmˌənɡ
فاریسٹ	faːrˈiːsʈ
قیمے	qˈeːmeː
لٹک	lˈʌʈək
لیفٹینٹ	lˌeːfʈˈiːnʈ
لینز	lˈeːnz
ماریا	mˈaːrjaː
مباحثے	məbˈaːhəsˌeː
مبارکہ	məbˈaːrəka
مزمت	mˈʌzəmˌət
مشوروں	məʃˈoːrõː
مقدارمیں	mɪqdˈaːrmẽː
موٹاپا	moːʈˈaːpaː
میلوں	mˈeːlõː
نغموں	nˈaɣmõː
نمٹ	nɪmˈaʈ
نکیال	nəkjˈaːl
واڈا	ʋˈaːɖaː
وفدسے	ʋˈʌfədseː
ٹرانسپورٹیشن	ʈrˌaːnsəpˈoːrʈeːʃˌan
پرساد	pˌərsˈaːd
پچانوے	pəcˈaːnʋeː
پھندا	pʰˈʌndaː
پھینٹیں	pʰˈeːnʈẽː
پہلووٴں	pˈeːhˈeːlˈaːmˈoːˈoːlˈetəcʰˈehsˈaːtcˈaːrnˈuːnɣʊnnˌa
پیتے	pˈiːteː
چوراسی	coːrˈaːsi
چوراہوں	coːrˈaːhõː
چوہدر	cˈoːhədˌər
چیدہ	cˈeːda
چیر	cˈeːr
ڈالروں	ɖˈaːlrˌõː
ڈانٹ	ɖˈaːnʈ
ڈانگ	ɖˈaːnɡ
ڈوگدرہ	ɖˈoːɡədˌərˌa
ڈٹے	ɖˈʌʈeː
کااہم	kaːˈaːhəm
کانگووائرس	kˌaːnɡʋʋˈa͡ɪrəs
کاٹھاٹھیں	kaːʈʰˈaːʈʰẽː
کرارا	kərˈaːraː
کریٹ	kərˈiːʈ
کھلونا	kʰəlˈoːnaː
کھود	kʰˈoːd
کیپنگ	kˈeːpɪnɡ
گڈانی	ɡəɖˈaːni
گڈگورننس	ɡˌəɖɡˌoːrənˈʌns
گھروالوں	ɡʰərʋˈaːlõː
گھومتے	ɡʰˈoːmtˌeː
یکسوئی	jˈaksuːˌiː
آبرو	ˈaːbruː
آگرہ	ˈaːɡəra
اجا	ˈaɟaː
اسٹوڈنٹس	ˌɪsʈoːɖənˈʌʈs
افیسر	afˈiːsər
الرجی	alrˈʌɟi
العزت	alɪzzˈat
انتطامیہ	ˌɪntɪtaːmˈiːa
انٹل	ˈanʈəl
اوردو	ˈoːrdoː
اورچین	ˈoːrcin
اٹھتا	ˈʊʈʰtaː
باقائدہ	baːqˈa͡ɪda
باگ	bˈaːɡ
بردارفورس	bˌərdaːrfˈoːrəs
بلیئر	bˌəliˈar
بندرگاہوں	bˌəndərɡˈaːhõː
بٹورنے	bəʈˈoːrnˌeː
بینظیربھٹو	bˌeːnʐˈiːrəbʰʈoː
بیڑا	bˈeːr.aː
تجھے	tˌʊɟʰeː
تذبذب	tazˈabzʊb
تلا	tˈʌlaː
تناول	tənˈaːʋəl
تھاجس	tʰˈaːɟəs
تھیبو	tʰˈeːboː
جابر	ɟˈaːbɪr
جاے	ɟˈaːeː
جویریہ	ɟˌaʋirˈiːa
جید	ɟˈeːd
حرکتیں	hˈarkatˌẽː
دشمنان	dˌʊʃmanˈaːn
دقیقہ	dəqˈiːqˌa
دلیر	dəlˈiːr
دہرے	dˈɔhreː
ربط	rˈabt
رمنا	rˈʌmnˌaː
روپڑی	rˈoːpr.ˌiː
ریاضی	rjˈaːzi
ریفریز	rˌeːfrˈiːz
ریڈر	rˈiːɖar
سنوارنے	sənʋˈaːrnˌeː
سورس	sˈoːrəs
سٹک	sˈʌʈək
سٹیو	sʈˈeːoː
سیٹنگ	sˈeːʈɪnɡ
شاداب	ʃaːdˈaːb
شاہراہیں	ʃˈaːhraːhˌẽː
شاہو	ʃˈaːhoː
شہداد	ʃˈɛhdaːd
شیروں	ʃˈeːrõː
شیوسینا	ʃˌeːoːsˈiːnaː
صابن	ʂˈaːbɪn
صنعاء	ʂˈʌnaː
طمانچہ	təmˈaːnca
علیہا	alˈiːhaː
غیررجسٹرڈ	ɣˌeːrərˌəɟəsʈˈʌrɖ
فائٹرز	fa͡ɪʈˈʌrz
فرعون	fɪrˈa͡ʊn
فنون	fʊnˈuːn
لابنگ	lˈaːbənɡ
لانچنگ	lˈaːncənɡ
لسٹیں	lˈʌsʈẽː
لٹ	lˈʌʈ
لیکج	lˈeːkəɟ
مانتا	mˈaːntˌaː
مدار	mədˈaːr
مدافعت	mˌʊdaːfɪˈat
مروجہ	mʊrˈaʋʋɪɟˌa
مرگ	mˈarɡ
مریکہ	mərˈiːkˌa
منشا	mˈʌnʃˌaː
منموہن	mˌənmˈuːhən
منٹس	mənˈʌʈs
منڈیاں	mˈʌnɖjãː
ناچاقی	naːcˈaːqi
ناگ	nˈaːɡ
نزہت	nʊzhˈat
نسق	nˈʌsəq
نظمیں	nˈʌʐmˌẽː
نوشین	noːʃˈiːn
وتربیت	ʋˌətərˌəbiˈat
وجذبے	ʋˈʌɟəzbeː
وردھنے	ʋˈʌrdʰənˌeː
ٹارگیٹ	ʈˌaːrɡˈiːʈ
ٹرینر	ʈrˈeːnr
ٹینشن	ʈˈeːnəʃˌən
پرواپڈا	pərʋˈaːpɖˌaː
پشاورشہر	pəʃˈaːʋərˌəʃəhˌər
پھیلتی	pʰˈeːltˌiː
چھاتی	cʰˈaːti
چھیاسٹھ	cʰjˈaːsʈʰ
ڈائریکشن	ɖa͡ɪrˈeːkʃan
ڈسٹر	ɖˈɪsʈr
ڈھا	ɖʰˈaː
کادہشتگردوں	kaːdˈɛhʃˈatɡərdˌõː
کاشکریہ	kˌaːʃɪkrˈiːa
کرادئیے	kərˈaːdjˌeː
کریئر	kˌəriˈar
کلیجی	kalˈeːɟi
کنفرم	kˈʌnəfˌərəm
کوٹیلی	koːʈˈiːli
کھوکھلے	kʰˈoːkʰlˌeː
کہاوت	kəhˈaːʋət
کیاجارہاہے	kjˌaːɟaːrhˈaːheː
کیپسول	kˌeːpsˈoːl
کےبعد	keːbˈaːd
گرہ	ɡɪrˈah
گوری	ɡˈoːri
گپ	ɡˈʌp
گھبرانے	ɡʰˌəbrˈaːneː
ہاوسنگ	hˈaːʋsˌɪnɡ
ہاوٴسز	hˈeːˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːrsˈiːnzˈeː
ہلیری	həlˈiːri
آبزرویٹری	ˌaːbəzrʋˈiːʈrˌiː
آزادکشمیرکے	ˌaːzaːdˌəkəʃmˈiːrkˌeː
اترپردیش	ʊtˈarpərdˌiːʃ
اسپن	ˈɪspən
اسکیمیں	ˌaskˈiːmẽː
افتادہ	ʊftˈaːda
افشاں	ˈafʃˌãː
البدل	albˈʌdəl
الدعوہ	aldˈaːʋˌa
الرحیم	alrəhˈiːm
اندرا	ˈɪndɪrˌaː
اننت	ˈanənˌət
اورکراچی	ˌoːrəkrˈaːci
ایفا	ˈeːfaː
ایپکا	ˈeːpkˌaː
ایچی	ˈeːci
ایکسٹینشن	ˌeːksʈˈiːnəʃˌən
باجی	bˈaːɟi
بادینی	baːdˈiːni
بالرز	baːlˈʌrz
باندی	bˈaːndi
باوٴلرز	bˈeːˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːrlˈaːmrˈeːzˈeː
برسبین	bˌərəsbˈiːn
برملا	bˈʌrəmlaː
بلڈر	bˈʌlɖər
بھرم	bʰˈʌrəm
بھولا	bhˈuːlaː
جوہی	ɟˈoːhi
جھولی	ɟʰˈoːli
حوا	hˈaʋaː
خرابیاں	xərˈaːbjãː
دنیش	dənˈiːʃ
دگنا	dˈʌɡnˌaː
دینہ	dˈeːna
راک	rˈaːk
رخنہ	rˈaxna
رسوا	rˈʊsʋaː
رقت	rɪqˈat
ریمانڈپر	reːmˈaːnɖəpˌər
ریپبلکن	rˈeːpəbˌələkˌən
زرین	zərˈiːn
سرپلس	sˈʌrəpˌələs
سوریا	sˈoːrjaː
سہالہ	səhˈaːlˌa
سیقتل	sˈeːqətˌəl
سیلف	sˈeːlf
سیپکو	sˈeːpkˌoː
شرٹ	ʃˈʌrʈ
شیٹی	ʃˈeːʈi
صوفیہ	ʂoːfˈiːa
عربیہ	ˌarbˈiːa
فارمولہ	fˌaːrmˈoːlˌa
فریڈم	fərˈiːɖəm
قوں	qˈõː
لگوا	lˈʌɡʋaː
لیزا	lˈeːzaː
مادری	mˈaːdrˌiː
مانگتا	mˈaːnɡtaː
متقی	mʊtˈaqi
محر	mˈʌhər
محکوم	mɛhkˈuːm
منگیتر	mˈanɡeːtˌar
مولی	mˈoːli
مڑ	mˈʊr.
مہمانان	mˈɛhmaːnˌaːn
میرانی	meːrˈaːni
نامساعد	nˌaːmsˈaːɪd
ناپسندیدہ	nˌaːpəsndˈiːda
وزار	ʋəzˈaːr
ولایت	ʋˌəlaːjˈat
ومشائخ	ʋˌəmʃˈa͡ɪx
ٹرافیاں	ʈrˈaːfjãː
ٹھہرا	ʈʰˈɛhraː
پرمنتقل	pˈʌrəmˌənətˌəqəl
پرومو	prˈoːmoː
پروڈیوس	prˈoːɖjuːs
پشتونخوا	pˌəʃtoːnˈʌxʋaː
چائنیز	ca͡ɪnˈiːz
چوہے	cˈoːheː
ڈائریکٹرجنرل	ɖa͡ɪrˈeːkʈərˌəɟənˌərəl
ڈاکٹرعشرت	ɖˈaːkʈarˌaːʃərˌət
ڈوئل	ɖoːˈɪl
ڈھل	ɖʰˈʌl
کالاشاہ	kˌaːlaːʃˈaːh
کالجیٹ	kˌaːlɟˈiːʈ
کررکھے	kˈʌrərkʰeː
کرونگی	kərˈoːnɡˌiː
کوئین	koːˈiːn
کوحل	kˈoːhəl
کوکنگ	kˈoːkɪnɡ
گجرانوالہ	ɡˌəɟrˈaːnʋaːla
گرافر	ɡərˈaːfɪr
گریڈکیا	ɡrˈeːɖkjaː
ہریتک	hərˈiːtək
ہیپا	hˈeːpaː
ینگے	jˈʌnɡˌeː
آبادسے	aːbˈaːdsˌeː
آسکی	ˈaːskˌiː
آسیان	ˈaːsjaːn
آماجگاہ	ˌaːmaːɟɡˈaːh
احتجاجا	ˌɛhtɪɟˈaːɟaː
اختیارت	ˈaxtjaːrˌət
ادھورے	adʰˈuːreː
استطاعت	ˌɪstɪtˈaːat
استعمار	ˌɪsteːmˈaːr
اشخاص	ˌaʃxˈaːʂ
الحسنات	alhʊsnˈaːt
الرزاق	alrəzˈaːq
الماس	almˈaːs
النصرہ	alnˈʌʂəra
الٹرا	ʊlˈaʈraː
امارت	amˈaːrət
امتزاج	ˌɪmtɪzˈaːɟ
اندوہناک	andˈoːhnaːk
اوچ	ˈoːc
اکسٹھ	akˈʌsʈʰ
ایشیئن	ˌeːʃiˈɪn
ایڈجسٹ	ˈeːɖəɟɪsʈ
ایگل	ˈeːɡəl
بارڈرسے	bˈaːrɖərseː
بتی	bˈʌti
بساط	bəsˈaːt
بستروں	bɪstˈarõː
بولیوڈ	bˌoːleːˈoːɖ
بوہری	bˈoːhri
بھگانے	bʰəɡˈaːneː
تحریروں	tɛhrˈiːrõː
تختی	tˈʌxtˌiː
تیموری	teːmˈoːri
جائی	ɟˈaːi
جوتا	ɟˈoːtaː
جھانسہ	ɟʰˈaːnsəˌa
حربہ	hˈʌrəba
خاصیت	xˌaːʂiˈat
خریدتے	xərˈiːdtˌeː
درباری	dˌərbˈaːri
رافیل	raːfˈiːl
سرکریک	sˌərəkrˈiːk
سزاء	sˈʌzaː
سلیمانی	sˌəlimˈaːni
سنبھالی	sənbʰˈaːli
سنڈی	sˈʌnɖi
سوزش	sˈoːzɪʃ
سوفٹ	sˈoːfəʈ
سکالرز	sˌəkaːlˈʌrz
سیلرز	seːlˈʌrz
سیما	sˈeːmaː
سیمپل	sˈeːmpəl
سیکو	sˈeːkoː
ظریفی	ʐərˈiːfi
عمارہ	ɪmˈaːrˌa
فراست	fˌaraːsˈat
فعالیت	fˌaːliˈat
لارنس	laːrˈʌns
لکھتا	lˈɪkʰtaː
لگوانے	ləɡʋˈaːneː
لیٹرل	lˈeːʈərˌəl
مجمل	mˈʌɟəmˌəl
محاصرے	məhˈaːʂrˌeː
محمدشہبازشریف	mˌəhəmˌədəʃhbaːzˌəʃrˈiːf
محمودالرشید	mˌɛhmuːdˌaːlərʃˈiːd
مستعدی	mʊstˈaːdi
مستی	mˈʌstˌiː
مشاعرے	mʊʃˈaːɪrˌeː
مینیجنگ	meːnˈiːɟənɡ
نمٹیں	nˈɪmʈẽː
نڈر	nˈʌɖər
نیوٹرل	neːˈoːʈərˌəl
والٹن	ʋˈaːləʈˌən
ومرمت	ʋˈʌmərˌəmət
ٹاﺅن	ʈaːˈoːn
ٹرے	ʈrˈeː
ٹکٹس	ʈˈɪkɪʈs
ٹیکنگ	ʈˈeːkɪnɡ
پبی	pˈʌbi
پوویلین	pˈaʋʋilˌiːn
پھسل	pʰɪsˈal
پیرکوہو	pˌeːrkˈoːhoː
ڈرائنگ	ɖərˈa͡ɪnɡ
ڈھیروں	ɖʰˈeːrõː
ڈیمو	ɖˈeːmoː
کاحکومت	kaːhˌʊkuːmˈat
کاوٴنٹی	kˈaːfˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːrnˈuːnʈˈeːcʰoːʈˈiːjeː
کراکے	kərˈaːkeː
کرایے	kərˈaːjeː
کوتاہیوں	koːtˈaːhiˌõː
کونہیں	kˈoːnhˌẽː
کوکراچی	kˌoːkrˈaːci
گایا	ɡˌaːjaː
گذارش	ɡʊzˈaːrəʃ
گمنام	ɡˌəmnˈaːm
گنپتی	ɡˈʌnpətˌiː
گوشواروں	ɡˈoːʃʋaːrˌõː
گپٹل	ɡˈʌpəʈˌəl
آجا	ˈaːɟaː
اصطلاح	ˌɪʂtɪlˈaːh
اغواکار	ˈaɣʋaːkˌaːr
افق	ʊfˈaq
الجھا	ˈʊlɟhaː
الفردوس	alfɪrdˈɔːs
القدیر	alqədˈiːr
انتہاپسندوں	ˌɪntɪhˌaːpəsˈʌndõː
اندازمیں	ˈandaːzmẽː
اندھیرا	ˈandʰeːrˌaː
اورایم	ˌoːraːjˈam
اونچائی	ˈuːncaːˌiː
اٹھانوے	aʈʰˈaːnʋeː
اکوڑہ	akˈoːr.ˌa
باغبان	bˌaːɣbˈaːn
بتاتی	bətˈaːti
برتیں	bˈʌrtˌĩː
بصارت	bəʂˈaːrət
بلیدی	bəlˈiːdi
بہانوں	bəhˈaːnõː
تعز	tˈaːz
جاریہ	ɟaːrˈiːa
جز	ɟˈʊz
جنرز	ɟənˈʌrz
جنڈولہ	ɟənɖˈoːlˌa
حجام	həɟˈaːm
خفت	xɪffˈat
درخشاں	dˈʌrəxʃãː
دورحکومت	dˌoːrhˌʊkuːmˈat
دھاگے	dʰˈaːɡeː
ریز	rˈeːz
سامراج	sˌaːmrˈaːɟ
سامعین	sˌaːmaˈiːn
سجے	sˈʌɟeː
سپلائر	sˌəplˈa͡ɪr
سیپ	sˈiːp
سیگل	sˈeːɡəl
سےنکال	sˌeːnkˈaːl
شتہ	ʃˈʌta
ششی	ʃˈʌʃi
شوشل	ʃˈoːʃəl
عبارت	ˌɪbaːrˈat
عینک	aˈiːnək
غیرمعینہ	ɣˌeːrmaˈiːnˌa
لاالہ	laːˈaːlˌa
لگاؤ	ləɡˈaːoː
مئوثر	məˈoːsər
ماریں	mˈaːrẽː
متنی	mˈʌtnˌiː
متوالوں	mətʋˈaːlõː
مرغیوں	mˈʊrɣiˌõː
مضاربہ	məzˈaːrəba
ملائم	mʊlˈaːɪm
منیشا	mənˈiːʃaː
میان	mjˈaːn
میراتھن	meːrˈaːtʰən
نسلنگ	nˈʌsəlˌənɡ
نوازلیگ	nˈaʋaːzliɡ
وائٹس	ʋˈa͡ɪʈs
وائیں	ʋˈaːẽː
ولن	ʋɪlˈan
ومشکلات	ʋˌəməʃˌəkəlˈaːt
وینٹی	ʋˈeːnʈi
ٹائٹس	ʈˈa͡ɪʈs
ٹویوٹا	ʈˌaʋeːˈoːʈaː
ٹیکوں	ʈˈiːkõː
پارسے	pˈaːrsˌeː
پالی	pˈaːli
پانڈے	pˈaːnɖeː
پراپیگنڈے	pˌəraːpiɡˈʌnɖeː
پرخواتین	pˌərxʋaːtˈiːn
پونڈ	pˈoːnɖ
پٹواریوں	pəʈʋˈaːriˌõː
پینٹنگ	pˈeːnʈɪnɡ
چالو	cˈaːloː
چاہوں	cˈaːhõː
ڈومیسائل	ɖˌoːmisˈa͡ɪl
ڈھونگ	ɖʰˈoːnɡ
ڈیانا	ɖjˈaːnaː
کارفرما	kˈaːrəfˌərmˌaː
کرناچاہتے	kˌərnaːcˈaːhteː
کریگ	kərˈiːɡ
کشمش	kˈʌʃəmˌəʃ
کمبائنڈ	kəmbˈa͡ɪnɖ
کوبڑی	kˈoːbr.ˌiː
کولر	kˈoːlər
کیجریوال	kˌeːɟreːʋˈaːl
گوریلا	ɡoːrˈiːlaː
ہائیڈرنٹس	hˌaːiɖˌərənˈʌʈs
ہسپانوی	hˌəspˈaːnʋi
ہمسائیگی	hˌəmsaːˈiːɡi
ہیل	hˈeːl
یرقان	jˌərqˈaːn
آنجہانی	ˈaːnɟəhˌaːni
آپریٹ	ˌaːprˈiːʈ
ائے	ˈa͡ɪeː
احادیث	ˌahaːdˈiːs
اداکاراسدقریشی	ˌadaːkˌaːraːsˌədəqrˈiːʃi
اعجازبٹ	aːɟˈaːzəbˌəʈ
المساجد	alməsˈaːɟɪd
الی	ˈali
انس	ˈʊns
انضباطی	ˌɪnzɪbˈaːti
انٹربینک	ɪnʈˈarbinˌək
اوراپنی	oːrˈaːpnˌiː
اوربلوچستان	ˌoːrəbloːcɪstˈaːn
اورتحریک	ˌoːrətˌəhərˈiːk
اورقومی	ˌoːrqˈoːmi
اویسی	oːˈiːsi
اکادمی	akˈaːdmˌiː
اکہتر	ˈakəhˌətər
اگرصبر	ˈaɡərˌəʂəbˌər
ایئرچیف	eːˈarcif
برمی	bˈʌrmˌiː
بقائے	bəqˈaːeː
بوریاں	bˈoːrjãː
بچاو	bəcˈaːoː
بھیر	bʰˈeːr
تقریریں	tˌəqrˈiːrẽː
توبہت	tˈoːbəhˌət
تہ	tˈa
تہتر	tˈɛhtər
جارح	ɟˈaːrɪh
جانئےماہر	ɟˌaːneːmˈaːhər
جھاڑیوں	ɟʰˈaːr.iˌõː
حادثاتی	hˌaːdsˈaːti
حضرو	hˈʌzrˌoː
حیدرپانے	hˌeːdərpˈaːneː
خسرو	xˈʊsroː
دادرسی	dˈaːdərsi
دعویداروں	dˌaːʋidˈaːrõː
دوسرایہ	dˈuːsraːjˌa
دوماہ	doːmˈaːh
دوپٹہ	dˈoːpəʈa
دھرن	dʰˈʌrən
دیدیں	dˈiːdẽː
دیپالپور	dˌeːpaːlpˈoːr
دیکھئے	dˈeːkʰˌeː
رواردو	raʋˈaːrdoː
رومانس	roːmˈaːns
زرد	zˈʌrd
زردی	zˈʌrdi
زیربحث	zˈeːrəbˌəhəs
سالٹ	sˈaːlʈ
سالے	sˈaːleː
سدھار	sədʰˈaːr
سور	sˈoːr
شعراجدید	ʃˈɔraːɟdid
شناسی	ʃənˈaːsi
ضہ	zˈʌa
طبع	tˈʌbaː
طوری	tˈoːri
عما	ˈamaː
غبن	ɣˈʌbən
فائٹر	fˈa͡ɪʈər
فصلات	fˈaʂlaːt
فلائٹس	fəlˈa͡ɪʈs
قلعی	qəlˈai
قند	qˈʌnd
لایاجائے	lˌaːjaːɟˈaːeː
لبریزہوگیا	lˌəbrˌiːzhˈoːɡjaː
لرز	lˈʌrəz
لینوو	lˈeːnʋoː
مالم	mˈaːlɪm
متعدزخمی	mʊtˈaːdəzˌəxmˌiː
مدھیہ	mədʰˈiːa
مزدا	mˈʌzdˌaː
مستعد	mˌəstˈaːd
مطاف	mətˈaːf
معمور	mˈaːmuːr
مکھر	mˈʌkʰər
مگن	mˈʌɡən
مینی	mˈiːni
نابود	naːbˈoːd
نالیوں	nˈaːliˌõː
نبردآزما	nˌəbrdˈaːzmˌaː
نظری	naʐˈari
نوناری	noːnˈaːri
واجپائی	ʋˌaːɟpˈaːi
وبیرون	ʋˌəbirˈoːn
ورنگل	ʋˈʌrənˌəɡəl
وڈیرے	ʋəɖˈiːreː
ویکیپیڈیا	ʋˌeːkipˈiːɖjaː
پردستخط	pˈʌrdəsˌətəxˌət
پشاورہائی	pˌəʃaːʋˌərhˈaːi
پلندہ	pəlˈʌnda
پونٹنگ	pˈoːnʈɪnɡ
پکے	pˈʌkeː
پہلانشان	pˈɛhlaːnɪʃˈaːn
پہنچاتے	pahˈʊncaːtˌeː
پیرول	peːrˈoːl
پیشاب	peːʃˈaːb
چادریں	cˈaːdrˌẽː
چارافراد	cˌaːraːfrˈaːd
چاولہ	cˈaːʋəla
چلارہے	cəlˈaːrhˌeː
ڈول	ɖˈoːl
ڑیو	r.ˈeːoː
کمانڈرکی	kəmˈaːnɖərki
کمپلینٹ	kˌəmpəlˈiːnʈ
کوا	kˈaʋaː
کورے	kˈoːreː
کومکمل	kˈoːməkˌəməl
گاڑ	ɡˈaːr.
گلوچ	ɡəlˈoːc
گیتوں	ɡˈiːtõː
ہیلز	hˈeːləz
ہیوز	hˈeːʋəz
