က	ka̰
တဏှင်္ကရာ	tən̥ɪ̀ɴkəɹà
တဏှင်္ကရာဘုရား	tən̥ɪ̀ɴkəɹàpʰəjá
တဏှာ	tən̥à
တတိယ	ta̰tḭja̰
တတ်	daʔ
တတ်	taʔ
တတ်	ɴ
တတ်	ʔ
တန	ta̰na̰
တနင်္ဂနွေ	tənɪ̀ɴɡənwè
တနင်္လာ	tənɪ́ɴlà
တန်ခိုးရှင်	tàɴkʰóʃɪ̀ɴ
တန်ခူး	dəɡú
တန်ဆောင်မုန်း	dəzàʊɴmóʊɴ
တန်ဇေးနီးယား	tàɴzéníjá
တပည့်တော်	dəbḭdɔ̀
တပည့်တော်မ	dəbḭdɔ̀ma̰
တပို့တွဲ	dəbo̰dwɛ́
တပေါင်း	dəbáʊɴ
တပေါင်းလပြည့်နေ့	dəbáʊɴla̰pjḭnḛ
တပ်	taʔ
တပ်ကြပ်	taʔt͡ɕaʔ
တပ်ကြပ်ကြီး	taʔt͡ɕaʔt͡ɕí
တပ်ခွဲတပ်ကြပ်ကြီး	taʔkʰwɛ́taʔt͡ɕaʔt͡ɕí
တပ်မတော်	taʔmədɔ̀
တပ်မတော်နေ့	taʔmədɔ̀nḛ
တဘက်	dəbɛʔ
တမန်	təmàɴ
တမန်တော်	təmàɴdɔ̀
တမလန်း	təməláɴ
တယော	təjɔ́
တယ်	tɛ̀
တယ်လီဖုန်း	tɛ̀lìpʰóʊɴ
တယ်လီဗီးရှင်း	tɛ̀lìbíʃɪ́ɴ
တရား	təjá
တရားခံ	təjəkʰàɴ
တရားစွဲ	təjáswɛ́
တရားရုံး	təjájóʊɴ
တရားလွှတ်တော်	təjál̥ʊʔtɔ̀
တရားလွှတ်တော်ချုပ်	təjál̥ʊʔtɔ̀d͡ʑoʊʔ
တရားသူကြီး	təjáðùd͡ʑí
တရုတ်	təjoʊʔ
တရုတ်စံကား	ta̰joʊʔsàɴká
တရုတ်ဆီးသီး	təjoʊʔzíθí
တရုတ်နံနံ	ta̰joʊʔnàɴnàɴ
တရုတ်နှင်းသီး	ta̰joʊʔn̥ɪ́ɴθí
တရုတ်မဆလာ	təjoʊʔməsʰəlà
တလည်း	təlé
တလိုင်း	təláɪɴ
တလွဲ	təlwɛ́
တာချီလိတ်	tàt͡ɕʰìleɪʔ
တာဂျစ်ကစ္စတန်	tàd͡ʑɪʔkɪʔsətàɴ
တာတား	tàtá
တာမွေ	tàmwè
တာယာ	tàjà
တာရာ	tàjà
တာလုဇ	tàlṵza̰
တာဝတိံသာ	tàwa̰tèɪɴθà
တာဝန်	tàwʊ̀ɴ
တာ့ခ်မင်နစ္စတန်	ta̰kʰmɪ̀ɴnɪʔsətàɴ
တား	tá
တိ	tḭ
တိတ်	teɪʔ
တိန်းညက်	téɪɴɲɛʔ
တိပိဋက	tḭpḭtəka̰
တိမ်	tèɪɴ
တိရစ္ဆာန်	təɹeɪʔsʰàɴ
တိရစ္ဆာန်ရုံ	təɹeɪʔsʰàɴjòʊɴ
တို	tò
တိုက်	taɪʔ
တိုက်ခန်း	taɪʔkʰáɴ
တိုက်ပုံ	taɪʔpòʊɴ
တိုက်ပွဲ	taɪʔpwɛ́
တိုက်အိမ်	taɪʔʔèɪɴ
တိုကျို	tòt͡ɕò
တိုဂို	tòɡò
တိုင်	tàɪɴ
တိုင်ကီ	tàɪɴkì
တိုင်ပင်	tàɪɴbɪ̀ɴ
တိုင်ဖွန်း	tàɪɴpʰʊ́ɴ
တိုင်းရင်းသား	táɪɴjɪ́ɴðá
တိုဖူး	tòpʰú
တိုရှေ	tòʃè
တိုဟူး	tòhú
တိုဟူးနွေး	tòhúnwé
တိုဟူးသုပ်	tòhúθoʊʔ
တို့	do̰
တိုး	tó
တိုးတက်	tótɛʔ
တိုးတက်ခြင်း	tótɛʔd͡ʑɪ̀ɴ
တိုးတက်ရေး	tótɛʔjé
တိုးတိုး	tódó
တိုးနရား	tónəjá
တိဿ	teɪʔθa̰
တိဿဘုရား	teɪʔθa̰pʰəjá
တီ	tì
တီကောင်	tìɡàʊɴ
တီကေ့	tìkḛ
တီထွင်	tìtʰwɪ̀ɴ
တီထွင်မှု	tìtʰwɪ̀ɴm̥ṵ
တီဗီ	tìbì
တီရှပ်	tìʃaʔ
တီဟီရန်	tìhìɹàɴ
တီး	tí
တီးတိုးပြော	tídópjɔ́
တုတ်	doʊʔ
တုတ်မီး	doʊʔmí
တုံး	tóʊɴ
တူ	tù
တူနီးရှား	tùníʃá
တူမ	tùma̰
တူရကီ	tùɹəkì
တူရိယာ	tùɹḭjà
တူး	tú
တူးမြောင်း	túmjáʊɴ
တူးရစ်	túɹɪʔ
တေဇော	tèzɔ́
တေသံ	tèðàɴ
တော	tɔ́
တောက်တဲ့	taʊʔtɛ̰
တောက်ပ	taʊʔpa̰
တောကြက်မောက်	tɔ́t͡ɕɛʔmaʊʔ
တောခွေး	tɔ́ɡwé
တောင်	tàʊɴ
တောင်ကိုရီးယား	tàʊɴkòɹíjá
တောင်ကြား	tàʊɴd͡ʑá
တောင်ကြီး	tàʊɴd͡ʑí
တောင်ငူ	tàʊɴŋù
တောင်ဆူဒန်	tàʊɴsʰùdàɴ
တောင်ပံ	tàʊɴbàɴ
တောင်ဖက်ဝန်း	tàʊɴpʰɛʔwʊ́ɴ
တောင်သူ	tàʊɴðù
တောင်သူလယ်သမား	tàʊɴðùlɛ̀ðəmá
တောင်သူလယ်သမားနေ့	tàʊɴðùlɛ̀θəmánḛ
တောင်အာဖရိက	tàʊɴʔàpʰəɹḭka̰
တောင်း	táʊɴ
တောင်းပန်	táʊɴbàɴ
တောမန်ကျည်း	tɔ́məd͡ʑí
တောသား	tɔ́ðá
တောသီတင်း	tɔ́θìdɪ́ɴ
တော်	tɔ̀
တော်ပြီ	tɔ̀bì
တော်လေးဝ	tɔ̀léwa̰
တော်လှန်	tɔ̀l̥àɴ
တော်လှန်ရေး	tɔ̀l̥àɴjé
တော်သလင်း	tɔ̀ðəlɪ́ɴ
တေးသံရှင်	téθàɴʃɪ̀ɴ
တေးသွား	téðwá
တဲ	tɛ́
တဲ့	dɛ̰
တံ	tàɴ
တံခါး	dəɡá
တံခါးဗိုလ်	dəɡábò
တံခွန်	dəɡʊ̀ɴ
တံခွန်တိုင်	dəɡʊ̀ɴdàɪɴ
တံငါ	təŋà
တံစဉ်	dəzɪ̀ɴ
တံစဉ်း	dəzɪ́ɴ
တံဆိပ်	dəzeɪʔ
တံဆိပ်ခေါင်း	dəzeɪʔɡáʊɴ
တံတား	dədá
တံတိုင်း	dədáɪɴ
တံတောင်	dədàʊɴ
တံပိုး	dəbó
တံပူ	dəbù
တံမြက်စည်း	dəbjɛʔsí
တံ့တံ့	ta̰ɴda̰ɴ
တြိ	təɹḭ
တြိဂံ	tɹḭɡàɴ
တြိပူရ	təɹḭpùja̰
တွက်	twɛʔ
တွင်	twɪ̀ɴ
တွင်း	twɪ́ɴ
တွန်း	tʊ́ɴ
တွပ်	tʊʔ
တွေ့	twḛ
တွေး	twé
ထ	tʰa̰
ထက်	tʰɛʔ
ထက်ဝယ်ဖွဲ့ခွေ	tʰɛʔwɛ̀pʰwɛ̰kʰwè
ထင်	tʰɪ̀ɴ
ထင်စား	tʰɪ̀ɴzá
ထင်း	tʰɪ́ɴ
ထဆင်ထူး	tʰa̰sʰɪ̀ɴdú
ထည်	tʰɛ̀
ထနောင်း	tʰənáʊɴ
ထန်း	tʰáɴ
ထန်းလျက်	tʰəɲɛʔ
ထပ်	tʰaʔ
ထပ်တစ်ရာ	tʰaʔtəjà
ထဘီ	tʰəmì
ထမင်း	tʰəmɪ́ɴ
ထမင်းကြော်	tʰəmɪ́ɴd͡ʑɔ̀
ထမင်းချဉ်	tʰəmɪ́ɴd͡ʑɪ̀ɴ
ထမင်းဆိုင်	tʰəmɪ́ɴzàɪɴ
ထမင်းသုပ်	tʰa̰mɪ́ɴθoʊʔ
ထမနဲ	tʰa̰ma̰nɛ́
ထယ်	tʰɛ̀
ထာဝရ	tʰàwəja̰
ထာဝရဥစ္စာ	tʰàwəja̰ʔoʊʔsà
ထား	tʰá
ထားဝယ်	dəwɛ̀
ထိ	tʰḭ
ထိကပေါက်	tʰḭɡəbaʊʔ
ထိပ်ခေါင်တင်	tʰeɪʔkʰàʊɴtɪ̀ɴ
ထိပ်စုဖုရား	tʰeɪʔsṵpʰəjá
ထိမ်းမြား	tʰéɪɴmjá
ထို	tʰò
ထိုင်	tʰàɪɴ
ထိုင်ခုံ	tʰàɪɴɡòʊɴ
ထိုင်ပေ	tʰàɪɴpè
ထိုင်မသိမ်း	tʰàɪɴməθéɪɴ
ထိုင်ဝမ်	tʰàɪɴwàɴ
ထိုင်း	tʰáɪɴ
ထိုမှာ	tʰòm̥à
ထိုး	tʰó
ထိုးမုန့်	tʰómo̰ʊɴ
ထီ	tʰì
ထီး	tʰí
ထီးတင်	tʰítɪ̀ɴ
ထီးဖြူ	tʰíbjù
ထုတ်ကုန်	tʰoʊʔkòʊɴ
ထုတ်လုပ်	tʰoʊʔloʊʔ
ထုတ်လုပ်မှု	tʰoʊʔloʊʔm̥ṵ
ထုတ်ဝေသူ	tʰoʊʔwèðù
ထုံးစံ	tʰóʊɴzàɴ
ထူ	tʰù
ထူထဲ	tʰùdɛ́
ထူပါ	tʰùpà
ထူး	tʰú
ထေရဝါဒ	tʰèja̰wàda̰
ထော	tʰɔ́
ထောက်	tʰaʊʔ
ထောက်ကြံ့	tʰaʊʔt͡ɕa̰ɴ
ထောက်ခံ	tʰaʊʔkʰàɴ
ထောက်ပံ့	tʰaʊʔpa̰ɴ
ထောင့်	da̰ʊɴ
ထောင်	tʰàʊɴ
ထောင်ကဲ	tʰàʊɴkɛ́
ထောင်မှူး	tʰàʊɴm̥ú
ထောင်သား	tʰàʊɴðá
ထောပတ်	tʰɔ́baʔ
ထောပတ်ထမင်း	tʰɔ́baʔtʰəmɪ́ɴ
ထောပတ်သီး	tʰɔ́paʔθí
ထော်လာဂျီ	tʰɔ̀làd͡ʑì
ထဲ	tʰɛ́
ထံ	tʰàɴ
ထွက်	tʰwɛʔ
ထွက်ပေါက်	tʰwɛʔpaʊʔ
ထွက်ပြေး	tʰwɛʔpjé
ထွန်	tʰʊ̀ɴ
ထွန်စက်	tʰʊ̀ɴzɛʔ
ထွန်း	tʰʊ́ɴ
ထွေး	tʰwé
ဒကာ	dəɡà
ဒက္ခိဏ	dɛʔkʰḭna̰
ဒဂုံ	dəɡòʊɴ
ဒင်္ဂါး	dɪ̀ɴɡá
ဒင်္ဂါးတိုက်	dɪ̀ɴɡádaɪʔ
ဒစ္စကို	dɪʔsa̰kò
ဒဏ္ဍာရီ	dàndàjì
ဒဏ်	dàn
ဒဏ်ငွေ	dànŋwè
ဒဏ်ရာ	dàɴjà
ဒထွေး	da̰dwé
ဒန့်သလွန်	da̰ɴðəlʊ̀ɴ
ဒန်ပူ	dəbù
ဒန်း	dáɴ
ဒသမ	da̰θəma̰
ဒါ	dà
ဒါန	dàna̰
ဒါပါပဲ	dàbàbɛ́
ဒါပေမဲ့	dàbèmɛ̰
ဒါပော့	dàpɔ̰
ဒိန်ခဲ	dèɪɴɡɛ́
ဒိန်ချဉ်	dèɪɴd͡ʑɪ̀ɴ
ဒိန်းမတ်	déɪɴmaʔ
ဒိုင်ခွက်	dàɪɴɡwɛʔ
ဒိုင်နိုဆော	dàɪɴnòsʰɔ́
ဒိုင်ယာနာ	dàɪɴjànà
ဒိုင်ယာရီ	dàɪɴjəɹì
ဒီ	dì
ဒီဂရီ	dìɡəɹì
ဒီဃ	dìɡa̰
ဒီဇင်ဘာ	dìzɪ̀ɴbà
ဒီဇိုင်နာ	dìzàɪɴnà
ဒီဇိုင်း	dìzáɪɴ
ဒီည	dìɲa̰
ဒီနေ့	dìnḛ
ဒီပင်္ကရာ	dìpɪ̀ɴkəɹà
ဒီပင်္ကရာဘုရား	dìpɪ̀ɴkəɹàpʰəjá
ဒီပါ	dìpà
ဒီပါဝလီ	dìpàwəlì
ဒီဗီဒီ	dìbìdì
ဒီမိုကရေစီ	dìmòkəɹèsì
ဒီမှာ	dìm̥à
ဒီလို	dìlò
ဒီဟာ	dìhà
ဒု	dṵ
ဒုက္ခ	doʊʔkʰa̰
ဒုက္ခသည်	doʊʔkʰa̰ðè
ဒုက္ခိတ	doʊʔkʰḭta̰
ဒုတိယ	dṵtḭja̰
ဒုတိယတပ်ကြပ်	dṵtḭja̰taʔt͡ɕaʔ
ဒုတိယဗိုလ်	dṵtḭja̰bò
ဒုတိယဗိုလ်ချုပ်ကြီး	dṵtḭja̰bòd͡ʑoʊʔd͡ʑí
ဒုတိယဗိုလ်ချုပ်မှူးကြီး	dṵtḭja̰bòd͡ʑoʊʔm̥úd͡ʑí
ဒုတိယဗိုလ်မှူးကြီး	dṵtḭja̰bòm̥úd͡ʑí
ဒုတိယအရာခံဗိုလ်	dṵtḭja̰ʔəjàɡàɴbò
ဒုဗ္ဘိက္ခန္တရကပ်	doʊʔbeɪʔkʰàɴtəɹa̰kaʔ
ဒုယင်တော်	dəjɪ̀ɴdɔ̀
ဒုံမင်း	dòʊɴmɪ́ɴ
ဒုံး	dóʊɴ
ဒုံးပျံ	dóʊɴbjàɴ
ဒူလာ	dùlà
ဒူး	dú
ဒူးခေါင်း	dúɡáʊɴ
ဒူးထောက်	dútʰaʊʔ
ဒူးရင်းယို	dújɪ́ɴjò
ဒူးရင်းသီး	dújɪ́ɴθí
ဒူးလေး	dúlé
ဒူးဝါး	dúwá
ဒေတာဘေ့စ်	dètàbḛs
ဒေဝ	dèwa̰
ဒေဝဒတ်	dèwədaʔ
ဒေဝနာဂရီ	dèwa̰nàɡəɹì
ဒေဝါလီခံ	dèwàlìkʰàɴ
ဒေဝီ	dèwì
ဒေသ	dèθa̰
ဒေသန္တရ	dèθàɴtəja̰
ဒေသန္တရစကား	dèθàɴtəɹa̰zəɡá
ဒေသိယစကား	dèθḭja̰zəɡá
ဒေါက်တာ	daʊʔtà
ဒေါင်း	dáʊɴ
ဒေါင်းလန်း	dáʊɴláɴ
ဒေါ်	dɔ̀
ဒေါ်ကြီး	dɔ̀d͡ʑí
ဒေါ်လာ	dɔ̀là
ဒေါ်လေး	dɔ̀lé
ဒံပေါက်	dàɴpaʊʔ
ဒြပ်	dəɹaʔ
ဒြပ်စင်	dəɹaʔsɪ̀ɴ
ဒြပ်ထု	dəɹaʔtʰù
ဒွယံဒွယံ	dwa̰jàɴdwa̰jàɴ
ဒွာရ	dwàja̰
ဒွိ	dwḭ
ဒွိလိင်	dwḭlèɪɴ
ဒွေးဘော်	dwébɔ̀
ဒဿဂီရိ	dəθa̰ɡìjḭ
ဒဿနဗေဒ	da̰θəna̰bèda̰
ဒဿနိကဗေဒ	da̰θənḭka̰bèda̰
ဓနရှင်	dəna̰ʃɪ̀ɴ
ဓနိတ	dənḭta̰
ဓနု	dənṵ
ဓမ္မ	dəma̰
ဓမ္မတာ	dəmədà
ဓမ္မတာကာလ	dəmədàkàla̰
ဓမ္မတာလာ	dəmədàlà
ဓမ္မတာဝန်	dəmədàwʊ̀ɴ
ဓမ္မဒဿီ	dəma̰ma̰daʔθì
ဓမ္မဒဿီဘုရား	dəma̰dətθìpʰəjá
ဓမ္မပါလ	dàɴma̰pàla̰
ဓမ္မသတ်	dəməθaʔ
ဓလေ့	dəlḛ
ဓအောက်ခြိုက်	da̰ʔaʊʔt͡ɕʰaɪʔ
ဓာတုဗေဒ	dàtṵbèda̰
ဓာတ်	daʔ
ဓာတ်ကြီးလေးပါး	dàtt͡ɕílépá
ဓာတ်ခဲ	daʔkʰé
ဓာတ်ခွက်	dàtkʰwɛʔ
ဓာတ်ငွေ့	daʔŋwḛ
ဓာတ်ဆီ	daʔsʰì
ဓာတ်ဆီဆိုင်	daʔsʰìzàɪɴ
ဓာတ်ပုံ	daʔpòʊɴ
ဓာတ်ပြား	daʔpjà
ဓာတ်မီးခြစ်	daʔmíd͡ʑɪʔ
ဓာတ်မီးပူ	daʔmíbù
ဓာတ်လှေကား	daʔl̥èɡá
ဓာတ်အိုး	daʔʔó
ဓား	dá
ဓားစာခံ	dəzàɡàɴ
ဓားပြ	dəmja̰
ဓားပြား	dəbjá
ဓားအိမ်	dəʔèɪɴ
နက္ခတ္တဗေဒ	nɛʔkʰəta̰bèda̰
နက်	nɛʔ
နက်ဖြန်	nɛʔpʰjàɴ
နကျယ်ကောင်	nəd͡ʑɛ̀ɡàʊɴ
နဂါး	nəɡá
နဂါးမောက်	na̰ɡámaʊʔ
နဂါးမောက်သီး	na̰ɡámaʊʔθí
နငယ်	na̰ŋɛ̀
နင်	nɪ̀ɴ
နင်တို့	nɪ̀ɴdo̰
နည်း	nɛ́
နည်းနည်း	nɛ́nɛ́
နည်းနည်းချင်း	nínít͡ɕʰɪ́ɴ
နည်းပညာ	nípjɪ̀ɴɲà
နတ်	naʔ
နတ်ကွန်း	naʔkʊ́ɴ
နတ်ဆိုး	naʔsʰó
နတ်တော်	nədɔ̀
နတ်နန်း	naʔnáɴ
နတ်ပြည်ခြောက်ထပ်	naʔpjìt͡ɕʰaʊʔtʰaʔ
နတ်ရွာစံ	naʔjwàsàɴ
နတ်သုဓာ	naʔθoʊʔdà
နတ်သုဓာထမင်း	naʔθoʊʔdàtʰəmɪ́ɴ
နဒီ	nədì
နန္ဒာ	nàɴdà
နန်း	náɴ
နန်းကထိ	náɴkətʰḭ
နန်းကြီး	náɴt͡ɕí
နန်းကြီးသုပ်	náɴt͡ɕíθoʊʔ
နန်းတော်	náɴdɔ̀
နန်းပြားသုပ်	náɴbjáθoʊʔ
နန်းမတော်	náɴmədɔ̀
နန်းမြင့်	náɴmjɪ̰ɴ
နနွင်း	sʰənwɪ́ɴ
နပန်း	nəbáɴ
နဖူး	na̰pʰú
နမီးဘီးယား	na̰míbíjá
နမူနာ	nəmùnà
နမ်း	náɴ
နယုန်	nəjòʊɴ
နယူးဇီလန်	nəjúzìlàɴ
နယူးဒေလီ	nəjúdèlì
နယူးယောက်	nəjújaʊʔ
နယ်	nɛ̀
နယ်စပ်	nɛ̀zaʔ
နယ်သာလန်	nɛ̀ðəlàɴ
နရက်	nəɹɛʔ
နရန်း	nəjáɴ
နရား	nəjá
နဝကမ္မ	nəwa̰kàɴma̰
နဝမ	nəwəma̰
နဝရတ်	nəwəɹaʔ
နဝရူပ	na̰wa̰jùpa̰
နာ	nà
နာဂဒေဝ	nàɡa̰dèwa̰
နာဂရီ	nàɡəɹì
နာတာလူးပွဲ	nàtàlúbwɛ́
နာနတ်	nənaʔ
နာနတ်ပွင့်	nənaʔpwɪ̰ɴ
နာနတ်သီး	nànaʔθí
နာနာ	nànà
နာနာဘာဝ	nànàbàwa̰
နာမ	nàma̰
နာမကရဏ	nàma̰kəɹəna̰
နာမကျန်း	nàmət͡ɕáɴ
နာမည်	nàmjì
နာမဝိသေသန	nàma̰wḭθèθəna̰
နာမ်	nàɴ
နာမ်စား	nàmzá
နာရဒ	nàɹəda̰
နာရဒဘုရား	nàɹəda̰pʰəjá
နာရီ	nàjì
နာရီဝက်	nàjìwɛʔ
နား	ná
နားကပ်	náɡaʔ
နားကြပ်	nəd͡ʑaʔ
နားကွင်း	náɡwɪ́ɴ
နားထင်	nətʰɪ̀ɴ
နားထောင်	nátʰàʊɴ
နားရွက်	nəjwɛʔ
နားလည်	nálɛ̀
နိကာယ	nḭkàja̰
နိခါတကဗေဒ	nḭkʰàtəka̰bèda̰
နိဂ္ဂဟိတ	neɪʔɡəhḭta̰
နိစ္စ	nèsa̰
နိဒါန်း	nḭdáɴ
နိဒ္ဒေသ	neɪʔdèθa̰
နိပေါ	nḭpɔ́
နိဗ္ဗာန်	neɪʔbàɴ
နိယာမ	nḭjàma̰
နိုက်ထရိုဂျင်	naɪʔtʰəɹòd͡ʑɪ̀ɴ
နိုင်	nàɪɴ
နိုင်ဂျာ	nàɪɴd͡ʑà
နိုင်ဂျီးရီးယား	nàɪɴd͡ʑíɹíjá
နိုင်ငံ	nàɪɴŋàɴ
နိုင်ငံကူးလက်မှတ်	nàɪɴŋàɴɡúlɛʔm̥aʔ
နိုင်ငံခြား	nàɪɴŋàɴd͡ʑá
နိုင်ငံခြားသား	nàɪɴɡàɴd͡ʑáðà
နိုင်ငံတော်	nàɪɴŋàɴdɔ̀
နိုင်ငံတော်သီချင်း	nàɪɴŋàɴdɔ̀θət͡ɕʰɪ́ɴ
နိုင်ငံရေး	nàɪɴŋàɴjé
နိုင်ငံသား	nàɪɴŋàɴðá
နိုင်ငံသားအဖြစ်	nàɪɴŋàɴðáʔəpʰjɪʔ
နိုင်နိုင်	nàɪɴnàɪɴ
နိုဝင်ဘာ	nòwɪ̀ɴbà
နို့	no̰
နို့ဆီ	no̰zì
နို့လိမ်	no̰lèɪɴ
နို့သီး	no̰ðí
နို့သီးခေါင်း	no̰ðíɡáʊɴ
နိုး	nó
နိဿယ	neɪʔθəja̰
နီ	nì
နီကာရာဂွါ	nìkàɹàɡwà
နီတိ	nìtḭ
နီလာ	nìlà
နီး	ní
နုပ်	noʊʔ
နေ	nè
နေကောင်း	nèkáʊɴ
နေကောင်းရဲ့လား	nèkáʊɴjɛ̰lá
နေစကြဝဠာ	nèsɛʔt͡ɕàwəlà
နေစာ	nèzà
နေထွက်	nètʰwɛʔ
နေပြည်တော်	nèpjìdɔ̀
နေရာ	nèjà
နေရာငါးသွယ်	nèjàŋáθwɛ̀
နေရာထိုင်ခင်း	nèjàtʰàɪɴɡɪ́ɴ
နေဝင်	nèwɪ̀ɴ
နေအိမ်	nèʔèɪɴ
နောက်	naʊʔ
နောက်ကျ	naʊʔt͡ɕa̰
နောက်ဆက်	naʊʔsʰɛʔ
နောက်ပြီး	naʊʔpí
နောက်ရုံး	naʊʔjóʊɴ
နောင်	nàʊɴ
နော်	nɔ̀
နော်ရထာ	nɔ̀jətʰà
နော်ဝေ	nɔ̀wè
နေ့	nḛ
နေ့စဉ်	nḛzɪ̀ɴ
နေ့စွဲ	nḛzwɛ́
နေ့လည်	nḛlɛ̀
နေ့လယ်	nḛlɛ̀
နေ့လယ်စာ	nḛlɛ̀zà
နဲ့	nɛ̰
နံကထိုင်	nàɴkətʰàɪɴ
နံနက်	nàɴnɛʔ
နံနက်စာ	nàɴnɛʔsà
နံနံ	nàɴnàɴ
နံပါတ်	nàɴbaʔ
နံပြား	nàɴbjá
နံရိုး	nàɴjó
နျူကလိယ	njùkəlḭja̰
နွယ်တာ	nwɛ̀tà
နွား	nwá
နွားထီး	nətʰí
နွားနို့	nwáno̰
နွားနို့ခေါက်ဆွဲ	nwáno̰kʰaʊʔsʰwɛ́
နွားမ	nəma̰
နွေ	nwè
နွေရာသီ	nwèjàðì
နွေဦး	nwèʔú
နွေဦးပေါက်	nwèʔúbaʊʔ
နွေဦးရာသီ	nwèʔújàðì
နွေး	nwé
နှင့်	n̥ɪ̰ɴ
နှင့်တကွ	n̥ɪ̰ɴdəɡwa̰
နှင်း	n̥ɪ́ɴ
နှင်းခဲ	n̥ɪ́ɴɡɛ́
နှင်းပွင့်	n̥ɪ́ɴbwɪ̰ɴ
နှင်းသီး	n̥ɪ́ɴðí
နှစ်	n̥ɪʔ
နှစ်ချုပ်	n̥ɪʔd͡ʑoʊʔ
နှစ်ချောင်းပုဒ်	n̥ət͡ɕʰáʊɴpoʊʔ
နှစ်စဉ်	n̥ɪʔzɪ̀ɴ
နှစ်ဆန်းတစ်ရက်	n̥ɪʔsʰáɴtəjɛʔ
နှစ်ဆန်းတစ်ရက်နေ့	n̥ɪʔsʰáɴtəjɛʔnḛ
နှစ်ဆယ့်တစ်	n̥ɪʔsʰɛ̰tɪʔ
နှစ်ဆယ်	n̥ɪʔsʰɛ̀
နှစ်ရာ	n̥əjà
နှစ်လ	n̥əla̰
နှပ်	n̥aʔ
နှမ	n̥əma̰
နှမ်း	n̥áɴ
နှမ်းစေ့	n̥áɴzḛ
နှမ်းဆီ	n̥áɴzì
နှလုံး	n̥əlóʊɴ
နှလုံးရောဂါ	n̥əlóʊɴjɔ́ɡà
နှာ	n̥à
နှာခေါင်း	n̥əkʰáʊɴ
နှာခေါင်းပေါက်	n̥əkʰáʊɴbaʊʔ
နှာဘူး	n̥àbú
နှာမောင်း	n̥əmáʊɴ
နှိပ်ကြယ်သီး	n̥eɪʔt͡ɕɛ̀ðí
နှုတ်	n̥oʊʔ
နှုတ်ခမ်း	n̥oʊʔkʰáɴ
နှုတ်ဆက်	n̥oʊʔsʰɛʔ
နှုတ်သီး	n̥oʊʔθí
နှော	n̥ɔ́
နှောက်	n̥aʊʔ
နှောင်း	n̥áʊɴ
နှေး	n̥é
နှံကောင်	n̥àɴɡàʊɴ
ပကတိ	bəɡədḭ
ပကောဋိ	pəkɔ́dḭ
ပက်ကျိ	pɛʔt͡ɕḭ
ပခုက္ကူ	pəkʰùkkù
ပခုံး	pəkʰóʊɴ
ပင့်	pɪ̰ɴ
ပင့်ကူ	pɪ̰ɴɡù
ပင့်ကူအိမ်	pɪ̰ɴɡùʔèɪɴ
ပင်ဂွင်	pɪ̀ɴɡwɪ̀ɴ
ပင်စင်	pɪ̀ɴsɪ̀ɴ
ပင်စင်စား	pɪ̀ɴsɪ̀ɴsá
ပင်စည်	pɪ̀ɴzì
ပင်စိမ်း	pɪ̀ɴzéɪɴ
ပင်စိမ်းမွှေး	pɪ̀ɴzéɪɴm̥wé
ပင်ပေါင်	pɪ̀ɴpàʊɴ
ပင်မှည့်	pɪ̀ɴm̥ɛ̰
ပင်လယ်	pɪ̀ɴlɛ̀
ပင်လယ်ဆား	pɪ̀ɴlɛ̀zá
ပင်လယ်ဓားပြ	pɪ̀ɴlɛ̀dəmja̰
ပင်လယ်အော်	pɪ̀ɴlɛ̀ʔɔ̀
ပစောက်	pa̰zaʊʔ
ပစ္စက္ခ	pɪʔsɛʔkʰa̰
ပစ္စည်း	pɪʔsí
ပစ္စည်းလေးပါး	pjɪʔsílébá
ပစ္စယာ	pjɪʔsəjà
ပစ္စုပ္ပန်	pjɪʔsoʊʔpàɴ
ပစ္ဆိမ	pjɪʔsʰeɪʔma̰
ပစ်	pjɪʔ
ပဇာ	bəzà
ပဉ္စကလျာဏီ	pjɪ̀ɴsa̰kələjànì
ပဉ္စင်တူရိယာ	pjɪʔsɪ̀ɴtùɹḭjà
ပဉ္စင်း	bəzɪ́ɴ
ပဉ္စမ	pjɪ̀ɴsəma̰
ပဉ္စရူပ	pjɪ̀ɴsa̰ɹùpa̰
ပဉ္စလက်	pɪ̀ɴsəlɛʔ
ပညတ်	pjɪ̰ɴnaʔ
ပညတ်တော်	pjɪ̰ɴnaʔtɔ̀
ပညာ	pjɪ̀ɴɲà
ပညာကျော်	pjɪ̀ɴɲàd͡ʑɔ̀
ပညာပေး	pjɪ̀ɴɲàpé
ပညာဗလ	pjɪ̀ɴɲàbəla̰
ပညာရေး	pjɪ̀ɴɲàjé
ပညာရှင်	pjɪ̀ɴɲàʃɪ̀ɴ
ပဋိဇီဝဆေး	pa̰dḭzìwa̰sʰé
ပဋိပက္ခ	pətḭpɛʔkʰa̰
ပဋိပက္ခဒေသ	pədḭpɛʔkʰa̰dèθa̰
ပဋိသန္ဓေ	pədḭθàɴdè
ပဌမ	pa̰tʰa̰ma̰
ပဏ္ဍိတ	pàndḭta̰
ပဏ္ဏာ	pənà
ပတ္တမြား	bədəmjá
ပတ္တလား	paʔta̰lá
ပတ္ထနာ	pətʰənà
ပတ်	paʔ
ပတ်စပို့	paʔsəpo̰
ပတ်တီး	paʔtí
ပတ်ဝန်းကျင်	paʔwʊ́ɴt͡ɕɪ̀ɴ
ပထမ	pa̰tʰa̰ma̰
ပထမဘွဲ့	pa̰tʰəma̰bwɛ̰
