άβλαβοσ	avlavos
κοιτάζω	citazo
κοιτάχτηκα	citaxtika
κοιτάω	citao
κοιτίδα	citiða
κοιτίδασ	citiðas
κοιτίδεσ	citiðes
κοιτίδων	citiðon
κοιτιέμαι	citçeme
κοιτώ	cito
κοκκίνισα	kocinisa
κοκκίνου	kocinu
κοκκίνων	kocinon
κοκκινίζω	kocinizo
κοκκινιστό	kocinisto
κοκκινιστόσ	kocinistos
κοκορέτσι	kokoɾetsi
κοκότα	kokota
κολλάω	kolao
κολλήθηκα	koliθika
κολλημένοσ	kolimenos
κολλιέμαι	koʎeme
κολλούσα	kolusa
κολλώ	kolo
κολοβόσ	kolovos
κολοράντο	koloɾado
κολυμπάω	kolimbao
κολυμπιέμαι	kolimbʝeme
κολυμπούσα	kolimbusa
κολυμπώ	kolimbo
κολωνία	kolonia
κολόβωμα	kolovoma
κολύμπαγα	kolimbaɣa
κολύμπησα	kolimbisa
κομεντί	komedi
κομμένα	komena
κομμένε	komene
κομμένεσ	komenes
κομμένη	komeni
κομμένησ	komenis
κομμένο	komeno
κομμένοι	komeni
κομμένοσ	komenos
κομμένου	komenu
κομμένουσ	komenus
κομμένων	komenon
κομπίνα	kombina
κομπιναδόροσ	kombinaðoɾos
κονέκτικατ	konektikat
κονικλοτροφείο	koniklotrofio
κοντρολάρισα	kondrolaɾisa
κοντρολάρισα	kontrolaɾisa
κοντρολάρομαι	kondrolaɾome
κοντρολάρομαι	kontrolaɾome
κοντρολάρω	kondrolaɾo
κοντρολάρω	kontrolaɾo
κοντρολαρίστηκα	kondrolaɾistika
κοντρολαρίστηκα	kontrolaɾistika
κοντόσ	kondos
κοπή	kopi
κορίνθου	koɾinθu
κορίτσαρε	koritsare
κορίτσαρο	koritsaro
κορίτσαροι	koritsari
κορίτσαροσ	koritsaros
κορίτσαρου	koritsaru
κορίτσαρουσ	koritsarus
κορίτσαρων	koritsaron
κορίτσι	koɾitsi
κορίτσια	koɾitsça
κορακίστικα	koɾacistika
κορασίδα	koɾasiða
κοριτσάρα	koritsara
κοριτσάρασ	koritsaras
κοριτσάρεσ	koritsares
κοριτσιού	koɾitsçu
κοριτσιών	koɾitsçon
κορνάρισμα	koɾnaɾizma
κορνάρω	kornaro
κορομηλιά	koɾomiʎa
κοροϊδέψτε	koɾoi̯ðepste
κοροϊδεύομαι	koɾoi̯ðevome
κοροϊδεύτε	koɾoi̯ðefte
κοροϊδεύτηκα	koɾoi̯ðeftika
κοροϊδεύω	koɾoi̯ðevo
κορόιδευ'	koɾoi̯ðef
κορόιδευα	koɾoi̯ðeva
κορόιδευε	koɾoi̯ðeve
κορόιδεψα	koɾoi̯ðepsa
κορόιδεψε	koɾoi̯ðepse
κορόιδο	koɾoi̯ðo
κορόμηλο	koɾomilo
κοσμάκη	kozmaci
κοσμάκησ	kozmacis
κοσμοπολίτεσ	kozmopolites
κοσμοπολίτη	kozmopoliti
κοσμοπολίτησ	kozmopolitis
κοσμοπολιτών	kozmopoliton
κοτάρα	kotaɾa
κοτέτσι	kotetsi
κοτίτσα	kotitsa
κοτομπουκιά	kotobuca
κοτούλα	kotula
κοτσάριζα	kotsaɾiza
κοτσάριζε	kotsaɾize
κοτσάρισα	kotsaɾisa
κοτσάρισε	kotsaɾise
κοτσάρω	kotsaɾo
κοτσαδόροσ	kotsaðoɾos
κοτόπουλο	kotopulo
κουβάλησα	kuvalisa
κουβαλάω	kuvalao
κουβαλήθηκα	kuvaliθika
κουβαλημένοσ	kuvalimenos
κουβαλιέμαι	kuvaʎeme
κουβαλώ	kuvalo
κουκλάκι	kuklaci
κουκλάρα	kuklaɾa
κουκλίτσα	kuklitsa
κουκουλοφόροσ	kukulofoɾos
κουκούλα	kukula
κουλουριάζομαι	kuluɾʝazome
κουλουριάζω	kuluɾʝazo
κουλουριάστηκα	kuluɾʝastika
κουλούρι	kuluɾi
κουλούριασα	kuluɾʝasa
κουμπάροσ	kumbaros
κουμπώθηκα	kumboθika
κουμπώνομαι	kumbonome
κουμπώνω	kumbono
κουνέλι	kuneli
κουνουπίδι	kunupiði
κουντεπιέ	kudepçe
κουπάκι	kupaci
κουπάκια	kupaca
κουράδα	kuɾaða
κουράδασ	kuɾaðas
κουράδω	kuɾaðo
κουράζομαι	kuɾazome
κουράζω	kuɾazo
κουράστηκα	kuɾastika
κουρέασ	kuɾeas
κουρέλι	kuɾeli
κουρέλια	kuɾeʎa
κουρέλιασα	kuɾeʎasa
κουραδομηχανή	kuɾaðomixani
κουραδόμαγκασ	kuɾaðomaŋɡas
κουρασμένα	kurazmena
κουρασμένε	kurazmene
κουρασμένεσ	kurazmenes
κουρασμένη	kurazmeni
κουρασμένησ	kurazmenis
κουρασμένο	kurazmeno
κουρασμένοι	kurazmeni
κουρασμένοσ	kurazmenos
κουρασμένου	kurazmenu
κουρασμένουσ	kurazmenus
κουρασμένων	kurazmenon
κουραστικά	kurastika
κουραστικέ	kurastice
κουραστικέσ	kurastices
κουραστική	kurastici
κουραστικήσ	kurasticis
κουραστικοί	kurastici
κουραστικού	kurastiku
κουραστικούσ	kurastikus
κουραστικό	kurastiko
κουραστικόσ	kurastikos
κουραστικών	kurastikon
κουρελιάζομαι	kuɾeʎazome
κουρελιάζω	kuɾeʎazo
κουρελιάστηκα	kuɾeʎastika
κουρελιού	kuɾeʎu
κουρελιών	kuɾeʎon
κουρεύομαι	kuɾevome
κουρεύτηκα	kuɾeftika
κουρεύω	kuɾevo
κουσούρι	kusuɾi
κουτάβι	kutavi
κουταλιά	kutaʎa
κουταμάρα	kutamaɾa
κουτσή	kutsi
κουτσοί	kutsi
κουτσομπολεύομαι	kutsobolevome
κουτσομπολεύτηκα	kutsoboleftika
κουτσομπολεύω	kutsobolevo
κουτσομπολιό	kutsoboʎo
κουτσομπόλα	kutsobola
κουτσομπόλευ'	kutsobolef
κουτσομπόλεψα	kutsobolepsa
κουτσομπόλεψε	kutsobolepse
κουτσομπόλησ	kutsobolis
κουτσουλιά	kutsuʎa
κουτσό	kutso
κουτσόσ	kutsos
κουτόσ	kutos
κουτόφραγκοσ	kutofɾaŋɡos
κουφάρι	kufaɾi
κοφτερόσ	kofteros
κούκκοσ	kukos
κούκλα	kukla
κούκλοσ	kuklos
κούκοσ	kukos
κούλουρη	kuluɾi
κούμπωσα	kumbosa
κούνια	kuɲa
κούπα	kupa
κούρασα	kuɾasa
κούρεψα	kuɾepsa
κράζω	kɾazo
κράμβη	kraɱvi
κρέασ	kreas
κρέμα	kɾema
κρέμαγα	kɾemaɣa
κρέμαγε	kɾemaʝe
κρέμασα	kɾemasa
κρέμασε	kɾemase
κρήτη	kriti
κρίθηκα	kɾiθika
κρίνο	krino
κρίνομαι	kɾinome
κρίνομε	kɾinome
κρίνου	krinu
κρίνουμε	kɾinume
κρίνω	kɾino
κρίνων	krinon
κραγιόν	kɾaʝon
κραγμένα	kraɣmena
κραγμένε	kraɣmene
κραγμένεσ	kraɣmenes
κραγμένη	kraɣmeni
κραγμένησ	kraɣmenis
κραγμένο	kraɣmeno
κραγμένοι	kraɣmeni
κραγμένοσ	kɾaɣmenos
κραγμένου	kraɣmenu
κραγμένουσ	kraɣmenus
κραγμένων	kraɣmenon
κρατάω	kɾatao
κρατικοποιώ	kɾatikopio
κρατώ	kɾato
κραυγάζω	kravɣazo
κρεατόμυγα	kɾeatomiɣa
κρεβατομουρμούρα	kɾevatomuɾmuɾa
κρεμάλα	kɾemala
κρεμάστηκα	kɾemastika
κρεμάστηκε	kɾemastice
κρεμάω	kremao
κρεμασμένα	kremazmena
κρεμασμένε	kremazmene
κρεμασμένεσ	kremazmenes
κρεμασμένη	kremazmeni
κρεμασμένησ	kremazmenis
κρεμασμένο	kremazmeno
κρεμασμένοι	kremazmeni
κρεμασμένοσ	kremazmenos
κρεμασμένου	kremazmenu
κρεμασμένουσ	kremazmenus
κρεμασμένων	kremazmenon
κρεμιέμαι	kremɲeme
κρεμούσα	kɾemusa
κρεμούσε	kɾemuse
κρεμῶ	kremo
κρεμώ	kremo
κριθάρι	kriθari
κριθαρόψωμα	kriθaropsoma
κριθαρόψωμο	kriθaropsomo
κριθαρόψωμου	kriθaropsomu
κριθαρόψωμων	kriθaropsomon
κριτσίνι	kritsini
κροτώ	kɾoto
κρουστόσ	krustos
κρούομαι	kruome
κρούομε	kruome
κρούουμε	kruume
κρούσθηκα	krusθika
κρούστηκα	krustika
κρούω	kruo
κρυμμένα	krimena
κρυμμένε	krimene
κρυμμένεσ	krimenes
κρυμμένη	krimeni
κρυμμένησ	krimenis
κρυμμένο	krimeno
κρυμμένοι	krimeni
κρυμμένοσ	krimenos
κρυμμένου	krimenu
κρυμμένουσ	krimenus
κρυμμένων	krimenon
κρυπτογράφησα	kriptoɣrafisa
κρότοσ	krotos
κρύβω	kɾivo
κρύπτω	kɾipto
κρύσταλλοσ	kristalos
κτήματα	ktimata
κτηνοβάτησ	ktinovatis
κτηνοβασία	ktinovasia
κυήματα	ciimata
κυήματοσ	ciimatos
κυανόσ	cianos
κυβέρνησα	civeɾnisa
κυβερνήθηκα	civeɾniθika
κυβερνημένοσ	civeɾnimenos
κυβερνιέμαι	civeɾɲeme
κυβερνώ	civeɾno
κυβερνώμαι	civeɾnome
κυημάτων	ciimaton
κυκλοφοράω	ciklofoɾao
κυκλοφορήθηκα	ciklofoɾiθika
κυκλοφορημένοσ	ciklofoɾimenos
κυκλοφορούμαι	ciklofoɾume
κυκλοφορούμε	ciklofoɾume
κυκλοφορώ	ciklofoɾo
κυκλοφόρησα	ciklofoɾisa
κυνηγάω	ciniɣao
κυνηγήθηκα	ciniɣiθika
κυνηγημένα	ciniʝimena
κυνηγημένε	ciniʝimene
κυνηγημένεσ	ciniʝimenes
κυνηγημένη	ciniʝimeni
κυνηγημένησ	ciniʝimenis
κυνηγημένο	ciniʝimeno
κυνηγημένοι	ciniʝimeni
κυνηγημένοσ	ciniʝimenos
κυνηγημένου	ciniʝimenu
κυνηγημένουσ	ciniʝimenus
κυνηγημένων	ciniʝimenon
κυνηγῶ	ciniɣo
κυνηγόσ	ciniɣos
κυοφορώ	cioforo
κυράτσα	ciɾatsa
κυριακάτικα	cirʝakatika
κυριακάτικοσ	cirʝakatikos
κυριακή	cirʝaci
κυριολεκτικά	ciɾiolektika
κυρογενιά	ciroʝeɲa
κυρούλα	cirula
κωδωνοκρούστησ	koðonokrustis
κωλάρα	kolaɾa
κωλομέρι	kolomeɾi
κωλοπαίδι	kolopeði
κωλοπαιδαράσ	kolopeðaɾas
κωλοπηλάλα	kolopilala
κωλοτρυπίδα	kolotripiða
κωλοφυλλάδα	kolofilaða
κωλοφωτιά	kolofotça
κωλόγεροσ	koloʝeɾos
κωλόγρια	koloɣɾia
κωλόπαιδο	kolopeðo
κωλόχαρτο	koloxaɾto
κωλύθηκα	koliθika
κωλύομαι	koliome
κωλύομε	koliome
κωλύουμε	koliume
κωλύω	kolio
κωμειδύλλιο	komiðilio
κωνσταντή	kostandi
κωνσταντίνα	konstandina
κωνσταντίνασ	konstandinas
κωνσταντίνε	konstandine
κωνσταντίνο	konstandino
κωνσταντίνο	toŋɡonstandino
κωνσταντίνοσ	konstandinos
κωνσταντίνου	konstandinu
κωνσταντῖνοσ	konstandinos
κωνσταντινουπόλεωσ	konstandinupoleos
κωνσταντινούπολη	konstandinupoli
κωνσταντινούπολησ	konstandinupolis
κωνσταντινούπολισ	konstandinupolis
κωσ	kos
κωστήσ	kostis
κωσταντήσ	kostandis
κωσταντίνα	kostandina
κωσταντίνασ	kostandinas
κωσταντίνε	kostandine
κωσταντίνο	kostandino
κωσταντίνοσ	kostandinos
κωσταντίνου	kostandinu
κόβομαι	kovome
κόβω	kovo
κόκκινα	kocina
κόκκινε	kocine
κόκκινεσ	kocines
κόκκινη	kocini
κόκκινησ	kocinis
κόκκινο	kocino
κόκκινοι	kocini
κόκκινοσ	kocinos
κόκκινου	kocinu
κόκκινουσ	kocinus
κόκκινων	kocinon
κόλαση	kolasi
κόλλαγα	kolaɣa
κόλλημα	kolima
κόλλησα	kolisa
κόμησ	komis
κόμποσ	kombos
κόποσ	kopos
κόπτομαι	koptome
κόπτω	kopto
κόρινθε	koɾinθe
κόρινθο	koɾinθo
κόρινθοσ	koɾinθos
κόρνα	koɾna
κόσμοσ	kozmos
κότα	kota
κότσαρα	kotsaɾa
κότσαρε	kotsaɾe
κύημα	ciima
κύηση	ciisi
κύματα	cimata
κύπελλο	cipelo
κύπρε	cipɾe
κύπριοσ	ciprios
κύπρο	cipɾo
κύπρου	cipɾu
κώδικασ	koðikas
κώλυσα	kolisa
κώστασ	kostas
λάδι	laði
λάκαινα	lacena
λάκων	lakon
λάκωνα	lakona
λάκωνασ	lakonas
λάκωνεσ	lakones
λάκωνοσ	lakonos
λάλησα	lalisa
λάμδα	lamða
λάμπα	lamba
λάμπει	lambi
λάμπω	lambo
λάμψεισ	lampsis
λάρισα	larisa
λάρνακα	laɾnaka
λάτρα	latɾa
λάτρεψα	latɾepsa
λέγει	leʝi
λέγεισ	leʝis
λέγεται	leʝete
λέγετε	leʝete
λέγομε	leɣome
λέγουμε	leɣume
λέγω	leɣo
λέει	lei
λέμε	leme
λέσβε	lezve
λέσβο	lezvo
λέσβοσ	lezvos
λέω	leo
λήγω	liɣo
λήθη	liθi
λήμνοσ	limnos
λίαν	lian
λίγο	liɣo
λίγοσ	liɣos
λίθοι	liθi
λίπασμα	lipazma
λίποσ	lipos
λαβών	lavon
λαδάδικο	laðaðiko
λαδιά	laðʝa
λαθρέμποροσ	laθɾemboɾos
λαθραίοσ	laθɾeos
λαιστρυγόνασ	lestriɣonas
λαιστρυγόνεσ	lestriɣones
λαιστρυγών	lestriɣon
λακωνία	lakonia
λακωνίασ	lakonias
λακωνικόσ	lakonikos
λακώνων	lakonon
λαλάμε	lalame
λαλάω	lalao
λαλήθηκα	laliθika
λαλημένοσ	lalimenos
λαλιέμαι	laʎeme
λαλούμαι	lalume
λαλούμε	lalume
λαλώ	lalo
λαμία	lamia
λαμβάνομαι	lamvanome
λανθάνων	lanθanon
λαογράφοσ	laoɣɾafos
λαογραφία	laoɣɾafia
λασίθι	lasiθi
λατρεύομαι	latɾevome
λατρεύτηκα	latɾeftika
λατρεύω	latɾevo
λεία	lia
λείπω	lipo
λείψανο	lipsano
λεβαδειά	levaðʝa
λειβαδιά	livaðʝa
λειτουργώ	liturɣo
λειψανοθήκη	lipsanoθici
λειώνω	ʎono
λεμονιά	lemoɲa
λεμόνι	lemoni
λεξιπλασία	leksiplasia
λεξιπλασίασ	leksiplasias
λεξιπλασίεσ	leksiplasies
λεξιπλασιών	leksiplasion
λεπτό	lepto
λερώθηκα	leɾoθika
λερώνομαι	leɾonome
λερώνομε	leɾonome
λερώνουμε	leɾonume
λερώνω	leɾono
λεσ	les
λεσβιάζω	lezviazo
λευκά	lefka
λευκάδα	lefkaða
λευκέ	lefce
λευκέσ	lefces
λευκή	lefci
λευκήσ	lefcis
λευκοί	lefci
λευκοπίνακασ	lefkopinakas
λευκούσ	lefkus
λευκό	lefko
λευκόσ	lefkos
λευκότεροσ	lefkoteros
λευκώ	lefko
λευκών	lefkon
λευτεριά	lefteɾʝa
λευχαιμία	lefçemia
λησμονάω	lizmonao
λησμονώ	lizmono
ληστήσ	listis
ληστεύω	listevo
λητώ	lito
λιάζομαι	ʎazome
λιάζω	ʎazo
λιάστηκα	ʎastika
λιανικόσ	lianicos
λιβαδειά	livaðʝa
λιγάκι	liɣaci
λιγοστεύω	liɣostevo
λιγοστόσ	liɣostos
λιγότερα	liɣotera
λιγότερε	liɣotere
λιγότερεσ	liɣoteres
λιγότερη	liɣoteri
λιγότερησ	liɣoteris
λιγότερο	liɣotero
λιγότεροι	liɣoteri
λιγότεροσ	liɣoteros
λιγότερου	liɣoteru
λιγότερουσ	liɣoterus
λιγότερων	liɣoteron
λικέρ	liceɾ
λικεράκι	liceɾaci
λιμάνι	limani
λιμένα	limena
λιμένασ	limenas
λιμένεσ	limenes
λιμένοσ	limenos
λιμένων	limenon
λιμπίζομαι	limbizome
λιμπίστηκα	limbistika
λιμόσ	limos
λιοντάρι	ʎondaɾi
λιπάσματα	lipazmata
λιπάσματοσ	lipazmatos
λιπασμάτων	lipazmaton
λιπών	lipon
λιτόσ	litos
λιτότητα	litotita
λιόψωμα	ʎopsoma
λιόψωμο	ʎopsomo
λιόψωμου	ʎopsomu
λιόψωμων	ʎopsomon
λιώνω	ʎono
λογίζομαι	loʝizome
λογίστηκα	loʝistika
λογαριασμόσ	loɣaɾʝazmos
λογοκρίθηκα	loɣokɾiθika
λογοκρίνομαι	loɣokɾinome
λογοκρίνω	loɣokɾino
λογόκρινα	loɣokɾina
λοιμόσ	limos
λοιπόν	lipon
λονδίνο	lonðino
λουιζιάνα	luiziana
λουκανικόπιτα	lukanikopita
λουκουμάσ	lukumas
λουκούμι	lukumi
λουτράκι	lutɾaci
λουτρό	lutɾo
λουφάρω	lufaɾo
λουφαδόροσ	lufaðoɾos
λοχίασ	loçias
λούγκρα	luɡɾa
λούζομαι	luzome
λούζω	luzo
λούστηκα	lustika
λούφα	lufa
λυγξ	liŋks
λυθήκαμε	liθikame
λυθήκαν	liθikan
λυθήκανε	liθikane
λυθήκατε	liθikate
λυθεί	liθi
λυθείσ	liθis
λυθείτε	liθite
λυθούμε	liθume
λυθούν	liθun
λυθούνε	liθune
λυθώ	liθo
λυκάνθρωποσ	likanθɾopos
λυκανθρωπία	likanθɾopia
λυμένα	limena
λυμένε	limene
λυμένεσ	limenes
λυμένη	limeni
λυμένησ	limenis
λυμένο	limeno
λυμένοι	limeni
λυμένοσ	limenos
λυμένου	limenu
λυμένουσ	limenus
λυμένων	limenon
λυνόμασταν	linomastan
λυνόμαστε	linomaste
λυνόμουν	linomun
λυνόμουνα	linomuna
λυνόντουσαν	linondusan
λυνόσασταν	linosastan
λυνόσαστε	linosaste
λυνόσουν	linosun
λυνόσουνα	linosuna
λυνόταν	linotan
λυνότανε	linotane
λυπάμαι	lipame
λυπημένα	lipimena
λυπημένε	lipimene
λυπημένεσ	lipimenes
λυπημένη	lipimeni
λυπημένησ	lipimenis
λυπημένο	lipimeno
λυπημένοι	lipimeni
λυπημένοσ	lipimenos
λυπημένου	lipimenu
λυπημένουσ	lipimenus
λυπημένων	lipimenon
λυσσάω	lisao
λυσσασμένοσ	lisazmenos
λυσσώ	liso
λυτόσ	litos
λωποδύτησ	lopoðitis
λόγο	loɣo
λόγω	loɣo
λόξιγκασ	loksiŋɡas
λόφοσ	lofos
λύγκασ	liŋɡas
λύει	lii
λύεισ	liis
λύεται	liete
λύετε	liete
λύθηκα	liθika
λύθηκαν	liθikan
λύθηκε	liθice
λύθηκεσ	liθices
λύκοι	lici
λύκοσ	likos
λύναμε	liname
λύναν	linan
λύνανε	linane
λύνατε	linate
λύνε	line
λύνει	lini
λύνεισ	linis
λύνεσαι	linese
λύνεστε	lineste
λύνεται	linete
λύνετε	linete
λύνομαι	linome
λύνομε	linome
λύνονται	linonde
λύνονταν	linondan
λύνοντασ	linondas
λύνουμε	linume
λύνουν	linun
λύνουνε	linune
λύνω	lino
λύομαι	liome
λύομε	liome
λύομεν	liomen
λύουμε	liume
λύουν	liun
λύσαμε	lisame
λύσαν	lisan
λύσανε	lisane
λύσατε	lisate
λύσε	lise
λύσει	lisi
λύσεισ	lisis
λύσετε	lisete
λύση	lisi
λύσομε	lisome
λύσου	lisu
λύσουμε	lisume
λύσουν	lisun
λύσουνε	lisune
λύσσα	lisa
λύσσαγε	lisaʝe
λύσσαξα	lisaksa
λύσσαξε	lisakse
λύστε	liste
λύσω	liso
λύω	lio
μάγκασ	maŋɡas
μάγοσ	maɣos
μάδυτοσ	maðitos
μάζα	maza
μάζευ'	mazef
μάζευα	mazeva
μάζευε	mazeve
μάζεψα	mazepsa
μάζεψε	mazepse
μάη	mai
μάηδεσ	maiðes
μάηδων	maiðon
μάησ	mais
μάιε	maie
μάιο	maio
μάιοι	maii
μάιοσ	maios
μάισνερ	maizner
μάλαμα	malama
μάλωμα	maloma
μάντευ'	mandef
μάντεψα	mandepsa
μάντεψε	mandepse
μάντησ	mandis
μάρανα	maɾana
μάρκαρα	maɾkaɾa
μάρκαρε	maɾkaɾe
μάρτη	maɾti
μάρτηδεσ	maɾtiðes
μάρτηδων	maɾtiðon
μάρτησ	maɾtis
μάρτιε	maɾtie
μάρτιο	maɾtio
μάρτιοι	maɾtii
μάρτιοσ	maɾtios
μάρτυρα	maɾtiɾa
μάρτυρασ	maɾtiɾas
μάρτυρεσ	maɾtiɾes
μάρτυροσ	maɾtiɾos
μάστιγα	mastiɣa
μάστορασ	mastoras
μάτα	mata
μάτια	matça
μάϊσνερ	maizner
μέγαρα	meɣaɾa
μέγασ	meɣas
μέδουσα	meðusa
μέιν	mein
μέμφθηκα	memfθika
μέμφομαι	memfome
μένε	mene
μέρα	mera
μέρευ'	meɾef
μέρεψα	meɾepsa
μέρεψε	meɾepse
μέριλαντ	meɾiland
μέροσ	meɾos
μέσα	mesa
μέσο	meso
μέσω	meso
μέτρησα	metɾisa
μέτριοι	metrii
μέτριοσ	metrios
μέτσοβο	metsovo
μήλο	milo
μήνυμα	minima
μήπωσ	mipos
μήτροσ	mitɾos
μήτσοσ	mitsos
μία	mia
μίμησ	mimis
μίσησα	misisa
μίσιγκαν	misiɡan
μα	ma
μαγείρεψα	maʝiɾepsa
μαγειρέψει	maʝiɾepsi
μαγειρεύομαι	maʝiɾevo
μαγειρεύτηκα	maʝiɾeftika
μαγειρεύω	maʝiɾevo
μαγικόσ	maʝikos
μαγιονέζα	maʝoneza
μαγιού	maʝu
μαγκάκι	maŋɡaci
μαγκιά	maŋɟa
μαδρίτη	maðɾiti
μαζέψτε	mazepste
μαζεμένοσ	mazemenos
μαζεύομαι	mazevome
μαζεύτε	mazefte
μαζεύτηκα	mazeftika
μαζεύω	mazevo
μαζικά	mazika
μαζικέ	mazice
μαζικέσ	mazices
μαζική	mazici
μαζικήσ	mazicis
μαζικοί	mazici
μαζικού	maziku
μαζικούσ	mazikus
μαζικό	maziko
μαζικόσ	mazikos
μαζικότατα	mazikotata
μαζικότατε	mazikotate
μαζικότατεσ	mazikotates
μαζικότατη	mazikotati
μαζικότατησ	mazikotatis
μαζικότατο	mazikotato
μαζικότατοι	mazikotati
μαζικότατοσ	mazikotatos
μαζικότατου	mazikotatu
μαζικότατουσ	mazikotatus
μαζικότατων	mazikotaton
μαζικότερα	mazikotera
μαζικότερε	mazikotere
μαζικότερεσ	mazikoteres
μαζικότερη	mazikoteri
μαζικότερησ	mazikoteris
μαζικότερο	mazikotero
μαζικότεροι	mazikoteri
μαζικότεροσ	mazikoteros
μαζικότερου	mazikoteru
μαζικότερουσ	mazikoterus
μαζικότερων	mazikoteron
μαζικών	mazikon
μαθαίνω	maθeno
μαθεύεται	maθevete
μαθεύομαι	maθevome
μαθεύτηκε	maθeftice
μαθημένα	maθimena
μαθημένε	maθimene
μαθημένεσ	maθimenes
μαθημένη	maθimeni
μαθημένησ	maθimenis
μαθημένο	maθimeno
μαθημένοι	maθimeni
μαθημένοσ	maθimenos
μαθημένου	maθimenu
μαθημένουσ	maθimenus
μαθημένων	maθimenon
μαθηματικά	maθimatika
μαΐου	maiu
μαΐουσ	maius
μαΐων	maion
μακάβριοσ	makavɾios
μακαρονάδα	makaɾonaða
μακαρόνια	makaɾoɲa
μαλάκα	malaka
μαλάκασ	malakas
μαλάκω	malako
μαλακίζομαι	malacizome
μαλακισμένα	malacizmena
μαλακισμένε	malacizmene
μαλακισμένεσ	malacizmenes
μαλακισμένη	malacizmeni
μαλακισμένησ	malacizmenis
μαλακισμένο	malacizmeno
μαλακισμένοι	malacizmeni
μαλακισμένοσ	malacizmenos
μαλακισμένου	malacizmenu
μαλακισμένουσ	malacizmenus
μαλακισμένων	malacizmenon
μαλακτικό	malaktiko
μαλαματένιοσ	malamateɲos
μαλωμένη	malomeni
μαλωμένοι	malomeni
μαλωμένοσ	malomenos
μαλώνοντασ	malonondas
μαλώνω	malono
μαμμόθρεφτοσ	mamoθɾeftos
μανάβησ	manavis
μανταρίνι	mandaɾini
μανταρινιά	mandaɾiɲa
μαντεία	mandia
μαντεύομαι	mandevome
μαντεύτηκα	mandeftika
μαντεύω	mandevo
μαντολάτο	mandolato
μανόλησ	manolis
μανώλησ	manolis
μαράθηκα	maɾaθika
μαραίνομαι	maɾenome
μαραίνω	maɾeno
μαραγκόσ	maraŋɡos
μαραθώνασ	maɾaθonas
μαρασκίνο	maɾascino
μαργαριτάρι	maɾɣaɾitaɾi
μαρκάριζα	maɾkaɾiza
μαρκάριζε	maɾkaɾize
μαρκάρισα	maɾkaɾisa
μαρκάρισε	maɾkaɾise
μαρκάρομαι	maɾkaɾome
μαρκάρω	maɾkaɾo
μαρκίων	marcion
μαρκαδόροσ	maɾkaðoɾos
μαρκαρίστηκα	maɾkaɾistika
μαρτίου	maɾtiu
μαρτίουσ	maɾtius
μαρτίων	maɾtion
μαρτυράμε	maɾtiɾame
μαρτυράω	maɾtiɾo
μαρτυρήθηκα	maɾtiɾiθika
μαρτυρημένοσ	maɾtiɾimenos
μαρτυριέμαι	maɾtiɾʝeme
μαρτυρούμαι	maɾtiɾume
μαρτυρούμε	maɾtiɾume
μαρτυρώ	maɾtiɾo
μαρτύρησα	maɾtiɾisa
μαρτύρων	maɾtiɾon
μασαχουσέτη	masaxuseti
μασούρι	masuɾi
μασσαλία	masalia
μαστίζομαι	mastizome
μαστίζω	mastizo
μαστόσ	mastos
μασχάλη	masxali
ματζόρε	madzoɾe
ματοβαμμένα	matovamena
ματοβαμμένε	matovamene
ματοβαμμένεσ	matovamenes
ματοβαμμένη	matovameni
ματοβαμμένησ	matovamenis
ματοβαμμένο	matovameno
ματοβαμμένοι	matovameni
ματοβαμμένοσ	matovamenos
ματοβαμμένου	matovamenu
ματοβαμμένουσ	matovamenus
ματοβαμμένων	matovamenon
ματοκυλίζομαι	matocilizome
ματοκυλίζω	matocilizo
ματοκυλίστηκα	matocilistika
ματοκύλισα	matocilisa
ματόκλαδα	matoklaða
ματόκλαδο	matoklaðo
ματόκλαδου	matoklaðu
ματόκλαδων	matoklaðon
ματώθηκα	matoθika
ματώνομαι	matonome
μαυρίζω	mavrizo
μαυρισμένα	mavrizmena
μαυρισμένε	mavrizmene
μαυρισμένεσ	mavrizmenes
μαυρισμένη	mavrizmeni
μαυρισμένησ	mavrizmenis
μαυρισμένο	mavrizmeno
μαυρισμένοι	mavrizmeni
μαυρισμένοσ	mavrizmenos
μαυρισμένου	mavrizmenu
μαυρισμένουσ	mavrizmenus
μαυρισμένων	mavrizmenon
μαυροπίνακασ	mavɾopinakas
μαυροπουλιού	mavropuʎu
μαυροπουλιών	mavropuʎon
μαυροπούλι	mavropuli
μαυροπούλια	mavropuʎa
μαφιόζοσ	mafʝozos
μαϊντανόσ	maidanos
μαόνι	maoni
μείωσα	miosa
μεγάλοσ	meɣalos
μεγαλειοτάτη	meɣaliotati
μεγαλειότατοσ	meɣaliotatos
μεγαλομάρτυρα	meɣalomaɾtiɾa
μεγαλομάρτυρασ	meɣalomaɾtiɾas
μεγαλομάρτυρεσ	meɣalomaɾtiɾes
μεγαλομάρτυροσ	meɣalomaɾtiɾos
μεγαλομανία	meɣalomania
μεγαλομανίασ	meɣalomanias
μεγαλομανιών	meɣalomanion
μεγαλομαρτύρων	meɣalomaɾtiɾon
μεθ	meθ
μεθαύριο	meθavɾio
μεθυσμένοσ	meθizmenos
μειονοτήτων	mionotiton
μειονοψηφία	mionopsifia
μειονοψηφίασ	mionopsifias
μειονοψηφίεσ	mionopsifies
μειονοψηφιών	mionopsifion
μειονότητα	mionotita
μειονότητασ	mionotitas
