aarōn	aːarɔn
manifolium	manifɔːlium
manifēstus	manifɛst̪us
manifēstātis	manifɛst̪aːt̪is
manifēstātiō	manifɛst̪aːt͡siɔ
manifēstātīs	manifɛst̪aːt̪is
manifēstāverimus	manifɛst̪avɛriːmus
manifēstāverimus	manifɛst̪avɛːrimus
manifēstāveris	manifɛst̪aːvɛris
manifēstāveritis	manifɛst̪avɛriːt̪is
manifēstāveritis	manifɛst̪avɛːrit̪is
manipulus	maniːpulus
manipulāris	manipulaːris
manipurēnsis	manipurɛnsis
manitoba	maniːt̪ɔba
mantica	man̪t̪ika
mantinēa	man̪t̪inɛːa
mantua	man̪t̪ua
mantum	man̪t̪um
mantēle	man̪t̪ɛlɛ
mantīa	man̪t̪iːa
mantīsa	man̪t̪iːza
mantō	man̪t̪ɔ
manubiālis	manubiaːlis
manufactus	manufakt̪us
manuor	maːnuɔr
manus	maːnus
manutergia	manut̪ɛrd͡ʒia
manutergium	manut̪ɛrd͡ʒium
manuālis	manuaːlis
manuārius	manuaːrius
manātus	manaːt̪us
manē	maːnɛ
manēs	maːnɛs
manūbrium	manuːbrium
manūmittō	manumit̪t̪ɔ
manūs	maːnus
manūscrīptus	manuskript̪us
manūteneō	manut̪ɛːnɛɔ
maoricus	maɔːrikus
maphorītae	mafɔriːt̪ɛ
maracanda	marakan̪d̪a
maracēs	maːrat͡ʃɛs
maranatha	maraːnat̪a
maratha	maːrat̪a
marathicus	maraːt̪ikus
marathus	maːrat̪us
marathē	maːrat̪ɛ
marathēsium	marat̪ɛːzium
marathōn	maːrat̪ɔn
marathūsa	marat̪uːza
marceō	mart͡ʃɛɔ
marchiō	markiɔ
marcidus	mart͡ʃid̪us
marculentus	markulɛn̪t̪us
marcēscō	mart͡ʃɛskɔ
mardonius	mard̪ɔːnius
mardī	mard̪i
mareum	maːrɛum
margarīta	marɡariːt̪a
margarītifer	marɡariːt̪ifɛr
margarītārius	marɡarit̪aːrius
margarītātus	marɡarit̪aːt̪us
marginālis	mard͡ʒinaːlis
marginātus	mard͡ʒinaːt̪us
margiāna	mard͡ʒiaːna
margō	marɡɔ
mariamnē	mariamnɛ
mariannēnsis	mariannɛnsis
mariba	maːriba
marionēnsis	mariɔnɛnsis
mariscos	mariskɔs
marisus	maːrizus
maritima	mariːt̪ima
maritimus	mariːt̪imus
maritumus	mariːt̪umus
mariānō	mariaːnɔ
marmarium	marmaːrium
marmor	marmɔr
marmoreus	marmɔːrɛus
marmotus	marmɔt̪us
maroboduus	marɔbɔːd̪uus
maroccānus	marɔkkaːnus
marogamatrae	marɔɡaːmat̪rɛ
maronitus	marɔːnit̪us
marotiānī	marɔt͡siaːni
marsūpium	marsuːpium
marsūpiālis	marsupiaːlis
marte	mart̪ɛ
martha	mart̪a
martyr	mart̪ir
martyrium	mart̪iːrium
martēs	mart̪ɛs
marus	maːrus
marvingī	marvin̠ʲd͡ʒi
marīa	mariːa
marīca	mariːka
marīcī	mariːt͡ʃi
marīna	mariːna
marīnus	mariːnus
marīta	mariːt̪a
marītus	mariːt̪us
marītālis	marit̪aːlis
marītātis	marit̪aːt̪is
marītātīs	marit̪aːt̪is
marītāverimus	marit̪avɛriːmus
marītāverimus	marit̪avɛːrimus
marītāveris	marit̪aːvɛris
marītāveritis	marit̪avɛriːt̪is
marītāveritis	marit̪avɛːrit̪is
marītō	mariːt̪ɔ
marōnēa	marɔnɛːa
masatī	maːzat̪i
mascarpiō	maskarpiɔ
masculātus	maskulaːt̪us
masculētum	maskulɛːt̪um
masculīna	maskuliːna
masculīnus	maskuliːnus
masinissa	mazinissa
masistius	mazist̪ius
masius	maːzius
massachusetta	massakuzɛt̪t̪a
massaesȳlī	massɛziːli
massagetae	massaːd͡ʒɛt̪ɛ
massicytus	massiːt͡ʃit̪us
massilia	massiːlia
mastanabal	mast̪aːnabal
mastaura	mast̪au̯ra
masticat	mast̪ikat̪
mastichinus	mast̪iːkinus
mastichē	mast̪ikɛ
masticātiō	mast̪ikaːt͡siɔ
masticō	mast̪ikɔ
mastrūca	mast̪ruːka
mastrūcātus	mast̪rukaːt̪us
masturbor	mast̪urbɔr
masturbātiō	mast̪urbaːt͡siɔ
mastus	mast̪us
mastūsia	mast̪uːzia
masurius	mazuːrius
masō	maːzɔ
matalia	mat̪aːlia
matelliō	mat̪ɛlliɔ
mateola	mat̪ɛːɔla
mathathiae	mat̪aːt̪iɛ
mathathiās	mat̪aːt̪ias
mathoae	maːt̪ɔɛ
mathēmatica	mat̪ɛmaːt̪ika
mathēmaticus	mat̪ɛmaːt̪ikus
mathēsis	mat̪ɛːzis
mathō	maːt̪ɔ
matia	maːt͡sia
matidius	mat̪iːd̪ius
matiscō	mat̪iskɔ
matium	maːt͡sium
matius	maːt͡sius
matiānī	mat͡siaːni
matiēnus	mat͡siɛːnus
matrīnus	mat̪riːnus
mattathiās	mat̪t̪aːt̪ias
matthaeus	mat̪t̪ɛːus
matthiās	mat̪t̪ias
mattus	mat̪t̪us
matula	maːt̪ula
matīnius	mat̪iːnius
matīnus	mat̪iːnus
maumō	mau̯mɔ
mauritanicus	mau̯rit̪aːnikus
mauritiānus	mau̯rit͡siaːnus
maurītia	mau̯riːt͡sia
maurītānia	mau̯rit̪aːnia
mausōlus	mau̯sɔːlus
maxillāris	maksillaːris
maximē	maksimɛ
mazaeus	madd͡zɛːus
mazamacae	madd͡zaːmat͡ʃɛ
mea	mɛːa
meae	mɛːɛ
meam	mɛːam
meddix	mɛd̪d̪iks
medeor	mɛːd̪ɛɔr
mederiacum	mɛd̪ɛriːakum
medeōn	mɛːd̪ɛɔn
mediaevālis	mɛd̪iɛvaːlis
medica	mɛːd̪ika
medicus	mɛːd̪ikus
medicāmen	mɛd̪ikaːmɛn
medicās	mɛːd̪ikas
medicātis	mɛd̪ikaːt̪is
medicātiō	mɛd̪ikaːt͡siɔ
medicātīs	mɛd̪ikaːt̪is
medicātōre	mɛd̪ikat̪ɔːrɛ
medicātōrī	mɛd̪ikat̪ɔːri
medicāverimus	mɛd̪ikavɛriːmus
medicāverimus	mɛd̪ikavɛːrimus
medicāveris	mɛd̪ikaːvɛris
medicāveritis	mɛd̪ikavɛriːt̪is
medicāveritis	mɛd̪ikavɛːrit̪is
medicīna	mɛd̪it͡ʃiːna
medicīnālis	mɛd̪it͡ʃinaːlis
medietās	mɛd̪iːɛt̪as
mediocre	mɛd̪iːɔkrɛ
mediocris	mɛd̪iːɔkris
mediocritās	mɛd̪iɔːkrit̪as
mediocrēs	mɛd̪iːɔkrɛs
mediolatīnitās	mɛd̪iɔlat̪iːnit̪as
mediolatīnitātis	mɛd̪iɔlat̪init̪aːt̪is
mediolatīnus	mɛd̪iɔlat̪iːnus
mediolānum	mɛd̪iɔlaːnum
mediterrāneus	mɛd̪it̪ɛrraːnɛus
meditor	mɛːd̪it̪ɔr
meditrīna	mɛd̪it̪riːna
meditullium	mɛd̪it̪ullium
meditābundus	mɛd̪it̪abun̪d̪us
meditātiō	mɛd̪it̪aːt͡siɔ
medium	mɛːd̪ium
medius	mɛːd̪ius
mediālis	mɛd̪iaːlis
mediānus	mɛd̪iaːnus
mediānō	mɛd̪iaːnɔ
mediātor	mɛd̪iaːt̪ɔr
mediātrīx	mɛd̪iaːt̪riks
mediēvālis	mɛd̪iɛvaːlis
mediōmatricī	mɛd̪iɔmaːt̪rit͡ʃi
medma	mɛd̪ma
medoacus	mɛd̪ɔːakus
medubrīga	mɛd̪ubriːɡa
medulla	mɛd̪ulla
medullula	mɛd̪ullula
medullum	mɛd̪ullum
medullātus	mɛd̪ullaːt̪us
meduāna	mɛd̪uaːna
medēla	mɛd̪ɛːla
medōn	mɛːd̪ɔn
medūsa	mɛd̪uːza
megabatēs	mɛɡaːbat̪ɛs
megabyzus	mɛɡabidd͡zus
megacarpus	mɛɡakarpus
megallae	mɛɡallɛ
megalopolis	mɛɡalɔːpɔlis
megalopolī	mɛɡalɔːpɔli
megara	mɛːɡara
megaris	mɛːɡaris
megarī	mɛːɡari
megarōstris	mɛɡarɔst̪ris
megasthenēs	mɛɡast̪ɛnɛs
megellus	mɛd͡ʒɛllus
megisba	mɛd͡ʒisba
megistānēs	mɛd͡ʒist̪aːnɛs
meitnerium	mɛi̯t̪nɛːrium
mel	mɛl
mela	mɛːla
melaeneae	mɛlɛːnɛɛ
melanchlaenī	mɛlaŋklɛːni
melanocarpus	mɛlanɔkarpus
melanocephalus	mɛlanɔt͡ʃɛːfalus
melanogaster	mɛlanɔɡast̪ɛr
melanoleucus	mɛlanɔlɛu̯kus
melanopterus	mɛlanɔpt̪ɛrus
melanthius	mɛlan̪t̪ius
melanōpus	mɛlanɔːpus
melanōticus	mɛlanɔːt̪ikus
melanūrus	mɛlanuːrus
melculum	mɛlkulum
melcumānī	mɛlkumaːni
meldī	mɛl̪d̪i
meletēma	mɛlɛt̪ɛːma
meliboea	mɛlibɛːa
meligūnis	mɛliɡuːnis
melior	mɛːliɔr
melitaea	mɛlit̪ɛːa
meliticus	mɛliːt̪ikus
melitēnsis	mɛlit̪ɛnsis
melitēnē	mɛlit̪ɛːnɛ
melius	mɛːlius
meliusculus	mɛliuskulus
meliōrātiō	mɛliɔraːt͡siɔ
meliōrō	mɛliɔːrɔ
melkiticus	mɛl̠ʲt͡ʃiːt̪ikus
melkitus	mɛl̠ʲt͡ʃit̪us
mella	mɛlla
melleus	mɛllɛus
melliculum	mɛlliːkulum
melliculus	mɛlliːkulus
mellifer	mɛllifɛr
mellifex	mɛllifɛks
mellificium	mɛllifiːt͡ʃium
mellificus	mɛlliːfikus
mellificō	mɛlliːfikɔ
mellifluus	mɛlliːfluus
mellifluēns	mɛlliːfluɛns
melliger	mɛllid͡ʒɛr
mellilla	mɛllilla
mellinia	mɛlliːnia
mellita	mɛllit̪a
mellāceum	mɛllaːt͡ʃɛum
mellāria	mɛllaːria
mellārium	mɛllaːrium
mellārius	mɛllaːrius
mellātiō	mɛllaːt͡siɔ
mellīgō	mɛlliːɡɔ
mellītula	mɛlliːt̪ula
mellītulus	mɛlliːt̪ulus
mellītus	mɛlliːt̪us
mellō	mɛllɔ
mellōna	mɛllɔːna
mellōsus	mɛllɔːzus
melodūnum	mɛlɔd̪uːnum
melpis	mɛlpis
melsus	mɛlsus
melās	mɛːlas
melēs	mɛːlɛs
melōdia	mɛlɔːd̪ia
membraniferus	mɛmbraniːfɛrus
membrum	mɛmbrum
membrāna	mɛmbraːna
membrāneus	mɛmbraːnɛus
membrānula	mɛmbraːnula
membrānāceus	mɛmbranaːt͡ʃɛus
membrātim	mɛmbraːt̪im
mementō	mɛmɛn̪t̪ɔ
meminī	mɛːmini
memmius	mɛmmius
memnonia	mɛmnɔːnia
memor	mɛːmɔr
memorem	mɛːmɔrɛm
memoriter	mɛmɔːrit̪ɛr
memoriālis	mɛmɔriaːlis
memoror	mɛːmɔrɔr
memorābilis	mɛmɔraːbilis
memorāre	mɛmɔraːrɛ
memorātis	mɛmɔraːt̪is
memorātor	mɛmɔraːt̪ɔr
memorātīs	mɛmɔraːt̪is
memorāverimus	mɛmɔravɛriːmus
memorāverimus	mɛmɔravɛːrimus
memorāveris	mɛmɔraːvɛris
memorāveritis	mɛmɔravɛriːt̪is
memorāveritis	mɛmɔravɛːrit̪is
memorō	mɛːmɔrɔ
memphis	mɛmfis
menapiī	mɛnaːpii
menaria	mɛnaːria
menariae	mɛnaːriɛ
menda	mɛn̪d̪a
mendelēvium	mɛn̪d̪ɛlɛːvium
mendāciloquium	mɛn̪d̪at͡ʃilɔːkwium
mendācium	mɛn̪d̪aːt͡ʃium
mendāx	mɛn̪d̪aks
mendē	mɛn̪d̪ɛ
mendēs	mɛn̪d̪ɛs
mendīcissime	mɛn̪d̪it͡ʃissimɛ
mendīcus	mɛn̪d̪iːkus
mendīcātis	mɛn̪d̪ikaːt̪is
mendīcātīs	mɛn̪d̪ikaːt̪is
mendīcāverimus	mɛn̪d̪ikavɛriːmus
mendīcāverimus	mɛn̪d̪ikavɛːrimus
mendīcāveris	mɛn̪d̪ikaːvɛris
mendīcāveritis	mɛn̪d̪ikavɛriːt̪is
mendīcāveritis	mɛn̪d̪ikavɛːrit̪is
mendīcō	mɛn̪d̪iːkɔ
mendōsus	mɛn̪d̪ɔːzus
menedēmus	mɛnɛd̪ɛːmus
menobardī	mɛnɔbard̪i
menoncalenī	mɛnɔŋkaːlɛni
menosca	mɛnɔska
menotharus	mɛnɔːt̪arus
menta	mɛn̪t̪a
mentastrum	mɛn̪t̪ast̪rum
mentem	mɛn̪t̪ɛm
mentior	mɛnt͡siɔr
mentiō	mɛnt͡siɔ
mentula	mɛn̪t̪ula
mentum	mɛn̪t̪um
mentālis	mɛn̪t̪aːlis
mentēsa	mɛn̪t̪ɛːza
mentīgō	mɛn̪t̪iːɡɔ
menēnius	mɛnɛːnius
mephītis	mɛfiːt̪is
mercor	mɛrkɔr
mercurius	mɛrkuːrius
mercātor	mɛrkaːt̪ɔr
mercēnnārius	mɛrt͡ʃɛnnaːrius
mercēnārius	mɛrt͡ʃɛnaːrius
mercēs	mɛrt͡ʃɛs
merda	mɛrd̪a
merenda	mɛrɛn̪d̪a
meretor	mɛːrɛt̪ɔr
meretrīcius	mɛrɛt̪riːt͡ʃius
meretrīx	mɛːrɛt̪riks
mereō	mɛːrɛɔ
mergae	mɛrd͡ʒɛ
merges	mɛrd͡ʒɛs
mergus	mɛrɡus
mergēs	mɛrd͡ʒɛs
mergō	mɛrɡɔ
meritissimō	mɛrit̪issimɔ
meritum	mɛːrit̪um
meritus	mɛːrit̪us
meritōrius	mɛrit̪ɔːrius
mermē	mɛrmɛ
merobrīga	mɛrɔbriːɡa
mersō	mɛrsɔ
merula	mɛːrula
merulentus	mɛrulɛn̪t̪us
merus	mɛːrus
merx	mɛrks
merācus	mɛraːkus
merī	mɛːri
merīdiāna	mɛrid̪iaːna
merīdiāne	mɛrid̪iaːnɛ
merīdiāns	mɛriːd̪ians
merīdiānus	mɛrid̪iaːnus
merīdiānās	mɛrid̪iaːnas
merīdiānī	mɛrid̪iaːni
merīdiānō	mɛrid̪iaːnɔ
merīdiānōs	mɛrid̪iaːnɔs
merīdiātiō	mɛrid̪iaːt͡siɔ
merīdiēs	mɛriːd̪iɛs
merīdiō	mɛriːd̪iɔ
merīdiōnālis	mɛrid̪iɔnaːlis
merīdiōnālēs	mɛrid̪iɔnaːlɛs
merīnum	mɛriːnum
merō	mɛːrɔ
mesae	mɛːzɛ
mesoleucos	mɛzɔlɛu̯kɔs
mesophilicus	mɛzɔfiːlikus
mespila	mɛspila
mespilum	mɛspilum
messabatēnē	mɛssabat̪ɛːnɛ
messapiī	mɛssaːpii
messia	mɛssia
messidius	mɛssiːd̪ius
messis	mɛssis
messius	mɛssius
messiēnus	mɛssiɛːnus
messiō	mɛssiɔ
messālla	mɛssalla
messāpus	mɛssaːpus
messēnē	mɛssɛːnɛ
messīā	mɛssiːa
messīās	mɛssiːas
messōrius	mɛssɔːrius
mestrius	mɛst̪rius
mesē	mɛːzɛ
mesēmbria	mɛzɛmbria
mesēnē	mɛzɛːnɛ
mesēs	mɛːzɛs
metabus	mɛːt̪abus
metallicus	mɛt̪allikus
metallidūrāns	mɛt̪allid̪uːrans
metallifer	mɛt̪allifɛr
metallireducēns	mɛt̪allirɛːd̪ut͡ʃɛns
metallum	mɛt̪allum
metallāria	mɛt̪allaːria
metallārius	mɛt̪allaːrius
metallēscēns	mɛt̪allɛʃʃɛns
metam	mɛːt̪am
metamorphōsēs	mɛt̪amɔrfɔːzɛs
metapa	mɛːt̪apa
metaphora	mɛt̪aːfɔra
metaphoricus	mɛt̪afɔːrikus
metaplasmus	mɛt̪aplasmus
metasyncriticus	mɛt̪aziŋkriːt̪ikus
metaurus	mɛt̪au̯rus
mete	mɛːt̪ɛ
metellus	mɛt̪ɛllus
metellīnum	mɛt̪ɛlliːnum
metendō	mɛt̪ɛn̪d̪ɔ
meterem	mɛːt̪ɛrɛm
meterēs	mɛːt̪ɛrɛs
methium	mɛːt̪ium
methodicus	mɛt̪ɔːd̪ikus
methodus	mɛːt̪ɔd̪us
methora	mɛːt̪ɔra
methorcum	mɛt̪ɔrkum
methydrium	mɛt̪iːd̪rium
methysticus	mɛt̪ist̪ikus
methōnē	mɛt̪ɔːnɛ
meticulōsus	mɛt̪ikulɔːzus
metilius	mɛt̪iːlius
metode	mɛːt̪ɔd̪ɛ
metodus	mɛːt̪ɔd̪us
metodī	mɛːt̪ɔd̪i
metodō	mɛːt̪ɔd̪ɔ
metricus	mɛːt̪rikus
metrum	mɛːt̪rum
metrēta	mɛt̪rɛːt̪a
metrī	mɛːt̪ri
mettius	mɛt̪t̪ius
metubarbis	mɛt̪ubarbis
metus	mɛːt̪us
metuō	mɛːt̪uɔ
metēs	mɛːt̪ɛs
metī	mɛːt̪i
metīna	mɛt̪iːna
metō	mɛːt̪ɔ
metōpion	mɛt̪ɔːpiɔn
meum	mɛu̯m
meum	mɛːum
meus	mɛːus
mevaniola	mɛvaniːɔla
mexicāna	mɛksikaːna
mexicānus	mɛksikaːnus
mexicānās	mɛksikaːnas
mexicānēnsis	mɛksikanɛnsis
mexicānō	mɛksikaːnɔ
mexicānōs	mɛksikaːnɔs
mezentius	mɛdd͡zɛnt͡sius
mezetulus	mɛdd͡zɛːt̪ulus
meāns	mɛːans
meārum	mɛaːrum
meās	mɛːas
meātim	mɛaːt̪im
meātis	mɛaːt̪is
meātus	mɛaːt̪us
meātīs	mɛaːt̪is
meāverimus	mɛavɛriːmus
meāverimus	mɛavɛːrimus
meāveris	mɛaːvɛris
meāveritis	mɛavɛriːt̪is
meāveritis	mɛavɛːrit̪is
meī	mɛːi
meīs	mɛːis
meō	mɛːɔ
meōrum	mɛɔːrum
meōs	mɛːɔs
micciō	mitt͡ʃiɔ
michae	miːkɛ
michaeae	mikɛːɛ
michaeās	mikɛːas
michaēl	miːkaɛl
michaēlium	mikaɛːlium
michi	miːki
michiganēnsis	mikiɡanɛnsis
michigānia	mikiɡaːnia
michā	miːka
michāhēl	mikaːɛl
michās	miːkas
micō	miːkɔ
midaeium	mid̪ɛːjum
midea	miːd̪ɛa
mieza	miɛdd͡za
migrat	miːɡrat̪
migrātis	miɡraːt̪is
migrātiō	miɡraːt͡siɔ
migrātīs	miɡraːt̪is
migrātōrius	miɡrat̪ɔːrius
migrāverimus	miɡravɛriːmus
migrāverimus	miɡravɛːrimus
migrāveris	miɡraːvɛris
migrāveritis	miɡravɛriːt̪is
migrāveritis	miɡravɛːrit̪is
migrō	miɡrɔ
migrō	miːɡrɔ
mihimet	miːimɛt̪
mileon	miːlɛɔn
milevum	miːlɛvum
milium	miːlium
miliāceus	miliaːt͡ʃɛus
milliō	milliɔ
milliōnēsimus	milliɔnɛːzimus
miltiadēs	milt͡siːad̪ɛs
miltos	mil̪t̪ɔs
mimesius	mimɛːzius
mimās	miːmas
mincius	min̠ʲt͡ʃius
mindanaoēnsis	min̪d̪anaɔɛnsis
mindanēnsis	min̪d̪anɛnsis
mindarus	min̪d̪arus
mindorēnsis	min̪d̪ɔrɛnsis
minent	miːnɛn̪t̪
minera	miːnɛra
minerva	minɛrva
minervium	minɛrvium
minerāle	minɛraːlɛ
minerālis	minɛraːlis
minerālēs	minɛraːlɛs
mingō	miŋɡɔ
minibicornis	minibikɔrnis
minidius	miniːd̪ius
minima	miːnima
minimus	miːnimus
minimē	miːnimɛ
minister	minist̪ɛr
ministerium	minist̪ɛːrium
ministrātis	minist̪raːt̪is
ministrātīs	minist̪raːt̪is
ministrāverimus	minist̪ravɛriːmus
ministrāverimus	minist̪ravɛːrimus
ministrāveris	minist̪raːvɛris
ministrāveritis	minist̪ravɛriːt̪is
ministrāveritis	minist̪ravɛːrit̪is
ministrō	minist̪rɔ
minitor	miːnit̪ɔr
minitābundus	minit̪abun̪d̪us
minium	miːnium
miniātus	miniaːt̪us
minnesōta	minnɛzɔːt̪a
minthē	min̪t̪ɛ
mintriō	min̪t̪riɔ
minturnae	min̪t̪urnɛ
minucius	minuːt͡ʃius
minus	miːnus
minuscule	minuskulɛ
minutulus	minuːt̪ulus
minuō	miːnuɔ
minyas	miːnias
minātōrius	minat̪ɔːrius
mināx	miːnaks
minēs	miːnɛs
minō	miːnɔ
minōrō	minɔːrɔ
minūtia	minuːt͡sia
minūtiae	minuːt͡siɛ
minūtiloquium	minut̪ilɔːkwium
miphībōseth	mifibɔːzɛt̪
mirandicus	miran̪d̪ikus
mirmillō	mirmillɔ
misceō	miʃʃɛɔ
misellus	mizɛllus
miser	miːzɛr
misereō	mizɛːrɛɔ
miseria	mizɛːria
misericordia	mizɛrikɔrd̪ia
misericors	mizɛːrikɔrs
miseror	miːzɛrɔr
miserābilis	mizɛraːbilis
miserō	miːzɛrɔ
missionālis	missiɔnaːlis
missionārius	missiɔnaːrius
missiō	missiɔ
missūria	missuːria
mistiō	mist̪iɔ
mistūra	mist̪uːra
mithrax	miːt̪raks
mithrās	miːt̪ras
mitilō	miːt̪ilɔ
mittō	mit̪t̪ɔ
mitys	miːt̪is
mixtus	mikst̪us
mixtīcius	mikst̪iːt͡ʃius
mnēsiclēs	mnɛːziklɛs
mnēsilochus	mnɛziːlɔkus
mnēvis	mnɛːvis
mochorbae	mɔkɔrbɛ
mocī	mɔːt͡ʃi
modernus	mɔd̪ɛrnus
moderor	mɔːd̪ɛrɔr
moderāmen	mɔd̪ɛraːmɛn
moderātor	mɔd̪ɛraːt̪ɔr
moderātus	mɔd̪ɛraːt̪us
modestia	mɔd̪ɛst̪ia
modestus	mɔd̪ɛst̪us
modestē	mɔd̪ɛst̪ɛ
modestīnus	mɔd̪ɛst̪iːnus
modicia	mɔd̪iːt͡ʃia
modicum	mɔːd̪ikum
modicus	mɔːd̪ikus
modificō	mɔd̪iːfikɔ
modius	mɔːd̪ius
modiālis	mɔd̪iaːlis
modressae	mɔd̪rɛssɛ
modulor	mɔːd̪ulɔr
modulus	mɔːd̪ulus
modulātiō	mɔd̪ulaːt͡siɔ
modura	mɔːd̪ura
modus	mɔːd̪us
modāle	mɔd̪aːlɛ
modālis	mɔd̪aːlis
modūttī	mɔd̪ut̪t̪i
moecha	mɛːka
moechor	mɛːkɔr
moechīa	mɛkiːa
moenia	mɛːnia
moenis	mɛːnis
moesia	mɛːzia
moestus	mɛst̪us
mola	mɔːla
molestia	mɔlɛst̪ia
molestus	mɔlɛst̪us
molestō	mɔlɛst̪ɔ
molindae	mɔlin̪d̪ɛ
molischiānus	mɔliskiaːnus
molle	mɔllɛ
mollem	mɔllɛm
mollestra	mɔllɛst̪ra
mollia	mɔllia
mollibus	mɔllibus
mollicellus	mɔllit͡ʃɛllus
mollicomus	mɔlliːkɔmus
molliculus	mɔlliːkulus
mollifaciō	mɔllifaːt͡ʃiɔ
mollipēs	mɔllipɛs
mollis	mɔllis
molliter	mɔllit̪ɛr
mollitia	mɔlliːt͡sia
mollitōrius	mɔllit̪ɔːrius
mollitūdō	mɔllit̪uːd̪ɔ
mollium	mɔllium
molliō	mɔlliɔ
mollusca	mɔlluska
molluscum	mɔlluskum
molluscus	mɔlluskus
mollēs	mɔllɛs
mollēscō	mɔllɛskɔ
mollī	mɔlli
mollītus	mɔlliːt̪us
mollūgō	mɔlluːɡɔ
molossus	mɔlɔssus
moltō	mɔl̪t̪ɔ
moluccānus	mɔlukkaːnus
moluccēnsis	mɔlutt͡ʃɛnsis
molybdaenum	mɔlibd̪ɛːnum
molycria	mɔliːkria
molīle	mɔliːlis
molīnum	mɔliːnum
molīnus	mɔliːnus
molīnārius	mɔlinaːrius
molō	mɔːlɔ
molūcrum	mɔluːkrum
momōnia	mɔmɔːnia
mona	mɔːna
monacha	mɔːnaka
monachus	mɔːnakus
monachīum	mɔnakiːum
monadicus	mɔnaːd̪ikus
monapia	mɔnaːpia
monarchia	mɔnarkia
monas	mɔːnas
monastērium	mɔnast̪ɛːrium
monesī	mɔːnɛzi
moneō	mɔːnɛɔ
mongolia	mɔŋɡɔːlia
mongolicus	mɔŋɡɔːlikus
mongoliēnsis	mɔŋɡɔliɛnsis
monimus	mɔːnimus
monitiō	mɔniːt͡siɔ
monitor	mɔːnit̪ɔr
monitus	mɔːnit̪us
monnius	mɔnnius
monnula	mɔnnula
monocerōs	mɔnɔːt͡ʃɛrɔs
monochordos	mɔnɔkɔrd̪ɔs
monocrēpis	mɔnɔkrɛːpis
monocyte	mɔnɔːt͡ʃit̪ɛ
monocytus	mɔnɔːt͡ʃit̪us
monocytī	mɔnɔːt͡ʃit̪i
monocōlus	mɔnɔkɔːlus
monogenem	mɔnɔːd͡ʒɛnɛm
monogenēs	mɔnɔːd͡ʒɛnɛs
monopōlium	mɔnɔpɔːlium
monoīdēs	mɔnɔiːd̪ɛs
monoīdī	mɔnɔiːd̪i
montanēnsis	mɔn̪t̪anɛnsis
montereyēnsis	mɔn̪t̪ɛrɛi̯ɛnsis
monticola	mɔn̪t̪iːkɔla
monticulus	mɔn̪t̪iːkulus
montivagus	mɔn̪t̪iːvaɡus
montuōsus	mɔn̪t̪uɔːzus
montāna	mɔn̪t̪aːna
montānus	mɔn̪t̪aːnus
monuerimus	mɔnuɛriːmus
monuerimus	mɔnuɛːrimus
monueris	mɔnuːɛris
monueritis	mɔnuɛriːt̪is
monueritis	mɔnuɛːrit̪is
monumentum	mɔnumɛn̪t̪um
monēns	mɔːnɛns
monēta	mɔnɛːt̪a
monīle	mɔniːlis
monīlifer	mɔniːlifɛr
monōdicus	mɔnɔːd̪ikus
monūnius	mɔnuːnius
mopsium	mɔpsium
mopsus	mɔpsus
mora	mɔːra
morbidus	mɔrbid̪us
morbifer	mɔrbifɛr
morbificō	mɔrbiːfikɔ
morbus	mɔrbus
morbōnia	mɔrbɔːnia
morbōvia	mɔrbɔːvia
mordeō	mɔrd̪ɛɔ
mordicus	mɔrd̪ikus
mordācēs	mɔrd̪aːt͡ʃɛs
mordāx	mɔrd̪aks
mordēre	mɔrd̪ɛːrɛ
moreris	mɔːrɛris
morgantia	mɔrɡant͡sia
morgētēs	mɔrd͡ʒɛːt̪ɛs
moribundus	mɔribun̪d̪us
moridūnum	mɔrid̪uːnum
morimēnē	mɔrimɛːnɛ
morinī	mɔːrini
morior	mɔːriɔr
morisēnī	mɔrizɛːni
moritasgus	mɔrit̪asɡus
moritūrus	mɔrit̪uːrus
moritūrī	mɔrit̪uːri
mormorion	mɔrmɔːriɔn
morochītēs	mɔrɔkiːt̪ɛs
morogī	mɔːrɔd͡ʒi
moror	mɔːrɔr
morphnos	mɔrfnɔs
mors	mɔrs
morsellum	mɔrsɛllum
morsicāns	mɔrsikans
morsicō	mɔrsikɔ
morticīnus	mɔrt̪it͡ʃiːnus
mortifer	mɔrt̪ifɛr
mortiferus	mɔrt̪iːfɛrus
mortis	mɔrt̪is
mortuus	mɔrt̪uus
mortuārium	mɔrt̪uaːrium
mortālis	mɔrt̪aːlis
mortālitās	mɔrt̪aːlit̪as
mortārium	mɔrt̪aːrium
moryllus	mɔrillus
morēris	mɔrɛːris
morōsitās	mɔrɔːzit̪as
morōsus	mɔrɔːzus
morūnī	mɔruːni
mosa	mɔːza
mosae	mɔːzɛ
mosam	mɔːzam
mosarabicus	mɔzaraːbikus
moscha	mɔska
moschae	mɔskɛ
moscham	mɔskam
mosche	mɔskɛ
moschum	mɔskum
moschus	mɔskus
moschārum	mɔskaːrum
moschās	mɔskas
moschātus	mɔskaːt̪us
moschēnī	mɔskɛːni
moschī	mɔski
moschīs	mɔskis
moschō	mɔskɔ
moschōrum	mɔskɔːrum
moschōs	mɔskɔs
mosella	mɔzɛlla
mossambīcus	mɔssambiːkus
mossȳnoecī	mɔssinɛːt͡ʃi
mosīs	mɔːzis
mosȳnoecī	mɔzinɛːt͡ʃi
