а	a
недоследност	nɛdɔslɛdnɔst
недосликан	nɛdɔslikan
недоставен	nɛdɔstavɛn
недостижност	nɛdɔstiʒnɔst
недостоинственост	nɛdɔstɔinstvɛnɔst
недостојност	nɛdɔstɔjnɔst
недосушен	nɛdɔsuʃɛn
недотеран	nɛdɔtɛɾan
недоткаен	nɛdɔtkaɛn
недотресен	nɛdɔtrɛsɛn
недотриен	nɛdɔtrijɛn
недотрошен	nɛdɔtrɔʃɛn
недоучен	nɛdɔut͡ʃɛn
недочистен	nɛdɔt͡ʃistɛn
недочитан	nɛdɔt͡ʃitan
недошиен	nɛdɔʃijɛn
недоѕидан	nɛdɔd͡zidan
недојаден	nɛdɔjadɛn
недругарски	nɛdruɡarski
недруштвеност	nɛdruʃtvɛnɔst
недугавост	nɛduɡavɔst
нежив	nɛʒif
незабележан	nɛzabɛlɛʒan
незабележливост	nɛzabɛlɛʒlivɔst
незадоволителност	nɛzadɔvɔlitɛɫnɔst
незаинтересираност	nɛzaintɛɾɛsiɾanɔst
незаконитост	nɛzakɔnitɔst
незакотвен	nɛzakɔtvɛn
незакрепнатост	nɛzakrɛpnatɔst
незаменливост	nɛzamɛnlivɔst
незамисливост	nɛzamislivɔst
незаоблен	nɛzaɔblɛn
незапирливост	nɛzapirlivɔst
незачуван	nɛzat͡ʃuvan
незаштитен	nɛzaʃtitɛn
незаштитеност	nɛzaʃtitɛnɔst
незгодност	nɛzɡɔdnɔst
неидентификуван	nɛidɛntifikuvan
неизбричен	nɛizbrit͡ʃɛn
неизбришан	nɛizbriʃan
неизводливост	nɛizvɔdlivɔst
неизлечивост	nɛizlɛt͡ʃivɔst
неизлупен	nɛizɫupɛn
неизмазнет	nɛizmaznɛt
неизмерност	nɛizmɛrnɔst
неизметен	nɛizmɛtɛn
неизмиен	nɛizmijɛn
неизразен	nɛizrazɛn
неизрамнет	nɛizramnɛt
неизречен	nɛizrɛt͡ʃɛn
неизјаснет	nɛizjasnɛt
неискажливост	nɛiskaʒlivɔst
неискоренливост	nɛiskɔrɛnlivɔst
неискористен	nɛiskɔɾistɛn
неискреност	nɛiskrɛnɔst
неискусност	nɛiskusnɔst
неисплакнат	nɛispɫaknat
неисполнет	nɛispɔɫnɛt
неисправен	nɛispravɛn
неистребливост	nɛistrɛblivɔst
неисхранетост	nɛisxranɛtɔst
неисчистен	nɛiʃt͡ʃistɛn
нека	nɛka
некадарен	nɛkadaɾɛn
неказнет	nɛkaznɛt
неколку	nɛkɔlku
некрофилија	nɛkrɔfilija
нелегален	nɛlɛɡalɛn
нелупен	nɛɫupɛn
немарност	nɛmarnɔst
немаштија	nɛmaʃtija
неменливост	nɛmɛnlivɔst
немец	nɛmɛt͡s
немечко	nɛmɛt͡ʃkɔ
немиен	nɛmijɛn
немил	nɛmiɫ
немилосрдие	nɛmiɫɔsr̩dijɛ
немилосрдност	nɛmiɫɔsr̩dnɔst
немилост	nɛmiɫɔst
неморалност	nɛmɔɾaɫnɔst
немост	nɛmɔst
нему	nɛmu
ненавикнат	nɛnaviknat
ненавикнатост	nɛnaviknatɔst
ненагласеност	nɛnaɡɫasɛnɔst
ненаграден	nɛnaɡradɛn
ненадарен	nɛnadaɾɛn
ненадејност	nɛnadɛjnɔst
ненадминат	nɛnadminat
ненадминатост	nɛnadminatɔst
ненадоместливост	nɛnadɔmɛstlivɔst
ненамачкан	nɛnamat͡ʃkan
ненаместен	nɛnamɛstɛn
ненаметливост	nɛnamɛtlivɔst
ненаоружан	nɛnaɔɾuʒan
ненапишан	nɛnapiʃan
ненаправен	nɛnapravɛn
ненареден	nɛnaɾɛdɛn
ненасаден	nɛnasadɛn
ненаселеност	nɛnasɛlɛnɔst
ненаспан	nɛnaspan
ненашетан	nɛnaʃɛtan
ненајавен	nɛnajavɛn
ненајаден	nɛnajadɛn
ненормалност	nɛnɔrmaɫnɔst
необновен	nɛɔbnɔvɛn
необновлив	nɛɔbnɔvlif
необновливост	nɛɔbnɔvlivɔst
необоен	nɛɔbɔɛn
необоснованост	nɛɔbɔsnɔvanɔst
необработливост	nɛɔbrabɔtlivɔst
необузданост	nɛɔbuzdanɔst
необучен	nɛɔbut͡ʃɛn
необјавен	nɛɔbjavɛn
необјаснет	nɛɔbjasnɛt
необјаснив	nɛɔbjasnif
необјаснивост	nɛɔbjasnivɔst
неовластен	nɛɔvɫastɛn
неодговорност	nɛɔdɡɔvɔrnɔst
неодмереност	nɛɔdmɛɾɛnɔst
неодобрен	nɛɔdɔbrɛn
неоздравен	nɛɔzdravɛn
неоладен	nɛɔɫadɛn
неопипливост	nɛɔpiplivɔst
неопишан	nɛɔpiʃan
неоправдан	nɛɔpravdan
неопределеност	nɛɔprɛdɛlɛnɔst
неопходност	nɛɔpxɔdnɔst
неоран	nɛɔɾan
неорганизираност	nɛɔrɡaniziɾanɔst
неоснован	nɛɔsnɔvan
неостварливост	nɛɔstvarlivɔst
неоткриен	nɛɔtkrijɛn
неотстранливост	nɛɔtstranlivɔst
неотуѓивост	nɛɔtuɟivɔst
неоштетен	nɛɔʃtɛtɛn
непал	nɛpaɫ
непланиран	nɛpɫaniɾan
неплатен	nɛpɫatɛn
непобитност	nɛpɔbitnɔst
неповреден	nɛpɔvrɛdɛn
неповредливост	nɛpɔvrɛdlivɔst
неповрзан	nɛpɔvr̩zan
неповрзаност	nɛpɔvr̩zanɔst
неповторливост	nɛpɔftɔrlivɔst
непогода	nɛpɔɡɔda
непогодност	nɛpɔɡɔdnɔst
непогрешливост	nɛpɔɡrɛʃlivɔst
неподготвен	nɛpɔdɡɔtvɛn
неподготвеност	nɛpɔdɡɔtvɛnɔst
неподмитливост	nɛpɔdmitlivɔst
неподносливост	nɛpɔdnɔslivɔst
неподобен	nɛpɔdɔbɛn
неподобност	nɛpɔdɔbnɔst
непокажан	nɛpɔkaʒan
непокриен	nɛpɔkrijɛn
неполнолетност	nɛpɔɫnɔlɛtnɔst
неположен	nɛpɔɫɔʒɛn
непосакуван	nɛpɔsakuvan
непосредност	nɛpɔsrɛdnɔst
непостојаност	nɛpɔstɔjanɔst
непоткупливост	nɛpɔtkuplivɔst
непотполност	nɛpɔtpɔɫnɔst
непотребност	nɛpɔtrɛbnɔst
непоштеден	nɛpɔʃtɛdɛn
неправедност	nɛpravɛdnɔst
непреводливост	nɛprɛvɔdlivɔst
непрекинатост	nɛprɛkinatɔst
непрекинливост	nɛprɛkinlivɔst
непреодност	nɛprɛɔdnɔst
непресушност	nɛprɛsuʃnɔst
непретпазливост	nɛprɛtpazlivɔst
непривлечност	nɛprivlɛt͡ʃnɔst
непризнаен	nɛpriznaɛn
неприкладност	nɛprikɫadnɔst
неприкосновеност	nɛprikɔsnɔvɛnɔst
неприкриен	nɛprikrijɛn
неприлагоден	nɛpriɫaɡɔdɛn
неприлика	nɛprilika
неприменливост	nɛprimɛnlivɔst
неприфатен	nɛprifatɛn
непријавен	nɛprijavɛn
непријателка	nɛprijatɛɫka
непробојност	nɛprɔbɔjnɔst
непроверен	nɛprɔvɛɾɛn
непроветрен	nɛprɔvɛtrɛn
непровидност	nɛprɔvidnɔst
непрозрачност	nɛprɔzrat͡ʃnɔst
непрокопсаност	nɛprɔkɔpsanɔst
непроменливост	nɛprɔmɛnlivɔst
непроодност	nɛprɔɔdnɔst
непропустливост	nɛprɔpustlivɔst
непростен	nɛprɔstɛn
непрочистен	nɛprɔt͡ʃistɛn
непрочитан	nɛprɔt͡ʃitan
непроширен	nɛprɔʃiɾɛn
непушач	nɛpuʃat͡ʃ
неразбирливост	nɛɾazbirlivɔst
неразбран	nɛɾazbran
неразбраност	nɛrazbranɔst
неразделност	nɛrazdɛɫnɔst
неразреден	nɛrazrɛdɛn
неразумност	nɛrazumnɔst
неразјаснет	nɛrazjasnɛt
неразјаснетост	nɛɾazjasnɛtɔst
нераскинливост	nɛɾaskinlivɔst
нерасположеност	nɛɾaspɔɫɔʒɛnɔst
нерастворливост	nɛɾastvɔrlivɔst
нередовност	nɛrɛdɔvnɔst
нерешен	nɛɾɛʃɛn
нерешителност	nɛɾɛʃitɛɫnɔst
нерешливост	nɛrɛʃlivɔst
несакан	nɛsakan
несамостојност	nɛsamɔstɔjnɔst
несварливост	nɛsvarlivɔst
несебичност	nɛsɛbit͡ʃnɔst
несигурност	nɛsiɡurnɔst
несилка	nɛsiɫka
нескротливост	nɛskrɔtlivɔst
неснаодливост	nɛsnaɔdlivɔst
несовесност	nɛsɔvɛsnɔst
несовладан	nɛsɔvɫadan
несовпадливост	nɛsɔfpadlivɔst
несогласност	nɛsɔɡɫasnɔst
несодржајност	nɛsɔdr̩ʒajnɔst
несоодветност	nɛsɔɔdvɛtnɔst
несочуван	nɛsɔt͡ʃuvan
неспокојност	nɛspɔkɔjnɔst
неспомнат	nɛspɔmnat
неспоредлив	nɛspɔɾɛdlif
неспоредливост	nɛspɔrɛdlivɔst
несправедливост	nɛspravɛdlivɔst
неспремност	nɛsprɛmnɔst
несразмерност	nɛsrazmɛrnɔst
несреденост	nɛsrɛdɛnɔst
нестабилност	nɛstabiɫnɔst
несфатливост	nɛsfatlivɔst
нетактичност	nɛtaktit͡ʃnɔst
нетолеранција	nɛtɔlɛrant͡sija
неточност	nɛtɔt͡ʃnɔst
неугледност	nɛuɡlɛdnɔst
неудобност	nɛudɔbnɔst
неудопство	nɛudɔpstvɔ
неукрасен	nɛukrasɛn
неумешност	nɛumɛʃnɔst
неумност	nɛumnɔst
неумоливост	nɛumɔlivɔst
неуништливост	nɛuniʃtlivɔst
неупотребен	nɛupɔtrɛbɛn
неуредност	nɛuɾɛdnɔst
неуслужливост	nɛusɫuʒlivɔst
неусогласеност	nɛusɔɡɫasɛnɔst
неуспех	nɛuspɛx
неуставност	nɛustavnɔst
неутрализација	nɛutralizat͡sija
нехуманост	nɛxumanɔst
нецелосност	nɛt͡sɛɫɔsnɔst
нечесност	nɛt͡ʃɛsnɔst
нечистотија	nɛt͡ʃistɔtija
нечитливост	nɛt͡ʃitlivɔst
нечујност	nɛt͡ʃujnɔst
нешта	nɛʃta
нешто	nɛʃtɔ
нејзе	nɛjzɛ
нива	niva
ниво	nivɔ
нивје	nivjɛ
ние	nijɛ
никаквец	nikakvɛt͡s
нимфа	niɱfa
нимфоманија	niɱfɔmanija
нискост	niskɔst
ничкум	nit͡ʃkum
ништо	niʃtɔ
ништожност	niʃtɔʒnɔst
нов	nɔf
новина	nɔvina
новинар	nɔvinar
новинарка	nɔvinarka
новинарство	nɔvinarstvɔ
новини	nɔvini
новост	nɔvɔst
нога	nɔɡa
ногопис	nɔɡɔpis
ноември	nɔɛɱvri
нож	nɔʃ
ножици	nɔʒit͡si
ножички	nɔʒit͡ʃki
ноздра	nɔzdra
нокт	nɔkt
нокти	nɔkti
нокшир	nɔkʃir
нокширче	nɔkʃirt͡ʃɛ
нормализација	nɔrmalizat͡sija
носивост	nɔsivɔst
носорог	nɔsɔɾɔk
носталгичност	nɔstaɫɡit͡ʃnɔst
нострификација	nɔstrifikat͡sija
нотарка	nɔtarka
нотарски	nɔtarski
ној	nɔj
ноќ	nɔc
ноќе	nɔcɛ
ноќева	nɔcɛva
ноќница	nɔcnit͡sa
ноџе	nɔd͡ʒɛ
нужник	nuʒnik
нужност	nuʒnɔst
нукуалофа	nukuaɫɔfa
нукуалофански	nukuaɫɔfanski
нула	nuɫa
нѐ	nɛ
обвинителка	ɔbvinitɛɫka
обвинителски	ɔbvinitɛɫski
обврзник	ɔbvr̩znik
обдарува	ɔbdaɾuva
обдукција	ɔbdukt͡sija
обединетост	ɔbɛdinɛtɔst
обезбојува	ɔbɛzbɔjuva
обезвластува	ɔbɛzvɫastuva
обезвучи	ɔbɛzvut͡ʃi
обезвучува	ɔbɛzvut͡ʃuva
обезименува	ɔbɛzimɛnuva
обезмастува	ɔbɛzmastuva
обезнадежува	ɔbɛznadɛʒuva
обезоружува	ɔbɛzɔruʒuva
обелува	ɔbɛɫuva
обемност	ɔbɛmnɔst
обесправеност	ɔbɛspravɛnɔst
обесхрабреност	ɔbɛsxrabrɛnɔst
обесштетува	ɔbɛʃʃtɛtuva
обзнани	ɔbznani
обзнанува	ɔbznanuva
обилен	ɔbilɛn
обилност	ɔbiɫnɔst
обичен	ɔbit͡ʃɛn
облак	ɔbɫak
облаче	ɔbɫat͡ʃɛ
облачност	ɔbɫat͡ʃnɔst
облог	ɔbɫɔk
обнадежува	ɔbnadɛʒuva
обновлив	ɔbnɔvlif
обожавателка	ɔbɔʒavatɛɫka
обор	ɔbɔr
обостраност	ɔbɔstranɔst
образование	ɔbrazɔvanijɛ
обратно	ɔbratnɔ
обувка	ɔbufka
објавувач	ɔbjavuvat͡ʃ
ова	ɔva
оваа	ɔvaa
оваму	ɔvamu
овација	ɔvat͡sija
овде	ɔvdɛ
овдека	ɔvdɛka
овдешен	ɔvdɛʃɛn
овенатост	ɔvɛnatɔst
овенува	ɔvɛnuva
овес	ɔvɛs
овие	ɔvijɛ
овнешки	ɔvnɛʃki
овогодишен	ɔvɔɡɔdiʃɛn
овоштарство	ɔvɔʃtarstvɔ
овошје	ɔvɔʃjɛ
овој	ɔvɔj
овца	ɔft͡sa
овци	ɔft͡si
овчар	ɔft͡ʃar
овчаров	ɔft͡ʃaɾɔf
овчарство	ɔft͡ʃarstvɔ
овчарче	ɔft͡ʃart͡ʃɛ
овчи	ɔft͡ʃi
оган	ɔɡan
оганче	ɔɡant͡ʃɛ
огламник	ɔɡɫamnik
огласен	ɔɡɫasɛn
огласник	ɔɡɫasnik
огледало	ɔɡlɛdaɫɔ
огледалце	ɔɡlɛdaɫt͡sɛ
оглупавеност	ɔɡɫupavɛnɔst
огноотпорност	ɔɡnɔɔtpɔrnɔst
ограда	ɔɡrada
ограниченост	ɔɡranit͡ʃɛnɔst
огранок	ɔɡranɔk
ограѓе	ɔɡraɟɛ
огромност	ɔɡrɔmnɔst
одбегнува	ɔdbɛɡnuva
одбива	ɔdbiva
одбивност	ɔdbivnɔst
одборник	ɔdbɔrnik
одбој	ɔdbɔj
одбојка	ɔdbɔjka
одбранува	ɔdbranuva
одважност	ɔdvaʒnɔst
одведува	ɔdvɛduva
одвиткува	ɔdvitkuva
одвлекува	ɔdvlɛkuva
одвојува	ɔdvɔjuva
одвратност	ɔdvratnɔst
одвртува	ɔdvr̩tuva
одгатнува	ɔdɡatnuva
одгледувач	ɔdɡlɛduvat͡ʃ
одгледувачки	ɔdɡlɛduvat͡ʃki
одговор	ɔdɡɔvɔr
одговори	ɔdɡɔvɔɾi
одгризува	ɔdɡrizuva
оддалеченост	ɔddalɛt͡ʃɛnɔst
одерува	ɔdɛɾuva
оди	ɔdi
одигрува	ɔdiɡruva
одлази	ɔdɫazi
одлазува	ɔdɫazuva
одлежи	ɔdlɛʒi
одличност	ɔdlit͡ʃnɔst
одмазднички	ɔdmazdnit͡ʃki
одмаздољубивост	ɔdmazdɔlubivɔst
одмереност	ɔdmɛɾɛnɔst
одмерува	ɔdmɛɾuva
одметник	ɔdmɛtnik
одмореност	ɔdmɔɾɛnɔst
одморски	ɔdmɔrski
однародува	ɔdnarɔduva
однесува	ɔdnɛsuva
одработува	ɔdrabɔtuva
одреденост	ɔdrɛdɛnɔst
одредиште	ɔdrɛdiʃtɛ
одродник	ɔdrɔdnik
одушевеност	ɔduʃɛvɛnɔst
одјури	ɔdjuɾi
озарува	ɔzaɾuva
озвучи	ɔzvut͡ʃi
озвучува	ɔzvut͡ʃuva
озон	ɔzɔn
озрачува	ɔzrat͡ʃuva
океан	ɔkɛan
окленд	ɔklɛnt
оклоп	ɔkɫɔp
оклопен	ɔkɫɔpɛn
око	ɔkɔ
оков	ɔkɔf
ококорува	ɔkɔkɔɾuva
околен	ɔkɔlɛn
околност	ɔkɔɫnɔst
окрвавува	ɔkr̩vavuva
окрка	ɔkr̩ka
оксидација	ɔksidat͡sija
октомври	ɔktɔɱvri
окупаторски	ɔkupatɔrski
окупациски	ɔkupat͡siski
окупација	ɔkupat͡sija
олабави	ɔɫabavi
олабавува	ɔɫabavuva
оладува	ɔɫaduva
олеснителен	ɔlɛsnitɛlɛn
олимпиец	ɔlimpijɛt͡s
олтарски	ɔɫtarski
омаеност	ɔmaɛnɔst
оман	ɔman
омекнатост	ɔmɛknatɔst
омекнувач	ɔmɛknuvat͡ʃ
омеѓува	ɔmɛɟuva
омлет	ɔmlɛt
омлитавува	ɔmlitavuva
онади	ɔnadi
онаму	ɔnamu
онде	ɔndɛ
ондека	ɔndɛka
онеспособеност	ɔnɛspɔsɔbɛnɔst
ономастика	ɔnɔmastika
оној	ɔnɔj
онтологија	ɔntɔɫɔɡija
опавче	ɔpaft͡ʃɛ
опасен	ɔpasɛn
опасност	ɔpasnɔst
опашка	ɔpaʃka
опашува	ɔpaʃuva
опера	ɔpɛɾa
операциски	ɔpɛrat͡siski
опипува	ɔpipuva
опис	ɔpis
опитомува	ɔpitɔmuva
опијанетост	ɔpijanɛtɔst
опијанува	ɔpijanuva
опнува	ɔpnuva
опозициски	ɔpɔzit͡siski
ополномоштеник	ɔpɔɫnɔmɔʃtɛnik
опомена	ɔpɔmɛna
опортунистички	ɔpɔrtunistit͡ʃki
опојност	ɔpɔjnɔst
определеност	ɔprɛdɛlɛnɔst
опредметува	ɔprɛdmɛtuva
опсадник	ɔpsadnik
опседнатост	ɔpsɛdnatɔst
опседнува	ɔpsɛdnuva
опсипува	ɔpsipuva
опстанува	ɔpstanuva
опстојува	ɔpstɔjuva
опсудува	ɔpsuduva
оптегнатост	ɔptɛɡnatɔst
оптегнува	ɔptɛɡnuva
оптимистичност	ɔptimistit͡ʃnɔst
опустошува	ɔpustɔʃuva
опуштеност	ɔpuʃtɛnɔst
опчинетост	ɔpt͡ʃinɛtɔst
опширност	ɔpʃirnɔst
орален	ɔɾalɛn
ораница	ɔranit͡sa
орасположува	ɔɾaspɔɫɔʒuva
ораторски	ɔratɔrski
организаторски	ɔrɡanizatɔrski
организациски	ɔrɡanizat͡siski
орден	ɔrdɛn
ординарии	ɔrdinaɾii
ординарија	ɔrdinaɾija
орев	ɔɾɛf
оревокршачка	ɔɾɛvɔkr̩ʃat͡ʃka
оревче	ɔɾɛft͡ʃɛ
орелски	ɔɾɛɫski
оривче	ɔɾift͡ʃɛ
ориентациски	ɔɾijɛntat͡siski
ориз	ɔɾis
орле	ɔrlɛ
орлов	ɔrɫɔf
орнитологија	ɔrnitɔɫɔɡija
орница	ɔrnit͡sa
оро	ɔɾɔ
ортак	ɔrtak
ортопедија	ɔrtɔpɛdija
орце	ɔrt͡sɛ
орјат	ɔrjat
орјати	ɔrjati
орјатин	ɔrjatin
орјатка	ɔrjatka
орјатски	ɔrjatski
оса	ɔsa
осакатува	ɔsakatuva
осамне	ɔsamnɛ
осамостојува	ɔsamɔstɔjuva
осарник	ɔsarnik
освежувач	ɔsvɛʒuvat͡ʃ
освен	ɔsvɛn
осветленост	ɔsvɛtlɛnɔst
освојувачки	ɔsvɔjuvat͡ʃki
оседлува	ɔsɛdɫuva
оси	ɔsi
осигурител	ɔsiɡuɾitɛɫ
осило	ɔsiɫɔ
осин	ɔsin
осквернител	ɔskvɛrnitɛɫ
осквернува	ɔskvɛrnuva
оскудност	ɔskudnɔst
осло	ɔsɫɔ
ослоански	ɔsɫɔanski
ослободеност	ɔsɫɔbɔdɛnɔst
ослободителка	ɔsɫɔbɔditɛɫka
осмиум	ɔsmijum
основен	ɔsnɔvɛn
особеност	ɔsɔbɛnɔst
оспособеност	ɔspɔsɔbɛnɔst
оставка	ɔstafka
остарува	ɔstaɾuva
острилка	ɔstriɫka
острина	ɔstrina
остров	ɔstrɔf
островче	ɔstrɔft͡ʃɛ
осум	ɔsum
осумдесет	ɔsumdɛsɛt
осуммина	ɔsummina
осумнаесет	ɔsumnaɛsɛt
осумстотини	ɔsumstɔtini
осцилациски	ɔst͡siɫat͡siski
осцилација	ɔst͡siɫat͡sija
отава	ɔtava
отавјански	ɔtavjanski
отапеност	ɔtapɛnɔst
отапува	ɔtapuva
отвора	ɔtvɔɾa
отвореност	ɔtvɔɾɛnɔst
отвори	ɔtvɔɾi
отец	ɔtɛt͡s
откачува	ɔtkat͡ʃuva
откинува	ɔtkinuva
откочи	ɔtkɔt͡ʃi
откупува	ɔtkupuva
откупувач	ɔtkupuvat͡ʃ
оториноларингологија	ɔtɔɾinɔɫaɾiŋɡɔɫɔɡija
отпадник	ɔtpadnik
отпадничка	ɔtpadnit͡ʃka
отпадништво	ɔtpadniʃtvɔ
отпакува	ɔtpakuva
отпара	ɔtpaɾa
отпатува	ɔtpatuva
отпечати	ɔtpɛt͡ʃati
отпишува	ɔtpiʃuva
отпловува	ɔtpɫɔvuva
отпоздрави	ɔtpɔzdravi
отрезнува	ɔtrɛznuva
отров	ɔtrɔf
отровност	ɔtrɔvnɔst
отрпнува	ɔtr̩pnuva
отсвирува	ɔtsviɾuva
отсекува	ɔtsɛkuva
отсечност	ɔtsɛt͡ʃnɔst
отстапка	ɔtstapka
отстои	ɔtstɔi
оттурнува	ɔtturnuva
отуѓеност	ɔtuɟɛnɔst
отчукува	ɔtt͡ʃukuva
отшелник	ɔtʃɛɫnik
отшрафува	ɔtʃrafuva
оформува	ɔfɔrmuva
офталмологија	ɔftaɫmɔɫɔɡija
офтика	ɔftika
охрид	ɔxrit
охриѓанец	ɔxriɟanɛt͡s
охриѓанка	ɔxriɟaŋka
охриѓанче	ɔxriɟant͡ʃɛ
оцет	ɔt͡sɛt
оцрт	ɔt͡sr̩t
оцртува	ɔt͡sr̩tuva
очи	ɔt͡ʃi
очигледност	ɔt͡ʃiɡlɛdnɔst
очила	ɔt͡ʃiɫa
очник	ɔt͡ʃnik
очовечува	ɔt͡ʃɔvɛt͡ʃuva
оштетеник	ɔʃtɛtɛnik
оќелавува	ɔcɛɫavuva
оќори	ɔcɔɾi
оќорува	ɔcɔɾuva
оџачарски	ɔd͡ʒat͡ʃarski
оџачарство	ɔd͡ʒat͡ʃarstvɔ
па	pa
па	pʰa
падежен	padɛʒɛn
пазар	pazar
пазарче	pazart͡ʃɛ
пазарџија	pazard͡ʒija
пакет	pakɛt
пакетче	pakɛtt͡ʃɛ
пакистан	pakistan
палавост	paɫavɔst
палатализација	paɫatalizat͡sija
палента	palɛnta
палеонтологија	palɛɔntɔɫɔɡija
палестина	palɛstina
палец	palɛt͡s
паликир	palikir
паликирски	palikirski
палка	paɫka
палмов	paɫmɔf
палтенце	paɫtɛnt͡sɛ
палто	paɫtɔ
палче	paɫt͡ʃɛ
памук	pamuk
памуче	pamut͡ʃɛ
пандан	pandan
панкер	paŋkɛr
панкерка	paŋkɛrka
пантомимичарка	pantɔmimit͡ʃarka
пантомимичен	pantɔmimit͡ʃɛn
папок	papɔk
папочен	papɔt͡ʃɛn
папски	papski
папсува	papsuva
папучарски	paput͡ʃarski
пара	paɾa
парада	parada
паралела	paɾalɛɫa
пари	paɾi
париз	paɾis
париски	paɾiski
париче	paɾit͡ʃɛ
парк	park
паркинг	parkiŋk
паркче	parkt͡ʃɛ
парник	parnik
пародија	parɔdija
партал	partaɫ
парталче	partaɫt͡ʃɛ
партицип	partit͡sip
парчуле	part͡ʃulɛ
пасивност	pasivnɔst
пасинок	pasinɔk
пасија	pasija
пасош	pasɔʃ
пасошки	pasɔʃki
пастеризација	pastɛɾizat͡sija
пасторски	pastɔrski
патеник	patɛnik
патетичност	patɛtit͡ʃnɔst
патка	patka
патлиџан	patlid͡ʒan
патлиџанче	patlid͡ʒant͡ʃɛ
патопис	patɔpis
патор	patɔr
патче	patt͡ʃɛ
паун	paun
паунов	paunɔf
паунче	paunt͡ʃɛ
пајаков	pajakɔf
пајка	pajka
пајче	pajt͡ʃɛ
певливост	pɛvlivɔst
педер	pɛdɛr
педерастија	pɛdɛrastija
педерка	pɛdɛrka
педерство	pɛdɛrstvɔ
педерче	pɛdɛrt͡ʃɛ
педесет	pɛdɛsɛt
педијатрија	pɛdijatrija
педофилија	pɛdɔfilija
пеење	pɛɛɲɛ
пекарство	pɛkarstvɔ
пекинг	pɛkiŋk
пекиншки	pɛkinʃki
пелена	pɛlɛna
пеленче	pɛlɛnt͡ʃɛ
пенетрација	pɛnɛtrat͡sija
пенис	pɛnis
пенкало	pɛŋkaɫɔ
пепелник	pɛpɛɫnik
пеперутка	pɛpɛɾutka
пеперуткин	pɛpɛɾutkin
пеперутче	pɛpɛɾutt͡ʃɛ
перверзија	pɛrvɛrzija
пердаши	pɛrdaʃi
пердув	pɛrduf
пердувче	pɛrduft͡ʃɛ
период	pɛɾijɔt
перипетија	pɛɾipɛtija
периферија	pɛɾifɛɾija
пермутација	pɛrmutat͡sija
перница	pɛrnit͡sa
перничка	pɛrnit͡ʃka
перо	pɛɾɔ
персиски	pɛrsiski
персонификација	pɛrsɔnifikat͡sija
перфидност	pɛrfidnɔst
перцепција	pɛrt͡sɛpt͡sija
перјаница	pɛrjanit͡sa
песимистичност	pɛsimistit͡ʃnɔst
песма	pɛsma
песна	pɛsna
песничка	pɛsnit͡ʃka
песок	pɛsɔk
пет	pɛt
петел	pɛtɛɫ
петлов	pɛtɫɔf
петмина	pɛtmina
петнаесет	pɛtnaɛsɛt
петок	pɛtɔk
петокрак	pɛtɔkrak
петолиние	pɛtɔlinijɛ
петстотини	pɛtstɔtini
петунија	pɛtunija
печалбарски	pɛt͡ʃaɫbarski
печурка	pɛt͡ʃurka
печурче	pɛt͡ʃurt͡ʃɛ
пешкир	pɛʃkir
пешкирче	pɛʃkirt͡ʃɛ
пештерски	pɛʃtɛrski
пивар	pivar
пиварски	pivarski
пиварство	pivarstvɔ
пивнува	pivnuva
пиво	pivɔ
пивце	pift͡sɛ
пигментација	piɡmɛntat͡sija
пие	pijɛ
пиење	pijɛɲɛ
пикадо	pikadɔ
пикнува	piknuva
пиков	pikɔf
пингвин	piŋɡvin
пинјин	pinjin
пиперка	pipɛrka
пиперче	pipɛrt͡ʃɛ
пиратство	piɾatstvɔ
пироманија	piɾɔmanija
писателство	pisatɛɫstvɔ
пискавост	piskavɔst
писменце	pismɛnt͡sɛ
писмо	pismɔ
писмуле	pismulɛ
писнува	pisnuva
писта	pista
питомост	pitɔmɔst
пица	pit͡sa
пицерија	pit͡sɛɾija
пицнат	pit͡snat
пичка	pit͡ʃka
пички	pit͡ʃki
пиштол	piʃtɔɫ
пиштолче	piʃtɔɫt͡ʃɛ
пишуваат	piʃuvaat
пишувам	piʃuvam
пишуваме	piʃuvamɛ
пишувате	piʃuvatɛ
пишуваш	piʃuvaʃ
пишувај	piʃuvaj
пишувајте	piʃuvajtɛ
пишување	piʃuvaɲɛ
пијан	pijan
пињола	piɲɔɫa
плагијаторски	pɫaɡijatɔrski
пламен	pɫamɛn
пламенче	pɫamɛnt͡ʃɛ
пламнува	pɫamnuva
план	pɫan
планета	pɫanɛta
планина	pɫanina
планинарски	pɫaninarski
планинче	pɫanint͡ʃɛ
пласт	pɫast
пластичарски	pɫastit͡ʃarski
платина	pɫatina
платинест	pɫatinɛst
платински	pɫatinski
платненце	pɫatnɛnt͡sɛ
платно	pɫatnɔ
платонски	pɫatɔnski
платформа	pɫatfɔrma
плачливост	pɫat͡ʃlivɔst
плаши	pɫaʃi
плаши	sɛpɫaʃi
плебеец	plɛbɛɛt͡s
плевен	plɛvɛn
племе	plɛmɛ
плен	plɛn
плет	plɛt
плејбек	plɛjbɛk
пливање	plivaɲɛ
плик	plik
плиснува	plisnuva
плиткост	plitkɔst
пловдив	pɫɔvdif
пловност	pɫɔvnɔst
плод	pɫɔt
плодови	pɫɔdɔvi
плотски	pɫɔtski
плуг	pɫuk
плука	pɫuka
плукалник	pɫukaɫnik
плукнува	pɫuknuva
пневмонија	pnɛvmɔnija
пномпенски	pnɔmpɛnski
