we	βˈe
birnäçesinde	bˌirnæt͡ʃeθˈinne
dabaralaryny	dˌɑβɑrˌɑɫɑrˈɯnɯ
daşyna	dɑʃˈɯnɑ
deputatlar	dˌepʊtˈotɫor
dilli	dˈilli
dolandyryşyň	dˌoɫonnʊrˈɯʃɯŋ
dolanyşygyny	dˌoɫonˌʊʃʊʁˈɯnɯ
dostlary	doθθɫˈɑrɯ
däpleriň	dæplˈeriŋ
döremegine	dˌœrœmœʁˈøne
döwletlerine	dˌœβlœtlœrˈine
edaralaryndaky	ˌedɑrˌɑɫɑrɯndˈɑːqɯ
edendigini	ˌedenniʁˈini
eksporty	ekθpˈortʊ
elleri	ellˈeri
eneler	enˈeler
ençemesini	ˌent͡ʃemeθˈini
erkek	ˈerkek
etegindäki	ˌeteʁindˈæːkɪ
etmekleri	ˌetmeklˈeri
eýerýär	ejˈerjæːr
fakty	fˌɑqtɯ
forumlaryň	fˌorʊmɫˈorʊŋ
galdyrylan	ɡˌɑɫɫɯrˈɯɫɑn
galmagy	ɡɑɫmˈɑʁɯ
galyndylaryň	ɡˌɑɫɯnnɯɫˈɑrɯŋ
gatnawlary	ɡˌɑtnoβɫˈorɯ
gatnaşanlara	ɡˌɑtnɑʃɑnɫˈɑrɑ
gazyny	ɡɑðˈɯnɯ
gaýtarmak	ɡˌɑjtɑrmˈɑq
geologiýa	ɡˌeoɫoɡˈijɑ
giňeltmegi	ɡˌiŋeltmˈeʁi
goragçylarynyň	ɡˌoroʁt͡ʃˌʊɫɑrˈɯnɯŋ
gowuşýar	ɡoβˈʊʃjɑr
goşmaga	ɡoʃmˈoʁo
gullukçysynyň	ɡˌʊɫɫʊqt͡ʃʊθˈʊnʊŋ
gutlaýar	ɡʊtɫˈojɑr
gyssagly	ɡɯθθˈɑʁɫɯ
gönükdirilýän	ɡˌœnøkdørˈøljæn
görnüşlerde	ɡˌœrnøʃlˈœrde
göze	ɡˈœðœ
güller	ɡˈøllœr
güýzünde	ɡøːjðˈønnœ
halatlardan	xˌɑɫɑtɫˈɑrdɑn
hasylyň	xɑθˈɯɫɯŋ
häkimiň	hækˈimiŋ
häsiýetnamalary	hˌæθijˌetnɑmɑɫˈɑrɯ
işjeňligi	ˌiʃʃeŋlˈiʁi
işjeňlik	iʃʃˈeŋlik
işleriňizde	ˌiʃleriŋˈiððe
jemlenen	d͡ʒemlˈenen
kanunçykaryjylyk	qˌɑnʊnt͡ʃˌʊqɑrɯd͡ʒˈɯɫɯq
kazylar	qɑðˈɯɫɑr
kemçiligi	kˌemt͡ʃilˈiʁi
kitaplaryň	kˌitɑpɫˈɑrɯŋ
kiçijik	kit͡ʃˈid͡ʒik
kyrk	qˈɯrk
käni	kˈæni
mata	mˈɑtɑ
materiallaryň	mˌɑterˌiɑɫɫˈɑrɯŋ
maşklary	mɑʃkɫˈɑrɯ
medallarynyň	mˌedɑɫɫɑrˈɯnɯŋ
meýdana	mejdˈɑnɑ
meýilnamalar	mˌejilnɑmˈɑɫɑr
mikromaliýe	mˌikromoɫˈije
mikroshemalaryň	mˌikroθhˌemɑɫˈɑrɯŋ
myhmanlarynyň	mˌɯxmɑnɫɑrˈɯnɯŋ
mähir	mˈæhir
müňýyllyklaryň	mˌøŋjɯɫɫɯqɫˈɑrɯŋ
nyrhlary	nɯrhɫˈɑrɯ
operasiýa	ˌoperɑθˈijɑ
ornuň	ˈornʊŋ
otly	oːtɫˈʊ
pajyň	pˈɑd͡ʒɯŋ
paçsyz	pˈɑt͡ʃθɯð
paýynyň	pɑjˈɯnɯŋ
pederlerimiziň	pˌederlˌerimˈiðiŋ
peýdalanylmagyna	pˌejdɑɫˌɑnɯɫmɑʁˈɯnɑ
polietilen	pˌoɫietˈilen
razy	rˈɑðɯ
rowaç	rˈoβot͡ʃ
russiýaly	rˌʊθθijˈɑɫɯ
salnan	θˈɑɫnɑn
sanyna	θɑnˈɯnɑ
sapaklar	θɑpˈɑqɫɑr
sapara	θɑpˈɑrɑ
saparynda	θˌɑpɑrˈɯnnɑ
saýlamaga	θˌɑjɫɑmˈɑʁɑ
saýlanyldy	θˌɑjɫɑnˈɯɫɫɯ
sekretarynyň	θˌekretɑrˈɯnɯŋ
standart	θθˈɑnnɑrt
suwuklandyrylan	θˌʊβʊqɫˌonnʊrˈɯɫɑn
sylagy	θɯɫˈɑʁɯ
sütüni	θøtˈønø
tabşyran	tɑβʃˈɯrɑn
tanalmaz	tɑnˈɑɫmɑð
taýýarlygynyň	tˌɑjjɑrɫɯʁˈɯnɯŋ
ter	tˈer
tertipnamasy	tˌertipnɑmˈɑθɯ
tutulmalydyr	tˌʊtʊɫmoɫˈʊdʊr
tölenilmegini	tˌœlœnˌølmeʁˈini
töleýär	tœlˈœjæːr
ulanylanda	ˌʊɫonʊɫˈɑnnɑ
ulanylypdyr	ˌʊɫonʊɫˈɯpdɯr
ulular	ʊɫˈʊɫor
uzalyp	ʊðˈoɫʊp
uçarlary	ˌʊt͡ʃorɫˈorɯ
uçastoklarynyň	ˌʊt͡ʃoθθˌoqɫorˈʊnʊŋ
walýuta	βɑɫjˈʊto
welosipedli	βˌeloθipˈedli
ykbaly	ɯqβˈɑɫɯ
zawod	ðˈoβod
zähmetiniň	ðˌæhmetˈiniŋ
Çaryýew	t͡ʃɑrˈɯjœβ
Ösümlikleriň	ˌœθømløklˈeriŋ
Ýangyn	jˈɑnʁɯn
Ýeňillikli	jˌeŋillˈikli
Ýurdumyzy	jˌʊrdʊmˈʊðʊ
Ýüzlenme	jøðlˈœnme
çagaly	t͡ʃɑʁˈɑɫɯ
çagyryş	t͡ʃɑʁˈɯrɯʃ
çapyksuwar	t͡ʃˌɑpɯqθˈʊβor
çapyksuwarlaryň	t͡ʃˌɑpɯqθˌʊβorɫˈorɯŋ
çeýe	t͡ʃˈeje
çeşmelerini	t͡ʃˌeʃmelerˈini
çykarylandan	t͡ʃˌɯqɑrɯɫˈɑnnɑn
ölçegi	œlt͡ʃˈœʁø
ölçegleriniň	ˌœlt͡ʃœʁlœrˈiniŋ
öndürilişini	ˌœnnørˌøløʃˈini
öwrenildi	ˌœβrœnˈølli
öňlerinde	ˌœŋlœrˈønne
ýazgylary	jˌɑðʁɯɫˈɑrɯ
ýazgyny	jɑðʁˈɯnɯ
ýazgysyny	jˌɑðʁɯθˈɯnɯ
ýaýran	jˈɑjrɑn
ýaşaýjylaryň	jˌɑʃɑjd͡ʒɯɫˈɑrɯŋ
ýerleşdirilmegi	jˌerleʃdˌirilmˈeʁi
ýetirijileriň	jˌetirˌid͡ʒilˈeriŋ
ýetirijisiniň	jˌetirˌid͡ʒiθˈiniŋ
ýetirilmeli	jˌetirilmˈeli
ýeňijilerine	jˌeŋid͡ʒˌilerˈine
ýokarlanmagyny	jˌoqorɫˌonmɑʁˈɯnɯ
ýokdugyny	jˌoqdʊʁˈʊnʊ
ýolbaşçylar	jˌoɫβoʃʃˈʊɫɑr
ýugrulan	jʊʁrˈʊɫon
ýurdunda	jʊrdˈʊnno
ýygnalan	jɯʁnˈɑɫɑn
ýylylygy	jˌɯɫɯɫˈɯʁɯ
ýüklemek	jˌøklœmˈœk
şahadatnamasyny	ʃˌɑxɑdˌɑtnɑmɑθˈɯnɯ
şertnamadan	ʃˌertnɑmˈɑdɑn
Ahmad	ˈɑxmɑd
Aýazbaba	ˌɑjɑðβˈɑβɑ
Baha	bˈɑxɑ
Baýdak	bˈɑjdɑq
Baýramaly	bˌɑjrɑmˈɑɫɯ
DK	dk
Gutlagyny	ɡˌʊtɫoʁˈʊnʊ
Hasabatda	xˌɑθɑβˈɑtdɑ
Hasan	xˈɑθɑn
Jemleýji	d͡ʒemlˈejd͡ʒi
Kongresler	qonʁrˈeθler
Kümüş	kˈømøʃ
Mukaddes	mʊqˈoddeθ
Olardan	oɫˈordon
Oýunlary	ˌojʊnɫˈorʊ
Sambo	θˈɑmmo
Synçylar	θɯnt͡ʃˈɯɫɑr
Temmäki	temmˈæki
Tertipnamasyna	tˌertipnˌɑmɑθˈɯnɑ
agentliginiň	ˌɑɡentliʁˈiniŋ
agşam	ˈɑʁʃɑm
ammaryna	ˌɑmmɑrˈɯnɑ
aralykdan	ˌɑrɑɫˈɯqdɑn
arhitektura	ˌɑrhitektˈʊro
arzuwlarymy	ˌɑrðʊβɫorˈʊmʊ
auditorçylyk	ˌɑʊdˌitort͡ʃˈʊɫʊq
awtoryň	oβtˈorʊŋ
aýallara	ˌɑjɑɫɫˈɑrɑ
aýdymçylar	ˌɑjdɯmt͡ʃˈɯɫɑr
aýyplaw	ɑjˈɯpɫoβ
aňryçäk	ɑŋrˈɯt͡ʃæk
aşakdakylar	ˌɑʃɑqdɑqˈɯɫɑr
bardygyna	bˌɑrdɯʁˈɯnɑ
bardylar	bɑrdˈɯɫɑr
barlyşy	bɑrɫˈɯʃɯ
barýarys	bɑrjˈɑrɯθ
baýragynyň	bˌɑjrɑʁˈɯnɯŋ
başartdy	bɑʃˈɑrtdɯ
bedewiň	bedˈœβiŋ
bergini	berʁˈini
berilmelidigini	bˌerilmˌelidiʁˈini
berkidýär	berkˈidjæːr
bilime	bilˈime
birinden	birˈinnen
boljakdygy	boɫd͡ʒˈoqdʊʁˌɯ
bozulmagynda	bˌoðʊɫmoʁˈʊnnɑ
boşatmaýar	bˌoʃotmˈojɑr
bähbidi	bæhβˈidi
bökmek	bœkmˈœk
bölegiň	bœlˈœʁøŋ
bütewi	bøtˈœβø
býujetiň	bjʊd͡ʒˈetiŋ
dem	dˈem
derejelerde	dˌered͡ʒelˈerde
dessurlary	dˌeθθʊrɫˈorʊ
dikeldilýär	dˌikellˈiljæːr
dikeltmäge	dˌikeltmˈæːɡe
dokalan	doqˈoɫon
doldurylan	dˌoɫɫʊrˈʊɫɑn
döretmekden	dˌœrœtmˈœkden
döwletlerde	dˌœβlœtlˈœrde
döwrebaplaşdyrylýar	dˌœβrœβˌɑpɫɑʃdɯrˈɯɫjɑr
düzedişler	dˌøðœdˈøʃler
düzgünli	døðʁˈønlø
düýbüniň	døːjbˈønøŋ
edilişini	ˌediliʃˈini
elde	ˈelle
elmydama	ˌelmɯdˈɑmɑ
esgerleri	ˌeθʁerlˈeri
eýelemek	ˌejelemˈek
eýelerine	ˌejelerˈine
gala	ɡˈɑɫɑ
garaşsyzlyk	ɡˌɑrɑʃθˈɯðɫɯq
garaşylýan	ɡˌɑrɑʃˈɯɫjɑn
garşydaşyň	ɡˌɑrʃɯdˈɑʃɯŋ
gatnaşyjylarda	ɡˌɑtnɑʃˌɯd͡ʒɯɫˈɑrdɑ
gatyna	ɡɑtˈɯnɑ
gepleşikleriniň	ɡˌepleʃˌiklerˈiniŋ
gerimde	ɡerˈimne
geçelgesini	ɡˌet͡ʃelʁeθˈini
geçirijilik	ɡˌet͡ʃirid͡ʒˈilik
gitmäge	ɡitmˈæːɡe
goldamaga	ɡˌoɫɫomˈoʁɑ
goraglylygy	ɡˌoroʁɫʊɫˈɯʁɯ
gowşurýar	ɡoβʃˈʊrjɑr
goýmagy	ɡojmˈɑʁɯ
guramalara	ɡˌʊromoɫˈɑrɑ
gurlanda	ɡʊrɫˈonno
gölleri	ɡœllˈœrø
görkezilip	ɡˌœrkœðˈøløp
görkezilişi	ɡˌœrkœðølˈøʃi
göterdi	ɡœtˈœrdø
göterip	ɡœtˈœrøp
gözlemek	ɡˌœðlœmˈœk
günlerini	ɡˌønlœrˈønø
günsaýyn	ɡønθˈɑjɯn
gürrüňsiz	ɡørrˈøŋθøð
halylarynyň	xˌɑɫɯɫɑrˈɯnɯŋ
hasaplanan	xˌɑθɑpɫˈɑnɑn
hasyllylygyny	xˌɑθɯɫɫˌɯɫɯʁˈɯnɯ
haýyşnamaçy	xˌɑjɯʃnɑmˈɑt͡ʃɯ
howada	xoβˈodo
howasy	xoβˈoθʊ
hödürlenýän	hˌœdørlˈœnjæn
ilçi	ˈiːlt͡ʃi
jemgyýetimizde	d͡ʒˌemʁɯjˌetimˈiððe
jemgyýetçiligiň	d͡ʒˌemʁɯjˌet͡ʃt͡ʃilˈiʁiŋ
kanunlarynda	qˌɑnʊnɫorˈʊnnɑ
kazyýetleri	qˌɑðɯjetlˈeri
kesgitleniler	kˌeθʁitlenˈiler
kesgitnamanyň	kˌeθʁitnɑmˈɑnɯŋ
kän	kˈæn
kärhanalaryna	kˌærxɑnˌɑɫɑrˈɯnɑ
köşgüne	kœʃʁˈønœ
liganyň	liʁˈɑnɯŋ
maddany	mɑddˈɑnɯ
maliýeleşdirilmegi	mˌɑɫijˌeleʃdˌirilmˈeʁi
maşgalalar	mˌɑʃʁɑɫˈɑɫɑr
maşgalalaryň	mˌɑʃʁɑɫɑɫˈɑrɯŋ
medeniýetleriň	mˌedenˌijetlˈeriŋ
media	medˈiɑ
mekdebine	mˌekdeβˈine
metjit	mˈetd͡ʒiːt
ministrligiň	mˌiniθθrlˈiʁiŋ
minutda	minˈʊtdo
miweleri	mˌiβelˈeri
müşderileri	mˌøʃdœrølˈœri
neşiriň	neʃˈiriŋ
nji	nd͡ʒˈi
obýektiniň	ˌoβjektˈiniŋ
oňarmandygy	ˌoŋormonnˈɯʁɯ
pagtanyň	pɑʁtˈɑnɯŋ
parkynyň	pɑrqˈɯnɯŋ
paýnamalaryň	pˌɑjnɑmɑɫˈɑrɯŋ
pensiýalar	pˌenθijˈɑɫɑr
pikirler	pikˈirler
port	pˈort
pudagyndaky	pˌʊdoʁʊndˈɑːqɯ
radio	rɑdˈio
rektory	rektˈorʊ
resminamalarda	rˌeθminˌɑmɑɫˈɑrdɑ
resminamasynyň	rˌeθminˌɑmɑθˈɯnɯŋ
ruhubelent	rˌʊxʊβˈelent
salamyny	θˌɑɫɑmˈɯnɯ
sanalyp	θɑnˈɑɫɯp
saýlawlarynda	θˌɑjɫoβɫorˈɯnnɑ
seljermegi	θˌeld͡ʒermˈeʁi
senäniň	θenˈæniŋ
serhediniň	θˌerhedˈiniŋ
serişdelere	θˌeriʃdelˈere
stadionlar	θθˌɑdiˈonɫor
stadionynda	θθˌɑdionˈʊnno
standartlarynyň	θθˌɑnnɑrtɫɑrˈɯnɯŋ
subýekti	θʊβjˈekti
syýasatymyzyň	θˌɯjɑθˌɑtɯmˈɯðɯŋ
söhbetdeşlikde	θˌœhβœtdœʃlˈøkde
söwdasyny	θˌœβdɑθˈɯnɯ
tagamlary	tˌɑʁɑmɫˈɑrɯ
tanyş	tˈɑnɯʃ
tanyşlygy	tˌɑnɯʃɫˈɯʁɯ
tapyşy	tɑpˈɯʃɯ
tassyklandy	tˌɑθθɯqɫˈɑnnɯ
taýýarladylar	tˌɑjjɑrɫɑdˈɯɫɑr
tehnologiýalara	tˌehnoɫˌoɡijɑɫˈɑrɑ
topluma	topɫˈʊmo
tutulanlardan	tˌʊtʊɫonɫˈordɑn
tälimçiler	tˌælimt͡ʃˈiler
türkmenistanlylara	tˌørkmœnˌøθθɑnɫɯɫˈɑrɑ
ulagyň	ʊɫˈoʁʊŋ
usulyýet	ˌʊθʊɫˈʊjet
utgaşdyrylan	ˌʊtʁoʃdʊrˈɯɫɑn
utgaşýar	ʊtʁˈoʃjɑr
uçastoklary	ˌʊt͡ʃoθθoqɫˈorʊ
wekilleriň	βˌekillˈeriŋ
ygtyýarnamany	ˌɯʁtɯjˌɑrnɑmˈɑnɯ
yssy	ˈɯθθɯ
zallarynyň	ðˌɑɫɫɑrˈɯnɯŋ
zolagyna	ðˌoɫoʁˈʊno
zolaklaryny	ðˌoɫoqɫorˈɯnɯ
Özi	ˈœːðø
Ýanwar	jˈɑnβɑr
Ýyldyz	jˈɯɫɫɯð
çaý	t͡ʃˈɑːj
çek	t͡ʃˈek
çempionatlarynda	t͡ʃˌempiˌonotɫorˈɯnnɑ
çeşme	t͡ʃˈeʃme
çözgüdinde	t͡ʃˌœðʁødˈønnœ
önümlere	ˌœnømlˈœrœ
önümçilikde	ˌœnømt͡ʃølˈøkde
öwrülmegi	ˌœβrølmˈœʁø
öýe	ˈœje
öňdengörüjilikli	ˌœŋŋœnʁˌœrød͡ʒølˈøkli
ýadygärligine	jˌɑdɯɡˌærliʁˈine
ýazylyp	jɑðˈɯɫɯp
ýekşenbesinde	jˌekʃenmeθˈinne
ýerlerden	jerlˈerden
ýerleşdirilip	jˌerleʃdirˈilip
ýetirilende	jˌetirilˈenne
ýolbaşçysyny	jˌoɫβoʃʃʊθˈɯnɯ
şekiller	ʃekˈiller
şerekete	ʃˌerekˈete
şäherleri	ʃˌæherlˈeri
şöhlelendirýär	ʃˌœhlœlœnnˈirjæːr
Astrahan	ɑθθrˈɑxɑn
Britaniýadan	brˌitɑnijˈɑdɑn
Britaniýanyň	brˌitɑnijˈɑnɯŋ
Diýarymyzda	dˌijɑrɯmˈɯððɑ
Durdyýew	dʊrdˈʊjœβ
Erkekleriň	ˌerkeklˈeriŋ
Geljekki	ɡeld͡ʒˈekki
Germaniýadan	ɡˌermɑnijˈɑdɑn
Gyrgyzystandan	ɡˌɯrʁɯðɯθθˈɑnnɑn
Hindistandan	hˌinniθθˈɑnnɑn
Ilçihanasynyň	ˌilt͡ʃihˌɑnɑθˈɯnɯŋ
Indiki	innˈiki
Kärhanalar	kˌærxɑnˈɑɫɑr
Manat	mˈɑnɑt
Maryda	mɑrˈɯdɑ
Meniň	mˈeniŋ
Minsk	mˈinθk
Müşderä	møʃdˈœræ
Patyşalygynyň	pˌɑtɯʃˌɑɫɯʁˈɯnɯŋ
Paýtagtymyzdaky	pˌɑjtɑʁtˌɯmɯðdˈɑːqɯ
Rejep	rˈed͡ʒep
Ruhy	rˈʊxʊ
Söweş	θˈœβœʃ
Talyp	tˈɑɫɯp
Talyplar	tɑːɫˈɯpɫɑr
Taryh	tˈɑrɯx
Taýyp	tˈɑjɯp
Topar	tˈopor
Toý	tˈoj
Usuly	ʊθˈʊɫʊ
Watanym	βɑtˈɑnɯm
Watanyň	βɑtˈɑnɯŋ
Zat	ðˈɑːt
adyl	ˈɑːdɯɫ
artdyryp	ɑrtdˈɯrɯp
aşyp	ˈɑʃɯp
baglaşmagyň	bˌɑʁɫɑʃmˈɑʁɯŋ
bagtyýarlygynyň	bˌɑʁtɯjˌɑrɫɯʁˈɯnɯŋ
bagyşlanylan	bˌɑʁɯʃɫɑnˈɯɫɑn
bahadan	bɑxˈɑdɑn
baýragyna	bˌɑjrɑʁˈɯnɑ
başladylar	bˌɑʃɫɑdˈɯɫɑr
belgisine	bˌelʁiθˈine
berijileriň	bˌerid͡ʒilˈeriŋ
berilmeli	bˌerilmˈeli
beripdir	berˈipdir
bezeginde	bˌeðeʁˈinne
binada	binˈɑdɑ
birleşdirilen	bˌirleʃdirˈilen
bitarap	biːtˈɑrɑp
bolarlar	boɫˈorɫor
bolmady	boɫmˈodʊ
bouling	boˈʊɫinʁ
boýy	bˈojɯ
boşadylan	bˌoʃodˈʊɫɑn
bölünen	bœlˈønœn
dadyp	dˈɑdɯp
desgada	deθʁˈɑdɑ
duýgularyny	dˌʊjʁʊɫorˈʊnɯ
dänesi	dænˈeθi
döwletde	dœβlˈœtdœ
döwletimizi	dˌœβlœtømˈøði
döwrebaplaşdyrylmagy	dˌœβrœβˌɑpɫɑʃdˌɯrɯɫmˈɑʁɯ
düzümindäki	dˌøðømøndˈæːkɪ
esgerleriň	ˌeθʁerlˈeriŋ
etraplarda	ˌetrɑpɫˈɑrdɑ
gadym	ɡˈɑdɯm
garamagynda	ɡˌɑrɑmɑʁˈɯnnɑ
garaýarys	ɡˌɑrɑjˈɑrɯθ
garaýyşlaryny	ɡˌɑrɑjˌɯʃɫɑrˈɯnɯ
garaýyşlarynyň	ɡˌɑrɑjˌɯʃɫɑrˈɯnɯŋ
gatnawlaryň	ɡˌɑtnoβɫˈorɯŋ
gatnawynyň	ɡˌɑtnoβˈɯnɯŋ
gazdan	ɡˈɑððɑn
geçireris	ɡˌet͡ʃirˈeriθ
geçiriljekdigini	ɡˌet͡ʃirˌild͡ʒekdiʁˈini
geçirilmäge	ɡˌet͡ʃirilmˈæːɡe
geçmegiň	ɡet͡ʃmˈeʁiŋ
girdiler	ɡirdˈiler
goýulman	ɡojˈʊɫmon
goşulyşmak	ɡˌoʃʊɫʊʃmˈɑq
guradylar	ɡˌʊrodˈʊɫɑr
gurallarynyň	ɡˌʊroɫɫorˈɯnɯŋ
guraýar	ɡʊrˈojɑr
gymmatlyk	ɡɯmmˈɑtɫɯq
gyrgyz	ɡˈɯrʁɯð
güýjüne	ɡøːjd͡ʒˈønœ
harajatlary	xˌɑrɑd͡ʒɑtɫˈɑrɯ
hasaplaşyga	xˌɑθɑpɫɑʃˈɯʁɑ
hatara	xɑtˈɑrɑ
hemrasynyň	hˌemrɑθˈɯnɯŋ
hirurgiýa	hˌirʊrʁˈijɑ
hödür	hˈœdør
hödürleýän	hˌœdørlˈœjæn
hüjüme	hød͡ʒˈømœ
hünärmeniň	hˌønærmˈœniŋ
ilatyny	ˌilɑtˈɯnɯ
ilkibaşdaky	ˌilkiβɑʃdˈɑːqɯ
içi	ˈit͡ʃi
jogapkärçiliginden	d͡ʒˌoʁopkˌært͡ʃiliʁˈinnen
kartlaryny	qˌɑrtɫɑrˈɯnɯ
kilogramdan	kˌiloʁrˈomnon
konsertiň	qonθˈertiŋ
kosmos	qˈoθmoθ
kuwwatlyklarynyň	qˌʊββotɫˌʊqɫɑrˈɯnɯŋ
köne	kˈœːnœ
körpeler	kœrpˈœlœr
maksatlaryň	mˌɑqθɑtɫˈɑrɯŋ
maliýeleşdirilýär	mˌɑɫijˌeleʃdirˈiljæːr
mazmunyna	mˌɑðmʊnˈʊnɑ
maýyplaryň	mˌɑjɯpɫˈɑrɯŋ
maşgalada	mˌɑʃʁɑɫˈɑdɑ
mejlislerinde	mˌed͡ʒliθlerˈinne
mejlisleriniň	mˌed͡ʒliθlerˈiniŋ
merkeze	merkˈeðe
meýilnamalaryny	mˌejilnˌɑmɑɫɑrˈɯnɯ
meýilnamanyň	mˌejilnɑmˈɑnɯŋ
mirasymyzyň	mˌirɑθɯmˈɯðɯŋ
miýesser	mijˈeθθer
mugallymy	mˌʊʁoɫɫˈʊmɯ
nahalyny	nˌɑxɑɫˈɯnɯ
nahar	nˈɑxɑr
neşirleriň	nˌeʃirlˈeriŋ
nyrhlar	nˈɯrhɫɑr
obasy	oβˈoθʊ
orunbasarlarynyň	ˌorʊnmˌoθorɫɑrˈɯnɯŋ
paýlamak	pˌɑjɫɑmˈɑq
pensiýalaryň	pˌenθijɑɫˈɑrɯŋ
pidasy	pidˈɑθɯ
professor	profˌeθθor
pulda	pˈʊɫɫo
sahnalaşdyrylan	θˌɑxnɑɫˌɑʃdɯrˈɯɫɑn
saýlan	θˈɑjɫɑn
senesini	θˌeneθˈini
seredilen	θˌeredˈilen
seredýär	θerˈedjæːr
sesleriň	θeθlˈeriŋ
subutnamalaryň	θˌʊβʊtnˌomoɫˈɑrɯŋ
sungatlary	θˌʊnʁotɫˈɑrɯ
suwarymly	θˌʊβorˈʊmɫɯ
sylaglaryna	θˌɯɫɑʁɫɑrˈɯnɑ
sözüň	θˈœðøŋ
talabyny	tˌɑɫɑβˈɯnɯ
tanymal	tɑnˈɯmɑɫ
tapawutlylykda	tˌɑpoβˌʊtɫʊɫˈʊqdɑ
tapyşa	tɑpˈɯʃɑ
taýýarlamalary	tˌɑjjɑrɫˌɑmɑɫˈɑrɯ
tehnikasyny	tˌehnikɑθˈɯnɯ
teklipnamasy	tˌeklipnɑmˈɑθɯ
terbiýelemäge	tˌerβijˌelemˈæːɡe
tertipnamasyna	tˌertipnˌɑmɑθˈɯnɑ
tohumy	toxˈʊmʊ
toýuny	tojˈʊnʊ
tutýarlar	tʊtjˈɑrɫɑr
tutýarys	tʊtjˈɑrɯθ
täzelikleri	tˌæðeliklˈeri
töletdirip	tˌœlœtdˈørøp
usullaryň	ˌʊθʊɫɫˈorʊŋ
uçup	ˈʊt͡ʃʊp
ykbalyny	ˌɯqβɑɫˈɯnɯ
yklymynda	ˌɯqɫɯmˈɯnnɑ
yşyklandyryş	ˌɯʃɯqɫɑnnˈɯrɯʃ
zolaklar	ðoɫˈoqɫor
Çagany	t͡ʃɑʁˈɑnɯ
Ýetginjekleriň	jˌetʁind͡ʒeklˈeriŋ
Ýüz	jˈøð
çemeleşmeleriň	t͡ʃˌemelˌeʃmelˈeriŋ
çep	t͡ʃˈep
çykanda	t͡ʃɯqˈɑnnɑ
çykar	t͡ʃˈɯqɑr
çöl	t͡ʃˈœl
ölen	ˈœlœn
önjeýli	œnd͡ʒˈœjli
öwrenmegi	ˌœβrœnmˈœʁi
özenini	ˌœðœnˈøni
üýtgedilen	ˌøːjtʁedˈilen
ýadygärliginiň	jˌɑdɯɡˌærliʁˈiniŋ
ýalan	jˈɑɫɑn
ýangyjyny	jˌɑnʁɯd͡ʒˈɯnɯ
ýaramly	jɑrˈɑmɫɯ
ýarymynyň	jˌɑrɯmˈɯnɯŋ
ýaňy	jˈɑŋɯ
ýerlenildi	jˌerlenˈilli
ýerleşdirmegiň	jˌerleʃdirmˈeʁiŋ
ýerleşip	jerlˈeʃip
ýerleşişi	jˌerleʃˈiʃi
ýetmäge	jetmˈæːɡe
ýod	jˈod
ýokarlandyrýar	jˌoqorɫonnˈɯrjɑr
ýokumly	joqˈʊmɫʊ
ýowaryna	jˌoβorˈʊno
ýurduna	jʊːrdˈʊno
ýyladyşhana	jˌɯɫɑdɯʃxˈɑːnɑ
ýylylygyň	jˌɯɫɯɫˈɯʁɯŋ
ýylyndan	jɯɫˈɯnnɑn
Şäher	ʃˈæher
şahyrana	ʃˌɑxɯrˈɑnɑ
şekilli	ʃekˈilli
şertinde	ʃertˈinne
şolar	ʃˈolor
şäherçesi	ʃˌæhert͡ʃˈeθi
Balyk	bˈɑːɫɯq
Baştutanyna	bˌɑʃtʊtonˈʊno
Bilelikde	bˌilelˈikde
Biribardan	bˌiriβˈɑrdɑn
Biržanyň	birʒˈɑnɯŋ
Düýpli	dˈøːjpli
Eýrana	ejrˈɑnɑ
Farap	fˌɑrɑp
Horwatiýanyň	xˌorβotijˈɑnɯŋ
Jemi	d͡ʒˈemi
Köpugurly	kˌœpʊʁˈʊrɫʊ
Lizing	lˈiðinʁ
Röwşen	rˈœβʃœn
Serhet	θˈerhet
Watançylyk	βˌɑtɑnt͡ʃˈɯɫɯq
aglaba	ɑʁɫˈɑβɑ
agramly	ɑʁrˈɑmɫɯ
agtygy	ɑʁtˈɯʁɯ
akyp	ˈɑqɯp
alkyş	ˈɑɫqɯʃ
ammiak	ɑmmˈiɑq
artdyrylýar	ˌɑrtdɯrˈɯɫjɑr
arzasynyň	ˌɑrðɑθˈɯnɯŋ
atalyk	ɑtˈɑɫɯq
atlaryny	ˌɑtɫɑrˈɯnɯ
atlylar	ɑtɫˈɯɫɑr
awtoulaglary	ˌoβtoˌʊɫoʁɫˈorɯ
açan	ˈɑt͡ʃɑn
aýak	ˈɑjɑq
bagyşlanypdyr	bˌɑʁɯʃɫɑnˈɯpdɯr
bahasyndan	bˌɑxɑθˈɯnnɑn
bankda	bˈɑnkdɑ
barlanylýar	bˌɑrɫɑnˈɯɫjɑr
baýdyr	bˈɑjdɯr
baýlaşdyrylýar	bˌɑjɫɑʃdɯrˈɯɫjɑr
belentlige	bˌelentlˈiʁe
beton	bˈeton
bezemek	bˌeðemˈek
bilermeniň	bˌilermˈeniŋ
bilimini	bˌilimˈini
bilmegi	bilmˈeʁi
birleşen	birlˈeʃen
birliginiň	bˌirliʁˈiniŋ
bolandygyna	bˌoɫonnʊʁˈɯnɑ
bozulmany	bˌoðʊɫmˈonʊ
boşadylyp	bˌoʃodˈʊɫʊp
boşadylýan	bˌoʃodˈʊɫjɑn
