a	ɑː
efenwyrcung	efenwyrt͡ʃunɡ
efenwyrhta	efenwyrxtɑ
efes	efes
efesian	efesiɑn
efest	efest
efete	efete
efnan	efnɑn
efnettan	efnettɑn
efor	efor
efstan	efstɑn
eft	eft
eftacenned	eftɑːkenned
eftacennednes	eftɑːkennednes
eftbot	eftboːt
eftcierran	eftt͡ʃi͜yrrɑn
eftcyrran	eftt͡ʃyrrɑn
eftgemyndgian	eftjemyndjiɑn
eftgemyndig	eftjemyndij
eftgian	eftjiɑn
efthweorfan	eftxwe͜orfɑn
eftniewung	eftni͜yːwunɡ
eftniwung	eftniːwunɡ
eg	eːj
ege	eje
ege	eːje
egesa	ejesɑ
egesa	eːɡesɑ
egesian	ejesiɑn
eglan	ejlɑn
egland	eːjlɑnd
egle	ejle
egsian	ejsiɑn
egypte	eɡypte
ehta	extɑ
ehtan	eːxtɑn
ehtend	eːxtend
el	el
elboga	elboɡɑ
elcor	elkor
eldra	eldrɑ
ele	ele
elebeam	elebæ͜ɑːm
eleberge	eleberje
elene	elene
elfen	elfen
elh	elx
ellen	ellen
ellor	ellor
ellærn	ellærn
eln	eln
elnboga	elnboɡɑ
elp	elp
elpenbænen	elpenbæːnen
elpend	elpend
elpendban	elpendbɑːn
elpendbænen	elpendbæːnen
elra	elrɑ
elreord	elre͜ord
elreordig	elre͜ordij
elþeod	elθe͜oːd
elþeodig	elθe͜oːdij
embwlatian	embwlɑːtiɑn
emn	emn
en	ən
encgel	enjel
ende	ende
endedæg	endedæj
endeleas	endelæ͜ɑːs
endeleasnes	endelæ͜ɑːsnes
endesæta	endesæːtɑ
endian	endiɑn
endlefta	endleftɑ
endleofan	endle͜ofɑn
ened	ened
engel	enjel
engellic	enjelliːt͡ʃ
englaland	enɡlɑlɑnd
engle	enɡle
englisc	enɡliʃ
enig	eːnij
enlihtan	enliːxtɑn
ent	ent
entisc	entiʃ
eode	eːo̯de
eodor	e͜odor
eoferwic	e͜oferwiːt͡ʃ
eoferwicscir	e͜oferwiːt͡ʃʃiːr
eofor	e͜ofor
eoforlic	e͜oforliːt͡ʃ
eoforwic	e͜oforwiːt͡ʃ
eoforwicscir	e͜oforwiːt͡ʃʃiːr
eoforþring	e͜oforθrinɡ
eoh	e͜ox
eoh	e͜oːx
eolet	e͜olet
eolh	e͜olx
eolhsand	e͜olxsɑnd
eom	eo̯m
eorclanstan	e͜orklɑnstɑːn
eorcnan	e͜orknɑn
eorcnanstan	e͜orknɑnstɑːn
eored	e͜oːred
eorl	e͜orl
eornost	e͜ornost
eornostlice	e͜ornostliːt͡ʃe
eorp	e͜orp
eorð	e͜orθ
eorðe	e͜orθe
eorþ	e͜orθ
eorþbeofung	e͜orθbe͜ofunɡ
eorþberie	e͜orθberie
eorþberige	e͜orθberije
eorþbifung	e͜orθbifunɡ
eorþcræft	e͜orθkræft
eorþe	e͜orθe
eorþern	e͜orθern
eorþfæt	e͜orθfæt
eorþhnutu	e͜orθxnutu
eorþhus	e͜orθxuːs
eorþlic	e͜orθliːt͡ʃ
eorþling	e͜orθlinɡ
eorþnafela	e͜orθnɑfelɑ
eorþnafola	e͜orθnɑfolɑ
eorþæppel	e͜orθæppel
eosol	e͜osol
eotaland	e͜oːtɑlɑnd
eotan	e͜otɑn
eoten	e͜oten
eotol	e͜otol
eow	e͜oːw
eowan	e͜oːwɑn
eowend	e͜owend
eower	e͜oːwer
eowic	e͜oːwit͡ʃ
eowland	e͜owlɑnd
eowu	e͜oːwu
erce	erke
erian	erjɑn
erschenn	erʃxenn
esa	eːsɑ
esla	eslɑ
esol	esol
essian	essiɑn
est	eːst
etan	etɑn
exanceaster	eksɑnt͡ʃæ͜ɑster
eþel	eːθel
eþelboda	eːθelbodɑ
eþeldream	eːθeldræ͜ɑːm
eþeleard	eːθelæ͜ɑrd
eþelfæsten	eːθelfæsten
eþelland	eːθellɑnd
eþelleas	eːθellæ͜ɑːs
eþelmearc	eːθelmæ͜ɑrk
eþelrice	eːθelriːt͡ʃe
eþelriht	eːθelrixt
eþelstaþol	eːθelstɑθol
eþelstol	eːθelstoːl
eþelstow	eːθelstoːw
eþelturf	eːθelturf
eþelweard	eːθelwæ͜ɑrd
eþelwynn	eːθelwynn
eþelþrym	eːθelθrym
eþian	eːθiɑn
facentacen	fɑːkentɑːken
facian	fɑːkiɑn
facn	fɑːkn
fadian	fɑdiɑn
fagettan	fɑːɡettɑn
fagnian	fɑɡniɑn
fah	fɑːx
fallan	fɑllɑn
fals	fɑls
fam	fɑːm
famblawende	fɑːmblɑːwende
famig	fɑːmij
fana	fɑnɑ
fand	fɑnd
fandian	fɑndiɑn
fang	fɑnɡ
fanu	fɑnu
faran	fɑrɑn
faroþ	fɑroθ
faru	fɑru
fas	fɑs
fatian	fɑtiɑn
faþe	fɑθe
faþu	fɑθu
fealcen	fæ͜ɑlken
feald	fæ͜ɑld
fealdan	fæ͜ɑldɑn
fealg	fæ͜ɑlɡ
fealh	fæ͜ɑlx
feall	fæ͜ɑll
feallan	fæ͜ɑllɑn
fealle	fæ͜ɑlle
fealu	fæ͜ɑlu
fealwian	fæ͜ɑlwiɑn
fearh	fæ͜ɑrx
fearm	fæ͜ɑrm
fearn	fæ͜ɑrn
fearr	fæ͜ɑrr
feasceaft	fæ͜ɑːʃæ͜ɑft
feaw	fæ͜ɑːw
feax	fæ͜ɑks
feaxnett	fæ͜ɑksnett
feccan	fett͡ʃɑn
fedan	feːdɑn
feder	feder
fefor	fefor
fegan	feːjɑn
feh	fex
feht	fext
fehtan	fextɑn
fela	felɑ
felafeald	felɑfæ͜ɑld
felahror	felɑxroːr
felan	feːlɑn
feld	feld
feldbeo	feldbe͜oː
feldielfen	feldi͜ylfen
feldlic	feldliːt͡ʃ
feldmore	feldmore
feldswamm	feldswɑmm
feldwyrt	feldwyrt
feldælfen	feldælfen
fell	fell
fellan	fellɑn
fellen	fellen
felt	felt
feltwurma	feltwurmɑ
feltwyrt	feltwyrt
femne	feːmne
fenester	fenester
fengel	fenɡel
fenix	feːniks
fenlic	fenliːt͡ʃ
fenn	fenn
fennig	fennij
feogan	fe͜oːjɑn
feogean	fe͜oːjɑn
feoh	fe͜ox
feohbot	fe͜oxboːt
feohern	fe͜oxern
feohgift	fe͜oxjift
feoht	fe͜oxt
feohtan	fe͜oxtɑn
feohtlac	fe͜oxtlɑːk
feola	fe͜olɑ
feolan	fe͜oːlɑn
feolo	fe͜olo
feond	fe͜oːnd
feondlic	fe͜oːndliːt͡ʃ
feondræden	fe͜oːndræːden
feondscipe	fe͜oːndʃipe
feor	fe͜or
feorbuend	fe͜orbuːend
feorh	fe͜orx
feorhbealo	fe͜orxbæ͜ɑlo
feorhscyldig	fe͜orxʃyldij
feorhweard	fe͜orxwæ͜ɑrd
feorm	fe͜orm
feormeham	fe͜ormexɑːm
feormere	fe͜ormere
feormian	fe͜ormiɑn
feornes	fe͜ornes
feorr	fe͜orr
feorran	fe͜orrɑn
feorsian	fe͜orsiɑn
feortan	fe͜ortɑn
feorweg	fe͜orwej
feorða	fe͜oːrθɑ
feorþa	fe͜oːrθɑ
feower	fe͜oːwer
feowerfeald	fe͜oːwerfæ͜ɑld
feowerteoþa	fe͜oːwerte͜oːθɑ
feowertiene	fe͜oːwerti͜yːne
feowertig	fe͜oːwertij
feran	feːrɑn
ferdwite	ferdwiːte
ferht	ferxt
ferhþ	ferxθ
ferian	ferjɑn
ferræden	feːrræːden
fers	fers
fersc	ferʃ
ferþ	ferθ
fesian	feːsiɑn
fet	feːt
fetel	fetel
feter	feter
fetian	fetiɑn
feþer	feθer
feþerbære	feθerbæːre
fic	fiːk
fician	fikiɑn
ficol	fikol
fictreow	fiːktre͜oːw
fieldestol	fi͜yldestoːl
fieldstol	fi͜yldstoːl
fiell	fi͜yll
fiellan	fi͜yllɑn
fielleseoc	fi͜yllese͜oːk
fielleseocnes	fi͜yllese͜oːknes
fierd	fi͜yrd
fierdfæreld	fi͜yrdfæreld
fierr	fi͜yrr
fiersn	fi͜yrsn
fierst	fi͜yrst
fif	fiːf
fifealde	fiːfæ͜ɑlde
fifel	fiːfel
fifelcynn	fiːfelkynn
fiffeald	fiːffæ͜ɑld
fiffealde	fiːffæ͜ɑlde
fifta	fiːftɑ
fifteoþa	fiːfte͜oːθɑ
fiftiene	fiːfti͜yːne
fiftig	fiːftij
filmen	filmen
fina	finɑ
finc	fint͡ʃ
findan	findɑn
findaþ	findɑθ
findig	findij
finger	finɡer
fingerdocce	finɡerdokke
fingeræppel	finɡeræppel
finn	finn
finta	fintɑ
finul	finul
firas	fiːrɑs
firen	firen
firendæd	firendæːd
firenfull	firenfull
firengeorn	firenje͜orn
firenhycga	firenxyjjɑ
firenhycge	firenxyjje
firenian	fireniɑn
firenleahtor	firenlust
firenlic	firenliːt͡ʃ
firenlice	firenliːt͡ʃe
firenligerian	firenlijerjɑn
firenlust	firenlust
firensynn	firensynn
firensynnig	firensynnij
firentacen	firentɑːken
firentacnian	firentɑːkniɑn
firenum	firenum
firgen	firɡen
firgengat	firɡenɡɑːt
fisc	fiʃ
fiscere	fiʃʃere
fiscian	fiskiɑn
fisclacu	fiʃlɑku
fiscoþ	fiskoθ
fitt	fitt
fixen	fiksen
fiþerbære	fiθerbæːre
fiþere	fiθere
fiþerfete	fiθerfeːte
fiþerian	fiθeriɑn
fiþerleas	fiθerlæ͜ɑːs
fiþre	fiθre
fiþrian	fiθriɑn
fla	flɑː
flacor	flɑkor
flan	flɑːn
flanhræd	flɑːnxræd
flaniht	flɑːnixt
flanþracu	flɑːnθrɑku
flasce	flɑske
flat	flɑːt
flaxe	flɑkse
fleah	flæ͜ɑːx
fleam	flæ͜ɑːm
flean	flæ͜ɑːn
fleard	flæ͜ɑrd
fleardere	flæ͜ɑrdere
fleax	flæ͜ɑks
fleaxen	flæ͜ɑksen
flegan	fleːɡɑn
fleo	fle͜oː
fleogan	fle͜oːɡɑn
fleoge	fle͜oːɡe
fleogenda	fle͜oːɡendɑ
fleohtan	fle͜oxtɑn
fleon	fle͜oːn
fleos	fle͜oːs
fleotan	fle͜oːtɑn
flering	fleːrinɡ
flet	flet
flet	fleːt
fletgefeoht	fletjefe͜oxt
flett	flett
flewsa	fleːwsɑ
flicorian	flikoriɑn
fliema	fli͜yːmɑ
fliete	fli͜yːte
flitan	fliːtɑn
flitcræft	fliːtkræft
flocc	flokk
floccmælum	flokkmæːlum
flocmælum	flokmæːlum
flod	floːd
flodyþ	floːdyːθ
flor	floːr
florstan	floːrstɑːn
flota	flotɑ
flotian	flotiɑn
flowan	floːwɑn
flugol	fluɡol
flyht	flyxt
flæsc	flæːʃ
flæsclic	flæːʃliːt͡ʃ
flæscmangere	flæːʃmɑnɡere
flæscmete	flæːʃmete
fneosan	fne͜oːsɑn
fnora	fnorɑ
fnæd	fnæd
fnæs	fnæs
fnæst	fnæst
foda	foːdɑ
fodor	foːdor
fola	folɑ
folc	folk
folcgefeoht	folkjefe͜oxt
folcland	folklɑnd
folclar	folklɑːr
folclic	folkliːt͡ʃ
folcræden	folkræːden
folcstede	folkstede
foldbold	foldbold
foldbuend	foldbuːend
folde	folde
folgian	folɡiɑn
folm	folm
fon	foːn
for	for
for	foːr
foran	forɑn
forbeodan	forbe͜oːdɑn
forberan	forberɑn
forberstan	forberstɑn
forbiernan	forbi͜yrnɑn
forbindan	forbindɑn
forbirnan	forbirnɑn
forbitan	forbiːtɑn
forblawan	forblɑːwɑn
forbod	forbod
forboden	forboden
forbrecan	forbrekɑn
forbugan	forbuːɡɑn
forbugennes	forbuːɡennes
forbugennys	forbuːɡennys
forbærnan	forbærnɑn
forca	forkɑ
forcel	forkel
forceorfan	fort͡ʃe͜orfɑn
forcierrednes	fort͡ʃi͜yrrednes
forcippian	fort͡ʃippiɑn
forclingan	forklinɡɑn
forcuman	forkumɑn
forcweþan	forkweθɑn
forcyrran	fort͡ʃyrrɑn
forcyrrednes	fort͡ʃyrrednes
forcyrring	fort͡ʃyrrinɡ
ford	ford
fordeman	fordeːmɑn
fordon	fordoːn
fordragan	fordrɑɡɑn
fordrencan	fordrent͡ʃɑn
fordrifan	fordriːfɑn
fordrincan	fordrinkɑn
fordrugian	fordruːɡiɑn
fordruncnian	fordrunkniɑn
fordwinan	fordwiːnɑn
fordælan	fordæːlɑn
forealdian	foræ͜ɑldiɑn
foreberan	foreberɑn
forebisen	forebiːsen
forebisgian	forebisjiɑn
forebodian	forebodiɑn
foreceorfan	foret͡ʃe͜orfɑn
forecuman	forekumɑn
forecweþan	forekweθɑn
foredeman	foredeːmɑn
forefon	forefoːn
foregan	foreɡɑːn
foregangan	foreɡɑnɡɑn
foregenga	foreɡenjɑ
foregengel	foreɡenjel
forelar	foːrelɑːr
forelocc	forelokk
forelædan	forelæːdɑn
foremearcod	foremæ͜ɑrkod
foremearcung	foremæ͜ɑrkunɡ
forenama	forenɑmɑ
foresceawian	foreʃæ͜ɑːwiɑn
foresceawung	foreʃæ͜ɑːwunɡ
foresecgan	foresejjɑn
foresendan	foresendɑn
foreseon	forese͜oːn
foresetnes	foresetnes
foresettan	foresettɑn
foresmeagan	foresmæ͜ɑːjɑn
forespræc	forespræːt͡ʃ
forestandan	forestɑndɑn
foresteall	forestæ͜ɑll
foresteppan	foresteppɑn
foresægdnes	foresæjdnes
foretacen	foretɑːken
foreward	forewɑrd
forewarnian	forewɑrniɑn
foreweard	forewæ͜ɑrd
forewitan	forewitɑn
forewittig	forewittij
forewritan	forewriːtɑn
foreþencan	foreθent͡ʃɑn
foreþingian	foreθinɡiɑn
forfaran	forfɑrɑn
forfon	forfoːn
forgan	forɡɑːn
forgangan	forɡɑnɡɑn
forgeaf	forjæɑ̯f
forgeald	forjæɑ̯ld
forgengel	forɡenjel
forgiefan	forji͜yfɑn
forgiefendlic	forji͜yfendliːt͡ʃ
forgieldan	forji͜yldɑn
forgieman	forji͜yːmɑn
forgiemeleasian	forji͜yːmelæ͜ɑːsiɑn
forgiemeleasnes	forji͜yːmelæ͜ɑːsnes
forgietan	forji͜ytɑn
forgifendlic	forjifendliːt͡ʃ
forgifnes	forjifnes
forgnagan	forɡnɑɡɑn
forgripan	forɡriːpɑn
forgrowan	forɡroːwɑn
forgyman	forjyːmɑn
forgymeleasian	forjyːmelæ͜ɑːsiɑn
forgymeleasnes	forjyːmelæ͜ɑːsnes
forgyrdan	forɡyrdɑn
forhabban	forxɑbbɑn
forhatan	forxɑːtɑn
forhatena	forxɑːtenɑ
forhealdan	forxæ͜ɑldɑn
forheardian	forxæ͜ɑrdiɑn
forhelan	forxelɑn
forhierdan	forxi͜yrdɑn
forhweorfan	forxwe͜orfɑn
forhycgan	forxyjjɑn
forhydan	forxyːdɑn
forhyrdan	forxyrdɑn
forleosan	forle͜oːsɑn
forlicgan	forliɡɡɑn
forliden	forliden
forlidennes	forlidennes
forliger	forlijer
forligerhus	forlijerxuːs
forliþan	forliːθɑn
forloren	forloren
forlædan	forlæːdɑn
forlæran	forlæːrɑn
forlætan	forlæːtɑn
forma	formɑ
formeltan	formeltɑn
formest	formest
forn	forn
forn	foːrn
forneah	fornæ͜ɑːx
forniman	fornimɑn
forrædan	forræːdɑn
forsacan	forsɑkɑn
forsace	forsɑke
forsacende	forsɑkende
forsceadan	forʃæ͜ɑːdɑn
forsceadan	forʃɑːdɑn
forscieppan	forʃi͜yppɑn
forscrihan	forʃriːxɑn
forscrincan	forʃrinkɑn
forscyldig	forʃyldij
forscyldigian	forʃyldiɡiɑn
forscyttan	forʃyttɑn
forsecan	forseːt͡ʃɑn
forsecgan	forsejjɑn
forsellan	forsellɑn
forsendan	forsendɑn
forseon	forse͜oːn
forseoþan	forse͜oːθɑn
forsettan	forsettɑn
forsewennes	forsewennes
forsittan	forsittɑn
forslawian	forslɑːwiɑn
forslean	forslæ͜ɑːn
forsoc	forsoːk
forsocon	forsoːkon
forspendan	forspendɑn
forspennend	forspennend
forspillan	forspillɑn
forsprecan	forsprekɑn
forst	forst
forstandan	forstɑndɑn
forstelan	forstelɑn
forstes	forstes
forstoppian	forstoppiɑn
forswelgan	forswelɡɑn
forswerian	forswerjɑn
forswiþan	forswiːθɑn
forsæcþ	forsækθ
forteon	forte͜oːn
fortredan	fortredɑn
forweaxan	forwæ͜ɑksɑn
forwemman	forwemmɑn
forwenan	forweːnɑn
forweorpan	forwe͜orpɑn
forweorþan	forwe͜orθɑn
forwlencan	forwlent͡ʃɑn
forwrecan	forwrekɑn
forwundian	forwundiɑn
forwyrcan	forwyrt͡ʃɑn
forð	forθ
forþ	forθ
forþberan	forθberɑn
forþbringan	forθbrinɡɑn
forþcuman	forθkumɑn
forþfaran	forθfɑrɑn
forþferan	forθfeːrɑn
forþferde	forθfeːrde
forþflowan	forθfloːwɑn
forþgan	forθɡɑːn
forþgang	forθɡɑnɡ
forþgangan	forθɡɑnɡɑn
forþgeriman	forθjeriːmɑn
forþgesceaft	forθjeʃæ͜ɑft
forþgestigan	forθjestiːɡɑn
forþgewitan	forθjewiːtɑn
forþgewiten	forθjewiten
forþgewitennes	forθjewitennes
forþlædan	forθlæːdɑn
forþrysmian	forθrysmiɑn
forþscype	forθʃype
forþsendan	forθsendɑn
forþsprecan	forθsprekɑn
forþteon	forθte͜oːn
forþwisian	forθwiːsiɑn
foster	foːster
fostor	foːstor
fot	foːt
fotadl	foːtɑːdl
fotadlig	foːtɑːdlij
fotlic	foːtliːt͡ʃ
fotmælum	foːtmæːlum
fotscamol	foːtʃɑmol
fotsceamol	foːtʃɑmol
fotwielm	foːtwi͜ylm
fox	foks
foxhol	foksxol
fram	frɑm
framacyrran	frɑmɑːt͡ʃyrrɑn
framateon	frɑmɑːte͜oːn
frambugan	frɑmbuːɡɑn
framcierran	frɑmt͡ʃi͜yrrɑn
framcynn	frɑmkynn
framfæreld	frɑmfæreld
framhweorfan	frɑmxwe͜orfɑn
framian	frɑmiɑn
franca	frɑnkɑ
francland	frɑnklɑnd
francrice	frɑnkriːt͡ʃe
frasian	frɑːsiɑn
frasung	frɑːsunɡ
frea	fræ͜ɑː
freadrihten	fræ͜ɑːdrixten
fream	fræːɑ̯m
frean	fræːɑ̯n
freana	fræːɑ̯nɑ
frec	frek
frecen	freːken
frecennes	freːkennes
frecgan	frejjɑn
frecne	freːkne
fredan	freːdɑn
frefran	freːfrɑn
fregen	frejen
fregn	frejn
fregnan	frejnɑn
freht	frext
fremde	fremde
freme	freme
fremede	fremede
fremedlæcan	fremedlæːt͡ʃɑn
fremeþe	fremeθe
fremman	fremmɑn
frencisc	frent͡ʃiʃ
freo	fre͜oː
freod	fre͜oːd
freodom	fre͜oːdoːm
freogan	fre͜oːjɑn
freoh	fre͜oːx
freolac	fre͜oːlɑːk
freolic	fre͜oːliːt͡ʃ
freolice	fre͜oːliːt͡ʃe
freols	fre͜oːls
freolsian	fre͜oːlsiɑn
freolsiend	fre͜oːlsiend
freond	fre͜oːnd
freondlar	fre͜oːndlɑːr
freondlaþu	fre͜oːndlɑθu
freondleas	fre͜oːndlæ͜ɑːs
freondlic	fre͜oːndliːt͡ʃ
freondræden	fre͜oːndræːden
freondscipe	fre͜oːndʃipe
freosan	fre͜oːsɑn
freoþuwebba	fre͜oθuwebbɑ
freslond	freːslond
fretan	fretɑn
fricgan	frijjɑn
frician	frikiɑn
frician	friːkiɑn
friclu	friklu
fricu	friku
friesa	fri͜ysɑ
frig	friːj
frigedæg	friːjedæj
frignan	frijnɑn
frinan	friːnɑn
friþ	friθ
friþ	friːθ
friþhus	friθxuːs
friþian	friθiɑn
friþigend	friθijend
friþleas	friθlæ͜ɑːs
friþlic	friθliːt͡ʃ
friþlice	friθliːt͡ʃe
friþotacen	friθotɑːken
friþowebba	friθowebbɑ
friþsum	friθsum
friþsumian	friθsumiɑn
frocga	froɡɡɑ
frod	froːd
frofor	froːfor
froforgast	froːforɡɑːst
from	from
fromcynn	fromkynn
fromcyrran	fromt͡ʃyrrɑn
fromhweorfan	fromxwe͜orfɑn
frosc	froʃ
frowe	froːwe
frox	froks
fruma	frumɑ
frumcynn	frumkynn
frumcyrr	frumt͡ʃyrr
frumlida	frumlidɑ
frumsceaft	frumʃæ͜ɑft
fryhtu	fryxtu
frymþ	frymθ
frymþu	frymθu
frysa	frysɑ
fræfel	fræfel
frægn	fræjn
frægning	fræjninɡ
frætwe	frætwe
fugelere	fuɡelere
fuglere	fuɡlere
fugol	fuɡol
fuht	fuːxt
ful	ful
ful	fuːl
fuldon	fuldoːn
fulfremed	fulfremed
fulfremednes	fulfremednes
fulgenihtsum	fuljenixtsum
fulian	fuːliɑn
full	full
fullfyllan	fullfyllɑn
fullice	fulliːt͡ʃe
fulnes	fuːlnes
fultum	fultum
fultuman	fultumɑn
fultumian	fultumiɑn
fultumleas	fultumlæ͜ɑːs
fulwian	fulwiɑn
fulwiht	fulwixt
fulwihtan	fulwixtɑn
fulwihtian	fulwixtiɑn
fundian	fundiɑn
furþum	furθum
fus	fuːs
fyhtan	fyːxtɑn
fylan	fyːlɑn
fylgan	fyljɑn
fyllan	fyllɑn
fyllu	fyllu
fylþ	fyːlθ
fylþu	fyːlθu
fyndel	fyndel
fyr	fyr
fyr	fyːr
fyrd	fyrd
fyrdrinc	fyrdrink
fyrdsearu	fyrdsæ͜ɑru
fyrdwite	fyrdwiːte
fyren	fyren
fyren	fyːren
fyrenþearf	fyrenθæ͜ɑrf
fyrest	fyrest
fyrgengat	fyrjenɡɑːt
fyrhtu	fyrxtu
fyrhus	fyːrxuːs
fyrhþ	fyrxθ
fyrhþe	fyrxθe
fyrmest	fyrmest
fyrn	fyrn
fyrst	fyrst
fyrstan	fyːrstɑːn
fyrtorr	fyːrtorr
fyrwet	fyrwet
fyrwit	fyrwit
fysan	fyːsɑn
fysian	fyːsiɑn
fyst	fyːst
fyxen	fyksen
fæc	fæk
fæcele	fækele
fæcne	fæːkne
fæder	fæder
fædera	fæderɑ
fæderen	fæderen
fæderland	fæderlɑnd
fæderleas	fæderlæ͜ɑːs
fæderlic	fæderliːt͡ʃ
fæderrice	fæderriːt͡ʃe
fægan	fæːjɑn
fæge	fæːje
fægen	fæjen
fæger	fæjer
fægernes	fæjernes
fægnian	fæjniɑn
fæhþ	fæːxθ
fæhþbot	fæːxθboːt
fæhþe	fæːhθe
fæhþu	fæːxθu
fæla	fæːlɑ
fæle	fæːle
fælsian	fæːlsiɑn
fæman	fæːmɑn
fæmende	fæːmende
fæmne	fæːmne
fæmnhad	fæːmnxɑːd
fær	fær
fær	fæːr
færbu	færbu
færeld	færeld
færeldboc	færeldboːk
færeldfreols	færeldfre͜oːls
færgripe	fæːrɡripe
færgryre	fæːrɡryre
færinga	fæːrinɡɑ
fæs	fæs
fæsl	fæsl
fæss	fæss
fæst	fæst
fæstan	fæstɑn
fæsten	fæsten
fæstlice	fæstliːt͡ʃe
fæstnes	fæstnes
fæstnian	fæstniɑn
fæstnung	fæstnunɡ
fæt	fæt
fæt	fæːt
fætels	fætels
fætnes	fætnes
fætt	fæːtt
fæx	fæks
fæþm	fæθm
gaast	ɡɑːst
gaderian	ɡɑderiɑn
gaderung	ɡɑderunɡ
gador	ɡɑdor
gadrian	ɡɑdriɑn
gafol	ɡɑfol
gafolrand	ɡɑfolrɑnd
gafolræden	ɡɑfolræːden
gal	ɡɑːl
galan	ɡɑlɑn
galdor	ɡɑldor
galdre	ɡɑldre
galfull	ɡɑːlfull
gamen	ɡɑmen
gamenian	ɡɑmeniɑn
gamnian	ɡɑmniɑn
gamol	ɡɑmol
gan	ɡɑːn
gang	ɡɑnɡ
gangan	ɡɑnɡɑn
gangere	ɡɑnɡere
gangern	ɡɑnɡern
gangweg	ɡɑnɡwej
ganot	ɡɑnot
ganra	ɡɑnrɑ
gar	ɡɑːr
garas	ɡɑːrɑs
gardena	ɡɑːrdenɑ
gardene	ɡɑːrdene
garleac	ɡɑːrlæ͜ɑːk
garsecg	ɡɑːrsejj
gast	ɡɑːst
gastbana	ɡɑːstbɑnɑ
gastberend	ɡɑːstberend
gastcund	ɡɑːstkund
gastgedal	ɡɑːstjedɑːl
gastgifu	ɡɑːstjifu
gastleas	ɡɑːstlæ͜ɑːs
gastlic	ɡɑːstliːt͡ʃ
gastlice	ɡɑːstliːt͡ʃe
gastsunu	ɡɑːstsunu
gat	ɡɑːt
gathierde	ɡɑːtxi͜yrde
gathiorde	ɡɑːtxi͜urde
gathyrde	ɡɑːtxyrde
gatum	ɡɑːtum
ge	je
ge	jeː
gea	jæ͜ɑː
geac	jæ͜ɑːk
geaces	jæ͜ɑːkes
geador	jæ͜ɑdor
geador	ɡæ͜ɑdor
geafon	jæ͜ɑːfon
geagnian	jeɑːɡniɑn
geagniendlic	jɑːɡni͜yndliːt͡ʃ
geagnigendlic	jɑːɡnijendliːt͡ʃ
geahl	jæ͜ɑxl
gealdor	jæ͜ɑldor
gealga	jæ͜ɑlɡɑ
gealla	jæ͜ɑllɑ
gean	jæ͜ɑːn
geancyrr	jæ͜ɑːnt͡ʃyrr
geanhweorfan	jæ͜ɑːnxwe͜orfɑn
geanian	jeɑːniɑn
geanlæcan	jeɑːnlæːt͡ʃɑn
geap	jæ͜ɑːp
gear	jæ͜ɑːr
geara	jɑːrɑ
gearcian	jæ͜ɑrkiɑn
geard	jæ͜ɑrd
geardagas	jæ͜ɑːrdɑɡɑs
geardagum	jæ͜ɑːrdɑɡum
geardum	jæɑrdum
gearlic	jæ͜ɑːrliːt͡ʃ
gearn	jæ͜ɑrn
gearu	jæ͜ɑru
gearwe	jæ͜ɑrwe
gearwian	jæ͜ɑrwiɑn
geascian	jeɑːskiɑn
geat	jæ͜ɑt
geat	jæ͜ɑːt
geatan	jæ͜ɑːtɑn
geatolic	jæ͜ɑtoliːt͡ʃ
geatwa	jæ͜ɑtwɑ
geatwe	jæ͜ɑtwe
gebad	jebɑːd
gebannan	jebɑnnɑn
gebeacnian	jebæ͜ɑːkniɑn
gebeagian	jebæ͜ɑːɡiɑn
gebed	jebed
gebedda	jebeddɑ
gebeodan	jebe͜oːdɑn
gebeor	jebe͜oːr
gebeorc	jebe͜ork
gebeorg	jebe͜orɡ
gebeotian	jebe͜oːtiɑn
geberan	jeberɑn
gebetan	jebeːtɑn
gebeterian	jebeteriɑn
gebetung	jebeːtunɡ
gebicnian	jebiːkniɑn
gebidan	jebiːdɑn
gebiddan	jebiddɑn
gebigednes	jebiːjednes
gebindan	jebindɑn
gebland	jeblɑnd
geblandan	jeblɑndɑn
geblissian	jeblissiɑn
geblowan	jebloːwɑn
gebod	jebod
gebodian	jebodiɑn
gebrecan	jebrekɑn
gebringan	jebrinɡɑn
gebrot	jebrot
gebrucan	jebruːkɑn
gebugan	jebuːɡɑn
gebur	jebuːr
gebygan	jebyːjɑn
gebygednys	jebyːjednys
gebyrd	jebyrd
gebyrddæg	jebyrddæj
gebyrde	jebyrde
gebyrian	jebyrjɑn
gebæc	jebæk
gecanc	jekɑnk
gecennan	ɡekennɑn
geceosan	jet͡ʃe͜oːsɑn
gecid	jet͡ʃiːd
gecidan	jet͡ʃiːdɑn
geciegan	jet͡ʃi͜yːjɑn
geciegendlic	jet͡ʃi͜yːjendliːt͡ʃ
gecierran	jet͡ʃi͜yrrɑn
gecierrednes	jet͡ʃi͜yrrednes
gecigendlic	jet͡ʃiːjendliːt͡ʃ
geclofa	ɡeklofɑ
gecnawan	jeknɑːwɑn
gecneordlæcan	jekne͜ordlæːt͡ʃɑn
gecnos	jeknos
gecnyssan	jeknyssɑn
gecnyttan	jeknyttɑn
gecnæwe	jeknæːwe
gecocnian	jekoːkniɑn
gecocsian	jekoːksiɑn
gecor	jekor
gecorennes	jekorennes
gecorenscipe	jekorenʃipe
gecoronian	jekoroːniɑn
gecuman	jekumɑn
gecweþan	jekweθɑn
