a	a˧˥
quang hóa	waŋ˧˥hwa˩˧
quang hóa học	waŋ˧˥hwa˩˧hɔk͡p˨ˀ˩ʔ
quang húc	waŋ˧˥huk͡p˦˥
quang hưng	waŋ˧˥hɯŋ˧˥
quang hướng động	waŋ˧˥hɯəŋ˩˧doŋ͡m˨ˀ˩ʔ
quang hệ	waŋ˧˥he˨ˀ˩ʔ
quang học	waŋ˧˥hɔk͡p˨ˀ˩ʔ
quang hợp	waŋ˧˥hɤp˨ˀ˩ʔ
quang khải	waŋ˧˥xaj˧˩˨
quang kim	waŋ˧˥kim˧˥
quang kế	waŋ˧˥ke˩˧
quang lang	waŋ˧˥laŋ˧˥
quang liệu pháp	waŋ˧˥liəw˨ˀ˩ʔfap˦˥
quang long	waŋ˧˥lɔŋ͡m˧˥
quang lâm	waŋ˧˥lɤ̆m˧˥
quang lịch	waŋ˧˥lit˨ˀ˩ʔ
quang lộc	waŋ˧˥lok͡p˨ˀ˩ʔ
quang minh	waŋ˧˥min˧˥
quang minh chính trực	waŋ˧˥min˧˥cin˩˧ʈɯk˨ˀ˩ʔ
quang minh chính đại	waŋ˧˥min˧˥cin˩˧daj˨ˀ˩ʔ
quang nhân	waŋ˧˥ɲɤ̆ŋ˧˥
quang ninh	waŋ˧˥nin˧˥
quang năng	waŋ˧˥năŋ˧˥
quang phong	waŋ˧˥fɔŋ͡m˧˥
quang phát quang	waŋ˧˥fak˦˥waŋ˧˥
quang phân	waŋ˧˥fɤ̆ŋ˧˥
quang phú	waŋ˧˥fu˩˧
quang phúc	waŋ˧˥fuk͡p˦˥
quang phản ứng	waŋ˧˥faŋ˧˩˨ɯŋ˩˧
quang phổ	waŋ˧˥fo˧˩˨
quang phục	waŋ˧˥fuk͡p˨ˀ˩ʔ
quang quác	waŋ˧˥wak˦˥
quang quẻ	waŋ˧˥wɛ˧˩˨
quang sai	waŋ˧˥ʂaj˧˥
quang sinh học	waŋ˧˥ʂin˧˥hɔk͡p˨ˀ˩ʔ
quang sơn	waŋ˧˥ʂɤŋ˧˥
quang thiện	waŋ˧˥tʰiəŋ˨ˀ˩ʔ
quang thuận	waŋ˧˥tʰwɤ̆ŋ˨ˀ˩ʔ
quang thành	waŋ˧˥tʰan˦˨
quang thông	waŋ˧˥tʰoŋ͡m˧˥
quang thịnh	waŋ˧˥tʰin˨ˀ˩ʔ
quang tiến	waŋ˧˥tiəŋ˩˧
quang trung	waŋ˧˥ʈuŋ͡m˧˥
quang trọng	waŋ˧˥ʈɔŋ͡m˨ˀ˩ʔ
quang tuyến	waŋ˧˥twiəŋ˩˧
quang tâm	waŋ˧˥tɤ̆m˧˥
quang tổng hợp	waŋ˧˥toŋ͡m˧˩˨hɤp˨ˀ˩ʔ
quang từ	waŋ˧˥tɯ˦˨
quang tử	waŋ˧˥tɯ˧˩˨
quang vinh	waŋ˧˥jin˧˥
quang xúc tác	waŋ˧˥suk͡p˦˥tak˦˥
quang yên	waŋ˧˥iɛŋ˧˥
quang âm	waŋ˧˥ɤ̆m˧˥
quang điện	waŋ˧˥diəŋ˨ˀ˩ʔ
quang đãng	waŋ˧˥daŋ˧˩˨
quang độ	waŋ˧˥do˨ˀ˩ʔ
quang ứng động	waŋ˧˥ɯŋ˩˧doŋ͡m˨ˀ˩ʔ
quanh	wan˧˥
quanh co	wan˧˥kɔ˧˥
quanh năm	wan˧˥năm˧˥
quanh năm suốt tháng	wan˧˥năm˧˥ʂuək˦˥tʰaŋ˩˧
quanh quanh	wan˧˥wan˧˥
quanh queo	wan˧˥weo˧˥
quanh quánh	wan˧˥wan˩˧
quanh quéo	wan˧˥weo˩˧
quanh quất	wan˧˥wɤ̆k˦˥
quanh quẩn	wan˧˥wɤ̆ŋ˧˩˨
quanh đi quẩn lại	wan˧˥di˧˥wɤ̆ŋ˧˩˨laj˨ˀ˩ʔ
quao	waw˧˥
quau có	wăw˧˥kɔ˩˧
quay	wăj˧˥
quay chuyển	wăj˧˥cwiəŋ˧˩˨
quay cuồng	wăj˧˥kuəŋ˦˨
quay cóp	wăj˧˥kɔp˦˥
quay giáo	wăj˧˥jaw˩˧
quay gót	wăj˧˥ɣɔk͡p˦˥
quay lơ	wăj˧˥lɤ˧˥
quay lưng	wăj˧˥lɯŋ˧˥
quay lại	wăj˧˥laj˨ˀ˩ʔ
quay ngoắt	wăj˧˥ŋwăk˦˥
quay ngửa	wăj˧˥ŋɯə˧˩˨
quay như chong chóng	wăj˧˥ɲɯ˧˥cɔŋ͡m˧˥cɔŋ͡m˩˧
quay phim	wăj˧˥fim˧˥
quay phải	wăj˧˥faj˧˩˨
quay phắt	wăj˧˥făk˦˥
quay quoắt	wăj˧˥wwăk˦˥
quay quắt	wăj˧˥wăk˦˥
quay ráo	wăj˧˥ʐaw˩˧
quay sơn	wăj˧˥ʂɤŋ˧˥
quay sấp	wăj˧˥ʂɤ̆p˦˥
quay thua đáo gỡ	wăj˧˥tʰuə˧˥daw˩˧ɣɤ˧˩˨
quay trái	wăj˧˥ʈaj˩˧
quay trượt	wăj˧˥ʈɯək˨ˀ˩ʔ
quay tít	wăj˧˥tit˦˥
quay tít mù tắp	wăj˧˥tit˦˥mu˦˨tăp˦˥
quay tít thò lò	wăj˧˥tit˦˥tʰɔ˦˨lɔ˦˨
quay tơ	wăj˧˥tɤ˧˥
quay vòng	wăj˧˥jɔŋ͡m˦˨
quay đi	wăj˧˥di˧˥
quay đĩa	wăj˧˥diə˧˩˨
quay đơ	wăj˧˥dɤ˧˥
que	wɛ˧˥
que chọc lò	wɛ˧˥cɔk͡p˨ˀ˩ʔlɔ˦˨
que cời	wɛ˧˥kɤj˦˨
que diêm	wɛ˧˥jiəm˧˥
que hàn	wɛ˧˥haŋ˦˨
que móc	wɛ˧˥mɔk͡p˦˥
que ngoáy	wɛ˧˥ŋwăj˩˧
que rẽ	wɛ˧˥ʐɛ˧˩˨
que thăm	wɛ˧˥tʰăm˧˥
que đan	wɛ˧˥daŋ˧˥
que đun nước	wɛ˧˥duŋ͡m˧˥nɯək˦˥
quen	wɛŋ˧˥
quen biết	wɛŋ˧˥biək˦˥
quen biết dạ, lạ hỏi tên	wɛŋ˧˥biək˦˥ja˨ˀ˩ʔla˨ˀ˩ʔhɔj˧˩˨ten˧˥
quen biết, dạ; lạ, hỏi tên	wɛŋ˧˥biək˦˥ja˨ˀ˩ʔla˨ˀ˩ʔhɔj˧˩˨ten˧˥
quen dạ	wɛŋ˧˥ja˨ˀ˩ʔ
quen hơi	wɛŋ˧˥hɤj˧˥
quen hơi bén giọng	wɛŋ˧˥hɤj˧˥bɛŋ˩˧jɔŋ͡m˨ˀ˩ʔ
quen hơi bén tiếng	wɛŋ˧˥hɤj˧˥bɛŋ˩˧tiəŋ˩˧
quen hơi thuộc nết	wɛŋ˧˥hɤj˧˥tʰuək˨ˀ˩ʔnet˦˥
quen lệ	wɛŋ˧˥le˨ˀ˩ʔ
quen mui	wɛŋ˧˥muj˧˥
quen mui thấy mùi lại đến	wɛŋ˧˥muj˧˥tʰɤ̆j˩˧muj˦˨laj˨ˀ˩ʔden˩˧
quen mui thấy mùi ăn mãi	wɛŋ˧˥muj˧˥tʰɤ̆j˩˧muj˦˨ăŋ˧˥maj˧˩˨
quen mắt	wɛŋ˧˥măk˦˥
quen mặt	wɛŋ˧˥măk˨ˀ˩ʔ
quen mặt cắn đau	wɛŋ˧˥măk˨ˀ˩ʔkăŋ˩˧dăw˧˥
quen mặt cắt đau	wɛŋ˧˥măk˨ˀ˩ʔkăk˦˥dăw˧˥
quen mặt đắt hàng	wɛŋ˧˥măk˨ˀ˩ʔdăk˦˥haŋ˦˨
quen nhà mạ, lạ nhà chồng	wɛŋ˧˥ɲa˦˨ma˨ˀ˩ʔla˨ˀ˩ʔɲa˦˨coŋ͡m˦˨
quen nhà nạ, lạ nhà chồng	wɛŋ˧˥ɲa˦˨na˨ˀ˩ʔla˨ˀ˩ʔɲa˦˨coŋ͡m˦˨
quen như cơm bữa	wɛŋ˧˥ɲɯ˧˥kɤm˧˥bɯə˧˩˨
quen nết	wɛŋ˧˥net˦˥
quen nể dạ, lạ nể áo	wɛŋ˧˥ne˧˩˨ja˨ˀ˩ʔla˨ˀ˩ʔne˧˩˨aw˩˧
quen quen	wɛŋ˧˥wɛŋ˧˥
quen quén	wɛŋ˧˥wɛŋ˩˧
quen rái dạ, lạ rái áo	wɛŋ˧˥ʐaj˩˧ja˨ˀ˩ʔla˨ˀ˩ʔʐaj˩˧aw˩˧
quen sợ dạ, lạ sợ áo	wɛŋ˧˥ʂɤ˨ˀ˩ʔja˨ˀ˩ʔla˨ˀ˩ʔʂɤ˨ˀ˩ʔaw˩˧
quen tai nhẵn mặt	wɛŋ˧˥taj˧˥ɲăŋ˧˩˨măk˨ˀ˩ʔ
quen tay	wɛŋ˧˥tăj˧˥
quen tay hay việc	wɛŋ˧˥tăj˧˥hăj˧˥jiək˨ˀ˩ʔ
quen tay không bằng hay làm	wɛŋ˧˥tăj˧˥xoŋ͡m˧˥băŋ˦˨hăj˧˥lam˦˨
quen thuộc	wɛŋ˧˥tʰuək˨ˀ˩ʔ
quen thân	wɛŋ˧˥tʰɤ̆ŋ˧˥
quen thói	wɛŋ˧˥tʰɔj˩˧
quen thói bốc rời	wɛŋ˧˥tʰɔj˩˧bok͡p˦˥ʐɤj˦˨
quen việc	wɛŋ˧˥jiək˨ˀ˩ʔ
quen việc nhà nạ, lạ việc nhà chồng	wɛŋ˧˥jiək˨ˀ˩ʔɲa˦˨na˨ˀ˩ʔla˨ˀ˩ʔjiək˨ˀ˩ʔɲa˦˨coŋ͡m˦˨
quen ăn bén mùi	wɛŋ˧˥ăŋ˧˥bɛŋ˩˧muj˦˨
queng quéc	wɛŋ˧˥wɛk˦˥
queo	weo˧˥
queo quắt	weo˧˥wăk˦˥
queo râu	weo˧˥ʐɤ̆w˧˥
qui	wi˧˥
qui bản	wi˧˥baŋ˧˩˨
qui chính	wi˧˥cin˩˧
qui chế	wi˧˥ce˩˧
qui cách	wi˧˥kak˦˥
qui công	wi˧˥koŋ͡m˧˥
qui củ	wi˧˥ku˧˩˨
qui hoạch	wi˧˥hwak˨ˀ˩ʔ
qui hàng	wi˧˥haŋ˦˨
qui kết	wi˧˥ket˦˥
qui liệu	wi˧˥liəw˨ˀ˩ʔ
qui luật	wi˧˥lwɤ̆k˨ˀ˩ʔ
qui mô	wi˧˥mo˧˥
qui ninh	wi˧˥nin˧˥
qui nạp	wi˧˥nap˨ˀ˩ʔ
qui oán	wi˧˥waŋ˩˧
qui phạm	wi˧˥fam˨ˀ˩ʔ
qui phật	wi˧˥fɤ̆k˨ˀ˩ʔ
qui phục	wi˧˥fuk͡p˨ˀ˩ʔ
qui thiên	wi˧˥tʰiəŋ˧˥
qui thuận	wi˧˥tʰwɤ̆ŋ˨ˀ˩ʔ
qui thân	wi˧˥tʰɤ̆ŋ˧˥
qui tiên	wi˧˥tiəŋ˧˥
qui trình	wi˧˥ʈin˦˨
qui tập	wi˧˥tɤ̆p˨ˀ˩ʔ
qui tắc	wi˧˥tăk˦˥
qui tắc tam suất	wi˧˥tăk˦˥tam˧˥ʂwɤ̆k˦˥
qui tội	wi˧˥toj˨ˀ˩ʔ
qui tụ	wi˧˥tu˨ˀ˩ʔ
qui vĩ	wi˧˥ji˧˩˨
qui y	wi˧˥i˧˥
qui đầu	wi˧˥dɤ̆w˦˨
qui định	wi˧˥din˨ˀ˩ʔ
qui đồng mẫu số	wi˧˥doŋ͡m˦˨mɤ̆w˧˩˨ʂo˩˧
qui đổi	wi˧˥doj˧˩˨
qui ước	wi˧˥ɯək˦˥
qui-lát	wi˧˥-lak˦˥
quy	wi˧˥
quy bản	wi˧˥baŋ˧˩˨
quy chiếu	wi˧˥ciəw˩˧
quy chuẩn	wi˧˥cwɤ̆ŋ˧˩˨
quy chính	wi˧˥cin˩˧
quy chế	wi˧˥ce˩˧
quy chụp	wi˧˥cup˨ˀ˩ʔ
quy cách	wi˧˥kak˦˥
quy cách hoá	wi˧˥kak˦˥hwa˩˧
quy công	wi˧˥koŋ͡m˧˥
quy củ	wi˧˥ku˧˩˨
quy hoá	wi˧˥hwa˩˧
quy hoạch	wi˧˥hwak˨ˀ˩ʔ
quy hoạch vùng	wi˧˥hwak˨ˀ˩ʔjuŋ͡m˦˨
quy hoạch đô thị	wi˧˥hwak˨ˀ˩ʔdo˧˥tʰi˨ˀ˩ʔ
quy hàng	wi˧˥haŋ˦˨
quy hướng	wi˧˥hɯəŋ˩˧
quy hậu	wi˧˥hɤ̆w˨ˀ˩ʔ
quy kết	wi˧˥ket˦˥
quy kỳ	wi˧˥ki˦˨
quy luật	wi˧˥lwɤ̆k˨ˀ˩ʔ
quy lát	wi˧˥lak˦˥
quy mô	wi˧˥mo˧˥
quy mông	wi˧˥moŋ͡m˧˥
quy nhơn	wi˧˥ɲɤŋ˧˥
quy ninh	wi˧˥nin˧˥
quy nạp	wi˧˥nap˨ˀ˩ʔ
quy phạm	wi˧˥fam˨ˀ˩ʔ
quy phạm pháp luật	wi˧˥fam˨ˀ˩ʔfap˦˥lwɤ̆k˨ˀ˩ʔ
quy phục	wi˧˥fuk͡p˨ˀ˩ʔ
quy thuận	wi˧˥tʰwɤ̆ŋ˨ˀ˩ʔ
quy thân	wi˧˥tʰɤ̆ŋ˧˥
quy tiên	wi˧˥tiəŋ˧˥
quy trình	wi˧˥ʈin˦˨
quy tì	wi˧˥ti˦˨
quy tập	wi˧˥tɤ̆p˨ˀ˩ʔ
quy tắc	wi˧˥tăk˦˥
quy tắc tam suất	wi˧˥tăk˦˥tam˧˥ʂwɤ̆k˦˥
quy tội	wi˧˥toj˨ˀ˩ʔ
quy tụ	wi˧˥tu˨ˀ˩ʔ
quy vĩ	wi˧˥ji˧˩˨
quy y	wi˧˥i˧˥
quy điền	wi˧˥diəŋ˦˨
quy đầu	wi˧˥dɤ̆w˦˨
quy định	wi˧˥din˨ˀ˩ʔ
quy đồng mẫu số	wi˧˥doŋ͡m˦˨mɤ̆w˧˩˨ʂo˩˧
quy đổi	wi˧˥doj˧˩˨
quy đức	wi˧˥dɯk˦˥
quy ước	wi˧˥ɯək˦˥
quy-lát	wi˧˥-lak˦˥
quy-nin	wi˧˥-nin˧˥
quyên	wiɛŋ˧˥
quyên giáo	wiɛŋ˧˥jaw˩˧
quyên góp	wiɛŋ˧˥ɣɔp˦˥
quyên sinh	wiɛŋ˧˥ʂin˧˥
quyến	wiɛŋ˩˧
quyến anh rủ yến	wiɛŋ˩˧an˧˥ʐu˧˩˨iɛŋ˩˧
quyến cố	wiɛŋ˩˧ko˩˧
quyến dỗ	wiɛŋ˩˧jo˧˩˨
quyến dụ	wiɛŋ˩˧ju˨ˀ˩ʔ
quyến gió rủ mây	wiɛŋ˩˧jɔ˩˧ʐu˧˩˨mɤ̆j˧˥
quyến luyến	wiɛŋ˩˧lwiəŋ˩˧
quyến rũ	wiɛŋ˩˧ʐu˧˩˨
quyến thuộc	wiɛŋ˩˧tʰuək˨ˀ˩ʔ
quyết	wiɛk˦˥
quyết chiến	wiɛk˦˥ciəŋ˩˧
quyết chiến quyết thắng	wiɛk˦˥ciəŋ˩˧wiɛk˦˥tʰăŋ˩˧
quyết chiến điểm	wiɛk˦˥ciəŋ˩˧diəm˧˩˨
quyết chí	wiɛk˦˥ci˩˧
quyết chí bền gan	wiɛk˦˥ci˩˧ben˦˨ɣaŋ˧˥
quyết khoa	wiɛk˦˥xwa˧˥
quyết kế thừa cơ	wiɛk˦˥ke˩˧tʰɯə˦˨kɤ˧˥
quyết liệt	wiɛk˦˥liək˨ˀ˩ʔ
quyết minh	wiɛk˦˥min˧˥
quyết nghị	wiɛk˦˥ŋi˨ˀ˩ʔ
quyết nhiên	wiɛk˦˥ɲiəŋ˧˥
quyết sinh	wiɛk˦˥ʂin˧˥
quyết sách	wiɛk˦˥ʂak˦˥
quyết thắng	wiɛk˦˥tʰăŋ˩˧
quyết thực vật	wiɛk˦˥tʰɯk˨ˀ˩ʔjɤ̆k˨ˀ˩ʔ
quyết tiến	wiɛk˦˥tiəŋ˩˧
quyết toán	wiɛk˦˥twaŋ˩˧
quyết tâm	wiɛk˦˥tɤ̆m˧˥
quyết tâm thư	wiɛk˦˥tɤ̆m˧˥tʰɯ˧˥
quyết tình	wiɛk˦˥tin˦˨
quyết tử	wiɛk˦˥tɯ˧˩˨
quyết ý	wiɛk˦˥i˩˧
quyết đoán	wiɛk˦˥dwaŋ˩˧
quyết đoán luận	wiɛk˦˥dwaŋ˩˧lwɤ̆ŋ˨ˀ˩ʔ
quyết đấu	wiɛk˦˥dɤ̆w˩˧
quyết định	wiɛk˦˥din˨ˀ˩ʔ
quyết định luận	wiɛk˦˥din˨ˀ˩ʔlwɤ̆ŋ˨ˀ˩ʔ
quyền	wiɛŋ˦˨
quyền anh	wiɛŋ˦˨an˧˥
quyền binh	wiɛŋ˦˨bin˧˥
quyền biến	wiɛŋ˦˨biəŋ˩˧
quyền bính	wiɛŋ˦˨bin˩˧
quyền cao chức trọng	wiɛŋ˦˨kaw˧˥cɯk˦˥ʈɔŋ͡m˨ˀ˩ʔ
quyền cao lộc hậu	wiɛŋ˦˨kaw˧˥lok͡p˨ˀ˩ʔhɤ̆w˨ˀ˩ʔ
quyền cao lộc trọng	wiɛŋ˦˨kaw˧˥lok͡p˨ˀ˩ʔʈɔŋ͡m˨ˀ˩ʔ
quyền công dân	wiɛŋ˦˨koŋ͡m˧˥jɤ̆ŋ˧˥
quyền cước	wiɛŋ˦˨kɯək˦˥
quyền cả vạ lớn	wiɛŋ˦˨ka˧˩˨ja˨ˀ˩ʔlɤŋ˩˧
quyền dân tộc tự quyết	wiɛŋ˦˨jɤ̆ŋ˧˥tok͡p˨ˀ˩ʔtɯ˨ˀ˩ʔwiɛk˦˥
quyền gian	wiɛŋ˦˨jaŋ˧˥
quyền giả vạ thật	wiɛŋ˦˨ja˧˩˨ja˨ˀ˩ʔtʰɤ̆k˨ˀ˩ʔ
quyền huynh thế phụ	wiɛŋ˦˨hwin˧˥tʰe˩˧fu˨ˀ˩ʔ
quyền hành	wiɛŋ˦˨han˦˨
quyền hạn	wiɛŋ˦˨haŋ˨ˀ˩ʔ
quyền lợi	wiɛŋ˦˨lɤj˨ˀ˩ʔ
quyền lực	wiɛŋ˦˨lɯk˨ˀ˩ʔ
quyền môn	wiɛŋ˦˨moŋ͡m˧˥
quyền mưu	wiɛŋ˦˨mɯw˧˥
quyền nghi	wiɛŋ˦˨ŋi˧˥
quyền nhiếp	wiɛŋ˦˨ɲiəp˦˥
quyền năng	wiɛŋ˦˨năŋ˧˥
quyền quí	wiɛŋ˦˨wi˩˧
quyền quý	wiɛŋ˦˨wi˩˧
quyền rũ	wiɛŋ˦˨ʐu˧˩˨
quyền rơm vạ đá	wiɛŋ˦˨ʐɤm˧˥ja˨ˀ˩ʔda˩˧
quyền sinh quyền sát	wiɛŋ˦˨ʂin˧˥wiɛŋ˦˨ʂak˦˥
quyền sở hữu	wiɛŋ˦˨ʂɤ˧˩˨hɯw˧˩˨
quyền thu quyền bổ	wiɛŋ˦˨tʰu˧˥wiɛŋ˦˨bo˧˩˨
quyền thu quyền phát	wiɛŋ˦˨tʰu˧˥wiɛŋ˦˨fak˦˥
quyền thuật	wiɛŋ˦˨tʰwɤ̆k˨ˀ˩ʔ
quyền thần	wiɛŋ˦˨tʰɤ̆ŋ˦˨
quyền thế	wiɛŋ˦˨tʰe˩˧
quyền tự do dân chủ	wiɛŋ˦˨tɯ˨ˀ˩ʔjɔ˧˥jɤ̆ŋ˧˥cu˧˩˨
quyền uy	wiɛŋ˦˨wi˧˥
quyển	wiɛŋ˧˩˨
quyển bá	wiɛŋ˧˩˨ba˩˧
quyển khí	wiɛŋ˧˩˨xi˩˧
quyển lửa	wiɛŋ˧˩˨lɯə˧˩˨
quyển nước	wiɛŋ˧˩˨nɯək˦˥
quyển nặng	wiɛŋ˧˩˨năŋ˨ˀ˩ʔ
quyển sinh vật	wiɛŋ˧˩˨ʂin˧˥jɤ̆k˨ˀ˩ʔ
quyển sắc	wiɛŋ˧˩˨ʂăk˦˥
quyện	wiɛŋ˨ˀ˩ʔ
quyệt	wiɛk˨ˀ˩ʔ
quà	wa˦˨
quà biếu	wa˦˨biəw˩˧
quà bánh	wa˦˨ban˩˧
quà cáp	wa˦˨kap˦˥
quà sáng	wa˦˨ʂaŋ˩˧
quà tết	wa˦˨tet˦˥
quài	waj˦˨
quài cang	waj˦˨kaŋ˧˥
quài nưa	waj˦˨nɯə˧˥
quàn	waŋ˦˨
quàng	waŋ˦˨
quàng chân lên cổ	waŋ˦˨cɤ̆ŋ˧˥len˧˥ko˧˩˨
quàng quạc	waŋ˦˨wak˨ˀ˩ʔ
quàng xiên	waŋ˦˨siəŋ˧˥
quành	wan˦˨
quành quạch	wan˦˨wak˨ˀ˩ʔ
quào	waw˦˨
quàu quạu	wăw˦˨wăw˨ˀ˩ʔ
quày	wăj˦˨
quày quày	wăj˦˨wăj˦˨
quày quạy	wăj˦˨wăj˨ˀ˩ʔ
quày quả	wăj˦˨wa˧˩˨
quá	wa˩˧
quá bán	wa˩˧baŋ˩˧
quá bạo	wa˩˧baw˨ˀ˩ʔ
quá bằng	wa˩˧băŋ˦˨
quá bộ	wa˩˧bo˨ˀ˩ʔ
quá bội	wa˩˧boj˨ˀ˩ʔ
quá bữa	wa˩˧bɯə˧˩˨
quá cha	wa˩˧ca˧˥
quá chén	wa˩˧cɛŋ˩˧
quá chén mềm môi	wa˩˧cɛŋ˩˧mem˦˨moj˧˥
quá chừng	wa˩˧cɯŋ˦˨
quá cảnh	wa˩˧kan˧˩˨
quá cố	wa˩˧ko˩˧
quá cỡ	wa˩˧kɤ˧˩˨
quá giang	wa˩˧jaŋ˧˥
quá giấc	wa˩˧jɤ̆k˦˥
quá giận mất khôn	wa˩˧jɤ̆ŋ˨ˀ˩ʔmɤ̆k˦˥xoŋ͡m˧˥
quá giờ	wa˩˧jɤ˦˨
quá hạn	wa˩˧haŋ˨ˀ˩ʔ
quá khích	wa˩˧xit˦˥
quá khẩu thành tàn	wa˩˧xɤ̆w˧˩˨tʰan˦˨taŋ˦˨
quá khổ	wa˩˧xo˧˩˨
quá khứ	wa˩˧xɯ˩˧
quá lắm	wa˩˧lăm˩˧
quá lắm chỉ	wa˩˧lăm˩˧ci˧˩˨
quá lời	wa˩˧lɤj˦˨
quá lứa	wa˩˧lɯə˩˧
quá lứa lỡ thì	wa˩˧lɯə˩˧lɤ˧˩˨tʰi˦˨
quá lửa	wa˩˧lɯə˧˩˨
quá mù ra mưa	wa˩˧mu˦˨ʐa˧˥mɯə˧˥
quá mức	wa˩˧mɯk˦˥
quá ngán	wa˩˧ŋaŋ˩˧
quá nhiệt	wa˩˧ɲiək˨ˀ˩ʔ
quá niên	wa˩˧niəŋ˧˥
quá nén	wa˩˧nɛŋ˩˧
quá nửa	wa˩˧nɯə˧˩˨
quá quan	wa˩˧waŋ˧˥
quá quắt	wa˩˧wăk˦˥
quá sá	wa˩˧ʂa˩˧
quá sức	wa˩˧ʂɯk˦˥
quá ta	wa˩˧ta˧˥
quá tam ba bận	wa˩˧tam˧˥ba˧˥bɤ̆ŋ˨ˀ˩ʔ
quá tay	wa˩˧tăj˧˥
quá thì (quá thời)	wa˩˧tʰi˦˨wa˩˧tʰɤj˦˨
quá thể	wa˩˧tʰe˧˩˨
quá trình	wa˩˧ʈin˦˨
quá trình công nghệ	wa˩˧ʈin˦˨koŋ͡m˧˥ŋe˨ˀ˩ʔ
quá trớn	wa˩˧ʈɤŋ˩˧
quá trời	wa˩˧ʈɤj˦˨
quá trời quá đất	wa˩˧ʈɤj˦˨wa˩˧dɤ̆k˦˥
quá tải	wa˩˧taj˧˩˨
quá tội	wa˩˧toj˨ˀ˩ʔ
quá vãng	wa˩˧jaŋ˧˩˨
quá xá	wa˩˧sa˩˧
quá đa	wa˩˧da˧˥
quá đi chứ	wa˩˧di˧˥cɯ˩˧
quá đà	wa˩˧da˦˨
quá đáng	wa˩˧daŋ˩˧
quá đỗi	wa˩˧doj˧˩˨
quá độ	wa˩˧do˨ˀ˩ʔ
quá ư	wa˩˧ɯ˧˥
quác	wak˦˥
quác quác	wak˦˥wak˦˥
quách	wak˦˥
quách hữu nghiêm	wak˦˥hɯw˧˩˨ŋiəm˧˥
quách phẩm	wak˦˥fɤ̆m˧˩˨
quách quỳ	wak˦˥wi˦˨
quách đình bảo	wak˦˥din˦˨baw˧˩˨
quái	waj˩˧
quái dị	waj˩˧ji˨ˀ˩ʔ
quái gở	waj˩˧ɣɤ˧˩˨
quái lương xế	waj˩˧lɯəŋ˧˥se˩˧
quái lạ	waj˩˧la˨ˀ˩ʔ
quái quỉ	waj˩˧wi˧˩˨
quái quỷ	waj˩˧wi˧˩˨
quái thai	waj˩˧tʰaj˧˥
quái thai học	waj˩˧tʰaj˧˥hɔk͡p˨ˀ˩ʔ
quái tượng	waj˩˧tɯəŋ˨ˀ˩ʔ
quái vật	waj˩˧jɤ̆k˨ˀ˩ʔ
quái ác	waj˩˧ak˦˥
quái đản	waj˩˧daŋ˧˩˨
quán	waŋ˩˧
quán chỉ	waŋ˩˧ci˧˩˨
quán cóc	waŋ˩˧kɔk͡p˦˥
quán cơm	waŋ˩˧kɤm˧˥
quán hành	waŋ˩˧han˦˨
quán lào	waŋ˩˧law˦˨
quán ngữ	waŋ˩˧ŋɯ˧˩˨
quán nước	waŋ˩˧nɯək˦˥
quán quân	waŋ˩˧wɤ̆ŋ˧˥
quán rượu	waŋ˩˧ʐɯəw˨ˀ˩ʔ
quán sở lầu tần	waŋ˩˧ʂɤ˧˩˨lɤ̆w˦˨tɤ̆ŋ˦˨
quán thánh	waŋ˩˧tʰan˩˧
quán thông	waŋ˩˧tʰoŋ͡m˧˥
quán thế	waŋ˩˧tʰe˩˧
quán toan	waŋ˩˧twaŋ˧˥
quán triều	waŋ˩˧ʈiəw˦˨
quán triệt	waŋ˩˧ʈiək˨ˀ˩ʔ
quán trọ	waŋ˩˧ʈɔ˨ˀ˩ʔ
quán trữ	waŋ˩˧ʈɯ˧˩˨
quán tính	waŋ˩˧tin˩˧
quán tẩy	waŋ˩˧tɤ̆j˧˩˨
quán từ	waŋ˩˧tɯ˦˨
quán tự giác	waŋ˩˧tɯ˨ˀ˩ʔjak˦˥
quán xuyến	waŋ˩˧swiəŋ˩˧
quán xá	waŋ˩˧sa˩˧
quán ăn	waŋ˩˧ăŋ˧˥
quáng	waŋ˩˧
quáng gà	waŋ˩˧ɣa˦˨
quáng quàng	waŋ˩˧waŋ˦˨
quánh	wan˩˧
quánh quánh	wan˩˧wan˩˧
quánh quạnh	wan˩˧wan˨ˀ˩ʔ
quát	wak˦˥
quát lác	wak˦˥lak˦˥
quát mắng	wak˦˥măŋ˩˧
quát tháo	wak˦˥tʰaw˩˧
quát thượng quát hạ	wak˦˥tʰɯəŋ˨ˀ˩ʔwak˦˥ha˨ˀ˩ʔ
quáu	wăw˩˧
quân	wɤ̆ŋ˧˥
quân bài	wɤ̆ŋ˧˥baj˦˨
quân bài lá bạc	wɤ̆ŋ˧˥baj˦˨la˩˧bak˨ˀ˩ʔ
quân báo	wɤ̆ŋ˧˥baw˩˧
quân bình	wɤ̆ŋ˧˥bin˦˨
quân bưu	wɤ̆ŋ˧˥bɯw˧˥
quân bưu viên	wɤ̆ŋ˧˥bɯw˧˥jiəŋ˧˥
quân bản bộ	wɤ̆ŋ˧˥baŋ˧˩˨bo˨ˀ˩ʔ
quân bị	wɤ̆ŋ˧˥bi˨ˀ˩ʔ
quân ca	wɤ̆ŋ˧˥ka˧˥
