а	ʔaː
зыгъэнэджэн	zəʁanad͡ʒan
зыгъэпкӏын	zʁapst͡ʃʼən
зыгъэпскӏын	zʁapst͡ʃʼən
зыгъэпсыкӏын	zʁapst͡ʃʼən
зыгъэпсыкӏьын	zʁapskʲən
зыгъэпсэфын	zəʁapsafən
зыгъэсамбырын	zəʁasaːmbərən
зыгъэухьазырын	ħaːzərən
зыгъэшхэкӏын	zəʁaʃxat͡ʃʼən
зыкъэшӏэжьын	zəqaʃʼaʑən
зылӏэжьын	zaːɬʼaʑən
зыохьын	zəwaħən
зыпари	zəpaːrəj
зыплъыхьан	zəpɬəħaːn
зыплъыхьапӏэ	zəpɬəħaːpʼa
зыплъыхьын	zəpɬəħən
зыпэгъотхьажьын	zəpaʁʷatħaʑən
зыпэгъутхьажьын	zəpaʁʷatħaʑən
зыпэгъэплъэн	zəpaʁapɬan
зыпэшӏыжьын	zəpaʃʼəʑən
зытегъэкӏэн	zətajʁat͡ʃʼan
зыушъэфын	zawəʂafən
зыуӏэшын	zəwʔaʃən
зыфэгъэгусэн	zəfaʁaɡʷəsan
зыфэгъэсакъын	zəfaʁasaːqən
зыфэгъэсэн	zəfaʁasan
зыци	zət͡səj
зыцый	zət͡səj
зышъутыпцӏын	zəʃʷətəpsʼən
зышӏоу	zəʃʷʼəw
зышӏошӏужьын	zəʃʷʼəʃʷʼaʑən
зыщыгъэгъупшын	zəɕəʁaʁʷəpʃən
зыщыгъэзыен	zəʃəʁazəjan
зыщыгъэзын	zəɕəʁaʁʷəpʃən
зыщыдзыен	zəɕəd͡zəjan
зыщэӏэн	zəɕaʔan
зыӏуамылъхьажь	zəʔʷaːməɬħaːʑ
зыӏыгъэхьан	zaʔaʁaħaːn
зыӏэгъэхьан	zaʔaʁaħaːn
зыӏэкӏэубытэн	zəʔat͡ʃʼawbətan
зэ	za
зэблэдзын	zabɮad͡zən
зэблэкьын	blapkʲən
зэблэхъун	zaplaχʷən
зэгогъэкӏын	zaɡʷaʁat͡ʃʼən
зэгожъын	zaɡʷaʐən
зэгокӏын	zaɡʷat͡ʃʼən
зэгокӏьын	zaɡʷatkʲʼən
зэгокӏьын	zaɡʷat͡ʃən
зэгоожьын	zaɡʷawaʑən
зэготӏэпӏыкӏын	zaɡʷatʼapʼət͡ʃʼən
зэгоутын	zaɡʷawtən
зэгочын	zaɡʷat͡ʃən
зэгощын	zaɡʷaɕən
зэгу	zaɡʷə
зэгъэлъагъэ	zaʁaɬaːʁa
зэгъэн	zaʁan
зэгъэпэшын	zaʔapaʃən
зэгъэфагъ	zaʁafaːʁ
зэгъэфэгъэн	zaʁafaʁan
зэгъэфэн	zaʁafan
зэгъэшӏэн	zaʁaʃʼan
зэгьэм	zaɡʲam
зэдзэкӏакӏо	zad͡zat͡ʃʼaːkʷʼa
зэдзэкӏакӏу	zad͡zat͡ʃaːkʷʼ
зэдзэкӏын	zad͡zat͡ʃən
зэжъу	zaʐʷə
зэзэгъын	zazaʁən
зэзэон	zazawan
зэйтынчъыг	zajtəntʂəɣ
зэкъодзэн	zaqʷad͡zan
зэкъолъэдагъ	zaqʷaɬadaːʁ
зэкъошныгъ	zaqʷaʃnəʁ
зэкӏон	zakʷʼan
зэкӏэ	zat͡ʃʼa
зэкӏэкӏон	zat͡ʃʼakʷʼan
зэкӏэплъэн	zat͡ʃʼakʷʼan
зэкӏэугъоен	zat͡ʃʼawʁʷawan
зэкӏэхьажьын	zat͡ʃʼaħaːʑən
зэкӏэхьан	zat͡ʂaħan
зэкӏэхьэн	zat͡ʃʼaħan
зэкӏэчъэн	zat͡ʃʼat͡ʂan
зэлъежьэжь	zajɬajʑaʑ
зэмылӏэужыгъу	zaməɬʼawʒəʁʷ
зэндалэ	zandaːla
зэокӏокъуашъу	zawkʷʼaqʷaʂʷə
зэолӏ	zawaɬʼ
зэон	zawan
зэпачъэ	zapaːt͡ʂa
зэпедзын	zapajd͡zən
зэплъэкӏыгъу	zapɬat͡ʃʼəʁʷ
зэплъэкӏын	zapɬat͡ʃʼən
зэплъэхьын	zapɬaħən
зэпыгъэжъэн	zapəʁaʐan
зэпыгъэун	zapəʁawən
зэпыгъэчъын	zapəʁat͡ʂən
зэпыгъэчъыхьан	zapəʁat͡ʂəħaːn
зэпыгъэшхэн	zapəʁaʃxan
зэпыдагъэу	zapədaːʁaw
зэпыдзын	zapəd͡zən
зэпыдэн	zapədan
зэпыкӏын	zapət͡ʃʼən
зэпыкӏьын	zapəkʲʼən
зэпымыурэ	zapəməwra
зэпырыкӏын	zapərət͡ʃʼən
зэпырычъын	zapərət͡ʂən
зэпытхъын	zapətχən
зэпыун	zapəwən
зэпыутын	zapəwtən
зэпычын	zapəkʲən
зэпычын	zapət͡ʃən
зэпэзэдакъ	zapazadaːq
зэпэкӏэкӏын	zapat͡ʃʼat͡ʃʼən
зэпэчъэн	zapat͡ʂan
зэпэчӏэкӏын	zapat͡ʂʼat͡ʃʼən
зэребылэу	zarajbəɮaw
зэрэкъэлъагъорэмкӏэ	zaraqaɬaːʁʷaramt͡ʃʼa
зэтелъхьэн	zatajɬħan
зэтеуцон	zatajwt͡ʃʷan
зэтэлъхьэн	zataɬħan
зэтэлъын	zataɬən
зэтэухьэлэн	zatawħalan
зэтэуӏокӏэн	zatawʔʷat͡ʃʼan
зэтӏэхъужьын	zatʼaχʷəʑən
зэтӏэхъун	zatʼaχʷən
зэуакӏо	zawaːkʷʼa
зэуал	zawaːɮ
зэуалӏ	zawaːɬʼ
зэуапӏэ	zawaːpʼa
зэужэу	zawʒaw
зэутэкӏын	zawtat͡ʃən
зэуэн	zawan
зэфачъэ	zafaːt͡ʂa
зэфэчъэн	zafat͡ʂan
зэфэшӏын	zafaʃʼən
зэхъокӏын	zaχʷat͡ʃʼən
зэхъокӏьын	zaχʷakʲʼən
зэхэгъэтэкъун	zaxaʁataqʷən
зэхэгъэшъухъон	zaxaʁaʃʷəχʷan
зэхэдзын	zaxad͡zən
зэхэдзышъун	zaxad͡zəʃʷən
зэхэкӏын	zaxat͡ʃʼən
зэхэон	qawan
зэхэсыпӏэ	zaxasəpʼa
зэхэтэкъун	zaxataqʷən
зэхэугъоен	zaxawʁʷawan
зэхэутын	zaxawtən
зэхэфэн	zaxafan
зэхэхын	zaxaxən
зэхэшӏыкӏын	zaxaʃʼət͡ʃʼən
зэхэщын	zaxaɕən
зэхэщэн	zaxaɕan
зэчэрые	zakʲarəja
зэчэрые	zat͡ʃarəja
зэшӏожьын	zaʃʷʼəʑən
зэшӏокӏын	zaʃʷʼat͡ʃʼən
зэшӏохын	zaʃʷʼaxən
зэщыгъо	zaɕəʁʷa
зэщыкъон	zaɕəqʷan
зэщын	zaɕən
зэӏукӏапӏэ	zaʔʷət͡ʃʼaːpʼa
зэӏукӏэн	zaʔʷət͡ʃʼan
зэӏунын	zaʔʷənan
зэӏунэн	zaʔʷənan
зэӏупхъон	zaʔʷəpχʷan
зэӏыгъэхьан	zaʔaʁaħan
зэӏыхьан	zaʔaħan
зэӏэгъэхьан	zaʔaʁaħaːn
зэӏэгъэхьэн	zaʔaʁaħan
зэӏэхын	zaʔaxən
зэӏэхьан	zaʔaħan
зэӏэхьэн	zaʔaħan
и	jə
ибэ	jəba
ибэдалэу	jəbadaːlaw
игъоин	jəʁʷajən
игъолъхьан	taʁʷaɬħaːn
игъу	jəʁʷa
игъуадж	jəʁʷaːd͡ʒ
игъэкъугъэ	jəʁaqʷəʁa
игъэсэн	jəʁasan
игъэхъон	əʁaχʷan
иджы	jəd͡ʒə
иджэгъун	d͡ʒaʁʷən
идзэн	jəd͡zan
иен	jajən
изакъу	jəzaːqʷ
изы	jəzə
изын	jəzən
изэу	jəzaw
икъугъэ	jəqʷəʁa
икъун	jəqʷən
икӏодыкӏын	jəkʷʼadət͡ʃʼəm
илъыгъу	jəɬəʁʷ
илъын	jəɬən
илъэдэн	jəɬadan
илъэс	jəɬas
илыягъ	jəɮəjaːʁ
инапэкӏэ	jənaːpat͡ʃʼa
инахэкӏэ	jənaːxat͡ʃʼa
ины	jənə
иныжъ	jənəʐ
ипашъхьэ	jəpaːʂħa
ипхъыхьан	jəpχəħaːn
ипшын	jəpʃən
ипэгъум	jəpaʁʷəm
ипэрэгъум	jəparaʁʷəm
ипэтхьэмафэ	jəpatħamaːfa
исхьэкъ	jəsħaq
исэн	jəsan
итхагъэп	jətxaːʁap
итхъун	jətχʷən
итын	jətən
итэкъохьын	jətaqʷaħən
итэкъун	jətaqʷən
иуж	jəwəʒ
иужым	jəwʒəm
иупкӏын	jəwpt͡ʃʼən
иусыф	jəwsəf
иушӏоин	jəwʃʷajən
ифын	jəfən
ифэн	jəfan
ихьан	jəħaːn
ичэ	jət͡ʃa
ичӏыпӏэкӏэ	jət͡ʂʼəpʼat͡ʃʼa
ишъукӏын	jəʃʷət͡ʃʼn
ишъун	jəʃʷən
ишӏыхьан	jəʃʼəħaːn
ишӏэхьан	jəʃʼaħaːn
иӏэн	jəʔan
ко	kʷa
коил	kʷajəl
кой	kʷaj
койыл	kʷajəl
кокӏ	kʷat͡ʃʼ
коны	kʷanə
копкъ	kʷapq
копкъышъхьэ	kʷapqəʂħa
корт	kʷart
корэн	kʷaran
корэныгу	kʷaranəɡʷ
коц	kʷat͡s
коцы	kʷat͡sə
кощын	kʷaɕən
ку	kʷə
куамэ	kʷaːma
куандэ	kʷaːnfa
куахъо	kʷaːχʷa
куашъо	kʷaːʃʷa
куашъу	kʷaːʃʷa
кугъачъ	kʷəʁaːt͡ʃ
кудэ	kʷəda
кукумау	kʷəkʷmaːw
кукунэгъэбылъ	kʷəkʷnaʁabəɬ
кукунэгъэплъ	kʷəkʷnaʁapɬ
кукуу	kʷəkʷəw
кулъэшъу	kʷəɬaʃʷ
куогъу	kʷəwaʁʷ
куон	kʷəwan
куп	kʷəp
купкӏ	kʷəpt͡ʃʼ
купсэ	kʷapsa
купэ	kʷəpa
курэжъые	kʷəraʐəja
кутлэ	kʷətla
куу	kʷəwə
кухьэ	kʷəħa
куцэ	kʷət͡sa
куцӏы	kʷət͡sʼə
кушъхьэ	kʷəʂħa
кушъхьэфачъэ	kʷəʂħafaːt͡ʂa
кушъэ	kʷəʂa
кущэрэхъ	kʷəɕaraχ
кхъу	qʷə
кхъу	χʷə
къабзэ	qaːbza
къаблэ	qaːbla
къаз	qaːz
къазгъыр	qaːzʁər
къазмакъбзыу	qaːzmaːqbzəw
къазмэ	qaːzma
къаигъэ	qaːjəʁa
къакъыр	qaːqər
къалэ	qaːla
къалэ	qaːɮa
къамзэгу	qaːmzaɡʷ
къамцӏыч	qaːmt͡sʼət͡ʃ
къамыл	qaːməɮ
къамыщ	qaːməɕ
къамэ	qaːma
къангъэбылъ	qaːnʁabəɬ
къаплъэн	qaːpɬan
къапщыкъ	qaːpɕəq
къарыу	qaːrəw
къарыунчъ	qaːrəwənt͡ʂ
къарыунчъэ	qaːrəwənt͡ʂ
къарэ	qaːra
къарэу	qaːraw
къатыр	qaːtər
къаум	qaːwəm
къаунэ	qaːwəna
къахьэуашъо	qaːħawaːʃʷa
къашхъо	qaːʃχʷa
къашъо	qaːʂʷa
къашыкъ	qaːʃəq
къашыкъгъуанэ	qaːʃəqʁʷaːna
къашыкъхъурай	qaːʃəqχʷəraːj
къаӏогъум	qaːkʷʼaʁʷəm
къаӏорэгъум	qaːkʷʼaʁʷəm
къегъоин	qajʁʷajən
къегъэблэгъэн	qajʁablaʁan
къегъэкӏын	qajʁat͡ʃʼən
къегъэтӏыхын	qajʁatʼəxən
къегъэӏыхын	qajʁatʼəxən
къеджэн	qajd͡ʒan
къекӏэхын	qajt͡ʃʼaxəm
къелэлэхын	qajɬaɬaxən
къепщэн	qajpɕan
къетӏэрэхын	qajtʼaraxən
къеулэлэхын	qajɬaɬaxən
къефэхын	qajfaxən
къехьыжьэн	qajħəʑan
къехьэхын	qajħaxən
къехэхьын	qajxaħən
къешхын	qajʃxən
къешӏэн	qajʃʼan
къещыхьэкӏын	qajɕaħat͡ʃʼən
къещэкӏын	qajɕat͡ʃʼən
къикӏын	qəjt͡ʃʼən
къикӏьэсӏын	qəjkʲʼasʼən
къилъын	qəjɬən
къины	qəjnə
къиныгъу	qəjnəʁʷ
къитхъун	qjətχʷən
къиухын	qəjwxən
къихын	qəjxən
къо	qʷa
къогъо	qʷaʁʷa
къоджэгъу	t͡ʃəɮaʁʷ
къожъ	qʷaʐ
къозын	qʷazən
къокъон	qʷaqʷan
къокӏын	qʷat͡ʃʼən
къокӏыпӏэ	qʷat͡ʃʼəpʼa
къокӏьын	qʷakʲʼən
къолагьэ	qʷalaːɡʲa
къоладжэ	qʷalaːd͡ʒa
къолай	qʷalaːj
къолы	qʷalə
къолэбзыу	qʷalabzəw
къолэжъ	qʷalaʐ
къолэн	qʷalan
къолэнсэлэн	qʷalansalan
къонцӏэу	qʷant͡sʼaw
къоны	qʷanə
къопс	qʷaps
къорылъф	qʷarəɬf
къотэгъу	qʷataʁʷ
къоуцон	qʷawt͡ʃʷan
къохь	qʷaħ
къохьан	qʷaħaːn
къохьапӏэ	qʷaħaːpʼ
къохьэн	qʷaħan
къошъобэщ	qʷaʂʷabaɕ
къошъолӏы	qʷaʂʷaɬʼə
къошъомэзэжъый	qʷaʂʷamazaʐəj
къошъофы	qʷaʂʷafə
къошъочӏэгъаз	qʷaʂʷat͡ʃaʁaz
къошъошӏы	qʷaʂʷaʃə
къошын	qʷaʃən
къощыр	qʷaɕər
къоӏус	qʷaʔʷəs
къу	qʷə
къуаджэ	qʷaːd͡ʒa
къуае	qʷaːja
къуалъхьэ	qʷaːɬħa
къуамэ	qʷaːma
къуанчӏэ	qʷaːnt͡ʃa
къуао	qʷaːwa
къуапсӏэ	qʷaːpsʼa
къуапцӏэ	qʷaːpt͡sʼa
къуапэ	qʷaːpa
къуахъо	qʷaːχʷa
къуашъо	qʷaːʂʷa
къуащэ	qʷaːɕa
къуащэу	qʷaːɕaw
къугъо	qʷəʁʷa
къуджыр	qʷəd͡ʒər
къудыин	qʷədəjən
къужъы	qʷəʐə
къузмэзадэ	qʷəzmazaːda
къуй	qʷəj
къул	qʷəɮ
къуладжэ	qʷəɮaːd͡ʒa
къулбастэ	qʷəlbaːsta
къулъфыгъэ	qʷəɬfəʁa
къулыкъу	qʷəɮəqʷ
къумбыл	qʷəmbəɮ
къупышъхьэ	qʷəpəʂħa
къурбычый	qʷərbət͡ʃəj
къурбэкъый	qʷərbaqəj
къурбэкъэй	qʷərbaqaj
къурнэ	qʷərna
къутамэ	qʷətaːma
къутаф	qʷətaːf
къутыр	qʷətər
къутэн	qʷətan
къухьэ	qʷəħa
къухьэбыб	qʷəħabəb
къухьэлъат	qʷəħaɬaːt
къухьэтӏысыпӏ	qʷəħatʼəsəpʼ
къухьэуцупӏэ	qʷəħawt͡sʷəpʼa
къушъу	qʷəʃʷ
къушъхьэ	qʷəʂħa
къуэдэс	qʷadas
къыблэ	qəbla
къыгъэ	qəʁa
къыдэгъэж	qədaʁaʒ
къыдэгъэчъ	qədaʁat͡ʂ
къыдэкӏохьын	qədakʷʼaħən
къыдэкӏухьан	qədakʷʼəħaːn
къыдэмыхъун	qədaməχʷən
къыдэхъун	qədaχʷən
къызбэч	qəzbaːkʲ
къызбэч	qəzbaːt͡ʃ
къызыщылъэтын	qəzəɕəɬatən
къыин	qəjən
къыкъокӏын	qəqʷat͡ʃʼən
къыкӏышын	qət͡ʃəʃən
къылъыкӏотэн	qəɬəkʷʼatan
къын	qən
къыпцӏэ	qəpt͡ʃa
къыпылэлын	qəpəɮaɮən
къыпыун	qəpəwən
къыпыщын	qəpəɕən
къыпэшӏошӏын	qəpaʃʷʼaʃʼən
къырикӏон	qərəjkʷʼan
къытегъэзын	qətajʁazən
къытегъэзэн	qətajʁazan
къытэгъэзэн	qətaʁazan
къыухьан	qəwəħaːn
къыфифэн	qəfəjfan
къыхэущыкӏын	qəxawɕət͡ʃʼən
къыхэущыкӏьын	qəxawɕəkʲʼən
къыцэ	qət͡sa
къычӏэгъэкӏын	qət͡ʃʼaʁakʲʼən
къычӏэгъэкӏьын	qət͡ʃʼaʁakʲʼən
къычӏэгъэщын	qət͡ʂʼaʁaɕən
къычӏэхын	qət͡ʃʼaxən
къычӏэщын	qət͡ʂʼaɕən
къыщыкӏэн	qəɕət͡ʃʼan
къыщынэн	qəɕəwnan
къыщыунэн	qəɕəwnan
къыӏупсын	qəʔʷəpsə
къыӏыхын	qəʔəxən
къыӏэкӏэхьэн	qəʔat͡ʃʼaħaːn
къыӏэпхъотэн	qəʔapχʷatan
къыӏэхын	qəʔaxən
къэ	qa
къэбар	qabaːr
къэбарыпцӏы	qabaːrəpt͡sʼə
къэбаскъэ	qabaːsqa
къэбастхъэ	qabaːstχa
къэбкӏэ	qabkʲʼa
къэблэн	qablan
къэбы	qabə
къэбыпцӏэ	qabəpt͡sa
къэбэкъао	qabaqaːwa
къэбэртай	qabartaːj
къэбэртайбзэ	qabartaːjbza
къэвкъаз	qafqaːz
къэгужъон	qaɡʷəʒʷan
къэгупшысын	qaɡʷəpʃəsən
къэгъагъэ	qaʁaːʁa
къэгъуен	qaʁʷajən
къэгъэгъунэн	qaʁaʁaʁʷənan
къэгъэзэгъу	qaʁazaʁʷ
къэгъэзэн	qaʁazan
къэгъэкӏохьын	qaʁakʷʼaħən
къэгъэкӏэхьын	qaʁat͡ʃaħən
къэгъэлъэгъоны	qaʁaɬaʁʷanə
къэгъэнэжьын	qaʁanaʑən
къэгъэнэн	qaʁanan
къэгъэуцун	qaʁawt͡sʷən
къэгъэучъыӏын	qaʁawtʂəʔən
къэгъэущын	qaʁawɕən
къэгъэфын	qaʁafən
къэгъэхъэн	qaʁaχan
къэгъэхын	qaʁaxən
къэгъэӏун	qaʁaʔʷən
къэжьын	qaʑən
къэи	qajə
къэин	qaqəjən
къэкъун	qaqʷən
къэкъушъун	qaqʷəʃʷən
къэкъыин	qaqəjən
къэкӏожьын	qakʷʼaʑən
къэкӏорэгъэ	qakʷʼaraʁa
къэкӏорэтхьэмафэ	qakʷʼaratħamaːfa
къэкӏохьын	qakʷʼaħən
къэкӏухьан	qakʷʼəħaːn
къэкӏыгъэхэр	qakʲʼəʁaxar
къэкӏыгъэхэр	qat͡ʃʼəʁaxar
къэкӏын	qat͡ʃʼəm
къэлапчъ	qalaːpt͡ʃ
къэлъфын	qaɬfən
къэлъы	qaɬə
къэлыдын	qaɮədən
къэлэдэс	qaɮadas
къэлэм	qalam
къэлэмдалъхьэ	qalamdaːɬħa
къэлэсэраи	qalasaraːjə
къэлэсэрай	qalasaraːj
къэмлан	qamlaːn
къэмэхын	qamaxən
къэнэн	qanan
къэнэхъэжьын	qanaχaʑən
къэон	qawan
къэплъан	qapɬaːn
къэпсын	qapsən
къэпсэн	qapsan
къэптан	qaptaːn
къэпчъын	qapt͡ʂən
къэпшӏэжын	qapʃʼaʑən
къэпшӏэн	qapʃʼan
къэпы	qapə
къэраб	qaraːb
къэрабгъэ	qaraːbʁa
къэрал	qaraːɮ
къэралыгъу	qaraːɮəʁʷ
къэркъэтэн	qarqatan
къэрэбгъэ	qarabʁa
къэрэгъул	qaraʁʷəl
къэрэу	qaraw
къэсшъхьэпкӏьэтын	qasʂħapkʲʼatən
къэсшъхьэпкӏэтын	qasʂħapkʲʼatən
къэсын	qasən
къэсэхын	qasaxən
къэсӏын	sʼən
къэугупшысын	qawɡʷəpʃəsən
къэугъоин	qawʁʷajən
къэун	qawən
къэунэ	qawəna
къэутхын	qawətxən
къэучъыӏын	qawtʂəʔən
къэущын	qapɕən
къэфын	qafən
къэхалъэ	qaxaːɬa
къэхъун	qaχʷən
къэхъушъун	qaχʷəʃʷən
къэхын	qaxən
къэхьо	qaħwa
къэхьпэ	qaħpa
къэхьуашъо	qaħwaːʂʷa
къэхьын	qaħən
къэхьыо	qaħwa
къэхьыпакъо	qaħəpaːqʷa
къэхьыпэ	qaħəpa
къэхьыпэрылъф	qaħəparəɬf
къэхьыуашъо	qaħwaːʂʷa
къэц	qat͡s
къэцы	qat͡sə
къэцыгъуан	qat͡səʁʷaːn
къэцӏын	t͡sʼən
къэцӏыон	qat͡sʼəwan
къэцӏэтхын	qat͡sʼatxən
къэшъон	qaʂʷan
къэшъуакӏо	qaʃʷaːkʷʼa
къэшӏэжын	qaʃʼaʑən
къэшӏэжьын	qaʃʼan
къэшӏэн	qaʃʼan
къэщыпын	qaɕəpən
къэщэгъу	qaɕaʁʷ
къэщэкьын	qaɕakʲən
къэщэн	qaɕan
къэщэчын	qaɕat͡ʃən
кьэ	kʲa
кьэпчъэӏу	kʲapt͡ʂaʔʷ
кьэрхъон	kʲarχʷan
кьэт	kʲat
кьэтжъые	kʲatʐəj
кьэтхъэн	kʲʼatχan
кьэтыу	kʲatəw
кьэупчъэ	kʲawəpt͡ʂa
кьэфы	kʲafə
кӏадзэ	t͡ʃʼaːd͡za
кӏай	t͡ʃʼaːj
кӏако	t͡ʃʼaːkʷa
кӏакӏо	t͡ʃaːkʷʼa
кӏакӏы	kʲaːt͡ʃə
кӏакӏы	t͡ʃaːt͡ʃə
кӏалэ	t͡ʃʼaːla
кӏалэ	t͡ʃʼaːɮa
кӏапсэ	t͡ʃʼaːpsa
кӏапсэрыкӏо	t͡ʃʼaːpsarəkʷʼa
кӏапэ	kʲaːpa
кӏапэ	t͡ʃaːpa
кӏасэ	t͡ʃʼaːsa
кӏашъо	t͡ʃʼaːʃʷa
кӏежьэжьын	ʔʷarəʃʼa
кӏодыгъошӏу	kʷʼadəʁʷaʃʷʼ
кӏодыжьыгъошӏу	kʷʼadəʑəʁʷaʃʷʼ
кӏодын	kʷʼadən
кӏожьын	kʷʼaʑən
кӏолӏэн	jakʷʼaɬʼan
кӏон	kʷʼan
кӏосэн	kʷʼasan
кӏотэн	kʷʼatan
кӏохъун	kʷʼaχʷən
кӏоцӏы	kʷʼat͡sʼə
кӏоцӏылъхьэн	kʷʼat͡sʼəɬħan
кӏоцӏыхьан	kʷʼat͡sʼəħaːn
кӏоцӏыщыхьан	kʷʼat͡sʼəɕəħaːn
кӏоцӏыщыхьэн	kʷʼat͡sʼəɕəħan
кӏочӏагъэ	kʷʼat͡ʃʼaːʁa
кӏочӏадж	kʷʼaːt͡ʂʼaːd͡ʒ
кӏошъэн	kʷʼaʂan
кӏошын	kʷʼaʃən
кӏуадж	kʷʼaːd͡ʒ
кӏуапӏэ	kʷʼaːpʼa
кӏуачӏэ	kʷʼaːt͡ʃʼa
кӏун	kʷʼən
кӏурэжъый	kʷʼəraʐəj
кӏуснэщаб	kʷʼəsnaɕaːb
кӏыб	t͡ʃʼəb
кӏыгъун	t͡ʃʼəʁʷən
кӏыин	mat͡ʃʼəjən
кӏыкӏьай	t͡ʃəkʲaːj
кӏымафэ	t͡ʃʼəmaːfa
кӏын	t͡ʃʼən
кӏырыун	t͡ʃʼərəwən
кӏыфы	t͡ʃʼəfə
кӏыхьэ	t͡ʃʼəħa
кӏыхьэлыхьэ	t͡ʃʼəħaɮəħa
кӏышъоӏот	t͡ʃʼəʃʷaʔʷat
кӏышъу	t͡ʃəʂʷ
кӏыӏу	t͡ʃʼəʔʷ
кӏьако	kʲʼaːkʷa
кӏьакӏьэ	kʲʼaːkʲʼa
кӏьапсэ	kʲʼaːpsa
кӏьасэ	kʲʼaːsa
кӏьашъо	kʲʼaːʃʷa
кӏьыин	kʲʼəjən
кӏьэ	kʲʼa
кӏьэй	kʲʼaj
кӏьэлъыон	kʲʼaɬəwən
кӏьэлъыун	kʲʼaɬəwən
кӏьэмгуе	kʲʼamɡʷəja
кӏьэнлъэ	kʲʼanɬa
кӏьэрахъо	kʲʼaraːχʷa
кӏьэрыт	kʲʼarət
кӏьэхьы	kʲʼaħə
кӏьэхьылэхь	kʲʼaħəlaħ
кӏэ	kʼa
кӏэ	t͡ʃʼa
кӏэгъожьын	t͡ʃaʁʷaʑən
кӏэгъэгъожьын	t͡ʃʼaʁaʁʷaʑən
кӏэгъэкӏын	t͡ʃʼaʁat͡ʃʼən
кӏэгьэн	t͡ʃʼaɡʲan
кӏэджэн	t͡ʃʼad͡ʒan
кӏэдзапӏэ	wəbɮaːpʼa
кӏэдэн	t͡ʃʼadan
кӏэегъулъын	t͡ʃʼajaʁʷəɬən
кӏэен	t͡ʃʼajan
кӏэзэзын	t͡ʃʼazazən
кӏэй	t͡ʃʼaj
кӏэкъэпс	t͡ʃaqaps
кӏэкӏьащын	t͡ʃʼakʲʼaːɕən
кӏэлъыкӏон	t͡ʃaɬəkʷʼan
кӏэлъыон	t͡ʃʼaɬəwən
кӏэлъыун	t͡ʃʼaɬəwən
кӏэлъэтэкьын	t͡ʃaɬatakʲən
кӏэлъэӏун	t͡ʃʼaɬaʔʷən
кӏэлэ	t͡ʃala
кӏэлэгъу	t͡ʃalaʁʷ
кӏэлэегъагь	t͡ʃʼalaʁaːɡʲ
кӏэлэегъадж	t͡ʃʼaɮaʁaːd͡ʒ
кӏэлэегьакӏо	t͡ʃʼalajaɡʲaːkʷʼa
кӏэлэеджакӏо	t͡ʃʼaɮajad͡ʒaːkʷʼa
кӏэлэхъу	t͡ʃʼaɮaχʷ
кӏэлэхъуцӏыкӏу	t͡ʃʼaɮaχʷt͡sʼəkʷʼ
кӏэмгуе	t͡ʃʼamɡʷəja
кӏэн	t͡ʃʼan
кӏэнкӏэ	t͡ʃʼant͡ʃʼa
кӏэнкӏэжъапхъэ	t͡ʃant͡ʃaʐaːpχa
кӏэнлъэ	t͡ʃʼanɬa
кӏэнэкӏэн	t͡ʃʼanat͡ʃʼan
кӏэп	t͡ʃʼap
кӏэпхъ	t͡ʃʼapχ
кӏэпхын	t͡ʃʼapxən
кӏэпщ	t͡ʃʼapɕ
кӏэпщы	t͡ʃʼapɕə
кӏэпы	t͡ʃʼapə
кӏэракӏ	t͡ʃʼaraːt͡ʃʼ
кӏэрахъо	t͡ʃʼaraːχʷa
кӏэрхъон	t͡ʃʼarχʷan
кӏэрыкӏэу	t͡ʃʼarət͡ʃʼaw
кӏэрэон	t͡ʃʼarawan
кӏэрэхъоцыкӏу	t͡ʃaraχʷat͡səkʷʼ
кӏэсэн	t͡ʃʼasan
кӏэтал	kʲʼataːl
кӏэтал	t͡ʃʼataːl
кӏэтхъун	t͡ʃʼatχʷən
кӏэтыку	t͡ʃʼatəkʷ
кӏэтыл	t͡ʃʼatəl
кӏэтыщх	kʲatəɕx
кӏэтыщх	t͡ʃatəɕx
кӏэтӏэй	t͡ʃatʼaj
кӏэупкӏэн	t͡ʃʼawpt͡ʃʼan
кӏэупхъухьан	t͡ʃawpχʷəħaːn
кӏэух	t͡ʃʼawəx
кӏэхьан	t͡ʃʼəħaːn
кӏэхьы	t͡ʃʼaħə
кӏэхэкӏын	t͡ʃaxat͡ʃən
кӏэшъун	t͡ʃʼaʃʷən
кӏэшӏыхьан	t͡ʃʼaʃʼəħaːn
кӏэшӏэн	t͡ʃʼaʃʼan
кӏэщакӏо	t͡ʃaɕaːkʷʼa
кӏэӏэжьын	t͡ʃʼaʔaʑən
кӏэӏэн	t͡ʃʼaʔan
лагъымэ	ɮaːʁəma
лагъэ	laːʁa
лажьэ	ɮaːʑa
лалэ	laːla
лантӏэ	laːntʼa
ланчъэ	laːnt͡ʃa
лачэ	laːt͡ʃa
лъабжъэ	ɬaːbʐa
лъагъо	ɬaːʁʷa
лъагэ	ɬaːɣa
лъакъо	ɬaːqʷa
лъапсэ	ɬaːpsa
лъапсӏэ	ɬaːpsʼa
лъапцӏэ	ɬaːpt͡sʼa
лъапэ	ɬaːpa
лъапӏэ	ɬaːpʼa
лъасэ	ɬaːsa
лъашъхьэ	ɬaːʂħa
лъащэ	ɬaːɕa
лъежьэн	ɬajʑan
