Ⴁ	b
მოწამე	mɔt͡sʼɑmɛ
მოწამეობა	mɔt͡sʼɑmɛɔbɑ
მოწაფე	mɔt͡sʼɑpʰɛ
მოწევა	mɔt͡sʼɛvɑ
მოწითალო	mɔt͡sʼitʰɑlɔ
მოწინავე	mɔt͡sʼinɑvɛ
მოწიფულობა	mɔt͡sʼipʰulɔbɑ
მოწიწება	mɔt͡sʼit͡sʼɛbɑ
მოწიწებით	mɔt͡sʼit͡sʼɛbitʰ
მოწმე	mɔt͡sʼmɛ
მოწმობა	mɔt͡sʼmɔbɑ
მოწოდება	mɔt͡sʼɔdɛbɑ
მოწონებით	mɔt͡sʼɔnɛbitʰ
მოწყალება	mɔt͡sʼqʼɑlɛbɑ
მოწყალედ	mɔt͡sʼqʼɑlɛd
მოწყენილობა	mɔt͡sʼqʼɛnilɔbɑ
მოწყობილობა	mɔt͡sʼqʼɔbilɔbɑ
მოჭარბებულად	mɔt͡ʃʼɑrbɛbulɑd
მოჭიდავე	mɔt͡ʃʼidɑvɛ
მოჭიმულად	mɔt͡ʃʼimulɑd
მოჭრის	mɔt͡ʃʼris
მოხარშვა	mɔxɑrʃvɑ
მოხდა	mɔxdɑ
მოხელე	mɔxɛlɛ
მოხერხებულად	mɔxɛrxɛbulɑd
მოხერხებული	mɔxɛrxɛbuli
მოხრილობა	mɔxrilɔbɑ
მოხსენება	mɔxsɛnɛbɑ
მოხუცებულობა	mɔxut͡sɛbulɔbɑ
მოხუცი	mɔxut͡si
მჟავე	mʒɑvɛ
მჟავედ	mʒɑvɛd
მჟავური	mʒɑvuri
მჟაუნა	mʒɑunɑ
მრავალგვარი	mrɑvɑlɡvɑri
მრავალი	mrɑvɑli
მრავალმნიშვნელოვანი	mrɑvɑlmniʃvnɛlɔvɑni
მრავალმნიშვნელოვნად	mrɑvɑlmniʃvnɛlɔvnɑd
მრავალმხრივი	mrɑvɑlmxrivi
მრავალსაუკუნოვანი	mrɑvɑlsɑukʼunɔvɑni
მრავალფეროვნად	mrɑvɑlpʰɛrɔvnɑd
მრავალძარღვა	mrɑvɑld͡zɑrɣvɑ
მრავალხმიანი	mrɑvɑlxmiɑni
მრავალჯერადი	mrɑvɑld͡ʒɛrɑdi
მრავლისმთქმელად	mrɑvlismtʰkʰmɛlɑd
მრავლობითი	mrɑvlɔbitʰi
მრგვალი	mrɡvɑli
მრგვლად	mrɡvlɑd
მრევლი	mrɛvli
მრეწველი	mrɛt͡sʼvɛli
მრეწველობა	mrɛt͡sʼvɛlɔbɑ
მრისხანე	mrisxɑnɛ
მრისხანედ	mrisxɑnɛd
მრიცხველი	mrit͡sxvɛli
მრუდე	mrudɛ
მრუდედ	mrudɛd
მრუში	mruʃi
მრუშობა	mruʃɔbɑ
მსახიობი	msɑxiɔbi
მსახური	msɑxuri
მსაჯი	msɑd͡ʒi
მსგავსად	msɡɑvsɑd
მსგავსება	msɡɑvsɛbɑ
მსგავსი	msɡɑvsi
მსოფლიო	msɔpʰliɔ
მსოფლიოდ	msɔpʰliɔd
მსოფლიოთი	msɔpʰliɔtʰi
მსოფლიომ	msɔpʰliɔm
მსოფლიოს	msɔpʰliɔs
მსროლელი	msrɔlɛli
მსუბუქად	msubukʰɑd
მსუბუქი	msubukʰi
მსუქანი	msukʰɑni
მსუქნად	msukʰnɑd
მსუყე	msuqʼɛ
მსხალდიდი	msxɑldidi
მსხალი	msxɑli
მსხვერპლი	msxvɛrpʼli
მსხვილი	msxvili
მსჯელობა	msd͡ʒɛlɔbɑ
მტანჯველად	mtʼɑnd͡ʒvɛlɑd
მტაცებლური	mtʼɑt͡sɛbluri
მტევანი	mtʼɛvɑni
მტერი	mtʼɛri
მტვერი	mtʼvɛri
მტვერსასრუტი	mtʼvɛrsɑsrutʼi
მტვრიანა	mtʼvriɑnɑ
მტვრიანი	mtʼvriɑni
მტირალა	mtʼirɑlɑ
მტირალი	mtʼirɑli
მტკაველი	mtʼkʼɑvɛli
მტკვარი	mtʼkʼvɑri
მტკივა	mtʼkʼivɑ
მტკივნეულად	mtʼkʼivnɛulɑd
მტკივნეული	mtʼkʼivnɛuli
მტკივნეულობა	mtʼkʼivnɛulɔbɑ
მტკიცე	mtʼkʼit͡sɛ
მტკიცებითი	mtʼkʼit͡sɛbitʰi
მტკიცებულება	mtʼkʼit͡sɛbulɛbɑ
მტკიცედ	mtʼkʼit͡sɛd
მტრედი	mtʼrɛdi
მტრობა	mtʼrɔbɑ
მტრულად	mtʼrulɑd
მტრული	mtʼruli
მტყუანი	mtʼqʼuɑni
მუარი	muɑri
მუგუზალი	muɡuzɑli
მუდამ	mudɑm
მუდარა	mudɑrɑ
მუდმივა	mudmivɑ
მუდმივად	mudmivɑd
მუდმივი	mudmivi
მუდმივობა	mudmivɔbɑ
მუდრეგი	mudrɛɡi
მუეძინი	muɛd͡zini
მუზა	muzɑ
მუზარადი	muzɑrɑdi
მუზეუმი	muzɛumi
მუთაქა	mutʰɑkʰɑ
მუკერძოებლად	mukʼɛrd͡zɔɛblɑd
მულატი	mulɑtʼi
მული	muli
მუმია	mumiɑ
მუმიფიკაცია	mumipʰikʼɑt͡siɑ
მუნდშტუკი	mundʃtʼukʼi
მუნიანი	muniɑni
მუნიციპალიტეტად	munit͡sipʼɑlitʼɛtʼɑd
მუნიციპალიტეტი	munit͡sipʼɑlitʼɛtʼi
მუნიციპალიტეტით	munit͡sipʼɑlitʼɛtʼitʰ
მუნიციპალიტეტის	munit͡sipʼɑlitʼɛtʼis
მუნიციპალიტეტმა	munit͡sipʼɑlitʼɛtʼmɑ
მუნიციპალიტეტს	munit͡sipʼɑlitʼɛtʼs
მუნიციპალურად	munit͡sipʼɑlurɑd
მუნიციპალური	munit͡sipʼɑluri
მუნჯად	mund͡ʒɑd
მუნჯი	mund͡ʒi
მურაბა	murɑbɑ
მური	muri
მუსაიფი	musɑipʰi
მუსი	musi
მუსიკა	musikʼɑ
მუსიკად	musikʼɑd
მუსიკალურად	musikʼɑlurɑd
მუსიკალური	musikʼɑluri
მუსიკამ	musikʼɑm
მუსიკას	musikʼɑs
მუსიკით	musikʼitʰ
მუსიკის	musikʼis
მუსიკოსი	musikʼɔsi
მუსკატი	muskʼɑtʼi
მუსლიმი	muslimi
მუსლინი	muslini
მუსონი	musɔni
მუსტანგი	mustʼɑnɡi
მუსულმანი	musulmɑni
მუტაცია	mutʼɑt͡siɑ
მუტრუკი	mutʼrukʼi
მუფთა	mupʰtʰɑ
მუქარით	mukʰɑritʰ
მუქი	mukʰi
მუღამი	muɣɑmi
მუყაითად	muqʼɑitʰɑd
მუყაითი	muqʼɑitʰi
მუყაითობა	muqʼɑitʰɔbɑ
მუყაო	muqʼɑɔ
მუშა	muʃɑ
მუშაკი	muʃɑkʼi
მუშამბა	muʃɑmbɑ
მუშაობა	muʃɑɔbɑ
მუშაობს	muʃɑɔbs
მუშკეტერი	muʃkʼɛtʼɛri
მუშკეტი	muʃkʼɛtʼi
მუშკი	muʃkʼi
მუშტარი	muʃtʼɑri
მუშტი	muʃtʼi
მუცელი	mut͡sɛli
მუჭი	mut͡ʃʼi
მუხა	muxɑ
მუხათგვერდი	muxɑtʰɡvɛrdi
მუხათი	muxɑtʰi
მუხათწყარო	muxɑtʰt͡sʼqʼɑrɔ
მუხანათურად	muxɑnɑtʰurɑd
მუხანათური	muxɑnɑtʰuri
მუხლი	muxli
მუხლუხი	muxluxi
მუხრუჭი	muxrut͡ʃʼi
მუხუდო	muxudɔ
მუჯლუგუნი	mud͡ʒluɡuni
მუჰამედი	muhɑmɛdi
მუჰაჯირობა	muhɑd͡ʒirɔbɑ
მფარველობა	mpʰɑrvɛlɔbɑ
მფარველურად	mpʰɑrvɛlurɑd
მფლანგველობა	mpʰlɑnɡvɛlɔbɑ
მფლანგველურად	mpʰlɑnɡvɛlurɑd
მფლობელობა	mpʰlɔbɛlɔbɑ
მფრინველი	mpʰrinvɛli
მქონდა	mkʰɔndɑ
მქრქალად	mkʰrkʰɑlɑd
მქრქალი	mkʰrkʰɑli
მღერის	mɣɛris
მღვდელი	mɣvdɛli
მღვდლობა	mɣvdlɔbɑ
მღვიმე	mɣvimɛ
მღვრიე	mɣvriɛ
მყარად	mqʼɑrɑd
მყარი	mqʼɑri
მყესი	mqʼɛsi
მყვირალა	mqʼvirɑlɑ
მყინვარი	mqʼinvɑri
მყისიერი	mqʼisiɛri
მყიფე	mqʼipʰɛ
მყოფი	mqʼɔpʰi
მყრალი	mqʼrɑli
მყუდრო	mqʼudrɔ
მყუდროდ	mqʼudrɔd
მყუდროება	mqʼudrɔɛbɑ
მშენებლობა	mʃɛnɛblɔbɑ
მშვენება	mʃvɛnɛbɑ
მშვენიერი	mʃvɛniɛri
მშვენივრად	mʃvɛnivrɑd
მშვიდად	mʃvidɑd
მშვიდი	mʃvidi
მშვიდობა	mʃvidɔbɑ
მშვიდობიანად	mʃvidɔbiɑnɑd
მშვიდობიანი	mʃvidɔbiɑni
მშვიდობით	mʃvidɔbitʰ
მშვილდი	mʃvildi
მშვილდოსანი	mʃvildɔsɑni
მშვილდოსნობა	mʃvildɔsnɔbɑ
მშია	mʃiɑ
მშიერი	mʃiɛri
მშიშარა	mʃiʃɑrɑ
მშობელი	mʃɔbɛli
მშობიარე	mʃɔbiɑrɛ
მშობიარობა	mʃɔbiɑrɔbɑ
მშობლიური	mʃɔbliuri
მშრალად	mʃrɑlɑd
მშრალი	mʃrɑli
მშრალხევი	mʃrɑlxɛvi
მჩატე	mt͡ʃɑtʼɛ
მჩქეფარე	mt͡ʃkʰɛpʰɑrɛ
მცდარად	mt͡sdɑrɑd
მცდარი	mt͡sdɑri
მცდარობა	mt͡sdɑrɔbɑ
მცდელობა	mt͡sdɛlɔbɑ
მცენარე	mt͡sɛnɑrɛ
მცენარეული	mt͡sɛnɑrɛuli
მცენარეულობა	mt͡sɛnɑrɛulɔbɑ
მცველი	mt͡svɛli
მცირე	mt͡sirɛ
მცნება	mt͡snɛbɑ
მცოდნე	mt͡sɔdnɛ
მცურავი	mt͡surɑvi
მცხეთა	mt͡sxɛtʰɑ
მცხუნვარე	mt͡sxunvɑrɛ
მცხუნვარედ	mt͡sxunvɑrɛd
მძარცველი	md͡zɑrt͡svɛli
მძარცველურად	md͡zɑrt͡svɛlurɑd
მძარცველური	md͡zɑrt͡svɛluri
მძაფრი	md͡zɑpʰri
მძევალი	md͡zɛvɑli
მძვინვარებით	md͡zvinvɑrɛbitʰ
მძვინვარედ	md͡zvinvɑrɛd
მძივი	md͡zivi
მძივისებრი	md͡zivisɛbri
მძიმე	md͡zimɛ
მძინარა	md͡zinɑrɑ
მძინარე	md͡zinɑrɛ
მძინარედ	md͡zinɑrɛd
მძულვარება	md͡zulvɑrɛbɑ
მძღნერი	md͡zɣnɛri
მძღოლი	md͡zɣɔli
მწარე	mt͡sʼɑrɛ
მწარედ	mt͡sʼɑrɛd
მწდე	mt͡sʼdɛ
მწებვარედ	mt͡sʼɛbvɑrɛd
მწევარი	mt͡sʼɛvɑri
მწერალი	mt͡sʼɛrɑli
მწერი	mt͡sʼɛri
მწვადი	mt͡sʼvɑdi
მწვავე	mt͡sʼvɑvɛ
მწვავედ	mt͡sʼvɑvɛd
მწვანე	mt͡sʼvɑnɛ
მწვანილი	mt͡sʼvɑnili
მწვერვალი	mt͡sʼvɛrvɑli
მწვრთნელი	mt͡sʼvrtʰnɛli
მწიკვი	mt͡sʼikʼvi
მწირად	mt͡sʼirɑd
მწირი	mt͡sʼiri
მწიფე	mt͡sʼipʰɛ
მწიფედ	mt͡sʼipʰɛd
მწკრივად	mt͡sʼkʼrivɑd
მწკრივი	mt͡sʼkʼrivi
მწკრივში	mt͡sʼkʼrivʃi
მწნილი	mt͡sʼnili
მწუხარება	mt͡sʼuxɑrɛbɑ
მწუხარედ	mt͡sʼuxɑrɛd
მწუხრი	mt͡sʼuxri
მწყემსი	mt͡sʼqʼɛmsi
მწყერი	mt͡sʼqʼɛri
მწყერჩიტა	mt͡sʼqʼɛrt͡ʃitʼɑ
მწყინს	mt͡sʼqʼins
მწყურია	mt͡sʼqʼuriɑ
მჭადი	mt͡ʃʼɑdi
მჭამელი	mt͡ʃʼɑmɛli
მჭედელი	mt͡ʃʼɛdɛli
მჭედლიშვილი	mt͡ʃʼɛdliʃvili
მჭევრმეტყველურად	mt͡ʃʼɛvrmɛtʼqʼvɛlurɑd
მჭიდრო	mt͡ʃʼidrɔ
მჭიდროდ	mt͡ʃʼidrɔd
მჭირდება	mt͡ʃʼirdɛbɑ
მჭლე	mt͡ʃʼlɛ
მჭლედ	mt͡ʃʼlɛd
მჭრელი	mt͡ʃʼrɛli
მხარბეჭიანი	mxɑrbɛt͡ʃʼiɑni
მხარდაჭერა	mxɑrdɑt͡ʃʼɛrɑ
მხარე	mxɑrɛ
მხარედ	mxɑrɛd
მხარემ	mxɑrɛm
მხარეს	mxɑrɛs
მხარი	mxɑri
მხარით	mxɑritʰ
მხარის	mxɑris
მხატვარი	mxɑtʼvɑri
მხატვრული	mxɑtʼvruli
მხდალი	mxdɑli
მხები	mxɛbi
მხედარი	mxɛdɑri
მხედველობა	mxɛdvɛlɔbɑ
მხედრული	mxɛdruli
მხეცი	mxɛt͡si
მხეცობა	mxɛt͡sɔbɑ
მხეცურად	mxɛt͡surɑd
მხეცური	mxɛt͡suri
მხიარულად	mxiɑrulɑd
მხიარული	mxiɑruli
მხიე	mxiɛ
მხნე	mxnɛ
მხნედ	mxnɛd
მხოლობითად	mxɔlɔbitʰɑd
მხოლობითი	mxɔlɔbitʰi
მხოლოდ	mxɔlɔd
მხოლოდდამხოლოდ	mxɔlɔddɑmxɔlɔd
მხოლოდშობილი	mxɔlɔdʃɔbili
მხოლოობითი	mxɔlɔɔbitʰi
მხურვალედ	mxurvɑlɛd
მხცოვანი	mxt͡sɔvɑni
მჯდომარე	md͡ʒdɔmɑrɛ
ნაადრევად	nɑɑdrɛvɑd
ნაადრევი	nɑɑdrɛvi
ნაბათი	nɑbɑtʰi
ნაბიჭვარი	nɑbit͡ʃʼvɑri
ნაბიჯი	nɑbid͡ʒi
ნაბოზარა	nɑbɔzɑrɑ
ნაბოზარი	nɑbɔzɑri
ნაგავი	nɑɡɑvi
ნაგაზი	nɑɡɑzi
ნაგებობა	nɑɡɛbɔbɑ
ნაგერალი	nɑɡɛrɑli
ნაგულისხმევი	nɑɡulisxmɛvi
ნადავლი	nɑdɑvli
ნადიმი	nɑdimi
ნადირი	nɑdiri
ნადირობა	nɑdirɔbɑ
ნადირს	nɑdirs
ნაერთი	nɑɛrtʰi
ნავაზი	nɑvɑzi
ნავარდი	nɑvɑrdi
ნავთი	nɑvtʰi
ნავთობი	nɑvtʰɔbi
ნავთობიანი	nɑvtʰɔbiɑni
ნავთსაყუდელი	nɑvtʰsɑqʼudɛli
ნავი	nɑvi
ნავიგაცია	nɑviɡɑt͡siɑ
ნავსადგურად	nɑvsɑdɡurɑd
ნავსადგური	nɑvsɑdɡuri
ნავსადგურით	nɑvsɑdɡuritʰ
ნავსადგურის	nɑvsɑdɡuris
ნავსადგურმა	nɑvsɑdɡurmɑ
ნავსადგურს	nɑvsɑdɡurs
ნავსაყუდელი	nɑvsɑqʼudɛli
ნაზად	nɑzɑd
ნაზუქი	nɑzukʰi
ნათარგმნი	nɑtʰɑrɡmni
ნათება	nɑtʰɛbɑ
ნათელა	nɑtʰɛlɑ
ნათელაშვილი	nɑtʰɛlɑʃvili
ნათელი	nɑtʰɛli
ნათესავი	nɑtʰɛsɑvi
ნათესაობა	nɑtʰɛsɑɔbɑ
ნათესაობითი	nɑtʰɛsɑɔbitʰi
ნათია	nɑtʰiɑ
ნათლად	nɑtʰlɑd
ნათლია	nɑtʰliɑ
ნათლიდედა	nɑtʰlidɛdɑ
ნათლიმამა	nɑtʰlimɑmɑ
ნათლისღება	nɑtʰlisɣɛbɑ
ნათლობა	nɑtʰlɔbɑ
ნათლული	nɑtʰluli
ნათურა	nɑtʰurɑ
ნაიარევი	nɑiɑrɛvi
ნაირა	nɑirɑ
ნაირგვაროვნად	nɑirɡvɑrɔvnɑd
ნაირობი	nɑirɔbi
ნაირსახეობა	nɑirsɑxɛɔbɑ
ნაკადი	nɑkʼɑdi
ნაკადული	nɑkʼɑduli
ნაკელი	nɑkʼɛli
ნაკერი	nɑkʼɛri
ნაკვალევი	nɑkʼvɑlɛvi
ნაკვერცხალი	nɑkʼvɛrt͡sxɑli
ნაკვთი	nɑkʼvtʰi
ნაკლებად	nɑkʼlɛbɑd
ნაკლები	nɑkʼlɛbi
ნაკლებმოსალოდნელად	nɑkʼlɛbmɔsɑlɔdnɛlɑd
ნაკლებობა	nɑkʼlɛbɔbɑ
ნაკლი	nɑkʼli
ნაკლიანი	nɑkʼliɑni
ნაკრები	nɑkʼrɛbi
ნაკურთხი	nɑkʼurtʰxi
ნაკუწი	nɑkʼut͡sʼi
ნალბანდი	nɑlbɑndi
ნალი	nɑli
ნამგალი	nɑmɡɑli
ნამდვილად	nɑmdvilɑd
ნამდვილი	nɑmdvili
ნამდვილობა	nɑmdvilɔbɑ
ნამეტანი	nɑmɛtʼɑni
ნამზეური	nɑmzɛuri
ნამიბია	nɑmibiɑ
ნამიოკობანა	nɑmiɔkʼɔbɑnɑ
ნამორაძე	nɑmɔrɑd͡zɛ
ნამქერი	nɑmkʰɛri
ნამცეცა	nɑmt͡sɛt͡sɑ
ნამცეცი	nɑmt͡sɛt͡si
ნამცხვარი	nɑmt͡sxvɑri
ნამძინარევად	nɑmd͡zinɑrɛvɑd
ნამჯა	nɑmd͡ʒɑ
ნანახი	nɑnɑxi
ნანგრევი	nɑnɡrɛvi
ნანსუკი	nɑnsukʼi
ნაოსნობა	nɑɔsnɔbɑ
ნაოჭებიანი	nɑɔt͡ʃʼɛbiɑni
ნაოჭი	nɑɔt͡ʃʼi
ნაპალმი	nɑpʼɑlmi
ნაპერწკალი	nɑpʼɛrt͡sʼkʼɑli
ნაპირზე	nɑpʼirzɛ
ნაპირთან	nɑpʼirtʰɑn
ნაპირი	nɑpʼiri
ნაპირისაკენ	nɑpʼirisɑkʼɛn
ნაპირისკენ	nɑpʼiriskʼɛn
ნაპრალი	nɑpʼrɑli
ნარგიზი	nɑrɡizi
ნარდი	nɑrdi
ნარვალი	nɑrvɑli
ნართანიანი	nɑrtʰɑniɑni
ნართი	nɑrtʰi
ნარინჯისფერი	nɑrind͡ʒispʰɛri
ნარიყალა	nɑriqʼɑlɑ
ნარკომანი	nɑrkʼɔmɑni
ნარკოტიკი	nɑrkʼɔtʼikʼi
ნარკოტიკული	nɑrkʼɔtʼikʼuli
ნარშავი	nɑrʃɑvi
ნარჩენი	nɑrt͡ʃɛni
ნასვამი	nɑsvɑmi
ნასკვი	nɑskʼvi
ნასკვიანი	nɑskʼviɑni
ნასკი	nɑskʼi
ნატეხი	nɑtʼɛxi
ნატი	nɑtʼi
ნატიურმორტი	nɑtʼiurmɔrtʼi
ნატრიუმი	nɑtʼriumi
ნატურალიზმი	nɑtʼurɑlizmi
ნატურალისტი	nɑtʼurɑlistʼi
ნატურმორტი	nɑtʼurmɔrtʼi
ნაურუ	nɑuru
ნაფეხური	nɑpʰɛxuri
ნაფოტი	nɑpʰɔtʼi
ნაქალაქარი	nɑkʰɑlɑkʰɑri
ნაქარგი	nɑkʰɑrɡi
ნაღდად	nɑɣdɑd
ნაღდი	nɑɣdi
ნაღები	nɑɣɛbi
ნაღებიანი	nɑɣɛbiɑni
ნაღველა	nɑɣvɛlɑ
ნაღველი	nɑɣvɛli
ნაღვერდალი	nɑɣvɛrdɑli
ნაღვლიანად	nɑɣvliɑnɑd
ნაღვლიანი	nɑɣvliɑni
ნაღმი	nɑɣmi
ნაყალბევი	nɑqʼɑlbɛvi
ნაყვავილარი	nɑqʼvɑvilɑri
ნაყინი	nɑqʼini
ნაყოფი	nɑqʼɔpʰi
ნაყოფიერად	nɑqʼɔpʰiɛrɑd
ნაყოფიერება	nɑqʼɔpʰiɛrɛbɑ
ნაყოფიერი	nɑqʼɔpʰiɛri
ნაშა	nɑʃɑ
ნაშთი	nɑʃtʰi
ნაშიერი	nɑʃiɛri
ნაშუადღევი	nɑʃuɑdɣɛvi
ნაშუადღევს	nɑʃuɑdɣɛvs
ნაშური	nɑʃuri
ნაჩქარევად	nɑt͡ʃkʰɑrɛvɑd
ნაჩქარევი	nɑt͡ʃkʰɑrɛvi
ნაცარი	nɑt͡sɑri
ნაცვალგება	nɑt͡svɑlɡɛbɑ
ნაცვალსახელი	nɑt͡svɑlsɑxɛli
ნაცვლად	nɑt͡svlɑd
ნაციზმი	nɑt͡sizmi
ნაციონალი	nɑt͡siɔnɑli
ნაციონალისტი	nɑt͡siɔnɑlistʼi
ნაციონალურად	nɑt͡siɔnɑlurɑd
ნაცისტი	nɑt͡sistʼi
ნაცისტური	nɑt͡sistʼuri
ნაცნობი	nɑt͡snɔbi
ნაცნობობა	nɑt͡snɔbɔbɑ
ნაცრისფერი	nɑt͡srispʰɛri
ნაცრისფრად	nɑt͡srispʰrɑd
ნაძვი	nɑd͡zvi
ნაძირალა	nɑd͡zirɑlɑ
ნაძირალი	nɑd͡zirɑli
ნაძლევი	nɑd͡zlɛvi
ნაწარმი	nɑt͡sʼɑrmi
ნაწარმოები	nɑt͡sʼɑrmɔɛbi
ნაწევარი	nɑt͡sʼɛvɑri
ნაწიბური	nɑt͡sʼiburi
ნაწილაკი	nɑt͡sʼilɑkʼi
ნაწილი	nɑt͡sʼili
ნაწილობრივ	nɑt͡sʼilɔbriv
ნაწილობრივი	nɑt͡sʼilɔbrivi
ნაწლავი	nɑt͡sʼlɑvi
ნაწნავი	nɑt͡sʼnɑvi
ნაჭრილობევი	nɑt͡ʃʼrilɔbɛvi
ნაჭუჭი	nɑt͡ʃʼut͡ʃʼi
ნახავს	nɑxɑvs
ნახატი	nɑxɑtʼi
ნახევარგზაზე	nɑxɛvɑrɡzɑzɛ
ნახევარდა	nɑxɛvɑrdɑ
ნახევარი	nɑxɛvɑri
ნახევარკუნძული	nɑxɛvɑrkʼund͡zuli
ნახევარსფერო	nɑxɛvɑrspʰɛrɔ
ნახევარტონი	nɑxɛvɑrtʼɔni
ნახევარძმა	nɑxɛvɑrd͡zmɑ
ნახევარწრე	nɑxɛvɑrt͡sʼrɛ
ნახევრად	nɑxɛvrɑd
ნახევრადფენოვანი	nɑxɛvrɑdpʰɛnɔvɑni
ნახერხი	nɑxɛrxi
ნახვა	nɑxvɑ
ნახვამდის	nɑxvɑmdis
ნახველი	nɑxvɛli
ნახვრეტი	nɑxvrɛtʼi
ნახირი	nɑxiri
ნახტომი	nɑxtʼɔmi
ნახულობს	nɑxulɔbs
ნახშირბადი	nɑxʃirbɑdi
ნახშირგორა	nɑxʃirɡɔrɑ
ნახშირი	nɑxʃiri
ნახშირორჟანგი	nɑxʃirɔrʒɑnɡi
ნახშირწყალი	nɑxʃirt͡sʼqʼɑli
ნაჯახი	nɑd͡ʒɑxi
ნაჯვარი	nɑd͡ʒvɑri
ნგრევა	nɡrɛvɑ
ნდობა	ndɔbɑ
ნდობით	ndɔbitʰ
ნეაპოლი	nɛɑpʼɔli
ნება	nɛbɑ
ნებავს	nɛbɑvs
ნებართვა	nɛbɑrtʰvɑ
ნებაყოფლობით	nɛbɑqʼɔpʰlɔbitʰ
ნებაყოფლობითი	nɛbɑqʼɔpʰlɔbitʰi
ნებიერი	nɛbiɛri
ნებისმიერი	nɛbismiɛri
ნებისყოფა	nɛbisqʼɔpʰɑ
ნეგუსი	nɛɡusi
ნედლად	nɛdlɑd
ნედლი	nɛdli
ნევადა	nɛvɑdɑ
ნევრალგია	nɛvrɑlɡiɑ
ნევრალგიური	nɛvrɑlɡiuri
ნევრიტი	nɛvritʼi
ნევროზი	nɛvrɔzi
ნევროლოგი	nɛvrɔlɔɡi
ნევროლოგია	nɛvrɔlɔɡiɑ
ნევროტულად	nɛvrɔtʼulɑd
ნეზვი	nɛzvi
ნეილონი	nɛilɔni
ნეიტრალიტეტი	nɛitʼrɑlitʼɛtʼi
ნეიტრალური	nɛitʼrɑluri
ნეიტრონი	nɛitʼrɔni
ნეკერჩხალი	nɛkʼɛrt͡ʃxɑli
ნეკნები	nɛkʼnɛbi
ნეკნი	nɛkʼni
ნეკროლოგი	nɛkʼrɔlɔɡi
ნეკრომანტი	nɛkʼrɔmɑntʼi
ნელა	nɛlɑ
ნელად	nɛlɑd
ნელება	nɛlɛbɑ
ნელთბილად	nɛltʰbilɑd
ნელთბილი	nɛltʰbili
ნელი	nɛli
ნელსონი	nɛlsɔni
ნემეზიდა	nɛmɛzidɑ
ნემსი	nɛmsi
ნემსიყლაპია	nɛmsiqʼlɑpʼiɑ
ნემსიწვერა	nɛmsit͡sʼvɛrɑ
ნეოდიმიუმი	nɛɔdimiumi
ნეოლითური	nɛɔlitʰuri
ნეოლოგიზმი	nɛɔlɔɡizmi
ნეონი	nɛɔni
ნეოფიტი	nɛɔpʰitʼi
ნეპალი	nɛpʼɑli
ნეპოტიზმი	nɛpʼɔtʼizmi
ნეპტუნი	nɛpʼtʼuni
ნეპტუნიუმი	nɛpʼtʼuniumi
ნერვი	nɛrvi
ნერვიულად	nɛrviulɑd
ნერვიული	nɛrviuli
ნერვიულობა	nɛrviulɔbɑ
ნერვოზი	nɛrvɔzi
ნერვული	nɛrvuli
ნერვულობა	nɛrvulɔbɑ
ნერსე	nɛrsɛ
ნესვი	nɛsvi
ნესტარი	nɛstʼɑri
ნესტიანად	nɛstʼiɑnɑd
ნესტიანი	nɛstʼiɑni
ნესტო	nɛstʼɔ
ნესტორი	nɛstʼɔri
ნეტა	nɛtʼɑ
ნეტავ	nɛtʼɑv
ნეტავი	nɛtʼɑvi
ნეტარი	nɛtʼɑri
ნეფე	nɛpʰɛ
ნეფრიტი	nɛpʰritʼi
ნეშომპალა	nɛʃɔmpʼɑlɑ
ნეხვი	nɛxvi
ნთება	ntʰɛbɑ
ნთქმა	ntʰkʰmɑ
ნიადაგ	niɑdɑɡ
ნიადაგი	niɑdɑɡi
ნიანგი	niɑnɡi
ნიაღვარი	niɑɣvɑri
ნიახური	niɑxuri
ნიგერი	niɡɛri
ნიგერია	niɡɛriɑ
ნიგვზიანი	niɡvziɑni
ნიგოზი	niɡɔzi
ნიდაო	nidɑɔ
ნიდაყვი	nidɑqʼvi
ნიდერლანდები	nidɛrlɑndɛbi
ნიდერლანდელი	nidɛrlɑndɛli
ნიდერლანდი	nidɛrlɑndi
ნივთიერება	nivtʰiɛrɛbɑ
ნიკაპი	nikʼɑpʼi
ნიკარაგუა	nikʼɑrɑɡuɑ
ნიკელი	nikʼɛli
ნიკოლაიშვილი	nikʼɔlɑiʃvili
ნიკოლი	nikʼɔli
ნიკოლოზ	nikʼɔlɔz
ნიკოტინი	nikʼɔtʼini
ნიკოფსია	nikʼɔpʰsiɑ
ნიმუში	nimuʃi
ნიმფა	nimpʰɑ
ნინოწმინდა	ninɔt͡sʼmindɑ
ნიობიუმი	niɔbiumi
ნიორი	niɔri
ნიჟარა	niʒɑrɑ
ნიჟარი	niʒɑri
ნირვანა	nirvɑnɑ
ნირი	niri
ნისია	nisiɑ
ნისკარტი	niskʼɑrtʼi
ნისლი	nisli
ნისლიანი	nisliɑni
ნისლოვანება	nislɔvɑnɛbɑ
ნიტრატი	nitʼrɑtʼi
ნიუანსი	niuɑnsi
ნიუკა	niukʼɑ
ნიღაბი	niɣɑbi
ნიშა	niʃɑ
ნიშანი	niʃɑni
ნიშვნა	niʃvnɑ
ნიში	niʃi
ნიშნავს	niʃnɑvs
ნიჩაბი	nit͡ʃɑbi
ნიჩბოსანი	nit͡ʃbɔsɑni
ნიჩბოსნობა	nit͡ʃbɔsnɔbɑ
