а	a
нагурати	naɡǔːrati
над	nâd
нада	nǎːda
надарен	nǎdaːren
надати	nǎːdati
надахнути	nadǎxnuti
надахњивати	nadaxɲǐːʋati
надаље	nâdaʎeː
надвисивати	nadʋisǐːʋati
надвисити	nadʋǐːsiti
надвити	nǎdʋiti
надвијати	nadʋǐːjati
надвладавати	nadʋladǎːʋati
надвладати	nadʋlǎːdati
надводни	nǎdʋodniː
надвожњак	nǎːdʋoʒɲaːk
надвор	nǎdʋoːr
надвође	nǎdʋoːd͡ʑe
надвојвода	nâdʋojʋoda
надгледати	nadɡlěːdati
надгледник	nǎːdɡledniːk
надев	nǎːdeʋ
надевати	naděːʋati
наденути	nǎdenuti
надесно	nâdesno
надеђа	nǎded͡ʑa
надживети	nadʒǐːʋeti
надживјети	nadʒǐːʋjeti
надживљавати	nadʒiʋʎǎːʋati
надзвучни	nǎdzʋut͡ʃniː
надземаљски	nadzemǎʎskiː
надзирати	nǎdzirati
надзор	nǎːdzor
надзорник	nǎːdzoːrniːk
надимак	nǎːdimak
надимати	nǎdimati
надијевати	nadjěːʋati
надлактица	nǎdlaktit͡sa
надлежан	nǎːdleʒan
надлежност	nǎːdleʒnoːst
надлетати	nadlěːtati
надлетети	nadlěteti
надлетјети	nadlětjeti
надлијетати	nadlijěːtati
надмашивати	nadmaʃǐːʋati
надмашити	nǎdmaʃiti
надмоћ	nâdmoːt͡ɕ
надмоћан	nâdmot͡ɕan
надмоћно	nâdmot͡ɕno
надница	nâdnit͡sa
надничар	nâdnit͡ʃaːr
надничарка	nâdnit͡ʃaːrka
надобудан	nâdobuːdan
надовезати	nadoʋěːzati
надовезивати	nadoʋezǐːʋati
надоградити	nadoɡrǎːditi
надограђивати	nadoɡrad͡ʑǐːʋati
надокнада	nâdoknada
надокнадити	nadǒknaditi
надокнађивати	nadoknad͡ʑǐːʋati
надоле	nǎdole
надоместак	nadǒmestak
надомјестак	nadǒmjestak
надописати	nadopǐːsati
надопуна	nâdopuna
надопунити	nadǒpuniti
надопуњавати	nadopuɲǎːʋati
надоље	nǎdoʎe
надреализам	nadrealǐzam
надувеност	nadǔʋenoːst
надути	nǎduti
надјачавати	nadjat͡ʃǎːʋati
надјачати	nadjǎt͡ʃati
надјев	nǎːdjeʋ
надјенути	nǎdjenuti
надљудски	nâdʎudski
надљудски	nâdʎudskiː
нажалост	nâʒaloːst
назад	nâzaːd
назадан	nǎzadan
назадовати	nǎzadoʋati
назал	nǎzaːl
назални	nǎzaːlniː
назалност	nazǎːlnoːst
назвати	nǎzʋati
наздравити	nǎzdraʋiti
наздрављати	nǎzdraʋʎati
назив	nǎːziʋ
називати	nazǐːʋati
назор	nǎːzor
наиван	nâiːʋan
наивац	naǐːʋat͡s
наивност	naǐːʋnoːst
наивчина	naǐːʋt͡ʃina
наизглед	nâizɡleːd
наизменичан	naizměnit͡ʃan
наизмјеничан	naizmjěnit͡ʃan
наилазити	naǐlaziti
наиме	nǎime
наићи	nǎiːt͡ɕi
наказа	nǎːkaza
наказан	nǎːkazan
наказити	nakǎːziti
накалемити	nakǎlemiti
накана	nâːkana
наканити	nakǎːniti
накањивати	nakaɲǐːʋati
накит	nǎːkit
наклада	nâːklada
наклањати	nǎklaɲati
наклон	nǎːklon
наклонити	naklǒniti
наклоњен	nǎkloɲen
накнада	nâːknada
накнадити	nǎknaditi
накнађивати	naknad͡ʑǐːʋati
наковањ	nâkoʋaɲ
након	nǎkon
накосивати	nakosǐːʋati
накосити	nakǒsiti
накосити	nakǒːsiti
накот	nǎkot
накратко	nâkratko
накриво	nâkriːʋo
накупити	nǎkupiti
накупљати	nakǔːpʎati
налаз	nǎːlaz
налазити	nǎlaziti
налазник	nǎlazniːk
налево	nâleːʋo
налик	nǎːlik
наликовати	nǎːlikoʋati
налијево	nâljeːʋo
налог	nǎːloɡ
наломити	nalǒmiti
нама	nâma
намаз	nǎmaːz
намаз	nǎːmaz
намакати	namǎːkati
намакнути	namǎknuti
намамити	namǎːmiti
намамљивати	namamʎǐːʋati
намаћи	nǎmat͡ɕi
наменити	naměːniti
намера	nâːmera
намеравати	namerǎːʋati
намеран	nǎːmeran
намерно	nǎːmerno
намет	nǎːmet
наметати	namětati
наметнути	nǎmetnuti
наметљив	namětʎiʋ
намештај	nâmeʃtaːj
намењивати	nameɲǐːʋati
намицати	nǎmit͡sati
намијенити	namjěːniti
намлети	nǎmleti
намнажати	namnǎːʒati
намножавати	namnoʒǎːʋati
намножити	namnǒʒiti
намочити	namǒt͡ʃiti
намјера	nâːmjera
намјеравати	namjerǎːʋati
намјеран	nǎːmjeran
намјерно	nǎːmjerno
намјештај	nâmjeʃtaːj
намјењивати	namjeɲǐːʋati
намљети	nǎmʎeti
нана	nǎːna
нанервирати	nanerʋǐːrati
нанишанити	naniʃǎːniti
наново	nânoʋo
наоблачивати	naoblat͡ʃǐːʋati
наоблачити	naoblǎːt͡ʃiti
наоколо	nâokolo
наопако	nâopaːko
наопачке	nâopat͡ʃkeː
наоружавати	naoruʒǎːʋati
наоружати	naorǔʒati
наоружање	naoruʒǎːɲe
наочаре	nâot͡ʃaːre
наочит	nǎot͡ʃit
наоштрити	naǒʃtriti
нападан	nǎːpadan
нападати	nǎpadati
нападај	nâpadaːj
нападно	nǎːpadno
нападност	nǎːpadnoːst
напалм	nǎpalm
напамет	nâpameːt
напаст	nǎːpast
напасти	nǎpasti
напатити	nǎpatiti
напет	nâpeːt
напети	nǎpeːti
напето	nâpeːto
напећи	nǎpet͡ɕi
написати	napǐːsati
напитак	nǎːpitak
напити	nǎpiti
напијати	napǐːjati
напињати	nǎpiɲati
наплата	nâːplata
напокон	nâpokon
напола	nâpola
напомена	nâpomena
напоменути	napoměːnuti
напомињати	napǒmiɲati
напон	nǎːpon
напор	nǎːpor
напоран	nǎːpoːran
напорно	nǎːpoːrno
напослетку	naposlěːtku
напосљетку	naposʎěːtku
напојница	nǎːpoːjnit͡sa
напоље	nâpoʎe
напољу	nâpoʎu
направа	nâːpraʋa
направити	nǎpraʋiti
напред	nâpreːd
напредак	nǎpredak
напредан	nǎpredan
напредовати	nǎpredoʋati
напредовање	nǎpredoʋaːɲe
напрем	nâprem
напрема	nǎprema
напричати	naprǐːt͡ʃati
напријед	nâprjeːd
напросто	nâprosto
напротив	nâprotiːʋ
напртњача	nǎprtɲat͡ʃa
напунити	nǎpuniti
напустити	napǔstiti
напушити	nǎpuʃiti
напуштати	napǔːʃtati
напуљ	nǎːpuʎ
нар	nâr
наравно	nǎːraʋno
наранча	nǎraːnt͡ʃa
наранчаст	nǎraːnt͡ʃast
наранџа	nǎraːnd͡ʒa
наранџаст	nǎraːnd͡ʒast
наративан	nâratiːʋan
нарација	narǎːt͡sija
нарађати	narǎːd͡ʑati
нард	nârd
наредба	nǎːredba
наредни	nǎːredniː
наредник	nǎːredniːk
наредница	nǎːrednit͡sa
наречје	nǎːret͡ʃje
нарисати	nǎrisati
нарицати	narǐːt͡sati
наркоза	narkǒːza
наркоман	narkǒmaːn
наркоманка	narkǒmaːnka
наркотик	narkǒtik
народ	nǎːrod
народити	narǒditi
народни	nǎːrodniː
народност	nǎːrodnoːst
нарочит	nǎːrot͡ʃit
нарочито	nǎːrot͡ʃito
наруквица	nǎrukʋit͡sa
наручивати	narut͡ʃǐːʋati
наручити	narǔːt͡ʃiti
наручје	nǎːruːt͡ʃje
наруџба	nǎːrud͡ʒba
нарцизам	nart͡sǐzam
нарцис	nǎrt͡sis
нарцисизам	nart͡sisǐzam
нарјечје	nǎːrjeːt͡ʃje
нас	nâːs
насамаривати	nasamarǐːʋati
насамарити	nasamǎːriti
насамо	nâsaːmo
населити	nasěliti
насеобина	nǎːseobina
насељавати	naseʎǎːʋati
насеље	nǎːseːʎe
насељен	nǎseʎen
насељеник	naseʎěniːk
насељеница	naseʎěnit͡sa
насељенички	naseʎěniːt͡ʃkiː
насилан	nǎːsilan
насилник	nǎːsiːlniːk
насилно	nǎːsilno
насип	nǎːsip
наситити	nǎsititi
насиље	nǎːsiːʎe
наслага	nâːslaɡa
наслањати	nǎslaɲati
наследан	nǎːsʎedan
наследити	naslěːditi
наследник	nǎːsledniːk
наследница	nǎːslednit͡sa
наслепо	nâsleːpo
наслеђе	nǎːsleːd͡ʑe
наслеђивати	nasled͡ʑǐːʋati
наслеђивање	nasled͡ʑǐːʋaːɲe
насликати	nǎslikati
наслиједити	naslijěːditi
наслијепо	nâslijeːpo
наслов	nǎːsloʋ
насловник	nǎːsloːʋniːk
наслон	nǎːslon
наслонити	naslǒniti
наслоњач	naslǒɲaːt͡ʃ
наслутити	naslǔːtiti
наслућивати	naslut͡ɕǐːʋati
насмешити	nasměːʃiti
насмејавати	nasmejǎːʋati
насмејати	nasmějati
насмијавати	nasmijǎːʋati
насмијати	nasmǐjati
насмијешити	nasmjěːʃiti
наспавати	naspǎːʋati
наспати	nǎspati
насред	nâsred
насрнути	nasřːnuti
насртати	nǎsrtati
насртљив	nasřtʎiʋ
наставак	nǎːstaʋak
наставити	nǎstaʋiti
настављати	nǎstaʋʎati
настављач	nastǎʋʎaːt͡ʃ
настанак	nǎstanak
настанити	nastǎːniti
настати	nǎstati
настајати	nǎstajati
настањивати	nastaɲǐːʋati
настојати	nǎːstojati
настрадати	nastrǎːdati
настран	nǎstran
настрано	nǎstrano
настраност	nǎstranoːst
наступ	nǎːstup
наступати	nastǔːpati
наступити	nastǔːpiti
насукати	nasǔːkati
насумице	nǎsumit͡seː
насумце	nǎsumt͡seː
насупрот	nâsuprot
насљедан	nǎːsʎedan
насљедник	nǎːsʎedniːk
насљедница	nǎːsʎednit͡sa
насљеђе	nǎːsʎeːd͡ʑe
насљеђивати	nasʎed͡ʑǐːʋati
насљеђивање	nasʎed͡ʑǐːʋaːɲe
натални	nǎtaːlniː
натапати	natǎːpati
натенане	natenǎːne
натеравати	naterǎːʋati
натерати	nǎterati
натеривати	naterǐːʋati
натечај	nâtet͡ʃaːj
наткрилити	natkrǐːliti
наткриљивати	natkriʎǐːʋati
натмурен	nǎtmuːren
натопити	natǒpiti
натраг	nâtraːɡ
натрашке	nâtraʃkeː
натукница	nǎtuknit͡sa
натуралан	nâturaːlan
натурализам	naturalǐzam
натјеравати	natjerǎːʋati
натјерати	nǎtjerati
натјеривати	natjerǐːʋati
натјечај	nâtjet͡ʃaːj
наудити	nǎuditi
наука	nǎuka
наум	nǎum
наумити	naǔmiti
наутички	naǔtit͡ʃkiː
научан	nǎːut͡ʃan
научити	naǔt͡ʃiti
научник	nǎut͡ʃniːk
наушница	nǎuʃnit͡sa
нафта	nâfta
нафтовод	nâftoʋoːd
нахвалити	naxʋǎːliti
наход	nǎxod
нахоче	nǎxot͡ʃe
нахранити	naxrǎːniti
нахрупити	naxrǔːpiti
нахрупљивати	naxrupʎǐːʋati
нахушкати	nǎxuʃkati
нацизам	nat͡sǐzam
национализам	nat͡sionalǐzam
националист	nat͡sionǎlist
националистички	natsionalǐstitʃki
националистички	natsionalǐstitʃkiː
национални	nât͡sionaːlniː
националност	nat͡sionǎːlnoːst
нацист	nǎt͡sist
нација	nâːt͡sija
нацрт	nǎːt͡srt
нацртати	nǎt͡srtati
начелник	nǎːt͡ʃelniːk
начело	nat͡ʃěːlo
начин	nǎːt͡ʃin
начинити	nat͡ʃǐniti
начитан	nât͡ʃitaːn
начути	nǎt͡ʃuti
нашки	nâʃki
нашки	nâʃkiː
најава	nâːjaʋa
најавити	najǎːʋiti
најављивати	najaʋʎǐːʋati
најављивач	najaʋʎǐʋaːt͡ʃ
најам	nǎːjam
најамни	nǎːjamniː
најамник	nǎːjamniːk
најамнина	najamnǐna
најахати	nǎjaxati
најгвирц	nǎjɡʋirt͡s
наједном	najědnoːm
најежити	najěːʒiti
најезда	nâjezda
најести	nǎjesti
најзад	nâjzad
најквирц	nǎjkʋirt͡s
најлон	nǎjloːn
најприје	nâːjprije
најуривати	najurǐːʋati
најурити	najǔːriti
наљутити	naʎǔːtiti
наћве	nât͡ɕʋe
наћи	nǎːt͡ɕi
не	ne
неадекватан	nêadekʋaːtan
неактиван	nêaktiːʋan
небески	neběskiː
небитан	nêbiːtan
небитност	nêbiːtnoːst
небог	něboɡ
небодер	nêbodeːr
небројен	něbrojen
небројено	něbrojeno
небулозан	nêbuloːzan
неважан	nêʋaːʒan
невелик	něʋelik
невера	něʋera
неверан	nêʋeran
неверица	něʋerit͡sa
неверник	něʋeːrniːk
неверница	něʋeːrnit͡sa
невернички	něʋeːrnit͡ʃkiː
неверно	něʋerno
невеста	něʋesta
невешт	něʋeʃt
невидљив	neʋǐdʎiʋ
невидљиво	neʋǐdʎiʋo
невидљивост	neʋǐdʎiʋoːst
невин	nêʋiːn
невино	nêʋiːno
невиност	nêʋiːnoːst
невоља	něʋoʎa
невреме	nêʋreːme
невријеме	nêʋrjeːme
невјера	něʋjera
невјеран	nêʋjeran
невјерица	něʋjerit͡sa
невјерник	něʋjeːrniːk
невјерница	něʋjeːrnit͡sa
невјернички	něʋjeːrnit͡ʃkiː
невјерно	něʋjerno
невјеста	něʋjesta
невјешт	něʋjeʃt
нега	nêɡa
негативан	nêɡatiːʋan
негативац	neɡatǐːʋat͡s
негативност	neɡatǐːʋnoːst
негатор	něɡaːtor
негација	neɡǎːt͡sija
негве	nêɡʋe
негда	nêɡda
негде	nêɡde
негдје	nêɡdje
негирати	neɡǐːrati
него	nêɡo
неговатељ	neɡǒʋateʎ
неговатељица	neɡoʋatěʎit͡sa
неговатељичин	neɡoʋatěʎit͡ʃin
неговати	nêɡoʋati
негодовати	něɡodoʋati
негостољубив	neɡostoʎǔbiʋ
негостољубивост	neɡostoʎǔbiʋoːst
недаван	nêdaːʋan
недавно	nêdaːʋno
недалеко	nêdaleko
недвојбено	nedʋǒjbeno
недеља	nědeʎa
недељив	neděʎiʋ
недељни	nědeːʎniː
недовољан	nêdoʋoːʎan
недодирљив	nedodǐrʎiʋ
недоказив	nedokǎziʋ
недопустив	nedopǔstiʋ
недопустиво	nedopǔstiʋo
недоследан	nedǒsledan
недостатак	nedostǎːtak
недостајати	nedǒstajati
недостајући	nedǒstajuːt͡ɕiː
недостижан	nêdostiʒan
недосљедан	nedǒsʎedan
недоумица	nedǒumit͡sa
недохватљив	nedoxʋǎtʎiʋ
недохватљивост	nedoxʋǎtʎiʋoːst
недра	nêdra
недруштвен	nědruʃtʋen
недужан	nêduːʒan
недужно	nêduːʒno
недјеља	nědjeʎa
недјељив	nedjěʎiʋ
недјељни	nědjeːʎniː
неефикасан	nêefikasan
нежан	nêʒan
нежељен	něʒeʎen
нежно	nêʒno
нежност	nêʒnoːst
незабораван	nêzaboraːʋan
незаборављив	nezaborǎʋʎiʋ
незавидан	nezǎːʋidan
независан	nezǎːʋisan
независно	nezǎːʋisno
независност	nezǎːʋisnoːst
незадовољан	nêzadoʋoːʎan
незадовољно	nêzadoʋoːʎno
незадовољство	nezadoʋǒːʎstʋo
незаконит	nezǎːkonit
незаконито	nezǎːkonito
незаконски	nezǎːkonskiː
незамењив	nezaměɲiʋ
незамећен	nezǎmeːt͡ɕen
незамислив	nezamǐsliʋ
незамисливо	nezamǐsliʋo
незамијећен	nezǎmijeːt͡ɕen
незамјењив	nezamjěɲiʋ
незанимљив	nezanǐmʎiʋ
незанимљиво	nezanǐmʎiʋo
незапажен	nezǎpaʒen
незапослен	nezǎposlen
незапосленост	nezǎposlenoːst
незаситан	nêzasitan
незаситно	nêzasitno
незаситљив	nezasǐtʎiʋ
незасићен	nezǎsit͡ɕen
незахвалан	nêzaxʋaːlan
незахвалник	nêzaxʋaːlniːk
незахвалница	nêzaxʋaːlnit͡sa
незахвално	nêzaxʋaːlno
незахвалност	nezaxʋǎːlnoːst
незаштићен	nezǎʃtiːt͡ɕen
незван	nêzʋaːn
незгода	nězɡoda
незгодан	nězɡodan
незгодно	nězɡodno
незграпан	nêzɡraːpan
незграпно	nêzɡraːpno
незграпност	nêzɡraːpnoːst
нездрав	nězdraʋ
нездраво	nězdraʋo
незнабожац	neznabǒːʒat͡s
незнабоштво	neznǎboʃtʋo
незналица	něznalit͡sa
незнан	nêznaːn
незнанац	neznǎːnat͡s
незнатан	nêznaːtan
незнатно	nêznaːtno
незнање	neznǎːɲe
незрелост	nězreloːst
незрео	nězreo
неизбежан	nêizbeːʒan
неизбежно	nêizbeːʒno
неизбрисив	neizbrǐsiʋ
неизбјежан	nêizbjeːʒan
неизбјежно	nêizbjeːʒno
неизведив	neizʋědiʋ
неизвесно	nêizʋesno
неизвесност	nêizʋesnoːst
неизвестан	nêizʋestan
неизвјесно	nêizʋjesno
неизвјесност	nêizʋjesnoːst
неизвјестан	nêizʋjestan
неизлечив	neizlět͡ʃiʋ
неизлечивост	neizlět͡ʃiʋoːst
неизречен	neizrět͡ʃen
неизљечив	neizʎět͡ʃiʋ
неизљечивост	neizʎět͡ʃiʋoːst
неимар	něimaːr
неимаштина	neimǎːʃtina
неискрен	něiskren
неискрено	něiskreno
неискреност	něiskrenoːst
неискусан	nêiskusan
неистина	něistina
неистинит	něistinit
некад	nêkad
некадашњи	nêkadaʃɲiː
некажњен	někaʒɲen
некажњив	nekǎʒɲiʋ
некакав	nêkakaːʋ
некако	nêkaːko
некамо	nêkamo
неквалитетан	někʋalitetan
неки	nêkiː
некидан	nêkidaːn
неким	nêkiːm
неко	nêko
неко	nêkoː
неког	nêkoɡ
некога	nêkoɡa
неколико	nêkoliko
неколицина	nekolit͡sǐna
неком	nêkom
некоме	nêkome
некомерцијалан	nêkomert͡sijaːlan
некомпетентан	nekompetěntan
некомпетентно	nekompetěntno
некомпетентност	nekompetěntnoːst
некому	nêkomu
некомуникативан	nêkomunikatiːʋan
некомуникативност	nekomunikatǐːʋnoːst
неконвенционалан	nêkonʋent͡sionaːlan
некорисност	nêkorisnoːst
некористан	nêkoristan
некоји	nêkojiː
некоћ	nêkoːt͡ɕ
некретнина	nekretnǐna
некритичан	nekrǐtit͡ʃan
некритично	nekrǐtit͡ʃno
некроза	nekrǒːza
некролог	nekrǒloɡ
некропола	nekrǒpola
некрофил	nekrǒfiːl
некрофилија	nekrofǐlija
некрст	někrst
нектар	nêktar
некуд	nêkud
некуда	nêkuda
некултуран	nêkultuːran
нелагода	nêlaɡoda
нелагодан	nêlaɡodan
нелагодно	nêlaɡodno
нелегалан	nêleɡaːlan
неломљив	nelǒmʎiʋ
нелош	nêloʃ
нелојалан	nêlojaːlan
нелојално	nêlojaːlno
нем	nêːm
немало	němalo
неман	nêmaːn
немар	nêmaːr
немаран	nêmaːran
немарно	nêmaːrno
немарност	nemǎːrnoːst
немати	něːmati
немац	něːmat͡s
немачка	němat͡ʃkaː
немачки	němatʃki
немачки	němatʃkiː
немаштовит	nemaʃtǒʋit
немаштовитост	nemaʃtǒʋitoːst
немерљив	neměrʎiʋ
немилице	němilit͡seː
немилосрдан	nêmilosrdan
немилосрдно	nêmilosrdno
неминован	nêminoːʋan
неминовно	nêminoːʋno
немио	němio
немир	nêmiːr
немиран	nêmiːran
немирно	nêmiːrno
немица	němit͡sa
немо	nêːmo
немогућ	nêmoɡuːt͡ɕ
немогуће	nêmoɡuːt͡ɕe
немогућност	nemoɡǔːt͡ɕnoːst
немодеран	nêmodeːran
неморал	nêmoraːl
неморалан	nêmoraːlan
неморално	nêmoraːlno
немоћ	nêmoːt͡ɕ
немоћан	nêmot͡ɕan
немоћно	nêmot͡ɕno
немјерљив	nemjěrʎiʋ
ненавидети	nenǎːʋideti
ненавидјети	nenǎːʋidjeti
ненадан	nênaːdan
ненадано	něnaːdano
ненадмашан	nênadmaːʃan
ненадмашив	nenadmǎʃiʋ
ненадјебив	nenadjěbiʋ
неназочан	nenǎːzot͡ʃan
ненамеран	nenǎːmeran
ненамерно	nenǎːmerno
ненаметљив	nenamětʎiʋ
ненамјеран	nenǎːmjeran
ненамјерно	nenǎːmjerno
ненасељен	nenǎseʎen
ненормалан	nênormaːlan
необавезан	nêobaʋezan
необичан	nêobit͡ʃan
необично	nêobit͡ʃno
необорив	neobǒriʋ
необориво	neobǒriʋo
необразован	neǒbrazoʋaːn
необрађен	neǒbraːd͡ʑeːn
необрањив	neobrǎɲiʋ
необрањиво	neobrǎɲiʋo
необријан	neǒbrijan
необуздан	nêobuzdaːn
необјашњив	neobjǎʃɲiʋ
необјашњиво	neobjǎʃɲiʋo
необјективан	nêobjektiʋan
необјективно	nêobjektiʋno
необјективност	neobjektǐːʋnoːst
неовисан	nêoʋisan
неовисно	nêoʋisno
неовисност	nêoʋisnoːst
неограничен	neoɡrǎnit͡ʃen
неодговоран	nêodɡoʋoːran
неодговорно	nêodɡoʋoːrno
неодговорност	neodɡoʋǒːrnoːst
неодлучан	nêodluːt͡ʃan
неодлучен	neǒdluːt͡ʃen
неодлучено	neǒdluːt͡ʃeno
неодлучно	nêodluːt͡ʃno
неодољив	neodǒʎiʋ
неодољиво	neodǒʎiʋo
неодређен	neǒdreːd͡ʑen
неодређено	neǒdreːd͡ʑeno
неожењен	neǒʒeɲen
неолитик	neolǐtik
неолитички	neolǐtit͡ʃkiː
неолитски	neǒliːtski
неолитски	neǒliːtskiː
неологизам	neoloɡǐzam
неон	něoːn
неопазице	neǒpazit͡seː
неопипљив	neopǐpʎiʋ
неопипљивост	neopǐpʎiʋoːst
неописив	neopǐsiʋ
неописиво	neopǐsiʋo
неопозив	neopǒziʋ
неопозиво	neopǒziʋo
неопорезив	neoporěziʋ
неопорезован	neopǒrezoʋaːn
неоправдан	neǒpraːʋdan
неоправдано	neǒpraːʋdano
неопрезан	nêopreːzan
неопрезно	nêopreːzno
неопростив	neoprǒstiʋ
неопходан	nêopxodan
неоргански	nêorɡaːnskiː
неосвојив	neosʋǒjiʋ
неосетљив	neosětʎiʋ
неосетљиво	neosětʎiʋo
неосетљивост	neosětʎiʋoːst
неосигуран	nêosiɡuraːn
неоснован	nêosnoʋaːn
неособан	nêosoban
неоспоран	nêospoːran
неоспорив	neospǒriʋ
неоспоривост	neospǒriʋoːst
неоспорно	nêospoːrno
неостварен	neǒstʋaːren
неостварив	neostʋǎriʋ
неосјетљив	neosjětʎiʋ
неосјетљиво	neosjětʎiʋo
неосјетљивост	neosjětʎiʋoːst
неотесан	nêotesaːn
неотесанац	neotesǎːnat͡s
неотесанка	neotesǎːnka
неотуђив	neotǔd͡ʑiʋ
неочекиван	neot͡ʃěkiːʋaːn
неочекивано	neot͡ʃěkiːʋaːno
неоштећен	neǒʃtet͡ɕen
непажљив	nepǎʒʎiʋ
непажљиво	nepǎʒʎiʋo
непажња	nepǎʒɲa
непал	něpaːl
непалац	nepǎːlat͡s
непалски	něpaːlskiː
непаран	nêpaːran
неписан	něpiːsaːn
неписмен	něpismen
неписмено	něpismeno
неписменост	něpismenoːst
непливач	neplǐʋaːt͡ʃ
неплодан	něplodan
неплодно	něplodno
неплодност	něplodnoːst
непобедив	nepobědiʋ
непобедивост	nepobědiʋoːst
непобитан	nêpobiːtan
непобитно	nêpobiːtno
непобједив	nepobjědiʋ
непобједивост	nepobjědiʋoːst
неповезан	nepǒʋeːzaːn
неповерење	nepoʋerěːɲe
неповерљив	nepoʋěrʎiʋ
неповерљиво	nepoʋěrʎiʋo
неповољан	nêpoʋoːʎan
неповратан	nêpoʋraːtan
неповратно	nêpoʋraːtno
неповредив	nepoʋrědiʋ
неповјерење	nepoʋjerěːɲe
неповјерљив	nepoʋjěrʎiʋ
неповјерљиво	nepoʋjěrʎiʋo
непогода	nêpoɡoda
непогодан	nêpoɡodan
непогрешив	nepoɡrěʃiʋ
неподерив	nepoděriʋ
неподмитљив	nepodmǐtʎiʋ
неподобан	nêpodoban
непожељан	nêpoʒeːʎan
непожељно	nêpoʒeːʎno
непозван	nêpozʋaːn
непознаница	nêpoznanit͡sa
непознат	nêpoznat
непоколебљив	nepokolěbʎiʋ
непокретан	nêpokreːtan
непокретљив	nepokrětʎiʋ
непомирљив	nepomǐrʎiʋ
непомирљиво	nepomǐrʎiʋo
непомичан	nêpomit͡ʃan
непомично	nêpomit͡ʃno
непопустљив	nepopǔstʎiʋ
непопустљиво	nepopǔstʎiʋo
непорецив	neporět͡siʋ
непослушан	nêposluːʃan
непослушно	nêposluːʃno
непосредан	nêposredan
непосредно	nêposredno
непостојан	nepǒːstojaːn
непостојано	nêpostojano
непостојање	nepǒːstojaːɲe
непостојећи	nepǒːstojeːt͡ɕiː
непотпун	nêpotpun
непотпуно	nêpotpuno
непотребан	nêpotreban
непотребно	nêpotrebno
непоуздан	nêpouzdaːn
непоуздано	nêpouzdaːno
непоузданост	nêpouzdaːnoːst
непоштен	nêpoʃten
непоштено	nêpoʃteno
непоштење	nepoʃtěːɲe
непојмљив	nepǒjmʎiʋ
неправедан	nêpraʋedan
неправедно	nêpraʋedno
неправилан	nêpraʋiːlan
неправилно	nêpraʋiːlno
неправилност	nepraʋǐːlnoːst
непрактичан	nêpraktit͡ʃan
непрактично	nêpraktit͡ʃno
непрактичност	neprǎktit͡ʃnoːst
непреводив	nepreʋǒdiʋ
непреводивост	nepreʋǒdiʋoːst
непредвидљив	nepredʋǐdʎiʋ
непредвидљиво	nepredʋǐdʎiʋo
непредвидљивост	nepredʋǐdʎiʋoːst
непредвиђен	neprědʋid͡ʑen
непредвиђено	neprědʋid͡ʑeno
непрекидан	nêprekiːdan
непрекидно	nêprekiːdno
непрекидност	neprekǐːdnoːst
непрекинут	neprěkinuːt
непрекинутост	neprěkinutoːst
непрелазан	nêprelaːzan
непремостив	nepremǒstiʋ
непреносив	neprenǒsiʋ
непреносивост	neprenǒsiʋoːst
непрепознатљив	neprepoznǎtʎiʋ
непрепознатљивост	neprepoznǎtʎiʋoːst
непрепоран	neprěːpoːran
непрепорно	neprěːpoːrno
непрестан	nêprestaːn
непрестано	neprěstano
непрестанце	nêprestant͡seː
непресушан	nêpresuːʃan
непресушност	nêpresuːʃnoːst
непретенциозан	nêpretent͡sioːzan
непрецизан	nêpret͡siːzan
непрецизно	nêpret͡siːzno
непризнат	nêpriznaːt
неприкладан	neprǐkladan
неприлика	neprǐːlika
неприличан	neprǐːlit͡ʃan
неприличност	neprǐːlit͡ʃnoːst
непримерен	neprǐmeren
непримерено	neprǐmereno
неприметан	nêprimetan
неприметно	nêprimetno
неприметљив	neprimětʎiʋ
непримјерен	neprǐmjeren
непримјерено	neprǐmjereno
непримјетан	nêprimjetan
непримјетно	nêprimjetno
непримјетљив	neprimjětʎiʋ
непринципијелан	nêprint͡sipijeːlan
неприпремљен	neprǐpreːmʎen
неприпремљеност	neprǐpreːmʎenoːst
неприродан	neprǐːrodan
неприродно	neprǐːrodno
неприродност	neprǐːrodnoːst
непристојан	nêpristoːjan
непристојно	neprǐːstoːjno
непристојност	nepristǒːjnoːst
непристран	neprǐstran
непристрано	neprǐstrano
непристраност	neprǐstranoːst
неприступачан	nêpristupaːt͡ʃan
неприступачно	nêpristupaːt͡ʃno
неприступачност	nêpristupaːt͡ʃnoːst
неприсутан	něprisutan
неприсутност	něprisutnoːst
неприхватљив	neprixʋǎtʎiʋ
непријазан	něprijaːzan
непријатан	nêprijaːtan
непријатељ	něprijateʎ
непријатељица	neprijatěʎit͡sa
непријатељски	neprijatěʎskiː
непријатељство	neprijatěʎstʋo
непријатно	nêprijaːtno
непријелазан	nêprijelaːzan
непријепоран	neprijěːpoːran
непријепорно	neprijěːpoːrno
непробављен	neprǒbaʋʎen
непробављив	neprobǎʋʎiʋ
непробојан	nêproboːjan
непроверен	neprǒʋeren
непровидан	nêproʋiːdan
непровјерен	neprǒʋjeren
непродан	nêprodaːn
непродуктиван	nêproduktiːʋan
непродуктивност	neproduktǐːʋnoːst
непрозиран	nêproziːran
непрозирно	nêproziːrno
непрозирност	neprozǐːrnoːst
непрокушан	neprǒkuʃaːn
