ก.	kɔː˧
วิศวกรรม	wit̚˦˥.sa˨˩.wa˦˥.kam˧.ma˦˥.,wit̚˦˥.sa˨˩.wa˦˥.kam˧
วิสกี้	wit̚˦˥.sa˨˩.kiː˥˩,wis˦˥.kiː˥˩
วิสคอนซิน	wis˦˥.kʰɔn˧.sin˥˩
วิสรรชนีย์	wi˦˥.san˩˩˦.t͡ɕʰa˦˥.niː˧
วิสัญญี	wi˦˥.san˩˩˦.jiː˧
วิสัญญีแพทย์	wi˦˥.san˩˩˦.jiː˧.pʰɛːt̚˥˩
วิสัย	wi˦˥.saj˩˩˦
วิสัยทัศน์	wi˦˥.saj˩˩˦.tʰat̚˦˥
วิสา	wi˦˥.saː˩˩˦
วิสาข	wi˦˥.saː˩˩˦.kʰa˨˩.
วิสาขบูชา	wi˦˥.saː˩˩˦.kʰa˨˩.buː˧.t͡ɕʰaː˧
วิสามัญ	wi˦˥.saː˩˩˦.man˧.,wi˦˥.saː˩˩˦.man˧.ja˦˥.,wi˦˥.saː˩˩˦.man˧
วิสามานยนาม	wi˦˥.saː˩˩˦.maːn˧.ja˦˥.naːm˧
วิสูตร	wi˦˥.suːt̚˨˩
วิหค	wi˦˥.hok̚˨˩
วิหาร	wi˦˥.haːn˩˩˦,wi˦˥.haː˩˩˦.ra˦˥.
วิฬา	wi˦˥.laː˧
วิฬาร	wi˦˥.laːn˧
วิฬาร์	wi˦˥.laː˧
วิเคราะห์	wi˦˥.kʰrɔʔ˦˥
วิเชียร	wi˦˥.t͡ɕʰia̯n˧
วิเชียรมาศ	wi˦˥.t͡ɕʰia̯n˧.maːt̚˥˩
วิเศษ	wi˦˥.seːt̚˨˩
วิเศษณานุประโยค	wi˦˥.seː˩˩˦.sa˨˩.naː˧.nu˦˥.pra˨˩.joːk̚˨˩
วิเศษณ์	wi˦˥.seːt̚˨˩
วิเสท	wi˦˥.seːt̚˨˩
วิโรธ	wi˦˥.roːt̚˥˩
วิโอลา	wi˦˥.ʔoː˧.laː˥˩
วิ่ง	wiŋ˥˩
วิ่งควาย	wiŋ˥˩.kʰwaːj˧
วี	wiː˧
วีซา	wiː˧.saː˥˩
วีซีดี	wiː˧.siː˧.diː˧
วีดิทัศน์	wiː˧.di˨˩.tʰat̚˦˥
วีดิโอ	wiː˧.di˨˩.ʔoː˧
วีดีทัศน์	wiː˧.diː˧.tʰat̚˦˥
วีดีโอ	wiː˧.diː˧.ʔoː˧
วีร	wiː˧.raʔ˦˥
วีรกรรม	wiː˧.ra˦˥.kam˧
วีรบุรุษ	wiː˧.ra˦˥.bu˨˩.rut̚˨˩
วีรยุทธ	wiː˧.ra˦˥.jut̚t̚˦˥
วีระกรรม	wiː˧.ra˦˥.kam˧
วุฒิสภา	wut̚˦˥.tʰi˦˥.sa˨˩.pʰaː˧
วุฒิสมาชิก	wut̚˦˥.tʰi˦˥.sa˨˩.maː˧.t͡ɕʰik̚˦˥
วุ่น	wun˥˩
วุ้น	wun˦˥
วุ้นมะพร้าว	wun˦˥.ma˦˥.pʰraːw˦˥
วุ้นเส้น	wun˦˥.sen˥˩
วุ้นแปลภาษา	wun˦˥.plɛː˧.pʰaː˧.saː˩˩˦
วูบ	wuːp̚˥˩
ว่องไว	wɔŋ˥˩.waj˧
ว่ะ	waʔ˥˩
ว่า	waː˥˩
ว่าความ	waː˥˩.kʰwaːm˧
ว่าง	waːŋ˥˩
ว่างงาน	waːŋ˥˩.ŋaːn˧
ว่าต่าง	waː˥˩.taːŋ˨˩
ว่าที่	waː˥˩.tʰiː˥˩
ว่าน	waːn˥˩
ว่านน้ำ	waːn˥˩.naːm˦˥
ว่านหางจระเข้	waːn˥˩.haːŋ˩˩˦.t͡ɕɔː˧.ra˦˥.kʰeː˥˩
ว่าย	waːj˥˩
ว่ายน้ำ	waːj˥˩.naːm˦˥
ว่าราชการ	waː˥˩.raːt̚˥˩.t͡ɕʰa˦˥.kaːn˧
ว่าว	waːw˥˩,waw˥˩
ว่าแต่เขาอิเหนาเป็นเอง	waː˥˩.tɛː˨˩.kʰaw˩˩˦.ʔi˨˩.naw˩˩˦.pen˧.ʔeːŋ˧
ว้าง	waːŋ˦˥
ว้าเหว่	waː˦˥.weː˨˩
ว๊าย	waːj˦˥
ศ	sɔː˩˩˦
ศ.	sɔː˩˩˦
ศก	sok̚˨˩
ศตวรรษ	sat̚˨˩.ta˨˩.wat̚˦˥,sa˨˩.ta˨˩.wat̚˦˥
ศพ	sop̚˨˩
ศร	sɔːn˩˩˦
ศรดำ	sɔːn˩˩˦.dam˧
ศรัทธา	sat̚˨˩.tʰaː˧
ศรี	siː˩˩˦
ศรีชยวรรธนปุระโกฏเฏ	siː˩˩˦.t͡ɕʰaj˧.ja˦˥.wat̚˦˥.tʰa˦˥.na˦˥.pu˨˩.ra˦˥.koːt̚˨˩.tiː˧
ศรีธนญชัย	siː˩˩˦.tʰa˦˥.non˧.t͡ɕʰaj˧
ศรีราชา	siː˩˩˦.raː˧.t͡ɕʰaː˧
ศรีลังกา	siː˩˩˦.laŋ˧.kaː˧
ศรีสะเกษ	siː˩˩˦.sa˨˩.keːt̚˨˩
ศฤคาล	sri˨˩.kʰaːn˧
ศฤงคาร	siŋ˩˩˦.kʰaː˧.ra˦˥.,sa˨˩.riŋ˩˩˦.kʰaːn˧.ra˦˥.,siŋ˩˩˦.kʰaːn˧,sa˨˩.riŋ˩˩˦.kʰaːn˧
ศวา	sa˨˩.waː˧
ศวาน	sa˨˩.waːn˧
ศศะ	sa˨˩.saʔ˨˩
ศอ	sɔː˩˩˦
ศอก	sɔːk̚˨˩
ศักดิ	sak̚˨˩.diʔ˨˩
ศักดินา	sak̚˨˩.di˨˩.naː˧
ศักดิ์	sak̚˨˩
ศักดิ์ศรี	sak̚˨˩.siː˩˩˦
ศักดิ์ศรีความเป็นมนุษย์	sak̚˨˩.siː˩˩˦.kʰwaːm˧.pen˧.ma˦˥.nut̚˦˥
ศักดิ์สิทธิ์	sak̚˨˩.sit̚˨˩
ศักย	sak̚˨˩.ka˨˩.jaʔ˦˥
ศักยภาพ	sak̚˨˩.ka˨˩.ja˦˥.pʰaːp̚˥˩
ศักย์	sak̚˨˩
ศักราช	sak̚˨˩.ka˨˩.raːt̚˨˩
ศังข์	saŋ˩˩˦
ศังข์รัศมิ์	saŋ˩˩˦.kʰa˨˩.rat̚˦˥
ศัตรู	sat̚˨˩.truː˧
ศัพทมูล	sap̚˨˩.tʰa˦˥.muːn˧
ศัพทมูลวิทยา	sap̚˨˩.tʰa˦˥.muːn˧.wit̚˦˥.tʰa˦˥.jaː˧
ศัพท์	sap̚˨˩
ศัพท์บัญญัติ	sap̚˨˩.ban˧.jat̚˨˩
ศัลย	san˩˩˦.la˦˥.ja˦˥.,san˩˩˦.ja˦˥.
ศัลยกรรม	san˩˩˦.ja˦˥.kam˧,san˩˩˦.la˦˥.ja˦˥.kam˧
ศัลยกรรมเสริมสวย	san˩˩˦.ja˦˥.kam˧.sɤːm˩˩˦.sua̯j˩˩˦,san˩˩˦.la˦˥.ja˦˥.kam˧.sɤːm˩˩˦.sua̯j˩˩˦
ศัลยแพทย์	san˩˩˦.la˦˥.ja˦˥.pʰɛːt̚˥˩,san˩˩˦.ja˦˥.pʰɛːt̚˥˩
ศารท	saː˩˩˦.ra˦˥.tʰa˦˥.,saːt̚˨˩
ศาล	saːn˩˩˦
ศาลชั้นต้น	saːn˩˩˦.t͡ɕʰan˦˥.ton˥˩
ศาลชั้นอุทธรณ์	saːn˩˩˦.t͡ɕʰan˦˥.ʔut̚˨˩.tʰɔːn˧
ศาลฎีกา	saːn˩˩˦.diː˧.kaː˧
ศาลปกครอง	saːn˩˩˦.pok̚˨˩.kʰrɔːŋ˧
ศาลพระภูมิ	saːn˩˩˦.pʰra˦˥.pʰuːm˧
ศาลยุติธรรม	saːn˩˩˦.jut̚˦˥.ti˨˩.tʰam˧
ศาลยุติธรรมระหว่างประเทศ	saːn˩˩˦.jut̚˦˥.ti˨˩.tʰam˧.ra˦˥.waːŋ˨˩.pra˨˩.tʰeːt̚˥˩
ศาลรัฐธรรมนูญ	saːn˩˩˦.rat̚˦˥.tʰa˨˩.tʰam˧.ma˦˥.nuːn˧
ศาลสูงสุด	saːn˩˩˦.suːŋ˩˩˦.sut̚˨˩
ศาลอุทธรณ์	saːn˩˩˦.ʔut̚˨˩.tʰɔːn˧
ศาลา	saː˩˩˦.laː˧
ศาลากลาง	saː˩˩˦.laː˧.klaːŋ˧
ศาลเจ้า	saːn˩˩˦.t͡ɕaːw˥˩
ศาลเตี้ย	saːn˩˩˦.tia̯˥˩
ศาสดา	saːt̚˨˩.sa˨˩.daː˧
ศาสตราคม	saːt̚˨˩.traː˧.kʰom˧
ศาสตราจารย์	saːt̚˨˩.sa˨˩.traː˧.t͡ɕaːn˧,saːt̚˨˩.traː˧.t͡ɕaːn˧
ศาสตร์	saːt̚˨˩
ศาสนา	saːt̚˨˩.sa˨˩.naː˩˩˦
ศาสนาฮินดู	saːt̚˨˩.sa˨˩.naː˩˩˦.hin˧.duː˧
ศิคาล	si˨˩.kʰaːn˧
ศิริ	siː˩˩˦
ศิลปศาสตร์	sin˩˩˦.la˦˥.pa˨˩.saːt̚˨˩
ศิลปะ	sin˩˩˦.la˦˥.paʔ˨˩
ศิลปิน	sin˩˩˦.la˦˥.pin˧
ศิลป์	sin˩˩˦
ศิลา	si˨˩.laː˧
ศิลาจารึก	si˨˩.laː˧.t͡ɕaː˧.rɯk̚˦˥
ศิลาแลง	si˨˩.laː˧.lɛːŋ˧
ศิวะ	si˨˩.waʔ˦˥
ศิศุ	si˨˩.suʔ˨˩
ศิษย์	sit̚˨˩
ศิษย์เก่า	sit̚˨˩.kaw˨˩
ศีรษะ	siː˩˩˦.saʔ˨˩
ศีล	siːn˩˩˦
ศีลธรรม	siːn˩˩˦.tʰam˧,siːn˩˩˦.la˦˥.tʰam˧
ศีลอด	siːn˩˩˦.ʔot̚˨˩
ศึก	sɯk̚˨˩
ศึกษา	sɯk̚˨˩.saː˩˩˦
ศึกษาศาสตร์	sɯk̚˨˩.saː˩˩˦.saːt̚˨˩
ศุกร์	suk̚˨˩
ศุข	suk̚˨˩
ศุภมัสดุ	sup̚˨˩.pʰa˦˥.mat̚˦˥.sa˨˩.duʔ˨˩
ศุภลักษณ์	sup̚˨˩.pʰa˦˥.lak̚˦˥
ศุภอักษร	sup̚˨˩.pʰa˦˥.ʔak̚˨˩.sɔːn˩˩˦
ศูทร	suːt̚˨˩
ศูนย์	suːn˩˩˦
ศูนย์กลาง	suːn˩˩˦.klaːŋ˧
ศูนย์กลางมวล	suːn˩˩˦.klaːŋ˧.mua̯n˧
ศูนย์การค้า	suːn˩˩˦.kaːn˧.kʰaː˦˥
ษ	sɔː˩˩˦
ส	sɔː˩˩˦
ส.	sɔː˩˩˦
ส.ค.	sɔː˩˩˦.kʰɔː˧
ส.ค.ส.	sɔː˩˩˦.kʰɔː˧.sɔː˩˩˦
ส.ว.	sɔː˩˩˦.wɔː˧
ส.ส.	sɔː˩˩˦.sɔː˩˩˦
สกปรก	sok̚˨˩.ka˨˩.prok̚˨˩
สกรรมกริยา	sa˨˩.kam˧.kri˨˩.jaː˧,sa˨˩.kam˧.ka˨˩.ri˦˥.jaː˧
สกรู	sa˨˩.kruː˧
สกล	sa˨˩.kon˧,sa˨˩.kon˧.la˦˥.
สกลนคร	sa˨˩.kon˧.na˦˥.kʰɔːn˧
สกอตแลนด์	sa˨˩.kɔt̚˦˥.lɛːn˧
สกังก์	sa˨˩.kaŋ˥˩
สกัด	sa˨˩.kat̚˨˩
สกี	sa˨˩.kiː˧
สกุณ	sa˨˩.kun˧
สกุณา	sa˨˩.ku˨˩.naː˧
สกุล	sa˨˩.kun˧
สกู๊ตเตอร์	sa˨˩.kuːt̚˦˥.tɤː˥˩
สก็อต	sa˨˩.kɔt̚˨˩
สก็อตแลนด์	sa˨˩.kɔt̚˦˥.lɛːn˧
สงกรานต์	soŋ˩˩˦.kraːn˧
สงขลา	soŋ˩˩˦.kʰlaː˩˩˦
สงคราม	soŋ˩˩˦.kʰraːm˧
สงครามกลางเมือง	soŋ˩˩˦.kʰraːm˧.klaːŋ˧.mɯa̯ŋ˧
สงครามจิตวิทยา	soŋ˩˩˦.kʰraːm˧.t͡ɕit̚˨˩.ta˨˩.wit̚˦˥.tʰa˦˥.jaː˧
สงครามตัวแทน	soŋ˩˩˦.kʰraːm˧.tua̯˧.tʰɛːn˧
สงครามประสาท	soŋ˩˩˦.kʰraːm˧.pra˨˩.saːt̚˨˩
สงครามเย็น	soŋ˩˩˦.kʰraːm˧.jen˧
สงครามโลก	soŋ˩˩˦.kʰraːm˧.loːk̚˥˩
สงครามโลกครั้งที่สอง	soŋ˩˩˦.kʰraːm˧.loːk̚˥˩.kʰraŋ˦˥.tʰiː˥˩.sɔːŋ˩˩˦
สงครามโลกครั้งที่หนึ่ง	soŋ˩˩˦.kʰraːm˧.loːk̚˥˩.kʰraŋ˦˥.tʰiː˥˩.nɯŋ˨˩
สงฆ์	soŋ˩˩˦
สงบ	sa˨˩.ŋop̚˨˩
สงบสุข	sa˨˩.ŋop̚˨˩.suk̚˨˩
สงวน	sa˨˩.ŋua̯n˩˩˦
สงสัย	soŋ˩˩˦.saj˩˩˦
สงสาร	soŋ˩˩˦.saːn˩˩˦,soŋ˩˩˦.saː˩˩˦.ra˦˥.
สงัด	sa˨˩.ŋat̚˨˩
สงเคราะห์	soŋ˩˩˦.kʰrɔʔ˦˥
สง่า	sa˨˩.ŋaː˨˩,sa˧.ŋaː˨˩
สด	sot̚˨˩
สดมภ์	sa˨˩.dom˧
สดับ	sa˨˩.dap̚˨˩
สดับตรับฟัง	sa˨˩.dap̚˨˩.trap̚˨˩.faŋ˧
สดุดี	sa˨˩.du˨˩.diː˧
สดใส	sot̚˨˩.saj˩˩˦
สตรอนเชียม	sa˨˩.trɔn˧.t͡ɕʰia̯m˥˩
สตรอว์เบอร์รี	sa˨˩.trɔː˧.bɤː˧.riː˥˩
สตรอว์เบอร์รี่	sa˨˩.trɔː˧.bɤː˧.riː˥˩
สตรอเบอร์รี่	sa˨˩.trɔː˧.bɤː˧.riː˥˩
สตรี	sa˨˩.triː˧,sat̚˨˩.triː˧
สตอ	sa˨˩.tɔː˧
สตางค์	sa˨˩.taːŋ˧
สติ	sa˨˩.tiʔ˨˩
สติกเกอร์	sa˨˩.tik̚˦˥.kɤː˥˩
สตูล	sa˨˩.tuːn˧
สต็อกโฮล์ม	sa˨˩.tɔk̚˦˥.hoːm˧
สถบดี	sa˨˩.tʰa˨˩.bɔː˧.diː˧
สถล	sa˨˩.tʰon˩˩˦,sa˨˩.tʰon˩˩˦.la˦˥.
สถาน	sa˨˩.tʰaːn˩˩˦,sa˨˩.tʰaː˩˩˦.na˦˥.
สถานกงสุล	sa˨˩.tʰaːn˩˩˦.koŋ˧.sun˩˩˦
สถานการณ์	sa˨˩.tʰaː˩˩˦.na˦˥.kaːn˧,sa˨˩.tʰaːn˩˩˦.na˦˥.kaːn˧
สถานการณ์ฉุกเฉิน	sa˨˩.tʰaː˩˩˦.na˦˥.kaːn˧.t͡ɕʰuk̚˨˩.t͡ɕʰɤːn˩˩˦
สถานที่	sa˨˩.tʰaːn˩˩˦.tʰiː˥˩
สถานทูต	sa˨˩.tʰaːn˩˩˦.tʰuːt̚˥˩
สถานพินิจ	sa˨˩.tʰaːn˩˩˦.pʰi˦˥.nit̚˦˥
สถานะ	sa˨˩.tʰaː˩˩˦.naʔ˦˥
สถานี	sa˨˩.tʰaː˩˩˦.niː˧
สถานีดับเพลิง	sa˨˩.tʰaː˩˩˦.niː˧.dap̚˨˩.pʰlɤːŋ˧
สถานีตำรวจ	sa˨˩.tʰaː˩˩˦.niː˧.tam˧.rua̯t̚˨˩
สถานีบริการน้ำมัน	sa˨˩.tʰaː˩˩˦.niː˧.bɔː˧.ri˦˥.kaːn˧.nam˦˥.man˧,sa˨˩.tʰaː˩˩˦.niː˧.bɔː˧.ri˦˥.kaːn˧.naːm˦˥.man˧
สถานีอวกาศ	sa˨˩.tʰaː˩˩˦.niː˧.ʔa˨˩.wa˦˥.kaːt̚˨˩
สถานแสดงพันธุ์สัตว์น้ำ	sa˨˩.tʰaːn˩˩˦.sa˨˩.dɛːŋ˧.pʰan˧.sat̚˨˩.naːm˦˥
สถาบก	sa˨˩.tʰaː˩˩˦.bok̚˨˩
สถาบัน	sa˨˩.tʰaː˩˩˦.ban˧
สถาปนา	sa˨˩.tʰaː˩˩˦.pa˨˩.naː˧
สถาปนิก	sa˨˩.tʰaː˩˩˦.pa˨˩.nik̚˦˥
สถาปัตยกรรม	sa˨˩.tʰaː˩˩˦.pat̚˨˩.ta˨˩.ja˦˥.kam˧
สถิต	sa˨˩.tʰit̚˨˩
สถิติ	sa˨˩.tʰi˨˩.tiʔ˨˩
สถิติศาสตร์	sa˨˩.tʰi˨˩.ti˨˩.saːt̚˨˩
สถุน	sa˨˩.tʰun˩˩˦
สถุล	sa˨˩.tʰun˩˩˦
สถูป	sa˨˩.tʰuːp̚˨˩
สน	son˩˩˦
สนง.	sɔː˩˩˦.nɔː˧.ŋɔː˧
สนญ.	sɔː˩˩˦.nɔː˧.jɔː˧
สนทนา	son˩˩˦.tʰa˦˥.naː˧
สนธยา	son˩˩˦.tʰa˦˥.jaː˧
สนธิ	son˩˩˦.tʰiʔ˦˥
สนธิสัญญา	son˩˩˦.tʰi˦˥.san˩˩˦.jaː˧
สนม	sa˨˩.nom˩˩˦
สนมเอก	sa˨˩.nom˩˩˦.ʔeːk̚˨˩
สนอง	sa˨˩.nɔːŋ˩˩˦
สนับ	sa˨˩.nap̚˨˩
สนับสนุน	sa˨˩.nap̚˨˩.sa˨˩.nun˩˩˦
สนั่น	sa˨˩.nan˨˩
สนาม	sa˨˩.naːm˩˩˦
สนามกีฬา	sa˨˩.naːm˩˩˦.kiː˧.laː˧
สนามบิน	sa˨˩.naːm˩˩˦.bin˧
สนามเด็กเล่น	sa˨˩.naːm˩˩˦.dek̚˨˩.len˥˩
สนามไฟฟ้า	sa˨˩.naːm˩˩˦.faj˧.faː˦˥
สนิท	sa˨˩.nit̚˨˩
สนิม	sa˨˩.nim˩˩˦
สนุก	sa˨˩.nuk̚˨˩
สนุกสนาน	sa˨˩.nuk̚˨˩.sa˨˩.naːn˩˩˦
สนใจ	son˩˩˦.t͡ɕaj˧
สบ	sop̚˨˩
สบตา	sop̚˨˩.taː˧
สบถ	sa˨˩.bot̚˨˩
สบาย	sa˧.baːj˧,sa˨˩.baːj˧
สบายดีไหม	sa˨˩.baːj˧.diː˧.maj˩˩˦
สบู่	sa˨˩.buː˨˩
สบู่เหลว	sa˨˩.buː˨˩.leːw˩˩˦
สปริง	sa˨˩.priŋ˧
สปอร์	sa˨˩.pɔː˧
สปอร์ต	sa˨˩.pɔːt̚˨˩
สปา	sa˨˩.paː˧
สปาเกตตี	sa˨˩.paː˧.ket̚˦˥.tiː˥˩
สปีชีส์	sa˨˩.piː˧.t͡ɕʰiːs˥˩,sa˨˩.piː˧.t͡ɕʰiː˥˩
สปุตนิก	sa˨˩.put̚˦˥.nik̚˨˩
สฟิงซ์	sa˨˩.fiŋ˦˥
สภา	sa˨˩.pʰaː˧
สภาขุนนาง	sa˨˩.pʰaː˧.kʰun˩˩˦.naːŋ˧
สภาคณาจารย์	sa˨˩.pʰaː˧.kʰa˦˥.naː˧.t͡ɕaːn˧
สภานิติบัญญัติ	sa˨˩.pʰaː˧.ni˦˥.ti˨˩.ban˧.jat̚˨˩
สภาบดี	sa˨˩.pʰaː˧.bɔː˧.diː˧
สภาพ	sa˨˩.pʰaːp̚˥˩
สภาพบุคคล	sa˨˩.pʰaːp̚˥˩.buk̚˨˩.kʰon˧
สภาพอากาศ	sa˨˩.pʰaːp̚˥˩.ʔaː˧.kaːt̚˨˩
สภาล่าง	sa˨˩.pʰaː˧.laːŋ˥˩
สภาสูง	sa˨˩.pʰaː˧.suːŋ˩˩˦
สม	sa˨˩.ma˦˥.,som˩˩˦
สมการ	sa˨˩.ma˦˥.kaːn˧
สมการเคมี	sa˨˩.ma˦˥.kaːn˧.kʰeː˧.miː˧
สมคบ	som˩˩˦.kʰop̚˦˥
สมควร	som˩˩˦.kʰua̯n˧
สมชาย	som˩˩˦.t͡ɕʰaːj˧
สมณ	sa˨˩.ma˦˥.naʔ˦˥
สมณมนตรี	sa˨˩.ma˦˥.na˦˥.mon˧.triː˧
สมณสารูป	sa˨˩.ma˦˥.na˦˥.saː˩˩˦.ruːp̚˥˩
สมณะ	sa˨˩.ma˦˥.naʔ˦˥
สมณะกระทรวง	sa˨˩.ma˦˥.na˦˥.kra˨˩.sua̯ŋ˧
สมณะทบวง	sa˨˩.ma˦˥.na˦˥.tʰa˦˥.bua̯ŋ˧
สมทบ	som˩˩˦.tʰop̚˦˥
สมน้ำหน้า	som˩˩˦.nam˦˥.naː˥˩
สมบัติ	som˩˩˦.bat̚˨˩
สมบูรณ	som˩˩˦.buː˧.ra˦˥.na˦˥.
สมบูรณาญาสิทธิราชย์	som˩˩˦.buː˧.ra˦˥.naː˧.jaː˧.sit̚˨˩.tʰi˦˥.raːt̚˥˩
สมบูรณ์	som˩˩˦.buːn˧
สมภพ	som˩˩˦.pʰop̚˦˥
สมภาร	som˩˩˦.pʰaːn˧,som˩˩˦.pʰaː˧.ra˦˥.
สมภารกินไก่วัด	som˩˩˦.pʰaːn˧.kin˧.kaj˨˩.wat̚˦˥
สมมติ	som˩˩˦.mut̚˦˥
สมมติฐาน	som˩˩˦.mut̚˦˥.ti˨˩.tʰaːn˩˩˦
สมมาตร	som˩˩˦.maːt̚˥˩
สมมุติ	som˩˩˦.mut̚˦˥
สมมุติฐาน	som˩˩˦.mut̚˦˥.ti˨˩.tʰaːn˩˩˦
สมรภูมิ	sa˨˩.mɔːn˩˩˦.ra˦˥.pʰuːm˧,sa˨˩.mɔː˩˩˦.ra˦˥.pʰuːm˧
สมรรถนะ	sa˨˩.mat̚˦˥.tʰa˨˩.naʔ˦˥
สมรส	som˩˩˦.rot̚˦˥
สมส่วน	som˩˩˦.sua̯n˨˩
สมหวัง	som˩˩˦.waŋ˩˩˦
สมอ	sa˨˩.mɔː˩˩˦
สมอง	sa˨˩.mɔːŋ˩˩˦
สมองตาย	sa˨˩.mɔːŋ˩˩˦.taːj˧
สมองฝ่อ	sa˨˩.mɔːŋ˩˩˦.fɔː˨˩
สมองอักเสบ	sa˨˩.mɔːŋ˩˩˦.ʔak̚˨˩.seːp̚˨˩
สมองไหล	sa˨˩.mɔːŋ˩˩˦.laj˩˩˦
สมอพิเภก	sa˨˩.mɔː˩˩˦.pʰi˦˥.pʰeːk̚˥˩
สมัคร	sa˨˩.mak̚˨˩
สมัครเล่น	sa˨˩.mak̚˨˩.len˥˩
สมัครใจ	sa˨˩.mak̚˨˩.t͡ɕaj˧
สมัชชาใหญ่แห่งสหประชาชาติ	sa˨˩.mat̚˦˥.t͡ɕʰaː˧.jaj˨˩.hɛːŋ˨˩.sa˨˩.ha˨˩.pra˨˩.t͡ɕʰaː˧.t͡ɕʰaːt̚˥˩
สมัน	sa˨˩.man˩˩˦
สมัย	sa˨˩.maj˩˩˦
สมัยพระเจ้าเหา	sa˨˩.maj˩˩˦.pʰra˦˥.t͡ɕaːw˥˩.haw˩˩˦
สมัยใหม่	sa˨˩.maj˩˩˦.maj˨˩
สมาคม	sa˨˩.maː˧.kʰom˧
สมาชิก	sa˨˩.maː˧.t͡ɕʰik̚˦˥,sa˨˩.maː˧.t͡ɕʰik̚˦˥.ka˨˩.
สมาชิกภาพ	sa˨˩.maː˧.t͡ɕʰik̚˦˥.ka˨˩.pʰaːp̚˥˩
สมาชิกรัฐสภา	sa˨˩.maː˧.t͡ɕʰik̚˦˥.rat̚˦˥.tʰa˨˩.sa˨˩.pʰaː˧
สมาธิ	sa˧.maː˧.tʰiʔ˦˥,sa˨˩.maː˧.tʰiʔ˦˥
สมาส	sa˨˩.maːt̚˨˩
สมิง	sa˨˩.miŋ˩˩˦
สมี	sa˨˩.miː˩˩˦
สมุด	sa˨˩.mut̚˨˩
สมุดบันทึก	sa˨˩.mut̚˨˩.ban˧.tʰɯk̚˦˥
สมุทร	sa˨˩.mut̚˨˩,sa˨˩.mut̚˨˩.tʰra˦˥.
สมุทรปราการ	sa˨˩.mut̚˨˩.praː˧.kaːn˧
สมุทรสงคราม	sa˨˩.mut̚˨˩.soŋ˩˩˦.kʰraːm˧
สมุทรสาคร	sa˨˩.mut̚˨˩.saː˩˩˦.kʰɔːn˧
สมุทฺท	sa˨˩.mut̚˨˩
สมุน	sa˨˩.mun˩˩˦
สมุนไพร	sa˨˩.mun˩˩˦.pʰraj˧
สมุห	sa˨˩.mu˨˩.ha˨˩.
สมุหนาม	sa˨˩.mu˨˩.ha˨˩.naːm˧
สมเดจ์	som˩˩˦.det̚˨˩
สมเดจ์พระ	som˩˩˦.det̚˨˩.pʰraʔ˦˥
สมเด็จ	som˩˩˦.det̚˨˩
สมเด็จบรมบพิตรพระราชสมภารเจ้า	som˩˩˦.det̚˨˩.bɔː˧.rom˧.ma˦˥.bɔː˧.pʰit̚˦˥.pʰra˦˥.raːt̚˥˩.t͡ɕʰa˦˥.som˩˩˦.pʰaː˧.ra˦˥.t͡ɕaːw˥˩
สมเด็จพระ	som˩˩˦.det̚˨˩.pʰraʔ˦˥
สมเด็จพระบรมบพิตรพระราชสมภารเจ้า	som˩˩˦.det̚˨˩.pʰra˦˥.bɔː˧.rom˧.ma˦˥.bɔː˧.pʰit̚˦˥.pʰra˦˥.raːt̚˥˩.t͡ɕʰa˦˥.som˩˩˦.pʰaː˧.ra˦˥.t͡ɕaːw˥˩
สมเด็จพระราชาคณะ	som˩˩˦.det̚˨˩.pʰra˦˥.raː˧.t͡ɕʰaː˧.kʰa˦˥.naʔ˦˥
สมเด็จเจ้าพระยา	som˩˩˦.det̚˨˩.t͡ɕaːw˥˩.pʰra˦˥.jaː˧
สมเพช	som˩˩˦.pʰeːt̚˥˩
สมเสร็จ	som˩˩˦.set̚˨˩
สมเหตุสมผล	som˩˩˦.heːt̚˨˩.som˩˩˦.pʰon˩˩˦
สมโภช	som˩˩˦.pʰoːt̚˥˩
สม่ำเสมอ	sa˨˩.mam˨˩.sa˨˩.mɤː˩˩˦
สยอง	sa˨˩.jɔːŋ˩˩˦
สยาม	sa˨˩.jaːm˩˩˦,sa˨˩.jaːm˩˩˦.ma˦˥.
สยามินทราธิราช	sa˨˩.jaː˩˩˦.min˧.tʰraː˧.tʰi˦˥.raːt̚˥˩
สยามินทร์	sa˨˩.jaː˩˩˦.min˧
สยิว	sa˨˩.jiw˩˩˦
สยึ๋มกึ๋ย	sa˨˩.jɯm˩˩˦.kɯj˩˩˦
สรง	soŋ˩˩˦
สรท	sa˨˩.ra˦˥.tʰaʔ˦˥
สรทะ	sa˨˩.ra˦˥.tʰaʔ˦˥
สรภัญญะ	sɔː˩˩˦.ra˦˥.pʰan˧.jaʔ˦˥,sa˨˩.ra˦˥.pʰan˧.jaʔ˦˥
สรรค์	san˩˩˦
สรรพ	sap̚˨˩.pʰa˦˥.,sap̚˨˩,san˩˩˦.pʰa˦˥.
สรรพคุณ	sap̚˨˩.pʰa˦˥.kʰun˧
สรรพนาม	sap̚˨˩.pʰa˦˥.naːm˧
สรรพสินค้า	sap̚˨˩.pʰa˦˥.sin˩˩˦.kʰaː˦˥
สรรพ์	san˩˩˦
สรรเสริญ	san˩˩˦.ra˦˥.sɤːn˩˩˦,san˩˩˦.sɤːn˩˩˦
สรวล	sua̯n˩˩˦
