a	a˧˧
ruộng hương hoả	ʐuəŋ˨˩˨hɯəŋ˧˧hwa˨˩˦
ruộng không phân như thân không của	ʐuəŋ˨˩˨xoŋ͡m˧˧fɤ̆ŋ˧˧ɲɯ˧˧tʰɤ̆ŋ˧˧xoŋ͡m˧˧kuə˨˩˦
ruộng lúa	ʐuəŋ˨˩˨luə˦˥
ruộng muối	ʐuəŋ˨˩˨muəj˦˥
ruộng mạ	ʐuəŋ˨˩˨ma˨˩˨
ruộng nõ	ʐuəŋ˨˩˨nɔ˨˩˦
ruộng nương	ʐuəŋ˨˩˨nɯəŋ˧˧
ruộng rẫy	ʐuəŋ˨˩˨ʐɤ̆j˨˩˦
ruộng rộc	ʐuəŋ˨˩˨ʐok͡p˨˩˨
ruộng sâu trâu nái	ʐuəŋ˨˩˨ʂɤ̆w˧˧ʈɤ̆w˧˧naj˦˥
ruộng trên ao dưới	ʐuəŋ˨˩˨ʈen˧˧aw˧˧jɯəj˦˥
ruộng vai	ʐuəŋ˨˩˨jaj˧˧
ruộng vườn	ʐuəŋ˨˩˨jɯəŋ˧˨
ruộng đất	ʐuəŋ˨˩˨dɤ̆k˦˥
ruộng đầu chợ, vợ đầu làng	ʐuəŋ˨˩˨dɤ̆w˧˨cɤ˨˩˨jɤ˨˩˨dɤ̆w˧˨laŋ˧˨
ruộng đồng	ʐuəŋ˨˩˨doŋ͡m˧˨
ruột	ʐuək˨˩˨
ruột béo gan mòn	ʐuək˨˩˨beo˦˥ɣaŋ˧˧mɔŋ͡m˧˨
ruột bỏ ngoài da	ʐuək˨˩˨bɔ˨˩˦ŋwaj˧˨ja˧˧
ruột chay	ʐuək˨˩˨căj˧˧
ruột dư	ʐuək˨˩˨jɯ˧˧
ruột gan	ʐuək˨˩˨ɣaŋ˧˧
ruột gan như lửa đốt	ʐuək˨˩˨ɣaŋ˧˧ɲɯ˧˧lɯə˨˩˦dok͡p˦˥
ruột gan để đâu	ʐuək˨˩˨ɣaŋ˧˧de˨˩˦dɤ̆w˧˧
ruột già	ʐuək˨˩˨ja˧˨
ruột gà	ʐuək˨˩˨ɣa˧˨
ruột hồi	ʐuək˨˩˨hoj˧˨
ruột khoang	ʐuək˨˩˨xwaŋ˧˧
ruột kết	ʐuək˨˩˨ket˦˥
ruột nghé	ʐuək˨˩˨ŋɛ˦˥
ruột ngựa	ʐuək˨˩˨ŋɯə˨˩˨
ruột ngựa phổi bò	ʐuək˨˩˨ŋɯə˨˩˨foj˨˩˦bɔ˧˨
ruột non	ʐuək˨˩˨nɔŋ͡m˧˧
ruột nóng như cào	ʐuək˨˩˨nɔŋ͡m˦˥ɲɯ˧˧kaw˧˨
ruột nóng như lửa đốt	ʐuək˨˩˨nɔŋ͡m˦˥ɲɯ˧˧lɯə˨˩˦dok͡p˦˥
ruột rà	ʐuək˨˩˨ʐa˧˨
ruột rầu như dưa	ʐuək˨˩˨ʐɤ̆w˧˨ɲɯ˧˧jɯə˧˧
ruột rối bời bời	ʐuək˨˩˨ʐoj˦˥bɤj˧˨bɤj˧˨
ruột rối như bòng bong	ʐuək˨˩˨ʐoj˦˥ɲɯ˧˧bɔŋ͡m˧˨bɔŋ͡m˧˧
ruột thẳng	ʐuək˨˩˨tʰăŋ˨˩˦
ruột thịt	ʐuək˨˩˨tʰit˨˩˨
ruột thừa	ʐuək˨˩˨tʰɯə˧˨
ruột tá	ʐuək˨˩˨ta˦˥
ruột tượng	ʐuək˨˩˨tɯəŋ˨˩˨
ruột tằm	ʐuək˨˩˨tăm˧˨
ruột tằm bối rối vò tơ	ʐuək˨˩˨tăm˧˨boj˦˥ʐoj˦˥jɔ˧˨tɤ˧˧
ruột tịt	ʐuək˨˩˨tit˨˩˨
ruột xe	ʐuək˨˩˨sɛ˧˧
ruột đau như cắt	ʐuək˨˩˨dăw˧˧ɲɯ˧˧kăk˦˥
ruột để ngoài da	ʐuək˨˩˨de˨˩˦ŋwaj˧˨ja˧˧
rà	ʐa˧˨
rà rẫm	ʐa˧˨ʐɤ̆m˨˩˦
rà soát	ʐa˧˨ʂwat˦˥
ràn	ʐaŋ˧˨
ràn rạt	ʐaŋ˧˨ʐat˨˩˨
ràn rụa	ʐaŋ˧˨ʐuə˨˩˨
ràng	ʐaŋ˧˨
ràng buộc	ʐaŋ˧˨buək˨˩˨
ràng ràng	ʐaŋ˧˨ʐaŋ˧˨
ràng rạng	ʐaŋ˧˨ʐaŋ˨˩˨
ràng rịt	ʐaŋ˧˨ʐit˨˩˨
rành	ʐan˧˨
rành mạch	ʐan˧˨mat˨˩˨
rành rành	ʐan˧˨ʐan˧˨
rành rành như canh nấu hẹ	ʐan˧˨ʐan˧˨ɲɯ˧˧kan˧˧nɤ̆w˦˥hɛ˨˩˨
rành rõ	ʐan˧˨ʐɔ˨˩˦
rành rẽ	ʐan˧˨ʐɛ˨˩˦
rành rọt	ʐan˧˨ʐɔk͡p˨˩˨
rành đời	ʐan˧˨dɤj˧˨
rào	ʐaw˧˨
rào chắn	ʐaw˧˨căŋ˦˥
rào giậu	ʐaw˧˨jɤ̆w˨˩˨
rào giậu ngăn sân	ʐaw˧˨jɤ̆w˨˩˨ŋăŋ˧˧ʂɤ̆ŋ˧˧
rào rào	ʐaw˧˨ʐaw˧˨
rào rạo	ʐaw˧˨ʐaw˨˩˨
rào rạt	ʐaw˧˨ʐat˨˩˨
rào sau chặn trước	ʐaw˧˨ʂăw˧˧căŋ˨˩˨ʈɯək˦˥
rào sau đón trước	ʐaw˧˨ʂăw˧˧dɔŋ͡m˦˥ʈɯək˦˥
rào trước đón sau	ʐaw˧˨ʈɯək˦˥dɔŋ͡m˦˥ʂăw˧˧
rào đón	ʐaw˧˨dɔŋ͡m˦˥
rào đường rấp ngõ	ʐaw˧˨dɯəŋ˧˨ʐɤ̆p˦˥ŋɔ˨˩˦
rày	ʐăj˧˨
rày gió mai mưa	ʐăj˧˨jɔ˦˥maj˧˧mɯə˧˧
rày nắng mai mưa	ʐăj˧˨năŋ˦˥maj˧˧mɯə˧˧
rày ước mai ao	ʐăj˧˨ɯək˦˥maj˧˧aw˧˧
rá	ʐa˦˥
rác	ʐak˦˥
rác mắt	ʐak˦˥măk˦˥
rác rưởi	ʐak˦˥ʐɯəj˨˩˦
rác rến	ʐak˦˥ʐen˦˥
rác tai	ʐak˦˥taj˧˧
rác thải	ʐak˦˥tʰaj˨˩˦
rách	ʐat˦˥
rách bươm	ʐat˦˥bɯm˧˧
rách mướp	ʐat˦˥mɯp˦˥
rách như tàu chuối khô	ʐat˦˥ɲɯ˧˧tăw˧˨cuəj˦˥xo˧˧
rách như tàu lá chuối	ʐat˦˥ɲɯ˧˧tăw˧˨la˦˥cuəj˦˥
rách như tổ đỉa	ʐat˦˥ɲɯ˧˧to˨˩˦diə˨˩˦
rách như xơ mướp	ʐat˦˥ɲɯ˧˧sɤ˧˧mɯp˦˥
rách nát	ʐat˦˥nat˦˥
rách rưới	ʐat˦˥ʐɯəj˦˥
rách toạc	ʐat˦˥twak˨˩˨
rách tơi	ʐat˦˥tɤj˧˧
rách tươm	ʐat˦˥tɯm˧˧
rách tướp	ʐat˦˥tɯp˦˥
rách việc	ʐat˦˥jiək˨˩˨
rái	ʐaj˦˥
rái cá	ʐaj˦˥ka˦˥
rái cá biển	ʐaj˦˥ka˦˥biəŋ˨˩˦
rám	ʐam˦˥
rám má	ʐam˦˥ma˦˥
rám nắng	ʐam˦˥năŋ˦˥
rán	ʐaŋ˦˥
rán sành ra mỡ	ʐaŋ˦˥ʂan˧˨ʐa˧˧mɤ˨˩˦
rán sức	ʐaŋ˦˥ʂɯk˦˥
rán xem	ʐaŋ˦˥sɛm˧˧
ráng	ʐaŋ˦˥
ráng sức	ʐaŋ˦˥ʂɯk˦˥
ráo	ʐaw˦˥
ráo hoảnh	ʐaw˦˥hwan˨˩˦
ráo mép	ʐaw˦˥mɛp˦˥
ráo riết	ʐaw˦˥ʐiək˦˥
ráo trọi	ʐaw˦˥ʈɔj˨˩˨
ráo túi	ʐaw˦˥tuj˦˥
ráp	ʐap˦˥
ráp nối	ʐap˦˥noj˦˥
ráp rạp	ʐap˦˥ʐap˨˩˨
rát	ʐat˦˥
rát cổ bỏng họng	ʐat˦˥ko˨˩˦bɔŋ͡m˨˩˦hɔŋ͡m˨˩˨
rát hơi bỏng cổ	ʐat˦˥hɤj˧˧bɔŋ͡m˨˩˦ko˨˩˦
rát mặt	ʐat˦˥măk˨˩˨
rát như phải bỏng	ʐat˦˥ɲɯ˧˧faj˨˩˦bɔŋ͡m˨˩˦
rát ruột	ʐat˦˥ʐuək˨˩˨
rát ruột như bào	ʐat˦˥ʐuək˨˩˨ɲɯ˧˧baw˧˨
rát ràn rạt	ʐat˦˥ʐaŋ˧˨ʐat˨˩˨
rát rạt	ʐat˦˥ʐat˨˩˨
rát-tê	ʐat˦˥-te˧˧
ráu ráu	ʐăw˦˥ʐăw˦˥
ráy	ʐăj˦˥
ráy leo	ʐăj˦˥leo˧˧
ráy tai	ʐăj˦˥taj˧˧
râm	ʐɤ̆m˧˧
râm bụt	ʐɤ̆m˧˧buk͡p˨˩˨
râm mát	ʐɤ̆m˧˧mat˦˥
râm ran	ʐɤ̆m˧˧ʐaŋ˧˧
râm ri	ʐɤ̆m˧˧ʐi˧˧
râm rấp	ʐɤ̆m˧˧ʐɤ̆p˦˥
rân	ʐɤ̆ŋ˧˧
rân rát	ʐɤ̆ŋ˧˧ʐat˦˥
rân rấn	ʐɤ̆ŋ˧˧ʐɤ̆ŋ˦˥
rân trời	ʐɤ̆ŋ˧˧ʈɤj˧˨
râu	ʐɤ̆w˧˧
râu ba chòm	ʐɤ̆w˧˧ba˧˧cɔm˧˨
râu bạc	ʐɤ̆w˧˧bak˨˩˨
râu cằm	ʐɤ̆w˧˧kăm˧˨
râu dê	ʐɤ̆w˧˧je˧˧
râu hoa kỳ	ʐɤ̆w˧˧hwa˧˧ki˧˨
râu hùm hàm én	ʐɤ̆w˧˧hum˧˨ham˧˨ɛŋ˦˥
râu hầm	ʐɤ̆w˧˧hɤ̆m˧˨
râu mày	ʐɤ̆w˧˧măj˧˨
râu má	ʐɤ̆w˧˧ma˦˥
râu mèo	ʐɤ̆w˧˧meo˧˨
râu mép	ʐɤ̆w˧˧mɛp˦˥
râu quai nón	ʐɤ̆w˧˧waj˧˧nɔŋ͡m˦˥
râu quặp	ʐɤ̆w˧˧wăp˨˩˨
râu ria	ʐɤ̆w˧˧ʐiə˧˧
râu rậm tày chổi	ʐɤ̆w˧˧ʐɤ̆m˨˩˨tăj˧˨coj˨˩˦
râu trê	ʐɤ̆w˧˧ʈe˧˧
râu tóc bạc phơ	ʐɤ̆w˧˧tɔk͡p˦˥bak˨˩˨fɤ˧˧
râu xồm	ʐɤ̆w˧˧som˧˨
râu ông nọ cắm cằm bà kia	ʐɤ̆w˧˧oŋ͡m˧˧nɔ˨˩˨kăm˦˥kăm˧˨ba˧˨kiə˧˧
rây	ʐɤ̆j˧˧
rã	ʐa˨˩˦
rã bè	ʐa˨˩˦bɛ˧˨
rã bản	ʐa˨˩˦baŋ˨˩˦
rã bọt mép	ʐa˨˩˦bɔk͡p˨˩˨mɛp˦˥
rã cánh	ʐa˨˩˦kan˦˥
rã họng	ʐa˨˩˦hɔŋ͡m˨˩˨
rã lụt	ʐa˨˩˦luk͡p˨˩˨
rã ngũ	ʐa˨˩˦ŋu˨˩˦
rã người	ʐa˨˩˦ŋɯəj˧˨
rã rượi	ʐa˨˩˦ʐɯəj˨˩˨
rã rời	ʐa˨˩˦ʐɤj˧˨
rã sòng	ʐa˨˩˦ʂɔŋ͡m˧˨
rã đám	ʐa˨˩˦dam˦˥
rãnh	ʐan˨˩˦
rãnh trượt	ʐan˨˩˦ʈɯək˨˩˨
rão	ʐaw˨˩˦
rãy	ʐăj˨˩˦
rè	ʐɛ˧˨
rè rè	ʐɛ˧˨ʐɛ˧˨
rèm	ʐɛm˧˨
rèn	ʐɛŋ˧˨
rèn cán chỉnh cơ	ʐɛŋ˧˨kaŋ˦˥cin˨˩˦kɤ˧˧
rèn cặp	ʐɛŋ˧˨kăp˨˩˨
rèn giũa	ʐɛŋ˧˨juə˨˩˦
rèn luyện	ʐɛŋ˧˨lwiəŋ˨˩˨
rèn nguội	ʐɛŋ˧˨ŋuəj˨˩˨
rèn nóng	ʐɛŋ˧˨nɔŋ͡m˦˥
rèn tập	ʐɛŋ˧˨tɤ̆p˨˩˨
rèn đúc	ʐɛŋ˧˨duk͡p˦˥
rèo rẹo	ʐeo˧˨ʐeo˨˩˨
ré	ʐɛ˦˥
rén	ʐɛŋ˦˥
rén bước	ʐɛŋ˦˥bɯək˦˥
rén chiềng	ʐɛŋ˦˥ciəŋ˧˨
réo	ʐeo˦˥
réo nợ	ʐeo˦˥nɤ˨˩˨
réo réo	ʐeo˦˥ʐeo˦˥
réo rắt	ʐeo˦˥ʐăk˦˥
rét	ʐɛt˦˥
rét buốt	ʐɛt˦˥buək˦˥
rét chết cò	ʐɛt˦˥cet˦˥kɔ˧˨
rét cóng	ʐɛt˦˥kɔŋ͡m˦˥
rét căm căm	ʐɛt˦˥kăm˧˧kăm˧˧
rét cắt da cắt thịt	ʐɛt˦˥kăk˦˥ja˧˧kăk˦˥tʰit˨˩˨
rét cắt ruột	ʐɛt˦˥kăk˦˥ʐuək˨˩˨
rét cắt thịt	ʐɛt˦˥kăk˦˥tʰit˨˩˨
rét dài	ʐɛt˦˥jaj˧˨
rét lộc	ʐɛt˦˥lok͡p˨˩˨
rét mướt	ʐɛt˦˥mɯək˦˥
rét ngăn ngắt	ʐɛt˦˥ŋăŋ˧˧ŋăk˦˥
rét ngọt	ʐɛt˦˥ŋɔk͡p˨˩˨
rét như cắt	ʐɛt˦˥ɲɯ˧˧kăk˦˥
rét như cắt da cắt thịt	ʐɛt˦˥ɲɯ˧˧kăk˦˥ja˧˧kăk˦˥tʰit˨˩˨
rét nàng bân	ʐɛt˦˥naŋ˧˨bɤ̆ŋ˧˧
rét tháng ba bà già chết cóng	ʐɛt˦˥tʰaŋ˦˥ba˧˧ba˧˨ja˧˨cet˦˥kɔŋ͡m˦˥
rét thấu xương	ʐɛt˦˥tʰɤ̆w˦˥sɯəŋ˧˧
rét đài	ʐɛt˦˥daj˧˨
rê	ʐe˧˧
rê-vây	ʐe˧˧-jɤ̆j˧˧
rêm	ʐem˧˧
rên	ʐen˧˧
rên hừ bừ	ʐen˧˧hɯ˧˨bɯ˧˨
rên khừ khừ	ʐen˧˧xɯ˧˨xɯ˧˨
rên la	ʐen˧˧la˧˧
rên rẩm	ʐen˧˧ʐɤ̆m˨˩˦
rên rỉ	ʐen˧˧ʐi˨˩˦
rên siết	ʐen˧˧ʂiək˦˥
rên xiết	ʐen˧˧siək˦˥
rêu	ʐɛu˧˧
rêu cỏ	ʐɛu˧˧kɔ˨˩˦
rêu lông	ʐɛu˧˧loŋ͡m˧˧
rêu nước	ʐɛu˧˧nɯək˦˥
rêu phong	ʐɛu˧˧fɔŋ͡m˧˧
rêu phong cỏ mọc	ʐɛu˧˧fɔŋ͡m˧˧kɔ˨˩˦mɔk͡p˨˩˨
rêu rao	ʐɛu˧˧ʐaw˧˧
rêu tản	ʐɛu˧˧taŋ˨˩˦
rêu vảy	ʐɛu˧˧jăj˨˩˦
rì	ʐi˧˨
rì rà rì rầm	ʐi˧˨ʐa˧˨ʐi˧˨ʐɤ̆m˧˨
rì rào	ʐi˧˨ʐaw˧˨
rì rì	ʐi˧˨ʐi˧˨
rì rầm	ʐi˧˨ʐɤ̆m˧˨
rìa	ʐiə˧˨
rìa xờm	ʐiə˧˨sɤm˧˨
rình	ʐin˧˨
rình mò	ʐin˧˨mɔ˧˨
rình nhau như miếng mộc	ʐin˧˨ɲăw˧˧ɲɯ˧˧miəŋ˦˥mok͡p˨˩˨
rình rang	ʐin˧˨ʐaŋ˧˧
rình rình	ʐin˧˨ʐin˧˨
rình rập	ʐin˧˨ʐɤ̆p˨˩˨
rình rịch	ʐin˧˨ʐit˨˩˨
rìu	ʐiw˧˨
rìu chiến	ʐiw˧˨ciəŋ˦˥
rí	ʐi˦˥
rí rách	ʐi˦˥ʐat˦˥
rí rỏm	ʐi˦˥ʐɔm˨˩˦
rích	ʐit˦˥
rích rích	ʐit˦˥ʐit˦˥
rích-te	ʐit˦˥-tɛ˧˧
rím	ʐim˦˥
ríp-pê	ʐip˦˥-pe˧˧
rít	ʐit˦˥
rít răng	ʐit˦˥ʐăŋ˧˧
ríu	ʐiw˦˥
ríu cả cẳng	ʐiw˦˥ka˨˩˦kăŋ˨˩˦
ríu lưỡi	ʐiw˦˥lɯəj˨˩˦
ríu mắt	ʐiw˦˥măk˦˥
ríu ra ríu rít	ʐiw˦˥ʐa˧˧ʐiw˦˥ʐit˦˥
ríu ran	ʐiw˦˥ʐaŋ˧˧
ríu rít	ʐiw˦˥ʐit˦˥
rò	ʐɔ˧˨
rò rỉ	ʐɔ˧˨ʐi˨˩˦
ròi	ʐɔj˧˨
ròm	ʐɔm˧˨
ròm rõi	ʐɔm˧˨ʐɔj˨˩˦
ròn	ʐɔŋ͡m˧˨
ròn rã	ʐɔŋ͡m˧˨ʐa˨˩˦
ròng	ʐɔŋ͡m˧˨
ròng rã	ʐɔŋ͡m˧˨ʐa˨˩˦
ròng ròng	ʐɔŋ͡m˧˨ʐɔŋ͡m˧˨
ròng rọc	ʐɔŋ͡m˧˨ʐɔk͡p˨˩˨
ròng rọc kép	ʐɔŋ͡m˧˨ʐɔk͡p˨˩˨kɛp˦˥
ró	ʐɔ˦˥
ró ráy	ʐɔ˦˥ʐăj˦˥
róc	ʐɔk͡p˦˥
róc rách	ʐɔk͡p˦˥ʐat˦˥
róc xương	ʐɔk͡p˦˥sɯəŋ˧˧
róc đời	ʐɔk͡p˦˥dɤj˧˨
rói	ʐɔj˦˥
róm	ʐɔm˦˥
rón	ʐɔŋ͡m˦˥
rón rén	ʐɔŋ͡m˦˥ʐɛŋ˦˥
rón rón	ʐɔŋ͡m˦˥ʐɔŋ͡m˦˥
róng	ʐɔŋ͡m˦˥
rót	ʐɔk͡p˦˥
rót vào tai	ʐɔk͡p˦˥jaw˧˨taj˧˧
rô	ʐo˧˧
rô bốt	ʐo˧˧bok͡p˦˥
rô manh	ʐo˧˧man˧˧
rô men	ʐo˧˧mɛŋ˧˧
rô nê ô	ʐo˧˧ne˧˧o˧˧
rô ti	ʐo˧˧ti˧˧
rô-bi-nê	ʐo˧˧-bi˧˧-ne˧˧
rô-bô-tích	ʐo˧˧-bo˧˧-tit˦˥
rô-bốt	ʐo˧˧-bok͡p˦˥
rô-nê-ô	ʐo˧˧-ne˧˧-o˧˧
rô-ti	ʐo˧˧-ti˧˧
rô-to	ʐo˧˧-tɔ˧˧
rô-đa	ʐo˧˧-da˧˧
rô-đê	ʐo˧˧-de˧˧
rôm	ʐom˧˧
rôm rả	ʐom˧˧ʐa˨˩˦
rôm rốp	ʐom˧˧ʐop˦˥
rôm sảy	ʐom˧˧ʂăj˨˩˦
rôm trò	ʐom˧˧ʈɔ˧˨
rôn rốt	ʐoŋ͡m˧˧ʐok͡p˦˥
rông	ʐoŋ͡m˧˧
rông càn	ʐoŋ͡m˧˧kaŋ˧˨
rông rổng	ʐoŋ͡m˧˧ʐoŋ͡m˨˩˦
rông đen	ʐoŋ͡m˧˧dɛŋ˧˧
rông-đanh	ʐoŋ͡m˧˧-dan˧˧
rông-đen	ʐoŋ͡m˧˧-dɛŋ˧˧
rông-đô	ʐoŋ͡m˧˧-do˧˧
rông-đền	ʐoŋ͡m˧˧-den˧˨
rõ	ʐɔ˨˩˦
rõ khéo	ʐɔ˨˩˦xeo˦˥
rõ mặt	ʐɔ˨˩˦măk˨˩˨
rõ mồn một	ʐɔ˨˩˦moŋ͡m˧˨mok͡p˨˩˨
rõ như ban ngày	ʐɔ˨˩˦ɲɯ˧˧baŋ˧˧ŋăj˧˨
rõ nét	ʐɔ˨˩˦nɛt˦˥
rõ ràng	ʐɔ˨˩˦ʐaŋ˧˨
rõ ràng giấy trắng mực đen	ʐɔ˨˩˦ʐaŋ˧˨jɤ̆j˦˥ʈăŋ˦˥mɯk˨˩˨dɛŋ˧˧
rõ rành	ʐɔ˨˩˦ʐan˧˨
rõ rệt	ʐɔ˨˩˦ʐet˨˩˨
rõi	ʐɔj˨˩˦
rù	ʐu˧˨
rù quến	ʐu˧˨wen˦˥
rù rì	ʐu˧˨ʐi˧˨
rù rù	ʐu˧˨ʐu˧˨
rù rờ	ʐu˧˨ʐɤ˧˨
rùa	ʐuə˧˨
rùa hôi	ʐuə˧˨hoj˧˧
rùa mốc	ʐuə˧˨mok͡p˦˥
rùa voi	ʐuə˧˨jɔj˧˧
rùm	ʐum˧˨
rùm beng	ʐum˧˨bɛŋ˧˧
rùn	ʐuŋ͡m˧˨
rùng	ʐuŋ͡m˧˨
rùng mình	ʐuŋ͡m˧˨min˧˨
rùng rùng	ʐuŋ͡m˧˨ʐuŋ͡m˧˨
rùng rợn	ʐuŋ͡m˧˨ʐɤŋ˨˩˨
rùng rục	ʐuŋ͡m˧˨ʐuk͡p˨˩˨
rú	ʐu˦˥
rú rí	ʐu˦˥ʐi˦˥
rúc	ʐuk͡p˦˥
rúc kèn	ʐuk͡p˦˥kɛŋ˧˨
rúc ráy	ʐuk͡p˦˥ʐăj˦˥
rúc rích	ʐuk͡p˦˥ʐit˦˥
rúc rỉa	ʐuk͡p˦˥ʐiə˨˩˦
rúc đầu	ʐuk͡p˦˥dɤ̆w˧˨
rúc đầu vào	ʐuk͡p˦˥dɤ̆w˧˨jaw˧˨
rúi rụi	ʐuj˦˥ʐuj˨˩˨
rúm	ʐum˦˥
rúm ró	ʐum˦˥ʐɔ˦˥
rún	ʐuŋ͡m˦˥
rún rẩy	ʐuŋ͡m˦˥ʐɤ̆j˨˩˦
rúng	ʐuŋ͡m˦˥
rúng ép	ʐuŋ͡m˦˥ɛp˦˥
rúng động	ʐuŋ͡m˦˥doŋ͡m˨˩˨
rúp	ʐup˦˥
rút	ʐuk͡p˦˥
rút bớt	ʐuk͡p˦˥bɤk˦˥
rút chạy	ʐuk͡p˦˥căj˨˩˨
rút cuộc	ʐuk͡p˦˥kuək˨˩˨
rút cục	ʐuk͡p˦˥kuk͡p˨˩˨
rút dây động dừng	ʐuk͡p˦˥jɤ̆j˧˧doŋ͡m˨˩˨jɯŋ˧˨
rút dây động rừng	ʐuk͡p˦˥jɤ̆j˧˧doŋ͡m˨˩˨ʐɯŋ˧˨
rút gân	ʐuk͡p˦˥ɣɤ̆ŋ˧˧
rút gọn	ʐuk͡p˦˥ɣɔŋ͡m˨˩˨
rút lui	ʐuk͡p˦˥luj˧˧
rút lại	ʐuk͡p˦˥laj˨˩˨
rút mủ	ʐuk͡p˦˥mu˨˩˦
rút ngắn	ʐuk͡p˦˥ŋăŋ˦˥
rút phép thông công	ʐuk͡p˦˥fɛp˦˥tʰoŋ͡m˧˧koŋ͡m˧˧
rút ruột	ʐuk͡p˦˥ʐuək˨˩˨
rút ruột gan	ʐuk͡p˦˥ʐuək˨˩˨ɣaŋ˧˧
rút ruột rút gan	ʐuk͡p˦˥ʐuək˨˩˨ʐuk͡p˦˥ɣaŋ˧˧
rút ruột tơ tằm	ʐuk͡p˦˥ʐuək˨˩˨tɤ˧˧tăm˧˨
rút rát	ʐuk͡p˦˥ʐat˦˥
rút thăm	ʐuk͡p˦˥tʰăm˧˧
rút tiền	ʐuk͡p˦˥tiəŋ˧˨
rút tỉa	ʐuk͡p˦˥tiə˨˩˦
rút xương	ʐuk͡p˦˥sɯəŋ˧˧
răm	ʐăm˧˧
răm nước	ʐăm˧˧nɯək˦˥
răm rắp	ʐăm˧˧ʐăp˦˥
răn	ʐăŋ˧˧
răn bảo	ʐăŋ˧˧baw˨˩˦
răn rắn	ʐăŋ˧˧ʐăŋ˦˥
răn đe	ʐăŋ˧˧dɛ˧˧
răng	ʐăŋ˧˧
răng bàn cuốc	ʐăŋ˧˧baŋ˧˨kuək˦˥
răng bừa	ʐăŋ˧˧bɯə˧˨
răng chuối tiêu	ʐăŋ˧˧cuəj˦˥tiəw˧˧
răng chó	ʐăŋ˧˧cɔ˦˥
răng cưa	ʐăŋ˧˧kɯə˧˧
răng cải mả	ʐăŋ˧˧kaj˨˩˦ma˨˩˦
răng cấm	ʐăŋ˧˧kɤ̆m˦˥
răng cối	ʐăŋ˧˧koj˦˥
răng cửa	ʐăŋ˧˧kɯə˨˩˦
răng giả	ʐăŋ˧˧ja˨˩˦
răng hàm	ʐăŋ˧˧ham˧˨
răng hàm nhỏ	ʐăŋ˧˧ham˧˨ɲɔ˨˩˦
răng khôn	ʐăŋ˧˧xoŋ͡m˧˧
răng long đầu bạc	ʐăŋ˧˧lɔŋ͡m˧˧dɤ̆w˧˨bak˨˩˨
răng móc	ʐăŋ˧˧mɔk͡p˦˥
răng nanh	ʐăŋ˧˧nan˧˧
răng rắc	ʐăŋ˧˧ʐăk˦˥
răng sữa	ʐăŋ˧˧ʂɯə˨˩˦
răng vẩu	ʐăŋ˧˧jɤ̆w˨˩˦
rĩn	ʐin˨˩˦
rũ	ʐu˨˩˦
rũ như con gà cắt tiết	ʐu˨˩˦ɲɯ˧˧kɔŋ͡m˧˧ɣa˧˨kăk˦˥tiək˦˥
rũ như tàu lá	ʐu˨˩˦ɲɯ˧˧tăw˧˨la˦˥
rũ rượi	ʐu˨˩˦ʐɯəj˨˩˨
rũ rợi	ʐu˨˩˦ʐɤj˨˩˨
rũ tù	ʐu˨˩˦tu˧˨
rũa	ʐuə˨˩˦
rơ	ʐɤ˧˧
rơ kơi	ʐɤ˧˧kɤj˧˧
rơ moóc	ʐɤ˧˧mɔk͡p˦˥
rơ ngao	ʐɤ˧˧ŋaw˧˧
rơ-le	ʐɤ˧˧-lɛ˧˧
rơ-moóc	ʐɤ˧˧-mɔk͡p˦˥
rơ-mông-toa	ʐɤ˧˧-moŋ͡m˧˧-twa˧˧
rơ-măm	ʐɤ˧˧-măm˧˧
rơ-tua	ʐɤ˧˧-tuə˧˧
rơi	ʐɤj˧˧
rơi lệ	ʐɤj˧˧le˨˩˨
rơi rớt	ʐɤj˧˧ʐɤk˦˥
rơi rụng	ʐɤj˧˧ʐuŋ͡m˨˩˨
rơi vãi	ʐɤj˧˧jaj˨˩˦
rơm	ʐɤm˧˧
rơm rác	ʐɤm˧˧ʐak˦˥
rơm rạ	ʐɤm˧˧ʐa˨˩˨
rơm rớm	ʐɤm˧˧ʐɤm˦˥
rơn	ʐɤŋ˧˧
rơn rớt	ʐɤŋ˧˧ʐɤk˦˥
rơn-ghen	ʐɤŋ˧˧-ɣɛŋ˧˧
rư	ʐɯ˧˧
rưa rứa	ʐɯə˧˧ʐɯə˦˥
rưng	ʐɯŋ˧˧
rưng rưng	ʐɯŋ˧˧ʐɯŋ˧˧
rưng rức	ʐɯŋ˧˧ʐɯk˦˥
rươi	ʐɯəj˧˧
rươm rướm	ʐɯm˧˧ʐɯm˦˥
rương	ʐɯəŋ˧˧
rương hòm	ʐɯəŋ˧˧hɔm˧˨
rước	ʐɯək˦˥
rước dâu	ʐɯək˦˥jɤ̆w˧˧
rước dữ cưu hờn	ʐɯək˦˥jɯ˨˩˦kɯw˧˧hɤŋ˧˨
rước sách	ʐɯək˦˥ʂat˦˥
rước voi giày mả tổ	ʐɯək˦˥jɔj˧˧jăj˧˨ma˨˩˦to˨˩˦
rước voi về giày mả tổ	ʐɯək˦˥jɔj˧˧je˧˨jăj˧˨ma˨˩˦to˨˩˦
rước xách	ʐɯək˦˥sat˦˥
rước đèn	ʐɯək˦˥dɛŋ˧˨
rưới	ʐɯəj˦˥
rướm	ʐɯm˦˥
