a	ɒ
körültekintő	køryltɛkintøː
körültekintőbb	køryltɛkintøːbː
körülvesz	kørylvɛs
körülvéve	kørylveːvɛ
körülír	køryliːr
körülötte	køryløtːɛ
körünk	køryŋk
körű	køryː
kösd	køʒd
köss	køʃː
kösz	køsː
köszi	køsi
köszvény	køsveːɲ
köszön	køsøn
köszönd	køsønd
köszönet	køsønɛt
köszönetek	køsønɛtɛk
köszönetet	køsønɛtɛt
köszönettel	køsønɛtːɛl
köszönhet	køsønɦɛt
köszönhető	køsønɦɛtøː
köszönhetően	køsønɦɛtøːɛn
köszönj	køsøɲː
köszönjük	køsøɲːyk
köszönni	køsønːi
köszönsz	køsøns
köszönt	køsønt
köszöntik	køsøntik
köszönts	køsønt͡ʃ
köszöntés	køsønteːʃ
köszöntések	køsønteːʃɛk
köszönés	køsøneːʃ
köszönök	køsønøk
köszönöm	køsønøm
kösöntyű	køʃøɲcyː
köt	køt
köteg	køtɛɡ
kötegek	køtɛɡɛk
kötekedik	køtɛkɛdik
kötekszik	køtɛksik
kötelek	køtɛlɛk
köteles	køtɛlɛʃ
kötelesek	køtɛlɛʃɛk
kötelesség	køtɛlɛʃːeːɡ
kötelessége	køtɛlɛʃːeːɡɛ
kötelességek	køtɛlɛʃːeːɡɛk
kötelességtudó	køtɛlɛʃːeːktudoː
kötelez	køtɛlɛz
kötelezett	køtɛlɛzɛtː
kötelezettség	køtɛlɛzɛt͡ʃːeːɡ
kötelezettsége	køtɛlɛzɛt͡ʃːeːɡɛ
kötelezettségek	køtɛlɛzɛt͡ʃːeːɡɛk
kötelezettségeket	køtɛlɛzɛt͡ʃːeːɡɛkɛt
kötelezettséget	køtɛlɛzɛt͡ʃːeːɡɛt
kötelezettségét	køtɛlɛzɛt͡ʃːeːɡeːt
kötelezvény	køtɛlɛzveːɲ
kötelezvények	køtɛlɛzveːɲɛk
kötelező	køtɛlɛzøː
kötelezőbb	køtɛlɛzøːbː
kötelezően	køtɛlɛzøːɛn
kötelezővé	køtɛlɛzøːveː
kötelék	køtɛleːk
kötet	køtɛt
kötetben	køtɛdbɛn
kötete	køtɛtɛ
kötetek	køtɛtɛk
kötetes	køtɛtɛʃ
kötetet	køtɛtɛt
kötetlen	køtɛtlɛn
kötetlenebb	køtɛtlɛnɛbː
köthet	køthɛt
kötni	køtni
kötsz	køt͡sː
kötszer	køtsɛr
kötve	køtvɛ
kötvény	køtveːɲ
kötvények	køtveːɲɛk
kötvényeket	køtveːɲɛkɛt
kötvényeknek	køtveːɲɛknɛk
kötvénynek	køtveːɲnɛk
kötvényt	køtveːɲt
kötél	køteːl
kötéllétra	køteːlːeːtrɒ
kötéllétrák	køteːlːeːtraːk
kötény	køteːɲ
kötények	køteːɲɛk
kötés	køteːʃ
kötések	køteːʃɛk
kötésszög	køteːsːøɡ
kötésszög	køteːʃsøɡ
kötöde	køtødɛ
kötök	køtøk
kötött	køtøtː
kötöttebb	køtøtːɛbː
kötő	køtøː
kötőbb	køtøːbː
kötődik	køtøːdik
kötődő	køtøːdøː
kötődőbb	køtøːdøːbː
kötőfék	køtøːfeːk
kötőhang	køtøːɦɒŋɡ
kötőhártya	køtøːɦaːrcɒ
kötőhártyagyulladás	køtøːɦaːrcɒɟulːɒdaːʃ
kötőjel	køtøːjɛl
kötőjelek	køtøːjɛlɛk
kötőjellel	køtøːjɛlːɛl
kötők	køtøːk
kötőmód	køtøːmoːd
kötőmódok	køtøːmoːdok
kötőszó	køtøːsoː
kötőszók	køtøːsoːk
köve	køvɛ
kövek	køvɛk
kövesd	køvɛʒd
követ	køvɛt
követek	køvɛtɛk
követel	køvɛtɛl
követelmény	køvɛtɛlmeːɲ
követelményei	køvɛtɛlmeːɲɛji
követelményeinek	køvɛtɛlmeːɲɛjinɛk
követelményeit	køvɛtɛlmeːɲɛjit
követelmények	køvɛtɛlmeːɲɛk
követelményeken	køvɛtɛlmeːɲɛkɛn
követelményekre	køvɛtɛlmeːɲɛkrɛ
követelményen	køvɛtɛlmeːɲɛn
követelményre	køvɛtɛlmeːɲrɛ
követelnek	køvɛtɛlnɛk
követelte	køvɛtɛltɛ
követelés	køvɛtɛleːʃ
követelések	køvɛtɛleːʃɛk
követelő	køvɛtɛløː
követelőbb	køvɛtɛløːbː
követelővé	køvɛtɛløːveː
követhet	køvɛthɛt
követhető	køvɛthɛtøː
követi	køvɛti
következetes	køvɛtkɛzɛtɛʃ
következetesen	køvɛtkɛzɛtɛʃɛn
következetesség	køvɛtkɛzɛtɛʃːeːɡ
következik	køvɛtkɛzik
következmény	køvɛtkɛzmeːɲ
következménye	køvɛtkɛzmeːɲɛ
következményei	køvɛtkɛzmeːɲɛji
következményeit	køvɛtkɛzmeːɲɛjit
következmények	køvɛtkɛzmeːɲɛk
következményekkel	køvɛtkɛzmeːɲɛkːɛl
következményeként	køvɛtkɛzmeːɲɛkeːnt
következtet	køvɛtkɛstɛt
következtetni	køvɛtkɛstɛtni
következtetés	køvɛtkɛstɛteːʃ
következtetéseket	køvɛtkɛstɛteːʃɛkɛt
következtetésre	køvɛtkɛstɛteːʃrɛ
következtető	køvɛtkɛstɛtøː
következtében	køvɛtkɛsteːbɛn
következés	køvɛtkɛzeːʃ
következések	køvɛtkɛzeːʃɛk
következésképpen	køvɛtkɛzeːʃkeːpːɛn
következő	køvɛtkɛzøː
következően	køvɛtkɛzøːɛn
következőképpen	køvɛtkɛzøːkeːpːɛn
követnek	køvɛtnɛk
követni	køvɛtni
követnék	køvɛtneːk
követnél	køvɛtneːl
követte	køvɛtːɛ
követés	køvɛteːʃ
követése	køvɛteːʃɛ
követő	køvɛtøː
követőbb	køvɛtøːbː
követően	køvɛtøːɛn
követők	køvɛtøːk
kövi	køvi
kövirózsa	køviroːʒɒ
kövér	køveːr
kövérebb	køveːrɛbː
kövérek	køveːrɛk
kövérkés	køveːrkeːʃ
kövérség	køveːrʃeːɡ
kövét	køveːt
kövön	køvøn
köz	køz
közalkalmazott	køzɒlkɒlmɒzotː
közalkalmazottak	køzɒlkɒlmɒzotːɒk
közalkalmazotti	køzɒlkɒlmɒzotːi
közbejön	køzbɛjøn
közben	køzbɛn
közbeszerzés	køzbɛsɛrzeːʃ
közbeszerzések	køzbɛsɛrzeːʃɛk
közbevet	køzbɛvɛt
közcélú	køst͡seːluː
köze	køzɛ
közeg	køzɛɡ
közegek	køzɛɡɛk
közegészségügy	køzɛɡeːʃːeːɡyɟ
közegészségügyi	køzɛɡeːʃːeːɡyɟi
közel	køzɛl
közelben	køzɛlbɛn
közele	køzɛlɛ
közelebb	køzɛlɛbː
közelebbi	køzɛlɛbːi
közelebbről	køzɛlɛbrøːl
közeledik	køzɛlɛdik
közeleg	køzɛlɛɡ
közelg	køzɛlɡ
közelgő	køzɛlɡøː
közeli	køzɛli
közeljövő	køzɛjːøvøː
közeljövőben	køzɛjːøvøːbɛn
közelmúlt	køzɛlmuːlt
közelmúltban	køzɛlmuːldbɒn
közelről	køzɛrːøːl
közelség	køzɛlʃeːɡ
közelébe	køzɛleːbɛ
közelében	køzɛleːbɛn
közelít	køzɛliːt
közelítés	køzɛliːteːʃ
közepe	køzɛpɛ
közepek	køzɛpɛk
közepes	køzɛpɛʃ
közepesen	køzɛpɛʃɛn
közepette	køzɛpɛtːɛ
közepén	køzɛpeːn
közepére	køzɛpeːrɛ
közepétől	køzɛpeːtøːl
közgazda	køzɡɒzdɒ
közgazdaság	køzɡɒzdɒʃaːɡ
közgazdasági	køzɡɒzdɒʃaːɡi
közgazdaságok	køzɡɒzdɒʃaːɡok
közgazdaságtan	køzɡɒzdɒʃaːktɒn
közgazdaságtanok	køzɡɒzdɒʃaːktɒnok
közgazdák	køzɡɒzdaːk
közgazdász	køzɡɒzdaːs
közgazdászok	køzɡɒzdaːsok
közgyűlés	køzɟyːleːʃ
közgyűlési	køzɟyːleːʃi
közhely	køshɛj
közhelyek	køshɛjɛk
közigazgatás	køziɡɒzɡɒtaːʃ
közigazgatási	køziɡɒzɡɒtaːʃi
közismert	køziʃmɛrt
közjavak	køzjɒvɒk
közjó	køzjoː
közjóért	køzjoːjeːrt
közkedvelt	køskɛdvɛlt
közkincs	køskint͡ʃ
közkutak	køskutɒk
közkívánat	køskiːvaːnɒt
közkívánatra	køskiːvaːnɒtrɒ
közkönyvtár	køskøɲftaːr
közkút	køskuːt
közlekedik	køzlɛkɛdik
közlekedés	køzlɛkɛdeːʃ
közlekedések	køzlɛkɛdeːʃɛk
közlekedési	køzlɛkɛdeːʃi
közlekedőedény	køzlɛkɛdøːɛdeːɲ
közlekedőedények	køzlɛkɛdøːɛdeːɲɛk
közlemény	køzlɛmeːɲ
közleményben	køzlɛmeːɲbɛn
közleménye	køzlɛmeːɲɛ
közlemények	køzlɛmeːɲɛk
közleményt	køzlɛmeːɲt
közleményében	køzlɛmeːɲeːbɛn
közlékeny	køzleːkɛɲ
közlékenyebb	køzleːkɛɲɛbː
közlés	køzleːʃ
közlöny	køzløɲ
közlönyt	køzløɲt
közlönyök	køzløɲøk
közmondás	køzmondaːʃ
közmondások	køzmondaːʃok
köznév	køzneːv
közoktatás	køzoktɒtaːʃ
központ	køspont
központban	køspondbɒn
központi	køsponti
központilag	køspontilɒɡ
központja	køspoɲcɒ
központok	køspontok
központosított	køspontoʃiːtotː
központot	køspontot
központú	køspontuː
közpénz	køspeːnz
közre	køzrɛ
közreműködik	køzrɛmyːkødik
közreműködés	køzrɛmyːkødeːʃ
közreműködése	køzrɛmyːkødeːʃɛ
közreműködést	køzrɛmyːkødeːʃt
közreműködésével	køzrɛmyːkødeːʃeːvɛl
közreműködő	køzrɛmyːkødøː
közszolgálati	køsːolɡaːlɒti
község	køʃːeːɡ
községben	køʃːeːɡbɛn
községek	køʃːeːɡɛk
községi	køʃːeːɡi
közt	køst
közte	køstɛ
közti	køsti
köztisztviselő	køstistviʃɛløː
köztisztviselői	køstistviʃɛløːji
köztisztviselők	køstistviʃɛløːk
köztudat	køstudɒt
köztudott	køstudotː
köztársaság	køstaːrʃɒʃaːɡ
köztársasági	køstaːrʃɒʃaːɡi
köztársaságok	køstaːrʃɒʃaːɡok
köztünk	køstyŋk
közvetett	køzvɛtɛtː
közvetlen	køzvɛtlɛn
közvetlenebb	køzvɛtlɛnɛbː
közvetlenebbül	køzvɛtlɛnɛbːyl
közvetlenül	køzvɛtlɛnyl
közvetít	køzvɛtiːt
közvetítés	køzvɛtiːteːʃ
közvetítő	køzvɛtiːtøː
közvélemény	køzveːlɛmeːɲ
közzé	køzːeː
közé	køzeː
közéje	køzeːjɛ
közélet	køzeːlɛt
közéleti	køzeːlɛti
közép	køzeːp
középen	køzeːpɛn
középfok	køzeːpfok
középfül	køzeːpfyl
középfülek	køzeːpfylɛk
középfülgyulladás	køzeːpfylɟulːɒdaːʃ
középfülgyulladások	køzeːpfylɟulːɒdaːʃok
középiskola	køzeːpiʃkolɒ
középiskolai	køzeːpiʃkolɒji
középiskolák	køzeːpiʃkolaːk
középiskolás	køzeːpiʃkolaːʃ
középkor	køzeːpkor
középkorban	køzeːpkorbɒn
középkori	køzeːpkori
középkorú	køzeːpkoruː
középmagasság	køzeːpmɒɡɒʃːaːɡ
középpont	køzeːpːont
középponti	køzeːpːonti
középpontja	køzeːpːoɲcɒ
középpontjában	køzeːpːoɲcaːbɒn
középpontok	køzeːpːontok
középpályás	køzeːpːaːjaːʃ
középszerű	køzeːpsɛryː
középszerűbb	køzeːpsɛryːbː
középszerűség	køzeːpsɛryːʃeːɡ
középszint	køzeːpsint
középszintű	køzeːpsintyː
középsúly	køzeːpʃuːj
középső	køzeːpʃøː
középvállalkozás	køzeːpvaːlːɒlkozaːʃ
középvállalkozások	køzeːpvaːlːɒlkozaːʃok
közérdekű	køzeːrdɛkyː
közért	køzeːrt
közérthető	køzeːrthɛtøː
közérthetőbb	køzeːrthɛtøːbː
közérthetőség	køzeːrthɛtøːʃeːɡ
közét	køzeːt
közök	køzøk
közöl	køzøl
közölni	køzølni
közölsz	køzøls
közölte	køzøltɛ
közömbös	køzømbøʃ
közön	køzøn
közönség	køzønʃeːɡ
közönségek	køzønʃeːɡɛk
közönségeket	køzønʃeːɡɛkɛt
közönséges	køzønʃeːɡɛʃ
közönségesebb	køzønʃeːɡɛʃɛbː
közönséget	køzønʃeːɡɛt
közönségnek	køzønʃeːɡnɛk
közöny	køzøɲ
közönyt	køzøɲt
közönyös	køzøɲøʃ
közönyösebb	køzøɲøʃɛbː
közös	køzøʃ
közösen	køzøʃɛn
közösség	køzøʃːeːɡ
közösségben	køzøʃːeːɡbɛn
közössége	køzøʃːeːɡɛ
közösségek	køzøʃːeːɡɛk
közösséget	køzøʃːeːɡɛt
közösséggé	køzøʃːeːɡːeː
közösségi	køzøʃːeːɡi
közösségibb	køzøʃːeːɡibː
közösülés	køzøʃyleːʃ
között	køzøtː
közötte	køzøtːɛ
közötti	køzøtːi
közöttünk	køzøtːyŋk
közúti	køzuːti
közül	køzyl
közüle	køzylɛ
közüzem	køzyzɛm
közüzemi	køzyzɛmi
kú	kuː
kúl	kuːl
kúp	kuːp
kúpok	kuːpok
kúpszelet	kuːpsɛlɛt
kúpszeletek	kuːpsɛlɛtɛk
kúr	kuːr
kúrhat	kuːrɦɒt
kúrj	kuːrʝ
kúrt	kuːrt
kússz	kuːsː
kúszik	kuːsik
kút	kuːt
kútba	kuːdbɒ
kútház	kuːthaːz
kútvíz	kuːtviːz
küld	kyld
küldd	kyld
küldemény	kyldɛmeːɲ
küldemények	kyldɛmeːɲɛk
küldened	kyldɛnɛd
küldenem	kyldɛnɛm
küldenetek	kyldɛnɛtɛk
küldeni	kyldɛni
küldenie	kyldɛnijɛ
küldeniük	kyldɛnijyk
küldenünk	kyldɛnyŋk
küldetés	kyldɛteːʃ
küldetések	kyldɛteːʃɛk
küldetést	kyldɛteːʃt
küldhet	kylthɛt
küldi	kyldi
küldj	kylɟ
küldje	kylɟɛ
küldtek	kyltɛk
küldtetek	kyltɛtɛk
küldték	kylteːk
küldés	kyldeːʃ
küldése	kyldeːʃɛ
küldöm	kyldøm
küldönc	kyldønt͡s
küldöncök	kyldønt͡søk
küldött	kyldøtː
küldöttek	kyldøtːɛk
küldöttség	kyldøt͡ʃːeːɡ
küldöttségek	kyldøt͡ʃːeːɡɛk
küldő	kyldøː
külföld	kylføld
külföldi	kylføldi
külföldiek	kylføldijɛk
külföldit	kylføldit
külföldre	kylføldrɛ
külföldön	kylføldøn
külkereskedelem	kylkɛrɛʃkɛdɛlɛm
külkereskedelmi	kylkɛrɛʃkɛdɛlmi
küllő	kylːøː
külpolitika	kylpolitikɒ
külpolitikai	kylpolitikɒji
külseje	kylʃɛjɛ
külsejű	kylʃɛjyː
külső	kylʃøː
külsők	kylʃøːk
külvilág	kylvilaːɡ
külváros	kylvaːroʃ
külvárosi	kylvaːroʃi
külvárosibb	kylvaːroʃibː
külvárosok	kylvaːroʃok
külön	kyløn
különb	kylømb
különben	kylømbɛn
különbség	kylømpʃeːɡ
különbségek	kylømpʃeːɡɛk
különbségeket	kylømpʃeːɡɛkɛt
különbözik	kylømbøzik
különböznek	kylømbøznɛk
különböző	kylømbøzøː
különbözőbb	kylømbøzøːbː
különbözőek	kylømbøzøːɛk
különbözők	kylømbøzøːk
különféle	kyløɱfeːlɛ
különfélébb	kyløɱfeːleːbː
különleges	kylønlɛɡɛʃ
különlegesebb	kylønlɛɡɛʃɛbː
különlegesen	kylønlɛɡɛʃɛn
különlegesség	kylønlɛɡɛʃːeːɡ
különnyomat	kyløɲːomɒt
különnyugdíj	kyløɲːuɡdiːj
különálló	kylønaːlːoː
különállóbb	kylønaːlːoːbː
különír	kyløniːr
különírás	kyløniːraːʃ
különít	kyløniːt
különös	kylønøʃ
különösebb	kylønøʃɛbː
különösebben	kylønøʃɛbːɛn
különösek	kylønøʃɛk
különöseket	kylønøʃɛkɛt
különösen	kylønøʃɛn
különöset	kylønøʃɛt
különösképpen	kylønøʃkeːpːɛn
külügy	kylyɟ
külügyek	kylyɟɛk
külügyi	kylyɟi
külügyminiszter	kylyɟministɛr
külügyminisztérium	kylyɟministeːrijum
küngös	kyŋɡøʃ
kürt	kyrt
kürtbe	kyrdbɛ
kürtben	kyrdbɛn
kürtből	kyrdbøːl
kürthöz	kyrthøz
kürtig	kyrtiɡ
kürtként	kyrtkeːnt
kürtnek	kyrtnɛk
kürtnél	kyrtneːl
kürtre	kyrtrɛ
kürtről	kyrtrøːl
kürttel	kyrtɛl
kürtté	kyrteː
kürttől	kyrtøːl
kürtért	kyrteːrt
kürtök	kyrtøk
kürtökbe	kyrtøɡbɛ
kürtökben	kyrtøɡbɛn
kürtökből	kyrtøɡbøːl
kürtöket	kyrtøkɛt
kürtökhöz	kyrtøkhøz
kürtökig	kyrtøkiɡ
kürtökkel	kyrtøkːɛl
kürtökké	kyrtøkːeː
kürtökként	kyrtøkːeːnt
kürtöknek	kyrtøknɛk
kürtöknél	kyrtøkneːl
kürtökre	kyrtøkrɛ
kürtökről	kyrtøkrøːl
kürtöktől	kyrtøktøːl
kürtökért	kyrtøkeːrt
kürtökön	kyrtøkøn
kürtön	kyrtøn
kürtöt	kyrtøt
kürtőskalács	kyrtøːʃkɒlaːt͡ʃ
küsz	kys
küszködik	kyskødik
küszt	kyst
küszöb	kysøb
küszöbe	kysøbɛ
küszöbszintű	kysøpsintyː
küszöbök	kysøbøk
küszök	kysøk
küzd	kyzd
küzdd	kyzd
küzdelem	kyzdɛlɛm
küzdelemben	kyzdɛlɛmbɛn
küzdelme	kyzdɛlmɛ
küzdelmek	kyzdɛlmɛk
küzdelmet	kyzdɛlmɛt
küzdeni	kyzdɛni
küzdj	kyzɟ
küzdő	kyzdøː
kő	køː
kőbánya	køːbaːɲɒ
kőbányák	køːbaːɲaːk
kőhöz	køːɦøz
kőkemény	køːkɛmeːɲ
kőműves	køːmyːvɛʃ
kőművesek	køːmyːvɛʃɛk
kőolaj	køːolɒj
kőomlás	køːomlaːʃ
kőomlások	køːomlaːʃok
kőpad	køːpɒd
kőpadok	køːpɒdok
kőr	køːr
kőre	køːrɛ
kőris	køːriʃ
kőrt	køːrt
kőrök	køːrøk
kőrön	køːrøn
kőszikla	køːsiklɒ
kőszáli	køːsaːli
kővel	køːvɛl
kővé	køːveː
kőzet	køːzɛt
kőzetlemez	køːzɛtlɛmɛz
kőzettan	køːzɛtːɒn
kűr	kyːr
kűrium	kyːrijum
l	l
l	ɛlː
la	lɒ
labda	lɒbdɒ
labdacs	lɒbdɒt͡ʃ
labdajáték	lɒbdɒjaːteːk
labdarúgás	lɒbdɒruːɡaːʃ
labdarúgások	lɒbdɒruːɡaːʃok
labdarúgó	lɒbdɒruːɡoː
labdák	lɒbdaːk
labdával	lɒbdaːvɒl
labirintus	lɒbirintuʃ
labirintusok	lɒbirintuʃok
labirintust	lɒbirintuʃt
labor	lɒbor
laboratórium	lɒborɒtoːrijum
laboratóriumi	lɒborɒtoːrijumi
laboratóriumok	lɒborɒtoːrijumok
lacafacázik	lɒt͡sɒfɒt͡saːzik
laci	lɒt͡si
lacid	lɒt͡sid
ladik	lɒdik
ladikok	lɒdikok
lagymatag	lɒɟmɒtɒɡ
lagymatagabb	lɒɟmɒtɒɡɒbː
lagúna	lɒɡuːnɒ
lagúnák	lɒɡuːnaːk
laikus	lɒjikuʃ
laikusok	lɒjikuʃok
lajdinánt	lɒjdinaːnt
lajhár	lɒjɦaːr
lajhárok	lɒjɦaːrok
lajos	lɒjoʃ
lajt	lɒjt
lak	lɒk
lakat	lɒkɒt
lakatlan	lɒkɒtlɒn
lakatok	lɒkɒtok
lakatos	lɒkɒtoʃ
lakatosok	lɒkɒtoʃok
lakcím	lɒkt͡siːm
lakcímek	lɒkt͡siːmɛk
lakhat	lɒkhɒt
lakhatatlan	lɒkhɒtɒtlɒn
lakható	lɒkhɒtoː
lakhely	lɒkhɛj
lakhelyek	lɒkhɛjɛk
lakhelyváltoztatás	lɒkhɛjvaːltostɒtaːʃ
lakhoz	lɒkhoz
lakik	lɒkik
lakk	lɒkː
lakkal	lɒkːɒl
lakkok	lɒkːok
lakkos	lɒkːoʃ
lakkoz	lɒkːoz
lakmusz	lɒkmus
lakmuszpapír	lɒkmuspɒpiːr
lakmározik	lɒkmaːrozik
laknak	lɒknɒk
lakocska	lɒkot͡ʃkɒ
lakocskák	lɒkot͡ʃkaːk
lakodalmak	lɒkodɒlmɒk
lakodalom	lɒkodɒlom
lakok	lɒkok
lakom	lɒkom
lakoma	lɒkomɒ
lakomák	lɒkomaːk
lakomázik	lɒkomaːzik
lakonikus	lɒkonikuʃ
lakos	lɒkoʃ
lakosok	lɒkoʃok
lakossal	lɒkoʃːɒl
lakosság	lɒkoʃːaːɡ
lakossága	lɒkoʃːaːɡɒ
lakossági	lɒkoʃːaːɡi
lakosságok	lɒkoʃːaːɡok
lakosságot	lɒkoʃːaːɡot
lakosságának	lɒkoʃːaːɡaːnɒk
lakosú	lɒkoʃuː
lakot	lɒkot
laksz	lɒks
lakta	lɒktɒ
laktok	lɒktok
laktáció	lɒktaːt͡sijoː
laktációk	lɒktaːt͡sijoːk
laktál	lɒktaːl
laktózmentes	lɒktoːzmɛntɛʃ
lakunk	lɒkuŋk
lakáj	lɒkaːj
lakájok	lɒkaːjok
lakás	lɒkaːʃ
lakásba	lɒkaːʒbɒ
lakásban	lɒkaːʒbɒn
lakások	lɒkaːʃok
lakásokat	lɒkaːʃokɒt
lakásokba	lɒkaːʃoɡbɒ
lakásokban	lɒkaːʃoɡbɒn
lakást	lɒkaːʃt
lakó	lɒkoː
lakóhely	lɒkoːɦɛj
lakóhelyek	lɒkoːɦɛjɛk
lakóház	lɒkoːɦaːz
lakóházak	lɒkoːɦaːzɒk
lakói	lɒkoːji
lakóin	lɒkoːjin
lakóinak	lɒkoːjinɒk
lakója	lɒkoːjɒ
lakók	lɒkoːk
lakókocsi	lɒkoːkot͡ʃi
lakókocsik	lɒkoːkot͡ʃik
lakótelep	lɒkoːtɛlɛp
lakótárs	lɒkoːtaːrʃ
lambda	lɒmbdɒ
lamella	lɒmɛlːɒ
lamentál	lɒmɛntaːl
lampion	lɒmpijon
lampionok	lɒmpijonok
landol	lɒndol
landolás	lɒndolaːʃ
landolások	lɒndolaːʃok
langy	lɒɲɟ
langyos	lɒɲɟoʃ
langyosabb	lɒɲɟoʃɒbː
lankad	lɒŋkɒd
lant	lɒnt
lantok	lɒntok
lantán	lɒntaːn
lantánok	lɒntaːnok
laosz	lɒos
lap	lɒp
laparoszkóp	lɒpɒroskoːp
laparoszkópok	lɒpɒroskoːpok
lapban	lɒbːɒn
laphoz	lɒphoz
lapig	lɒpiɡ
lapja	lɒpjɒ
lapka	lɒpkɒ
lapkiadó	lɒpkijɒdoː
lapnak	lɒpnɒk
lapocka	lɒpot͡skɒ
lapockacsont	lɒpot͡skɒt͡ʃont
lapockacsontok	lɒpot͡skɒt͡ʃontok
lapockák	lɒpot͡skaːk
lapod	lɒpod
lapok	lɒpok
lapokat	lɒpokɒt
lapokban	lɒpoɡbɒn
lapokhoz	lɒpokhoz
lapokkal	lɒpokːɒl
lapoknak	lɒpoknɒk
lapokon	lɒpokon
lapokra	lɒpokrɒ
lapokról	lɒpokroːl
lapolvasó	lɒpolvɒʃoː
lapom	lɒpom
lapon	lɒpon
lapos	lɒpoʃ
laposabb	lɒpoʃɒbː
lapot	lɒpot
lapoz	lɒpoz
lapozz	lɒpozː
lapp	lɒpː
lappal	lɒpːɒl
lappang	lɒpːɒŋɡ
lappangj	lɒpːɒŋɡʝ
lappangsz	lɒpːɒŋks
lappantyú	lɒpːɒɲcuː
lappföld	lɒpføld
lappá	lɒpːaː
lapra	lɒprɒ
lapról	lɒproːl
laptop	lɛptop
lapunk	lɒpuŋk
lapunknak	lɒpuŋknɒk
lapát	lɒpaːt
lapátok	lɒpaːtok
lapátol	lɒpaːtol
lapít	lɒpiːt
lassabb	lɒʃːɒbː
lassabban	lɒʃːɒbːɒn
lassacskán	lɒʃːɒt͡ʃkaːn
lassan	lɒʃːɒn
lassul	lɒʃːul
lassulás	lɒʃːulaːʃ
lassulások	lɒʃːulaːʃok
lassít	lɒʃːiːt
lassú	lɒʃːuː
lassúak	lɒʃːuːɒk
lassúk	lɒʃːuːk
laszti	lɒsti
lat	lɒt
latin	lɒtin
latnak	lɒtnɒk
latok	lɒtok
latol	lɒtol
latolgat	lɒtolɡɒt
latra	lɒtrɒ
latyak	lɒcɒk
latyakos	lɒcɒkoʃ
latyakosabb	lɒcɒkoʃɒbː
laurencium	lɒurɛnt͡sijum
laurinsav	lɒurinʃɒv
laurinsavak	lɒurinʃɒvɒk
lavina	lɒvinɒ
lavinák	lɒvinaːk
lavíroz	lɒviːroz
laza	lɒzɒ
lazac	lɒzɒt͡s
lazaca	lɒzɒt͡sɒ
lazacai	lɒzɒt͡sɒji
lazacaid	lɒzɒt͡sɒjid
lazacaik	lɒzɒt͡sɒjik
lazacaim	lɒzɒt͡sɒjim
lazacaink	lɒzɒt͡sɒjiŋk
lazacaitok	lɒzɒt͡sɒjitok
lazacod	lɒzɒt͡sod
lazacok	lɒzɒt͡sok
lazacokon	lɒzɒt͡sokon
lazacokra	lɒzɒt͡sokrɒ
lazacom	lɒzɒt͡som
lazacon	lɒzɒt͡son
lazacotok	lɒzɒt͡sotok
lazacra	lɒzɒt͡srɒ
lazacuk	lɒzɒt͡suk
lazacunk	lɒzɒt͡suŋk
lazább	lɒzaːbː
lazán	lɒzaːn
lazít	lɒziːt
le	lɛ
lead	lɛɒd
leadja	lɛɒɟːɒ
leadni	lɛɒdni
leakaszt	lɛɒkɒst
leandrosz	lɛɒndros
lebecsül	lɛbɛt͡ʃyl
lebeg	lɛbɛɡ
lebeny	lɛbɛɲ
lebenyek	lɛbɛɲɛk
lebenyke	lɛbɛɲkɛ
lebenykék	lɛbɛɲkeːk
lebeszél	lɛbɛseːl
lebetűz	lɛbɛtyːz
lebonyolítás	lɛboɲoliːtaːʃ
lebukik	lɛbukik
lebőg	lɛbøːɡ
lecke	lɛt͡skɛ
leckék	lɛt͡skeːk
lecsatol	lɛt͡ʃɒtol
lecsendesül	lɛt͡ʃɛndɛʃyl
lecsó	lɛt͡ʃoː
ledér	lɛdeːr
ledérebb	lɛdeːrɛbː
ledönt	lɛdønt
lee	liː
leendő	lɛɛndøː
leesik	lɛɛʃik
lefejez	lɛfɛjɛz
lefejezés	lɛfɛjɛzeːʃ
lefejezések	lɛfɛjɛzeːʃɛk
lefelé	lɛfɛleː
lefest	lɛfɛʃt
lefoglal	lɛfoɡlɒl
lefoglalás	lɛfoɡlɒlaːʃ
lefokoz	lɛfokoz
lefordít	lɛfordiːt
lefordíthatatlan	lɛfordiːthɒtɒtlɒn
lefordíthatatlanabb	lɛfordiːthɒtɒtlɒnɒbː
lefordíthatatlanság	lɛfordiːthɒtɒtlɒnʃaːɡ
lefordítható	lɛfordiːthɒtoː
lefátyoloz	lɛfaːcoloz
leföldel	lɛføldɛl
leg	lɛɡ
legabsztraktabb	lɛɡɒpstrɒktɒbː
legabszurdabb	lɛɡɒpsurdɒbː
legadekvátabb	lɛɡɒdɛkvaːtɒbː
legaggódóbb	lɛɡɒɡːoːdoːbː
legagresszívabb	lɛɡɒɡrɛsːiːvɒbː
legagresszívebb	lɛɡɒɡrɛsːiːvɛbː
legagyafúrtabb	lɛɡɒɟɒfuːrtɒbː
legajánlatosabb	lɛɡɒjaːnlɒtoʃɒbː
legajánlottabb	lɛɡɒjaːnlotːɒbː
legakadálytalanabb	lɛɡɒkɒdaːjtɒlɒnɒbː
legakrobatikusabb	lɛɡɒkrobɒtikuʃɒbː
legaktuálisabb	lɛɡɒktuaːliʃɒbː
legaktívabb	lɛɡɒktiːvɒbː
