ͷ	t͡sʼ
τεθεραπευκώσ	tetʰerapeu̯kɔ̌ːs
τεθεραπευκώσ	teθerapefkos
τεθεραπευκώσ	teθerapeɸkos
τεθεραπευκώσ	tɛtʰɛrapeʍkos
τεθνεώσ	tetʰneɔ̌ːs
τεθνεώσ	teθneos
τεθνεώσ	tɛtʰnɛos
τεθνεώτων	tetʰneɔ̌ːtɔːn
τεθνεώτων	teθneoton
τεθνεώτων	tɛtʰnɛoton
τεθνηῶτα	tetʰnɛːɔ̂ːta
τεθνηῶτα	teθniota
τεθνηῶτα	tɛtʰneota
τεθνηῶτοσ	tetʰnɛːɔ̂ːtos
τεθνηῶτοσ	teθniotos
τεθνηῶτοσ	tɛtʰneotos
τεθνηώσ	tetʰnɛːɔ̌ːs
τεθνηώσ	teθnios
τεθνηώσ	tɛtʰneos
τεΐσπησ	teispis
τεΐσπησ	teíspɛːs
τεΐσπησ	tɛispes
τεῖχοσ	tikʰos
τεῖχοσ	tixos
τεῖχοσ	têːkʰos
τεινεσμόσ	teːnezmós
τεινεσμόσ	tinezmos
τεινεσμόσ	tinɛzmos
τειρίστασισ	teːrístasis
τειρίστασισ	tiristasis
τειρεσίαο	teːresíaːo
τειρεσίαο	tiresiao
τειρεσίαο	tirɛsiao
τειρεσίασ	teːresíaːs
τειρεσίασ	tiresias
τειρεσίασ	tirɛsias
τειρόμενον	teːrómenon
τειρόμενον	tiromenon
τειρόμενον	tiromɛnon
τειρόμενοσ	teːrómenos
τειρόμενοσ	tiromenos
τειρόμενοσ	tiromɛnos
τειχίζω	teːkʰízdɔː
τειχίζω	tikʰizo
τειχίζω	tixizo
τειχίζω	tiçizo
τειχεσιπλῆτα	teːkʰesiplɛ̂ːta
τειχεσιπλῆτα	tikʰɛsipleta
τειχεσιπλῆτα	tixesiplita
τειχεσιπλῆτα	tiçesiplita
τειχοῖν	teːkʰôi̯n
τειχοῖν	tikʰyn
τειχοῖν	tixyn
τειχοῖν	tiçin
τειχοῖν	tiçyn
τειχοφύλαξ	teːkʰopʰýlaks
τειχοφύλαξ	tikʰopʰylaks
τειχοφύλαξ	tixofilaks
τειχοφύλαξ	tixofylaks
τειχοφύλαξ	tixoɸylaks
τειχῶν	teːkʰɔ̂ːn
τειχῶν	tikʰon
τειχῶν	tixon
τεκμήριον	tekmirion
τεκμήριον	tekmɛ̌ːrion
τεκμήριον	tɛkmerion
τεκμαίρομαι	tekmerome
τεκμαίρομαι	tekmǎi̯romai̯
τεκμαίρομαι	tekmɛromɛ
τεκμαίρομαι	tɛkmɛromɛ
τεκμαιρόμενοσ	tekmai̯rómenos
τεκμαιρόμενοσ	tekmeromenos
τεκμαιρόμενοσ	tekmɛromenos
τεκμαιρόμενοσ	tɛkmɛromɛnos
τεκμηρίωι	tekmirio
τεκμηρίωι	tekmɛːríɔːi̯
τεκμηρίωι	tɛkmerio
τεκμηρίων	tekmirion
τεκμηρίων	tekmɛːríɔːn
τεκμηρίων	tɛkmerion
τεκμηριοῖ	tekmirii
τεκμηριοῖ	tekmiriy
τεκμηριοῖ	tekmɛːriôi̯
τεκμηριοῖ	tɛkmeriy
τεκμηριῶσαι	tekmiriose
τεκμηριῶσαι	tekmiriosɛ
τεκμηριῶσαι	tekmɛːriɔ̂ːsai̯
τεκμηριῶσαι	tɛkmeriosɛ
τεκμηριόω	tekmirioo
τεκμηριόω	tekmɛːrióɔː
τεκμηριόω	tɛkmerioo
τεκόν	tekon
τεκόν	tekón
τεκόν	tɛkon
τεκών	tekon
τεκών	tekɔ̌ːn
τεκών	tɛkon
τελέεσθαι	teleesθe
τελέεσθαι	teleesθɛ
τελέεσθαι	teléestʰai̯
τελέεσθαι	tɛlɛɛstʰɛ
τελέσαι	telese
τελέσαι	telesɛ
τελέσαι	telésai̯
τελέσαι	tɛlɛsɛ
τελέω	teleo
τελέω	teléɔː
τελέω	tɛlɛo
τελήεισ	teliis
τελήεισ	telɛ̌ːeːs
τελήεισ	tɛleis
τελαμωνιάδαο	telamoniaðao
τελαμωνιάδαο	telamɔːniádaːo
τελαμωνιάδαο	tɛlamoniadao
τελαμωνιάδησ	telamoniaðis
τελαμωνιάδησ	telamɔːniádɛːs
τελαμωνιάδησ	tɛlamoniades
τελαμών	telamon
τελαμών	telamɔ̌ːn
τελαμών	tɛlamon
τελαμώνιοσ	telamonios
τελαμώνιοσ	telamɔ̌ːnios
τελαμώνιοσ	tɛlamonios
τελειόω	teleːóɔː
τελειόω	telioo
τελειόω	tɛlioo
τελεσιουργόσ	telesioːrɡós
τελεσιουργόσ	telesiurɣos
τελεσιουργόσ	tɛlɛsiurɡos
τελευτάω	teleftao
τελευτάω	teleu̯táɔː
τελευτάω	teleɸtao
τελευτάω	tɛleʍtao
τελευτή	telefti
τελευτή	teleu̯tɛ̌ː
τελευτή	teleɸti
τελευτή	tɛleʍte
τελευτήν	teleftin
τελευτήν	teleu̯tɛ̌ːn
τελευτήν	teleɸtin
τελευτήν	tɛleʍten
τελευτίασ	teleftias
τελευτίασ	teleu̯tíaːs
τελευτίασ	teleɸtias
τελευτίασ	tɛleʍtias
τελευταία	teleftea
τελευταία	teleu̯tǎi̯aː
τελευταία	teleɸtɛa
τελευταία	tɛleʍtɛa
τελευταῖα	teleftea
τελευταῖα	teleu̯tâi̯a
τελευταῖα	teleɸtɛa
τελευταῖα	tɛleʍtɛa
τελευταῖοι	teleftei
τελευταῖοι	teleftey
τελευταῖοι	teleu̯tâi̯oi̯
τελευταῖοι	teleɸtɛy
τελευταῖοι	tɛleʍtɛy
τελευταῖοσ	telefteos
τελευταῖοσ	teleu̯tâi̯os
τελευταῖοσ	teleɸtɛos
τελευταῖοσ	tɛleʍtɛos
τελευτῶν	telefton
τελευτῶν	teleu̯tɔ̂ːn
τελευτῶν	teleɸton
τελευτῶν	tɛleʍton
τελευτῶντοσ	teleftondos
τελευτῶντοσ	teleftontos
τελευτῶντοσ	teleu̯tɔ̂ːntos
τελευτῶντοσ	teleɸtontos
τελευτῶντοσ	tɛleʍtontos
τελεύτασ	teleftas
τελεύτασ	teleɸtas
τελεύτασ	telěu̯taːs
τελεύτασ	tɛleʍtas
τεληέσσασ	teliesas
τεληέσσασ	teliessas
τεληέσσασ	telɛːéssaːs
τεληέσσασ	tɛleɛssas
τελμησσόσ	telmisos
τελμησσόσ	telmissos
τελμησσόσ	telmɛːssós
τελμησσόσ	tɛlmessos
τελῶ	telo
τελῶ	telɔ̂ː
τελῶ	tɛlo
τελῶν	telon
τελῶν	telɔ̂ːn
τελῶν	tɛlon
τελώνησ	telonis
τελώνησ	telɔ̌ːnɛːs
τελώνησ	tɛlones
τεμέση	temesi
τεμέση	temésɛː
τεμέση	tɛmɛse
τενέα	tenea
τενέα	tenéaː
τενέα	tɛnɛa
τενθρηδών	tentʰrɛːdɔ̌ːn
τενθρηδών	tenθriðon
τενθρηδών	tɛntʰredon
τεντερίτησ	tenderitis
τεντερίτησ	tenteritis
τεντερίτησ	tenterǐːtɛːs
τεντερίτησ	tɛntɛrites
τερέντιοσ	terendios
τερέντιοσ	terentios
τερέντιοσ	teréntios
τερέντιοσ	tɛrɛntios
τερατολόγοσ	teratoloɣos
τερατολόγοσ	teratolóɡos
τερατολόγοσ	tɛratoloɡos
τερμίνθινοσ	terminθinos
τερμίνθινοσ	termíntʰinos
τερμίνθινοσ	tɛrmintʰinos
τερπικέραυνοσ	terpiceravnos
τερπικέραυνοσ	terpikeraβnos
τερπικέραυνοσ	terpikérau̯nos
τερπικέραυνοσ	tɛrpikɛrawnos
τερπικεραύνωι	terpiceravno
τερπικεραύνωι	terpikeraβno
τερπικεραύνωι	terpikerǎu̯nɔːi̯
τερπικεραύνωι	tɛrpikɛrawno
τερπνόσ	terpnos
τερπνόσ	terpnós
τερπνόσ	tɛrpnos
τερπόμενοι	terpomeni
τερπόμενοι	terpomeny
τερπόμενοι	terpómenoi̯
τερπόμενοι	tɛrpomɛny
τερπόμενοσ	terpomenos
τερπόμενοσ	terpómenos
τερπόμενοσ	tɛrpomɛnos
τερψίχοροσ	terpsixoros
τερψίχοροσ	terpsíkʰoros
τερψίχοροσ	tɛrpsikʰoros
τερψιχόρα	terpsikʰóraː
τερψιχόρα	terpsixora
τερψιχόρα	tɛrpsikʰora
τερψιχόρη	terpsikʰórɛː
τερψιχόρη	terpsixori
τερψιχόρη	tɛrpsikʰore
τεσσάρων	tesaron
τεσσάρων	tessaron
τεσσάρων	tessárɔːn
τεσσάρων	tɛssaron
τεσσαράκοντα	tesarakonda
τεσσαράκοντα	tessarakonta
τεσσαράκοντα	tessarákonta
τεσσαράκοντα	tɛssarakonta
τεσσαρεσκαίδεκα	tesaresceðeka
τεσσαρεσκαίδεκα	tessaresceðeka
τεσσαρεσκαίδεκα	tessareskǎi̯deka
τεσσαρεσκαίδεκα	tessareskɛðeka
τεσσαρεσκαίδεκα	tɛssarɛskɛdɛka
τεσσαρεσκαιδεκατῖται	tesaresceðekatite
τεσσαρεσκαιδεκατῖται	tessaresceðekatite
τεσσαρεσκαιδεκατῖται	tessareskai̯dekatîːtai̯
τεσσαρεσκαιδεκατῖται	tessareskɛðekatitɛ
τεσσαρεσκαιδεκατῖται	tɛssarɛskɛdɛkatitɛ
τεσσεράκοντα	teserakonda
τεσσεράκοντα	tesserakonta
τεσσεράκοντα	tesserákonta
τεσσεράκοντα	tɛssɛrakonta
τεσσερεσκαίδεκα	teseresceðeka
τεσσερεσκαίδεκα	tesseresceðeka
τεσσερεσκαίδεκα	tessereskǎi̯deka
τεσσερεσκαίδεκα	tessereskɛðeka
τεσσερεσκαίδεκα	tɛssɛrɛskɛdɛka
τετέλεσται	teteleste
τετέλεσται	tetelestɛ
τετέλεσται	tetélestai̯
τετέλεσται	tɛtɛlɛstɛ
τετίημαι	tetiime
τετίημαι	tetiimɛ
τετίημαι	tetíɛːmai̯
τετίημαι	tɛtiemɛ
τετανόσ	tetanos
τετανόσ	tetanós
τετανόσ	tɛtanos
τετελεσμένον	tetelezmenon
τετελεσμένον	tetelezménon
τετελεσμένον	tɛtɛlɛzmɛnon
τετελεσμένοσ	tetelezmenos
τετελεσμένοσ	tetelezménos
τετελεσμένοσ	tɛtɛlɛzmɛnos
τετεύχαται	tetefxate
τετεύχαται	teteɸxatɛ
τετεύχαται	tetěu̯kʰatai̯
τετεύχαται	tɛteʍkʰatɛ
τετιημένοσ	tetiimenos
τετιημένοσ	tetiɛːménos
τετιημένοσ	tɛtiemɛnos
τετληότι	tetlioti
τετληότι	tetlɛːóti
τετληότι	tɛtleoti
τετληώσ	tetlios
τετληώσ	tetlɛːɔ̌ːs
τετληώσ	tɛtleos
τετράμετροσ	tetramorfos
τετράμετροσ	tetramorɸos
τετράμετροσ	tetrámorpʰos
τετράμετροσ	tɛtramorpʰos
τετράμνηστοσ	tetramnistos
τετράμνηστοσ	tetrámnɛːstos
τετράμνηστοσ	tɛtramnestos
τετράμορφοσ	tetramorfos
τετράμορφοσ	tetramorɸos
τετράμορφοσ	tetrámorpʰos
τετράμορφοσ	tɛtramorpʰos
τετράσ	tetras
τετράσ	tetrás
τετράσ	tɛtras
τετράων	tetraon
τετράων	tetráɔːn
τετράων	tɛtraon
τετραγενήσ	tetraɡenɛ̌ːs
τετραγενήσ	tetraɣenis
τετραγενήσ	tetraʝenis
τετραγενήσ	tɛtraɡɛnes
τετρακοσίαισ	tetrakosies
τετρακοσίαισ	tetrakosiɛs
τετρακοσίαισ	tetrakosíai̯s
τετρακοσίαισ	tɛtrakosiɛs
τετρακοσίασ	tetrakosias
τετρακοσίασ	tetrakosíaːs
τετρακοσίασ	tɛtrakosias
τετρακοσίοισ	tetrakosiis
τετρακοσίοισ	tetrakosiys
τετρακοσίοισ	tetrakosíoi̯s
τετρακοσίοισ	tɛtrakosiys
τετρακοσίοισι	tetrakosiisi
τετρακοσίοισι	tetrakosiysi
τετρακοσίοισι	tetrakosíoi̯si
τετρακοσίοισι	tɛtrakosiysi
τετρακοσίουσ	tetrakosius
τετρακοσίουσ	tetrakosíoːs
τετρακοσίουσ	tɛtrakosius
τετρακοσίων	tetrakosion
τετρακοσίων	tetrakosíɔːn
τετρακοσίων	tɛtrakosion
τετρακοσιέων	tetrakosieon
τετρακοσιέων	tetrakosiéɔːn
τετρακοσιέων	tɛtrakosiɛon
τετρακόσια	tetrakosia
τετρακόσια	tetrakósia
τετρακόσια	tɛtrakosia
τετρακόσιαι	tetrakosie
τετρακόσιαι	tetrakosiɛ
τετρακόσιαι	tetrakósiai̯
τετρακόσιαι	tɛtrakosiɛ
τετρακόσιοι	tetrakosii
τετρακόσιοι	tetrakosiy
τετρακόσιοι	tetrakósioi̯
τετρακόσιοι	tɛtrakosiy
τετρασύλλαβοσ	tetrasilavos
τετρασύλλαβοσ	tetrasyllavos
τετρασύλλαβοσ	tetrasyllaβos
τετρασύλλαβοσ	tetrasýllabos
τετρασύλλαβοσ	tɛtrasyllabos
τετριμμένα	tetrimena
τετριμμένα	tetrimmena
τετριμμένα	tetrimména
τετριμμένα	tetrimménaː
τετριμμένα	tɛtrimmɛna
τετριμμέναι	tetrimene
τετριμμέναι	tetrimmene
τετριμμέναι	tetrimmenɛ
τετριμμέναι	tetrimménai̯
τετριμμέναι	tɛtrimmɛnɛ
τετριμμέναιν	tetrimenen
τετριμμέναιν	tetrimmenen
τετριμμέναιν	tetrimmenɛn
τετριμμέναιν	tetrimménai̯n
τετριμμέναιν	tɛtrimmɛnɛn
τετριμμέναισ	tetrimenes
τετριμμέναισ	tetrimmenes
τετριμμέναισ	tetrimmenɛs
τετριμμέναισ	tetrimménai̯s
τετριμμέναισ	tɛtrimmɛnɛs
τετριμμένασ	tetrimenas
τετριμμένασ	tetrimmenas
τετριμμένασ	tetrimménaːs
τετριμμένασ	tɛtrimmɛnas
τετριμμένε	tetrimene
τετριμμένε	tetrimmene
τετριμμένε	tetrimméne
τετριμμένε	tɛtrimmɛnɛ
τετριμμένη	tetrimeni
τετριμμένη	tetrimmeni
τετριμμένη	tetrimménɛː
τετριμμένη	tɛtrimmɛne
τετριμμένηι	tetrimeni
τετριμμένηι	tetrimmeni
τετριμμένηι	tetrimménɛːi̯
τετριμμένηι	tɛtrimmɛne
τετριμμένην	tetrimenin
τετριμμένην	tetrimmenin
τετριμμένην	tetrimménɛːn
τετριμμένην	tɛtrimmɛnen
τετριμμένησ	tetrimenis
τετριμμένησ	tetrimmenis
τετριμμένησ	tetrimménɛːs
τετριμμένησ	tɛtrimmɛnes
τετριμμένοι	tetrimeni
τετριμμένοι	tetrimmeny
τετριμμένοι	tetrimménoi̯
τετριμμένοι	tɛtrimmɛny
τετριμμένοιν	tetrimenin
τετριμμένοιν	tetrimmenyn
τετριμμένοιν	tetrimménoi̯n
τετριμμένοιν	tɛtrimmɛnyn
τετριμμένοισ	tetrimenis
τετριμμένοισ	tetrimmenys
τετριμμένοισ	tetrimménoi̯s
τετριμμένοισ	tɛtrimmɛnys
τετριμμένον	tetrimenon
τετριμμένον	tetrimmenon
τετριμμένον	tetrimménon
τετριμμένον	tɛtrimmɛnon
τετριμμένοσ	tetrimenos
τετριμμένοσ	tetrimmenos
τετριμμένοσ	tetrimménos
τετριμμένοσ	tɛtrimmɛnos
τετριμμένου	tetrimenu
τετριμμένου	tetrimmenu
τετριμμένου	tetrimménoː
τετριμμένου	tɛtrimmɛnu
τετριμμένουσ	tetrimenus
τετριμμένουσ	tetrimmenus
τετριμμένουσ	tetrimménoːs
τετριμμένουσ	tɛtrimmɛnus
τετριμμένω	tetrimeno
τετριμμένω	tetrimmeno
τετριμμένω	tetrimménɔː
τετριμμένω	tɛtrimmɛno
τετριμμένωι	tetrimeno
τετριμμένωι	tetrimmeno
τετριμμένωι	tetrimménɔːi̯
τετριμμένωι	tɛtrimmɛno
τετριμμένων	tetrimenon
τετριμμένων	tetrimmenon
τετριμμένων	tetrimménɔːn
τετριμμένων	tɛtrimmɛnon
τετρώκοντα	tetrokonda
τετρώκοντα	tetrokonta
τετρώκοντα	tetrɔ̌ːkonta
τετρώκοντα	tɛtrokonta
τεττίγων	tetiɣon
τεττίγων	tettiɣon
τεττίγων	tettǐːɡɔːn
τεττίγων	tɛttiɡon
τετυγμένα	tetiɣmena
τετυγμένα	tetyŋména
τετυγμένα	tetyŋménaː
τετυγμένα	tetyɣmena
τετυγμένα	tɛtyɡmɛna
τετυγμένον	tetiɣmenon
τετυγμένον	tetyŋménon
τετυγμένον	tetyɣmenon
τετυγμένον	tɛtyɡmɛnon
τετυγμένοσ	tetiɣmenos
τετυγμένοσ	tetyŋménos
τετυγμένοσ	tetyɣmenos
τετυγμένοσ	tɛtyɡmɛnos
τετύκοντο	tetikondo
τετύκοντο	tetykonto
τετύκοντο	tetýkonto
τετύκοντο	tɛtykonto
τευ	teu̯
τευ	tev
τευ	tew
τευ	teβ
τεῦκροσ	tefkros
τεῦκροσ	teɸkros
τεῦκροσ	teʍkros
τεῦκροσ	têu̯kros
τεῦτλον	teftlon
τεῦτλον	teɸtlon
τεῦτλον	teʍtlon
τεῦτλον	têu̯tlon
τεῦχοσ	tefxos
τεῦχοσ	teɸxos
τεῦχοσ	teʍkʰos
τεῦχοσ	têu̯kʰos
τευθίσ	tefθis
τευθίσ	teu̯tʰís
τευθίσ	teɸθis
τευθίσ	teʍtʰis
τευκρόσ	tefkros
τευκρόσ	teu̯krós
τευκρόσ	teɸkros
τευκρόσ	teʍkros
τευτάζω	teftazo
τευτάζω	teu̯tázdɔː
τευτάζω	teɸtazo
τευτάζω	teʍtazo
τεχνῖτισ	tekʰnîːtis
τεχνῖτισ	texnitis
τεχνῖτισ	tɛkʰnitis
τεχνογράφοσ	tekʰnoɡrápʰos
τεχνογράφοσ	texnoɣrafos
τεχνογράφοσ	texnoɣraɸos
τεχνογράφοσ	tɛkʰnoɡrapʰos
τεχνολογία	texnoloɣia
τεχνολογία	texnoloʝia
τεχνολογία	tɛkʰnoloɡia
τεχνολογίασ	texnoloɣias
τεχνολογίασ	texnoloʝias
τεχνολογίασ	tɛkʰnoloɡias
τεχνολογιῶν	texnoloɣion
τεχνολογιῶν	texnoloʝion
τεχνολογιῶν	tɛkʰnoloɡion
τεχνολόγε	texnoloɣe
τεχνολόγε	texnoloʝe
τεχνολόγε	tɛkʰnoloɡɛ
τεχνολόγοι	texnoloɣy
τεχνολόγοι	texnoloʝi
τεχνολόγοι	texnoloʝy
τεχνολόγοι	tɛkʰnoloɡy
τεχνολόγοσ	texnoloɣos
τεχνολόγοσ	tɛkʰnoloɡos
τεχνολόγου	texnoloɣu
τεχνολόγου	tɛkʰnoloɡu
τεχνολόγουσ	texnoloɣus
τεχνολόγουσ	tɛkʰnoloɡus
τεχνολόγων	texnoloɣon
τεχνολόγων	tɛkʰnoloɡon
τεόν	teon
τεόν	teón
τεόν	tɛon
τεόσ	teos
τεόσ	tewós
τεόσ	tɛos
τεύθρασ	tefθras
τεύθρασ	teu̯tʰraːs
τεύθρασ	teɸθras
τεύθρασ	teʍtʰras
τεύθριον	tefkrion
τεύθριον	teɸkrion
τεύθριον	teʍkrion
τεύθριον	těu̯krion
τεύκριον	tefkrion
τεύκριον	teɸkrion
τεύκριον	teʍkrion
τεύκριον	těu̯krion
τεύτονεσ	afsones
τεύτονεσ	aɸsones
τεύτονεσ	aʍsonɛs
τεύτονεσ	ǎu̯sones
τεύτων	tefton
τεύτων	teɸton
τεύχε'	tefçe
τεύχε'	teɸxe
τεύχε'	teʍkʰɛ
τεύχε'	těu̯kʰe
τεύχεα	tefçea
τεύχεα	teɸxea
τεύχεα	teʍkʰɛa
τεύχεα	těu̯kʰea
τεύχεσι	tefçesi
τεύχεσι	teɸxesi
τεύχεσι	teʍkʰɛsi
τεύχεσι	těu̯kʰesi
τεύχεσιν	tefçesin
τεύχεσιν	teɸxesin
τεύχεσιν	teʍkʰɛsin
τεύχεσιν	těu̯kʰesin
τεύχη	tefçi
τεύχη	teɸxi
τεύχη	teʍkʰe
τεύχη	těu̯kʰɛː
τεύχω	tefxo
τεύχω	teɸxo
τεύχω	teʍkʰo
τεύχω	těu̯kʰɔː
τζέτζησ	tzdétzdɛːs
τζέτζησ	tzetzis
τζέτζησ	tzɛtzes
τζίνιστα	tzinista
τῆ	te
τῆ	ti
τῆ	tɛ̂ː
τῆι	te
τῆι	ti
τῆι	tɛ̂ːi̯
τῆιδε	tedɛ
τῆιδε	tiðe
τῆιδε	tɛ̂ːi̯de
τῆισ	tes
τῆισ	tis
τῆισ	tɛ̂ːi̯s
τῆισι	tesi
τῆισι	tisi
τῆισι	tɛ̂ːi̯si
τῆισιν	tesin
τῆισιν	tisin
τῆισιν	tɛ̂ːi̯sin
τῆλ'	tel
τῆλ'	til
τῆλ'	tɛ̂ːl
τῆλε	telɛ
τῆλε	tile
τῆλε	tɛ̂ːle
τῆλισ	telis
τῆλισ	tilis
τῆλισ	tɛ̂ːlis
τῆλοσ	telos
τῆλοσ	tilos
τῆλοσ	tɛ̂ːlos
τῆμνοσ	temnos
τῆμνοσ	timnos
τῆμνοσ	tɛ̂ːmnos
τῆμοσ	temos
τῆμοσ	timos
τῆμοσ	tɛ̂ːmos
τῆνοσ	tenos
τῆνοσ	tinos
τῆνοσ	tɛ̂ːnos
τῆξισ	teksis
τῆξισ	tiksis
τῆξισ	tɛ̂ːksis
τῆσ	tes
τῆσ	tis
τῆσ	tɛ̂ːs
τῆσδε	tezdɛ
τῆσδε	tizðe
τῆσδε	tɛ̂ːzde
τηθύσ	tetʰys
τηθύσ	tiθis
τηθύσ	tiθys
τηθύσ	tɛːtʰy̌ːs
τηλέμαχ'	telɛmakʰ
τηλέμαχ'	tilemax
τηλέμαχ'	tɛːlémakʰ
τηλέμαχε	telɛmakʰɛ
τηλέμαχε	tilemaxe
τηλέμαχε	tilemaçe
τηλέμαχε	tɛːlémakʰe
τηλέμαχον	telɛmakʰon
τηλέμαχον	tilemaxon
τηλέμαχον	tɛːlémakʰon
τηλέμαχοσ	telɛmakʰos
τηλέμαχοσ	tilemaxos
τηλέμαχοσ	tɛːlémakʰos
τηλέπυλοσ	telɛpylos
τηλέπυλοσ	tilepilos
τηλέπυλοσ	tilepylos
τηλέπυλοσ	tɛːlépylos
τηλέφιον	telɛpʰion
τηλέφιον	tilefion
τηλέφιον	tileɸion
τηλέφιον	tɛːlépʰion
τηλία	telia
τηλία	tilia
τηλία	tɛːlíaː
τηλίκοσ	telikos
τηλίκοσ	tilikos
τηλίκοσ	tɛːlíkos
τηλίνη	teline
τηλίνη	tilini
τηλίνη	tɛːlínɛː
τηλαυγήσ	telawɡes
τηλαυγήσ	tilavʝis
τηλαυγήσ	tilaβɣis
τηλαυγήσ	tɛːlau̯ɡɛ̌ːs
τηλεμάχοιο	telɛmakʰyo
τηλεμάχοιο	tilemaxyo
τηλεμάχοιο	tilemaçio
τηλεμάχοιο	tilemaçyo
τηλεμάχοιο	tɛːlemákʰoi̯o
τηλεμάχου	telɛmakʰu
τηλεμάχου	tilemaxu
τηλεμάχου	tɛːlemákʰoː
τηλεμάχωι	telɛmakʰo
τηλεμάχωι	tilemaxo
τηλεμάχωι	tɛːlemákʰɔːi̯
τηλοῦ	telu
τηλοῦ	tilu
τηλοῦ	tɛːlôː
τηλόθεν	telotʰɛn
τηλόθεν	tiloθen
τηλόθεν	tɛːlótʰen
τηλόθι	telotʰi
τηλόθι	tiloθi
τηλόθι	tɛːlótʰi
τημελέω	temɛlɛo
τημελέω	timeleo
τημελέω	tɛːmeléɔː
τημενίδησ	temɛnides
τημενίδησ	timeniðis
τημενίδησ	tɛːmenídɛːs
τηρέω	terɛo
τηρέω	tireo
τηρέω	tɛːréɔː
τηρείη	terie
τηρείη	tirii
τηρείη	tɛːrěːɛː
τηρεύσ	tereʍs
τηρεύσ	tirefs
τηρεύσ	tireɸs
τηρεύσ	tɛːrěu̯s
τηρόσ	teros
τηρόσ	tiros
τηρόσ	tɛːrós
τητινόσ	tetinos
τητινόσ	titinos
τητινόσ	tɛːtinós
τηΰσιοσ	teysios
τηΰσιοσ	tiisios
τηΰσιοσ	tiysios
τηΰσιοσ	tɛːýsios
τι	ti
τῖλοσ	tilos
τῖλοσ	tîːlos
τῖον	tion
τῖον	tîːon
τιάρα	tiara
τιάρα	tiǎːraː
τιαραντόσ	tiarandos
τιαραντόσ	tiarantos
τιαραντόσ	tiarantós
τιβέριοσ	tibérios
τιβέριοσ	tibɛrios
τιβέριοσ	tiverios
τιβέριοσ	tiβerios
τιβήν	tiben
τιβήν	tibɛ̌ːn
τιβήν	tivin
τιβήν	tiβin
τιβαρηνοί	tibareny
τιβαρηνοί	tibarɛːnǒi̯
τιβαρηνοί	tivarini
τιβαρηνοί	tivariny
τιβαρηνοί	tiβariny
τιβαρηνόσ	tibarenos
τιβαρηνόσ	tibarɛːnós
τιβαρηνόσ	tivarinos
τιβαρηνόσ	tiβarinos
τιβεριάσ	tiberiás
τιβεριάσ	tibɛrias
τιβεριάσ	tiverias
τιβεριάσ	tiβerias
τιγράνησ	tiɡranes
τιγράνησ	tiɡrǎːnɛːs
τιγράνησ	tiɣranis
τιγρανόκερτα	tiɡranokɛrta
τιγρανόκερτα	tiɡraːnókerta
τιγρανόκερτα	tiɣranocerta
τιγρανόκερτα	tiɣranokerta
τιθήνη	titʰene
τιθήνη	titʰɛ̌ːnɛː
τιθήνη	tiθini
τιθορέα	titʰoréa
τιθορέα	titʰorɛa
τιθορέα	tiθorea
τιθραύστησ	titʰraʍstes
τιθραύστησ	titʰrǎu̯stɛːs
τιθραύστησ	tiθrafstis
τιθραύστησ	tiθraɸstis
τιθρώνιον	titʰronion
τιθρώνιον	titʰrɔ̌ːnion
τιθρώνιον	tiθronion
τιθωνόσ	titʰonos
τιθωνόσ	tiθonos
τιθωνόσ	tiːtʰɔːnós
τιθύμαλλοσ	titʰymallos
τιθύμαλλοσ	titʰýmallos
τιθύμαλλοσ	tiθimalos
τιθύμαλλοσ	tiθymallos
τιμά	tima
τιμά	tiːmǎː
τιμάνθησ	timantʰes
τιμάνθησ	timanθis
τιμάνθησ	tiːmántʰɛːs
τιμάσ	timas
τιμάσ	tiːmǎːs
τιμάω	timao
τιμάω	tiːmáɔː
τιμή	time
τιμή	timi
τιμή	tiːmɛ̌ː
τιμήν	timen
τιμήν	timin
τιμήν	tiːmɛ̌ːn
τιμαί	time
τιμαί	timɛ
τιμαί	tiːmǎi̯
τιμαῖν	timen
τιμαῖν	timɛn
τιμαῖν	tiːmâi̯n
τιμαῖσ	times
τιμαῖσ	timɛs
τιμαῖσ	tiːmâi̯s
τιμασίων	timasion
τιμασίων	tiːmaːsíɔːn
τιμῆι	time
τιμῆι	timi
τιμῆι	tiːmɛ̂ːi̯
τιμῆσ	times
τιμῆσ	timis
τιμῆσ	tiːmɛ̂ːs
τιμητικόσ	timetikos
τιμητικόσ	timitikos
τιμητικόσ	tiːmɛːtikós
τιμοκράτησ	timokrates
τιμοκράτησ	timokratis
τιμοκράτησ	tiːmokrátɛːs
τιμοκρέων	timokreon
τιμοκρέων	timokrɛon
τιμοκρέων	tiːmokréɔːn
τιμολέων	timoleon
τιμολέων	timolɛon
τιμολέων	tiːmoléɔːn
τιμοσθένησ	timostʰɛnes
τιμοσθένησ	timosθenis
τιμοσθένησ	tiːmostʰénɛːs
τιμοφάνησ	timofanis
τιμοφάνησ	timopʰanes
τιμοφάνησ	timoɸanis
τιμοφάνησ	tiːmopʰánɛːs
τιμῶ	timo
τιμῶ	tiːmɔ̂ː
τιμῶν	timon
τιμῶν	tiːmɔ̂ːn
τιμῶναξ	timonaks
τιμῶναξ	tiːmɔ̂ːnaks
τιμωρέω	timoreo
τιμωρέω	timorɛo
τιμωρέω	tiːmɔːréɔː
τιμωρία	timoria
