və	vˈæ
biçənəklər	bit͡ʃænæçlˈær
bişirir	biʃiɾˈir
blokadası	bɫocadasˈɯ
blokun	bɫocˈun
blokunda	bɫocundˈa
bolqarlar	boɫɡarɫˈar
borclar	bord͡ʒɫˈar
boruşəkilli	boɾuʃæcillˈi
boylarından	bojɫaɾɯndˈan
boşalan	boʃaɫˈan
bronxların	bronxɫaɾˈɯn
bubon	bubˈon
bucaqları	bud͡ʒaɡɫaɾˈɯ
bulvarı	buɫvaɾˈɯ
buraxmalı	buɾaxmaɫˈɯ
burjuaziyası	burʒuazijasˈɯ
buxtalar	buxtaɫˈar
buxtanın	buxtanˈɯn
buğumlar	buːmɫˈar
buğumların	buːmɫaɾˈɯn
buğumun	buːmˈun
böhranla	bœhranɫˈa
bölünməsindən	bœlynmæsindˈæn
böyütdü	bœjytdˈy
böyüyünün	bœjyjynˈyn
bünövrəsinin	bynœvræsinˈin
bürosuna	byɾosunˈa
bütpərəstlik	bytpæɾæstlˈiç
bəbirlər	bæbirlˈær
bədiilik	bædiilˈiç
bədənlərində	bædænlæɾˈindæ
bədəvi	bædævˈi
bəhrələnən	bæhrælænˈæn
bəladan	bæɫadˈan
bərabərində	bæɾabæɾˈindæ
bəyliyin	bæjlijˈin
bəyənmişdir	bæjænmiʃdˈir
canlanması	d͡ʒanɫanmasˈɯ
cazibədarlığı	d͡ʒazibædarɫɯɯˈɯ
ciddiliyi	d͡ʒiddilijˈi
cihaza	d͡ʒihazˈa
cildli	d͡ʒildlˈi
cildə	d͡ʒˈildæ
cinayətkarlara	d͡ʒinajætcarɫaɾˈa
cinayətlərdən	d͡ʒinajætlærdˈæn
cisminə	d͡ʒismˈinæ
cm	d͡ʒˌeˈem
coğrafiyaçı	d͡ʒoːɾafijat͡ʃˈɯ
cümləni	d͡ʒymlænˈi
cütlüyünün	d͡ʒytlyjynˈyn
cəhdlərdən	d͡ʒæhdlærdˈæn
cəhdlərindən	d͡ʒæhdlæɾindˈæn
cəhətlərinin	d͡ʒæhætlæɾinˈin
cəhətə	d͡ʒæhˈætæ
cəmlənmiş	d͡ʒæmlænmˈiʃ
cəmlənməsi	d͡ʒæmlænmæsˈi
cəzalandırılmasını	d͡ʒæzaɫandɯɾɯɫmasɯnˈɯ
cəzaçəkmə	d͡ʒæzat͡ʃˈæçmæ
danışdığımız	danɯʃdɯɯɯmˈɯz
darvazanın	darvazanˈɯn
dastanların	dastanɫaɾˈɯn
daxilindədir	daxilindædˈir
dağlarındakı	daːɫaɾɯndacˈɯ
dağlıların	daːɫɯɫaɾˈɯn
dağıldığından	daːɯɫdɯɯɯndˈan
dağıtmış	daːɯtmˈɯʃ
daşlarına	daʃɫaɾɯnˈa
daşıdığına	daʃɯdɯɯɯnˈa
daşında	daʃɯndˈa
dekabrdan	decabrdˈan
deltanın	deltanˈɯn
deməkdən	demæçdˈæn
deyilməkdədir	dejilmæçdædˈir
deyilənlər	dejilænlˈær
deyilənləri	dejilænlæɾˈi
deşikdən	deʃiçdˈæn
dinlənilən	dinlænilˈæn
dirəkləri	diɾæçlæɾˈi
diskussiya	discˈussia
dispetçer	dispett͡ʃˈer
distal	distˈaɫ
divizionda	diviziondˈa
dişciklər	diʃd͡ʒiçlˈær
dolanaraq	doɫanaɾˈax
dolaşmaqdadır	doɫaʃmaɡdadˈɯr
dolduruldu	doɫduɾuɫdˈu
dolların	doɫɫaɾˈɯn
dondurulmuş	donduɾuɫmˈuʃ
doyma	dojmˈa
dozalarda	dozaɫardˈa
doğmuş	doːmˈuʃ
doğmuşdur	doːmuʃdˈur
doğruldur	doːɾuɫdˈur
doğrultdu	doːɾuɫtdˈu
doğumundan	doːumundˈan
dramaturgiyasında	dramaturɟijasɯndˈa
durumdan	duɾumdˈan
duyğulara	dujɣuɫaɾˈa
duyğusal	dujɣusˈaɫ
duyğusuna	dujɣusunˈa
dönəndən	dœnændˈæn
dörddəbir	dœrddæbˈir
dövlətçiliyin	dœvlætt͡ʃilijˈin
dövranına	dœvranɯnˈa
dövriyyəsində	dœvrijjæsˈindæ
döyüşdüyü	dœjyʃdyjˈy
dür	dˈyr
düyünlərində	dyjynlæɾˈindæ
düzülüş	dyzylˈyʃ
düzülüşlü	dyzylyʃlˈy
düzələn	dyzælˈæn
düşünürük	dyʃynyɾˈyç
dəftərində	dæftæɾˈindæ
dəftərxanasında	dæftærxanasɯndˈa
dəhlizinin	dæhlizinˈin
dəliyini	dælijinˈi
dəqiqləşdirilir	dæɡiɡlæʃdiɾilˈir
dəqiqələrində	dæɡiɡælæɾˈindæ
dərindir	dæɾindˈir
dərsdən	dærsdˈæn
dərəcəni	dæɾæd͡ʒænˈi
dəxli	dæxlˈi
dəyişikliyindən	dæjiʃiçlijindˈæn
dəyişikliyini	dæjiʃiçlijinˈi
dəyişilə	dæjiʃˈilæ
dəyməz	dæjmˈæz
dəyərləndirilirdi	dæjærlændiɾilirdˈi
dəyərləndirərək	dæjærlændiɾæɾˈæç
edilmədikdə	edilmædˈiçdæ
edilməsiylə	edilmæsˈijlæ
edilənlərdən	edilænlærdˈæn
ehtirasla	ehtiɾasɫˈa
ehtirasları	ehtiɾasɫaɾˈɯ
eksperimentləri	eçspeɾimentlæɾˈi
ekssentrik	eçssentrˈiç
ekstaz	eçstˈaz
elastikdir	eɫastiçdˈir
elektrikin	eleçtricˈin
elementlərdir	elementlærdˈir
eleqant	eleɡˈant
elitar	elitˈar
elədilər	elædilˈær
endirim	endiɾˈim
enerjidir	enerʒidˈir
entomologiya	entomoɫˈoɟia
eol	eˈoɫ
etibari	et͡sibaɾˈi
etimadsızlıq	et͡simadsɯzɫˈɯx
etirazçıların	et͡siɾazt͡ʃɯɫaɾˈɯn
etmədikdə	etmædˈiçdæ
etüd	et͡sˈyd
evliliyini	evlilijinˈi
eyniliyi	ejnilijˈi
ezoterik	ezoteɾˈiç
eşikağası	eʃicaːsˈɯ
eşqə	ˈeʃɡæ
fabrikin	fabricˈin
faciədən	fad͡ʒiædˈæn
faktorunun	façtoɾunˈun
fanatların	fanatɫaɾˈɯn
fantaziyası	fantazijasˈɯ
farslara	farsɫaɾˈa
faydalanmışdır	fajdaɫanmɯʃdˈɯr
fermaları	fermaɫaɾˈɯ
fermerlərə	fermerlˈæɾæ
festivalına	festivaɫɯnˈa
fevralına	fevraɫɯnˈa
fikirə	ficˈiɾæ
filinin	filinˈin
formalarıdır	formaɫaɾɯdˈɯr
fotonun	fotonˈun
frontal	frontˈaɫ
funksiyalı	funçsijaɫˈɯ
fəallar	fæaɫɫˈar
fəhlənin	fæhlænˈin
fəndlər	fændlˈær
fərmanın	færmanˈɯn
fərqlidirlər	færɡlidirlˈær
fərqləndiyi	færɡlændijˈi
fərqsizlik	færɡsizlˈiç
gecədən	ɟed͡ʒædˈæn
gedək	ɟedˈæç
gedənə	ɟedˈænæ
geofizika	ɟeofizicˈa
germanium	ɟermaniˈum
gerçəkləşdirilməsi	ɟert͡ʃæçlæʃdiɾilmæsˈi
getman	ɟetmˈan
geyinirdi	ɟejinirdˈi
gilin	ɟilˈin
giləmeyvədir	ɟilæmejvædˈir
gimnaziyanın	ɟimnazijanˈɯn
gursulu	ɟursuɫˈu
gursululuq	ɟursuɫuɫˈux
gurultusu	ɟuɾuɫtusˈu
gön	ɟˈœn
göndərildiyini	ɟœndæɾildijinˈi
göndərişi	ɟœndæɾiʃˈi
görkəmə	ɟœrcˈæmæ
görmürdü	ɟœrmyrdˈy
görməkdə	ɟœrmˈæçdæ
görməmişdi	ɟœrmæmiʃdˈi
görün	ɟœɾˈyn
görünmürdü	ɟœɾynmyrdˈy
görünmə	ɟœɾˈynmæ
görünməsini	ɟœɾynmæsinˈi
görünəcək	ɟœɾynæd͡ʒˈæç
görüşlərindən	ɟœɾyʃlæɾindˈæn
görərsə	ɟœɾˈærsæ
göstəricilərlə	ɟœstæɾid͡ʒilˈærlæ
göstəriləcək	ɟœstæɾilæd͡ʒˈæç
göstərişlərinə	ɟœstæɾiʃlæɾˈinæ
göstərməyin	ɟœstærmæjˈin
götürdükdən	ɟœt͡syrdyçdˈæn
götürüldükdən	ɟœt͡syɾyldyçdˈæn
götürüldüyünü	ɟœt͡syɾyldyjynˈy
götürək	ɟœt͡syɾˈæç
gövdədə	ɟœvdˈædæ
gözətçisi	ɟœzætt͡ʃisˈi
gücləndirərək	ɟyd͡ʒlændiɾæɾˈæç
güllələnmiş	ɟyllælænmˈiʃ
güllələr	ɟyllælˈær
güllənin	ɟyllænˈin
gümbəzli	ɟymbæzlˈi
günahların	ɟynahɫaɾˈɯn
gündəlikdə	ɟyndælˈiçdæ
gündəliyinə	ɟyndælijˈinæ
güvənən	ɟyvænˈæn
güzəranı	ɟyzæɾanˈɯ
gəlməkdən	ɟælmæçdˈæn
gəlməmiş	ɟælmæmˈiʃ
gəmiçiliyə	ɟæmit͡ʃilˈijæ
gənəsi	ɟænæsˈi
gətiriblər	ɟætiɾiblˈær
gətirməkdir	ɟætirmæçdˈir
gətirəcəyinə	ɟætiɾæd͡ʒæjˈinæ
gəzər	ɟæzˈær
hadisəsidir	hadisæsidˈir
haker	hacˈer
hardan	hardˈan
hazırlamaqdan	hazɯrɫamaɡdˈan
hazırlıqla	hazɯrɫɯɡɫˈa
hazırlığında	hazɯrɫɯɯɯndˈa
haşiyəsi	haʃijæsˈi
helikopterin	helicopteɾˈin
helikopterinin	helicopteɾinˈin
heroin	heɾoˈin
hesablamağa	hesabɫamˈaː
hesablana	hesabɫanˈa
hesablanıb	hesabɫanˈɯb
hesablaşma	hesabɫaʃmˈa
heykəlciyi	hejcæld͡ʒijˈi
heykəldə	hejcˈældæ
hidrostatik	hidrostatˈiç
hikməti	hiçmætˈi
hüdudlanır	hydudɫanˈɯr
hüdudsuz	hydudsˈuz
hündürlüyündən	hyndyrlyjyndˈæn
həkimlərdən	hæcimlærdˈæn
həmahəng	hæmahˈænɟ
həmkarlarına	hæmcarɫaɾɯnˈa
həmyerliləri	hæmjerlilæɾˈi
həmyerlimiz	hæmjerlimˈiz
həndəsəsi	hændæsæsˈi
həqiqətdən	hæɡiɡætdˈæn
hərarətlə	hæɾaɾˈætlæ
hərbində	hærbˈindæ
hərfindən	hærfindˈæn
həvəssiz	hævæssˈiz
həyətindəki	hæjætindæcˈi
həzmə	hˈæzmæ
icazəsini	id͡ʒazæsinˈi
icmalarına	id͡ʒmaɫaɾɯnˈa
id	ˈid
ikidilli	icidillˈi
ikincinin	icind͡ʒinˈin
ikonalar	iconaɫˈar
ikonası	iconasˈɯ
ikrah	içrˈah
imanlı	imanɫˈɯ
imtahana	imtahanˈa
imzalanmışdı	imzaɫanmɯʃdˈɯ
infeksiyasının	infeçsijasɯnˈɯn
infuzorlar	infuzorɫˈar
ingilislərdən	inɟilislærdˈæn
inkvizisiya	inçvizˈisia
intensivliyinə	intensivlijˈinæ
inteqrativ	inteɡratˈiv
intoksikasiya	intoçsicˈasia
ionlaşdırıcı	ionɫaʃdɯɾɯd͡ʒˈɯ
ionunun	ionunˈun
ipəkçiliyin	ipæçt͡ʃilijˈin
iqlimini	iɡliminˈi
iqtibas	iɡtibˈas
islahatlardan	isɫahatɫardˈan
islahatlarının	isɫahatɫaɾɯnˈɯn
israf	isrˈaf
israilli	isra͡ɪllˈi
istedadından	istedadɯndˈan
istehsalçılarının	istehsaɫt͡ʃɯɫaɾɯnˈɯn
istifadəçilərinə	istifadæt͡ʃilæɾˈinæ
istiliklə	istilˈiçlæ
itdi	itdˈi
itirdikləri	it͡sirdiçlæɾˈi
itlərə	itlˈæɾæ
ittifaqında	ittifaɡɯndˈa
ixtisaslaşması	ixtisasɫaʃmasˈɯ
iydə	ˈijdæ
iysiz	ijsˈiz
izinin	izinˈin
izləməsi	izlæmæsˈi
izlənildi	izlænildˈi
izləyicinin	izlæjid͡ʒinˈin
içkilərdən	it͡ʃcilærdˈæn
işlənməsini	iʃlænmæsinˈi
işıqlandırılan	iʃɯɡɫandɯɾɯɫˈan
işıqsevəndir	iʃɯɡsevændˈir
janrlara	ʒanrɫaɾˈa
kabinəsi	cabinæsˈi
kabusu	cabusˈu
kadrlarla	cadrɫarɫˈa
kafirlərin	cafirlæɾˈin
kamfora	camfoɾˈa
kamin	camˈin
kampaniyalar	campanijaɫˈar
kantri	cantrˈi
kara	caɾˈa
karyeraya	carjeɾajˈa
katibə	catˈibæ
katod	catˈod
keyfiyyətində	cejfijjætˈindæ
keçilər	cet͡ʃilˈær
keçirdikdə	cet͡ʃirdˈiçdæ
keçmələri	cet͡ʃmælæɾˈi
keçənə	cet͡ʃˈænæ
kifayətlənmək	cifajætlænmˈæç
kimidə	cimˈidæ
kimisi	cimisˈi
kimliyinin	cimlijinˈin
kimyaya	cimjajˈa
kitabxanasıdır	citabxanasɯdˈɯr
kişik	ciʃˈiç
koalisiyasının	coalisijasɯnˈɯn
koda	codˈa
kodunun	codunˈun
kofein	cofeˈin
kokain	cocˈa͡ɪn
kolluqların	coɫɫuɡɫaɾˈɯn
kolxoza	coɫxozˈa
komandirin	comandiɾˈin
kompaniyalar	companijaɫˈar
komponentini	componentinˈi
konsaltinq	consaɫtˈinx
konservatoriyanın	conservatoɾijanˈɯn
koordinatlarını	coordinatɫaɾɯnˈɯ
kostyumun	costjumˈun
krallıqları	çraɫɫɯɡɫaɾˈɯ
kraterlər	çraterlˈær
kreslo	çresɫˈo
kristallaşır	çristaɫɫaʃˈɯr
kurortları	cuɾortɫaɾˈɯ
kvadratlar	çvadratɫˈar
kölgəlik	cœlɟælˈiç
körfəzdə	cœrfˈæzdæ
körpüsünə	cœrpysˈynæ
köçürdülər	cœt͡ʃyrdylˈær
köçürüldüyü	cœt͡ʃyɾyldyjˈy
kürəyə	cyɾˈæjæ
kədərlənir	cædærlænˈir
kəhrəba	cæhræbˈa
kəkili	cæcilˈi
kəm	cˈæm
kəndindəndir	cændindændˈir
kərpiç	cærpˈit͡ʃ
kəsikləri	cæsiçlæɾˈi
kəslərə	cæslˈæɾæ
laboratoriyanın	ɫaboɾatoɾijanˈɯn
landşaftlarının	ɫandʃaftɫaɾɯnˈɯn
lazimi	ɫazimˈi
leksikası	leçsicasˈɯ
libası	libasˈɯ
liderliyindəki	liderlijindæcˈi
likvidlik	liçvidlˈiç
limonun	limonˈun
litrlik	litrlˈiç
lordu	ɫordˈu
lovğa	ɫovɣˈa
loyal	ɫojˈaɫ
lənətli	lænætlˈi
ləqəbinin	læɡæbinˈin
ləqəblər	læɡæblˈær
mahala	mahaɫˈa
maliyyələşdirir	malijjælæʃdiɾˈir
manifesti	manifestˈi
manqalar	manɡaɫˈar
manufaktura	manufaçtuɾˈa
market	marcˈet
marksizmin	marçsizmˈin
masasında	masasɯndˈa
maskasını	mascasɯnˈɯ
massivlərinin	massivlæɾinˈin
maşınqayırması	maʃɯnɡajɯrmasˈɯ
mediasının	mediasɯnˈɯn
melodiyalar	meɫodijaɫˈar
melodiyanı	meɫodijanˈɯ
membranla	membranɫˈa
meteor	met͡seˈor
metodika	metodicˈa
metropoliteninin	metropolit͡seninˈin
meyidini	mejidinˈi
meyilləri	mejillæɾˈi
meyllərini	mejllæɾinˈi
mezozoy	mezozˈoj
mikroblar	miçrobɫˈar
mikrodalğa	miçrodaɫɣˈa
minerallaşmaya	mineɾaɫɫaʃmajˈa
miqrantlar	miɡrantɫˈar
misqal	misɡˈaɫ
mitropolit	mitropolˈit
modelli	modellˈi
modernləşmə	modernlˈæʃmæ
modifikasiyaları	modificasijaɫaɾˈɯ
moment	momˈent
monarxiyasının	monarxijasɯnˈɯn
monax	monˈax
multikultural	muɫticuɫtuɾˈaɫ
mutasiyaya	mutasijajˈa
muxtəlif	muxtælˈif
möcüzələri	mœd͡ʒyzælæɾˈi
möhkəmliyinə	mœhcæmlijˈinæ
möhkəmlənmişdir	mœhcæmlænmiʃdˈir
möhürünü	mœhyɾynˈy
müftisi	myftisˈi
mühacirəti	myhad͡ʒiɾætˈi
mühazirəçi	myhaziɾæt͡ʃˈi
mühərriyi	myhærrijˈi
mükafatdan	mycafatdˈan
mükafatlandırılır	mycafatɫandɯɾɯɫˈɯr
mülkədarın	mylcædaɾˈɯn
mümkünsüzlüyü	mymcynsyzlyjˈy
münaqişələrdə	mynaɡiʃælˈærdæ
münbitliyinin	mynbitlijinˈin
müqəddəsi	myɡæddæsˈi
müraciətə	myɾad͡ʒiˈætæ
mürid	myɾˈid
müstəmləkəsinə	mystæmlæcæsˈinæ
müstəvisinə	mystævisˈinæ
mütəfəkkirin	mytæfæçciɾˈin
mütəxəssislərlə	mytæxæssislˈærlæ
müvəffəqiyyətinin	myvæffæɡijjætinˈin
müxalifətdə	myxalifˈætdæ
müxtəlifliyə	myxtæliflˈijæ
müşahidəçinin	myʃahidæt͡ʃinˈin
müəllimdən	myællimdˈæn
müəyyənləşdirilə	myæjjænlæʃdiɾˈilæ
məcmuələrində	mæd͡ʒmuælæɾˈindæ
məhdudlaşdırdı	mæhdudɫaʃdɯrdˈɯ
məhdudlaşdırılmışdır	mæhdudɫaʃdɯɾɯɫmɯʃdˈɯr
məhkumdur	mæhcumdˈur
məhkəmələrinin	mæhcæmælæɾinˈin
məhlulla	mæhɫuɫɫˈa
məhsuluna	mæhsuɫunˈa
məhəlləsinə	mæhællæsˈinæ
məmnunluq	mæmnunɫˈux
məməlilərdə	mæmælilˈærdæ
mənafelərinin	mænafelæɾinˈin
mənasından	mænasɯndˈan
mənasızdır	mænasɯzdˈɯr
mənimsənilmişdir	mænimsænilmiʃdˈir
mənimsəyə	mænimsˈæjæ
məntəqələr	mæntæɡælˈær
məntəqələrin	mæntæɡælæɾˈin
mənzərəyə	mænzæɾˈæjæ
məqaləyə	mæɡalˈæjæ
məqsədimiz	mæɡsædimˈiz
məruzəçi	mæɾuzæt͡ʃˈi
məsafəsinə	mæsafæsˈinæ
məsdər	mæsdˈær
məzhəbləri	mæzhæblæɾˈi
məğlubiyyətlər	mæːɫubijjætlˈær
məşhurlaşdıran	mæʃhurɫaʃdɯɾˈan
məşqçisidir	mæʃɡt͡ʃisidˈir
namazdan	namazdˈan
naqilin	naɡilˈin
nazirliyə	nazirlˈijæ
nefli	neflˈi
neftçilərinin	neftt͡ʃilæɾinˈin
neftçisi	neftt͡ʃisˈi
neftə	nˈeftæ
neştərşəkilli	neʃtærʃæcillˈi
nişangah	niʃanɟˈah
nişanına	niʃanɯnˈa
növlərindəndir	nœvlæɾindændˈir
nəqliyyata	næɡlijjatˈa
nəsrin	næsrˈin
nəsrində	næsrˈindæ
nəvə	nˈævæ
nəvələrindən	nævælæɾindˈæn
nəzəriyyəsidir	næzæɾijjæsidˈir
nəşriyyatın	næʃrijjatˈɯn
oblastında	obɫastɯndˈa
olacağam	oɫad͡ʒˈaːm
olarmış	oɫarmˈɯʃ
olayı	oɫajˈɯ
olmamasının	oɫmamasɯnˈɯn
olmamışlar	oɫmamɯʃɫˈar
olmasındadır	oɫmasɯndadˈɯr
olmayacaqdı	oɫmajad͡ʒaɡdˈɯ
olmurdular	oɫmurduɫˈar
olursan	oɫursˈan
ondakı	ondacˈɯ
onlan	onɫˈan
onqon	onɡˈon
operalarını	opeɾaɫaɾɯnˈɯ
operettasının	opeɾettasɯnˈɯn
opsion	opsiˈon
orfoqrafiya	orfoɡrˈafia
orijinalın	oɾiʒinaɫˈɯn
oriyentasiya	oɾijentˈasia
orkestra	orcestrˈa
ortaqlıq	ortaɡɫˈɯx
osmanlılarla	osmanɫɯɫarɫˈa
otaqlarını	otaɡɫaɾɯnˈɯ
otellərdə	otellˈærdæ
oturacaqlı	otuɾad͡ʒaɡɫˈɯ
oturtdu	oturtdˈu
ovalıqları	ovaɫɯɡɫaɾˈɯ
ovqat	ovɡˈat
oxatan	oxatˈan
oxdan	oxdˈan
oxunduğu	oxundˈuː
oxuyanlar	oxujanɫˈar
oxşarlığını	oxʃarɫɯɯɯnˈɯ
oymağında	ojmaːɯndˈa
oynamaqdan	ojnamaɡdˈan
oynamışdılar	ojnamɯʃdɯɫˈar
oynanıla	ojnanɯɫˈa
oyuncağı	ojund͡ʒaːˈɯ
oyunla	ojunɫˈa
oğlanlarının	oːɫanɫaɾɯnˈɯn
oğruların	oːɾuɫaɾˈɯn
oğula	oːuɫˈa
paketinə	pacet͡sˈinæ
paltarının	paɫtaɾɯnˈɯn
paradoks	paɾadˈoçs
paradoksal	paɾadoçsˈaɫ
parafinli	paɾafinlˈi
parallel	paɾaɫlˈel
parametrin	paɾametrˈin
parlamentar	parɫamentˈar
parlaqlığını	parɫaɡɫɯɯɯnˈɯ
partiyasında	partijasɯndˈa
partizanların	partizanɫaɾˈɯn
partladıb	partɫadˈɯb
partlayan	partɫajˈan
partlayışda	partɫajɯʃdˈa
parçalanmasında	part͡ʃaɫanmasɯndˈa
parçalanmasını	part͡ʃaɫanmasɯnˈɯ
paxlava	paxɫavˈa
payladı	pajɫadˈɯ
paylanmasının	pajɫanmasɯnˈɯn
piltdaun	piltdaˈun
pirolizi	piɾolizˈi
pisləşməyə	pislæʃmˈæjæ
planetdən	pɫanetdˈæn
planetləri	pɫanetlæɾˈi
planlaşdırdı	pɫanɫaʃdɯrdˈɯ
planlaşdırırdılar	pɫanɫaʃdɯɾɯrdɯɫˈar
plastikdən	pɫastiçdˈæn
plitələri	plitælæɾˈi
plitənin	plitænˈin
poemalarını	poemaɫaɾɯnˈɯ
polivinil	polivinˈil
polyarizasiya	poɫjaɾizˈasia
polşa	poɫʃˈa
populist	populˈist
populyasiyaların	popuɫjasijaɫaɾˈɯn
populyasiyalarının	popuɫjasijaɫaɾɯnˈɯn
portretdə	portrˈetdæ
povestinin	povestinˈin
pozduğuna	pozduːnˈa
pozması	pozmasˈɯ
pozulan	pozuɫˈan
poçtla	pot͡ʃtɫˈa
predmetini	predmet͡sinˈi
prinsiplərdən	prinsiplærdˈæn
provaslav	provasɫˈav
pyeslərində	pjeslæɾˈindæ
pər	pˈær
pəstah	pæstˈah
qabağındadır	ɡabaːɯndadˈɯr
qabiliyyətlərinə	ɡabilijjætlæɾˈinæ
qabıqdan	ɡabɯɡdˈan
qafqaz	ɡafɡˈaz
qalaktikalarda	ɡaɫaçticaɫardˈa
qalarsa	ɡaɫarsˈa
qaliblərinin	ɡaliblæɾinˈin
qalxanda	ɡaɫxandˈa
qalxmasını	ɡaɫxmasɯnˈɯ
qalxırlar	ɡaɫxɯrɫˈar
qalıqsız	ɡaɫɯɡsˈɯz
qanadda	ɡanaddˈa
qanunauyğunluğu	ɡanunaujɣunɫˈuː
qaralır	ɡaɾaɫˈɯr
qaranlıqdır	ɡaɾanɫɯɡdˈɯr
qartallar	ɡartaɫɫˈar
qarışıqlarının	ɡaɾɯʃɯɡɫaɾɯnˈɯn
qarşıdurmaları	ɡarʃɯdurmaɫaɾˈɯ
qarşımızda	ɡarʃɯmɯzdˈa
qatillərin	ɡatillæɾˈin
qatılaşdırılmış	ɡatɯɫaʃdɯɾɯɫmˈɯʃ
qatılığının	ɡatɯɫɯɯɯnˈɯn
qavramaq	ɡavramˈax
qayalıqların	ɡajaɫɯɡɫaɾˈɯn
qaynaqların	ɡajnaɡɫaɾˈɯn
qaynağıdır	ɡajnaːɯdˈɯr
qaytarılmış	ɡajtaɾɯɫmˈɯʃ
qayıqlara	ɡajɯɡɫaɾˈa
qazanlar	ɡazanɫˈar
qazanmasını	ɡazanmasɯnˈɯ
qaçar	ɡat͡ʃˈar
qaşı	ɡaʃˈɯ
qidalandırıcı	ɡidaɫandɯɾɯd͡ʒˈɯ
qisimini	ɡisiminˈi
qitəyə	ɡitˈæjæ
qiymətləndirilməsinin	ɡijmætlændiɾilmæsinˈin
qiymətləndirmişdi	ɡijmætlændirmiʃdˈi
qladiatorlar	ɡɫadiatorɫˈar
qocalma	ɡod͡ʒaɫmˈa
qocalmış	ɡod͡ʒaɫmˈɯʃ
qopmuş	ɡopmˈuʃ
qorumaqda	ɡoɾumaɡdˈa
qova	ɡovˈa
qovulduqdan	ɡovuɫduɡdˈan
qovşağın	ɡovʃaːˈɯn
qovşağının	ɡovʃaːɯnˈɯn
qoymalı	ɡojmaɫˈɯ
qoymurdu	ɡojmurdˈu
qoyular	ɡojuɫˈar
qoşulmasına	ɡoʃuɫmasɯnˈa
qoşulurdu	ɡoʃuɫurdˈu
qruplaşmaların	ɡrupɫaʃmaɫaɾˈɯn
qucağında	ɡud͡ʒaːɯndˈa
quma	ɡumˈa
qumluq	ɡumɫˈux
qumun	ɡumˈun
qurduğunu	ɡurduːnˈu
qurmasına	ɡurmasɯnˈa
qurtuluşu	ɡurtuɫuʃˈu
qurudurlar	ɡuɾudurɫˈar
qvardiyasının	ɡvardijasɯnˈɯn
qürurlu	ɡyɾurɫˈu
qıcıqlanması	ɡɯd͡ʒɯɡɫanmasˈɯ
qırqovul	ɡɯrɡovˈuɫ
qırğına	ɡɯrɣɯnˈa
qısqanc	ɡɯsɡˈand͡ʒ
qızartı	ɡɯzartˈɯ
qızlarına	ɡɯzɫaɾɯnˈa
qızması	ɡɯzmasˈɯ
qızmış	ɡɯzmˈɯʃ
qızılbaşlara	ɡɯzɯɫbaʃɫaɾˈa
qəbilədən	ɡæbilædˈæn
qəbiləyə	ɡæbilˈæjæ
qəbirstanlıq	ɡæbirstanɫˈɯx
qəbristanlıqda	ɡæbristanɫɯɡdˈa
qədimliyini	ɡædimlijinˈi
qəhrəmanımızın	ɡæhræmanɯmɯzˈɯn
qəhvənin	ɡæhvænˈin
qənimətlər	ɡænimætlˈær
qərarda	ɡæɾardˈa
qərbli	ɡærblˈi
radiusda	radiusdˈa
rahatsız	rahatsˈɯz
ramazan	ramazˈan
rayonlarındakı	rajonɫaɾɯndacˈɯ
razılaşmasına	razɯɫaʃmasɯnˈa
razılaşıb	razɯɫaʃˈɯb
reallaşmışdır	reaɫɫaʃmɯʃdˈɯr
reallıqları	reaɫɫɯɡɫaɾˈɯ
redaksiyada	redaçsijadˈa
redaktorlarından	redaçtorɫaɾɯndˈan
redaktorunun	redaçtoɾunˈun
referendumun	refeɾendumˈun
reformist	reformˈist
regionundan	reɟionundˈan
reklamında	reçɫamɯndˈa
respondent	respondˈent
respublikaçıların	respublicat͡ʃɯɫaɾˈɯn
reyestrinə	rejestrˈinæ
reytinqini	rejtinɡinˈi
rezident	rezidˈent
rezonansı	rezonansˈɯ
roll	rˈoɫl
run	rˈun
runik	runˈiç
ruslaşdırma	rusɫaʃdɯrmˈa
rəngbərəng	rænɟbæɾˈænɟ
rənglərinin	rænɟlæɾinˈin
rəqqasın	ræɡɡasˈɯn
rəsmlərindən	ræsmlæɾindˈæn
rəssamlıqla	ræssamɫɯɡɫˈa
saatdır	saatdˈɯr
sadiqlik	sadiɡlˈiç
sadiqliyini	sadiɡlijinˈi
sahəvi	sahævˈi
salanda	saɫandˈa
salnaməçisi	saɫnamæt͡ʃisˈi
salondan	saɫondˈan
salxımlarda	saɫxɯmɫardˈa
salındığını	saɫɯndɯɯɯnˈɯ
samurayların	samuɾajɫaɾˈɯn
saniyənin	sanijænˈin
saralır	saɾaɫˈɯr
satınalma	satɯnaɫmˈa
saxlamasına	saxɫamasɯnˈa
saxlanmaqdadır	saxɫanmaɡdadˈɯr
saxlanılmalıdır	saxɫanɯɫmaɫɯdˈɯr
saytından	sajtɯndˈan
sayğacı	sajɣad͡ʒˈɯ
sayılmırdı	sajɯɫmɯrdˈɯ
sağlamlığın	saːɫamɫɯɯˈɯn
serialdan	seɾiaɫdˈan
servisi	servisˈi
sevirdilər	sevirdilˈær
sevərlər	seværlˈær
seçimlərdə	set͡ʃimlˈærdæ
seçməli	set͡ʃmælˈi
seçməyi	set͡ʃmæjˈi
sidiyin	sidijˈin
siklop	siçɫˈop
sikveli	siçvelˈi
