ँ	ə̃
पायलट	päːjl̪əʈ
पायस	päːjəs̪
पाया	päːjäː
पार	päːɾ
पारगम्य	päːɾɡə̃mjᵊ
पारगम्यता	päːɾɡə̃mjət̪äː
पारदर्शी	päːɾd̪əɾʃiː
पारसी	päːɾs̪iː
पारसेक	päːɾs̪eːk
पारित	päːɾɪt̪
पारिवारिक	päːɾɪʋäːɾɪk
पारिश्रमिक	päːɾɪʃɾəmɪk
पारी	päːɾiː
पार्क	päːɾk
पार्थिव	päːɾt̪ʰɪʋ
पार्श्वसरट	päːɾʃʋᵊs̪əɾəʈ
पाल	päːl̪
पालक	päːl̪ək
पालकी	päːl̪kiː
पालतू	päːl̪t̪uː
पालथी	päːl̪t̪ʰiː
पालना	päːl̪n̪äː
पालिका	päːl̪ɪkäː
पाशा	päːʃäː
पाशुपत	päːʃʊpət̪
पाश्चात्य	päːʃt͡ʃäːt̪jᵊ
पाषाण	päːʃä̃ːɳ
पास	päːs̪
पासपोर्ट	päːs̪poːɾʈ
पास्ता	päːs̪t̪äː
पाहन	päːɦə̃n̪
पाहुना	päːɦʊn̪äː
पिंजड़ा	pɪ̃n̪d͡ʒɽäː
पिंजरा	pɪ̃n̪d͡ʒɾäː
पिघलना	pɪɡʱəl̪n̪äː
पिघलाना	pɪɡʱl̪äːn̪äː
पिचकना	pɪt͡ʃəkn̪äː
पिछड़ा	pɪt͡ʃʰɽäː
पिज़्ज़ा	pɪd̚d͡ʒäː
पिज़्ज़ा	pɪzzäː
पिता	pɪt̪äː
पिपासा	pɪpäːs̪äː
पिपीलिका	pɪpiːl̪ɪkäː
पियक्कड़	pijək̚kəɽ
पिया	pijäː
पिलाना	pɪl̪äːn̪äː
पिलास	pɪl̪äːs̪
पिल्ला	pɪl̪l̪äː
पिशाच	pɪʃäːt͡ʃ
पिसना	pɪs̪n̪äː
पिसाई	pɪs̪äːiː
पिस्ता	pɪs̪t̪äː
पिस्तौल	pɪs̪t̪ɔːl̪
पीएम	piːẽːm
पीतल	piːt̪əl̪
पीतस	piːt̪əs̪
पीतसरा	piːt̪əs̪ɾäː
पीन	pĩːn̪
पीनस	piːn̪əs̪
पीना	piːn̪äː
पीपल	piːpəl̪
पीपा	piːpäː
पीरियड	piːɾijəɖ
पीला	piːl̪äː
पीलापन	piːl̪äːpə̃n̪
पीसना	piːs̪n̪äː
पुंडरी	pʊ̃ɳɖɾiː
पुकारना	pʊkäːɾn̪äː
पुखराज	pʊkʰɾäːd͡ʒ
पुख़्ता	pʊkʰt̪äː
पुख़्ता	pʊxt̪äː
पुच्छ	pʊt̚t͡ʃʰ
पुच्छल	pʊt̚t͡ʃʰəl̪
पुजारी	pʊd͡ʒäːɾiː
पुट्ठा	pʊʈ̚ʈʰäː
पुड़िया	pʊɽijäː
पुण्डरी	pʊ̃ɳɖɾiː
पुण्य	pʊ̃ɳjᵊ
पुण्यतिथि	pʊ̃ɳjət̪ɪt̪ʰiː
पुतना	pʊt̪̚n̪äː
पुतला	pʊt̪l̪äː
पुतली	pʊt̪l̪iː
पुत्रजया	pʊt̪ɾᵊd͡ʒəjäː
पुदीना	pʊd̪iːn̪äː
पुनः	pʊn̪əɦ
पुनःप्रवेश	pʊn̪əɦpɾəʋeːʃ
पुनरुत्थान	pʊn̪əɾʊt̪̚t̪ʰä̃ːn̪
पुनर्गठन	pʊn̪əɾɡəʈʰə̃n̪
पुनर्जन्म	pʊn̪əɾd͡ʒən̪ə̃m
पुनर्जन्म	pʊn̪əɾd͡ʒə̃n̪m
पुनर्जीवित	pʊn̪əɾd͡ʒiːʋɪt̪
पुनर्दर्शनाय	pʊn̪əɾd̪əɾʃən̪äːj
पुनर्निर्धारण	pʊn̪əɾn̪ɪɾd̪ʱäːɾə̃ɳ
पुनर्निर्माण	pʊn̪əɾn̪ɪɾmä̃ːɳ
पुनश्च	pʊn̪əʃt͡ʃə
पुरज़ा	pʊɾd͡ʒäː
पुरज़ा	pʊɾzäː
पुरस्कार	pʊɾəs̪käːɾ
पुरा	pʊɾäː
पुराण	pʊɾä̃ːɳ
पुरातत्व	pʊɾäːt̪ət̪wᵊ
पुरातत्वज्ञ	pʊɾäːt̪ət̪wəɡj
पुरातात्विक	pʊɾäːt̪äːt̪wɪk
पुराना	pʊɾäːn̪äː
पुरुष	pʊɾʊʃ
पुरुषोचित	pʊɾʊʃoːt͡ʃɪt̪
पुर्तगाल	pʊɾt̪əɡäːl̪
पुर्तगाली	pʊɾt̪əɡäːl̪iː
पुल	pʊl̪
पुलिंदा	pʊl̪ɪ̃n̪d̪äː
पुलिस	pʊl̪ɪs̪
पुलिसकर्मी	pʊl̪ɪs̪kəɾmiː
पुल्लिंग	pʊl̪l̪ɪ̃ŋɡ
पुश्तैनी	pʊʃt̪ɛːn̪iː
पुष्कलावती	pʊʃkəl̪äːʋət̪iː
पुष्टीकरण	pʊʃʈiːkəɾə̃ɳ
पुष्प	pʊʃp
पुस्तक	pʊs̪t̪ək
पुस्तकालय	pʊs̪t̪əkäːl̪əj
पुस्तकीय	pʊs̪t̪əkiːjᵊ
पुस्तिका	pʊs̪t̪ɪkäː
पूंजी	pũːn̪d͡ʒiː
पूंजीवाद	pũːn̪d͡ʒiːʋäːd̪
पूंडरी	pũːɳɖɾiː
पूछताछ	puːt͡ʃʰt̪äːt͡ʃʰ
पूछना	puːt͡ʃʰn̪äː
पूजना	puːd͡ʒn̪äː
पूजा	puːd͡ʒäː
पूनम	puːn̪ə̃m
पूरा	puːɾäː
पूर्णकालिक	puːɾɳkäːl̪ɪk
पूर्णबंदी	puːɾɳbə̃n̪d̪iː
पूर्णांक	puːɾɳä̃ːk
पूर्णिमा	puːɾɳɪmäː
पूर्वकथन	puːɾʋəkt̪ʰə̃n̪
पूर्वस्नातक	puːɾʋs̪n̪äːt̪ək
पूर्वाग्रह	puːɾʋäːɡɾəɦ
पूर्वानुमान	puːɾʋäːn̪ʊmä̃ːn̪
पृथक्करण	pɾɪt̪ʰək̚kəɾə̃ɳ
पृष्ठभूमि	pɾɪʃʈʰbʱuːmiː
पेंशन	pẽːn̪ʃə̃n̪
पेंसिल	pẽːn̪s̪ɪl̪
पेचकस	peːt͡ʃkəs̪
पेचीदा	peːt͡ʃiːd̪äː
पेटेंट	peːʈẽːɳʈ
पेट्रोल	peːʈɾoːl̪
पेठा	peːʈʰäː
पेड़ा	peːɽäː
पेन	pẽːn̪
पेन्सिलवेनिया	pẽːn̪s̪ɪl̪ʋeːn̪ijäː
पेप्सी	peːps̪iː
पेय	peː
पेरिस	peːɾɪs̪
पेशवा	peːʃʋäː
पेशा	peːʃäː
पेशाब	peːʃäːb
पेशावर	peːʃäːʋəɾ
पैंट	pɛ̃ːɳʈ
पैंतरा	pɛ̃ːn̪t̪ɾäː
पैंतालीस	pɛ̃ːn̪t̪äːl̪iːs̪
पैंतीस	pɛ̃ːn̪t̪iːs̪
पैंसठ	pɛ̃ːn̪s̪əʈʰ
पैकार	pɛːkäːɾ
पैग़ाम	pɛːɡä̃ːm
पैग़ाम	pɛːɣä̃ːm
पैदाइश	pɛːd̪äːɪʃ
पैदाइशी	pɛːd̪äːɪʃiː
पैदावार	pɛːd̪äːʋäːɾ
पैना	pɛːn̪äː
पैमाना	pɛːmäːn̪äː
पैराग्वे	pɛːɾäːɡʋeː
पैरोकार	pɛːɾoːkäːɾ
पैसा	pɛːs̪äː
पोंछना	põːn̪t͡ʃʰn̪äː
पोका	poːkaː
पोखरा	poːkʰɾäː
पोतना	poːt̪̚n̪äː
पोता	poːt̪äː
पोपला	poːpl̪äː
पोलिश	poːl̪ɪʃ
पोलैंड	poːl̪ɛ̃ːɳɖ
पोशाक	poːʃäːk
पौंड	pɔ̃ːɳɖ
पौदा	pɔːd̪äː
पौधा	pɔːd̪ʱäː
पौन	pɔ̃ːn̪
पौना	pɔːn̪äː
पौने	pɔːn̪eː
पौराणिक	pɔːɾäːɳɪk
पौरुष	pɔːɾʊʃ
पौष	pɔːʃ
पौष्टिक	pɔːʃʈɪk
प्याऊ	pjäːuː
प्याज	pjäːd͡ʒ
प्याज	pjäːz
प्याज़	pjäːd͡ʒ
प्याज़	pjäːz
प्यादा	pjäːd̪äː
प्यार	pjäːɾ
प्यास	pjäːs̪
प्यासा	pjäːs̪äː
प्योंगचांग	pjõːŋɡt͡ʃä̃ːŋɡ
प्योंगचैंग	pjõːŋɡt͡ʃɛ̃ːŋɡ
प्योंगयांग	pjõːŋɡjä̃ːŋɡ
प्रकांड	pɾəkä̃ːɳɖ
प्रकार	pɾəkäːɾ
प्रकार्यात्मक	pɾəkäːɾjäːt̪mək
प्रकाश	pɾəkäːʃ
प्रकाशक	pɾəkäːʃək
प्रकाशन	pɾəkäːʃə̃n̪
प्रकासम	pɾəkäːs̪ə̃m
प्रकीर्णन	pɾəkiːɾɳə̃n̪
प्रक्रम	pɾəkɾə̃m
प्रक्रिया	pɾəkɾijäː
प्रक्षेपास्त्र	pɾəkʃeːpäːs̪t̪ɾᵊ
प्रक्षेप्य	pɾəkʃeːpjᵊ
प्रगतिवाद	pɾəɡət̪ɪʋäːd̪
प्रगतिवादी	pɾəɡət̪ɪʋäːd̪iː
प्रगतिशील	pɾəɡət̪ɪʃiːl̪
प्रचंड	pɾət͡ʃə̃ɳɖ
प्रचलित	pɾət͡ʃəl̪ɪt̪
प्रचार	pɾət͡ʃäːɾ
प्रचारक	pɾət͡ʃäːɾək
प्रचारिणी	pɾət͡ʃäːɾɪɳiː
प्रचारित	pɾət͡ʃäːɾɪt̪
प्रचारी	pɾət͡ʃäːɾiː
प्रजनन	pɾəd͡ʒən̪ə̃n̪
प्रजा	pɾəd͡ʒäː
प्रजातंत्र	pɾəd͡ʒäːt̪ə̃n̪t̪ɾᵊ
प्रजातंत्रवाद	pɾəd͡ʒäːt̪ə̃n̪t̪ɾəʋäːd̪
प्रज्वलित	pɾəd͡ʒʋəl̪ɪt̪
प्रण	pɾə̃ɳ
प्रणाम	pɾəɳä̃ːm
प्रणाली	pɾəɳäːl̪iː
प्रताड़ित	pɾət̪äːɽɪt̪
प्रताप	pɾət̪äːp
प्रतापी	pɾət̪äːpiː
प्रतिकर्षण	pɾət̪ɪkəɾʃə̃ɳ
प्रतिकर्षी	pɾət̪ɪkəɾʃiː
प्रतिक्रमण	pɾət̪ɪkɾəmə̃ɳ
प्रतिक्रिया	pɾət̪ɪkɾijäː
प्रतिक्रियावादी	pɾət̪ɪkɾijäːʋäːd̪iː
प्रतिच्छेद	pɾət̪ɪt̚t͡ʃʰeːd̪
प्रतिज्ञा	pɾət̪ɪɡjäː
प्रतिज्ञापन	pɾət̪ɪɡjäːpə̃n̪
प्रतिध्वनि	pɾət̪ɪd̪ʱʋən̪iː
प्रतिनिधि	pɾət̪ɪn̪ɪd̪ʱiː
प्रतिनिधित्व	pɾət̪ɪn̪ɪd̪ʱɪt̪wᵊ
प्रतिफल	pɾət̪ɪpʰəl̪
प्रतिबंध	pɾət̪ɪbə̃n̪d̪ʱ
प्रतिबंधित	pɾət̪ɪbə̃n̪d̪ʱɪt̪
प्रतिबिंब	pɾət̪ɪbɪ̃mb
प्रतिभा	pɾət̪ɪbʱäː
प्रतिमा	pɾət̪ɪmäː
प्रतिमाह	pɾət̪ɪmäːɦ
प्रतियोगिता	pɾət̪ijoːɡɪt̪äː
प्रतिरोधकता	pɾət̪ɪɾoːd̪ʱəkt̪äː
प्रतिलोम	pɾət̪ɪl̪õːm
प्रतिश्याय	pɾət̪ɪʃjäːj
प्रतिस्पर्धा	pɾət̪ɪs̪pəɾd̪ʱäː
प्रतीकात्मक	pɾət̪iːkäːt̪mək
प्रत्यक्षदर्शी	pɾət̪jəkʃd̪əɾʃiː
प्रत्यक्षीकरण	pɾət̪jəkʃiːkəɾə̃ɳ
प्रत्यर्पण	pɾət̪jəɾpə̃ɳ
प्रत्याशा	pɾət̪jäːʃäː
प्रत्याशी	pɾət̪jäːʃiː
प्रथमतः	pɾət̪ʰə̃mt̪əɦ
प्रदर्शन	pɾəd̪əɾʃə̃n̪
प्रदाता	pɾəd̪äːt̪äː
प्रदान	pɾəd̪ä̃ːn̪
प्रदूषण	pɾəd̪uːʃə̃ɳ
प्रधान	pɾəd̪ʱä̃ːn̪
प्रधानाचार्य	pɾəd̪ʱäːn̪äːt͡ʃäːɾjᵊ
प्रधानाध्यापक	pɾəd̪ʱäːn̪äːd̪ʱjäːpək
प्रबंध	pɾəbə̃n̪d̪ʱ
प्रबंधक	pɾəbə̃n̪d̪ʱək
प्रबंधकर्ता	pɾəbə̃n̪d̪ʱkəɾt̪äː
प्रबन्ध	pɾəbə̃n̪d̪ʱ
प्रबल	pɾəbəl̪
प्रभात	pɾəbʱäːt̪
प्रभारी	pɾəbʱäːɾiː
प्रभाव	pɾəbʱäːʋ
प्रभावकारी	pɾəbʱäːʋkäːɾiː
प्रभावित	pɾəbʱäːʋɪt̪
प्रभावी	pɾəbʱäːʋiː
प्रभुत्व	pɾəbʱʊt̪wᵊ
प्रमाण	pɾəmä̃ːɳ
प्रमाणभूत	pɾəmä̃ːɳbʱuːt̪
प्रयत्न	pɾəjət̪̚n̪ᵊ
प्रयत्नशील	pɾəjət̪̚n̪əʃiːl̪
प्रयास	pɾəjäːs̪
प्रयोगकर्ता	pɾəjoːɡkəɾt̪äː
प्रयोगशाला	pɾəjoːɡʃäːl̪äː
प्रयोगात्मक	pɾəjoːɡɑt̪mək
प्रयोजन	pɾəjoːd͡ʒə̃n̪
प्रलय	pɾəl̪əj
प्रवक्ता	pɾəʋəkt̪äː
प्रवचन	pɾəʋət͡ʃə̃n̪
प्रवास	pɾəʋäːs̪
प्रवाह	pɾəʋäːɦ
प्रविष्टि	pɾəʋɪʃʈiː
प्रवीण	pɾəʋĩːɳ
प्रवीणता	pɾəʋĩːɳt̪äː
प्रवृत्ति	pɾəʋɾɪt̪̚t̪iː
प्रशंसक	pɾəʃə̃n̪s̪ək
प्रशंसा	pɾəʃə̃n̪s̪äː
प्रशासक	pɾəʃäːs̪ək
प्रशासकीय	pɾəʃäːs̪əkiːjᵊ
प्रशासन	pɾəʃäːs̪ə̃n̪
प्रशासिक	pɾəʃäːs̪ɪk
प्रशिक्षण	pɾəʃɪkʃə̃ɳ
प्रश्न	pɾəʃn̪ə
प्रश्न	pɾəʃn̪ᵊ
प्रश्न	pɾəʃə̃n̪
प्रश्नोत्तर	pɾəʃn̪oːt̪̚t̪əɾ
प्रसंग	pɾəs̪ə̃ŋɡ
प्रसन्नता	pɾəs̪ə̃n̪n̪ᵊt̪äː
प्रसव	pɾəs̪əʋ
प्रसववेदना	pɾəs̪əʋʋeːd̪̚n̪äː
प्रसाद	pɾəs̪äːd̪
प्रसाधन	pɾəs̪äːd̪ʱə̃n̪
प्रसारित	pɾəs̪äːɾɪt̪
प्रसिद्धि	pɾəs̪ɪd̪̚d̪ʱiː
प्रस्ताव	pɾəs̪t̪äːʋ
प्रस्तावक	pɾəs̪t̪äːʋək
प्रस्तुत	pɾəs̪t̪ʊt̪
प्रस्तुति	pɾəs̪t̪ʊt̪iː
प्रस्थान	pɾəs̪t̪ʰä̃ːn̪
प्रहार	pɾəɦäːɾ
प्रांगार	pɾä̃ːŋɡäːɾ
प्रांत	pɾä̃ːn̪t̪
प्राकृत	pɾäːkɾɪt̪
प्राकृतिक	pɾäːkɾɪt̪ɪk
प्राक्कथन	pɾäːk̚kət̪ʰə̃n̪
प्रागितिहास	pɾäːɡɪt̪ɪɦäːs̪
प्रागैतिहासिक	pɾäːɡɛːt̪ɪɦäːs̪ɪk
प्राचल	pɾäːt͡ʃəl̪
प्राची	pɾäːt͡ʃiː
प्राचीन	pɾäːt͡ʃĩːn̪
प्राच्यलवक	pɾäːt͡ʃjəl̪əʋək
प्राण	pɾä̃ːɳ
प्राणवायु	pɾä̃ːɳwäːjuː
प्राणी	pɾäːɳiː
प्रातः	pɾäːt̪əɦ
प्राथमिक	pɾäːt̪ʰmɪk
प्रादेशिक	pɾäːd̪eːʃɪk
प्राधिकार	pɾäːd̪ʱɪkäːɾ
प्राधिकारी	pɾäːd̪ʱɪkäːɾiː
प्राध्यापक	pɾäːd̪ʱjäːpək
प्राप्त	pɾäːpt̪
प्राप्ति	pɾäːpt̪iː
प्राप्तिकर्ता	pɾäːpt̪ɪkəɾt̪äː
प्राप्तिका	pɾäːpt̪ɪkäː
प्राप्य	pɾäːpjᵊ
प्राप्यक	pɾäːpjək
प्रामाणिक	pɾäːmäːɳɪk
प्रायः	pɾäːjəɦ
प्रायद्वीप	pɾäːjd̪wiːp
प्रायापिज़्म	pɾäːjäːpɪd͡ʒm
प्रायापिज़्म	pɾäːjäːpɪzm
प्रायिकता	pɾäːjɪkt̪äː
प्रारंभ	pɾäːɾə̃mbʱ
प्रारंभिक	pɾäːɾə̃mbʱɪk
प्रारम्भ	pɾäːɾə̃mbʱ
प्रारम्भिक	pɾäːɾə̃mbʱɪk
प्रार्थना	pɾäːɾt̪ʰən̪äː
प्रावधान	pɾäːʋd̪ʱä̃ːn̪
प्रावृत्ति	pɾäːʋɾɪt̪̚t̪iː
प्रासंगिक	pɾäːs̪ə̃ŋɡɪk
प्रासंगिकता	pɾäːs̪ə̃ŋɡɪkt̪äː
प्रासाद	pɾäːs̪äːd̪
प्रासुक	pɾäːs̪ʊk
प्रिंस	pɾɪ̃n̪s̪
प्रिटोरिया	pɾɪʈoːɾijäː
प्रिय	pɾijᵊ
प्रिया	pɾijäː
प्रेक्षित	pɾeːkʃɪt̪
प्रेम	pɾẽːm
प्रेमिका	pɾeːmɪkäː
प्रेयसी	pɾeːjs̪iː
प्रेरणा	pɾeːɾɳäː
प्रेस	pɾeːs̪
प्रॉसिक्यूटर	pɾɔs̪ɪkjuːʈəɾ
प्रोग्राम	pɾoːɡɾä̃ːm
प्रोटीन	pɾoːʈĩːn̪
प्रोत्साहन	pɾoːt̪s̪äːɦə̃n̪
प्रोत्साहित	pɾoːt̪s̪äːɦɪt̪
प्रोस्टेट	pɾoːs̪ʈeːʈ
प्लाविका	pl̪äːʋɪkäː
प्लीज़	pl̪iːd͡ʒ
प्लीज़	pl̪iːz
प्लीहा	pl̪iːɦäː
फँसना	pʰə̃s̪n̪äː
फंदा	pʰə̃n̪d̪äː
फक्कड़	pʰək̚kəɽ
फटफटिया	pʰəʈpʰəʈijäː
फट्टू	pʰəʈ̚ʈuː
फड़फड़ाना	pʰəɽpʰəɽäːn̪äː
फफकना	pʰəpʰəkn̪äː
फफूँदी	pʰəpʰũːn̪d̪iː
फफोला	pʰəpʰoːl̪äː
फर्न	pʰəɾn̪
फर्नीचर	pʰəɾn̪iːt͡ʃəɾ
फल	pʰəl̪
फलक	pʰəl̪ək
फलन	pʰəl̪ə̃n̪
फलना	pʰəl̪n̪äː
फलस्वरूप	pʰəl̪əs̪ʋəɾuːp
फलालैन	pʰəl̪äːl̪ɛ̃ːn̪
फली	pʰəl̪iː
फलो	pʰəl̪oː
फलों	pʰəl̪õː
फसल	fəs̪əl̪
फसल	pʰəs̪əl̪
फ़ंतासी	fə̃n̪t̪äːs̪iː
फ़ंतासी	pʰə̃n̪t̪äːs̪iː
फ़ज़ूल	fəzuːl̪
फ़ज़ूल	pʰəd͡ʒuːl̪
फ़तवा	fət̪wäː
फ़तवा	pʰət̪wäː
फ़ना	fən̪äː
फ़ना	pʰən̪äː
फ़रमाइश	fəɾmäːɪʃ
फ़रमाइश	pʰəɾmäːɪʃ
फ़रमान	fəɾmä̃ːn̪
फ़रमान	pʰəɾmä̃ːn̪
फ़रमाना	fəɾmäːn̪äː
फ़रमाना	pʰəɾmäːn̪äː
फ़रात	fəɾäːt̪
फ़रात	pʰəɾäːt̪
फ़रार	fəɾäːɾ
फ़रार	pʰəɾäːɾ
फ़रिश्ता	fəɾɪʃt̪äː
फ़रिश्ता	pʰəɾɪʃt̪äː
फ़रीदाबाद	fəɾiːd̪äːbäːd̪
फ़रीदाबाद	pʰəɾiːd̪äːbäːd̪
फ़र्ज़ंद	fəɾzə̃n̪d̪
फ़र्ज़ंद	pʰəɾd͡ʒə̃n̪d̪
फ़र्ज़न्द	fəɾzə̃n̪d̪
फ़र्ज़न्द	pʰəɾd͡ʒə̃n̪d̪
फ़र्रुख़ाबाद	fəɾɾʊxäːbäːd̪
फ़र्रुख़ाबाद	pʰəɾɾʊkʰäːbäːd̪
फ़लक	fəl̪ək
फ़लक	pʰəl̪ək
फ़लसफ़ा	fəl̪s̪əfäː
फ़लसफ़ा	pʰəl̪s̪əpʰäː
फ़लस्तीनी	fəl̪əs̪t̪iːn̪iː
फ़लस्तीनी	pʰəl̪əs̪t̪iːn̪iː
फ़व्वारा	fəʋʋäːɾäː
फ़व्वारा	pʰəʋʋäːɾäː
फ़सल	fəs̪əl̪
फ़सल	pʰəs̪əl̪
फ़साना	fəs̪äːn̪äː
फ़साना	pʰəs̪äːn̪äː
फ़ाख़्ता	fäːxt̪äː
फ़ाख़्ता	pʰäːkʰt̪äː
फ़ानी	fäːn̪iː
फ़ानी	pʰäːn̪iː
फ़ायदा	fäːjd̪äː
फ़ायदा	pʰäːjd̪äː
फ़ारसी	fäːɾs̪iː
फ़ारसी	pʰäːɾs̪iː
फ़ारिग़	fäːɾɪɣ
फ़ारिग़	pʰäːɾɪɡ
फ़ालतू	fäːl̪t̪uː
फ़ालतू	pʰäːl̪t̪uː
फ़ालसा	fäːl̪s̪äː
फ़ालसा	pʰäːl̪s̪äː
फ़ाश	fäːʃ
फ़ाश	pʰäːʃ
फ़ासला	fäːs̪l̪äː
फ़ासला	pʰäːs̪l̪äː
फ़ासिला	fäːs̪ɪl̪äː
फ़ासिला	pʰäːs̪ɪl̪äː
फ़िदा	fɪd̪äː
फ़िदा	pʰɪd̪äː
फ़िदायीन	fɪd̪äːjĩːn̪
फ़िदायीन	pʰɪd̪äːjĩːn̪
फ़िनलैंड	fɪ̃n̪l̪ɛ̃ːɳɖ
फ़िनलैंड	pʰɪ̃n̪l̪ɛ̃ːɳɖ
फ़िरंग	fɪɾə̃ŋɡ
फ़िरंग	pʰɪɾə̃ŋɡ
फ़िरंगी	fɪɾə̃ŋɡiː
फ़िरंगी	pʰɪɾə̃ŋɡiː
फ़िराक़	fɪɾäːq
फ़िराक़	pʰɪɾäːk
फ़िरिश्ता	fɪɾɪʃt̪äː
फ़िरिश्ता	pʰɪɾɪʃt̪äː
फ़िरौन	fɪɾɔ̃ːn̪
फ़िरौन	pʰɪɾɔ̃ːn̪
फ़िलहाल	fɪl̪ɦäːl̪
फ़िलहाल	pʰɪl̪ɦäːl̪
फ़िलिस्तीनी	fɪl̪ɪs̪t̪iːn̪iː
फ़िलिस्तीनी	pʰɪl̪ɪs̪t̪iːn̪iː
फ़िलीपीन्स	fɪl̪iːpĩːn̪s̪
फ़िलीपीन्स	pʰɪl̪iːpĩːn̪s̪
फ़िल्म	fɪl̪m
फ़िल्म	fɪl̪ə̃m
फ़िल्म	pʰɪl̪m
फ़िल्म	pʰɪl̪ə̃m
फ़ीता	fiːt̪äː
फ़ीता	pʰiːt̪äː
फ़ीलपाँव	fiːl̪pä̃ːʋ
फ़ीलपाँव	pʰiːl̪pä̃ːʋ
फ़ील्मी	fiːl̪miː
फ़ील्मी	pʰiːl̪miː
फ़ीस	fiːs̪
फ़ीस	pʰiːs̪
फ़ीसद	fiːs̪əd̪
फ़ीसद	pʰiːs̪əd̪
फ़ुटबॉल	fʊʈbɔl̪
फ़ुटबॉल	pʰʊʈbɔl̪
फ़ुर्सत	fʊɾs̪ət̪
फ़ुर्सत	pʰʊɾs̪ət̪
फ़ेसबुक	feːs̪bʊk
फ़ेसबुक	pʰeːs̪bʊk
फ़ेहरिस्त	feːɦɾɪs̪t̪
फ़ेहरिस्त	pʰeːɦɾɪs̪t̪
फ़ैज़ाबाद	fɛːzäːbäːd̪
फ़ैज़ाबाद	pʰɛːd͡ʒäːbäːd̪
फ़ैसलाबाद	fɛːs̪l̪äːbäːd̪
फ़ैसलाबाद	pʰɛːs̪l̪äːbäːd̪
फ़ॉर्मूला	fɔɾmuːl̪äː
फ़ॉर्मूला	pʰɔɾmuːl̪äː
फ़ॉलोअर	fɔl̪oːəɾ
फ़ॉलोअर	pʰɔl̪oːəɾ
फ़ोन	fõːn̪
फ़ोन	pʰõːn̪
फ़ौरन	fɔːɾə̃n̪
फ़ौरन	pʰɔːɾə̃n̪
फ़्राँस	fɾä̃ːs̪
फ़्राँस	pʰɾä̃ːs̪
फ़्राँसीसी	fɾä̃ːs̪iːs̪iː
फ़्राँसीसी	pʰɾä̃ːs̪iːs̪iː
फ़्रांसीसी	fɾä̃ːn̪s̪iːs̪iː
फ़्रांसीसी	pʰɾä̃ːn̪s̪iːs̪iː
फ़्रान्सीसी	fɾä̃ːn̪s̪iːs̪iː
फ़्रान्सीसी	pʰɾä̃ːn̪s̪iːs̪iː
फ़्रेन्चाइज़	fɾẽːn̪t͡ʃäːɪz
फ़्रेन्चाइज़	pʰɾẽːn̪t͡ʃäːɪd͡ʒ
फ़्लैट	fl̪ɛːʈ
फ़्लैट	pʰl̪ɛːʈ
फ़्लोरिडा	fl̪oːɾɪɖäː
फ़्लोरिडा	pʰl̪oːɾɪɖäː
फाँसी	pʰä̃ːs̪iː
फाड़ी	pʰäːɽiː
फाफड़ा	pʰäːpʰɽäː
फायदा	fäːjd̪äː
फायदा	pʰäːjd̪äː
फालतू	fäːl̪t̪uː
फालतू	pʰäːl̪t̪uː
फालसा	pʰäːl̪s̪äː
फाल्गुन	pʰäːl̪ɡʊ̃n̪
फावड़ा	pʰäːʋɽäː
फिरना	pʰɪɾn̪äː
फिल्म	fɪl̪m
फिल्म	pʰɪl̪m
फिल्मी	fɪl̪miː
फिल्मी	pʰɪl̪miː
फिसलन	pʰɪs̪l̪ə̃n̪
फिसलना	pʰɪs̪əl̪n̪äː
फीका	pʰiːkäː
फुंसी	pʰʊ̃n̪s̪iː
फुदकना	pʰʊd̪əkn̪äː
फुनगी	pʰʊ̃n̪ɡiː
फुलका	pʰʊl̪käː
फुलझड़ी	pʰʊl̪d͡ʒʱəɽiː
फुसफुसाना	pʰʊs̪pʰʊs̪äːn̪äː
फुहार	pʰʊɦäːɾ
फूफा	pʰuːpʰäː
फूल	pʰuːl̪
फूलदान	pʰuːl̪d̪ä̃ːn̪
फूलना	pʰuːl̪n̪äː
फूलो	pʰuːl̪oː
फूलों	pʰuːl̪õː
फेंक	pʰẽːŋk
फेंकना	pʰẽːŋkn̪äː
फेफड़ा	pʰeːpʰɽäː
फेसबुक	feːs̪bʊk
फेसबुक	pʰeːs̪bʊk
फैलना	pʰɛːl̪n̪äː
फैलाव	pʰɛːl̪äːʋ
फैसला	fɛːs̪l̪äː
फैसला	pʰɛːs̪l̪äː
फोड़ा	pʰoːɽäː
फोन	fõːn̪
फोन	pʰõːn̪
फ्रांस	fɾä̃ːn̪s̪
फ्रांस	pʰɾä̃ːn̪s̪
फ्रांसीसी	fɾä̃ːn̪s̪iːs̪iː
फ्रांसीसी	pʰɾä̃ːn̪s̪iːs̪iː
फ्रेन्चाइज़	fɾẽːn̪t͡ʃäːɪz
फ्रेन्चाइज़	pʰɾẽːn̪t͡ʃäːɪd͡ʒ
बँटवारा	bə̃ɳʈwäːɾäː
बँधुआ	bə̃n̪d̪ʱʊäː
बंगला	bə̃ŋɡl̪äː
बंगाली	bə̃ŋɡäːl̪iː
बंग्ली	bə̃ŋɡl̪iː
बंजर	bə̃n̪d͡ʒəɾ
बंजारा	bə̃n̪d͡ʒäːɾäː
बंटना	bə̃ɳʈn̪äː
बंटाना	bə̃ɳʈäːn̪äː
बंद	bə̃n̪d̪
बंदगी	bə̃n̪d̪əɡiː
बंदर	bə̃n̪d̪əɾ
