ա	ɑ
հիմնական	himnɑkɑn
հիմնականորեն	himnɑkɑnɔɾɛn
հիմնականում	himnɑkɑnum
հիմնահարց	himnɑhɑɾt͡sʰ
հիմնավորել	himnɑvɔɾɛl
հիմունք	himuŋkʰ
հիմք	himkʰ
հին	hin
հինավուրց	hinɑvuɾt͡sʰ
հինգ	hiŋɡ
հինգերորդ	hiŋɡɛɾɔɾtʰ
հինգշաբթի	hiŋɡʃɑpti
հինգշաբթի	hiŋɡʃɑpʰtʰi
հինդի	hindi
հինդուիզմ	hinduizm
հինդուկուշ	hindukuʃ
հինդուստան	hindustɑn
հինդուստանի	hindustɑni
հիշատակ	hiʃɑtɑk
հիշել	hiʃɛl
հիշեցնել	hiʃɛt͡sʰnɛl
հիշողություն	hiʃɔʁutʰjun
հիպատ	hipɑt
հիպերբոլ	hipɛɾbɔl
հիպերմարկետ	hipɛɾmɑɾkɛt
հիպնոս	hipnɔs
հիպոկրատես	hipɔkɾɑtɛs
հիջազ	hid͡ʒɑz
հիսուն	hisun
հիսուս	hisus
հիվանդ	hivɑnd
հիվանդագին	hivɑndɑɡin
հիվանդախնամ	hivɑndɑχənɑm
հիվանդանալ	hivɑndɑnɑl
հիվանդանոց	hivɑndɑnɔt͡sʰ
հիվանդություն	hivɑndutʰjun
հիտլեր	hitlɛɾ
հիրավի	hiɾɑvi
հիրել	hiɾɛl
հիրիկ	hiɾik
հիցուն	hit͡sʰun
հլու	həlu
հհ	həhə
հհկ	həhəkə
հղանալ	həʁɑnɑl
հղացք	həʁɑt͡sʰkʰ
հղել	həʁɛl
հղենալ	həʁɛnɑl
հղի	həʁi
հղիանալ	həʁijɑnɑl
հղիացում	həʁijɑt͡sʰum
հղիություն	həʁijutʰjun
հղություն	həʁutʰjun
հղում	həʁum
հղփանալ	həχpʰɑnɑl
հղփություն	həχpʰutʰjun
հմայագիր	həmɑjɑɡiɾ
հմայել	həmɑjɛl
հմայք	həmɑjkʰ
հմուտ	həmut
հմտություն	həmtutʰjun
հյութ	hjutʰ
հյութեղ	hjutʰɛʁ
հյուլե	hjulɛ
հյուծել	hjut͡sɛl
հյուն	hjun
հյունքյարպեյենտյան	hjuŋkʰjɑɾpɛjɛntjɑn
հյուպատոս	hjupɑtɔs
հյուպատոսություն	hjupɑtɔsutʰjun
հյուս	hjus
հյուսել	hjusɛl
հյուսիս	hjusis
հյուսիսային	hjusisɑjin
հյուսկեն	hjuskɛn
հյուսն	hjusən
հյուսվածք	hjusvɑt͡skʰ
հյուսվածքաբանություն	hjusvɑt͡skʰɑbɑnutʰjun
հյուր	hjuɾ
հյուրախաղ	hjuɾɑχɑʁ
հյուրանոց	hjuɾɑnɔt͡sʰ
հյուրասրահ	hjuɾɑsəɾɑh
հյուրեր	hjuɾɛɾ
հյուրերդ	hjuɾɛɾəd
հյուրերը	hjuɾɛɾə
հյուրերի	hjuɾɛɾi
հյուրերիդ	hjuɾɛɾid
հյուրերին	hjuɾɛɾin
հյուրերիս	hjuɾɛɾis
հյուրերից	hjuɾɛɾit͡sʰ
հյուրերիցդ	hjuɾɛɾit͡sʰəd
հյուրերիցս	hjuɾɛɾit͡sʰəs
հյուրերն	hjuɾɛɾən
հյուրերով	hjuɾɛɾɔv
հյուրերովդ	hjuɾɛɾɔvəd
հյուրերովս	hjuɾɛɾɔvəs
հյուրերս	hjuɾɛɾəs
հյուրը	hjuɾə
հյուրի	hjuɾi
հյուրիդ	hjuɾid
հյուրին	hjuɾin
հյուրիս	hjuɾis
հյուրից	hjuɾit͡sʰ
հյուրիցդ	hjuɾit͡sʰəd
հյուրիցս	hjuɾit͡sʰəs
հյուրն	hjuɾn
հյուրով	hjuɾɔv
հյուրովդ	hjuɾɔvəd
հյուրովս	hjuɾɔvəs
հյուրս	hjuɾəs
հնագետ	hənɑɡɛt
հնագիտություն	hənɑɡitutʰjun
հնագույն	hənɑɡujn
հնազանդ	hənɑzɑnd
հնազանդություն	hənɑzɑndutʰjun
հնազանդվել	hənɑzɑndvɛl
հնախոս	hənɑχɔs
հնամյա	hənɑmjɑ
հնանալ	hənɑnɑl
հնավուն	hənɑvun
հնար	hənɑɾ
հնարակերտ	hənɑɾɑkɛɾt
հնարամիտ	hənɑɾɑmit
հնարամտություն	hənɑɾɑmətutʰjun
հնարավոր	hənɑɾɑvɔɾ
հնարավորություն	hənɑɾɑvɔɾutʰjun
հնարել	hənɑɾɛl
հնարք	hənɑɾkʰ
հնացած	hənɑt͡sʰɑt͡s
հնացնել	hənɑt͡sʰnɛl
հնգամյա	həŋɡɑmjɑ
հնդեվրոպաբան	həndɛvɾɔpɑbɑn
հնդեվրոպաբանություն	həndɛvɾɔpɑbɑnutʰjun
հնդեվրոպական	həndɛvɾɔpɑkɑn
հնդեվրոպացի	həndɛvɾɔpɑt͡sʰi
հնդիկ	həndik
հնդկական	həndkɑkɑn
հնդկահավ	həndkɑhɑv
հնդկաչին	həndkɑt͡ʃʰin
հնդկաստան	həndkɑstɑn
հնդկացի	həndkɑt͡sʰi
հնդկացորեն	həndkɑt͡sʰɔɾɛn
հնդկերեն	həndkɛɾɛn
հնդկընկույզ	həndkəŋkujz
հնդստան	həndəstɑn
հնէաբան	hənɛɑbɑn
հնձան	hənd͡zɑn
հնոտի	hənɔti
հնոտիք	hənɔtikʰ
հնոց	hənɔt͡sʰ
հնոցապան	hənɔt͡sʰɑpɑn
հնչել	hənt͡ʃʰɛl
հնչյուն	hənt͡ʃʰjun
հնչյունաբան	hənt͡ʃʰjunɑbɑn
հնչյունական	hənt͡ʃʰjunɑkɑn
հնչյունային	hənt͡ʃʰjunɑjin
հնչույթ	hənt͡ʃʰujtʰ
հո	hɔ
հոբելյան	hɔbɛljɑn
հոբելյանական	hɔbɛljɑnɑkɑn
հոբելյար	hɔbɛljɑɾ
հոբոյ	hɔbɔj
հոգ	hɔkʰ
հոգալ	hɔkʰɑl
հոգատար	hɔkʰɑtɑɾ
հոգեբան	hɔkʰɛbɑn
հոգեբանական	hɔkʰɛbɑnɑkɑn
հոգեբանություն	hɔkʰɛbɑnutʰjun
հոգեղեն	hɔkʰɛʁɛn
հոգի	hɔkʰi
հոգնա	hɔkʰnɑ
հոգնած	hɔkʰnɑt͡s
հոգնածություն	hɔkʰnɑt͡sutʰjun
հոգնակի	hɔkʰnɑki
հոգնել	hɔkʰnɛl
հոգնեցնել	hɔkʰnɛt͡sʰnɛl
հոգոց	hɔkʰɔt͡sʰ
հոգս	hɔkʰs
հոգվոց	hɔkʰvɔt͡sʰ
հոդ	hɔd
հոդաբորբ	hɔdɑbɔɾb
հոդված	hɔdvɑt͡s
հոդված	hɔtvɑt͡s
հոժարել	hɔʒɑɾɛl
հոժարեցնել	hɔʒɑɾɛt͡sʰnɛl
հոժարություն	hɔʒɑɾutʰjun
հոժարում	hɔʒɑɾum
հոժարվել	hɔʒɑɾvɛl
հոլ	hɔl
հոլաթեւել	hɔlɑtʰɛvɛl
հոլանդական	hɔlɑndɑkɑn
հոլանդացի	hɔlɑndɑt͡sʰi
հոլանդերեն	hɔlɑndɛɾɛn
հոլանդիա	hɔlɑndjɑ
հոլանել	hɔlɑnɛl
հոլանի	hɔlɑni
հոլշտայն	hɔlʃtɑjn
հոլով	hɔlɔv
հոլովակ	hɔlɔvɑk
հոլովման	hɔlɔvmɑn
հոլովում	hɔlɔvum
հոլոքոստ	hɔlɔkʰɔst
հոխորտալ	hɔχɔɾtɑl
հոխորտան	hɔχɔɾtɑn
հոխորտանք	hɔχɔɾtɑŋkʰ
հոկայդո	hɔkɑjdɔ
հոկեյ	hɔkɛj
հոկտեմբեր	hɔktɛmbɛɾ
հոկտեմբերյան	hɔktɛmbɛɾjɑn
հոհան	hɔhɑn
հոհենցոլեր	hɔhɛnt͡sʰɔlɛɾ
հոհենցոլերն	hɔhɛnt͡sʰɔlɛɾn
հող	hɔʁ
հողագայլ	hɔʁɑɡɑjl
հողակոշտ	hɔʁɑkɔʃt
հողանցում	hɔʁɑnt͡sʰum
հողդողդ	hɔʁdɔʁd
հողդողդել	hɔʁdɔʁdɛl
հողեղեն	hɔʁɛʁɛn
հողմ	hɔʁm
հոմանիշ	hɔmɑniʃ
հոմերոս	hɔmɛɾɔs
հոմոֆոբիա	hɔmɔfɔbjɑ
հոմս	hɔms
հոյակապ	hɔjɑkɑp
հոյակառույց	hɔjɑkɑrujt͡sʰ
հոյակերտ	hɔjɑkɛɾt
հոյաշեն	hɔjɑʃɛn
հոն	hɔn
հոնդուրաս	hɔnduɾɑs
հոնկոնգ	hɔŋkɔŋɡ
հոնոլուլու	hɔnɔlulu
հոնորիոս	hɔnɔɾiɔs
հոնսյու	hɔnsju
հոնք	hɔŋkʰ
հոշոտել	hɔʃɔtɛl
հոուգանգ	hɔuɡɑŋɡ
հոպար	hɔpɑɾ
հոպնակ	hɔpnɑk
հոպոպ	hɔpɔp
հոռետես	hɔrɛtɛs
հոռի	hɔri
հոռովել	hɔrɔvɛl
հոս	hɔs
հոսանուտ	hɔsɑnut
հոսանք	hɔsɑŋkʰ
հոսնական	hɔsnɑkɑn
հոսք	hɔskʰ
հով	hɔv
հովազ	hɔvɑz
հովանի	hɔvɑni
հովանուտ	hɔvɑnut
հովիկ	hɔvik
հովիտ	hɔvit
հովհաննես	hɔvhɑnːɛs
հովհաննես	hɔvɑnɛs
հովհաննիսյան	hɔvhɑnːisjɑn
հովհաննիսյան	hɔvɑnisjɑn
հովհար	hɔvhɑɾ
հովնան	hɔvnɑn
հովո	hɔvɔ
հովսեփ	hɔfsɛpʰ
հոտ	hɔt
հոտաղ	hɔtɑʁ
հոտել	hɔtɛl
հոտոտել	hɔtɔtɛl
հոր	hɔɾ
հորա	hɔɾɑ
հորան	hɔɾɑn
հորանջ	hɔɾɑnd͡ʒ
հորանջել	hɔɾɑnd͡ʒɛl
հորացիոս	hɔɾɑt͡sʰiɔs
հորաքույր	hɔɾɑkʰujɾ
հորաքրոջ	hɔɾɑkʰəɾɔd͡ʒ
հորաքրոջ	hɔɾɑkʰəɾɔt͡ʃʰ
հորդ	hɔɾd
հորդանան	hɔɾdɑnɑn
հորդել	hɔɾdɛl
հորդորակ	hɔɾdɔɾɑk
հորդորանք	hɔɾdɔɾɑŋkʰ
հորդորել	hɔɾdɔɾɛl
հորդորեցուցիչ	hɔɾdɔɾɛt͡sʰut͡sʰit͡ʃʰ
հորդորիչ	hɔɾdɔɾit͡ʃʰ
հորեղբայր	hɔɾɛχpɑjɾ
հորեղբոր	hɔɾɛχpɔɾ
հորթ	hɔɾtʰ
հորթուկ	hɔɾtʰuk
հորիզոն	hɔɾizɔn
հորիզոնական	hɔɾizɔnɑkɑn
հորողբեր	hɔɾɔχpɛɾ
հորողբեր	hɔɾɔχpʰɛɾ
հորովել	hɔɾɔvɛl
հորու	hɔɾu
հորջորջ	hɔɾd͡ʒɔɾd͡ʒ
հորջորջանք	hɔɾd͡ʒɔɾd͡ʒɑŋkʰ
հորջորջել	hɔɾd͡ʒɔɾd͡ʒɛl
հորս	hɔɾs
հորսայս	hɔɾsɑjs
հորքուր	hɔɾkʰuɾ
հու	hu
հուանհե	huɑnhɛ
հուբեյ	hubɛj
հուգենոտ	huɡɛnɔt
հուդա	hudɑ
հուդայականություն	hudɑjɑkɑnutʰjun
հուդզոն	hudzɔn
հուդիթ	huditʰ
հուզել	huzɛl
հուզիչ	huzit͡ʃʰ
հուզող	huzɔʁ
հուժկու	huʃku
հուժկու	huʒku
հուլիս	hulis
հուլիսյան	hulisjɑn
հուլունք	huluŋkʰ
հում	hum
հումանիզմ	humɑnizm
հումանիստ	humɑnist
հումանիտար	humɑnitɑɾ
հումոր	humɔɾ
հումուս	humus
հումք	humkʰ
հույզ	hujz
հույլ	hujl
հույլք	hujlkʰ
հույն	hujn
հույս	hujs
հույր	hujɾ
հուն	hun
հունական	hunɑkɑn
հունան	hunɑn
հունաստան	hunɑstɑn
հունավոր	hunɑvɔɾ
հունարեն	hunɑɾɛn
հունգարացի	huŋɡɑɾɑt͡sʰi
հունգարերեն	huŋɡɑɾɛɾɛn
հունգարիա	huŋɡɑɾjɑ
հունդ	hund
հուներեն	hunɛɾɛn
հունիս	hunis
հունիսյան	hunisjɑn
հունձ	hund͡z
հունվար	hunvɑɾ
հունվարյան	hunvɑɾjɑn
հունքուբունք	huŋkʰubuŋkʰ
հուշ	huʃ
հուշանվեր	huʃɑnəvɛɾ
հուշարձան	huʃɑɾd͡zɑn
հուշեր	huʃɛɾ
հուռ	hur
հուռթանալ	hurtʰɑnɑl
հուռթի	hurtʰi
հուռութ	hurutʰ
հուռութք	hurutʰkʰ
հուսադրել	husɑdɾɛl
հուսալի	husɑli
հուսալքել	husɑləkʰɛl
հուսալքություն	husɑləkʰutʰjun
հուսալքված	husɑləkʰvɑt͡s
հուսակորույս	husɑkɔɾujs
հուսակտուր	husɑkətuɾ
հուսահատ	husɑhɑt
հուսահատեցնել	husɑhɑtɛt͡sʰnɛl
հուսահատեցնող	husɑhɑtɛt͡sʰnɔʁ
հուսահատություն	husɑhɑtutʰjun
հուսահատվել	husɑhɑtvɛl
հուսիկ	husik
հուր	huɾ
հուրոն	huɾɔn
հպատակվել	həpɑtɑkvɛl
հպարտ	həpɑɾt
հպարտանալ	həpɑɾtɑnɑl
հպարտություն	həpɑɾtutʰjun
հռենոս	hrɛnɔs
հռենոս	hərɛnɔs
հռետոր	hrɛtɔɾ
հռետորաբան	hərɛtɔɾɑbɑn
հռետորաբանություն	hrɛtɔɾɑbɑnutʰjun
հռետորաբանություն	hərɛtɔɾɑbɑnutʰjun
հռիփսիմե	hripʰsimɛ
հռոդոս	hrɔdɔs
հռոմ	hrɔm
հռոմ	hərɔm
հռոմեական	hrɔmjɑkɑn
հռոմեական	hərɔmjɑkɑn
հռոմեացի	hrɔmɛjɑt͡sʰi
հռոմեացի	hərɔmɛjɑt͡sʰi
հռովմայեցի	hrɔvmɑjɛt͡sʰi
հռովմայեցի	hərɔvmɑjɛt͡sʰi
հռովմեական	hrɔvmɛjɑkɑn
հռովմեական	hərɔvmɛjɑkɑn
հռչակ	hərt͡ʃʰɑk
հռչակավոր	hərt͡ʃʰɑkɑvɔɾ
հսկա	həskɑ
հսկայական	həskɑjɑkɑn
հսկել	həskɛl
հստակ	həstɑk
հստակորեն	həstɑkɔɾɛn
հտհ	hətəhə
հրաբուխ	həɾɑbuχ
հրադադար	həɾɑdɑtʰɑɾ
հրազդան	həɾɑzdɑn
հրաժարական	həɾɑʒɑɾɑkɑn
հրաժեշտ	həɾɑʒɛʃt
հրաժեշտախնջույք	həɾɑʒɛʃtɑχənd͡ʒujkʰ
հրաժեշտասեղան	həɾɑʒɛʃtɑsɛʁɑn
հրահան	həɾɑhɑn
հրահրել	həɾɑhəɾɛl
հրաձգարան	həɾɑd͡zəkʰɑɾɑn
հրաձգել	həɾɑd͡zəkʰɛl
հրամայական	həɾɑmɑjɑkɑn
հրամայել	həɾɑmɑjɛl
հրաման	həɾɑmɑn
հրամանատար	həɾɑmɑnɑtɑɾ
հրայր	həɾɑjɾ
հրանտ	həɾɑnt
հրաշակերտ	həɾɑʃɑkɛɾt
հրաշք	həɾɑʃkʰ
հրաչ	həɾɑt͡ʃʰ
հրաչյա	həɾɑt͡ʃʰjɑ
հրապատ	həɾɑpɑt
հրապարակ	həɾɑpɑɾɑk
հրապարակայնություն	həɾɑpɑɾɑkɑjnutʰjun
հրապարակավ	hɾɑpɑɾɑkɑv
հրապարակել	həɾɑpɑɾɑkɛl
հրապույր	həɾɑpujɾ
հրապուրել	həɾɑpuɾɛl
հրասախ	həɾɑsɑχ
հրասայլ	həɾɑsɑjl
հրավառել	həɾɑvɑrɛl
հրավառություն	həɾɑvɑrutʰjun
հրավեր	həɾɑvɛɾ
հրավերք	həɾɑvɛɾkʰ
հրավիրել	həɾɑviɾɛl
հրատ	həɾɑt
հրատապ	həɾɑtɑp
հրատարակել	həɾɑtɑɾɑkɛl
հրատարակիչ	həɾɑtɑɾɑkit͡ʃʰ
հրատարակում	həɾɑtɑɾɑkum
հրատարակչություն	həɾɑtɑɾɑkt͡ʃʰutʰjun
հրացան	həɾɑt͡sʰɑn
հրացանակիր	həɾɑt͡sʰɑnɑkiɾ
հրդեհ	həɾdɛh
հրդեհում	həɾdɛhum
հրեա	həɾjɑ
հրեա	həɾɛɑ
հրեական	həɾjɑkɑn
հրեաստան	həɾjɑstɑn
հրեաստան	həɾɛɑstɑn
հրել	həɾɛl
հրեղեն	həɾɛʁɛn
հրեշ	həɾɛʃ
հրեշտակ	həɾɛʃtɑk
հրեշտակյան	həɾɛʃtɑkjɑn
հրես	həɾɛs
հրետ	həɾɛt
հրետանի	həɾɛtɑni
հրթիռ	həɾtʰir
հրկիզել	həɾkizɛl
հրկիզում	həɾkizum
հրճվանք	həɾt͡ʃvɑŋkʰ
հրճվել	həɾt͡ʃvɛl
հրշեջ	həɾʃɛd͡ʒ
հրողբեր	həɾɔχpɛɾ
հրովարտակ	həɾɔvɑɾtɑk
հրուդեն	həɾudɛn
հրուշակ	həɾuʃɑk
հրուշակագործ	həɾuʃɑkɑɡɔɾt͡s
հրուշակեղեն	həɾuʃɑkɛʁɛn
հրվանդան	həɾvɑndɑn
հօգուտ	hɔkʰut
հօպ	hɔp
ձ	d͡zə
ձա	d͡zɑ
ձագ	d͡zɑkʰ
ձագար	d͡zɑɡɑɾ
ձախ	d͡zɑχ
ձախլիկ	d͡zɑχlik
ձախող	d͡zɑχɔʁ
ձախողակ	d͡zɑχɔʁɑk
ձաղ	d͡zɑʁ
ձաղանք	d͡zɑʁɑŋkʰ
ձաղել	d͡zɑʁɛl
ձաղկ	d͡zɑχk
ձաղկել	d͡zɑχkɛl
ձաղտել	d͡zɑχtɛl
ձայն	d͡zɑjn
ձայնապնակ	d͡zɑjnɑpənɑk
ձայնասփյուռ	d͡zɑjnɑspʰjur
ձայնավոր	d͡zɑjnɑvɔɾ
ձայնդարձ	d͡zɑjndɑɾt͡sʰ
ձայնեղ	d͡zɑjnɛʁ
ձայներիզ	d͡zɑjnɛɾiz
ձայնորդ	d͡zɑjnɔɾtʰ
ձանձրալի	d͡zɑnd͡zɾɑli
ձանձրույթ	d͡zɑnd͡zɾujtʰ
ձաուջիկաու	d͡zɑud͡ʒikɑu
ձառ	d͡zɑr
ձավար	d͡zɑvɑɾ
ձավարապուր	d͡zɑvɑɾɑpuɾ
ձար	d͡zɑɾ
ձարխոտ	d͡zɑɾχɔt
ձգել	d͡zəkʰɛl
ձգտել	d͡zəkʰtɛl
ձգտում	d͡zəkʰtum
ձեզ	d͡zɛz
ձեթ	d͡zɛtʰ
ձելկվա	d͡zɛlkvɑ
ձեղնահարկ	d͡zɛʁnɑhɑɾk
ձեղուն	d͡zɛʁun
ձեն	d͡zɛn
ձեռ	d͡zɛr
ձեռագիր	d͡zɛrɑɡiɾ
ձեռային	d͡zɛrɑjin
ձեռնագնդակ	d͡zɛrnɑɡəndɑk
ձեռնածու	d͡zɛrnɑt͡su
ձեռնաշարժություն	d͡zɛrnɑʃɑɾʒutʰjun
ձեռնաշղթա	d͡zɛrnɑʃəχtʰɑ
ձեռնասայլ	d͡zɛrnɑsɑjl
ձեռնասայլակ	d͡zɛrnɑsɑjlɑk
ձեռնարկ	d͡zɛrnɑɾk
ձեռնարկություն	d͡zɛrnɑɾkutʰjun
ձեռներեց	d͡zɛrnɛɾɛt͡sʰ
ձեռնոց	d͡zɛrnɔt͡sʰ
ձեռնպահ	d͡zɛrənpɑh
ձեռնտու	d͡zɛrnətu
ձեռնտու	d͡zɛrəntu
ձեռք	d͡zɛrkʰ
ձեռքի	d͡zɛrkʰi
ձեռքսեղմում	d͡zɛrkʰsɛʁmum
ձեռքսեղմում	d͡zɛrkʰsɛχmum
ձետ	d͡zɛt
ձերբակալ	d͡zɛɾpʰɑkɑl
ձերբակալել	d͡zɛɾpʰɑkɑlɛl
ձերբակալություն	d͡zɛɾpʰɑkɑlutʰjun
ձերովսանն	d͡zɛɾɔfsɑnː
ձեւ	d͡zɛv
ձեւաբանություն	d͡zɛvɑbɑnutʰjun
ձեւանմուշ	d͡zɛvɑnəmuʃ
ձեւաչափ	d͡zɛvɑt͡ʃʰɑpʰ
ձեւավորել	d͡zɛvɑvɔɾɛl
ձեւույթ	d͡zɛvujtʰ
ձի	d͡zi
ձիաբոռ	d͡zijɑbɔr
ձիահ	d͡ziɑh
ձիաուժ	d͡zijɑuʒ
ձիաստան	d͡zijɑstɑn
ձիաստաց	d͡zijɑstɑt͡sʰ
ձիգ	d͡zikʰ
ձիթայուղ	d͡zitʰɑjuʁ
ձիթապտուղ	d͡zitʰɑpətuʁ
ձիթենի	d͡zitʰɛni
ձիր	d͡ziɾ
ձիրք	d͡ziɾkʰ
ձկնաբան	d͡zəknɑbɑn
ձկնաբանական	d͡zəknɑbɑnɑkɑn
ձկնաբանություն	d͡zəknɑbɑnutʰjun
ձկնկիթ	d͡zəkəŋkitʰ
ձկնկուլ	d͡zəkəŋkul
ձկնորս	d͡zəknɔɾs
ձկնորսական	d͡zəknɔɾsɑkɑn
ձկնորսություն	d͡zəknɔɾsutʰjun
ձձում	d͡zət͡sʰum
ձմեթ	d͡zəmɛtʰ
ձմեռ	d͡zəmɛr
ձմեռային	d͡zəmɛrɑjin
ձմեռանոց	d͡zəmɛrɑnɔt͡sʰ
ձմեռոց	d͡zəmɛrɔt͡sʰ
ձմերուկ	d͡zəmɛɾuk
ձմուկ	d͡zəmuk
ձմռանը	d͡zəmrɑnə
ձյութ	d͡zjutʰ
ձյուն	d͡zjun
ձյունակույտ	d͡zjunɑkujt
ձյունահովազ	d͡zjunɑhɔvɑz
ձյունամրրիկ	d͡zjunɑməɾːik
ձյունատախտակ	d͡zjunɑtɑχtɑk
ձյունափաթիլ	d͡zjunɑpʰɑtʰil
ձյունե	d͡zjunɛ
ձնաբուք	d͡zənɑbukʰ
ձնագնդիկ	d͡zənɑɡəndik
ձնահյուս	d͡zənɑhjus
ձնամարդ	d͡zənɑmɑɾtʰ
ձնե	d͡zənɛ
ձնեմարդ	d͡zənɛmɑɾtʰ
ձնծաղիկ	d͡zənt͡sɑʁik
ձող	d͡zɔʁ
ձողաձուկ	d͡zɔʁɑd͡zuk
ձողիկ	d͡zɔʁik
ձոր	d͡zɔɾ
ձորակ	d͡zɔɾɑk
ձորձ	d͡zɔɾd͡z
ձու	d͡zu
ձութ	d͡zutʰ
ձուլածո	d͡zulɑt͡sɔ
ձուլարան	d͡zulɑɾɑn
ձուլել	d͡zulɛl
ձուկ	d͡zuk
ձուղբ	d͡zuχp
ձուղպ	d͡zuχp
ձույլ	d͡zujl
ձուն	d͡zun
ձվաբջիջ	d͡zəvɑbəd͡ʒid͡ʒ
ձվագիծ	d͡zəvɑɡit͡s
ձվածեղ	d͡zəvɑt͡sɛʁ
ձվաձեղ	d͡zəvɑd͡zɛʁ
ձվաձեւ	d͡zəvɑd͡zɛv
ձվատար	d͡zəvɑtɑɾ
ձվարան	d͡zəvɑɾɑn
ձվիկ	d͡zəvik
ձրի	d͡zəɾi
ղ	ʁə
ղաբուլ	ʁɑbul
ղազ	ʁɑz
ղազախ	ʁɑzɑχ
ղազախական	ʁɑzɑχɑkɑn
ղազախերեն	ʁɑzɑχɛɾɛn
ղազախստան	ʁɑzɑχstɑn
ղազար	ʁɑzɑɾ
ղազարյան	ʁɑzɑɾjɑn
ղազարոս	ʁɑzɑɾɔs
ղազվին	ʁɑzvin
ղալաթ	ʁɑlɑtʰ
ղալամթրաշ	ʁɑlɑmtʰəɾɑʃ
ղալիբ	ʁɑlib
ղալմաղալ	ʁɑlmɑʁɑl
ղայիլ	ʁɑjil
ղայիշ	ʁɑjiʃ
ղանդահար	ʁɑndɑhɑɾ
ղանթար	ʁɑntʰɑɾ
ղանձիլ	ʁɑnd͡zil
ղանձլամեր	ʁɑnd͡zəlɑmɛɾ
ղանոն	ʁɑnɔn
ղաշանգ	ʁɑʃɑŋɡ
ղասաբ	ʁɑsɑb
ղասաբյան	ʁɑsɑbjɑn
ղավ	ʁɑv
ղատ	ʁɑt
ղարաբաղ	ʁɑɾɑbɑʁ
ղարաբաղյան	ʁɑɾɑbɑʁjɑn
ղարաբաղցի	ʁɑɾɑbɑχt͡sʰi
ղարանֆիլ	ʁɑɾɑnfil
ղարավաշ	ʁɑɾɑvɑʃ
ղարս	ʁɑɾs
ղափաղ	ʁɑpʰɑʁ
ղափամա	ʁɑpʰɑmɑ
ղափան	ʁɑpʰɑn
ղափլան	ʁɑpʰlɑn
ղեկ	ʁɛk
ղեկավար	ʁɛkɑvɑɾ
ղեկավարել	ʁɛkɑvɑɾɛl
ղեկավարություն	ʁɛkɑvɑɾutʰjun
ղենջակ	ʁɛnd͡ʒɑk
ղեւոնդ	ʁɛvɔnd
ղզիկ	ʁəzik
ղզլար	ʁəzlɑɾ
ղզղնած	ʁəzʁənɑt͡s
ղիամաթ	ʁijɑmɑtʰ
ղոզ	ʁɔz
ղոնաղ	ʁɔnɑʁ
ղութի	ʁutʰi
ղուկաս	ʁukɑs
ղում	ʁum
ղուշ	ʁuʃ
ղուսուր	ʁusuɾ
ղուրան	ʁuɾɑn
ղպտի	ʁəpti
ղպտիական	ʁəptijɑkɑn
ղպտիերեն	ʁəptijɛɾɛn
ղսմաթ	ʁəsmɑtʰ
ղրիմ	ʁəɾim
ղրղզական	ʁəɾʁəzɑkɑn
ղրղզերեն	ʁəɾʁəzɛɾɛn
ղրղզստան	ʁəɾʁəzstɑn
ղրղըզ	ʁəɾʁəz
ճ	t͡ʃə
ճագար	t͡ʃɑɡɑɾ
ճախարակ	t͡ʃɑχɑɾɑk
ճախրել	t͡ʃɑχɾɛl
ճակատ	t͡ʃɑkɑt
ճակատագիր	t͡ʃɑkɑtɑɡiɾ
ճակատամարտ	t͡ʃɑkɑtɑmɑɾt
ճակատային	t͡ʃɑkɑtɑjin
ճակնդեղ	t͡ʃɑkəndɛʁ
ճահիճ	t͡ʃɑhit͡ʃ
ճահուկ	t͡ʃɑhuk
ճաղ	t͡ʃɑʁ
ճաղաշար	t͡ʃɑʁɑʃɑɾ
ճաղաշարք	t͡ʃɑʁɑʃɑɾkʰ
ճաղատ	t͡ʃɑʁɑt
ճաճանչ	t͡ʃɑt͡ʃɑnt͡ʃʰ
ճամայկա	t͡ʃɑmɑjkɑ
ճամբար	t͡ʃɑmbɑɾ
ճամուկ	t͡ʃɑmuk
ճամպրուկ	t͡ʃɑmpɾuk
ճամփա	t͡ʃɑmpʰɑ
ճամփել	t͡ʃɑmpʰɛl
ճամփորդ	t͡ʃɑmpʰɔɾtʰ
ճամփորդել	t͡ʃɑmpʰɔɾtʰɛl
ճայ	t͡ʃɑj
ճան	t͡ʃɑn
ճանաչել	t͡ʃɑnɑt͡ʃʰɛl
ճանաչում	t͡ʃɑnɑt͡ʃʰum
ճանապարհ	t͡ʃɑnɑpɑɾ
ճանապարհային	t͡ʃɑnɑpɑɾɑjin
ճանապարհել	t͡ʃɑnɑpɑɾɛl
ճանապարհորդ	t͡ʃɑnɑpɑɾɔɾtʰ
ճանապարհորդել	t͡ʃɑnɑpɑɾɔɾtʰɛl
ճանապարհորդություն	t͡ʃɑnɑpɑɾɔɾtʰutʰjun
ճանգ	t͡ʃɑŋɡ
ճանդան	t͡ʃɑndɑn
ճանկ	t͡ʃɑŋk
ճանճ	t͡ʃɑnt͡ʃ
ճանճկեն	t͡ʃɑnt͡ʃkɛn
ճաշ	t͡ʃɑʃ
ճաշակ	t͡ʃɑʃɑk
ճաշաման	t͡ʃɑʃɑmɑn
ճաշասեղան	t͡ʃɑʃɑsɛʁɑn
ճաշասրահ	t͡ʃɑʃɑsəɾɑh
ճաշարան	t͡ʃɑʃɑɾɑn
