да	dˈɒ
күрелә	kyrˈelæ
күтәреләчәк	kˌytærelˈæɕæk
көймәсе	kˌœɪmˈæse
көнчыгышындагы	kˌœnɕɯʁˌɯʃɯndˈɑʁɯ
көрчеккә	kœrɕˈekkæ
көрәшәбез	kˌœræʃˈæbez
көчләренә	kˌœɕlærˈenæ
көчәйтергә	kˌœɕæɪtˈerɣæ
максатларга	mˌɒqsɒtɫˈɑrʁɑ
матбугатны	mˌɒtbuʁˈɑtnɯ
материалларын	mˌɒterˌiɑɫɫˈɑrɯn
метрга	mˈetrʁɑ
мыскыллау	mˌɯsqɯɫɫˈɑu
мәнфәгатьләрне	mˌænfæʁɑtʔɫˈærne
мәсьәләләрнең	mˌæsʔælælˈærneŋ
мәхкәмәләргә	mˌæxkæmælˈærɣæ
мәчетләрнең	mˌæɕetlˈærneŋ
мөфтиләре	mˌœftilˈære
мөхтәсиб	mœxtˈæsib
намазларын	nˌɒmɒzɫˈɑrɯn
намуслы	nɒmˈusɫɯ
низагта	nizˈɑʁtɑ
оешмаларыннан	ˌoeʃmˌɑɫɑrˈɯnnɑn
озакламый	ˌozɑqɫˈɑmɯj
озынлыгы	ˌozɯnɫˈɯʁɯ
патшага	pɒtʃˈɒʁɑ
пенсионер	pˌensiˈoner
пикетчылар	pˌiketɕˈɯɫɑr
планнарын	pɫɒnnˈɒrɯn
президентлыктан	prˌezidentɫˈɯqtɑn
программалар	prˌoʁrɑmmˈɑɫɑr
процесслар	protsˈessɫɑr
пьеса	pʔˈesɑ
республикалардагы	rˌespubɫˌiqɑɫɑrdˈɑʁɯ
ресурс	rˈesurs
референдумы	rˌeferendˈumɯ
рәислек	ræˈislek
сайтларны	sˌɒɪtɫˈɑrnɯ
саклык	sˈɒqɫɯq
салуга	sɒɫˈuʁɑ
секунд	sˈeqund
сере	sˈere
сишәмбедә	sˌiʃæmbˈedæ
сораганнар	sˌorɑʁˈɑnnɑr
сәдака	sædˈɑqɑ
сәлам	sˈæɫɑm
сәламәтлеген	sˌæɫɑmætlˈeɣen
сәламәтлегенә	sˌæɫɑmˌætleɣˈenæ
сөйлим	sœˈɪlim
табырга	tɒbˈɯrʁɑ
таккан	tˈɒqqɒn
таныйлар	tɒnˈɯjɫɑr
танымаган	tˌɒnɯmˈɑʁɑn
таратуны	tˌɒrɒtˈunɯ
ташланды	tɒʃɫˈɒndɯ
ташлый	tˈɒʃɫɯj
ташып	tˈɒʃɯp
таянырга	tˌɒjɑnˈɯrʁɑ
тезелеп	tezˈelep
телевидениедән	tˌelewˌideniˈedæn
телевидениесенең	tˌelewˌidenˌiesˈeneŋ
теләмәвен	tˌelæmˈæwen
теләүләрен	tˌelæylˈæren
тол	tˈoɫ
тотканда	totqˈɑndɑ
тотмый	tˈotmɯj
туенда	tuˈendɑ
турга	tˈurʁɑ
тынычландырырга	tˌɯnɯɕɫˌɑndɯrˈɯrʁɑ
тыңлыйлар	tɯŋɫˈɯjɫɑr
түгелләр	tyɣˈellær
түгәрәге	tˌyɣærˈæɣe
тәмамладым	tˌæmɑmɫˈɑdɯm
төрекмән	tœrˈekmæn
төшми	tˈœʃmi
узуга	uzˈuʁɑ
укымаган	ˌuqɯmˈɑʁɑn
укытылмый	ˌuqɯtˈɯɫmɯj
урнашты	urnˈɑʃtɯ
уртаклык	urtˈɑqɫɯq
урталарында	ˌurtɑɫɑrˈɯndɑ
урынбасарлары	ˌurɯnbˌɑsɑrɫˈɑrɯ
утызлап	utˈɯzɫɑp
утына	utˈɯnɑ
фашист	fˈɒʃist
фестивален	fˌestiwˈɑɫen
финанслар	finˈɑnsɫɑr
хакиме	xɒqˈime
хезмәткәрләрнең	xˌezmætkærlˈærneŋ
хезмәттән	xezmˈættæn
хисен	xˈisen
хокукыбыз	xˌoquqˈɯbɯz
хуплыйм	xˈupɫɯjm
хыялым	xɯjˈɑɫɯm
хәбәргә	xæbˈærɣæ
хәнәфи	xænˈæfi
цивиль	tsˈiwilʔ
чаба	ɕˈɒbɒ
челтәрдә	ɕeltˈærdæ
чигенергә	ɕˌiɣenˈerɣæ
шикләр	ʃˈiklær
ширкәтләргә	ʃˌirkætlˈærɣæ
штаты	ʃtˈɒtɯ
шураның	ʃurˈɑnɯŋ
ышанасы	ˌɯʃɑnˈɑsɯ
ышанган	ɯʃˈɑŋʁɑn
этномәдәни	ˌetnomædˈæni
эшләмәде	ˌeʃlæmˈæde
эшләүчеләргә	ˌeʃlæˌyɕelˈærɣæ
юбилеен	jˌybilˈeen
юлчылар	juɫɕˈɯɫɑr
юнәлешкә	jˌynælˈeʃkæ
ябалар	jɑbˈɑɫɑr
язмаларда	jˌɑzmɑɫˈɑrdɑ
якынаю	jˌɑqɯnˈɑju
ярыйсы	jɑrˈɯjsɯ
ярында	jɑrˈɯndɑ
ясавын	jɑsˈɑwɯn
Җыелган	ʑɯˈeɫʁɑn
җеназа	ʑenˈɑzɑ
җимешләре	ʑˌimeʃlˈære
җинаятькә	ʑˌinɑjˈætʔkæ
җирләнде	ʑirlˈænde
җитәкчеләреннән	ʑˌitækɕˌelærˈennæn
җәмәгатьчелегендә	ʑˌæmæʁˌɑtʔɕeleɣˈendæ
үзгәртте	yzɣˈærtte
үзендәге	ˌyzendˈæɣe
үлгәч	ˈylɣæɕ
үлүе	ylˈye
үпкә	ˈypkæ
үрнәкләре	ˌyrnæklˈære
үсү	ˈysy
һәйкәлнең	hˌæɪkˈælneŋ
Әзһәр	ˈæzhær
әдәбиятына	ˌædæbˌijætˈɯnɑ
әзерлибез	ˌæzerlˈibez
әзерләгәндә	ˌæzerlæɣˈændæ
Өремчедә	ˌœremɕˈedæ
өйрәтүне	ˌœɪrætˈyne
өметләнгән	ˌœmetlˈæŋɣæn
А	ˈɑː
Австралиягә	ˌɑwstrɑɫijˈæɣæ
Аделаида	ˌɒdeɫɑˈidɑ
Беларуста	bˌeɫɑrˈustɑ
Бина	bˈinɑ
Богданов	boʁdˈɑnow
Буран	bˈurɑn
Бәйрәмованы	bˌæɪrˌæmowˈɑnɯ
Вера	wˈerɑ
Галләмов	ʁɒɫɫˈæmow
Галләмова	ʁˌɒɫɫæmˈowɑ
Гарәбстанында	ʁˌɒræbstɑnˈɯndɑ
Гомум	ʁˈomum
Грузиядән	ʁrˌuzijˈædæn
Диләфрүз	dilˈæfryz
Дистә	dˈistæ
Екатеринбурда	jˌɯqɑtˌerinbˈurdɑ
Елына	jɯɫˈɯnɑ
Земфира	zemfˈirɑ
Имамнар	imˈɑmnɑr
Исмаил	ismˈɑil
Иҗат	ˈiʑɑt
Киселев	kisˈelew
Конгресста	qoŋʁrˈesstɑ
Константинов	qˌonstɑntˈinow
Күпмедер	kypmˈeder
Кәримне	kærˈimne
Марска	mˈɒrsqɒ
Матбугатта	mˌɒtbuʁˈɑttɑ
Медведевнең	mˌedwedˈewneŋ
Милләтнең	millˈætneŋ
Миңгол	mˈiŋʁoɫ
Морат	mˈorɑt
Мәккә	mˈækkæ
Мәчетләр	mæɕˈetlær
Мәчетне	mæɕˈetne
Новгородта	nˌowʁorˈodtɑ
Норвегия	nˌorweɣˈijæ
Норлат	nˈorɫɑt
Нурзия	nurzˈijæ
Омскиның	omsqˈinɯŋ
Оппозициядәге	ˌoppozˌitsijædˈæɣe
Рафил	rˈɒfil
Российская	rˌossiɪsqˈɑjɑ
Рәссам	rˈæssɑm
Савченко	sɑwɕˈenqo
Саркози	sɒrqˈozi
Сочидагы	sˌoɕidˈɑʁɯ
Сурков	sˈurqow
Сүриядән	sˌyrijˈædæn
Сәхнәгә	sæxnˈæɣæ
Сәүбән	sæˈybæn
Театрның	teˈɑtrnɯŋ
Тентү	tˈenty
Тиз	tˈiz
Тихвин	tˈixwin
Токио	toqˈio
Тәүбә	tæˈybæ
Төгәл	tˈœɣæl
Төрекмәнстан	tˌœrekmˈænstɑn
Усманова	ˌusmɑnˈowɑ
Фәрид	fˈærid
Фәһим	fˈæhim
Халкыбыз	xɒɫqˈɯbɯz
Хаҗга	xˈɒʑʁɒ
Хәйруллина	xˌæɪruɫɫˈinɑ
Черек	ɕˈerek
Чыңгызхан	ɕɯŋʁˈɯzxɑn
Чәршәмбедә	ɕˌærʃæmbˈedæ
Шыгырданда	ʃˌɯʁɯrdˈɑndɑ
Шәймәрданов	ʃˌæɪmærdˈɑnow
Эшне	ˈeʃne
Юкса	jˈuqsɑ
Яшәү	jæʃˈæy
абыйны	ɒbˈɯjnɯ
авырый	ɑwˈɯrɯj
азчылыклар	ˌɒzɕɯɫˈɯqɫɑr
айлар	ɒˈɪɫɑr
аксакаллар	ˌɒqsɒqˈɑɫɫɑr
аналар	ɒnˈɒɫɑr
арасын	ɒrˈɒsɯn
арттырган	ɒrttˈɯrʁɑn
артындагы	ˌɒrtɯndˈɑʁɯ
ахыргача	ˌɒxɯrʁˈɑɕɑ
аңлашылды	ˌɒŋɫɒʃˈɯɫdɯ
бармаган	bɒrmˈɒʁɑn
барыбызга	bˌɒrɯbˈɯzʁɑ
барысының	bˌɒrɯsˈɯnɯŋ
баскыч	bˈɒsqɯɕ
батальон	bɒtˈɒɫʔon
башланганнан	bˌɒʃɫɒŋʁˈɑnnɑn
белмәүчеләр	bˌelmæyɕˈelær
бераздан	berˈɑzdɑn
беренчелекне	bˌerenɕelˈekne
берәрсе	berˈærse
бизәкләре	bˌizæklˈære
бирелү	birˈely
бирмичә	birmˈiɕæ
битарафлык	bˌitɑrˈɑfɫɯq
булдырмас	buɫdˈɯrmɑs
булмауга	bˌuɫmɑˈuʁɑ
булучыларның	bˌuɫuɕɯɫˈɑrnɯŋ
бурычлар	burˈɯɕɫɑr
бушап	bˈuʃɑp
буыны	buˈɯnɯ
бүлмәле	bylmˈæle
вазифасында	wˌɒzifɑsˈɯndɑ
вакыйгаларын	wˌɒqɯjʁɑɫˈɑrɯn
вакыйганың	wˌɒqɯjʁˈɑnɯŋ
варислары	wˌɒrisɫˈɑrɯ
вертикале	wˌertiqˈɑɫe
вәзгыятькә	wˌæzʁɯjˈætʔkæ
гаделсезлек	ʁˌɒdelsˈezlek
гаепләгән	ʁˌɒeplˈæɣæn
гаиләләрен	ʁˌɒilælˈæren
гаиләләренә	ʁˌɒilˌælærˈenæ
грамматикасы	ʁrˌɒmmɒtiqˈɑsɯ
грант	ʁrˈɒnt
дума	dˈumɑ
дәвамчысы	dˌæwɑmɕˈɯsɯ
елдагыча	jˌɯɫdɑʁˈɯɕɑ
елларын	jɯɫɫˈɑrɯn
заманындагы	zˌɒmɒnɯndˈɑʁɯ
зират	zˈirɑt
игътибарлы	ˌiɣʔtibˈɑrɫɯ
идарәгә	ˌidɑrˈæɣæ
идеяләрен	ˌidejælˈæren
икенчесендә	ˌikenɕesˈendæ
икәненә	ˌikænˈenæ
имамның	imˈɑmnɯŋ
иминлекне	ˌiminlˈekne
ирләре	irlˈære
иттегез	ittˈeɣez
йортларның	ˌɪortɫˈɑrnɯŋ
каберен	qɒbˈeren
калдыкларын	qˌɒɫdɯqɫˈɑrɯn
калдырмады	qˌɒɫdɯrmˈɑdɯ
калдырмый	qɒɫdˈɯrmɯj
калыша	qɒɫˈɯʃɑ
картлары	qɒrtɫˈɒrɯ
каршылыкларны	qˌɒrʃɯɫɯqɫˈɑrnɯ
катнашлыгында	qˌɒtnɒʃɫɯʁˈɯndɑ
кафесы	qɒfˈesɯ
кергәннәр	kerɣˈænnær
кертмәделәр	kˌertmædˈelær
килешенгән	kˌileʃˈeŋɣæn
кирәген	kirˈæɣen
кисәткән	kisˈætkæn
китсен	kˈitsen
китсәгез	kitsˈæɣez
коммерция	qˌommertsˈijæ
комплекс	qˈompɫeks
конгресска	qoŋʁrˈessqɑ
концертларга	qˌontsertɫˈɑrʁɑ
кош	qˈoʃ
кунакханәсендә	qˌunɑqxˌɑnæsˈendæ
курыкмый	qurˈɯqmɯj
кызыксынучы	qˌɯzɯqsɯnˈuɕɯ
кылуда	qɯɫˈudɑ
кыр	qˈɯr
кырымтатарларының	qˌɯrɯmtˌɑtɑrɫɑrˈɯnɯŋ
кыскарту	qɯsqˈɑrtu
кыскартырга	qˌɯsqɑrtˈɯrʁɑ
кыяфәте	qˌɯjæfˈæte
күрсә	kˈyrsæ
күрәсез	kyrˈæsez
күрәсем	kyrˈæsem
күтәрми	kytˈærmi
көзендә	kœzˈendæ
көлү	kˈœly
көчәеп	kœɕˈæep
матуррак	mɒtˈurrɑq
милләтчел	millˈætɕel
мәдрәсәсе	mˌædræsˈæse
мәкаләсен	mˌæqɑɫˈæsen
мәхкәмәдән	mˌæxkæmˈædæn
мәҗлесләр	mæʑlˈeslær
наци	nˈɒtsi
ниндирәк	nindˈiræk
оештырдылар	ˌoeʃtɯrdˈɯɫɑr
озаталар	ˌozɑtˈɑɫɑr
октябрьгә	oqtjˈæbrʔɣæ
омтылырга	ˌomtɯɫˈɯrʁɑ
оныткан	onˈɯtqɑn
органы	orʁˈɑnɯ
отставкага	ˌotstɑwqˈɑʁɑ
офицеры	ˌofitsˈerɯ
партияне	pˌɒrtijˈæne
популярлыгы	pˌopuɫjɑrɫˈɯʁɯ
праваслау	prˌɑwɑsɫˈɑu
президентлыкны	prˌezidentɫˈɯqnɯ
проблемага	prˌobɫemˈɑʁɑ
проектларга	prˌoeqtɫˈɑrʁɑ
проектының	prˌoeqtˈɯnɯŋ
психик	psˈixik
пулатында	pˌuɫɑtˈɯndɑ
пәрдә	pˈærdæ
ремонт	rˈemont
республикасын	rˌespubɫiqˈɑsɯn
рәисәсе	rˌæisˈæse
сакчысы	sɒqɕˈɯsɯ
салымнар	sɒɫˈɯmnɑr
саналучы	sˌɒnɒɫˈuɕɯ
системаны	sˌistemˈɑnɯ
социалистик	sˌotsiɑɫˈistik
сылтавы	sɯɫtˈɑwɯ
сылтама	sɯɫtˈɑmɑ
сүгенү	syɣˈeny
сүзем	sˈyzem
сәбәпләрдән	sˌæbæplˈærdæn
сәхифәләрдә	sˌæxifælˈærdæ
тактасы	tɒqtˈɒsɯ
тамашаның	tˌɒmɒʃˈɑnɯŋ
тамашачының	tˌɒmɒʃɑɕˈɯnɯŋ
таможня	tɒmˈoʒnjɑ
тантанада	tˌɒntɒnˈɑdɑ
тапмады	tɒpmˈɒdɯ
тарафдарларының	tˌɒrɒfdˌɑrɫɑrˈɯnɯŋ
тасмасын	tɒsmˈɒsɯn
телефонны	tˌelefˈonnɯ
теләүчеләргә	tˌelæˌyɕelˈærɣæ
тормышының	tˌormɯʃˈɯnɯŋ
торуны	torˈunɯ
торырлык	torˈɯrɫɯq
тотам	tˈotɑm
тотуын	totˈuɯn
тотына	totˈɯnɑ
трамвай	trɒmwˈɒɪ
туганлык	tuʁˈɑnɫɯq
туктаган	tuqtˈɑʁɑn
тыелырга	tˌɯeɫˈɯrʁɑ
тынлык	tˈɯnɫɯq
тырышканнар	tˌɯrɯʃqˈɑnnɑr
түрәләренә	tˌyrælærˈenæ
тәкъдименә	tˌækʔdimˈenæ
тәмамланачак	tˌæmɑmɫɑnˈɑɕɑq
тәрбиягә	tˌærbijˈæɣæ
тәрбияләнә	tˌærbijælˈænæ
тәртипне	tærtˈipne
тәрҗемәсен	tˌærʑemˈæsen
төбеннән	tœbˈennæn
төбәгенә	tˌœbæɣˈenæ
төбәкара	tˌœbæqˈɑrɑ
уйнаячак	ˌuɪnɑjˈɑɕɑq
урнаштырылды	ˌurnɑʃtɯrˈɯɫdɯ
урыслары	ˌurɯsɫˈɑrɯ
утравы	utrˈɑwɯ
утырта	utˈɯrtɑ
утырталар	ˌutɯrtˈɑɫɑr
утырышлар	ˌutɯrˈɯʃɫɑr
факультет	fɒqˈuɫʔtet
фильмында	fiɫʔmˈɯndɑ
хакыбыз	xɒqˈɯbɯz
хастаханәсенә	xˌɒstɒxˌɑnæsˈenæ
хупламый	xupɫˈɑmɯj
хупларга	xupɫˈɑrʁɑ
хушлашу	xuʃɫˈɑʃu
хыялланган	xˌɯjɑɫɫˈɑŋʁɑn
хәбәрче	xæbˈærɕe
хәбәрчебез	xˌæbærɕˈebez
хәтерләмим	xˌæterlˈæmim
чикләрне	ɕiklˈærne
чикне	ɕˈikne
чираттан	ɕirˈɑttɑn
чишүдә	ɕiʃˈydæ
чыганакларга	ɕˌɯʁɑnɑqɫˈɑrʁɑ
чыганакларда	ɕˌɯʁɑnɑqɫˈɑrdɑ
шарында	ʃɒrˈɯndɑ
шаян	ʃˈɒjɑn
шикаяте	ʃˌiqɑjˈæte
ширкәтләренә	ʃˌirkætlærˈenæ
шурасын	ʃurˈɑsɯn
шәех	ʃˈæex
шөгыльләнде	ʃˌœʁɯɫʔɫˈænde
экологик	ˌeqoɫˈoʁik
язганча	jɑzʁˈɑnɕɑ
язуда	jɑzˈudɑ
яклардан	jɑqɫˈɑrdɑn
ярышлары	jˌɑrɯʃɫˈɑrɯ
ярышында	jˌɑrɯʃˈɯndɑ
яшендәге	jˌæʃendˈæɣe
җаен	ʑˈɒen
җибәрәбез	ʑˌibærˈæbez
җитешми	ʑitˈeʃmi
җыелмасы	ʑˌɯeɫmˈɑsɯ
җыелышка	ʑˌɯeɫˈɯʃqɑ
җәмәгатьчелегенә	ʑˌæmæʁˌɑtʔɕeleɣˈenæ
җөмһүрият	ʑˌœmhyrˈijæt
ҙа	ðˈɒ
Үзара	yzˈɑrɑ
Үземне	yzˈemne
үле	ˈyle
үсүе	ysˈye
үтенеп	ytˈenep
үтәлешен	ˌytælˈeʃen
Һичшиксез	hiɕʃˈiksez
Һәйкәл	hæˈɪkæl
Әйткәнемчә	ˌæɪtkænˈemɕæ
әйткәне	ˌæɪtkˈæne
әниләр	ænˈilær
өлгесендә	ˌœlɣesˈendæ
Авзалова	ˌɑwzɑɫˈowɑ
Академик	ˌɒqɒdˈemik
Ататөрек	ˌɒtɒtˈœrek
Бикмөхәммәтова	bˌikmœxˌæmmætˈowɑ
Биредәге	bˌiredˈæɣe
Бәшәров	bæʃˈærow
Вакытлы	wɒqˈɯtɫɯ
Вамин	wˈɒmin
Габдрахман	ʁɒbdrˈɒxmɑn
Гудков	ʁˈudqow
Дүртенче	dyrtˈenɕe
Дөрестән	dœrˈestæn
Залда	zˈɒɫdɒ
Заһитов	zɒhˈitow
Зыялы	zɯjˈɑɫɯ
Исламда	isɫˈɑmdɑ
Ифтар	ˈiftɑr
Квебек	kwˈebek
Киевның	kiˈewnɯŋ
Конференция	qˌonferentsˈijæ
Кунак	qˈunɑq
Көнбатышның	kˌœnbɑtˈɯʃnɯŋ
Ленинның	lenˈinnɯŋ
Локомотив	ɫˌoqomˈotiw
Максат	mˈɒqsɒt
Мир	mˈir
Мифтахов	miftˈɑxow
Миңнуллина	mˌiŋnuɫɫˈinɑ
Мәчетләрдә	mˌæɕetlˈærdæ
Насыйбуллин	nˌɒsɯjbˈuɫɫin
Низамов	nizˈɑmow
Николаев	nˌiqoɫˈɑew
Нурислам	nurˈisɫɑm
Нурсолтан	nursˈoɫtɑn
Нәбиев	næbˈiew
Польшадагы	pˌoɫʔʃɑdˈɑʁɯ
Пономарев	pˌonomˈɑrew
Расмуссен	rɒsmˈussen
Раушан	rɒˈuʃɑn
Рафыйк	rˈɒfɯjq
Республикадагы	rˌespubɫˌiqɑdˈɑʁɯ
Риф	rˈif
Сабантуйны	sˌɒbɒntuˈɪnɯ
Сары	sˈɒrɯ
Севастополь	sˌewɑstˈopoɫʔ
Ставрополь	stɑwrˈopoɫʔ
Сәйдә	sæˈɪdæ
Сөйләшүдә	sˌœɪlæʃˈydæ
Твиттер	twˈitter
Тишков	tˈiʃqow
Томски	tˈomsqi
Тәбрис	tˈæbris
Уйлап	uˈɪɫɑp
Урдага	urdˈɑʁɑ
Фин	fˈin
Фнүн	fnˈyn
Фукс	fˈuqs
Фәтхетдинов	fˌætxetdˈinow
Хәбир	xˈæbir
Чиләбедә	ɕˌilæbˈedæ
Читтә	ɕˈittæ
Шакир	ʃˈɒqir
Шахуневич	ʃˌɒxunˈewiɕ
Шәмсия	ʃæmsˈijæ
Юльякшин	juɫʔjˈækʃin
авырлаша	ˌɑwɯrɫˈɑʃɑ
аерырга	ˌɒerˈɯrʁɑ
актерлар	ɒqtˈerɫɑr
алмаучылар	ˌɒɫmɒuɕˈɯɫɑr
алмаячакбыз	ˌɒɫmɒjɑɕˈɑqbɯz
алынгач	ɒɫˈɯŋʁɑɕ
аталырга	ˌɒtɒɫˈɯrʁɑ
атамалар	ˌɒtɒmˈɑɫɑr
ахмак	ˈɒxmɒq
ахыргы	ɒxˈɯrʁɯ
ачтык	ˈɒɕtɯq
ачтылар	ɒɕtˈɯɫɑr
ачырга	ɒɕˈɯrʁɑ
аңлашып	ɒŋɫˈɒʃɯp
баламны	bɒɫˈɒmnɯ
барысында	bˌɒrɯsˈɯndɑ
батырлыгы	bˌɒtɯrɫˈɯʁɯ
беркетмә	berkˈetmæ
берлегендәге	bˌerleɣendˈæɣe
бетермәгән	bˌetermˈæɣæn
биналарга	bˌinɑɫˈɑrʁɑ
бирәчәген	bˌiræɕˈæɣen
биюен	bijˈyen
блокадасы	bɫˌoqɑdˈɑsɯ
бозылды	bozˈɯɫdɯ
борын	bˈorɯn
булгалый	buɫʁˈɑɫɯj
булганнары	bˌuɫʁɑnnˈɑrɯ
булдыгыз	buɫdˈɯʁɯz
булдыруда	bˌuɫdɯrˈudɑ
булуынча	bˌuɫuˈɯnɕɑ
бүгенгесе	bˌyɣeŋɣˈese
бүлә	bˈylæ
бәйләде	bˌæɪlˈæde
бәхетенә	bˌæxetˈenæ
вазыйфасыннан	wˌɒzɯjfɑsˈɯnnɑn
вәгазьләрен	wˌæʁɑzʔɫˈæren
газетада	ʁˌɒzetˈɑdɑ
газеталары	ʁˌɒzetɑɫˈɑrɯ
газетаны	ʁˌɒzetˈɑnɯ
газы	ʁˈɒzɯ
гаризаны	ʁˌɒrizˈɑnɯ
гомеренең	ʁˌomerˈeneŋ
горурлыгы	ʁˌorurɫˈɯʁɯ
грек	ɣrˈek
даирәсен	dˌɒirˈæsen
дидек	dˈidek
дизайнер	dˌizɑˈɪner
журналистның	ʒˌurnɑɫˈistnɯŋ
закон	zˈɒqon
зыянны	zɯjˈɑnnɯ
игъланнар	iʁʔɫˈɑnnɑr
идарәсен	ˌidɑrˈæsen
изоляторында	ˌizoɫjˌɑtorˈɯndɑ
икътисадка	ˌikʔtisˈɑdqɑ
икътисадын	ˌikʔtisˈɑdɯn
империясенең	ˌimperˌijæsˈeneŋ
исенә	isˈenæ
ителгәндә	ˌitelɣˈændæ
итмәделәр	ˌitmædˈelær
ифтарлар	iftˈɑrɫɑr
ихтималлыгы	ˌixtimɑɫɫˈɯʁɯ
ишетми	iʃˈetmi
йокларга	ˌɪoqɫˈɑrʁɑ
йөзле	ɪˈœzle
йөрүчеләрнең	ˌɪœrˌyɕelˈærneŋ
кабатланмас	qˌɒbɒtɫˈɑnmɑs
кайсысы	qˌɒɪsˈɯsɯ
кайтарган	qˌɒɪtˈɑrʁɑn
кайтуга	qˌɒɪtˈuʁɑ
калуда	qɒɫˈudɑ
каналның	qɒnˈɒɫnɯŋ
катнашканнарның	qˌɒtnɒʃqɑnnˈɑrnɯŋ
кг	kɣ
кер	kˈer
керделәр	kerdˈelær
керүгә	kerˈyɣæ
кешеләребез	kˌeʃelærˈebez
кибетләргә	kˌibetlˈærɣæ
килештек	kilˈeʃtek
килүләрен	kˌilylˈæren
киносын	kinˈosɯn
китапларда	kˌitɑpɫˈɑrdɑ
кияргә	kijˈærɣæ
колач	qˈoɫɑɕ
колониягә	qˌoɫonijˈæɣæ
комиссары	qˌomissˈɑrɯ
концертны	qontsˈertnɯ
котылып	qotˈɯɫɯp
кризисны	krizˈisnɯ
криминал	krimˈinɑɫ
курсларына	qˌursɫɑrˈɯnɑ
кызыксынуы	qˌɯzɯqsɯnˈuɯ
кысалар	qɯsˈɑɫɑr
кычкырды	qɯɕqˈɯrdɯ
күзләрен	kyzlˈæren
күмү	kˈymy
күпере	kypˈere
күпне	kˈypne
күпчелектә	kˌypɕelˈektæ
күрелгән	kyrˈelɣæn
күренмәгән	kˌyrenmˈæɣæn
күрмәсен	kyrmˈæsen
күрсәтсә	kyrsˈætsæ
күчерә	kyɕˈeræ
көнчыгышка	kˌœnɕɯʁˈɯʃqɑ
көньягындагы	kˌœnʔjæʁɯndˈɑʁɯ
көт	kˈœt
ләр	lˈær
матбугатының	mˌɒtbuʁɑtˈɯnɯŋ
медальләр	medˈɑɫʔɫær
митингны	mitˈiŋʁnɯ
млрд	mlrd
музеена	mˌuzeˈenɑ
мәгълүматлары	mˌæɣʔlymɑtɫˈɑrɯ
мәгърифәтче	mˌæɣʔrifˈætɕe
мәнфәгатьләр	mˌænfæʁˈɑtʔɫær
мәҗлесенә	mˌæʑlesˈenæ
мөселманны	mˌœseɫmˈɑnnɯ
мөфтиятенә	mˌœftijætˈenæ
мөшкел	mˈœʃkel
намзәтләрнең	nˌɒmzætlˈærneŋ
нидән	nˈidæn
ниятлиләр	nˌijætlˈilær
оешмалардан	ˌoeʃmɑɫˈɑrdɑn
оператор	ˌoperˈɑtor
отышлырак	ˌotɯʃɫˈɯrɑq
охшатып	oxʃˈɑtɯp
очрашуның	ˌoɕrɑʃˈunɯŋ
очрашуына	ˌoɕrɑʃuˈɯnɑ
програмнарын	prˌoʁrɑmnˈɑrɯn
профессионал	prˌofessiˈonɑɫ
расланды	rɒsɫˈɒndɯ
республикаларында	rˌespubɫˌiqɑɫɑrˈɯndɑ
русларны	rusɫˈɑrnɯ
руханилары	rˌuxɑniɫˈɑrɯ
сайлавын	sˌɒɪɫˈɑwɯn
сайлауларның	sˌɒɪɫˌɑuɫˈɑrnɯŋ
сакланачак	sˌɒqɫɒnˈɑɕɑq
саммиты	sɒmmˈitɯ
сарай	sɒrˈɒɪ
сатирик	sɒtˈirik
сатылып	sɒtˈɯɫɯp
станциясендә	stˌɒntsijæsˈendæ
сурәтләр	surˈætlær
сәхифәләрнең	sˌæxifælˈærneŋ
сөйләшсә	sˌœɪlˈæʃsæ
сөйләшүнең	sˌœɪlæʃˈyneŋ
табигатькә	tˌɒbiʁˈɑtʔqæ
тавы	tˈɑwɯ
тагу	tˈɒʁu
тануны	tɒnˈunɯ
таныштык	tɒnˈɯʃtɯq
тапмаган	tɒpmˈɒʁɑn
тармагын	tɒrmˈɒʁɯn
татарчасын	tˌɒtɒrɕˈɑsɯn
таулар	tɒˈuɫɑr
тегендә	teɣˈendæ
теләсәң	telˈæsæŋ
теркәлергә	tˌerkælˈerɣæ
тикшерәчәк	tˌikʃerˈæɕæk
тирә	tˈiræ
торакта	torˈɑqtɑ
тотык	tˈotɯq
тутырылган	tˌutɯrˈɯɫʁɑn
тырышлыкларын	tˌɯrɯʃɫɯqɫˈɑrɯn
түгелбез	tyɣˈelbez
тәэсирләр	tˌæesˈirlær
төзелергә	tˌœzelˈerɣæ
төрмәсенә	tˌœrmæsˈenæ
төшенчәләр	tˌœʃenɕˈælær
төшергәндә	tˌœʃerɣˈændæ
төшерүгә	tˌœʃerˈyɣæ
уйлады	ˌuɪɫˈɑdɯ
улына	uɫˈɯnɑ
утырышны	ˌutɯrˈɯʃnɯ
фатирга	fɒtˈirʁɑ
фатирында	fˌɒtirˈɯndɑ
фатиха	fɒtˈixɑ
фестиваленә	fˌestiwɑɫˈenæ
фильмының	fiɫʔmˈɯnɯŋ
фиркаләре	fˌirqɑɫˈære
фондына	fondˈɯnɑ
формалашкан	fˌormɑɫˈɑʃqɑn
форумны	forˈumnɯ
хаким	xˈɒqim
ханнар	xˈɒnnɒr
хезмәттәше	xˌezmættˈæʃe
христианлаштыру	xrˌistiˌɑnɫɑʃtˈɯru
хәбәрләрен	xˌæbærlˈæren
хәзрәтләр	xæzrˈætlær
