अ	ɐ
पत्त्र	pɐ́t̪t̪ɾɐ
पत्नी	pɐt̪n̪iː
पत्नी	pɐ́t̪n̪iː
पत्रिका	pɐt̪t̪ɾikɑː
पथ	pɐt̪ʰɐ
पथ	pɐt̪ʰɐ́
पथिन्	pɐt̪ʰin̪
पथिन्	pɐ́t̪ʰin̪
पद	pɐd̪ɐ
पद	pɐd̪ɐ́
पद्	pɐd̪
पद्	pɐ́d̪
पद्म	pɐd̪mɐ
पद्यते	pɐd̪jɐt̪eː
पद्यते	pɐ́d̪jɐt̪ɐj
पयस्	pɐjɐs̪
पयस्	pɐ́jɐs̪
पयोहिम	pɐjoːɦimɐ
परशु	pɐɾɐɕu
परशु	pɐɾɐɕú
परस्मैपद	pɐɾɐs̪mɑjpɐd̪ɐ
परस्मैपद	pɐɾɐs̪mɑːjpɐd̪ɐ
परस्वत्	pɐɾɐs̪ʋɐt̪
परस्वत्	pɐ́ɾɐs̪ʋɐt̪
पराकाष्ठा	pɐɾɑːkɑːʂʈʰɑː
पराक्रमी	pɐɾɑːkɾɐmiː
पराभव	pɐɾɑːbʱɐʋɐ
पराशर	pɐɾɑːɕɐɾɐ
पराशर	pɐɾɑːɕɐɾɐ́
पराशॄ	pɐɾɑːɕr̩ː
परि	pɐɾi
परि	pɐ́ɾi
परिच्छिद्	pɐɾitt͡ɕʰid̪
परिच्छेद	pɐɾitt͡ɕʰeːd̪ɐ
परिच्छेद	pɐɾitt͡ɕʰɐjd̪ɐ
परिच्छेदम्	pɐɾitt͡ɕʰeːd̪ɐm
परिच्छेदम्	pɐɾitt͡ɕʰɐjd̪ɐm
परिच्छेदयोस्	pɐɾitt͡ɕʰeːd̪ɐjoːs̪
परिच्छेदयोस्	pɐɾitt͡ɕʰɐjd̪ɐjɐws̪
परिच्छेदस्	pɐɾitt͡ɕʰeːd̪ɐs̪
परिच्छेदस्	pɐɾitt͡ɕʰɐjd̪ɐs̪
परिच्छेदस्य	pɐɾitt͡ɕʰeːd̪ɐs̪jɐ
परिच्छेदस्य	pɐɾitt͡ɕʰɐjd̪ɐs̪jɐ
परिच्छेदात्	pɐɾitt͡ɕʰeːd̪ɑːt̪
परिच्छेदात्	pɐɾitt͡ɕʰɐjd̪ɑːt̪
परिच्छेदानाम्	pɐɾitt͡ɕʰeːd̪ɑːn̪ɑːm
परिच्छेदानाम्	pɐɾitt͡ɕʰɐjd̪ɑːn̪ɑːm
परिच्छेदान्	pɐɾitt͡ɕʰeːd̪ɑːn̪
परिच्छेदान्	pɐɾitt͡ɕʰɐjd̪ɑːn̪
परिच्छेदाभ्याम्	pɐɾitt͡ɕʰeːd̪ɑːbʱjɑːm
परिच्छेदाभ्याम्	pɐɾitt͡ɕʰɐjd̪ɑːbʱjɑːm
परिच्छेदाय	pɐɾitt͡ɕʰeːd̪ɑːjɐ
परिच्छेदाय	pɐɾitt͡ɕʰɐjd̪ɑːjɐ
परिच्छेदासस्	pɐɾitt͡ɕʰeːd̪ɑːs̪ɐs̪
परिच्छेदासस्	pɐɾitt͡ɕʰɐjd̪ɑːs̪ɐs̪
परिच्छेदास्	pɐɾitt͡ɕʰeːd̪ɑːs̪
परिच्छेदास्	pɐɾitt͡ɕʰɐjd̪ɑːs̪
परिच्छेदे	pɐɾitt͡ɕʰeːd̪eː
परिच्छेदे	pɐɾitt͡ɕʰɐjd̪ɐj
परिच्छेदेन	pɐɾitt͡ɕʰeːd̪eːn̪ɐ
परिच्छेदेन	pɐɾitt͡ɕʰɐjd̪ɐjn̪ɐ
परिच्छेदेभिस्	pɐɾitt͡ɕʰeːd̪eːbʱis̪
परिच्छेदेभिस्	pɐɾitt͡ɕʰɐjd̪ɐjbʱis̪
परिच्छेदेभ्यस्	pɐɾitt͡ɕʰeːd̪eːbʱjɐs̪
परिच्छेदेभ्यस्	pɐɾitt͡ɕʰɐjd̪ɐjbʱjɐs̪
परिच्छेदेषु	pɐɾitt͡ɕʰeːd̪eːʂu
परिच्छेदेषु	pɐɾitt͡ɕʰɐjd̪ɐjʂu
परिच्छेदैस्	pɐɾitt͡ɕʰeːd̪ɑjs̪
परिच्छेदैस्	pɐɾitt͡ɕʰɐjd̪ɑːjs̪
परिच्छेदौ	pɐɾitt͡ɕʰeːd̪ɑw
परिच्छेदौ	pɐɾitt͡ɕʰɐjd̪ɑːw
परित्रै	pɐɾit̪ɾɑj
परित्रै	pɐɾit̪ɾɑːj
परिमन्यु	pɐɾimɐn̪ju
परिमन्यु	pɐɾimɐn̪jú
परिवर्तते	pɐɾiʋɐɾt̪ɐt̪eː
परिवर्तते	pɐ́ɾiʋɐɾt̪ɐt̪ɐj
परिवर्तन	pɐɾiʋɐɾt̪ɐn̪ɐ
परिवर्तन	pɐɾiʋɐ́ɾt̪ɐn̪ɐ
परिवर्तित	pɐɾiʋɐɾt̪it̪ɐ
परिविष्ट	pɐɾiʋiʂʈɐ
परिविष्ट	pɐ́ɾiʋiʂʈɐ
परिवृत्	pɐɾiʋr̩t̪
परिषद्	pɐɾiʂɐd̪
परिषद्	pɐɾiʂɐ́d̪
परिष्ठिति	pɐɾiʂʈʰit̪i
परिस्तोम	pɐɾis̪t̪oːmɐ
परीक्षते	pɐɾiːkʂɐt̪eː
परीक्षते	pɐ́ɾiːkʂɐt̪ɐj
परीमन्	pɐɾiːmɐn̪
परीमन्	pɐ́ɾiːmɐn̪
परुत्	pɐɾut̪
परुष	pɐɾuʂɐ
परुष	pɐɾuʂɐ́
परेमन्	pɐɾeːmɐn̪
परेमन्	pɐ́ɾɐjmɐn̪
पर्ण	pɐɾɳɐ
पर्ण	pɐɾɳɐ́
पर्द	pɐɾd̪ɐ
पर्दते	pɐɾd̪ɐt̪eː
पर्दते	pɐ́ɾd̪ɐt̪ɐj
पर्वत	pɐɾʋɐt̪ɐ
पर्वत	pɐ́ɾʋɐt̪ɐ
पर्वन्	pɐɾʋɐn̪
पर्वन्	pɐ́ɾʋɐn̪
पर्शान	pɐɾɕɑːn̪ɐ
पर्शान	pɐ́ɾɕɑːn̪ɐ
पर्शु	pɐɾɕu
पर्शु	pɐ́ɾɕu
पलव	pɐl̪ɐʋɐ
पलाण्डु	pɐl̪ɑːɳɖu
पलायन	pɐl̪ɑːjɐn̪ɐ
पलाव	pɐl̪ɑːʋɐ
पलाव	pɐl̪ɑ́ːʋɐ
पलित	pɐl̪it̪ɐ
पलित	pɐl̪it̪ɐ́
पवमान	pɐʋɐmɑːn̪ɐ
पवमान	pɐ́ʋɐmɑːn̪ɐ
पवयति	pɐʋɐjɐt̪i
पवयति	pɐʋɐ́jɐt̪i
पशव्य	pɐɕɐʋjɐ
पशव्य	pɐɕɐʋjɐ́
पशु	pɐɕu
पशु	pɐɕú
पशु	pɐ́ɕu
पश्चा	pɐɕt͡ɕɑː
पश्चात्	pɐɕt͡ɕɑːt̪
पश्चात्	pɐɕt͡ɕɑ́ːt̪
पश्यति	pɐɕjɐt̪i
पश्यति	pɐ́ɕjɐt̪i
पश्य्	pɐɕj
पसस्	pɐs̪ɐs̪
पसस्	pɐ́s̪ɐs̪
पांसु	pɑ̃ːs̪u
पांसु	pɑ̃ːs̪ú
पागल	pɑːɡɐl̪ɐ
पागल	pɑːɡɐl̪ɐ́
पाटल	pɑːʈɐl̪ɐ
पाटल	pɑːʈɐl̪ɐ́
पाटलिपुत्र	pɑːʈɐl̪iput̪ɾɐ
पाणिनि	pɑːɳin̪i
पाण्डव	pɑːɳɖɐʋɐ
पात	pɑːt̪ɐ
पाताल	pɑːt̪ɑːl̪ɐ
पाति	pɑːt̪i
पाति	pɑ́ːt̪i
पात्र	pɑːt̪ɾɐ
पात्र	pɑ́ːt̪ɾɐ
पादकन्दुक	pɑːd̪ɐkɐn̪d̪ukɐ
पादकन्दुकक्रीडा	pɑːd̪ɐkɐn̪d̪ukɐkɾiːɖɑː
पादत्र	pɑːd̪ɐt̪ɾɐ
पादत्राण	pɑːd̪ɐt̪ɾɑːɳɐ
पादत्राणम्	pɑːd̪ɐt̪ɾɑːɳɐm
पादत्राणयोः	pɑːd̪ɐt̪ɾɑːɳɐjoːh
पादत्राणयोः	pɑːd̪ɐt̪ɾɑːɳɐjɐwh
पादत्राणस्य	pɑːd̪ɐt̪ɾɑːɳɐs̪jɐ
पादत्राणा	pɑːd̪ɐt̪ɾɑːɳɑː
पादत्राणात्	pɑːd̪ɐt̪ɾɑːɳɑːt̪
पादत्राणानाम्	pɑːd̪ɐt̪ɾɑːɳɑːn̪ɑːm
पादत्राणानि	pɑːd̪ɐt̪ɾɑːɳɑːn̪i
पादत्राणाभ्याम्	pɑːd̪ɐt̪ɾɑːɳɑːbʱjɑːm
पादत्राणाय	pɑːd̪ɐt̪ɾɑːɳɑːjɐ
पादत्राणे	pɑːd̪ɐt̪ɾɑːɳeː
पादत्राणे	pɑːd̪ɐt̪ɾɑːɳɐj
पादत्राणेन	pɑːd̪ɐt̪ɾɑːɳeːn̪ɐ
पादत्राणेन	pɑːd̪ɐt̪ɾɑːɳɐjn̪ɐ
पादत्राणेभिः	pɑːd̪ɐt̪ɾɑːɳeːbʱih
पादत्राणेभिः	pɑːd̪ɐt̪ɾɑːɳɐjbʱih
पादत्राणेभ्यः	pɑːd̪ɐt̪ɾɑːɳeːbʱjɐh
पादत्राणेभ्यः	pɑːd̪ɐt̪ɾɑːɳɐjbʱjɐh
पादत्राणेषु	pɑːd̪ɐt̪ɾɑːɳeːʂu
पादत्राणेषु	pɑːd̪ɐt̪ɾɑːɳɐjʂu
पादत्राणैः	pɑːd̪ɐt̪ɾɑːɳɑjh
पादत्राणैः	pɑːd̪ɐt̪ɾɑːɳɑːjh
पादप	pɑːd̪ɐpɐ
पादांशुक	pɑːd̪ɑ̃ːɕukɐ
पादोपधान	pɑːd̪oːpɐd̪ʱɑːn̪ɐ
पादोपधान	pɑːd̪ɐwpɐd̪ʱɑːn̪ɐ
पाप	pɑːpɐ
पाप	pɑːpɐ́
पाप	pɑ́ːpɐ
पापतीति	pɑːpɐt̪iːt̪i
पापतीति	pɑ́ːpɐt̪iːt̪i
पापा	pɑːpɑː
पायु	pɑːju
पायु	pɑːjú
पाय्य	pɑjjɐ
पाय्य	pɑ́ːjjɐ
पार्थिव	pɑːɾt̪ʰiʋɐ
पार्थिव	pɑ́ːɾt̪ʰiʋɐ
पार्ष्णि	pɑːɾʂɳi
पार्ष्णि	pɑ́ːɾʂɳi
पाल	pɑːl̪ɐ
पालक	pɑːl̪ɐkɐ
पालङ्की	pɑːl̪ɐŋkiː
पालयति	pɑːl̪ɐjɐt̪i
पालयति	pɑːl̪ɐ́jɐt̪i
पालि	pɑːl̪i
पालिका	pɑːl̪ikɑː
पावक	pɑːʋɐkɐ
पावक	pɑːʋɐkɐ́
पाषण्ड	pɑːʂɐɳɖɐ
पाषण्ड	pɑ́ːʂɐɳɖɐ
पाषी	pɑːʂiː
पास्यति	pɑːs̪jɐt̪i
पिङ्गल	piŋɡɐl̪ɐ
पिङ्गल	piŋɡɐl̪ɐ́
पिच्छोरा	pitt͡ɕʰoːɾɑː
पिच्छोरा	pitt͡ɕʰɐwɾɑː
पिञ्जर	piɲd͡ʑɐɾɐ
पिता	pit̪ɑː
पिता	pit̪ɑ́ː
पितामह	pit̪ɑːmɐɦɐ
पितामह	pit̪ɑːmɐɦɐ́
पितु	pit̪u
पितु	pit̪ú
पितृ	pit̪r̩
पितृ	pit̪ŕ̩
पितृव्य	pit̪r̩ʋjɐ
पितृव्य	pit̪r̩ʋjɐ́
पिनद्ध	pin̪ɐd̪d̪ʱɐ
पिनद्ध	pin̪ɐ́d̪d̪ʱɐ
पिनष्टि	pin̪ɐʂʈi
पिनाक	pin̪ɑːkɐ
पिनाक	pín̪ɑːkɐ
पिपर्ति	pipɐɾt̪i
पिपर्ति	pípɐɾt̪i
पिपासा	pipɑːs̪ɑː
पिपासा	pipɑːs̪ɑ́ː
पिपीलिका	pipiːl̪ikɑː
पिप्पल	pippɐl̪ɐ
पिप्पल	píppɐl̪ɐ
पिप्पलि	pippɐl̪i
पिबति	pibɐt̪i
पिबति	píbɐt̪i
पिशाच	piɕɑːt͡ɕɐ
पिशाच	piɕɑːt͡ɕɐ́
पिष्ट	piʂʈɐ
पिष्ट	piʂʈɐ́
पी	piː
पीठ	piːʈʰɐ
पीडयति	piːɖɐjɐt̪i
पीडयति	piːɖɐ́jɐt̪i
पीडा	piːɖɑː
पीन	piːn̪ɐ
पीनस	piːn̪ɐs̪ɐ
पीयति	piːjɐt̪i
पीयति	píːjɐt̪i
पीयूष	piːjuːʂɐ
पीयूष	piːjúːʂɐ
पीयूषधाराकिर्	piːjuːʂɐd̪ʱɑːɾɑːkiɾ
पुंस्	puɴs̪
पुंस्	púɴs̪
पुच्छ	putt͡ɕʰɐ
पुच्छ	pútt͡ɕʰɐ
पुण्डरीक	puɳɖɐɾiːkɐ
पुण्डरीक	puɳɖɐ́ɾiːkɐ
पुत्र	put̪ɾɐ
पुत्र	put̪ɾɐ́
पुत्रकाम	put̪ɾɐkɑːmɐ
पुत्रकाम	put̪ɾɐ́kɑːmɐ
पुद्गल	pud̪ɡɐl̪ɐ
पुनर्	pun̪ɐɾ
पुनर्	pún̪ɐɾ
पुनर्दर्शनाय	pun̪ɐɾd̪ɐɾɕɐn̪ɑːjɐ
पुनाति	pun̪ɑːt̪i
पुनाति	pun̪ɑ́ːt̪i
पुरस्	puɾɐs̪
पुरस्	puɾɐ́s̪
पुरा	puɾɑː
पुरा	puɾɑ́ː
पुराण	puɾɑːɳɐ
पुराण	puɾɑːɳɐ́
पुरु	puɾu
पुरु	puɾú
पुरुष	puɾuʂɐ
पुरुष	púɾuʂɐ
पुरोडाश	puɾoːɖɑːɕɐ
पुरोडाश	puɾɐwɖɑ́ːɕɐ
पुरोळाश्	puɾoːɭ̆ɑːɕ
पुरोळाश्	puɾɐwɭ̆ɑ́ːɕ
पुर्	puɾ
पुर्	púɾ
पुल	pul̪ɐ
पुल्ल	pul̪l̪ɐ
पुवस्	puʋɐs̪
पुवस्	púʋɐs̪
पुष्	puʂ
पुष्कलावती	puʂkɐl̪ɑːʋɐt̪iː
पुष्टि	puʂʈi
पुष्टि	púʂʈi
पुष्प	puʂpɐ
पुष्प	púʂpɐ
पुष्पशाक	puʂpɐɕɑːkɐ
पुष्यति	puʂjɐt̪i
पुष्यति	púʂjɐt̪i
पुस्तक	pus̪t̪ɐkɐ
पूजयति	puːd͡ʑɐjɐt̪i
पूजा	puːd͡ʑɑː
पूजा	puːd͡ʑɑ́ː
पूत	puːt̪ɐ
पूत	puːt̪ɐ́
पूय	puːjɐ
पूय	púːjɐ
पूयति	puːjɐt̪i
पूयति	púːjɐt̪i
पूर्	puːɾ
पूर्	púːɾ
पूर्ण	puːɾɳɐ
पूर्ण	puːɾɳɐ́
पूर्णमास्	puːɾɳɐmɑːs̪
पूर्णमास्	puːɾɳɐ́mɑːs̪
पूर्त्वा	puːɾt̪ʋɑː
पूर्व	puːɾʋɐ
पूर्व	púːɾʋɐ
पृ	pr̩
पृच्छति	pr̩tt͡ɕʰɐt̪i
पृच्छति	pr̩tt͡ɕʰɐ́t̪i
पृच्छा	pr̩tt͡ɕʰɑː
पृणक्ति	pr̩ɳɐkt̪i
पृणाति	pr̩ɳɑːt̪i
पृणाति	pr̩ɳɑ́ːt̪i
पृथिवी	pr̩t̪ʰiʋiː
पृथिवी	pr̩t̪ʰiʋíː
पृथु	pr̩t̪ʰu
पृथु	pr̩t̪ʰú
पृथुक	pr̩t̪ʰukɐ
पृथुक	pŕ̩t̪ʰukɐ
पृथ्वी	pr̩t̪ʰʋiː
पृथ्वी	pr̩t̪ʰʋíː
पृषत्	pr̩ʂɐt̪
पृषत्	pŕ̩ʂɐt̪
पृष्ट	pr̩ʂʈɐ
पृष्ट	pr̩ʂʈɐ́
पृष्टि	pr̩ʂʈi
पृष्टि	pr̩ʂʈí
पृष्ठ	pr̩ʂʈʰɐ
पृष्ठ	pr̩ʂʈʰɐ́
पॄ	pr̩ː
पेचक	peːt͡ɕɐkɐ
पेचक	pɐ́jt͡ɕɐkɐ
पेशी	peːɕiː
पेशी	pɐjɕiː
पोषण	poːʂɐɳɐ
पोषण	pɐwʂɐɳɐ
पोस्फोर्ति	poːs̪pʰoːɾt̪i
पोस्फोर्ति	pɐws̪pʰɐwɾt̪i
पौंस्य	pɑ̃ws̪jɐ
पौंस्य	pɑ̃́ːws̪jɐ
पौत्र	pɑwt̪ɾɐ
पौत्र	pɑ́ːwt̪ɾɐ
पौरुष	pɑwɾuʂɐ
पौरुष	pɑːwɾuʂɐ́
पौष्टिक	pɑwʂʈikɐ
पौष्टिक	pɑːwʂʈikɐ
प्यान	pjɑːn̪ɐ
प्यायन	pjɑːjɐn̪ɐ
प्यायित	pjɑːjit̪ɐ
प्यै	pjɑj
प्यै	pjɑːj
प्रउग	pɾɐuɡɐ
प्रउग	pɾɐ́uɡɐ
प्रउग्य	pɾɐuɡjɐ
प्रउग्य	pɾɐuɡjɐ́
प्रचलित	pɾɐt͡ɕɐl̪it̪ɐ
प्रचेतस्	pɾɐt͡ɕeːt̪ɐs̪
प्रचेतस्	pɾɐt͡ɕɐjt̪ɐs̪
प्रजापति	pɾɐd͡ʑɑːpɐt̪i
प्रजापति	pɾɐd͡ʑɑ́ːpɐt̪i
प्रज्ञा	pɾɐd͡ʑɲɑː
प्रज्ञा	pɾɐ́d͡ʑɲɑː
प्रज्ञान	pɾɐd͡ʑɲɑːn̪ɐ
प्रज्ञान	pɾɐd͡ʑɲɑ́ːn̪ɐ
प्रणृत्यति	pɾɐɳr̩t̪jɐt̪i
प्रताडित	pɾɐt̪ɑːɖit̪ɐ
प्रतिगच्छति	pɾɐt̪iɡɐtt͡ɕʰɐt̪i
प्रतिज्ञा	pɾɐt̪id͡ʑɲɑː
प्रतिनिधित्व	pɾɐt̪in̪id̪ʱit̪ʋɐ
प्रतिबुद्ध	pɾɐt̪ibud̪d̪ʱɐ
प्रतिबुद्ध	pɾɐ́t̪ibud̪d̪ʱɐ
प्रतिमन्	pɾɐt̪imɐn̪
प्रतिमा	pɾɐt̪imɑː
प्रतिमा	pɾɐt̪imɑ́ː
प्रतिरोध	pɾɐt̪iɾoːd̪ʱɐ
प्रतिरोध	pɾɐt̪iɾɐwd̪ʱɐ
प्रतिशाखा	pɾɐt̪iɕɑːkʰɑː
प्रतिश्याय	pɾɐt̪iɕjɑːjɐ
प्रतीक	pɾɐt̪iːkɐ
प्रतीक	pɾɐ́t̪iːkɐ
प्रतीति	pɾɐt̪iːt̪i
प्रत्याशिनी	pɾɐt̪jɑːɕin̪iː
प्रत्याशिन्	pɾɐt̪jɑːɕin̪
प्रत्याशी	pɾɐt̪jɑːɕiː
प्रथम	pɾɐt̪ʰɐmɐ
प्रथम	pɾɐt̪ʰɐmɐ́
प्रथस्	pɾɐt̪ʰɐs̪
प्रथस्	pɾɐ́t̪ʰɐs̪
प्रदातोस्	pɾɐd̪ɑːt̪oːs̪
प्रदातोस्	pɾɐd̪ɑːt̪ɐws̪
प्रपद्यते	pɾɐpɐd̪jɐt̪eː
प्रपद्यते	pɾɐpɐd̪jɐt̪ɐj
प्रभु	pɾɐbʱu
प्रभु	pɾɐbʱú
प्रमेतोस्	pɾɐmeːt̪oːs̪
प्रमेतोस्	pɾɐmɐjt̪ɐws̪
प्रवते	pɾɐʋɐt̪eː
प्रवते	pɾɐ́ʋɐt̪ɐj
प्रवदति	pɾɐʋɐd̪ɐt̪i
प्रवस्ते	pɾɐʋɐs̪t̪eː
प्रवस्ते	pɾɐʋɐs̪t̪ɐj
प्रवाचे	pɾɐʋɑːt͡ɕeː
प्रवाचे	pɾɐʋɑ́ːt͡ɕɐj
प्रवेश	pɾɐʋeːɕɐ
प्रवेश	pɾɐʋɐjɕɐ
प्रश्न	pɾɐɕn̪ɐ
प्रश्न	pɾɐɕn̪ɐ́
प्रहेलिका	pɾɐɦeːl̪ikɑː
प्रहेलिका	pɾɐɦɐjl̪ikɑː
प्राकार	pɾɑːkɑːɾɐ
प्राण	pɾɑːɳɐ
प्राण	pɾɑːɳɐ́
प्राणिन्	pɾɑːɳin̪
प्राणी	pɾɑːɳiː
प्रातःकाल	pɾɑːt̪ɐhkɑːl̪ɐ
प्रातर्	pɾɑːt̪ɐɾ
प्रातर्	pɾɑːt̪ɐ́ɾ
प्राथमिक	pɾɑːt̪ʰɐmikɐ
प्रान्त	pɾɑːn̪t̪ɐ
प्राप्तिका	pɾɑːpt̪ikɑː
प्राप्य	pɾɑːpjɐ
प्राप्यक	pɾɑːpjɐkɐ
प्रावृष्	pɾɑːʋr̩ʂ
प्रावृष्	pɾɑːʋŕ̩ʂ
प्रासाद	pɾɑːs̪ɑːd̪ɐ
प्रिय	pɾijɐ
प्रिय	pɾijɐ́
प्रियदर्शिन्	pɾijɐd̪ɐɾɕin̪
प्रीणाति	pɾiːɳɑːt̪i
प्रीणाति	pɾiːɳɑ́ːt̪i
प्रीणीतः	pɾiːɳiːt̪ɐh
प्रीयते	pɾiːjɐt̪eː
प्रीयते	pɾiːjɐt̪ɐj
प्रेत	pɾeːt̪ɐ
प्रेत	pɾɐ́jt̪ɐ
प्रेषण	pɾeːʂɐɳɐ
प्रेषण	pɾɐ́jʂɐɳɐ
प्रेषित	pɾeːʂit̪ɐ
प्रेषित	pɾɐ́jʂit̪ɐ
प्रेष्	pɾeːʂ
प्रेष्	pɾɐ́jʂ
प्रैणान	pɾɑjɳɑːn̪ɐ
प्रैणान	pɾɑːjɳɑːn̪ɐ́
प्रैतोस्	pɾɑjt̪oːs̪
प्रैतोस्	pɾɑːjt̪ɐws̪
प्रौढ	pɾɑwɖʱɐ
प्रौढ	pɾɑːwɖʱɐ
प्लव	pl̪ɐʋɐ
प्लव	pl̪ɐʋɐ́
प्लवते	pl̪ɐʋɐt̪eː
प्लवते	pl̪ɐ́ʋɐt̪ɐj
प्लीहन्	pl̪iːɦɐn̪
प्लीहन्	pl̪iːɦɐ́n̪
प्लुषि	pl̪uʂi
प्लुषि	pl̪úʂi
प्सरस्	ps̪ɐɾɐs̪
प्सरस्	ps̪ɐ́ɾɐs̪
प्सात	ps̪ɑːt̪ɐ
प्सात	ps̪ɑːt̪ɐ́
प्साति	ps̪ɑːt̪i
प्साति	ps̪ɑ́ːt̪i
प्सु	ps̪u
प्सुरस्	ps̪uɾɐs̪
प्सुरस्	ps̪úɾɐs̪
फकार	pʰɐkɑːɾɐ
फडिङ्गा	pʰɐɖiŋɡɑː
फल	pʰɐl̪ɐ
फल	pʰɐ́l̪ɐ
फलक	pʰɐl̪ɐkɐ
फलति	pʰɐl̪ɐt̪i
फलन	pʰɐl̪ɐn̪ɐ
फलनम्	pʰɐl̪ɐn̪ɐm
फलनयोः	pʰɐl̪ɐn̪ɐjoːh
फलनयोः	pʰɐl̪ɐn̪ɐjɐwh
फलनस्य	pʰɐl̪ɐn̪ɐs̪jɐ
फलना	pʰɐl̪ɐn̪ɑː
फलनात्	pʰɐl̪ɐn̪ɑːt̪
फलनानाम्	pʰɐl̪ɐn̪ɑːn̪ɑːm
फलनानि	pʰɐl̪ɐn̪ɑːn̪i
फलनाभ्याम्	pʰɐl̪ɐn̪ɑːbʱjɑːm
फलनाय	pʰɐl̪ɐn̪ɑːjɐ
फलने	pʰɐl̪ɐn̪eː
फलने	pʰɐl̪ɐn̪ɐj
फलनेन	pʰɐl̪ɐn̪eːn̪ɐ
फलनेन	pʰɐl̪ɐn̪ɐjn̪ɐ
फलनेभिः	pʰɐl̪ɐn̪eːbʱih
फलनेभिः	pʰɐl̪ɐn̪ɐjbʱih
फलनेभ्यः	pʰɐl̪ɐn̪eːbʱjɐh
फलनेभ्यः	pʰɐl̪ɐn̪ɐjbʱjɐh
फलनेषु	pʰɐl̪ɐn̪eːʂu
फलनेषु	pʰɐl̪ɐn̪ɐjʂu
फलनैः	pʰɐl̪ɐn̪ɑjh
फलनैः	pʰɐl̪ɐn̪ɑːjh
फल्	pʰɐl̪
फिङ्गक	pʰiŋɡɐkɐ
फिरङ्ग	pʰiɾɐŋɡɐ
फिरङ्गिन्	pʰiɾɐŋɡin̪
फुल्ल	pʰul̪l̪ɐ
फेन	pʰeːn̪ɐ
फेन	pʰɐ́jn̪ɐ
फेनक	pʰeːn̪ɐkɐ
फेनक	pʰɐjn̪ɐkɐ
बकार	bɐkɑːɾɐ
बज	bɐd͡ʑɐ
बजाय	bɐd͡ʑɑːjɐ
बजे	bɐd͡ʑeː
बजे	bɐd͡ʑɐj
बटु	bɐʈu
बदर	bɐd̪ɐɾɐ
बद्ध	bɐd̪d̪ʱɐ
बद्ध	bɐd̪d̪ʱɐ́
बधिर	bɐd̪ʱiɾɐ
बधिर	bɐd̪ʱiɾɐ́
बन्दिनी	bɐn̪d̪in̪iː
बन्दिन्	bɐn̪d̪in̪
बन्ध	bɐn̪d̪ʱɐ
बन्ध	bɐn̪d̪ʱɐ́
बन्धन	bɐn̪d̪ʱɐn̪ɐ
बन्धन	bɐ́n̪d̪ʱɐn̪ɐ
बन्धु	bɐn̪d̪ʱu
बन्धु	bɐ́n̪d̪ʱu
बप्सति	bɐps̪ɐt̪i
बप्सति	bɐ́ps̪ɐt̪i
बभस्ति	bɐbʱɐs̪t̪i
बभस्ति	bɐ́bʱɐs̪t̪i
बभार	bɐbʱɑːɾɐ
बभार	bɐbʱɑ́ːɾɐ
बभूव	bɐbʱuːʋɐ
बभूव	bɐbʱúːʋɐ
बभ्रु	bɐbʱɾu
बभ्रु	bɐbʱɾú
बभ्रे	bɐbʱɾeː
बभ्रे	bɐbʱɾɐj
बर्जह	bɐɾd͡ʑɐɦɐ
बर्जह	bɐ́ɾd͡ʑɐɦɐ
बर्जह्य	bɐɾd͡ʑɐɦjɐ
बर्जह्य	bɐɾd͡ʑɐɦjɐ́
बर्बट	bɐɾbɐʈɐ
बर्बटी	bɐɾbɐʈiː
बर्बर	bɐɾbɐɾɐ
बर्हयति	bɐɾɦɐjɐt̪i
बर्हयति	bɐɾɦɐ́jɐt̪i
बर्हिष्ठ	bɐɾɦiʂʈʰɐ
बर्हिष्ठ	bɐ́ɾɦiʂʈʰɐ
बर्हिस्	bɐɾɦis̪
बर्हिस्	bɐɾɦís̪
बल	bɐl̪ɐ
बल	bɐ́l̪ɐ́
बलीवर्द	bɐl̪iːʋɐɾd̪ɐ
बलीवर्द	bɐl̪iːʋɐ́ɾd̪ɐ
बसयान	bɐs̪ɐjɑːn̪ɐ
बस्त	bɐs̪t̪ɐ
बस्त	bɐs̪t̪ɐ́
बहिः	bɐɦih
बहिर्	bɐɦiɾ
बहिष्	bɐɦiʂ
बहिष्कार	bɐɦiʂkɑːɾɐ
बहिस्	bɐɦis̪
बहिस्	bɐɦís̪
बहु	bɐɦu
बहु	bɐɦú
बहुक	bɐɦukɐ
बहुता	bɐɦut̪ɑː
बहुता	bɐɦút̪ɑː
बहुत्व	bɐɦut̪ʋɐ
बहुत्व	bɐɦút̪ʋɐ
बहुल	bɐɦul̪ɐ
बहुल	bɐɦul̪ɐ́
बहुव्रीहि	bɐɦuʋɾiːɦi
बहुव्रीहि	bɐɦúʋɾiːɦi
बाढ	bɑːɖʱɐ
बाढ	bɑːɖʱɐ́
बाण	bɑːɳɐ
बाधताम्	bɑːd̪ʱɐt̪ɑːm
बाधति	bɑːd̪ʱɐt̪i
बाधति	bɑ́ːd̪ʱɐt̪i
बाधे	bɑːd̪ʱeː
बाधे	bɑːd̪ʱɐj
बान्धव	bɑːn̪d̪ʱɐʋɐ
बाल	bɑːl̪ɐ
बालकेलि	bɑːl̪ɐkeːl̪i
बालकेलि	bɑːl̪ɐkɐjl̪i
बालक्रीडा	bɑːl̪ɐkɾiːɖɑː
