uchinjo	utʃiⁿɗʒo
aliyefikia	alijefikia
mnavyoamini	mnavjoamini
kajihimili	kaʄihimili
kandirinya	kaⁿɗiɾiɲa
mandera	Maⁿɗeɾa
apatapo	apatapo
cheusi	tʃeusi
tandiko	taⁿɗiko
wametahiriw	wametahiɾiw
akataka	akataka
chukue	tʃukue
wakamwambia	wakamwaᵐɓia
ninashika	ninaʃika
kimacho	kimatʃo
manaibu	manaiɓu
ampende	ampeⁿɗe
nikarudi	nikaɾuɗi
amekuja	amekuʄa
rasimu	ɾasimu
dmini	ɗmini
uliotokea	uliotokea
uozo	uozo
mapimapima	mapimapima
iliyofunikwa	ilijofunikwa
elewa	elewa
kuzijua	kuziʄua
marahaba	maɾahaɓa
eksozi	eksozi
shashimamis	ʃaʃimamis
zimefutwa	zimefutwa
kabiri	kaɓiɾi
takiwa	takiwa
kichefuchefu	kitʃefutʃefu
huishi	huiʃi
ofisini	ofisini
walipopata	walipopata
kimea	kimea
nilimpenda	nilimpeⁿɗa
akamwongoza	akamwoᵑgoza
walipotambua	walipotaᵐɓua
kuleya	kuleja
waria	waɾia
mnasema	mnasema
nyambua	ɲaᵐɓua
ratibu	ɾatiɓu
mnachoona	mnatʃoona
kapsabet	Kapsaɓet
mlingano	mliᵑgano
kiliruka	kiliɾuka
itakufahami	itakufahami
mkizaa	mkizaa
hawakuiogop	hawakuioɠop
mashumushumu	maʃumuʃumu
varumai	vaɾumai
hafaidi	hafaiɗi
akishakufa	akiʃakufa
tuwaingie	tuwaiᵑgie
taraji	taɾaʄi
akawauliza	akawauliza
mng'arizo	mŋaɾizo
kumkokotea	kumkokotea
limepewa	limepewa
alivyoniamur	alivjoniamuɾ
angenidhara	aᵑgeniɗhaɾa
imekwishahu	imekwiʃahu
yatoka	jatoka
levya	levja
inayotoka	inajotoka
walifika	walifika
vitaokolewa	vitaokolewa
zimeongezwa	zimeoᵑgezwa
aliapo	aliapo
pande	paⁿɗe
kuniulia	kuniulia
maulidi	mauliɗi
ningetazami	niᵑgetazami
wakorogee	wakoɾoɠee
akawashinda	akawaʃiⁿɗa
athiriwa	aθiɾiwa
kuopolea	kuopolea
kawia	kawia
alikamilisha	alikamiliʃa
fuadini	fuaɗini
kukuabudu	kukuaɓuɗu
mwondoe	mwoⁿɗoe
tarizi	taɾizi
diriji	ɗiɾiʄi
dudumika	ɗuɗumika
stakimu	stakimu
vikasema	vikasema
kufurika	kufuɾika
imefungiwa	imefuᵑgiwa
alipotazama	alipotazama
yakatiririk	jakatiɾiɾik
kukuonyesha	kukuoɲeʃa
wakamwona	wakamwona
kuwaacha	kuwaatʃa
mpenzi	mpeⁿzi
inayokusudi	inajokusuɗi
dugudisha	ɗuɠuɗiʃa
unaobeba	unaoɓeɓa
stara	staɾa
tuguu	tuɠuu
wazimu	wazimu
azipokeaye	azipokeaje
walimzuia	walimzuia
mabalozi	maɓalozi
ashiriana	aʃiɾiana
zinakutana	zinakutana
kimangari	kimaᵑgaɾi
tunguridi	tuᵑguɾiɗi
akawafurahisha	akawafuɾahiʃa
kusafirisha	kusafiɾiʃa
atakutia	atakutia
yamo	jamo
tokomire	tokomiɾe
kuwatieni	kuwatieni
kolwa	kolwa
furama	fuɾama
tutaokoka	tutaokoka
kilichopetwa	kilitʃopetwa
usukani	usukani
aliyekuwa	alijekuwa
hulishika	huliʃika
mkristo	Mkɾisto
kinyesi	kiɲesi
uchaji	utʃaʄi
mbongo	ᵐɓoᵑgo
tarakibu	taɾakiɓu
waiona	waiona
mpele	mpele
anayekujia	anajekuʄia
yanawahusu	janawahusu
lilivutwa	lilivutwa
vitakataka	vitakataka
gooka	ɠooka
unatutia	unatutia
aliyehakikish	alijehakikiʃ
likatokea	likatokea
mivurugano	mivuɾuɠano
kutotimiza	kutotimiza
kilengelenge	kileᵑgeleᵑge
yanayofanyi	janajofaɲi
michemrabasaw	mitʃemɾaɓasaw
shuri	ʃuɾi
watesi	watesi
thakili	θakili
hakuwafanyia	hakuwafaɲia
atamtumikia	atamtumikia
kuoshewa	kuoʃewa
msongo	msoᵑgo
mwashi	mwaʃi
kining'iniacho	kiniŋiniatʃo
aliukumbuka	aliukuᵐɓuka
wahimiza	wahimiza
manahodha	manahoɗha
songamana	soᵑgamana
tengwa	teᵑgwa
otama	otama
ulipojaa	ulipoʄaa
chovu	tʃovu
ziungane	ziuᵑgane
mwongeza	mwoᵑgeza
uananchi	uanantʃi
naivasha	Naivaʃa
amemtuma	amemtuma
bimbiriza	ɓiᵐɓiɾiza
kuwasalimu	kuwasalimu
walijitayaris	waliʄitajaɾis
wamheshimu	wamheʃimu
kadirio	kaɗiɾio
mitapo	mitapo
chata	tʃata
michikicho	mitʃikitʃo
kupeleleza	kupeleleza
magombo	maɠoᵐɓo
tuwezayo	tuwezajo
akitumia	akitumia
jadili	ʄaɗili
ushumbi	uʃuᵐɓi
akaahidi	akaahiɗi
kuwakamata	kuwakamata
akiutegemeza	akiuteɠemeza
elekevu	elekevu
mtakavyohukum	mtakavjohukum
mnofu	mnofu
monduli	Moⁿɗuli
taz	taz
wakanipa	wakanipa
mngefanya	mᵑgefaɲa
nawaza	nawaza
tahadhari	tahaɗhaɾi
itakapokwis	itakapokwis
kijukuu	kiʄukuu
hutegemeza	huteɠemeza
wakawanung'u	wakawanuŋu
nilizifumaje	nilizifumaʄe
nisichopanda	nisitʃopaⁿɗa
niruhusu	niɾuhusu
unakotoka	unakotoka
banjana	ɓaⁿɗʒana
ripuka	ɾipuka
ruka	ɾuka
umelowa	umelowa
wapokeaji	wapokeaʄi
kupasi	kupasi
kumtania	kumtania
kuwatia	kuwatia
dhurubiwa	ɗhuɾuɓiwa
kilichonaswa	kilitʃonaswa
kumta	kumta
loiya	Loija
wanayawinda	wanajawiⁿɗa
kimaana	kimaana
kuishika	kuiʃika
watutii	watutii
linalozungu	linalozuᵑgu
tatiza	tatiza
bimbirishik	ɓiᵐɓiɾiʃik
chenene	tʃenene
mawese	mawese
chanjisha	tʃaⁿɗʒiʃa
shtaka	ʃtaka
kambirani	kaᵐɓiɾani
kinachohusiana	kinatʃohusiana
vilimo	vilimo
idhara	iɗhaɾa
ataokoka	ataokoka
siasa	siasa
wachungaji	watʃuᵑgaʄi
kufungia	kufuᵑgia
ninayempend	ninajempeⁿɗ
kuliepa	kuliepa
nimemtenda	nimemteⁿɗa
zaburi	Zaɓuɾi
atakung'oa	atakuŋoa
isha	iʃa
anayemchukulia	anajemtʃukulia
likwama	likwama
anapokaribi	anapokaɾiɓi
zinazonata	zinazonata
safira	Safiɾa
kutegemeka	kuteɠemeka
akawaingize	akawaiᵑgize
alioa	alioa
kuumiza	kuumiza
kibuluu	kiɓuluu
zikamrudia	zikamɾuɗia
wakaliabudu	wakaliaɓuɗu
hatengenei	hateᵑgenei
asiposana	asiposana
mkimbiaji	mkiᵐɓiaʄi
bezeka	ɓezeka
ajizisha	aʄiziʃa
kichogo	kitʃoɠo
vibati	viɓati
mikando	mikaⁿɗo
humnyanyua	humɲaɲua
tukamtia	tukamtia
hamfanyi	hamfaɲi
unatukuzwa	unatukuzwa
niombe	nioᵐɓe
kitabu	kitaɓu
nikakukosea	nikakukosea
uliwapenda	uliwapeⁿɗa
kilivyoletwa	kilivjoletwa
upanuzi	upanuzi
amhurumie	amhuɾumie
wajamzito	waʄamzito
anionye	anioɲe
aliwawekea	aliwawekea
kashabu	kaʃaɓu
upakiaji	upakiaʄi
endau	Eⁿɗau
alisisitiza	alisisitiza
kidusi	kiɗusi
upole	upole
zinatumiwa	zinatumiwa
michomo	mitʃomo
msiyemjua	msijemʄua
walizi	walizi
bawibia	ɓawiɓia
yanayonukia	janajonukia
mvumanyuki	ᵐvumaɲuki
inaugua	inauɠua
yafananayo	jafananajo
samsoni	Samsoni
umepeuka	umepeuka
usisi	usisi
wakachovya	wakatʃovja
mapochi	mapotʃi
anapitapita	anapitapita
akinionea	akinionea
umeacha	umeatʃa
wanapokaa	wanapokaa
tabua	taɓua
panapotumika	panapotumika
kujinasibisha	kuʄinasiɓiʃa
kiyeye	kijeje
limejaliwa	limeʄaliwa
kumfanyia	kumfaɲia
dhamini	ɗhamini
apelekwaye	apelekwaje
majosho	maʄoʃo
wanaupenda	wanaupeⁿɗa
ameponywa	amepoɲwa
burugiana	ɓuɾuɠiana
mgangaji	mɠaᵑgaʄi
zelabia	zelaɓia
kibapara	kiɓapaɾa
mei	Mei
bashiriana	ɓaʃiɾiana
nililoliteu	nililoliteu
omayo	omajo
hajaishika	haʄaiʃika
zipo	zipo
tupendavyo	tupeⁿɗavjo
nyingi	ɲiᵑgi
aunisha	auniʃa
mleteni	mleteni
mlegevu	mleɠevu
wameniruhusu	wameniɾuhusu
wasizeze	wasizeze
chamkano	tʃamkano
wanavyotama	wanavjotama
mikebe	mikeɓe
hobe	hoɓe
mpeketevu	mpeketevu
ukaramshi	ukaɾamʃi
kukwatua	kukwatua
kilimia	kilimia
majito	maʄito
hakitawadhur	hakitawaɗhuɾ
halambe	halaᵐɓe
vikaharibik	vikahaɾiɓik
yanifurahis	janifuɾahis
perepesa	peɾepesa
akamtoka	akamtoka
mihindi	mihiⁿɗi
kupevuka	kupevuka
kimebomoka	kimeɓomoka
likaitwa	likaitwa
gombea	ɠoᵐɓea
kutukutika	kutukutika
machafuko	matʃafuko
ujengelele	uʄeᵑgelele
vikwaru	vikwaɾu
ukikuta	ukikuta
watashangili	wataʃaᵑgili
tetewanga	tetewaᵑga
nawaulizeni	nawaulizeni
wanavyotoa	wanavjotoa
trekta	tɾekta
ije	iʄe
hushonwa	huʃonwa
aliyesulibiw	alijesuliɓiw
uchezaji	utʃezaʄi
mlaanifu	mlaanifu
vigodo	viɠoɗo
alizowea	alizowea
hatuhitaji	hatuhitaʄi
msihukumu	msihukumu
mhifadhi	mhifaɗhi
mwogofyo	mwoɠofjo
kupetwa	kupetwa
manokoa	manokoa
changulika	tʃaᵑgulika
mawaga	mawaɠa
nyweza	ɲweza
akafunuliwa	akafunuliwa
vilivyopiganwa	vilivjopiɠanwa
myororo	mjoɾoɾo
mwasisi	mwasisi
bebea	ɓeɓea
barsaloi	Baɾsaloi
linaloeleze	linaloeleze
inayogandama	inajoɠaⁿɗama
makoma	makoma
kimatu	kimatu
eliakimu	Eliakimu
kuieleza	kuieleza
izu	izu
saba	saɓa
cheleo	tʃeleo
nilisikia	nilisikia
vimetameta	vimetameta
kisiasa	kisiasa
wakalinda	wakaliⁿɗa
mwaminini	mwaminini
umetonesha	umetoneʃa
licha	litʃa
maangamizo	maaᵑgamizo
mtai	mtai
waliwaambie	waliwaaᵐɓie
asiyechukua	asijetʃukua
kumradhi	kumɾaɗhi
kamwinua	kamwinua
kutumaini	kutumaini
mchembe	mtʃeᵐɓe
vifabakazi	vifaɓakazi
kilicholengwa	kilitʃoleᵑgwa
jivuna	ʄivuna
zinasaidia	zinasaiɗia
kukushibish	kukuʃiɓiʃ
dharauliana	ɗhaɾauliana
anajua	anaʄua
atawalaye	atawalaje
utenganisho	uteᵑganiʃo
pukuso	pukuso
kikariri	kikaɾiɾi
propoza	pɾopoza
fungandoa	fuᵑgaⁿɗoa
yatakayozun	jatakajozun
arika	aɾika
mwamizi	mwamizi
kuwatambikia	kuwataᵐɓikia
uliyoifanya	ulijoifaɲa
hadhari	haɗhaɾi
sukumiza	sukumiza
zonga	zoᵑga
mashikizo	maʃikizo
zingirisha	ziᵑgiɾiʃa
nakuita	nakuita
mteji	mteʄi
kuyaona	kujaona
wanaotumia	wanaotumia
nyenyekea	ɲeɲekea
hutengenezea	huteᵑgenezea
wastiri	wastiɾi
mbura	ᵐɓuɾa
nitakuona	nitakuona
wanangu	wanaᵑgu
wapinzani	wapiⁿzani
mbomoko	ᵐɓomoko
bernike	Beɾnike
anayechosha	anajetʃoʃa
hafukasti	hafukasti
likamwudhi	likamwuɗhi
tojo	toʄo
akazitia	akazitia
inayoujia	inajouʄia
dhurubu	ɗhuɾuɓu
inavyojulik	inavjoʄulik
unaotokeza	unaotokeza
kamekufa	kamekufa
ninawaomben	ninawaoᵐɓen
anapelekea	anapelekea
legea	leɠea
rehemu	ɾehemu
hamkubadili	hamkuɓaɗili
anayewinda	anajewiⁿɗa
tumekwisha	tumekwiʃa
unaogandishwa	unaoɠaⁿɗiʃwa
kitororo	kitoɾoɾo
mafya	mafja
zidiwa	ziɗiwa
fupisha	fupiʃa
fusa	fusa
sikumtazama	sikumtazama
marko	Maɾko
kohli	kohli
machakos	Matʃakos
hatumtaki	hatumtaki
kumhubiri	kumhuɓiɾi
yalinipiga	jalinipiɠa
makoja	makoʄa
makago	makaɠo
alivyoamua	alivjoamua
nikamsikia	nikamsikia
kuonana	kuonana
pulika	pulika
nguli	ᵑguli
iliyojipeta	ilijoʄipeta
mzuzi	mzuzi
watakaoisiki	watakaoisiki
koakoa	koakoa
mistatili	mistatili
madhii	maɗhii
watoke	watoke
msajili	msaʄili
wanifundish	wanifuⁿɗiʃ
mikunjuo	mikuⁿɗʒuo
usiyoyala	usijojala
msiyoifikiri	msijoifikiɾi
tunataka	tunataka
patia	patia
hupokea	hupokea
akaizuia	akaizuia
kibinja	kiɓiⁿɗʒa
alionyesha	alioɲeʃa
mamanua	mamanua
nge	ᵑge
ningetaka	niᵑgetaka
naichekea	naitʃekea
kichujio	kitʃuʄio
konzi	koⁿzi
noa	noa
lishana	liʃana
atawadhihir	atawaɗhihiɾ
punguani	puᵑguani
wamfanyie	wamfaɲie
hababu	haɓaɓu
wakasema	wakasema
bembeja	ɓeᵐɓeʄa
mmejinenepe	mmeʄinenepe
alikataliwa	alikataliwa
tuliyojaliw	tulijoʄaliw
husudi	husuɗi
bonyea	ɓoɲea
walionywea	walioɲwea
dururi	ɗuɾuɾi
ikiyafichua	ikijafitʃua
ujomba	uʄoᵐɓa
kuwaharibieni	kuwahaɾiɓieni
uvimbe	uviᵐɓe
utakiona	utakiona
mbano	ᵐɓano
kudhalilisha	kuɗhaliliʃa
daa	ɗaa
mabuti	maɓuti
itujie	ituʄie
nimpate	nimpate
mwafulani	mwafulani
alipotaka	alipotaka
kiapo	kiapo
mmarekani	Mmaɾekani
akipita	akipita
mmeokolewa	mmeokolewa
kiungu	kiuᵑgu
sikukupunja	sikukupuⁿɗʒa
nimekutumiki	nimekutumiki
kung'ara	kuŋaɾa
kuponoa	kuponoa
nikamwona	nikamwona
tengewa	teᵑgewa
nilimwacha	nilimwatʃa
kunakuchwa	kunakutʃwa
viinimacho	viinimatʃo
walionichukia	walionitʃukia
mpweke	mpweke
mpenyezi	mpeɲezi
koana	koana
unaounganishwa	unaouᵑganiʃwa
dadavulia	ɗaɗavulia
iblisi	iɓlisi
jiti	ʄiti
chacharika	tʃatʃaɾika
anatutahadh	anatutahaɗh
akaipanda	akaipaⁿɗa
akaaye	akaaje
alipokupia	alipokupia
zinatajwa	zinataʄwa
linalovaliw	linalovaliw
mzawa	mzawa
duwara	ɗuwaɾa
kaltiveta	kaltiveta
kinataka	kinataka
makueri	Makueɾi
ulinisaidia	ulinisaiɗia
kumtoroka	kumtoɾoka
halazimiki	halazimiki
kiberenge	kiɓeɾeᵑge
springi	spɾiᵑgi
micheche	mitʃetʃe
kuzumburu	kuzuᵐɓuɾu
ubinja	uɓiⁿɗʒa
halijakuwa	haliʄakuwa
imefunuliwa	imefunuliwa
usimkwaze	usimkwaze
egemeka	eɠemeka
utaharibiwa	utahaɾiɓiwa
umito	umito
tutaishi	tutaiʃi
kutanabahi	kutanaɓahi
zinduka	ziⁿɗuka
alipoisoma	alipoisoma
zilizochong	zilizotʃoᵑg
ukosekanaji	ukosekanaʄi
mpelekwa	mpelekwa
taanusi	taanusi
akamwinua	akamwinua
awepo	awepo
usodawi	usoɗawi
unywele	uɲwele
nimemwomba	nimemwoᵐɓa
vyatosha	vjatoʃa
yakaayo	jakaajo
ukakitoa	ukakitoa
kukisaga	kukisaɠa
zilizoteketez	zilizoteketez
kumtafuta	kumtafuta
vifano	vifano
maziwa	maziwa
tutoke	tutoke
ugimbi	uɠiᵐɓi
aliyaweka	alijaweka
sikieni	sikieni
mkataka	mkataka
keta	keta
krisolito	kɾisolito
inayowapata	inajowapata
vipao	vipao
soka	soka
unazofanya	unazofaɲa
waliolemaa	waliolemaa
ikamilishen	ikamiliʃen
ukawafunguki	ukawafuᵑguki
rithisha	ɾiθiʃa
dirikana	ɗiɾikana
akwami	akwami
ondosha	oⁿɗoʃa
kuyachanganua	kujatʃaᵑganua
wanaonilipa	wanaonilipa
tawaliwa	tawaliwa
isisitizwe	isisitizwe
usiopimika	usiopimika
stempu	stempu
vibama	viɓama
natafakari	natafakaɾi
lisilo	lisilo
hausemi	hausemi
alimwahidia	alimwahiɗia
komunisti	komunisti
unaofungwa	unaofuᵑgwa
miba	miɓa
tuwatende	tuwateⁿɗe
anaongelea	anaoᵑgelea
amikto	amikto
sijitafutii	siʄitafutii
nyonyota	ɲoɲota
liwaza	liwaza
vigongo	viɠoᵑgo
onea	onea
kupofuka	kupofuka
liliopo	liliopo
twatazamia	twatazamia
wakazungumz	wakazuᵑgumz
nunu	nunu
kinyong'onyo	kiɲoŋoɲo
tulikufa	tulikufa
atanitukuza	atanitukuza
aliyewekewa	alijewekewa
kaza	kaza
usiotegemewa	usioteɠemewa
mtendea	mteⁿɗea
msisimko	msisimko
vikaramba	vikaɾaᵐɓa
kiga	kiɠa
kunguwaa	kuᵑguwaa
hujayaoga	huʄajaoɠa
mwabudu	mwaɓuɗu
mmezitakasa	mmezitakasa
mgono	mɠono
mtakufa	mtakufa
akawatawanya	akawatawaɲa
aliyofananisha	alijofananiʃa
inapoonekan	inapoonekan
kinyonga	kiɲoᵑga
amemchinjia	amemtʃiⁿɗʒia
kufikiriwa	kufikiɾiwa
parama	paɾama
kukaribiwa	kukaɾiɓiwa
abtali	aɓtali
himulimuli	himulimuli
mgambo	mɠaᵐɓo
yatukie	jatukie
kikapita	kikapita
kikombo	kikoᵐɓo
akahakikisha	akahakikiʃa
fuja	fuʄa
walianza	waliaⁿza
kuchutama	kutʃutama
mpakuzi	mpakuzi
tosi	tosi
kaguliwa	kaɠuliwa
dhamana	ɗhamana
akaimega	akaimeɠa
waabudu	waaɓuɗu
wanauza	wanauza
yatapotea	jatapotea
wanaloitana	wanaloitana
hatuujali	hatuuʄali
agizwa	aɠizwa
nyinyi	ɲiɲi
papai	papai
waliyoyafany	walijojafaɲ
mduara	mɗuaɾa
kuanguka	kuaᵑguka
yamefanana	jamefanana
jori	ʄoɾi
kifandugu	kifaⁿɗuɠu
adria	Aɗɾia
mkulivu	mkulivu
chungunzima	tʃuᵑguⁿzima
dhumma	ɗhumma
fanyeni	faɲeni
vikuto	vikuto
hakujapata	hakuʄapata
anayegombanish	anajeɠoᵐɓaniʃ
krete	Kɾete
chapuka	tʃapuka
bugudhu	ɓuɠuɗhu
vichwani	vitʃwani
mgange	mɠaᵑge
walipomkuta	walipomkuta
aushi	auʃi
yanayotumiw	janajotumiw
hajafikia	haʄafikia
uliomtendea	uliomteⁿɗea
vikataa	vikataa
jingizi	ʄiᵑgizi
mkamtupe	mkamtupe
wakashika	wakaʃika
huipokea	huipokea
hukuwaacha	hukuwaatʃa
wanaadamu	wanaaɗamu
udevu	uɗevu
wanatumwa	wanatumwa
mikweo	mikweo
chamka	tʃamka
wafanyakazi	wafaɲakazi
kisu	kisu
wanaonidhul	wanaoniɗhul
linifunike	linifunike
chongoa	tʃoᵑgoa
wanabaraza	wanaɓaɾaza
kuongezeka	kuoᵑgezeka
amwambia	amwaᵐɓia
huvimbisha	huviᵐɓiʃa
nikasikia	nikasikia
makekele	makekele
asiende	asieⁿɗe
nakutaka	nakutaka
parakasa	paɾakasa
marsabit	Maɾsaɓit
binya	ɓiɲa
mizuka	mizuka
kilichomegeka	kilitʃomeɠeka
lionyeshalo	lioɲeʃalo
majanga	maʄaᵑga
elewana	elewana
sitawaacha	sitawaatʃa
hujanipa	huʄanipa
zinazochang	zinazotʃaᵑg
uaginta	uaɠinta
kufitini	kufitini
mwananchi	mwanantʃi
anavyojipend	anavjoʄipeⁿɗ
chikwaya	tʃikwaja
kijongo	kiʄoᵑgo
ilivyotokea	ilivjotokea
tajamali	taʄamali
chenjegele	tʃeⁿɗʒeɠele
kitaadhibiwa	kitaaɗhiɓiwa
alimzaba	alimzaɓa
buki	ɓuki
nikiweza	nikiweza
aibaye	aiɓaje
akihuzunika	akihuzunika
ufanyaji	ufaɲaʄi
nitawakuta	nitawakuta
ugavu	uɠavu
wacheza	watʃeza
wakamsimamis	wakamsimamis
kuwatembele	kuwateᵐɓele
pingusi	piᵑgusi
hauliwi	hauliwi
kushindana	kuʃiⁿɗana
walichukizw	walitʃukizw
shidani	ʃiɗani
hushikilia	huʃikilia
waonekana	waonekana
hurunzi	huɾuⁿzi
vipimio	vipimio
msivae	msivae
inayotakikana	inajotakikana
akawaalika	akawaalika
uliyotoa	ulijotoa
alimotoka	alimotoka
ufumbaji	ufuᵐɓaʄi
inaonyeshwa	inaoɲeʃwa
nikamwendea	nikamweⁿɗea
hania	hania
mapalizi	mapalizi
tapanyika	tapaɲika
kutupatia	kutupatia
siria	Siɾia
zibuliwa	ziɓuliwa
kuwatoa	kuwatoa
sasamlanda	sasamlaⁿɗa
yaliyokusan	jalijokusan
msistaajabie	msistaaʄaɓie
ikaungua	ikauᵑgua
nilijitesa	niliʄitesa
yanayolinga	janajoliᵑga
iliyopeteka	ilijopeteka
kilikaa	kilikaa
haribiko	haɾiɓiko
nyanja	ɲaⁿɗʒa
watanijua	wataniʄua
mlijaza	mliʄaza
tunaogopa	tunaoɠopa
wanawatesa	wanawatesa
zilizobadil	zilizoɓaɗil
aliokwisha	aliokwiʃa
fuchua	futʃua
siyo	sijo
mnakujua	mnakuʄua
nukuu	nukuu
ndogo	ⁿɗoɠo
kuhubiriwa	kuhuɓiɾiwa
tunamfahamu	tunamfahamu
ulimaji	ulimaʄi
ving'aavyo	viŋaavjo
manja	maⁿɗʒa
mfafanuzi	mfafanuzi
yamemsumbua	jamemsuᵐɓua
linaloleta	linaloleta
nimeitii	nimeitii
sakubimbi	sakuɓiᵐɓi
nitamuitiki	nitamuitiki
vilivyofumbwa	vilivjofuᵐɓwa
halisi	halisi
sina	sina
fido	fiɗo
vianzo	viaⁿzo
utomvu	utoᵐvu
kulalana	kulalana
kuliondoa	kulioⁿɗoa
uliolengwa	ulioleᵑgwa
ngamani	ᵑgamani
anatembea	anateᵐɓea
walei	walei
uzalendo	uzaleⁿɗo
mbogo	ᵐɓoɠo
fofofo	fofofo
ninapoimba	ninapoiᵐɓa
uwapatie	uwapatie
watamtazama	watamtazama
subana	suɓana
laula	laula
niliyotenda	nilijoteⁿɗa
wivu	wivu
gamba	ɠaᵐɓa
niliyaona	nilijaona
videvu	viɗevu
nuko	nuko
porkio	Poɾkio
mwatoka	mwatoka
urahini	uɾahini
mchapo	mtʃapo
waliwasikia	waliwasikia
nyukua	ɲukua
hakimu	hakimu
bohari	ɓohaɾi
mseja	mseʄa
ananithibiti	ananiθiɓiti
anaposema	anaposema
watamnyoshe	watamɲoʃe
wanaowatende	wanaowateⁿɗe
unaofanya	unaofaɲa
hamuyakubali	hamujakuɓali
mnapomtaja	mnapomtaʄa
kuendelea	kueⁿɗelea
awabariki	awaɓaɾiki
utokaji	utokaʄi
donea	ɗonea
unaambatana	unaaᵐɓatana
pembejo	peᵐɓeʄo
sakafiwa	sakafiwa
vinapotokea	vinapotokea
vikatokea	vikatokea
mota	mota
ulimtuliza	ulimtuliza
fungamano	fuᵑgamano
chafuliwa	tʃafuliwa
kichwa	kitʃwa
ukikukosesh	ukikukoseʃ
hayumo	hajumo
haukumtambua	haukumtaᵐɓua
waliosema	waliosema
kukumbuka	kukuᵐɓuka
niutangaze	niutaᵑgaze
kitukutuku	kitukutuku
pinde	piⁿɗe
sitiri	sitiɾi
unasubiri	unasuɓiɾi
tutatosheka	tutatoʃeka
nitatafakar	nitatafakaɾ
shirikisha	ʃiɾikiʃa
mikingamo	mikiᵑgamo
machanga	matʃaᵑga
masunagogi	masunaɠoɠi
gonda	ɠoⁿɗa
akanipatia	akanipatia
atakayeyapot	atakajejapot
mliloamriwa	mliloamɾiwa
hataki	hataki
msichoke	msitʃoke
kuibariki	kuiɓaɾiki
koo	koo
wabulukwa	waɓulukwa
kuwaelezeni	kuwaelezeni
hongwe	hoᵑgwe
wakizungumz	wakizuᵑgumz
uokovu	uokovu
uasherati	uaʃeɾati
yalimeta	jalimeta
tukiza	tukiza
aliwasimulia	aliwasimulia
mikarafuu	mikaɾafuu
nilikwisha	nilikwiʃa
zafarini	zafaɾini
ajisalimishaye	aʄisalimiʃaje
kibonge	kiɓoᵑge
akaigeukia	akaiɠeukia
ikamwambia	ikamwaᵐɓia
hakujishughul	hakuʄiʃuɠhul
gamti	ɠamti
msimwambie	msimwaᵐɓie
alimdhulumu	alimɗhulumu
wafikapo	wafikapo
mwonye	mwoɲe
mkavu	mkavu
tegewa	teɠewa
nashughulika	naʃuɠhulika
vikaanguka	vikaaᵑguka
ichunike	itʃunike
mbuuzo	ᵐɓuuzo
watakatifu	watakatifu
shetasheta	ʃetaʃeta
mnagawa	mnaɠawa
walipogundua	walipoɠuⁿɗua
wanaomtumik	wanaomtumik
onjwa	oⁿɗʒwa
umeleta	umeleta
anayebariki	anajeɓaɾiki
mamaako	mamaako
haitiririki	haitiɾiɾiki
rebeka	Reɓeka
waharibu	wahaɾiɓu
kuti	kuti
sulubika	suluɓika
aliugua	aliuɠua
buguikia	ɓuɠuikia
gubikwa	ɠuɓikwa
mtaanza	mtaaⁿza
mpepezi	mpepezi
mhuni	mhuni
waliokutana	waliokutana
zidia	ziɗia
wahamiaji	wahamiaʄi
nunguni	Nuᵑguni
ugemaji	uɠemaʄi
mrua	mɾua
nguu	ᵑguu
kishutuo	kiʃutuo
kijambia	kiʄaᵐɓia
nikajenga	nikaʄeᵑga
dungana	ɗuᵑgana
mkitenda	mkiteⁿɗa
akawakuta	akawakuta
chimbo	tʃiᵐɓo
mapanga	mapaᵑga
kutotobolewa	kutotoɓolewa
ilivyotumiwa	ilivjotumiwa
kikome	kikome
mikumbuu	mikuᵐɓuu
dodosa	ɗoɗosa
akazusha	akazuʃa
uliokusanyw	uliokusaɲw
angeokolewa	aᵑgeokolewa
inayosimuliwa	inajosimuliwa
mbungu	ᵐɓuᵑgu
afisi	afisi
imerembwa	imeɾeᵐɓwa
fikara	fikaɾa
midoshi	miɗoʃi
kiranja	kiɾaⁿɗʒa
kihalua	kihalua
wanawali	wanawali
kuwapo	kuwapo
ilie	ilie
mnchani	mntʃani
mwendekeze	mweⁿɗekeze
yazizime	jazizime
ameweza	ameweza
kuhudumia	kuhuɗumia
rabsha	ɾaɓʃa
kufurahika	kufuɾahika
mgumio	mɠumio
ruhani	ɾuhani
hutapatwa	hutapatwa
mizeituni	mizeituni
haikuweza	haikuweza
anauma	anauma
wakinong'ona	wakinoŋona
magololi	maɠololi
msikizi	msikizi
siisahau	siisahau
alilishika	aliliʃika
tangalachi	taᵑgalatʃi
kuniadhibu	kuniaɗhiɓu
tendwa	teⁿɗwa
yamenifika	jamenifika
ruzuku	ɾuzuku
haliwezi	haliwezi
mathibitisha	maθiɓitiʃa
akawajibu	akawaʄiɓu
vikatiwa	vikatiwa
ungewaua	uᵑgewaua
wamelazwa	wamelazwa
tawafa	tawafa
mtayarishieni	mtajaɾiʃieni
atawapatanis	atawapatanis
pendelewa	peⁿɗelewa
vyuo	vjuo
kuyauza	kujauza
wasiohitaji	wasiohitaʄi
atajifunga	ataʄifuᵑga
mvutano	ᵐvutano
ikaleta	ikaleta
zebe	zeɓe
pwea	pwea
kuzifanya	kuzifaɲa
