guztientzako	ɡus̻tˈient͡s̻akˌo
Itzuli	it͡s̻ˈulˌi
batekiko	batˈekikˌo
ibaia	iβˈa͡ɪˌa
hurbildu	uɾβˈilðˌu
hamarkada	amˈaɾkaðˌa
armadak	aɾmˈaðˌak
diolako	diˈolakˌo
matxinatu	mat͡ʃˈiɲatˌu
Arlo	ˈaɾlo
irakurgai	iɾˈakuɾɣˌa͡ɪ
kapituluetan	kapˈituluetˌan
Muturreko	mutˈurekˌo
administratzen	admˈinis̺tɾat͡s̻ˌen
m	ˈeme
testuingurutan	tes̺tˈuinɡuɾutˌan
Blanco	blˈanko
kargatzeko	kaɾɣˈat͡s̻ekˌo
isolamendua	is̺ˈolamenduˌa
Argiak	aɾɣˈiˌak
Ruth	rˈut
ibilerak	iβˈiʎeɾˌak
Harresiaren	arˈes̺iaɾˌen
aldizkariak	alðˈis̻kaɾiˌak
Arazoak	aɾˈas̻oˌak
Zerrenda	s̻erˈendˌa
izendegia	is̻ˈendeɣiˌa
laukizuzena	la͡ʊkˈis̻us̻enˌa
kuantikoak	kuˈantikoˌak
azkartu	as̻kˈaɾtˌu
sahiestu	s̺aˈies̺tˌu
zorrotzaren	s̻orˈot͡s̻aɾˌen
auzotarrek	a͡ʊs̻ˈotarˌek
arabierazko	aɾˈaβieɾas̻kˌo
jendarte	ɟendˈaɾtˌe
bakar	bakˈaɾ
liburuetako	liβˈuɾuetakˌo
proportzioan	pɾopˈoɾt͡s̻ioˌan
norberaren	noɾβˈeɾaɾˌen
ikuspegia	ikˈus̺peɣiˌa
labur	laβˈuɾ
unibertsoa	unˈiβeɾt͡s̺oˌa
zerbitzu	s̻eɾβˈit͡s̻ˌu
izpien	is̻pˈiˌen
Hamahiru	amˈaiɾˌu
baxu	bˈaʃu
hantxe	ˈant͡ʃe
arnasketa	aɾnˈas̺ketˌa
abere	aβˈeɾˌe
zoru	s̻ˈoɾu
olerkigintza	olˈeɾkiɣint͡s̻ˌa
biluzik	biʎˈus̻ˌik
ezinbestekotzat	es̻ˈinbes̺tekot͡s̻ˌat
zeukala	s̻e͡ʊkˈalˌa
komiko	komˈikˌo
Txikiren	t͡ʃikˈiɾˌen
isurtzen	is̺ˈuɾt͡s̻ˌen
piramidea	piɾˈamiðeˌa
Fox	fˈoʃ
badia	baðˈiˌa
laguntzaren	laɣˈunt͡s̻aɾˌen
konspirazio	kons̺pˈiɾas̻iˌo
Jokin	ɟokˈin
erreplika	erˈeplikˌa
handiagoaren	andˈiaɣoaɾˌen
Horri	ˈori
Krimeako	kɾimˈeakˌo
dauzkaten	da͡ʊs̻kˈatˌen
motatan	motˈatˌan
hegoaldekoak	eɣˈoalðekoˌak
aplikazioa	aplˈikas̻ioˌa
zahartu	s̻aˈaɾtˌu
tanta	tˈanta
Agirreren	aɣˈireɾˌen
hobean	oβˈeˌan
egoeraz	eɣˈoeɾˌas̻
mendetik	mendˈetˌik
latzak	lat͡s̻ˈak
garrantzitsutzat	ɡarˈant͡s̻it͡s̺ut͡s̻ˌat
Bizitzan	bis̻ˈit͡s̻ˌan
kuantikoan	kuˈantikoˌan
arazoren	aɾˈas̻oɾˌen
Hauteskundeak	a͡ʊtˈes̺kundeˌak
galtzaile	ɡalt͡s̻ˈa͡ɪʎˌe
bultzaturik	bult͡s̻ˈatuɾˌik
Malik	malˈik
gezileiho	ɡes̻ˈiʎe͡ɪˌo
habitat	aβˈitˌat
bigarrengo	biɣˈarenɡˌo
bermatuta	beɾmˈatutˌa
Industriari	indˈus̺tɾiaɾˌi
atalez	atˈalˌes̻
mamuak	mamˈuˌak
Neska	nˈes̺ka
artzainen	aɾt͡s̻ˈa͡ɪɲˌen
bildurik	bilðˈuɾˌik
lan	lˈan
batuta	batˈutˌa
gutxiagoan	ɡut͡ʃˈiaɣoˌan
garbiagoa	ɡaɾβˈiaɣoˌa
zentripetua	s̻entɾˈipetuˌa
EAEn	eˈaˌen
jatorrian	ɟatˈoriˌan
ikertzaile	ikˈeɾt͡s̻a͡ɪʎˌe
orokorreko	oɾˈokorekˌo
murrizteko	murˈis̻tekˌo
melodiak	melˈoðiˌak
balu	bˈalu
kanadar	kanˈaðˌaɾ
kontseiluan	kont͡s̺ˈe͡ɪʎuˌan
garapenaren	ɡaɾˈapenaɾˌen
batik	batˈik
Kanariar	kanˈaɾiˌaɾ
soinuarekin	s̺o͡ɪɲˈuaɾekˌin
kontsumoak	kont͡s̺ˈumoˌak
diseinuak	dis̺ˈe͡ɪɲuˌak
isun	is̺ˈun
autonomia	a͡ʊtˈonomiˌa
dorre	dˈore
dinamiko	diɲˈamikˌo
kristalezko	kɾis̺tˈales̻kˌo
enpresetan	enpɾˈes̺etˌan
desberdindu	des̺βˈeɾðindˌu
Illinois	iʎˈiɲˌo͡ɪs̺
ohiturazko	oˈituɾas̻kˌo
Atenas	atˈenˌas̺
bezalako	bes̻ˈalakˌo
parlamentari	paɾlˈamentaɾˌi
Leire	lˈe͡ɪɾe
funtzioen	funt͡s̻ˈioˌen
Blood	bloˈod
gertakariei	ɡeɾtˈakaɾiˌe͡ɪ
adiera	aðˈieɾˌa
bakarti	bakˈaɾtˌi
tontor	tontˈoɾ
lurrari	lurˈaɾˌi
Uharteetako	uˈaɾteetakˌo
naturalean	natˈuɾaleˌan
Sektore	s̺ektˈoɾˌe
erupzio	eɾˈups̻iˌo
lehentasunezko	leˈentas̺unes̻kˌo
lantanoide	lantˈano͡ɪðˌe
Boterea	botˈeɾeˌa
zahar	s̻aˈaɾ
erregina	erˈeɣiɲˌa
generoen	ɡenˈeɾoˌen
ikusia	ikˈus̺iˌa
hareazko	aɾˈeas̻kˌo
eskakizunei	es̺kˈakis̻unˌe͡ɪ
irakastea	iɾˈakas̺teˌa
egokitzen	eɣˈokit͡s̻ˌen
Nabarmena	naβˈaɾmenˌa
altxatua	alt͡ʃˈatuˌa
nabaria	naβˈaɾiˌa
beroago	beɾˈoaɣˌo
balkoi	bˈalko͡ɪ
When	uˈen
proiektuen	pɾo͡ɪˈektuˌen
mosaiko	mos̺ˈa͡ɪkˌo
ertzak	eɾt͡s̻ˈak
elkartze	elkˈaɾt͡s̻ˌe
harrera	arˈeɾˌa
aplikazioetan	aplˈikas̻ioetˌan
euren	e͡ʊɾˈen
Galiziako	ɡalˈis̻iakˌo
nork	nˈoɾk
abesti	aβˈes̺tˌi
arrazoitu	arˈas̻o͡ɪtˌu
aldaketen	alðˈaketˌen
Inguruko	inɡˈuɾukˌo
Centro	θˈentɾo
handitzat	andˈit͡s̻ˌat
kulturatan	kultˈuɾatˌan
eskainita	es̺kˈa͡ɪɲitˌa
egona	eɣˈonˌa
gaitzesten	ɡa͡ɪt͡s̻ˈes̺tˌen
derrigorrezko	derˈiɣores̻kˌo
normandiar	noɾmˈandiˌaɾ
Sobietarrek	s̺oβˈietarˌek
musikal	mus̺ˈikˌal
mugatzaile	muɣˈat͡s̻a͡ɪʎˌe
Erkidegoan	eɾkˈiðeɣoˌan
Lehenak	leˈenˌak
sei	s̺ˈe͡ɪ
influentzia	inflˈuent͡s̻iˌa
soldaduei	s̺olðˈaðuˌe͡ɪ
otsoa	ot͡s̺ˈoˌa
korapilatu	koɾˈapiʎatˌu
konpositore	konpˈos̺itoɾˌe
tiraka	tiɾˈakˌa
daramate	daɾˈamatˌe
aldiko	alðˈikˌo
zientifiko	s̻iˈentifikˌo
Ahoan	aˈoˌan
aurpegia	a͡ʊɾpˈeɣiˌa
galdutako	ɡalðˈutakˌo
Haran	aɾˈan
Alberdi	alβˈeɾðˌi
gatazkan	ɡatˈas̻kˌan
zigilua	s̻iɣˈiʎuˌa
bilobak	biʎˈoβˌak
jaistea	ɟa͡ɪs̺tˈeˌa
guztiek	ɡus̻tˈiˌek
diplomatikoak	diplˈomatikoˌak
adikzioa	aðˈiks̻ioˌa
salbuetsita	s̺alβˈuet͡s̺itˌa
ispiluak	is̺pˈiʎuˌak
Poloniaren	polˈoniaɾˌen
generotan	ɡenˈeɾotˌan
etorbideak	etˈoɾβiðeˌak
formarik	foɾmˈaɾˌik
albokoa	alβˈokoˌa
istripuak	is̺tɾˈipuˌak
tximista	t͡ʃimˈis̺tˌa
Austriaren	a͡ʊs̺tɾˈiaɾˌen
sexuaren	s̺eks̺ˈuaɾˌen
egokitu	eɣˈokitˌu
probintziaren	pɾoβˈint͡s̻iaɾˌen
jardueran	ɟaɾðˈueɾˌan
jaiotzatik	ɟa͡ɪˈot͡s̻atˌik
arriskutsua	arˈis̺kut͡s̺uˌa
gaudela	ɡa͡ʊðˈelˌa
txorien	t͡ʃoɾˈiˌen
esleitutako	es̺lˈe͡ɪtutakˌo
hel	ˈel
inork	iɲˈoɾk
lokalak	lokˈalˌak
jaialdian	ɟa͡ɪˈalðiˌan
Ikuskizun	ikˈus̺kis̻ˌun
Behaketa	beˈaketˌa
ohitu	oˈitˌu
Imanolek	imˈanolˌek
laguntzaile	laɣˈunt͡s̻a͡ɪʎˌe
Caro	kˈaɾo
Deunaren	de͡ʊnˈaɾˌen
arto	ˈaɾto
Enrique	enɾˈikˌe
organismoaren	oɾɣˈanis̺moaɾˌen
ekialderantz	ekˈialðeɾˌant͡s̻
To	tˈo
Horra	ˈora
alderantzizkoa	alðˈeɾant͡s̻is̻koˌa
depresio	depɾˈes̺iˌo
nobelaren	noβˈelaɾˌen
latzetan	lat͡s̻ˈetˌan
gaizkia	ɡa͡ɪs̻kˈiˌa
urruntzen	urˈunt͡s̻ˌen
erara	eɾˈaɾˌa
gelditzean	ɡelðˈit͡s̻eˌan
garezur	ɡaɾˈes̻ˌuɾ
akademikoak	akˈaðemikoˌak
zait	s̻ˈa͡ɪt
piper	pipˈeɾ
Cook	koˈok
Herriak	erˈiˌak
fitxategien	fit͡ʃˈateɣiˌen
Eraikuntzaren	eɾˈa͡ɪkunt͡s̻aɾˌen
Batzarraren	bat͡s̻ˈaraɾˌen
handienetako	andˈienetakˌo
Ponce	pˈonθe
husten	us̺tˈen
gorrien	ɡorˈiˌen
Gazta	ɡˈas̻ta
klasikoko	klas̺ˈikokˌo
gunean	ɡunˈeˌan
St	ˌes̺etˈe
jaurtitako	ɟa͡ʊɾtˈitakˌo
orientazio	oɾˈientas̻iˌo
Behinola	be͡ɪɲˈolˌa
Sorkuntza	s̺oɾkˈunt͡s̻ˌa
Journal	ɟoˈuɾnˌal
norbanakoa	noɾβˈanakoˌa
egituraren	eɣˈituɾaɾˌen
Iberiako	iβˈeɾiakˌo
gailentzen	ɡa͡ɪʎˈent͡s̻ˌen
beka	bˈeka
Irun	iɾˈun
Institut	ins̺tˈitˌut
Igoera	iɣˈoeɾˌa
Eugenia	e͡ʊɣˈeniˌa
Aktibitate	aktˈiβitatˌe
kadete	kaðˈetˌe
Akademiako	ˌakaðˈemiˌako
partean	paɾtˈeˌan
Amsterdamen	ams̺tˈeɾðamˌen
urri	ˈuri
Augustoren	a͡ʊɣˈus̺toɾˌen
zuelakoan	s̻uˈelakoˌan
kakao	kakˈaˌo
argala	aɾɣˈalˌa
ko	ko
Hizkera	is̻kˈeɾˌa
soluzio	s̺olˈus̻iˌo
filmerako	filmˈeɾakˌo
gehixeago	ɡe͡ɪʃˈeaɣˌo
zakarra	s̻akˈarˌa
bukatzen	bukˈat͡s̻ˌen
Hil	ˈil
ugariagoak	uɣˈaɾiaɣoˌak
industriagune	indˈus̺tɾiaɣunˌe
sinesmena	s̺iɲˈes̺menˌa
tratatzea	tɾatˈat͡s̻eˌa
berezien	beɾˈes̻iˌen
hormetan	oɾmˈetˌan
sarituak	s̺aɾˈituˌak
liberalaren	liβˈeɾalaɾˌen
Leongo	leˈonɡˌo
bizilagunek	bis̻ˈiʎaɣunˌek
aritua	aɾˈituˌa
gutxitzeak	ɡut͡ʃˈit͡s̻eˌak
defendatzaileen	defˈendat͡s̻a͡ɪʎeˌen
energetikoa	enˈeɾɣetikoˌa
handiengatik	andˈienɡatˌik
Inguruan	inɡˈuɾuˌan
gutxien	ɡut͡ʃˈiˌen
espektroa	es̺pˈektɾoˌa
hausteko	a͡ʊs̺tˈekˌo
eratu	eɾˌatˌu
jasan	ɟas̺ˈan
Irratia	irˈatiˌa
Haranean	aɾˈaneˌan
bateriaren	batˈeɾiaɾˌen
hartzailearen	aɾt͡s̻ˈa͡ɪʎeaɾˌen
Australiako	a͡ʊs̺tɾˈaliakˌo
nahasturik	naˈas̺tuɾˌik
Gohanek	ɡoˈanˌek
lanetako	lanˈetakˌo
sortzerakoan	s̺oɾt͡s̻ˈeɾakoˌan
txirrindulariko	t͡ʃirˈindulaɾikˌo
Arku	ˈaɾku
aireratu	a͡ɪɾˈeɾatˌu
ezkertiarren	es̻kˈeɾtiarˌen
Arga	ˈaɾɣa
inon	iɲˈon
itsasargi	it͡s̺ˈas̺aɾɣˌi
gehigarri	ɡe͡ɪɣˈarˌi
erlazionaturik	eɾlˈas̻ionatuɾˌik
turkiarrak	tuɾkˈiarˌak
fabrikak	faβɾˈikˌak
menderatzen	mendˈeɾat͡s̻ˌen
grabatuak	ɡɾaβˈatuˌak
Nabarrok	naβˈarˌok
asanblada	as̺ˈanblaðˌa
kanpokoa	kanpˈokoˌa
oinarria	o͡ɪɲˈariˌa
egindakoa	eɣˈindakoˌa
Race	rˈaθe
beraiekin	beɾˈa͡ɪekˌin
Gonzalo	ɡons̻ˈalˌo
Gainean	ɡa͡ɪɲˈeˌan
larruazalean	larˈuas̻aleˌan
Aurrealdean	a͡ʊrˈealðeˌan
altuerarekin	altˈueɾaɾekˌin
Brigada	bɾiɣˈaðˌa
larruazalaren	larˈuas̻alaɾˌen
inguruneetan	inɡˈuɾuneetˌan
erreferentzi	erˈefeɾent͡s̻ˌi
Hirien	iɾˈiˌen
nagusiari	naɣˈus̺iaɾˌi
progresiboa	pɾoɣɾˈes̺iβoˌa
kontrolatutako	kontɾˈolatutakˌo
motorraren	motˈoraɾˌen
Ministerioko	minˈis̺teɾiokˌo
Hori	ˈoɾi
gorabeherako	ɡoɾˈaβeeɾakˌo
terminoak	teɾmˈiɲoˌak
GIBa	ɡˈiβa
praktikoa	pɾaktˈikoˌa
botoak	botˈoˌak
lehortzeko	leˈoɾt͡s̻ekˌo
konbinazioak	konbˈiɲas̻ioˌak
espezialistak	es̺pˈes̻ialis̺tˌak
daitekeenez	da͡ɪtˈekeenˌes̻
pentsa	pˈent͡s̺a
kazetaria	kas̻ˈetaɾiˌa
kontsumitzaileak	kont͡s̺ˈumit͡s̻a͡ɪʎeˌak
Spencer	s̺penθˈeɾ
proposamenak	pɾopˈos̺amenˌak
jaieguna	ɟa͡ɪˈeɣunˌa
LGBT	ˌeleɣˌeβˌetˈe
ezbehar	es̻βˈeˌaɾ
Bizi	bˈis̻i
eskuinaldean	es̺kˈuiɲalðeˌan
jardun	ɟaɾðˈun
Brian	bɾiˈan
Ministroa	minˈis̺tɾoˌa
baizen	ba͡ɪs̻ˈen
norbaiten	noɾβˈa͡ɪtˌen
malkartsuak	malkˈaɾt͡s̺uˌak
gaztetxean	ɡas̻tˈet͡ʃeˌan
erabilerarekin	eɾˈaβiʎeɾaɾekˌin
ospatuz	os̺pˈatˌus̻
egitasmo	eɣˈitas̺mˌo
Luz	lˈus̻
metanfetamina	metˈanfetamiɲˌa
urarekin	uɾˈaɾekˌin
Hango	ˈanɡo
negozioan	neɣˈos̻ioˌan
munduak	mundˈuˌak
Arrazoia	arˈas̻o͡ɪˌa
berriztu	berˈis̻tˌu
liberalismoaren	liβˈeɾalis̺moaɾˌen
toponimoa	topˈonimoˌa
eraztunaren	eɾˈas̻tunaɾˌen
iruzurgile	iɾˈus̻uɾɣiʎˌe
energiaren	enˈeɾɣiaɾˌen
Txinaren	t͡ʃiɲˈaɾˌen
ospitaleetan	os̺pˈitaleetˌan
tradizionalarekin	tɾaðˈis̻ionalaɾekˌin
aurrekoak	a͡ʊrˈekoˌak
artisten	aɾtˈis̺tˌen
sekretu	s̺ekɾˈetˌu
gelaren	ɡelˈaɾˌen
geratuko	ɡeɾˈatukˌo
Olivier	olˈiβiˌeɾ
telefonoak	telˈefonoˌak
intsektuak	int͡s̺ˈektuˌak
taldean	talðˈeˌan
grekoak	ɡɾekˈoˌak
Tunel	tunˈel
luzatzen	lus̻ˈat͡s̻ˌen
Katolikoen	katˈolikoˌen
herriaren	erˈiaɾˌen
kontakizunean	kontˈakis̻uneˌan
kontrolik	kontɾˈolˌik
robot	roβˈot
estatusa	es̺tˈatus̺ˌa
pertsonentzako	peɾt͡s̺ˈonent͡s̻akˌo
pasartea	pas̺ˈaɾteˌa
karratuko	karˈatukˌo
gradualki	ɡɾaðˈualkˌi
muntaia	muntˈa͡ɪˌa
gogoratu	ɡoɣˈoɾatˌu
eredutzat	eɾˈeðut͡s̻ˌat
aldaketaren	alðˈaketaɾˌen
bisualki	bis̺ˈualkˌi
sumendiak	s̺umˈendiˌak
Covent	koβˈent
ikatza	ikˈat͡s̻ˌa
Ibaizabal	iβˈa͡ɪs̻aβˌal
formen	foɾmˈen
erdigunean	eɾðˈiɣuneˌan
deklarazio	deklˈaɾas̻iˌo
Praktikan	pɾaktˈikˌan
Historikoa	is̺tˈoɾikoˌa
baimenduta	ba͡ɪmˈendutˌa
Artola	aɾtˈolˌa
Ostera	os̺tˈeɾˌa
Murphy	mˈuɾpjj
Venezuela	benˈes̻uelˌa
gailur	ɡa͡ɪʎˈuɾ
gotiko	ɡotˈikˌo
Ardura	aɾðˈuɾˌa
automatikoki	a͡ʊtˈomatikokˌi
garaipenik	ɡaɾˈa͡ɪpenˌik
urteetatik	uɾtˈeetatˌik
gaiari	ɡa͡ɪˈaɾˌi
konstantea	kons̺tˈanteˌa
magistratu	maɣˈis̺tɾatˌu
Otsoa	ot͡s̺ˈoˌa
sozialki	s̺os̻ˈialkˌi
Espedizioa	es̺pˈeðis̻ioˌa
hobetzeko	oβˈet͡s̻ekˌo
ligak	liɣˈak
kuboa	kuβˈoˌa
gauerdian	ɡa͡ʊˈeɾðiˌan
dokumentatu	dokˈumentatˌu
estaldura	es̺tˈalðuɾˌa
aurrekariak	a͡ʊrˈekaɾiˌak
Little	lˈicle
indartsuago	indˈaɾt͡s̺uaɣˌo
kontrastea	kontɾˈas̺teˌa
egileek	eɣˈiʎeˌek
bezeroa	bes̻ˈeɾoˌa
gai	ɡˈa͡ɪ
konpontzeko	konpˈont͡s̻ekˌo
Metal	metˈal
bileran	biʎˈeɾˌan
izkinetan	is̻kˈiɲetˌan
Edmond	edmˈond
Rogersek	roɣˈeɾs̺ˌek
elementuek	elˈementuˌek
haizearen	a͡ɪs̻ˈeaɾˌen
kontra	kˈontɾa
Kritikaren	kɾitˈikaɾˌen
Publikoa	puβlˈikoˌa
hegalean	eɣˈaleˌan
Madrilen	maðɾˈiʎˌen
Miguel	miɣˈuˌel
moztutako	mos̻tˈutakˌo
bateratu	batˈeɾatˌu
kutxak	kut͡ʃˈak
Programak	pɾoɣɾˈamˌak
sortzailea	s̺oɾt͡s̻ˈa͡ɪʎeˌa
zakurra	s̻akˈurˌa
biziduna	bis̻ˈiðunˌa
Futbol	futβˈol
erraztuko	erˈas̻tukˌo
ohiturei	oˈituɾˌe͡ɪ
segurtasunari	s̺eɣˈuɾtas̺unaɾˌi
utzirik	ut͡s̻ˈiɾˌik
euskalduna	e͡ʊs̺kˈalðunˌa
ibiltari	iβˈiltaɾˌi
Internazionalaren	intˈeɾnas̻ionalaɾˌen
berrikuntza	berˈikunt͡s̻ˌa
atzelari	at͡s̻ˈelaɾˌi
bultzatzen	bult͡s̻ˈat͡s̻ˌen
ibiltzeko	iβˈilt͡s̻ekˌo
zalantzak	s̻alˈant͡s̻ˌak
enplegatzen	enplˈeɣat͡s̻ˌen
Edukiak	eðˈukiˌak
eme	ˈeme
oinezkoentzako	o͡ɪɲˈes̻koent͡s̻akˌo
lakuak	lakˈuˌak
dugulako	duɣˈulakˌo
sarraski	s̺arˈas̺kˌi
plan	plˈan
Erramun	erˈamˌun
Odin	oðˈin
geroago	ɡeɾˈoaɣˌo
konpetentzia	konpˈetent͡s̻iˌa
filma	fˈilma
gortera	ɡoɾtˈeɾˌa
jauntxoen	ɟa͡ʊnt͡ʃˈoˌen
sozialistak	s̺os̻ˈialis̺tˌak
morfologikoak	moɾfˈoloɣikoˌak
Buruaren	buɾˈuaɾˌen
Frontea	fɾontˈeˌa
Hotzaren	ot͡s̻ˈaɾˌen
arrazoiaren	arˈas̻o͡ɪaɾˌen
izotza	is̻ˈot͡s̻ˌa
ibiltariak	iβˈiltaɾiˌak
hondoko	ondˈokˌo
alkatearen	alkˈateaɾˌen
espedizio	es̺pˈeðis̻iˌo
eragiketen	eɾˈaɣiketˌen
erakartzea	eɾˈakaɾt͡s̻eˌa
Literatur	litˈeɾatˌuɾ
irtenbiderik	iɾtˈenbiðeɾˌik
ordezkatuz	oɾðˈes̻katˌus̻
Hauteskundeetan	a͡ʊtˈes̺kundeetˌan
laguntzen	laɣˈunt͡s̻ˌen
fabrikazioa	faβɾˈikas̻ioˌa
sexualaren	s̺eks̺ˈualaɾˌen
ekonomialari	ekˈonomialaɾˌi
errepresentazioa	erˈepɾes̺entas̻ioˌa
beragatik	beɾˈaɣatˌik
Three	tɾˈee
garrantzitsu	ɡarˈant͡s̻it͡s̺ˌu
eleberriko	elˈeβerikˌo
genoma	ɡenˈomˌa
alderdiak	alðˈeɾðiˌak
biloba	biʎˈoβˌa
aurrerapausoak	a͡ʊrˈeɾapa͡ʊs̺oˌak
Hotelean	otˈeleˌan
kontserbatzea	kont͡s̺ˈeɾβat͡s̻eˌa
Ba	bˈa
matematikoaren	matˈematikoaɾˌen
senideek	s̺enˈiðeˌek
Sirakusako	s̺iɾˈakus̺akˌo
espetxeratuak	es̺pˈet͡ʃeɾatuˌak
partekatutako	paɾtˈekatutakˌo
eskakizunak	es̺kˈakis̻unˌak
iraungitze	iɾˈa͡ʊnɡit͡s̻ˌe
Zaila	s̻ˈa͡ɪʎa
batailoiko	batˈa͡ɪʎo͡ɪkˌo
harrapakina	arˈapakiɲˌa
desbideratzen	des̺βˈiðeɾat͡s̻ˌen
Siberiako	s̺iβˈeɾiakˌo
Joaquin	xˌoakˈin
Zeruko	s̻eɾˈukˌo
serbiarra	s̺eɾβˈiarˌa
alegoria	alˈeɣoɾiˌa
idatzian	iðˈat͡s̻iˌan
Pauline	pa͡ʊlˈiɲˌe
espresuki	es̺pɾˈes̺ukˌi
Belfast	belfˈas̺t
Unibertsitate	unˈiβeɾt͡s̺itatˌe
norbaitekin	noɾβˈa͡ɪtekˌin
Ikasleek	ikˈas̺leˌek
eskaeraren	es̺kˈaeɾaɾˌen
desagerturik	des̺ˈaɣeɾtuɾˌik
Tenpluak	tenplˈuˌak
FK	ˌefekˈa
merkatuko	meɾkˈatukˌo
arrazoitzeko	arˈas̻o͡ɪt͡s̻ekˌo
ekuazioaren	ekˈuas̻ioaɾˌen
aipagarriena	a͡ɪpˈaɣarienˌa
hilketaren	ilkˈetaɾˌen
Aldundia	alðˈundiˌa
nagusiaren	naɣˈus̺iaɾˌen
uneetan	unˈeetˌan
txuria	t͡ʃuɾˈiˌa
nagusiak	naɣˈus̺iˌak
Aragón	ˌaɾaɣˈon
Vianako	biˈanakˌo
Medici	meðˈikˌi
txapelketan	t͡ʃapˈelketˌan
Iruñea	iɾˈuɲeˌa
interneten	intˈeɾnetˌen
Rikardo	rikˈaɾðˌo
ero	ˈeɾo
gain	ɡˈa͡ɪn
ELA	ˈela
aukeratuta	a͡ʊkˈeɾatutˌa
artikuluen	aɾtˈikuluˌen
segitzen	s̺eɣˈit͡s̻ˌen
matxino	mat͡ʃˈiɲˌo
Eliz	elˈis̻
Pieter	piˈetˌeɾ
praktikan	pɾaktˈikˌan
modelatu	moðˈelatˌu
Irakaslea	iɾˈakas̺leˌa
Zapata	s̻apˈatˌa
Alberto	alβˈeɾtˌo
Sri	s̺ɾˈi
talderen	talðˈeɾˌen
klubak	kluβˈak
erantsiz	eɾˈant͡s̺ˌis̻
genearen	ɡenˈeaɾˌen
posibleak	pos̺ˈiβleˌak
xurgapen	ʃuɾɣˈapˌen
Kritikari	kɾitˈikaɾˌi
gaixoei	ɡa͡ɪʃˈoˌe͡ɪ
edukitzeaz	eðˈukit͡s̻eˌas̻
ingelesera	inɡˈeles̺eɾˌa
maitasunaren	ma͡ɪtˈas̺unaɾˌen
horrenbesteko	orˈenbes̺tekˌo
inplementatzeko	inplˈementat͡s̻ekˌo
ohar	oˈaɾ
fluidoak	fluˈiðoˌak
aurkakotasun	a͡ʊɾkˈakotas̺ˌun
modernoan	moðˈeɾnoˌan
malgutasun	malɣˈutas̺ˌun
definizioan	defˈiɲis̻ioˌan
sagua	s̺aɣˈuˌa
ezagutuko	es̻ˈaɣutukˌo
itotzen	itˈot͡s̻ˌen
Alderdiaren	alðˈeɾðiaɾˌen
lurraldea	lurˈalðeˌa
eguzkia	eɣˈus̻kiˌa
magnetikoa	maɡnˈetikoˌa
Bad	bˈad
apuntatzen	apˈuntat͡s̻ˌen
Gizaki	ɡis̻ˈakˌi
Erriberan	erˈiβeɾˌan
mineral	miɲˈeɾˌal
gainbegiratzen	ɡa͡ɪnbˈeɣiɾat͡s̻ˌen
eskubiderik	es̺kˈuβiðeɾˌik
ezkonduko	es̻kˈondukˌo
hilean	iʎˈeˌan
editatu	eðˈitatˌu
museoaren	mus̺ˈeoaɾˌen
gauzek	ɡa͡ʊs̻ˈek
teila	tˈe͡ɪʎa
Berriak	berˈiˌak
Bibliaren	biβlˈiaɾˌen
laikoak	la͡ɪkˈoˌak
karrerak	karˈeɾˌak
Agatoklesen	aɣˈatokles̺ˌen
Vienako	biˈenakˌo
Demokrataren	demˈokɾataɾˌen
arrazaren	arˈas̻aɾˌen
maitaleak	ma͡ɪtˈaleˌak
taldekako	talðˈekakˌo
tamainagatik	tamˈa͡ɪɲaɣatˌik
infekzio	infˈeks̻iˌo
ausartak	a͡ʊs̺ˈaɾtˌak
inperialaren	inpˈeɾialaɾˌen
oztopatzen	os̻tˈopat͡s̻ˌen
izatekoa	is̻ˈatekoˌa
noranzkoetan	noɾˈans̻koetˌan
abeslarien	aβˈes̺laɾiˌen
eman	emˈan
bitxiak	bit͡ʃˈiˌak
nota	nˈota
enpresa	enpɾˈes̺ˌa
moderatu	moðˈeɾatˌu
dentsitatea	dent͡s̺ˈitateˌa
etxea	et͡ʃˈeˌa
Jokoetako	ɟokˈoetakˌo
duenean	duˈeneˌan
erradiazioak	erˈaðias̻ioˌak
tratamenduaren	tɾatˈamenduaɾˌen
sinatzea	s̺iɲˈat͡s̻eˌa
y	ˈiɣɾˈekoˌa
sendoena	s̺endˈoenˌa
harritzekoa	arˈit͡s̻ekoˌa
komunak	komˈunˌak
espezialisten	es̺pˈes̻ialis̺tˌen
Errioxan	erˈioʃˌan
Oñatin	oɲˈatˌin
erresumako	erˈes̺umakˌo
ordain	oɾðˈa͡ɪn
ofizialik	ofˈis̻ialˌik
Billy	bˈiʎjj
Frai	fɾˈa͡ɪ
baliokidea	balˈiokiðeˌa
hedapenak	eðˈapenˌak
birritan	birˈitˌan
portugesa	poɾtˈuɣes̺ˌa
instituzioek	ins̺tˈitus̻ioˌek
elizan	elˈis̻ˌan
ta	tˈa
margolanean	maɾɣˈolaneˌan
oihala	o͡ɪˈalˌa
egiaztapena	eɣˈias̻tapenˌa
leinuak	le͡ɪɲˈuˌak
Suediak	s̺uˈeðiˌak
egitasmoa	eɣˈitas̺moˌa
jendeari	ɟendˈeaɾˌi
egiteaz	eɣˈiteˌas̻
zutelako	s̻utˈelakˌo
indargabetu	indˈaɾɣaβetˌu
Dorothy	doɾˈotjj
Bakarrik	bakˈarˌik
Mendebalde	mendˈeβalðˌe
