服務	fʊk˨mou˨
宍	jʊk˨
遺孀	wɐi˨˩sœ:ŋ˥
亟待解決	kɪk˥tɔ:i˨ka:i˧˥kʰy:t˧
死於安樂	sei˧˥jy:˥ŋɔ:n˥lɔ:k˨,sei˧˥jy:˥ɔ:n˥lɔ:k˨
嗍水	sɔ:k˧sɵy˧˥
有鑑於	jɐu˩˧ka:m˧jy:˥
絞肉機	ka:u˧˥jʊk˨kei˥
嘅時候	kɛ:˧si:˨˩hɐu˨
箜篌	hʊŋ˥hɐu˨˩
偷跑	tʰɐu˥pʰa:u˧˥
電解電容器	ti:n˨ka:i˧˥ti:n˨jʊŋ˨˩hei˧
重溫舊夢	tsʰʊŋ˨˩wɐn˥kɐu˨mʊŋ˨
騙案	pʰi:n˧ɔ:n˧,pʰi:n˧ŋɔ:n˧
芸薹	wɐn˨˩tʰɔ:i˨˩
推究	tʰɵy˥kɐu˧
詞頭	tsʰi:˨˩tʰɐu˨˩
西洋棋	sɐi˥jœ:ŋ˨˩kʰei˨˩
一生人	jɐt˥sa:ŋ˥jɐn˨˩
透爐	tʰɐu˧lou˨˩
兵刃	pɪŋ˥jɐn˨
篘	tsʰɐu˥
師徒	si:˥tʰou˨˩
除低	tsʰɵy˨˩tɐi˥
仃	tɪŋ˥
半球形	pu:n˧kʰɐu˨˩jɪŋ˨˩
有辣有唔辣	jɐu˩˧la:t˨jɐu˩˧m̩˨˩la:t˨
售票處	sɐu˨pʰi:u˧sy:˧
心竅	sɐm˥hi:u˧
審判員	sɐm˧˥pʰu:n˧jy:n˨˩
護庇	wu:˨pei˧
竫	tsɪŋ˨
鬘	ma:n˨˩
尊稱	tsy:n˥tsʰɪŋ˥
牽扯	hi:n˥tsʰɛ:˧˥
綻開	tsa:n˨hɔ:i˥
紳士	sɐn˥si:˨
佢自己嘅	kʰɵy˩˧tsi:˨kei˧˥kɛ:˧
摩登	mɔ:˥tɐŋ˥
鬧鬼	na:u˨kwɐi˧˥,la:u˨kwɐi˧˥
啐	tsʰɵy˧,sɵy˨
蠹	tou˧
鱵	tsɐm˥
脫髮	tʰy:t˧fa:t˧
明察暗訪	mɪŋ˨˩tsʰa:t˧ɐm˧fɔ:ŋ˧˥,mɪŋ˨˩tsʰa:t˧ŋɐm˧fɔ:ŋ˧˥
青銅	tsʰɛ:ŋ˥tʰʊŋ˨˩
封閉	fʊŋ˥pɐi˧
物	mɐt˨
朐	kʰɵy˨˩
乾草機	kɔ:n˥tsʰou˧˥kei˥
粗毛	tsʰou˥mou˨˩
溫書	wɐn˥sy:˥
䫯	sa:i˥,tsi:˥,kʰei˥,tsʰi:˨˩
生油	sa:ŋ˥jɐu˨˩
𠀍	sɐi˧
雨傘	jy:˩˧sa:n˧
三句話不離本行	sa:m˥kɵy˧wa:˧˥pɐt˥lei˨˩pu:n˧˥hɔ:ŋ˨˩
痛到死死吓	tʰʊŋ˧tou˧sei˧˥sei˧˥ha:˧˥
恍然大悟	fɔ:ŋ˧˥ji:n˨˩ta:i˨ŋ˨
五穀	ŋ˩˧kʊk˥
西多士	sɐi˥tɔ:˥si:˧˥
䕉	tsɐk˧,tsɐk˨
上吐下瀉	sœ:ŋ˨tʰou˧ha:˨sɛ:˧
衞視	wɐi˨si:˨
工長	kʊŋ˥tsœ:ŋ˧˥
敕令	tsʰɪk˥lɪŋ˨
浚井	tsɵn˧tsɛ:ŋ˧˥
從戎	tsʰʊŋ˨˩jʊŋ˨˩
蝦蝦霸霸	ha:˥ha:˥pa:˧pa:˧
乳白	jy:˩˧pa:k˨
僅可	kɐn˧˥hɔ:˧˥
有何指教	jɐu˩˧hɔ:˨˩tsi:˧˥ka:u˧
強詞奪理	kʰœ:ŋ˩˧tsʰi:˨˩ty:t˨lei˩˧
㑪	tsʰa:i˨˩
整鬼整馬	tsɪŋ˧˥kwɐi˧˥tsɪŋ˧˥ma:˩˧
俯看	fu:˧˥hɔ:n˧
一鋪返唐山	jɐt˥pʰou˥fa:n˥tʰɔ:ŋ˨˩sa:n˥
私自	si:˥tsi:˨
仆轉	pʰʊk˥tsy:n˧˥
凍親	tʊŋ˧tsʰɐn˥
狗仔	kɐu˧˥tsɐi˧˥
衣冠文物	ji:˥ku:n˥mɐn˨˩mɐt˨
庪	kei˧˥,kwɐi˧˥
淏	hou˨
一臂之力	jɐt˥pei˧tsi:˥lɪk˨
離婚率	lei˨˩fɐn˥lɵt˨
收羅	sɐu˥lɔ:˨˩
物理學家	mɐt˨lei˩˧hɔ:k˨ka:˥
㺳	mu:i˨˩
棸	tsɐu˥
身體	sɐn˥tʰɐi˧˥
課外活動	fɔ:˧ɔ:i˨wu:t˨tʊŋ˨,fɔ:˧ŋɔ:i˨wu:t˨tʊŋ˨
婉辭	jy:n˧˥tsʰi:˨˩
鋧	ji:n˨
鼪	sɐŋ˥
丫環	ŋa:˥wa:n˨˩,a:˥wa:n˨˩
削職為民	sœ:k˧tsɪk˥wɐi˨˩mɐn˨˩
椈	kʊk˥
閑計	ha:n˨˩kɐi˧˥
乏善可陳	fɐt˨si:n˨hɔ:˧˥tsʰɐn˨˩
㤉	kʰɔ:k˧,ŋa:˨˩,kʰa:˧
挶	kʊk˨
詞源	tsʰi:˨˩jy:n˨˩
分發	fɐn˥fa:t˧
火雞	fɔ:˧˥kɐi˥
虧損	kʰwɐi˥sy:n˧˥
中毒	tsʊŋ˧tʊk˨
印堂	jɐn˧tʰɔ:ŋ˨˩
開o.t.	hɔ:i˥ou˥tʰi:˥
亞豬亞狗	a:˧tsy:˥a:˧kɐu˧˥
低調	tɐi˥ti:u˨
㚃	wɐn˥
歈	jy:˨˩
入土為安	jɐp˨tʰou˧˥wɐi˨˩ŋɔ:n˥,jɐp˨tʰou˧˥wɐi˨˩ɔ:n˥
膨	pʰa:ŋ˨˩
鏃	tsʊk˨
檔案	tɔ:ŋ˧ɔ:n˧,tɔ:ŋ˧ŋɔ:n˧
雷射槍	lɵy˨˩sɛ:˨tsʰœ:ŋ˥
留戀	lɐu˨˩ly:n˧˥
信心	sɵn˧sɐm˥
有理走遍天下，無理寸步難行	jɐu˩˧lei˩˧tsɐu˧˥pʰi:n˧tʰi:n˥ha:˨mou˨˩lei˩˧tsʰy:n˧pou˨la:n˨˩ha:ŋ˨˩,jɐu˩˧lei˩˧tsɐu˧˥pʰi:n˧tʰi:n˥ha:˨mou˨˩lei˩˧tsʰy:n˧pou˨na:n˨˩ha:ŋ˨˩
挾	ki:p˨,hi:p˨,ha:p˨
疾書	tsɐt˨sy:˥
情願	tsʰɪŋ˨˩jy:n˧˥,tsʰɪŋ˨˩jy:n˨
心想事成	sɐm˥sœ:ŋ˧˥si:˨sɪŋ˨˩
瘍	jœ:ŋ˨˩
皇太后	wɔ:ŋ˨˩tʰa:i˧hɐu˨
輕功	hɪŋ˥kʊŋ˥
出鏡	tsʰɵt˥kɛ:ŋ˧
聖誕咭	sɪŋ˧ta:n˧kʰa:t˥
唔單只	m̩˨˩ta:n˥tsi:˧˥
照殺	tsi:u˧sa:t˧
儔	tsʰɐu˨˩
水電工	sɵy˧˥ti:n˨kʊŋ˥
深思	sɐm˥si:˥
綺麗	ji:˧˥lɐi˨
風馬牛	fʊŋ˥ma:˩˧ɐu˨˩,fʊŋ˥ma:˩˧ŋɐu˨˩
柯打	ɔ:˥ta:˧˥
柯佬	ɔ:˥lou˧˥
鬧爆	la:u˨pa:u˧,na:u˨pa:u˧
感冒	kɐm˧˥mou˨
裈	kwɐn˥
元宵	jy:n˨˩si:u˥
顥	hou˨
唌	ji:n˨˩
柧	ku:˥
象箸	tsœ:ŋ˨tsy:˨
當朝	tɔ:ŋ˥tsʰi:u˨˩
砸	tsa:p˧
衎	hɔ:n˧˥,hɔ:n˧
䧄	a:k˥,kɔ:k˧
轪	ta:i˨
逃路	tʰou˨˩lou˨
躶	lɔ:˧˥
東方文化	tʊŋ˥fɔ:ŋ˥mɐn˨˩fa:˧
㶚	pa:˧
荒山	fɔ:ŋ˥sa:n˥
合理	hɐp˨lei˩˧
崠	tʊŋ˧
大鍋飯	ta:i˨wɔ:˥fa:n˨
厲	lɐi˧˥,lɐi˨
倆	lœ:ŋ˩˧
挑錯	tʰi:u˥tsʰɔ:˧
不同點	pɐt˥tʰʊŋ˨˩ti:m˧˥
眼鏡布	ŋa:n˩˧kɛ:ŋ˧˥pou˧,a:n˩˧kɛ:ŋ˧˥pou˧
直爽	tsɪk˨sɔ:ŋ˧˥
喜宴	hei˧˥ji:n˧
邪惡	tsʰɛ:˨˩ŋɔ:k˧
咗	tsɔ:˧˥
party	pʰa:t˥tʰi:˨˩
唔係噉話，你過獎喇	m̩˨˩hɐi˨kɐm˧˥wa:˧˥lei˩˧kwɔ:˧tsœ:ŋ˧˥la:˧,m̩˨˩hɐi˨kɐm˧˥wa:˧˥nei˩˧kwɔ:˧tsœ:ŋ˧˥la:˧
陽性	jœ:ŋ˨˩sɪŋ˧
符合	fu:˨˩hɐp˨
隸	tɐi˨,lɐi˨
邊個	pi:n˥kɔ:˧
正色	tsɪŋ˧sɪk˥
贓車	tsɔ:ŋ˥tsʰɛ:˥
泡影	pʰou˩˧jɪŋ˧˥
接受	tsi:p˧sɐu˨
等閒視之	tɐŋ˧˥ha:n˨˩si:˨tsi:˥
衆議院	tsʊŋ˧ji:˩˧jy:n˨
前者	tsʰi:n˨˩tsɛ:˧˥
年限	ni:n˨˩ha:n˨,li:n˨˩ha:n˨
癬	si:n˧˥
㖔	tʰa:n˥
匏瓜	pʰa:u˨˩kwa:˥
呰	tsi:˧˥
暖暖哋	ly:n˩˧ly:n˧˥tei˧˥,ny:n˩˧ny:n˧˥tei˧˥
佼佼者	ka:u˧˥ka:u˧˥tsɛ:˧˥
倒出嚟	tou˧˥tsʰɵt˥lei˨˩
口服心不服	hɐu˧˥fʊk˨sɐm˥pɐt˥fʊk˨
賴貓君	la:i˧ma:u˥kwɐn˥
湊啤啤	tsʰɐu˧pi:˨˩pi:˥
切身	tsʰi:t˧sɐn˥
蚱蜢	tsa:˧ma:ŋ˩˧
天然	tʰi:n˥ji:n˨˩
䚅	lɔ:i˨,lɔ:i˨˩
肛	kɔ:ŋ˥
哀慟	ŋɔ:i˥tʊŋ˨,ɔ:i˥tʊŋ˨
綬	sɐu˨
複製品	fʊk˥tsɐi˧pɐn˧˥
匿	lei˥,nɪk˥,nei˥
聲討	sɪŋ˥tʰou˧˥
油漬	jɐu˨˩tsɪk˥
過招	kwɔ:˧tsi:u˥
枚	mu:i˨˩
獠	lou˩˧,li:u˨˩
壽命	sɐu˨mɪŋ˨
襟𨋢	kɐm˨li:p˥
肆正	si:˧tsɛ:ŋ˧
岢	hɔ:˧˥
結拜	ki:t˧pa:i˧
自行車	tsi:˨hɐŋ˨˩tsʰɛ:˥
集團	tsa:p˨tʰy:n˨˩
睇小	tʰɐi˧˥si:u˧˥
滾軸溜冰鞋	kwɐn˧˥tsʊk˨lɐu˨˩pɪŋ˥ha:i˨˩
備用	pei˨jʊŋ˨
線索	si:n˧sɔ:k˧
睇唔開	tʰɐi˧˥m̩˨˩hɔ:i˥
公國	kʊŋ˥kwɔ:k˧
昨晚	tsɔ:k˧ma:n˩˧
倫	lɵn˨˩
缫	sou˥
嘧啶	mɐt˨tɪŋ˨
瓏	lʊŋ˨˩
虐待狂	jœ:k˨tɔ:i˨kʰɔ:ŋ˨˩
赤道	tsʰɛ:k˧tou˨
天作之合	tʰi:n˥tsɔ:k˧tsi:˥hɐp˨
推行	tʰɵy˥hɐŋ˨˩
望其項背	mɔ:ŋ˨kʰei˨˩hɔ:ŋ˨pu:i˧
改良品種	kɔ:i˧˥lœ:ŋ˨˩pɐn˧˥tsʊŋ˧˥
禮拜日	lɐi˩˧pa:i˧jɐt˨
矛	ma:u˨˩
轉賣	tsy:n˧˥ma:i˨
惋惜	wu:n˧˥sɪk˥
激死	kɪk˥sei˧˥
才略	tsʰɔ:i˨˩lœ:k˨
賠償	pʰu:i˨˩sœ:ŋ˨˩
自滿	tsi:˨mu:n˩˧
稻菽	tou˨sʊk˨
生活水平	sɐŋ˥wu:t˨sɵy˧˥pʰɪŋ˨˩
磨礪	mɔ:˨˩lɐi˨
帳面	tsœ:ŋ˧mi:n˨
頭啖湯	tʰɐu˨˩ta:m˨tʰɔ:ŋ˥
揸數	tsa:˥sou˧
狂飆	kʰwɔ:ŋ˨˩pi:u˥
正值	tsɪŋ˧tsɪk˨
勻巡	wɐn˨˩tsʰɵn˨˩
期間	kʰei˨˩ka:n˥
醒返	sɛ:ŋ˧˥fa:n˥
席次	tsɪk˨tsʰi:˧
藍光	la:m˨˩kwɔ:ŋ˥
情意	tsʰɪŋ˨˩ji:˧
九毫九	kɐu˧˥hou˨˩kɐu˧˥
秋令	tsʰɐu˥lɪŋ˨
閏日	jɵn˨jɐt˨
供事	kʊŋ˧si:˨
㛿	tsɐt˧,tsa:i˨
補品	pou˧˥pɐn˧˥
接骨	tsi:p˧kwɐt˥
燕窩	ji:n˧wɔ:˥
以外	ji:˩˧ŋɔ:i˨,ji:˩˧ɔ:i˨
道德經	tou˨tɐk˥kɪŋ˥
盼望	pʰa:n˧mɔ:ŋ˨
靺鞨	mu:t˨hɔ:t˧
絆	pu:n˨
續	tsʊk˨
冇修	mou˩˧sɐu˥
暴政	pou˨tsɪŋ˧
重託	tsʊŋ˨tʰɔ:k˧
驍悍	hi:u˥hɔ:n˨
尾場	mei˩˧tsʰœ:ŋ˨˩
牛馬不如	ŋɐu˨˩ma:˩˧pɐt˥jy:˨˩,ɐu˨˩ma:˩˧pɐt˥jy:˨˩
㨘乾淨	sa:ŋ˧˥kɔ:n˥tsɛ:ŋ˨
呬	hei˧
呴	hɵy˥
初出茅廬	tsʰɔ:˥tsʰɵt˥ma:u˨˩lou˨˩
遊伴	jɐu˨˩pu:n˨
進取	tsɵn˧tsʰɵy˧˥
煽	si:n˧
醉翁	tsɵy˧jʊŋ˥
不凡	pɐt˥fa:n˨˩
扮蟹	pa:n˨ha:i˩˧
唞身	tʰɐu˧˥sɐn˥
簳	kɔ:n˧
憑票入場	pʰɐŋ˨˩pʰi:u˧jɐp˨tsʰœ:ŋ˨˩
告訴	kou˧sou˧
出風頭	tsʰɵt˥fʊŋ˥tʰɐu˨˩
大躍進	ta:i˨jœ:k˨tsɵn˧
死過番生	sei˧˥kwɔ:˧fa:n˥sa:ŋ˥
袞	kwɐn˧˥
合手	ka:p˧sɐu˧˥
證券	tsɪŋ˧hy:n˧
書友	sy:˥jɐu˧˥
期刊	kʰei˨˩hɔ:n˧˥
呢牌好唔掂	ni:˥pʰa:i˧˥hou˧˥m̩˨˩ti:m˨,li:˥pʰa:i˨˩hou˧˥m̩˨˩ti:m˨
劇作	kʰɛ:k˨tsɔ:k˧
罶	lɐu˩˧
正體	tsɪŋ˧tʰɐi˧˥
坐視不理	tsɔ:˨si:˨pɐt˥lei˩˧
贐	tsɵn˧˥
眾所週知	tsʊŋ˧sɔ:˧˥tsɐu˥tsi:˥
蛐	kʰʊk˥
好眼	hou˧˥ŋa:n˩˧
作家	tsɔ:k˧ka:˥
壝	wɐi˧˥
櫂	tsa:u˨
懨	ji:m˥
違法	wɐi˨˩fa:t˧
起火	hei˧˥fɔ:˧˥
壓縮機	a:t˧sʊk˥kei˥,ŋa:t˧sʊk˥kei˥
駛	sɐi˧˥
伯	pa:k˧,pa:˧
藑	kʰɪŋ˨˩
瓦簷口	a:˩˧ji:m˨˩hɐu˧˥,ŋa:˩˧ji:m˨˩hɐu˧˥
金黃色	kɐm˥wɔ:ŋ˨˩sɪk˥
麠	kɛ:ŋ˥,kɪŋ˥
從業	tsʰʊŋ˨˩ji:p˨
掁	tsʰa:ŋ˨˩
叫屈	ki:u˧wɐt˥
夊	sɵy˥
上品	sœ:ŋ˨pɐn˧˥
刀鋒	tou˥fʊŋ˥
總攬	tsʊŋ˧˥la:m˩˧
電動勢	ti:n˨tʊŋ˨sɐi˧
評核	pʰɪŋ˨˩hɐt˨
衪	ji:˨˩
讎	tsʰɐu˨˩
冬風	tʊŋ˥fʊŋ˥
男籃	la:m˨˩la:m˨˩,na:m˨˩la:m˨˩
結石	ki:t˧sɛ:k˨
㔢	tsy:t˨,wa:i˨˩
京城	kɪŋ˥sɪŋ˨˩
未知	mei˨tsi:˥
牛噍牡丹	ŋɐu˨˩tsi:u˨mɐu˩˧ta:n˥,ɐu˨˩tsi:u˨mɐu˩˧ta:n˥
揖	jɐp˥
靜	tsɪŋ˨
武警	mou˩˧kɪŋ˧˥
正誤	tsɪŋ˧ŋ˨
虛榮	hɵy˥wɪŋ˨˩
以及	ji:˩˧kʰɐp˨
苻	fu:˨˩
琴朝	kʰɐm˨˩tsi:u˥
菸	ji:n˥
穽	tsɪŋ˨
口哨	hɐu˧˥sa:u˧
阿生	a:˧sa:ŋ˥
水墨畫	sɵy˧˥mɐk˨wa:˧˥
夢想	mʊŋ˨sœ:ŋ˧˥
海港	hɔ:i˧˥kɔ:ŋ˧˥
栳	lou˩˧
胲	kɔ:i˧˥,hɔ:i˧˥
肛門	kɔ:ŋ˥mu:n˨˩
急口令	kɐp˥hɐu˧˥lɪŋ˨
唔騷	m̩˨˩sou˥
飢不擇食	kei˥pɐt˥tsa:k˨sɪk˨
驕傲自大	ki:u˥ŋou˨˩tsi:˨ta:i˨,ki:u˥ou˨˩tsi:˨ta:i˨
前端	tsʰi:n˨˩ty:n˥
電熱器	ti:n˨ji:t˨hei˧
恨鐵不成鋼	hɐn˨tʰi:t˧pɐt˥sɪŋ˨˩kɔ:ŋ˥
快脆	fa:i˧tsʰɵy˧
午覺	ŋ˩˧ka:u˧
caim	kʰɛ:m˥
有冇得掹	jɐu˩˧mou˩˧tɐk˥mɐŋ˥
牽線	hi:n˥si:n˧
懶闊佬	la:n˧˥fu:t˧lou˧˥
踵	tsʊŋ˧˥,tʊŋ˧˥
吐露	tʰou˧lou˨
識少少扮代表	sɪk˥si:u˧˥si:u˧˥pa:n˨tɔ:i˨pi:u˧˥
短襪	ty:n˧˥mɐt˨
因利乘便	jɐn˥lei˨sɪŋ˨˩pi:n˨
鰷	tʰi:u˨˩
瘋人院	fʊŋ˥jɐn˨˩jy:n˨
老鼠窿	lou˩˧sy:˧˥lʊŋ˥
國賊	kwɔ:k˧tsʰa:k˨
電子郵件	ti:n˨tsi:˧˥jɐu˨˩ki:n˨
供認	kʊŋ˥jɪŋ˨
魏晉南北朝	ɐi˨tsɵn˧la:m˨˩pɐk˥tsʰi:u˨˩,ŋɐi˨tsɵn˧na:m˨˩pɐk˥tsʰi:u˨˩
拔苗助長	pɐt˨mi:u˨˩tsɔ:˨tsœ:ŋ˧˥
諢名	wɐn˨mɪŋ˨˩
冷血	la:ŋ˩˧hy:t˧
四星	sei˧sɪŋ˥
親戚巾	tsʰɐn˥tsʰɪk˥kɐn˥
雞毛蒜皮	kɐi˥mou˨˩sy:n˧pʰei˨˩
總務	tsʊŋ˧˥mou˨
搦出去	lɪk˥tsʰɵt˥hɵy˧,nɪk˥tsʰɵt˥hɵy˧
萱	hy:n˥
呱呱叫	kwa:˥kwa:˥ki:u˧
恔	ha:u˨
一篇文章	jɐt˥pʰi:n˥mɐn˨˩tsœ:ŋ˥
波路	pɔ:˥lou˨
束胸	tsʰʊk˥hʊŋ˥
民生	mɐn˨˩sɐŋ˥
眼䀹䀹	a:n˩˧kɐp˨kɐp˨,ŋa:n˩˧kɐp˨kɐp˨
怪錯	kwa:i˧tsʰɔ:˧
lift門	li:p˥mu:n˨˩
悍將	hɔ:n˨tsœ:ŋ˧
樛	kɐu˥
扭耳仔	nɐu˧˥ji:˩˧tsɐi˧˥,lɐu˧˥ji:˩˧tsɐi˧˥
庠	tsʰœ:ŋ˨˩
伸	sɐn˥
捕食	pou˨sɪk˨
䠭	ma:n˨˩,lɐn˩˧,hɔ:n˩˧,lɐi˨
三角肌	sa:m˥kɔ:k˧kei˥
硬座	a:ŋ˨tsɔ:˨,ŋa:ŋ˨tsɔ:˨
公園	kʊŋ˥jy:n˧˥
燈火	tɐŋ˥fɔ:˧˥
獨當一面	tʊk˨tɔ:ŋ˥jɐt˥mi:n˨
戒口	ka:i˧hɐu˧˥
誋	kei˨
平臥	pʰɪŋ˨˩ɔ:˨,pʰɪŋ˨˩ŋɔ:˨
厣	ji:m˧
沸	fɐi˧
怳	fɔ:ŋ˧˥,fɔ:ŋ˧
硗	ha:u˥
語氣助詞	jy:˩˧hei˧tsɔ:˨tsʰi:˨˩
烏蘞	wu:˥li:m˩˧
綫條	si:n˧tʰi:u˨˩
體高	tʰɐi˧˥kou˥
冚你一巴掌	kʰɐm˧˥nei˩˧jɐt˥pa:˥tsœ:ŋ˧˥,kʰɐm˧˥lei˩˧jɐt˥pa:˥tsœ:ŋ˧˥
品綠	pɐn˧˥lʊk˨
萬年	ma:n˨li:n˨˩,ma:n˨ni:n˨˩
安營扎寨	ŋɔ:n˥jɪŋ˨˩tsa:t˧tsa:i˨,ɔ:n˥jɪŋ˨˩tsa:t˧tsa:i˨
哲學家	tsi:t˧hɔ:k˨ka:˥
繳費	ki:u˧˥fɐi˧
畀考起	pei˧˥ha:u˧˥hei˧˥
鸚鵡	jɪŋ˥mou˩˧
地頭	tei˨tʰɐu˨˩
捷泳	tsi:t˨wɪŋ˨
堂食	tʰɔ:ŋ˨˩sɪk˨
伊人	ji:˥jɐn˨˩
火槍	fɔ:˧˥tsʰœ:ŋ˥
貶損	pi:n˧˥sy:n˧˥
打車輪	ta:˧˥tsʰɛ:˥lɵn˧˥
陶鑄	tʰou˨˩tsy:˧
崑崙山	kʰwɐn˥lɵn˨˩sa:n˥
撞番	tsɔ:ŋ˨fa:n˥
截獲	tsi:t˨wɔ:k˨
婆乸	pʰɔ:˧˥na:˧˥
溔	ji:u˩˧
失蹤	sɐt˥tsʊŋ˥
默念	mɐk˨ni:m˨,mɐk˨li:m˨
深奧	sɐm˥ou˧,sɐm˥ŋou˧
防	fɔ:ŋ˨˩
不論如何	pɐt˥lɵn˨jy:˨˩hɔ:˨˩
人權	jɐn˨˩kʰy:n˨˩
去世	hɵy˧sɐi˧
奮發	fɐn˩˧fa:t˧
笞	tsʰi:˥
餘震	jy:˨˩tsɐn˧
窗口	tsʰœ:ŋ˥hɐu˧˥
㕡	kʰɔ:k˧,hɐŋ˥
蠑	wɪŋ˨˩
毛管棟	mou˨˩ku:n˧˥tʊŋ˨
崺	ji:˩˧
眼鏡	ŋa:n˩˧kɛ:ŋ˧˥,a:n˩˧kɛ:ŋ˧˥
星期	sɪŋ˥kʰei˨˩
頭盤	tʰɐu˨˩pʰu:n˨˩
襶	tɛ:˧˥,ta:i˧
名門世家	mɪŋ˨˩mu:n˨˩sɐi˧ka:˥
冬瓜湯	tʊŋ˥kwa:˥tʰɔ:ŋ˥
為	wɐi˨˩,wɐi˨
豈	hei˧˥,hɔ:i˧˥
支路	tsi:˥lou˨
害	hɔ:i˨,hɔ:t˧
枸	kɵy˧˥,kɐu˧˥
馵	tsy:˧
生骨刺	sa:ŋ˥kwɐt˥tsʰi:˧
出錢	tsʰɵt˥tsʰi:n˨˩
活活潑潑	wu:t˨wu:t˨pʰu:t˧pʰu:t˧
壯大	tsɔ:ŋ˧ta:i˨
文職	mɐn˨˩tsɪk˥
勞嘈	lou˨˩tsʰou˨˩
外母	ŋɔ:i˨mou˧˥,ɔ:i˨mou˩˧
茄瓜	kʰɛ:˧˥kwa:˥
畏懼	wɐi˧kɵy˨
浤	wɐŋ˨˩
傷人	sœ:ŋ˥jɐn˨˩
嗿細蚊仔	tʰɐm˧sɐi˧mɐn˥tsɐi˧˥
炒菜鏟	tsʰa:u˧˥tsʰɔ:i˧tsʰa:n˧˥
懸	jy:n˨˩
坁	tsi:˧˥
冊	tsʰa:k˧
雔	tsʰɐu˨˩
拍攝	pʰa:k˧si:p˧
介面	ka:i˧mi:n˨
覇	pa:˧
羽	jy:˩˧
唔至於	m̩˨˩tsi:˧jy:˥
辦妥	pa:n˨tʰɔ:˧˥
暝	mɪŋ˨˩,mɪŋ˨
禮義廉恥	lɐi˩˧ji:˨li:m˨˩tsʰi:˧˥
䎴	ka:ŋ˥
伯爺婆	pa:k˧jɛ:˥pʰɔ:˧˥
刻不容緩	hɐk˥pɐt˥jʊŋ˨˩wu:n˨
雞冠	kɐi˥ku:n˥
進行式	tsɵn˧hɐŋ˨˩sɪk˥
鬧	na:u˨,la:u˨
㓵	ŋɔ:k˨
褭	ni:u˩˧
另類	lɪŋ˨lɵy˨
㱤	sɛ:k˨,tsɛ:˧
恮	tsʰy:n˨˩
謷	ŋou˨˩
刀仔鋸大樹	tou˥tsɐi˧˥kɛ:u˧ta:i˨sy:˨
車外	tsʰɛ:˥ŋɔ:i˨,tsʰɛ:˥ɔ:i˨
遭遇	tsou˥jy:˨
肚皮	tʰou˩˧pʰei˨˩
𨂾	la:m˧,na:m˧
添加	tʰi:m˥ka:˥
眉開眼笑	mei˨˩hɔ:i˥a:n˩˧si:u˧,mei˨˩hɔ:i˥ŋa:n˩˧si:u˧
湊大	tsʰɐu˧ta:i˨
推磨	tʰɵy˥mɔ:˨˩
前人種樹，後人乘涼	tsʰi:n˨˩jɐn˨˩tsʊŋ˧˥sy:˨hɐu˨jɐn˨˩sɪŋ˨˩lœ:ŋ˨˩
探騎	tʰa:m˧kʰei˧
後車之鑒	tsʰi:n˨˩tsʰɛ:˥tsi:˥fʊk˨hɐu˨tsʰɛ:˥tsi:˥ka:m˧
籬笆	lei˨˩pa:˥
緩衝器	wu:n˨tsʰʊŋ˥hei˧
䂿	tɐp˨,tɐm˨
遊盪	jɐu˨˩tɔ:ŋ˨
蟬聯	si:n˨˩ly:n˨˩
漂浮	pʰi:u˥fɐu˨˩
樵	tsʰi:u˨˩
纏足	tsʰi:n˨˩tsʊk˥
剽	pʰi:u˩˧
呢期	ni:˥kʰei˨˩,li:˥kʰei˨˩
內幕	nɔ:i˨mɔ:k˨,lɔ:i˨mɔ:k˨
鹯	tsi:n˥
跟人口水溦	kɐn˥jɐn˨˩hɐu˧˥sɵy˧˥mei˥
海平面	hɔ:i˧˥pʰɪŋ˨˩mi:n˨
醜人	tsʰɐu˧˥jɐn˨˩
省政府	sa:ŋ˧˥tsɪŋ˧fu:˧˥
林嬸嘢	lɐm˨˩sɐm˧˥jɛ:˩˧
掛住…	kwa:˧tsy:˨
潮州粥	tsʰi:u˨˩tsɐu˥tsʊk˥
搞唔[口＋店]	ka:u˧˥m̩˨˩ti:m˨
臨終	lɐm˨˩tsʊŋ˥
賭	tou˧˥
同事	tʰʊŋ˨˩si:˨
忷	hʊŋ˥
男僕	la:m˨˩pʊk˨,na:m˨˩pʊk˨
娛樂圈	jy:˨˩lɔ:k˨hy:n˥
潬	tʰa:n˥
中止	tsʊŋ˥tsi:˧˥
開演	hɔ:i˥ji:n˧˥
議事錄	ji:˩˧si:˨lʊk˨
菸鏟	ji:n˥tsʰa:n˧˥
對開	tɵy˧hɔ:i˥
當舖	tɔ:ŋ˧pʰou˧˥
偉論	wɐi˩˧lɵn˨
䅧	tsa:m˥,tsa:m˧,tsi:m˧
諗嘢	nɐm˧˥jɛ:˩˧,lɐm˧˥jɛ:˩˧
律詩	lɵt˨si:˥
洿	wu:˥
各顯神通	kɔ:k˧hi:n˧˥sɐn˨˩tʰʊŋ˥
食鹽	sɪk˨ji:m˨˩
渾身解數	wɐn˨˩sɐn˥ka:i˧˥sou˧
幾文鷄	kei˧˥mɐn˥kɐi˥
婉拒	jy:n˧˥kʰɵy˩˧
利慾薰心	lei˨jʊk˨fɐn˥sɐm˥
頑固派	wa:n˨˩ku:˧pʰa:i˧
懲罰	tsʰɪŋ˨˩fɐt˨
剖腹自殺	pʰɐu˧˥fʊk˥tsi:˨sa:t˧
