теорією	teɔrʲijejʊ
благоговіти	bɫɐɦɔɦɔʋʲite
яструб	jɑstrʊb
розвинути	rɔzʋɪnʊte
ворожість	wɔrɔʒʲisʲtʲ
чвертей	t͡ʃʋɛrtei̯
яна	jɑnɐ
сатиричний	sɐterɪt͡ʃnei̯
відвертати	ʋʲidʋertɑte
професія	prɔfɛsʲijɐ
настільний	nɐsʲtʲilʲnei̯
дисертацією	desertɑt͡sʲijejʊ
психіатрія	psexʲiɐtʲrʲijɐ
шкода	ʃkɔdɑ
невідомий	neʋʲidɔmei̯
протиповітряний	prɔtepɔʋʲitʲrʲɐnei̯
забороняти	zɐbɔrɔnʲɑte
рилом	rɪɫɔm
якби	jɐɡbɪ
звичай	zʋɪt͡ʃɐi̯
шпиталь	ʃpetɑlʲ
багатство	bɐɦɑt͡stwɔ
ймовірний	i̯mɔʋʲirnei̯
горох	ɦɔrɔx
перлина	perɫɪnɐ
слива	sɫɪʋɐ
абсциса	ɐbst͡sɪsɐ
додаток	dɔdɑtɔk
повторити	pɔu̯tɔrɪte
спізнюватися	sʲpʲizʲnʲʊʋɐtesʲɐ
навігаційний	nɐʋʲiɦɐt͡sʲii̯nei̯
бурштин	bʊrʃtɪn
влада	wɫɑdɐ
афаліна	ɐfɐlʲinɐ
згуртованість	zɦʊrtɔʋɐnʲisʲtʲ
зціляти	zʲt͡sʲilʲɑte
всесвітньо	ʍsesʲʋʲitʲnʲɔ
стандартом	stɐndɑrtɔm
ксеркс	ksɛrks
антидот	ɐntedɔt
легальний	ɫeɦɑlʲnei̯
перетинка	perɛtenkɐ
роззброювати	rɔzːbrɔjʊʋɐte
п'ятнадцять	pjɐtnɑd͡zʲt͡sʲɐtʲ
вступати	ʍstʊpɑte
занадто	zɐnɑdtɔ
мегалітичний	meɦɐlʲitɪt͡ʃnei̯
чоловіки	t͡ʃɔɫɔʋʲike
візок	ʋʲizɔk
фею	fɛjʊ
гри	ɦrɪ
обладнати	ɔbɫɐdnɑte
йордан	jɔrdɑn
в'язи	ʋjɑze
шахи	ʃɑxe
вихід	ʋɪxʲid
моїх	mɔjix
резина	rezɪnɐ
ганебний	ɦɐnɛbnei̯
чось	t͡ʃɔsʲ
завантажувати	zɐʋɐntɑʒʊʋɐte
згинути	zɦɪnʊte
повноважний	pɔu̯nɔʋɑʒnei̯
хлопчик	xɫɔpt͡ʃek
освітологія	ɔsʲʋʲitɔɫɔɦʲijɐ
чудій	t͡ʃʊdʲii̯
сміх	sʲmʲix
організований	ɔrɦɐnʲizɔʋɐnei̯
термометричний	termɔmetrɪt͡ʃnei̯
опановувати	ɔpɐnɔwʊʋɐte
калька	kɑlʲkɐ
м'язу	mjɑzʊ
карликовий	kɑrɫekɔʋei̯
веселка	ʋesɛɫkɐ
зарядити	zɐrʲɐdɪte
фрагменту	frɐɦmɛntʊ
родзинки	rɔd͡zɪnke
бджолосім'я	bd͡ʒɔɫɔsʲimjɑ
ренесанс	renesɑns
старик	stɐrɪk
абиколи	ɐbɪkɔɫe
криму	kremu
бактерія	bɐktɛrʲijɐ
горностай	ɦɔrnɔstɑi̯
вісімнадцять	ʋʲisʲimnɑd͡zʲt͡sʲɐtʲ
недвозначний	nedwɔznɑt͡ʃnei̯
стиль	stɪlʲ
культурний	kʊlʲturnei̯
покажчик	pɔkɑʒt͡ʃek
смерч	smɛrt͡ʃ
сміливий	sʲmʲiɫeʋei̯
бездомний	bezdɔmnei̯
києвом	kɪjewɔm
відбуватися	ʋʲidbʊʋɑtesʲɐ
консервація	kɔnserʋɑt͡sʲijɐ
сімейний	sʲimɛi̯nei̯
козаками	kɔzɐkɑme
метаболічний	metɐbolʲit͡ʃnei̯
вулик	wuɫek
ловелас	ɫɔʋeɫɑs
напружувати	nɐpruʒʊʋɐte
військовий	ʋʲii̯sʲkɔʋɪi̯
композиторка	kɔmpɔzɪtɔrkɐ
таємницях	tɐjemnɪt͡sʲɐx
здійснення	zʲdʲii̯snenʲːɐ
їсти	jiste
імпровізувати	imprɔʋʲizʊʋɑte
вівсу	ʋʲiu̯su
єдність	jɛdʲnʲisʲtʲ
унеможливлювати	ʊnemɔʒɫɪu̯lʲʊʋɐte
шовковиця	ʃɔu̯kɔʋet͡sʲɐ
фаза	fɑzɐ
таїсія	tɐjisʲijɐ
ішак	iʃɑk
селити	seɫɪte
удосконалити	ʊdɔskɔnɑɫete
косово	kɔsɔwɔ
ювелірний	jʊʋelʲirnei̯
білосніжний	bʲiɫosʲnʲiʒnei̯
сімсот	sʲimsɔt
споживач	spɔʒeʋɑt͡ʃ
стереотип	stereɔtɪp
дятел	dʲɑteɫ
слово	sɫɔwɔ
стигматизація	steɦmɐtezɑt͡sʲijɐ
вулкан	wʊɫkɑn
халепа	xɐɫɛpɐ
металевий	metɐɫɛʋei̯
довоєнний	dɔwɔjɛnːei̯
кусати	kʊsɑte
великодній	ʋeɫekɔdʲnʲii̯
коментар	kɔmentɑr
українській	ʊkrɐjinsʲkʲii̯
виправдовувати	ʋeprɐu̯dɔwʊʋɐte
лауреат	ɫɐʊreɑt
автопортрет	ɐu̯tɔpɔrtrɛt
орбіту	orbʲitʊ
автобіограф	ɐu̯tɔbʲiɔɦrɐf
потилиці	pɔtɪɫet͡sʲi
щиколотко	ʃt͡ʃɪkɔɫɔtkɔ
вмерти	wmɛrte
зимовий	zemɔʋɪi̯
давньогрецький	dɐu̯nʲɔɦrɛt͡sʲkei̯
дітки	dʲitke
прямокутник	prʲɐmokutnek
запозичувати	zɐpɔzɪt͡ʃʊʋɐte
спорядити	spɔrʲɐdɪte
поліції	polʲit͡sʲiji
гідравлічний	ɦʲidrɐu̯lʲit͡ʃnei̯
зерно	zernɔ
баско	bɐskɔ
ураган	ʊrɐɦɑn
покоління	pɔkolʲinʲːɐ
осінь	ɔsʲinʲ
аргентина	ɐrɦentɪnɐ
спричиняти	spret͡ʃenʲɑte
найменший	nɐi̯mɛnʃei̯
багатомовність	bɐɦɐtɔmɔu̯nʲisʲtʲ
ці	t͡sʲi
федерацією	federɑt͡sʲijejʊ
отець	ɔtɛt͡sʲ
поглядах	pɔɦlʲɐdɐx
гуманітарний	ɦʊmɐnʲitɑrnei̯
власник	wɫɑsnek
пропозицій	prɔpɔzɪt͡sʲii̯
ідеалізація	ideɐlʲizɑt͡sʲijɐ
віросповідання	ʋʲirɔspɔʋʲidɑnʲːɐ
розпитувати	rɔzpɪtʊʋɐte
змій	zʲmʲii̯
обговорювати	ɔbɦɔwɔrʲʊʋɐte
декриміналізація	dekremʲinɐlʲizɑt͡sʲijɐ
пішоходів	pʲiʃɔxɔdʲiu̯
дисбаланс	dezbɐɫɑns
куток	kʊtɔk
доступний	dostupnei̯
гігієнічний	ɦʲiɦʲijenʲit͡ʃnei̯
порівняльний	pɔrʲiu̯nʲɑlʲnei̯
глухий	ɦɫʊxɪi̯
ознайомлення	ɔznɐjɔmɫenʲːɐ
використання	ʋekɔrestɑnʲːɐ
плутократіє	pɫʊtɔkrɑtʲije
анастасія	ɐnɐstɑsʲijɐ
ніколи	nʲikɔɫe
дозувати	dɔzʊʋɑte
дозвіл	dɔzʲʋʲiɫ
обміркувати	ɔbmʲirkʊʋɑte
докладний	dɔkɫɑdnei̯
кіровоград	kʲirɔwɔɦrɑd
детальний	detɑlʲnei̯
іспит	ispet
доростати	dɔrɔstɑte
досягнення	dɔsʲɑɦnenʲːɐ
вимазати	ʋɪmɐzɐte
божевілля	bɔʒeʋʲilʲːɐ
категоричний	kɐteɦɔrɪt͡ʃnei̯
горище	ɦɔrɪʃt͡ʃe
негативний	neɦɐtɪu̯nei̯
твар	tʋɑr
аґрус	ɑɡrʊs
узагальнити	ʊzɐɦɑlʲnete
вичерпувати	ʋet͡ʃɛrpʊʋɐte
ким	kɪm
зразків	zrɐzʲkʲiu̯
ми	mɪ
м'язам	mjɑzɐm
поступці	pɔstʊpt͡sʲi
популяцій	pɔpʊlʲɑt͡sʲii̯
нідерландський	nʲiderɫɑnd͡zʲsʲkei̯
абазинка	ɐbɐzɪnkɐ
лекція	ɫɛkt͡sʲijɐ
народити	nɐrɔdɪte
познайомити	pɔznɐjɔmete
сцена	st͡sɛnɐ
руслана	rʊsɫɑnɐ
дітлахи	dʲitɫɐxɪ
контрастувати	kɔntrɐstʊʋɑte
сестра	sestrɑ
бачення	bɑt͡ʃenʲːɐ
поспішити	pɔsʲpʲiʃɪte
словечка	sɫɔʋɛt͡ʃkɐ
кредит	kredɪt
спеціалізувати	spet͡sʲiɐlʲizʊʋɑte
швидкоплинний	ʃʋedkɔpɫɪnːei̯
парниковий	pɐrnekɔʋei̯
одужувати	oduʒʊʋɐte
свіжий	sʲʋʲiʒei̯
звинувачувати	zʋenʊʋɑt͡ʃʊʋɐte
підготовити	pʲidɦɔtɔʋete
бабище	bɐbɪʃt͡ʃe
засідання	zɐsʲidɐnʲːɐ
звичка	zʋɪt͡ʃkɐ
гравець	ɦrɐʋɛt͡sʲ
ссати	sːɑte
розпочинати	rɔzpɔt͡ʃenɑte
молекула	mɔɫɛkʊɫɐ
будівництво	bʊdʲiu̯nɪt͡stwɔ
шокувати	ʃɔkʊʋɑte
підпис	pʲidpes
шантаж	ʃɐntɑʒ
собі	sobʲi
дизайн	dezɑi̯n
чемпіонат	t͡ʃempʲiɔnɑt
переорієнтувати	pereɔrʲijentʊʋɑte
комуністичний	kɔmʊnʲistɪt͡ʃnei̯
вітрильний	ʋʲitrɪlʲnei̯
означати	ɔznɐt͡ʃɑte
більше	bʲilʲʃe
бонусами	bɔnʊsɐme
міра	mʲirɐ
називати	nɐzeʋɑte
працівники	prɐt͡sʲiu̯nekɪ
матч	mɑt͡ʃː
феями	fɛjɐme
супругах	sʊpruɦɐx
захаренко	zɐxɑrenkɔ
найдружелюбніший	nɐi̯drʊʒelʲubnʲiʃei̯
арктичний	ɐrktɪt͡ʃnei̯
схематизація	sxemɐtezɑt͡sʲijɐ
разі	rɑzʲi
імбир	imbɪr
переривати	perereʋɑte
освітній	ɔsʲʋʲitʲnʲii̯
пекін	pekʲin
чутний	t͡ʃutnei̯
кентавр	kentɑu̯r
римський	rɪmsʲkei̯
слуховий	sɫʊxɔʋɪi̯
безсумнівний	bezsʊmnʲiu̯nei̯
пильний	pɪlʲnei̯
сексуальна	seksʊɑlʲnɐ
француз	frɐnt͡suz
дівка	dʲiu̯kɐ
згадати	zɦɐdɑte
спіднице	sʲpʲidnɪt͡se
самоповага	sɐmɔpɔʋɑɦɐ
студенець	stʊdenɛt͡sʲ
усмішка	ʊsʲmʲiʃkɐ
атеїзм	ɐtejizm
притаманний	pretɐmɑnːei̯
авізування	ɐʋʲizʊʋɑnʲːɐ
слуга	sɫʊɦɑ
догадатися	dɔɦɐdɑtesʲɐ
кличко	kɫet͡ʃkɔ
русскій	rusːkʲii̯
кат	kɑt
сміятися	sʲmʲijɑtesʲɐ
бараболя	bɐrɐbɔlʲɐ
провінційний	prɔʋʲinʲt͡sʲii̯nei̯
ідеальний	ideɑlʲnei̯
розташувати	rɔztɐʃʊʋɑte
інциденти	int͡sedɛnte
оргазм	ɔrɦɑzm
перебільшити	perebʲilʲʃete
вісімсот	ʋʲisʲimsɔt
пивоварство	pewɔʋɑrstwɔ
герой	ɦerɔi̯
крига	krɪɦɐ
ніс	nʲis
телевізійний	teɫeʋʲizʲii̯nei̯
торба	tɔrbɐ
гора	ɦɔrɐ
кавоварка	kɐwɔʋɑrkɐ
антропологія	ɐntrɔpɔɫɔɦʲijɐ
бруд	brud
авіадесантник	ɐʋʲiɐdesɑntnek
бонус	bɔnʊs
спілкування	sʲpʲiɫkʊʋɑnʲːɐ
патріотизм	pɐtʲrʲiɔtɪzm
новаторський	nɔʋɑtɔrsʲkei̯
неправди	neprɑu̯de
перський	pɛrsʲkei̯
дальше	dɑlʲʃe
кому	kɔmʊ
програмний	prɔɦrɑmnei̯
дзеркало	d͡zɛrkɐɫɔ
трансплантацій	trɐnspɫɐntɑt͡sʲii̯
коліно	kolʲinɔ
організація	ɔrɦɐnʲizɑt͡sʲijɐ
сучасник	sʊt͡ʃɑsnek
презирство	prezɪrstwɔ
підміна	pʲidʲmʲinɐ
палітурник	pɐlʲiturnek
праска	prɑskɐ
чоловіків	t͡ʃɔɫɔʋʲikʲiu̯
банан	bɐnɑn
асиміляція	ɐsemʲilʲɑt͡sʲijɐ
автомобіліст	ɐu̯tɔmɔbʲilʲist
дніпропетровськ	dʲnʲiprɔpetrɔu̯sʲk
профілактика	prɔfʲiɫɑktekɐ
біль	bʲilʲ
стремено	stremɛnɔ
здивування	zdewʊʋɑnʲːɐ
асистент	ɐsestɛnt
ліван	lʲiʋɑn
любий	lʲubei̯
віями	ʋʲijɐme
ремесло	remesɫɔ
школяр	ʃkɔlʲɑr
суцільний	sʊt͡sʲilʲnei̯
самовпевненість	sɐmɔu̯pɛu̯nenʲisʲtʲ
ендокринний	endɔkrɪnːei̯
словечку	sɫɔʋɛt͡ʃkʊ
запрошувати	zɐprɔʃʊʋɐte
баклажан	bɐkɫɐʒɑn
неспростовний	nesprɔstɔu̯nei̯
іграм	iɦrɐm
мовний	mɔu̯nei̯
ніхто	nʲixtɔ
інструкції	instrukt͡sʲiji
ради	rɑde
ковдра	kɔu̯drɐ
ганьбити	ɦɐnʲbɪte
падати	pɑdɐte
кремній	krɛmnʲii̯
ляльки	lʲɐlʲkɪ
жаль	ʒɑlʲ
скупий	skʊpɪi̯
ґринджоли	ɡrend͡ʒɔɫe
поселяти	pɔselʲɑte
панкреатит	pɐnkreɐtɪt
звідкись	zʲʋʲidkesʲ
конкурентоспроможність	kɔnkʊrentɔsprɔmɔʒnʲisʲtʲ
бонуси	bɔnʊse
сусід	sʊsʲid
візуалізація	ʋʲizʊɐlʲizɑt͡sʲijɐ
авлос	ɐu̯ɫɔs
чотирикутник	t͡ʃɔterekutnek
одношлюбний	ɔdnoʃlʲubnei̯
тхір	tʲxʲir
влаштувати	wɫɐʃtʊʋɑte
рукав	rʊkɑu̯
пересадка	peresɑdkɐ
зростання	zrɔstɑnʲːɐ
неухильний	neʊxɪlʲnei̯
стандартам	stɐndɑrtɐm
загреб	zɑɦreb
покарання	pɔkɐrɑnʲːɐ
дієвідміна	dʲijeʋʲidʲmʲinɐ
віддаль	ʋʲidːɐlʲ
приємність	prejɛmnʲisʲtʲ
активувати	ɐktewʊʋɑte
цілодобовий	t͡sʲiɫɔdɔbɔʋɪi̯
братів	brɑtʲiu̯
година	ɦɔdɪnɐ
вадою	ʋɑdɔjʊ
поглинути	pɔɦɫɪnʊte
мандрівник	mɐndʲrʲiu̯nɪk
рідкий	rʲidkɪi̯
така	tɐkɑ
ганяти	ɦɐnʲɑte
підозра	pʲidɔzrɐ
тетяна	tetʲɑnɐ
вітер	ʋʲiter
мінімаліст	mʲinʲimɐlʲist
зарплата	zɐrpɫɑtɐ
рот	rɔt
все	ʍsɛ
толерантний	tɔɫerɑntnei̯
дзюбенко	d͡zʲʊbɛnkɔ
плазун	pɫɐzun
молодицям	mɔɫɔdɪt͡sʲɐm
завдавати	zɐu̯dɐʋɑte
монохромний	mɔnɔxrɔmnei̯
несвідомий	nesʲʋʲidɔmei̯
вішати	ʋʲiʃɐte
брест	brɛst
саботажниця	sɐbɔtɑʒnet͡sʲɐ
архітектурний	ɐrxʲitekturnei̯
предмет	predmɛt
естонія	estɔnʲijɐ
шевчук	ʃeu̯t͡ʃuk
ув'язнювати	ʊʋjɑzʲnʲʊʋɐte
ґратар	ɡrɐtɑr
запросити	zɐprɔsɪte
залізняк	zɐlʲizʲnʲɑk
слова	sɫɔʋɑ
безсмертний	bezsmɛrtnei̯
гинути	ɦɪnʊte
ковбаси	kɔu̯bɑse
обідній	obʲidʲnʲii̯
гусениця	ɦusenet͡sʲɐ
кулак	kʊɫɑk
комплекс	kɔmpɫeks
придатний	predɑtnei̯
дивний	dɪu̯nei̯
лис	ɫɪs
пекар	pɛkɐr
циклічність	t͡seklʲit͡ʃnʲisʲtʲ
скандал	skɐndɑɫ
підсумок	pʲid͡zsumɔk
численний	t͡ʃesɫɛnːei̯
радіоактивний	rɑdʲiɔɐktɪu̯nei̯
хорватський	xɔrʋɑt͡sʲkei̯
недостатність	nedɔstɑtʲnʲisʲtʲ
попросити	pɔprɔsɪte
багно	bɐɦnɔ
ваші	ʋɑʃʲi
реалістичний	reɐlʲistɪt͡ʃnei̯
олівець	ɔlʲiʋɛt͡sʲ
могутній	moɦutʲnʲii̯
регулювати	reɦʊlʲʊʋɑte
спеціальність	spet͡sʲiɑlʲnʲisʲtʲ
гамбія	ɦɑmbʲijɐ
талією	tɑlʲijejʊ
сектор	sɛktɔr
перукар	perʊkɑr
невже	neu̯ʒɛ
кріп	krʲip
тією	tʲijɛjʊ
справою	sprɑwɔjʊ
запрограмувати	zɐprɔɦrɐmʊʋɑte
висновок	ʋɪsnɔwɔk
печивом	pɛt͡ʃewɔm
політеїст	pɔlʲitejist
картографія	kɐrtɔɦrɑfʲijɐ
сталевий	stɐɫɛʋei̯
гачек	ɦɑt͡ʃek
авіарейд	ɐʋʲiɐrɛi̯d
сон	sɔn
представник	pred͡zstɐu̯nɪk
бангладеш	bɐnɦɫɐdɛʃ
картка	kɑrtkɐ
ґрунтовий	ɡrʊntɔʋɪi̯
міський	mʲisʲkɪi̯
вмикати	wmekɑte
цап	t͡sɑp
драматургія	drɐmɐtʊrɦʲijɐ
катастрофами	kɐtɐstrɔfɐme
відважний	ʋʲidʋɑʒnei̯
дитячий	detʲɑt͡ʃei̯
просити	prɔsɪte
виборець	ʋɪbɔret͡sʲ
морозити	mɔrɔzete
бігти	bʲiɦte
євгенія	jeu̯ɦɛnʲijɐ
степ	stɛp
вертоліт	ʋertolʲit
спонукати	spɔnʊkɑte
ганьба	ɦɐnʲbɑ
григорій	ɦreɦɔrʲii̯
видимий	ʋɪdemei̯
зволожувати	zwɔɫɔʒʊʋɐte
наркозалежний	nɐrkɔzɐɫɛʒnei̯
клавіатуру	kɫɐʋʲiɐturʊ
засіб	zɑsʲib
креативний	kreɐtɪu̯nei̯
вія	ʋʲijɐ
окупація	ɔkʊpɑt͡sʲijɐ
одностатевий	ɔdnɔstɐtɛʋei̯
комісія	komʲisʲijɐ
пільга	pʲilʲɦɐ
шестигранний	ʃesteɦrɑnːei̯
небувалий	nebʊʋɑɫei̯
зауваження	zɐʊʋɑʒenʲːɐ
безліч	bɛzʲlʲit͡ʃ
потуга	potuɦɐ
сніп	sʲnʲip
ріпах	rʲipɐx
дефініцією	defʲinʲit͡sʲijejʊ
небіж	nɛbʲiʒ
самопроголошений	sɐmɔprɔɦɔɫɔʃenei̯
фракція	frɑkt͡sʲijɐ
довгота	dɔu̯ɦɔtɑ
оточення	ɔtɔt͡ʃenʲːɐ
листя	ɫɪsʲtʲɐ
портрет	pɔrtrɛt
чуття	t͡ʃʊtʲːɑ
тактовний	tɐktɔu̯nei̯
зізнатися	zʲiznɑtesʲɐ
абстракт	ɐbstrɑkt
македонія	mɐkedɔnʲijɐ
інквілін	inkʋʲilʲin
селянин	selʲɐnɪn
спонукати	sponukɐte
долоням	dɔɫɔnʲɐm
гідрологія	ɦʲidrɔɫɔɦʲijɐ
активізм	ɐkteʋʲizm
катастрофа	kɐtɐstrɔfɐ
вітальнею	ʋʲitɑlʲnejʊ
обрус	ɔbrʊs
насильство	nɐsɪlʲstwɔ
рукопис	rʊkɔpes
розпочати	rɔzpɔt͡ʃɑte
модернізація	mɔdernʲizɑt͡sʲijɐ
полум'я	pɔɫʊmjɐ
молоття	mɔɫɔtʲːɑ
гривнях	ɦrɪu̯nʲɐx
їжакевич	jiʒɐkɛʋet͡ʃ
робот	rɔbɔt
піраміда	pʲirɐmʲidɐ
програмувати	prɔɦrɐmʊʋɑte
вірити	ʋʲirete
геополітичний	ɦeɔpɔlʲitɪt͡ʃnei̯
цвях	t͡sʲʋʲɑx
лук	ɫuk
надлишок	nɐdɫɪʃɔk
субота	sʊbɔtɐ
вітальнях	ʋʲitɑlʲnʲɐx
назва	nɑzʋɐ
українськім	ʊkrɐjinsʲkʲim
приблизно	prebɫɪznɔ
делегацію	deɫeɦɑt͡sʲijʊ
потилицю	pɔtɪɫet͡sʲʊ
баня	bɑnʲɐ
полоти	pɔɫɔte
структурний	strʊkturnei̯
користь	kɔrɪsʲtʲ
зоставатися	zɔstɐʋɑtesʲɐ
пороховий	pɔrɔxɔʋɪi̯
паузу	pɑʊzʊ
допустимість	dɔpʊstɪmʲisʲtʲ
важкодоступний	ʋɐʒkɔdostupnei̯
календарний	kɐɫendɑrnei̯
відвернути	ʋʲidʋernute
повік	pɔʋʲik
вертіти	ʋertʲite
немилосердний	nemeɫɔsɛrdnei̯
бити	bɪte
успадкувати	ʊspɐdkʊʋɑte
багаторічний	bɐɦɐtorʲit͡ʃnei̯
авіапарк	ɐʋʲiɐpɑrk
катастрофи	kɐtɐstrɔfe
лекцією	ɫɛkt͡sʲijejʊ
поважати	pɔʋɐʒɑte
паузами	pɑʊzɐme
бережок	bereʒɔk
перевалювати	pereʋɑlʲʊʋɐte
сантиметр	sɐntemɛtr
композитор	kɔmpɔzɪtɔr
життя	ʒetʲːɑ
сербохорватський	serbɔxɔrʋɑt͡sʲkei̯
учасник	ʊt͡ʃɑsnek
єдиноріг	jedenorʲiɦ
чорногорський	t͡ʃɔrnɔɦɔrsʲkei̯
м'ясоїдний	mjɐsɔjidnei̯
авіафауна	ɐʋʲiɐfɑʊnɐ
вуглецевий	wʊɦɫet͡sɛʋei̯
зоровий	zɔrɔʋɪi̯
виправити	ʋɪprɐʋete
енергіями	enɛrɦʲijɐme
верховна	ʋerxɔu̯nɐ
кандидатура	kɐndedɐturɐ
затвердити	zɐtʋɛrdete
абітурієнтка	ɐbʲitʊrʲijɛntkɐ
колонізувати	kɔɫɔnʲizʊʋɑte
другом	druɦɔm
культура	kʊlʲturɐ
пародія	pɐrɔdʲijɐ
вагітний	ʋɐɦʲitnei̯
медичний	medɪt͡ʃnei̯
віталень	ʋʲitɑɫenʲ
київський	kɪjiu̯sʲkei̯
магній	mɑɦnʲii̯
станціями	stɑnʲt͡sʲijɐme
обладнувати	ɔbɫɑdnʊʋɐte
поступок	pɔstʊpɔk
інформувати	infɔrmʊʋɑte
заявляти	zɐjɐu̯lʲɑte
безпомічний	bezpɔmʲit͡ʃnei̯
вадами	ʋɑdɐme
автоматизувати	ɐu̯tɔmɐtezʊʋɑte
мітинг	mʲitenɦ
сардинка	sɐrdɪnkɐ
мізантроп	mʲizɐntrɔp
тигр	tɪɦr
рев	rɛu̯
речовина	ret͡ʃɔʋenɑ
рильцем	rɪlʲt͡sem
видання	ʋedɐnʲːɑ
сукням	suknʲɐm
розбиратися	rɔzberɑtesʲɐ
нестабільний	nestɐbʲilʲnei̯
споживачів	spɔʒeʋɐt͡ʃʲiu̯
гуртожиток	ɦʊrtɔʒetɔk
пархоменко	pɐrxɔmenkɔ
схвалювати	sxʋɑlʲʊʋɐte
відсутність	ʋʲid͡zsutʲnʲisʲtʲ
годинник	ɦɔdɪnːek
селище	seɫɪʃt͡ʃe
галасливий	ɦɐɫɐsɫɪʋei̯
кондитер	kɔndɪter
переоцінювати	pereot͡sʲinʲʊʋɐte
аутизм	ɐʊtɪzm
терплячість	terplʲɑt͡ʃʲisʲtʲ
забути	zɐbute
споживача	spɔʒeʋɐt͡ʃɑ
маршрути	mɐrʃrute
німець	nʲimet͡sʲ
жити	ʒɪte
індекс	indeks
жоден	ʒɔden
слов'янами	sɫɔʋjɑnɐme
більш	bʲilʲʃ
сексуально	seksʊɑlʲnɔ
прага	prɑɦɐ
антропологічний	ɐntrɔpɔɫoɦʲit͡ʃnei̯
інноваційний	inːɔʋɐt͡sʲii̯nei̯
більшати	bʲilʲʃɐte
рельєфний	relʲjɛfnei̯
поезія	pɔɛzʲijɐ
рахунок	rɐxunɔk
таємниці	tɐjemnɪt͡sʲi
груба	ɦrubɐ
подробицею	pɔdrɔbet͡sejʊ
правило	prɑʋeɫɔ
переважати	pereʋɐʒɑte
білолиций	bʲiɫɔɫɪt͡sei̯
зацікавити	zɐt͡sʲikɑʋete
саботажник	sɐbɔtɑʒnek
очерет	ɔt͡ʃerɛt
таїландський	tɐjiɫɑnd͡zʲsʲkei̯
гібридний	ɦʲibrɪdnei̯
валентина	ʋɐɫentɪnɐ
смола	smɔɫɑ
романтичний	rɔmɐntɪt͡ʃnei̯
покласти	pɔkɫɑste
узаконити	ʊzɐkɔnete
ексклюзивний	eksklʲʊzɪu̯nei̯
навичка	nɑʋet͡ʃkɐ
алюміній	ɐlʲʊmʲinʲii̯
відвідати	ʋʲidʲʋʲidɐte
вибратися	ʋɪbrɐtesʲɐ
необґрунтований	ɔbɡrʊntɔʋɐnei̯
звук	zwuk
щиколотками	ʃt͡ʃɪkɔɫɔtkɐme
шибеницям	ʃɪbenet͡sʲɐm
згодний	zɦɔdnei̯
розібрати	rɔzʲibrɑte
рішення	rʲiʃenʲːɐ
унеможливити	ʊnemɔʒɫɪʋete
соус	sɔʊs
вижлоктати	ʋɪʒɫɔktɐte
також	tɑkɔʒ
дієприкметник	dʲijeprekmɛtnek
його	jɔɦɔ
панпсихізм	pɐnpsexʲizm
вівтарний	ʋʲiu̯tɑrnei̯
бувати	bʊʋɑte
корупція	korupt͡sʲijɐ
зрости	zrɔstɪ
діри	dʲire
джгут	d͡ʒɦut
робітниця	rɔbʲitnɪt͡sʲɐ
дитинство	detɪnstwɔ
вчорашній	ʍt͡ʃɔrɑʃnʲii̯
надавати	nɐdɐʋɑte
рильцям	rɪlʲt͡sʲɐm
корабел	kɔrɐbɛɫ
стехіометрія	stexʲiɔmɛtʲrʲijɐ
хрущ	xruʃt͡ʃ
інсталятор	instɐlʲɑtɔr
нетерпіння	terpʲinʲːɐ
отже	ɔdʒe
тепло	tepɫɔ
хрест	xrɛst
гігантський	ɦʲiɦɑnʲsʲkei̯
популярність	pɔpʊlʲɑrnʲisʲtʲ
мазь	mɑzʲ
самодостатньо	sɐmɔdɔstɑtʲnʲɔ
збагачувати	zbɐɦɑt͡ʃʊʋɐte
галина	ɦɐɫɪnɐ
суржик	surʒek
каса	kɑsɐ
нарід	nɑrʲid
містити	mʲistɪte
європейський	jeu̯rɔpɛi̯sʲkei̯
ртуть	rtutʲ
спрямовувати	sprʲɐmɔwʊʋɐte
іржавий	irʒɑʋei̯
існувати	isnʊʋɑte
палтус	pɑɫtʊs
бісексуал	bʲiseksʊɑɫ
вид	ʋɪd
тесля	tɛsʲlʲɐ
вівса	ʋʲiu̯sɑ
відвідувач	ʋʲidʲʋʲidʊʋɐt͡ʃ
боліти	bolʲite
лінійний	lʲinʲii̯nei̯
мусульманин	mʊsʊlʲmɑnen
мандрувати	mɐndrʊʋɑte
равлик	rɑu̯ɫek
горілок	ɦorʲiɫɔk
вина	ʋɪnɐ
бере	berɛ
молочний	mɔɫɔt͡ʃnei̯
вислів	ʋɪsʲlʲiu̯
ненависний	nenɑʋesnei̯
кореспондентка	kɔrespɔndɛntkɐ
заздрість	zɑzdʲrʲisʲtʲ
зубенко	zʊbɛnkɔ
немовля	nemɔu̯lʲɑ
дихання	dexɑnʲːɐ
лібералізувати	lʲiberɐlʲizʊʋɑte
горизонтом	ɦɔrezɔntɔm
веселий	ʋesɛɫei̯
легший	ɫɛɦʃei̯
суперництво	sʊpɛrnet͡stwɔ
розкіш	rɔzʲkʲiʃ
ліворуч	lʲiwɔrʊt͡ʃ
сучасниця	sʊt͡ʃɑsnet͡sʲɐ
монумент	mɔnʊmɛnt
біженець	bʲiʒenet͡sʲ
задоволений	zɐdɔwɔɫenei̯
підприємство	pʲidprejɛmstwɔ
дисертація	desertɑt͡sʲijɐ
героїчний	ɦerɔjit͡ʃnei̯
