secretive	sˈiːkɹətˌɪv
abuse	əbjˈuːz,əbjˈuːs
masturbator	mˈɑːstəbˌeɪtɐ
travellings	tɹˈævəlɪŋz
cherish	tʃˈɛɹɪʃ
windows	wˈɪndəʊz
transcribed	tɹænskɹˈaɪbd
prevention	pɹɪvˈɛnʃən
cameras	kˈæmɹəz,kˈæməɹəz
gentile	dʒˈɛntaɪl
consolation	kɒnsəlˈeɪʃən
intricacy	ˈɪntɹɪkəsi
asthmatic	æsmˈætɪk
brian	bɹˈaɪən
erythromycin	ˈɜːɹɪθɹˌɒmɪsˌɪn
canalisation	kˌænəlaɪzˈeɪʃən
porkies	pˈɔːkiz
focussed	fˈəʊkəszt
thunderbolt	θˈʌndəbˌəʊlt
graduated	gɹˈædjʊˌeɪtɪd,ɡɹˈædjuːˌeɪtɪd
unseasonal	ʌnsˈiːzənəl
solves	sˈɒlvz
unpardonable	ʌnpˈɑːdəʊnəbəl
wreaths	ɹˈiːθs
cleverness	klˈɛvənəs
spics	spˈɪks
sunscreens	sˈʌnskɹiːnz
saying	sˈeɪɪŋ
steelworker	stˈiːlwɜːkɐ
educationists	ˌɛdʒuːkˈeɪʃənˌɪsts
policymakers	pˈɒlɪsˌɪmeɪkəz
uncollected	ʌnkəlˈɛktɪd
quizzed	kwˈɪzd
seaweeds	sˈiːwiːdz
similarities	sˌɪmɪlˈæɹɪtiz
booed	bˈuːd
disdained	dɪsdˈeɪnd
lapped	lˈæpt
discharged	dɪstʃˈɑːdʒd
forthrightness	fˈɔːθɹaɪtnəs
inclining	ɪnklˈaɪnɪŋ
encrusts	ɛnkɹˈʌsts
akimbo	ɐkˈɪmbəʊ
farl	fˈɑːl
piqued	pˈiːkd
fascinating	fˈæsɪnˌeɪtɪŋ
punitive	pjˈuːnɪtˌɪv
furriers	fˈʌɹiəz
behaviourally	bɪhˈeɪvjəɹəli
exuberance	ɛɡzjˈuːbəɹəns
delightful	dɪlˈaɪtfəl
wild	wˈaɪld
sty	stˈaɪ
roadways	ɹˈəʊdweɪz
inextricably	ˌɪnɛkstɹˈɪkəbli
stupider	stjˈuːpɪdɐ
dale	dˈeɪl
hernias	hˈɜːniəz
registration	ɹˌɛdʒɪstɹˈeɪʃən
narks	nˈɑːks
crumbly	kɹˈʌmbli
familiarise	fəmˈɪliəɹˌaɪz
governmental	gˌɐvəmˈɛntəl,gˌɐvənmˈɛntəl,ɡˌʌvənmˈɛntəl
justly	dʒˈʌstli
pharyngitis	fˌɑːɹɪndʒˈaɪtɪs
smirks	smˈɜːks
languished	lˈæŋɡwɪʃt
diverging	daɪvˈɜːdʒɪŋ
thyroxine	θˈaɪɹəksˌaɪn
loan	lˈəʊn
defer	dɪfˈɜː
dynamics	daɪnˈæmɪks
admitting	ɐdmˈɪtɪŋ
unforgotten	ʌnfəɡˈɒtən
trilogies	tɹˈɪlədʒˌiz
temperance	tˈɛmpəɹəns
dor	dˈɔː
redheads	ɹˈɛdhɛdz
unsporting	ʌnspˈɔːtɪŋ
next	nˈɛkst
dilates	daɪlˈeɪts
marbled	mˈɑːbəld
departure	dɪpˈɑːtʃə,dɪpˈɑːtʃɐ
trebuchet	tɹˈɛbʊʃˌeɪ
apologising	ɐpˈɒlədʒˌaɪzɪŋ
demerits	dˈɛməɹˌɪts
graceless	ɡɹˈeɪsləs
medallions	mədˈæliənz
deathbeds	dˈɛθbɛdz
protestor	pɹətˈɛstɐ
cocktails	kˈɒkteɪlz
daring	dˈeəɹɪŋ
redcoats	ɹˈɛdkəʊts
agama	æɡˈɑːmɐ
readmit	ɹˈiːdmɪt
gape	ɡˈeɪp,gˈeɪp
counterintelligence	kˈaʊntəɹɪntˌɛlɪdʒəns
stepson	stˈɛpsən
drifters	dɹˈɪftəz
reminiscing	ɹˌɛmɪnˈɪsɪŋ
checkups	tʃˈɛkʌps
dwarf	dwˈɔːf
urn	ˈɜːn
douce	dˈaʊs
ides	ˈaɪdz
regularities	ɹˌɛɡjuːlˈæɹɪtiz
dishonest	dɪsˈɒnɪst
wildfires	wˈaɪldfaɪəz
bouquets	buːkˈeɪs
strobe	stɹˈəʊb
braille	bɹˈeɪl
governors	ɡˈʌvənəz,gˈɐvənəz
urbane	ˈɜːbeɪn
benedictine	bˈɛnɪdˌɪktiːn
frilliest	fɹˈɪliəst
aperitif	ɐpˌɛɹətˈiːf
queenly	kwˈiːnli
regime	ɹeɪʒˈiːm
transported	tɹænspˈɔːtɪd
spoor	spˈɔː
flashing	flˈæʃɪŋ
slummy	slˈʌmi
wafts	wˈɑːfts
reinforcement	ɹˌiːɪnfˈɔːsmənt
rishi	ɹˈiːʃi
intelligently	ɪntˈɛlɪdʒəntli
tidily	tˈaɪdili
declination	dɪklɪnˈeɪʃən
smogs	smˈɒɡz
cautiousness	kˈɔːʃəsnəs
mazers	mˈeɪzəz
alienation	ˌeɪliənˈeɪʃən
willets	wˈɪlɪts
overlain	ˌəʊvəlˈeɪn
dustsheets	dˈʌstʃiːts
piecemeal	pˈiːsmˌiːl
dumpster	dˈʌmpstɐ
ricks	ɹˈɪks
galls	ɡˈɔːlz
margin	mˈɑːdʒɪn
tors	tˈɔːz
proa	pɹˈəʊɐ
talker	tˈɔːkɐ
marie	məɹˈiː
biff	bˈɪf
slowdown	slˈəʊdaʊn
falsifications	fˌɒlsɪfɪkˈeɪʃənz
silenus	sˈaɪlənəs
sultanate	sˈʌltɐnˌeɪt
faze	fˈeɪz
coordinate	kəʊˈɔːdɪnˌeɪt,kəʊˈɔːdɪnɪt
reheard	ɹɪhˈɜːd
plentifully	plˈɛntɪfəli
quandary	kwˈɒndəɹi
fluency	flˈuːənsi
loach	lˈəʊtʃ
bracketing	bɹˈækɪtɪŋ
caboodle	kˈæbuːdəl
cupolas	kjuːpˈəʊləz
downshifted	dˈaʊnʃɪftɪd
specifying	spˈɛsɪfˌaɪɪŋ
whirl	wˈɜːl
bluebottle	blˈuːbɒtəl
roomful	ɹˈuːmfəl
epistemology	ɪpˌɪstɪmˈɒlədʒi
chronograph	kɹˈɒnəɡɹˌæf
animated	ˈænɪmˌeɪtɪd
posits	pˈɒsɪts
specialist	spˈɛʃəlɪst,spˈɛʃəlˌɪst
sherbets	ʃˈɜːbɪts
automat	ˈɔːtəmˌæt
imminently	ˈɪmɪnəntli
housefly	hˈaʊsflaɪ
sprawls	spɹˈɔːlz
lampoons	læmpˈuːnz
joannes	dʒəʊˈænz
curvier	kˈɜːvɪɐ
endothermic	ˌɛndəʊθˈɜːmɪk
assertions	ɐsˈɜːʃənz
aches	ˈeɪkz
solomon	sˈɒləmən
sec	sˈɛk
skintight	skˈɪntaɪt
referential	ɹɪfəɹˈɛnʃəl
pastilles	pˈɑːstɪlz
intractable	ɪntɹˈæktəbəl
ternary	tˈɜːnəɹi
experiences	ɪkspˈɪəɹɪənsɪz,ɛkspˈiəɹɪənsɪz
scrim	skɹˈɪm
extradition	ˌɛkstɹədˈɪʃən
conceits	kənsˈiːts
sliding	slˈaɪdɪŋ
litigation	lˌɪtɪgˈeɪʃən,lˌɪtɪɡˈeɪʃən
quintessential	kwˌɪntɪsˈɛnʃəl
gurge	ɡˈɜːdʒ
sculpted	skˈʌlptɪd
springiness	spɹˈɪŋɪnəs
synchronised	sˈɪnkɹənˌaɪzd
nightclubbing	nˈaɪtklʌbɪŋ
ram	ɹˈæm
malignity	məlˈɪɡnɪti
liming	lˈaɪmɪŋ
levelling	lˈɛvəlɪŋ
concuss	kənkˈʌs
renovates	ɹˈɛnəvˌeɪts
defrosting	dɪfɹˈɒstɪŋ
woos	wˈuːz
overactive	ˌəʊvəɹˈæktɪv
nutritionist	njuːtɹˈɪʃənˌɪst
braises	bɹˈeɪzɪz
winos	wˈaɪnəʊz
pleasurable	plˈɛʒəɹəbəl
unpredictable	ˌɐnpɹɪdˈɪktəbəl,ʌnpɹɪdˈɪktəbəl
quoted	kwˈəʊtɪd
teeniest	tˈiːnɪəst
peter	pˈiːtə,pˈiːtɐ
zone	zˈəʊn
hippie	hˈɪpi
breakfasts	bɹˈɛkfəsts
toxicity	tɒksˈɪsɪti
recommendation	ɹˌɛkəməndˈeɪʃən,ɹˌɛkəmɛndˈeɪʃən
glassy	ɡlˈɑːsi
crunchier	kɹˈʌntʃɪɐ
miserly	mˈaɪzəli
apologise	ɐpˈɒlədʒˌaɪz,əpˈɒlədʒˌaɪz
eterne	ɪtˈɜːn
degenerated	dɪdʒˈɛnəɹˌeɪtɪd
proponent	pɹəpˈəʊnənt
nucleotide	njˈuːklɪˌɒtaɪd
astounded	ɐstˈaʊndɪd
dullest	dˈʌləst
fumigator	fjˈuːmɪɡˌeɪtɐ
daylights	dˈeɪlaɪts
carvel	kˈɑːvəl
phalanxes	fˈælæŋksɪz
raving	ɹˈeɪvɪŋ
farce	fˈɑːs
outcome	ˈaʊtkʌm,ˈaʊtkˌɐm
provisioning	pɹəvˈɪʒənɪŋ
sine	sˈaɪn
impress	ɪmpɹˈɛs
badmouthing	bˈædməθɪŋ
contemplating	kˈɒntɪmplˌeɪtɪŋ
unsettles	ʌnsˈɛtəlz
once	wˈɒns,wˈɐns
flacks	flˈæks
peashooters	pˈiːʃuːtəz
raves	ɹˈeɪvz
informing	ɪnfˈɔːmɪŋ
ferrules	fˈɛɹuːlz
beachfront	bˈiːtʃfɹʌnt
windstorms	wˈɪndstɔːmz
discernibly	dɪsˈɜːnəbli
indulges	ɪndˈʌldʒɪz
kif	kˈɪf
unscrew	ʌnskɹˈuː
lippy	lˈɪpi
flirtatious	flɜːtˈeɪʃəs
devalue	diːvˈæljuː
raking	ɹˈeɪkɪŋ
untraditional	ʌntɹɐdˈɪʃənəl
semester	səmˈɛstə,səmˈɛstɐ
hit	hˈɪt
determinately	dɪtˈɜːmɪnˌeɪtli
facade	fæsˈɑːd,fəsˈɑːd
mutters	mˈʌtəz
dunces	dˈʌnsɪz
showery	ʃˈaʊəɹi
cryptomeria	kɹˌɪptəʊmˈiəɹɪɐ
goitre	ɡˈɔɪtɐ
stammered	stˈæməd
bonsai	bˈɒnsaɪ
piously	pˈaɪəsli
mineshaft	mˈaɪnʃɑːft
shotguns	ʃˈɒtɡʌnz
soil	sˈɔɪl
sandpapered	sˈændpeɪpəd
chuckles	tʃˈɐkəlz,tʃˈʌkəlz
lemmas	lˈɛməz
vampy	vˈæmpi
hinges	hˈɪndʒɪz
deftly	dˈɛftli
flu	flˈuː
miner	mˈaɪnɐ,mˈaɪnə
academically	ˌækədˈɛmɪkli
reclassified	ɹɪklˈæsɪfˌaɪd
unnumbered	ʌnnˈʌmbəd
trained	tɹˈeɪnd
helmets	hˈɛlmɪts
splashed	splˈæʃt
destabilising	diːstˈeɪbəlˌaɪzɪŋ
questioning	kwˈɛstʃənɪŋ
breathlessness	bɹˈɛθləsnəs
flirtatiousness	flɜːtˈeɪʃəsnəs
capacitors	kəpˈæsɪtəz
nosebleed	nˈəʊsbliːd
polygraphs	pˈɒlɪɡɹˌæfz
owning	ˈəʊnɪŋ
quarrelling	kwˈɒɹəlɪŋ
eukaryotes	jˈuːkɐɹɪˌəʊts
overregulation	ˌəʊvəɹˌɛɡjuːlˈeɪʃən
magnums	mˈæɡnəmz
lytic	lˈɪtɪk
ectothermic	ˌɛktəðˈɜːmɪk
clubhouse	klˈʌbhaʊs
uneconomic	ʌnˌiːkənˈɒmɪk
coxes	kˈɒksɪz
decency	dˈiːsənsi
ambulanceman	ˈæmbjʊlˌɑːnsɛmən
iguana	ˌɪɡjuːˈɑːnɐ
spoonbill	spˈuːnbɪl
chenille	tʃˈɛnɪl
metered	mˈiːtəd
requires	ɹɪkwˈaɪəz
hustling	hˈʌslɪŋ
revels	ɹˈɛvəlz
worker	wˈɜːkə,wˈɜːkɐ
indentations	ˌɪndɛntˈeɪʃənz
encyclical	ɛnsˈɪklɪkəl
trotter	tɹˈɒtɐ
nextdoor	nˈɛkstdɔː
clogged	klˈɒɡd
urine	jˈʊəɹɪn,jˈɔːɹɪn,jˈʊəɹaɪn
gaped	ɡˈeɪpt
jollies	dʒˈɒliz
appropriations	əpɹˌəʊpɹɪˈeɪʃənz,ɐpɹˌəʊpɹɪˈeɪʃənz
amelioration	ɐmˌiːliəɹˈeɪʃən
presuppose	pɹˌiːsʌpˈəʊz
phosphate	fˈɒsfeɪt
stuffer	stˈʌfɐ
xenophobe	zˈɛnəfˌəʊb
luging	lˈuːdʒɪŋ
mutable	mjˈuːtəbəl
situate	sˈɪtʃʊət,sˈɪtʃuːˌeɪt
cabinetry	kˈæbɪnətɹˌi
noisemaker	nˈɔɪzɪmˌeɪkɐ
arise	ɐɹˈaɪz,əɹˈaɪz
insanity	ɪnsˈænɪti
stab	stˈæb
genotype	dʒˈɛnətˌaɪp
lairds	lˈeədz
thews	θjˈuːz
redoubles	ɹɪdˈʌbəlz
thundercloud	θˈʌndəklˌaʊd
fumigate	fjˈuːmɪɡˌeɪt
elaborated	ɪlˈæbəɹˌeɪtɪd
raver	ɹˈeɪvɐ
weasels	wˈiːzəlz
squelchy	skwˈɛltʃi
riddling	ɹˈɪdlɪŋ
characteristic	kˌæɹɪktəɹˈɪstɪk
avidly	ˈævɪdli
atheneum	ˌæθənˈiːəm
anemometer	ˌænɪmˈɒmɪtɐ
flowering	flˈaʊəɹɪŋ
mixes	mˈɪksɪz
hora	hˈɔːɹɐ
menfolk	mˈɛnfəʊk
recombination	ɹˌiːkˌɒmbɪnˈeɪʃən
radicalism	ɹˈædɪkəlˌɪzəm
bugbear	bˈʌɡbeə
milady	mˈɪleɪdi
knowingly	nˈəʊɪŋli
parallels	pˈæɹəlˌɛlz
codes	kˈəʊdz
scruffs	skɹˈʌfs
approximated	ɐpɹˈɒksɪmˌeɪtɪd
retire	ɹɪtˈaɪə
sixpences	sˈɪkspənsɪz
assists	əsˈɪsts,ɐsˈɪsts
atheling	ˈæθəlɪŋ
tea	tˈiː
valise	vɐlˈiːs
belittles	bɪlˈɪtəlz
dates	dˈeɪts
speedily	spˈiːdɪli
lushness	lˈʌʃnəs
bosons	bˈɒsənz
tows	tˈəʊz
intervals	ˈɪntəvəlz
welting	wˈɛltɪŋ
kneeing	nˈiːɪŋ
gust	gˈɐst,ɡˈʌst
rooster	ɹˈuːstɐ
resides	ɹɪsˈaɪdz
oddball	ˈɒdbɔːl
maverick	mˈævəɹˌɪk,mˈævəɹɪk
permeated	pˈɜːmɪˌeɪtɪd
rookie	ɹˈʊki
ensnared	ɛnsnˈeəd
valuables	vˈæljuːəbəlz
awake	əwˈeɪk,ɐwˈeɪk
yardage	jˈɑːdɪdʒ
fulfil	fʊlfˈɪl
gnat	nˈæt
attributions	ɐtɹɪbjˈuːʃənz
constitute	kˈɒnstɪtjˌuːt
remortgaging	ɹɪmˈɔːɡɪdʒɪŋ
religious	ɹɪlˈɪdʒəs
elderberry	ˈɛldəbəɹi
frilled	fɹˈɪld
unselfconscious	ʌnsɛlfkˈɒnʃəs
jg	dʒˌeɪdʒˈiː
wasteful	wˈeɪstfəl
overture	ˈəʊvətjˌɔː
regression	ɹɪɡɹˈɛʃən,ɹɪgɹˈɛʃən
ledger	lˈɛdʒɐ
mismanagement	mɪsmˈænɪdʒmənt
international	ˌɪntənˈæʃənəl
woods	wˈʊdz
ideogram	ˈɪdɪˌɒɡɹæm
effulgent	ɪfˈʌldʒənt
blubber	blˈɐbə,blˈʌbɐ
outsourced	aʊtsˈɔːsd
repletion	ɹɪplˈiːʃən
airframes	ˈeəfɹeɪmz
virtual	vˈɜːtʃʊəl,vˈɜːtʃuːəl
pulled	pˈʊld
boatyards	bˈəʊtjɑːdz
moniker	mˈɒnɪkɐ
hotline	hˈɒtlaɪn
nonfiction	nˌɒnfˈɪkʃən
calorie	kˈælɔːɹi
icebergs	ˈaɪsbɜːɡz
raunchier	ɹˈɔːntʃɪɐ
perfumery	pˈɜːfjuːməɹi
stultified	stˈʌltɪfˌaɪd
exist	ɪgzˈɪst,ɛɡzˈɪst
cranks	kɹˈæŋks
moles	mˈəʊlz
kabbalah	kˈæbælɐ
vermouth	vˈɜːməθ
distrust	dɪstɹˈʌst
kernels	kˈɜːnəlz
circular	sˈɜːkjʊlə,sˈɜːkjʊlɐ
seeing	sˈiːɪŋ
luce	lˈuːs
plug	plˈɐg,plˈʌɡ
schnozzle	ʃnˈɒzəl
loveliness	lˈʌvlinəs
cortisone	kˈɔːtɪsˌəʊn
moorhen	mˈɔːhən
environmentalism	ɛnvˌaɪɹənmˈɛntəlˌɪzəm
quiche	kˈiːʃ
schooners	skˈuːnəz
showroom	ʃˈəʊɹuːm
seeker	sˈiːkə,sˈiːkɐ
misanthropic	mɪsænθɹˈɒpɪk
rickshaws	ɹˈɪkʃɔːz
antecedent	ˌæntɪsˈiːdənt
monkeying	mˈʌnkɪɪŋ
adopted	ədˈɒptɪd,ɐdˈɒptɪd
admonishes	ɐdmˈɒnɪʃɪz
indicting	ɪndˈaɪtɪŋ
subverting	səbvˈɜːtɪŋ
supertanker	sˈuːpətˌæŋkɐ
contract	kəntɹˈækt,kˈɒntɹˌækt
crocks	kɹˈɒks
studios	stjˈuːdɪˌəʊz
urbanite	ˈɜːbɐnˌaɪt
discouragement	dɪskˈʌɹɪdʒmənt
mommas	mˈɒməz
cantatas	kɑːntˈɑːtəz
eff	ˌiːˌɛfˈɛf
harries	hˈæɹɪz
stress	stɹˈɛs
rediscovered	ɹˌiːdɪskˈʌvəd
towards	təwˈɔːdz,tʊwˈɔːdz,tˈɔːdz
walking	wˈɔːkɪŋ
florets	flˈɒɹəts
growing	ɡɹˈəʊɪŋ,gɹˈəʊɪŋ
bitchiest	bˈɪtʃɪəst
standardisation	stˌændədaɪzˈeɪʃən
unchain	ʌntʃˈeɪn
bedazzled	bɪdˈæzəld
technic	tˈɛknɪk
protective	pɹətˈɛktɪv
overbearing	ˌəʊvəbˈeəɹɪŋ
ecological	ˌɛkəlˈɒdʒɪkəl,ˌiːkəlˈɒdʒɪkəl
infidelity	ˌɪnfɪdˈɛlɪti
runaway	ɹˈʌnəwˌeɪ
galoshes	ɡˈælɒʃɪz
proofing	pɹˈuːfɪŋ
confronting	kənfɹˈʌntɪŋ
labels	lˈeɪbəlz
unassisted	ʌnɐsˈɪstɪd
conceptual	kənsˈɛptʃuːəl,kənsˈɛptʃʊəl
illegible	ɪlˈɛdʒəbəl
aliases	ˈeɪliəsɪz
niece	nˈiːs
laparoscopy	lˌæpɐɹˈɒskəpi
interlope	ˌɪntəlˈəʊp
immensely	ɪmˈɛnsli
downstroke	dˈaʊnstɹəʊk
sisal	sˈɪsəl
bothered	bˈɒðəd
glans	ɡlˈænz
parishioners	pˈæɹɪʃənəz
arachnids	ɐɹˈæknɪdz
effectually	ɪfˈɛktʃuːəli
vitalise	vˈaɪtəlˌaɪz
prefaced	pɹˈɛfəst
almoner	ˈɒlmənɐ
caption	kˈæpʃən
libraries	lˈaɪbɹəɹiz
mucked	mˈʌkt
procured	pɹəkjˈɔːd
leash	lˈiːʃ
rigour	ɹˈɪɡɐ
chuckled	tʃˈʌkəld
connecter	kənˈɛktɐ
portuguese	pˌɔːtʃʊgˈiːz
buntline	bˈʌntlaɪn
titivation	tˌɪtɪvˈeɪʃən
consumptions	kənsˈʌmpʃənz
redisplayed	ɹˌiːdɪsplˈeɪd
furlough	fˈɜːləʊ
decidua	dɪsˈɪdjuːɐ
dysphoria	dɪsfˈɔːɹiə
aneurin	ˈænjuːɹˌɪn
casseroling	kˈæsəɹˌəʊlɪŋ
stargazer	stˈɑːɡeɪzɐ
stopgap	stˈɒpɡæp
springtime	spɹˈɪŋtaɪm
reliant	ɹɪlˈaɪənt
familiarised	fəmˈɪliəɹˌaɪzd
basement	bˈeɪsmənt
sarcophagi	sɑːkˈɒfəɡˌaɪ
rapers	ɹˈeɪpəz
pungently	pˈʌndʒəntli
vilnius	vˈɪlnɪəs,vˈɪlnɪʊs
waylaid	wˈeɪleɪd
resisting	ɹɪsˈɪstɪŋ
excellent	ˈɛksələnt
growler	ɡɹˈaʊlɐ
legitimise	lədʒˈɪtɪmˌaɪz
triumphalist	tɹˈaɪəmfəlˌɪst
inactivate	ɪnˈæktɪvˌeɪt
pekoe	pˈiːkəʊ
sixths	sˈɪksθs
overindulgence	ˌəʊvəɹɪndˈʌldʒəns
disenfranchise	dˌɪsɛnfɹˈɑːntʃaɪz
festers	fˈɛstəz
darren	dˈæɹən
externals	ɛkstˈɜːnəlz
presidium	pɹɪsˈɪdiəm
overdeveloped	ˌəʊvədɪvˈɛləpt
pomace	pˈɒmeɪs
evaluates	ɪvˈæljuːˌeɪts
distrait	dɪstɹˈeɪt
rinderpest	ɹˈaɪndəpəst
updates	ˈʌpdeɪts,ˈɐpdˌeɪts,ɐpdˈeɪts
agate	ˈæɡeɪt
croquette	kɹəkˈɛt
twinkling	twˈɪŋklɪŋ
dweeb	dwˈiːb
glaziers	ɡlˈeɪziəz
delectably	dɪlˈɛktəbli
terpsichorean	tˈɜːpsɪkˌɔːɹiən
robustly	ɹəʊbˈʌstli
barrio	bˈæɹɪˌəʊ
pilloried	pˈɪləɹˌid
undercutting	ˌʌndəkˈʌtɪŋ
doled	dˈəʊld
digressing	daɪɡɹˈɛsɪŋ
frightens	fɹˈaɪtənz
plunders	plˈʌndəz
incompleteness	ɪnkəmplˈiːtnəs
glamorgan	gləmˈɔːgən
discoing	dˈɪskəʊɪŋ
boneyard	bˈəʊnjɑːd
portraitist	pˈɔːtɹɪtˌɪst
nabs	nˈæbz
tub	tˈɐb,tˈʌb
primitive	pɹˈɪmɪtˌɪv,pɹˈɪmɪtɪv
atrophied	ˈætɹəfɪd
hustler	hˈʌslɐ
summery	sˈʌməɹi
shandies	ʃˈændɪz
visits	vˈɪzɪts
hummingbird	hˈʌmɪŋbˌɜːd
dabblers	dˈæbləz
lawrence	lˈɒɹəns
queendom	kwˈiːndəm
tarnishing	tˈɑːnɪʃɪŋ
withdrawing	wɪðdɹˈɔːɹɪŋ
declaimed	dɪklˈeɪmd
dwelt	dwˈɛlt
murres	mˈʌrz
amending	ɐmˈɛndɪŋ
talisman	tˈælɪsmən
delusive	dɪlˈuːsɪv
sprinted	spɹˈɪntɪd
humbuggery	hˈʌmbəɡəɹi
ranged	ɹˈeɪndʒd
timelessly	tˈaɪmləsli
objectify	ɒbdʒˈɛktɪfˌaɪ
superficial	sˈuːpəfˈɪʃəl,sˌuːpəfˈɪʃəl
traitorous	tɹˈeɪtəɹəs
curatorship	kjʊɹˈeɪtəʃˌɪp
insurgents	ɪnsˈɜːdʒənts
speedster	spˈiːdstɐ
decapitation	dɪkˌæpɪtˈeɪʃən
aloof	ɐlˈuːf,əlˈuːf
oratorical	ˌɒɹətˈɒɹɪkəl
charging	tʃˈɑːdʒɪŋ
unrhymed	ʌnɹˈaɪmd
buffed	bˈʌft
impressing	ɪmpɹˈɛsɪŋ
sniffer	snˈɪfɐ
furiously	fjˈɔːɹɪəsli
wistful	wˈɪstfəl
bushing	bˈʊʃɪŋ
paras	pˈæɹəz
bootleg	bˈuːtlɛɡ
backpacker	bˈækpækɐ
drying	dɹˈaɪɪŋ
flouted	flˈaʊtɪd
chanterelle	tʃˈɑːntəɹˌɛl
fissures	fˈɪʃəz
fruiterers	fɹˈuːtəɹəz
keelhauling	kˈiːlhɔːlɪŋ
scandalising	skˈændəlˌaɪzɪŋ
flagellum	flɐdʒˈɛləm
glue	ɡlˈuː,glˈuː
compensator	kˈɒmpənsˌeɪtɐ
levels	lˈɛvəlz
vanity	vˈænɪti
lick	lˈɪk
advisable	ɐdvˈaɪzəbəl
somewhere	sˈɐmwˌɛə,sˈʌmweə
unoriginal	ʌnəɹˈɪdʒɪnəl
cutthroat	kˈʌtθɹəʊt
enshrines	ɛnʃɹˈaɪnz
crane	kɹˈeɪn
biffing	bˈɪfɪŋ
cuddlier	kˈʌdliɐ
petrify	pˈɛtɹɪfˌaɪ
brokerages	bɹˈəʊkɹɪdʒɪz
distract	dɪstɹˈækt
arsing	ˈɑːsɪŋ
remanded	ɹɪmˈɑːndɪd
generate	dʒˈɛnəɹˌeɪt
sombre	sˈɒmbɐ
outshines	aʊtʃˈaɪnz
bronchus	bɹˈɒnkəs
porcupine	pˈɔːkjuːpˌaɪn
ceremonies	sˈɛɹɪmənɪz
humanist	hjˈuːmɐnˌɪst
conscripting	kˈɒnskɹɪptɪŋ
bandana	bændˈɑːnɐ
reconciliations	ɹˌɛkənsˌɪlɪˈeɪʃənz
leftover	lˈɛftəʊvɐ
merits	mˈɛɹɪts
circuitous	sɜːkjˈuːˌɪtəs
sheltered	ʃˈɛltəd
bratwurst	bɹˈætwɜːst
extraordinaire	ɛkstɹˌɔːdɪnˈeə
hickey	hˈɪki
cardies	kˈɑːdɪz
researching	ɹɪsˈɜːtʃɪŋ
solvents	sˈɒlvənts
woulds	wˈʊdz
frisk	fɹˈɪsk
crewel	kɹˈɛwəl
crawled	kɹˈɔːld
curtseys	kˈɜːtsɪz
nags	nˈæɡz
gutting	ɡˈʌtɪŋ
bayou	bˈaɪuː
endive	ˈɛndɪv
backcloth	bˈækklɒθ
beneficiary	bˌɛnɪfˈɪʃəɹi
cadillac	kˈædɪlˌæk
demonised	dˈiːmənˌaɪzd
grubbing	ɡɹˈʌbɪŋ
greats	ɡɹˈeɪts
upholders	ʌphˈəʊldəz
unsheathed	ʌnʃˈiːðd
cowries	kˈaʊɹɪz
commandeer	kɒmɑːndˈiə
drawback	dɹˈɔːbæk
secretaries	sˈɛkɹɪtəɹiz,sˈɛkɹətɹˌɪz
cloche	klˈɒʃ
spitfire	spˈɪtfaɪə
folkloric	fəʊklˈɒɹɪk
woodshed	wˈʊdʃɛd
costard	kˈəʊstɑːd
rudimentary	ɹˌuːdɪmˈɛntəɹi
between	bɪtwˈiːn
renovate	ɹˈɛnəvˌeɪt
seafloor	sˈiːflɔː
remind	ɹɪmˈaɪnd
woodcutters	wˈʊdkʌtəz
sanctimony	sˈɑːnktɪməni
forcemeat	fˈɔːsɪmˌiːt
flipper	flˈɪpɐ
trikes	tɹˈaɪks
foods	fˈuːdz
recycling	ɹɪsˈaɪklɪŋ
pappy	pˈæpi
honorary	ˈɒnəɹəɹi
competitor	kəmpˈɛtɪtɐ,kəmpˈɛtɪtə
warbling	wˈɔːblɪŋ
constable	kˈɒnstəbəl
impromptu	ɪmpɹˈɒmptuː
carried	kˈæɹid,kˈæɹɪd
satiny	sˈætɪni
chewer	tʃjˈuːɐ
streaking	stɹˈiːkɪŋ
littleness	lˈɪtəlnəs
vibrates	vaɪbɹˈeɪts
diagrams	dˈaɪəɡɹˌæmz
earths	ˈɜːθs
unexpected	ˌʌnɛkspˈɛktɪd,ˌɐnɪkspˈɛktɪd
legalisation	lˌiːɡəlaɪzˈeɪʃən
october	ɒktˈəʊbə
greedier	ɡɹˈiːdɪɐ
lo	lˈəʊ
hoarse	hˈɔːs
statuses	stˈeɪtəsɪz
feathering	fˈɛðəɹɪŋ
africa	ˈæfɹɪkə
submit	səbmˈɪt
karmically	kˈɑːmɪkli
aromatherapists	ɐɹˈəʊmɐθˌɛɹəpˌɪsts
showgirl	ʃˈəʊɡɜːl
cowpoke	kˈaʊpəʊk
yellowed	jˈɛləʊd
bitterest	bˈɪtəɹəst
parvenus	pˈɑːvənəs
dampeners	dˈæmpənəz
narratives	nˈæɹətˌɪvz
refilling	ɹɪfˈɪlɪŋ
dago	dˈeɪɡəʊ
kinkiness	kˈɪŋkinəs
translucent	tɹænslˈuːsənt
chastened	tʃˈeɪstənd
laundryman	lˈɔːndɹɪmən
gargled	ɡˈɑːɡəld
riverbanks	ɹˈɪvəbˌæŋks
authenticates	ɔːθˈɛntɪkˌeɪts
bounders	bˈaʊndəz
uncharitably	ʌntʃˈæɹɪtəbli
