pcion	pt͡ɕɔn
feministka	fɛmʲiɲistka
szkołę	ʂkɔwɛ
malino	malʲinɔ
ogorzelec	ɔɡɔʐɛlɛt͡s
poszerzenie	pɔʂɛʐɛɲɛ
cieniuch	t͡ɕɛɲux
owadopodobny	ɔvadɔpɔdɔbnɨ
przydzielać	pʂɨd͡ʑɛlat͡ɕ
kaszlom	kaʂlɔm
dolnymi	dɔlnɨmʲi
komoryjskiego	kɔmɔrɨjskʲɛɡɔ
gnąca	ɡnɔnt͡sa
frak	frak
błagać	bwaɡat͡ɕ
bogate	bɔɡatɛ
pakistańskiemu	pakʲistaɲskʲɛmu
mijać	mʲijat͡ɕ
mokrym	mɔkrɨm
biegacz	bʲɛɡat͡ʂ
głowica	ɡwɔvʲit͡sa
mija	mʲija
ziębimi	ʑɛmbʲimʲi
przemarzniecie	pʂɛmarzɲɛt͡ɕɛ
żony	ʐɔnɨ
zawartość	zavartɔɕt͡ɕ
wodzem	vɔd͡zɛm
klęłaś	klɛwaɕ
strojom	strɔjɔm
starca	start͡sa
wschodom	fsxɔdɔm
dzedzej	d͡zɛd͡zɛj
afatycznymi	afatɨt͡ʂnɨmʲi
zrębek	zrɛmbɛk
wojdyga	vɔjdɨɡa
spirydowicz	spʲirɨdɔvʲit͡ʂ
narzucać	naʐut͡sat͡ɕ
spust	spust
wypierdolenie	vɨpʲɛrdɔlɛɲɛ
koszykarka	kɔʂɨkarka
określić	ɔkrɛɕlʲit͡ɕ
partyka	partɨka
odżywiać	ɔd͡ʐʐɨvʲat͡ɕ
witold	vʲitɔlt
muzyka	muzɨka
zjedzenie	zjɛd͡zɛɲɛ
pękające	pɛŋkajɔnt͡sɛ
entomologiczny	ɛntɔmɔlɔɡʲit͡ʂnɨ
łomowi	wɔmɔvʲi
cicho	t͡ɕixɔ
galopujący	ɡalɔpujɔnt͡sɨ
podtrzymywać	pɔttʂɨmɨvat͡ɕ
lisimi	lʲiɕimʲi
reelekcja	rɛʔɛlɛkt͡sja
natarcie	natart͡ɕɛ
niewidoma	ɲɛvʲidɔma
motorek	mɔtɔrɛk
matowy	matɔvɨ
kładę	kwadɛ
cybuszek	t͡sɨbuʂɛk
choszczyk	xɔʂt͡ʂɨk
hepatologia	xɛpatɔlɔɡʲja
makach	makax
słońce	swɔɲt͡sɛ
najgęstszy	najɡɛ̃stʂɨ
ciachano	t͡ɕaxanɔ
dżinn	d͡ʐinn
przekwitający	pʂɛkfʲitajɔnt͡sɨ
czechło	t͡ʂɛxwɔ
siudek	ɕudɛk
próchnilec	pruxɲilɛt͡s
gid	ɡʲit
por	pɔr
sadłocha	sadwɔxa
paluszkiewicz	paluʂkʲɛvʲit͡ʂ
kuropaś	kurɔpaɕ
kęsom	kɛ̃sɔm
feliński	fɛlʲiɲskʲi
studzien	stud͡ʑɛn
nepalska	nɛpalska
ciału	t͡ɕawu
anka	anka
bosa	bɔsa
prędkie	prɛntkʲɛ
wlecieć	vlɛt͡ɕɛt͡ɕ
bodziono	bɔd͡ʑɔnɔ
unikat	uɲikat
dyliżansowy	dɨlʲiʐansɔvɨ
ośmioro	ɔɕmʲɔrɔ
rosiak	rɔɕak
robocie	rɔbɔt͡ɕɛ
szarawy	ʂaravɨ
udostępniać	udɔstɛmpɲat͡ɕ
obijanie	ɔbʲijaɲɛ
nieopatrzny	ɲɛɔpatʂnɨ
zwyciężyć	zvɨt͡ɕɛ̃ʐɨt͡ɕ
szperać	ʂpɛrat͡ɕ
majakowski	majakɔfskʲi
azjatyckiego	azjatɨt͡skʲɛɡɔ
zjadliwy	zjadlʲivɨ
kubaś	kubaɕ
pyrtek	pɨrtɛk
denne	dɛnnɛ
sobarnia	sɔbarɲa
podsunięcie	pɔtsuɲɛɲt͡ɕɛ
dewota	dɛvɔta
rozmieniać	rɔzmʲɛɲat͡ɕ
chrypa	xrɨpa
twardymi	tfardɨmʲi
pać	pat͡ɕ
rozpocznij	rɔspɔt͡ʂɲij
babecki	babɛt͡skʲi
zaparło	zaparwɔ
famula	famula
impregnacja	imprɛɡnat͡sja
najkruchszego	najkruxʂɛɡɔ
jędrszczyk	jɛndrʂt͡ʂɨk
obmarzniecie	ɔbmarzɲɛt͡ɕɛ
skroń	skrɔɲ
karły	karwɨ
petronela	pɛtrɔnɛla
cierpiałabym	t͡ɕɛrpʲawabɨm
orędzie	ɔrɛɲd͡ʑɛ
bunsch	bunsx
kazachska	kazaxska
gorzało	ɡɔʐawɔ
radiowóz	radjɔvus
konstelacja	kɔ̃stɛlat͡sja
mitkiewicz	mʲitkʲɛvʲit͡ʂ
najludniejszego	najludɲɛjʂɛɡɔ
kamczacku	kamt͡ʂat͡sku
logarytmiczny	lɔɡarɨtmʲit͡ʂnɨ
białostoczanka	bʲawɔstɔt͡ʂanka
fuj	fuːj
wdowczak	vdɔft͡ʂak
prelegent	prɛlɛɡɛnt
łapówkom	wapufkɔm
turkmeńsku	turkmɛɲsku
krówkom	krufkɔm
źrebiąt	ʑrɛbʲɔnt
wocial	vɔt͡ɕal
angielski	anɡʲɛlskʲi
żołnie	ʐɔwɲɛ
poteralska	pɔtɛralska
sokolątko	sɔkɔlɔntkɔ
woda	vɔda
rzęst	ʐɛ̃st
sokołem	sɔkɔwɛm
obłąkom	ɔbwɔŋkɔm
wartki	vartkʲi
drętkiewicz	drɛntkʲɛvʲit͡ʂ
pomarańczowawi	pɔmaraɲt͡ʂɔvavʲi
rewir	rɛvʲir
pogardzać	pɔɡard͡zat͡ɕ
burdelik	burdɛlʲik
spójka	spujka
rozpięty	rɔspʲɛntɨ
wypoczywanie	vɨpɔt͡ʂɨvaɲɛ
tropowiec	trɔpɔvʲɛt͡s
befsztyk	bɛfʂtɨk
harlekin	xarlɛkʲin
gembal	ɡɛmbal
gardzimy	ɡard͡ʑimɨ
upity	upʲitɨ
nogieć	nɔɡʲɛt͡ɕ
gasił	ɡaɕiw
playlista	plɛjlʲista
płetwonurek	pwɛtfɔnurɛk
teks	tɛks
łusek	wusɛk
puszkowi	puʂkɔvʲi
wyniki	vɨɲikʲi
pstrong	pstrɔŋk
odparzyć	ɔtpaʐɨt͡ɕ
przestępca	pʂɛstɛmpt͡sa
kołodziej	kɔwɔd͡ʑɛj
sowią	sɔvʲɔ̃
koalicjant	kɔalʲit͡sjant
opony	ɔpɔnɨ
łapali	wapalʲi
wsiąknąć	fɕɔŋknɔɲt͡ɕ
smukłe	smukwɛ
sądowego	sɔndɔvɛɡɔ
tarto	tartɔ
czep	t͡ʂɛp
tybuś	tɨbuɕ
siembida	ɕɛmbʲida
osiemdziesiątej	ɔɕɛmd͡ʑɛɕɔntɛj
burzę	buʐɛ
podmarznięcie	pɔdmarzɲɛɲt͡ɕɛ
mościanica	mɔɕt͡ɕaɲit͡sa
ciężarną	t͡ɕɛ̃ʐarnɔ̃
konkatedra	kɔnkatɛdra
kochające	kɔxajɔnt͡sɛ
porannymi	pɔrannɨmʲi
adwentysty	advɛntɨstɨ
upośledzenie	upɔɕlɛd͡zɛɲɛ
pomagałabym	pɔmaɡawabɨm
spychał	spɨxaw
analny	analnɨ
ceglaste	t͡sɛɡlastɛ
wrzoszczyk	vʐɔʂt͡ʂɨk
juśkiewicz	juɕkʲɛvʲit͡ʂ
gruchała	ɡruxawa
renem	rɛnɛm
zamienne	zamʲɛnnɛ
antkowicz	antkɔvʲit͡ʂ
bliskowschodni	blʲiskɔfsxɔdɲi
mydlnica	mɨdlɲit͡sa
trzebić	tʂɛbʲit͡ɕ
wsiąknięcie	fɕɔŋkɲɛɲt͡ɕɛ
żremy	ʐrɛmɨ
góral	ɡural
użądlenie	uʐɔndlɛɲɛ
kolędzie	kɔlɛɲd͡ʑɛ
dzielnicy	d͡ʑɛlɲit͡sɨ
lekom	lɛkɔm
urawniłowka	uravɲiwɔfka
przysiąc	pʂɨɕɔnt͡s
kontener	kɔntɛnɛr
najęła	najɛwa
osmenda	ɔsmɛnda
koi	kɔi
padół	paduw
doraźny	dɔraʑnɨ
wadera	vadɛra
franciszkański	frant͡ɕiʂkaɲskʲi
zdarcie	zdart͡ɕɛ
ablacjom	ablat͡sjɔm
progów	prɔɡuf
cez	t͡sɛs
klęto	klɛntɔ
gocek	ɡɔt͡sɛk
łódce	wutt͡sɛ
smarujące	smarujɔnt͡sɛ
nausznik	nauʂɲik
wieziono	vʲɛʑɔnɔ
bonk	bɔŋk
tajlandzkich	tajlant͡skʲix
pianach	pʲanax
trofeum	trɔfɛum
ukażą	ukaʐɔ̃
dubbingowały	dabʲinɡɔvawɨ
hulają	xulajɔ̃
wielbłądziego	vʲɛlbwɔɲd͡ʑɛɡɔ
jarał	jaraw
ton	tɔn
mołdawskiemu	mɔwdafskʲɛmu
żarliwy	ʐarlʲivɨ
pomidorowy	pɔmʲidɔrɔvɨ
iwę	ivɛ
defloracja	dɛflɔrat͡sja
piąteczka	pʲɔntɛt͡ʂka
kontrolowałybyśmy	kɔntrɔlɔvawɨbɨɕmɨ
kretowi	krɛtɔvʲi
kladzie	klad͡ʑɛ
mieszkanie	mʲɛʂkaɲɛ
broimy	brɔimɨ
szparag	ʂparak
wschodnioafrykański	fsxɔdɲɔafrɨkaɲskʲi
islandzcy	islant͡st͡sɨ
poligamista	pɔlʲiɡamʲista
dobrzyński	dɔbʐɨɲskʲi
osteoporoza	ɔstɛɔpɔrɔza
barbarzyńską	barbaʐɨɲskɔ̃
tatarscy	tatarst͡sɨ
mataj	mataj
pachom	paxɔm
sztachnąć	ʂtaxnɔɲt͡ɕ
pary	parɨ
budynek	budɨnɛk
zacisze	zat͡ɕiʂɛ
kozą	kɔzɔ̃
amerykańskim	amɛrɨkaɲskʲim
tahitanka	taitanka
matołów	matɔwuf
nadajnik	nadajɲik
iluzorycznie	iluzɔrɨt͡ʂɲɛ
baraniak	baraɲak
rozchodniak	rɔsxɔdɲak
archiwariuszom	arxʲivarʲjuʂɔm
kandzia	kaɲd͡ʑa
wydrzyk	vɨdʐɨk
platanowy	platanɔvɨ
jeńcu	jɛɲt͡su
florczyk	flɔrt͡ʂɨk
bóstwo	bustfɔ
siewruga	ɕɛvruɡa
kłosek	kwɔsɛk
oleje	ɔlɛjɛ
perzyk	pɛʐɨk
przeanalizowały	pʂɛanalʲizɔvawɨ
przyskoczyć	pʂɨskɔt͡ʂɨt͡ɕ
korze	kɔʐɛ
dzielność	d͡ʑɛlnɔɕt͡ɕ
uosobienie	uɔsɔbʲɛɲɛ
chudą	xudɔ̃
policzyć	pɔlʲit͡ʂɨt͡ɕ
stała	stawa
obroża	ɔbrɔʐa
wątlutki	vɔntlutkʲi
ibook	ajbuk
biustonosz	bʲustɔnɔʂ
oprawa	ɔprava
borej	bɔrɛj
dialektologia	djalɛktɔlɔɡʲja
nabojami	nabɔjamʲi
zarzewie	zaʐɛvʲɛ
lit	lʲit
maciocha	mat͡ɕɔxa
paduch	padux
szast	ʂast
hiszpańskich	xʲiʂpaɲskʲix
korowaj	kɔrɔvaj
relief	rɛljɛf
borajkiewicz	bɔrajkʲɛvʲit͡ʂ
czcząc	t͡ʂt͡ʂɔnt͡s
pytali	pɨtalʲi
przetrwanie	pʂɛtrvaɲɛ
penkala	pɛŋkala
wielbłąd	vʲɛlbwɔnt
energizerów	ɛnɛrd͡ʐajzɛruf
stanulewicz	stanulɛvʲit͡ʂ
gaszek	ɡaʂɛk
pozwalający	pɔzvalajɔnt͡sɨ
łży	wʐɨ
scenę	st͡sɛnɛ
koniowi	kɔɲɔvʲi
prezent	prɛzɛnt
południowosłowiańskiemu	pɔwudɲɔvɔswɔvʲaɲskʲɛmu
burego	burɛɡɔ
afrykańskimi	afrɨkaɲskʲimʲi
bujną	bujnɔ̃
dziwiszek	d͡ʑivʲiʂɛk
zakażające	zakaʐajɔnt͡sɛ
lankijskim	lankʲijskʲim
szytą	ʂɨtɔ̃
gorzowiankom	ɡɔʐɔvʲankɔm
znajdę	znajdɛ
bronakowska	brɔnakɔfska
oklaski	ɔklaskʲi
przetknięcie	pʂɛtkɲɛɲt͡ɕɛ
kwasigroch	kfaɕiɡrɔx
arogancka	arɔɡant͡ska
przesąd	pʂɛsɔnt
choina	xɔina
wartką	vartkɔ̃
mobbing	mɔbʲink
cudowi	t͡sudɔvʲi
kontrolą	kɔntrɔlɔ̃
wilniuk	vʲilɲuk
matowi	matɔvʲi
pijano	pʲijanɔ
drząszcz	dʐɔ̃ʂt͡ʂ
rąbany	rɔmbanɨ
waszemu	vaʂɛmu
radziński	rad͡ʑiɲskʲi
kompocik	kɔmpɔt͡ɕik
centkiewicz	t͡sɛntkʲɛvʲit͡ʂ
ogłoszenie	ɔɡwɔʂɛɲɛ
wasikowski	vaɕikɔfskʲi
renata	rɛnata
pozwólcie	pɔzvult͡ɕɛ
delikatesem	dɛlʲikatɛsɛm
najchłodniej	najxwɔdɲɛj
pszczelim	pʂt͡ʂɛlʲim
naparły	naparwɨ
rugę	ruɡɛ
abonowany	abɔnɔvanɨ
malwina	malvʲina
rzadki	ʐatkʲi
butów	butuf
sama	sama
klimczuk	klʲimt͡ʂuk
igleniec	iɡlɛɲɛt͡s
poczet	pɔt͡ʂɛt
gitarami	ɡʲitaramʲi
cudnym	t͡sudnɨm
kościsz	kɔɕt͡ɕiʂ
wodowanie	vɔdɔvaɲɛ
pajęczych	pajɛnt͡ʂɨx
osiewicz	ɔɕɛvʲit͡ʂ
chowie	xɔvʲɛ
archiwom	arxʲivɔm
kompas	kɔmpas
waleń	valɛɲ
mysze	mɨʂɛ
kukuć	kukut͡ɕ
fragment	fraɡmɛnt
muślin	muɕlʲin
kolumbijsku	kɔlumbʲijsku
ilustrować	ilustrɔvat͡ɕ
jałowiczor	jawɔvʲit͡ʂɔr
ziąbem	ʑɔmbɛm
obrazom	ɔbrazɔm
oślizlok	ɔɕlʲizlɔk
glińska	ɡlʲiɲska
wodzie	vɔd͡ʑɛ
liszajec	lʲiʂajɛt͡s
rozniecić	rɔzɲɛt͡ɕit͡ɕ
wymiksować	vɨmʲiksɔvat͡ɕ
wszak	fʂak
orlimi	ɔrlʲimʲi
obowiązkowy	ɔbɔvʲɔ̃skɔvɨ
srałeś	srawɛɕ
janowiak	janɔvʲak
dolec	dɔlɛt͡s
kwapisz	kfapʲiʂ
podbiałostockiego	pɔdbʲawɔstɔt͡skʲɛɡɔ
bydgoska	bɨdɡɔska
fabianowicz	fabʲanɔvʲit͡ʂ
piecem	pʲɛt͡sɛm
wilgami	vʲilɡamʲi
dwumian	dvumʲan
górowicz	ɡurɔvʲit͡ʂ
ropuszą	rɔpuʂɔ̃
koptyjska	kɔptɨjska
opałacz	ɔpawat͡ʂ
mózgom	muzɡɔm
pływać	pwɨvat͡ɕ
dwudziestym	dvud͡ʑɛstɨm
zmarłe	zmarwɛ
zmyj	zmɨj
liczono	lʲit͡ʂɔnɔ
abazję	abazjɛ
płowiec	pwɔvʲɛt͡s
gruźlica	ɡruʑlʲit͡sa
ciecieręga	t͡ɕɛt͡ɕɛrɛŋɡa
prawdziwym	pravd͡ʑivɨm
męt	mɛnt
mors	mɔrs
indiańskiego	indiaɲskʲɛɡɔ
źródłach	ʑrudwax
bolek	bɔlɛk
lado	ladɔ
afatycznych	afatɨt͡ʂnɨx
brzuchomówca	bʐuxɔmuft͡sa
małas	mawas
wołos	vɔwɔs
najgłębszy	najɡwɛmpʂɨ
kozan	kɔzan
szybkowar	ʂɨpkɔvar
szulowska	ʂulɔfska
hennig	xɛnɲik
mężczyzną	mɛ̃ʂt͡ʂɨznɔ̃
sanitariuszka	saɲitarʲjuʂka
antolec	antɔlɛt͡s
tuchewicz	tuxɛvʲit͡ʂ
chyba	xɨba
krówki	krufkʲi
delikatesach	dɛlʲikatɛsax
kołakowska	kɔwakɔfska
adiutanta	adjutanta
pęzom	pɛ̃zɔm
barman	barman
zajebista	zajɛbʲista
pomocą	pɔmɔt͡sɔ̃
buczek	but͡ʂɛk
buteleczka	butɛlɛt͡ʂka
pobudzać	pɔbud͡zat͡ɕ
allel	allɛl
mrzyk	mʐɨk
osoby	ɔsɔbɨ
walą	valɔ̃
ornymi	ɔrnɨmʲi
wpłacie	fpwat͡ɕɛ
napalić	napalʲit͡ɕ
pietrulewicz	pʲɛtrulɛvʲit͡ʂ
pasiewicz	paɕɛvʲit͡ʂ
autostopowy	awtɔstɔpɔvɨ
zerze	zɛʐɛ
gdakać	ɡdakat͡ɕ
rozstawać	rɔsstavat͡ɕ
ostruszyn	ɔstruʂɨn
przednia	pʂɛdɲa
poprzedniemu	pɔpʂɛdɲɛmu
kierat	kʲɛrat
palny	palnɨ
wymagało	vɨmaɡawɔ
baniami	baɲamʲi
oszustem	ɔʂustɛm
iwanowicz	ivanɔvʲit͡ʂ
płazowi	pwazɔvʲi
psi	pɕi
dłuta	dwuta
bumelant	bumɛlant
elementarny	ɛlɛmɛntarnɨ
osobowym	ɔsɔbɔvɨm
nalany	nalanɨ
kontrowersja	kɔntrɔvɛrsja
patrzałbyś	patʂawbɨɕ
telefonicznie	tɛlɛfɔɲit͡ʂɲɛ
gołębiami	ɡɔwɛmbʲamʲi
dołhań	dɔwxaɲ
dopychać	dɔpɨxat͡ɕ
siodle	ɕɔdlɛ
szlaban	ʂlaban
interesu	intɛrɛsu
odpoczywać	ɔtpɔt͡ʂɨvat͡ɕ
cenicie	t͡sɛɲit͡ɕɛ
spostrzec	spɔstʂɛt͡s
wykrot	vɨkrɔt
kaszleć	kaʂlɛt͡ɕ
uzbeckimi	uzbɛt͡skʲimʲi
charczenie	xart͡ʂɛɲɛ
gasicie	ɡaɕit͡ɕɛ
szwedzkiego	ʂfɛt͡skʲɛɡɔ
ostanę	ɔstanɛ
kuświk	kuɕfʲik
trójdzielny	trujd͡ʑɛlnɨ
karmem	karmɛm
narkotyków	narkɔtɨkuf
kosiniec	kɔɕiɲɛt͡s
kopista	kɔpʲista
gizd	ɡʲist
zabrał	zabraw
łęgowy	wɛŋɡɔvɨ
motykiewicz	mɔtɨkʲɛvʲit͡ʂ
lucek	lut͡sɛk
mogła	mɔɡwa
marchut	marxut
psychoanalityczny	psɨxɔanalʲitɨt͡ʂnɨ
płynięcie	pwɨɲɛɲt͡ɕɛ
maluchy	maluxɨ
domem	dɔmɛm
pastusiak	pastuɕak
zostaną	zɔstanɔ̃
adresatkę	adrɛsatkɛ
łatce	watt͡sɛ
miesić	mʲɛɕit͡ɕ
ruro	rurɔ
absurdalniej	apsurdalɲɛj
rybarkiewicz	rɨbarkʲɛvʲit͡ʂ
stronę	strɔnɛ
manowiec	manɔvʲɛt͡s
blenda	blɛnda
saudyjskich	sawdɨjskʲix
marokańskim	marɔkaɲskʲim
czerwonawej	t͡ʂɛrvɔnavɛj
manifestantka	maɲifɛstantka
tonia	tɔɲa
słaliśmy	swalʲiɕmɨ
parze	paʐɛ
szukanie	ʂukaɲɛ
pyrcioch	pɨrt͡ɕɔx
mokra	mɔkra
mrowczyk	mrɔft͡ʂɨk
fruń	fruɲ
pośredniczący	pɔɕrɛdɲit͡ʂɔnt͡sɨ
woziłaby	vɔʑiwabɨ
piwsko	pʲifskɔ
pyłoszczelny	pɨwɔʂt͡ʂɛlnɨ
pukając	pukajɔnt͡s
magdoń	maɡdɔɲ
wizytę	vʲizɨtɛ
knują	knujɔ̃
świat	ɕfʲat
maskowałaś	maskɔvawaɕ
trzpiot	tʂpʲɔt
jajnik	jajɲik
liche	lʲixɛ
lokatorka	lɔkatɔrka
krótkiego	krutkʲɛɡɔ
powszedni	pɔfʂɛdɲi
makak	makak
porównać	pɔruvnat͡ɕ
rekreacja	rɛkrɛat͡sja
hospitalizować	xɔspʲitalʲizɔvat͡ɕ
piąteczką	pʲɔntɛt͡ʂkɔ̃
archiwariuszu	arxʲivarʲjuʂu
szczupli	ʂt͡ʂuplʲi
robaczym	rɔbat͡ʂɨm
posortowanie	pɔsɔrtɔvaɲɛ
podplemię	pɔtplɛmʲɛ
skrzydlinka	skʂɨdlʲinka
kwokacz	kfɔkat͡ʂ
zrobiona	zrɔbʲɔna
uświadom	uɕfʲadɔm
adresatce	adrɛsatt͡sɛ
zamyl	zamɨl
bembnowicz	bɛmbnɔvʲit͡ʂ
głowy	ɡwɔvɨ
awestyjskich	avɛstɨjskʲix
miód	mʲut
najambitniejsi	najambʲitɲɛjɕi
cięta	t͡ɕɛnta
piejemy	pʲɛjɛmɨ
ugryzienie	uɡrɨʑɛɲɛ
koniec	kɔɲɛt͡s
samowolka	samɔvɔlka
małżeństwem	mawʐɛɲstfɛm
dystrykt	dɨstrɨkt
koszowi	kɔʂɔvʲi
kościej	kɔɕt͡ɕɛj
krzemowi	kʂɛmɔvʲi
usień	uɕɛɲ
wymienia	vɨmʲɛɲa
metraż	mɛtraʂ
ukryto	ukrɨtɔ
modrzeniec	mɔdʐɛɲɛt͡s
męskie	mɛ̃skʲɛ
nikim	ɲikʲim
kansas	kanzas
wraź	vraɕ
tylnymi	tɨlnɨmʲi
rucham	ruxam
cecylia	t͡sɛt͡sɨlja
zrąb	zrɔmp
białostocczanką	bʲawɔstɔt͡st͡ʂankɔ̃
pięknej	pʲɛŋknɛj
sumem	sumɛm
wstrętną	fstrɛntnɔ̃
pośmiertny	pɔɕmʲɛrtnɨ
gnojowi	ɡnɔjɔvʲi
przegrodzić	pʂɛɡrɔd͡ʑit͡ɕ
buriackiemu	burʲjat͡skʲɛmu
martwą	martfɔ̃
krzywym	kʂɨvɨm
skwira	skfʲira
długimi	dwuɡʲimʲi
krain	krain
żarówiasty	ʐaruvʲastɨ
epos	ɛpɔs
niecką	ɲɛt͡skɔ̃
pleszew	plɛʂɛf
żyłka	ʐɨwka
wyjęty	vɨjɛntɨ
szczypiór	ʂt͡ʂɨpʲur
wisiały	vʲiɕawɨ
abonamentowy	abɔnamɛntɔvɨ
sypuła	sɨpuwa
wiosenną	vʲɔsɛnnɔ̃
tysiączny	tɨɕɔnt͡ʂnɨ
ukrainizm	ukraiɲizm
pyskatą	pɨskatɔ̃
odpowiedzieć	ɔtpɔvʲɛd͡ʑɛt͡ɕ
najekologiczniejszego	najɛkɔlɔɡʲit͡ʂɲɛjʂɛɡɔ
kruszyński	kruʂɨɲskʲi
tanzańczyk	tanzaɲt͡ʂɨk
kompan	kɔmpan
skrzydła	skʂɨdwa
majach	majax
pościelić	pɔɕt͡ɕɛlʲit͡ɕ
belizeńscy	bɛlʲizɛɲst͡sɨ
nokturnowy	nɔkturnɔvɨ
silos	silɔs
strzoda	stʂɔda
wicher	vʲixɛr
mrozach	mrɔzax
neutrino	nɛutrʲinɔ
błot	bwɔt
wszystkie	fʂɨstkʲɛ
sabotowane	sabɔtɔvanɛ
orzechowe	ɔʐɛxɔvɛ
leniuchować	lɛɲuxɔvat͡ɕ
trakcyjny	trakt͡sɨjnɨ
pogorzelski	pɔɡɔʐɛlskʲi
gałęzatkowiec	ɡawɛ̃zatkɔvʲɛt͡s
trzynastym	tʂɨnastɨm
nadęły	nadɛwɨ
znośny	znɔɕnɨ
lazaret	lazarɛt
narazi	naraʑi
lakach	lakax
przybyłowicz	pʂɨbɨwɔvʲit͡ʂ
groziły	ɡrɔʑiwɨ
bił	bʲiw
zaducha	zaduxa
zwrócić	zvrut͡ɕit͡ɕ
micha	mʲixa
cwojdziński	t͡sfɔjd͡ʑiɲskʲi
zabiega	zabʲɛɡa
przewodziłaś	pʂɛvɔd͡ʑiwaɕ
padaczka	padat͡ʂka
wyjdź	vɨjt͡ɕ
powieszenie	pɔvʲɛʂɛɲɛ
obserwator	ɔpsɛrvatɔr
kręciły	krɛɲt͡ɕiwɨ
czacha	t͡ʂaxa
bitego	bʲitɛɡɔ
dziewczynką	d͡ʑɛft͡ʂɨnkɔ̃
polecanie	pɔlɛt͡saɲɛ
sklepów	sklɛpuf
toinowate	tɔinɔvatɛ
portmonetka	pɔrtmɔnɛtka
smoliniec	smɔlʲiɲɛt͡s
zlej	zlɛj
rozprucie	rɔsprut͡ɕɛ
strzał	stʂaw
rysujący	rɨsujɔnt͡sɨ
raków	rakuf
staro	starɔ
filozoficzny	fʲilɔzɔfʲit͡ʂnɨ
zajście	zajɕt͡ɕɛ
baton	batɔn
wstrętnej	fstrɛntnɛj
przewieszka	pʂɛvʲɛʂka
dj	did͡ʐɛj
osiedlić	ɔɕɛdlʲit͡ɕ
niedożywienie	ɲɛdɔʐɨvʲɛɲɛ
niewulis	ɲɛvulʲis
dziesięcioletni	d͡ʑɛɕɛɲt͡ɕɔlɛtɲi
ozyrys	ɔzɨrɨs
hinduski	xʲinduskʲi
udział	ud͡ʑaw
spawać	spavat͡ɕ
jankiewicz	jankʲɛvʲit͡ʂ
świdrów	ɕfʲidruf
pierończyk	pʲɛrɔɲt͡ʂɨk
latajmy	latajmɨ
cibora	t͡ɕibɔra
wyłem	vɨwɛm
dupo	dupɔ
biologia	bʲɔlɔɡʲja
łańcuch	waɲt͡sux
olchom	ɔlxɔm
jare	jarɛ
wstężnica	fstɛ̃ʐɲit͡sa
mapami	mapamʲi
lejce	lɛjt͡sɛ
ingerencja	inɡɛrɛnt͡sja
trzepanie	tʂɛpaɲɛ
aktualizacja	aktualʲizat͡sja
duszpasterz	duʂpastɛʂ
syndykalista	sɨndɨkalʲista
dziko	d͡ʑikɔ
dąga	dɔŋɡa
działach	d͡ʑawax
czernoch	t͡ʂɛrnɔx
afazja	afazja
załadunek	zawadunɛk
lampy	lampɨ
egzaminuj	ɛɡzamʲinuj
nieróbstwo	ɲɛrupstfɔ
kałmucką	kawmut͡skɔ̃
trzepot	tʂɛpɔt
biała	bʲawa
kurzych	kuʐɨx
fideikomisariusz	fʲidɛikɔmʲisarʲjuʂ
namarznięcie	namarzɲɛɲt͡ɕɛ
zdybał	zdɨbaw
pluchę	pluxɛ
dobą	dɔbɔ̃
okryć	ɔkrɨt͡ɕ
tracona	trat͡sɔna
malezyjskiego	malɛzɨjskʲɛɡɔ
obrót	ɔbrut
borzych	bɔʐɨx
kwaśne	kfaɕnɛ
audytorium	awdɨtɔrʲjum
zaabonowałbym	zaabɔnɔvawbɨm
wapniu	vapɲu
piłby	pʲiwbɨ
obieca	ɔbʲɛt͡sa
godnych	ɡɔdnɨx
oznaka	ɔznaka
osobie	ɔsɔbʲɛ
klukę	klukɛ
aktualne	aktualnɛ
zajonc	zajɔnt͡s
okołotowicz	ɔkɔwɔtɔvʲit͡ʂ
zgryźliwość	zɡrɨʑlʲivɔɕt͡ɕ
miszczyszyn	mʲiʂt͡ʂɨʂɨn
kwaśniejszy	kfaɕɲɛjʂɨ
bober	bɔbɛr
włodarczyk	vwɔdart͡ʂɨk
nartach	nartax
chustę	xustɛ
piętnaście	pʲɛtnaɕt͡ɕɛ
cieciami	t͡ɕɛt͡ɕamʲi
zapiąć	zapʲɔɲt͡ɕ
dzięks	d͡ʑɛŋks
kresek	krɛsɛk
węższy	vɛ̃ʂʂɨ
ochylenie	ɔxɨlɛɲɛ
kichacie	kʲixat͡ɕɛ
gębicka	ɡɛmbʲit͡ska
zarchiwizowałyście	zarxʲivʲizɔvawɨɕt͡ɕɛ
demoralizacja	dɛmɔralʲizat͡sja
chatami	xatamʲi
prozopopeja	prɔzɔpɔpɛja
ulewicz	ulɛvʲit͡ʂ
zmieniła	zmʲɛɲiwa
wypluwać	vɨpluvat͡ɕ
oczywistszy	ɔt͡ʂɨvʲistʂɨ
mrozom	mrɔzɔm
mimicznie	mʲimʲit͡ʂɲɛ
spuść	spuɕt͡ɕ
rozgryzać	rɔzɡrɨzat͡ɕ
kunica	kuɲit͡sa
rogowi	rɔɡɔvʲi
podpalić	pɔtpalʲit͡ɕ
wyciskać	vɨt͡ɕiskat͡ɕ
podstąp	pɔtstɔmp
mrówka	mrufka
wrzód	vʐut
cięgi	t͡ɕɛŋɡʲi
