pogosto	pɔɡóːstɔ
smelejši	smèːlɛjʃi
makedonščina	makɛdóːnʃt͡ʃina
opeklina	ɔpɛklìːna
izklopiti	isklɔpìːti
brihten	brìːxtən
slediti	slɛdìːti
ol	óːʋ
in	in
matematika	matɛmàːtika
spominčica	spɔmíːnt͡ʃit͡sa
ošiliti	ɔʃìːliti
frekvenca	frɛkʋéːnt͡sa
fukajoč	fukajóːt͡ʃ
sin	síːn
princesa	print͡séːsa
rabiti	rabìːti
pražiti	pràːʒiti
platno	plàːtnɔ
peti	pɛ̀ːti
živ	ʒíːʋ
betlehem	béːtlɛxɛm
koruza	kɔrùːza
voščiti	ʋòːʃt͡ʃiti
plašč	plàːʃt͡ʃ
tolmač	tɔlmàːt͡ʃ
zaseben	zaséːbən
poljubiti	pɔljubíːti
jamajka	jamáːjka
šimpanz	ʃimpáːns
žiti	ʒìːti
bretonka	brɛtóːnka
genocid	ɡɛnɔt͡síːt
stric	strìːt͡s
ljubezen	ljubéːzən
berkelij	bɛrkèːlij
braniti	braníːti
bedak	bɛdàːk
spretnost	sprèːtnɔst
kavsati	káːʋsati
rudar	rudàːr
prevodnik	prɛʋóːdnik
renesansa	rɛnɛsáːnsa
sekalec	sɛkáːlət͡s
kateter	katèːtər
orodje	ɔróːdjɛ
grščina	ɡə́rʃt͡ʃina
otroče	ɔtrɔt͡ʃɛ́
samum	samúːm
latvijski	làːtʋijski
grško	ɡə́rʃkɔ
baba	bàːba
dogajati	dɔɡàːjati
heteroseksualnost	xɛtɛrɔsɛksuáːlnɔst
srati	sràːti
bolgarski	bɔlɡáːrski
praded	práːdɛ́t
dalj	dál
kdo	ɡdòː
najkrutejši	nájkrùːtɛjʃi
sapnik	sáːpnik
borka	bóːrka
kako	kakòː
zakon	zàːkɔn
vraža	ʋràːʒa
si	si
spol	spɔ́l
skromnejši	skrɔ̀ːmnɛjʃi
učenec	ut͡ʃɛ̀ːnət͡s
blatnik	bláːtnik
socializem	sɔt͡sijalìːzəm
anarhizem	anarxìːzəm
kemija	kɛmíːja
nad	nat
prt	pə́rt
pridevnik	pridéːʋnik
spodaj	spɔ̀ːdaj
lizbona	lizbóːna
termit	tɛrmíːt
praslovanski	práːslɔʋáːnski
ruvati	rùːʋati
zvezda	zʋèːzda
rodilnik	rɔdíːlnik
tih	tíːx
drkanje	də́rkanjɛ
dvojček	dʋòːjt͡ʃək
sezuti	sɛzùːti
ambrozija	ambròːzija
sljuda	sljùːda
b	bə́
potrpežljivejši	pɔtərpɛʒljìːʋɛjʃi
albanka	albáːnka
dol	dóːʋ
najpočasneje	nájpɔt͡ʃasnɛ́ːjɛ
neposredno	nɛ́pɔsréːdnɔ
kratica	kratìːt͡sa
moskva	móːskʋa
struktura	struktúːra
siv	síːʋ
zavesa	zaʋéːsa
polotok	pɔlɔtɔ́k
zadovoljiti	zadɔʋɔljìːti
biseksualnost	bíːsɛksuáːlnɔst
bizon	bíːzɔn
spodoben	spɔdòːbən
jožef	jóːʒɛf
pojasniti	pɔjáːsniti
zvati	zʋàːti
ključavnica	kljut͡ʃáːʋnit͡sa
ali	áli
padati	pàːdati
barantati	barantàːti
vrana	ʋràːna
trot	tróːt
presenetiti	prɛsɛnèːtiti
stetoskop	stɛtɔskɔ́p
zmaj	zmàːj
kvark	kʋáːrk
pravičnost	praʋíːt͡ʃnɔst
najresničnejši	nájrɛsnìːt͡ʃnɛjʃi
krvaveti	kərʋaʋèːti
romunsko	rɔmúːnskɔ
april	apríːl
preteklik	prɛtɛ̀ːklik
zapornica	zapóːrnit͡sa
puhati	púːxati
srednjevaloven	srɛdnjɛʋalɔ́ːʋən
mil	míːl
zadnjičen	záːdnjit͡ʃən
polonij	pɔlòːnij
volna	ʋɔ̀ːʋna
palača	palàːt͡ʃa
rek	rɛ́k
premeniti	prɛmɛnìːti
celina	t͡sɛlìːna
striči	strìːt͡ʃi
cvreti	t͡sʋrèːti
koper	kɔ̀ːpər
vžigalica	ʋʒiɡáːlit͡sa
vrata	ʋràːta
besedotvoren	bɛsɛdɔtʋóːrən
mreža	mrèːʒa
posameznik	pɔsáːmɛznik
stikalo	stikàːlɔ
grd	ɡə́rt
pizda	pìːzda
azerbajdžan	azɛrbajd͡ʒáːn
duša	dùːʃa
veselje	ʋɛsɛ̀ːljɛ
ščet	ʃt͡ʃéːt
hoditi	xɔdíːti
vrstnost	ʋə́rstnɔst
kondom	kɔndóːm
konec	kɔ̀ːnət͡s
objaviti	ɔbjàːʋiti
kosmulja	kɔsmùːlja
njihov	njíːxɔʋ
prašič	pràːʃit͡ʃ
podoba	pɔdóːba
protaktinij	prɔtaktìːnij
čebela	t͡ʃəbéːla
luč	lúːt͡ʃ
portugalski	pɔrtuɡáːlski
včlaniti	ʋt͡ʃlàːniti
snežiti	snɛʒìːti
samostalnik	samɔstáːlnik
anatomija	anatɔmíːja
moliti	mɔlíːti
jajčevec	jàːjt͡ʃɛʋət͡s
peči	pɛ̀ːt͡ʃi
oklepaj	ɔklɛpáːj
klavir	klaʋíːr
prostorski	prɔstóːrski
bos	bóːs
najstrastnejši	nájstràːstnɛjʃi
višji	ʋíːʃji
bodimo	bòːdimɔ
alkohol	alkɔxóːl
žolt	ʒɔ́ːʋt
titan	titáːn
slivovka	slìːʋɔʋka
islandija	islàːndija
češplja	t͡ʃéːʃplja
gospodična	ɡɔspɔdíːt͡ʃna
car	t͡sàːr
rijavec	rìːjaʋət͡s
sablja	sáːblja
jagnjetina	jàːɡnjɛtina
mišica	míːʃit͡sa
mogoče	mɔɡòːt͡ʃɛ
kenija	kèːnija
najslajši	nájsláːjʃi
kapitalist	kapitalíːst
razlika	razlíːka
vagina	ʋaɡíːna
usodnejši	usòːdnɛjʃi
najpustejši	nájpustɛ́ːjʃi
vladati	ʋláːdati
skrotum	skróːtum
najskrivnostnejši	nájskriʋnóːstnɛjʃi
avtobus	áːʋtɔbus
ogroziti	ɔɡrɔzíːti
file	filéː
kamen	kàːmən
miniti	minìːti
klop	klɔ́p
patološki	patɔlóːʃki
nos	nóːs
torij	tòːrij
molekula	mɔléːkula
patologija	patɔlɔɡíːja
zobozdravnik	zɔbɔzdraʋnìːk
moravec	mɔràːʋət͡s
bolnica	bóːlnit͡sa
adijo	adíːjɔ
najsladejši	nájsladɛ́ːjʃi
sendvič	séːndʋit͡ʃ
strojen	strɔ́ːjən
pofukati	pɔfúːkati
veja	ʋɛ́ːja
tuberkuloza	tubɛrkulóːza
peta	pɛ̀ːta
mafija	màːfija
kuna	kùːna
jadro	jàːdrɔ
francij	fràːnt͡sij
lezbijka	lèːzbijka
makedonka	makɛdóːnka
niobij	nijòːbij
bosanščina	bɔsáːnʃt͡ʃina
vstopiti	ʋstɔpìːti
kos	kóːs
takoj	takóːj
hosta	xóːsta
svoj	sʋòːj
lug	lúːk
rama	ràːma
jarem	jàːrəm
prvak	pərʋàːk
gnosticizem	ɡnɔstit͡sìːzəm
maslo	màːslɔ
kladivce	kladìːʋt͡sɛ
vejati	ʋɛ́ːjati
cvesti	t͡sʋəstí
klic	klíːt͡s
bunda	búːnda
podpičje	pɔ́tpíːt͡ʃjɛ
mi	míː
bosanski	bɔsàːnski
umivati	umìːʋati
obiskati	ɔbiskàːti
kupiti	kùːpiti
dopoldan	dɔpɔ́ːʋdan
predlog	prɛ̀ːdlɔk
pričakovati	prit͡ʃakɔʋàːti
avto	áːʋtɔ
koliko	kóːlikɔ
počasno	pɔt͡ʃàːsnɔ
slavec	slàːʋət͡s
ponos	pɔnɔ́s
bomo	bóːmɔ
indij	ìːndij
ahil	axíːl
ogel	óːɡəʋ
stopnišče	stɔpnìːʃt͡ʃɛ
železo	ʒɛlèːzɔ
jeznejši	jèːznɛjʃi
najgrši	nájɡə́rʃi
slap	sláːp
zvonar	zʋɔnàːr
zlo	zlɔ́
polh	pɔ́ːʋx
oziroma	ɔzíːrɔma
štirinajst	ʃtirinàːjst
hitrost	xitróːst
naglejši	nàːɡlɛjʃi
brest	brèːst
portugalska	pɔrtuɡáːlska
organizacija	ɔrɡanizàːt͡sija
črka	t͡ʃə̀rka
soprog	sɔpróːk
restavracija	rɛstaʋràːt͡sija
ščurek	ʃt͡ʃùːrək
cveten	t͡sʋéːtən
deblo	dɛ̀ːblɔ
žival	ʒiʋáːʋ
kopito	kɔpìːtɔ
pek	péːk
relativnost	rɛlatíːʋnɔst
malta	máːlta
kamela	kaméːla
italijansko	italijáːnskɔ
sporočilo	spɔrɔt͡ʃìːlɔ
konj	kɔ́n
pavel	páːʋəl
izgovoriti	izɡɔʋɔrìːti
vesti	ʋɛ̀ːsti
madžar	mad͡ʒáːr
kneginja	knéːɡinja
žvečiti	ʒʋèːt͡ʃiti
najprijaznejši	nájprijàːznɛjʃi
voščiti	ʋɔʃt͡ʃíːti
povednik	pɔʋéːdnik
rotovž	róːtɔʋʃ
količina	kɔlit͡ʃìːna
presti	prɛ̀ːsti
lijak	lijàːk
laž	láːʃ
gnati	ɡnàːti
naš	náʃ
domovina	dɔmɔʋìːna
pesek	pèːsək
drugi	drùːɡi
galeb	ɡaléːp
sardinija	sardìːnija
vstaviti	ʋstàːʋiti
relativnost	réːlatiʋnɔst
donava	dóːnaʋa
gumb	ɡúːmp
svinčnik	sʋìːnt͡ʃnik
samec	sàːmət͡s
uspeti	uspèːti
čutiti	t͡ʃutíːti
posteljica	pòːstɛljit͡sa
najobčutljivejši	nájɔpt͡ʃutljìːʋɛjʃi
prihajati	prixáːjati
stopiti	stɔpìːti
tovariš	tɔʋáːriʃ
sova	sɔ̀ːʋa
hvaliti	xʋalíːti
macesen	mat͡sɛ̀ːsən
najpočasneje	nájpɔt͡ʃàːsnɛjɛ
bezeg	bə̀zək
otomanski	ɔtɔmáːnski
jarek	jàːrək
najbrihtnejši	nájbrìːxtnɛjʃi
uspeh	uspɛ́x
topol	tɔ̀ːpɔl
strasten	stràːstən
amfiteater	amfitɛàːtər
predlagati	prɛdláːɡati
beseda	bɛséːda
burek	búːrɛk
litva	líːtʋa
hren	xrɛ́n
gams	ɡàːms
klorofil	klɔrɔfíːl
objem	ɔbjɛ́m
gristi	ɡrìːsti
argon	arɡóːn
zidati	zidàːti
oseben	ɔséːbən
norveško	nɔrʋéːʃkɔ
janšizem	janʃizɛm
ogenj	ɔ̀ːɡən
malteški	maltéːʃki
rovka	rɔ́ːʋka
špansko	ʃpáːnskɔ
kitara	kitáːra
bukselj	bùːksəl
zlaten	zlatéːn
pozno	pɔ̀ːznɔ
kup	kúp
gibanje	ɡìːbanjɛ
zet	zɛ́t
borec	bóːrət͡s
debelejši	dɛbɛlɛ́ːjʃi
ekonomist	ɛkɔnɔmíːst
svoboden	sʋɔbɔ̀ːdən
dleto	dlèːtɔ
širok	ʃirɔ́k
sobana	sɔbàːna
tipka	tíːpka
počiti	pòːt͡ʃiti
najsončnejši	nájsóːnt͡ʃnɛjʃi
kategorialen	katɛɡɔrijáːlən
žafran	ʒafráːn
britanija	britàːnija
redko	rèːtkɔ
jesen	jɛséːn
zidati	zìːdati
kaznovati	kaznɔʋàːti
noj	nɔ́j
shizofrenija	sxizɔfrɛníːja
medvedka	mɛdʋéːtka
juha	jùːxa
kdor	ɡdɔ́r
vsebina	ʋsɛbìːna
prepucij	prɛpùːt͡sij
beloruščina	bɛlɔrúːʃt͡ʃina
uran	uráːn
malteško	maltéːʃkɔ
veliko	ʋɛlìːkɔ
džungla	d͡ʒúːnɡla
nikelj	nìːkəl
jajce	jàːjt͡sɛ
kit	kíːt
klošar	klóːʃar
mlesti	mlèːsti
moliti	mɔlìːti
banka	báːnka
bagrist	baɡríːst
hrast	xràːst
ruvati	ruʋàːti
rezilo	rɛzìːlɔ
zgodaj	zɡóːdaj
albanščina	albáːnʃt͡ʃina
najlažji	nájláːʒji
svetel	sʋɛ̀ːtəʋ
latvijščina	làːtʋijʃt͡ʃina
kalifornij	kalifòːrnij
slikati	slíːkati
najokusnejši	nájɔkùːsnɛjʃi
nasmeh	nasméːx
andora	andóːra
datum	dáːtum
oman	óːman
ploden	plòːdən
mohamed	mòːxamɛt
ljubosumnost	ljubɔsùːmnɔst
korenje	kɔréːnjɛ
zssr	zəsəsərə́
marko	màːrkɔ
jaz	jás
fakulteta	fakultéːta
teči	tɛ̀ːt͡ʃi
spremeniti	sprɛmɛníːti
spogledovati	spɔɡlɛdɔʋàːti
brazilski	brazíːlski
fermij	fɛ̀ːrmij
vurnik	ʋúːrnik
makedonija	makɛdòːnija
nikoli	nikóːli
knez	knéːs
nemški	nèːmʃki
kovnica	kɔ́ːʋnit͡sa
bretonščina	brɛtóːnʃt͡ʃina
simboličen	simbòːlit͡ʃən
pisatelj	pisáːtɛl
zora	zɔ̀ːra
ceh	t͡séːx
možgani	mɔʒɡáːni
eritreja	ɛritrɛ́ːja
telur	tɛlúːr
kamerun	káːmɛrun
ranejši	ràːnɛjʃi
gravitacija	ɡraʋitàːt͡sija
najpodobnejši	nájpɔdòːbnɛjʃi
opat	ɔpáːt
čefur	t͡ʃɛfùːr
dokler	dɔ́klɛr
č	t͡ʃ
oko	ɔkóː
pojutrišnjem	pɔjúːtriʃnjɛm
muzikologija	muzikɔlɔɡíːja
najsrečnejše	nájsrɛt͡ʃnɛ́ːjʃɛ
bič	bít͡ʃ
cigara	t͡siɡàːra
opeka	ɔpéːka
španec	ʃpáːnət͡s
izdati	izdàːti
zapreti	zaprèːti
vedeti	ʋèːdɛti
izposoditi	ispɔsɔdíːti
mrož	mróːʃ
okopavati	ɔkɔpáːʋati
vodnica	ʋóːdnit͡sa
orlič	ɔrlít͡ʃ
jesti	jèːsti
okusnejši	ɔkùːsnɛjʃi
vzeti	ʋzèːti
dovolj	dɔʋɔ́l
luksemburški	lúːksɛmburʃki
rjuha	ərjùːxa
elektron	ɛléːktrɔn
članek	t͡ʃláːnək
slep	sléːp
drkajmo	də́rkajmɔ
dojenček	dɔjɛ̀ːnt͡ʃək
tekoč	tɛkóːt͡ʃ
opomba	ɔpóːmba
uporaba	upɔráːba
bodiva	bɔdíːʋa
ptica	ptìːt͡sa
spem	spɛ́ːm
tvorba	tʋóːrba
krč	kə́rt͡ʃ
poskušati	pɔskùːʃati
rabiti	ràːbiti
seznam	səznáːm
zabavnik	zabáːʋnik
britof	bríːtɔf
petek	pèːtək
tanek	tàːnək
pipa	pìːpa
polzeti	pɔʋzèːti
arhivar	arxiʋàːr
tajska	táːjska
geodezija	ɡɛɔdɛzíːja
jezikoslovec	jɛzikɔslɔ́ːʋət͡s
včasih	ʋt͡ʃáːsix
kapati	kàːpati
pevec	pèːʋət͡s
mendelevij	mɛndɛlèːʋij
melodija	mɛlɔdíːja
dimlje	dìːmljɛ
srajca	sràːjt͡sa
kavčič	káːʋt͡ʃit͡ʃ
vid	ʋíːt
tulij	tùːlij
sydney	síːdni
sad	sáːt
bor	bɔ́r
kreniti	krɛníːti
hvaliti	xʋàːliti
pust	púːst
prijatelj	prijáːtɛl
čigav	t͡ʃiɡàːʋ
čaj	t͡ʃáːj
baterija	batɛríːja
svetloba	sʋɛtlɔ̀ːba
sodobnejši	sɔdɔ̀ːbnɛjʃi
močvirje	mɔt͡ʃʋíːrjɛ
muditi	mudìːti
vklopiti	ʋklɔpíːti
polž	pɔ́ːʋʃ
cerij	t͡sɛ̀ːrij
tiger	tìːɡər
lahko	laxkóː
italijan	italijáːn
simetrija	simɛtríːja
muslimanski	muslimáːnski
jajčevec	jáːjt͡ʃɛʋət͡s
srečno	srèːt͡ʃnɔ
zanimivejši	zanimìːʋɛjʃi
najtežji	nájtéːʒji
klas	kláːs
čas	t͡ʃás
poskusiti	pɔskùːsiti
popoldan	pɔpɔ́ːʋdan
deber	dəbə́r
odrešenik	ɔdrɛʃɛnìːk
dušik	duʃíːk
hrček	xə́rt͡ʃək
nogavica	nɔɡaʋìːt͡sa
pravilno	praʋíːlnɔ
lipovec	lìːpɔʋət͡s
spati	spàːti
indijec	íːndijət͡s
ograja	ɔɡráːja
brezoseben	brɛzɔséːbən
sinica	sinìːt͡sa
hrib	xrìːp
pitagora	pitàːɡɔra
rob	róːp
žamet	ʒàːmɛt
slovnica	slɔ́ːʋnit͡sa
opatija	ɔpatíːja
platina	pláːtina
simbol	simbóːl
spalnica	spáːlnit͡sa
skočiti	skɔt͡ʃíːti
obraniti	ɔbranìːti
akvarij	akʋàːrij
otava	ɔtàːʋa
videti	ʋìːdɛti
poker	pòːkər
enačaj	ɛnat͡ʃáːj
polmer	pɔlméːr
kopati	kɔpàːti
netopir	nɛtɔpíːr
oreh	ɔ̀ːrɛx
podobnejši	pɔdòːbnɛjʃi
nepotrpežljiv	nɛ́pɔtərpɛʒljìːʋ
lomiti	lɔmíːti
morati	móːrati
pokazati	pɔkazàːti
mars	máːrs
polica	pɔlìːt͡sa
bogat	bɔɡát
skriti	skrìːti
avstralija	aʋstràːlija
milisekunda	míːlisɛkúːnda
bizmut	bíːzmut
najosnovnejši	nájɔsnɔ́ːʋnɛjʃi
kost	kóːst
so	sɔ́
košara	kɔʃáːra
zdravnik	zdraʋnìːk
požar	pɔʒáːr
tisa	tíːsa
golobrad	ɡɔlɔbrát
tisočletje	tisɔt͡ʃléːtjɛ
najpogostejše	nájpɔɡóːstɛjʃɛ
iz	is
priden	prìːdən
liter	lìːtər
katalonščina	katalóːnʃt͡ʃina
ščir	ʃt͡ʃíːr
naglas	naɡlás
kobilica	kɔbìːlit͡sa
menjati	mɛnjàːti
dunaj	dùːnaj
gnoj	ɡnóːj
zaljubiti	zaljùːbiti
zdrav	zdráʋ
islam	íːslam
brki	bə́rki
končen	kɔ̀ːnt͡ʃən
pogovarjati	pɔɡɔʋáːrjati
sraka	sràːka
kuščar	kùːʃt͡ʃar
izklopiti	isklòːpiti
turščina	tùːrʃt͡ʃina
bretonski	brɛtóːnski
objeti	ɔbjèːti
ulico	ulit͡sɔ
sekira	sɛkìːra
kratek	kràːtək
skupnost	skúːpnɔst
nečak	nɛt͡ʃàːk
pihati	pìːxati
porcelan	pɔrt͡sɛláːn
palindrom	palindróːm
cvesti	t͡sʋɛ̀ːsti
oranža	ɔráːnʒa
rumen	rumɛ́n
naslednji	nasléːdnji
manjšalnica	manʃáːlnit͡sa
podnebje	pɔdnéːbjɛ
paranoja	paranóːja
najsrečnejši	nájsrɛt͡ʃnɛ́ːjʃi
mejiti	mɛjíːti
bahami	baxáːmi
sloveti	slɔʋèːti
božur	bɔʒúːr
drevo	drɛʋóː
šved	ʃʋéːt
sabotaža	sabɔtáːʒa
danski	dáːnski
mohar	mɔ̀ːxar
najranejši	nájràːnɛjʃi
ujec	ùːjət͡s
pajek	páːjək
berilij	bɛrìːlij
slan	sláːn
kaditi	kadíːti
pismo	pìːsmɔ
napačen	napáːt͡ʃən
napad	napát
živeti	ʒiʋèːti
zlomiti	zlɔmíːti
teoretik	tɛɔrèːtik
krutejši	krùːtɛjʃi
skakač	skakàːt͡ʃ
zlemu	zlɛmú
kadilo	kadìːlɔ
seno	sɛnóː
tretjak	trɛtjàːk
darovati	darɔʋàːti
nizozemsko	nizɔzéːmskɔ
beda	bèːda
eto	éːtɔ
damask	damáːsk
maltežanka	maltɛʒáːnka
dovoljenje	dɔʋɔljɛ̀ːnjɛ
marec	màːrət͡s
pazduha	páːzduxa
umeti	umèːti
vezati	ʋèːzati
grenivka	ɡrɛníːʋka
absurden	apsúːrdən
iskra	ìːskra
vohun	ʋɔxúːn
tod	tóːt
gniti	ɡnìːti
skandij	skàːndij
penis	péːnis
senca	séːnt͡sa
elektromagnetski	ɛléːktrɔmaɡnéːtski
nogomet	nɔɡɔmɛ́t
rž	ə́rʃ
argon	áːrɡɔn
zaiti	zaìːti
haitijski	xaíːtijski
dogovor	dɔɡɔ́ːʋɔr
jasnejši	jasnɛ́ːjʃi
češčina	t͡ʃéːʃt͡ʃina
hrvaški	xərʋáːʃki
leten	léːtən
srp	sə́rp
sesalec	sɛsáːlət͡s
hleb	xlɛ́p
skladnja	sklàːdnja
porod	pɔ̀ːrɔt
kuhati	kùːxati
zjutraj	zjùːtraj
cvek	t͡sʋɛ́k
denarnica	dɛnáːrnit͡sa
por	pɔ́r
okusen	ɔkùːsən
ralo	ràːlɔ
drva	də̀rʋa
pes	pə́s
norvežanka	nɔrʋɛʒáːnka
predmet	prɛ̀ːdmɛt
ljubiti	ljubìːti
pravkar	práʋkar
misel	míːsəʋ
tri	tríː
zapornik	zapóːrnik
vidra	ʋíːdra
tesen	tɛ̀ːsən
vdova	ʋdɔ́ːʋa
predvideti	prɛdʋìːdɛti
stanovati	stanɔʋàːti
žetev	ʒéːtəʋ
jebati	jéːbati
sever	sèːʋɛr
greh	ɡrèːx
sila	sìːla
svila	sʋíːla
naravnejši	naràːʋnɛjʃi
zaščita	zaʃt͡ʃíːta
napisati	napìːsati
česen	t͡ʃɛ̀ːsən
rad	rát
skala	skàːla
dar	dáːr
nemščina	nèːmʃt͡ʃina
ajnštajnij	áːjnʃtajnij
izklopiti	isklóːpiti
bokal	bɔkáːʋ
ples	pléːs
ležati	lɛʒàːti
boleti	bɔlèːti
griža	ɡríːʒa
brivec	bríːʋət͡s
portoriko	pɔrtɔríːkɔ
največ	nájʋɛt͡ʃ
po	pɔ
ducat	dúːt͡sat
italijanščina	italijáːnʃt͡ʃina
potrpežljiv	pɔtərpɛʒljìːʋ
estonski	ɛstóːnski
skorja	skòːrja
ježevec	jéːʒɛʋət͡s
nedelja	nɛdèːlja
vitez	ʋíːtɛs
poklekniti	pɔklɛkníːti
krom	krɔ́m
dejavnejši	dɛjáːʋnɛjʃi
mezeg	məzə́k
mraz	mrás
albanski	albáːnski
nit	nít
poklic	pɔklíːt͡s
gvineja	ɡʋinɛ́ːja
otročji	ɔtròːt͡ʃji
britanski	britáːnski
galicija	ɡalìːt͡sija
knjiga	knjìːɡa
kola	kóːla
jež	jèːʃ
tolpa	tɔ̀ːlpa
bosenski	bóːsənski
cirkonij	t͡sirkòːnij
treti	trèːti
potrebnejši	pɔtrèːbnɛjʃi
bič	bíːt͡ʃ
usoden	usóːdən
križanje	krìːʒanjɛ
nekaj	néːkaj
prihodnji	prixóːdnji
glas	ɡláːs
najhujši	nájxúːjʃi
kazati	kazàːti
iti	íːti
trstenjak	tərstɛnjàːk
norveški	nɔrʋéːʃki
značilen	znat͡ʃíːlən
kunec	kúːnət͡s
rasa	ràːsa
eksodus	éːksɔdus
list	líːst
ravnejši	ràːʋnɛjʃi
denar	dɛnàːr
kaliti	kalíːti
bradat	bradát
marija	maríːja
usnje	ùːsnjɛ
črevce	t͡ʃrèːʋt͡sɛ
sovraštvo	sɔʋráːʃtʋɔ
rokomet	rɔkɔmɛ́t
limona	limóːna
instrumental	íːnstrumɛntal
rusko	rúːskɔ
kočija	kɔt͡ʃíːja
kapsula	káːpsula
plod	plóːt
grozljiv	ɡrɔzljìːʋ
plodnejši	plòːdnɛjʃi
izsiljevalski	issiljɛʋáːlski
krona	króːna
ženski	ʒèːnski
krojač	krɔjàːt͡ʃ
deska	dəská
padec	páːdət͡s
peč	péːt͡ʃ
starost	stàːrɔst
mesti	mɛ̀ːsti
duda	dùːda
svet	sʋéːt
pozabiti	pɔzabíːti
latinščina	latíːnʃt͡ʃina
najravnejši	nájràːʋnɛjʃi
bajonet	bajɔnéːt
poljsko	póːlskɔ
tip	tíːp
poceni	pɔt͡sèːni
vikati	ʋíːkati
sovražiti	sɔʋraʒìːti
sef	séːf
drkata	də́rkata
plesti	plɛ̀ːsti
lažnivec	laʒníːʋət͡s
samoglasnik	samɔɡláːsnik
zalar	záːlar
violina	ʋijɔlíːna
sidro	sìːdrɔ
polje	póːljɛ
mlečen	mlèːt͡ʃən
informatik	infɔrmàːtik
prijateljski	prijáːtɛlski
tveganje	tʋèːɡanjɛ
hidrologija	xidrɔlɔɡíːja
vodič	ʋɔdít͡ʃ
hurija	xùːrija
skupina	skupìːna
posodobiti	pɔsɔdɔ́ːbiti
šum	ʃúːm
ja	jàː
v	ʋ
seveda	sɛʋéːda
lizati	lizàːti
najbogatejši	nájbɔɡatɛ́ːjʃi
veleposlaništvo	ʋɛ́lɛpɔslàːniʃtʋɔ
zemljepis	zɛmljɛpíːs
črv	t͡ʃə́rʋ
terbij	tɛ̀ːrbij
klepec	klɛ̀ːpət͡s
harmonika	xarmòːnika
ono	ɔ̀ːnɔ
fant	fánt
pestič	pɛstít͡ʃ
rabarbara	rabàːrbara
diamant	dijamáːnt
ukrajina	ukrajìːna
črnogorski	t͡ʃərnɔɡóːrski
redkejši	rèːtkɛjʃi
sončnejši	sóːnt͡ʃnɛjʃi
luna	lùːna
prebivalec	prɛbiʋáːlət͡s
trobenta	trɔbéːnta
največ	nájʋɛ́t͡ʃ
čaplja	t͡ʃáːplja
slovak	slɔʋàːk
trošt	tróːʃt
gledališče	ɡlɛdalìːʃt͡ʃɛ
zajtrk	záːjtərk
dalija	dàːlija
zajec	záːjət͡s
naključje	nakljúːt͡ʃjɛ
ris	ríːs
seksologija	sɛksɔlɔɡìːja
študirati	ʃtudíːrati
orgle	óːrɡlɛ
prebava	prɛbáːʋa
zbirati	zbìːrati
gosti	ɡòːsti
binom	binóːm
kajak	káːjak
križanka	kríːʒanka
kura	kùːra
bombaž	bɔmbáːʃ
samarij	samàːrij
sedanjik	sədàːnjik
redkejši	rɛtkɛ́ːjʃi
sposoditi	spɔsòːditi
pisati	pìːsati
nekdo	nɛɡdòː
pogovoren	pɔɡɔ́ːʋɔrən
jurij	jùːrij
jakac	jáːkat͡s
metati	mɛtàːti
libidinozen	libidinóːzən
grof	ɡrɔ́f
hruška	xrúːʃka
lizati	lìːzati
pekel	pə̀kəʋ
turoben	turɔ̀ːbən
govedina	ɡɔʋéːdina
plug	plúːk
enkrat	ɛnkrát
zora	zóːra
tok	tóːk
makedonec	makɛdóːnət͡s
pivo	pìːʋɔ
val	ʋáːl
dvomiti	dʋɔmíːti
plesen	pléːsən
sposoditi	spɔsɔdíːti
hraniti	xranìːti
irsko	íːrskɔ
rezati	rèːzati
atena	atéːna
indijski	ìːndijski
nag	náːk
srečnejši	srɛt͡ʃnɛ́ːjʃi
kjer	kjéːr
kuščar	kúːʃt͡ʃar
štirideset	ʃtíːridɛsɛt
modrost	mɔdróːst
tu	tú
ol	óːl
trije	tríːjɛ
prositi	prɔsíːti
kleopatra	klɛóːpatra
hlev	xléːʋ
medved	mɛ̀ːdʋɛt
dim	dím
reč	réːt͡ʃ
nemško	nèːmʃkɔ
sesati	sɛsàːti
tišina	tiʃìːna
raca	ràːt͡sa
švedski	ʃʋéːtski
zrklo	zə̀rklɔ
norveščina	nɔrʋéːʃt͡ʃina
puščati	pùːʃt͡ʃati
ličinka	lit͡ʃíːnka
semenovod	sɛmɛnɔʋɔ́t
slad	sláːt
ptič	ptít͡ʃ
pravičen	praʋíːt͡ʃən
čoln	t͡ʃɔ́ːʋn
nepotrpežljivejši	nɛ́pɔtərpɛʒljìːʋɛjʃi
sidro	síːdrɔ
vratič	ʋratít͡ʃ
tok	tɔ́k
hrbtenjača	xərptɛnjàːt͡ʃa
francija	fràːnt͡sija
tam	tám
sibirija	sibìːrija
buda	búːda
stanje	stàːnjɛ
dejaven	dɛjàːʋən
prvi	pə́rʋi
bratranec	bratráːnət͡s
ogledalo	ɔɡlɛdàːlɔ
zaljubiti	zaljubíːti
predvidljiv	prɛdʋidljìːʋ
ona	ɔ̀ːna
dobrodošel	dɔbrɔdɔ̀ːʃəʋ
poročnica	pɔróːt͡ʃnit͡sa
prstan	pə̀rstan
odeja	ɔdɛ́ːja
višnu	ʋíːʃnu
sem	sə́m
južnoslovanski	juʒnɔslɔʋáːnski
najresničnejši	nájrɛsníːt͡ʃnɛjʃi
velik	ʋɛ̀ːlik
rektalen	rɛktáːlən
