pamīsus	pamiːzus
vigilia	vid͡ʒiːlia
gigōnus	d͡ʒiɡɔːnus
merīdiānus	mɛrid̪iaːnus
bilobātus	bilɔbaːt̪us
polyrrhēnia	pɔlirrɛːnia
indu	in̪d̪u
abscēdō	apʃɛːd̪ɔ
bīsaltae	bizal̪t̪ɛ
suppeditō	suppɛːd̪it̪ɔ
mānsiuncula	mansiuŋkula
contestānī	kɔn̪t̪ɛst̪aːni
augurātiō	au̯ɡuraːt͡siɔ
hirniōsus	irniɔːzus
solomonēnsis	sɔlɔmɔnɛnsis
inexpertō	inɛkspɛrt̪ɔ
galea	ɡaːlɛa
sedusiī	sɛd̪uːzii
apiāriōs	apiaːriɔs
fugāciter	fuɡaːt͡ʃit̪ɛr
subiciō	subiːt͡ʃiɔ
aspellō	aspɛllɔ
dispersō	d̪ispɛrsɔ
helbō	ɛlbɔ
sandvicēnsis	san̪d̪vit͡ʃɛnsis
extimus	ɛkst̪imus
familia	famiːlia
sōpīveritis	sɔpivɛːrit̪is
paschālis	paskaːlis
vester	vɛst̪ɛr
līlium	liːlium
albūgō	albuːɡɔ
dīrēcte	d̪irɛkt̪ɛ
bellicus	bɛllikus
perōrō	pɛrɔːrɔ
collytus	kɔllit̪us
scalpō	skalpɔ
praegnāns	prɛɲɲans
benedīxerimus	bɛnɛd̪iksɛːrimus
vāre	vaːrɛ
trānsfluō	t̪ransfluɔ
laxāveritis	laksavɛːrit̪is
acharis	aːkaris
gemmō	d͡ʒɛmmɔ
sessōrium	sɛssɔːrium
flāvus	flaːvus
salūtificātor	salut̪ifikaːt̪ɔr
pūnīveritis	punivɛriːt̪is
pīlātō	pilaːt̪ɔ
suāveolēns	svavɛːɔlɛns
meātīs	mɛaːt̪is
commingō	kɔmmiŋɡɔ
inpotēns	impɔt̪ɛns
rugicollis	rud͡ʒikɔllis
carbaseus	karbaːzɛus
anapus	aːnapus
ebor	ɛːbɔr
dēprōmō	d̪ɛprɔːmɔ
bulbōsus	bulbɔːzus
triangulātus	t̪riaŋɡulaːt̪us
coniectūrāliter	kɔnjɛkt̪uraːlit̪ɛr
fīō	fiːɔ
dīre	d̪iːrɛ
tīus	t̪iːus
subieritis	subiɛːrit̪is
commictus	kɔmmikt̪us
tremefactūrus	t̪rɛmɛfakt̪uːrus
rēsīnōsī	rɛzinɔːzi
cōnfīō	kɔnfiːɔ
astypalaea	ast̪ipalɛːa
equīria	ɛkwiːria
stabulum	st̪aːbulum
rādīx	raːd̪iks
spontānee	spɔn̪t̪aːnɛɛ
arūbae	aruːbɛ
otadīnī	ɔt̪ad̪iːni
tumba	t̪umba
subniger	subnid͡ʒɛr
manifēstāveritis	manifɛst̪avɛriːt̪is
discus	d̪iskus
scotūsa	skɔt̪uːza
barbēsula	barbɛːzula
lārdum	lard̪um
rememorātus	rɛmɛmɔraːt̪us
cōnsuēscō	kɔnsvɛskɔ
malleātus	mallɛaːt̪us
cremūtius	krɛmuːt͡sius
rhēctae	rɛkt̪ɛ
lūcam	luːkam
fīlia	fiːlia
refigūrās	rɛfiɡuːras
integellus	in̪t̪ɛd͡ʒɛllus
duumvirātus	d̪uumviraːt̪us
multigenus	mul̪t̪iːd͡ʒɛnus
assiliō	assiːliɔ
circumcircā	t͡ʃirkun̠ʲt͡ʃirka
līvidās	liːvid̪as
vehō	vɛːɔ
quadridentātus	kwad̪rid̪ɛn̪t̪aːt̪us
cōnsector	kɔnsɛkt̪ɔr
saevitūdō	sɛvit̪uːd̪ɔ
ōlla	ɔlla
onerārius	ɔnɛraːrius
hircipēs	irt͡ʃipɛs
venicōnēs	vɛnikɔːnɛs
exclāmō	ɛksklaːmɔ
lūnāticus	lunaːt̪ikus
quadrigamus	kwad̪riːɡamus
pūsiō	puːziɔ
bostrēnus	bɔst̪rɛːnus
subumbilīcus	subumbiliːkus
pedis	pɛːd̪is
patriarchēs	pat̪riarkɛs
vermiferus	vɛrmiːfɛrus
ēbrietās	ɛbriːɛt̪as
acanthocladus	akan̪t̪ɔːklad̪us
ciosmis	t͡ʃiɔsmis
circumvēneritis	t͡ʃirkumvɛnɛːrit̪is
oniscus	ɔniskus
līberāveritis	libɛravɛriːt̪is
singultius	siŋɡult͡sius
pugneus	puɲɲɛus
satan	saːt̪an
rūctus	rukt̪us
inductiō	in̪d̪ukt͡siɔ
nū̆cleātīs	nuklɛaːt̪is
arcobriga	arkɔːbriɡa
quīntipor	kwin̪t̪ipɔr
dēsorbeō	d̪ɛzɔrbɛɔ
attitulō	at̪t̪iːt̪ulɔ
parirae	paːrirɛ
involūcrum	invɔluːkrum
profundum	prɔfun̪d̪um
mussitāveritis	mussit̪avɛriːt̪is
incursāveritis	iŋkursavɛːrit̪is
ānīs	aːnis
medicātis	mɛd̪ikaːt̪is
batō	baːt̪ɔ
locālis	lɔkaːlis
amandum	aman̪d̪um
octōnī	ɔkt̪ɔːni
varguntēius	varɡun̪t̪ɛːjus
ciliātus	t͡ʃiliaːt̪us
exasperātiō	ɛksaspɛraːt͡siɔ
fericulus	fɛriːkulus
quadringentī	kwad̪rin̠ʲd͡ʒɛn̪t̪i
levō	lɛːvɔ
affirmātīvus	affirmat̪iːvus
crocea	krɔːt͡ʃɛa
queritor	kwɛːrit̪ɔr
croceae	krɔːt͡ʃɛɛ
capēnsis	kapɛnsis
circumflexus	t͡ʃirkumflɛksus
archiducātus	arkid̪ukaːt̪us
algidī	al̠ʲd͡ʒid̪i
depsō	d̪ɛpsɔ
carnūtēs	karnuːt̪ɛs
catholicus	kat̪ɔːlikus
dēses	d̪ɛːzɛs
apprōmittō	apprɔmit̪t̪ɔ
discrētus	d̪iskrɛːt̪us
calculōsus	kalkulɔːzus
dīplōmata	d̪iplɔːmat̪a
adverberō	ad̪vɛrbɛrɔ
obnoxius	ɔbnɔksius
diāconus	d̪iaːkɔnus
paucimōbilis	pau̯t͡ʃimɔːbilis
unquam	uŋkwam
fūnis	fuːnis
renītor	rɛniːt̪ɔr
caupōna	kau̯pɔːna
virginiānōs	vird͡ʒiniaːnɔs
praelūceō	prɛluːt͡ʃɛɔ
cunimundus	kunimun̪d̪us
ībāmus	ibaːmus
cauriō	kau̯riɔ
tābēs	t̪aːbɛs
cōnsubstantiālis	kɔnsupst̪ant͡siaːlis
ēvigilō	ɛviːd͡ʒilɔ
paradoxum	parad̪ɔksum
caphēreus	kafɛːrɛu̯s
exfoliō	ɛksfɔːliɔ
blasphēmus	blasfɛːmus
morēris	mɔrɛːris
pūnītīs	puniːt̪is
imperātum	impɛraːt̪um
astronomō	ast̪rɔːnɔmɔ
coemētērium	t͡ʃɛmɛt̪ɛːrium
mollestra	mɔllɛst̪ra
damnificus	d̪amniːfikus
servītor	sɛrviːt̪ɔr
complēte	kɔmplɛːt̪ɛ
implācābilis	implakaːbilis
advocātus	ad̪vɔkaːt̪us
nazianzēnō	nadd͡ziand͡zɛːnɔ
interlūnium	in̪t̪ɛrluːnium
prōrogāte	prɔrɔɡaːt̪ɛ
lascīvia	laʃʃiːvia
cephalīs	t͡ʃɛːfalis
ēvītāre	ɛvit̪aːrɛ
echīnus	ɛkiːnus
vulturīnus	vul̪t̪uriːnus
resistentēs	rɛzist̪ɛn̪t̪ɛs
exiūrō	ɛksjuːrɔ
metellus	mɛt̪ɛllus
coctiō	kɔkt͡siɔ
cyprus	t͡ʃiːprus
longeve	lɔn̠ʲd͡ʒɛvɛ
populābunda	pɔpulabun̪d̪a
dēcernō	d̪ɛt͡ʃɛrnɔ
rebelliō	rɛbɛlliɔ
lactūcārius	lakt̪ukaːrius
pollūbrum	pɔlluːbrum
dēfēnsus	d̪ɛfɛnsus
peiūrō	pɛjuːrɔ
apicolus	apiːkɔlus
līmitō	liːmit̪ɔ
inspissō	inspissɔ
angaria	aŋɡaːria
perpōtō	pɛrpɔːt̪ɔ
scorteus	skɔrt̪ɛus
īnfirmāveritis	infirmavɛriːt̪is
melkitus	mɛl̠ʲt͡ʃit̪us
assonō	assɔnɔ
mācerāverimus	mat͡ʃɛravɛːrimus
rēptō	rɛpt̪ɔ
clunia	kluːnia
odōrifer	ɔd̪ɔːrifɛr
crepidātus	krɛpid̪aːt̪us
palilogia	palilɔːd͡ʒia
exsultō	ɛksul̪t̪ɔ
drabēscus	d̪rabɛskus
cōmissābundus	kɔmissabun̪d̪us
praxagorās	praksaːɡɔras
cōpia	kɔːpia
sēmifōrmis	sɛmifɔrmis
homērus	ɔmɛːrus
administer	ad̪minist̪ɛr
marculentus	markulɛn̪t̪us
dīrigent	d̪iːrid͡ʒɛn̪t̪
umquam	uŋkwam
gressus	ɡrɛssus
acerōsus	at͡ʃɛrɔːzus
scūtum	skuːt̪um
egēnus	ɛd͡ʒɛːnus
solimariaca	sɔlimariːaka
abstraherentur	apst̪raɛrɛn̪t̪ur
augurium	au̯ɡuːrium
impendeō	impɛn̪d̪ɛɔ
eātis	ɛaːt̪is
fremitus	frɛːmit̪us
oppīlāta	ɔppilaːt̪a
flūctivagus	flukt̪iːvaɡus
vīsitāverimus	vizit̪avɛːrimus
exerrō	ɛksɛrrɔ
ontariō	ɔn̪t̪aːriɔ
exspoliō	ɛkspɔːliɔ
thria	t̪riːa
quousque	kwɔuskwɛ
macrochaeta	makrɔkɛːt̪a
aliēnāsse	aliɛnassɛ
salōnius	salɔːnius
novemvir	nɔvɛmvir
attigō	at̪t̪iɡɔ
inaccessibilis	inatt͡ʃɛssiːbilis
absocer	apsɔt͡ʃɛr
dynastē	d̪inast̪ɛ
antecurrō	an̪t̪ɛkurrɔ
exasperāte	ɛksaspɛraːt̪ɛ
quīcumque	kwikuŋkwɛ
repugnātōrius	rɛpuɲɲat̪ɔːrius
mercēnārius	mɛrt͡ʃɛnaːrius
dēpendentēs	d̪ɛpɛn̪d̪ɛn̪t̪ɛs
trahāx	t̪raːaks
carolīnus	karɔliːnus
incubus	iŋkubus
elgonēnsis	ɛlɡɔnɛnsis
omoemus	ɔmɛːmus
spōnsō	spɔnsɔ
liquāveritis	likwavɛriːt̪is
cruor	kruːɔr
arcadia	arkaːd̪ia
speculor	spɛːkulɔr
anaphlystus	anaflist̪us
iodium	iɔːd̪ium
observātiō	ɔpsɛrvaːt͡siɔ
inhiāveritis	injavɛriːt̪is
orcivius	ɔrt͡ʃiːvius
comparticeps	kɔmpart̪it͡ʃɛps
didurī	d̪iːd̪uri
ephippium	ɛfippium
exēmptus	ɛksɛmpt̪us
stinguere	st̪iŋɡwɛrɛ
mestrius	mɛst̪rius
hīrtus	irt̪us
obitus	ɔːbit̪us
afflectō	afflɛkt̪ɔ
ānxietās	aŋksiːɛt̪as
pulpō	pulpɔ
calcārius	kalkaːrius
clīvius	kliːvius
nāsidiēnus	nazid̪iɛːnus
photomāchinula	fɔt̪ɔmakiːnula
scapulae	skaːpulɛ
vel	vɛl
vitellīnus	vit̪ɛlliːnus
friderīce	frid̪ɛriːt͡ʃɛ
hermarchus	ɛrmarkus
nāpīna	napiːna
abundātūrus	abun̪d̪at̪uːrus
vireō	viːrɛɔ
cubēnsis	kubɛnsis
zachariās	d͡zakaːrias
sēriō	sɛːriɔ
lūna	luːna
meōs	mɛːɔs
fretum	frɛːt̪um
obrogāverimus	ɔbrɔɡavɛːrimus
imperiōsē	impɛriɔːzɛ
sella	sɛlla
contremīscō	kɔn̪t̪rɛmiskɔ
acīnacēs	at͡ʃiːnat͡ʃɛs
convēneritis	kɔnvɛnɛriːt̪is
invigilātor	invid͡ʒilaːt̪ɔr
dictābolārium	d̪ikt̪abɔlaːrium
trachalus	t̪raːkalus
mēlos	mɛːlɔs
armipotēns	armiːpɔt̪ɛns
hettheicus	ɛt̪t̪ɛːikus
tabula	t̪aːbula
poenius	pɛːnius
neograecus	nɛɔɡrɛːkus
oblīquāverimus	ɔblikwavɛriːmus
quīntīnus	kwin̪t̪iːnus
claudiam	klau̯d̪iam
masticō	mast̪ikɔ
conlocō	kɔnlɔkɔ
adulterīnus	ad̪ul̪t̪ɛriːnus
crustumius	krust̪uːmius
seniscalcus	sɛnɛskalkus
corbis	kɔrbis
crēdēns	krɛːd̪ɛns
indigentēs	in̪d̪id͡ʒɛn̪t̪ɛs
bercorātēs	bɛrkɔraːt̪ɛs
būcina	buːt͡ʃina
sorbillō	sɔrbillɔ
thēriaca	t̪ɛriːaka
ignōbilis	iɲɲɔːbilis
āversiō	avɛrsiɔ
myndus	min̪d̪us
praerogātīvus	prɛrɔɡat̪iːvus
harenī	aːrɛni
philologicus	filɔlɔːd͡ʒikus
methorcum	mɛt̪ɔrkum
patraster	pat̪rast̪ɛr
contiguus	kɔn̪t̪iːɡuus
adrēpō	ad̪rɛːpɔ
stilichō	st̪iːlikɔ
refectōriōrum	rɛfɛkt̪ɔriɔːrum
irrogā	irrɔɡa
saxigenus	saksiːd͡ʒɛnus
referō	rɛːfɛrɔ
acētābulifōrmis	at͡ʃɛt̪abulifɔrmis
astronomus	ast̪rɔːnɔmus
antinous	an̪t̪iːnɔus
remulcō	rɛmulkɔ
līmōsus	limɔːzus
catīllātiō	kat̪illaːt͡siɔ
nigricāns	niːɡrikans
ferō	fɛːrɔ
aequanimae	ɛkwaːnimɛ
dēdecorō	d̪ɛd̪ɛːkɔrɔ
mergēs	mɛrd͡ʒɛs
officiō	ɔffiːt͡ʃiɔ
praetrepidāns	prɛt̪rɛːpid̪ans
rancidulus	ran̠ʲt͡ʃiːd̪ulus
reagō	rɛːaɡɔ
palpitātum	palpit̪aːt̪um
perīta	pɛriːt̪a
subantarcticus	suban̪t̪arkt̪ikus
adulēscentia	ad̪ulɛʃʃɛnt͡sia
tōkiō	t̪ɔːt͡ʃiɔ
erunt	ɛːrun̪t̪
cyitis	t͡ʃiːit̪is
difficilē	d̪iffiːt͡ʃilɛ
aviam	aːviam
hiempsal	iɛmpsal
nonnus	nɔnnus
temerārius	t̪ɛmɛraːrius
dīlūculum	d̪iluːkulum
atterere	at̪t̪ɛːrɛrɛ
abbātiālis	abbat͡siaːlis
inclīnāveris	iŋklinaːvɛris
eōs	ɛːɔs
castellum	kast̪ɛllum
bovīlis	bɔviːlis
alternātīve	al̪t̪ɛrnat̪iːvɛ
sōlor	sɔːlɔr
succumbō	sukkumbɔ
colubra	kɔːlubra
cēdar	t͡ʃɛːd̪ar
inquiētāverimus	iŋkwiɛt̪avɛːrimus
gerundium	d͡ʒɛrun̪d̪ium
contristātiō	kɔn̪t̪rist̪aːt͡siɔ
partilis	part̪ilis
ōrdināveris	ɔrd̪inaːvɛris
renāscor	rɛnaskɔr
amethystus	amɛt̪ist̪us
hūmāna	umaːna
moderātor	mɔd̪ɛraːt̪ɔr
pāscere	paʃʃɛːrɛ
ligneolus	liɲɲɛːɔlus
palaestrīta	palɛst̪riːt̪a
gnōmōn	ɲɔːmɔn
āctuāssem	akt̪uassɛm
clāre	klaːrɛ
dēcollāre	d̪ɛkɔllaːrɛ
onerāverimus	ɔnɛravɛːrimus
barde	bard̪ɛ
ingredior	iŋɡrɛːd̪iɔr
thelpūsa	t̪ɛlpuːza
tīryns	t̪iːrins
intrōductōrius	in̪t̪rɔd̪ukt̪ɔːrius
diablintī	d̪iablin̪t̪i
inertia	inɛrt͡sia
quaestor	kwɛst̪ɔr
cānēscō	kanɛskɔ
carpentoracte	karpɛn̪t̪ɔrakt̪ɛ
obnūntiō	ɔbnunt͡siɔ
cerātium	t͡ʃɛraːt͡sium
dolopēs	d̪ɔːlɔpɛs
acceptō	att͡ʃɛpt̪ɔ
eximia	ɛksiːmia
subōrdināta	subɔrd̪inaːt̪a
saxicolus	saksiːkɔlus
praetōrīcius	prɛt̪ɔriːt͡ʃius
percursātiō	pɛrkursaːt͡siɔ
ventilābundus	vɛn̪t̪ilabun̪d̪us
strī̆ga	st̪riːɡa
habitātis	abit̪aːt̪is
alatheus	alaːt̪ɛus
disserpō	d̪issɛrpɔ
mātricīda	mat̪rit͡ʃiːd̪a
advenit	ad̪vɛːnit̪
advenit	ad̪vɛnit̪
tertylliānus	t̪ɛrt̪illiaːnus
pānatērius	panat̪ɛːrius
dahūria	d̪auːria
daradax	d̪aːrad̪aks
sisapō	siːzapɔ
ēlābor	ɛlaːbɔr
superficiārius	supɛrfit͡ʃiaːrius
tentāsse	t̪ɛn̪t̪assɛ
brūnō	bruːnɔ
sūcōsus	sukɔːzus
turgeō	t̪urd͡ʒɛɔ
tūberculōsō	t̪ubɛrkulɔːzɔ
vectōrius	vɛkt̪ɔːrius
contundō	kɔn̪t̪un̪d̪ɔ
duīlius	d̪uiːlius
inaccessus	inatt͡ʃɛssus
scutellātus	skut̪ɛllaːt̪us
merobrīga	mɛrɔbriːɡa
dictāverimus	d̪ikt̪avɛriːmus
superextendō	supɛrɛkst̪ɛn̪d̪ɔ
ūndēcentum	un̪d̪ɛt͡ʃɛn̪t̪um
farrāgō	farraːɡɔ
dēbueritis	d̪ɛbuɛriːt̪is
illiturgi	illit̪urd͡ʒi
trivium	t̪riːvium
agrīmēnsōrī	aɡrimɛnsɔːri
agricultūrālis	aɡrikul̪t̪uraːlis
appellātiō	appɛllaːt͡siɔ
cōnspīrātiō	kɔnspiraːt͡siɔ
vultis	vul̪t̪is
monocerōs	mɔnɔːt͡ʃɛrɔs
dīctērium	d̪ikt̪ɛːrium
ariabignēs	ariabiɲɲɛs
abax	aːbaks
zāplūtus	d͡zapluːt̪us
intolerandus	in̪t̪ɔlɛran̪d̪us
sustentārēs	sust̪ɛn̪t̪aːrɛs
mālopē	maːlɔpɛ
persicum	pɛrsikum
allicefactūrus	allit͡ʃɛfakt̪uːrus
decor	d̪ɛːkɔr
ānus	aːnus
glōciō	ɡlɔːt͡ʃiɔ
saxētum	saksɛːt̪um
trānsvexerimus	t̪ransvɛksɛːrimus
accīdia	att͡ʃiːd̪ia
aegritūdō	ɛɡrit̪uːd̪ɔ
barasasa	baraːzaza
altae	al̪t̪ɛ
dissimulāmentum	d̪issimulamɛn̪t̪um
cōnfirmem	kɔnfirmɛm
unguentāria	uŋɡwɛn̪t̪aːria
amātor	amaːt̪ɔr
interemō	in̪t̪ɛːrɛmɔ
tonget	t̪ɔn̠ʲd͡ʒɛt̪
prīncipiī	prin̠ʲt͡ʃiːpii
automaton	au̯t̪ɔːmat̪ɔn
cōntiō	kɔnt͡siɔ
sarinum	saːrinum
pervolvō	pɛrvɔlvɔ
praefiniō	prɛfiːniɔ
baptistērium	bapt̪ist̪ɛːrium
catūlōticus	kat̪ulɔːt̪ikus
cūnctābundus	kuŋkt̪abun̪d̪us
topazos	t̪ɔpadd͡zɔs
repūrgō	rɛpurɡɔ
medullātus	mɛd̪ullaːt̪us
astringentēs	ast̪rin̠ʲd͡ʒɛn̪t̪ɛs
dissecārās	d̪issɛːkaras
rēgāliter	rɛɡaːlit̪ɛr
tumultus	t̪umul̪t̪us
dēnūdāre	d̪ɛnud̪aːrɛ
essēdonēs	ɛssɛːd̪ɔnɛs
terrūncius	t̪ɛrrun̠ʲt͡ʃius
abaestuō	abɛst̪uɔ
succidere	sutt͡ʃiːd̪ɛrɛ
prōcursātor	prɔkursaːt̪ɔr
namarīnī	namariːni
angustiantēs	aŋɡust̪ian̪t̪ɛs
occitānicus	ɔtt͡ʃit̪aːnikus
intertextus	in̪t̪ɛrt̪ɛkst̪us
nīnevē	niːnɛvɛ
ēnārrātiō	ɛnarraːt͡siɔ
catēnārius	kat̪ɛnaːrius
rarapia	raraːpia
varsovia	varsɔːvia
suīnus	suiːnus
clītellae	klit̪ɛllɛ
ferculum	fɛrkulum
obhorreō	ɔbɔrrɛɔ
excīsum	ɛkst͡ʃiːzum
laudātūra	lau̯d̪at̪uːra
pauciloquium	pau̯t͡ʃilɔːkwium
stratia	st̪raːt͡sia
apiculātus	apikulaːt̪us
regenerāta	rɛd͡ʒɛnɛraːt̪a
subiūnctīvus	subjuŋkt̪iːvus
īdōlatra	id̪ɔːlat̪ra
glomerāveris	ɡlɔmɛraːvɛris
focātius	fɔkaːt͡sius
ceste	t͡ʃɛst̪ɛ
tribas	t̪riːbas
exāctō	ɛksakt̪ɔ
fiscālis	fiskaːlis
sellium	sɛllium
cornubicus	kɔrnuːbikus
octōdecim	ɔkt̪ɔːd̪ɛt͡ʃim
bradanus	braːd̪anus
solidipēs	sɔliːd̪ipɛs
mōnstrāverimus	mɔnst̪ravɛːrimus
synnada	sinnad̪a
arcubius	arkuːbius
dīgestīvās	d̪id͡ʒɛst̪iːvas
nātūrālis	nat̪uraːlis
ebora	ɛːbɔra
alūtiae	aluːt͡siɛ
agron	aːɡrɔn
retendō	rɛt̪ɛn̪d̪ɔ
canulēius	kanulɛːjus
genitīvō	d͡ʒɛnit̪iːvɔ
melcumānī	mɛlkumaːni
bonus	bɔːnus
cōnsobrīnus	kɔnsɔbriːnus
cānidius	kaniːd̪ius
praemoneō	prɛmɔːnɛɔ
interieritis	in̪t̪ɛriɛːrit̪is
ōvāte	ɔvaːt̪ɛ
hēpatizon	ɛpat̪idd͡zɔn
duodēoctōgintā	d̪uɔd̪ɛɔkt̪ɔd͡ʒin̪t̪a
istae	ist̪ɛ
frisiō	friːziɔ
sēsquipedālis	sɛskwipɛd̪aːlis
hālō	aːlɔ
agent	aːd͡ʒɛn̪t̪
cingulātus	t͡ʃiŋɡulaːt̪us
vicāriānus	vikariaːnus
interrogātōrius	in̪t̪ɛrrɔɡat̪ɔːrius
lichadēs	liːkad̪ɛs
illāpse	illapsɛ
aggressiō	aɡɡrɛssiɔ
solida	sɔːlid̪a
incomprehēnsibilis	iŋkɔmprɛɛnsiːbilis
repausō	rɛpau̯sɔ
līberō	liːbɛrɔ
aptitūdō	apt̪it̪uːd̪ɔ
hirpīnī	irpiːni
sēclūdō	sɛkluːd̪ɔ
praeserviō	prɛzɛrviɔ
latīnizō	lat̪inidd͡zɔ
coccēius	kɔtt͡ʃɛːius
interior	in̪t̪ɛːriɔr
tarmitī	t̪armit̪i
pharmaceuticus	farmakɛu̯t̪ikus
collīne	kɔlliːnɛ
crēbra	krɛːbra
lacer	laːt͡ʃɛr
genethliacus	d͡ʒɛnɛt̪liːakus
pūnctim	puŋkt̪im
corium	kɔːrium
duplicō	d̪uːplikɔ
trahea	t̪raːɛa
lēthargiārum	lɛt̪ard͡ʒiaːrum
oblīquus	ɔbliːkwus
quadriiugus	kwad̪riːjuɡus
artanēs	art̪anɛs
brūchus	bruːkus
oculātus	ɔkulaːt̪us
sērōtinus	sɛrɔːt̪inus
pollīnctor	pɔlliŋkt̪ɔr
tremulō	t̪rɛːmulɔ
vellus	vɛllus
agathoclēs	aɡaːt̪ɔklɛs
intubum	in̪t̪ubum
tuitiōnem	t̪uit͡siɔːnɛm
hyacinthinus	iat͡ʃin̪t̪inus
fūmantēs	fuman̪t̪ɛs
aragonicus	araɡɔːnikus
ophrādus	ɔfraːd̪us
plētūra	plɛt̪uːra
campestris	kampɛst̪ris
loquī	lɔːkwi
sīve	siːvɛ
mentior	mɛnt͡siɔr
lacus	laːkus
mīrābilis	miraːbilis
tinnītīs	t̪inniːt̪is
nautilus	nau̯t̪ilus
xois	ksɔːis
querceus	kwɛrt͡ʃɛus
resuscitātiō	rɛzuʃʃit̪aːt͡siɔ
blendium	blɛn̪d̪ium
inclīnāveritis	iŋklinavɛːrit̪is
gerasēnam	d͡ʒɛrazɛːnam
parviflōrus	parviflɔːrus
cernuus	t͡ʃɛrnuus
aliēnātiō	aliɛnaːt͡siɔ
lapidārius	lapid̪aːrius
rōmilius	rɔmiːlius
subitāneus	subit̪aːnɛus
elva	ɛlva
revideō	rɛviːd̪ɛɔ
bȳzantion	bidd͡zant͡siɔn
ininterpretābilis	inin̪t̪ɛrprɛt̪aːbilis
lēvāverimus	lɛvavɛriːmus
titulāris	t̪it̪ulaːris
speciālis	spɛt͡ʃiaːlis
rhythmus	rit̪mus
macareae	makaːrɛɛ
holcus	ɔlkus
pūnctillum	puŋkt̪illum
gingīva	d͡ʒin̠ʲd͡ʒiːva
circumiectus	t͡ʃirkumjɛkt̪us
cīnctōrium	t͡ʃiŋkt̪ɔːrium
singulis	siŋɡulis
irratiōnālis	irrat͡siɔnaːlis
volātilis	vɔlaːt̪ilis
laniātīs	laniaːt̪is
apsinthītēs	apsin̪t̪iːt̪ɛs
clīūs	kliːus
aspathinēs	aspaːt̪inɛs
superimmineō	supɛrimmiːnɛɔ
pagūrus	paɡuːrus
pontius	pɔnt͡sius
jaxamatae	jaksaːmat̪ɛ
reneō	rɛːnɛɔ
locūtiō	lɔkuːt͡siɔ
mumia	muːmia
asteria	ast̪ɛːria
superinpendō	supɛrimpɛn̪d̪ɔ
parium	paːrium
indecōrus	in̪d̪ɛkɔːrus
errās	ɛrras
aēnobarbus	aɛnɔbarbus
albōrum	albɔːrum
astronomicō	ast̪rɔnɔːmikɔ
oblīvīscor	ɔbliviskɔr
oboediēns	ɔbɛːd̪iɛns
trānsmissiō	t̪ransmissiɔ
sināpī	sinaːpi
āreō	aːrɛɔ
cubicus	kuːbikus
succīdō	sutt͡ʃiːd̪ɔ
vicāriālis	vikariaːlis
rūctā	rukt̪a
paraēnsis	paraɛnsis
duella	d̪uɛlla
revehō	rɛːvɛɔ
hībernus	ibɛrnus
inēbriāverimus	inɛbriavɛriːmus
mussitāveritis	mussit̪avɛːrit̪is
investiō	invɛst̪iɔ
expertus	ɛkspɛrt̪us
hēpaticus	ɛpaːt̪ikus
vettiēnus	vɛt̪t̪iɛːnus
hospes	ɔspɛs
servīveritis	sɛrvivɛriːt̪is
apertor	apɛrt̪ɔr
troezēn	t̪rɛdd͡zɛn
turpilucricupidus	t̪urpilukrikuːpid̪us
tectosagēs	t̪ɛkt̪ɔːzad͡ʒɛs
cooperātīvus	kɔɔpɛrat̪iːvus
atīna	at̪iːna
impluvium	impluːvium
paenulārius	pɛnulaːrius
scrīptrīx	skript̪riks
ombos	ɔmbɔs
praepositus	prɛpɔːzit̪us
dolāmen	d̪ɔlaːmɛn
praedicō	prɛːd̪ikɔ
archōn	arkɔn
balbūtiō	balbuːt͡siɔ
efficientēs	ɛffit͡ʃiɛn̪t̪ɛs
dētestor	d̪ɛt̪ɛst̪ɔr
cooperātīva	kɔɔpɛrat̪iːva
rāpulum	raːpulum
cornuātus	kɔrnuaːt̪us
durbanēnsis	d̪urbanɛnsis
mīlitātīs	milit̪aːt̪is
inpūbes	impuːbɛs
octingenta	ɔkt̪in̠ʲd͡ʒɛn̪t̪a
cadūcus	kad̪uːkus
benedicē	bɛnɛːd̪it͡ʃɛ
ligneum	liɲɲɛum
adfīgō	at̪fiːɡɔ
administrāssēs	ad̪minist̪rassɛs
obsolētō	ɔpsɔlɛːt̪ɔ
incīdō	in̠ʲt͡ʃiːd̪ɔ
venetus	vɛːnɛt̪us
dominicāna	d̪ɔminikaːna
gestricia	d͡ʒɛst̪riːt͡ʃia
saracēnō	sarat͡ʃɛːnɔ
stymbara	st̪imbara
adamō	aːd̪amɔ
incursāverimus	iŋkursavɛːrimus
mamertium	mamɛrt͡sium
linter	lin̪t̪ɛr
praeligō	prɛːliɡɔ
argentinēnsis	ard͡ʒɛn̪t̪inɛnsis
trōgītis	t̪rɔd͡ʒiːt̪is
legiō	lɛːd͡ʒiɔ
frontō	frɔn̪t̪ɔ
hicetās	iːt͡ʃɛt̪as
catīllus	kat̪illus
vāna	vaːna
caldārium	kal̪d̪aːrium
efflō	ɛfflɔ
tolerantēs	t̪ɔlɛran̪t̪ɛs
lēinum	lɛːinum
epilogus	ɛpiːlɔɡus
sardīs	sard̪is
clēricālis	klɛrikaːlis
caprus	kaːprus
ēlegantēs	ɛlɛɡan̪t̪ɛs
arcēns	art͡ʃɛns
adūnō	ad̪uːnɔ
numerālis	numɛraːlis
albārius	albaːrius
baptīsō	bapt̪iːzɔ
ornus	ɔrnus
