астрономија	astronǒmija
туркијски	tǔrkiːjskiː
чујан	t͡ʃûːjan
скакачки	skǎkaːtʃki
итеративан	îteratiːʋan
хусит	xǔsiːt
узвикнути	uzʋǐːknuti
папирница	pǎpiːrnit͡sa
духан	dǔxaːn
додирнути	dodǐːrnuti
крабљица	krâbʎit͡sa
оживотворавати	oʒiʋotʋorǎːʋati
изазовно	îzazoːʋno
тетрарх	tětrarx
концептуалан	kônt͡septuaːlan
десетогодишњица	desetoɡǒdiʃɲit͡sa
епископ	ěpiskop
искључити	iskʎǔːt͡ʃiti
изјашњавати	izjaʃɲǎːʋati
локна	lǒkna
имати	ǐmati
пресуђивати	presud͡ʑǐːʋati
центурија	t͡sěntuːrija
пивар	pǐʋaːr
онеспособљавати	onesposobʎǎːʋati
блефер	blêfer
луцидно	lût͡siːdno
квартет	kʋǎrteːt
брус	brûːs
далековидан	dalekǒʋidan
публика	pǔblika
исмејати	ismějati
сателит	satěliːt
тука	tûka
доводити	doʋǒditi
месни	měːsniː
милитаризам	militarǐzam
оптерећивати	opteret͡ɕǐːʋati
племић	plêmit͡ɕ
канџа	kâːnd͡ʒa
али	âli
хајде	xǎjde
значај	znât͡ʃaːj
безбрижно	bězbriʒno
јорданац	jordǎːnat͡s
сујетан	sǔjetan
филмски	fîlmskiː
урагански	ûraɡaːnskiː
сабирачки	sabǐraːt͡ʃki
опор	ôpor
саргашки	sǎrɡaʃkiː
тежити	těːʒiti
освећивати	osʋet͡ɕǐːʋati
загрејати	zǎɡrejati
котар	kôtaːr
лијечити	lijěːt͡ʃiti
аутономист	autonǒmist
независност	nezǎːʋisnoːst
променити	proměːniti
анђеоски	andʑeǒskiː
примјетан	prîmjetan
величина	ʋelit͡ʃǐna
саборски	sǎːborskiː
роктати	rôktati
ладан	lǎːdan
коварнути	koʋǎːrnuti
кошуљица	kǒʃuʎit͡sa
јалан	jǎːlan
изненађивати	iznenad͡ʑǐːʋati
лакоћа	lakǒt͡ɕa
крађа	krâd͡ʑa
талијански	talǐjaːnskiː
римокатолицизам	rimokatolit͡sǐzam
мандрагора	mandrǎɡora
рамазан	ramǎzaːn
развалити	razʋǎːliti
падобран	pâdobraːn
екуменизам	ekumenǐzam
храм	xrâːm
кентаур	kentǎur
јуче	jǔt͡ʃeː
смештајни	smêʃtaːjniː
лицемјерно	lît͡semjeːrno
омаловажавати	omaloʋaʒǎːʋati
ејакулат	ejakǔlaːt
геронтологија	ɡerontolǒɡija
ратификација	ratifikǎːt͡sija
незван	nêzʋaːn
фајл	fâːjl
неоправдан	neǒpraːʋdan
сјекира	sjěkira
цигански	tsîɡanskiː
травестија	traʋěstija
аман	ǎmaːn
памфлет	pǎmfleːt
хуман	xûmaːn
самаритански	samarǐtaːnski
ијекавац	ijěːkaʋat͡s
осуда	ôsuda
алтерација	alterǎːt͡sija
адвент	ǎdʋent
педофил	pedǒfiːl
бака	bǎːka
ручник	rǔt͡ʃniːk
енглеска	ěnɡleːskaː
си	si
дрхтај	dr̂xtaːj
етика	ětika
смио	smǐo
гњат	ɡɲâːt
поход	pǒxod
сланост	slǎːnoːst
бунцати	bǔnt͡sati
самопроглашен	samoprǒɡlaːʃen
наградити	naɡrǎːditi
његоватељ	ɲeɡǒʋateʎ
наредба	nǎːredba
отуђити	otǔːd͡ʑiti
аналептик	analěptik
алмаатски	almaâtskiː
презирно	prêziːrno
резултатски	rezǔltaːtskiː
ротацијски	rotǎːt͡siːjskiː
антикни	ǎntikniː
сприједа	sprjěːda
лопатаст	lǒpatast
мелодичан	melǒdit͡ʃan
штрајк	ʃtrâjk
малоприје	mâloprije
доза	dǒːza
несхватљив	nesxʋǎtʎiʋ
крепко	krêpko
цар	t͡sâr
софтвер	sôftʋeːr
сједница	sjêdnit͡sa
симулакрум	simulǎkrum
рушеван	rûʃeːʋan
попречница	pôpret͡ʃnit͡sa
живописност	ʒîʋopisnoːst
прогонство	prǒɡoːnstʋo
крис	krîːs
краснорјечивост	krasnorjět͡ʃiʋoːst
крмак	křːmak
вунаст	ʋûnast
окончавати	okont͡ʃǎːʋati
идеал	iděaːl
актер	ǎkteːr
паун	pâuːn
грозд	ɡrôzd
обесхрабрити	obesxrǎːbriti
крамп	krâmp
пернат	pěrnat
смањити	smǎːɲiti
неопазице	neǒpazit͡seː
хистерик	xistěrik
тенденциозан	têndent͡sioːzan
раздерати	razděrati
затомити	zatǒmiti
плата	plǎːta
невеста	něʋesta
жандар	ʒândar
имобилизација	imobilizǎːt͡sija
радикално	râdikaːlno
музикологија	muzikolǒɡija
јарам	jǎːram
хркати	xřːkati
поднебље	pǒːdneːbʎe
знати	znâti
физиотерапеут	fizioterapěut
рекурзиван	rêkurziːʋan
тасманија	tǎsmaːnija
аљамиадо	aʎamiado
ногомет	nôɡomeːt
костим	kǒstiːm
срање	srǎːɲe
беспослица	běsposlit͡sa
крелац	krěːlat͡s
кућаница	kût͡ɕanit͡sa
безгрешно	bězɡreʃno
вероватно	ʋêroʋaːtno
спона	spôna
адекватно	âdekʋaːtno
вагати	ʋǎːɡati
процесија	prot͡sěsija
угаљ	ûɡaʎ
божанствен	boʒǎnstʋen
шлагфертиг	ʃlâːɡfertiɡ
зрелина	zrelǐna
издавач	izdǎʋaːt͡ʃ
подучити	podǔt͡ʃiti
флуктуирати	fluktuǐːrati
дезинформација	dezinformǎːt͡sija
предбацити	predbǎːt͡siti
краставац	krâstaʋat͡s
кладити	klâditi
безбрижан	bězbriʒan
селекцијски	selěkt͡siːjskiː
фин	fîːn
северноафрички	seʋernoǎfrit͡ʃkiː
избезумљен	izbězuːmʎen
приправа	prîpraʋa
киша	kîʃa
некако	nêkaːko
шимшир	ʃǐmʃir
запт	zâpt
увређен	ǔʋreːd͡ʑen
центиметар	t͡sěntimetar
екосустав	ekosǔːstaʋ
креветина	krěʋetina
поступак	pǒstupak
ваљати	ʋǎːʎati
комичан	kǒmit͡ʃan
расплакати	rǎsplakati
узврат	ûzʋraːt
бесмислен	běsmislen
натмурен	nǎtmuːren
масован	mâsoːʋan
зажељети	zaʒěʎeti
вила	ʋîla
задаћа	zǎdat͡ɕa
скретати	skrěːtati
правило	prâʋilo
дегенек	deɡěnek
трбухозборац	trbuxozbǒːrat͡s
захвалност	zaxʋǎːlnoːst
маклен	mâklen
атлетичарка	atlětit͡ʃaːrka
груб	ɡrûːb
злурадост	zlǔradoːst
минут	mǐnuːt
гарбагологија	ɡarbaɡolǒɡija
рекурзија	rekǔrzija
лежећке	lěʒet͡ɕkeː
бучно	bût͡ʃno
натјеривати	natjerǐːʋati
хороз	xôroːz
представница	prěːdstaːʋnit͡sa
раздрети	rǎzdreːti
цијепљен	t͡sijêːpʎen
слеп	slêːp
чекмеџе	t͡ʃekměd͡ʒe
јајолик	jajǒlik
упецати	ǔpet͡sati
село	sěːlo
козетина	kozětina
девојчица	deʋǒjt͡ʃit͡sa
роман	rǒmaːn
дактилографски	daktilǒɡrafskiː
алпски	âːlpskiː
кинески	kǐneːski
сајмиште	sâjmiːʃte
херојски	xěroːjskiː
повисок	pôʋisok
изгнаница	ǐzɡnanit͡sa
калкулација	kalkulǎːt͡sija
смјети	smjêti
неурастеничан	neurastěnit͡ʃan
некадашњи	nêkadaʃɲiː
прастар	prâstar
задивљавати	zadiʋʎǎːʋati
непокретљив	nepokrětʎiʋ
компликација	komplikǎːt͡sija
барел	bǎrel
прерачунавати	prerat͡ʃunǎːʋati
натеривати	naterǐːʋati
косидба	kǒsidba
кљенут	kʎênuːt
јурити	jǔːriti
крампус	krǎmpus
фуриозно	fûrioːzno
завод	zǎːʋod
слатководни	slâtkoʋodniː
безбедност	bězbednôːst
бубњарски	bǔbɲarskiː
чемпрес	t͡ʃěmpres
егоцентричан	eɡot͡sěntrit͡ʃan
индивидуалистички	indiʋidualǐstitʃkiː
хтење	xteːɲe
краткорочност	krâtkorot͡ʃnoːst
ученост	ût͡ʃenoːst
галица	ɡâlit͡sa
телефонирати	telefonǐːrati
лорд	lôrd
пуномоћ	pûnomoːt͡ɕ
безверан	bězʋeːran
пандора	pandǒːra
јадрански	jâdraːnskiː
посљедњи	pǒsʎedɲiː
непослушно	nêposluːʃno
рјечнички	rjêːt͡ʃniːt͡ʃkiː
епитет	epǐteːt
област	ôblaːst
комесар	koměsaːr
телохранитељ	teloxrǎniteʎ
осуђенички	osudʑěniːtʃkiː
руководити	rukoʋǒditi
промет	prǒːmet
песница	pěsnit͡sa
сушица	sǔʃit͡sa
оцијенити	ot͡sijěːniti
љепотан	ʎepǒtaːn
сплетка	splêtka
гувернер	ɡuʋěrneːr
препуштати	prepǔːʃtati
заценутост	zǎt͡seːnutoːst
лист	lîːst
привремено	prǐʋremeno
богдан	bǒɡdaːn
табакера	tabakěːra
северњак	seʋěrɲaːk
страствен	strâstʋen
нерегуларан	nêreɡulaːran
сакраментати	sakraměntati
ориз	ǒriz
изузев	izǔzeːʋ
јал	jâːl
ријеткост	rijěːtkoːst
квартално	kʋǎrtaːlno
мујезин	mujěziːn
споразумијевати	sporazumjěːʋati
сретан	srêtan
имбецилан	îmbet͡siːlan
телетекст	têletekst
вол	ʋôːl
просвјед	prǒsʋjed
хвастав	xʋâstaʋ
заблистати	zablǐstati
разљутити	razʎǔːtiti
замерка	zǎːmeːrka
лутерански	lutěraːnskiː
млекара	mlěkara
повредив	poʋrědiʋ
необјашњиво	neobjǎʃɲiʋo
слаткоћа	slatkǒt͡ɕa
кутија	kǔtija
лепотан	lepǒtaːn
веројатност	ʋerojǎːtnoːst
салезијанац	salezijǎːnat͡s
магарица	mǎɡarit͡sa
амалгам	amǎlɡaːm
изузетно	îzuzeːtno
ублажавати	ublaʒǎːʋati
скуцати	skût͡sati
лењ	lêːɲ
корупција	korǔpt͡sija
рођак	rôd͡ʑaːk
изолатор	izǒlaːtor
љиљан	ʎǐʎan
колонија	kǒloːnija
мека	mêka
чаробно	t͡ʃârobno
насељеник	naseʎěniːk
кољач	kǒʎaːt͡ʃ
настати	nǎstati
олеат	olěaːt
сусретљив	susrětʎiʋ
ослобођење	oslobod͡ʑěːɲe
крчмарски	kr̂t͡ʃmarskiː
вратни	ʋrâːtniː
дефинитиван	dêfinitiːʋan
противити	protǐːʋiti
руковати	rûkoʋati
лечник	lêːt͡ʃniːk
придонети	pridǒneːti
разред	rǎːzred
манастирски	mânastiːrskiː
извјештај	îzʋjeʃtaːj
географија	ɡeoɡrǎfija
фреквентан	frekʋěntan
мехураст	mexǔrast
хомозиготан	xomozǐɡotan
гумица	ɡûmit͡sa
мамурлук	mamǔrluk
мандарински	mandǎriːnski
кронолошки	kronǒloʃkiː
обојити	obǒjiti
дарвинизам	darʋinǐzam
формирати	formǐːrati
комбајн	kǒmbajn
султанат	sultǎnaːt
западно	zâːpadno
мар	mâːr
победити	poběːditi
неурастеник	neurastěniːk
језгро	jěːzɡro
препустити	prepǔstiti
омладина	ǒmladina
шнитхолц	ʃnîtxolt͡s
безазленост	bezǎzlenoːst
надев	nǎːdeʋ
безвољан	bêzʋoːʎan
крпа	kr̂pa
влакно	ʋlǎːkno
незапажен	nezǎpaʒen
наликовати	nǎːlikoʋati
праоница	praǒːnit͡sa
ирска	îːrskaː
легендарно	lêɡendaːrno
лаковерност	lakoʋěːrnoːst
преводилац	preʋǒdilat͡s
шестина	ʃěstina
посета	pôseta
помаћи	pǒmat͡ɕi
пламичак	plamǐːt͡ʃak
северно	sêʋeːrno
изглед	îzɡleːd
разболевати	razbolěːʋati
фамилијаран	fâmilijaːran
топчић	tǒpt͡ʃit͡ɕ
збрињавати	zbriɲǎːʋati
оџачки	ǒd͡ʒat͡ʃkiː
непромијењен	neprǒmijeːɲen
озледа	ôzleda
подне	pǒːdne
аутостоп	ǎutostop
хипербола	xipěrbola
ђ	d͡ʑ
барбарски	bǎrbarski
изјаснити	izjǎsniti
гласност	ɡlâsnoːst
открити	ǒtkriti
изгред	îzɡreːd
нестрпљив	nestřpʎiʋ
тунел	tǔneːl
кутијица	kǔtijit͡sa
бункерирати	bunkerǐːrati
пријестолница	prijěːstoːlnit͡sa
деран	děran
репрезентативан	rêprezentatiːʋan
опустити	opǔstiti
интензиван	întenziːʋan
надмашити	nǎdmaʃiti
зближити	zblǐːʒiti
невернички	něʋeːrnit͡ʃkiː
исходиште	ǐsxodiːʃte
годинама	ɡôdinama
ренесансни	renesǎnsniː
влах	ʋlâx
тренд	trênd
обрада	ôbrada
економичан	ekonǒmit͡ʃan
апозиција	apozǐːt͡sija
курдистан	kûrdistan
реплика	rěplika
пејоратив	pêjoratiːʋ
медвједић	mědʋjedit͡ɕ
трогодишњак	troɡǒdiʃɲaːk
старина	starǐna
зарана	zârana
определити	opreděːliti
синжир	sǐnʒiːr
ингениозан	înɡenioːzan
одећа	ôdet͡ɕa
вјетреушка	ʋjetrěuʃka
игде	îɡde
луђачки	lǔd͡ʑaːt͡ʃkiː
редистрибуција	redistribǔːt͡sija
јазавац	jâzaʋat͡s
пигмејски	pǐɡmejskiː
римљанин	rǐːmʎanin
фил	fîl
ишчупати	iʃt͡ʃǔpati
узбуђен	ǔzbuːd͡ʑeːn
обузимати	obǔzimati
тиранац	tirǎːnat͡s
зуба	zǔːbaː
вила	ʋǐːla
сунчаник	sunt͡ʃǎniːk
јучашњи	jǔt͡ʃaʃɲi
одмаћи	ǒdmat͡ɕi
обратно	ôbraːtno
јалан	jǎlaːn
инфериоран	înferioːran
хектограм	xěktoɡram
махараџа	mâxarad͡ʒa
илирски	ǐliːrskiː
негостољубивост	neɡostoʎǔbiʋoːst
каиро	kǎiro
помешати	poměːʃati
тонски	tôːnskiː
троглав	trǒɡlaʋ
реинкарнирати	reinkarnǐːrati
сметењак	smetěɲaːk
прогнозирати	proɡnozǐːrati
факинарија	fakinǎrija
империјалистички	imperijalǐstit͡ʃkiː
лајтмотив	lajtmǒtiːʋ
ходник	xôdniːk
реинтродукција	reintrodǔkt͡sija
безазлено	bezǎzleno
дремашина	drêːmaʃiːna
вучић	ʋǔt͡ʃit͡ɕ
изоставити	izǒstaʋiti
порицати	porǐːt͡sati
гактати	ɡâktati
примјерно	prǐːmjerno
увидјети	ǔʋidjeti
прати	prâti
краниолог	kraniǒloɡ
зеко	zěːko
стетоскоп	stêtoskop
чешањ	t͡ʃêʃaɲ
тајван	tâjʋaːn
русофил	rusǒfiːl
част	t͡ʃâːst
варка	ʋâːrka
укратко	ûkratko
мадеира	maděira
дашчурина	daʃt͡ʃǔrina
непримерен	neprǐmeren
узорати	uzǒrati
красно	krâːsno
намицати	nǎmit͡sati
секундаран	sêkundaːran
другачији	druɡǎt͡ʃijiː
носач	nǒsaːt͡ʃ
шалунг	ʃǎlunɡ
зором	zǒroːm
профитабилан	prôfitabiːlan
египтолог	eɡiptǒloɡ
јелен	jělen
умирати	ǔmirati
ручак	rǔːt͡ʃak
џеназа	d͡ʒenǎːza
сићушан	sît͡ɕuːʃan
гориво	ɡôriːʋo
кошаркаш	koʃǎrkaːʃ
обогатити	obǒɡatiti
доспети	dǒspeti
котарски	kǒtarski
наоблачивати	naoblat͡ʃǐːʋati
руксак	rûksaːk
мукнути	mǔːknuti
различит	rǎːzlit͡ʃit
замјерити	zǎːmjeriti
етиопија	etiǒpija
бљузгати	bʎûzɡati
циничан	t͡sǐnit͡ʃan
прелиминаран	prêliminaːran
витрај	ʋǐtraj
однос	ǒdnos
кризманик	krîzmaniːk
инвалидски	inʋǎliːdskiː
лудити	lǔːditi
католик	kâtoliːk
публицирати	publit͡sǐːrati
побећи	pǒbet͡ɕi
хазардер	xazǎrdeːr
војнички	ʋǒjniːt͡ʃkiː
словачка	slǒʋaːt͡ʃkaː
приповедати	pripoʋěːdati
слушати	slûʃati
извјешће	ǐzʋjeːʃt͡ɕe
увенути	uʋěnuti
хрт	xr̂t
скок	skôk
сијам	sǐjaːm
безболно	bězboːlno
досјетљивост	dosjětʎiʋoːst
воловски	ʋǒloʋskiː
камион	kamǐoːn
нормално	nôrmaːlno
дочек	dǒt͡ʃek
топонимија	toponǐmija
прикупљати	prikǔːpʎati
раскрстити	raskřstiti
перуанац	peruǎːnat͡s
таљиге	tǎʎiɡe
природан	prǐːrodan
кечап	kět͡ʃap
импозантност	impozǎntnoːst
синкретизам	sinkretǐzam
буктати	bǔktati
рехабилитирати	rexabilitǐːrati
сјеверни	sjêʋeːrniː
чељаде	t͡ʃeʎǎːde
умерено	ǔmereno
старати	stârati
крдо	kr̂do
инфлоресценција	inflorest͡sěːnt͡sija
ћоравац	t͡ɕôraʋat͡s
драч	drât͡ʃ
уочавати	uot͡ʃǎːʋati
бомбардер	bombǎrdeːr
хронолошки	xronǒloʃkiː
рат	rât
стати	stâːti
инфантилно	înfantiːlno
ауторитативно	âutoritatiːʋno
лајав	lâjaʋ
набрекнути	nabrěːknuti
ликвидан	lîkʋiːdan
испушити	ǐspuʃiti
шица	ʃǐt͡sa
асуан	ǎsuan
позорник	pǒːzoːrniːk
кану	kǎnuː
амбис	ǎmbis
црнети	t͡sřːneti
милитантан	militǎntan
севдах	sěʋdaːx
идила	idǐla
уозбиљити	uozbǐːʎiti
оличавати	olit͡ʃǎːʋati
моделирати	modelǐːrati
регулатив	reɡulǎtiːʋ
буктети	bǔkteti
разрез	rǎːzrez
аморфан	ǎmorfan
економски	ekǒnomskiː
носила	nǒsila
пивничар	pǐːʋnit͡ʃaːr
одијевати	odjěːʋati
добављач	dobǎʋʎaːt͡ʃ
мумија	mûːmija
зависан	zǎːʋisan
психоанализа	psixoanalǐːza
есцајг	êst͡sajɡ
каубојски	kǎubojski
сунцобран	sûnt͡sobraːn
луђачки	lǔd͡ʑaːt͡ʃki
киклоп	kǐklop
гумен	ɡǔmen
организација	orɡanizǎːt͡sija
јектика	jěktika
уморити	umǒriti
урезивати	urezǐːʋati
регрутација	reɡrutǎːt͡sija
козарац	kǒzarat͡s
бележити	běleʒiti
опричати	oprǐːt͡ʃati
смокинг	smǒkinɡ
остатак	ostǎːtak
неосвојив	neosʋǒjiʋ
штемајзл	ʃtêmajzl
симболично	simbǒlit͡ʃno
ван	ʋâːn
каденца	kaděnt͡sa
финик	fǐnik
спојив	spǒjiʋ
афганистан	afɡanǐstaːn
деведесети	deʋeděsetiː
бранитељ	brǎniteʎ
пашанац	paʃǎːnat͡s
келт	kêlt
тестис	têstis
коефицијент	koefit͡sǐjent
декоративан	dêkoratiːʋan
присилан	prǐːsiːlan
крумпирача	krumpǐrat͡ʃa
југоисток	juɡoǐstok
арапин	ǎrapin
вишак	ʋǐːʃak
библиотечни	bibliǒtet͡ʃniː
нокаут	nokǎut
популистички	populǐstitʃkiː
спријатељити	sprijatěʎiti
подмазати	pǒdmazati
заповедник	zapoʋědniːk
пик	pîk
одевати	oděːʋati
образ	ǒbraz
љубазница	ʎǔbaznit͡sa
затајити	zatǎːjiti
ханџар	xǎnd͡ʒaːr
самоћа	samǒt͡ɕa
трезвењачки	trezʋěɲaːt͡ʃkiː
акупунктура	akupunktǔːra
целулоид	t͡selulǒiːd
вероисповед	ʋeroǐspoʋeːd
крабуља	krǎbuʎa
минђуха	mǐnd͡ʑuxa
шатор	ʃâtor
упута	ûputa
сезати	sěːzati
истосмеран	îstosmeːran
фишеклија	fiʃěklija
карикатура	karikatǔːra
пробитачан	prôbitaːt͡ʃan
плуралистички	pluralǐstit͡ʃki
јуни	jûːni
кинин	kǐniːn
разуверавати	razuʋerǎːʋati
узрујати	uzrǔjati
ексцес	ěkst͡ses
векерица	ʋêkerit͡sa
институтски	instǐtuːtskiː
расплакивати	rasplakǐːʋati
локаут	lǒkaːut
пауница	paǔnit͡sa
горе	ɡôreː
поткупљивати	potkupʎǐːʋati
муштрати	mûʃtrati
несвест	nêsʋeːst
руб	rûːb
равнотежа	raʋnotěːʒa
породица	pǒrodit͡sa
гристи	ɡrîsti
превлађивати	preʋlad͡ʑǐːʋati
протекторат	protektǒraːt
ласциван	lǎst͡siːʋan
партнерство	pârtnerstʋo
нечитљив	net͡ʃǐtʎiʋ
стрпљење	strpʎěːɲe
теле	těle
ризично	rîzit͡ʃno
продекан	prǒdekaːn
разговорити	razɡoʋǒriti
хефта	xěfta
правосуђе	prâʋosuːd͡ʑe
спаваоница	spaʋaǒːnit͡sa
центарфор	t͡sêntarfoːr
ружноћа	ruʒnǒt͡ɕa
адоптација	adoptǎːt͡sija
сарајлијски	sarǎjliːjskiː
говорник	ɡǒʋoːrniːk
безразложност	bezrǎːzloʒnoːst
сало	sâlo
оценити	ot͡sěːniti
присмотра	prǐsmotra
безобзирно	bêzobziːrno
теутонски	těutoːnskiː
изразит	ǐzrazit
незаситан	nêzasitan
читко	t͡ʃîtko
похлепан	pôxleːpan
изба	ǐzba
еритреја	eritrěːja
оптималан	ôptimaːlan
јахта	jâxta
урма	ǔrma
запрегнути	zaprěːɡnuti
конкубина	konkubǐːna
чихати	t͡ʃǐxati
детенце	detěːnt͡se
литавски	lǐtaʋskiː
пучина	pǔt͡ʃina
темељ	těmeʎ
ћосавост	t͡ɕôsaʋoːst
компонента	kompǒnenta
конак	kǒnak
гуцнути	ɡût͡snuti
сед	sêːd
орган	ǒrɡaːn
неприкладан	neprǐkladan
одуговлачити	oduɡoʋlǎːt͡ʃiti
згристи	zɡrîsti
родитељски	rǒditeʎskiː
обуздавати	obuzdǎːʋati
дрзник	dr̂zniːk
рода	rǒːda
бућнути	bût͡ɕnuti
трзај	tr̂zaːj
адаптација	adaptǎːt͡sija
романтичар	romǎntit͡ʃaːr
резбарија	rezbǎrija
богиња	bǒɡiɲa
спирати	spǐːrati
левак	lěʋaːk
зграбити	zɡrâbiti
растапати	rastǎːpati
при	prî
безидејно	bêzideːjno
забиљешка	zâbiʎeʃka
незнање	neznǎːɲe
суверенитет	suʋerenǐteːt
експедиција	ekspedǐːt͡sija
бејзбол	bějzboːl
разбудити	razbǔːditi
делатност	delǎːtnoːst
заударати	zaǔdarati
ексцентрично	ekst͡sěntrit͡ʃno
подсмијех	pôdsmijeːx
сабирница	sǎːbiːrnit͡sa
кућни	kût͡ɕniː
навреме	nâʋreːme
ждрал	ʒdrâːl
олигарх	olǐɡarx
електричар	elěktrit͡ʃaːr
крчметина	krt͡ʃmětina
подразумијевати	podrazumjěːʋati
излучити	izlǔːt͡ʃiti
забугаривати	zabuɡarǐːʋati
бенин	bênin
веће	ʋěːt͡ɕe
одсећи	ǒdset͡ɕi
узда	ǔːzda
аритметички	aritmětitʃki
свињар	sʋǐɲaːr
малолетан	malolětan
хокејаш	xokějaːʃ
епсилон	ěpsiloːn
акузатив	âkuzatiːʋ
баран	bǎran
елегантно	eleɡǎntno
проверавати	proʋerǎːʋati
брезничанин	brěːznit͡ʃanin
примјер	prǐːmjer
укрутити	ukrǔːtiti
картонски	kǎrtoːnskiː
пракса	prâksa
нерационално	nêrat͡sionaːlno
указ	ǔːkaːz
ико	îko
берберски	běrberskiː
мрвити	mr̂ʋiti
римокатолик	rimokǎtolik
неупадљиво	neupǎdʎiʋo
онамо	ǒnaːmo
побиједити	pobjěːditi
рубни	rûːbniː
кригла	krǐːɡla
бакар	bǎkar
дифтоншки	dǐftonʃkiː
трагач	trǎɡaːt͡ʃ
голотиња	ɡolǒtiɲa
крештелица	krêʃtelit͡sa
луксембуршки	lǔksemburʃkiː
хебрејски	xěbreːjskiː
транзитивност	tranzitǐːʋnoːst
венчић	ʋěnt͡ʃit͡ɕ
стуб	stûːb
приједложни	prijěːdloʒniː
оштро	ôʃtro
фиштар	fîʃtar
смазати	smâzati
инертно	iněrtno
змијурина	zmijǔrina
пустињаштво	pustiɲǎːʃtʋo
рељеф	rěʎef
покварењачки	pokʋarěɲaːtʃkiː
козерија	kozěːrija
анимација	animǎːt͡sija
раздријети	rǎzdrijeːti
кубанац	kubǎːnat͡s
повјерити	pǒʋjeriti
забринутост	zǎbrinuːtoːst
звучан	zʋûːt͡ʃan
федерација	federǎːt͡sija
нахушкати	nǎxuʃkati
гроб	ɡrôb
једноличан	jednǒlit͡ʃan
поводити	poʋǒditi
манир	mǎniːr
одјећа	ôdjet͡ɕa
правилник	prǎʋiːlniːk
звиждачица	zʋiʒdǎt͡ʃit͡sa
шарм	ʃârm
сурјекција	surjěkt͡sija
намочити	namǒt͡ʃiti
звоник	zʋǒniːk
наход	nǎxod
рјешење	rjeʃěːɲe
избацити	izbǎːt͡siti
рециклирање	ret͡siklǐːraːɲe
посиједјети	posijěːdjeti
сликати	slîkati
козјак	kôzjaːk
нездраво	nězdraʋo
дубокоуман	dûbokouːman
нана	nǎːna
шећерана	ʃet͡ɕerǎna
тоталан	tôtaːlan
мировина	mirǒʋina
подилазити	podǐlaziti
ћоравица	t͡ɕôraʋit͡sa
блебетуша	blebětuʃa
сећати	sêt͡ɕati
нерадник	něraːdniːk
минералог	minerǎloɡ
обављати	ǒbaʋʎati
шлинга	ʃlîːnɡa
јека	jêka
памтивек	pǎmtiʋeːk
закопати	zakǒpati
фока	fôka
велепосланство	ʋeleposlǎːnstʋo
адисабебски	adisǎbebskiː
андалузијски	andǎluzijskiː
аутархија	autǎrxija
бесповратан	bêspoʋratan
баварска	bǎʋaːrska
апстиненција	apstiněnt͡sija
буђење	bǔːd͡ʑeɲe
теократски	teǒkratski
будно	bûːdno
злочинац	zlǒt͡ʃinat͡s
изопачити	izopǎːt͡ʃiti
слаткоречив	slatkorět͡ʃiʋ
дискредитирати	diskreditǐːrati
спаваћи	spǎʋaːt͡ɕiː
кинески	kǐneːskiː
аметице	ǎmetit͡se
предаја	prêdaja
имовински	ǐmoʋinski
бухара	buxǎːra
кишобран	kîʃobraːn
неприсутан	něprisutan
драгоцјен	draɡǒt͡sjen
убацивати	ubat͡sǐːʋati
квартал	kʋǎrtaːl
сакупљати	sakǔːpʎati
шиљ	ʃîːʎ
ујачки	ûjaːtʃkiː
илегитиман	îleɡitiːman
погледати	pǒɡledati
продаватељ	prodǎʋateʎ
даровати	darǒʋati
центар	t͡sêntar
јуначки	jǔnaːtʃki
некретнина	nekretnǐna
демонологија	demonolǒɡija
пешчаник	peʃt͡ʃǎniːk
европски	ěʋropski
неодређено	neǒdreːd͡ʑeno
фунта	fûːnta
његоватељица	ɲeɡoʋatěʎit͡sa
дребанг	drěːbanɡ
астматичар	astmǎtit͡ʃaːr
лане	lâne
слабост	slâboːst
употребити	upotrěːbiti
подвиг	pôdʋiːɡ
разрјешивост	razrjěʃiʋoːst
нимфомански	nimfǒmaːnski
аплаудирати	aplaudǐːrati
спелеолошки	speleǒloʃki
срамота	sramǒta
обрачунати	obrat͡ʃǔnati
шпијати	ʃpǐjati
недовољан	nêdoʋoːʎan
мандат	mǎndaːt
сјевероисток	sjeʋeroǐstok
добронамјеран	dobronǎːmjeran
заборавност	zaborǎːʋnoːst
код	kôd
крист	krîst
крумпириште	krumpǐriːʃte
шљакати	ʃʎâkati
банкина	bankǐːna
укљученост	ǔkʎuːt͡ʃenoːst
најуривати	najurǐːʋati
кан	kâːn
криптополитички	kriptopolǐtit͡ʃki
хук	xûːk
аутомобилист	automobǐlist
дичити	dǐːt͡ʃiti
искидати	ǐskidati
љигаво	ʎîɡaʋo
проћеретати	prot͡ɕerětati
неуместан	nêumestan
скаменити	skâmeniti
ефектно	ěfektno
прељуб	prěːʎub
агент	ǎɡent
намаћи	nǎmat͡ɕi
посјетница	pǒsjetnit͡sa
финалист	finǎlist
класичан	klǎsit͡ʃan
саћи	sâːt͡ɕi
хималајски	ximǎlaːjskiː
цертифициран	t͡sertifǐt͡siːran
трансцендентан	transt͡senděntaːn
насловник	nǎːsloːʋniːk
ломљивост	lǒmʎiʋoːst
наслоњач	naslǒɲaːt͡ʃ
анотирати	anotǐːrati
аустријански	austrǐjaːnskiː
штене	ʃtěne
бомбастично	bombǎstit͡ʃno
бесрамно	bêsraːmno
