மாங்காய்	mɑːŋɡɑːj
அச்சுவினி	ʔʌsːɯʋɨni
சற்பிரசாதம்	sʌrpɨɾ̪ʌsɑːd̪ʌm
அளேரியம்	ʔʌɭeːɾ̪ɨjʌm
வைணவி	ʋʌɪ̯ɳʌʋi
அழகு	ʔʌɻʌɡɯ
ககனம்	kʌɡʌnʌm
அறிவிப்பு	ʔʌrɨʋɨpːɯ
மொட்டு	moʈːɯ
பித்தம்	pɨt̪ːʌm
கட்டல்	kʌʈːʌl̪
கபடம்	kʌbʌɖʌm
உயிரணு	ʔɯjɨɾ̪ʌɳɯ
அடக்கு	ʔʌɖʌkːɯ
விளக்கம்	ʋɨɭʌkːʌm
பய்யன்	pʌjːʌn
எழுது	ʔeɻɯd̪ɯ
மிகவும்	mɨɡʌʋɯm
லதி	l̪ʌd̪i
இயக்கு	ʔɨjʌkːɯ
பர்ணம்	pʌɾ̪ɳʌm
பரிதி	pʌɾ̪ɨd̪i
புரவு	pɯɾ̪ʌʋɯ
நெருப்பு	n̪eɾ̪ɯpːɯ
இராஜாளி	ʔɨɾ̪ɑːd͡ʑɑːɭi
பார்வை	pɑːɾ̪ʋʌɪ̯
மகிழ்	mʌɡɨɻ
கூவிளம்	kuːʋɨɭəm
மம்மர்	mʌmːʌɾ̪
முதலுதவி	mɯd̪ʌl̪ɯd̪ʌʋi
அன்பு	ʔʌnpɯ
அகம்	ʔʌɡʌm
சுற்று	sɯʈːɾɯ
லக்ஷம்	l̪ʌkʂʌm
நின்று	n̪ɨnrɯ
பாகற்காய்	pɑːɡʌrkɑːj
பரணி	pʌɾ̪ʌɳi
இசைக்கருவி	ʔɨsʌɪ̯kːʌɾ̪ɯʋi
மாதிரு	mɑːd̪ɨɾ̪ɯ
பிசாசுபிடித்தல்	pɨsɑːsɯbɨɖɨt̪ːʌl̪
ஓநாய்	ʔoːn̪ɑːj
பெளதிகம்	peɭʌd̪ɨɡʌm
வல்	ʋʌl̪
மந்தைவெளி	mʌn̪d̪ʌɪ̯ʋeɭi
கவல்	kʌʋʌl̪
மேய்ப்பன்	meːjpːʌn
அவுஸ்திரேலியா	ʔʌʋɯst̪ɨɾ̪eːl̪ɨjɑː
அறி	ʔʌri
தாய்லாந்து	t̪ɑːjl̪ɑːn̪d̪ɯ
எட்டு	ʔeʈːɯ
உயர்ச்சி	ʔɯjʌɾ̪sːi
செய்தித்தாள்	sejt̪ɨt̪ːɑːɭ
புதிய	pɯd̪ɨja
கயம்	kʌjʌm
உண்ணி	ʔɯɳːi
கிளி	kɨɭi
கன்னடம்	kʌnːʌɖʌm
இளைப்பாற்று	ʔɨɭʌɪ̯pːɑːʈːɾɯ
முச்சம்	mɯsːʌm
நீரகம்	n̪iːɾ̪ʌɡʌm
மந்துரை	mʌn̪d̪ɯɾ̪ʌɪ̯
வளையல்	ʋʌɭʌɪ̯jʌl̪
கோட்டை	koːʈːʌɪ̯
பசியம்	pʌsɨjʌm
செங்கல்மால்	seŋɡʌl̪mɑːl̪
ரவை	ɾ̪ʌʋʌɪ̯
ஸாராம்ம்	sɑːɾ̪ɑːmː
போறை	poːrʌɪ̯
சயிக்கம்	sʌjɨkːʌm
வியர்	ʋɨjʌɾ̪
வல்லை	ʋʌl̪ːʌɪ̯
இடுப்பு	ʔɨɖɯpːɯ
பெயர்ப்பு	pejʌɾ̪pːɯ
தரியாபத்து	t̪ʌɾ̪ɨjɑːbʌt̪ːɯ
சாலை	sɑːl̪ʌɪ̯
உருப்பு	ʔɯɾ̪ɯpːɯ
மோடு	moːɖɯ
அக்கை	ʔʌkːʌɪ̯
தலைவர்	t̪ʌl̪ʌɪ̯ʋʌɾ̪
கூறை	kuːrʌɪ̯
அறுதி	ʔʌrɯd̪i
கற்பூரம்	kʌrpuːɾ̪ʌm
தேக்கு	t̪eːkːɯ
சுண்டெலி	sɯɳɖel̪i
மென்மை	menmʌɪ̯
வழிநடை	ʋʌɻɨn̪ʌɖʌɪ̯
தளப்பு	t̪ʌɭʌpːɯ
பின்மொழிநிலையல்	pɨnmoɻɨn̪ɨl̪ʌɪ̯jʌl̪
கோமான்	koːmɑːn
முறுக்கு	mɯrɯkːɯ
உரும்	ʔɯɾ̪ɯm
தேர்தல்	t̪eːɾ̪t̪ʌl̪
மலேசியா	mʌl̪eːsɨjɑː
வெளிச்சம்	ʋeɭɨsːʌm
ஏனம்	ʔeːnʌm
கோலம்	koːl̪ʌm
பயனர்	pʌjʌnʌɾ̪
காரம்	kɑːɾ̪ʌm
கிழமை	kɨɻʌmʌɪ̯
குமாரத்தி	kɯmɑːɾ̪ʌt̪ːi
பங்கம்	pʌŋɡʌm
வன்தங்கம்	ʋʌnt̪ʌŋɡʌm
இங்கண்	ʔɨŋɡʌɳ
வழிஞ்சி	ʋʌɻɨɲd͡ʑi
வானவில்	ʋɑːnʌʋɨl̪
ஸாஹசர்யம்	sɑːhʌsʌɾ̪jʌm
மலர்க்கடை	mʌl̪ʌɾ̪kːʌɖʌɪ̯
கூகை	kuːɡʌɪ̯
விதவை	ʋɨd̪ʌʋʌɪ̯
ஸாரட்டு	sɑːɾ̪ʌʈːɯ
வருகமஞ்சள்	ʋʌɾ̪ɯɡʌmʌɲd͡ʑʌɭ
சினம்	sɨnʌm
இறகு	ʔɨrʌɡɯ
அலகு	ʔʌl̪ʌɡɯ
பம்பரம்	pʌmbʌɾ̪ʌm
கருணை	kʌɾ̪ɯɳʌɪ̯
ஔடதம்	ʔʌʊ̯ʈʌd̪ʌm
அடித்தட்டு	ʔʌɖɨt̪ːʌʈːɯ
இன்னும்	ʔɨnːɯm
மனநலம்	mʌnʌn̪ʌl̪ʌm
கரடி	kʌɾ̪ʌɖi
பாசுரம்	pɑːsɯɾ̪ʌm
காலை	kɑːl̪ʌɪ̯
காரீயக்கல்	kɑːɾ̪iːjʌkːʌl̪
வல்லுளி	ʋʌl̪ːɯɭi
சிலந்தி	sɨl̪ʌn̪d̪i
சோலை	soːl̪ʌɪ̯
நக்கு	n̪ʌkːɯ
கடல்	kʌɖʌl̪
பழமை	pʌɻʌmʌɪ̯
வெந்தயம்	ʋen̪d̪ʌjʌm
மாப்பிசின்	mɑːpːɨsɨn
சோளம்	soːɭʌm
வாயில்	ʋɑːjɨl̪
தமிழ்நாடு	t̪ʌmɨɻn̪ɑːɖɯ
சேய்மை	seːjmʌɪ̯
திருவனந்தபுரம்	t̪ɨɾ̪ɯʋʌnʌn̪d̪ʌbɯɾ̪ʌm
கட்டு	kʌʈːɯ
பார்வையாளர்	pɑːɾ̪ʋʌɪ̯jɑːɭʌɾ̪
பாடகர்	pɑːɖʌɡʌɾ̪
தினம்	t̪ɨnʌm
எசுத்தோனியா	ʔesɯt̪ːoːnɨjɑː
ஆண்டவன்	ʔɑːɳɖʌʋʌn
பெண்கரு	peɳkʌɾ̪ɯ
நாளும்	n̪ɑːɭɯm
போதைமருந்து	poːd̪ʌɪ̯mʌɾ̪ɯn̪d̪ɯ
சுதந்தரம்	sɯd̪ʌn̪d̪ʌɾ̪ʌm
வரவேற்கிறேன்	ʋʌɾ̪ʌʋeːrkɨreːn
தொழுவு	t̪oɻɯʋɯ
களை	kʌɭʌɪ̯
தூவல்	t̪uːʋʌl̪
சமம்	sʌmʌm
நா	n̪ɑː
பழுது	pʌɻɯd̪ɯ
அர்ஜுனன்	ʔʌɾ̪d͡ʑɯnʌn
காண்டாமிருகம்	kɑːɳɖɑːmɨɾ̪ɯɡʌm
புத்தன்	pɯt̪ːʌn
வளப்பம்	ʋʌɭʌpːʌm
ஏவாள்	ʔeːʋɑːɭ
வானம்	ʋɑːnʌm
நீக்கல்	n̪iːkːʌl̪
இன்கண்	ʔɨnkʌɳ
சிற்பம்	sɨrpʌm
துவக்கூசி	t̪ɯʋʌkːuːsi
லட்சம்	l̪ʌʈsʌm
கருமுட்டை	kʌɾ̪ɯmɯʈːʌɪ̯
நடுவடிக்கை	n̪ʌɖɯʋʌɖɨkːʌɪ̯
விளைவு	ʋɨɭʌɪ̯ʋɯ
அரசாங்கம்	ʔʌɾ̪ʌsɑːŋɡʌm
குடி	kɯɖi
சிறுமை	sɨrɯmʌɪ̯
அவசியம்	ʔʌʋʌsɨjʌm
அறுப்பு	ʔʌrɯpːɯ
லத்தாடு	l̪ʌt̪ːɑːɖɯ
இசைப்பாட்டு	ʔɨsʌɪ̯pːɑːʈːɯ
யானை	jɑːnʌɪ̯
இடப்பு	ʔɨɖʌpːɯ
மூச்சு	muːsːɯ
பிறப்புவழி	pɨrʌpːɯʋʌɻi
வவ்வு	ʋʌʋːɯ
தொழும்பு	t̪oɻɯmbɯ
நெகிழ்ச்சி	n̪eɡɨɻsːi
மாணாக்கி	mɑːɳɑːkːi
சனி	sʌni
துளசி	t̪ɯɭʌsi
வில்வம்	ʋilʋəm
செய்தல்	sejt̪ʌl̪
மேற்பார்வை	meːrpɑːɾ̪ʋʌɪ̯
அலுவீகம்	alʉʋɨːɣəm
உறுப்பிசைக்குறி	ʔɯrɯpːɨsʌɪ̯kːɯri
எற்பாடு	ʔerpɑːɖɯ
வக்கிரகட்கம்	ʋʌkːɨɾ̪ʌɡʌʈkʌm
கிழவன்	kɨɻʌʋʌn
அடிப்பகுதி	ʔʌɖɨpːʌɡɯd̪i
களம்	kʌɭʌm
ஐம்பது	ʔʌɪ̯mbʌd̪ɯ
கருவிளா	kaɾʉʋɨɭaː
அழு	ʔʌɻɯ
மின்சாரம்	mɨnsɑːɾ̪ʌm
உப்புமா	ʔɯpːɯmɑː
உணர்ப்பு	ʔɯɳʌɾ̪pːɯ
மாண்பு	mɑːɳpɯ
வேதவியல்	ʋeːd̪ʌʋɨjʌl̪
உண்டா	ʔɯɳɖɑː
காண்டீவம்	kɑːɳɖiːʋʌm
உயிர்வேதியியல்	ʔɯjɨɾ̪ʋeːd̪ɨjɨjʌl̪
மெய்ப்பாட்டிசைக்குறி	mejpːɑːʈːɨsʌɪ̯kːɯri
காண்டம்	kɑːɳɖʌm
அடைக்காய்	ʔʌɖʌɪ̯kːɑːj
அன்பளிப்பு	ʔʌnpʌɭɨpːɯ
போக்குவரத்து	poːkːɯʋʌɾ̪ʌt̪ːɯ
எருது	ʔeɾ̪ɯd̪ɯ
பழம்	pʌɻʌm
நகை	n̪ʌɡʌɪ̯
தயிர்	t̪ʌjɨɾ̪
தூரம்	t̪uːɾ̪ʌm
பிசக்குதல்	pɨsʌkːɯd̪ʌl̪
தொழினுட்பம்	t̪oɻɨnɯʈpʌm
நன்றாக	n̪ʌnrɑːɡa
ஆண்பால்	ʔɑːɳpɑːl̪
புரிவு	pɯɾ̪ɨʋɯ
பராமரிப்பு	pʌɾ̪ɑːmʌɾ̪ɨpːɯ
ஸ்தலம்	st̪ʌl̪ʌm
மயக்கடி	mʌjʌkːʌɖi
திநாரம்	t̪ɨn̪ɑːɾ̪ʌm
எண்ணிக்கை	ʔeɳːɨkːʌɪ̯
அனை	ʔʌnʌɪ̯
கார்த்தூம்	kɑːɾ̪t̪ːuːm
அவ்வது	ʔʌʋːʌd̪ɯ
வங்கிக்கணக்கு	ʋʌŋɡɨkːʌɳʌkːɯ
இபங்கம்	ʔɨbʌŋɡʌm
மாதனம்	mɑːd̪ʌnʌm
சிற்றுண்டி	sɨʈːɾɯɳɖi
பரிமாற்றம்	pʌɾ̪ɨmɑːʈːɾʌm
இயல்	ʔɨjʌl̪
மாட்டுக்கிடை	mɑːʈːɯkːɨɖʌɪ̯
காத்திரம்	kɑːt̪ːɨɾ̪ʌm
குலிகம்	kɯl̪ɨɡʌm
திங்கள்	t̪ɨŋɡʌɭ
சொற்பிறப்பியல்	sorpɨrʌpːɨjʌl̪
புழு	pɯɻɯ
கல்யாணம்	kʌl̪jɑːɳʌm
அறிஞர்	ʔʌrɨɲʌɾ̪
இழுதை	ʔɨɻɯd̪ʌɪ̯
பிசின்	pɨsɨn
சிறுகதை	sɨrɯɡʌd̪ʌɪ̯
சரி	sʌɾ̪i
இயம்	ʔɨjʌm
பிரபந்தம்	pɨɾ̪ʌbʌn̪d̪ʌm
சிவளிகைக்கச்சு	sɨʋʌɭɨɡʌɪ̯kːʌsːɯ
ஒப்பு	ʔopːɯ
மலையாளம்	mʌl̪ʌɪ̯jɑːɭʌm
உவமை	ʔɯʋʌmʌɪ̯
மிகுதியும்	mɨɡɯd̪ɨjɯm
வரன்முறை	ʋʌɾ̪ʌnmɯrʌɪ̯
ரோகம்	ɾ̪oːɡʌm
சர்க்கரை	sʌɾ̪kːʌɾ̪ʌɪ̯
சேர்ந்தலை	seːɾ̪n̪d̪ʌl̪ʌɪ̯
பரிதியம்	pʌɾ̪ɨd̪ɨjʌm
இனப்படுகொலை	ʔɨnʌpːʌɖɯɡol̪ʌɪ̯
பிசினரக்கு	pɨsɨnʌɾ̪ʌkːɯ
வண்ணாத்திப்பூச்சி	ʋʌɳːɑːt̪ːɨpːuːsːi
தவம்	t̪ʌʋʌm
பணவன்	pʌɳʌʋʌn
உணர்வு	ʔɯɳʌɾ̪ʋɯ
விலங்கு	ʋɨl̪ʌŋɡɯ
பிறிதின்கிழமை	pɨrɨd̪ɨnkɨɻʌmʌɪ̯
ஆண்மை	ʔɑːɳmʌɪ̯
கணக்கு	kʌɳʌkːɯ
பேராலயம்	peːɾ̪ɑːl̪ʌjʌm
குலம்	kɯl̪ʌm
முன்முகனை	mɯnmɯɡʌnʌɪ̯
கத்தரி	kʌt̪ːʌɾ̪i
காதம்	kɑːd̪ʌm
ஈட்டு	ʔiːʈːɯ
ஆசை	ʔɑːsʌɪ̯
பிசண்டம்	pɨsʌɳɖʌm
ஆடு	ʔɑːɖɯ
மூது	muːd̪ɯ
இறால்	ʔɨrɑːl̪
இளைப்பு	ʔɨɭʌɪ̯pːɯ
நல்வாக்கு	n̪ʌl̪ʋɑːkːɯ
பழமொழி	pʌɻʌmoɻi
மஞ்ஞை	mʌɲːʌɪ̯
அகற்சி	ʔʌɡʌrsi
சிகப்பு	sɨɡʌpːɯ
வழக்கம்	ʋʌɻʌkːʌm
பலவு	pʌl̪ʌʋɯ
வாகனம்	ʋɑːɡʌnʌm
கிளம்பு	kɨɭʌmbɯ
வலை	ʋʌl̪ʌɪ̯
கோடர்	koːɖʌɾ̪
கிளைப்பு	kɨɭʌɪ̯pːɯ
பகர்த்து	pʌɡʌɾ̪t̪ːɯ
அறை	ʔʌrʌɪ̯
மலம்	mʌl̪ʌm
மொய்ம்பு	mojmbɯ
கபுரம்	kʌbɯɾ̪ʌm
இழுக்கு	ʔɨɻɯkːɯ
கலைஞர்	kʌl̪ʌɪ̯ɲʌɾ̪
தீனிப்பை	t̪iːnɨpːʌɪ̯
மயிர்	mʌjɨɾ̪
இது	ʔɨd̪ɯ
செப்பு	sepːɯ
கல்லீரல்	kʌl̪ːiːɾ̪ʌl̪
ரஷ்யா	ɾ̪ʌʂjɑː
வன்வெள்ளி	ʋʌnʋeɭːi
கர்த்தர்	kʌɾ̪t̪ːʌɾ̪
அவ்வழி	ʔʌʋːʌɻi
முகம்	mɯɡʌm
செய்தி	sejt̪i
கடனாளி	kʌɖʌnɑːɭi
மோதிரம்	moːd̪ɨɾ̪ʌm
சீமைச்சீரகம்	siːmʌɪ̯sːiːɾ̪ʌɡʌm
பிறவிக்குணம்	pɨrʌʋɨkːɯɳʌm
கொஞ்சம்	koɲd͡ʑʌm
தோட்டிமை	t̪oːʈːɨmʌɪ̯
கரை	kʌɾ̪ʌɪ̯
வா	ʋɑː
கணு	kʌɳɯ
சுவடு	sɯʋʌɖɯ
பழச்சாறு	pʌɻʌsːɑːrɯ
மாம்பழம்	mɑːmbʌɻʌm
அலைதாடி	ʔʌl̪ʌɪ̯t̪ɑːɖi
கபோதம்	kʌboːd̪ʌm
வேளாண்மை	ʋeːɭɑːɳmʌɪ̯
இசைவு	ʔɨsʌɪ̯ʋɯ
நாளுக்கு	n̪ɑːɭɯkːɯ
விலங்கியல்	ʋɨl̪ʌŋɡɨjʌl̪
சோம்பு	soːmbɯ
வளர்ச்சி	ʋʌɭʌɾ̪sːi
தேவாலயம்	t̪eːʋɑːl̪ʌjʌm
ஹக்காசியா	hʌkːɑːsɨjɑː
காதணி	kɑːd̪ʌɳi
பிசிதாசனர்	pɨsɨd̪ɑːsʌnʌɾ̪
கரடகம்	kʌɾ̪ʌɖʌɡʌm
வில்வித்தை	ʋɨl̪ʋɨt̪ːʌɪ̯
அறுகோணம்	ʔʌrɯɡoːɳʌm
இமம்	ʔɨmʌm
இளைப்பாறுதல்	ʔɨɭʌɪ̯pːɑːrɯd̪ʌl̪
பிற்பக்கம்	pɨrpʌkːʌm
பயணம்	pʌjʌɳʌm
சிநேகிதன்	sɨn̪eːɡɨd̪ʌn
உலர்ச்சி	ʔɯl̪ʌɾ̪sːi
தட்டு	t̪ʌʈːɯ
பீர்க்கங்காய்	piːɾ̪kːʌŋɡɑːj
வழிவகை	ʋʌɻɨʋʌɡʌɪ̯
மாதிரி	mɑːd̪ɨɾ̪i
வடிவியல்	ʋʌɖɨʋɨjʌl̪
குளிப்பு	kɯɭɨpːɯ
பிசாசாடுதல்	pɨsɑːsɑːɖɯd̪ʌl̪
தர்ச்சனி	t̪ʌɾ̪sːʌni
விடு	ʋɨɖɯ
தருமம்	t̪ʌɾ̪ɯmʌm
செருமு	seɾ̪ɯmɯ
உஃப	ʔɯfa
மதியம்	mʌd̪ɨjʌm
மாணவன்	mɑːɳʌʋʌn
அறுவடை	ʔʌrɯʋʌɖʌɪ̯
மட்டு	mʌʈːɯ
குடில்	kɯɖɨl̪
திருமணம்	t̪ɨɾ̪ɯmʌɳʌm
வரலாறு	ʋʌɾ̪ʌl̪ɑːrɯ
ஒக்கல்	ʔokːʌl̪
செபக்குடம்	sebʌkːɯɖʌm
ஆள்	ʔɑːɭ
வலிப்பு	ʋʌl̪ɨpːɯ
அகப்பை	ʔʌɡʌpːʌɪ̯
தாடி	t̪ɑːɖi
தேக்கர்	t̪eːkːʌɾ̪
மற்றும்	mʌʈːɾɯm
தனியா	t̪ʌnɨjɑː
சந்தை	sʌn̪d̪ʌɪ̯
ஆன்மீகம்	ʔɑːnmiːɡʌm
சங்கம்	sʌŋɡʌm
எப்படி	ʔepːʌɖi
ஓவியம்	ʔoːʋɨjʌm
சுறா	sɯrɑː
சொல்லாட்சி	sol̪ːɑːʈsi
சுட்டாமுட்டி	sɯʈːɑːmɯʈːi
பிசுமந்தச்சூரணம்	pɨsɯmʌn̪d̪ʌsːuːɾ̪ʌɳʌm
படிப்பு	pʌɖɨpːɯ
தேவன்	t̪eːʋʌn
லதை	l̪ʌd̪ʌɪ̯
ரொஷ்டு	ɾ̪oʂʈɯ
மதம்	mʌd̪ʌm
யூதம்	juːd̪ʌm
உறுதி	ʔɯrɯd̪i
மேற்றளம்	meːʈːɾʌɭʌm
செருப்பு	seɾ̪ɯpːɯ
இலுப்பை	ilʉpːaɪ
மூன்று	muːɳɯ
இன்பம்	ʔɨnpʌm
கண்மாய்	kʌɳmɑːj
வங்காளதேசம்	ʋʌŋɡɑːɭʌd̪eːsʌm
பிசுகுதல்	pɨsɯɡɯd̪ʌl̪
தொழில்	t̪oɻɨl̪
குறுமை	kɯrɯmʌɪ̯
சேர்க்கை	seːɾ̪kːʌɪ̯
அனுபவம்	ʔʌnɯbʌʋʌm
ரேவு	ɾ̪eːʋɯ
வைப்பு	ʋʌɪ̯pːɯ
தேற்கு	t̪eːrkɯ
கட்டிடக்கலை	kʌʈːɨɖʌkːʌl̪ʌɪ̯
பஞ்சை	pʌɲd͡ʑʌɪ̯
ஊர்காவல்	ʔuːɾ̪kɑːʋʌl̪
குயவன்	kɯjʌʋʌn
பெருச்சாளி	peɾ̪ɯsːɑːɭi
தொலைக்காட்சி	t̪ol̪ʌɪ̯kːɑːʈsi
கீரை	kiːɾ̪ʌɪ̯
பெயர்புறம்	pejʌɾ̪pɯrʌm
கடல்நீர்	kʌɖʌl̪n̪iːɾ̪
அவை	ʔʌʋʌɪ̯
பக்குவம்	pʌkːɯʋʌm
மேற்கு	meːrkɯ
குளம்	kɯɭʌm
அற்பகதம்	ʔʌrpʌɡʌd̪ʌm
என்னர்	ʔenːʌɾ̪
ஊனம்	ʔuːnʌm
பேச்சுவார்த்தை	peːsːɯʋɑːɾ̪t̪ːʌɪ̯
பதிப்பகம்	pʌd̪ɨpːʌɡʌm
கேரளா	keːɾ̪ʌɭɑː
மனிதன்	mʌnɨd̪ʌn
பார்லி	pɑːɾ̪l̪i
நான்	n̪ɑːn
வாயு	ʋɑːjɯ
இக்கு	ʔɨkːɯ
துணி	t̪ɯɳi
குருத்து	kɯɾ̪ɯt̪ːɯ
விந்து	ʋɨn̪d̪ɯ
கவற்சி	kʌʋʌrsi
போதைப்பொருள்	poːd̪ʌɪ̯pːoɾ̪ɯɭ
இருளுவா	ʔɨɾ̪ɯɭɯʋɑː
ஐந்து	ʔʌɲd͡ʑɯ
செயலிழ	sejʌl̪ɨɻa
சிந்து	sɨn̪d̪ɯ
செவி	seʋi
நிவப்பு	n̪ɨʋʌpːɯ
தீமை	t̪iːmʌɪ̯
செவ்வாய்	seʋːɑːj
சாணைக்கல்	sɑːɳʌɪ̯kːʌl̪
தாவரம்	t̪ɑːʋʌɾ̪ʌm
காசு	kɑːsɯ
ஒட்டகம்	ʔoʈːʌɡʌm
பலுக்கல்	pʌl̪ɯkːʌl̪
நெருஞ்சி	n̪eɾʉɲd͡ʒɨ
வண்டி	ʋʌɳɖi
முன்னதாக	mɯnːʌd̪ɑːɡa
ஒழுக்கம்	ʔoɻɯkːʌm
இலட்சம்	ʔɨl̪ʌʈsʌm
லிஸ்பன்	l̪ɨspʌn
விடர்	ʋɨɖʌɾ̪
கனிமம்	kʌnɨmʌm
மீக்கணினி	miːkːʌɳɨni
பாஷ்கொர்டொஸ்தான்	pɑːʂkoɾ̪ʈost̪ɑːn
மாண்டல்	mɑːɳɖʌl̪
சிறகு	sɨrʌɡɯ
திறமை	t̪ɨrʌmʌɪ̯
மேலும்	meːl̪ɯm
பட்டாணி	pʌʈːɑːɳi
கூனைப்பூ	kuːnʌɪ̯pːuː
தாஸ்மானியா	t̪ɑːsmɑːnɨjɑː
வரணம்	ʋʌɾ̪ʌɳʌm
சம்பளம்	sʌmbʌɭʌm
கோணவியல்	koːɳʌʋɨjʌl̪
இலட்சுமணன்	ʔɨl̪ʌʈsɯmʌɳʌn
பிசண்டிலன்	pɨsʌɳɖɨl̪ʌn
அழி	ʔʌɻi
கரண்டி	kʌɾ̪ʌɳɖi
கருவீரல்	kʌɾ̪ɯʋiːɾ̪ʌl̪
பிகு	pɨɡɯ
தறி	t̪ʌri
அகரம்	ʔʌɡʌɾ̪ʌm
சேவல்	seːʋʌl̪
ஒன்பது	ʷombʌd̪ɯ
ஐம்பொன்	ʔʌɪ̯mbon
அழிவாய்	ʔʌɻɨʋɑːj
கிடை	kɨɖʌɪ̯
வாழ்ச்சி	ʋɑːɻsːi
அயர்ச்சி	ʔʌjʌɾ̪sːi
புளி	pɯɭi
ரசம்	ɾ̪ʌsʌm
சுவாசம்	sɯʋɑːsʌm
நாத்திகம்	n̪ɑːt̪ːɨɡʌm
மலை	mʌl̪ʌɪ̯
உள்ளுறை	ʔɯɭːɯrʌɪ̯
ஞாயிறு	ɲɑːjɨrɯ
குணம்	kɯɳʌm
காண்டு	kɑːɳɖɯ
கருமையான	kʌɾ̪ɯmʌɪ̯jɑːna
மாந்தர்	mɑːn̪d̪ʌɾ̪
குழிவு	kɯɻɨʋɯ
மாநாடு	mɑːn̪ɑːɖɯ
மார்	mɑːɾ̪
பார்	pɑːɾ̪
முன்னொட்டு	mɯnːoʈːɯ
மயல்	mʌjʌl̪
ஏரணம்	ʔeːɾ̪ʌɳʌm
ஊடுகதிர்	ʔuːɖɯɡʌd̪ɨɾ̪
வலுமை	ʋʌl̪ɯmʌɪ̯
இராசகுமாரி	ʔɨɾ̪ɑːsʌɡɯmɑːɾ̪i
சாதம்	sɑːd̪ʌm
ஆணை	ʔɑːɳʌɪ̯
ஒப்பம்	ʔopːʌm
அத்தனை	ʔʌt̪ːʌnʌɪ̯
தினந்தோறும்	t̪ɨnʌn̪d̪oːrɯm
முதலை	mɯd̪ʌl̪ʌɪ̯
வலம்	ʋʌl̪ʌm
அழிபு	ʔʌɻɨbɯ
செவியன்	seʋɨjʌn
மேற்கூரை	meːrkuːɾ̪ʌɪ̯
பிறந்தை	pɨrʌn̪d̪ʌɪ̯
குமாரன்	kɯmɑːɾ̪ʌn
புலமை	pɯl̪ʌmʌɪ̯
திருவாத்தி	t̪iɾʉʋaːt̪ːɨ
மொழியியல்	moɻɨjɨjʌl̪
பிசாத்து	pɨsɑːt̪ːɯ
கிழவு	kɨɻʌʋɯ
மாசம்	mɑːsʌm
சருமம்	sʌɾ̪ɯmʌm
வையை	ʋʌɪ̯jʌɪ̯
பிசகுதல்	pɨsʌɡɯd̪ʌl̪
மழை	mʌɻʌɪ̯
மனிதவளம்	mʌnɨd̪ʌʋʌɭʌm
நில்	n̪ɨl̪
கோபம்	koːbʌm
பிசாசடித்தல்	pɨsɑːsʌɖɨt̪ːʌl̪
தற்சனி	t̪ʌrsʌni
கதவு	kʌd̪ʌʋɯ
அறிவாய்வியல்	ʔʌrɨʋɑːjʋɨjʌl̪
சச்சம்	sʌsːʌm
கண்ணன்	kʌɳːʌn
நிகழ்வு	n̪ɨɡʌɻʋɯ
நீலக்கல்	n̪iːl̪ʌkːʌl̪
ஆய்	ʔɑːj
பாசை	pɑːsʌɪ̯
குருதி	kɯɾ̪ɯd̪i
மதிராஸ்	mʌd̪ɨɾ̪ɑːs
பண்டிகை	pʌɳɖɨɡʌɪ̯
ஸ்வரம்	sʋʌɾ̪ʌm
கத்தரிக்காய்	kʌt̪ːʌɾ̪ɨkːɑːj
ரும்மான்	ɾ̪ɯmːɑːn
மருந்து	mʌɾ̪ɯn̪d̪ɯ
படகு	pʌɖʌɡɯ
ஶல்யம்	ɕʌl̪jʌm
முன்னுற	mɯnːɯra
மேம்பாடு	meːmbɑːɖɯ
அவ்வோன்	ʔʌʋːoːn
சம்புநாவல்	sʌmbɯn̪ɑːʋʌl̪
தும்மல்	t̪ɯmːʌl̪
கனமழை	kʌnʌmʌɻʌɪ̯
குளிர்ப்பு	kɯɭɨɾ̪pːɯ
கறவை	kʌrʌʋʌɪ̯
பண்டாரவாய்க்கால்	pʌɳɖɑːɾ̪ʌʋɑːjkːɑːl̪
ஏராளம்	ʔeːɾ̪ɑːɭʌm
பயிற்சி	pʌjɨrsi
புட்பம்	pɯʈpʌm
நகர்	n̪ʌɡʌɾ̪
இலவசம்	ʔɨl̪ʌʋʌsʌm
புஸ்தகம்	pɯst̪ʌɡʌm
ஜீவவிருட்சம்	d͡ʑiːʋʌʋɨɾ̪ɯʈsʌm
தெகுரான்	t̪eɡɯɾ̪ɑːn
சட்டமன்றம்	sʌʈːʌmʌnrʌm
சிதமை	sɨd̪ʌmʌɪ̯
குன்று	kɯnrɯ
பெயர்த்திரிசொல்	pejʌɾ̪t̪ːɨɾ̪ɨsol̪
அமையம்	ʔʌmʌɪ̯jʌm
தொழுவன்	t̪oɻɯʋʌn
இழுது	ʔɨɻɯd̪ɯ
உருளைக்கிழங்கு	ʔɯɾ̪ɯɭʌɪ̯kːɨɻʌŋɡɯ
படிப்பறிவு	pʌɖɨpːʌrɨʋɯ
சதகுப்பை	sadəɣʉpːaɪ
கடிகாரம்	kʌɖɨɡɑːɾ̪ʌm
உறுதிபூசுதல்	ʔɯrɯd̪ɨbuːsɯd̪ʌl̪
மந்திரகூர்மை	mʌn̪d̪ɨɾ̪ʌɡuːɾ̪mʌɪ̯
மலர்ச்சி	mʌl̪ʌɾ̪sːi
