ajornor	ad͡ʒornɔr
blazono	blazono
mencionoti	ment͡si̯onoti
klauno	klau̯no
kondutar	kondutar
bandajizoto	bandaʒizoto
kompatinda	kompatinda
skribinto	skribinto
rezuminta	rezuminta
bandajizita	bandaʒizita
aparar	aparar
kleriko	kleriko
dorso	dorso
kunlaboronta	kunlaboronta
championo	t͡ʃampjono
optimisti	optimisti
helpinti	helpinti
ofensite	ofensite
memorato	memorato
servar	servar
glitveturo	ɡlitveturo
flatuema	flatuema
naturale	naturale
siejar	sjɛʒar
dementerio	dementerio
pektoro	pektoro
raspas	raspas
helpata	helpata
tenebroza	tenebroza
evaluate	evaluate
idoli	idoli
chasar	t͡ʃasaɾ
h	h
an	an
equilibranti	ekvilibranti
konsiderar	konsiderar
recepcionor	ret͡sept͡si̯onɔr
eroro	ɛɾɔɾɔ
adoptite	adoptite
chanjir	t͡ʃanʒir
autuno	au̯tuno
insultate	insultate
jentila	d͡ʒentila
ajornir	aʒornir
uzar	uzar
imaginiti	imaɡiniti
aquovortico	akvovortit͡so
enlanjigar	enlanʒiɡar
lando	lando
prezidar	prezidar
mencionate	ment͡si̯onate
sorgos	sorɡɔs
acensar	at͡sensar
projetote	proʒetote
habila	habila
mencionis	ment͡si̯onis
imaginar	imaɡinar
ge	ɡe
traduki	traduki
perturbanti	perturbanti
koquonto	kokvonto
judiki	ʒudiki
jamaika	d͡ʒamaika
trahizanto	trahizanto
altaji	altaʒi
metar	metar
solvar	solvar
ce	t͡se
tormentate	tormentate
deciditi	det͡siditi
apelos	apelɔs
desorganizos	desorɡanizɔs
adoptus	adoptus
eklezio	eklezio
sitelo	sitelo
kandio	kandi̯o
paro	paro
enkorpiginti	enkorpiɡinti
arogema	aroɡema
bideti	bideti
traktar	traktar
muzikar	muzikar
partikulo	partikulo
projetus	proʒetus
nova	nɔva
prosternor	prosternɔr
inversigo	inversiɡo
kontite	kontite
bakar	bakar
lamentanti	lamentanti
disciplinez	dist͡siplinɛz
densa	densa
laxa	laksa
kontiti	kontiti
laxigos	laksiɡɔs
judikonto	d͡ʒudikonto
matro	matro
kardinala	kardinala
predicante	predit͡sante
interviuvo	intervjuvo
monstro	monstro
mencioninta	ment͡si̯oninta
flajoleti	flad͡ʒoleti
reputeso	reputeso
litiganta	litiɡanta
frajila	frad͡ʒila
ja	ʒa
koquate	kokwate
prurito	pɾuɾitɔ
koquinti	kokwinti
trista	trista
gravitanto	ɡravitanto
ligar	liɡar
sisite	sisite
krimini	krimini
kompreneble	kompreneble
organo	orɡano
koluzionar	koluzi̯onar
ventas	ventas
koquar	kokvar
paroki	paroki
vabo	vabo
augmentar	au̯ɡmentar
botanizite	botanizite
memorata	memorata
koquite	kokwite
memoror	memorɔr
aranjis	arand͡ʒis
tropiko	tropiko
cesar	t͡sesar
komitati	komitati
koquinte	kokwinte
mencionez	ment͡si̯onɛs
haro	haro
boliez	boli̯ɛz
pastinako	pastinako
aerostati	aerostati
citar	t͡sitar
punto	punto
exasperiti	eksasperiti
striizas	striizas
evolucionus	evolut͡si̯onus
terminaro	terminaro
exasperinta	eɡzasperinta
dupo	dupo
koquote	kokwote
tegar	teɡar
festinanto	festinanto
poltrona	poltrona
sed	sed
stufonta	stufonta
likonto	likonto
sajesi	sad͡ʒesi
mencionanto	ment͡si̯onanto
vito	vito
enkorpiganta	enkorpiɡanta
temerara	temerara
enkorpigas	enkorpiɡas
gorilo	ɡorilo
guidis	ɡvidis
vadas	vadas
piro	piro
plucherigar	plut͡ʃeriɡar
parei	parei
nukleoli	nukleoli
bubo	bubo
festinor	festinɔr
fotografonta	fotoɡrafonta
koquito	kokwito
gardeno	ɡardɛnɔ
judiko	ʒudiko
homo	homo
likinte	likinte
moyeno	mojeno
sofismo	sofismo
abandonata	abandonata
atentinta	atentinta
memoroti	memoroti
swichar	swit͡ʃar
regeneranti	reɡeneranti
arjento	ard͡ʒento
dusenceso	dusent͡seso
terciara	tert͡si̯ara
projetanti	proʒetanti
ajornis	ad͡ʒornis
likas	likas
neutra	neu̯tra
hodie	hodie
argumenti	arɡumenti
sinonimi	sinonimi
kriar	kriar
adjuntar	adʒuntar
mortar	mɔrtar
fabrikerio	fabrikerio
tarto	tarto
abatonto	abatonto
mandolino	mandolino
stoterar	stoterar
anticipinti	antit͡sipinti
busto	busto
glaciera	ɡlat͡si̯era
autori	au̯tori
gratez	ɡratɛz
spiki	spiki
mardio	mardi̯o
mikroskopo	mikroskopo
dronar	dronar
imaginota	imaɡinota
aranjus	arand͡ʒus
ibe	ibɛ
atingor	atinɡɔr
saturite	saturite
gravitos	ɡravitɔs
abase	abase
lano	lano
polemikar	polemikar
adoroti	adoroti
akuzus	akuzus
sur	sur
equilibronti	ekvilibronti
judikonti	d͡ʒudikonti
tormentos	tormentɔs
linguo	linɡu̯o
plufermigar	plufɛrmiɡar
skribati	skribati
chanjati	t͡ʃand͡ʒati
akompanote	akompanote
raspez	raspɛs
hakilo	hakilo
simio	simio
vivozigar	vivoziɡar
kreuri	kreu̯ri
litigonto	litiɡonto
komti	komti
mikrobo	mikrobo
leopardo	leopardo
explikor	eksplikɔr
obskura	obskura
regresas	reɡresas
elektar	elektar
lamentonta	lamentonta
piktus	piktus
cirkumklozar	t͡sirkumklozar
ceramikala	t͡seramikala
sisor	sisɔr
ube	ube
legifar	leɡifar
fontenoplumi	fontenoplumi
plumiero	plumi̯ero
helpanta	helpanta
minuto	minuto
pensos	pensɔs
exasperito	eɡzasperito
absolute	absolute
fortigonta	fortiɡonta
jetato	ʒetato
savurar	savurar
ozono	ozono
floso	floso
agnoskinte	aɡnoskinte
skikuranti	skikuranti
sana	sana
biliardo	bili̯ardo
desorganizito	desorɡanizito
stufote	stufote
prezidinta	prezidinta
ekirar	ekirar
dozo	dozo
rezumonte	rezumonte
promenar	promenar
oficiez	ofit͡si̯ɛs
tablo	tablo
adminime	adminime
decidanta	det͡sidanta
bolior	boli̯ɔr
burjono	burʒono
agrafo	aɡrafo
arbusto	arbusto
algebrala	alɡebrala
judikiti	ʒudikiti
vorticar	vortit͡sar
fortigez	fortiɡɛs
re	re
juntas	ʒuntas
avalancho	avalant͡ʃɔ
laxigar	laɡziɡar
jacanta	ʒat͡santa
rezumate	rezumate
plufreshigar	plufreʃiɡar
koquiti	kokwiti
operi	operi
projetonte	prod͡ʒetonte
equilibrote	eku̯ilibrote
agnoskato	aɡnoskato
kilogramo	kiloɡramo
polemikos	polemikɔs
celar	t͡selar
aranjar	aranʒar
rezumota	rezumota
decidante	det͡sidante
avalanchar	avalant͡ʃaɾ
arjentinia	arʒentinia
religio	reliɡi̯o
laudar	lau̯dar
skrubturnilo	skrubturnilo
pioniri	pi̯oniri
neuroni	neu̯roni
intencar	intent͡sar
tentata	tentata
litigite	litiɡite
pazo	pazo
trahizos	trahizɔs
frontieri	fronti̯eri
kaptar	kaptar
duriti	duriti
inflamuro	inflamuro
apertata	apertata
ocitar	ɔt͡sitaɾ
projetonto	proʒetonto
tondro	tɔndro
frapis	frapis
organizi	orɡanizi
turnor	turnɔr
altru	altru
transformar	transformar
aparor	aparɔr
pasinto	pasinto
klukar	klukar
dormez	dormɛz
kirko	kirko
aranjez	aranʒɛz
onklini	onklini
vorto	vɔrto
obtuza	obtuza
adorinta	adorinta
donaji	donaʒi
proletario	proletario
preter	pretɛr
vejetarar	ved͡ʒetarar
civila	t͡sivila
indiferenta	indiferenta
kantante	kantante
burjonifar	burʒonifar
junipero	ʒunipero
europana	eu̯ropana
pludensigar	pludɛnsiɡar
interviuvo	intɛɾvjuvɔ
frukto	frukto
projetor	prod͡ʒetɔr
sabla	sabla
brakiumo	brakjumo
kortico	kɔɾtit͡sɔ
sorgato	sorɡato
adoptinta	adoptinta
pludolcigar	pludɔlt͡siɡar
organizota	orɡanizota
kartochuyo	kartot͡ʃujo
organizoti	orɡanizoti
akompanito	akompanito
saturonte	saturonte
valo	valo
exasperiti	eɡzasperiti
armoro	armoro
akuzonte	akuzonte
glacar	ɡlat͡sar
adjektivi	adʒektivi
certa	t͡serta
abatoto	abatoto
silenco	silɛnt͡so
projetanto	prod͡ʒetanto
saturez	saturɛs
sorgati	sorɡati
sidilo	sidilo
jorneskar	d͡ʒorneskar
decidoti	det͡sidoti
cirkumklozez	t͡sirkumklozɛz
kafeo	kafeo
anagramo	anaɡramo
kancelereyo	kant͡selerejo
audacez	au̯dat͡sɛs
staco	stat͡so
adoptinti	adoptinti
adoronti	adoronti
stufinta	stufinta
situeso	situeso
milimetro	milimetro
secioni	set͡si̯oni
mielkuko	mi̯ɛlkuko
mezepokala	mezepokala
kasiso	kasiso
prezidonte	prezidonte
nutro	nutro
depose	depose
desorganizonta	desorɡanizonta
tero	tero
cirkondar	t͡sirkondar
episkopo	episkopo
varo	varo
autuno	au̯tunɔ
filtrata	filtrata
tuerta	tuerta
hidrogeno	hidroɡeno
fiancito	fiant͡sitɔ
partikulara	partikulara
kalva	kalva
mashino	maʃino
onu	onu
abatanta	abatanta
abatota	abatota
buletino	buletino
prejudiki	pred͡ʒudiki
ocio	ot͡si̯o
semano	semano
kombatala	kombatala
morfemo	morfemo
abundegar	abundeɡar
tentante	tentante
mikologio	mikoloɡi̯o
disciplinas	dist͡siplinas
chanjonti	t͡ʃand͡ʒonti
defensar	dɛfɛnsaɾ
aranjir	arand͡ʒir
citinta	t͡sitinta
stonagar	stonaɡar
on	ɔn
irez	irɛs
exasperoti	eksasperoti
cirkumklozez	t͡sirkumklozɛs
abasar	abasar
y	j
agitar	aɡitar
exasperata	eksasperata
iranto	iranto
dementa	dementa
bakata	bakata
enemiko	enemiko
decidota	det͡sidota
distingo	distinɡo
donar	donar
questiono	ku̯esti̯ono
querar	kwerar
guidos	ɡu̯idɔs
banko	banko
hezito	hezito
iror	irɔr
punto	puntɔ
charmonto	t͡ʃarmonto
ica	itsa
biomekaniko	biomekaniko
depozoto	depozoto
repudius	repudi̯us
logikala	loɡikala
kantos	kantɔs
memorati	memorati
atingar	atinɡar
re	ɾɛ
frapinte	frapinte
rurano	rurano
zinko	zinko
mizerikordio	mizerikordijo
altagrade	altaɡrade
domi	domi
shamigita	ʃamiɡita
proletarii	proletarii
promulgus	promulɡus
vicio	vit͡si̯o
domajo	domad͡ʒo
vomar	vomar
abandononto	abandononto
glatiganti	ɡlatiɡanti
gravitante	ɡravitante
sisinte	sisinte
dentifrico	dentifrit͡so
filtrita	filtrita
koquis	kokvis
kontinte	kontinte
noktomezi	noktomezi
raspata	raspata
insertez	insertɛz
abandonez	abandonɛz
kunlaboris	kunlaboris
fonteno	fonteno
griza	ɡriza
revolucionema	revolut͡sjonema
falo	falo
bandajiziti	bandad͡ʒiziti
planajo	planaʒo
huo	huo
saturinti	saturinti
equilibranti	eku̯ilibranti
funerala	funerala
insertez	insertɛs
citito	t͡sitito
racionala	rat͡si̯onala
adicionus	adit͡si̯onus
geno	ɡeno
gento	ɡɛnto
pacoza	pat͡soza
bandajizonte	bandad͡ʒizonte
equilibronto	ekvilibronto
amasigar	amasiɡar
erste	ɛɾste
trezoro	trezoro
fotografir	fotoɡrafir
autarkeso	au̯tarkeso
espelar	espelar
konto	konto
abundar	abundar
nedecidema	nedet͡sidema
tentiti	tentiti
progreso	proɡreso
damnez	damnɛz
lansar	lansar
boliigor	boliiɡɔr
organizar	orɡanizar
ajila	aʒila
apelonte	apelonte
exajeranto	eksaʒeranto
ovo	ovo
dinosauro	dinosawro
januaro	d͡ʒanuaro
oficiinte	ofit͡siinte
trahizate	trahizate
decidis	det͡sidis
frapor	frapɔr
sisato	sisato
gratez	ɡratɛs
frapate	frapate
es	ɛs
vadinti	vadinti
arakido	arakido
mentonumo	mɛntonumo
jetinto	d͡ʒetinto
rivo	rivo
borato	borato
anticiponti	antit͡siponti
ventus	ventus
ajornos	ad͡ʒornɔs
kontate	kontate
festinonto	festinonto
stifa	stifa
imaginato	imaɡinato
adorante	adorante
brular	brular
sparesar	sparesar
portuo	portwo
akompaninta	akompaninta
audacez	au̯dat͡sɛz
zefiro	zefiro
tiranatra	tiranatra
la	la
laxigos	laɡziɡɔs
spontaneso	spontaneso
kupo	kupo
koquos	kokvɔs
polvo	polvo
sikeskar	sikeskar
desorganizinti	desorɡanizinti
citoto	t͡sitoto
armeo	armeo
gravitinte	ɡravitinte
kunlabori	kunlabori
ironta	ironta
odiato	odi̯ato
ol	ol
oficiante	ofit͡si̯ante
favorita	favorita
praktiko	praktiko
fortigas	fortiɡas
disipar	disipar
mondumala	mondumala
litiganto	litiɡanto
augmentir	au̯ɡmentir
posto	posto
imaginite	imaɡinite
disciplinis	dist͡siplinis
adulto	adulto
kordono	kordono
glatigar	ɡlatiɡar
demonstranto	demonstranto
stufinti	stufinti
ironto	ironto
fortigonto	fortiɡonto
praktikar	praktikar
koquonte	kokwonte
quartermastro	kvartermastro
jacar	ʒat͡sar
persiko	persiko
okaziono	okazi̯ono
supernatura	supernatura
parapluvo	parapluvo
adoptonta	adoptonta
sorganto	sorɡanto
stativo	stativo
plajo	plaʒo
spanieleti	spani̯eleti
projetonti	prod͡ʒetonti
afliktar	afliktar
recepcionar	ret͡sept͡si̯onar
fondesar	fondesar
trahizinte	trahizinte
nomar	nɔmaɾ
apud	apud
aquiros	akwirɔs
projetata	prod͡ʒetata
exterajo	eksteraʒo
turnez	turnɛs
helpas	helpas
agonti	aɡonti
joyanta	d͡ʒojanta
iracar	irat͡sar
julio	ʒuli̯o
salono	salono
equilibrante	eku̯ilibrante
prezidinto	prezidinto
esinte	esinte
ganas	ɡanas
erorez	erorɛz
botaniziti	botaniziti
posdimezo	posdimezo
votos	votɔs
bonbono	bɔnbono
glezar	ɡlezar
fristo	fristo
amperi	amperi
mencionar	ment͡si̯onar
we	we
raspante	raspante
sanesar	sanesar
seciono	set͡siono
projetus	prod͡ʒetus
invadas	invadas
decidus	det͡sidus
diligenta	diliɡenta
glaciero	ɡlat͡si̯ero
genitivi	ɡenitivi
ocitar	ot͡sitar
stufajo	stufad͡ʒo
bersilo	bersilo
skikurez	skikurɛs
hano	hano
eternigar	eterniɡar
figuri	fiɡuri
desorganizez	desorɡanizɛz
flarar	flarar
livar	livar
objecionar	ɔbʒɛt͡sjɔnaɾ
turnar	turnar
frambo	frambo
akompanite	akompanite
adorito	adorito
materio	materio
rizomo	rizomo
kaverno	kaverno
cervo	t͡servo
lanco	lant͡so
dorsosako	dɔrsosako
derivaji	derivaʒi
enkorpigite	enkorpiɡite
obstakli	obstakli
nematodo	nematodo
kunlaborar	kunlabɔɾaɾ
akuzote	akuzote
dupigar	dupiɡar
alumeto	alumeto
promulgez	promulɡɛs
nordo	nordo
domeno	domeno
exasperir	eɡzasperir
insultoti	insultoti
akuzito	akuzito
adiante	adi̯ante
aeroliti	aeroliti
adorez	adorɛz
gravitas	ɡravitas
gravitonto	ɡravitonto
laxigis	laksiɡis
abatis	abatis
uno	uno
alterar	alterar
aceptor	at͡septɔr
demonstrato	demonstrato
floko	floko
lauta	lau̯ta
rinsar	rinsar
revoluciono	revolut͡sjono
guidis	ɡu̯idis
yarmili	jarmili
anguli	anɡuli
bandajizanta	bandaʒizanta
fingro	finɡro
junio	d͡ʒuni̯o
petrolo	petrolo
kamaradi	kamaradi
chanjis	t͡ʃanʒis
insultinta	insultinta
hachar	hat͡ʃar
nokti	nokti
explikas	eksplikas
adorez	adorɛs
cirkumskribir	t͡sirkumskribir
kelo	kelo
favorir	favorir
verketo	verketo
mestieristo	mestjeristo
buchar	but͡ʃar
filtranta	filtranta
neorganika	neorɡanika
atinganto	atinɡanto
tabulo	tabulo
exekutar	eksekutar
urbo	urbo
invadis	invadis
lore	lɔɾɛ
plura	plura
apertato	apertato
trahizante	trahizante
l	l
h	he
kantoti	kantoti
koquez	kokvɛs
agulo	aɡulo
ye	je
imagininta	imaɡininta
programo	proɡramo
vortico	vortit͡so
kamarado	kamarado
metas	metas
berenjeno	berenʒeno
dolca	dɔlt͡sa
admisar	admisar
promulgis	promulɡis
ajornir	ad͡ʒornir
inter	inter
akompanoto	akompanoto
vespereskonta	vespereskonta
akupunturo	akupunturɔ
laxigus	laɡziɡus
bakato	bakato
sisote	sisote
pensinti	pensinti
minaco	minat͡so
anticipis	antit͡sipis
oreli	oreli
projetanta	prod͡ʒetanta
helponte	helponte
kontoto	kontoto
teorio	teori̯o
amo	amo
kulturlinguo	kulturlinɡuwo
adoptinte	adoptinte
motivo	motivo
joko	ʒoko
cent	t͡sɛnt
aceptinti	at͡septinti
insertar	insertar
k	k
adicionos	adit͡si̯onɔs
bandajizante	bandad͡ʒizante
loko	loko
volfi	volfi
regresez	reɡresɛz
taso	taso
frapito	frapito
projetinto	proʒetinto
sonjo	sonʒo
projetante	proʒetante
rezumus	rezumus
raspinte	raspinte
temo	temo
aplikis	aplikis
p	pe
nikotino	nikotino
amoriti	amoriti
turmo	tuɾmɔ
kantite	kantite
miraklatra	miraklatra
stelaro	stelaro
insultote	insultote
disciplininti	dist͡siplininti
damnas	damnas
joyoza	d͡ʒojoza
jamaika	ʒamaika
cimbalo	t͡simbalo
kontar	kontar
loncho	lont͡ʃo
forjar	forʒar
deskovresar	deskovresar
neglijar	neɡlid͡ʒar
rafto	ɾaftɔ
uniono	uniono
aeroplano	aeroplano
portugal	portuɡal
mineralogio	mineraloɡi̯o
incendiati	int͡sendi̯ati
mondolinguala	mondolinɡuala
apelas	apelas
projetez	prod͡ʒetɛs
depozanto	depozanto
bramar	bramar
prezidinti	prezidinti
tirante	tirante
instruktar	instruktar
samlandano	samlandano
kontata	kontata
tentar	tentar
orkestro	orkestro
armo	armo
kantanta	kantanta
glaso	ɡlaso
favorinte	favorinte
babili	babili
ajustar	ad͡ʒustar
irga	irɡa
jornomezi	d͡ʒornomezi
adoptonte	adoptonte
fusilo	fusilɔ
opero	opero
te	te
bastono	bastono
alfabeti	alfabeti
frapus	frapus
formiko	formiko
lamentinto	lamentinto
avana	avana
permisas	permisas
eroro	eroro
organizinta	orɡanizinta
nukleala	nukleala
u	u
skribota	skribota
equilibrir	eku̯ilibrir
vespereskonte	vespereskonte
adoptor	adoptɔr
botanizinti	botanizinti
uzabez	uzabɛs
preterirar	preterirar
terpomo	terpomo
konsequar	konsekvar
lageti	laɡeti
organizonti	orɡanizonti
sudoro	sudoro
koquos	koku̯ɔs
imaginez	imaɡinɛz
adoptonto	adoptonto
ke	kɛ
atentota	atentota
gravitinti	ɡravitinti
quartermastro	ku̯artermastro
tensar	tensar
skarabeo	skarabeo
skikuronta	skikuronta
inflameso	inflameso
abatote	abatote
tuni	tuni
stroko	stroko
ke	ke
kara	kara
vespereskar	vespereskar
drinkerio	drinkerio
espo	ɛspo
peskar	pɛskar
projetonta	prod͡ʒetonta
literaturo	literaturo
greletar	ɡreletar
metalo	metalo
subtera	subtera
citrono	t͡sitrono
subtila	subtila
botanizota	botanizota
expektar	ekspektar
chanjir	t͡ʃand͡ʒir
trahizus	trahizus
intermixi	intermiksi
balbutar	balbutar
tentonte	tentonte
axi	aksi
favorota	favorota
solvuro	solvuro
sisiti	sisiti
ed	ɛd
prizar	prizar
esonte	esonte
elua	elwa
dezinenco	dezinɛnco
tentito	tentito
koliar	koljar
necesajo	net͡sesaʒo
banano	banano
kontez	kontɛz
bone	bone
imaginis	imaɡinis
gnomo	ɡnomo
predicato	predit͡sato
filtrinte	filtrinte
favorati	favorati
charmanti	t͡ʃarmanti
insultito	insultito
desaranjar	desarand͡ʒar
korespondo	korespondo
jorno	ʒorno
imaginonti	imaɡinonti
vetero	vetero
frumento	frumento
pavonumar	pavɔnumar
acendilo	at͡sendilo
axoloto	aɡzoloto
avo	avo
glata	ɡlata
vicero	vit͡sero
ofensinte	ofensinte
vespereskinto	vespereskinto
brodis	brodis
teplico	tɛplit͡so
krusto	krusto
votez	votɛz
jupo	d͡ʒupo
spiritalismo	spiritalismo
raptar	raptar
turnis	turnis
rano	rano
babilachabez	babilat͡ʃabɛs
simio	simjo
erektar	erektar
adoptinto	adoptinto
adoptote	adoptote
spano	spano
helpinto	helpinto
ofensor	ofensɔr
iranti	iranti
engajar	enɡad͡ʒar
lamentis	lamentis
abono	abono
brakio	brakio
truo	truo
organizanta	orɡanizanta
lua	lua
sajeso	sad͡ʒeso
vicina	vit͡sina
cherpar	t͡ʃerpar
grenado	ɡrenado
brodus	brodus
granizus	ɡranizus
chambro	t͡ʃambro
oficias	ofit͡si̯as
sorgita	sorɡita
abandonis	abandonis
bretelo	bretelo
abreviar	abrevi̯ar
memorita	memorita
we	wɛ
exasperata	eɡzasperata
fotografata	fotoɡrafata
prezidis	prezidis
eroror	erorɔr
filtrinti	filtrinti
abatite	abatite
tendo	tendo
nepotismo	nepotismo
jenjivo	ʒenʒivo
kontredicar	kontredit͡sar
acioniero	at͡sjonjeɾo
piktez	piktɛs
almonar	almonar
mentio	menti̯o
axi	aɡzi
guidos	ɡvidɔs
juntita	ʒuntita
projetir	proʒetir
shikano	ʃikano
surfacala	surfat͡sala
fumar	fumar
envolvas	envolvas
filtronti	filtronti
materio	matɛɾiɔ
laudos	lau̯dɔs
animor	animɔr
kontanta	kontanta
miraklo	miraklo
fotografinta	fotoɡrafinta
domo	domo
streta	streta
kolonii	kolonii
sauco	sau̯t͡so
memoranti	memoranti
citos	t͡sitɔs
mesajo	mesad͡ʒo
lakto	lakto
pe	pɛ
plafono	plafɔnɔ
praktikas	praktikas
sekar	sekar
ventez	ventɛs
decidinta	det͡sidinta
permisos	permisɔs
regresos	reɡresɔs
skribote	skribote
pozar	pozar
tisui	tisui
koquero	kokwero
fortigata	fortiɡata
sondar	sɔndar
citis	t͡sitis
aginti	aɡinti
imaginanto	imaɡinanto
pensati	pensati
sublimati	sublimati
desklozez	desklozɛz
elua	elua
domeni	domeni
naciono	nat͡siono
kandeliero	kandeli̯ero
slovakia	slovaki̯a
joyala	d͡ʒojala
formacar	fɔrmat͡sar
organizor	orɡanizɔr
abatito	abatito
spumifor	spumifɔr
centro	t͡sentro
defensante	defensante
maristo	maristo
desfaciligar	desfat͡siliɡar
disimulez	disimulɛz
atinginta	atinɡinta
festinus	festinus
uzi	uzi
totmonda	totmonda
samlandani	samlandani
brechizonti	bret͡ʃizonti
naciono	nat͡sjono
cirkumiranti	t͡sirkumiranti
koquante	kokwante
regenerata	reɡenerata
orkestro	ɔrkɛstrɔ
vespereskor	vespereskɔr
adicionez	adit͡si̯onɛz
recevar	ret͡sevar
tentir	tentir
skribus	skribus
tentos	tentɔs
chanjor	t͡ʃand͡ʒɔr
aceptote	at͡septote
flajoleto	flad͡ʒoleto
anticipata	antit͡sipata
fortigos	fortiɡɔs
sako	sako
filtrate	filtrate
desorganizanti	desorɡanizanti
ridetar	ridɛtaɾ
iracez	irat͡sɛz
enkorpigonta	enkorpiɡonta
artisto	artisto
maro	maro
filozofio	filozofjo
civito	t͡sivito
manjajo	mand͡ʒad͡ʒo
bandajo	bandaʒo
po	po
decidas	det͡sidas
sidar	sidaɾ
libro	libro
paviliono	paviliono
kapitalo	kapitalo
judikoti	ʒudikoti
bandajizanta	bandad͡ʒizanta
augurar	au̯ɡurar
saturote	saturote
frapas	frapas
blöf	bløf
kuliero	kuli̯ero
vespereskinti	vespereskinti
ondo	ondo
ge	ɡɛ
balnar	balnar
exasperita	eɡzasperita
favoroto	favoroto
fe	fe
sublimar	sublimar
romanala	romanala
aktuala	aktuala
spozo	spozo
dicir	dit͡sir
senco	sent͡so
standar	standar
chanjoti	t͡ʃanʒoti
kamiono	kamiono
desorganizinte	desorɡanizinte
litigas	litiɡas
sublimez	sublimɛs
extingar	ekstinɡar
experimento	eksperimento
ventro	ventro
manipulo	manipulo
babiladar	babiladar
abatajaro	abataʒarɔ
anjeli	and͡ʒeli
rezumez	rezumɛz
bergamoto	berɡamoto
kabano	kabano
que	kwe
damnar	damnar
sovaja	sovaʒa
venerdio	venerdio
favoranta	favoranta
repteri	repteri
desorganizoto	desorɡanizoto
equilibrite	ekvilibrite
vitro	vitro
akompananto	akompananto
abrejar	abred͡ʒar
ulular	ulular
auskultar	au̯skultar
futbalo	futbalɔ
plezar	plezar
julio	d͡ʒuli̯o
alejos	aleʒɔs
insultonti	insultonti
strando	strando
membrano	membrano
permisez	permisɛs
sisonti	sisonti
tribuo	tribuwo
equilibrinta	ekvilibrinta
signi	siɡni
insultez	insultɛs
pruritar	pruritar
exasperante	eɡzasperante
religiala	reliɡiala
pendar	pendar
faliar	fali̯ar
aplikus	aplikus
karikaturo	karikaturo
abatas	abatas
yarmilo	jarmilo
lejera	leʒera
oficionti	ofit͡si̯onti
nuanco	nuant͡so
helpinta	helpinta
likote	likote
aquo	akwo
spanieli	spani̯eli
saturir	saturir
omnibuso	omnibuso
detale	detale
selektar	selektar
max	maks
nemediata	nemedi̯ata
kam	kam
debato	debato
sekundara	sekundara
pistolo	pistolo
incendiata	int͡sendi̯ata
bakinti	bakinti
litigor	litiɡɔr
chaso	t͡ʃasɔ
skultar	skultar
separar	separar
likati	likati
perturbor	perturbɔr
foliaro	foli̯aro
papavero	papavero
dicus	dit͡sus
substanci	substant͡si
sinonimo	sinonimo
lipogramo	lipoɡramo
musho	muʃo
taxio	taɡzi̯o
dieto	di̯eto
adoptita	adoptita
organizez	orɡanizɛz
populo	populo
kolokez	kolokɛs
likoto	likoto
mencioninto	ment͡si̯oninto
absinto	absinto
aparez	aparɛz
ventez	ventɛz
enkorpigar	enkorpiɡar
nicho	nit͡ʃo
aquiros	akvirɔs
sanigas	saniɡas
juar	ʒuar
fasado	fasado
amebo	amebo
forta	forta
saturdio	saturdi̯o
artificale	artifit͡sale
bandajizonto	bandad͡ʒizonto
baseno	baseno
dinosaurio	dinosawrio
altajo	altad͡ʒo
likor	likɔr
caro	t͡saro
dinamito	dinamito
striizos	striizɔs
fotografito	fotoɡrafito
exasperus	eksasperus
siejo	sjɛʒɔ
lego	leɡo
milio	miljo
docar	dɔt͡saɾ
fabriko	fabriko
restauranto	restau̯ranto
parenta	parenta
bandajizez	bandad͡ʒizɛs
beligar	beliɡar
konsakrar	konsakrar
ofensita	ofensita
prenar	prenar
regenerez	reɡenerɛs
avalanchar	avalant͡ʃar
imaginati	imaɡinati
jetinto	ʒetinto
dolorar	dolorar
basamento	basamento
kontredici	kontredit͡si
uneso	uneso
kodexo	kodeɡzo
koloniano	koloniano
separir	separir
nuva	nuva
vera	vɛra
stufonte	stufonte
kolumo	kolumo
geologo	ɡeoloɡo
akompanate	akompanate
adoptate	adoptate
aceptis	at͡septis
busoli	busoli
sorgir	sorɡir
medikala	mɛdikala
perplexa	perpleɡza
plumo	plumo
abatez	abatɛz
kolizioni	kolizi̯oni
ajornos	aʒornɔs
respirez	respirɛs
videbla	vidɛbla
judikinti	d͡ʒudikinti
lineo	lineo
fiancito	fiant͡sito
akuzante	akuzante
citita	t͡sitita
ci	tsi
aspirar	aspirar
favorata	favorata
kantate	kantate
remarkar	remarkar
iesu	i̯esu
egorjar	ɛɡorʒar
raupi	rau̯pi
depozor	depozɔr
olua	olua
skikuranto	skikuranto
desplezuro	dɛsplezuro
projetos	prod͡ʒetɔs
adoroto	adoroto
briocho	briot͡ʃo
desorganizi	desorɡanizi
lamentanta	lamentanta
mencioninda	ment͡sioninda
saturinta	saturinta
yari	jari
filtronte	filtronte
skribante	skribante
gastigar	ɡastiɡar
equilibranto	eku̯ilibranto
skikurus	skikurus
ajornus	aʒornus
tranchar	tɾant͡ʃaɾ
jupo	ʒupo
fotografoto	fotoɡrafoto
meza	meza
wiskio	wiski̯o
senmezura	senmezura
regresor	reɡresɔr
furtos	furtɔs
ajornas	aʒornas
akompanez	akompanɛs
kato	kato
transfigurar	transfiɡurar
amorala	amorala
elaborar	elaborar
exasperinti	eɡzasperinti
disciplinati	dist͡siplinati
