berendezés	bɛrɛndɛzeːʃ
nadrágszerep	nɒdraːksɛrɛp
céhvel	t͡seːvɛl
szegycsontok	sɛct͡ʃontok
amőbák	ɒmøːbaːk
délebbi	deːlɛbːi
lakatosok	lɒkɒtoʃok
dolgával	dolɡaːvɒl
legfeleslegesebb	lɛkfɛlɛʃlɛɡɛʃɛbː
követte	køvɛtːɛ
alkalmazási	ɒlkɒlmɒzaːʃi
kalapos	kɒlɒpoʃ
lősz	løːs
figyelj	fiɟɛjː
képviselőt	keːpviʃɛløːt
ősi	øːʃi
csekket	t͡ʃɛkːɛt
megtekinthet	mɛktɛkinthɛt
zenéken	zɛneːkɛn
demoralizáció	dɛmorɒlizaːt͡sijoː
tarhonya	tɒrɦoɲɒ
nyakkendőbe	ɲɒkːɛndøːbɛ
kívánt	kiːvaːnt
arcai	ɒrt͡sɒji
legcsalódottabb	lɛkt͡ʃɒloːdotːɒbː
éghajlat	eːkhɒjlɒt
táncol	taːnt͡sol
működése	myːkødeːʃɛ
veszítenie	vɛsiːtɛnijɛ
szí	siː
akármekkora	ɒkaːrmɛkːorɒ
tehetsége	tɛhɛt͡ʃːeːɡɛ
misztikusok	mistikuʃok
ügynökök	yɟnøkøk
küldenünk	kyldɛnyŋk
időtlen	idøːtlɛn
citromsárga	t͡sitromʃaːrɡɒ
maci	mɒt͡si
ili	ili
legveszettebb	lɛɡvɛsɛtːɛbː
foss	foʃː
háló	haːloː
csoportterápiák	t͡ʃoportɛraːpijaːk
rúzsok	ruːʒok
keményítő	kɛmeːɲiːtøː
szántok	saːntok
tulajdonosai	tulɒjdonoʃɒji
talicskák	tɒlit͡ʃkaːk
magyartanárok	mɒɟɒrtɒnaːrok
szívét	siveːt
jókon	joːkon
rovatunk	rovɒtuŋk
halnánk	hɒlnaːŋk
országgyűlési	orsaːɡɟyːleːʃi
zűrök	zyːrøk
emlékirat	ɛmleːkirɒt
kívánok	kiːvaːnok
borkősav	borkøːʃɒv
váltanám	vaːltɒnaːm
történeteknél	tørteːnɛtɛkneːl
újkori	uːjkori
közepe	køzɛpɛ
magyarokkal	mɒɟɒrokːɒl
vonz	vonz
eladót	ɛlɒdoːt
magdi	mɒɡdi
üzenet	yzɛnɛt
keresetet	kɛrɛʃɛtɛt
mocska	mot͡ʃkɒ
öltetek	øltɛtɛk
helyszín	hɛjsiːn
rózsaablakaik	roːʒɒɒblɒkɒjik
igemódok	iɡɛmoːdok
kvartetten	kvɒrtɛtːɛn
céklák	t͡seːklaːk
bankokból	bɒŋkoɡboːl
vezetéknév	vɛzɛteːkneːv
nadrágban	nɒdraːɡbɒn
zsé	ʒeː
megszüntet	mɛksyntɛt
legtömörítettebb	lɛktømøriːtɛtːɛbː
melléknévi	mɛlːeːkneːvi
országnak	orsaːɡnɒk
oláhok	olaːɦok
valszeg	vɒlsɛɡ
felejteni	fɛlɛjtɛni
nyiss	ɲiʃː
égjenek	eːɡjɛnɛk
lázmérő	laːzmeːrøː
kockán	kot͡skaːn
stoplámpa	ʃtoplaːmpɒ
portává	portaːvaː
magazinokra	mɒɡɒzinokrɒ
lelkek	lɛlkɛk
szerezted	sɛrɛstɛd
dalmácia	dɒlmaːt͡sijɒ
libaúsztató	libɒuːstɒtoː
egyebet	ɛɟɛbɛt
kedveskedő	kɛdvɛʃkɛdøː
fejvadászat	fɛjvɒdaːsɒt
hapcizik	hɒpt͡sizik
preparátumok	prɛpɒraːtumok
díjlovaglás	diːjlovɒɡlaːʃ
fejeim	fɛjɛjim
előfeltételek	ɛløːfɛlteːtɛlɛk
sárgás	ʃaːrɡaːʃ
postakocsi	poʃtɒkot͡ʃi
acetonba	ɒt͡sɛtombɒ
fejenkénti	fɛjɛŋkeːnti
tüzesebb	tyzɛʃɛbː
zsarnok	ʒɒrnok
valóság	vɒloːʃaːɡ
feltehetőleg	fɛltɛhɛtøːlɛɡ
vevő	vɛvøː
ági	aːɡi
unjon	uɲːon
egykamarás	ɛckɒmɒraːʃ
disszimilációk	disːimilaːt͡sijoːk
célnyelvek	t͡seːlɲɛlvɛk
legexkluzívabb	lɛɡɛkskluziːvɒbː
méhhez	meːɦɛz
verőfényes	vɛrøːfeːɲɛʃ
jégkorongozik	jeːkːoroŋɡozik
csép	t͡ʃeːp
méhként	meːkeːnt
bokrai	bokrɒji
szófaj	soːfɒj
amelyekké	ɒmɛjɛkːeː
gyáva	ɟaːvɒ
belegondolva	bɛlɛɡondolvɒ
extrapolációk	ɛkstrɒpolaːt͡sijoːk
húznánk	huːznaːŋk
teoretikusok	tɛorɛtikuʃok
változtatni	vaːltostɒtni
sétáltok	ʃeːtaːltok
létszámú	leːtsaːmuː
izzaszt	izːɒst
foglyotok	foɡjotok
tanítványaitok	tɒniːtvaːɲɒjitok
városnegyedek	vaːroʃnɛɟɛdɛk
kiemelni	kijɛmɛlni
vilmoskörte	vilmoʃkørtɛ
görbék	ɡørbeːk
nyilvánosságokra	ɲilvaːnoʃːaːɡokrɒ
fokhagyma	fokhɒɟmɒ
magazinjaik	mɒɡɒziɲːɒjik
diplomát	diplomaːt
admirálisnak	ɒdmiraːliʃnɒk
lekerekített	lɛkɛrɛkiːtɛtː
karosszék	kɒroʃseːk
támadás	taːmɒdaːʃ
urológiai	uroloːɡijɒji
felületek	fɛlylɛtɛk
kormányfők	kormaːɲføːk
sokakként	ʃokɒkːeːnt
klinikai	klinikɒji
sakkmesterek	ʃɒkmɛʃtɛrɛk
évtizedet	eːftizɛdɛt
deszka	dɛskɒ
kádak	kaːdɒk
magaként	mɒɡɒkeːnt
lapátok	lɒpaːtok
repeta	rɛpɛtɒ
fogékonyan	foɡeːkoɲɒn
patronima	pɒtronimɒ
arcánál	ɒrt͡saːnaːl
csillagfény	t͡ʃilːɒkfeːɲ
tengerimalacok	tɛŋɡɛrimɒlɒt͡sok
gyűjteménnyé	ɟyːjtɛmeːɲːeː
lant	lɒnt
feje	fɛjɛ
abakuszaid	ɒbɒkusɒjid
gyulladáskeltő	ɟulːɒdaːʃkɛltøː
irisz	iris
csengőket	t͡ʃɛŋɡøːkɛt
besúgók	bɛʃuːɡoːk
sms	ɛʃɛmɛʃ
miniatűr	minijɒtyːr
tökre	tøkrɛ
újnak	uːjnɒk
kivételével	kiveːtɛleːvɛl
kétkamarás	keːtkɒmɒraːʃ
képeket	keːpɛkɛt
nyávogsz	ɲaːvoks
legelképesztőbb	lɛɡɛlkeːpɛstøːbː
magazinom	mɒɡɒzinom
vonzanánk	vonzɒnaːŋk
csörgők	t͡ʃørɡøːk
légitársaság	leːɡitaːrʃɒʃaːɡ
lehető	lɛhɛtøː
lektorok	lɛktorok
bátorít	baːtoriːt
kimúlik	kimuːlik
halálbüntetések	hɒlaːlbyntɛteːʃɛk
háztartási	haːstɒrtaːʃi
alanyeseteink	ɒlɒɲɛʃɛtɛjiŋk
léptem	leːptɛm
leghangosabb	lɛkhɒŋɡoʃɒbː
csontritkulás	t͡ʃontritkulaːʃ
jussom	juʃːom
szponzor	sponzor
háromszor	haːromsor
membránok	mɛmbraːnok
édességek	eːdɛʃːeːɡɛk
vindikál	vindikaːl
feljavít	fɛjːɒviːt
tanítson	tɒniːt͡ʃːon
hőssé	høːʃːeː
adnák	ɒdnaːk
nevetgél	nɛvɛdɡeːl
irigyebb	iriɟɛbː
ablakért	ɒblɒkeːrt
vőlegény	vøːlɛɡeːɲ
ismétlések	iʃmeːtleːʃɛk
üzemképes	yzɛmkeːpɛʃ
ideiglenesebb	idɛjiɡlɛnɛʃɛbː
jogon	joɡon
végtelen	veːktɛlɛn
almák	ɒlmaːk
ecetek	ɛt͡sɛtɛk
falaz	fɒlɒz
találmánya	tɒlaːlmaːɲɒ
őrá	øːraː
dajkáim	dɒjkaːjim
tákol	taːkol
törik	tørik
védnélek	veːdneːlɛk
vitamintabletta	vitɒmintɒblɛtːɒ
fóbiás	foːbijaːʃ
nevelnie	nɛvɛlnijɛ
hiányol	hijaːɲol
tanítottalak	tɒniːtotːɒlɒk
gyűjtés	ɟyːjteːʃ
totál	totaːl
gonddá	ɡondaː
maradó	mɒrɒdoː
elhallgattat	ɛlɦɒlɡɒtːɒt
álmatag	aːlmɒtɒɡ
nagyot	nɒɟot
túlterhel	tuːltɛrɦɛl
sehun	ʃɛɦun
szipoly	sipoj
prezentációk	prɛzɛntaːt͡sijoːk
olvashatatlanabb	olvɒʃhɒtɒtlɒnɒbː
fájdalommentes	faːjdɒlomːɛntɛʃ
gótikus	ɡoːtikuʃ
szíveskedik	sivɛʃkɛdik
írnok	iːrnok
szeretnél	sɛrɛtneːl
fogorvos	foɡorvoʃ
hullám	hulːaːm
arányosabb	ɒraːɲoʃɒbː
sikeresen	ʃikɛrɛʃɛn
bizonyosságok	bizoɲoʃːaːɡok
haltok	hɒltok
távolságra	taːvolʃaːɡrɒ
kéklik	keːklik
mágnesek	maːɡnɛʃɛk
szóltam	soːltɒm
őalóla	øːɒloːlɒ
érjed	eːrjɛd
vennél	vɛnːeːl
egészséges	ɛɡeːʃːeːɡɛʃ
adottaknak	ɒdotːɒknɒk
néznének	neːzneːnɛk
állnátok	aːlnaːtok
ámokfutások	aːmokfutaːʃok
jeges	jɛɡɛʃ
birsalmafátok	birʃɒlmɒfaːtok
sujtás	ʃujtaːʃ
vetet	vɛtɛt
kialakulások	kijɒlɒkulaːʃok
tápegységek	taːpɛcʃeːɡɛk
jóváhagy	joːvaːɦɒɟ
csokra	t͡ʃokrɒ
ehető	ɛhɛtøː
cédrusfánál	t͡seːdruʃfaːnaːl
ír	iːr
vérző	veːrzøː
liliom	lilijom
tudhat	tuthɒt
dzsudzsák	d͡ʒud͡ʒaːk
szedsz	sɛt͡sː
legjogosultabb	lɛɡjoɡoʃultɒbː
leakaszt	lɛɒkɒst
dzsóker	d͡ʒoːkɛr
dicsérethez	dit͡ʃeːrɛthɛz
mutatóujj	mutɒtoːujː
írország	iːrorsaːɡ
kérje	keːrjɛ
célfüggvény	t͡seːlfyɡveːɲ
xenonon	ksɛnonon
alkalma	ɒlkɒlmɒ
mondanivalók	mondɒnivɒloːk
távkapcsolat	taːfkɒpt͡ʃolɒt
sütöttük	ʃytøtːyk
borsosabb	borʃoʃɒbː
tébolyda	teːbojdɒ
kezekké	kɛzɛkːeː
énekesnőket	eːnɛkɛʃnøːkɛt
oroszországban	orosorsaːɡbɒn
vasalók	vɒʃɒloːk
kripták	kriptaːk
hálón	haːloːn
úttörőtáborként	uːtːørøːtaːborkeːnt
alagsorom	ɒlɒkʃorom
húgyok	huːɟok
kellek	kɛlːɛk
lelkileg	lɛlkilɛɡ
iszonyok	isoɲok
jelentkezők	jɛlɛntkɛzøːk
panaszkönyvekkel	pɒnɒskøɲvɛkːɛl
hatóság	hɒtoːʃaːɡ
elkezdek	ɛlkɛzdɛk
külvárosibb	kylvaːroʃibː
biofizikusok	bijofizikuʃok
ütőgardon	ytøːɡɒrdon
kézbesítés	keːzbɛʃiːteːʃ
létrehozni	leːtrɛɦozni
tiétek	tijeːtɛk
aláírásokat	ɒlaːjiːraːʃokɒt
ládikók	laːdikoːk
szókratész	soːkrɒteːs
döntesz	døntɛs
letesz	lɛtɛs
építők	eːpiːtøːk
képkocka	keːpkot͡skɒ
titkárság	titkaːrʃaːɡ
acetonokból	ɒt͡sɛtonoɡboːl
bársony	baːrʃoɲ
rühig	ryɦiɡ
alapul	ɒlɒpul
kerület	kɛrylɛt
leghiggadtabb	lɛkhiɡːɒtːɒbː
főtere	føːtɛrɛ
trónol	troːnol
apád	ɒpaːd
faxpapír	fɒkspɒpiːr
sóher	ʃoːɦɛr
nagykabát	nɒckɒbaːt
gyúlékony	ɟuːleːkoɲ
él	eːl
porául	poraːul
igenévszó	iɡɛneːfsoː
szalagotok	sɒlɒɡotok
ez	ɛz
egyensúly	ɛɟɛnʃuːj
találhatóak	tɒlaːlɦɒtoːɒk
nővé	nøːveː
gépész	ɡeːpeːs
megkezdte	mɛkːɛstɛ
szalagjuk	sɒlɒɡjuk
névrokon	neːvrokon
fontosságát	fontoʃːaːɡaːt
apránként	ɒpraːŋkeːnt
zsugátok	ʒuɡaːtok
unok	unok
gondatlanság	ɡondɒtlɒnʃaːɡ
mikronézia	mikroneːzijɒ
ésszerűsít	eːsːɛryːʃiːt
felőlük	fɛløːlyk
bárányt	baːraːɲt
hittől	hitːøːl
kérdésekről	keːrdeːʃɛkrøːl
életek	eːlɛtɛk
exponál	ɛksponaːl
apaságok	ɒpɒʃaːɡok
szimpla	simplɒ
hősiesebb	høːʃijɛʃɛbː
bérről	beːrːøːl
pilóták	piloːtaːk
nyelük	ɲɛlyk
konkurens	koŋkurɛnʃ
nyelnek	ɲɛlnɛk
másabb	maːʃɒbː
rendszerekbe	rɛntsɛrɛɡbɛ
főszerep	føːsɛrɛp
hugyecz	huɟɛt͡s
ununk	unuŋk
zamatosabb	zɒmɒtoʃɒbː
megmos	mɛɡmoʃ
réznek	reːznɛk
kényszerű	keːɲsɛryː
mérkőzéseken	meːrkøːzeːʃɛkɛn
hasson	hɒʃːon
agákig	ɒɡaːkiɡ
legsekélyebb	lɛkʃɛkeːjɛbː
kezdte	kɛstɛ
zenétek	zɛneːtɛk
jutott	jutotː
pisztolyaink	pistojɒjiŋk
tartóztat	tɒrtoːstɒt
hátterét	haːtːɛreːt
egymás	ɛɟmaːʃ
védelmez	veːdɛlmɛz
létesít	leːtɛʃiːt
fejlődésnek	fɛjløːdeːʃnɛk
tisztább	tistaːbː
elpattan	ɛlpɒtːɒn
jupiter	jupitɛr
áfonya	aːfoɲɒ
fejleményeket	fɛjlɛmeːɲɛkɛt
kaszab	kɒsɒb
párbajozik	paːrbɒjozik
bridzs	brid͡ʒː
hatások	hɒtaːʃok
ónok	oːnok
teszünk	tɛsyŋk
kenyerek	kɛɲɛrɛk
havas	hɒvɒʃ
emberül	ɛmbɛryl
húgycső	huːct͡ʃøː
garantál	ɡɒrɒntaːl
idempotencia	idɛmpotɛnt͡sijɒ
háztűzzel	haːstyːzːɛl
jövevényszavak	jøvɛveːɲsɒvɒk
kiállja	kijaːjːɒ
ugrat	uɡrɒt
orvvadászatok	orvɒdaːsɒtok
legérzékenyebb	lɛɡeːrzeːkɛɲɛbː
felad	fɛlɒd
bármerre	baːrmɛrːɛ
premieren	prɛmijɛrɛn
őnéki	øːneːki
évszámok	eːfsaːmok
bűntárs	byːntaːrʃ
koalíció	koɒliːt͡sijoː
sorsaim	ʃorʃɒjim
káposzták	kaːpostaːk
xilofonom	ksilofonom
jósnő	joːʃnøː
népszerű	neːpsɛryː
esztendőben	ɛstɛndøːbɛn
növelni	nøvɛlni
osztanának	ostɒnaːnɒk
sajátot	ʃɒjaːtot
lábnál	laːbnaːl
észen	eːsɛn
sikerült	ʃikɛrylt
egészeket	ɛɡeːsɛkɛt
reverendák	rɛvɛrɛndaːk
alapkamat	ɒlɒpkɒmɒt
hízik	hiːzik
tájékoztató	taːjeːkostɒtoː
kilincs	kilint͡ʃ
acélgyártás	ɒt͡seːlɟaːrtaːʃ
ölted	øltɛd
fölülír	følyliːr
leggondtalanabbul	lɛɡːontɒlɒnɒbːul
mérkőzésen	meːrkøːzeːʃɛn
kihívásokat	kiɦiːvaːʃokɒt
tibelőletek	tibɛløːlɛtɛk
kezdetben	kɛzdɛdbɛn
költs	kølt͡ʃ
törvények	tørveːɲɛk
beleegyezés	bɛlɛɛɟːɛzeːʃ
ajándéknál	ɒjaːndeːknaːl
ideír	idɛjiːr
botkormány	botkormaːɲ
fotográfusok	fotoɡraːfuʃok
ilyesmit	ijɛʃmit
magasságok	mɒɡɒʃːaːɡok
porotok	porotok
hasznánál	hɒsnaːnaːl
szamár	sɒmaːr
fickó	fit͡skoː
dömping	dømpiŋɡ
szögfelezőtétel	søkfɛlɛzøːteːtɛl
szőkés	søːkeːʃ
mentő	mɛntøː
remetelak	rɛmɛtɛlɒk
kivesz	kivɛs
halmaznál	hɒlmɒznaːl
megismertetés	mɛɡiʃmɛrtɛteːʃ
gazok	ɡɒzok
fedtük	fɛtːyk
juliska	juliʃkɒ
torkom	torkom
bankett	bɒŋkɛtː
biccentés	bit͡sːɛnteːʃ
morzsolódik	morʒoloːdik
eszkalációk	ɛskɒlaːt͡sijoːk
kamukák	kɒmukaːk
változatok	vaːltozɒtok
l	l
fórumok	foːrumok
párducmacska	paːrdut͡smɒt͡ʃkɒ
menük	mɛnyk
lekérdezés	lɛkeːrdɛzeːʃ
lezuhan	lɛzuɦɒn
égések	eːɡeːʃɛk
súlyvonal	ʃuːjvonɒl
mutatja	mutɒcːɒ
tiszteletdíjak	tistɛlɛdːiːjɒk
rakni	rɒkni
ellenőrzést	ɛlːɛnøːrzeːʃt
ránts	raːnt͡ʃ
felsül	fɛlʃyl
minták	mintaːk
villiből	vilːibøːl
szandálban	sɒndaːlbɒn
verekszik	vɛrɛksik
futtok	futːok
nemzetiszocializmus	nɛmzɛtisot͡sijɒlizmuʃ
technológiát	tɛxnoloːɡijaːt
gyereke	ɟɛrɛkɛ
fogadó	foɡɒdoː
hajkefék	hɒjkɛfeːk
ablaktalanság	ɒblɒktɒlɒnʃaːɡ
támad	taːmɒd
legspontánabban	lɛkʃpontaːnɒbːɒn
kalauzol	kɒlɒuzol
cél	t͡seːl
legláthatatlanabb	lɛɡlaːthɒtɒtlɒnɒbː
torkollt	torkolt
legtökéletesebb	lɛktøkeːlɛtɛʃɛbː
alfa	ɒlfɒ
krokodilkönnyek	krokodilkøɲːɛk
elhanyagolt	ɛlɦɒɲɒɡolt
divergensebb	divɛrɡɛnʃɛbː
föléje	føleːjɛ
törés	tøreːʃ
vennék	vɛnːeːk
humor	humor
tópartok	toːpɒrtok
hajvágás	hɒjvaːɡaːʃ
házat	haːzɒt
duna	dunɒ
telek	tɛlɛk
élte	eːltɛ
tőlük	tøːlyk
serbli	ʃɛrbli
felfoghatatlan	fɛlfokhɒtɒtlɒn
szellemesebb	sɛlːɛmɛʃɛbː
katonákra	kɒtonaːkrɒ
rögös	røɡøʃ
addiglan	ɒdːiɡlɒn
villámlik	vilːaːmlik
látásotok	laːtaːʃotok
szarvashibáid	sɒrvɒʃhibaːjid
látomások	laːtomaːʃok
akácos	ɒkaːt͡soʃ
hátradől	haːtrɒdøːl
hagyományokban	hɒɟomaːɲoɡbɒn
rohadék	roɦɒdeːk
testeink	tɛʃtɛjiŋk
kekszed	kɛksɛd
rágó	raːɡoː
agykoponyák	ɒckopoɲaːk
csikorog	t͡ʃikoroɡ
kompenzál	kompɛnzaːl
kend	kɛnd
arcuk	ɒrt͡suk
aukció	ɒukt͡sijoː
falcsontok	fɒlt͡ʃontok
táts	taːt͡ʃː
uszály	usaːj
kerevetek	kɛrɛvɛtɛk
gyorsétterem	ɟorʃeːtːɛrɛm
olvasószerkesztő	olvɒʃoːsɛrkɛstøː
halaitok	hɒlɒjitok
szandálok	sɒndaːlok
tapasztalatszerzés	tɒpɒstɒlɒtsɛrzeːʃ
ülünk	ylyŋk
szórd	soːrd
csempe	t͡ʃɛmpɛ
cégé	t͡seːɡeː
fúdd	fuːdː
háromszögű	haːromsøɡyː
teleszkóp	tɛlɛskoːp
arcok	ɒrt͡sok
adni	ɒdni
kutyánk	kucaːŋk
fátyolfelhők	faːcolfɛlɦøːk
üllők	ylːøːk
nagyság	nɒcʃaːɡ
processzoros	prot͡sɛsːoroʃ
impresszumok	imprɛsːumok
megismerszik	mɛɡiʃmɛrsik
családfák	t͡ʃɒlaːtfaːk
merevség	mɛrɛfʃeːɡ
akárkikre	ɒkaːrkikrɛ
újjal	uːjːɒl
orvosolatlan	orvoʃolɒtlɒn
költözz	køltøzː
negyvenhat	nɛɟvɛnɦɒt
tegye	tɛɟɛ
alkalmasságok	ɒlkɒlmɒʃːaːɡok
vakbelek	vɒɡbɛlɛk
legvitatottabb	lɛɡvitɒtotːɒbː
kilencvenhárom	kilɛnt͡svɛnɦaːrom
megállók	mɛɡaːlːoːk
történészek	tørteːneːsɛk
igeneket	iɡɛnɛkɛt
reklámbetű	rɛklaːmbɛtyː
papnők	pɒpnøːk
ígérgetés	iːɡeːrɡɛteːʃ
egyetért	ɛɟːɛteːrt
felesleges	fɛlɛʃlɛɡɛʃ
hallasz	hɒlːɒs
sarkkutatók	ʃɒrkutɒtoːk
üli	yli
munkanapok	muŋkɒnɒpok
esettanulmányok	ɛʃɛtːɒnulmaːɲok
nyomnod	ɲomnod
számotok	saːmotok
megjegyez	mɛɡjɛɟɛz
inzulinjaitok	inzuliɲːɒjitok
körzetekre	kørzɛtɛkrɛ
harmincadik	hɒrmint͡sɒdik
dalnokuk	dɒlnokuk
műtét	myːteːt
munkáscsaládok	muŋkaːʃt͡ʃɒlaːdok
avar	ɒvɒr
falka	fɒlkɒ
korba	korbɒ
kőpad	køːpɒd
keltő	kɛltøː
másolata	maːʃolɒtɒ
acetonon	ɒt͡sɛtonon
rézzé	reːzːeː
magmakamráik	mɒɡmɒkɒmraːjik
humorérzéke	humoreːrzeːkɛ
üzletek	yzlɛtɛk
valakinél	vɒlɒkineːl
néznéd	neːzneːd
norvégiai	norveːɡijɒji
legnehezebb	lɛɡnɛhɛzɛbː
ablakpárkányaid	ɒblɒkpaːrkaːɲɒjid
ígérget	iːɡeːrɡɛt
összehasonlítható	øsːɛɦɒʃonliːthɒtoː
ilyeneken	ijɛnɛkɛn
eszi	ɛsi
bibliográfusok	biblijoɡraːfuʃok
búcsút	buːt͡ʃuːt
édenkert	eːdɛŋkɛrt
szerveknél	sɛrvɛkneːl
igentől	iɡɛntøːl
tanítanotok	tɒniːtɒnotok
fülbevaló	fylbɛvɒloː
zárak	zaːrɒk
hull	hulː
vétettetek	veːtɛtːɛtɛk
elnöki	ɛlnøki
vesznie	vɛsnijɛ
tartanánk	tɒrtɒnaːŋk
felirataik	fɛlirɒtɒjik
köré	køreː
bögölyöktől	bøɡøjøktøːl
körmére	kørmeːrɛ
váltania	vaːltɒnijɒ
határú	hɒtaːruː
olvasószemüveg	olvɒʃoːsɛmyvɛɡ
slicc	ʃlit͡sː
vagyontárgy	vɒɟontaːrɟ
mersz	mɛrs
juhhoz	juxːoz
hullámocskák	hulːaːmot͡ʃkaːk
lektor	lɛktor
képességekkel	keːpɛʃːeːɡɛkːɛl
szöcske	søt͡ʃkɛ
szervezethez	sɛrvɛzɛthɛz
kínt	kiːnt
módosító	moːdoʃiːtoː
ceremónia	t͡sɛrɛmoːnijɒ
kancsalít	kɒnt͡ʃɒliːt
tanítja	tɒniːcːɒ
szarvaitok	sɒrvɒjitok
szükségesekkel	sykʃeːɡɛʃɛkːɛl
értelmet	eːrtɛlmɛt
konyhaszékek	koɲɦɒseːkɛk
csónakok	t͡ʃoːnɒkok
nyakatekertebb	ɲɒkɒtɛkɛrtɛbː
tojáslikőr	tojaːʃlikøːr
osztályfőnökök	ostaːjføːnøkøk
ügyetlenebb	yɟɛtlɛnɛbː
nehézség	nɛɦeːʃːeːɡ
szedre	sɛdrɛ
iparrá	ipɒrːaː
vonzalmak	vonzɒlmɒk
túllép	tuːlːeːp
büszkélkedik	byskeːlkɛdik
padláson	pɒdlaːʃon
éltessen	eːltɛʃːɛn
környezet	kørɲɛzɛt
legbizarrabb	lɛɡbizɒrːɒbː
versenyen	vɛrʃɛɲɛn
felhasználón	fɛlɦɒsnaːloːn
óvodák	ovodaːk
gyúl	ɟuːl
bizalmunk	bizɒlmuŋk
mindig	mindiɡ
héjak	heːjɒk
tudjunk	tuɟːuŋk
mentőövek	mɛntøːøvɛk
eróziók	ɛroːzijoːk
körzetekig	kørzɛtɛkiɡ
lőszerek	løːsɛrɛk
kompót	kompoːt
játszótér	jaːt͡sːoːteːr
készülő	keːsyløː
magatokhoz	mɒɡɒtokhoz
hullák	hulːaːk
hősugárzók	høːʃuɡaːrzoːk
sablonokon	ʃɒblonokon
problémával	probleːmaːvɒl
denevérek	dɛnɛveːrɛk
köhög	køhøɡ
akitől	ɒkitøːl
elmaradottság	ɛlmɒrɒdot͡ʃːaːɡ
koronáink	koronaːjiŋk
legalaptalanabb	lɛɡɒlɒptɒlɒnɒbː
pallos	pɒlːoʃ
csikók	t͡ʃikoːk
mérkőzések	meːrkøːzeːʃɛk
adójuk	ɒdoːjuk
konstrukció	konʃtrukt͡sijoː
kézügyesség	keːzyɟɛʃːeːɡ
számelmélet	saːmɛlmeːlɛt
fókusz	foːkus
ismerve	iʃmɛrvɛ
tünetegyüttes	tynɛtɛɟːytːɛʃ
elkísér	ɛlkiːʃeːr
szopik	sopik
ajándékaitok	ɒjaːndeːkɒjitok
kémiai	keːmijɒji
karakánabb	kɒrɒkaːnɒbː
vernétek	vɛrneːtɛk
túzok	tuːzok
fonnyad	foɲːɒd
határidőt	hɒtaːridøːt
barátai	bɒraːtɒji
gúnyosabb	ɡuːɲoʃɒbː
transzplantátumok	trɒnsplɒntaːtumok
zseblámpák	ʒɛblaːmpaːk
hajók	hɒjoːk
neveltetése	nɛvɛltɛteːʃɛ
húrjai	huːrjɒji
fehéroroszország	fɛɦeːrorosorsaːɡ
bérlemények	beːrlɛmeːɲɛk
amikről	ɒmikrøːl
táncos	taːnt͡soʃ
buli	buli
bögölyökből	bøɡøjøɡbøːl
zsugori	ʒuɡori
üccsi	yt͡ʃːi
szorítsák	soriːt͡ʃːaːk
időkből	idøːɡbøːl
elmozdít	ɛlmozdiːt
adoptál	ɒdoptaːl
elfogadását	ɛlfoɡɒdaːʃaːt
valókat	vɒloːkɒt
éven	eːvɛn
vízöntő	viːzøntøː
divergens	divɛrɡɛnʃ
elfoglaltság	ɛlfoɡlɒlt͡ʃaːɡ
milliméterek	milimeːtɛrɛk
professzorok	profɛsːorok
értetek	eːrtɛtɛk
baszta	bɒstɒ
nézők	neːzøːk
rádióműsor	raːdijoːmyːʃor
ólomecet	oːlomɛt͡sɛt
ellátása	ɛlːaːtaːʃɒ
szomatogámia	somɒtoɡaːmijɒ
tanulnod	tɒnulnod
fagysz	fɒcs
szemem	sɛmɛm
tömegsír	tømɛkʃiːr
valót	vɒloːt
országos	orsaːɡoʃ
ferde	fɛrdɛ
tünetek	tynɛtɛk
fotósok	fotoːʃok
családfában	t͡ʃɒlaːtfaːbɒn
belei	bɛlɛji
hercegnőként	hɛrt͡sɛɡnøːkeːnt
gyűjteni	ɟyːjtɛni
énrajtam	eːnrɒjtɒm
szelő	sɛløː
poéta	pojeːtɒ
gorombább	ɡorombaːbː
elszalaszt	ɛlsɒlɒst
nick	nit͡sk
jégvitorlázás	jeːɡvitorlaːzaːʃ
vállalatok	vaːlːɒlɒtok
vízesés	viːzɛʃeːʃ
korban	korbɒn
hónaljak	hoːnɒjːɒk
céhnek	t͡seːxnɛk
olvasnak	olvɒʃnɒk
szánsz	saːns
fasírtra	fɒʃiːrtrɒ
legesleghidegebb	lɛɡɛʃlɛkhidɛɡɛbː
sajátos	ʃɒjaːtoʃ
mezre	mɛzrɛ
miatt	mijɒtː
szimbólumok	simboːlumok
önzetlenség	ønzɛtlɛnʃeːɡ
bátortalanság	baːtortɒlɒnʃaːɡ
éled	eːlɛd
kiadást	kijɒdaːʃt
célfotó	t͡seːlfotoː
sorozatot	ʃorozɒtot
legaktívabban	lɛɡɒktiːvɒbːɒn
őközöttük	øːkøzøtːyk
egészséget	ɛɡeːʃːeːɡɛt
köszöntik	køsøntik
tebelőled	tɛbɛløːlɛd
kiemelkedőbb	kijɛmɛlkɛdøːbː
játsszunk	jaːt͡sːuŋk
bármelyik	baːrmɛjik
ügyét	yɟeːt
virágzatok	viraːɡzɒtok
tanácsadás	tɒnaːt͡ʃɒdaːʃ
zengj	zɛŋɡʝ
égtünk	eːktyŋk
csínyt	t͡ʃiːɲt
végző	veːɡzøː
izomnak	izomnɒk
közkincs	køskint͡ʃ
