აღმოუფხვრელი	ɑɣmɔupʰxvrɛli
შლის	ʃlis
ღობე	ɣɔbɛ
პლეონაზმი	pʼlɛɔnɑzmi
ღორულად	ɣɔrulɑd
გაწონასწორებულად	ɡɑt͡sʼɔnɑst͡sʼɔrɛbulɑd
ინტელექტუალურად	intʼɛlɛkʰtʼuɑlurɑd
გაგრა	ɡɑɡrɑ
მიესალმები	miɛsɑlmɛbi
ბიზნესმენი	biznɛsmɛni
სკეპტიკური	skʼɛpʼtʼikʼuri
ბარბარა	bɑrbɑrɑ
სანთელი	sɑntʰɛli
გოლფი	ɡɔlpʰi
იშიასი	iʃiɑsi
აკადემია	ɑkʼɑdɛmiɑ
ჰიდროენერგია	hidrɔɛnɛrɡiɑ
ლამპარი	lɑmpʼɑri
განიცდიან	ɡɑnit͡sdiɑn
იტალიად	itʼɑliɑd
ბადრო	bɑdrɔ
სამედიცინოდ	sɑmɛdit͡sinɔd
ძეხვი	d͡zɛxvi
ჭკვიანი	t͡ʃʼkʼviɑni
პამიდორი	pʼɑmidɔri
კინტოური	kʼintʼɔuri
ფრთიანი	pʰrtʰiɑni
აგნოსტიციზმი	ɑɡnɔstʼit͡sizmi
წარსული	t͡sʼɑrsuli
აჯანყება	ɑd͡ʒɑnqʼɛbɑ
დალასი	dɑlɑsi
ლარიქსი	lɑrikʰsi
ტელუგუ	tʼɛluɡu
ვაცი	vɑt͡si
კიდობანი	kʼidɔbɑni
დასკვნა	dɑskʼvnɑ
ბეღურა	bɛɣurɑ
გაშეშებულად	ɡɑʃɛʃɛbulɑd
პრეფექტურა	pʼrɛpʰɛkʰtʼurɑ
ცენტრი	t͡sɛntʼri
ლაქა	lɑkʰɑ
აფიშა	ɑpʰiʃɑ
გნდე	ɡndɛ
დაახლოებით	dɑɑxlɔɛbitʰ
რვაფეხა	rvɑpʰɛxɑ
ქარიზმა	kʰɑrizmɑ
მკიდია	mkʼidiɑ
ხორხისმიერი	xɔrxismiɛri
ვალდებულება	vɑldɛbulɛbɑ
ქიმერული	kʰimɛruli
ბაზა	bɑzɑ
დაუჯერებელი	dɑud͡ʒɛrɛbɛli
ამშვიდებს	ɑmʃvidɛbs
მარგანეცი	mɑrɡɑnɛt͡si
ათქვეფილი	ɑtʰkʰvɛpʰili
მისვლა	misvlɑ
ინგლისური	inɡlisuri
აპლომბი	ɑpʼlɔmbi
ხელადა	xɛlɑdɑ
ლუი	lui
აღტაცებით	ɑɣtʼɑt͡sɛbitʰ
ქუნჯუტი	kʰund͡ʒutʼi
დაბრუნდნენ	dɑbrundnɛn
მფლანგველობა	mpʰlɑnɡvɛlɔbɑ
ღრიანკალი	ɣriɑnkʼɑli
აბსტრაქცია	ɑbstʼrɑkʰt͡siɑ
მრავალძარღვა	mrɑvɑld͡zɑrɣvɑ
აგბობს	ɑɡbɔbs
სა	sɑ
მაშინვე	mɑʃinvɛ
საქციელი	sɑkʰt͡siɛli
ბარაქიანი	bɑrɑkʰiɑni
აუდიტორია	ɑuditʼɔriɑ
ცრემლიანად	t͡srɛmliɑnɑd
წინსწრება	t͡sʼinst͡sʼrɛbɑ
ქვეყანამ	kʰvɛqʼɑnɑm
იდეალიზაცია	idɛɑlizɑt͡siɑ
ენაბლუობა	ɛnɑbluɔbɑ
არგონავტი	ɑrɡɔnɑvtʼi
დაეხმარება	dɑɛxmɑrɛbɑ
მტრული	mtʼruli
სათნოდ	sɑtʰnɔd
ხოტბა	xɔtʼbɑ
სინდიკალისტი	sindikʼɑlistʼi
ძირეულად	d͡zirɛulɑd
აგრესიულად	ɑɡrɛsiulɑd
შეუდრეკელი	ʃɛudrɛkʼɛli
ბუნი	buni
ცხვარიჭამია	t͡sxvɑrit͡ʃʼɑmiɑ
პარაბოლური	pʼɑrɑbɔluri
ძმა	d͡zmɑ
ინგლისმა	inɡlismɑ
მეთოდური	mɛtʰɔduri
გოგოებმა	ɡɔɡɔɛbmɑ
ძირავს	d͡zirɑvs
ენთუზიაზმი	ɛntʰuziɑzmi
სასა	sɑsɑ
ლიტერატორი	litʼɛrɑtʼɔri
შემაწუხებელი	ʃɛmɑt͡sʼuxɛbɛli
ოკეანური	ɔkʼɛɑnuri
სათადარიგო	sɑtʰɑdɑriɡɔ
გენეალოგია	ɡɛnɛɑlɔɡiɑ
ტანვარჯიში	tʼɑnvɑrd͡ʒiʃi
ერთთავად	ɛrtʰtʰɑvɑd
უკვე	ukʼvɛ
მართავს	mɑrtʰɑvs
ჰიდრანტი	hidrɑntʼi
აკვარიუმი	ɑkʼvɑriumi
ანეკდოტური	ɑnɛkʼdɔtʼuri
წონასწორობა	t͡sʼɔnɑst͡sʼɔrɔbɑ
ოთხმოცდაექვსი	ɔtʰxmɔt͡sdɑɛkʰvsi
მოქალაქეობა	mɔkʰɑlɑkʰɛɔbɑ
მოშლა	mɔʃlɑ
სემანტიკა	sɛmɑntʼikʼɑ
ბალახიანი	bɑlɑxiɑni
ვერმიშელი	vɛrmiʃɛli
ბუნკერი	bunkʼɛri
მოძველო	mɔd͡zvɛlɔ
მოწამეობა	mɔt͡sʼɑmɛɔbɑ
კილოგრამი	kʼilɔɡrɑmi
წყარო	t͡sʼqʼɑrɔ
ალქიმიკოსი	ɑlkʰimikʼɔsi
მეწარმე	mɛt͡sʼɑrmɛ
ხდება	xdɛbɑ
რუპორი	rupʼɔri
ჰაერნაოსნობა	hɑɛrnɑɔsnɔbɑ
უკმეხი	ukʼmɛxi
იუნესკოს	iunɛskʼɔs
ტაბუ	tʼɑbu
შუქი	ʃukʰi
სართული	sɑrtʰuli
აქტივისტი	ɑkʰtʼivistʼi
ღრეჭვით	ɣrɛt͡ʃʼvitʰ
უმარილო	umɑrilɔ
ოფიციანტი	ɔpʰit͡siɑntʼi
მატერია	mɑtʼɛriɑ
ნახევრად	nɑxɛvrɑd
მავნეობა	mɑvnɛɔbɑ
ბანანი	bɑnɑni
გამბედაობა	ɡɑmbɛdɑɔbɑ
ლემნა	lɛmnɑ
ყაზახეთით	qʼɑzɑxɛtʰitʰ
მტკივნეული	mtʼkʼivnɛuli
აგენტურა	ɑɡɛntʼurɑ
დაცვამ	dɑt͡svɑm
ინტრავენური	intʼrɑvɛnuri
ჰობოი	hɔbɔi
პარაზიტული	pʼɑrɑzitʼuli
რეპლიკა	rɛpʼlikʼɑ
საომრად	sɑɔmrɑd
სოჭი	sɔt͡ʃʼi
ტუჩებო	tʼut͡ʃɛbɔ
ფიგურა	pʰiɡurɑ
მალი	mɑli
იუმორი	iumɔri
ამას	ɑmɑs
აგვისტო	ɑɡvistʼɔ
სამკაულებიანი	sɑmkʼɑulɛbiɑni
ტრანსცენდენტულად	tʼrɑnst͡sɛndɛntʼulɑd
რაციონალური	rɑt͡siɔnɑluri
შეღწევადობა	ʃɛɣt͡sʼɛvɑdɔbɑ
ნაადრევად	nɑɑdrɛvɑd
ამოურჩეველი	ɑmɔurt͡ʃɛvɛli
ქვა	kʰvɑ
ფორმულა	pʰɔrmulɑ
ენერგიულად	ɛnɛrɡiulɑd
ჭეშმარიტად	t͡ʃʼɛʃmɑritʼɑd
ესთეტიკა	ɛstʰɛtʼikʼɑ
ოკუპაცია	ɔkʼupʼɑt͡siɑ
მწარედ	mt͡sʼɑrɛd
ჯერ	d͡ʒɛr
დანიშვნა	dɑniʃvnɑ
მჩატე	mt͡ʃɑtʼɛ
შემოსავლიანი	ʃɛmɔsɑvliɑni
ნეპოტიზმი	nɛpʼɔtʼizmi
სიმპოზიუმი	simpʼɔziumi
მონოლითური	mɔnɔlitʰuri
უპირო	upʼirɔ
ჰა	hɑ
ალტერნატიული	ɑltʼɛrnɑtʼiuli
ვიტალისტი	vitʼɑlistʼi
ნატრიუმი	nɑtʼriumi
ანგარიშიანი	ɑnɡɑriʃiɑni
ტოროლა	tʼɔrɔlɑ
პლაცენტა	pʼlɑt͡sɛntʼɑ
ფანატიკურად	pʰɑnɑtʼikʼurɑd
კონტუზია	kʼɔntʼuziɑ
ქონიანი	kʰɔniɑni
სლალომი	slɑlɔmi
დეზინფექცია	dɛzinpʰɛkʰt͡siɑ
ცომეული	t͡sɔmɛuli
დაოსტატებული	dɑɔstʼɑtʼɛbuli
საფრანგეთით	sɑpʰrɑnɡɛtʰitʰ
მითითებული	mitʰitʰɛbuli
ბოლი	bɔli
ექვსკუთხა	ɛkʰvskʼutʰxɑ
ამპარტავანი	ɑmpʼɑrtʼɑvɑni
ასპიდისტრა	ɑspʼidistʼrɑ
არასაჭირო	ɑrɑsɑt͡ʃʼirɔ
სიმხიარულე	simxiɑrulɛ
ფენიქსი	pʰɛnikʰsi
უსიყვარულო	usiqʼvɑrulɔ
ავტოსტოპმა	ɑvtʼɔstʼɔpʼmɑ
არსებობს	ɑrsɛbɔbs
წინააღმდეგ	t͡sʼinɑɑɣmdɛɡ
დასკვნითი	dɑskʼvnitʰi
ჭი	t͡ʃʼi
მანანა	mɑnɑnɑ
მუხუდო	muxudɔ
მუნიციპალიტეტს	munit͡sipʼɑlitʼɛtʼs
თხლე	tʰxlɛ
კორძი	kʼɔrd͡zi
იარუსი	iɑrusi
მექნისტიკურად	mɛkʰnistʼikʼurɑd
პესო	pʼɛsɔ
სტენოგრაფია	stʼɛnɔɡrɑpʰiɑ
ნიგერია	niɡɛriɑ
ჯერალდი	d͡ʒɛrɑldi
ნიკარაგუა	nikʼɑrɑɡuɑ
მიექანება	miɛkʰɑnɛbɑ
დედამთილი	dɛdɑmtʰili
გაჩითული	ɡɑt͡ʃitʰuli
დასხმა	dɑsxmɑ
ზავი	zɑvi
მითოლოგია	mitʰɔlɔɡiɑ
თამარი	tʰɑmɑri
ნაკვალევი	nɑkʼvɑlɛvi
ტვინებმა	tʼvinɛbmɑ
აკვნებო	ɑkʼvnɛbɔ
მექანიზაცია	mɛkʰɑnizɑt͡siɑ
გუდაწვერი	ɡudɑt͡sʼvɛri
უკმაყოფილება	ukʼmɑqʼɔpʰilɛbɑ
ინსტიტუტი	instʼitʼutʼi
სონატა	sɔnɑtʼɑ
შეუსწავლელი	ʃɛust͡sʼɑvlɛli
სისტემით	sistʼɛmitʰ
შავლეგი	ʃɑvlɛɡi
უკომპრომისო	ukʼɔmpʼrɔmisɔ
მუშტი	muʃtʼi
მთავრობად	mtʰɑvrɔbɑd
ავლაბარი	ɑvlɑbɑri
ტყაპუჭი	tʼqʼɑpʼut͡ʃʼi
ტყვე	tʼqʼvɛ
ხუთჭიდი	xutʰt͡ʃʼidi
ტრაექტორია	tʼrɑɛkʰtʼɔriɑ
ისურვებს	isurvɛbs
მსაჯი	msɑd͡ʒi
უშიშრობა	uʃiʃrɔbɑ
შუბლი	ʃubli
წიწილი	t͡sʼit͡sʼili
ხმის	xmis
ალპური	ɑlpʼuri
დასავლეთიდან	dɑsɑvlɛtʰidɑn
დირექტორატი	dirɛkʰtʼɔrɑtʼi
ღუზა	ɣuzɑ
გერმანიამ	ɡɛrmɑniɑm
გზით	ɡzitʰ
გაფატრვა	ɡɑpʰɑtʼrvɑ
ჩაერიცხება	t͡ʃɑɛrit͡sxɛbɑ
საშინელება	sɑʃinɛlɛbɑ
ქვემოთ	kʰvɛmɔtʰ
განივი	ɡɑnivi
მეტრიანი	mɛtʼriɑni
მკერდამდე	mkʼɛrdɑmdɛ
სიშიშვლე	siʃiʃvlɛ
ბაგაჟი	bɑɡɑʒi
ფოტოგრაფი	pʰɔtʼɔɡrɑpʰi
საწრუპავი	sɑt͡sʼrupʼɑvi
ეთნოგრაფიული	ɛtʰnɔɡrɑpʰiuli
ბანქო	bɑnkʰɔ
თავშესაქცევად	tʰɑvʃɛsɑkʰt͡sɛvɑd
ინტუიცია	intʼuit͡siɑ
კომიკოსი	kʼɔmikʼɔsi
მემრუშე	mɛmruʃɛ
გესლიანად	ɡɛsliɑnɑd
იმპერატორი	impʼɛrɑtʼɔri
კაზუისტი	kʼɑzuistʼi
სასხორი	sɑsxɔri
თქვენთვის	tʰkʰvɛntʰvis
ქონება	kʰɔnɛbɑ
უცხო	ut͡sxɔ
მეტეორიზმი	mɛtʼɛɔrizmi
ხარაკირი	xɑrɑkʼiri
ძუძუ	d͡zud͡zu
ბიუჯეტი	biud͡ʒɛtʼi
გემო	ɡɛmɔ
ქრება	kʰrɛbɑ
ალმანახი	ɑlmɑnɑxi
ეწვევა	ɛt͡sʼvɛvɑ
უპირველესად	upʼirvɛlɛsɑd
ივნისის	ivnisis
ტროლი	tʼrɔli
ხელოვანი	xɛlɔvɑni
საკიდარი	sɑkʼidɑri
კანონიკური	kʼɑnɔnikʼuri
დროსტარება	drɔstʼɑrɛbɑ
დამჯერი	dɑmd͡ʒɛri
მუსლიმი	muslimi
უწიგნური	ut͡sʼiɡnuri
სათანადოდ	sɑtʰɑnɑdɔd
რეჟისორი	rɛʒisɔri
შემომეჭამა	ʃɛmɔmɛt͡ʃʼɑmɑ
უზარმაცესი	uzɑrmɑt͡sɛsi
ხერხემალი	xɛrxɛmɑli
ალბათობა	ɑlbɑtʰɔbɑ
ვირუსი	virusi
მაგიერ	mɑɡiɛr
სეირნობს	sɛirnɔbs
გამბია	ɡɑmbiɑ
ხვეული	xvɛuli
ტენიანობა	tʼɛniɑnɔbɑ
დედამოტყნული	dɛdɑmɔtʼqʼnuli
ცენტრიდანული	t͡sɛntʼridɑnuli
უზრუნველი	uzrunvɛli
დაკოჟრებული	dɑkʼɔʒrɛbuli
ტონაჟი	tʼɔnɑʒi
მქონდა	mkʰɔndɑ
შეთანხმებისამებრ	ʃɛtʰɑnxmɛbisɑmɛbr
ტანჯავს	tʼɑnd͡ʒɑvs
თვისება	tʰvisɛbɑ
ღვთისმშობლით	ɣvtʰismʃɔblitʰ
ნახშირი	nɑxʃiri
შავი	ʃɑvi
ვულგარული	vulɡɑruli
მწყურია	mt͡sʼqʼuriɑ
ვიქტორია	vikʰtʼɔriɑ
ნორმატიული	nɔrmɑtʼiuli
აწმყოთი	ɑt͡sʼmqʼɔtʰi
ტყაპანით	tʼqʼɑpʼɑnitʰ
ჭედვა	t͡ʃʼɛdvɑ
ლორდი	lɔrdi
მტვერსასრუტი	mtʼvɛrsɑsrutʼi
მინდვრად	mindvrɑd
პირუკუ	pʼirukʼu
აამებს	ɑɑmɛbs
პრაგმატიზმი	pʼrɑɡmɑtʼizmi
აკრძალული	ɑkʼrd͡zɑluli
არტისტიზმი	ɑrtʼistʼizmi
მეიდანი	mɛidɑni
მიწა	mit͡sʼɑ
ასფალტი	ɑspʰɑltʼi
სინდრომი	sindrɔmi
შტატები	ʃtʼɑtʼɛbi
ქორწინება	kʰɔrt͡sʼinɛbɑ
სინოპტიკურად	sinɔpʼtʼikʼurɑd
ჯვარედინი	d͡ʒvɑrɛdini
დათო	dɑtʰɔ
ბუზანკალი	buzɑnkʼɑli
ოსტრი	ɔstʼri
კონფედერაცია	kʼɔnpʰɛdɛrɑt͡siɑ
ორთაჭალა	ɔrtʰɑt͡ʃʼɑlɑ
ქეთინო	kʰɛtʰinɔ
ანატომიურად	ɑnɑtʼɔmiurɑd
საკითხი	sɑkʼitʰxi
ბრუნი	bruni
დესპოტური	dɛspʼɔtʼuri
ამხანაგობა	ɑmxɑnɑɡɔbɑ
მარგარიტი	mɑrɡɑritʼi
ვარსკვლავური	vɑrskʼvlɑvuri
სანგარი	sɑnɡɑri
იაფფასიანი	iɑpʰpʰɑsiɑni
აუწერლად	ɑut͡sʼɛrlɑd
ხრინწიანად	xrint͡sʼiɑnɑd
ატენიანებს	ɑtʼɛniɑnɛbs
რუბიკონი	rubikʼɔni
ისლანდია	islɑndiɑ
ტამბურინი	tʼɑmburini
რესპექტაბელურად	rɛspʼɛkʰtʼɑbɛlurɑd
ბარბაცით	bɑrbɑt͡sitʰ
პატრული	pʼɑtʼruli
მოურიდებლად	mɔuridɛblɑd
სისუსტე	sisustʼɛ
პეტუნია	pʼɛtʼuniɑ
უკუქმედება	ukʼukʰmɛdɛbɑ
ჩინეთს	t͡ʃinɛtʰs
ნუღარ	nuɣɑr
თავდაჭერილი	tʰɑvdɑt͡ʃʼɛrili
იარლიყი	iɑrliqʼi
საკვამური	sɑkʼvɑmuri
ფილოლოგია	pʰilɔlɔɡiɑ
უხერხულად	uxɛrxulɑd
ჭიპი	t͡ʃʼipʼi
ბონბონიერი	bɔnbɔniɛri
დაიურვებს	dɑiurvɛbs
წაშლა	t͡sʼɑʃlɑ
ანალიტიკოსი	ɑnɑlitʼikʼɔsi
ნეონი	nɛɔni
იონიზაცია	iɔnizɑt͡siɑ
სუვენირი	suvɛniri
მუთაქა	mutʰɑkʰɑ
პუბლიცისტი	pʼublit͡sistʼi
ღვიძლები	ɣvid͡zlɛbi
კონსისტენცია	kʼɔnsistʼɛnt͡siɑ
სავარცხელი	sɑvɑrt͡sxɛli
ერთსულოვნება	ɛrtʰsulɔvnɛbɑ
მაესტრო	mɑɛstʼrɔ
ფრონტონი	pʰrɔntʼɔni
ჟურნალი	ʒurnɑli
აზნაური	ɑznɑuri
სპონტანურობა	spʼɔntʼɑnurɔbɑ
უვნებელი	uvnɛbɛli
მოდი	mɔdi
ნავსადგური	nɑvsɑdɡuri
ქუჩა	kʰut͡ʃɑ
მართა	mɑrtʰɑ
ელექტროლიტი	ɛlɛkʰtʼrɔlitʼi
გისურვებთ	ɡisurvɛbtʰ
ფანქარი	pʰɑnkʰɑri
ვატი	vɑtʼi
განზრახ	ɡɑnzrɑx
არასანუგეშო	ɑrɑsɑnuɡɛʃɔ
ფილისტერი	pʰilistʼɛri
ათლეტის	ɑtʰlɛtʼis
ისტორიით	istʼɔriitʰ
ექო	ɛkʰɔ
პასუხის	pʼɑsuxis
რუბიდიუმი	rubidiumi
დაბადების	dɑbɑdɛbis
ბეჩავი	bɛt͡ʃɑvi
კვეთს	kʼvɛtʰs
შანსი	ʃɑnsi
ქრიზანთემა	kʰrizɑntʰɛmɑ
წინამძღვარი	t͡sʼinɑmd͡zɣvɑri
შესატყვისობა	ʃɛsɑtʼqʼvisɔbɑ
სერი	sɛri
უკაცრიელი	ukʼɑt͡sriɛli
ახვარი	ɑxvɑri
ჭყვლეპავს	t͡ʃʼqʼvlɛpʼɑvs
უგუნურად	uɡunurɑd
უნამუსოდ	unɑmusɔd
ტურბინა	tʼurbinɑ
ჭრიალით	t͡ʃʼriɑlitʰ
უტოპია	utʼɔpʼiɑ
უტოპიური	utʼɔpʼiuri
ხარ	xɑr
ამიერკავკასია	ɑmiɛrkʼɑvkʼɑsiɑ
მიწიერი	mit͡sʼiɛri
ბოლოს	bɔlɔs
მართი	mɑrtʰi
საპირისპირო	sɑpʼirispʼirɔ
შეუდარებელი	ʃɛudɑrɛbɛli
ვანუატუ	vɑnuɑtʼu
აბინძურებს	ɑbind͡zurɛbs
ინდივიდუუმი	individuumi
ბუდიზმი	budizmi
ჩაზნექილობა	t͡ʃɑznɛkʰilɔbɑ
სემინარისტი	sɛminɑristʼi
დაასურათებს	dɑɑsurɑtʰɛbs
ლოცმანი	lɔt͡smɑni
ეკონომიკამ	ɛkʼɔnɔmikʼɑm
სიკაშკაშე	sikʼɑʃkʼɑʃɛ
ხევსური	xɛvsuri
მტკიცებითი	mtʼkʼit͡sɛbitʰi
წყალმა	t͡sʼqʼɑlmɑ
კუდი	kʼudi
სათნოება	sɑtʰnɔɛbɑ
გლუკოზა	ɡlukʼɔzɑ
ადმინისტრაციულად	ɑdministʼrɑt͡siulɑd
კარად	kʼɑrɑd
იდეა	idɛɑ
თირკმელი	tʰirkʼmɛli
ნამჯა	nɑmd͡ʒɑ
პრომეთიუმი	pʼrɔmɛtʰiumi
კაი	kʼɑi
ჟანდარმერია	ʒɑndɑrmɛriɑ
ფილოლოგი	pʰilɔlɔɡi
ფლიუგერი	pʰliuɡɛri
ზადენი	zɑdɛni
დიქტატორული	dikʰtʼɑtʼɔruli
ამძვრალი	ɑmd͡zvrɑli
არჩილ	ɑrt͡ʃil
ჩობანი	t͡ʃɔbɑni
მოდურად	mɔdurɑd
ნერვი	nɛrvi
თხოვს	tʰxɔvs
ტაილანდი	tʼɑilɑndi
წამიერად	t͡sʼɑmiɛrɑd
მეგატონი	mɛɡɑtʼɔni
სერთუკი	sɛrtʰukʼi
ნერვულობა	nɛrvulɔbɑ
აკაჟუ	ɑkʼɑʒu
რადგან	rɑdɡɑn
უკბილო	ukʼbilɔ
კომფორტაბელურად	kʼɔmpʰɔrtʼɑbɛlurɑd
მასალა	mɑsɑlɑ
ზებუნებრივად	zɛbunɛbrivɑd
არდადეგები	ɑrdɑdɛɡɛbi
მინანქარი	minɑnkʰɑri
გალერა	ɡɑlɛrɑ
ძალადობა	d͡zɑlɑdɔbɑ
ჭკა	t͡ʃʼkʼɑ
დაგლეჯილი	dɑɡlɛd͡ʒili
ფანდი	pʰɑndi
მოდერნიზაცია	mɔdɛrnizɑt͡siɑ
კონსტიტუცია	kʼɔnstʼitʼut͡siɑ
ყივანახველა	qʼivɑnɑxvɛlɑ
სამსხვერპლო	sɑmsxvɛrpʼlɔ
დიქტატურა	dikʰtʼɑtʼurɑ
ტბა	tʼbɑ
მტკივა	mtʼkʼivɑ
ფილთაქვა	pʰiltʰɑkʰvɑ
კოდი	kʼɔdi
ქვესკნელი	kʰvɛskʼnɛli
თერაპევტული	tʰɛrɑpʼɛvtʼuli
გუდაუთა	ɡudɑutʰɑ
ამხანაგი	ɑmxɑnɑɡi
ბაიაშვილი	bɑiɑʃvili
ტაბლო	tʼɑblɔ
ოთხმოცდაორი	ɔtʰxmɔt͡sdɑɔri
ანახშირებს	ɑnɑxʃirɛbs
სი	si
უსახელაური	usɑxɛlɑuri
ოპერაციული	ɔpʼɛrɑt͡siuli
ზედაპირულად	zɛdɑpʼirulɑd
დიპლომატიურად	dipʼlɔmɑtʼiurɑd
ჰომოსექსუალობა	hɔmɔsɛkʰsuɑlɔbɑ
სანდომიანი	sɑndɔmiɑni
იდეალისტური	idɛɑlistʼuri
გარდამავალი	ɡɑrdɑmɑvɑli
პრობლემა	pʼrɔblɛmɑ
დასვენება	dɑsvɛnɛbɑ
შედის	ʃɛdis
კავშირით	kʼɑvʃiritʰ
აკადემიით	ɑkʼɑdɛmiitʰ
მედდა	mɛddɑ
დიაღ	diɑɣ
გამოსასყიდი	ɡɑmɔsɑsqʼidi
სიმპათია	simpʼɑtʰiɑ
მებათქაშე	mɛbɑtʰkʰɑʃɛ
აუტანელი	ɑutʼɑnɛli
მაისი	mɑisi
ფეტვი	pʰɛtʼvi
საზოგადოებით	sɑzɔɡɑdɔɛbitʰ
სიადვილე	siɑdvilɛ
გოგოთ	ɡɔɡɔtʰ
აბონენტი	ɑbɔnɛntʼi
ჩახლართული	t͡ʃɑxlɑrtʰuli
კავშირი	kʼɑvʃiri
ქისა	kʰisɑ
ტირის	tʼiris
საერთოდ	sɑɛrtʰɔd
გაამდიდრებს	ɡɑɑmdidrɛbs
სუფთად	supʰtʰɑd
გარანტი	ɡɑrɑntʼi
სტვირი	stʼviri
ფრენა	pʰrɛnɑ
კვეთები	kʼvɛtʰɛbi
მჩქეფარე	mt͡ʃkʰɛpʰɑrɛ
ხანმოკლეობა	xɑnmɔkʼlɛɔbɑ
ჩვეულება	t͡ʃvɛulɛbɑ
იასონი	iɑsɔni
პრეტორი	pʼrɛtʼɔri
გამოყენებადი	ɡɑmɔqʼɛnɛbɑdi
რენტაბელური	rɛntʼɑbɛluri
სამხრე	sɑmxrɛ
პაიკი	pʼɑikʼi
ბრინჯი	brind͡ʒi
მოტოციკლი	mɔtʼɔt͡sikʼli
პარტიის	pʼɑrtʼiis
გაშვება	ɡɑʃvɛbɑ
ნიგოზი	niɡɔzi
კიბორჩხალა	kʼibɔrt͡ʃxɑlɑ
დარჩეული	dɑrt͡ʃɛuli
კრეოზოტი	kʼrɛɔzɔtʼi
მობილურობა	mɔbilurɔbɑ
შთამბეჭდავად	ʃtʰɑmbɛt͡ʃʼdɑvɑd
ჟირაფი	ʒirɑpʰi
ტერიტორიული	tʼɛritʼɔriuli
ზერელედ	zɛrɛlɛd
ულოგიკობა	ulɔɡikʼɔbɑ
ჩეხეთი	t͡ʃɛxɛtʰi
ადრეული	ɑdrɛuli
ხარჩო	xɑrt͡ʃɔ
ტურა	tʼurɑ
დაუდგრომლობა	dɑudɡrɔmlɔbɑ
ასიმილაცია	ɑsimilɑt͡siɑ
ცენტურიონი	t͡sɛntʼuriɔni
უაღრესად	uɑɣrɛsɑd
ფესვი	pʰɛsvi
გადაუხდელობა	ɡɑdɑuxdɛlɔbɑ
რომანი	rɔmɑni
ჩრდილოეთით	t͡ʃrdilɔɛtʰitʰ
ჯვარცმა	d͡ʒvɑrt͡smɑ
ცხიმოვანი	t͡sximɔvɑni
კრეფა	kʼrɛpʰɑ
ზალვანა	zɑlvɑnɑ
დაკავებული	dɑkʼɑvɛbuli
რუსული	rusuli
აინტერესებს	ɑintʼɛrɛsɛbs
უხმოდ	uxmɔd
გრადუსი	ɡrɑdusi
მდომებია	mdɔmɛbiɑ
ნეტავ	nɛtʼɑv
პოტაში	pʼɔtʼɑʃi
ქისტი	kʰistʼi
ვნებიანად	vnɛbiɑnɑd
სიმულანტი	simulɑntʼi
მშვენივრად	mʃvɛnivrɑd
რეჰანით	rɛhɑnitʰ
თივა	tʰivɑ
ციმციმი	t͡simt͡simi
წურავს	t͡sʼurɑvs
ენები	ɛnɛbi
გულუხვი	ɡuluxvi
რადიოლოგი	rɑdiɔlɔɡi
უბრალო	ubrɑlɔ
სასიყვარულო	sɑsiqʼvɑrulɔ
ლაიფციგი	lɑipʰt͡siɡi
პორტფელი	pʼɔrtʼpʰɛli
დისიდენტი	disidɛntʼi
ბასრად	bɑsrɑd
ატლანტი	ɑtʼlɑntʼi
ია	iɑ
ცოტცოტაობით	t͡sɔtʼt͡sɔtʼɑɔbitʰ
ცვეტში	t͡svɛtʼʃi
ანიმიზმი	ɑnimizmi
რებეკა	rɛbɛkʼɑ
მონოლითი	mɔnɔlitʰi
ლაშქრობა	lɑʃkʰrɔbɑ
უთესავს	utʰɛsɑvs
ნესტარი	nɛstʼɑri
ამოცნობა	ɑmɔt͡snɔbɑ
მძღნერი	md͡zɣnɛri
გამოუსწორებლად	ɡɑmɔust͡sʼɔrɛblɑd
ანემია	ɑnɛmiɑ
ერთსულოვანი	ɛrtʰsulɔvɑni
შეცბუნებული	ʃɛt͡sbunɛbuli
ხერხი	xɛrxi
ქარვასლა	kʰɑrvɑslɑ
დაუოკებლად	dɑuɔkʼɛblɑd
შინაბერა	ʃinɑbɛrɑ
ბრიჯი	brid͡ʒi
კოკაინი	kʼɔkʼɑini
პანიკიორი	pʼɑnikʼiɔri
ბრალეული	brɑlɛuli
მესხაძე	mɛsxɑd͡zɛ
იაპონური	iɑpʼɔnuri
ამოთითხნილი	ɑmɔtʰitʰxnili
ჰერცი	hɛrt͡si
ტრივიალურად	tʼriviɑlurɑd
უკვამლო	ukʼvɑmlɔ
იდიოტი	idiɔtʼi
გაიხსენებს	ɡɑixsɛnɛbs
ჰედონისტური	hɛdɔnistʼuri
ნოქტიურნი	nɔkʰtʼiurni
მარხვა	mɑrxvɑ
აქ	ɑkʰ
თანი	tʰɑni
როქი	rɔkʰi
სიმრგვალე	simrɡvɑlɛ
ამოყვანილი	ɑmɔqʼvɑnili
გამოკვლევა	ɡɑmɔkʼvlɛvɑ
გაბერილი	ɡɑbɛrili
მთავრობით	mtʰɑvrɔbitʰ
აჭარა	ɑt͡ʃʼɑrɑ
ურია	uriɑ
ლუქავს	lukʰɑvs
უმაღლესი	umɑɣlɛsi
წამწამი	t͡sʼɑmt͡sʼɑmi
მეთექვსმეტე	mɛtʰɛkʰvsmɛtʼɛ
ხოგაი	xɔɡɑi
ხაჭო	xɑt͡ʃʼɔ
