خطابت	xətˈaːbət
ہشتنگری	hˈʌʃtənˌəɡrˌiː
ملتی	mˈɪlti
ماہندہ	maːhˈʌnda
جانئےماہر	ɟˌaːneːmˈaːhər
ڈراپ	ɖərˈaːp
آذان	aːzˈaːn
سبھاش	səbʰˈaːʃ
ورکر	ʋˈarkar
صحافی	ʂəhˈaːfi
ایشیا	ˈeːʃjaː
گنبد	ɡˈʌnbəd
پرگاڑیوں	pˌərɡˈaːr.iˌõː
اخلاص	ˌaxlˈaːʂ
حیرانی	heːrˈaːni
سبز	sˈabz
کااظہارمذمت	kˌaːaːʐhˈaːrəmˌəzəmˌət
کوالیفائرز	kˌʊaːlifˈa͡ɪrz
سردائی	sərdˈaːi
دوستین	dˌoːstˈiːn
باغ	bˈaːɣ
بچھی	bˈɪcʰi
اوریہاں	oːrˈiːhãː
ٹیو	ʈˈeːoː
فوتگی	fˈoːtɡˌiː
بجری	bˈʌɟrˌiː
کیبن	kˈeːbən
یورالوجی	jˌɔraːlˈoːɟi
حرکتوں	hˈarkatˌõː
سابق	sˈaːbɪq
ٹمبر	ʈˈʌmbər
ہیڈکوارٹرہسپتال	hˌeːɖkʋˈaːrʈərˌəhəsˌəptˌaːl
سٹرٹیجک	sˌəʈrʈˈiːɟək
سنوائی	sənʋˈaːi
اسٹارک	ɪsʈˈaːrək
کارلا	kˈaːrlˌaː
مائیگرنٹس	mˌaːiɡˌərənˈʌʈs
اول	ˈaʋʋal
سلیمی	səlˈiːmi
قانونی	qˈaːnuːnˌiː
منحصر	mˌʊnhˈaʂɪr
دخیل	dəxˈiːl
پرکھڑے	pˈʌrəkʰr.eː
زعہ	zˈaːa
گڑھا	ɡˈʌr.haː
ہتھیانے	hətʰjˈaːneː
گفتگو	ɡˈʊftˌʊɡuː
راجستھان	rˌaːɟəstʰˈaːn
اند	ˈand
کولون	koːlˈoːn
طیب	tˌaiˈab
طلباؤ	tˌəlbˈaːoː
بلو	bˈʌloː
شہاد	ʃəhˈaːd
پربمباری	pˌərəbmbˈaːri
ورزیوں	ʋˈʌrzˌiõː
چھتوں	cʰˈʌtõː
گزررہے	ɡʊzˈarrəhˌeː
شورو	ʃˈoːroː
فاتح	fˈaːtɛh
مویشیوں	maʋˈiːʃiˌõː
گرنا	ɡˈɪrnaː
نائیجریا	nˌaːiɟˈʌrjaː
منظم	mʊnˈaʐʐam
آکوڑہ	aːkˈoːr.ˌa
نوابی	nˈaʋaːbˌiː
ڈاکخانہ	ɖˌaːkxˈaːnˌa
اجاگزر	aɟˈaːɡəzˌər
تشخیصی	tˌəʃxˈiːʂi
ڈیموکریٹ	ɖeːmˈoːkreːʈ
انکل	ˈanəkˌəl
کیپسول	kˌeːpsˈoːl
اورمیں	ˈoːrmˌẽː
جاگی	ɟˈaːɡi
سبط	sˈʌbət
درکار	dˌərkˈaːr
چھپاتے	cʰəpˈaːteː
انٹرفیس	ɪnʈˈarfis
کھال	kʰˈaːl
شوگرملزمیں	ʃˌoːɡərmˈʊlzˌɪmẽː
الزماں	alzˈʌmãː
پالش	pˈaːləʃ
شکنجہ	ʃɪkˈanɟa
وم	ʋˈʌm
نمبری	nˈʌmbərˌiː
نشاستہ	nəʃˈaːstˌa
گلی	ɡˈʌli
کپڑے	kˈʌpr.ˌeː
کوٹ	kˈoːʈ
موڈی	mˈoːɖi
ہوگاجس	hoːɡˈaːɟəs
کٹ	kˈʌʈ
کمرشلز	kˈʌmərˌəʃəlˌəz
آرپار	ˌaːrpˈaːr
کولیشن	kˌoːleːʃˈan
پرعدم	pərˈaːdəm
سلیقے	səlˈiːqeː
اندورنی	ˈandoːrni
ریلویز	rˈeːlʋiz
کھلا	kʰˈʌlaː
چارٹس	cˈaːrʈs
کھیلو	kʰˈeːloː
بیٹس	bˈeːʈs
ایوانوں	eːʋˈaːnõː
استعفا	ɪstˈeːfaː
بھجوائی	bʰəɟʋˈaːi
ہل	hˈɪl
فلٹریشن	fˌɪlʈareːʃˈan
ہمارے	həmˈaːreː
خاک	xˈaːk
ضلعی	zɪlˈai
وفادار	ʋˌəfaːdˈaːr
من	mˈʌn
اچھے	ˈacʰeː
ٹیکنیشنز	ʈˌeːkneːʃˈanz
منگلا	mˈʌnəɡlaː
الجزائر	alɟəzˈa͡ɪr
شولڈر	ʃˈoːlɖər
الہام	alhˈaːm
وزار	ʋəzˈaːr
کارآمد	kaːrˈaːməd
برآمدکرلی	bərˈaːmədˌəkərli
سٹک	sˈʌʈək
شگفتہ	ʃaɡˈʊfta
الاوٴنس	ˈalɪflˈaːmˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːrnˈuːnsˈiːn
مہذب	mˌʊhaðˈab
کڑاکڑ	kər.ˈaːkər.
ادیب	adˈiːb
بغیروارنٹ	bəɣˈiːrʋaːrˌənʈ
واٹرنگ	ʋˈaːʈrˌɪnɡ
مہلک	mˈʊhlɪk
کردئیے	kˈʌrdəjˌeː
فتوحی	fətˈoːhi
فتہ	fˈʌta
لگتی	lˈʌɡtˌiː
ہائیٹ	haːˈiːʈ
کرپائیں	kˌərpˈaːẽː
سائٹی	sˈa͡ɪʈi
بلاقی	bəlˈaːqi
بچاسکتا	bəcˈaːsəktaː
علت	ɪllˈat
وحیدالدین	ʋˌəhidˌaːldˈiːn
مندر	mˈandɪr
آرز	ˈaːrəz
تھوک	tʰˈoːk
انہضام	ˌɪnhɪzˈaːm
پھینٹا	pʰˈeːnʈaː
تعینا	tˈainˌaː
وارکرکے	ʋˈaːrəkˌərkˌeː
تھرلر	tʰˈʌrəlˌər
میٹک	mˈeːʈək
فٹبالر	fˌəʈbˈaːlɪr
لز	lˈʌz
املی	ˈamlˌiː
ناموافق	nˌaːmaʋˈaːfɪq
فالتو	fˈaːltˌoː
زمینی	zəmˈiːni
گھرپہنچا	ɡʰˌərpahˈʊncaː
خفت	xɪffˈat
گھیا	ɡʰjˈaː
بناؤ	bənˈaːoː
برامد	bərˈaːməd
پوچھاکہ	pˈuːcʰaːka
کررہیں	kˈʌrərhẽː
مکھرجی	mˈʌkʰərɟi
دفنایا	dˌəfnˈaːjaː
میرٹ	mˈeːrʈ
سرٹیفکیٹس	sˌərʈifkˈiːʈs
آئلی	ˈaːɪlˌiː
امید	ʊmˈiːd
کوحکم	kˈoːhəkˌəm
اسپانسرز	ɪspˈaːnsərz
کودبئی	kˌoːdbˈai
محرکات	mˌʊharɪkˈaːt
قابو	qˈaːbuː
پاوں	pˈaːõː
برنالہ	bˌərnˈaːlˌa
دینار	deːnˈaːr
اکاسی	akˈaːsi
کھری	kʰˈʌri
شطرنج	ʃˈatranɟ
توانا	tˈaʋaːnˌaː
آئمہ	ˈaːɪma
چارا	cˈaːraː
محفو	mˈɛhfoː
گوجرانوالا	ɡˌoːɟrˈaːnʋaːlˌaː
النمر	alnˈʌmər
کریمینل	kˌərimˈiːnəl
سبطین	sˌəbtˈiːn
عراقیوں	arˈaːqiˌõː
کوسراہتے	kˌoːsrˈaːhteː
پانڈے	pˈaːnɖeː
فراخ	fərˈaːx
چنگچی	cˈʌnəɡci
سکالرز	sˌəkaːlˈʌrz
نافز	nˈaːfɪz
کاروائیوں	kˈaːrʋaːˌiõː
سوشلسٹ	sˈoːʃəlɪsʈ
محمدنے	mˌʊhammˈadneː
ٹرانسفارمرز	ʈrˈaːnsəfˌaːrəmˌərz
نواسی	nˈaʋaːsˌiː
ئل	lˈʌ
اکاؤنٹنٹ	ˌakaːˈoːnəʈˌənʈ
کیمیکل	keːmˈiːkəl
سنسرز	sənsˈʌrz
پورکے	pˈoːrkˌeː
کنکٹ	kˈʌnəkˌəʈ
رعائت	raːˈɪt
برانچیں	bərˈaːncẽː
تاہی	tˈaːhi
آوور	aːʋˈoːr
نےبھارتی	neːbʰˈaːrtˌiː
رمیں	rˈʌmẽː
پرنیا	pərˈʌnjaː
وتحمل	ʋˈʌtəhˌəməl
ریمانڈکے	reːmˈaːnɖəkˌeː
جہازوں	ɟəhˈaːzõː
جبرائیل	ɟˌəbraːˈiːl
اگانے	ʊɡˈaːneː
الجبوری	alɟəbˈoːri
دیتاہوں	deːtˈaːhõː
برہنہ	bˈarhanˌa
ٹوئٹر	ʈoːˈɪʈər
پکوان	pəkʋˈaːn
راجکمار	rˌaːɟəkmˈaːr
سیلینا	seːlˈiːnaː
عطائی	atˈaːi
چھینے	cʰˈiːneː
کیج	kˈeːɟ
نمبرپربنگلہ	nˈʌmbərˌəpərˌəbənˌəɡəla
اورمحکمہ	ˌoːrmeːhˈeːkma
پارٹیزکانفرنس	pˈaːrʈizkaːnˌəfərˌəns
یونائیٹڈ	jˌɔnaːˈiːʈəɖ
دغا	dˈʌɣaː
کورئیر	kˌoːrˈiːr
مندرجہ	məndˈarɟa
جاگتا	ɟˈaːɡtˌaː
کلہ	kˈʌlˌa
مشتا	mˈʊʃtaː
کااسلامی	kaːˌɪslˈaːmi
باسمتی	bˈaːsɪmti
رحمتہ	rˈʌhəmta
پمپنگ	pˈʌmpɪnɡ
بولیوڈ	bˌoːleːˈoːɖ
سنچورین	sˌəncoːrˈiːn
حذیفہ	həzˈiːfˌa
جواپنے	ɟˈaʋaːpneː
معصو	mˈaːʂoː
بلد	bˈʌləd
اوسلو	ˈoːslˌoː
افرادزیر	ˌafrˌaːdzˈiːr
شرابا	ʃərˈaːbaː
مشنز	məʃˈanz
سرفس	sˈʌrəfˌəs
ہرن	hˈʌrən
ڈھاگا	ɖʰˈaːɡaː
چڑ	cˈɪr.
ڈھیلی	ɖʰˈiːli
کاہان	kaːhˈaːn
مبہم	mʊbhˈam
سے	seː
اہکاروں	ˈahkaːrˌõː
سندس	sˈʌndəs
رہاہوں	rəhˈaːhõː
موثر	mˈoːsər
سوئم	soːˈɪm
صلیب	ʂəlˈiːb
ویلروں	ʋˈeːlrˌõː
پمپس	pˈʌmpəs
لہرا	lˈɛhraː
تھیلوں	tʰˈeːlõː
نغمی	nˈaɣmi
کامسودہ	kˌaːmsˈoːda
داروغہ	daːrˈoːɣˌa
بے	beː
بارہواں	baːrˈʌhʋãː
ارشد	ˈarʃad
اورعمران	ˌoːraːmrˈaːn
بلاتاخیر	bˌəlaːtaːxˈiːr
غیرذمہ	ɣˈeːrəzˌəmˌa
بھاگنے	bʰˈaːɡnˌeː
پیداہو	peːdˈaːhoː
خانم	xˈaːnəm
کھاتوں	kʰˈaːtõː
مایوس	mˈaːjuːs
ہمشکل	hˈamʃakl
اصلاحات	ˌɪʂlˈaːhaːt
تلا	tˈʌlaː
لکھوں	lˈɪkʰũː
توآج	taʋˈaːɟ
دورکے	dˈoːrkˌeː
طیش	tˈeːʃ
داتادربار	dˌaːtaːdˌərbˈaːr
کبوتروں	kəbˈoːtrˌõː
گلبر	ɡˈʊlbər
ہندوستانیوں	hˌɪnduːstˈaːniˌõː
شمارے	ʃʊmˈaːreː
اسمگلر	ɪsmˈaɡlər
جہانزیب	ɟˌəhaːnzˈiːb
لاس	lˈaːs
پشاورسمیت	pˌəʃaːʋˌərəsˌəmiˈat
کوپورا	koːpˈoːraː
سنجو	sˈʌnɟoː
کھا	kʰˈaː
پیسفک	pˈeːsəfˌək
علوم	ʊlˈuːm
کوغلط	kˈoːɣəlˌət
پریمی	pərˈiːmi
توقع	taʋˈaqoː
شاہراہوں	ʃˈaːhraːhˌõː
جرمانہ	ɟʊrmˈaːna
ہینڈز	hˈeːnɖz
ایگزیکٹیو	ˌeːɡzˈeːkʈeːˌoː
بجائے	bəɟˈaːeː
دوحصوں	dˈoːhəʂˌõː
مینڈس	mˈeːnɖəs
طبع	tˈʌbaː
بزدلانہ	bˌʊzdɪlˈaːnˌa
بھنڈارا	bʰənɖˈaːraː
ہیو	hˈeːoː
جے	ɟˈeː
کراؤں	kˌəraːˈoːn
بدحالی	bˌədhˈaːli
قینچی	qˈeːnci
برنارڈ	bˌərnˈaːrɖ
مٹول	məʈˈoːl
ہاکنگ	hˈaːkɪnɡ
انسداددہشت	ˌɪnsɪdˌaːddˈɛhʃˈat
مایہ	mˈaːja
تکلیفیں	tˌəklˈiːfẽː
سٹارچ	sʈˈaːrc
کانسٹبل	kˈaːnsʈəbˌəl
اڈے	ˈaɖeː
آکٹوپس	ˌaːkʈˈoːpəs
چئرمین	cˌərmˈiːn
اشرف	ˈaʃraf
صدرمحمود	ʂˌədərˌəməhəmˈoːd
جاننے	ɟˈaːnnˌeː
فورسز	fˈoːrsɪz
متحدہو	mʊtˈahɪdhˌoː
تھما	tʰˈʌmaː
ٹماٹو	ʈəmˈaːʈoː
پردو	pˈʌrdoː
اسیسمنٹ	asˈiːsəmˌənʈ
بڈھانوی	bʊɖʰˈaːnʋi
پطرہ	pˈʌtəra
رویہ	raʋˈaiˌa
وفعل	ʋəfˈaːl
بچن	bˈʌcən
گڑبڑ	ɡˈʌr.əbˌər.
مشقت	mʊʃˈaqːat
قہ	qˈʌa
اشر	ˈaʃər
سپیشلسٹ	speːʃˈalɪsʈ
مطلع	mˈʌtlˌaː
سنبل	sˈʌnbəl
سبوتاڑ	sˌəboːtˈaːr.
میراں	mˈeːrãː
گلوکاروں	ɡˌəloːkˈaːrõː
کتابچہ	kɪtˈaːbca
ماسک	mˈaːsk
مومل	mˈoːməl
مزیداضافہ	mˌəzidaːzˈaːfˌa
پارچے	pˈaːrceː
پردیش	pərdˈiːʃ
فصلیں	fˈʌʂlˌẽː
برق	bˈarq
چندی	cˈʌndi
لمبائی	ləmbˈaːi
ﷲ	ˈallaːh
سگار	səɡˈaːr
کوسٹر	kˈoːsʈər
نفاق	nəfˈaːq
نور	nˈuːr
خارش	xˈaːrɪʃ
صبروجمیل	ʂˌəbrˌuːɟmˈiːl
مبرا	mˈʌbrˌaː
قحط	qˈʌhət
کرچکے	kˈʌrcəkˌeː
ہنرمندی	hˌʊnarmˈandi
حماس	həmˈaːs
برٹن	bˈʌrʈən
شرفی	ʃˈʌrfˌiː
دیگان	deːɡˈaːn
جائینگی	ɟaːˈiːnɡˌiː
پروقار	pˌəroːqˈaːr
پوٹر	pˈoːʈər
پہنچانا	pahˈʊncaːnˌaː
لکھاکہ	lˈɪkʰaːka
میوزیکل	mˌeːoːzˈiːkəl
سوں	sˈõː
وابستگیاں	ʋaːbˈastɡjãː
صنعتکاروں	ʂanˈatkaːrˌõː
موقعہ	moːqˈaːa
نوافل	nˈaʋaːfˌəl
چنڑ	cˈʌnər.
سیبوں	sˈeːbõː
جنیدخان	ɟˌənidxˈaːn
شریانیں	ʃərjˈaːnẽː
ایکو	ˈeːkoː
سختی	sˈʌxtˌiː
روٹیوں	rˈoːʈiˌõː
درمیا	dərˈʌmjaː
کشش	kˈaʃɪʃ
بہنے	bˈaneː
بالی	bˈaːli
دھماکےایکسائیز	dʰˌəmaːkˌeːaːˌiːksaːˈiːz
آماجگاہ	ˌaːmaːɟɡˈaːh
تورڈھیر	tˈoːrɖʰir
سوگ	sˈoːɡ
غیرجانبدارانہ	ɣˌeːrɟˈaːnɪbdˌaːraːna
امیداور	ʊmˈiːdaːʋˌər
کنوینس	kənʋˈiːns
بڑھوتری	bˈar.hoːtri
اردل	ˈardəl
برینٹ	bərˈiːnʈ
اتروں	ˈʊtrõː
فورکاسٹنگ	fˌoːrkˈaːsʈɪnɡ
سکوت	sʊkˈuːt
پرویزکیانی	pˌərʋizkjˈaːni
نیئر	neːˈar
اپٹما	ˈapəʈmaː
فائد	fˈa͡ɪd
ہرفرد	hˌərəfˈʌrd
تفاوت	təfˈaːʋət
نشانہ	nɪʃˈaːna
وضلعی	ʋˌəzlˈai
موئثر	mˌoːasˈar
ضرور	zarˈuːr
گولڈن	ɡˈoːlɖən
اقرا	ˈaqrˌaː
فنکاروں	fˌənkˈaːrõː
مجروح	mˌəɟrˈuːh
سفیراور	sˌəfirˈaːʋər
کینوس	kɛnʋˈas
میڈیسن	meːɖˈiːsən
پڑتاہے	pˌər.tˈaːheː
دہرائے	dɔhrˈaːeː
چیمپئنز	cˈeːmpənˌəz
ٹائپنگ	ʈˈa͡ɪpɪnɡ
سٹل	sˈʌʈəl
اعصابی	aːʂˈaːbi
اوئے	ˈoːeː
موجودہے	moːɟˈuːdheː
اہلیہ	ˈahliˌa
گورگیج	ɡˌoːrɡˈiːɟ
پیرسے	pˈeːrsˌeː
ایکسپورٹر	ˌeːkəspˈoːrʈər
عافیہ	aːfˈiːa
راجہ	rˈaːɟˌa
گلبرک	ɡˈʊlbərˌək
ویجیلینس	ʋˌeːɟilˈiːns
سلنڈرز	sˌələnɖˈʌrz
چھوڑ	cʰˈoːr.
شراوت	ʃərˈaːʋət
اکسانے	ʊksˈaːneː
لگنے	lˈʌɡnˌeː
ونکوانی	ʋˌənkʋˈaːni
پھیلانا	pʰeːlˈaːnaː
چارباغ	cˌaːrbˈaːɣ
بصارت	bəʂˈaːrət
داریاں	dˈaːrjãː
آمد	ˈaːməd
گالفر	ɡˈaːləfˌər
لاسن	lˈaːsɪn
ائمہ	ˈa͡ɪmˌa
بانوں	bˈaːnõː
کارکنو	kˈaːrkˌʊnoː
جنسی	ɟˈɪnsi
ایکوائر	ˈeːkʋa͡ɪr
کاسربراہ	kˌaːsərˌəbrˈaːh
بازید	baːzˈiːd
اختیارکرنے	ˈaxtjaːrˌəkərneː
اورمنصوبہ	ˌoːrəmˌənʂˈuːba
السعود	alsˈaːʋəd
لاستھ	lˈaːsətʰ
کوبتایاکہ	kˌoːbtaːjˈaːkˌa
آرمیں	ˈaːrmˌẽː
نمونوں	nəmˈoːnõː
افغانیوں	ˌafɣˈaːniˌõː
زائد	zˈa͡ɪd
محمد	mʊhˈammad
امیرہانی	ˌamirhˈaːni
کےملزم	keːmˈʊlzˌɪm
ی	cʰoːʈˈiːjeː
کروائی	kərʋˈaːi
قراردیاہے	qərˈaːrdjaːhˌeː
لبادہ	ləbˈaːda
مارکی	mˈaːrkˌiː
کتر	kˈʌtər
ودیگرغیر	ʋˌədiɡˌərɣˈiːr
رنر	rˈʌnər
غرب	ɣˈʌrəb
ہرشہری	hˌərəʃˈʌhri
ورز	ʋˈʌrəz
ٹائزن	ʈˈa͡ɪzən
دوپہر	dˈoːpəhˌər
اورموٹرسائیکل	ˌoːrmˌoːʈərsaːˈiːkəl
بدلہ	badˈala
اانہوں	ˈaːnhˌõː
کوکچل	kˈoːkəcˌəl
بنالیے	bənˈaːljeː
تابش	tˈaːbɪʃ
افرادکا	ˌafrˈaːdkˌaː
پروڈیوسر	prˈoːɖjuːsˌər
ینگے	jˈʌnɡˌeː
تقدیر	tˌəqdˈiːr
دکھاتے	dəkʰˈaːteː
جوڑوں	ɟˈoːr.õː
میانداد	mjˈaːndaːd
پٹریوں	pˈʌʈrˌiõː
ڈول	ɖˈoːl
اتھارٹی	atʰˈaːrʈi
لاگو	lˈaːɡoː
تجدید	tˌəɟdˈiːd
نجات	nˌəɟˈaːt
المبارک	almˌʊbaːrˈak
مینٹل	mˈeːnʈəl
گھل	ɡʰˈʊl
برسرپیکار	bˌarsˈarpikˌaːr
خاصے	xˈaːʂeː
امہ	ˈamˌa
مسٹرڈ	məsʈˈʌrɖ
واقعی	ʋaːqˈai
سعیدنے	saˈiːdnˌeː
ہامی	hˈaːmi
علیم	alˈiːm
یک	jˈʌk
خناق	xənˈaːq
الجھایا	ʊlɟhˈaːjaː
موسلادھار	mˌoːslaːdʰˈaːr
ستمبرکو	sətˈʌmbərkoː
ٹاؤ	ʈˈaːoː
اعزازچوہدری	eːzˈaːzcoːhˌədrˌiː
میزانیہ	mˌiːzaːniˈiːa
دریاکے	dərjˈaːkeː
الائچیاں	alˈa͡ɪcjãː
کمانا	kəmˈaːnaː
سومنات	sˌoːmənˈaːt
راقم	rˈaːqɪm
روزگاروں	rˌoːzɡˈaːrõː
ڈشز	ɖˈɪʃɪz
میخائل	meːxˈa͡ɪl
چئیرپرسن	cəˈiːrəpˌərəsˌən
موقر	mˈoːqər
چرائے	cərˈaːeː
رش	rˈʌʃ
کرداراداکریں	kˌɪrdaːraːdˈaːkrˌẽː
ریگولیٹر	rˌeːɡoːlˈiːʈər
اندھا	ˈandʰaː
کرنی	kˌarni
گوئی	ɡˈoːi
نوکریاں	noːkˈʌrjãː
لفارج	ləfˈaːrəɟ
اورمنشیات	ˌoːrəmˌənʃiˈaːt
ڈھانڈلہ	ɖʰˈaːnɖəla
اوشا	ˈoːʃaː
زیراستعمال	zˌeːraːstˈaːmaːl
اسٹروک	ˌɪsʈərˈoːk
طلوع	tˈʊluː
نگر	nˈʌɡər
مچھر	mˈʌcʰər
عارفہ	ˈaːrəfa
اجس	ˈaɟəs
نشینوں	nəʃˈiːnõː
غیبی	ɣˈeːbi
یومیہ	jɔmˈiːa
تاخیرکا	taːxˈiːrkˌaː
مندوبین	mˌənduːbˈiːn
آفرین	ˌaːfrˈiːn
فائراسٹیشن	fa͡ɪrˈaːsʈeːʃˌan
کرلیتی	kˌərliˈati
سینماؤں	sˌeːnmaːˈoːn
رپر	rˈʌpər
کنٹونمنٹ	kˈanʈoːnˌəmənʈ
جینڈر	ɟˈeːnɖər
پروموٹرز	prˌoːmoːʈˈʌrz
خزانچی	xəzˈaːnci
الاٹ	alˈaːʈ
مینجر	mˌeːnɪɟˈar
الاٹمنٹ	alˈaːʈəmˌənʈ
آراو	aːrˈaːoː
لیجانے	leːɟˈaːneː
نمٹائی	nɪmʈˈaːi
وقدرتی	ʋˈʌqədˌərtˌiː
کاررائی	kˌaːrrˈaːi
سپیشلائزڈ	sˌəpiʃlˈa͡ɪzəɖ
حکایت	hɪkˈaːjat
لیت	lˈeːt
ہزاروی	həzˈaːrʋi
جکڑے	ɟˈʌkr.ˌeː
عمارت	ɪmˈaːrət
مظاہرے	mʊʐˈaːhɪrˌeː
ذہنی	zˈɛhni
کووہ	kˈaʋʋəˌa
پٹ	pˈʌʈ
میگوئیاں	meːɡˈoːjãː
تیزترین	tˌeːzətrˈiːn
بحرین	bˌəhərˈiːn
بیانیہ	bajˈaːniˌa
وران	ʋərˈaːn
پکوانوں	pəkʋˈaːnõː
میڑک	mˈeːr.ək
انقعاد	ˌanqˈaːd
فیشن	fˈeːʃən
پنجا	pˈʌnɟaː
مسروقہ	mˌəsrˈuːqˌa
تھہیم	tʰəhˈiːm
کادن	kˈaːdɪn
طر	tˈʌr
افرادکوگرفتارکرلیا	ˌafrˌaːdkˌoːɡərˌəftˌaːrəkərˈʌljaː
دمے	dˈʌmeː
پہلوانوں	pˈɛhlʋaːnˌõː
اٹکا	ˈaʈkˌaː
مخبر	mˈʊxbˌɪr
نیر	nˈeːr
چارسال	cˌaːrsˈaːl
ڈنڈے	ɖˈʌnɖeː
کشمیرکی	kˌəʃmˈiːrkˌiː
ہراکر	hərˈaːkər
لیکج	lˈeːkəɟ
کےساتھ	keːsˈaːtʰ
ایمزون	ˌeːmzˈoːn
گریز	ɡʊrˈeːz
مورخہ	mʊˈarrɪxˌa
دفعات	dəfˈaːt
ریلیوں	rˈeːliˌõː
فرانسوا	fərˈaːnsʋaː
فیڈریشن	fˌeːɖreːʃˈan
باندھنے	bˈaːndʰənˌeː
سکائپ	səkˈa͡ɪp
کاسر	kˈaːsɪr
تدابیر	tˌədaːbˈiːr
گہائی	ɡəhˈaːi
ربانی	rʊbˈaːni
کلین	klˈiːn
آیاہے	aːjˈaːheː
مچانے	məcˈaːneː
کرغستان	kˌərəɣɪstˈaːn
تبارک	təbˈaːrək
آریہ	aːrˈiːa
پی	pˈiː
ٹارگٹیڈ	ʈˌaːrəɡʈˈiːɖ
سرایت	sˌəraːjˈat
ناٹ	nˈaːʈ
دوائیں	daʋˈaːẽː
تمہارا	tˈʊmhaːrˌaː
آپکے	ˈaːpkˌeː
دھچکہ	dʰˈʌcəka
غیرتسلی	ɣˈeːrətˌəslˌiː
سوئفٹ	soːˈɪfəʈ
ٹکرانے	ʈˌəkrˈaːneː
مذاکراتی	mˌʊzaːkɪrˈaːti
مغر	mˈʌɣər
ڈاکووں	ɖˈaːkʋõː
کٹے	kˈʌʈeː
شیوسینا	ʃˌeːoːsˈiːnaː
فوارے	faʋˈaːreː
مٹنے	mˈɪʈneː
تاک	tˈaːk
حربہ	hˈʌrəba
بہاریں	bəhˈaːrẽː
شرارتی	ʃərˈaːrtˌiː
براجمان	bˌəraːɟmˈaːn
کیڈ	kˈeːɖ
گورنرپنجاب	ɡˌaʋarnˈarpənɟˌaːb
مصالحے	mʊʂˈaːlɪhˌeː
کاریز	kaːrˈiːz
ایکسیڈنٹ	ˌeːksˈiːɖənʈ
باندھ	bˈaːndʰ
کونسلر	kˈoːnsəlˌər
کھینچنے	kʰˈeːncənˌeː
گاہیں	ɡˈaːhẽː
اڈیشنل	aɖˈeːʃnal
خسرو	xˈʊsroː
ضرار	zərˈaːr
متاثرہوا	mˌətaːsərˈʌhʋaː
گائی	ɡˈaːi
القیوم	alqˈeːʋəm
مارشل	mˈaːrəʃˌəl
سان	sˈaːn
ملیں	mɪlˈeːn
آرایل	ˌaːraːjˈal
کساد	kəsˈaːd
پڑجاتی	pˌər.ɟˈaːti
ڈٹا	ɖˈʌʈaː
غیروں	ɣˈeːrõː
گناہوں	ɡʊnˈaːhõː
ائیرفورس	ˌa͡ɪirfˈoːrəs
گٹھلی	ɡˈʌʈʰlˌiː
حملہتحریک	hˌəməlˌəhətˌəhərˈiːk
اغراض	ˌaɣrˈaːz
بیچیں	bˈeːcẽː
فیصلوں	fˈeːʂlˌõː
مرکزمیں	mˈʌrəkˌəzmˌẽː
سمگلنگ	smˈaɡlɪnɡ
تنزیل	tˌənzˈiːl
منگھوپیر	mˌənɡʰoːpˈiːr
دیمک	dˈeːmək
سیلابوں	seːlˈaːbõː
تحفظات	tahˈafʊʐˌaːt
قوالیاں	qaʋˈaːljãː
ترقیافتہ	tˌərqjˈaːftˌa
پیغمبر	peːɣˈʌmbər
صحرائے	ʂˌəhərˈaːeː
طہ	tˈʌa
گوری	ɡˈoːri
دھڑک	dʰˈʌr.ək
مہ	mˈʌa
سبزیاں	səbˈʌzjãː
فیبرک	fˈeːbərˌək
ڈیموں	ɖˈeːmõː
ایرانیوں	irˈaːniˌõː
فیٹی	fˈeːʈi
اورشہداء	ˌoːrəʃˈʌhdaː
سپرایٹ	sˌəpraːjˈaʈ
واقف	ʋˈaːqɪf
انعم	anˈaːm
قزافی	qəzˈaːfi
کنٹیکٹ	kanʈˈeːkʈ
درجات	dˈarɟaːt
لیبیا	lˈeːbjaː
میکرونی	mˌeːkrˈoːni
کنندہ	kʊnˈanda
پنڈدادنخان	pˌənɖədˌaːdənxˈaːn
ہئے	hˈʌeː
انڈسٹریز	ˈanɖəsʈˌəriz
ڈاکٹرمحمد	ɖaːkʈˈarməhˌəməd
کود	kˈuːd
نیگروپونٹے	nˌeːɡroːpˈoːnʈeː
تھلگ	tʰˈʌləɡ
کیڈرز	keːɖˈʌrz
عثما	ˈasmˌaː
اسکو	ˈɪskoː
کھٹے	kʰˈʌʈeː
بھگایا	bʰəɡˈaːjaː
ویس	ʋˈeːs
فیٹ	fˈeːʈ
انفرادیت	ˌɪnfˌɪraːdiˈat
شجیع	ʃˈʌɟi
ریلا	rˈeːlaː
عقلی	ˈaqlˌiː
کاعندیہ	kˌaːɪndˈiːa
مندروں	mˈʌndərˌõː
سیاحت	sˌaiˈaːhət
کوپ	kˈoːp
جوسز	ɟˈoːsəz
درایں	dərˈaːẽː
قیصرانی	qˌeːʂrˈaːni
مسٹ	mˈʌsʈ
محمو	mˈɛhmoː
لسبیلہ	lˌəsbˈiːlˌa
ٹوتھ	ʈˈoːtʰ
بیٹسمین	bˈɛʈsmɛn
اکیلے	akˈeːleː
کوجیل	koːɟˈiːl
ایکسپرٹس	ˌeːkəsəpˈʌrʈs
وجہ	ʋˈʌɟˌa
ملیرسید	mˌəlirsˈiːd
