Əbüləsvar	æbylæsvˈar
yemək	jemˈæç
dırmaşır	dɯrmaʃˈɯr
olmayaraq	oɫmajaɾˈax
İdmanın	idmanˈɯn
Cümhuriyyətinə	d͡ʒymhuɾijjætˈinæ
internetin	internet͡sˈin
testlərin	testlæɾˈin
təfsir	tæfsˈir
Pyatiqorsk	pjatiɡˈorsç
demişkən	demiʃcˈæn
orijinalı	oɾiʒinaɫˈɯ
Qələm	ɡælˈæm
çöpləri	t͡ʃœplæɾˈi
radiolar	radioɫˈar
çarizmin	t͡ʃaɾizmˈin
basdırılması	basdɯɾɯɫmasˈɯ
haqqa	haɡɡˈa
tablosunda	tabɫosundˈa
Zeynallı	zejnaɫɫˈɯ
yanındakı	janɯndacˈɯ
poeziyada	poezijadˈa
nəzərini	næzæɾinˈi
klanı	çɫanˈɯ
dövlətidir	dœvlætidˈir
təchizatına	tæd͡ʒhizatɯnˈa
Anti	antˈi
Timoşenko	timoʃencˈo
olmalıyıq	oɫmaɫɯjˈɯx
Baham	bahˈam
soyun	sojˈun
Qırx	ɡˈɯrx
qarını	ɡaɾɯnˈɯ
Hücumların	hyd͡ʒumɫaɾˈɯn
altda	aɫtdˈa
nəticələnirdi	nætid͡ʒælænirdˈi
sayğı	sajɣˈɯ
ovuna	ovunˈa
unutmuşdur	unutmuʃdˈur
təmkinli	tæmcinlˈi
Çələbini	t͡ʃælæbinˈi
xəyal	xæjˈaɫ
Valideynlərini	validejnlæɾinˈi
yadellilərin	jadellilæɾˈin
ağciyərlərə	aːd͡ʒijærlˈæɾæ
Andersen	andersˈen
rəqəmli	ræɡæmlˈi
Kənddə	cˈænddæ
yanaşmağa	janaʃmˈaː
ittifaqında	ittifaɡɯndˈa
saydığını	sajdɯɯɯnˈɯ
Çaydan	t͡ʃajdˈan
xırdalanmış	xɯrdaɫanmˈɯʃ
cəsur	d͡ʒæsˈur
çalışıb	t͡ʃaɫɯʃˈɯb
ruh	rˈuh
hazırlaşdı	hazɯrɫaʃdˈɯ
Cadillac	d͡ʒadilɫˈad͡ʒ
Balkanlardan	baɫcanɫardˈan
salmaqla	saɫmaɡɫˈa
Sabirə	sabˈiɾæ
qatı	ɡatˈɯ
künclərində	cynd͡ʒlæɾˈindæ
imtahanlarını	imtahanɫaɾɯnˈɯ
gözcük	ɟœzd͡ʒˈyç
rüşeymin	ryʃejmˈin
Ceynin	d͡ʒejnˈin
həbsxanadan	hæbsxanadˈan
Razinin	razinˈin
obyektləri	objeçtlæɾˈi
yayımına	jajɯmɯnˈa
Qalen	ɡalˈen
verməsini	vermæsinˈi
bürüyür	byɾyjˈyr
Romeo	romeˈo
Salome	saɫomˈe
salsa	saɫsˈa
anbarıdır	anbaɾɯdˈɯr
vərəqdən	væɾæɡdˈæn
növüdür	nœvydˈyr
haqsızlıqlara	haɡsɯzɫɯɡɫaɾˈa
Şir	ʃˈir
qatılmasıyla	ɡatɯɫmasɯjɫˈa
Kontakt	contˈaçt
siqnallarını	siɡnaɫɫaɾɯnˈɯ
Air	ˈa͡ɪr
Ölənlər	œlænlˈær
poemada	poemadˈa
yerləşdiriləcək	jerlæʃdiɾilæd͡ʒˈæç
İşğal	iʃɣˈaɫ
Təsnifata	tæsnifatˈa
rahatlığına	rahatɫɯɯɯnˈa
əmsalının	æmsaɫɯnˈɯn
silos	siɫˈos
Tanrıverdi	tanrɯverdˈi
hökmdarlarına	hœçmdarɫaɾɯnˈa
Bölünmə	bœlˈynmæ
lövhələr	lœvhælˈær
qaradərililərin	ɡaɾadæɾililæɾˈin
Rüşdün	ryʃdˈyn
kisəsinə	cisæsˈinæ
magistrat	maɟistrˈat
yatalaq	jataɫˈax
məhəlləsi	mæhællæsˈi
sifarişlərini	sifaɾiʃlæɾinˈi
daşımada	daʃɯmadˈa
müəlliflər	myælliflˈær
Oyunçunun	ojunt͡ʃunˈun
millimetrlik	millimetrlˈiç
xüsusiyyətindən	xysusijjætindˈæn
dəyişənləri	dæjiʃænlæɾˈi
Rafiq	rafˈix
differensiasiya	diffeɾensiˈasia
feodallarla	feodaɫɫarɫˈa
yonulmamış	jonuɫmamˈɯʃ
Akademiyasında	academijasɯndˈa
qəbul	ɡæbˈuɫ
ağalığı	aːɫɯɯˈɯ
iyinə	ijˈinæ
pərdənin	pærdænˈin
qaqauzlar	ɡaɡauzɫˈar
som	sˈom
satmaqdan	satmaɡdˈan
parçalara	part͡ʃaɫaɾˈa
pantomima	pantomimˈa
uşaqdır	uʃaɡdˈɯr
HDTV	hˌedˌetˌevˈe
bağlayıb	baːɫajˈɯb
Əlipaşa	ælipaʃˈa
Babilə	babˈilæ
xərək	xæɾˈæç
artrit	artrˈit
birisinə	biɾisˈinæ
topladı	topɫadˈɯ
əməkçi	æmæçt͡ʃˈi
eser	esˈer
Bolqarıstanın	boɫɡaɾɯstanˈɯn
sonlarında	sonɫaɾɯndˈa
beşinin	beʃinˈin
zövqlü	zœvɡlˈy
gəlinlik	ɟælinlˈiç
səmimiyyətlə	sæmimijjˈætlæ
keçirilməyib	cet͡ʃiɾilmæjˈib
mühakiməsinə	myhacimæsˈinæ
süfrəsi	syfræsˈi
ocaqlarına	od͡ʒaɡɫaɾɯnˈa
mülkədarların	mylcædarɫaɾˈɯn
edərsə	edˈærsæ
enliklərində	enliçlæɾˈindæ
başlıqları	baʃɫɯɡɫaɾˈɯ
inanan	inanˈan
qurutma	ɡuɾutmˈa
Məclisə	mæd͡ʒlˈisæ
Dövlətinin	dœvlætinˈin
nəfəsli	næfæslˈi
Eynən	ejnˈæn
Yağışlı	jaːɯʃɫˈɯ
eksperimentləri	eçspeɾimentlæɾˈi
tələbələrdən	tælæbælærdˈæn
Holy	hˈoɫj
işıqdan	iʃɯɡdˈan
Yenisey	jenisˈej
nəticələnəcək	nætid͡ʒælænæd͡ʒˈæç
kofein	cofeˈin
bəxşində	bæxʃˈindæ
kükü	cycˈy
qaytarılıb	ɡajtaɾɯɫˈɯb
dönmədən	dœnmædˈæn
hesabların	hesabɫaɾˈɯn
aldıq	aɫdˈɯx
barama	baɾamˈa
fərmanını	færmanɯnˈɯ
Pin	pˈin
Bölgəsinin	bœlɟæsinˈin
ayrılaraq	ajrɯɫaɾˈax
səmtə	sˈæmtæ
istinad	istinˈad
yanır	janˈɯr
anlatmaq	anɫatmˈax
Üfüq	yfˈyx
quraşdırmaq	ɡuɾaʃdɯrmˈax
Babəkə	babˈæcæ
qab	ɡˈab
operator	opeɾatˈor
Apardığı	apardɯɯˈɯ
qırıntıları	ɡɯɾɯntɯɫaɾˈɯ
Salman	saɫmˈan
silinməz	silinmˈæz
kilkə	cˈilcæ
hökmlərinə	hœçmlæɾˈinæ
gübrə	ɟˈybræ
Merkyuri	merçjuɾˈi
Tatsumi	tatsumˈi
Nəşriyyatı	næʃrijjatˈɯ
minlik	minlˈiç
Əsasını	æsasɯnˈɯ
naqil	naɡˈil
varlıqlarla	varɫɯɡɫarɫˈa
Yustinian	justiniˈan
addımın	addɯmˈɯn
şeylə	ʃˈejlæ
kapitel	capit͡sˈel
həyəcanını	hæjæd͡ʒanɯnˈɯ
Atari	ataɾˈi
İçi	it͡ʃˈi
korrektor	correçtˈor
Reynolds	rejnˈoɫds
Qəzvinə	ɡæzvˈinæ
keçirilirdi	cet͡ʃiɾilirdˈi
fərqlərinin	færɡlæɾinˈin
qarmaqlı	ɡarmaɡɫˈɯ
nəmliyi	næmlijˈi
Arıq	aɾˈɯx
qarşıdurmaları	ɡarʃɯdurmaɫaɾˈɯ
Ahura	ahuɾˈa
Cox	d͡ʒˈox
tikilir	ticilˈir
başlamışdır	baʃɫamɯʃdˈɯr
Linkolnun	lincoɫnˈun
Hazırlanan	hazɯrɫanˈan
Güney	ɟynˈej
Dimdiyi	dimdijˈi
Etiraf	et͡siɾˈaf
təkmilləşmişdir	tæçmillæʃmiʃdˈir
bilsinlər	bilsinlˈær
yəşəm	jæʃˈæm
ağsaqqalların	aːsaɡɡaɫɫaɾˈɯn
arkı	arcˈɯ
dastanlarının	dastanɫaɾɯnˈɯn
Barbara	barbaɾˈa
emblem	emblˈem
adalarıdır	adaɫaɾɯdˈɯr
əlavəsinə	æɫavæsˈinæ
Konstitusiyaya	constitusijajˈa
Kirsten	cirstˈen
seçiminin	set͡ʃiminˈin
boşluğunun	boʃɫuːnˈun
hersoq	hersˈox
efemerli	efemerlˈi
xizəyi	xizæjˈi
ailənin	a͡ɪlænˈin
qiyam	ɡijˈam
müştərinin	myʃtæɾinˈin
əhatələnmişdi	æhatælænmiʃdˈi
işsizlər	iʃsizlˈær
rock	rˈod͡ʒç
ensiklopediyalar	ensiçɫopedijaɫˈar
kollektiv	coɫleçtˈiv
imkanları	imcanɫaɾˈɯ
ekologiyanın	ecoɫoɟijanˈɯn
Robertson	robertsˈon
Trend	trˈend
turbinlərin	turbinlæɾˈin
qaytarıb	ɡajtaɾˈɯb
oddan	oddˈan
səhnələrdən	sæhnælærdˈæn
qaldıqları	ɡaɫdɯɡɫaɾˈɯ
istisi	istisˈi
anbarlarda	anbarɫardˈa
Barbar	barbˈar
Rəssamı	ræssamˈɯ
axınını	axɯnɯnˈɯ
kurqanları	curɡanɫaɾˈɯ
ötürülməsinin	œt͡syɾylmæsinˈin
bürclər	byrd͡ʒlˈær
Xalis	xalˈis
kimyadan	cimjadˈan
tipin	tipˈin
xəmrə	xˈæmræ
kükürd	cycˈyrd
mühakiməsi	myhacimæsˈi
Svan	svˈan
Nümayəndəliyi	nymajændælijˈi
tikdirməyə	tiçdirmˈæjæ
qalmamalıdır	ɡaɫmamaɫɯdˈɯr
sirkdə	sˈirçdæ
soyadından	sojadɯndˈan
nisbətində	nisbætˈindæ
kulinariya	culinˈaɾia
Salyeri	saɫjeɾˈi
İşlənmə	iʃlˈænmæ
yaqut	jaɡˈut
Çindəki	t͡ʃindæcˈi
tunelinin	tunelinˈin
Sabirin	sabiɾˈin
Kubokunu	cubocunˈu
hissələrə	hissælˈæɾæ
monarxiyanı	monarxijanˈɯ
ünsürlərindən	ynsyrlæɾindˈæn
tutanlar	tutanɫˈar
terminologiya	terminoɫˈoɟia
yurisdiksiyası	juɾisdiçsijasˈɯ
görünüş	ɟœɾynˈyʃ
ziyarəti	zijaɾætˈi
Runi	runˈi
cəhət	d͡ʒæhˈæt
tanıdığını	tanɯdɯɯɯnˈɯ
Şagird	ʃaɟˈird
Musayevin	musajevˈin
türklərinin	tyrçlæɾinˈin
etməliyəm	etmælijˈæm
sultandan	suɫtandˈan
şübhəsiz	ʃybhæsˈiz
qabların	ɡabɫaɾˈɯn
almayaraq	aɫmajaɾˈax
seminarlarda	seminarɫardˈa
vilayətlərinə	viɫajætlæɾˈinæ
Britten	brittˈen
sənətkarlığı	sænætcarɫɯɯˈɯ
Ağlın	aːɫˈɯn
arenaya	aɾenajˈa
pozuntular	pozuntuɫˈar
niyyətli	nijjætlˈi
tərbiyəvi	tærbijævˈi
Maraş	maɾˈaʃ
Abas	abˈas
səhnələşdirilən	sæhnælæʃdiɾilˈæn
törəyən	tœɾæjˈæn
qəhrəmanıdır	ɡæhræmanɯdˈɯr
xəzinəsini	xæzinæsinˈi
musson	mussˈon
qığılcımı	ɡɯɯɯɫd͡ʒɯmˈɯ
İstixana	istixanˈa
tapılsa	tapɯɫsˈa
mıx	mˈɯx
tapdıq	tapdˈɯx
elektroenergetika	eleçtroenerɟet͡sicˈa
boyunbağını	bojunbaːɯnˈɯ
Uşu	uʃˈu
çalmaq	t͡ʃaɫmˈax
ifadələr	ifadælˈær
yazılışında	jazɯɫɯʃɯndˈa
anion	aniˈon
çoxalan	t͡ʃoxaɫˈan
ün	ˈyn
Deyv	dˈejv
yaxınlıq	jaxɯnɫˈɯx
davranışa	davranɯʃˈa
millətini	millætinˈi
qiyamçıların	ɡijamt͡ʃɯɫaɾˈɯn
Belində	belˈindæ
kədəri	cædæɾˈi
Mosfilm	mosfˈilm
Məhsullar	mæhsuɫɫˈar
Hökumətini	hœcumætinˈi
Tuvan	tuvˈan
filosoflarından	fiɫosofɫaɾɯndˈan
Sürtkü	syrtcˈy
ölkəsindən	œlcæsindˈæn
islahatlarından	isɫahatɫaɾɯndˈan
döyüşərkən	dœjyʃærcˈæn
yoxlamalar	joxɫamaɫˈar
malının	maɫɯnˈɯn
Bərmək	bærmˈæç
Məstəli	mæstælˈi
İşıqlı	iʃɯɡɫˈɯ
hazırlığından	hazɯrɫɯɯɯndˈan
Yusifin	jusifˈin
VIP	vˈɯp
sələfinin	sælæfinˈin
çəkilib	t͡ʃæcilˈib
Çolpan	t͡ʃoɫpˈan
Ferma	fermˈa
uzaqdır	uzaɡdˈɯr
prosesə	prosˈesæ
yeddinci	jeddind͡ʒˈi
qoşunlarını	ɡoʃunɫaɾɯnˈɯ
səbət	sæbˈæt
ödəyə	œdˈæjæ
üzümlüklər	yzymlyçlˈær
sonlarınadək	sonɫaɾɯnadˈæç
Main	mˈa͡ɪn
Vəzifədən	væzifædˈæn
tərtibçisidir	tærtibt͡ʃisidˈir
Zirvəyə	zirvˈæjæ
sferanın	sfeɾanˈɯn
Vali	valˈi
sonuncu	sonund͡ʒˈu
Binalar	binaɫˈar
yığıldıqda	jɯɯɯɫdɯɡdˈa
areallarının	aɾeaɫɫaɾɯnˈɯn
Əmirgünə	æmirɟˈynæ
bloku	bɫocˈu
yaxında	jaxɯndˈa
Hakimiyyətdə	hacimijjˈætdæ
sintez	sintˈez
variasiyası	vaɾiasijasˈɯ
aktual	açtuˈaɫ
ölkələri	œlcælæɾˈi
Ştrausun	ʃˈetrausˈun
gəzməli	ɟæzmælˈi
doğrunu	doːɾunˈu
qalmış	ɡaɫmˈɯʃ
əməliyyatların	æmælijjatɫaɾˈɯn
Avstriyanın	avstrijanˈɯn
Mətləb	mætlˈæb
düzünün	dyzynˈyn
qazına	ɡazɯnˈa
nuru	nuɾˈu
çökəkliyində	t͡ʃœcæçlijˈindæ
November	novembˈer
səhraya	sæhrajˈa
Böyük	bœjˈyç
albanlarda	aɫbanɫardˈa
dağına	daːɯnˈa
Mükafatına	mycafatɯnˈa
səsləndiriblər	sæslændiɾiblˈær
etalonu	etaɫonˈu
Culius	d͡ʒuliˈus
yaşadır	jaʃadˈɯr
başlayanda	baʃɫajandˈa
termal	termˈaɫ
versiyada	versijadˈa
Şəmşəddil	ʃæmʃæddˈil
çoxaltmaq	t͡ʃoxaɫtmˈax
Rişelyenin	riʃeljenˈin
artırılmışdı	artɯɾɯɫmɯʃdˈɯ
məntəqələrini	mæntæɡælæɾinˈi
Milliyyətcə	millijjˈætd͡ʒæ
axtarışa	axtaɾɯʃˈa
nömrələrində	nœmrælæɾˈindæ
Mühəmməd	myhæmmˈæd
kaskad	cascˈad
Ağvan	aːvˈan
aparılmasında	apaɾɯɫmasɯndˈa
qışlama	ɡɯʃɫamˈa
əslən	æslˈæn
Pascal	pasd͡ʒˈaɫ
bazarının	bazaɾɯnˈɯn
piktoqrafik	piçtoɡrafˈiç
cavanlıqda	d͡ʒavanɫɯɡdˈa
vadilərində	vadilæɾˈindæ
hemoliz	hemolˈiz
meyarlar	mejarɫˈar
çağlardan	t͡ʃaːɫardˈan
zalların	zaɫɫaɾˈɯn
Səud	sæˈud
Bəylərbəyi	bæjlærbæjˈi
cəsurluq	d͡ʒæsurɫˈux
Marmara	marmaɾˈa
cütü	d͡ʒyt͡sˈy
olayın	oɫajˈɯn
qüvvəsidir	ɡyvvæsidˈir
keşikçiləri	ceʃiçt͡ʃilæɾˈi
Qazaka	ɡazacˈa
kompaniya	compˈania
sənətkarlığın	sænætcarɫɯɯˈɯn
hazırladıqları	hazɯrɫadɯɡɫaɾˈɯ
yüksəldə	jyçsˈældæ
tamamlamaq	tamamɫamˈax
dinlərə	dinlˈæɾæ
Birləşdirilmiş	birlæʃdiɾilmˈiʃ
çinlilər	t͡ʃinlilˈær
Soğan	soːˈan
Material	mateɾiˈaɫ
parkda	parçdˈa
simpatik	simpatˈiç
Daşağıl	daʃaːˈɯɫ
güllələdilər	ɟyllælædilˈær
edirmiş	edirmˈiʃ
degenerativ	deɟeneɾatˈiv
zəncirləmə	zænd͡ʒirlˈæmæ
təşkilinə	tæʃcilˈinæ
etsəydi	etsæjdˈi
Qırğızıstan	ɡɯrɣɯzɯstˈan
seminariyaya	seminaɾijajˈa
İsveçrənin	isvet͡ʃrænˈin
dayandırmışdı	dajandɯrmɯʃdˈɯ
peşəyə	peʃˈæjæ
Çeçenistan	t͡ʃet͡ʃenistˈan
Borussiya	boɾˈussia
tamaşalarında	tamaʃaɫaɾɯndˈa
çıxmışdı	t͡ʃɯxmɯʃdˈɯ
klassikləri	çɫassiçlæɾˈi
təpəsindəki	tæpæsindæcˈi
müvəkkil	myvæçcˈil
əsəbilik	æsæbilˈiç
administrasiya	administrˈasia
birdəfəyə	birdæfˈæjæ
görünəcəyi	ɟœɾynæd͡ʒæjˈi
karbohidrogenlər	carbohidroɟenlˈær
cinayətlərinin	d͡ʒinajætlæɾinˈin
birliklərinin	birliçlæɾinˈin
şəxsdir	ʃæxsdˈir
Oğulları	oːuɫɫaɾˈɯ
məxluqdur	mæxɫuɡdˈur
Ərazisindən	æɾazisindˈæn
başın	baʃˈɯn
betondan	betondˈan
səfərləri	sæfærlæɾˈi
Street	streˈet
cərrahiyyənin	d͡ʒærrahijjænˈin
Boyun	bojˈun
mütəfəkkirlər	mytæfæçcirlˈær
tutmaqda	tutmaɡdˈa
bilməmişdilər	bilmæmiʃdilˈær
Sənətkar	sænætcˈar
vermək	vermˈæç
atılmasını	atɯɫmasɯnˈɯ
əbəs	æbˈæs
xaçları	xat͡ʃɫaɾˈɯ
Küveyti	cyvejtˈi
reaktorları	reaçtorɫaɾˈɯ
Şeyxşah	ʃejxʃˈah
liman	limˈan
əxi	æxˈi
himayədarlığı	himajædarɫɯɯˈɯ
Qəznəvilərin	ɡæznævilæɾˈin
Bakalavr	bacaɫˈavər
Adelina	adelinˈa
redaktə	redˈaçtæ
gerçəklikdən	ɟert͡ʃæçliçdˈæn
oyuqlu	ojuɡɫˈu
Tuvanın	tuvanˈɯn
Avar	avˈar
məhəbbəti	mæhæbbætˈi
beşik	beʃˈiç
Siyasətnamə	sijasætnˈamæ
Bryan	brjˈan
hüquqşünaslar	hyɡuɡʃynasɫˈar
Gəncin	ɟænd͡ʒˈin
əmirinin	æmiɾinˈin
Konqresində	conɡresˈindæ
tərcüməyə	tærd͡ʒymˈæjæ
müqayisəyə	myɡajisˈæjæ
Emal	emˈaɫ
hamamlar	hamamɫˈar
dozalarda	dozaɫardˈa
iqtibas	iɡtibˈas
van	vˈan
mərkəzidir	mærcæzidˈir
rəngdir	rænɟdˈir
Yanlış	janɫˈɯʃ
bilikli	biliçlˈi
Qəzvin	ɡæzvˈin
Aleksandrın	aleçsandrˈɯn
şücaətinə	ʃyd͡ʒaætˈinæ
saxlandıqdan	saxɫandɯɡdˈan
yaradılaraq	jaɾadɯɫaɾˈax
Əbdülhəmid	æbdylhæmˈid
Barrini	barrinˈi
Görünüşü	ɟœɾynyʃˈy
şəhərciyi	ʃæhærd͡ʒijˈi
avadanlıqlarını	avadanɫɯɡɫaɾɯnˈɯ
konservatoriyasında	conservatoɾijasɯndˈa
ifaçılıq	ifat͡ʃɯɫˈɯx
baxmaqla	baxmaɡɫˈa
yandırmağa	jandɯrmˈaː
mənsubdur	mænsubdˈur
Müq	mˈyx
Bərbər	bærbˈær
Bağlarda	baːɫardˈa
doğulacaq	doːuɫad͡ʒˈax
pozdu	pozdˈu
üstə	ˈystæ
hektar	heçtˈar
rəyini	ræjinˈi
inandıra	inandɯɾˈa
Miryaqub	mirjaɡˈub
Polinqin	polinɡˈin
jurnallarından	ʒurnaɫɫaɾɯndˈan
dərələrdən	dæɾælærdˈæn
qoyula	ɡojuɫˈa
müəllimləri	myællimlæɾˈi
Mədinə	mædˈinæ
Tip	tˈip
böhranına	bœhranɯnˈa
xəstələnmə	xæstælˈænmæ
yörəsində	jœɾæsˈindæ
anlaşmanı	anɫaʃmanˈɯ
tapşırılırdı	tapʃɯɾɯɫɯrdˈɯ
əsaslarının	æsasɫaɾɯnˈɯn
Kəşkül	cæʃcˈyl
bələdçilik	bælædt͡ʃilˈiç
bizimdir	bizimdˈir
Kommunistlər	communistlˈær
sahibkarlara	sahibcarɫaɾˈa
Holding	hoɫdˈinɟ
uyğurlarla	ujɣurɫarɫˈa
dostlarını	dostɫaɾɯnˈɯ
baletindən	balet͡sindˈæn
Minorski	minorscˈi
dan	dˈan
senator	senatˈor
Draks	drˈaçs
artıraraq	artɯɾaɾˈax
quruculuğuna	ɡuɾud͡ʒuɫuːnˈa
əlimizdə	ælimˈizdæ
ayələrdən	ajælærdˈæn
gəlməsini	ɟælmæsinˈi
tərzinə	tærzˈinæ
qaçmasını	ɡat͡ʃmasɯnˈɯ
nümayəndəsidir	nymajændæsidˈir
axırda	axɯrdˈa
Leninqrada	leninɡradˈa
müctəhidlərin	myd͡ʒtæhidlæɾˈin
əzaba	æzabˈa
sevdiyindən	sevdijindˈæn
bloq	bɫˈox
planetlərarası	pɫanetlæɾaɾasˈɯ
limitli	limitlˈi
Hidra	hidrˈa
Dərslər	dærslˈær
çatlıdır	t͡ʃatɫɯdˈɯr
yamacların	jamad͡ʒɫaɾˈɯn
formasız	formasˈɯz
şirkətidir	ʃircætidˈir
çıxış	t͡ʃɯxˈɯʃ
illərin	illæɾˈin
girdikləri	ɟirdiçlæɾˈi
Zum	zˈum
Avşar	avʃˈar
bünövrəsi	bynœvræsˈi
Ibrahimxəlil	ɯbrahimxælˈil
səhərdən	sæhærdˈæn
keçdikdə	cet͡ʃdˈiçdæ
yürüşə	jyɾˈyʃæ
şarının	ʃaɾɯnˈɯn
rəngarənglik	rænɟaɾænɟlˈiç
fərqlənməyə	færɡlænmˈæjæ
sayaq	sajˈax
Delta	deltˈa
dükanında	dycanɯndˈa
Gözləri	ɟœzlæɾˈi
kəşfindən	cæʃfindˈæn
verilə	veɾˈilæ
qətlindən	ɡætlindˈæn
məzarda	mæzardˈa
etnonimin	etnonimˈin
seriallarda	seɾiaɫɫardˈa
təriqət	tæɾiɡˈæt
əlamətini	æɫamætinˈi
mövcuddur	mœvd͡ʒuddˈur
təhlükədən	tæhlycædˈæn
salırdılar	saɫɯrdɯɫˈar
ağrısının	aːɾɯsɯnˈɯn
həkk	hˈæçç
modifikasiya	modificˈasia
Pavilyonun	paviljonˈun
cisim	d͡ʒisˈim
rəncbər	rænd͡ʒbˈær
əsəbi	æsæbˈi
Herakleopol	heɾaçleopˈoɫ
ifaçılığının	ifat͡ʃɯɫɯɯɯnˈɯn
hüceyrəsində	hyd͡ʒejræsˈindæ
quruluşlarda	ɡuɾuɫuʃɫardˈa
Nəsirvaz	næsirvˈaz
sürmüşdü	syrmyʃdˈy
yaralayıblar	jaɾaɫajɯbɫˈar
Aralarındakı	aɾaɫaɾɯndacˈɯ
Luka	ɫucˈa
töhfəsini	tœhfæsinˈi
Sahilyanı	sahiljanˈɯ
bərabərləşir	bæɾabærlæʃˈir
Vyanadakı	vjanadacˈɯ
daşındığı	daʃɯndɯɯˈɯ
Novi	novˈi
qarğı	ɡarɣˈɯ
adəti	adætˈi
modulyasiya	moduɫjˈasia
Seçilən	set͡ʃilˈæn
Prokurorluq	procuɾorɫˈux
Vardenis	vardenˈis
NGC	ˌenɟˌed͡ʒˈe
gözləntilərini	ɟœzlæntilæɾinˈi
əcdadlarından	æd͡ʒdadɫaɾɯndˈan
Geralt	ɟeɾˈaɫt
Çuxa	t͡ʃuxˈa
knyazın	çnjazˈɯn
Malqobek	maɫɡobˈeç
çatlarla	t͡ʃatɫarɫˈa
Hindu	hindˈu
satırlar	satɯrɫˈar
səviyyəsidir	sævijjæsidˈir
sənayə	sænˈajæ
olduğuna	oɫduːnˈa
yel	jˈel
Statistikaya	statisticajˈa
icrasına	id͡ʒrasɯnˈa
asetat	asetˈat
başlığı	baʃɫɯɯˈɯ
modeldən	modeldˈæn
Sufi	sufˈi
təbəqələrə	tæbæɡælˈæɾæ
gedirsə	ɟedˈirsæ
muğamın	muːamˈɯn
bolqar	boɫɡˈar
xarici	xaɾid͡ʒˈi
genetika	ɟenet͡sicˈa
aralıda	aɾaɫɯdˈa
Sport	spˈort
qalaktika	ɡaɫaçticˈa
Madaqaskar	madaɡascˈar
kərpic	cærpˈid͡ʒ
Real	reˈaɫ
Leninizm	leninˈizm
Şıxlıdan	ʃɯxɫɯdˈan
çökməyə	t͡ʃœçmˈæjæ
məlum	mæɫˈum
hidroelektrik	hidroeleçtrˈiç
cəmiyyətləri	d͡ʒæmijjætlæɾˈi
konvergent	converɟˈent
mənimsəmə	mænimsˈæmæ
redaktorluq	redaçtorɫˈux
movcud	movd͡ʒˈud
Sular	suɫˈar
Yaxınlığında	jaxɯnɫɯɯɯndˈa
əslli	æsllˈi
şansı	ʃansˈɯ
Ətraf	ætrˈaf
çölünün	t͡ʃœlynˈyn
Abdullayevin	abduɫɫajevˈin
qarışqa	ɡaɾɯʃɡˈa
ədəbiyyatdan	ædæbijjatdˈan
təam	tæˈam
Cennifer	d͡ʒennifˈer
hidrostatik	hidrostatˈiç
əsirlərdən	æsirlærdˈæn
xassəli	xassælˈi
liderlərinin	liderlæɾinˈin
stoxastik	stoxastˈiç
atır	atˈɯr
Oklend	oçlˈend
Marka	marcˈa
ayələrinin	ajælæɾinˈin
Məşədixanım	mæʃædixanˈɯm
papirus	papiɾˈus
afrikalı	africaɫˈɯ
beytlik	bejtlˈiç
tapacaq	tapad͡ʒˈax
casus	d͡ʒasˈus
bəyanatla	bæjanatɫˈa
Eynulla	ejnuɫɫˈa
borulu	boɾuɫˈu
ənənələrə	ænænælˈæɾæ
faşistlərin	faʃistlæɾˈin
üsluba	ysɫubˈa
aşkarlanmışdı	aʃcarɫanmɯʃdˈɯ
idealdır	ideaɫdˈɯr
yapışdırılır	japɯʃdɯɾɯɫˈɯr
Beverli	beverlˈi
adamda	adamdˈa
sovxozun	sovxozˈun
çevrilərək	t͡ʃevrilæɾˈæç
zərif	zæɾˈif
ansambl	ansˈambl
Məhsuldarlığı	mæhsuɫdarɫɯɯˈɯ
mövqe	mœvɡˈe
şerif	ʃeɾˈif
öhdəlik	œhdælˈiç
yoluxanların	joɫuxanɫaɾˈɯn
əsası	æsasˈɯ
Qanz	ɡˈanz
inanca	inand͡ʒˈa
sabitinin	sabit͡sinˈin
sloqanı	sɫoɡanˈɯ
gəldiyinə	ɟældijˈinæ
kolluqlarla	coɫɫuɡɫarɫˈa
Əkinçi	æcint͡ʃˈi
nəzm	nˈæzm
orqanizmi	orɡanizmˈi
Home	homˈe
hissələrinə	hissælæɾˈinæ
təlimçi	tælimt͡ʃˈi
İmperiya	impˈeɾia
yaradılmışdır	jaɾadɯɫmɯʃdˈɯr
Aron	aɾˈon
fırlanması	fɯrɫanmasˈɯ
gizlənən	ɟizlænˈæn
bildi	bildˈi
sağalmış	saːɫmˈɯʃ
Tulu	tuɫˈu
balansının	baɫansɯnˈɯn
Pişiklər	piʃiçlˈær
heyvanat	hejvanˈat
ərzaqları	ærzaɡɫaɾˈɯ
rayonları	rajonɫaɾˈɯ
budun	budˈun
eşitdikdən	eʃitdiçdˈæn
tərəddüdləri	tæɾæddydlæɾˈi
alimlər	alimlˈær
əfsanəni	æfsanænˈi
baxmağa	baxmˈaː
Eldəniz	eldænˈiz
Ernest	ernˈest
həmkarların	hæmcarɫaɾˈɯn
teleskopun	telescopˈun
budaqlarına	budaɡɫaɾɯnˈa
Oykonimi	ojconimˈi
Beast	beˈast
Qəzzafi	ɡæzzafˈi
birjalarda	birʒaɫardˈa
operettasının	opeɾettasɯnˈɯn
sitoplazma	sitopɫazmˈa
