မြင်း	mjɪ́ɴ
သုမေဓာဘုရား	θṵmèdàpʰəjá
အညီ	ʔəɲì
အစည်းအဝေး	ʔəsíʔəwé
အထပ်	ʔətʰaʔ
ပဲ့တင်သံ	pɛ̰tɪ̀ɴðàɴ
ကြက်သား	t͡ɕɛʔθá
ဒူးလေး	dúlé
စည်း	sí
ယောက်	jaʊʔ
ဂင်းနီဗစ်ဆော	ɡɪ́ɴnìbɪʔsʰɔ́
ဆန့်ကျင်ဘက်	sʰa̰ɴd͡ʑɪ̀ɴbɛʔ
လက်နက်	lɛʔnɛʔ
ဘယာ	bəjà
လပ်	laʔ
ဇာ	zà
သကြားလုံး	ðəd͡ʑálóʊɴ
တ	tə
မိုတယ်	mòtɛ̀
အလျင်	ʔəjɪ̀ɴ
မလေးရှား	məléʃá
အင်တာဗျူး	ʔɪ̀ɴtəbjú
ထင်း	tʰɪ́ɴ
မရဏ	məɹəna̰
ပြေး	pjé
အီဂျစ်	ʔìd͡ʑɪʔ
ကမ်စော်	kàɴzɔ̀
စိတ်မှတ်	seɪʔm̥aʔ
အိမ်ထောင်ပြု	ʔèɪɴdàʊɴpjṵ
ဗိုလ်မှူးကြီး	bòm̥úd͡ʑí
ဂီနီ	ɡìnì
ကြက်ဆူ	t͡ɕɛʔsʰù
အပိုဒ်	ʔəpaɪʔ
ကိုယ်စားလှယ်	kòjzəl̥ɛ̀
ဂျာမနီ	d͡ʑàmənì
ဗာဒံ	bàdàɴ
ညာ	ɲà
စိမ်းစားဥ	séɪɴzáʔṵ
သည်	θè
ခရိုင်	kʰəjàɪɴ
အမေရိက	ʔəmèɹḭka̰
သမက်	θəmɛʔ
ထွက်ပေါက်	tʰwɛʔpaʊʔ
လက်ချောင်း	lɛʔt͡ɕʰáʊɴ
ပြွန်	pjʊ̀ɴ
စီးပွား	síbwá
ဝေဿ	wɪʔθa̰
တောင်ငူ	tàʊɴŋù
မုန်တိုင်း	mòʊɴdáɪɴ
ညစာ	ɲa̰zà
ပါတီ	pàtì
ကိုး	kó
အင်ဒိုရာ	ʔɪ̀ɴdòɹà
ငူတူတူ	ŋùtùdù
ဥယျာဉ်	ʔṵjɪ̀ɴ
အရာ	ʔəjà
ရွရွ	jwa̰jwa̰
အတွင်းတာရာ	ʔətwɪ́ɴtàjà
သဒ္ဓါ	θàddà
အရွက်	ʔəjwɛʔ
ဒြပ်စင်	dəɹaʔsɪ̀ɴ
ဝိတိုရိယ	wḭtòɹḭja̰
သစ်ကုလားအုတ်	θɪʔkələʔoʊʔ
ဠ	la̰
ဘာသာဗေဒ	bàθàbèda̰
ဆွပ်	sʰʊʔ
ဂွမ်း	ɡʊ́ɴ
လွှ	l̥wa̰
မြေပဲ	mjèbɛ́
စီးပွားရေးသမား	síbwájéðəmá
အခါတစ်ပါး	ʔəkʰàdəbá
သာဝတ္ထိ	θàwʊʔtʰḭ
ဂေါ်ဖီထုပ်	ɡɔ̀bìdoʊʔ
ကျားမျက်လုံး	t͡ɕámjɛʔlóʊɴ
မုစလိန္ဒ	mṵsəlèɪɴda̰
ခဝဲ	kʰəwɛ́
အဆုံး	ʔəsʰóʊɴ
ဉာဏ်တော်	ɲàɴdɔ̀
သုံးဆယ်	θóʊɴsʰɛ̀
အသားမာ	ʔəθəmà
အကျည်း	ʔət͡ɕí
ခါးပတ်	ɡəbaʔ
မြင်းမိုရ်	mjɪ́ɴmò
သဇင်	ðəzɪ̀ɴ
ရှဉ့်	ʃɪ̰ɴ
စာအိတ်	sàʔeɪʔ
ဘုဉ်းပေး	bóʊɴpé
တစောင်း	dəzáʊɴ
ဒေါင်းလန်း	dáʊɴláɴ
ဒုယင်တော်	dəjɪ̀ɴdɔ̀
ခရစ်ယာန်	kʰəɹɪʔjàn
အင်တာနက်	ʔɪ̀ɴtànɛʔ
ရကောက်	ja̰kaʊʔ
မဟာမိတ်	məhàmeɪʔ
မြ	mja̰
ရဲစခန်း	jɛ́səkʰáɴ
ဗိုလ်မှူး	bòm̥ú
ကက်သလစ်	kɛʔθəlɪʔ
စည်	sì
စက်သေနတ်	sɛʔθənaʔ
မိုဘိုင်းလ်ဖုန်း	mòbáɪɴpʰóʊɴ
မဏိမေခလာ	mənḭmèkʰəlà
အက်စတိုးနီးယား	ʔɛʔsətóníjá
အိမ်သူ	ʔèɪɴðù
အနာကြီးရောဂါ	ʔənàd͡ʑíjɔ́ɡà
ဂရိ	ɡəɹḭ
ရေကတော့	jèɡədɔ̰
ခုံရှည်	kʰòʊɴʃè
ယှဉ်ဖက်	ʃɪ̀ɴpʰɛʔ
ပုဆိုး	pəsʰó
သံ	θàɴ
ချောင်း	t͡ɕʰáʊɴ
ထီးဖြူ	tʰíbjù
ခွဲ	kʰwɛ́
နက်ဖြန်	nɛʔpʰjàɴ
အဝတာရ	ʔa̰wa̰tàja̰
ချွန်ထက်	t͡ɕʰʊ̀ɴtʰɛʔ
ကြက်တူရွေး	t͡ɕɛʔtùjwé
ကျယ်ဝန်း	t͡ɕɛ̀wʊ́ɴ
သူ	θù
ရှမ်းခေါက်ဆွဲ	ʃáɴkʰaʊʔsʰwɛ́
ဥပဒေ	ʔṵba̰dè
ချေ	d͡ʑì
ဟနူမာန်	hənùmàn
အထက်လွှတ်တော်	ʔətʰɛʔl̥ʊʔtɔ̀
သိင်္ဂီ	θèɪɴɡì
ပုဒ်ကြီး	poʊʔd͡ʑí
အပြင်	ʔəpjɪ̀ɴ
သဘာပတိ	θəbàpətḭ
ပြန်လှန်	pjàɴl̥àɴ
ကြို့	t͡ɕo̰
မဏ္ဍိုင်	màɴdàɪɴ
ရေယုန်	jèjòʊɴ
နိုင်ငံခြား	nàɪɴŋàɴd͡ʑá
မွတ်	mʊʔ
အပ်ထောက်	ʔaʔtʰaʊʔ
လိင်တံ	lèɪɴdàɴ
ပြွတ်	pjʊʔ
ဘီ	bì
သိပ္ပံ	θeɪʔpàɴ
စန္ဒာ	sàɴdà
ဆီယူ	sʰìjù
ဟိန္ဒီ	hèɪɴdì
အစ်ကို	ʔəkò
ဖျံ	pʰjàɴ
နေဝင်	nèwɪ̀ɴ
မုတ္ထမ	moʊʔtəma̰
ကျားသစ်	t͡ɕəθɪʔ
အမေရိကန်ပြည်ထောင်စု	ʔəmèɹḭkàɴpjìdàʊɴzṵ
ရေပန်း	jèbáɴ
ဆွီဒင်	sʰwìdɪ̀ɴ
စို့	so̰
ဧကရာဇ်	ʔèɡəɹɪʔ
ဘယ်နှ	bɛ̀n̥a̰
ကော	kɔ́
ည	ɲa̰
ဇာတ်ဆောင်	zaʔsʰàʊɴ
ပီယဒဿီ	pìja̰daʔθì
ရွတ်ရွတ်	jʊʔjʊʔ
တီဟီရန်	tìhìɹàɴ
ခရေ	kʰəjè
ခရမ်း	kʰəjáɴ
လှုလှု	l̥ṵl̥ṵ
ရေချိုး	jèt͡ɕʰó
တံခါးဗိုလ်	dəɡábò
ပြင်ပြင်	pjɪ̀ɴbjɪ̀ɴ
ကြောင်ထီး	t͡ɕàʊɴdí
အင်္ဂတေ	ʔɪ̀ɴɡədè
ပြည်သူပိုင်သိမ်း	pjìðùbàɪɴðéɪɴ
ပစောက်	pa̰zaʊʔ
ဆလတ်	sʰəlaʔ
တား	tá
ကမ်း	káɴ
အီး	ʔí
ယွန်းယွန်း	jʊ́ɴjʊ́ɴ
ဗြဲတိုက်	bjɛ́daɪʔ
အသံ	ʔəθàɴ
သိုးအုပ်	θóʔoʊʔ
ခြင်္သေ့ကလေး	t͡ɕʰɪ̀ɴðḛɡəlé
အာရာမ	ʔàjàma̰
မုဆိုးမ	mṵsʰóma̰
တံတား	dədá
သပြု	ðəbjṵ
ရည်	jì
သိပ်	θeɪʔ
ကူ	kù
သတို့သား	ðədo̰θá
ရှည်မျော	ʃèmjɔ́
မေးစေ့	mézḭ
တွန်း	tʊ́ɴ
ဓာတ်	daʔ
မှုန်	m̥òʊɴ
အမျိုးသားလွှတ်တော်	ʔəmjóðál̥ʊʔtɔ̀
မုတ်ခွံ	moʊʔkʰʊ̀ɴ
အော်ပရာ	ʔɔ̀pəɹà
ငါးဥ	ŋáʔṵ
နီတိ	nìtḭ
ခယ်မ	kʰɛ̀ma̰
ကြာသပတေး	t͡ɕàθa̰pa̰dé
စိတ္တဗေဒ	seɪʔta̰bèda̰
ကြေးနန်း	t͡ɕénáɴ
သစ်တော	θɪʔtɔ́
မြက်ခြောက်	mjɛʔt͡ɕʰaʊʔ
မဏိဩဂ	mənḭʔɔ́ɡa̰
နာမ	nàma̰
သင်္ဘောမညှိုးပန်း	θɪ́ɴbɔ́məɲ̊óbáɴ
ပြည်တွင်း	pjìdwɪ́ɴ
ပါ	pà
သီရိလင်္ကာ	θìɹḭlɪ̀ɴkà
ယာယီ	jàjì
ပီစီ	pìsì
သွားဖုံး	θəpʰóʊɴ
ပျား	pjá
အာရိုက်	ʔàjaɪʔ
ပုံး	póʊɴ
ဟာသ	hàθa̰
ခင်ဗျာ	kʰəmjà
သားလှောင်	θál̥àʊɴ
သူကြီး	θùd͡ʑí
မောင်တော	màʊɴtɔ́
တိရစ္ဆာန်	təɹeɪʔsʰàɴ
ပဒေသာ	bədèðà
လေးလံ	lélàɴ
အနံ့	ʔəna̰ɴ
အသေ	ʔəθè
ခ	kʰa̰
တာဝတိံသာ	tàwa̰tèɪɴθà
အလင်းတန်း	ʔəlɪ́ɴdáɴ
ဥပဒေပညာ	ʔṵbədèpjɪ̀ɴɲà
စွယ်	swɛ̀
ဓာတ်လှေကား	daʔl̥èɡá
လှပ်လှပ်	l̥aʔl̥aʔ
ရဝေ	jəwè
ထ	tʰa̰
ရက်ကန်း	jɛʔkáɴ
မြန်နှုန်းပြကိရိယာ	mjàɴn̥óʊɴpja̰kḭjḭjà
အပြာကား	ʔəpjàká
ရုက္ခဗေဒ	joʊʔkʰa̰bèda̰
တိုဟူး	tòhú
နာနတ်ပွင့်	nənaʔpwɪ̰ɴ
မုန်လာဥဝါ	mòʊɴlàʔṵwà
အင်ဒိုချိုင်းနား	ʔɪ̀ɴdòt͡ɕʰáɪɴná
ပြည်ထောင်စုလွှတ်တော်	pjìdàʊɴzṵl̥ʊʔtɔ̀
အော်ကေ့ကြည်	ʔɔ̀kḛt͡ɕì
ဘင်နာ	bɪ̀ɴnà
အသျှင်	ʔəʃɪ̀ɴ
ဆိုဒီယမ်	sʰòdìjàɴ
ရယ်	jì
နင်	nɪ̀ɴ
ထပ်	tʰaʔ
ပူရ	pùɹa̰
ပုဏ္ဏားကျွန်း	pòʊɴnád͡ʑʊ́ɴ
ကြာ	t͡ɕà
ဘယ်	bɛ̀
အညစ်အထည်း	ʔəɲɪʔʔətʰí
ဥက္ကာပျံ	ʔoʊʔkàbjàɴ
ငန်	ŋàɴ
ချိတ်	d͡ʑeɪʔ
ဆေး	sʰé
ဒီပင်္ကရာ	dìpɪ̀ɴkəɹà
မှန်စီရွှေချ	m̥àɴzìʃwèt͡ɕʰa̰
ဝန်ကြီး	wʊ̀ɴd͡ʑí
ဆန်	sʰàɴ
ပုဒ်ကလေး	poʊʔkəlé
ချူးအင်းဂမ်း	t͡ɕʰúʔɪ́ɴɡáɴ
ဖလား	pʰəlá
ငှား	ŋ̊á
အိန္ဒြေ	ʔèɪɴdɹè
ပု	pṵ
မွေး	mwé
သူရဲဘောနည်း	θəjɛ́bɔ́ní
အီကွေတာဂီနီ	ʔìkwètàɡìnì
ပင်ဂွင်	pɪ̀ɴɡwɪ̀ɴ
ဘဲ	bɛ́
အသိတရား	ʔəθḭtəjá
ကုလားနို့	kələno̰
ကွမ်ရင်	kwàɴjɪ̀ɴ
ဗန်တို	bàɴdò
စက်ဘီး	sɛʔbéɪɴ
မဟာသာဝက	məhàθàwəka̰
ငရုတ်	ŋəjoʊʔ
ယူရေးရှား	jùɹéʃá
သုဒ္ဒ	θoʊʔda̰
သီးပင်	θíbɪ̀ɴ
လား	lá
နာနတ်	nənaʔ
ပေါင်မုန့်	pàʊɴmo̰ʊɴ
ဂုရု	ɡṵɹṵ
ပြသ	pja̰θa̰
သုံးဆောင်	θóʊɴsʰàʊɴ
တီကောင်	tìɡàʊɴ
အောက်သား	ʔaʊʔðá
ဝိပဿနာ	wḭpaʔθənà
စပါး	zəbá
ရေမှုတ်	jèm̥oʊʔ
အစ်မ	ʔəma̰
ဇီဝ	zìwa̰
ဝက်သားမျှစ်ချဉ်	wɛʔθám̥jɪʔt͡ɕʰɪ̀ɴ
ကိစ္စ	keɪʔsa̰
ဆယ့်တစ်	sʰɛ̰tɪʔ
လက်အိတ်	lɛʔʔeɪʔ
သကာ	ðəɡà
ကစားကွင်း	ɡəzáɡwɪ́ɴ
တင်ဒါ	tɪ̀ɴdà
နှင်း	n̥ɪ́ɴ
လူမှုကွန်ရက်	lùm̥ṵkʊ̀ɴjɛʔ
လက်ကွက်	lɛʔkwɛʔ
အင်ဂျင်	ʔɪ̀ɴd͡ʑɪ̀ɴ
စကားနည်းရန်စဲ	zəɡánɛ́jàɴzɛ́
အချိန်စာရင်း	ʔət͡ɕʰèɪɴsəjɪ́ɴ
ကျဲ	t͡ɕɛ́
သိုးမွေး	θómwé
ဝိပဿီဘုရား	wḭpaʔθìpʰəjá
ပစ္စည်းလေးပါး	pjɪʔsílébá
တစ္ဆေ	təsʰè
အာဏာရှင်	ʔànàʃɪ̀ɴ
တရုတ်မဆလာ	təjoʊʔməsʰəlà
တီဗီ	tìbì
ရထား	jətʰá
ငါ့	ŋa̰
ဒူးဝါး	dúwá
ပြောင်း	pjáʊɴ
ယာဉ်မောင်း	jɪ̀ɴmàʊɴ
အကျိတ်	ʔət͡ɕeɪʔ
ဠကြီး	la̰t͡ɕí
ဂုဏ်	ɡòʊɴ
ထေရဝါဒ	tʰèja̰wàda̰
ဆီချက်ခေါက်ဆွဲ	sʰìd͡ʑɛʔkʰaʊʔsʰwɛ́
အဲလစ်ဇဘက်	ʔɛ́lɪʔza̰bɛʔ
ဓာတ်ပုံ	daʔpòʊɴ
ဆပ်ကပ်	sʰaʔkaʔ
လူဝံ	lùwʊ̀ɴ
အမျိုးဇာတ်	ʔəmjózaʔ
ဘိုရွန်	bòɹʊ̀ɴ
ကုံကုမံ	ɡòʊɴɡəmàɴ
မေးခိုင်ရောဂါ	mékʰàɪɴjɔ́ɡà
တောက်တဲ့	taʊʔtɛ̰
ဘုရားရှိခိုးကျောင်း	pʰəjáʃḭkʰód͡ʑáʊɴ
လင်ပန်း	lɪ̀ɴbáɴ
ဂိုဏ်းချုပ်	ɡáɪɴd͡ʑoʊʔ
ကင်းမွန်	kɪ́ɴmʊ̀ɴ
အာဂျင်တီးနား	ʔàd͡ʑɪ̀ɴtíná
ဒုတိယဗိုလ်မှူးကြီး	dṵtḭja̰bòm̥úd͡ʑí
ဆိုးဆေး	sʰózé
ဖေါ်ပြချက်	pʰɔ̀pja̰t͡ɕʰɛʔ
အမှုန်	ʔəm̥òʊɴ
ကညာ	kəɲà
ပြီးတော့	pídɔ̰
မြင်	mjɪ̀ɴ
မကိုဋ်	məɡaɪʔ
သွေးပေါ်	θwépɔ̀
ကော်ပြန့်စိမ်း	kɔ̀pja̰ɴzéɪɴ
ကျုပ်တို့	t͡ɕoʊʔto̰
ဝက်သားချဉ်	wɛʔθát͡ɕʰɪ̀ɴ
သီဟ	θìha̰
အရောင်	ʔəjàʊɴ
နည်းနည်းချင်း	nínít͡ɕʰɪ́ɴ
နှံကောင်	n̥àɴɡàʊɴ
တစ်ပင်တိုင်မင်းသမီး	dəbɪ̀ɴdàɪɴmɪ́ɴðəmí
ဇီရာ	zìjà
လပို့	ləbo̰
သီတာဒေဝီ	θìdàdèwì
လောကဝတ်	lɔ́ɡəwʊʔ
ဇင်းမယ်	zɪ́ɴmɛ̀
ဇူလိုင်	zùlàɪɴ
ကြေးမုံ	t͡ɕémòʊɴ
ဆော့ဖ်ဝဲလ်	sʰaʊʔwɛ́
သုတေသီ	θṵtèθì
စောစော	sɔ́zɔ́
လမ်းလျှောက်	láɴʃaʊʔ
ကြက်ခြေနီ	t͡ɕɛʔt͡ɕʰènì
ရက်ကန်းစင်	jɛʔkáɴzɪ̀ɴ
သက္ကတ	θɛʔkəta̰
ကြငှန်း	t͡ɕəŋ̊áɴ
ချိုချဉ်	t͡ɕʰòt͡ɕʰɪ̀ɴ
ဓားပြား	dəbjá
လပြည့်နေ့	la̰pjḭnḛ
ပိုတက်ဆီယမ်	pòtɛʔsʰìjàɴ
ဗိုလ်ကြီး	bòd͡ʑí
တပေါင်း	dəbáʊɴ
ပြာ	pjà
မိန်းကလေး	méɪɴɡəlé
နီး	ní
သရဏင်္ကရာဘုရား	θəɹənɪ̀ɴkəɹàpʰəjá
အကြမ်းဖက်ဝါဒ	ʔət͡ɕáɴpʰɛʔwàda̰
တယ်	tɛ̀
ဒေါ်	dɔ̀
ဇိန	zḭna̰
အာလူးပူရီ	ʔàlúpùjì
ဘူဂေးရီးယား	bùɡéɹíjá
မလ္လိကာ	màɴlḭkà
ယတြာ	jədəjà
စီးနင်း	sínɪ́ɴ
ဆန့်ကျင်	sʰa̰ɴd͡ʑɪ̀ɴ
ချောင်	t͡ɕʰàʊɴ
ခင်ပွန်း	kʰɪ̀ɴbʊ́ɴ
အမွှေးတိုင်	ʔəm̥wédàɪɴ
လဆန်း	la̰záɴ
ပန်	pàɴ
ပြား	pjá
ဒီနေ့	dìnḛ
သံစုံတီးဝိုင်း	θàɴzòʊɴtíwáɪɴ
မုဆိုးဖို	mṵsʰóbò
နာနာဘာဝ	nànàbàwa̰
အီးမေးလ်	ʔímél
ဝါဏိဇ္ဇဗေဒ	wàneɪʔza̰bèda̰
ပဲခူး	bəɡó
ဘရိတ်	bəɹeɪʔ
စိတ္တဇ	seɪʔdəza̰
မာလကာသီး	màləkàθí
ဘတ်	pʰaʔ
စာသင်ခန်း	sàθɪ̀ɴɡáɴ
ကိလေသာ	kḭlèθà
နေထွက်	nètʰwɛʔ
ဆလိမ်	sʰa̰lèɪɴ
အိုမန်	ʔòmàɴ
စာပုံး	sàbóʊɴ
ကျေးဇူးတင်ပါတယ်	t͡ɕézútɪ̀ɴbàdɛ̀
ရာသီ	jàðì
ချော်	t͡ɕʰɔ̀
ဒီဇိုင်နာ	dìzàɪɴnà
ဥုံ	ʔòʊɴ
ညောင်းကျရောဂါ	ɲáʊɴt͡ɕa̰jɔ́ɡà
ဝက်သား	wɛʔθá
မဟာဝိဇ္ဇာဘွဲ့	məhàweɪʔzàbwɛ̰
ခြည်	t͡ɕʰì
အဖိုးကြီး	ʔəpʰót͡ɕí
ကြမ်း	t͡ɕáɴ
တန်ခိုးရှင်	tàɴkʰóʃɪ̀ɴ
အာဟာရဗေဒ	ʔàhàja̰bèda̰
ဒီပင်္ကရာဘုရား	dìpɪ̀ɴkəɹàpʰəjá
ဒိန်ခဲ	dèɪɴɡɛ́
ကြိယာဝိသေသန	kəɹḭjàwḭθèθəna̰
စံပယ်	zəbɛ̀
သေတ္တာ	θɪʔtà
သူရင်းငှား	θəjɪ́ɴŋ̊á
သုံး	θóʊɴ
ဇာတ်တော်	zàt
အဘိုး	ʔəpʰó
ပသီ	pəθì
ရ	ɹa̰
ဗားနစ်	bánɪʔ
ပြဒါး	bədá
အစား	ʔəsá
ရဟတ်	jəhaʔ
ခရိုမီယမ်	kʰəɹòmìjàɴ
မဟေ	məhè
မင်းမြောက်တန်ဆာ	mɪ́ɴmjaʊʔdəzà
ကင်မရာ	kɪ̀ɴməɹà
သန်ကောင်	θàɴɡàʊɴ
လေးညှင်းပွင့်	léɲ̊ɪ́ɴbwɪ̰ɴ
အာရာမ်	ʔàjàɴ
ကိုင်	kàɪɴ
မန်နေဂျာ	màɴnèd͡ʑà
ငါးလ	ŋála̰
အီသီယိုးပီးယား	ʔìθìjópíjá
ဖဲကြိုး	pʰɛ́d͡ʑó
မုရား	məjá
သင်္ကြန်မိုး	θɪ̀ɴd͡ʑàɴmó
ဓာတ်ခွက်	dàtkʰwɛʔ
ဗို့	bo̰
ကမ္ဘာလုံးခြမ်း	ɡəbàlóʊɴd͡ʑàɴ
အလင်း	ʔəlɪ́ɴ
မိုးခေါ်	mókʰɔ̀
ပြည့်	pjḛ
စဲ	sɛ́
မြေအောက်မီးရထား	mjèʔaʊʔmíjətʰá
ရုံး	jóʊɴ
နှာဘူး	n̥àbú
ဆူဒန်	sʰùdàɴ
မှတ်ဉာဏ်	m̥aʔɲàn
ဘော်လီဘော	bɔ̀lìbɔ́
စက္ကရီတေရီ	sɛʔkəɹìtèjì
အလက်	ʔəlɛʔ
အငြိမ့်တီးမျိုး	ʔa̰ɲḛɪɴtímjó
ဂူ	ɡù
ပဝရ	pəwəɹa̰
နဲ့	nɛ̰
ကြည့်	t͡ɕḭ
သဉ္ဇာလီ	θɪ̀ɴzàlì
မုဒိမ်း	mədéɪɴ
တောက်ပ	taʊʔpa̰
မီးအိမ်	míʔèɪɴ
ဒွိလိင်	dwḭlèɪɴ
လေအေးစက်	lèʔézɛʔ
နေ	nè
မြို့ပြနိုင်ငံ	mjo̰pja̰nàɪɴŋàɴ
ဆောင်းပါး	sʰáʊɴbá
ယပင့်	ja̰pɪ̰ɴ
ပြင်သစ်	pjɪ̀ɴθɪʔ
ပလူတိုနီယမ်	pəlùtònìjàɴ
မက်	mɛʔ
ရွှေဖြူ	ʃwèbjù
ဘုန်းကြီးကျောင်း	pʰóʊɴd͡ʑít͡ɕáʊɴ
အတိတ်	ʔəteɪʔ
အီကွေဒေါ	ʔìkwèdɔ́
ဘုန်းကြီးပျံ	pʰóʊɴd͡ʑíbjàɴ
သူစိမ်းတစ်ရံဆံ	ðəzéɪɴtəjàɴzàɴ
ကော်တွန်	kɔ̀tʊ̀ɴ
သတ္တုရိုင်း	θaʔtṵjáɪɴ
ထင်	tʰɪ̀ɴ
ချက်	t͡ɕʰɛʔ
အမျှင်	ʔəm̥jɪ̀ɴ
ကောဏ္ဍညဘုရား	kɔ̀ndəɲa̰pʰəjá
ငုသိမ်	ŋṵðèɪɴ
လူစုလူဝေး	lùzṵlùwé
အန်	ʔàɴ
တီး	tí
ဗုဒ္ဓသာသနာ	θàðənà
သားမြီးယပ်	θámjíjaʔ
ငလျင်	ŋəljɪ̀ɴ
ပဉ္စမ	pjɪ̀ɴsəma̰
ဒစ္စကို	dɪʔsa̰kò
အရေပြားရောဂါ	ʔəjèbjájɔ́ɡà
အမွေခွဲ	ʔəmwèkʰwɛ́
ဖော့လုံး	pʰɔ̰lóʊɴ
သူရဲကောင်း	θùjɛ́ɡáʊɴ
တင်	tɪ̀ɴ
ဗြိတိန်	bjḭtèɪɴ
မာလကာ	màləkà
ပုဂ္ဂိုလ်	poʊʔɡò
ဝန်ခံ	wʊ̀ɴkʰàɴ
ရူမေးနီးယား	ɹùméníjá
အထင်	ʔətʰɪ̀ɴ
သရဏဂုံသုံးပါး	θəjənəɡòʊɴθóʊɴbá
ညောင်လေးပင်	ɲàʊɴlépɪ̀ɴ
မြွက်	mjwɛʔ
ဝက်အူချောင်း	wɛʔʔùd͡ʑáʊɴ
စားဖိုဆောင်	səpʰòzàʊɴ
ငါးကျပ်တင်	ŋát͡ɕaʔtɪ̀ɴ
လည်စည်း	lèzí
သစ်ကတိုး	θɪʔɡədó
ဖိုင်	pʰàɪɴ
ပညတ်တော်	pjɪ̰ɴnaʔtɔ̀
ဂိတ်	ɡeɪʔ
လှေး	l̥é
ဆိုက်ဘေးရီးယား	sʰaɪʔbéɹíjá
ကြီး	t͡ɕí
ကြက်သီးမွေးညင်းထ	t͡ɕɛʔθéɪɴmwéɲɪ́ɴtʰa̰
သူတကာ	θùdəɡà
နင်တို့	nɪ̀ɴdo̰
ဘီစကွတ်	bìsəkʊʔ
ကော်ပြန့်ကြော်	kɔ̀pja̰ɴd͡ʑɔ̀
ဟွန်ဒူးရပ်စ်	hʊ̀ɴdúɹaʔs
ပန်းရန်	bəjàɴ
ဗိုင်းရပ်စ်	báɪɴɹaʔs
က	ka̰
ရဲရင့်	jɛ́jɪ̰ɴ
ဝစ်ရှင်နရီ	wɪʔʃɪ̀ɴnəɹì
ဆောက်	sʰaʊʔ
ကနစိုး	kənəzó
ပထမ	pa̰tʰa̰ma̰
သော့	θɔ̰
ရွှဲ	ʃwɛ́
ခန္ဓာဗေဒ	kʰàɴdàbèda̰
သူပုန်	ðəbòʊɴ
ခက်	kʰɛʔ
အတူ	ʔətù
ဂွါတီမာလာ	ɡwàtìmàlà
အစီရင်	ʔəsìjɪ̀ɴ
ခြင်	t͡ɕʰɪ̀ɴ
ယီမင်	jìmɪ̀ɴ
မြဝတီ	mja̰wədì
ပမာဏ	pəmàna̰
ရပါတယ်	ja̰bàdɛ̀
စုံစမ်း	sòʊɴzáɴ
ယပက်လက်	ja̰pɛʔlɛʔ
ဦးခွံ	ʔúɡʊ̀ɴ
လင်ကောင်ပိုး	lɪ̀ɴɡàʊɴbó
ကျေးဇူးပြု၍	t͡ɕézúpjṵjwḛ
ဖာလူဒါ	pʰàlùdà
ငါးပိရည်	ŋəpḭjè
ရဲရဲ	jɛ́jɛ́
ပေါ်	pɔ̀
မုန့်ဟင်းခါး	mo̰ʊɴhɪ́ɴɡá
လွန်	lʊ̀ɴ
ခွေးသူတောင်းစား	kʰwéðədáʊɴzá
ပန်းသေးခေါက်ဆွဲ	páɴθékʰaʊʔsʰwɛ́
မေဓင်္ကရာဘုရား	mèdɪ̀ɴkəɹàpʰəjá
မဂ္ဂင်ရှစ်ပါး	mɛʔɡɪ̀ɴʃɪʔbá
ဆင်ခြေထောက်ရောဂါ	sʰɪ̀ɴt͡ɕʰèdaʊʔjɔ́ɡà
ဘေးဆီးရန်ကာ	bézíjàɴɡà
အပေါင်းလက္ခဏာ	ʔəpáʊɴlɛʔkʰənà
အနန္တ	ʔənàɴda̰
မောင်	màʊɴ
မြေစာ	mjèzà
သွေးကြော	θwéd͡ʑɔ́
ဖင်လန်	pʰɪ̀ɴlàɴ
ကမ္ဘာဂြိုဟ်	ɡəbàd͡ʑò
လျက်	jɛʔ
ပျစ်	pjɪʔ
အထီး	ʔətʰí
သတ္တုတွင်း	θaʔtṵdwɪ́ɴ
ဖြူ	pʰjù
ကာဂစ်စတန်	kəɡɪʔsətàɴ
သံ့သံ့	θa̰ɴða̰ɴ
ခံတပ်	kʰàɴdaʔ
ပင်လယ်ဆား	pɪ̀ɴlɛ̀zá
တိုဖူး	tòpʰú
ကတိ	ɡədḭ
ကာလီဖိုးနီးယား	kàlìpʰóníjá
ကွမ်ရင်မယ်တော်	kwàɴjɪ̀ɴmɛ̀dɔ̀
သူငယ်ချင်း	θəŋɛ̀d͡ʑɪ́ɴ
သူကောင်းမြှောက်	θùɡáʊɴm̥jaʊʔ
လေးကြိုး	léd͡ʑó
ချိုး	t͡ɕʰó
ပဝါ	pa̰wà
ဒီလို	dìlò
ဝသန္တ	wa̰θàɴta̰
သူကောင်တင်	θùɡàʊɴdɪ̀ɴ
ဘရာဇီး	bəɹàzí
ရေခဲသေတ္တာ	jèɡɛ́θɪʔtà
ရွှေနန်းရွှေပြာသာဒ်သခင်	ʃwènáɴʃwèpjaʔθaʔθəkʰɪ̀ɴ
လက်ဝါးကပ်တိုင်	lɛʔwəɡaʔtàɪɴ
အကယ်၍	ʔəkɛ̀jwḛ
ဗထက်ခြိုက်	ba̰tʰɛʔt͡ɕʰaɪʔ
အိုရှန်းနီးယား	ʔòʃáɴníjá
ကွင်း	kwɪ́ɴ
ပုရွက်	pəjwɛʔ
ဘုံကျောင်း	bòʊɴd͡ʑáʊɴ
မည်စည်	mɛ̀zɛ̀
တင်းထိမ်	tɪ́ɴdèɪɴ
ဘူ	bù
မုန့်ညက်	mo̰ʊɴɲɛʔ
