miyako	ˈmiˌəˌkoʊ
beals	ˈbiɫz
hallow	ˈhæɫoʊ
ohair	oʊˈhɛɹ
amherst	ˈæmɝst
edgcomb	ˈɛdʒkəm
yilin	ˈjɪɫɪn
pirandello	ˌpɪɹənˈdɛɫoʊ
ferreiro	fɛˈɹɛɹoʊ
mcnellis	məkˈnɛɫəs
italianate	ˌɪˈtæɫjəˌneɪt
mothershed	ˈməðɝˌʃɛd
stoecklein	ˈstoʊˌkɫaɪn
vore	ˈvɔɹ
demaria	dɪˈmɑɹiə
vers	ˈvɝs
figuratively	fɪɡˈjʊɹətɪvɫi
kilt	ˈkɪɫt
baar	ˈbɑɹ
hitzeman	ˈhɪtsmən
vives	ˈvaɪvz
overhauls	ˈoʊvɝˌhɔɫz
penthouses	ˈpɛntˌhaʊsɪz
reppert	ˈɹɛpɝt
overripe	ˈoʊvɝˈɹaɪp
unctuous	ˈəŋtʃwəs
canuck	ˈkeɪnək,kəˈnək
whopping	ˈwɑpɪŋ,ˈhwɑpɪŋ
favoritism	ˈfeɪvɝɪˌtɪzəm
naught	ˈnɔt
hewson	ˈhjusən
sacramento's	ˌsækɹəˈmɛntoʊz
quilling	ˈkwɪɫɪŋ
prerogatives	pɹɪˈɹɑɡətɪvz,ˈpɝˈɑɡətɪvz
millers	ˈmɪɫɝz
renunciation	ɹɪˌnənsiˈeɪʃən
guilty	ˈɡɪɫti
tama	ˈtɑmə
marquiss	ˈmɑɹkwis
wenda	ˈwɛndə
rohwedder	ˈɹoʊwɪdɝ
unbuildable	ənˈbɪɫdəbəɫ
ports	ˈpɔɹts
burnley	ˈbɝnɫi
arner	ˈɑɹnɝ
kitchen's	ˈkɪtʃənz
affiliation	əˌfɪɫiˈeɪʃən
reber	ˈɹɛbɝ
air-force	ˈɛɹfɔɹs
giffin	ˈɡɪfɪn
trojans	ˈtɹoʊdʒənz
ketzel's	ˈkɛtsəɫz
fleitas	ˈfɫaɪtəs
autocrat	ˈɔtəˌkɹæt
confluent	kɑnˈfɫuənt
stanfield	ˈstænˌfiɫd
fretting	ˈfɹɛtɪŋ
yahya	ˈjəjə
nishizawa	ˌniʃɪˈzɑwə
kick-ass	ˈkɪˌkæs
bullying	ˈbʊɫiɪŋ
borowiak	bɝˈaʊiæk
e-mailed	ˈiˌmeɪɫd
google	ˈɡuɡəɫ
mcenaney	ˈmækəˌneɪni
snitzer	ˈsnɪtzɝ
bobolas	ˈboʊboʊɫəs
rakocy	ɹəˈkoʊtʃi
hotdog	ˈhɑtˌdɔɡ
nickens	ˈnɪkənz
thank's	ˈθæŋks
coating	ˈkoʊtɪŋ
haynie	ˈheɪni
copilots	ˈkoʊpaɪɫəts
commission	kəˈmɪʃən
zeman	ˈzimən
pinnacle's	ˈpɪnɪkəɫz
rochat	ˈɹɑtʃət
chatsworth	ˈtʃætˌswɝθ
borja	ˈbɔɹjə
diver's	ˈdaɪvɝz
scouter	ˈskaʊtɝ
cundari	kunˈdɑɹi
sherburn	ˈʃɝbɝn
hearth	ˈhɑɹθ
mehalkoff	mɛˈhæɫkɔf
subia	suˈbiə
finley's	ˈfɪnɫiz
exhibition	ˌɛksəˈbɪʃən
ansa	ˈænsə
climatologists	ˌkɫaɪməˈtɑɫədʒɪsts,ˌkɫɪməˈtɑɫədʒɪsts,ˌkɫɪməˈtɑɫədʒɪs,ˌkɫaɪməˈtɑɫədʒɪs
asby	ˈæsbi
sorlie	ˈsɔɹɫi
dissent	dɪˈsɛnt
constructs	ˈkɑnstɹəkts,kənˈstɹəkts
emprise	ɛmˈpɹaɪz
farragut	ˈfɛɹəɡət
embed	ɪmˈbɛd
cher	ˈʃɛɹ
huff's	ˈhəfs
remer	ˈɹimɝ
antonelli	ɑntoʊˈnɛɫi
shibata	ʃiˈbɑtə
degarmo	dɪˈɡɑɹmoʊ
kapinos	ˈkæpɪnoʊz,ˈkæpinoʊz
safeties	ˈseɪftiz
alamitos	ˌæɫəˈmitoʊs
jaskiewicz	ˈjɑskəvɪtʃ
yauger	ˈjɔdʒɝ
approved	əˈpɹuvd
remnant	ˈɹɛmnənt
poh	ˈpoʊ
evel	ˈɛvəɫ
hajime	hɑˈdʒimi
helios	ˈhiɫiˌɑs
lapps	ˈɫæps
gaucher	ˈɡoʊʃɝ
aris	ɝˈis
swafford	ˈswɑfɝd
mane	ˈmeɪn
neworld	ˈnuˈɝɫd,ˈnɛˈwɝɫd
insurrection	ˌɪnsɝˈɛkʃən
taegu	ˈteɪɡu
lamendola	ɫɑmɛnˈdoʊɫə
neeld	ˈniɫd
supermodel	ˈsupɝˌmɑdəɫ
tarnowski	tɝˈnɔfski
lags	ˈɫæɡz
gagel	ˈɡæɡəɫ
tata	ˈtɑtɑ
modifying	ˈmɑdəˌfaɪɪŋ
claypoole	ˈkɫeɪˌpuɫ
inghram	ˈɪŋˌɡɹæm
vertebrate	ˈvɝtəˌbɹeɪt
birinyi	bɪˈɹinji
nonmilitary	nɑnˈmɪɫəˌtɛɹi
jocks	ˈdʒɑks
averting	əˈvɝtɪŋ
future's	ˈfjutʃɝz
reeders	ˈɹidɝz
bullman	ˈbʊɫmən
leard	ˈɫɝd
africanists	ˈæfɹɪkɑnɪsts
disconnected	ˌdɪskəˈnɛktɪd
gyrates	ˈdʒaɪˌɹeɪts
piggybacked	ˈpɪɡiˌbækt
non-restricted	nɑnˌɹɪsˈtɹɪktɪd,nɑnˌɹiˈstɹɪktɪd
caterings	ˈkætɝɪŋz
latka	ˈɫɑtkə
hemy	ˈhɛmi
jealousness	ˈdʒɛɫəsnɪs
outsized	ˈaʊtˌsaɪzd
ruled	ˈɹuɫd
bechtel	ˌbɛkˈtɛɫ
koznovsky	ˌkɑzˈnɑfski
clopton	ˈkɫɑptən
mckernan	məˈkɝnən
securely	sɪkˈjʊɹɫi
flunk	ˈfɫəŋk
businesses	ˈbɪznɪsɪz,ˈbɪznəsəz
galiano	ɡɑɫiˈɑnoʊ
wangerin	ˈwɔŋɡɝɪn
hipbone	ˈhɪpˈboʊn
mandrill	ˈmændɹɪɫ
souring	ˈsaʊɝɪŋ
garms	ˈɡɑɹmz
hyundai	ˈhənˌdeɪ,ˈhjənˌdeɪ
satyandra	ˌsɑtˈjɑndɹə
windish	ˈwɪndɪʃ
oropeza	ɔɹoʊˈpɛzə
edgell	ˈɛdʒəɫ
mottos	ˈmɑtoʊz
boser	ˈboʊzɝ
philips's	ˈfɪɫɪpsɪz
manslaughter	ˈmænˌsɫɔtɝ
curse	ˈkɝs
basinger	ˈbeɪsɪŋɝ
cit	ˌsiˌaɪˈti
co-op	ˈkoʊˌɑp
theseus	ˈθiˌziəs
amerine	ɑmɝˈini
chaste	ˈtʃeɪst
interrogated	ˌɪnˈtɛɹəˌɡeɪtɪd
uniformity	ˌjunəˈfɔɹməti
roughness	ˈɹəfnəs
spetsnaz	ˈspɛtsnæz
edward	ˈɛdwɝd
salesman's	ˈseɪɫzmənz
rhythmically	ˈɹɪðmɪkɫi
daddy-o's	ˈdædioʊz
nicole	nɪˈkoʊɫ
mutations	mjuˈteɪʃənz
microscopes	ˈmaɪkɹəˌskoʊps
portlock	ˈpɔɹtˌɫɑk
indite	ˌɪnˈdaɪt
lacerte	ɫɑˈtʃɛɹti
abbot	ˈæbət
pao's	ˈpaʊz
cdebaca	sidɪˈbɑkə
tasters	ˈteɪstɝz
kerchiefs	ˈkɝtʃəfs
paradoxical	ˌpɛɹəˈdɑksɪkəɫ
fjelstad	ˈfjɛɫstəd
santorum's	sænˈtɔɹəmz
brobdingnagian	ˌbɹɔbdɪɡˈnæɡiən
towey	ˈtoʊi
deroy	ˈdɪɹɔɪ
mcdivitt	məkˈdɪvət
sankey	ˈsæŋki
rhode-islander	ˈɹoʊˈdaɪɫəndɝ
marche	ˈmɑɹʃ
cary	ˈkɛɹi
zea	ˈzi
lipsitz	ˈɫɪpsɪts
hundred's	ˈhəndɹɪdz
kyna	ˈkɪnə
sterry	ˈstɛɹi
groner	ˈɡɹoʊnɝ
thierry	θɪˈɹi
klemp	ˈkɫɛmp
hopeful	ˈhoʊpfəɫ
unintended	ˌənɪnˈtɛndɪd
reinvited	ˌɹiɪnˈvaɪtɪd
doin'	ˈduɪn
picop	ˈpɪˌkɑp
milman	ˈmɪɫmən
id	ˈaɪˈdi,ˈɪd
yuri	ˈjʊɹi
homeowner	ˈhoʊˌmoʊnɝ
inspectorate	ˌɪnˈspɛktɝət
chugai	tʃuˈɡaɪ
excelan	ˌɛkˈsɛɫən
mouw	ˈmaʊw
short-lived	ˈʃɔɹtˈɫaɪvd
heisey	ˈhaɪsi
mcclaugherty	məˈkɫæfɝti
epictetus	ˌɛpɪkˈtitəs,ˌɛpɪkˈtiʃəs
govett	ˈɡəvət
commissars	ˈkɑmɪsɑz
plunder	ˈpɫəndɝ
healers	ˈhiɫɝz
fernau	ˈfɝnaʊ
gaglio	ˈɡæɡɫioʊ
lukaszewski	ɫəkəˈʃɛfski
narducci	nɑɹˈdutʃi
wrigley's	ˈɹɪɡɫiz
defoor	ˈdɛfʊɹ
redhanded	ˈɹɛdˌhændɪd
birdy	ˈbɝdi
pajamas	pəˈdʒɑməz,pəˈdʒæməz
simoni	siˈmoʊni
indentured	ˌɪnˈdɛntʃɝd
bolero	boʊˈɫɛɹoʊ
shevardnadze's	ˌʃɛvɝdˈnɑdziz
defazio	dɪˈfɑzioʊ,dɪˈfeɪzioʊ
crossbones	ˈkɹɔsˌboʊnz
troutman	ˈtɹaʊtmən
savages	ˈsævədʒəz,ˈsævɪdʒɪz
yom's	ˈjoʊmz,ˈjɑmz
poinot	ˈpɔɪˌnɑt
oreilly	ˈɔɹəɫi
telestrator	ˈtɛɫəˌstɹeɪtɝ
urbanczyk	ɝˈbəntʃɪk
tammy	ˈtæmi
variably	ˈvɛɹiəbɫi
transracial	ˌtɹænzˈɹeɪʃəɫ
sexiest	ˈsɛksiəst
caltrans	ˈkæɫˌtɹænz
sustaining	səˈsteɪnɪŋ
reaffirmed	ˌɹiəˈfɝmd
smartt	ˈsmɑɹt
seibert	ˈsaɪbɝt
marineau	ˈmɛɹɪnoʊ
guests'	ˈɡɛsts
forfeit	ˈfɔɹfɪt
asmaras	ˌæzˈmɑɹəz
marxist	ˈmɑɹksəst,ˈmɑɹksɪst
physicist	ˈfɪzɪsɪst
vanzanten	ˌvænˈzæntən
mcfarlan	məkˈfɑɹɫən
lawlor	ˈɫɔɫɝ
toga	ˈtoʊɡə
yourself	jʊɹˈsɛɫf,jɝˈsɛɫf,ˈjɔɹsɛɫf
critser	ˈkɹɪtsɝ
guilbeau	ɡɪɫˈboʊ
pig's	ˈpɪɡz
underwrite	ˈəndɝˌɹaɪt
gayer	ˈɡeɪɝ
relig	ɹɪˈɫɪdʒ
callihan	ˈkæɫɪhæn
comfed	ˈkɑmˌfɛd
alanco	əˈɫænkoʊ
aksamit	ˈæksəmɪt
mescalero	ˌmɛskəˈɫɛɹoʊ
choma	ˈtʃoʊmə
intonations	ˌɪntəˈneɪʃənz
rhythm	ˈɹɪðəm
stipulated	ˈstɪpjəˌɫeɪtɪd
duels	ˈduəɫz
junejo	dʒuˈneɪhoʊ
bornholdt	ˈbɔɹnhoʊɫt
benziger	ˈbɛnzɪɡɝ
ilhae	ˌɪɫˈheɪ
sudafed	ˈsudəˌfɛd
peppi	ˈpɛpi
haton	ˈhætɔn,ˌæˈtɔn
affiliated's	əˈfɪɫiˌeɪtɪdz
nujoma	nuˈdʒoʊmə
impersonated	ˌɪmˈpɝsəˌneɪtɪd
mathias	məˈθaɪəs,məˈtiəs
thievery	ˈθivɝi
upping	ˈəpɪŋ
savin's	ˈsævɪnz
one-legged	ˌwənˈɫɛɡəd
alphin	ˈæɫfɪn
thirdly	ˈθɝdɫi
amarillo's	ˌæmɝˈɪɫoʊz
erlichman	ˈɛɹɫɪkmən,ˈɝɫɪkmən
koppenhaver	ˈkɑpɪnhəvɝ
kapuscinski	kəpəsˈtʃɪnski
jodie	ˈdʒoʊdi
twas	ˈtwəz
percy	ˈpɝsi
komarek	koʊˈmɑɹɛk
bunni	ˈbuni
vivona	viˈvoʊnə
tush	ˈtʊʃ
grendel's	ˈɡɹɛndəɫz
yeamans	ˈjimənz
rockland	ˈɹɑkɫənd
reveron's	ˈɹɛvɝˌɑnz
lausanne	ˌɫɔˈsæn
mammogram	ˈmæmoʊˌɡɹæm
illinois'	ˈɪɫɪnɔɪz
mirabelli	mɪɹɑˈbɛɫi
solitaire	ˌsɑɫəˈtɛɹ
texture	ˈtɛkstʃɝ
girouard	ˈʒaɪɹuɝd
forewings	ˈfɔɹˌwɪŋz
queues	ˈkjuz
conrads	ˈkɑnɹædz
innards	ˈɪnɝdz
mccants	məˈkænts
consolidated's	kənˈsɑɫɪˌdeɪtɪdz
rupp	ˈɹəp
megaplex	ˈmɛɡəˈpɫɛks
snatching	ˈsnætʃɪŋ
fluorometer	ˌfɫɔˈɹɑmətɝ,ˌfɫʊˈɹɑmətɝ
severino	sɛvɝˈinoʊ
johnson's	ˈdʒɑnsənz
bended	ˈbɛndɪd
titlow	ˈtɪtˌɫoʊ
barnish	ˈbɑɹnɪʃ
kashmir	ˈkæʃmɪɹ,ˈkæʃmiɹ
alessandra	ˌæɫɛˈsændɹɑ
monk	ˈməŋk
stroll	ˈstɹoʊɫ
grouchy	ˈɡɹaʊtʃi
slater's	ˈsɫeɪtɝz
involvements	ˌɪnˈvɑɫvmənts
salvagers	ˈsæɫvɪdʒɝz
alston	ˈɔɫstən
pluth	ˈpɫuθ
ballparks	ˈbɔɫˌpɑɹks
lighten	ˈɫaɪtən
benoit	bəˈnɔɪt
yates	ˈjeɪts
laphroaig	ˌɫæfɹoʊˈeɪɡ
dyeing	ˈdaɪɪŋ
defense's	dɪˈfɛnsɪz
devised	dɪˈvaɪzd
duckweed	ˈdəˌkwid
grieco	ˈɡɹikoʊ
ehlinger	ˈɛɫɪŋɝ
firm	ˈfɝm
specified	ˈspɛsəˌfaɪd
mattes	ˈmæts
anomaly	əˈnɑməɫi
doeden	ˈdoʊdən
balthrop	ˈbæɫθɹəp
humblest	ˈhəmbəɫəst
horseback	ˈhɔɹsˌbæk
coral	ˈkɔɹəɫ
lapdog	ˈɫæpˌdɔɡ
warton	ˈwɔɹtən
fuerst	ˈfwɛɹst
joint	ˈdʒɔɪnt
mcgruder	məˈɡɹudɝ
tucked	ˈtəkt
selph	ˈsɛɫf
obsess	əbˈsɛs
baedeker	ˈbeɪdəkɝ
fraternizing	ˈfɹætɝˌnaɪzɪŋ
preexisting	ˈpɹiɪɡˈzɪstɪŋ
compressors	kəmˈpɹɛsɝz
prurient	ˈpɹʊɹiənt
lines'	ˈɫaɪnz
evict	ɪˈvɪkt
cabriolet	ˌkæbɹioʊˈɫɛt,ˌkæbɹioʊˈɫeɪ
schuh	ˈʃu
cart	ˈkɑɹt
saucers	ˈsɔsɝz
hagerstown	ˈheɪɡɝzˌtaʊn
rotting	ˈɹɑtɪŋ
zukas	ˈzukəz
mclain	məˈkɫeɪn
audited	ˈɔdɪtɪd
allport	ˈɔɫˌpɔɹt
apricots	ˈæpɹəˌkɑts
bussman	ˈbəsmən
kiev's	ˌkiˈɛvz
donaldson's	ˈdɑnəɫdsənz
retainers	ɹɪˈteɪnɝz
longterm	ˈɫɔŋˌtɝm
gunther	ˈɡənθɝ
hypotheses	haɪˈpɑθəˌsiz
overtaken	ˈoʊvɝˌteɪkən
p.'s	ˈpiz
furriers	ˈfɝiɝz
disappointed	ˌdɪsəˈpɔɪntɪd,ˌdɪsəˈpɔɪnɪd
sixed	ˈsɪkst
jorde	ˈdʒɔɹd
czechoslovakia's	ˌtʃɛkəsɫoʊˈvɑkiəz
devastating	ˈdɛvəˌsteɪtɪŋ
marsisa's	mɑɹˈsɪsəz
roedel	ˈɹoʊdəɫ
dish	ˈdɪʃ
poring	ˈpɔɹɪŋ
harth	ˈhɑɹθ
janey	ˈdʒeɪni
eschenbach	ˈɛʃɪnbɑk
middlemen	ˈmɪdəɫˌmɛn
telecharge	ˈtɛɫəˈtʃɑɹdʒ
insiders'	ˌɪnˈsaɪdɝz
mustang	ˈməsˌtæŋ
mcgrail	məˈɡɹeɪɫ
utt	ˈət
scorns	ˈskɔɹnz
repudiating	ɹipˈjudiˌeɪtɪŋ
bennington	ˈbɛnɪŋtən
fidder	ˈfɪdɝ
brindley	ˈbɹɪndɫi
casebeer	kæsɪˈbɪɹ,keɪsˈbɪɹ
election's	ɪˈɫɛkʃənz
pippin	ˈpɪpɪn
mousley	ˈmaʊsɫi
errs	ˈɛɹz
koppen	ˈkɑpən
regionalize	ˈɹidʒənəˌɫaɪz
evens	ˈivənz
ceases	ˈsisɪz
thornburgs	ˈθɔɹnbɝɡz
propagation	ˌpɹɑpəˈɡeɪʃən
sedans	sɪˈdænz
scadden	ˈskædən
cenvill	ˈsɛnvɪɫ
barbour's	ˈbɑɹbɝz
postulates	ˈpɑstʃəˌɫeɪts,ˈpɑstʃəɫəts
grandview	ˈɡɹændˌvju
boilerplate	ˈbɔɪɫɝˌpɫeɪt
councilwoman	ˈkaʊnsəɫˌwʊmən
lordi	ˈɫɔɹˌdi
surfing	ˈsɝfɪŋ
eglantine	ˈɛɡɫənˌtaɪn
americanas	əˌmɛɹəˈkænəz
shaub	ˈʃɔb
blanket	ˈbɫæŋkət,ˈbɫæŋkɪt
propelled	pɹəˈpɛɫd
opsahl	ˈɑpsɑɫ
nightfall	ˈnaɪtˌfɔɫ
arranged	ɝˈeɪndʒd
shimoda	ʃɪˈmoʊdə
rossini	ɹoʊˈsini
meta	ˈmitə
choke	ˈtʃoʊk
raggedy	ˈɹæɡədi
hockberg	ˈhɑkbɝɡ
harassers	hɝˈæsɝz
povich	ˈpoʊvɪtʃ
monje	ˈmɑndʒ
petro	ˈpɛtɹoʊ
totten	ˈtɑtən
calogero	kɑɫoʊˈdʒɛɹoʊ
entomologist	ˌɛntəˈmɑɫədʒəst
dorena	ˈdɔɹɪnə
chords	ˈkɔɹdz
bylaws	ˈbaɪˌɫɔz
waxed	ˈwækst
zaccaria	zɑˈkɑɹiə
mogle	ˈmoʊɡəɫ
herschensohn	ˈhɝʃənsən
gemberling	ˈɡɛmbɝɫɪŋ
ashtrays	ˈæʃˌtɹeɪz
nabb	ˈnæb
outsides	ˈaʊtˈsaɪdz
putterman	ˈpətɝmən
lymphoblastic	ˌɫɪmfəˈbɫæstək
mcinerny	məˈkɪnɝni
batan	ˈbeɪtən
mirror's	ˈmɪɹɝz
gels	ˈdʒɛɫz
la	ˈɫɑ
boys	ˈbɔɪz
topolski	təˈpoʊɫski
unrest	ənˈɹɛst
deener	ˈdinɝ
videodisks	ˈvɪdioʊˌdɪsks
committeeman	kəˈmɪtimən
matter's	ˈmætɝz
kosiba	koʊˈsibə
marmara	mɑɹˈmɑɹə
along	əˈɫɔŋ
fullest	ˈfʊɫəst
wayne's	ˈweɪnz
russians	ˈɹəʃənz
camarena	kɑmɑˈɹɛnə,ˌkɑmɝˈeɪnə
rammel	ˈɹæməɫ
pelosi	pɛˈɫoʊsi
equitably	ˈɛkwɪtəbɫi
menne	ˈmɛn
buddy's	ˈbədiz
ricks	ˈɹɪks
groupings	ˈɡɹupɪŋz
ruffled	ˈɹəfəɫd
joystick	ˈdʒɔɪˌstɪk
mssrs	ˈmɛsɝz
embellishment	ɛmˈbɛɫɪʃmənt
abject	ˈæbdʒɛkt
outward	ˈaʊtwɝd
marcou	mɑɹˈku
patrick's	ˈpætɹɪks
stockmarket	ˈstɑkˌmɑɹkɪt
romilda	ɹəˈmiɫdə
lifesaving	ˈɫaɪfˌseɪvɪŋ
rumsey	ˈɹəmzi
mardon	ˈmɑɹdən
intestines	ˌɪnˈtɛstənz
koslosky	kəˈsɫoʊski
chartering	ˈtʃɑɹtɝɪŋ
lusitania	ˌɫusəˈteɪniə
befits	bɪˈfɪts
prevalent	ˈpɹɛvəɫənt
topical	ˈtɑpəkəɫ,ˈtɑpɪkəɫ
rolly	ˈɹoʊɫi
brademas	bɹəˈdeɪməs
roy	ˈɹɔɪ
birk	ˈbɝk
longest	ˈɫɔŋɡɪst,ˈɫɔŋɡəst
initiation	ˌɪˌnɪʃiˈeɪʃən
steeple	ˈstipəɫ
malone's	məˈɫoʊnz
schoolmates	ˈskuɫˌmeɪts
spunk	ˈspəŋk
propriety	pɹəˈpɹaɪəti
dennen	ˈdɛnən
aristech	ˈɛɹɪˌstɛk
peeks	ˈpiks
hepatic	həˈpætɪk
aerodyne's	ˈɛɹəˌdaɪnz
toolbar	ˈtuɫˌbɑɹ
hercegovina	ˌhɛɹtsəɡoʊˈvinə,ˌhɝɹtsəɡoʊˈvinə
overconfident	ˌoʊvɝˈkɑnfɪdənt
tereza's	tɝˈeɪzəz
schieren	ˈʃɪɹən
hoyne	ˈhɔɪn
bevil	ˈbɛvəɫ
ramparts	ˈɹæmˌpɑɹts
nattie	ˈnæti
athena	əˈθinə
managements	ˈmænɪdʒmənts
collusive	kəˈɫusɪv
bolkow	ˈboʊɫkaʊ
meyohas	meɪˈoʊhɑs
donlon	ˈdɑnɫən
checkerboarding	ˈtʃɛkɝˌbɔɹdɪŋ
kira	ˈkɪɹɑ
gains	ˈɡeɪnz
unneeded	ənˈnidɪd
hewer	ˈhjuɝ
corgi	ˈkɔɹɡi
broiler	ˈbɹɔɪɫɝ
intrusiveness	ˌɪnˈtɹusɪvnɛs
blurted	ˈbɫɝtɪd
eschete	ˈɛʃit
reasoner's	ˈɹizənɝz
mounds	ˈmaʊndz
herre	ˈhɛɹ,ˈhəɹi
orrison	ˈɔɹɪsən
garbo	ˈɡɑɹboʊ
militarism	ˈmɪɫətɝˌɪzəm
legacy	ˈɫɛɡəsi
unaltered	əˈnɔɫtɝd
pippenger	ˈpɪpɪndʒɝ
truncated	ˈtɹəŋˌkeɪtɪd
pipp	ˈpɪp
vacationing	veɪˈkeɪʃənɪŋ,veɪˈkeɪʃnɪŋ
parishioner	pɝˈɪʃənɝ
frogmen	ˈfɹɑɡmɪn
inhaler	ˌɪnˈheɪɫɝ
magnitude	ˈmæɡnəˌtud
marginalized	ˈmɑɹdʒənəˌɫaɪzd
neuhoff	ˈnuˌhɔf
carlzon	ˈkɑɹɫzɑn
agin	ɑˈdʒin
disingenuousness	ˌdɪsɪnˈdʒɛnjuəsnəs
mcgreal	məˈɡɹiɫ
conferred	kənˈfɝd
affirms	əˈfɝmz
brouillette	bɹwiˈɫɛt
history's	ˈhɪstɝiz,ˈhɪstɹiz
swenet	ˈswɛnət
harmonizes	ˈhɑɹməˌnaɪzɪz
anarchy	ˈænɝˌki
forgings	ˈfɔdʒɪŋz
embarks	ɪmˈbɑɹks
seeker	ˈsikɝ
endows	ɛnˈdaʊz
loiacano	ɫoʊjəˈkɑnoʊ
barthel	ˈbɑɹθəɫ
midpoint	ˈmɪdˌpɔɪnt
harriger	ˈhæɹɪɡɝ
brimer	ˈbɹaɪmɝ
geoffroy	ˈdʒiəfɹɔɪ
tosh	ˈtɑʃ
czarnecki	tʃɝˈnɛtski
axilrod	ˈæksɪɫˌɹɑd
niko's	ˈnikoʊz
dafoe	ˈdæfoʊ
seales	ˈsiɫz
bodamer	ˈbɑdəmɝ
pesticides	ˈpɛstəˌsaɪdz
mispronounces	mɪspɹəˈnaʊnsɪz
palmist	ˈpɑmɪst
stoermer	ˈstɔɹmɝ
palliatives	ˈpæɫiətɪvz
safe	ˈseɪf
constituency	kənˈstɪtʃuənsi
pelphrey	ˈpɛɫfɹi
various	ˈvɛɹiəs
renown	ɹɪˈnaʊn
antczak	ˈænttʃæk
sandrock	ˈsænˌdɹɑk
crall	ˈkɹɔɫ
tallmadge	ˈtæɫmædʒ
krotzer	ˈkɹoʊtzɝ
wooing	ˈwuɪŋ
prosecuted	ˈpɹɑsɪkˌjutɪd
medendorp	ˈmɛdɛndɔɹp
armato	ɑɹˈmɑtoʊ
macadam	məˈkædəm
baroque	bɝˈoʊk
proserv	ˈpɹoʊˌsɝv
blelloch	ˈbɫɛɫɑk
derksen	ˈdɝksən
granquist	ˈɡɹænˌkwɪst
webber's	ˈwɛbɝz
rubey	ˈɹubi
grenades	ɡɹəˈneɪdz
army	ˈɑɹmi
regime's	ɹeɪˈʒimz
lightnings	ˈɫaɪtnɪŋz
morillono	mɔˈɹɪɫənoʊ
lehane	ɫəˈheɪn
siegan's	ˈsiɡənz
courtiers	ˈkɔɹtiɝz
gunfighters	ˈɡənˌfaɪtɝz
tabletop	ˈteɪbəɫˌtɑp
grandchamp	ˈɡɹændˌtʃæmp
eerily	ˈɪɹəɫi
sacco's	ˈsækoʊz
teva	ˈteɪvə
phrasing	ˈfɹeɪzɪŋ
bergin	ˈbɝˌɡɪn
belflower	ˈbɛɫˌfɫaʊɝ
shirin	ˈʃɪɹən
flemming	ˈfɫɛmɪŋ
turville	ˈtɝˌvɪɫ
yearnings	ˈjɝnɪŋz
darius	dɝˈaɪəs
retrieve	ɹiˈtɹiv,ɹɪˈtɹiv
antarctica's	ˌænˈtɑɹktɪkəz
smacks	ˈsmæks
zwolinski	zvəˈɫɪnski
southern	ˈsəðɝn
wildwood	ˈwaɪɫdˌwʊd
piccirilli	pitʃɪˈɹiɫi
pugliese	puɡɫiˈeɪzi
flemish	ˈfɫɛmɪʃ
astuteness	əˈstutnəs
moesch	ˈmoʊʃ
judging	ˈdʒədʒɪŋ
loblolly	ˈɫɑˌbɫɑɫi
evasions	ɪˈveɪʒənz,iˈveɪʒənz
fagoth	ˈfæɡəθ
bopp	ˈbɑp
goewey	ˈɡɑui
ache	ˈeɪk
orelia	ɔˈɹɛɫiə
relevancy	ˈɹɛɫəvənsi
velayati	vɛˌɫaɪˈɑti
bargainer	ˈbɑɹɡɪnɝ
clementes	kɫəˈmɛntiz,kɫəˈmɛnteɪz
hwan's	ˈhwɑnz
corvette	kɔɹˈvɛt
bandemer	ˈbændimɝ
darkest	ˈdɑɹkəst
lathan	ˈɫæθən
raising	ˈɹeɪzɪŋ
corzine	kɝˈzini
mahalia	məˈhæɫiə
savors	ˈseɪvɝz
pymm	ˈpɪm
slumbering	ˈsɫəmbɝɪŋ
trails'	ˈtɹeɪɫz
semiclad	ˈsɛmaɪˌkɫæd,ˈsɛmiˌkɫæd,ˈsɛməˌkɫæd
haiku	ˈhaɪku
richelson	ˈɹɪtʃəɫsən
venom	ˈvɛnəm
harleysville	ˈhɑɹɫizˌvɪɫ
headcount	ˈhɛdˌkaʊnt
egleston	ˈɛɡəɫstɑn
iditarod	ˌɪˈdɪtəˌɹɔd
frontiere	fɹɑnˈtjɛɹ
puritanisms	ˈpjʊɹətəˌnɪzəmz
degas	ˈdeɪɡə,ˈdeɪɡəs
eurodebt	ˈjuɹoʊˌdɛt
olshansky	ˈoʊɫʃənski
marken	ˈmɑɹkən
bohr	ˈbɔɹ
pekar	ˈpɛkɝ
valdivia	vɑɫˈdiviə
snafu	ˈsnæfu
govan	ˈɡoʊvən
nice	ˈnaɪs,ˈnis
pressurizing	ˈpɹɛʃɝˌaɪzɪŋ
lemzo	ˈɫɛmzoʊ
gear's	ˈɡɪɹz
warmuth	ˈwɔɹˌmʊθ
guynes	ˈɡaɪnz
haaf	ˈhɑf
moorehouse	ˈmʊɹˌhaʊs
dietary	ˈdaɪəˌtɛɹi
imre	ˈɪmɹə
neared	ˈnɪɹd
deceptive	dɪˈsɛptɪv
malamute	ˈmæɫəmˌjut
akita's	əˈkitəz
kinzer	ˈkɪnzɝ
curly	ˈkɝɫi
meave	ˈmiv
knabb	ˈnæb
mezvinsky's	ˌmɛzˈvɪnskiz
overstocked	ˈoʊvɝˈstɑkt
spoelstra	ˈspoʊɫstɹɑ
tonelli	toʊˈnɛɫi
acropolis	əˈkɹɑpəɫəs
