артуына	ˈɑɾtwənɑ
тектоникалық	tektˈonəjkɑɫəq
Жоғарыда	ʒoʀˈɑɾədɑ
Камераға	kɑmeɾɑʀˈɑ
жалғастырудан	ʒɑɫʀˈɑstəɾwdɑn
ұстанымды	ʊstˈɑnəmdə
шаңырақты	ʃˈɑŋəɾɑqtə
Көне	kɵnˈe
Қалай	qɑɫˈɑj
Батыл	bˈɑtəɫ
Адалат	ɑdɑɫˈɑt
шұбатты	ʃʊbˈɑttə
жағдайлардан	ʒɑʀdɑjɫɑɾdˈɑn
Байболов	bɑjboɫˈov
жуатын	ʒwˈɑtən
клиникалық	kɫəjnəjkɑɫəq
шаруаң	ʃɑɾwˈɑŋ
Бетпақдала	betpɑqdɑɫˈɑ
өткіземіз	ɵtkɪzemˈɪz
құбылды	qˈʊbəɫdə
Тобыш	tˈobəʃ
Гагариннің	ɡɑɡˈɑɾəjnnɪŋ
арнапты	ɑɾnˈɑptə
Жұман	ʒʊmˈɑn
өнімнің	ɵnɪmnˈɪŋ
миллиардердің	məjɫɫəjɑɾdeɾdɪŋ
тарауда	tɑɾɑwdˈɑ
потенциалын	potˈentsəjɑɫən
Балиева	bˈɑɫəjevɑ
жобаларының	ʒobɑɫˈɑɾənəŋ
мамандығының	mɑmˈɑndəʀənəŋ
құрылымын	qˈʊɾəɫəmən
ықшамдалған	əqʃɑmdɑɫʀɑn
бильярдтан	bəjɫʔjaɾdtɑn
жұқа	ʒʊqˈɑ
әкелмек	ækeɫmˈek
зерттеліп	zeɾttelˈɪp
кестесі	kestesˈɪ
Фарух	fˈɑɾwx
кенішті	kenɪʃtˈɪ
үміттенді	umɪttendˈɪ
суасты	swˈɑstə
жариялаушы	ʒˈɑɾəjjaɫɑwʃə
радиациядан	ɾˈɑdəjɑtsəjjadɑn
фракциясының	fɾˈɑktsəjjasənəŋ
сенімді	senɪmdˈɪ
құралдарының	qʊɾɑɫdˈɑɾənəŋ
сәуірінен	sæwɪɾɪnˈen
интернетінің	əjnteɾnetɪnɪŋ
қорғалмаған	qoɾʀɑɫmɑʀˈɑn
облыстар	ˈobɫəstɑɾ
қарастырылуы	qɑɾˈɑstəɾəɫwə
татқан	tɑtqˈɑn
әзербайжандық	æzeɾbɑjʒˈɑndəq
қоздыратын	qˈozdəɾɑtən
оғынан	ˈoʀənɑn
денелі	denelˈɪ
жанұя	ʒɑnʊjˈa
шырақшысы	ʃəɾɑqʃəsə
амалдарға	ɑmɑɫdɑɾʀˈɑ
банкирдің	bˈɑnkəjɾdɪŋ
жолымыз	ʒˈoɫəməz
кешенінен	keʃenɪnˈen
алдыңыздан	ˈɑɫdəŋəzdɑn
Әбдірованың	æbdɪɾovˈɑnəŋ
мағынаға	mˈɑʀənɑʀɑ
қожалығына	qoʒˈɑɫəʀənɑ
мониторинг	mˈonəjtoɾəjnɡ
туристің	twɾəjstɪŋ
интеграцияға	əjnteɡɾɑtsəjjaʀɑ
таяуда	tɑjawdˈɑ
статистикасы	stˈɑtəjstəjkɑsə
Аралас	ɑɾɑɫˈɑs
дүниелерді	dˈunəjeleɾdɪ
тағынып	tˈɑʀənəp
танысыпты	tˈɑnəsəptə
қызығушылықты	qəzəʀwʃəɫəqtə
Шавкат	ʃɑvkˈɑt
Ұрлық	ˈʊɾɫəq
Айтайын	ɑjtˈɑjən
ұнамайды	ʊnɑmˈɑjdə
кеткенімен	ketkenɪmˈen
қалмайсың	qɑɫmˈɑjsəŋ
ұғымын	ˈʊʀəmən
ізденіс	ɪzdenˈɪs
Осында	ˈosəndɑ
Әкімдікке	ækɪmdɪkkˈe
бұлтартпас	bʊɫtɑɾtpˈɑs
Серхио	sˈeɾxəjo
орнатуына	oɾnˈɑtwənɑ
тиіспейді	təjɪspejdɪ
км	kəmə
жалғастырмақ	ʒɑɫʀˈɑstəɾmɑq
бағынудан	bˈɑʀənwdɑn
алмастан	ɑɫmɑstˈɑn
бүк	bˈuk
шыға	ʃəʀɑ
әдебиеттану	ædˈebəjettɑnw
шеберлерінің	ʃebeɾleɾɪnˈɪŋ
Марианна	mˈɑɾəjɑnnɑ
күмәндана	kumændɑnˈɑ
жұмысымызға	ʒˈʊməsəməzʀɑ
ілігеді	ɪlɪɡedˈɪ
қашпайды	qɑʃpˈɑjdə
қыздарымыз	qəzdɑɾəməz
сабырлылық	sˈɑbəɾɫəɫəq
басымдықты	bˈɑsəmdəqtə
Мерекелік	meɾekelˈɪk
Терезеден	teɾezedˈen
Тишкина	təjʃkəjnɑ
Ержанның	eɾʒˈɑnnəŋ
болмағаннан	boɫmɑʀɑnnˈɑn
ассамблеясында	ɑssɑmblejˈasəndɑ
вахта	vɑxtˈɑ
түсінуге	tusɪnwɡˈe
аралдарына	ɑɾɑɫdˈɑɾənɑ
Байбек	bɑjbˈek
бөлінуді	bɵlɪnwdˈɪ
Коляның	koɫjˈanəŋ
тұрғанда	tʊɾʀɑndˈɑ
қасымызға	qˈɑsəməzʀɑ
Алдында	ˈɑɫdəndɑ
тәсілімен	tæsɪlɪmˈen
қоластында	qoɫˈɑstəndɑ
сергелдең	seɾɡeɫdˈeŋ
таныды	tˈɑnədə
Мұқашев	mʊqɑʃˈev
ұлғайтып	ʊɫʀˈɑjtəp
жағалаудың	ʒɑʀɑɫˈɑwdəŋ
жуығының	ʒwəʀənəŋ
әріптесі	æɾɪptesˈɪ
қаржыны	qˈɑɾʒənə
қарастырмаған	qɑɾˈɑstəɾmɑʀɑn
Молдавия	moɫdˈɑvəjja
тілі	tɪlˈɪ
сауалнаманы	sɑwɑɫnɑmˈɑnə
ауысатын	ˈɑwəsɑtən
бағыттар	bˈɑʀəttɑɾ
ырғағына	əɾʀɑʀənɑ
атанғаны	ɑtɑnʀˈɑnə
маслихатын	mˈɑsɫəjxɑtən
талаптар	tɑɫɑptˈɑɾ
стандарттау	stɑndɑɾttˈɑw
Вэйвэй	vejvˈej
қарғысқа	qˈɑɾʀəsqɑ
хатына	xˈɑtənɑ
ережелеріне	eɾeʒeleɾɪnˈe
сенсациялық	sensˈɑtsəjjaɫəq
Канадада	kɑnɑdɑdˈɑ
жүктіліктің	ʒuktɪlɪktˈɪŋ
дардай	dɑɾdˈɑj
самал	sɑmˈɑɫ
алыстау	ˈɑɫəstɑw
желтоқсанына	ʒeɫtoqsˈɑnənɑ
полицейлермен	pˈoɫəjtsejleɾmen
Эльмира	ˈeɫʔməjɾɑ
жаудырып	ʒˈɑwdəɾəp
желден	ʒeɫdˈen
жоқтаушысы	ʒoqtˈɑwʃəsə
бітіруді	bɪtɪɾwdˈɪ
марқұмдар	mɑɾqʊmdˈɑɾ
жарлықты	ʒˈɑɾɫəqtə
өзгеруін	ɵzɡeɾwˈɪn
төбелесі	tɵbelesˈɪ
Ширин	ʃəjɾəjn
радиоға	ɾˈɑdəjoʀɑ
жолдайды	ʒoɫdˈɑjdə
болжауынша	boɫʒˈɑwənʃɑ
қобалжу	qobˈɑɫʒw
жоқпын	ʒˈoqpən
Бұрнағы	bʊɾnˈɑʀə
мәнін	mænˈɪn
дауыстар	dˈɑwəstɑɾ
және	ʒænˈe
намазға	nɑmɑzʀˈɑ
бұзуына	bˈʊzwənɑ
құшағында	qʊʃˈɑʀəndɑ
тұрмысын	tˈʊɾməsən
баспасөзден	bɑspɑsɵzdˈen
қашықта	qˈɑʃəqtɑ
тоқтатамыз	toqtɑtˈɑməz
жетістіктері	ʒetɪstɪkteɾˈɪ
Үкіметтік	ukɪmettˈɪk
шаршатып	ʃɑɾʃˈɑtəp
абзалы	ɑbzˈɑɫə
Кітап	kɪtˈɑp
айырыла	ˈɑjəɾəɫɑ
тұрақтылығы	tʊɾˈɑqtəɫəʀə
қарамастан	qɑɾɑmɑstˈɑn
Қарымсақов	qˈɑɾəmsɑqov
арнаны	ɑɾnˈɑnə
мінберінде	mɪnbeɾɪndˈe
сұраушы	sʊɾˈɑwʃə
достарының	dostˈɑɾənəŋ
түсінсе	tusɪnsˈe
шақпен	ʃɑqpˈen
ұшырадық	ˈʊʃəɾɑdəq
қиындықтарын	qəjəndəqtɑɾən
жолданған	ʒoɫdɑnʀˈɑn
жүгінетін	ʒuɡɪnetˈɪn
көтерілді	kɵteɾɪɫdˈɪ
принциппен	pɾəjntsəjppen
шолу	ʃˈoɫw
терактіден	teɾɑktɪdˈen
інісін	ɪnɪsˈɪn
шындап	ʃəndɑp
ағаларына	ɑʀɑɫˈɑɾənɑ
әлсірей	æɫsɪɾˈej
қуаттаған	qwɑttɑʀˈɑn
тақтасына	tɑqtˈɑsənɑ
үлгердім	uɫɡeɾdˈɪm
центнерден	tsentneɾdˈen
Неке	nekˈe
келтірейік	keɫtɪɾejˈɪk
концлагерінде	kontsɫɑɡeɾɪndˈe
кірісе	kɪɾɪsˈe
сақтаймын	sɑqtˈɑjmən
құндылықтарына	qˈʊndəɫəqtɑɾənɑ
бағамына	bɑʀˈɑmənɑ
қосылғандар	qˈosəɫʀɑndɑɾ
ұрған	ʊɾʀˈɑn
Канн	kˈɑnn
өлтіруді	ɵɫtɪɾwdˈɪ
сынғанын	sənʀɑnən
кенедей	kenedˈej
қожайындары	qoʒˈɑjəndɑɾə
байласып	bɑjɫˈɑsəp
қашқандардың	qɑʃqɑndˈɑɾdəŋ
қимылы	qəjməɫə
мүшесін	muʃesˈɪn
келейік	kelejˈɪk
айтпақшы	ɑjtpˈɑqʃə
сүйекті	sujektˈɪ
нең	nˈeŋ
сайыстарға	sˈɑjəstɑɾʀɑ
жеңгеме	ʒeŋɡemˈe
жанармайға	ʒɑnɑɾmɑjʀˈɑ
ФСБ	fəsəbə
сөйлетуге	sɵjletwɡˈe
себептерінің	sebepteɾɪnˈɪŋ
ағынды	ˈɑʀəndə
тапсырмалардың	tˈɑpsəɾmɑɫɑɾdəŋ
қытайдан	qətɑjdɑn
мұрттай	mʊɾttˈɑj
Вацлав	vɑtsɫˈɑv
ошақ	oʃˈɑq
Бокстан	bokstˈɑn
мектебіне	mektebɪnˈe
Қарағандылық	qɑɾɑʀˈɑndəɫəq
оқиғасын	ˈoqəjʀɑsən
сырқаттардың	səɾqɑttɑɾdəŋ
спортшыларды	spˈoɾtʃəɫɑɾdə
балабақшаларда	bɑɫɑbɑqʃɑɫɑɾdˈɑ
дыбыссыз	dəbəssəz
бөлшегін	bɵɫʃeɡˈɪn
Ходорковскийді	xodoɾkˈovskəjjdɪ
жолақысы	ʒoɫˈɑqəsə
комиссариатқа	kˈoməjssɑɾəjɑtqɑ
Мұратбай	mʊɾɑtbˈɑj
қалаларынан	qɑɫɑɫˈɑɾənɑn
қадамға	qɑdɑmʀˈɑ
сұқбатының	sʊqbˈɑtənəŋ
Ибрахим	əjbɾɑxəjm
басылымды	bˈɑsəɫəmdə
Конституциямен	kˈonstəjtwtsəjjamen
конференциялар	konfeɾˈentsəjjaɫɑɾ
шетелдіктермен	ʃeteɫdɪkteɾmˈen
планета	pɫɑnetˈɑ
ақынға	ˈɑqənʀɑ
Айдынның	ˈɑjdənnəŋ
көзқарасым	kɵzqɑɾˈɑsəm
браконьерлер	bɾɑkonʔeɾlˈeɾ
шағындау	ʃˈɑʀəndɑw
қамтылады	qˈɑmtəɫɑdə
жылыжай	ʒəɫəʒɑj
жаңағыдай	ʒɑŋˈɑʀədɑj
бюллетеньдерін	bjuɫletenʔdeɾˈɪn
шыр	ʃəɾ
Каримованың	kˈɑɾəjmovɑnəŋ
өтемақысыз	ɵtemˈɑqəsəz
орындықтың	ˈoɾəndəqtəŋ
округінің	okɾwɡɪnˈɪŋ
құбырына	qˈʊbəɾənɑ
спорттық	spˈoɾttəq
ұшырды	ˈʊʃəɾdə
Қауіпсіздік	qɑwɪpsɪzdˈɪk
сойды	sˈojdə
Көз	kˈɵz
қалыптаспай	qˈɑɫəptɑspɑj
шиеленістің	ʃəjelenɪstɪŋ
ағылшындардың	ˈɑʀəɫʃəndɑɾdəŋ
Березовка	beɾezovkˈɑ
порт	pˈoɾt
жиіледі	ʒəjɪledɪ
Үнді	undˈɪ
Айткен	ɑjtkˈen
жүйесі	ʒujesˈɪ
Әулиеата	ˈæwɫəjeɑtɑ
амалдап	ɑmɑɫdˈɑp
шенеуніктерден	ʃenewnɪkteɾdˈen
Барселонасы	bɑɾseɫonˈɑsə
кездескенін	kezdeskenˈɪn
кепілге	kepɪɫɡˈe
сөзін	sɵzˈɪn
шынашағын	ʃənɑʃɑʀən
құрылысында	qˈʊɾəɫəsəndɑ
сығандардың	səʀɑndɑɾdəŋ
іздеген	ɪzdeɡˈen
Матаевтардың	mɑtɑevtˈɑɾdəŋ
қабырғасының	qˈɑbəɾʀɑsənəŋ
Аудандағы	ɑwdɑndˈɑʀə
мағынада	mˈɑʀənɑdɑ
істейтіндер	ɪstejtɪndˈeɾ
сайлауымен	sɑjɫˈɑwəmen
одағының	odˈɑʀənəŋ
жараланғандарға	ʒɑɾɑɫɑnʀɑndɑɾʀˈɑ
бағасында	bɑʀˈɑsəndɑ
Талхиздің	tˈɑɫxəjzdɪŋ
сиқын	səjqən
Бүтін	butˈɪn
оркестр	oɾkˈestɾ
кредиторларға	kɾˈedəjtoɾɫɑɾʀɑ
құзғын	qˈʊzʀən
қаңғыбас	qˈɑŋʀəbɑs
қазан	qɑzˈɑn
құрылыстарына	qˈʊɾəɫəstɑɾənɑ
еркіндігі	eɾkɪndɪɡˈɪ
Берия	bˈeɾəjja
Едіге	edɪɡˈe
кіргеніне	kɪɾɡenɪnˈe
Маловодное	mɑɫovodnoˈe
Құрбанбибі	qʊɾbˈɑnbəjbɪ
айналыса	ɑjnˈɑɫəsɑ
арбамен	ɑɾbɑmˈen
Комитет	kˈoməjtet
Оспановтың	ospɑnˈovtəŋ
ойламадық	ojɫɑmˈɑdəq
Тәуелсіз	tæweɫsˈɪz
жантая	ʒɑntɑjˈa
Өлмесхан	ɵɫmesxˈɑn
ҚазАқпараттың	qˈɑzɑqpɑɾˈɑttəŋ
мыңы	məŋə
ажары	ɑʒˈɑɾə
қорғаушы	qoɾʀˈɑwʃə
Ертаев	eɾtɑˈev
бюллетеньдер	bjuɫletenʔdˈeɾ
жайғасты	ʒɑjʀˈɑstə
Фашизм	fˈɑʃəjzm
символикалық	səjmvoɫəjkɑɫəq
Дүниежүзі	dˈunəjeʒuzɪ
Чехов	t͡ʃexˈov
қит	qəjt
қойылатыны	qˈojəɫɑtənə
рәсімдеу	ɾæsɪmdˈew
жинағына	ʒəjnɑʀənɑ
ізбасары	ɪzbɑsˈɑɾə
көзден	kɵzdˈen
әлбетте	æɫbettˈe
жемқорларға	ʒemqoɾɫɑɾʀˈɑ
құлағынан	qʊɫˈɑʀənɑn
жығатын	ʒəʀɑtən
Роналдоның	ɾonɑɫdˈonəŋ
шыққасын	ʃəqqɑsən
ұшынан	ˈʊʃənɑn
әкімшілікте	ækɪmʃɪlɪktˈe
бермеді	beɾmedˈɪ
жасайсыз	ʒɑsˈɑjsəz
сириялық	səjɾəjjaɫəq
шекарасын	ʃekɑɾˈɑsən
рәсіміне	ɾæsɪmɪnˈe
шкаласы	ʃkɑɫˈɑsə
табан	tɑbˈɑn
Қасымға	qˈɑsəmʀɑ
Венгрияда	vˈenɡɾəjjadɑ
аталатынын	ɑtɑɫˈɑtənən
қызықтырып	qəzəqtəɾəp
жүргізілетінін	ʒuɾɡɪzɪletɪnˈɪn
қаңтарындағы	qɑŋtˈɑɾəndɑʀə
айтқанша	ɑjtqɑnʃˈɑ
төмендете	tɵmendetˈe
ұнамайтыны	ʊnɑmˈɑjtənə
шынашақтай	ʃənɑʃɑqtɑj
Бірлестік	bɪɾlestˈɪk
Айтақын	ɑjtˈɑqən
қора	qoɾˈɑ
аяқталуын	ɑjaqtˈɑɫwən
Молдовадан	moɫdovɑdˈɑn
хабарласуға	xɑbɑɾɫɑswʀˈɑ
мерейтойын	meɾejtˈojən
кедергі	kedeɾɡˈɪ
науқанын	nɑwqˈɑnən
шабуылды	ʃˈɑbwəɫdə
Аймаққа	ɑjmɑqqˈɑ
өлімі	ɵlɪmˈɪ
шоршып	ʃˈoɾʃəp
Бабалар	bɑbɑɫˈɑɾ
ойланады	ojɫɑnˈɑdə
сериясындағы	sˈeɾəjjasəndɑʀə
бодандықтан	bodˈɑndəqtɑn
тілдердің	tɪɫdeɾdˈɪŋ
терминдерді	tˈeɾməjndeɾdɪ
Иранда	əjɾɑndɑ
Әженова	æʒenovˈɑ
зарлы	zˈɑɾɫə
қаражат	qɑɾɑʒˈɑt
Төрәлі	tɵɾælˈɪ
сөреде	sɵɾedˈe
білінді	bɪlɪndˈɪ
Саясаттанушылардың	sɑjasɑttˈɑnwʃəɫɑɾdəŋ
міндеттемелерін	mɪndettemeleɾˈɪn
мақалаларды	mɑqɑɫɑɫˈɑɾdə
шаңғымен	ʃˈɑŋʀəmen
әрекеттеніп	æɾekettenˈɪp
бірлестігі	bɪɾlestɪɡˈɪ
Нұрахмет	nʊɾɑxmˈet
қасиеттерін	qˈɑsəjetteɾɪn
Тауға	tɑwʀˈɑ
бастайсың	bɑstˈɑjsəŋ
БК	bəkə
статистикалық	stˈɑtəjstəjkɑɫəq
тоқсан	toqsˈɑn
Мигель	məjɡeɫʔ
ойлайтынын	ojɫˈɑjtənən
суреттелген	swɾetteɫɡˈen
жүзген	ʒuzɡˈen
Қарауыл	qɑɾˈɑwəɫ
фирмасымен	fəjɾmɑsəmen
өркендеуі	ɵɾkendewˈɪ
Гонконг	ɡonkˈonɡ
Біресе	bɪɾesˈe
атаулы	ɑtˈɑwɫə
Өскеменге	ɵskemenɡˈe
облигация	ˈobɫəjɡɑtsəjja
асудың	ˈɑswdəŋ
дүрліктірді	duɾlɪktɪɾdˈɪ
аямайды	ɑjamˈɑjdə
шығармаларға	ʃəʀɑɾmɑɫɑɾʀɑ
жанұясы	ʒɑnʊjˈasə
бәсекелес	bæsekelˈes
қиямет	qəjjamet
Парламенттен	pɑɾɫɑmenttˈen
арнаған	ɑɾnɑʀˈɑn
Зекейџлы	zəˈekəˈejəlˈetəˈefɫəə
жоғымызды	ʒˈoʀəməzdə
сенімім	senɪmˈɪm
Беларустегі	beɫɑɾwsteɡˈɪ
адым	ˈɑdəm
Жосалы	ʒosˈɑɫə
Ярославлевтің	jaɾosɫɑvlevtˈɪŋ
жарақаттанды	ʒɑɾɑqɑttˈɑndə
жүрек	ʒuɾˈek
созылуы	sˈozəɫwə
қарызынан	qˈɑɾəzənɑn
Ағамыз	ɑʀˈɑməz
еселенген	eselenɡˈen
зорламақ	zoɾɫɑmˈɑq
құрумен	qʊɾwmˈen
кешеден	keʃedˈen
тактиканы	tˈɑktəjkɑnə
тартпай	tɑɾtpˈɑj
Мырзашев	məɾzɑʃev
Ракель	ɾɑkˈeɫʔ
Головкинге	ɡoɫˈovkəjnɡe
қайрылды	qˈɑjɾəɫdə
ұстанымның	ʊstˈɑnəmnəŋ
автономиясын	ɑvtonˈoməjjasən
аяқталмақ	ɑjaqtɑɫmˈɑq
ұқсаған	ʊqsɑʀˈɑn
ырғағы	əɾʀɑʀə
салысымен	sˈɑɫəsəmen
шағымдарды	ʃˈɑʀəmdɑɾdə
беткеұстар	betkeʊstˈɑɾ
драмасын	dɾɑmˈɑsən
Ұлым	ˈʊɫəm
атажұртына	ɑtɑʒˈʊɾtənɑ
әулетінің	æwletɪnˈɪŋ
атпен	ɑtpˈen
өлтіріліп	ɵɫtɪɾɪlˈɪp
қауіптенетінін	qɑwɪptenetɪnˈɪn
Аулаға	ɑwɫɑʀˈɑ
мойындамауы	mˈojəndɑmɑwə
Айыптау	ˈɑjəptɑw
біртұтас	bɪɾtʊtˈɑs
Келісімшарт	kelɪsɪmʃˈɑɾt
жарамды	ʒɑɾˈɑmdə
жараланғанын	ʒɑɾɑɫɑnʀˈɑnən
жанрының	ʒˈɑnɾənəŋ
тағдырды	tˈɑʀdəɾdə
қылықтарымен	qəɫəqtɑɾəmen
көтерілуі	kɵteɾɪɫwˈɪ
Симамбаев	səjmɑmbɑev
өліміне	ɵlɪmɪnˈe
Арғы	ˈɑɾʀə
аборт	ɑbˈoɾt
алуандығы	ɑɫwˈɑndəʀə
дәріс	dæɾˈɪs
Партияның	pˈɑɾtəjjanəŋ
Бізде	bɪzdˈe
визасы	vəjzɑsə
пошта	poʃtˈɑ
ұсынысымызды	ˈʊsənəsəməzdə
Мұнымен	mˈʊnəmen
ауыстырады	ˈɑwəstəɾɑdə
пышаққа	pəʃɑqqɑ
Көшеровтің	kɵʃeɾovtˈɪŋ
түсіндіріледі	tusɪndɪɾɪledˈɪ
Ыңғайсыз	əŋʀɑjsəz
жастай	ʒɑstˈɑj
миында	məjəndɑ
тақыр	tˈɑqəɾ
гомосексуалдарға	ɡomosekswɑɫdɑɾʀˈɑ
меңзеу	meŋzˈew
етегінде	eteɡɪndˈe
тумасы	twmˈɑsə
азаматтарының	ɑzɑmɑttˈɑɾənəŋ
тексеріске	tekseɾɪskˈe
үндемей	undemˈej
Михалевич	məjxɑlevəjt͡ʃ
аралағында	ɑɾɑɫˈɑʀəndɑ
бықсып	bəqsəp
тұқымын	tˈʊqəmən
ағымға	ˈɑʀəmʀɑ
жұмсады	ʒʊmsˈɑdə
Афанасьев	ɑfɑnɑsʔˈev
Алашорданың	ɑɫɑʃoɾdˈɑnəŋ
ғимараттар	ʀəjmɑɾɑttɑɾ
Латакия	ɫɑtˈɑkəjja
төзуге	tɵzwɡˈe
кілемге	kɪlemɡˈe
диктатураға	dəjktɑtwɾɑʀɑ
әділ	ædˈɪɫ
Жәрдем	ʒæɾdˈem
ауытқулар	ˈɑwətqwɫɑɾ
құбырдан	qˈʊbəɾdɑn
Шойбек	ʃojbˈek
пунктіндегі	pwnktɪndeɡˈɪ
бұқаралық	bʊqɑɾˈɑɫəq
олигархиялық	ˈoɫəjɡɑɾxəjjaɫəq
қызған	qəzʀɑn
мақалам	mɑqɑɫˈɑm
евроға	evɾoʀˈɑ
Редакциямызға	ɾedˈɑktsəjjaməzʀɑ
түгендеуге	tuɡendewɡˈe
Светлана	svetɫɑnˈɑ
дүкендеріне	dukendeɾɪnˈe
жобасының	ʒobˈɑsənəŋ
уайымдаған	wˈɑjəmdɑʀɑn
киіктер	kəjɪkteɾ
жаңылысып	ʒˈɑŋəɫəsəp
Мұхамеджанова	mʊxɑmedʒɑnovˈɑ
қауымнан	qˈɑwəmnɑn
Онищенконың	ˈonəjʃʃenkonəŋ
цифрды	tsəjfɾdə
жасалғанын	ʒɑsɑɫʀˈɑnən
Мәжілістің	mæʒɪlɪstˈɪŋ
жарымынан	ʒˈɑɾəmənɑn
арандап	ɑɾɑndˈɑp
түбегі	tubeɡˈɪ
жүргізілмейді	ʒuɾɡɪzɪɫmejdˈɪ
ұялмай	ʊjaɫmˈɑj
келтіріледі	keɫtɪɾɪledˈɪ
Лама	ɫɑmˈɑ
жарылқай	ʒˈɑɾəɫqɑj
нышандары	nəʃɑndɑɾə
мақтаған	mɑqtɑʀˈɑn
алабұртып	ɑɫɑbˈʊɾtəp
базасының	bɑzˈɑsənəŋ
жағымен	ʒˈɑʀəmen
құз	qˈʊz
мақтайды	mɑqtˈɑjdə
Ғылым	ʀəɫəm
климаттың	kɫəjmɑttəŋ
домбыраға	dˈombəɾɑʀɑ
насихаттады	nˈɑsəjxɑttɑdə
сырғыған	səɾʀəʀɑn
қанды	qˈɑndə
агрессиялық	ɑɡɾˈessəjjaɫəq
ислам	əjsɫɑm
құрылыс	qˈʊɾəɫəs
валютасындағы	vɑɫjutˈɑsəndɑʀə
терезелерді	teɾezeleɾdˈɪ
дағдарып	dɑʀdˈɑɾəp
кеткендей	ketkendˈej
Ақмол	ɑqmˈoɫ
Мұсаның	mʊsˈɑnəŋ
аналарға	ɑnɑɫɑɾʀˈɑ
өсіпті	ɵsɪptˈɪ
Ольга	oɫʔɡˈɑ
дастарханына	dɑstɑɾxˈɑnənɑ
Дипломаттың	dəjpɫomɑttəŋ
сержанты	seɾʒˈɑntə
десті	destˈɪ
таралды	tɑɾˈɑɫdə
құнына	qˈʊnənɑ
іші	ɪʃˈɪ
кезеңіне	kezeŋɪnˈe
құлдықты	qˈʊɫdəqtə
салмақпен	sɑɫmɑqpˈen
аспайды	ɑspˈɑjdə
суретшіге	swɾetʃɪɡˈe
тақырыптармен	tˈɑqəɾəptɑɾmen
шығармашылықпен	ʃəʀɑɾmɑʃəɫəqpen
дүниенің	dˈunəjenɪŋ
Оралдың	oɾˈɑɫdəŋ
қайсысының	qˈɑjsəsənəŋ
әкімдіктерге	ækɪmdɪkteɾɡˈe
орналасқаны	oɾnɑɫɑsqˈɑnə
көнер	kɵnˈeɾ
Дағыстандағы	dˈɑʀəstɑndɑʀə
деңіз	deŋˈɪz
Жуланова	ʒwɫɑnovˈɑ
Гүлфайруз	ɡuɫfˈɑjɾwz
ҚазҰУ	qˈɑzˈʊw
саудасын	sɑwdˈɑsən
Отто	ottˈo
Футзалдан	fwtzɑɫdˈɑn
әскерлерін	æskeɾleɾˈɪn
Жансаяның	ʒɑnsɑjˈanəŋ
төпелеп	tɵpelˈep
плагиат	pɫˈɑɡəjɑt
Геннадий	ɡennˈɑdəjj
исламның	əjsɫɑmnəŋ
комитетіне	kˈoməjtetɪne
жылымық	ʒəɫəməq
жазғанды	ʒɑzʀˈɑndə
жүктелетін	ʒukteletˈɪn
депутаттарға	depwtɑttɑɾʀˈɑ
Журналистер	ʒwɾnˈɑɫəjsteɾ
атағымен	ɑtˈɑʀəmen
некелескен	nekeleskˈen
Ғабдолла	ʀɑbdoɫɫˈɑ
малшылар	mˈɑɫʃəɫɑɾ
іште	ɪʃtˈe
толқынға	tˈoɫqənʀɑ
дәлірек	dælɪɾˈek
кәсіпорыны	kæsɪpˈoɾənə
күйрегеннен	kujɾeɡennˈen
гаражға	ɡɑɾɑʒʀˈɑ
қазбалап	qɑzbɑɫˈɑp
қаладым	qɑɫˈɑdəm
стансасынан	stɑnsˈɑsənɑn
жануарлар	ʒɑnwɑɾɫˈɑɾ
алмайтындығы	ɑɫmˈɑjtəndəʀə
инспекторлар	əjnspektoɾɫɑɾ
Төлетаева	tɵletɑevˈɑ
бабынан	bˈɑbənɑn
тауар	tɑwˈɑɾ
Бек	bˈek
дәлелдеген	dæleɫdeɡˈen
соттап	sottˈɑp
инфекциясы	əjnfektsəjjasə
қайнатып	qɑjnˈɑtəp
Янукович	janwkˈovəjt͡ʃ
отырам	ˈotəɾɑm
таяғына	tɑjˈaʀənɑ
магистраль	mˈɑɡəjstɾɑɫʔ
жарыстарда	ʒˈɑɾəstɑɾdɑ
қаңтарында	qɑŋtˈɑɾəndɑ
пісіруге	pɪsɪɾwɡˈe
жүресің	ʒuɾesˈɪŋ
ағайындық	ɑʀˈɑjəndəq
бардыңыз	bˈɑɾdəŋəz
ауысуға	ˈɑwəswʀɑ
Сыдықованың	sədəqovɑnəŋ
жиындағы	ʒəjəndɑʀə
Қоғамдағы	qoʀɑmdˈɑʀə
Шаршы	ʃˈɑɾʃə
Алдар	ɑɫdˈɑɾ
Сауда	sɑwdˈɑ
Ақорданы	ɑqoɾdˈɑnə
біткенше	bɪtkenʃˈe
сенбіде	senbɪdˈe
аймақтардан	ɑjmɑqtɑɾdˈɑn
стратегиясының	sətɾɑtˈeɡəjjasənəŋ
былтырғы	bəɫtəɾʀə
Абайдың	ɑbˈɑjdəŋ
жыланбас	ʒəɫɑnbɑs
талқаны	tɑɫqˈɑnə
асыр	ˈɑsəɾ
Ректор	ɾektˈoɾ
өлкеге	ɵɫkeɡˈe
Карасин	kɑɾˈɑsəjn
ереуілшілердің	eɾewɪɫʃɪleɾdˈɪŋ
аспанмен	ɑspɑnmˈen
тұруды	tˈʊɾwdə
Вячеслав	vjat͡ʃesɫˈɑv
