künjekleriniň	kˌønd͡ʒœklerˈiniŋ
ekologiýa	ˌekoɫoɡˈijɑ
geçirildi	ɡˌet͡ʃirˈilli
böleklerinden	bˌœlœklœrˈinnen
elmydama	ˌelmɯdˈɑmɑ
zala	ðˈɑɫɑ
jadyly	d͡ʒɑdˈɯɫɯ
mähri	mˈæhri
buýruk	bˈʊjrʊq
awtoulag	ˌoβtoˈʊɫoʁ
gatnaşýandygyny	ɡˌɑtnɑʃjˌɑnnɯʁˈɯnɯ
guramaçylary	ɡˌʊromˌot͡ʃɯɫˈɑrɯ
sogap	θˈoʁoːp
Paryzdepe	pˌɑrɯððˈepe
tutluşykda	tˌʊtɫʊʃˈʊqdo
ýollaryny	jˌoɫɫorˈʊnʊ
ylgamak	ˌɯɫʁɑmˈɑq
Öý	ˈœj
seneleriň	θˌenelˈeriŋ
emini	emˈini
ýyly	jˈɯɫɯ
dikeldilmegi	dˌikellilmˈeʁi
tapawutlylykda	tˌɑpoβˌʊtɫʊɫˈʊqdɑ
alyp	ˈɑɫɯp
keşbi	kˈeʃβi
jülgesiniň	d͡ʒˌølʁœθˈønøŋ
baglydyr	bɑʁɫˈɯdɯr
tanyşlygyň	tˌɑnɯʃɫˈɯʁɯŋ
Görkezilenler	ɡˌœrkœðølˈœnler
ulanylmagynyň	ˌʊɫonˌʊɫmɑʁˈɯnɯŋ
türkiýeli	tˌørkøjˈeli
köçeleriň	kˌœt͡ʃœlˈœrøŋ
Deňiz	dˈeŋið
ýüzüniň	jøðˈønøŋ
gowuşýan	ɡoβˈʊʃjɑn
Zawodyň	ðoβˈodʊŋ
işlerimiziň	ˌiʃlerimˈiðiŋ
saglygyny	θˌɑʁɫɯʁˈɯnɯ
depozit	depˈoðit
deklarasiýasynyň	dˌekɫɑrˌɑθijɑθˈɯnɯŋ
indiwiduallaşdyryş	ˌinniβˌidʊˌɑɫɫɑʃdˈɯrɯʃ
üstünden	øθθˈønnœn
galyp	ɡˈɑːɫɯp
tassyklanan	tˌɑθθɯqɫˈɑnɑn
toplum	tˈopɫʊm
myhmansöýer	mˌɯxmɑːnθœjˈer
salýar	θˈɑɫjɑr
ýazgysy	jɑðʁˈɯθɯ
düzgünlerini	dˌøðʁønlœrˈønø
komandalary	qˌomonnoɫˈɑrɯ
okuwdan	oqˈʊβdon
hereketiň	hˌerekˈetiŋ
ýetirijileri	jˌetirˌid͡ʒilˈeri
arassalaýjy	ˌɑrɑθθɑɫˈɑjd͡ʒɯ
bagyş	bˈɑʁɯʃ
wideofilm	βˌideˈofˌilm
gyş	ɡˈɯʃ
arassalamak	ˌɑrɑθθˌɑɫɑmˈɑq
saýlanmagy	θˌɑjɫɑnmˈɑʁɯ
söýüji	θœjˈød͡ʒø
Ýer	jˈer
halylary	xˌɑɫɯɫˈɑrɯ
hemmesini	hˌemmeθˈini
jogapkärçiligiň	d͡ʒˌoʁopkˌært͡ʃilˈiʁiŋ
däbe	dˈæβe
ýolbaşçylarynyň	jˌoɫβoʃʃˌʊɫɑrˈɯnɯŋ
ýatagy	jɑtˈɑʁɯ
borçlary	bort͡ʃɫˈɑrɯ
saýlan	θˈɑjɫɑn
strategiýany	θθrˌɑteʁijˈɑnɯ
hadysa	xɑdˈɯθɑ
A	ˈɑ
düzümleri	dˌøðømlˈœrø
ýitip	jˈitip
çalşyrylyp	t͡ʃˌɑɫʃɯrˈɯɫɯp
owazly	oβˈoðɫʊ
utukdan	ʊtˈʊqdon
gitmek	ɡitmˈek
çözülen	t͡ʃœðˈølœn
raýatlaryň	rˌɑjɑtɫˈɑrɯŋ
çarpyşmalar	t͡ʃˌɑrpɯʃmˈɑɫɑr
nyrhlarynyň	nˌɯrhɫɑrˈɯnɯŋ
päsgelçiliklerden	pˌæθʁelt͡ʃˌiliklˈerden
goýulman	ɡojˈʊɫmon
kärendeçilere	kˌærennˌet͡ʃilˈere
ýazynda	jɑðˈɯnnɑ
dünýäni	dønjˈæni
tansyň	tˈɑnθɯŋ
aşakdaky	ˌɑʃɑːqdˈɑːqɯ
çeşmesi	t͡ʃeʃmˈeθi
ýitgiler	jitʁˈiler
aýrylýar	ɑjrˈɯɫjɑr
yzarlaýyş	ˌɯðɑrɫˈɑjɯʃ
belgilerHalkara	belʁˈilerxɑɫqˈɑːrɑ
abadançylygy	ˌɑβɑdˌɑnt͡ʃɯɫˈɯʁɯ
çagyrýarys	t͡ʃˌɑʁɯrjˈɑrɯθ
sebäpleri	θˌeβæplˈeri
aýdyp	ˈɑjdɯp
bitarap	biːtˈɑrɑp
flotuny	fɫˌotˈʊnʊ
Döwletimiziň	dˌœβlœtømˈøðiŋ
girdeji	ɡirdˈed͡ʒi
edarasyna	ˌedɑrɑθˈɯnɑ
tanslary	tɑnθɫˈɑrɯ
ýörelgeleri	jˌœrœlʁœlˈeri
wezipedir	βˌeðipˈedir
sungatyna	θˌʊnʁotˈʊnɑ
düzümleriň	dˌøðømlˈœrøŋ
normatiw	normˈotiβ
dikeltmek	dˌikeltmˈek
lybaslary	ɫˌɯβɑθɫˈɑrɯ
Saud	θˈɑʊd
boldy	bˈoɫɫʊ
bereris	berˈeriθ
topragyna	tˌoproʁˈʊno
Parahat	pɑrˈɑxɑt
ermeni	ermˈeni
ornaşdyrmaga	ˌornoʃdʊrmˈɑʁɑ
saparynyň	θˌɑpɑrˈɯnɯŋ
hepdesiniň	hˌepdeθˈiniŋ
daşaýan	dɑʃˈɑjɑn
Şonuň	ʃˈonʊŋ
goşulmak	ɡˌoʃʊɫmˈoq
çäginden	t͡ʃæʁˈinnen
ýörişini	jˌœrøʃˈini
Biribaryň	bˌiriβˈɑrɯŋ
küştçüsi	køʃt͡ʃt͡ʃˈøθø
barlagyň	bɑrɫˈɑʁɯŋ
bilmeýär	bilmˈejæːr
ujypsyz	ʊd͡ʒˈɯpθʊð
ugurlaryndaky	ˌʊʁʊrɫˌorʊndˈɑːqɯ
fewralda	fˌœβrˈɑɫɫɑ
galynman	ɡɑɫˈɯnmɑn
jogapsyz	d͡ʒoʁˈopθʊð
buzly	bˈʊðɫʊ
gowy	ɡˈoβʊ
standartlaşdyrmak	θθˌɑnnɑrtɫˌɑʃdɯrmˈɑq
özlerine	ˌœðlœrˈønœ
yşyklandyryş	ˌɯʃɯqɫɑnnˈɯrɯʃ
gurjak	ɡˈʊrd͡ʒoq
gutarnykly	ɡˌʊtornˈʊqɫʊ
boks	bˈoqθ
görýäris	ɡœrjˈæːriθ
asmanyň	ɑθmˈɑnɯŋ
polisini	pˌoɫiθˈini
tabşyryp	tɑβʃˈɯrɯp
Bölek	bˈœːlœk
peýdadan	pejdˈɑdɑn
Gruziýanyň	ʁrˌʊðijˈɑnɯŋ
ýolbaşçylygyndaky	jˌoɫβoʃʃˌʊɫɯʁɯndˈɑːqɯ
Latwiýa	ɫɑtβˈijɑ
muňa	mˈʊŋo
gulluga	ɡʊɫɫˈʊʁo
utgaşdyrmak	ˌʊtʁoʃdʊrmˈɑq
etegine	ˌeteʁˈine
dört	dˈœːrt
Aziadanyň	ˌɑðiɑdˈɑnɯŋ
subutnamalaryny	θˌʊβʊtnˌomoɫɑrˈɯnɯ
döredildi	dˌœrœdˈølli
uludygyny	ˌʊɫʊdʊʁˈʊnɯ
Watanymyzyň	βˌɑtɑnɯmˈɯðɯŋ
arzuwlary	ˌɑrðʊβɫˈorʊ
geçirijini	ɡˌet͡ʃirid͡ʒˈini
niýetlenilen	nˌijetlenˈilen
ýetirijileriniň	jˌetirˌid͡ʒilerˈiniŋ
duş	dˈʊʃ
suwuň	θˈʊβʊŋ
Innowasiýa	ˌinnoβoθˈijɑ
gullukda	ɡʊɫɫˈʊqdo
tälimçiler	tˌælimt͡ʃˈiler
atlaryny	ˌɑtɫɑrˈɯnɯ
ýakynlygy	jˌɑqɯnɫˈɯʁɯ
jülgäniň	d͡ʒølʁˈænøŋ
çäkleriniň	t͡ʃˌæklerˈiniŋ
stadionlar	θθˌɑdiˈonɫor
bölüminiň	bˌœlømˈønøŋ
möhlet	mˈœhlœt
lizing	lˈiðinʁ
ätiýaçlandyrmasynyň	ˌætijˌɑt͡ʃɫɑnnˌɯrmɑθˈɯnɯŋ
ukyplydyr	ˌʊqʊpɫˈʊdɯr
ekinlere	ˌekinlˈere
ulaglaryň	ˌʊɫoʁɫˈorɯŋ
Arkadag	ɑrqˈɑdɑʁ
baştutanlary	bˌɑʃtʊtonɫˈorɯ
görkezijilere	ɡˌœrkœðˌød͡ʒølˈere
artdyrmakda	ˌɑrtdɯrmˈɑqdɑ
geçirer	ɡet͡ʃˈirer
II	ˈiː
ömrüniň	œmrˈønøŋ
işlemegini	ˌiʃlemeʁˈini
manat	mˈɑnɑt
alynmaga	ˌɑɫɯnmˈɑʁɑ
çemeleşmeler	t͡ʃˌemeleʃmˈeler
boljak	boɫd͡ʒˈoq
menzili	menðˈili
elçarpyşmalar	ˌelt͡ʃɑrpɯʃmˈɑɫɑr
alyjy	ɑɫˈɯd͡ʒɯ
ýanwar	jˈɑnβɑr
bolmaýan	boɫmˈojɑn
gullukçylar	ɡˌʊɫɫʊqt͡ʃˈʊɫɑr
saklamaga	θˌɑqɫɑmˈɑʁɑ
kesgitleýän	kˌeθʁitlˈejæn
Tejenow	ted͡ʒˈenoβ
kärhanalaryna	kˌærxɑnˌɑɫɑrˈɯnɑ
çözgütlerini	t͡ʃˌœðʁøtlœrˈønø
hemranyň	hemrˈɑnɯŋ
pensiýanyň	pˌenθijˈɑnɯŋ
Müdiriýeti	mˌødørøjˈeti
aýlyk	ˈɑːjɫɯq
gönükdirilip	ɡˌœnøkdørˈølip
dönderip	dœnnˈœrøp
hak	xˈɑq
Güman	ɡˈømɑn
Guwanç	ɡˈʊβont͡ʃ
bitewi	bitˈœβi
kazyýet	qɑðˈɯjet
şertiň	ʃˈertiŋ
möhri	mˈœhrø
Kanundan	qɑnˈʊnnon
töletdirmek	tˌœlœtdørmˈek
maglumatlara	mˌɑʁɫʊmotɫˈorɑ
kärhanalaryň	kˌærxɑnɑɫˈɑrɯŋ
Göni	ɡˈœnø
Biznes	bˈiðneθ
ugratmaga	ˌʊʁrotmˈɑʁɑ
garşydaş	ɡɑrʃˈɯdɑʃ
geçiriljek	ɡˌet͡ʃirˈild͡ʒek
ulgamlaryndaky	ˌʊɫʁomɫˌɑrɯndˈɑːqɯ
duşuşyga	dˌʊʃʊʃˈʊʁɑ
gutlaglarymy	ɡˌʊtɫoʁɫɑrˈɯmɯ
alnyş	ˈɑɫnɯʃ
boldugyça	bˌoɫɫʊʁˈʊt͡ʃɑ
kuraş	qˈʊroʃ
geçirilişiniň	ɡˌet͡ʃirˌiliʃˈiniŋ
salgytdan	θɑɫʁˈɯtdɑn
şygryýet	ʃɯʁrˈɯjet
kepillendiriliş	kˌepillˌennirˈiliʃ
ýatyrmak	jˌɑtɯrmˈɑq
önümleriň	ˌœnømlˈœrøŋ
maksada	mɑqθˈɑdɑ
ýeňijini	jˌeŋid͡ʒˈini
Yzyna	ɯðˈɯnɑ
geňeşliginde	ɡˌeŋeʃliʁˈinne
işlerinden	ˌiʃlerˈinnen
işewürleriniň	ˌiʃœβˌørlœrˈønøŋ
pudagyny	pˌʊdoʁˈʊnɯ
pulundaky	pˌʊɫʊndˈɑːqɯ
Ýangyn	jˈɑnʁɯn
pajyny	pɑd͡ʒˈɯnɯ
işjeňligi	ˌiʃʃeŋlˈiʁi
arkaly	ɑrqˈɑɫɯ
ýeňdiler	jeŋŋˈiler
aşyrylmalydyr	ˌɑʃɯrˌɯɫmɑɫˈɯdɯr
tä	tˈæː
kenaryndaky	kˌenɑrɯndˈɑːqɯ
wagtyny	βɑʁtˈɯnɯ
kagyzlar	qɑʁˈɯðɫɑr
bellenen	bellˈenen
çaga	t͡ʃˈɑːʁɑ
iberen	iβˈeren
pursatyna	pˌʊrθotˈʊnɑ
berijä	berˈid͡ʒæ
gurluşygyny	ɡˌʊrɫʊʃʊʁˈʊnɯ
mirasyny	mˌirɑθˈɯnɯ
agramly	ɑʁrˈɑmɫɯ
myhmanhanasy	mˌɯxmɑnxɑnˈɑθɯ
oňa	ˈoŋo
gatnaşarlar	ɡˌɑtnɑʃˈɑrɫɑr
kalbynda	qɑɫβˈɯnnɑ
işinde	iʃˈinne
ilat	ˈilɑt
çuňlaşdyrmagyň	t͡ʃˌʊŋɫoʃdʊrmˈɑʁɯŋ
yurt	ˈɯʊrt
ösmegi	œθmˈœʁø
okadylar	ˌoqodˈʊɫɑr
gorlaryna	ɡˌorɫorˈʊno
toýa	tˈojɑ
nagyşlary	nˌɑʁɯʃɫˈɑrɯ
edýäne	edjˈæne
derejelere	dˌered͡ʒelˈere
gürrüňsiz	ɡørrˈøŋθøð
ýetişdirilen	jˌetiʃdirˈilen
häkimleriniň	hˌækimlerˈiniŋ
Hünär	hˈønær
şekillendiriş	ʃˌekillennˈiriʃ
tansy	tˈɑnθɯ
dolanyşyga	dˌoɫonʊʃˈʊʁɑ
dolanyşygy	dˌoɫonʊʃˈʊʁɯ
gitmegiň	ɡitmˈeʁiŋ
merkezlerinde	mˌerkeðlerˈinne
kämilleşdirilmegine	kˌæmillˌeʃdirˌilmeʁˈine
ekilen	ekˈilen
goýberilýän	ɡˌojberˈiljæn
ajaýyp	ɑd͡ʒˈɑːjɯp
Tebigatyň	tˌeβiʁˈɑtɯŋ
tanslar	tˈɑnθɫɑr
Batyr	bˈɑːtɯr
subutnamasyna	θˌʊβʊtnˌomoθˈɯnɑ
Gökderedäki	ɡˌœkdœrœdˈæːkɪ
iýmit	ˈiːjmit
güýzde	ɡˈøːjððe
paýlanylýar	pˌɑjɫɑnˈɯɫjɑr
nusgalary	nˌʊθʁoɫˈorɯ
Hyrat	xˈɯrɑt
Peýdalanyjy	pˌejdɑɫɑnˈɯd͡ʒɯ
Baýramçylyk	bˌɑjrɑmt͡ʃˈɯɫɯq
saklanylan	θˌɑqɫɑnˈɯɫɑn
Eýran	ˈejrɑn
beýlekiler	bˌejlekˈiler
geçilýän	ɡet͡ʃˈiljæn
önüme	œnˈømœ
Küşt	kˈøʃt
Lukaşenkonyň	ɫˌʊqoʃenqˈonʊŋ
bukja	bˈʊqd͡ʒo
barlyşyk	bɑrɫˈɯʃɯq
teklipçi	teklˈipt͡ʃi
tassyklady	tˌɑθθɯqɫˈɑdɯ
sazçylyk	θɑðt͡ʃˈɯɫɯq
kazyýetiň	qˌɑðɯjˈetiŋ
tölegleriň	tˌœlœʁlˈœriŋ
goýmaga	ɡojmˈɑʁɑ
Çykyşynyň	t͡ʃˌɯqɯʃˈɯnɯŋ
Ali	ˈɑɫi
şahslary	ʃɑxθɫˈɑrɯ
Hiç	hˈiːt͡ʃ
Jennet	d͡ʒˈennet
sekizinji	θˌekiðˈind͡ʒi
gowşurylar	ɡˌoβʃʊrˈʊɫɑr
Anyk	ˈɑnɯq
telekeçä	tˌelekˈet͡ʃæ
bişirýän	biʃˈirjæn
Uniwersitetiň	ˌʊniβˌerθitˈetiŋ
ýetirilmezligi	jˌetirˌilmeðlˈiʁi
otagyň	otˈoʁʊŋ
talaplaryna	tˌɑɫɑpɫɑrˈɯnɑ
birikdirilýär	bˌirikdirˈiljæːr
çäklendirilmegine	t͡ʃˌæklennˌirilmeʁˈine
peýdalanmaga	pˌejdɑɫɑnmˈɑʁɑ
salynýar	θɑɫˈɯnjɑr
maşgalasy	mˌɑʃʁɑɫˈɑθɯ
ýoluň	jˈoːɫʊŋ
trikotaž	trikˈotoʒ
ýangyja	jɑnʁˈɯd͡ʒɑ
halatlar	xɑɫˈɑtɫɑr
harytlaryny	xˌɑrɯtɫɑrˈɯnɯ
baglary	bɑʁɫˈɑrɯ
agrotehnikanyň	ˌɑʁrotˌehnikˈɑnɯŋ
düzen	dˈøðœn
öwezini	ˌœβœðˈøni
ädimleriň	ˌædimlˈeriŋ
birleşiklerine	bˌirleʃˌiklerˈine
MTS	mθθ
girizilip	ɡˌiriðˈilip
çaltlandyrmak	t͡ʃˌɑɫtɫɑnnɯrmˈɑq
ýaryşynyň	jˌɑrɯʃˈɯnɯŋ
ilçileri	ˌilt͡ʃilˈeri
babatdaky	bˌɑβɑtdˈɑːqɯ
ussatlygy	ˌʊθθotɫˈʊʁɯ
Kassa	qˈɑθθɑ
çäresi	t͡ʃærˈeθi
eýeläpdir	ˌejelˈæpdir
aýlanyp	ɑjɫˈɑnɯp
artistleri	ˌɑrtiθθlˈeri
meseläniň	mˌeθelˈæniŋ
otlardan	otɫˈordon
binýadyň	binjˈɑdɯŋ
orkestriniň	ˌorkeθθrˈiniŋ
ýetişdirilýän	jˌetiʃdirˈiljæn
Esasly	eθˈɑθɫɯ
aýlar	ˈɑjɫɑr
kitabynda	kˌitɑβˈɯnnɑ
entek	ˈentek
duşuşyklar	dˌʊʃʊʃˈʊqɫor
Ilaty	ilˈɑtɯ
güni	ɡˈønø
giňişligine	ɡˌiŋiʃliʁˈine
Eger	ˈeʁer
aglaba	ɑʁɫˈɑβɑ
üçýaşar	øt͡ʃjˈɑʃɑr
deslapky	deθɫˈɑpqɯ
aşyrmakda	ˌɑʃɯrmˈɑqdɑ
ylgaw	ˈɯɫʁoβ
geleşik	ɡelˈeʃik
geňeşçisi	ɡˌeŋeʃʃˈiθi
doldurmaga	dˌoɫɫʊrmˈoʁo
açylan	ɑt͡ʃˈɯɫɑn
dogluşyny	dˌoʁɫʊʃˈʊnʊ
sertifikatlaşdyrmak	θˌertifˌikɑtɫˌɑʃdɯrmˈɑq
Rezolýusiýanyň	rˌeðoɫjˌʊθijˈɑnɯŋ
balet	bˈɑɫet
kuwwatyň	qʊββˈotʊŋ
söwdalarynyň	θˌœβdɑɫɑrˈɯnɯŋ
pökgini	pœkʁˈønø
Ýarym	jˈɑːrɯm
ýüke	jˈøkœ
Oktýabr	ˈoqtjɑβr
täzelikler	tˌæðelˈikler
doktorlyk	doqtˈorɫʊq
migrasiýa	mˌiʁrɑθˈijɑ
Bagtyýar	bɑʁtˈɯjɑːr
peýdalanylandygy	pˌejdɑɫˌɑnɯɫɑnnˈɯʁɯ
baýramçylyklary	bˌɑjrɑmt͡ʃˌɯɫɯqɫˈɑrɯ
netijesi	nˌetid͡ʒˈeθi
Pekiniň	pekˈiniŋ
Daşoguzda	dˌɑʃoʁˈʊððo
çapyksuwarlaryň	t͡ʃˌɑpɯqθˌʊβorɫˈorɯŋ
Dabaranyň	dˌɑβɑrˈɑnɯŋ
talyplaryny	tˌɑɫɯpɫɑrˈɯnɯ
wagtyna	βɑʁtˈɯnɑ
eýermek	ˌejermˈek
şäherjigiň	ʃˌæherd͡ʒˈiʁiŋ
çalşylýan	t͡ʃɑɫʃˈɯɫjɑn
dabarasynyň	dˌɑβɑrɑθˈɯnɯŋ
oýny	ˈojnɯ
okuwyň	oqˈʊβʊŋ
ýerleşdirilýän	jˌerleʃdirˈiljæn
bugdaýa	bʊʁdˈojɑ
hoşniýetli	xˌoʃnijˈetli
müdiriýetiniň	mˌødørˌøjetˈiniŋ
göteriji	ɡˌœtœrˈød͡ʒi
etmekde	etmˈekde
ýaryşyny	jˌɑrɯʃˈɯnɯ
däldigi	dællˈiʁi
şertinde	ʃertˈinne
hasaplaşyga	xˌɑθɑpɫɑʃˈɯʁɑ
durmuşyndaky	dˌʊrmʊʃʊndˈɑːqɯ
berkligi	berklˈiʁi
mümkinçilikden	mˌømkønt͡ʃølˈikden
otuz	ˈotʊð
ösen	ˈœθœn
möhletleriniň	mˌœhlœtlœrˈiniŋ
öwezi	œβˈœðø
tejribäni	tˌed͡ʒriβˈæni
ýurtdan	jˈʊrtdɑn
dizel	dˈiðel
Merw	mˈerβ
paçlaryny	pˌɑt͡ʃɫɑrˈɯnɯ
birnäçesini	bˌirnæt͡ʃeθˈini
ýola	jˈoːɫo
jedeller	d͡ʒedˈeller
gepleşik	ɡeplˈeʃik
diplom	dˈipɫom
Çeşme	t͡ʃˈeʃme
Aýyplaw	ɑjˈɯpɫoβ
dahyllylary	dˌɑxɯɫɫɯɫˈɑrɯ
kitaphanasy	kˌitɑpxɑnˈɑθɯ
Baştutanynyň	bˌɑʃtʊtonˈʊnɯŋ
binanyň	binˈɑnɯŋ
barlaghanasy	bˌɑrɫɑʁxɑnˈɑθɯ
syýasatynda	θˌɯjɑθɑtˈɯnnɑ
bedenli	bedˈenli
eteginiň	ˌeteʁˈiniŋ
künjegi	kønd͡ʒˈœʁø
rugsat	rˈʊʁθot
başynda	bɑʃˈɯnnɑ
soraglary	θˌoroʁɫˈorɯ
ýurdumyzdan	jˌʊrdʊmˈʊððon
asyrda	ɑθˈɯrdɑ
bermegi	bermˈeʁi
rekordyny	rˌekordˈʊnʊ
girizmegiň	ɡˌiriðmˈeʁiŋ
Türkmenabadyň	tˌørkmœnɑβˈɑdɯŋ
edaralaryndaky	ˌedɑrˌɑɫɑrɯndˈɑːqɯ
sagatdan	θɑʁˈɑtdɑn
jaýy	d͡ʒˈɑjɯ
gürrüňdeş	ɡørrˈøŋŋœʃ
ýeterlik	jetˈerlik
eýranly	ejrˈɑnɫɯ
tapan	tˈɑpɑn
geografiki	ɡˌeoʁrofˌiki
aragatnaşyklary	ˌɑrɑʁˌɑtnɑʃɯqɫˈɑrɯ
gelşine	ɡelʃˈine
alysdaky	ˌɑɫɯθdˈɑːqɯ
wideo	βidˈeo
tanyşýar	tɑnˈɯʃjɑr
Administratiw	ˌɑdminiθθrˈɑtiβ
I	ˈi
alawynyň	ˌɑɫoβˈɯnɯŋ
lukmançylygynyň	ɫˌʊqmont͡ʃˌʊɫɯʁˈɯnɯŋ
ykbaly	ɯqβˈɑɫɯ
birlikleri	bˌirliklˈeri
ýüwrük	jˈøβrøk
maglumata	mˌɑʁɫʊmˈoto
çaganyň	t͡ʃɑʁˈɑnɯŋ
çägindäki	t͡ʃˌæʁindˈæːkɪ
synçylaryň	θˌɯnt͡ʃɯɫˈɑrɯŋ
howdanynyň	xˌoβdonˈʊnʊŋ
goraghanasy	ɡˌoroʁxonˈɑθɯ
dolanyşygynyň	dˌoɫonˌʊʃʊʁˈɯnɯŋ
meselesinde	mˌeθeleθˈinne
sanjym	θˈɑnd͡ʒɯm
ukyplydygyny	ˌʊqʊpɫˌʊdɯʁˈɯnɯ
AIW	ˈɑiβ
Soňra	θˈoŋro
öýde	ˈœjde
ýazmaça	jɑðmˈɑt͡ʃɑ
paçlarynyň	pˌɑt͡ʃɫɑrˈɯnɯŋ
nirede	nirˈede
Garaşsyzlygynyň	ɡˌɑrɑʃθˌɯðɫɯʁˈɯnɯŋ
orunlary	ˌorʊnɫˈorʊ
ýolbaşçylary	jˌoɫβoʃʃʊɫˈɑrɯ
gidilýän	ɡidˈiljæn
dürs	dˈørθ
çar	t͡ʃˈɑr
halkymyzyň	xˌɑɫqɯmˈɯðɯŋ
Rustam	rˈʊθθom
ýyllar	jˈɯɫɫɑr
ýakyn	jˈɑqɯn
maýyp	mˈɑjɯp
Awtomobil	ˌoβtomˈoβil
ýüzden	jˈøððœn
edilipdir	ˌedilˈipdir
fizika	fˌiðˈikɑ
edarada	ˌedɑrˈɑdɑ
sözlerini	θˌœðlœrˈønø
itergi	itˈerʁi
geriminiň	ɡˌerimˈiniŋ
azyndan	ɑðˈɯnnɑn
alynmaýar	ˌɑɫɯnmˈɑjɑr
aspirantura	ˌɑθpirɑntˈʊro
üpjün	øpd͡ʒˈøn
dogrusynda	dˌoʁrʊθˈʊnno
düzmegiň	døðmˈœʁøŋ
Durdyýew	dʊrdˈʊjœβ
artdyrdy	ɑrtdˈɯrdɯ
maliýeleşdirilmegi	mˌɑɫijˌeleʃdˌirilmˈeʁi
Atabaýewiň	ˌɑtɑβɑjˈœβiŋ
gatnaşmagynyň	ɡˌɑtnɑʃmɑʁˈɯnɯŋ
düşnükli	døʃnˈøklø
lybasly	ɫɯβˈɑθɫɯ
dersler	dˈerθler
tarapyna	tˌɑrɑpˈɯnɑ
edermen	edˈermen
wesýetnama	βˌeθjetnˈɑːmɑ
tanyşmagy	tˌɑnɯʃmˈɑʁɯ
gepleşikleri	ɡˌepleʃiklˈeri
almalydyr	ˌɑɫmɑɫˈɯdɯr
arasyndaky	ˌɑrɑθɯndˈɑːqɯ
tölemäge	tˌœlœmˈæːɡe
oblastynyň	ˌoβɫoθθˈʊnɯŋ
harydy	xɑrˈɯdɯ
näsaglara	nˌæθɑʁɫˈɑrɑ
Gutlagyny	ɡˌʊtɫoʁˈʊnʊ
Arkadagymyza	ˌɑrqɑdˌɑʁɯmˈɯðɑ
mekdepleri	mˌekdeplˈeri
bereketli	bˌerekˈetli
Güneş	ɡˈønœʃ
birleşen	birlˈeʃen
görnüp	ɡˈœrnøp
maldarçylyk	mˌɑɫɫɑrt͡ʃˈɯɫɯq
Merdan	mˈerdɑn
Energiýa	ˌenerʁˈijɑ
nokatlarynyň	nˌoqotɫorˈɯnɯŋ
syýahata	θˌɯjɑxˈɑtɑ
döredip	dœrˈœdøp
işgärler	iʃʁˈærler
agzasyna	ˌɑʁðɑθˈɯnɑ
owadan	oβˈodon
zolaklarda	ðˌoɫoqɫˈordɑ
hünärmenlere	hˌønærmœnlˈere
eýelerine	ˌejelerˈine
gaty	ɡˈɑtɯ
ýazky	jˈɑðqɯ
ýoldaşlary	jˌoɫɫoʃɫˈorʊ
ekspertiza	ˌekθpertˈiðɑ
algydaryň	ˌɑɫʁɯdˈɑrɯŋ
karantini	qˌɑrɑntˈini
kölüniň	kœlˈønøŋ
gurlup	ɡˈʊrɫʊp
etjekdigine	ˌetd͡ʒekdiʁˈine
batalýonynyň	bˌɑtɑɫjonˈʊnʊŋ
mümkin	mˈømkøːn
maslahatlaşylýar	mˌɑθɫɑxˌɑtɫɑʃˈɯɫjɑr
goldaýar	ɡoɫɫˈojɑr
syýasaty	θˌɯjɑθˈɑtɯ
ýokarlandyrmagyň	jˌoqorɫˌonnɯrmˈɑʁɯŋ
belligi	bellˈiʁi
Watanymyz	βˌɑtɑnˈɯmɯð
Ýapyk	jˈɑpɯq
hormat	xˈormot
dünýäsinde	dˌønjæθˈinne
gelmese	ɡelmˈeθe
geňeş	ɡˈeŋeʃ
telekeçiliginiň	tˌelekˌet͡ʃiliʁˈiniŋ
Gökdere	ɡœkdˈœrœ
togtadylmagyna	tˌoʁtodˌʊɫmɑʁˈɯnɑ
wakasyna	βˌɑqɑθˈɯnɑ
obýekt	ˈoβjekt
Kompaniýa	qˌomponˈijɑ
ugrudyr	ʊʁrˈʊdʊr
medalyna	mˌedɑɫˈɯnɑ
bahalary	bˌɑxɑɫˈɑrɯ
ýerlikli	jerlˈikli
ýazyldy	jɑðˈɯɫɫɯ
Neşir	nˈeʃir
üstünliklerimiziň	ˌøθθønlˌøklerimˈiðiŋ
adamy	ɑdˈɑmɯ
gorlaryny	ɡˌorɫorˈʊnʊ
hukuklaryň	xˌʊqʊqɫˈorʊŋ
ministrliklere	mˌiniθθrliklˈere
wajypdygyna	βˌɑd͡ʒɯpdɯʁˈɯnɑ
meşgullanmagy	mˌeʃʁʊɫɫonmˈɑʁɯ
polietilen	pˌoɫietˈilen
sil	θˈil
çagyrýar	t͡ʃɑʁˈɯrjɑr
adamlary	ˌɑdɑmɫˈɑrɯ
ornaşdyryp	ˌornoʃdˈʊrɯp
Mejlisiň	med͡ʒlˈiθiŋ
howpsuzlygynyň	xˌoβpθʊðɫʊʁˈʊnʊŋ
barar	bˈɑrɑr
üç	ˈøt͡ʃ
berýär	bˈerjæːr
edijileriň	ˌedid͡ʒilˈeriŋ
Ýaşaýyş	jɑːʃˈɑjɯʃ
Gaz	ɡˈɑð
Adam	ˈɑːdɑm
temmisiniň	tˌemmiθˈiniŋ
gabatlanylyp	ɡˌɑβɑtɫɑnˈɯɫɯp
