riksja	rɪkʃaː
terstond	tɛrstɔnt
avance	aːvɑnsə
alaaf	aːlaːf
pirateren	piraːteːrən
ploegmaat	pluxmaːt
raadplegen	raːtpleːɣən
gutsjes	ɣʏtsjəs
debetzijde	deːbɛtsɛi̯də
wijs	ʋɛi̯s
cameraploeg	kaːməraːplux
nepotisme	neːpoːtɪsmə
googelen	ɣuɣələn
bijschaduw	bɛi̯sxaːdyu̯
corps	koːr
handelsschip	ɦɑndəlsxɪp
doejong	dujɔŋ
verrukken	vɛrʏkən
artsenijdrank	ɑrtsənɛi̯drɑŋk
voorgerecht	voːrɣərɛxt
bever	beːvər
assassijn	ɑsɑsɛi̯n
huizenmarkt	ɦœy̯zənmɑrkt
dominostekker	doːminoːstɛkər
juda	jydaː
stern	stɛr
schoonschrijven	sxoːnsxrɛi̯vən
absolutistisch	ɑpsoːlytɪstis
meesterzet	meːstərzɛt
atoomoorlog	aːtoːmoːrlɔx
sjambok	ʃɑmbɔk
leukotomie	lœy̯koːtoːmi
wentelteefje	ʋɛntəlteːfjə
project	proːjɛkt
groenachtig	xrunɑxtəx
domesticeren	doːmɛstiseːrən
zwijnen	zʋɛi̯nən
koren	koːrən
lobben	lɔbən
lichaamstaal	lɪxaːmstaːl
ante	ɑntə
cisman	sɪsmɑn
japan	jaːpɑn
differentiequotiënt	dɪfərɛnsikʋoːʃɛnt
gooi	ɣoːi̯
bezorger	bəzɔrɣər
peddelen	pɛdələn
verachten	vərɑxtən
koolsla	koːlslaː
gyros	ɣiːrɔs
doornboom	doːrnboːm
ruud	ryt
ijsbreker	ɛi̯sbreːkər
uitscheiden	œy̯tsxɛi̯dən
kelly	kɛli
maagd	maːxt
wichelaar	ʋɪxəlaːr
haagwinde	ɦaːxʋɪndə
handwerk	ɦɑntʋɛrk
plant	plɑnt
basketballen	baːskətbɑlən
lucht	lʏxt
helling	ɦɛlɪŋ
vergaderzaal	vɛrɣaːdərsaːl
treurdicht	trøːrdɪxt
vertoog	vɛrtoːx
joh	jɔ
scheidsrechter	sxɛi̯tsrɛxtər
stapel	staːpəl
erven	ɛrvən
stukwerk	stʏkʋɛrk
appelschil	ɑpəlsxɪl
voer	vuːr
corona	koːroːnaː
dwaasheid	dʋaːsɦɛi̯t
verguldsel	vərɣʏltsəl
beestenspel	beːstənspɛl
snackmuur	snɛkmyːr
tegenzitten	teːɣənzɪtən
boomkweker	boːmkʋeːkər
cuba	kybaː
dichtbundel	dɪxtbʏndəl
theebuiltje	teːbœy̯ltjə
burg	bʏrx
burgerij	bʏrɣərɛi̯
federalisme	feːdəraːlɪsmə
esp	ɛsp
dar	dɑr
oliepijpleiding	oːlipɛi̯plɛi̯dɪŋ
lotte	lɔtə
jeneverkruik	jəneːvərkrœy̯k
uitdrukt	ʌy̯drʏkt
bergstofkunde	bɛrxstɔfkʏndə
tenen	teːnən
sjorren	ʃɔrən
huif	ɦœy̯f
melamine	meːlaːminə
uitbrengen	œy̯tbrɛŋən
vind	vɪn
letterkeer	lɛtərkeːr
criticus	kritikʏs
cornelis	kɔrneːlɪs
draagwijdte	draːxʋɛi̯tə
barbieren	bɑrbiːrən
bleker	bleːkər
hun	ɦʏn
venetiaans	veːneːtʃaːns
nuth	nʏt
bonk	bɔŋk
uitblijve	œːdblɛi̯və
stadsrecht	stɑtsrɛxt
bevochtigen	bəvɔxtəɣən
ruimtewezen	rœy̯mtəʋeːzən
weemoed	ʋeːmut
kernfusie	kɛrnfyzi
tragischers	traːɣisərs
zuur	zyr
armzalig	ɑrmzaːləx
bazooka	baːzukaː
verwerpelijk	vɛrʋɛrpələk
shotglas	ʃɔtxlɑs
kuipstoel	kœy̯pstul
aandachtsveld	aːndɑxtsfɛlt
veldgeschut	vɛltxəsxʏt
bevissen	bəvɪsən
katoen	kaːtun
ongeloofwaardig	ɔnɣəloːfʋaːrdəx
cocktailsaus	kɔkteːlsɑu̯s
palletje	pɑlətjə
snikken	snɪkən
loverboy	lɔvərbɔi̯
overweging	oːvərʋeːɣɪŋ
doorgaans	doːrɣaːns
decriminaliseren	deːkriminaːliseːrən
strontjaloers	strɔntjaːluːrs
bisschopsring	bɪsxɔpsrɪŋ
slecht	slɛxt
boomhut	boːmɦʏt
afdrukke	ɑvdrʏkə
deemoedigheid	deːmudəxɦɛi̯t
noodfonds	noːtfɔnts
legionairsbacterie	leːɣioːnɛːrsbɑkteːri
emporium	ɛmpoːriʏm
kiesstelsel	kistɛlsəl
ertoe	ərtu
klapstoel	klɑpstul
vaatbundel	vaːtbʏndəl
villasubsidie	vilaːsʏpsidi
ademborstig	aːdəmbɔrstəx
geldaanbod	ɣɛltaːnbɔt
marie	maːri
toneelkijker	toːneːlkɛi̯kər
klas	klɑs
calamiteitenroute	kaːlaːmitɛi̯tənrutə
conjectureel	kɔnjɛktyreːl
ontmengen	ɔntmɛŋən
functioneren	fʏnktsjoːneːrən
jahoor	jaːɦoːr
hatsjie	ɦɑtʃi
coffeeshop	kɔfiʃɔp
misgrijpen	mɪsɣrɛi̯pən
pijlstaartrog	pɛi̯lstaːrtrɔx
citer	sitər
ontbijtgranen	ɔntbɛi̯txraːnən
examenresultaat	ɛksaːmənreːzʏltaːt
indiaan	ɪndiaːn
haarscherper	ɦaːrsxɛrpər
rozendaal	roːzəndaːl
sprint	sprɪnt
diersoort	diːrsoːrt
monotreem	moːnoːtreːm
hypothecair	ɦipoːteːkɛːr
duppie	dʏpi
wijnazijn	ʋɛi̯naːzɛi̯n
civilisationeel	sivilizaːtʃoːneːl
medelijden	meːdəlɛi̯dən
hiernaartoe	ɦiːrnaːrtu
provisioneel	proːvizijoːneːl
aandeelhebster	aːndeːlɦɛpstər
terugschrikken	tərʏxsxrɪkən
klaproos	klɑproːs
stierenvechter	stiːrənvɛxtər
filetje	filətjə
begeestigen	bəɣeːstəɣən
kousenbandslang	kɑu̯sənbɑntslɑŋ
slijkgeus	slɛi̯kxøːs
dronte	drɔntə
knokfilm	knɔkfɪlm
verslechteren	vɛrslɛxtərən
contactsleutel	kɔntɑktsløːtəl
islam	ɪslaːm
bogen	boːɣən
taalfilosofie	taːlfiloːsoːfi
belegen	bəleːɣən
nakie	naːki
paganisme	paːɣaːnɪsmə
banen	baːnən
kazerneren	kaːzɛrneːrən
uitlever	ʌy̯tleɪ̯vər
syndroom	sɪndroːm
kraaiennest	kraːjənɛst
opvijzelen	ɔpfɛi̯zɛlɛn
coöperatieprincipe	koːoːpəraːtsiprɪnsipə
bewustenis	bəʋʏstənɪs
neusmonster	nøːsmɔnstər
celstraf	sɛlstrɑf
deportatie	deːpɔrtaːtsi
ontvang	ɔntfɑŋ
beamen	biːmən
guerrillastrijder	ɡeːriljaːstrɛi̯dər
opgraving	ɔpxraːvɪŋ
ambulancezuster	ɑmbylɑnsəzʏstər
wilskrachtig	ʋɪlskrɑxtəx
allerheiligen	ɑlərɦɛi̯ləɣən
minnen	mɪnən
wagenburcht	ʋaːɣənbʏrxt
scheepswerf	sxeːpsʋɛrf
christin	xrɪstɪn
geseling	ɣeːsəlɪŋ
doodshoofdaapje	doːtsɦoːftaːpjə
execrabel	ɛkseːkraːbəl
spekglad	spɛkxlɑt
haam	ɦaːm
terugtocht	tərʏxtɔxt
basisbetekenis	baːzɪsbəteːkənɪs
rauzen	rɑu̯zən
gehoorapparaat	ɣəɦoːrɑpaːraːt
dooier	doːi̯ər
echtbreuk	ɛxtbrøːk
knor	knɔr
torenkraai	toːrənkraːi̯
amsterdammertje	ɑmstərdɑmərtjə
correlatie	kɔreːlaːtsi
stof	stɔf
verpanden	vərpɑndən
mortuarium	mɔrtyaːriʏm
begaan	bəɣaːn
patroon	paːtroːn
kruisboogbout	krœy̯sboːxbɑu̯t
boekverluchting	bukfərlʏxtɪŋ
middagmaal	mɪdɑxmaːl
afmeten	ɑfmeːtən
korhaan	kɔrɦaːn
gideon	ɣideːɔn
aanklampen	aːnklɑmpən
puntdicht	pʏntdɪxt
fitis	fitɪs
herdrukken	ɦɛrdrʏkən
runderdief	rʏndərdif
oversnijden	oːvərsnɛi̯dən
oogbal	oːxbɑl
bekwaam	bəkʋaːm
roef	ruf
postscriptum	pɔstskrɪptʏm
ontkronen	ɔntkroːnən
bedroeven	bədruvən
psychonaut	psixoːnɑu̯t
wortel	ʋɔrtəl
bbp	beːbeːpeː
rokeren	roːkeːrən
zinderen	zɪndərən
mooren	moːrən
stoppelbaard	stɔpəlbaːrt
ondervangen	ɔndərvɑŋən
overigens	oːvərəɣəns
keerweer	keːrʋeːr
vergulden	vɛrɣʏldən
erfelijkheidsleer	ɛrfləkɦɛi̯tsleːr
afrika	aːfrikaː
meten	meːtən
kilometerheffing	kiloːmeːtərɦɛfɪŋ
associatie	ɑsoːsiaːtsi
declareren	deːklaːreːrən
bovenkant	boːvənkɑnt
favoriet	faːvoːrit
cycloon	sikloːn
bezoeken	bəzukən
neutronenster	nœy̯troːnənstɛr
desoxyribonucleïnezuur	dɛsɔksiriboːnykleːinəzyːr
doorkijkbloes	doːrkɛi̯kblus
ee	eː
vereren	vɛreːrən
tinus	tinʏs
kaapschip	kaːpsxɪp
urushiol	yryʃiɔl
binnenbaan	bɪnənbaːn
brink	brɪŋk
terechtstelling	tərɛxtstɛlɪŋ
drakenvrucht	draːkənvrʏxt
tijdgenoot	tɛi̯txənoːt
wreveliger	vreːvələɣər
kernreactor	kɛrnreːɑktɔr
schelmenroman	sxɛlmənroːmɑn
terpdorp	tɛrpdɔrp
bloedschending	blutsxɛndɪŋ
bestuurder	bəstyːrdər
illusie	ɪlyzi
gorgel	ɣɔrɣəl
chicago	tʃikaːɡoː
aangeboren	aːnɣəboːrən
ballet	bɑlɛt
biljarten	bɪljɑrtən
lotharingen	loːtaːrɪŋən
niesbui	nisbœy̯
paleisbanket	paːlɛi̯sbɑŋkɛt
assortiment	ɑsɔrtimɛnt
weerpluim	ʋeːrplœy̯m
hoofdinspecteur	ɦoːftɪnspɛktøːr
jaagtouw	jaːxtɑu̯
grif	ɣrɪf
ulaan	ylaːn
biatlon	biɑtlɔn
verdelven	vərdɛlvən
gaslek	ɣɑslɛk
reventer	rəvɛntər
betalingsmiddel	bətaːlɪŋsmɪdəl
gruzelementen	ɣryzələmɛntən
budget	bʏtʃɛt
louwmaand	lɑumaːnt
willemstad	ʋɪləmstɑt
kanaal	kaːnaːl
essayist	ɛseːɪst
breve	breːvə
eerlang	eːrlɑŋ
watersnip	ʋaːtərsnɪp
dramatisch	draːmaːtis
stadsverwarming	stɑtsfərʋɑrmɪŋ
saterspel	saːtərspɛl
roemrijk	rumrɛi̯k
ierland	iːrlɑnt
voorzienig	voːrzinəx
slijtplek	slɛi̯tplɛk
bescheidenste	bəsxɛi̯dənstə
dankbaar	dɑŋkbaːr
mimiek	mimik
uitgave	œy̯txaːvə
smiley	smɑi̯li
kabbala	kɑbɑlaː
zwijmelen	zʋɛi̯mələn
aerogram	ɛːroːɣrɑm
voorzorg	voːrzɔrx
onbewoonbaar	ɔnbəʋoːnbaːr
eetbaar	eːtbaːr
souvenir	suvənir
dus	dʏs
bisdom	bɪsdɔm
vaccinatieprogramma	vɑksinaːtsiproːɣrɑmaː
esperantistisch	ɛspərɑntɪstis
tekstcorpus	tɛkstkɔrpʏs
mensenhater	mɛnsənɦaːtər
bolletje	bɔlətjə
paardenlul	paːrdənlʏl
assam	ɑsɑm
verbreken	vərbreːkən
papzak	pɑpsɑk
bonje	bɔnjə
dille	dɪlə
braakneiging	braːknɛi̯ɣɪŋ
hoek	ɦuk
zakrekenaar	zɑkreːkənaːr
gaaf	ɣaːf
vazal	vaːzɑl
standpenning	stɑntpɛnɪŋ
dwaalleer	dʋaːleːr
zesentwintig	zɛsɛntʋɪntəx
achterruitenwisser	ɑxtərrœy̯tənʋɪsər
kippenvel	kɪpəvɛl
huemul	ʋɛmɔl
cijfer	sɛifər
etrurië	eːtryːriə
bedenker	bədɛŋkər
vrachtschip	vrɑxtsxɪp
uitzettend	ʌy̯tsɛtənt
palissade	paːlisaːdə
converteren	kɔnvɛrteːrən
zoetekauw	zutəkɑu̯
ontmunten	ɔntmʏntən
borat	boːrɑt
taalpolitiek	taːlpoːlitik
amateurisme	ɑmaːtøːrɪsmə
euthanaseren	œy̯taːnaːzeːrən
kreukelzone	krøːkəlzɔːnə
aanbodzijde	aːnbɔtsɛi̯də
erkenning	ɛrkɛnɪŋ
eva	eːvaː
veronachtzamen	vɛrɔnɑxtsaːmən
artefact	ɑrtəfɑkt
panorama	paːnoːraːmaː
loopgravenoorlog	loːpxraːvənoːrlɔx
hervormd	ɦɛrvɔrmt
ijlen	ɛi̯lən
kassucces	kɑssyksɛs
erbarming	ɛrbɑrmɪŋ
demonstreren	deːmɔnstreːrən
korenhalm	koːrənɦɑlm
blaasmuziek	blaːsmyzik
achtervolger	ɑxtərvɔlɣər
kraaghagedis	kraːxɦaːɣədɪs
congregationalist	kɔŋɣrəɣaːtʃoːnaːlɪst
contracoup	kɔntraːkup
zandsteen	zɑntsteːn
partitie	pɑrtitsi
gewelddadig	ɣəʋɛldaːdəx
vosch	vɔs
buurman	byːrmɑn
marktplein	mɑrktplɛi̯n
lasterveldtocht	lɑstərvɛltɔxt
sneeuwvrouw	sneːu̯vrɑu̯
platform	plɑtfɔrm
jachtklok	jɑxtklɔk
handwapen	ɦɑntʋaːpən
knieën	kniən
beeld	beːlt
slobkousbij	slɔpkɑu̯sbɛi̯
hijsen	ɦɛi̯sən
oezbeek	uzbeːk
zekerlijk	zeːkərlək
voorlichting	voːrlɪxtɪŋ
optronisch	ɔptroːnis
verder	vɛrdər
atomist	aːtoːmɪst
kaneelstok	kaːneːlstɔk
napalmbom	naːpɑlmbɔm
midwinter	mɪtʋɪntər
zoekopdracht	zukɔpdrɑxt
oorlogsheld	oːrlɔɣsɦɛlt
calamiteitenzender	kaːlaːmitɛi̯tənzɛndər
observatiepost	ɔpsɛrvaːtsipɔst
paardentram	paːrdəntrɛm
bescheideners	bəsxɛi̯dənərs
aanzaaien	aːnzaːjən
bezweten	bəzʋeːtən
horecabedrijf	ɦoːreːkaːbədrɛi̯f
rijkskanselier	rɛi̯kskɑnsəliːr
bipolair	bipoːlɛːr
wegpiraat	ʋɛxpiraːt
doornat	doːrnɑt
drooghoppen	droːxɦɔpən
begrip	bəɣrɪp
apennoot	aːpənoːt
livrei	livrɛi̯
bomvliegtuig	bɔmvlixtœy̯x
incel	ɪnsɛl
hendrix	ɦɛndrɪks
islamoloog	ɪslɑmoːloːx
deeleconomie	deːleːkoːnoːmi
ratio	raːtsioː
vershoudfolie	vɛrsɦɑu̯tfoːli
zijn	zɛi̯n
tevreden	təvreːdən
kiplekker	kɪplɛkər
spit	spɪt
beperkt	bəpɛrkt
begrotingspost	bəɣroːtɪŋspɔst
aanzuren	aːnzyːrən
electoraat	eːlɛktoːraːt
geweldsspiraal	ɣəʋɛltspiraːl
ziekenboeg	zikənbux
salto	sɑltoː
rookbom	roːkbɔm
voering	vuːrɪŋ
vergaderzaal	vərɣaːdərsaːl
passen	pɑsən
beklinken	bəklɪŋkən
tarief	taːrif
doesburg	dusbʏrx
kaart	kaːrt
meertalig	meːrtaːləx
hoerenwaardin	ɦuːrənʋaːrdɪn
typisch	tipis
verzachten	vɛrzɑxtən
vleesverwerking	vleːsfɛrʋɛrkɪŋ
fiscalist	fɪskaːlɪst
levensverwachting	leːvənsvərʋɑxtɪŋ
egodocument	eːɣoːdoːkymɛnt
vlijen	vlɛi̯ən
sergeant	sɛrʒɑnt
toegeven	tuɣeːvən
snoeshaan	snusɦaːn
verzetsstrijder	vɛrzɛtstrɛi̯dər
lofzang	lɔfsɑŋ
tongbreker	tɔŋbreːkər
compressie	kɔmprɛsi
nieten	nitən
ascetisch	ɑseːtis
lijnrecht	lɛi̯nrɛxt
labber	lɑbər
verstening	vɛrsteːnɪŋ
klasse	klɑsə
devoot	deːvoːt
puur	pyr
gevecht	ɣəvɛxt
bespioneren	bəspioːneːrən
identiteitsmatrix	idɛntitɛi̯tsmaːtrɪks
kindervriend	kɪndərvrint
d	deː
tegenwerpen	teːɣənʋɛrpən
bladgroente	blɑtxruntə
overstijgen	oːvərstɛi̯ɣən
daalder	daːldər
verdonkeremanen	vərdɔŋkərəmaːnən
onvermogend	ɔnvərmoːɣənt
aloud	ɑlɑu̯t
zenit	zeːnɪt
betelnoot	beːtəlnoːt
benauwen	bənɑu̯ən
karel	kaːrəl
monobrauw	moːnoːbrɑu̯
nakkie	nɑki
varkensgriep	vɑrkənsxrip
aantrekkelijkheid	aːntrɛkələkɦɛi̯t
daarzijn	daːrzɛi̯n
volstrekken	vɔlstrɛkən
droogstoppel	droːxstɔpəl
woordenlijst	ʋoːrdənlɛi̯st
plevier	pləviːr
leert	leːrt
voorliegen	voːrliɣən
boekhandel	bukɦɑndəl
ambassadeur	ɑmbɑsaːdøːr
afbranden	ɑfbrɑndən
loochening	loːxənɪŋ
milieupartij	mɪljøːpɑrtɛi̯
veeboer	veːbuːr
kettingreactie	kɛtɪŋreːɑksi
graansilo	ɣraːnsiloː
torretje	tɔrətjə
straathoek	straːtɦuk
scholiere	sxoːliːrə
armoedzaaier	ɑrmutsaːjər
lummel	lʏməl
desemen	deːsəmən
eusocialiteit	œy̯soːsjaːlitɛi̯t
meeloper	meːloːpər
potplant	pɔtplɑnt
buitensporig	bœy̯tənspoːrəx
ritme	rɪtmə
doodbidder	doːtbɪdər
dossier	dɔʃeː
stemming	stɛmɪŋ
deken	deːkən
aanpassingsvermogen	aːnpɑsɪŋsfɛrmoːɣən
voorwoord	voːrʋoːrt
sluit	slœy̯t
torsen	tɔrsən
inblazen	ɪmblaːzən
behapbaar	bəɦɑpbaːr
akoestisch	aːkustis
vertrouwelinge	vɛrtrɑu̯əlɪŋə
negerslaaf	neːɣərslaːf
overgewicht	oːvərɣəʋɪxt
smeekbede	smeːkbeːdə
kling	klɪŋ
nieuwslezer	niu̯sleːzər
lokvogel	lɔkfoːɣəl
kreeftslak	kreːftslɑk
saffiaantje	sɑfiaːntjə
uitverkiezen	œy̯tfɛrkizən
echoën	ɛxoːən
cowboykapitalisme	kɑu̯bɔi̯kaːpitaːlɪsmə
aanvechten	aːnvɛxtən
buitentrouw	bœy̯təntrɑu̯
plechtanker	plɛxtɑŋkər
verzouten	vɛrzɑu̯tən
brat	brɑt
eelt	eːlt
geodesie	ɣeːoːdeːzi
andersom	ɑndərsɔm
hoog	ɦoːx
knisteren	knɪstərən
persoonsnaam	pɛrsoːnsnaːm
domiciliëring	doːmisilieːrɪŋ
stormachtig	stɔrmɑxtəx
ivoorkust	ivoːrkʏst
goedgelovig	ɣutxəloːvəx
mondstuk	mɔntstʏk
kwelder	kʋɛldər
drasland	drɑslɑnt
melisoen	meːlisun
obligatie	ɔbliɣaːtsi
biervat	biːrvɑt
toewerpen	tuʋɛrpən
krokusvakantie	kroːkʏsfaːkɑntsi
contradictie	kɔntraːdɪksi
theocratie	teːoːkraːtsi
scheepbouw	sxeːpbɑu̯
regelnicht	reːɣəlnɪxt
ploegstaart	pluxstaːrt
bijspijkeren	bɛi̯spɛi̯kərən
bouwer	bɑu̯ər
zalmkleurig	zɑlmkløːrəx
cycloop	sikloːp
bereikbaar	bərɛi̯kbaːr
molecule	moːləkylə
voedselallergie	vutsəlɑlɛrɣi
bloei	blui̯
stevel	steːvəl
verkoper	vɛrkoːpər
elkaar	ɛlkaːr
tuimelaar	tœy̯məlaːr
ka	kaː
meet	meːt
verstrengeling	vɛrstrɛŋəlɪŋ
goudbaar	ɣɑu̯tbaːr
middellijn	mɪdəllɛi̯n
geuren	ɣøːrən
kakkies	kɑkis
rijp	rɛi̯p
parkeerschijf	pɑrkeːrsxɛi̯f
leegstand	leːxstɑnt
dichtbinden	dɪxtbɪndən
verloochenen	vɛrloːxənən
zoutwaterkrokodil	zɑu̯tʋaːtərkroːkoːdɪl
borg	bɔrx
expert	ɛkspɛrt
stofzuige	stɔfsœy̯ɣə
sedum	seːdʏm
autokerkhof	oːtoːkɛrkɦɔf
oorlogshitser	oːrlɔxsɦɪtsər
overdenken	oːvərdɛŋkən
zuinigjes	zœy̯nəxjəs
gestofzuigd	ɣəstɔfsœy̯xt
vetarm	vɛtɑrm
ik	ək
stopcontact	stɔpkɔntɑkt
demografisch	deːmoːɣraːfis
ingewand	ɪnɣəʋɑnt
april	ɑprɪl
uitspreekt	ʌy̯tspreɪ̯kt
koorzanger	koːrzɑŋər
pakbon	pɑkbɔn
akkerbouwbedrijf	ɑkərbɑu̯bədrɛi̯f
snottebel	snɔtəbɛl
handen	ɦɑndən
wisselwerking	ʋɪsəlʋɛrkɪŋ
observatiepost	ɔpsərvaːtsipɔst
kinderkerk	kɪndərkɛrk
zeeuws	zeːu̯s
bedrag	bədrɑx
model	moːdɛl
verdedigster	vərdeːdəxstər
schoenveter	sxunfeːtər
tekenfilm	teːkənfɪlm
zichtrekening	zɪxtreːkənɪŋ
bevriezen	bəvrizən
geselbroeder	ɣeːsəlbrudər
gemeenschapszin	ɣəmeːnsxɑpsɪn
kroon	kroːn
set	sɛt
bekkesnijder	bɛkənsnɛi̯dər
grassen	ɣrɑsən
kasboek	kɑsbuk
woningmarkt	ʋoːnɪŋmɑrkt
ontzwellen	ɔntzʋɛlən
worden	ʋɔrdən
pleistertjes	plɛstərtjəs
machtsstrijd	mɑxtstrɛi̯t
ridderkapel	rɪdərkaːpɛl
deuteronomium	dœy̯təroːnoːmiʏm
muziekgenre	myzikʒɑnrə
wee	ʋeː
bakken	bɑkən
rokkenen	rɔkənən
beenbreek	beːnbreːk
jodelen	joːdələn
neutronenbom	nœy̯troːnənbɔm
dé	də
afhakken	ɑfɦɑkən
gildemeester	ɣɪldəmeːstər
onvervangbaar	ɔnvərvɑŋbaːr
acrolect	aːkroːlɛkt
matrices	maːtrɪsəs
bloedgang	blutxɑŋ
adempauze	aːdəmpɑu̯zə
duizeling	dœy̯zəlɪŋ
schelvis	sxɛlvɪs
valavond	vɑlaːvɔnt
marburg	mɑrbʏrx
menselijkheid	mɛnsələkɦɛi̯t
ingang	ɪŋɣɑŋ
uitbleeft	œy̯dbleːft
buitengaats	bœy̯tənɣaːts
lamsvlees	lɑmsfleːs
legt	lɛxt
alex	aːlɛks
voortslepen	voːrtsleːpən
zwaarlijvig	zʋaːrlɛi̯vəx
witkopzeearend	ʋɪtkɔpzeːaːrənt
beenvisachtige	beːnvɪsɑxtəɣə
kanker	kɑŋkər
overzouten	oːvərzɑu̯tən
woldberg	ʋɔltbɛrx
kosteloos	kɔstəloːs
tentdak	tɛntdɑk
appreciëren	ɑprəsjeːrən
celdeling	sɛldeːlɪŋ
drama	draːmaː
maanziek	maːnzik
pluvier	plyviːr
zaadbal	zaːtbɑl
apologie	aːpoːloːɣi
proefrit	prufrɪt
joch	jɔx
landsdeel	lɑntsdeːl
ondervragen	ɔndərvraːɣən
eivorm	ɛi̯vɔrm
handlanger	ɦɑntlɑŋər
hiernamaals	ɦiːrnaːmaːls
afbeitelen	ɑfbɛi̯tələn
schrooien	sxroːi̯ən
vaccinweigeraar	vɑksɛnʋɛi̯ɣəraːr
design	dizɑi̯n
weerzinwekkend	ʋeːrzɪnʋɛkənt
ontsmetting	ɔntsmɛtɪŋ
rijzweep	rɛi̯zʋeːp
duut	dyt
geen	ɣeːn
duif	dœy̯f
confinatie	kɔnfinaːtsi
optimaat	ɔptimaːt
invloedrijk	ɪnvlutrɛi̯k
ontpoppen	ɔntpɔpən
huidkanker	ɦœy̯tkɑŋkər
circumfix	sɪrkʏmfɪks
catechisatie	kaːteːxisaːtsi
zoroaster	zoːroːɑstər
uitmergelen	œy̯tmɛrɣələn
bijzaak	bɛi̯zaːk
bodemkundig	boːdəmkʏndəx
haggis	ɦɛɡɪs
keerzang	keːrzɑŋ
rosoliemolen	rɔsoːlimoːlən
vlijm	vlɛi̯m
blakeren	blaːkərən
drukbaar	drʏkbaːr
bestuiving	bəstœy̯vɪŋ
spoorweg	spoːrʋɛx
oerbos	uːrbɔs
biseksueel	bisɛksyeːl
energie	eːnɛrʒi
afwinden	ɑfʋɪndən
mantelen	mɑntələn
onderstaand	ɔndərstaːnt
kostelozer	kɔstəloːzər
billentikker	bɪləntɪkər
wet	ʋɛt
aandachtspunt	aːndɑxtspʏnt
monolithisch	moːnoːlitis
huisabdij	ɦœy̯sɑpdɛi̯
diakones	diaːkoːnɛs
prullenmand	prʏlənmɑnt
voortgang	voːrtxɑŋ
werkelijkheidszin	ʋɛrkələkɦɛi̯tsɪn
kammen	kɑmən
zinnig	zɪnəx
binnenplaats	bɪnənplaːts
zesentachtig	zɛsəntɑxtəx
appelsien	ɑpəlsin
golem	ɡoːləm
robinsonade	rɔbɪnsɔnaːdə
viermotorig	viːrmoːtoːrəx
aanpassing	aːmpɑsɪŋ
drinkfontein	driŋkfɔntɛi̯n
tafelberg	taːfəlbɛrx
industrieel	ɪndʏstrieːl
strontvlieg	strɔntflix
galjoot	ɣɑljoːt
landbries	lɑntbris
wonderdoener	ʋɔndərdunər
fontein	fɔntɛi̯n
islamologie	ɪslɑmoːloːɣi
bespelen	bəspeːlən
trekkast	trɛkɑst
bonzen	bɔnzən
kippenvleugel	kɪpənfløːɣəl
streaken	striːkən
hersenpan	ɦɛrsənpɑn
stuifmeel	stœy̯fmeːl
wieleraar	ʋiləraːr
meerderheidspartij	meːrdərɦɛi̯tspɑrtɛi̯
admiraliteit	ɑtmiraːlitɛi̯t
huisslaaf	ɦœy̯slaːf
provo	proːvoː
bevangen	bəvɑŋən
randgeval	rɑntxəvɑl
onnozel	ɔnoːzəl
duvel	dyvəl
boomholte	boːmɦɔltə
getrouw	ɣətrɑu
leeftocht	leːftɔxt
landgrens	lɑntxrɛns
wijsheid	ʋɛi̯sɦɛi̯t
zuiveringseed	zœy̯vərɪŋseːt
strafkolonie	strɑfkoːloːni
carthaags	kɑrtaːxs
zoekrobot	zukroːbɔt
hondsdolheid	ɦɔntsdɔlɦɛi̯t
blijde	blɛi̯də
controle	kɔntrɔːlə
rugzaktoerist	rʏxsɑkturɪst
godenvergadering	ɣoːdənvɛrɣaːdərɪŋ
opblijven	ɔpblɛi̯vən
bolderkar	bɔldərkɑr
nucleon	nykleːɔn
muil	mœy̯l
autostoel	ɑu̯toːstul
glasteler	ɣlɑsteːlər
rennen	rɛnən
delict	deːlɪkt
schaambos	sxaːmbɔs
sappigheid	sɑpəxɦɛi̯t
trappenpiramide	trɑpənpiːraːmidə
staatssecretaris	staːtseːkrətaːrɪs
lastdier	lɑsdiːr
ziekenbroeder	zikənbrudər
katholiek	kɑtoːlik
hetzelfde	ɦɛtzɛlfdə
brussel	brʏsəl
exclusie	ɛksklyzi
loodsen	loːtsən
struisvogelpolitiek	strœy̯sfoːɣəlpoːlitik
ziggoerat	zɪɣurɑt
belegeringskunde	bəleːɣərɪŋskʏndə
corpulentie	kɔrpylɛntsi
berennen	bərɛnən
labradoedel	laːbraːdudəl
circuit	sɪrkʋi
observatorium	ɔpsərvaːtoːriʏm
chartervlucht	tʃɑrtərvlʏxt
incontinent	ɪŋkɔntinɛnt
verdrinken	vərdriŋkən
kiele	kilə
trommelvlies	trɔməlvlis
kummel	kʏməl
keldermot	kɛldərmɔt
stoof	stoːf
panislamist	pɑnɪslaːmɪst
uitsteken	œy̯tsteːkən
nivelleren	nivəleːrən
aanduiding	aːndœy̯dɪŋ
ergeren	ɛrɣərən
bumper	bʏmpər
schiedam	sxidɑm
kopje	kɔpjə
zomereik	zoːmərɛi̯k
gekocht	ɣəkɔxt
blauwdruk	blɑu̯drʏk
grenzen	ɣrɛnzən
hoofddoekjesbelasting	ɦoːftdukjəsbəlɑstɪŋ
verenigd	vəreːnɪxt
mondiaal	mɔndiaːl
mannen	mɑnən
