높으락낮으락하다	no̞pʰɯɾa̠ŋna̠d͡ʑɯɾa̠kʰa̠da̠
대향범	tɛ̝ʝja̠ŋbʌ̹m
목욕재계	mo̞ɡjok̚t͡ɕ͈ɛ̝ɡje̞,mo̞ɡjok̚t͡ɕ͈ɛ̝ɡe̞
평지림	pʰjʌ̹ŋd͡ʑiɾim
밀리그램	miɭʎiɡɯɾɛ̝m
겨를	kjʌ̹ɾɯɭ
동이	to̞ŋi
사일구	sʰa̠iɭɡu
까불딱하다	k͈a̠buɭt͈a̠kʰa̠da̠
두개	tuɡɛ̝
부드드	pudɯdɯ
포인트	pʰo̞intʰɯ
심각해지다	ɕʰimɡa̠kʰɛ̝d͡ʑida̠
쿠리터분하다	kʰuɾitʰʌ̹bunɦa̠da̠
오쫄랑대다	o̞t͡ɕ͈o̞ɭɭa̠ŋdɛ̝da̠
매도증서	mɛ̝do̞d͡ʑɯŋsʰʌ̹
가공열처리	ka̠ɡo̞ŋjʌ̹ɭt͡ɕʰʌ̹ɾi
기부하다	kibuɦa̠da̠
봄바람	po̞mba̠ɾa̠m
부패	pupʰɛ̝
짝자꿍	t͡ɕ͈a̠k̚t͡ɕ͈a̠k͈uŋ
복사판	po̞ks͈a̠pʰa̠n
질룩	t͡ɕiɭɭuk̚
예대	je̞dɛ̝
인공수분	inɡo̞ŋsʰubun
작사가	t͡ɕa̠ks͈a̠ɡa̠
소개념	sʰo̞ɡɛ̝ɲjʌ̹m
비릿	piɾit̚
약효	ja̠kçjo
풀떡하다	pʰuɭt͈ʌ̹kʰa̠da̠
짤까당짤까당하다	t͡ɕ͈a̠ɭk͈a̠da̠ŋt͡ɕ͈a̠ɭk͈a̠da̠ŋɦa̠da̠
어릿어릿	ʌ̹ɾisʰʌ̹ɾit̚
명년	mjʌ̹ŋɲjʌ̹n
업동이	ʌ̹p̚t͈o̞ŋi
안녕하다	a̠nɲjʌ̹ŋɦa̠da̠
도미니카 공화국	to̞minikʰa̠ko̞ŋβwa̠ɡuk̚
대령하다	tɛ̝ɾjʌ̹ŋɦa̠da̠
변하다	pjʌ̹nɦa̠da̠
소옴소옴	sʰo̞o̞msʰo̞o̞m
잡아끌리다	t͡ɕa̠ba̠k͈ɯɭʎida̠
친애하다	t͡ɕʰinɛ̝ɦa̠da̠
반송파	pa̠nsʰo̞ŋpʰa̠
극감	kɯk̚k͈a̠m
강동강동하다	ka̠ŋdo̞ŋɡa̠ŋdo̞ŋɦa̠da̠
고등법원	ko̞dɯŋbʌ̹bwʌ̹n
걸겅걸겅	kʌ̹ɭɡʌ̹ŋɡʌ̹ɭɡʌ̹ŋ
바그극하다	pa̠ɡɯɡɯkʰa̠da̠
이율배반	ijuɭbɛ̝ba̠n
시편	ɕʰipʰjʌ̹n
가갸거겨	ka̠ɡja̠ɡʌ̹ɡjʌ̹
두다	tuda̠
기괴망측	kiɡø̞ma̠ŋt͡ɕʰɯk̚,kiɡwe̞ma̠ŋt͡ɕʰɯk̚
수신함	sʰuɕʰinɦa̠m
비참	ˈpiːt͡ɕʰa̠m
보살	po̞sʰa̠ɭ
푸르릉거리다	pʰuɾɯɾɯŋɡʌ̹ɾida̠
양자택일	ja̠ŋd͡ʑa̠tʰɛ̝ɡiɭ
종영	t͡ɕo̞ŋjʌ̹ŋ
살해되다	sʰa̠ɾɦɛ̝dø̞da̠,sʰa̠ɾɦɛ̝dwe̞da̠
아이러니	a̠iɾʌ̹ni
문과대학	munɡwa̠dɛ̝ɦa̠k̚
가오리연	ka̠o̞ɾijʌ̹n
짤카닥하다	t͡ɕ͈a̠ɭkʰa̠da̠kʰa̠da̠
까뜰거리다	k͈a̠t͈ɯɭɡʌ̹ɾida̠
자유무역	t͡ɕa̠jumujʌ̹k̚
땅딸막하다	t͈a̠ŋt͈a̠ɭma̠kʰa̠da̠
재탈환	t͡ɕɛ̝tʰa̠ɾβwa̠n
변위	pjʌ̹nɥi,pjʌ̹ny
그들먹하다	kɯdɯɭmʌ̹kʰa̠da̠
정수	t͡ɕʌ̹ŋsʰu
적개	t͡ɕʌ̹k̚k͈ɛ̝
우멍구멍	umʌ̹ŋɡumʌ̹ŋ
망주석	ma̠ŋd͡ʑusʰʌ̹k̚
경호실	kjʌ̹ŋβo̞ɕʰiɭ
이글	iɡɯɭ
어선	ʌ̹sʰʌ̹n
흑심	xɯkɕ͈im
터슬터슬하다	tʰʌ̹sʰɯɭtʰʌ̹sʰɯɾɦa̠da̠
추움	t͡ɕʰuum
시간강사	ɕʰiɡa̠nɡa̠ŋsʰa̠
박제	pa̠k̚t͡ɕ͈e̞
천주당	t͡ɕʰʌ̹nd͡ʑuda̠ŋ
백족충	pɛ̝k̚t͡ɕ͈o̞k̚t͡ɕʰuŋ
꼬기작거리다	k͈o̞ɡid͡ʑa̠k̚k͈ʌ̹ɾida̠
출연하다	t͡ɕʰuɾjʌ̹nɦa̠da̠
욱적	uk̚t͡ɕ͈ʌ̹k̚
바구니	pa̠ɡuni
거무트름하다	kʌ̹mutʰɯɾɯmɦa̠da̠
군둑대다	kunduk̚t͈ɛ̝da̠
걀쭉걀쭉하다	kja̠ɭt͡ɕ͈uk̚k͈ja̠ɭt͡ɕ͈ukʰa̠da̠
떠듬	t͈ʌ̹dɯm
시계열	ɕʰiɡje̞jʌ̹ɭ,ɕʰiɡe̞jʌ̹ɭ
방사림	pa̠ŋsʰa̠ɾim
모월	mo̞wʌ̹ɭ
분식	punɕʰik̚
울퉁불퉁하다	uɭtʰuŋbuɭtʰuŋɦa̠da̠
언문	ʌ̹nmun
반침	pa̠nt͡ɕʰim
고산대	ko̞sʰa̠ndɛ̝
과민	kwa̠min
감파르족족	ka̠mpʰa̠ɾɯd͡ʑo̞k̚t͡ɕ͈o̞k̚
청색	t͡ɕʰʌ̹ŋsʰɛ̝k̚
아글아글하다	a̠ɡɯɾa̠ɡɯɾɦa̠da̠
일하다	iɾɦa̠da̠
꼬꾸라뜨리다	k͈o̞k͈uɾa̠t͈ɯɾida̠
서혜	sʰʌ̹ʝje̞,sʰʌ̹ɦe̞
석의하다	sʰʌ̹ɡɰiɦa̠da̠
소송	sʰo̞sʰo̞ŋ
앉은검정	a̠nd͡ʑɯnɡʌ̹md͡ʑʌ̹ŋ
풍작풍작	pʰuŋd͡ʑa̠k̚pʰuŋd͡ʑa̠k̚
발그대대하다	pa̠ɭɡɯdɛ̝dɛ̝ɦa̠da̠
질환	t͡ɕiɾβwa̠n
노르퇴퇴	no̞ɾɯtʰø̞tʰø̞,no̞ɾɯtʰwe̞tʰwe̞
되작	tø̞d͡ʑa̠k̚,twe̞d͡ʑa̠k̚
찌직하다	t͡ɕ͈id͡ʑikʰa̠da̠
신분	ɕʰinbun
늘	nɯɭ
예산집행	je̞sʰa̠nd͡ʑipʰɛ̝ŋ
어릿	ʌ̹ɾit̚
끼울떡끼울떡	k͈iuɭt͈ʌ̹k̚k͈iuɭt͈ʌ̹k̚
무늬	muni
까렐리야	k͈a̠ɾe̞ɭʎija̠
검은꼬리거미원숭이	kʌ̹mɯnk͈o̞ɾiɡʌ̹miwʌ̹nsʰuŋi
서늘해지다	sʰʌ̹nɯɾɦɛ̝d͡ʑida̠
그전	kɯd͡ʑʌ̹n
추들추들히	t͡ɕʰudɯɭt͡ɕʰudɯɾʝi
묶이다	muk͈ida̠
삼식	sʰa̠mɕʰik̚
분장사	pund͡ʑa̠ŋsʰa̠
가든하다	ka̠dɯnɦa̠da̠
결론	kjʌ̹ɭɭo̞n
수원지	sʰuwʌ̹nd͡ʑi
생장작	sʰɛ̝ŋd͡ʑa̠ŋd͡ʑa̠k̚
양로연금	ja̠ŋno̞jʌ̹nɡɯm
서슬	sʰʌ̹sʰɯɭ
끙끙	k͈ɯŋk͈ɯŋ
안갚음하다	a̠nɡa̠pʰɯmɦa̠da̠
버마	pʌ̹ma̠
허가제	hʌ̹ɡa̠d͡ʑe̞
씨비리	ɕ͈ibiɾi
래야	ɾɛ̝ja̠
거실	kʌ̹ɕʰiɭ
찌꾹대다	t͡ɕ͈ik͈uk̚t͈ɛ̝da̠
자물쇠	t͡ɕa̠muɭsʰø̞,t͡ɕa̠muɭsʰwe̞
밀접	miɭd͡ʑʌ̹p̚
병원균	pjʌ̹ŋwʌ̹nɡjun
신도	ɕʰindo̞
궐석재판	kwʌ̹ɭsʰʌ̹k̚t͡ɕ͈ɛ̝pʰa̠n
뉘앙스	nɥia̠ŋsʰɯ,nya̠ŋsʰɯ
두송	tusʰo̞ŋ
깜장	k͈a̠md͡ʑa̠ŋ
디마스끄	tima̠sʰɯk͈ɯ
벌쭉	pʌ̹ɭt͡ɕ͈uk̚
뜀박질	t͈ɥimba̠k̚t͡ɕ͈iɭ,t͈ymba̠k̚t͡ɕ͈iɭ
깻잎	k͈ɛ̝nnip̚
간단명료	ka̠nda̠nmjʌ̹ŋɲjo
반사적	pa̠nsʰa̠d͡ʑʌ̹k̚
게을러빠진	ke̞ɯɭɭʌ̹p͈a̠d͡ʑin
서반아	sʰʌ̹ba̠na̠
바드득하다	pa̠dɯdɯkʰa̠da̠
덕적덕적	tʌ̹k̚t͡ɕ͈ʌ̹k̚t͈ʌ̹k̚t͡ɕ͈ʌ̹k̚
횡	hø̞ŋ,ɸwe̞ŋ
밀폐	miɭpʰje̞,miɭpʰe̞
태풍목	tʰɛ̝pʰuŋmo̞k̚
심각	ɕʰimɡa̠k̚
쿠데타	kʰude̞tʰa̠
고무라기	ko̞muɾa̠ɡi
수세미오이이끼	sʰusʰe̞mio̞iik͈i
오구자하다	o̞ɡud͡ʑa̠ɦa̠da̠
석각	sʰʌ̹k̚k͈a̠k̚
전권	t͡ɕʌ̹nk͈wʌ̹n
중박격포	t͡ɕuŋba̠k̚k͈jʌ̹k̚pʰo̞
전시관	t͡ɕʌ̹nɕʰiɡwa̠n
준비	t͡ɕunbi
꾀죄죄	k͈ø̞d͡ʑø̞d͡ʑø̞,k͈we̞d͡ʑwe̞d͡ʑwe̞
사법권	sʰa̠bʌ̹p̚k͈wʌ̹n
소비에트 연방	sʰo̞bie̞tʰɯjʌ̹nba̠ŋ
자축대다	t͡ɕa̠t͡ɕʰuk̚t͈ɛ̝da̠
야만족	ja̠ma̠nd͡ʑo̞k̚
방시레	pa̠ŋɕʰiɾe̞
끼드득끼드득하다	k͈idɯdɯk̚k͈idɯdɯkʰa̠da̠
뽀유스레하다	p͈o̞jusʰɯɾe̞ɦa̠da̠
가운뎃소리	ka̠unde̞t̚s͈o̞ɾi
곤드랑곤드랑하다	ko̞ndɯɾa̠ŋɡo̞ndɯɾa̠ŋɦa̠da̠
법률혼	pʌ̹mɲjuɾβo̞n
반록하다	pa̠ɭɭo̞kʰa̠da̠
전향점	t͡ɕʌ̹nʝja̠ŋd͡ʑʌ̹m
날큰날큰	na̠ɭkxɯnna̠ɭkxɯn
매	mɛ̝
열방	jʌ̹ɭba̠ŋ
구리구리	kuɾiɡuɾi
기자	kid͡ʑa̠
배금주의	pɛ̝ɡɯmd͡ʑuɰi
패륜	pʰɛ̝ɾjun
콱콱거리다	kʰwa̠k̚kʰwa̠k̚k͈ʌ̹ɾida̠
철도청	t͡ɕʰʌ̹ɭdo̞t͡ɕʰʌ̹ŋ
다래다래	ta̠ɾɛ̝da̠ɾɛ̝
곰질	ko̞md͡ʑiɭ
백두옹	pɛ̝k̚t͈uo̞ŋ
평면적	pʰjʌ̹ŋmjʌ̹nd͡ʑʌ̹k̚
태왕	tʰɛ̝wa̠ŋ
일로	iɭɭo̞
자주성	t͡ɕa̠d͡ʑusʰʌ̹ŋ
남종	na̠md͡ʑo̞ŋ
도도	to̞do̞
꼬붓하다	k͈o̞butʰa̠da̠
외다	ø̞da̠,we̞da̠
구름측정기	kuɾɯmt͡ɕʰɯk̚t͡ɕ͈ʌ̹ŋɡi
멸후	mjʌ̹ɾβu
홰	ɸwɛ̝
번각물	pʌ̹nɡa̠ŋmuɭ
찌릉	t͡ɕ͈iɾɯŋ
허례허식	hʌ̹ɾje̞ɦʌ̹ɕʰik̚,hʌ̹ɾe̞ɦʌ̹ɕʰik̚
약혼기	ja̠kʰo̞nɡi
어리둥절	ʌ̹ɾiduŋd͡ʑʌ̹ɭ
인도적	indo̞d͡ʑʌ̹k̚
일본어	iɭbo̞nʌ̹
사우나	sʰa̠una̠
한해살이작물	ha̠nɦɛ̝sʰa̠ɾid͡ʑa̠ŋmuɭ
저고리	t͡ɕʌ̹ɡo̞ɾi
곰틀대다	ko̞mtʰɯɭdɛ̝da̠
불가피	puɭɡa̠pʰi
차양	t͡ɕʰa̠ja̠ŋ
전담	t͡ɕʌ̹nda̠m
복선기	po̞ks͈ʌ̹nɡi
붓꽃	put̚k͈o̞t̚
홍예석	ɸʷo̞ŋje̞sʰʌ̹k̚
인가	inɡa̠
교수대	kjosʰudɛ̝
손실	sʰo̞nɕʰiɭ
블로그	pɯɭɭo̞ɡɯ
기우뚱기우뚱	kiut͈uŋɡiut͈uŋ
종가세	t͡ɕo̞ŋɡa̠sʰe̞
에고이스트	e̞ɡo̞isʰɯtʰɯ
빨강	p͈a̠ɭɡa̠ŋ
집단어	t͡ɕip̚t͈a̠nʌ̹
여러마디식	jʌ̹ɾʌ̹ma̠diɕʰik̚
들추덕들추덕	tɯɭt͡ɕʰudʌ̹k̚t͈ɯɭt͡ɕʰudʌ̹k̚
몰각	mo̞ɭɡa̠k̚
소화작용	sʰo̞βwa̠d͡ʑa̠ɡjoŋ
영국인	jʌ̹ŋɡuɡin
실꾸리	ɕʰiɭk͈uɾi
우지끈뚝딱하다	ud͡ʑik͈ɯnt͈uk̚t͈a̠kʰa̠da̠
판금	pʰa̠nɡɯm
제대군인	t͡ɕe̞dɛ̝ɡunin
벌룩이다	pʌ̹ɭɭuɡida̠
별문제	pjʌ̹ɭmund͡ʑe̞
념두	ɲjʌ̹mdu
기도회	kido̞ɦø̞,kido̞βwe̞
소진	sʰo̞d͡ʑin
파득거리다	pʰa̠dɯk̚k͈ʌ̹ɾida̠
다정다감하다	ta̠d͡ʑʌ̹ŋda̠ɡa̠mɦa̠da̠
반속	pa̠nsʰo̞k̚
아르바이트하다	a̠ɾɯba̠itʰɯɦa̠da̠
꽈들꽈들	k͈wa̠dɯɭk͈wa̠dɯɭ
보드득보드득하다	po̞dɯdɯk̚p͈o̞dɯdɯkʰa̠da̠
연쇄법	jʌ̹nsʰwɛ̝bʌ̹p̚
난해	na̠nɦɛ̝
음경	ɯmɡjʌ̹ŋ
무관하다	muɡwa̠nɦa̠da̠
역이용	jʌ̹ɡijoŋ
상규	sʰa̠ŋɡju
키로와트	kçiɾo̞wa̠tʰɯ
민권당	minɡwʌ̹nda̠ŋ
저작권법	t͡ɕʌ̹d͡ʑa̠k̚k͈wʌ̹nbʌ̹p̚
본업	po̞nʌ̹p̚
안감생심	a̠nɡa̠msʰɛ̝ŋɕʰim
유선방송	jusʰʌ̹nba̠ŋsʰo̞ŋ
추첨권	t͡ɕʰut͡ɕʰʌ̹mɡwʌ̹n
척창	t͡ɕʰʌ̹k̚t͡ɕʰa̠ŋ
우묵주발	umuk̚t͡ɕ͈uba̠ɭ
고깃고깃	ko̞ɡit̚k͈o̞ɡit̚
명수사	mjʌ̹ŋsʰusʰa̠
군실군실	kunɕʰiɭɡunɕʰiɭ
쿨쩍이다	kʰuɭt͡ɕ͈ʌ̹ɡida̠
종속회사	t͡ɕo̞ŋsʰo̞kʰø̞sʰa̠,t͡ɕo̞ŋsʰo̞kʰwe̞sʰa̠
오지끈거리다	o̞d͡ʑik͈ɯnɡʌ̹ɾida̠
평균점	pʰjʌ̹ŋɡjund͡ʑʌ̹m
기도문	kido̞mun
껑청하다	k͈ʌ̹ŋt͡ɕʰʌ̹ŋɦa̠da̠
어스벙대다	ʌ̹sʰɯbʌ̹ŋdɛ̝da̠
자리지기	t͡ɕa̠ɾid͡ʑiɡi
활발	ɸwa̠ɭba̠ɭ
사투리	sʰa̠tʰuɾi
키득	kçidɯk̚
타도	tʰa̠do̞
염불왕생	jʌ̹mbuɾwa̠ŋsʰɛ̝ŋ
벅적거리다	pʌ̹k̚t͡ɕ͈ʌ̹k̚k͈ʌ̹ɾida̠
쌀긋거리다	s͈a̠ɭɡɯt̚k͈ʌ̹ɾida̠
소켓	sʰo̞kʰe̞t̚
판적	pʰa̠nd͡ʑʌ̹k̚
악심	a̠kɕ͈im
동의	to̞ŋɰi
과실죄	kwa̠ɕʰiɭd͡ʑø̞,kwa̠ɕʰiɭd͡ʑwe̞
낮춤말	na̠t̚t͡ɕʰumma̠ɭ
최후발악	t͡ɕʰø̞βuba̠ɾa̠k̚,t͡ɕʰwe̞βuba̠ɾa̠k̚
지표	t͡ɕipʰjo
삼관왕	sʰa̠mɡwa̠nwa̠ŋ
빙싯	piŋɕʰit̚
가고시마현	ka̠ɡo̞ɕʰima̠ʝjʌ̹n
거류	kʌ̹ɾju
봉죽	po̞ŋd͡ʑuk̚
자리길	t͡ɕa̠ɾiɡiɭ
납세	na̠ps͈e̞
복덕방	po̞k̚t͈ʌ̹k̚p͈a̠ŋ
닦다	ta̠k̚t͈a̠
바룩	pa̠ɾuk̚
새우다	sʰɛ̝uda̠
껄떡	k͈ʌ̹ɭt͈ʌ̹k̚
산악문학	sʰa̠na̠ŋmunɦa̠k̚
마우스	ma̠usʰɯ
찰바닥찰바닥	t͡ɕʰa̠ɭba̠da̠k̚t͡ɕʰa̠ɭba̠da̠k̚
달콤하다	ta̠ɭkʰo̞mɦa̠da̠
자리다툼	t͡ɕa̠ɾida̠tʰum
단주법	ta̠nd͡ʑubʌ̹p̚
대여	tɛ̝jʌ̹
사늘하다	sʰa̠nɯɾɦa̠da̠
오행	o̞ɦɛ̝ŋ
창건하다	t͡ɕʰa̠ŋɡʌ̹nɦa̠da̠
기후민감도	kiβuminɡa̠mdo̞
생명감	sʰɛ̝ŋmjʌ̹ŋɡa̠m
선레스링	sʰʌ̹ɭɭe̞sʰɯɾiŋ
삼면잠	sʰa̠mmjʌ̹nd͡ʑa̠m
근뎅	kɯnde̞ŋ
부등가	pudɯŋɡa̠
충분하다	t͡ɕʰuŋbunɦa̠da̠
관서팔경	kwa̠nsʰʌ̹pʰa̠ɭɡjʌ̹ŋ
사포청	sʰa̠pʰo̞t͡ɕʰʌ̹ŋ
불행	puɾɦɛ̝ŋ
시쿰시쿰하다	ɕʰikʰumɕʰikʰumɦa̠da̠
밀직사	miɭd͡ʑiks͈a̠
그저께	kɯd͡ʑʌ̹k͈e̞
단백색	ta̠nbɛ̝ks͈ɛ̝k̚
선물	sʰʌ̹nmuɭ
푸퉁화	pʰutʰuŋβwa̠
오불오불	o̞buɾo̞buɭ
아등바등	a̠dɯŋba̠dɯŋ
고혈압	ko̞ʝjʌ̹ɾa̠p̚
수강증	sʰuɡa̠ŋd͡ʑɯŋ
산란광	sʰa̠ɭɭa̠nɡwa̠ŋ
쪼로록거리다	t͡ɕ͈o̞ɾo̞ɾo̞k̚k͈ʌ̹ɾida̠
수호조약	sʰuβo̞d͡ʑo̞ja̠k̚
악독	a̠k̚t͈o̞k̚
적침	t͡ɕʌ̹k̚t͡ɕʰim
가념	ka̠ɲjʌ̹m
먹먹	mʌ̹ŋmʌ̹k̚
신축	ɕʰint͡ɕʰuk̚
사전학	sʰa̠d͡ʑʌ̹nɦa̠k̚
졸졸	t͡ɕo̞ɭd͡ʑo̞ɭ
굴	kuɭ
고란초	ko̞ɾa̠nt͡ɕʰo̞
써넣다	s͈ʌ̹nʌ̹tʰa̠
골골대다	ko̞ɭɡo̞ɭdɛ̝da̠
목제기	mo̞k̚t͡ɕ͈e̞ɡi
인조견	ind͡ʑo̞ɡjʌ̹n
백분비	pɛ̝k̚p͈unbi
하분하분하다	ha̠bunɦa̠bunɦa̠da̠
가나다차례	ka̠na̠da̠t͡ɕʰa̠ɾje̞,ka̠na̠da̠t͡ɕʰa̠ɾe̞
난작	na̠nd͡ʑa̠k̚
알거지	a̠ɭɡʌ̹d͡ʑi
보균자	po̞ɡjund͡ʑa̠
기상통신	kisʰa̠ŋtʰo̞ŋɕʰin
헉헉대다	hʌ̹kʰʌ̹k̚t͈ɛ̝da̠
호로록거리다	ɸʷo̞ɾo̞ɾo̞k̚k͈ʌ̹ɾida̠
포착하다	pʰo̞t͡ɕʰa̠kʰa̠da̠
수미상응	sʰumisʰa̠ŋɯŋ
백오	pɛ̝ɡo̞
결핵병	kjʌ̹ɾɦɛ̝k̚p͈jʌ̹ŋ
삼일절	sʰa̠miɭd͡ʑʌ̹ɭ
명시선	mjʌ̹ŋɕʰisʰʌ̹n
말씬말씬하다	ma̠ɭɕ͈inma̠ɭɕ͈inɦa̠da̠
솔깃	sʰo̞ɭɡit̚
중학	t͡ɕuŋɦa̠k̚
누름누름	nuɾɯmnuɾɯm
분방자재	punba̠ŋd͡ʑa̠d͡ʑɛ̝
클라리넷	kxɯɭɭa̠ɾine̞t̚
반질반질하다	pa̠nd͡ʑiɭba̠nd͡ʑiɾɦa̠da̠
기진	kid͡ʑin
못조이개	mo̞t̚t͡ɕ͈o̞iɡɛ̝
교섭	kjosʰʌ̹p̚
구붓구붓이	kubut̚k͈ubuɕʰi
분골쇄신하다	punɡo̞ɭsʰwɛ̝ɕʰinɦa̠da̠
비익	piik̚
배식하다	pɛ̝ɕʰikʰa̠da̠
사교가	sʰa̠ɡjoɡa̠
작명가	t͡ɕa̠ŋmjʌ̹ŋɡa̠
거듬거듬	kʌ̹dɯmɡʌ̹dɯm
역광	jʌ̹k̚k͈wa̠ŋ
가분수	ka̠bunsʰu
전연	t͡ɕʌ̹ɲjʌ̹n
즉심	t͡ɕɯkɕ͈im
낚아채이다	na̠k͈a̠t͡ɕʰɛ̝ida̠
건정건정	kʌ̹nd͡ʑʌ̹ŋɡʌ̹nd͡ʑʌ̹ŋ
연신	jʌ̹nɕʰin
흐늘	xɯnɯɭ
안다리	a̠nda̠ɾi
잠실	t͡ɕa̠mɕʰiɭ
꿈틀꿈틀	k͈umtʰɯɭk͈umtʰɯɭ
앍둑앍둑	a̠k̚t͈uɡa̠k̚t͈uk̚
리을시옷	ɾiɯɭɕʰio̞t̚
아슴푸레	a̠sʰɯmpʰuɾe̞
제왕	t͡ɕe̞wa̠ŋ
완연	wa̠ɲjʌ̹n
홍차	ɸʷo̞ŋt͡ɕʰa̠
바락	pa̠ɾa̠k̚
가맹사	ka̠mɛ̝ŋsʰa̠
교정	kjod͡ʑʌ̹ŋ
곤드라지다	ko̞ndɯɾa̠d͡ʑida̠
왜냐하면	wɛ̝ɲja̠ɦa̠mjʌ̹n
서분거리다	sʰʌ̹bunɡʌ̹ɾida̠
주섬주섬	t͡ɕusʰʌ̹md͡ʑusʰʌ̹m
시험관	ɕʰiɦʌ̹mɡwa̠n
유식론	juɕʰiŋno̞n
심취	ɕʰimt͡ɕʰɥi,ɕʰimt͡ɕʰy
갈갈거리다	ka̠ɭɡa̠ɭɡʌ̹ɾida̠
이렛날	iɾe̞nna̠ɭ
바르르	pa̠ɾɯɾɯ
티켓	tʰikʰe̞t̚
깨작이다	k͈ɛ̝d͡ʑa̠ɡida̠
씰쭉하다	ɕ͈iɭt͡ɕ͈ukʰa̠da̠
자칫자칫	t͡ɕa̠t͡ɕʰit̚t͡ɕ͈a̠t͡ɕʰit̚
아웅다웅	a̠uŋda̠uŋ
편성	pʰjʌ̹nsʰʌ̹ŋ
나잘하다	na̠d͡ʑa̠ɾɦa̠da̠
교정본	kjod͡ʑʌ̹ŋbo̞n
살코기	sʰa̠ɭkʰo̞ɡi
모범수	mo̞bʌ̹msʰu
추근대다	t͡ɕʰuɡɯndɛ̝da̠
꾸부정	k͈ubud͡ʑʌ̹ŋ
인파	inpʰa̠
반전바람	pa̠nd͡ʑʌ̹nba̠ɾa̠m
반포되다	pa̠npʰo̞dø̞da̠,pa̠npʰo̞dwe̞da̠
삼불제석	sʰa̠mbuɭd͡ʑe̞sʰʌ̹k̚
근견	kɯnɡjʌ̹n
바글	pa̠ɡɯɭ
엊저녁	ʌ̹t̚t͡ɕ͈ʌ̹ɲjʌ̹k̚
짤방	t͡ɕ͈a̠ɭba̠ŋ
서풋대다	sʰʌ̹pʰut̚t͈ɛ̝da̠
매끄당하다	mɛ̝k͈ɯda̠ŋɦa̠da̠
자립적	t͡ɕa̠ɾip̚t͡ɕ͈ʌ̹k̚
애애	ɛ̝ɛ̝
변심	pjʌ̹nɕʰim
껄쭉거리다	k͈ʌ̹ɭt͡ɕ͈uk̚k͈ʌ̹ɾida̠
아이보리	a̠ibo̞ɾi
간접	ka̠nd͡ʑʌ̹p̚
당좌차월	ta̠ŋd͡ʑwa̠t͡ɕʰa̠wʌ̹ɭ
광범위하다	kwa̠ŋbʌ̹mɥiɦa̠da̠,kwa̠ŋbʌ̹myɦa̠da̠
정말로	t͡ɕʌ̹ŋma̠ɭɭo̞
반죽하다	pa̠nd͡ʑukʰa̠da̠
수선거	sʰusʰʌ̹nɡʌ̹
가지다	ka̠d͡ʑida̠
재창	t͡ɕɛ̝t͡ɕʰa̠ŋ
화개	ɸwa̠ɡɛ̝
노르끄레	no̞ɾɯk͈ɯɾe̞
까드락대다	k͈a̠dɯɾa̠k̚t͈ɛ̝da̠
걱실	kʌ̹kɕ͈iɭ
보험증서	po̞ɦʌ̹md͡ʑɯŋsʰʌ̹
객관분석	kɛ̝k̚k͈wa̠nbunsʰʌ̹k̚
답신하다	ta̠pɕ͈inɦa̠da̠
씨름판	ɕ͈iɾɯmpʰa̠n
변화되다	pjʌ̹nβwa̠dø̞da̠,pjʌ̹nβwa̠dwe̞da̠
작은말	t͡ɕa̠ɡɯnma̠ɭ
교차하다	kjot͡ɕʰa̠ɦa̠da̠
호타분하다	ɸʷo̞tʰa̠bunɦa̠da̠
자금난	t͡ɕa̠ɡɯmna̠n
포르릉	pʰo̞ɾɯɾɯŋ
민사책임	minsʰa̠t͡ɕʰɛ̝ɡim
세찰	sʰe̞t͡ɕʰa̠ɭ
바리캉	pa̠ɾikʰa̠ŋ
탈캉이다	tʰa̠ɭkʰa̠ŋida̠
유쾌하다	jukʰwɛ̝ɦa̠da̠
십자가두	ɕʰip̚t͡ɕ͈a̠ɡa̠du
멀끔히	mʌ̹ɭk͈ɯmʝi
볼룩하다	po̞ɭɭukʰa̠da̠
치뤄지다	t͡ɕʰiɾwʌ̹d͡ʑida̠
더북이	tʌ̹buɡi
드잡이	tɯd͡ʑa̠bi
진흥	t͡ɕinɣɯŋ
동맹조약	to̞ŋmɛ̝ŋd͡ʑo̞ja̠k̚
음해	ɯmɦɛ̝
쨍그리다	t͡ɕ͈ɛ̝ŋɡɯɾida̠
펄쩍이다	pʰʌ̹ɭt͡ɕ͈ʌ̹ɡida̠
한풀	ha̠npʰuɭ
남하	na̠mɦa̠
방사성	pa̠ŋsʰa̠sʰʌ̹ŋ
퇴직자	tʰø̞d͡ʑik̚t͡ɕ͈a̠,tʰwe̞d͡ʑik̚t͡ɕ͈a̠
소모율	sʰo̞mo̞juɭ
개개다	kɛ̝ɡɛ̝da̠
운동회	undo̞ŋɦø̞,undo̞ŋβwe̞
가격제정학	ka̠ɡjʌ̹k̚t͡ɕ͈e̞d͡ʑʌ̹ŋɦa̠k̚
탈캉대다	tʰa̠ɭkʰa̠ŋdɛ̝da̠
훈련	ɸʷuɭʎjʌ̹n
철딱지	t͡ɕʰʌ̹ɭt͈a̠k̚t͡ɕ͈i
게실게실	ke̞ɕʰiɭɡe̞ɕʰiɭ
무상	musʰa̠ŋ
예술관	je̞sʰuɭɡwa̠n
직하다	t͡ɕikʰa̠da̠
악패듯	a̠k̚pʰɛ̝dɯt̚
재예	t͡ɕɛ̝je̞
알리바이	a̠ɭʎiba̠i
옆구리	jʌ̹p̚k͈uɾi
