gút mắt	ɣut˦˥măt˦˥
thái	tʰaj˨˦
văn phú	văn˧˧fu˨˦
thìn	tʰin˧˨
tuần thám	twɤ̆n˧˨tʰam˨˦
như mây gặp rồng	ɲɯ˧˧mɤ̆j˧˧ɣăp˨ˀ˩zoŋ͡m˧˨
đuổi theo	duəj˧˩˨tʰeo˧˧
yếu lĩnh	iəw˨˦liŋ˧ˀ˥
nợ như tổ đỉa	nɤ˨ˀ˩ʔɲɯ˧˧to˧˩˨diə˧˩˨
đi nghề	di˧˧ŋe˧˨
miền gió trăng	miən˧˨zɔ˨˦căŋ˧˧
mắt trắng dã	măt˦˥căŋ˨˦za˧ˀ˥
tịnh biên	tiŋ˨ˀ˩ʔbiən˧˧
tả chân	ta˧˩˨cɤ̆n˧˧
như muỗi đốt chân voi	ɲɯ˧˧muəj˧ˀ˥dot˦˥cɤ̆n˧˧vɔj˧˧
bút máy	but˦˥măj˨˦
vạn yên	van˨ˀ˩ʔiɛn˧˧
bắc sử	băk˦˥sɯ˧˩˨
kỷ nguyên	ki˧˩˨ŋwiən˧˧
mực mai	mɯk˨ˀ˩maj˧˧
thức ăn thô	tʰɯk˦˥ăn˧˧tʰo˧˧
sửa chữa vừa	sɯə˧˩˨cɯə˧ˀ˥vɯə˧˨
ngày kìa	ŋăj˧˨kiə˧˨
xạu mặt	săw˨ˀ˩ʔmăt˨ˀ˩
rác rưởi	zak˦˥zɯəj˧˩˨
nội ẩm ngoại đồ	noj˨ˀ˩ʔɤ̆m˧˩˨ŋwaj˨ˀ˩ʔdo˧˨
chụp mũ	cup˨ˀ˩mu˧ˀ˥
đánh chác	dɛŋ˨˦cak˦˥
núi sông cách trở	nuj˨˦soŋ͡m˧˧kɛk˦˥cɤ˧˩˨
váy trong	văj˨˦cɔŋ͡m˧˧
pác-séc	pak˦˥-sɛk˦˥
sồi rừng	soj˧˨zɯŋ˧˨
bụng tàu	buŋ͡m˨ˀ˩ʔtăw˧˨
mách qué	mɛk˦˥kwɛ˨˦
lưu biến kế	lɯw˧˧biən˨˦ke˨˦
đình giảng	diŋ˧˨zaŋ˧˩˨
bực tức	bɯk˨ˀ˩tɯk˦˥
bình thuý	biŋ˧˨tʰwi˨˦
ngữ vựng	ŋɯ˧ˀ˥vɯŋ˨ˀ˩ʔ
vãi ra quần	vaj˧ˀ˥za˧˧kwɤ̆n˧˨
nhà gá	ɲa˧˨ɣa˨˦
thông manh	tʰoŋ͡m˧˧mɛŋ˧˧
đại khoa	daj˨ˀ˩ʔxwa˧˧
cum	kum˧˧
ve vảy	vɛ˧˧văj˧˩˨
giỏi quánh	zɔj˧˩˨kwɛŋ˨˦
ngu ý	ŋu˧˧i˨˦
ban đầu	ban˧˧dɤ̆w˧˨
phân thuỷ	fɤ̆n˧˧tʰwi˧˩˨
đánh trứng	dɛŋ˨˦cɯŋ˨˦
mùi mẫm	muj˧˨mɤ̆m˧ˀ˥
tắm táp	tăm˨˦tap˦˥
hiền thục	hiən˧˨tʰuk͡p˨ˀ˩
bọt bể	bɔt˨ˀ˩be˧˩˨
từ từ	tɯ˧˨tɯ˧˨
về chầu diêm vương	ve˧˨cɤ̆w˧˨ziəm˧˧vɯəŋ˧˧
tìm thấy	tim˧˨tʰɤ̆j˨˦
tình nghĩa	tiŋ˧˨ŋiə˧ˀ˥
tự nguyện tự giác	tɯ˨ˀ˩ʔŋwiən˨ˀ˩ʔtɯ˨ˀ˩ʔzak˦˥
vắt vẻo	văt˦˥veo˧˩˨
e-bo-nít	ɛ˧˧-bɔ˧˧-nit˦˥
năm bè bảy búi	năm˧˧bɛ˧˨băj˧˩˨buj˨˦
giò mỡ	zɔ˧˨mɤ˧ˀ˥
súy phủ	suj˨˦fu˧˩˨
nhớ như in	ɲɤ˨˦ɲɯ˧˧in˧˧
nhân nghì	ɲɤ̆n˧˧ŋi˧˨
ấp vú	ɤ̆p˦˥vu˨˦
phóng lãng	fɔŋ͡m˨˦laŋ˧ˀ˥
ngừng bước	ŋɯŋ˧˨bɯək˦˥
cao xá	kaw˧˧sa˨˦
dấu hai chấm	zɤ̆w˨˦haj˧˧cɤ̆m˨˦
đụng đâu nói đấy	duŋ͡m˨ˀ˩ʔdɤ̆w˧˧nɔj˨˦dɤ̆j˨˦
ảnh phổ	ɛŋ˧˩˨fo˧˩˨
con chị cõng con em	kɔn˧˧ci˨ˀ˩ʔkɔŋ͡m˧ˀ˥kɔn˧˧ɛm˧˧
cơm hàng cháo chợ	kɤm˧˧haŋ˧˨caw˨˦cɤ˨ˀ˩ʔ
dừng	zɯŋ˧˨
cười nịnh	kɯəj˧˨niŋ˨ˀ˩ʔ
nói bã bọt mép	nɔj˨˦ba˧ˀ˥bɔt˨ˀ˩mɛp˦˥
ăn ở như bát nước đầy	ăn˧˧ɤ˧˩˨ɲɯ˧˧bat˦˥nɯək˦˥dɤ̆j˧˨
cầm độc	kɤ̆m˧˨dok͡p˨ˀ˩
hoa sen	hwa˧˧sɛn˧˧
đỗ đen	do˧ˀ˥dɛn˧˧
ca khúc khải hoàn	ka˧˧xuk͡p˦˥xaj˧˩˨hwan˧˨
xanh um	sɛŋ˧˧um˧˧
nghĩ ngợi	ŋi˧ˀ˥ŋɤj˨ˀ˩ʔ
lấy trớn	lɤ̆j˨˦cɤn˨˦
bảo toàn	baw˧˩˨twan˧˨
phong hoa tuyết nguyệt	fɔŋ͡m˧˧hwa˧˧twiət˦˥ŋwiət˨ˀ˩
sượt	sɯət˨ˀ˩
chưng khô	cɯŋ˧˧xo˧˧
máy chữ	măj˨˦cɯ˧ˀ˥
động cơ đốt ngoài	doŋ͡m˨ˀ˩ʔkɤ˧˧dot˦˥ŋwaj˧˨
trực khuẩn-huyết	cɯk˨ˀ˩xwɤ̆n˧˩˨-hwiət˦˥
bà xơ	ba˧˨sɤ˧˧
há hốc	ha˨˦hok͡p˦˥
khơi khơi	xɤj˧˧xɤj˧˧
bộng	boŋ͡m˨ˀ˩ʔ
góp vui	ɣɔp˦˥vuj˧˧
chỉn	cin˧˩˨
tượng binh	tɯəŋ˨ˀ˩ʔbiŋ˧˧
chung quanh	cuŋ͡m˧˧kwɛŋ˧˧
cha phó	ca˧˧fɔ˨˦
đồng hội đồng thuyền	doŋ͡m˧˨hoj˨ˀ˩ʔdoŋ͡m˧˨tʰwiən˧˨
men theo	mɛn˧˧tʰeo˧˧
huống	huəŋ˨˦
chôm chôm	com˧˧com˧˧
ém	ɛm˨˦
nín	nin˨˦
muộn	muən˨ˀ˩ʔ
hoa mắt	hwa˧˧măt˦˥
có của	kɔ˨˦kuə˧˩˨
bạch đinh	bɛk˨ˀ˩diŋ˧˧
xế tuổi	se˨˦tuəj˧˩˨
kìn kìn	kin˧˨kin˧˨
vêu	vɛu˧˧
trắng dã	căŋ˨˦za˧ˀ˥
nhất sinh	ɲɤ̆t˦˥siŋ˧˧
thực dân mới	tʰɯk˨ˀ˩zɤ̆n˧˧mɤj˨˦
cửa trập	kɯə˧˩˨cɤ̆p˨ˀ˩
nhẹ dạ	ɲɛ˨ˀ˩ʔza˨ˀ˩ʔ
tuy líp	twi˧˧lip˦˥
có cam phụ quít	kɔ˨˦kam˧˧fu˨ˀ˩ʔkwit˦˥
cốc xo	kok͡p˦˥sɔ˧˧
vũ nông	vu˧ˀ˥noŋ͡m˧˧
an cầu	an˧˧kɤ̆w˧˨
thảm hại	tʰam˧˩˨haj˨ˀ˩ʔ
hậu cổ điển	hɤ̆w˨ˀ˩ʔko˧˩˨diən˧˩˨
đồng đẳng	doŋ͡m˧˨dăŋ˧˩˨
thân phận ngoại giao	tʰɤ̆n˧˧fɤ̆n˨ˀ˩ʔŋwaj˨ˀ˩ʔzaw˧˧
hoàn bị	hwan˧˨bi˨ˀ˩ʔ
về già	ve˧˨za˧˨
ôm rơm nặng bụng	om˧˧zɤm˧˧năŋ˨ˀ˩ʔbuŋ͡m˨ˀ˩ʔ
văn vật	văn˧˧vɤ̆t˨ˀ˩
về chầu âm phủ	ve˧˨cɤ̆w˧˨ɤ̆m˧˧fu˧˩˨
luân phiên	lwɤ̆n˧˧fiən˧˧
ngoao	ŋwaw˧˧
đứng sững như trời trồng	dɯŋ˨˦sɯŋ˧ˀ˥ɲɯ˧˧cɤj˧˨coŋ͡m˧˨
bộ nối	bo˨ˀ˩ʔnoj˨˦
chày	căj˧˨
trần cao vân	cɤ̆n˧˨kaw˧˧vɤ̆n˧˧
bình chân	biŋ˧˨cɤ̆n˧˧
long	lɔŋ͡m˧˧
nhởn nhơ	ɲɤn˧˩˨ɲɤ˧˧
nhịu mồm	ɲiw˨ˀ˩ʔmom˧˨
hiệp tác	hiəp˨ˀ˩tak˦˥
đường bán kính	dɯəŋ˧˨ban˨˦kiŋ˨˦
phi quân sự (	fi˧˧kwɤ̆n˧˧sɯ˨ˀ˩ʔ
phản điện động	fan˧˩˨diən˨ˀ˩ʔdoŋ͡m˨ˀ˩ʔ
phở áp chảo	fɤ˧˩˨ap˦˥caw˧˩˨
trĩ	ci˧ˀ˥
hành vân	hɛŋ˧˨vɤ̆n˧˧
tườu đùa	tɯəw˧˨duə˧˨
gầy xác ve	ɣɤ̆j˧˨sak˦˥vɛ˧˧
cú muỗi	ku˨˦muəj˧ˀ˥
máy lạnh	măj˨˦lɛŋ˨ˀ˩ʔ
kén chọn	kɛn˨˦cɔn˨ˀ˩ʔ
nhõng nha nhõng nhẽo	ɲɔŋ͡m˧ˀ˥ɲa˧˧ɲɔŋ͡m˧ˀ˥ɲeo˧ˀ˥
u hồn	u˧˧hon˧˨
tu dí	tu˧˧zi˨˦
hơi hám	hɤj˧˧ham˨˦
cá chẻng	ka˨˦cɛŋ˧˩˨
rã sòng	za˧ˀ˥sɔŋ͡m˧˨
bạch cung	bɛk˨ˀ˩kuŋ͡m˧˧
theo ma mặc áo giấy	tʰeo˧˧ma˧˧măk˨ˀ˩aw˨˦zɤ̆j˨˦
tình báo	tiŋ˧˨baw˨˦
kĩ càng	ki˧ˀ˥kaŋ˧˨
thang	tʰaŋ˧˧
đề mục	de˧˨muk͡p˨ˀ˩
mạt đời	mat˨ˀ˩dɤj˧˨
ít	it˦˥
bong	bɔŋ͡m˧˧
quảng vĩnh	kwaŋ˧˩˨viŋ˧ˀ˥
chạm súng	cam˨ˀ˩ʔsuŋ͡m˨˦
an trường	an˧˧cɯəŋ˧˨
tranh thuỷ mặc	cɛŋ˧˧tʰwi˧˩˨măk˨ˀ˩
sắp xếp	săp˦˥sep˦˥
moay-ơ	mwăj˧˧-ɤ˧˧
nỗi lòng	noj˧ˀ˥lɔŋ͡m˧˨
xét đến cùng	sɛt˦˥den˨˦kuŋ͡m˧˨
công tử công tôn	koŋ͡m˧˧tɯ˧˩˨koŋ͡m˧˧ton˧˧
tận	tɤ̆n˨ˀ˩ʔ
cãi bướng	kaj˧ˀ˥bɯəŋ˨˦
đại đạo	daj˨ˀ˩ʔdaw˨ˀ˩ʔ
bội ân	boj˨ˀ˩ʔɤ̆n˧˧
lửa rơm	lɯə˧˩˨zɤm˧˧
dạy	zăj˨ˀ˩ʔ
bao chiếm	baw˧˧ciəm˨˦
huynh đệ huých tường	hwiŋ˧˧de˨ˀ˩ʔhwik˦˥tɯəŋ˧˨
có số	kɔ˨˦so˨˦
hành tỏi	hɛŋ˧˨tɔj˧˩˨
mát lòng mát ruột	mat˦˥lɔŋ͡m˧˨mat˦˥zuət˨ˀ˩
trái ý	caj˨˦i˨˦
hán học	han˨˦hɔk͡p˨ˀ˩
cần đốp	kɤ̆n˧˨dop˦˥
giọt châu	zɔt˨ˀ˩cɤ̆w˧˧
can lộc	kan˧˧lok͡p˨ˀ˩
kỳ quặc	ki˧˨kwăk˨ˀ˩
dự đoán	zɯ˨ˀ˩ʔdwan˨˦
trong khi	cɔŋ͡m˧˧xi˧˧
lủng cà lủng củng	luŋ͡m˧˩˨ka˧˨luŋ͡m˧˩˨kuŋ͡m˧˩˨
tay ấn	tăj˧˧ɤ̆n˨˦
cứ việc	kɯ˨˦viək˨ˀ˩
trảu	căw˧˩˨
hàng tướng	haŋ˧˨tɯəŋ˨˦
bỏ mình	bɔ˧˩˨miŋ˧˨
bộ lại	bo˨ˀ˩ʔlaj˨ˀ˩ʔ
san hô tảng	san˧˧ho˧˧taŋ˧˩˨
bát ô-tô	bat˦˥o˧˧-to˧˧
nhượng	ɲɯəŋ˨ˀ˩ʔ
lào nọi	law˧˨nɔj˨ˀ˩ʔ
bức xạ	bɯk˦˥sa˨ˀ˩ʔ
đồ tế nhuyễn	do˧˨te˨˦ɲwiən˧ˀ˥
chợ trời	cɤ˨ˀ˩ʔcɤj˧˨
xanh vỏ đỏ lòng	sɛŋ˧˧vɔ˧˩˨dɔ˧˩˨lɔŋ͡m˧˨
đè	dɛ˧˨
quảng văn đình	kwaŋ˧˩˨văn˧˧diŋ˧˨
lúc la lúc lắc	luk͡p˦˥la˧˧luk͡p˦˥lăk˦˥
sơ-va-lê	sɤ˧˧-va˧˧-le˧˧
bị gậy	bi˨ˀ˩ʔɣɤ̆j˨ˀ˩ʔ
đám mờ	dam˨˦mɤ˧˨
chồng đống	coŋ͡m˧˨doŋ͡m˨˦
lan trùng	lan˧˧cuŋ͡m˧˨
cận chiến	kɤ̆n˨ˀ˩ʔciən˨˦
dẻo quẹo	zeo˧˩˨kweo˨ˀ˩ʔ
phỏng	fɔŋ͡m˧˩˨
chỉ thực	ci˧˩˨tʰɯk˨ˀ˩
giun giẹp	zun˧˧zɛp˨ˀ˩
xông	soŋ͡m˧˧
bồng nào trống ấy	boŋ͡m˧˨naw˧˨coŋ͡m˨˦ɤ̆j˨˦
qua cầu thoát nạn	kwa˧˧kɤ̆w˧˨tʰwat˦˥nan˨ˀ˩ʔ
tinh ý	tiŋ˧˧i˨˦
ghẻ cóc	ɣɛ˧˩˨kɔk͡p˦˥
ngang phè	ŋaŋ˧˧fɛ˧˨
đuối hơi	duəj˨˦hɤj˧˧
chế độ nông nô	ce˨˦do˨ˀ˩ʔnoŋ͡m˧˧no˧˧
nhật	ɲɤ̆t˨ˀ˩
đa mang	da˧˧maŋ˧˧
lấm lem	lɤ̆m˨˦lɛm˧˧
cháu ngoại	căw˨˦ŋwaj˨ˀ˩ʔ
sâm nhung	sɤ̆m˧˧ɲuŋ͡m˧˧
lính tập	liŋ˨˦tɤ̆p˨ˀ˩
hinh hỉnh	hiŋ˧˧hiŋ˧˩˨
tác loạn	tak˦˥lwan˨ˀ˩ʔ
chết giấc	cet˦˥zɤ̆k˦˥
da bò	za˧˧bɔ˧˨
bù trừ	bu˧˨cɯ˧˨
sức sống	sɯk˦˥soŋ͡m˨˦
ngảnh mặt làm thinh	ŋɛŋ˧˩˨măt˨ˀ˩lam˧˨tʰiŋ˧˧
bao lâu nay	baw˧˧lɤ̆w˧˧năj˧˧
cao tốc	kaw˧˧tok͡p˦˥
quy thân	kwi˧˧tʰɤ̆n˧˧
niên canh	niən˧˧kɛŋ˧˧
rạn vỡ	zan˨ˀ˩ʔvɤ˧ˀ˥
phong sương	fɔŋ͡m˧˧sɯəŋ˧˧
buông xõng	buəŋ˧˧sɔŋ͡m˧ˀ˥
lỡ bước	lɤ˧ˀ˥bɯək˦˥
chấm dôi	cɤ̆m˨˦zoj˧˧
sụn xơ	sun˨ˀ˩ʔsɤ˧˧
tiên giác	tiən˧˧zak˦˥
tiều tụy	tiəw˧˨tuj˨ˀ˩ʔ
cấm lệnh	kɤ̆m˨˦leŋ˨ˀ˩ʔ
dẽ run	zɛ˧ˀ˥zun˧˧
dễ thường	ze˧ˀ˥tʰɯəŋ˧˨
quốc xã hoá	kwok͡p˦˥sa˧ˀ˥hwa˨˦
đắng chằng	dăŋ˨˦căŋ˧˨
xuân mai	swɤ̆n˧˧maj˧˧
khâu lược	xɤ̆w˧˧lɯək˨ˀ˩
dung tục	zuŋ͡m˧˧tuk͡p˨ˀ˩
thông ngôn	tʰoŋ͡m˧˧ŋon˧˧
ướt sượt	ɯət˦˥sɯət˨ˀ˩
một cái đấm lại một cái đạp	mot˨ˀ˩kaj˨˦dɤ̆m˨˦laj˨ˀ˩ʔmot˨ˀ˩kaj˨˦dap˨ˀ˩
hội ý hội báo	hoj˨ˀ˩ʔi˨˦hoj˨ˀ˩ʔbaw˨˦
giải trình	zaj˧˩˨ciŋ˧˨
sai khớp	saj˧˧xɤp˦˥
động địa kinh thiên	doŋ͡m˨ˀ˩ʔdiə˨ˀ˩ʔkiŋ˧˧tʰiən˧˧
cuống lưu	kuəŋ˨˦lɯw˧˧
xác minh	sak˦˥miŋ˧˧
đồng trùng hợp	doŋ͡m˧˨cuŋ͡m˧˨hɤp˨ˀ˩
xá xíu	sa˨˦siw˨˦
khúc côn cầu	xuk͡p˦˥kon˧˧kɤ̆w˧˨
man-gan	man˧˧-ɣan˧˧
thuyết trình	tʰwiət˦˥ciŋ˧˨
đỗ ván	do˧ˀ˥van˨˦
nhiễu sự	ɲiəw˧ˀ˥sɯ˨ˀ˩ʔ
quay cóp	kwăj˧˧kɔp˦˥
giả định	za˧˩˨diŋ˨ˀ˩ʔ
tua rua	tuə˧˧zuə˧˧
nhuồn	ɲuən˧˨
tò tí-te	tɔ˧˨ti˨˦-tɛ˧˧
sắc-xô	săk˦˥-so˧˧
bẽ mặt	bɛ˧ˀ˥măt˨ˀ˩
quần manh	kwɤ̆n˧˨mɛŋ˧˧
đi sâu đi sát	di˧˧sɤ̆w˧˧di˧˧sat˦˥
bó thềm	bɔ˨˦tʰem˧˨
sơ - mi	sɤ˧˧mi˧˧
nói vợ	nɔj˨˦vɤ˨ˀ˩ʔ
bảo hoàng hơn nhà vua	baw˧˩˨hwaŋ˧˨hɤn˧˧ɲa˧˨vuə˧˧
mảy	măj˧˩˨
đứ đừ	dɯ˨˦dɯ˧˨
nhãn lực	ɲan˧ˀ˥lɯk˨ˀ˩
điểu tận cung tàng	diəw˧˩˨tɤ̆n˨ˀ˩ʔkuŋ͡m˧˧taŋ˧˨
khất lần khất lữa	xɤ̆t˦˥lɤ̆n˧˨xɤ̆t˦˥lɯə˧ˀ˥
nhạc tính	ɲak˨ˀ˩tiŋ˨˦
xây xát	sɤ̆j˧˧sat˦˥
hằm hè	hăm˧˨hɛ˧˨
tô-nô	to˧˧-no˧˧
cầm đằng chuôi	kɤ̆m˧˨dăŋ˧˨cuəj˧˧
dị thường	zi˨ˀ˩ʔtʰɯəŋ˧˨
bánh tiêu	bɛŋ˨˦tiəw˧˧
kinh tuyến	kiŋ˧˧twiən˨˦
hờm	hɤm˧˨
phá ngục	fa˨˦ŋuk͡p˨ˀ˩
áo lương	aw˨˦lɯəŋ˧˧
hình tượng	hiŋ˧˨tɯəŋ˨ˀ˩ʔ
sắp hàng	săp˦˥haŋ˧˨
một chạch không đầy đầm	mot˨ˀ˩cɛk˨ˀ˩xoŋ͡m˧˧dɤ̆j˧˨dɤ̆m˧˨
kỳ cọ	ki˧˨kɔ˨ˀ˩ʔ
tiến thoái	tiən˨˦tʰwaj˨˦
đâm rễ	dɤ̆m˧˧ze˧ˀ˥
ái tài	aj˨˦taj˧˨
án phê	an˨˦fe˧˧
lẻ loi	lɛ˧˩˨lɔj˧˧
bọt	bɔt˨ˀ˩
thung thăng	tʰuŋ͡m˧˧tʰăŋ˧˧
nề hà	ne˧˨ha˧˨
thầy mằn	tʰɤ̆j˧˨măn˧˨
gấu lợn	ɣɤ̆w˨˦lɤn˨ˀ˩ʔ
cộng lạc	koŋ͡m˨ˀ˩ʔlak˨ˀ˩
quỷ khốc thần sầu	kwi˧˩˨xok͡p˦˥tʰɤ̆n˧˨sɤ̆w˧˨
bãi biển	baj˧ˀ˥biən˧˩˨
lang quân	laŋ˧˧kwɤ̆n˧˧
mệnh số	meŋ˨ˀ˩ʔso˨˦
vàng đen	vaŋ˧˨dɛn˧˧
thuốc trứng	tʰuək˦˥cɯŋ˨˦
vậy ôi	vɤ̆j˨ˀ˩ʔoj˧˧
giăng	zăŋ˧˧
xuân sơn nam	swɤ̆n˧˧sɤn˧˧nam˧˧
cách mạng quan hệ sản xuất	kɛk˦˥maŋ˨ˀ˩ʔkwan˧˧he˨ˀ˩ʔsan˧˩˨swɤ̆t˦˥
biên hoà	biən˧˧hwa˧˨
biến tốc kế	biən˨˦tok͡p˦˥ke˨˦
bên đây	ben˧˧dɤ̆j˧˧
uất hận	wɤ̆t˦˥hɤ̆n˨ˀ˩ʔ
trần truồng	cɤ̆n˧˨cuəŋ˧˨
vú bánh giầy	vu˨˦bɛŋ˨˦zɤ̆j˧˨
li gián	li˧˧zan˨˦
rềnh ràng	zeŋ˧˨zaŋ˧˨
hơi sữa	hɤj˧˧sɯə˧ˀ˥
dẫn đường chỉ lối	zɤ̆n˧ˀ˥dɯəŋ˧˨ci˧˩˨loj˨˦
tu sửa	tu˧˧sɯə˧˩˨
trở tay không kịp	cɤ˧˩˨tăj˧˧xoŋ͡m˧˧kip˨ˀ˩
phát rầu	fat˦˥zɤ̆w˧˨
dân chủ hoá	zɤ̆n˧˧cu˧˩˨hwa˨˦
sắc lẹm	săk˦˥lɛm˨ˀ˩ʔ
năm xưa	năm˧˧sɯə˧˧
điên dại	diən˧˧zaj˨ˀ˩ʔ
điềm nhiên	diəm˧˨ɲiən˧˧
tôm hùm kẹt	tom˧˧hum˧˨kɛt˨ˀ˩
địa lí'	diə˨ˀ˩ʔli˨˦
phách lác	fɛk˦˥lak˦˥
tàu nhanh	tăw˧˨ɲɛŋ˧˧
keo xương	keo˧˧sɯəŋ˧˧
trưởng ban	cɯəŋ˧˩˨ban˧˧
chả rươi	ca˧˩˨zɯəj˧˧
tốt động	tot˦˥doŋ͡m˨ˀ˩ʔ
đường thủy	dɯəŋ˧˨tʰuj˧˩˨
văn phong	văn˧˧fɔŋ͡m˧˧
tam đoạn luận	tam˧˧dwan˨ˀ˩ʔlwɤ̆n˨ˀ˩ʔ
trà cang	ca˧˨kaŋ˧˧
trẻ con	cɛ˧˩˨kɔn˧˧
lá gan	la˨˦ɣan˧˧
quả báo	kwa˧˩˨baw˨˦
cầu trước	kɤ̆w˧˨cɯək˦˥
chao đèn	caw˧˧dɛn˧˨
mưa bom bão đạn	mɯə˧˧bɔm˧˧baw˧ˀ˥dan˨ˀ˩ʔ
ngoi	ŋɔj˧˧
ba sương một nắng	ba˧˧sɯəŋ˧˧mot˨ˀ˩năŋ˨˦
trúng dải	cuŋ͡m˨˦zaj˧˩˨
cày rang	kăj˧˨zaŋ˧˧
búa hơi	buə˨˦hɤj˧˧
về chầu ông bà ông vải	ve˧˨cɤ̆w˧˨oŋ͡m˧˧ba˧˨oŋ͡m˧˧vaj˧˩˨
hội đồng quản trị	hoj˨ˀ˩ʔdoŋ͡m˧˨kwan˧˩˨ci˨ˀ˩ʔ
bộ giải mã	bo˨ˀ˩ʔzaj˧˩˨ma˧ˀ˥
địa lí học	diə˨ˀ˩ʔli˨˦hɔk͡p˨ˀ˩
long tu	lɔŋ͡m˧˧tu˧˧
nịnh nót	niŋ˨ˀ˩ʔnɔt˦˥
quan họ	kwan˧˧hɔ˨ˀ˩ʔ
phấn son	fɤ̆n˨˦sɔn˧˧
cờ chó	kɤ˧˨cɔ˨˦
hoa tàn ngọc nát	hwa˧˧tan˧˨ŋɔk͡p˨ˀ˩nat˦˥
ư hự	ɯ˧˧hɯ˨ˀ˩ʔ
vóc dáng	vɔk͡p˦˥zaŋ˨˦
khăn quàng cổ	xăn˧˧kwaŋ˧˨ko˧˩˨
du hành	zu˧˧hɛŋ˧˨
tuyển trạch	twiən˧˩˨cɛk˨ˀ˩
phẫn đèn	fɤ̆n˧ˀ˥dɛn˧˨
rau cao	zăw˧˧kaw˧˧
văn dốt vũ dát	văn˧˧zot˦˥vu˧ˀ˥zat˦˥
cười khì	kɯəj˧˨xi˧˨
phần lớn	fɤ̆n˧˨lɤn˨˦
tiêu diệt chiến	tiəw˧˧ziət˨ˀ˩ciən˨˦
tích giang	tik˦˥zaŋ˧˧
bạch tuyết	bɛk˨ˀ˩twiət˦˥
lặn ngụp	lăn˨ˀ˩ʔŋup˨ˀ˩
góc so le trong	ɣɔk͡p˦˥sɔ˧˧lɛ˧˧cɔŋ͡m˧˧
ẩn lậu	ɤ̆n˧˩˨lɤ̆w˨ˀ˩ʔ
rút rát	zut˦˥zat˦˥
kì tướng	ki˧˨tɯəŋ˨˦
bữa hôm	bɯə˧ˀ˥hom˧˧
chạy	căj˨ˀ˩ʔ
tỉ lệ thuận	ti˧˩˨le˨ˀ˩ʔtʰwɤ̆n˨ˀ˩ʔ
bằng mạc	băŋ˧˨mak˨ˀ˩
ngai ngái	ŋaj˧˧ŋaj˨˦
canh cửi	kɛŋ˧˧kɯj˧˩˨
ăn no tắm mát	ăn˧˧nɔ˧˧tăm˨˦mat˦˥
dự thính	zɯ˨ˀ˩ʔtʰiŋ˨˦
đông liễu tây đào	doŋ͡m˧˧liəw˧ˀ˥tɤ̆j˧˧daw˧˨
truyền giáo học	cwiən˧˨zaw˨˦hɔk͡p˨ˀ˩
nụ áo thực	nu˨ˀ˩ʔaw˨˦tʰɯk˨ˀ˩
tùng khê	tuŋ͡m˧˨xe˧˧
chẻo lẻo	ceo˧˩˨leo˧˩˨
sóc cảnh	sɔk͡p˦˥kɛŋ˧˩˨
làm lại	lam˧˨laj˨ˀ˩ʔ
xùng xình	suŋ͡m˧˨siŋ˧˨
cạn đầm thì uống nước khe	kan˨ˀ˩ʔdɤ̆m˧˨tʰi˧˨uəŋ˨˦nɯək˦˥xɛ˧˧
oán	wan˨˦
nghĩ quẩn lo quanh	ŋi˧ˀ˥kwɤ̆n˧˩˨lɔ˧˧kwɛŋ˧˧
quá đi chứ	kwa˨˦di˧˧cɯ˨˦
hoa xoè	hwa˧˧swe˧˨
con gái con đứa	kɔn˧˧ɣaj˨˦kɔn˧˧dɯə˨˦
sữa chua	sɯə˧ˀ˥cuə˧˧
tính mệnh	tiŋ˨˦meŋ˨ˀ˩ʔ
thư phù	tʰɯ˧˧fu˧˨
lúa tái giá	luə˨˦taj˨˦za˨˦
trích đoạn	cik˦˥dwan˨ˀ˩ʔ
hãm thành	ham˧ˀ˥tʰɛŋ˧˨
nhựa mủ	ɲɯə˨ˀ˩ʔmu˧˩˨
xe đòn	sɛ˧˧dɔn˧˨
nha nhẩn	ɲa˧˧ɲɤ̆n˧˩˨
đồ quỷ	do˧˨kwi˧˩˨
bất chuyển	bɤ̆t˦˥cwiən˧˩˨
suối đá	suəj˨˦da˨˦
kim băng	kim˧˧băŋ˧˧
bạc như vôi	bak˨ˀ˩ɲɯ˧˧voj˧˧
lạc giọng	lak˨ˀ˩zɔŋ͡m˨ˀ˩ʔ
xương rồng	sɯəŋ˧˧zoŋ͡m˧˨
con ông sấm cháu ông sét	kɔn˧˧oŋ͡m˧˧sɤ̆m˨˦căw˨˦oŋ͡m˧˧sɛt˦˥
nhổ vào mặt	ɲo˧˩˨vaw˧˨măt˨ˀ˩
đái	daj˨˦
đám cưới	dam˨˦kɯəj˨˦
cẩm châu	kɤ̆m˧˩˨cɤ̆w˧˧
tuỳ ý	twi˧˨i˨˦
bầu không khí	bɤ̆w˧˨xoŋ͡m˧˧xi˨˦
bấy nhấy	bɤ̆j˨˦ɲɤ̆j˨˦
mất tăm	mɤ̆t˦˥tăm˧˧
quả tối	kwa˧˩˨toj˨˦
bạo ngược	baw˨ˀ˩ʔŋɯək˨ˀ˩
sâm thương cách trở	sɤ̆m˧˧tʰɯəŋ˧˧kɛk˦˥cɤ˧˩˨
giẫm vỏ chuối	zɤ̆m˧ˀ˥vɔ˧˩˨cuəj˨˦
tiệm tiến	tiəm˨ˀ˩ʔtiən˨˦
xuân sơn bắc	swɤ̆n˧˧sɤn˧˧băk˦˥
