производстволарны	projzwodstwoɫɑrnˈɯ
горурланып	ʁorurɫɑnˈɯp
җибәргәндәй	ʑibærɣændˈæj
Алланың	ɒɫɫɒnˈɯŋ
иранлы	irɑnɫˈɯ
Колва	qoɫwˈɑ
таблицалар	tɒbɫitsɑɫˈɑr
Айдан	ɒjdˈɒn
Корея	qorejˈæ
җәелә	ʑeːlˈæ
сакларга	sɒqɫɒrʁˈɑ
Сабантуйның	sɒbɒntujnˈɯŋ
штатларында	ʃtɒtɫɒrɯndˈɑ
ихатасына	ixɑtɑsɯnˈɑ
күзләремә	kyzlæremˈæ
яхшылыкның	jɑxʃɯɫɯqnˈɯŋ
ихаталарда	ixɑtɑɫɑrdˈɑ
тренеры	trenerˈɯ
Ахунова	ɒxunowˈɑ
кыю	qɯjˈu
проектны	proeqtnˈɯ
кайтаваз	qɒjtɑwˈɑz
үзләштерергә	yzlæʃtererɣˈæ
сөйләшмәгән	sœjlæʃmæɣˈæn
шәрехләү	ʃærexlˈæw
артистларны	ɒrtistɫɑrnˈɯ
туктамыйча	tuqtɑmɯjɕˈɑ
җибәрделәр	ʑibærdelˈær
эчкәннән	eɕkænnˈæn
үтүенә	ytyenˈæ
ирешер	ireʃˈer
яшәрлек	jæʃærlˈek
битемә	bitemˈæ
дәверләрдә	dæwerlærdˈæ
тәгъбир	tæɣʔbˈir
әйберне	æjbernˈe
башкаручылар	bɒʃqɒruɕɯɫˈɑr
нәрсә	nærsˈæ
күрсәткечләренә	kyrsætkeɕlærenˈæ
лимон	limˈon
сабыем	sɒbɯˈem
тәү	tˈæw
мөрәҗәгатьне	mœræʑæʁɑtʔnˈe
хәсрәте	xæsrætˈe
уемча	uemɕˈɑ
текстын	teqstˈɯn
кәгазьләрдә	kæʁɑzʔɫærdˈæ
Җомга	ʑomʁˈɑ
пассажирларга	pɒssɒʒirɫɑrʁˈɑ
куелмаса	queɫmɑsˈɑ
кертүче	kertyɕˈe
кисүгә	kisyɣˈæ
вируслы	wirusɫˈɯ
фәһемле	fæhemlˈe
күчерүгә	kyɕeryɣˈæ
буынына	buɯnɯnˈɑ
эшләнеше	eʃlæneʃˈe
карамый	qɒrɒmˈɯj
өйдәгеләр	œjdæɣelˈær
шешәсе	ʃeʃæsˈe
ашсыз	ɒʃsˈɯz
савучылар	sɑwuɕɯɫˈɑr
Марсельне	mɒrselʔnˈe
Йәмән	jæmˈæn
аркамнан	ɒrqɒmnˈɑn
әти	ætˈi
авырлыгына	ɑwɯrɫɯʁɯnˈɑ
фотографияләр	fotoʁrɑfijælˈær
Спектакльдән	speqtɑqɫʔdˈæn
кластерлары	qɫɒsterɫɑrˈɯ
бинадагы	binɑdɑʁˈɯ
Криминаль	kriminˈɑɫʔ
кешеләрне	keʃelærnˈe
Анна	ɒnnˈɒ
Көнбатышта	kœnbɑtɯʃtˈɑ
эшкуарлар	eʃquɑrɫˈɑr
спартакиада	spɒrtɒqiɑdˈɑ
Фатыйхов	fɒtɯjxˈow
кулыгызга	quɫɯʁɯzʁˈɑ
Күршедә	kyrʃedˈæ
Соңгысында	soŋʁɯsɯndˈɑ
көтелгәннән	kœtelɣænnˈæn
китүенә	kityenˈæ
әдәбияты	ædæbijætˈɯ
савымны	sɑwɯmnˈɯ
кайтучыларга	qɒjtuɕɯɫɑrʁˈɑ
Охшаш	oxʃˈɑʃ
арттырылган	ɒrttɯrɯɫʁˈɑn
Җилле	ʑillˈe
яшидер	jæʃidˈer
Кәҗә	kæʑˈæ
очраткач	oɕrɑtqˈɑɕ
өзлегүләр	œzleɣylˈær
ишетәм	iʃetˈæm
яулаганнар	jɑwɫɑʁɑnnˈɑr
белемне	belemnˈe
программалау	proʁrɑmmɑɫˈɑw
Раштуа	rɒʃtuˈɑ
Кафедра	qɒfedrˈɑ
җавабы	ʑɑwɑbˈɯ
Гафиятуллина	ʁɒfijætuɫɫinˈɑ
вәкиленнән	wækilennˈæn
үткәрелүенә	ytkærelyenˈæ
күркәмлеге	kyrkæmleɣˈe
Өстәге	œstæɣˈe
әдәбиятлар	ædæbijætɫˈɑr
яклаячак	jɑqɫɑjɑɕˈɑq
күмә	kymˈæ
корпус	qorpˈus
сүзенең	syzenˈeŋ
сәнгатен	sæŋʁɑtˈen
автосервис	ɑwtoserwˈis
патроннар	pɒtronnˈɑr
каладыр	qɒɫɒdˈɯr
кибетләре	kibetlærˈe
туктарга	tuqtɑrʁˈɑ
Мингали	miŋʁɑɫˈi
реанимациядә	reɑnimɑtsijædˈæ
комиссариатына	qomissɑriɑtɯnˈɑ
һәвәскәрләр	hæwæskærlˈær
Миләш	milˈæʃ
тамгалар	tɒmʁɒɫˈɑr
Галиягә	ʁɒɫijæɣˈæ
бәхетлерәк	bæxetlerˈæk
Чуашия	ɕuɑʃijˈæ
башкалабыз	bɒʃqɒɫɑbˈɯz
конфликтларны	qonfɫiqtɫɑrnˈɯ
хатынлы	xɒtɯnɫˈɯ
җыелган	ʑɯeɫʁˈɑn
Осина	osinˈɑ
финнар	finnˈɑr
хөкүмәтенә	xœkymætenˈæ
Рәттән	rættˈæn
ассызыкладылар	ɒssɯzɯqɫɑdɯɫˈɑr
мәйданчыкларны	mæjdɑnɕɯqɫɑrnˈɯ
Аныңча	ɒnɯŋɕˈɑ
авиация	ɑwiɑtsijˈæ
йөртүчегә	jœrtyɕeɣˈæ
узу	uzˈu
Икесенең	ikesenˈeŋ
белмәмешкә	belmæmeʃkˈæ
уңышларында	uŋɯʃɫɑrɯndˈɑ
частьләрнең	ɕɒstʔɫærnˈeŋ
битенең	bitenˈeŋ
унбишенче	unbiʃenɕˈe
фикердәше	fikerdæʃˈe
Квартал	qwɒrtˈɒɫ
Коллективны	qoɫɫektiwnˈɯ
Хәмбәл	xæmbˈæl
төштек	tœʃtˈek
өрә	œrˈæ
укытучыларның	uqɯtuɕɯɫɑrnˈɯŋ
сөйләшегез	sœjlæʃeɣˈez
ачмакчы	ɒɕmɒqɕˈɯ
балаларның	bɒɫɒɫɑrnˈɯŋ
чикләнмәде	ɕiklænmædˈe
атам	ɒtˈɒm
сәркәтип	særkætˈip
Айнур	ɒjnˈur
ясамыйлар	jɑsɑmɯjɫˈɑr
Габидуллин	ʁɒbiduɫɫˈin
чөя	ɕœjˈæ
салымнарны	sɒɫɯmnɑrnˈɯ
Талкыш	tɒɫqˈɯʃ
индексацияләү	indeqsɑtsijælˈæw
камышлар	qɒmɯʃɫˈɑr
кунарга	qunɑrʁˈɑ
читләре	ɕitlærˈe
Кабак	qɒbˈɒq
башланып	bɒʃɫɒnˈɯp
Турнирны	turnirnˈɯ
кыңгыр	qɯŋʁˈɯr
мәҗлеснең	mæʑlesnˈeŋ
Энергетик	enerɣetˈik
кайнарлыгы	qɒjnɒrɫɯʁˈɯ
ризалыгы	rizɑɫɯʁˈɯ
иттифагы	ittifɑʁˈɯ
ширкәткә	ʃirkætkˈæ
опера	operˈɑ
торыйм	torˈɯjm
мәсьәләләренең	mæsʔælælærenˈeŋ
Маратка	mɒrɒtqˈɑ
металлар	metɑɫɫˈɑr
һәркайсыбызның	hærqɑjsɯbɯznˈɯŋ
күрешергә	kyreʃerɣˈæ
диячәк	dijæɕˈæk
ычкынган	ɯɕqɯŋʁˈɑn
миссионер	missionˈer
сөренте	sœrentˈe
үзенеке	yzenekˈe
керткәч	kertkˈæɕ
Макаровның	mɒqɒrownˈɯŋ
төбәлде	tœbældˈe
атлетика	ɒtɫetiqˈɑ
кубып	qubˈɯp
Путиннан	putinnˈɑn
Гыйниятуллин	ʁɯjnijætuɫɫˈin
Адилә	ɒdilˈæ
сөюче	sœjyɕˈe
аерылмас	ɒerɯɫmˈɑs
коралсыз	qorɑɫsˈɯz
чыгымын	ɕɯʁɯmˈɯn
каникул	qɒniqˈuɫ
Пәйгамбәр	pæjʁɑmbˈær
энергетик	enerɣetˈik
эшләрлек	eʃlærlˈek
Мәхмүд	mæxmˈyd
Араик	ɒrˈɒjq
ягымлылык	jɑʁɯmɫɯɫˈɯq
биргәне	birɣænˈe
җылылыкны	ʑɯɫɯɫɯqnˈɯ
Шәриповның	ʃæripownˈɯŋ
имезүче	imezyɕˈe
батырларны	bɒtɯrɫɑrnˈɯ
фавориты	fɑworitˈɯ
спонсорлары	sponsorɫɑrˈɯ
мирасына	mirɑsɯnˈɑ
калмыйм	qɒɫmˈɯjm
урынына	urɯnɯnˈɑ
ашырылса	ɒʃɯrɯɫsˈɑ
Йусуф	jusˈuf
чакырса	ɕɒqɯrsˈɑ
Сабыр	sɒbˈɯr
шашка	ʃɒʃqˈɒ
катнашлыгында	qɒtnɒʃɫɯʁɯndˈɑ
җитмидер	ʑitmidˈer
катыралар	qɒtɯrɑɫˈɑr
нечкә	neɕkˈæ
көйсез	kœjsˈez
урлаганда	urɫɑʁɑndˈɑ
вакытның	wɒqɯtnˈɯŋ
парламент	pɒrɫɒmˈent
Савельев	sɑwelʔˈew
азыгының	ɒzɯʁɯnˈɯŋ
утырса	utɯrsˈɑ
үзсүзле	yzsyzlˈe
Тәһранда	tæhrɑndˈɑ
стадионның	stɒdionnˈɯŋ
үткәнчә	ytkænɕˈæ
ташларын	tɒʃɫɒrˈɯn
килешмәскә	kileʃmæskˈæ
Сергеевка	serɣeewqˈɑ
Конституцион	qonstitutsiˈon
Сеул	sˈewl
Мәһабәт	mæhɑbˈæt
Равилнең	rɑwilnˈeŋ
гамәлне	ʁɒmælnˈe
Нурия	nurijˈæ
Эшсезлек	eʃsezlˈek
атсаң	ɒtsˈɒŋ
энергиясеннән	enerɣijæsennˈæn
Богады	boʁɑdˈɯ
кызыксындырып	qɯzɯqsɯndɯrˈɯp
эшләнмәләреннән	eʃlænmælærennˈæn
Артёмовский	ɒrtjomowsqˈij
карашларда	qɒrɒʃɫɑrdˈɑ
чатнама	ɕɒtnɒmˈɑ
үлчәүләрендә	ylɕæwlærendˈæ
миокард	mioqˈɑrd
календарьда	qɒɫendɑrʔdˈɑ
инспекциягә	inspektsijæɣˈæ
Волосница	woɫosnitsˈɑ
басам	bɒsˈɒm
Кияүгә	kijæwɣˈæ
шатбыз	ʃɒtbˈɯz
Ризидә	rizidˈæ
салучы	sɒɫuɕˈɯ
базарыннан	bɒzɒrɯnnˈɑn
түгелме	tyɣelmˈe
пианинода	piɑninodˈɑ
килгәннән	kilɣænnˈæn
кыла	qɯɫˈɑ
салмыйча	sɒɫmɯjɕˈɑ
күршеләрен	kyrʃelærˈen
бистәләренә	bistælærenˈæ
ахырларында	ɒxɯrɫɑrɯndˈɑ
җәмгыятьне	ʑæmʁɯjætʔnˈe
шөгыльләнүгә	ʃœʁɯɫʔɫænyɣˈæ
чәлпәрәмә	ɕælpæræmˈæ
контрафакт	qontrɑfˈɑqt
докладлары	doqɫɑdɫɑrˈɯ
илләренә	illærenˈæ
Шәгъбән	ʃæɣʔbˈæn
тырышлыгым	tɯrɯʃɫɯʁˈɯm
Габделбәр	ʁɒbdelbˈær
халәтендә	xɒɫætendˈæ
сентябрьгә	sentjæbrʔɣˈæ
узса	uzsˈɑ
зурлыйлар	zurɫɯjɫˈɑr
демократлар	demoqrɑtɫˈɑr
рәнҗеп	rænʑˈep
Калган	qɒɫʁˈɒn
юклыгына	juqɫɯʁɯnˈɑ
өйләнешкәннәр	œjlæneʃkænnˈær
тапшырулары	tɒpʃɯruɫɑrˈɯ
батырлыкка	bɒtɯrɫɯqqˈɑ
чыбыктан	ɕɯbɯqtˈɑn
нәтиҗәлеге	nætiʑæleɣˈe
Шәрәфетдинов	ʃæræfetdinˈow
тылы	tɯɫˈɯ
Нәтиҗәле	nætiʑælˈe
урманчылыгы	urmɑnɕɯɫɯʁˈɯ
сумнар	sumnˈɑr
инвесторларының	inwestorɫɑrɯnˈɯŋ
өчле	œɕlˈe
максатсыз	mɒqsɒtsˈɯz
күлдәге	kyldæɣˈe
тасвирлады	tɒswirɫɑdˈɯ
кичерешләр	kiɕereʃlˈær
васыятьнамә	wɒsɯjɑtʔnɑmˈæ
Апасның	ɒpɒsnˈɯŋ
Думасына	dumɑsɯnˈɑ
сокланды	soqɫɑndˈɯ
түләгәннәр	tylæɣænnˈær
озайтылган	ozɑjtɯɫʁˈɑn
аптыраганнан	ɒptɯrɑʁɑnnˈɑn
әмер	æmˈer
ашатучы	ɒʃɒtuɕˈɯ
Сара	sɒrˈɒ
Сөренчәк	sœrenɕˈæk
илләрендәге	illærendæɣˈe
якларында	jɑqɫɑrɯndˈɑ
очраштыра	oɕrɑʃtɯrˈɑ
катнашучыны	qɒtnɒʃuɕɯnˈɯ
түгәрәгендә	tyɣæræɣendˈæ
ЭВМ	ˈewm
шаярырга	ʃɒjɑrɯrʁˈɑ
үрчем	yrɕˈem
әйбәте	æjbætˈe
яңгыры	jɑŋʁɯrˈɯ
Шәйхразиев	ʃæjxrɑziˈew
ноктасы	noqtɑsˈɯ
аксак	ɒqsˈɒq
дошманлашып	doʃmɑnɫɑʃˈɯp
производстволарын	projzwodstwoɫɑrˈɯn
милләтемнең	millætemnˈeŋ
Штатларында	ʃtɒtɫɒrɯndˈɑ
Леон	leˈon
башкалабызның	bɒʃqɒɫɑbɯznˈɯŋ
чүптән	ɕyptˈæn
җәмгыять	ʑæmʁɯjˈɑtʔ
каурыйлары	qɑwrɯjɫɑrˈɯ
таныштыруны	tɒnɯʃtɯrunˈɯ
хафага	xɒfɒʁˈɑ
вазыйфасына	wɒzɯjfɑsɯnˈɑ
Макаревич	mɒqɒrewˈiɕ
корганнан	qorʁɑnnˈɑn
хәрәкәтләренә	xærækætlærenˈæ
капларлык	qɒpɫɒrɫˈɯq
йомшаграк	jomʃɑʁrˈɑq
хәбәр	xæbˈær
уннарча	unnɑrɕˈɑ
тибешен	tibeʃˈen
югалталар	juʁɑɫtɑɫˈɑr
аллергия	ɒɫɫerɣijˈæ
ипиен	ipiˈen
каршылыкларга	qɒrʃɯɫɯqɫɑrʁˈɑ
күзаллавы	kyzɑɫɫɑwˈɯ
психологлары	psixoɫoʁɫɑrˈɯ
дәреслекләрне	dæresleklærnˈe
үзләштерелде	yzlæʃtereldˈe
күрсәтелсә	kyrsætelsˈæ
гомумиләштерү	ʁomumilæʃterˈy
калганнар	qɒɫʁɒnnˈɑr
Архипова	ɒrxipowˈɑ
белгечләрен	belɣeɕlærˈen
Бәхти	bæxtˈi
синоптиклары	sinoptiqɫɑrˈɯ
Концертны	qontsertnˈɯ
чыгымнарны	ɕɯʁɯmnɑrnˈɯ
киләчәгең	kilæɕæɣˈeŋ
басуларны	bɒsuɫɑrnˈɯ
терәтеп	terætˈep
иңдергән	iŋderɣˈæn
аклана	ɒqɫɒnˈɑ
Максатлары	mɒqsɒtɫɑrˈɯ
куллануны	quɫɫɑnunˈɯ
гаиләләребез	ʁɒjɫælærebˈez
Екатеринбургның	jɯqɑterinburʁnˈɯŋ
Башкала	bɒʃqɒɫˈɑ
төкереп	tœkerˈep
берәүдән	beræwdˈæn
калдырсалар	qɒɫdɯrsɑɫˈɑr
Сарлы	sɒrɫˈɯ
Яхина	jæxinˈɑ
Рәмилә	ræmilˈæ
Күңелдә	kyŋeldˈæ
тәнкыйтьләү	tænqɯjtʔɫˈæw
вакытлы	wɒqɯtɫˈɯ
Пакистан	pɒqistˈɑn
Әхмәтшинга	æxmætʃiŋʁˈɑ
тибрәтүчеләр	tibrætyɕelˈær
Агромастер	ɒʁromɑstˈer
көчегез	kœɕeɣˈez
тупка	tupqˈɑ
Капканы	qɒpqɒnˈɯ
басарга	bɒsɒrʁˈɑ
сакланышын	sɒqɫɒnɯʃˈɯn
дәгъваларын	dæʁʔwɑɫɑrˈɯn
министрлыкның	ministrɫɯqnˈɯŋ
хәлендә	xælendˈæ
Зат	zˈɒt
балабызны	bɒɫɒbɯznˈɯ
шанлы	ʃɒnɫˈɯ
үткәрәчәкбез	ytkæræɕækbˈez
Дәресләрдән	dæreslærdˈæn
мыскыллы	mɯsqɯɫɫˈɯ
көрәшен	kœræʃˈen
декадасына	deqɑdɑsɯnˈɑ
өязенә	œjæzenˈæ
Илфак	iɫfˈɑq
казанлылардан	qɒzɒnɫɯɫɑrdˈɑn
стипендияләр	stipendijælˈær
иткәнебезчә	itkænebezɕˈæ
мөмкинлекләре	mœmkinleklærˈe
ниятләдек	nijætlædˈek
җилкәсендә	ʑilkæsendˈæ
Дуслык	dusɫˈɯq
йота	jotˈɑ
ашкынган	ɒʃqɯŋʁˈɑn
Әниең	æniˈeŋ
Җитен	ʑitˈen
яндыралар	jɑndɯrɑɫˈɑr
җавапсызлык	ʑɑwɑpsɯzɫˈɯq
җитдилеге	ʑitdileɣˈe
Толстой	toɫstˈoj
эшмәкәрләр	eʃmækærlˈær
җибәргәннәре	ʑibærɣænnærˈe
ришвәтчелекне	riʃwætɕeleknˈe
тишеп	tiʃˈep
производствосын	projzwodstwosˈɯn
Башкалар	bɒʃqɒɫˈɑr
көлдерде	kœlderdˈe
Приютта	prijyttˈɑ
Никитина	nikitinˈɑ
яшәгәнен	jæʃæɣænˈen
чакырылышта	ɕɒqɯrɯɫɯʃtˈɑ
сөртү	sœrtˈy
Конкурсның	qonqursnˈɯŋ
нигезләмәсе	niɣezlæmæsˈe
керем	kerˈem
куймыйча	qujmɯjɕˈɑ
тәмамлаганнар	tæmɑmɫɑʁɑnnˈɑr
киттеме	kittemˈe
омтылуы	omtɯɫuˈɯ
Укуын	uquˈɯn
театраль	teɑtrˈɑɫʔ
Кубогын	quboʁˈɯn
чәршәмбедә	ɕærʃæmbedˈæ
күзләү	kyzlˈæw
Ватык	wɒtˈɯq
йөзәрләгән	jœzærlæɣˈæn
пайлары	pɒjɫɒrˈɯ
аналык	ɒnɒɫˈɯq
ыргылды	ɯrʁɯɫdˈɯ
көйле	kœjlˈe
тырмалап	tɯrmɑɫˈɑp
корырга	qorɯrʁˈɑ
ничек	niɕˈek
бушатылган	buʃɑtɯɫʁˈɑn
Фәнәвил	fænæwˈil
аракының	ɒrɒqɯnˈɯŋ
азат	ɒzˈɒt
Мусабай	musɑbˈɑj
мине	minˈe
песнәк	pesnˈæk
рәтендә	rætendˈæ
территорияләрен	territorijælærˈen
калучылар	qɒɫuɕɯɫˈɑr
армиядә	ɒrmijædˈæ
таләбен	tɒɫæbˈen
бөртек	bœrtˈek
толымлы	toɫɯmɫˈɯ
тишектән	tiʃektˈæn
бәрән	bærˈæn
Копенгаген	qopeŋʁɑʁˈen
үзгәрмәде	yzɣærmædˈe
кичерешләрен	kiɕereʃlærˈen
ирләрнең	irlærnˈeŋ
миллиардтан	milliɑrdtˈɑn
Тегермән	teɣermˈæn
Романтик	romɑntˈik
мәдрәсәләрнең	mædræsælærnˈeŋ
Адәм	ɒdˈæm
сагы	sɒʁˈɯ
өлгерләр	œlɣerlˈær
туризмны	turizmnˈɯ
Империя	imperijˈæ
балигълык	bɒɫiʁʔɫˈɯq
кышкы	qɯʃqˈɯ
чирен	ɕirˈen
гасырларда	ʁɒsɯrɫɑrdˈɑ
дәвамындагы	dæwɑmɯndɑʁˈɯ
һөнәреңне	hœnæreŋnˈe
йөриячәкләр	jœrijæɕæklˈær
Ганибаев	ʁɒnibɑˈew
компьютер	qompʔjytˈer
атасыннан	ɒtɒsɯnnˈɑn
тырышлыкларын	tɯrɯʃɫɯqɫɑrˈɯn
патриотик	pɒtriotˈik
уйнадык	ujnɑdˈɯq
Ривьера	riwʔerˈɑ
персонажы	personɑʒˈɯ
янгыннан	jɑŋʁɯnnˈɑn
эшләрләр	eʃlærlˈær
каникулларын	qɒniquɫɫɑrˈɯn
сатуда	sɒtudˈɑ
агарган	ɒʁɒrʁˈɑn
майоры	mɒjorˈɯ
китермәсен	kitermæsˈen
теркәлмичә	terkælmiɕˈæ
хезмәткәреннән	xezmætkærennˈæn
чыкмасмы	ɕɯqmɑsmˈɯ
вирусны	wirusnˈɯ
контрольсез	qontroɫʔsˈez
мылтыгын	mɯɫtɯʁˈɯn
Гомумрусия	ʁomumrusijˈæ
Вахитова	wɒxitowˈɑ
Романова	romɑnowˈɑ
чакрымында	ɕɒqrɯmɯndˈɑ
ышанмый	ɯʃɑnmˈɯj
милләттәшләренең	millættæʃlærenˈeŋ
Уралда	urɑɫdˈɑ
дивиденд	diwidˈend
килмәгәч	kilmæɣˈæɕ
кичүләре	kiɕylærˈe
Мөхәммәдсадыйк	mœxæmmædsɑdˈɯjq
ятмаска	jɑtmɑsqˈɑ
Воронин	woronˈin
балакаем	bɒɫɒqɑˈem
дәгъвасын	dæʁʔwɑsˈɯn
староста	stɒrostˈɑ
китермичә	kitermiɕˈæ
тартышу	tɒrtɯʃˈu
Урыны	urɯnˈɯ
хакимиятнең	xɒqimijætnˈeŋ
Бабамның	bɒbɒmnˈɯŋ
миллионлаган	millionɫɑʁˈɑn
чорлардан	ɕorɫɑrdˈɑn
Бәчек	bæɕˈek
Географик	ɣeoʁrɑfˈik
театрының	teɑtrɯnˈɯŋ
књп	qˌɒɫˌetədˈyrtbˌiʃˌeːjpˈe
Проспекты	prospeqtˈɯ
тукталышларда	tuqtɑɫɯʃɫɑrdˈɑ
Сакмар	sɒqmˈɒr
корбанлык	qorbɑnɫˈɯq
канәгатьсезләр	qɒnæʁɑtʔsezlˈær
журналларны	ʒurnɑɫɫɑrnˈɯ
Чейни	ɕejnˈi
Һәйкәлнең	hæjkælnˈeŋ
бөкеләр	bœkelˈær
сәхәр	sæxˈær
гән	ɣˈæn
тәкъдимнәрегез	tækʔdimnæreɣˈez
нанотехнологияләрне	nɒnotexnoɫoʁijælærnˈe
Газетның	ʁɒzetnˈɯŋ
түли	tylˈi
чәчкечләр	ɕæɕkeɕlˈær
Атаң	ɒtˈɒŋ
кыланган	qɯɫɑŋʁˈɑn
түзем	tyzˈem
чыгаруларын	ɕɯʁɑruɫɑrˈɯn
шешәләрне	ʃeʃælærnˈe
урыннардан	urɯnnɑrdˈɑn
инвалидлык	inwɑɫidɫˈɯq
искәртелгән	iskærtelɣˈæn
макетын	mɒqetˈɯn
редактор	redɑqtˈor
бушатып	buʃɑtˈɯp
Малайга	mɒɫɒjʁˈɑ
Даниянең	dɒnijænˈeŋ
фәрманга	færmɑŋʁˈɑ
барысы	bɒrɯsˈɯ
Этнос	etnˈos
эшләгәнлектән	eʃlæɣænlektˈæn
кайберләрен	qɒjberlærˈen
өлкәдәге	œlkædæɣˈe
комитетка	qomitetqˈɑ
сарайны	sɒrɒjnˈɯ
әзербәйҗан	æzerbæjʑˈɑn
Удмуртиядәге	udmurtijædæɣˈe
Сәлимәнең	sælimænˈeŋ
чакырылышның	ɕɒqɯrɯɫɯʃnˈɯŋ
әйләнеше	æjlæneʃˈe
теплицага	teplitsɑʁˈɑ
Очрашу	oɕrɑʃˈu
чаралар	ɕɒrɒɫˈɑr
яшьрәкләр	jæʃʔræklˈær
җаннарны	ʑɒnnɒrnˈɯ
бәхәсе	bæxæsˈe
банкаларга	bɒnqɒɫɑrʁˈɑ
республика	respubɫiqˈɑ
эзлиләр	ezlilˈær
әләмнәр	ælæmnˈær
яңалары	jɑŋɑɫɑrˈɯ
белдерәм	belderˈæm
КВНы	qwnˈɯ
Очып	oɕˈɯp
алары	ɒɫɒrˈɯ
йокыларын	joqɯɫɑrˈɯn
ярылып	jɑrɯɫˈɯp
сүзем	syzˈem
татарлары	tɒtɒrɫɑrˈɯ
ихтыяҗы	ixtɯjɑʑˈɯ
Масленица	mɒsɫenitsˈɑ
предприятиеләрендә	predprijætielærendˈæ
авыртып	ɑwɯrtˈɯp
үлмәгән	ylmæɣˈæn
Юкә	jykˈæ
Дизайн	dizˈɑjn
кәгазьдә	kæʁɑzʔdˈæ
язучы	jɑzuɕˈɯ
кырыкка	qɯrɯqqˈɑ
Мансуровна	mɒnsurownˈɑ
алганнар	ɒɫʁɒnnˈɑr
фотоларын	fotoɫɑrˈɯn
финансланачак	finɑnsɫɑnɑɕˈɑq
үзеңне	yzeŋnˈe
уйламадык	ujɫɑmɑdˈɯq
Табын	tɒbˈɯn
пәрдәлек	pærdælˈek
хикәяләү	xikæjælˈæw
имгәнүләрдән	imɣænylærdˈæn
поэзиясе	poezijæsˈe
чайкады	ɕɒjqɒdˈɯ
пилотсыз	piɫotsˈɯz
Актёрлар	ɒqtjorɫˈɑr
инновацияләргә	innowɑtsijælærɣˈæ
Кайберәүләре	qɒjberæwlærˈe
өлешләп	œleʃlˈæp
шатлыгын	ʃɒtɫɯʁˈɯn
сугым	suʁˈɯm
Доктор	doqtˈor
Ильинка	ilʔinqˈɑ
тоташтырып	totɑʃtɯrˈɯp
трап	trˈɒp
ясалуы	jɑsɑɫuˈɯ
хатны	xɒtnˈɯ
лагерьларның	ɫɒʁerʔɫɑrnˈɯŋ
чибәрләр	ɕibærlˈær
юмарт	jumˈɑrt
кушымтасы	quʃɯmtɑsˈɯ
кабельләр	qɒbelʔlˈær
үткәненә	ytkænenˈæ
Эшнең	eʃnˈeŋ
дарулары	dɒruɫɑrˈɯ
яңалыктан	jɑŋɑɫɯqtˈɑn
Мөхәммәдкә	mœxæmmædkˈæ
Балаңны	bɒɫɒŋnˈɯ
хәлле	xællˈe
керамик	kerɑmˈik
килешәсездер	kileʃæsezdˈer
Галияне	ʁɒɫijænˈe
марш	mˈɒrʃ
Сем	sˈem
Ксения	ksenijˈæ
АТП	ˈɒtp
концертларында	qontsertɫɑrɯndˈɑ
фасылында	fɒsɯɫɯndˈɑ
булмыйк	buɫmˈɯjq
Һәрхәлдә	hærxældˈæ
шинель	ʃinˈelʔ
кызыксындык	qɯzɯqsɯndˈɯq
агрегатлары	ɒʁreʁɑtɫɑrˈɯ
читләштерә	ɕitlæʃterˈæ
Әхмәдиев	æxmædiˈew
азыкларны	ɒzɯqɫɑrnˈɯ
килгәне	kilɣænˈe
кешебез	keʃebˈez
куела	queɫˈɑ
яратуга	jɑrɑtuʁˈɑ
Англиягә	ɒŋʁɫijæɣˈæ
старты	stɒrtˈɯ
җибәрмибез	ʑibærmibˈez
сабые	sɒbɯˈe
башлагыз	bɒʃɫɒʁˈɯz
Мәһдиев	mæhdiˈew
ачыкланмады	ɒɕɯqɫɑnmɑdˈɯ
каршылыгына	qɒrʃɯɫɯʁɯnˈɑ
сиздерә	sizderˈæ
кылларын	qɯɫɫɑrˈɯn
Исламны	isɫɑmnˈɯ
бүлгәннәр	bylɣænnˈær
абитуриентлар	ɒbiturientɫˈɑr
Лондонның	ɫondonnˈɯŋ
Һәркайсының	hærqɑjsɯnˈɯŋ
килде	kildˈe
котыртып	qotɯrtˈɯp
өлгерәләр	œlɣerælˈær
алуыбызга	ɒɫuɯbɯzʁˈɑ
тәгаенләү	tæʁɑenlˈæw
Кайбицкая	qɒjbitsqɑjˈɑ
меңьеллыгын	meŋʔeɫɫɯʁˈɯn
утыру	utɯrˈu
ширкәтләренең	ʃirkætlærenˈeŋ
Җитәкчеләр	ʑitækɕelˈær
промыселы	promɯseɫˈɯ
күрәзәчеләр	kyræzæɕelˈær
Бәйрәмнәрдә	bæjræmnærdˈæ
Сынаулар	sɯnɑwɫˈɑr
ташлыйбыз	tɒʃɫɯjbˈɯz
каравыннан	qɒrɑwɯnnˈɑn
Зорге	zorʁˈe
үтүче	ytyɕˈe
клубтан	qɫubtˈɑn
Кешеләрнең	keʃelærnˈeŋ
агросәнәгать	ɒʁrosænæʁˈɑtʔ
булдырылса	buɫdɯrɯɫsˈɑ
үтер	ytˈer
җыюда	ʑɯjudˈɑ
кереме	keremˈe
Динияр	dinijˈær
иттерүче	itteryɕˈe
Бездәге	bezdæɣˈe
Гобәйдулла	ʁobæjduɫɫˈɑ
Тольяттидан	toɫʔjættidˈɑn
Әзрәк	æzrˈæk
спектакленнән	speqtɑqɫennˈæn
туарга	tuɑrʁˈɑ
натураль	nɒturˈɑɫʔ
