tændt	tˢɛnˀd̥
vovedes	ʋɔwð̩ð̩s
peg	pʰɑjˀ
mund	mɔnˀ
hvidt	vid̥
rådyr	ʁʌd̥yɐ̯ˀ
spøgelse	sb̥øːjɭ̩sə
kærlighed	kaɐ̯liheðˀ
daglig	d̥ɑwli
hedning	heðneŋ
udebliven	uːðəb̥liwˀən
kærne	kʰaɐ̯nə
bryder	b̥ʁyːðɐ
badet	b̥aðˀəd̥
du	d̥uːˀ
korn	kʰokwɐ
galopere	ɡ̊alopʰeːɐ
sanddru	sand̥ʁoˀ
værdiløs	ʋaɐ̯d̥iløˀs
pålægget	pʰʌlɛˀɡ̊əð
ingen	eŋŋ̩
taget	tˢɑwˀð̩
gejstlig	ɡ̊ɑjsli
snæver	snɛwˀa̯
fædrene	fɛðɐnə
låg	lɔˀw
snakke	snɑːɡ̊ə
introducere	entʁ̥od̥useːˀɐ
jættestue	jɛd̥əsd̥uːu
sejl	sɑjˀl
klæder	kʰl̥ɛɐ̯
kjole	kʰj̊oːlə
mørkning	mœ̞ɐ̯ɡ̊neŋ
udelukke	uːðəlɔɡ̊ə
bager	b̥æːɐ
væsentlig	vɛˀsn̩li
farsot	fɑːsoˀd̥
skadestue	sɡ̊æðð̩sd̥uːu
træls	tˢʁ̥ɑls
halve	halvə
gjord	ɡ̊joˀɒ̯
irland	iɐ̯lanˀ
vise	ʋiːsə
symbol	symb̥oːˀl
aktiv	ɑɡ̊tˢiwˀ
briste	b̥ʁɛsd̥ə
vuf	ʋuf
randt	ʁɑnˀd̥
råbt	ʁʌb̥d̥
rose	ʁoːsə
stikke	sd̥eɡ̊ə
menneskene	mɛnsɡ̊nə
skjold	sɡ̊jʌlˀ
alen	æːln̩
åg	ɔːˀw
jernbaneoverskæring	jæɐ̯nb̥æːnəɒʊ̯ʌsɡ̊ɛɐ̯ˀeŋ
stækker	sd̥ɛɡ̊ɐ
lommetørklæde	lʌmətˢɶɐ̯kʰl̥ɛːðə
rase	ʁɑːsə
soludbrud	soːluð̠ˠb̥ʁuð̠ˠ
bur	b̥uɐ̯ˀ
stege	sd̥ɑjə
gyde	ɡ̊yːðə
fornem	fɒːnɛmˀ
tryk	tˢʁ̥œɡ̊
kejthåndet	kʰɑjd̥hʌnˀəð
miljø	miljø
tretten	tˢʁ̥ad̥n̩
tør	tˢɶɐ̯ˀ
kirtel	kiɐ̯dəl
uskreven	usɡ̊ʁæˀʋn̩
vølve	vœlvə
mange	mɑŋə
røven	ʁœːʊn
stikkelsbær	sd̥eɡ̊əlsb̥æɐ̯
kvarter	kʰʋ̥ɑːd̥ɐ
drog	d̥ʁowˀ
krukke	kʰʁɔɡ̊ə
opsigt	ʌb̥seɡ̊d̥
kastel	kʰasd̥ɛlˀ
retter	ʁɑd̥ɐ
vovede	ʋɔːʋð̩ð̩
oliven	oliwˀn̩
bæ	b̥ɛːˀ
efter	ɛfd̥ɐ
løkke	løɡ̊ə
stue	sd̥uːu
høne	hœːnə
beskrive	b̥esɡ̊ʁiˀʋə
forsømme	fʌsœmˀə
læge	lɛːɪ
forbyden	fɒb̥yˀðən
kredsen	kʰʁ̥ɛːˀsn̩
træl	tˢʁ̥alˀ
lille	lill̩
skrævet	sɡ̊ʁawˀəð
fluor	fluːɐ
varsom	vɑːsɒmˀ
kæreste	kʰaːɐsd̥ə
fremmed	fʁamð̩
svoren	sʋ̥oːɐn
pokker	pʰʌɡ̊ɐ
taget	tˢæðˀð̩
neutrum	nœwtˢʁ̥ɔm
kludre	kʰluðʁɐ
ørn	œ̞ɐ̯ˀn
dreven	d̥ʁæwn̩
shampoo	ɕæːmpʰuː
bær	b̥ɛˀɐ̯
gratis	ɡ̊ʁɑːd̥is
portugisisk	pʰɒtˢuɡ̊iːˀsisɡ̊
pinje	pʰinjə
tillid	tˢeliðˀ
håbe	hɔːb̥ə
mangen	mɑŋən
bræt	b̥ʁad̥
periodisk	pʰæɐ̯ioːˀðisɡ̊
messehagel	mɛsəhæˀjl̩
ottesang	ʌd̥əsɑŋˀ
trolig	tˢʁ̥oːli
sluge	sluːə
supert	suˀb̥ɐd̥
vallak	valɑk
rejst	ʁɑjˀsd̥
låne	lɔːnə
spændets	sb̥ɛnð̩s
fjeld	fjɛlˀ
kartoffel	katˢʌfəl
smitte	smid̥ə
værk	ʋaɐ̯ɡ̊
elitær	elitˢɛːˀɐ̯
zucchini	sukʰiːni
primær	pʰʁ̥imɛːˀɐ̯
vældig	velti
arme	ɑːmə
rygrad	ʁœɡ̊ʁɑð
vist	ʋesd̥
vals	valˀs
tyggede	tˢyɡ̊əðə
skelen	sɡ̊eːlən
grundlovsdag	ɡ̊ʁɔnlɒwsdæːˀ
sørøver	søʁœ̞ːwɐ
kvit	kʰvid̥
stedfar	sd̥efɑː
indianer	ind̥ijæˀnɐ
boner	b̥ʌŋɐ
strejf	sd̥ʁɑjˀf
pokeransigt	pʰoːˀɡ̊ɐanseɡ̊d̥
strande	sd̥ʁɑnə
stjæle	sd̥jɛːlə
analsex	anæːˀlsɛɡ̊s
kusk	kʰusɡ̊
dav	d̥ɑwˀ
kløve	kʰløːvə
smage	smæːæ
sigt	seɡ̊d̥
beløb	beløːˀb̥
højre	hʌjʁɐ
primær	pʰʁ̥iːmɛːˀɐ̯
stol	sd̥oːˀl
forræderi	fʌʁɛðɐʁiˀ
hænde	hɛnə
hud	huð
højtaler	hʌjtˢæːˀlɐ
gerningssted	ɡ̊æɐ̯neŋssd̥ɛð
jeget	jɑjˀəð
trods	tˢʁ̥ʌs
tresindstyve	tˢʁ̥ɛsn̩stˢyːʋə
fængslet	fɛŋsləð
berøringsangst	pe̝ʁɶɐ̯ˀiŋsɑŋˀst
blodlegeme	b̥loðlɛːɪmə
sulten	suld̥ən
gulerod	ɡ̊uləʁoˀð
strå	sd̥ʁɔːˀ
lagte	lɑɡ̊d̥ə
vindruekerneolie	ʋind̥ʁuːəkʰæɐ̯nəoljə
varetægt	ʋɑːɑtˢɛɡ̊d̥
troposfære	tˢʁ̥ob̥ʌsfɛːɐ
samsø	sɑmˀsøːˀ
syerske	syːˀɐsɡ̊ə
dufte	d̥ɔfd̥ə
bredderne	b̥ʁæˀd̥ɐnə
angreb	anɡ̊ʁɛˀb̥
bagt	b̥ɑɡ̊d̥
smagt	smɑɡ̊d̥
sene	seːnə
urt	uɐ̯d̥
vægt	ʋɛɡ̊d̥
nektar	nɛɡ̊tˢɑːˀ
agt	ɑɡ̊d̥
frøs	fʁ̥œˀs
revolutionere	ʁɛvoluɕoneːˀɐ
vært	ʋaɐ̯d̥
marker	mɑkʰeˀɐ̯
afledte	ɑwleˀd̥ə
bæven	b̥ɛːʋən
topologi	tˢob̥oloɡ̊iːˀ
fyn	fyːˀn
synge	søŋə
storbritannien	sd̥oɐ̯b̥ʁitˢanˀjən
nicolai	neɡ̊olaɪ̯
domkirke	d̥ʌmkʰiɐ̯ɡ̊ə
fagidiot	fɑwidioˀd̥
mødtes	møːd̥əs
numre	nɔmʁɐ
hundestjernen	hunəsd̥jæɐ̯nən
fuldtallig	fultˢalˀi
epistemologi	episdəmoloɡiˀ
lås	lɔːˀs
bugne	b̥uːnə
træt	tˢʁ̥ɑd̥
gryr	ɡ̊ʁyɐ̯ˀ
besk	b̥eːˀsɡ̊
fag	fæˀ
annektering	anɛɡ̊tˢeːˀɐ̯eŋ
bor	b̥oɐ̯ˀ
scene	seːnə
race	ɹɛjs
mær	mæɐ̯ˀ
rust	ʁɔsd̥
gemte	ɡ̊ɛmˀd̥ə
anordne	anɒˀd̥nə
brændte	b̥ʁɑnd̥ə
luder	luðˀɐ
sverige	sʋ̥aɐ̯ˀjə
lave	læːʋə
kompleks	kʰʌmpʰl̥ɛɡ̊s
kanapé	kʰanapʰe
lemfældig	lɛmfɛlˀd̥i
messe	mɛsə
grad	ɡ̊ʁɑðˀ
ile	iːlə
akkumulere	ɑkʰumuleːˀɐ
ålborg	ʌlb̥ɒːˀ
værgen	ʋaɐ̯wɐn
hamstrere	hɑmsd̥ʁɐɐ
alfons	alfʌŋs
dette	d̥ɛd̥ə
forfængelig	fʌfɛŋˀŋ̩li
æter	ɛˀd̥ɐ
øjebæ	ʌːɪpeˀ
maj	mɑj
kere	kʰeːɐ
linned	lenəð
klynge	kʰløŋə
ha	hɑ
larme	lɑːm̩
antropomorf	antˢʁ̥opʰomɒːf
puddel	pʰuðˀəl
stødte	sd̥ød̥ə
frelste	fʁɑlˀsd̥ə
mørkhudet	mɶɐ̯ɡ̊huðˀəd̥
forsøgt	fʌsøɡ̊d̥
datid	d̥atˢiðˀ
kæmpehagl	kʰɛmb̥ehɑwˀl
ophobe	ʌb̥hoːb̥ə
kredse	kʰʁ̥æːsə
fløjl	flʌjˀl
kløver	kʰløːˀvɐ
knap	kʰnɑb̥
imellem	imɛlˀəm
vagtelkonge	vɑɡ̊d̥əlɡ̊ʰʌŋə
stød	sd̥øˀð̞
tolkning	tˢʌlɡ̊neŋ
kludder	kʰluðˀɐ
måttet	mʌd̥əð
tilfredsstillende	tˢefʁɛssd̥elˀənə
abstrakt	ɑpstχakt
alting	alˀtˢeŋ
jernet	jaɐ̯ˀnəð
hørfrøolie	hɶɐ̯fʁœoljə
skyter	sɡ̊yd̥ɐ
væg	ʋɛːˀɡ̊
tape	tˢɛjb̥
gnide	ɡ̊niːð̩
vrøvle	ʋʁɶwlə
procent	pʁ̥osɛnˀd̥
leverpostej	lewˀʌposdɑjˀ
offentligt	ʌfənd̥lid̥
harve	hɑːwə
ankomst	ankʰʌmˀsd̥
pund	pʰunˀ
pragt	pʰʁ̥ɑɡ̊d̥
samvær	sɑmʋɛɐ̯ˀ
gang	ɡɑ̃ˀ
værger	ʋaɐ̯wɐ
faren	fɑːɑn
bomber	b̥ɔmb̥ɐ
vilje	ʋiljə
sideordning	siːðəɒːd̥neŋ
åd	ʌˀð̞
blomstre	b̥lʌmsd̥ʁɐ
olav	olɑw
krydderbolle	kʰʁ̥yðɐb̥ʌlə
svær	sʋ̥ɛˀɐ̯
lyserødt	lysəʁœd
udyr	udyɐ̯ˀ
prosadigt	pʰʁ̥oːsad̥eɡ̊d̥
søsters	søsd̥ɐs
ignoreret	inoʁɛˀɐð
skille	sɡ̊elə
tankegods	tˢɑŋɡ̊əɡ̊ɔs
abrikos	ɑb̥ʁikʰoːˀs
våd	ʋɔðˀ
sværd	sʋɛɐ̯ˀ
kanonisere	kanoniseˀʌ
lækker	lɛɡ̊ɐ
sol	soːˀl
ful	fuˀl
hjalp	jalˀb̥
fjern	fjæɐ̯ˀn
gives	ɡ̊iˀs
italesætte	itˢæːləsɛd̥ə
vinke	viŋɡ̊ə
regler	ʁɛjˀlɐ
forårsagtig	fɒːɒsɑɡ̊d̥i
forgæves	fʌɡ̊ɛːˀvəs
ketchup	kʰɛd̥ɕub̥
overveje	ɒwɐʋɑjˀə
tun	tˢuːˀn
drømmeverdner	d̥ʁɶməʋaɐ̯d̥nɐ
tit	tˢid̥
udenlandsk	uðð̩nlanˀsɡ̊
skildpadde	sɡ̊elpʰaðð̩
lært	læɐ̯ˀd̥
billig	b̥ili
rygning	ʁyːneŋ
slæber	slɛːb̥ɐ
kvartal	kʰʋ̥ɑtˢæˀl
grene	ɡ̊ʁæːnə
tud	tˢuðˀ
maniodepressiv	mæːˀnjod̥epʰʁ̥ɛsiwˀ
fede	feːðə
kvalte	kʰʋ̥æːld̥ə
frankisk	fʁɑŋˀkʰisɡ̊
prægnant	pʰʁ̥ɛjnanˀd̥
halvmåne	halmɔːnə
sniksnak	sneɡ̊snɑɡ̊
spurgt	sb̥oɐ̯ˀd̥
ulk	ulˀɡ̊
terræn	tˢaʁaŋ
østtysk	øsd̥tˢysɡ̊
furore	fuʁoːɐ
sværd	sʋɛˀɐ̯
falde	falə
stort	sd̥oˀɐ̯d̥
kolonorm	kʰolonɑːˀm
voves	ʋɔːʋəs
nigger	neɡ̊ʌ
erstatning	aɐ̯sd̥ad̥neŋ
boner	b̥oːnɐ
ugedag	uːd̥æːˀ
kong	kʰʌŋ
stræbe	sd̥ʁæːb̥ə
imidlertid	imið̠ˠˀlʌtið̠ˠˀ
sørger	sɶːɐ
bestjæle	b̥esd̥jɛˀlə
mørkeræd	mɶɐ̯ɡ̊əʁɑðˀ
kaudervælsk	kʰɑwd̥ɐvɛlˀsɡ̊
skønne	sɡ̊œnə
arrestere	ɑɑsd̥eˀɐ
billige	b̥ilii
universitet	uniʋaɐ̯sitˢeˀd̥
seddel	sɛðˀl̩
regel	ʁæˀl
ritual	ʁituæˀl
ledning	leðneŋ
konkurs	kʰʌŋkʰuɐ̯ˀs
skotskternet	sɡ̊ʌd̥sɡ̊tˢæɐ̯ˀnəð
skod	sɡ̊ʌð
stjålet	sd̥jʌlð̩
magert	mæˀjɐd̥
gør	ɡ̊ø̞ˀɐ̯
garn	ɡ̊ɑːˀn
syvende	sywˀənə
boring	b̥oːɐ̯eŋ
kræve	kʰʁ̥æːʋə
mager	mæˀɡ̊ɐ
ligge	leɡ̊ə
uhørt	uhøɐ̯ˀd̥
forrest	fɒːˀɒsd̥
platfodet	pʰlad̥foːˀðəd̥
snakke	snɑɡ̊ə
ræve	ʁæːwə
bon	b̥oˀn
skærm	sɡ̊aɐ̯ˀm
hunner	hunˀɐ
overnatte	ɒwɐnad̥ə
ungdom	ɔŋd̥ʌm
mareridt	mɑːɑʁid̥
fred	fʁ̥æˀð
hov	hɒw
flyve	fl̥yːʊ
periskop	pʰeɐ̯isɡ̊oːˀb̥
mere	meːɐ
hendes	henəs
acetone	asətˢoːnə
ring	ʁæŋˀ
lymfe	lømfə
micelle	miselə
for	fʌ
loven	lɔˀʋn̩
vanvittig	ʋanʋid̥i
nogen	noːn
agurk	akuɐ̯k
vækkes	ʋɛɡ̊əs
kykkeliky	kʰyɡ̊əlikʰyː
palaver	pʰalɒwˀɐ
dæmon	d̥ɛmoːˀn
uartig	uɑːˀd̥i
amagerkaner	ɑmɑkæːˀnɐ
morgenmad	mɒːɒnmað
kejsersnit	kʰɑjsɐsnid̥
ydre	yðʁɐ
deres	d̥aɐs
røve	ʁɶːʊ
forhåbentlig	fʌhɔˀb̥ənd̥li
udeblive	uːðəb̥liwˀə
kreta	kʰʁ̥ɛːtˢa
smitte	smed̥ə
døber	d̥øːb̥ɐ
stjålet	sd̥jɔːlð̩
tryg	tˢʁ̥œ̞ɡ̊
bade	b̥æːðə
græde	ɡ̊ʁɑðð̩
påklædt	pʰʌkʰl̥ɛˀd̥
straf	sd̥ʁɑf
løse	løːsə
ansætte	ansɛd̥ə
velsmagende	ʋelsmɛˀɪnə
aramæer	ɑɑmɛːˀɐ
skæbne	sɡ̊ɛːb̥nə
ha	ha
tyfus	tˢyfus
kontinuitet	kʰʌntˢinuitˢeːˀd̥
god	ɡ̊oðˀ
huslig	husli
accenten	ɑɡ̊sɑŋˀŋ̩
indbilde	enb̥ilˀə
klædt	kʰl̥ɛˀd̥
magert	mæˀɐd̥
filolog	filoloˀ
gravid	ɡ̊ʁɑviðˀ
lov	lɒw
olddansk	ʌld̥anˀsɡ̊
løbe	løːb̥ə
himmelstormer	heml̩sd̥ɒːmɐ
nicolaj	neɡ̊olaɪ̯
hovedsagelig	hoːð̩sæˀli
kæmpe	kʰɛmb̥ə
bøvlet	b̥œwˀlð̩
diger	d̥iːˀɐ
panser	pʰanˀsɐ
hundreder	hunɐðɐ
fork	fɒːɡ̊
svindle	svenlə
bliver	b̥liwˀɐ
latinsk	latˢiˀnsɡ̊
utøj	utˢʌj
længtes	lɛŋd̥əs
træn	tˢʁ̥æˀn
elg	ɛlˀj
holdt	hʌlˀd̥
drog	d̥ʁɒw
værge	ʋaɐ̯ʊ
afstemning	ɑwsd̥ɛmˀneŋ
kænguru	kʰɛŋɡ̊uːʁu
veer	ʋeːˀɐ
advent	aðvɛnˀd̥
tabe	tˢæːb̥ə
forgårs	fɒːɡ̊ɒːˀs
nødvendigvis	nøðʋɛnˀd̥iʋiˀs
led	leˀð
rasmussen	ʁɑsmusn̩
grev	ɡ̊ʁæʊ
skakbrik	sɡ̊ɑɡ̊b̥ʁeɡ̊
bæger	b̥ɛːjɐ
juveler	juvɘleːˀɐ̯
stræbte	sd̥ʁɑb̥d̥ə
grænse	ɡ̊ʁansə
vorder	ʋɒːd̥ɐ
afholder	ɑwhʌlˀd̥ɐ
sakse	sɑɡ̊sə
andemad	anəmað
standard	sd̥and̥ɑːˀd̥
bed	b̥eðˀ
forbuden	fɒb̥uˀðən
glimt	ɡ̊lemˀd̥
niti	nitˢi
forbud	fɒːb̥uð
frokost	fʁ̥ɔɡ̊ʌsd
beholdtes	b̥ehʌlˀd̥əs
fjært	fjæɐ̯ˀd̥
århus	ɒːhuˀs
ræsonnere	ʁæsoneˀɐ
udsagnsord	uðsɑwnsoɐ̯ˀ
jøde	jøːð̩
encyklopædi	ɑŋsykʰlopʰəd̥iːˀ
døgn	d̥ʌjˀn
napoleonshat	napʰoːˀljʌnshad̥
drager	d̥ʁɑːwɐ
vrede	ʋʁɛːðˠə
kræfter	kʰrafd̥ɐ
cigaret	siɡ̊aʁad̥
kogger	kʌɡ̊ɐ
bronze	b̥ʁʌŋsə
økse	øɡ̊sə
vogn	ʋɒwˀn
flyver	flyˀʋɐ
træder	tˢʁ̥ɑðˀə
har	hɑˀ
erantis	eʁɑntˢis
silikone	silikʰoːnə
sølvgrå	sølɡ̊ʁɔːˀ
ha'	ha
enfold	eːnfʌlˀ
slibe	sliːb̥ə
døber	d̥øˀb̥ɐ
karakter	kʰɑɑɡ̊tˢeːˀɐ̯
sne	sneˀ
delagtig	d̥elɑɡ̊d̥i
danskere	d̥ansɡ̊ɐɐ
krævet	kʰʁ̥æðð̩
skam	sɡ̊ɑmˀ
skønlitteratur	sɡ̊œnlid̥əʁɑtˢuɐ̯ˀ
job	d̥jʌb̥
luft	lɔfd
søle	søːlə
kysk	kʰysɡ̊
ad	að
accenters	ɑɡ̊sɑŋˀɐs
skærer	sɡ̊ɛɐ̯
hovedbanegård	hoːðb̥æːnɡ̊ɒˀ
mele	meːlə
quiz	kʰvis
juridisk	juʁiˀðisɡ̊
giver	ɡ̊iːwɐ
gennem	ɡ̊ɛmˀm̩
skræddermester	sɡ̊ʁaðɐmɛsd̥ɐ
forlig	fʌliˀ
kraftværk	kʰʁ̥ɑfd̥ʋaɐ̯ɡ̊
dig	d̥ɑ
svigte	sʋeɡ̊d̥ə
troposfære	tˢʁ̥ob̥osfɛːɐ
dogme	d̥ɒwmə
østkyst	øsd̥kʰøsd̥
angstskrig	ɑŋˀsd̥sɡ̊ʁiˀ
parker	pʰɑkʰeɐ̯ˀ
undrer	ɔnd̥ʁɐ
drikkepenge	d̥ʁeɡ̊əpʰɛŋŋ̩
fjor	fjoɐ̯ˀ
fyrstedømme	fyɐ̯sd̥əd̥œmə
hjemve	jɛmveːˀ
score	sɡ̊oːɐ
grube	ɡ̊ʁuːb̥ə
kendte	kɛnd̥ə
candyfloss	kʰæːnd̥iflʌs
stridbar	sd̥ʁiðb̥ɑːˀ
blå	b̥lɔːˀ
trænge	tˢʁ̥aŋə
våde	ʋɔðð̩
pinselilje	pʰensəliljə
nyse	nyːsə
presse	pʰʁ̥asə
danefæ	d̥æːnəfɛˀ
værne	ʋaɐ̯nə
tab	tˢæwˀ
så	sɔˀ
høretelefon	høːɐtˢeləfoˀn
sørget	sɶːɐð
ir	iɐ̯ˀ
androide	and̥ʁoiːðə
butikkerne	b̥utˢiɡ̊ɐnə
lærer	læːɐ
hun	hun
lyshåret	lyshɒˀɒð
gade	ɡ̊æːðə
døtre	d̥ød̥ʁɐ
formular	fɒmulɑːˀ
hudfarve	hufɑːvə
slæbte	slɛb̥d̥ə
slæbe	slɛːʊ
fabel	fæːˀb̥əl
vagt	væˀjd̥
hinduisme	hend̥uismə
tyvende	tˢywnə
havre	hɑwʁɐ
råb	ʁɔwˀ
lugt	lɔɡ̊d̥
afskrift	awsɡ̊ʁæfd̥
dagligvarerne	d̥ɑwliʋɑːɑnə
kongeblå	kʰʌŋəb̥lɔːˀ
sprog	sb̥ʁɔwˀ
bekendelse	b̥ekʰɛnˀl̩sə
reje	ʁɑjə
tøjet	tˢʌjˀəð
campingvogn	kambeŋvɔu̯ˀn
hudløs	huðløːˀs
munken	mɔŋˀɡ̊ən
haler	hæːlɐ
hinden	henn̩
hik	heɡ̊
historie	hisd̥oɐ̯ˀjə
ferie	feɐ̯ˀiə
karle	kʰæːlə
dyne	dyːnə
tjenlig	tɕɛːnli
udvikling	uðveɡ̊leŋ
svire	sviːɐ
værnemager	ʋaɐ̯nəmæˀjɐ
takke	tˢɑɡ̊ə
pornofilm	pʰɒːnofilm
elv	ɛlˀʋ
guddom	ɡ̊uðd̥ʌmˀ
traffes	tˢʁ̥ɑfəs
styret	sd̥yˀɐð
bibliotek	bibliotˢeˀɡ
øverst	øˀʋɐsd̥
slurk	sluɐ̯ˀɡ̊
svide	sʋiːðə
komme	kʰʌmə
saften	sɑfd̥n̩
flugt	flɔɡ̊d̥
eskimoisk	ɛsɡ̊imoːˀisɡ̊
jer	jaɐ̯
krav	kʰʁ̥ɑˀw
god	ɡ̊oˀð
doktor	d̥ʌɡ̊d̥ɐ
lærerne	lɛːɐnə
vrøvlende	ʋʁɶwl̩nə
brud	b̥ʁuˀð
fed	feːˀð
afledt	ɑwleˀd̥
juletræ	juːlətˢʁ̥ɛːˀ
bryllup	b̥ʁœlɔb̥
forligelig	fʌliˀili
skæl	sɡ̊ɛlˀ
demontere	d̥emɔntˢeːˀɐ
sejle	sɑjlə
træffende	tˢʁ̥ɑfənə
rør	ʁœ̞ɐ̯ˀ
høst	høsd̥
jøde	jøːðə
tjørn	tɕɶɐ̯ˀn
pædofil	pʰɛd̥ofiːˀl
pap	pʰɑb̥
spotte	sb̥ʌd̥ə
lignelse	liːnəlsə
skaffe	sɡ̥ɑfə
ende	ɛnn̩
spredte	sb̥ʁɛːd̥ə
brugte	b̥ʁɔɡ̊d̥ə
sørg	sɶwˀ
kendetegn	kʰɛnətˢɑjˀn
onsdag	ɔnˀsd̥a
idræt	iːdʁad̥
dem	b̥m̩
fyrre	fɶɐ̯ɐ
mose	moːsə
levn	lɛwˀn
bog	b̥ɔwˀ
gale	ɡ̊æːlə
unyttig	unød̥i
ludder	luðˀɐ
kor	kʰoɐ̯ˀ
hvil	viːˀl
videnskab	ʋiðˠn̩sɡ̊æːˀb̥
indimellem	enˀimɛlˀəm
overlagt	ɒwɐlɑɡ̊d̥
magt	mɑɡ̊d̥
tappe	tˢɑb̥ə
påske	pʰɔːsɡ̊ə
fond	fʌnˀd̥
årlig	ɒːli
fotografer	fod̥oɡ̊ʁɑfeɐ̯ˀ
halvtreds	haltˢʁ̥æs
unge	ɔŋə
lakonsk	lakʰoˀnsɡ̊
flyder	flyðˀɐ
oldgræske	ʌlɡ̊ʁɑsɡ̊ə
brunche	b̥ɹʌnɕə
tæt	tˢɛd̥
bageri	b̥æɪ̯ɐʁiːˀ
ælling	ɛleŋ
chok	ɕʌɡ̊
sliber	sliːb̥ɐ
akkumulator	ɑkʰumulæːtˢɐ
allegori	aləɡ̊oʁiˀ
tøs	tˢøːˀs
søsteren	søsd̥ɐɐn
slutspurt	slud̥sb̥uɐ̯ˀd̥
et	ed̥
avle	ɑwlə
viborg	vib̥ɒˀ
henriette	hɛnʁiɛd̥ə
neje	nɑjə
interesse	entˢɐˀʁɑsə
aktie	ɑɡ̊ɕə
etage	etˢæːɕə
håndklæde	hʌŋkʰl̥ɛːðə
cykler	syɡ̊lɐ
tyr	tˢyˀɐ̯
lilje	liljə
stinkdyr	sd̥eŋɡ̊d̥yɐ̯ˀ
sandwich	sanwid̥ɕ
berette	b̥eʁɑd̥ə
spejle	sb̥ɑjlə
fiktion	fiɡ̊ɕoˀn
prøve	pʰʁ̥œːʊ
vækket	ʋɛɡ̊əð
jernene	jaɐ̯ˀnənə
ædru	ɛːd̥ʁuˀ
farao	fɑːʁɑo
sukkervand	sɔɡ̊ɐvanˀ
mæslinger	mɛsleŋɐ
række	ʁaɡ̊ə
å	ɔˀ
glo	ɡ̊loːˀ
herkomst	haɐ̯kʰʌmˀsd̥
ror	ʁoɐ̯ˀ
armhule	ɑːmhuːlə
penning	pʰɛneŋ
old	ʌlˀ
drue	d̥ʁuːə
post	pʰʌsd̥
gjord	ɡ̊joɐ̯ˀ
tommel	tˢʌml̩
sagn	sɑwˀn
højtysk	hʌjtˢysɡ̊
kilder	kʰilɐ̯
vækker	ʋɛɡ̊ɐ
sylte	syld̥ə
telefon	tˢeləfoːˀn
råer	ʁɔˀɐ
termin	tˢæɐ̯miːˀn
bord	b̥oɐ̯ˀ
gave	ɡ̊æːʋə
fjols	fjʌlˀs
vundne	vɔnnə
ler	leɐ̯ˀ
ekstra	ɛɡ̊sd̥ʁɑ
klædes	kʰl̥ɛːðəs
lever	leʋeɐ̯ˀ
propel	pʰʁ̥opɛlˀ
vej	ʋɑjˀ
veje	ʋɑjə
klage	kʰl̥æːæ
størst	sd̥ɶɐ̯sd̥
bevægelse	b̥evɛˀl̩sə
hov	hɒwˀ
pikhoved	pʰeɡ̊hoːðð̩
overlægge	ɒwɐlɛɡ̊ə
brille	b̥ʁɛlə
diplomat	d̥ipʰl̥omæːˀd̥
tjære	tɕɛːɐ
krokodilletåre	kʁɔɡədilətɒːɒ
koreansk	kʰoɐ̯eæːˀnsɡ̊
brugs	b̥ʁuˀs
offentligt	ʌfn̩lid̥
spektakel	sb̥etˢɑɡ̊əl
prioritere	pʁiɒiteˀɐ
embede	ɛmb̥eːðð̩
viske	ʋesɡ̊ə
gebrokkent	ɡ̊eb̥ʁʌɡ̊ŋ̩d̥
latin	latˢin
gensidig	ɡ̊ɛnsiðˀi
safir	safiɐ̯ˀ
naust	nɑʊ̯ˀsd̥
ivrig	iwri
drevne	d̥ʁæwnə
regnskab	ʁɑjnsɡ̊æˀb̥
romersk	ʁoˀmɐsɡ̊
væv	ʋɛˀw
glæde	ɡ̊lɛːðə
mandag	manˀd̥a
ældst	ɛlˀsd̥
køleskab	kʰøːləsɡ̊æːˀb̥
højtaler	hʌjtˢæːlɐ
haitianer	haitˢiæːˀnɐ
vågen	ʋɔːʊn
grov	ɡ̊ʁɒwˀ
pose	pʰoːsə
fotografer	fotˢoɡ̊ʁɑfeɐ̯ˀ
kommen	kʰʌmm̩
nedsættende	neðsɛd̥ənə
værste	ʋaɐ̯sd̥ə
abbedisse	ɑb̥ed̥isə
færøsk	fɛɐ̯øːˀsɡ̊
forresten	fʌʁɑsd̥n̩
løgn	lʌjˀn
yt	yd̥
niks	neɡ̊s
hornhinde	hoɐ̯nhenə
spøge	sb̥øːɪ
frivillig	fʁ̥iʋilˀi
strakt	sd̥ʁɑɡ̊d̥
skær	sɡ̊ɛɐ̯ˀ
grine	ɡ̊ʁiːnə
nørrebro	nœ̞ɐ̯ɐb̥ʁoːˀ
metodisk	metˢoːˀðisɡ̊
bøvle	b̥œwlə
juleaften	juːləɑfd̥n̩
butikker	b̥utˢiɡ̊ɐ
kransekage	kʁ̥ɑnsəkʰæːjə
forlyde	fʌlyðˀð̩
bæve	b̥ɛːvə
bekendte	b̥ekʰɛnˀd̥ə
efterspørgsel	ɛfdɐsbɶɐ̯ˀsəl
athene	atˢeːnə
svigermor	sʋ̥iˀɐmoɐ̯
ståen	sd̥ɔːən
kommer	kʰʌmˀɐ̯
fryse	fʁ̥yːsə
bekendt	b̥ekʰɛnˀd̥
står	sd̥ɒˀ
ener	eːˀnɐ
nøs	nøːˀs
spartansk	sb̥ɑtˢæˀnsɡ̊
ignorere	inoʁɛˀɐ
kulturrevolution	kʰultˢuɐ̯ˀʁɛvoluɕoːˀn
