gibraltarski	ɡǐbraltarskiː
zamjeriti	zǎːmjeriti
kapriciozan	kâprit͡sioːzan
analgezija	anǎlɡeːzija
astronomija	astronǒmija
raznovrstan	raznǒʋrstan
skaredan	skâredan
verzirano	ʋěrziːrano
australijanac	australijǎːnat͡s
sagledavati	saɡledǎːʋati
anglist	ǎnɡlist
stetoskop	stêtoskop
potpredsjednik	potprěːdsjedniːk
sinkopa	sinkǒpa
biheviorizam	bixeʋiorǐzam
krišom	krîːʃom
tenkovski	těnkoʋskiː
arijka	âːriːjka
tugaljivo	tuɡǎʎiʋo
šipražje	ʃǐpraːʒje
blesak	blêːsak
ručak	rǔːt͡ʃak
maloletnički	mâloletnit͡ʃkiː
parodija	pǎroːdija
mnenje	mněːɲe
ožiljak	ǒʒiʎak
rukovodstvo	rukoʋǒdstʋo
ne	ne
pojedinačan	pojedǐnat͡ʃan
gurnuti	ɡûrnuti
dostizati	dǒstizati
lihtenštajn	lîxtenʃtajn
efemeran	êfemeːran
tijesan	tjěːsan
kuknjava	kǔkɲaʋa
ustrojavati	ustrojǎːʋati
jevrejin	jěʋrejin
raskrštati	raskřːʃtati
flajš	flâjʃ
anegdotičan	aneɡdǒtit͡ʃan
okolišati	okolǐʃati
svuda	sʋǔda
konoplja	kǒnopʎa
udaljavati	udaʎǎːʋati
bezuspešan	bezǔspeʃan
suvlasnik	sǔʋlaːsniːk
kredit	krědiːt
podstrizati	podstrǐːzati
sinov	sîːnoʋ
selfi	sělfiː
nestabilan	nêstabiːlan
omiški	ǒmiːʃkiː
zimovati	zimǒʋati
ašik	ǎʃik
jednoličan	jednǒlit͡ʃan
bilje	bîːʎe
panteistički	panteǐstitʃkiː
ljubitelj	ʎǔbiteʎ
uzjahivati	uzjaxǐːʋati
izobilje	îzobiːʎe
kristalografija	kristaloɡrǎfija
didaktika	didǎktika
uvežbavati	uʋeʒbǎːʋati
igračica	iɡrǎt͡ʃit͡sa
neopipljiv	neopǐpʎiʋ
promrsiti	promřːsiti
sahranjivati	saxraɲǐːʋati
svagda	sʋâɡda
mandarinski	mandǎriːnski
jabučni	jâbut͡ʃniː
filc	fîlt͡s
smenjivati	smeɲǐːʋati
tekstil	těkstiːl
vješač	ʋjěʃaːt͡ʃ
divan	dîːʋan
analiza	analǐːza
dama	dǎːma
važnost	ʋǎːʒnoːst
utrnuće	utrnǔːt͡ɕe
ptičica	ptît͡ʃit͡sa
grabulje	ɡrâbʎe
motriti	mǒtriti
sekretarski	sekrětaːrskiː
dvadesetak	dʋadesěːtak
inšalah	ǐnʃalaːx
gudura	ɡǔdura
nauditi	nǎuditi
nadjačavati	nadjat͡ʃǎːʋati
doista	dôista
zeugma	zeǔɡma
cerekati	t͡serěkati
uvoznik	ǔːʋozniːk
izumrijeti	izǔmrjeːti
baku	bǎku
otporan	ǒtpoːran
preživjeti	preʒǐːʋjeti
malen	mǎlen
knjiški	kɲîʃki
blebnuti	blêbnuti
primati	prǐːmati
split	splît
svitak	sʋǐːtak
piliti	pǐːliti
popustljivo	popǔstʎiʋo
samotan	sâmotan
saudijac	saudǐːjat͡s
oslobađati	oslobǎːd͡ʑati
retko	rêːtko
samooplodnja	samooplǒdɲa
nevino	nêʋiːno
ravnomerno	râʋnomeːrno
čivit	t͡ʃiʋit
loptati	lôptati
srditi	sřːditi
klavijatura	klaʋijatǔːra
dekan	děkaːn
nemaštovit	nemaʃtǒʋit
označavati	oznat͡ʃǎːʋati
profitirati	profitǐːrati
australijanski	australǐjaːnskiː
tupoglavost	tupǒɡlaʋoːst
sudanac	sudǎːnat͡s
akcent	ǎkt͡sent
kurs	kûrs
krašićki	krâʃit͡ɕkiː
interval	intěrʋaːl
gurav	ɡûraʋ
telić	tělit͡ɕ
jednodelni	jêdnodeːlniː
poplašiti	pǒplaʃiti
taktni	tâktniː
šelf	ʃêlf
grad	ɡrâːd
krist	krîst
def	dêf
nepouzdan	nêpouzdaːn
stogodišnjica	stoɡǒdiʃɲit͡sa
tambura	tǎmbura
izvjestan	îzʋjestan
mjerilo	mjêrilo
skot	skôt
pobeljivati	pobeʎǐːʋati
konformizam	konformǐzam
savjetnik	sǎːʋjetniːk
blenuti	blênuti
planski	plâːnskiː
uživalac	uʒǐʋalat͡s
ljetina	ʎêtina
plodored	plôdoreːd
bezbožnost	bězboʒnoːst
nelagodno	nêlaɡodno
pregibati	preɡǐːbati
oligarhijski	oliɡǎrxiːjski
fiziolog	fiziǒloɡ
uočljivost	uǒt͡ʃʎiʋoːst
junački	jǔnaːtʃki
humoristički	xumorǐstit͡ʃki
mi	mîː
vjesnik	ʋjêːsniːk
činovnik	t͡ʃinǒʋniːk
kožurica	kǒʒurit͡sa
statusni	stǎːtusniː
puščani	pǔʃt͡ʃaniː
pišati	pǐʃati
leksikografski	leksikǒɡrafskiː
pustinjak	pǔːstiɲaːk
gaza	ɡǎːza
kreševo	krêʃeʋo
šnitling	ʃnîtlinɡ
srati	srâti
lišavati	liʃǎːʋati
neiskreno	něiskreno
razgovorni	râzɡoʋoːrniː
husit	xǔsiːt
ikoji	îkojiː
pripovediti	pripǒʋediti
spavalica	spǎːʋalit͡sa
onanija	onǎnija
omanji	ômaɲiː
strog	strôɡ
useljavati	useʎǎːʋati
kipjeti	kǐːpjeti
udaja	ûdaja
čin	t͡ʃîːn
amerikanka	amerǐkaːnka
nonkonformizam	nonkonformǐzam
lijer	lijêːr
gristi	ɡrîsti
ulomak	ǔlomak
ošamariti	oʃǎmariti
glasno	ɡlâsno
dalek	dǎlek
žarulja	ʒǎruʎa
govedo	ɡǒʋedo
pljesnivost	pʎěsniʋoːst
gasnuti	ɡâsnuti
rukavičar	rukǎʋit͡ʃaːr
blijedjeti	blijěːdjeti
međusobno	mêd͡ʑusobno
priznanje	priznǎːɲe
bezimen	bězimen
đunah	d͡ʑǔnaːx
hiragana	xiraɡǎna
letak	lêtak
varvarski	ʋǎrʋarski
bezbrižno	bězbriʒno
davno	dǎːʋno
reformizam	reformǐzam
potvrda	pôtʋrda
orač	ǒraːt͡ʃ
inspekcija	inspěkt͡sija
udomiteljica	udomitěʎit͡sa
hidraulički	xidraǔlitʃkiː
poduhvat	pôduxʋat
preporod	prêporod
stupati	stǔːpati
epileptičarka	epilěptit͡ʃaːrka
geografski	ɡeǒɡrafskiː
ljudožderski	ʎudǒʒderskiː
kečiga	kět͡ʃiɡa
osao	ôsao
miješan	mijêːʃaːn
uvrediti	uʋrěːditi
cenzurirati	t͡senzurǐːrati
gostioničar	ɡostiǒnit͡ʃaːr
ženik	ʒěniːk
nedužno	nêduːʒno
zagreb	zǎːɡreb
lediti	lěditi
popodne	popǒːdne
elektrotehnika	elektrotěxnika
ražalostiti	raʒalǒstiti
jasno	jâsno
svemoguć	sʋêmoɡuːt͡ɕ
smreka	smrêka
zovemo	zǒʋemo
oni	ǒni
staklen	stǎklen
uvjeren	ǔʋjeren
egzosfera	eɡzosfěːra
kričke	krît͡ʃke
munjovod	mûɲoʋoːd
đevrek	d͡ʑěʋrek
kazivati	kazǐːʋati
skrenuti	skrěːnuti
mlezivo	mlêziːʋo
drkati	dr̂kati
gibanica	ɡǐbanit͡sa
krolati	krǒlati
kriještati	krijěːʃtati
smiješak	smjěːʃak
sebi	sêbi
mort	môrt
panteistički	panteǐstitʃki
prokopavati	prokopǎːʋati
vjetreuška	ʋjetrěuʃka
teozof	teǒzof
obasuti	obǎsuːti
bezizniman	bêzizniːman
preraspodijeliti	preraspodijěːliti
žalba	ʒǎlba
mlohav	mlôxaʋ
lipanjski	lîːpaɲskiː
suptilno	sûptiːlno
plućni	plûːt͡ɕniː
ukleti	ǔkleːti
zarudjeti	zarǔːdjeti
slanik	slǎniːk
bodrost	bôdroːst
jamica	jâmit͡sa
pripajati	pripǎːjati
ćaskati	t͡ɕâskati
sadžak	sâd͡ʒaːk
inače	înaːt͡ʃe
osnovni	ǒsnoːʋniː
čuvarkuća	t͡ʃuʋǎrkut͡ɕa
redakcija	redǎkt͡sija
sniziti	snǐːziti
kofein	kofěiːn
šupčić	ʃǔpt͡ʃit͡ɕ
uzlijetati	uzlijěːtati
osuđivati	osud͡ʑǐːʋati
baskijski	bâskiːjski
behandlati	bexǎndlati
moguć	môɡuːt͡ɕ
kondicional	kondit͡siǒnaːl
čekalac	t͡ʃêkalat͡s
duvati	dǔːʋati
sekrecijski	sekrěːt͡siːjskiː
dočekati	dǒt͡ʃekati
kabul	kǎːbul
preferans	prěferans
agencija	aɡěnt͡sija
titrati	tîtrati
usložniti	uslǒʒniti
žalac	ʒǎːlat͡s
povratnica	pǒʋratnit͡sa
njakati	ɲǎːkati
jaketa	jǎketa
naški	nâʃki
lordovski	lǒrdoʋskiː
nikuda	nîkuda
baka	bǎːka
senilan	sêniːlan
ugovoriti	uɡoʋǒriti
htjeti	xtjêti
asturijac	astǔriːjat͡s
razmaziti	razmǎːziti
tvrtka	tʋr̂tka
odobrenje	odobrěːɲe
spavačica	spaʋǎt͡ʃit͡sa
prvorazredan	prʋorǎːzredan
gležanj	ɡlêʒaɲ
semitski	sěmiːtskiː
osporiti	ospǒriti
vavijek	ʋâʋijek
prepisivati	prepisǐːʋati
ljuljačka	ʎǔʎaːt͡ʃka
besciljno	bêst͡siːʎno
vukodlak	ʋukǒdlak
nežan	nêʒan
podrignuti	pǒdriɡnuti
škatulja	ʃkǎtuʎa
zagraditi	zaɡrǎːditi
bukvica	bûkʋit͡sa
pobjeći	pǒbjet͡ɕi
čamac	t͡ʃǎːmat͡s
razderati	razděrati
melankolik	melankǒlik
vrganj	ʋřɡaːɲ
termopauza	termopâuza
poseban	pǒːseban
drvenast	dr̂ʋenast
rubnjak	rûːbɲaːk
ples	plêːs
misteriozno	mîsterioːzno
praznovernost	prâznoʋeːrnoːst
jamb	jâmb
integralan	înteɡraːlan
neuspelost	nêuspeloːst
odsjeći	ǒdsjet͡ɕi
reka	rěːka
raširivati	raʃirǐːʋati
palica	pâlit͡sa
premotati	premǒtati
mletački	mlêtat͡ʃkiː
obrtaj	ôbrtaːj
mekanost	mêkanoːst
bestijalnost	bestijǎːlnoːst
oportun	ôportuːn
večno	ʋêt͡ʃno
kondicija	kǒndiːt͡sija
artikulacija	artikulǎːt͡sija
kritizirati	kritizǐːrati
zauzimati	zaǔzimati
nedoumica	nedǒumit͡sa
teokratski	teǒkratski
okno	ǒkno
klinka	klîːnka
poslovan	pôsloːʋan
rast	râːst
samur	sǎmuːr
sektaš	sěktaːʃ
evolucijski	eʋolǔːt͡siːjskiː
dopuštenje	dopuʃtěːɲe
širokogrudan	ʃirokǒɡrudan
talijan	talǐjaːn
anticipirati	antit͡sipǐːrati
šljivovica	ʃʎîʋoʋit͡sa
splavar	splǎʋaːr
popularizacija	popularizǎːt͡sija
ružičnjak	rûʒit͡ʃɲaːk
izjasniti	izjǎsniti
cena	t͡sěːna
gramzivost	ɡrǎmziʋoːst
zimus	zǐmuːs
organ	ǒrɡaːn
štokhauz	ʃtǒkxauz
iko	îko
glagoljaški	ɡlaɡǒʎaːʃkiː
kristalast	krǐstalast
iscijediti	ist͡sijěːditi
individua	indiʋǐːdua
rodni	rôdniː
širenje	ʃǐːreːɲe
fištar	fîʃtar
alpinski	ǎlpiːnskiː
kristadelfijanac	kristadelfijǎːnat͡s
bezizgledno	bêzizɡleːdno
berilij	běriːlij
samouvjeren	samoǔʋjeren
efektno	ěfektno
hektar	xêktaːr
svršeni	sʋr̂ːʃeniː
bazirati	bazǐːrati
impertinentno	impertiněntno
neprijatno	nêprijaːtno
vodomer	ʋôdomeːr
propovedati	propoʋěːdati
sračunati	srat͡ʃǔnati
satrapski	sǎtrapski
općinski	ôpt͡ɕiːnskiː
puknuti	pûknuti
pozdraviti	pǒzdraʋiti
ljubazno	ʎûbazno
mandarina	mandarǐːna
epidemijski	epiděmiːjskiː
agitator	aɡǐtaːtor
ribarski	rîbaːrskiː
direktorica	direktǒrit͡sa
ultimatum	ultimǎːtum
mesečno	mêset͡ʃno
začas	zǎt͡ʃas
glodati	ɡlǒdati
bezbrižnost	bězbriʒnoːst
krilatica	krilǎtit͡sa
prestolje	prěːstoːʎe
teskera	têskera
začaran	zǎt͡ʃaːraːn
zvjezdogled	zʋjêzdoɡleːd
lovor	lôʋoːr
semantika	semǎntika
crevlja	t͡srêʋʎa
danomice	dânomit͡seː
utopistički	utopǐstitʃkiː
svakakav	sʋâkakaʋ
začeti	zǎt͡ʃeːti
podrobno	pôdrobno
bizantinac	bizantǐːnat͡s
favorit	faʋǒriːt
ili	ili
istrebljenje	istrebʎěːɲe
pretenzija	pretěnzija
senzacionalno	sênzat͡sionaːlno
poprečno	pôpret͡ʃno
vešmašina	ʋêʃmaʃiːna
draga	drâːɡaː
dočaravati	dot͡ʃarǎːʋati
bilingvizam	bilinɡʋǐzam
neminovan	nêminoːʋan
frontalan	frǒntaːlan
gunđalo	ɡǔnd͡ʑalo
približiti	priblǐːʒiti
kajkavština	kajkǎːʋʃtina
lupati	lǔːpati
razglasiti	razɡlǎːsiti
abakus	ǎbakus
ovde	ǒːʋde
krafen	krǎːfen
šif	ʃîf
krnica	křnit͡sa
spokojan	spôkoːjaːn
katastrofalno	kâtastrofaːlno
minijatura	minijatǔːra
ornitolog	ornitǒloːɡ
island	ǐsland
kožnat	kǒʒnat
pluta	plûta
zataškavati	zataʃkǎːʋati
carinički	t͡sârinit͡ʃkiː
dikcija	dǐkt͡sija
pasoš	pâːsoʃ
previše	prêʋiʃeː
bdeti	bdêti
sibirski	sǐbiːrskiː
izravan	îzraːʋan
družina	drǔʒina
bliskati	blîskati
bubuljičav	bubǔʎit͡ʃaʋ
rezonancija	rezonǎnt͡sija
negđe	nêɡd͡ʑe
sujevernost	sujeʋěːrnoːst
odricati	odrǐːt͡sati
neuralgičan	neurǎlɡit͡ʃan
uklanjati	ǔklaɲati
zloslutno	zlǒslutno
sačuvati	sat͡ʃǔːʋati
anonimnost	anonǐːmnoːst
savet	sǎːʋet
zastoj	zǎːstoj
komoda	komǒːda
tromesečje	trǒmeseːt͡ʃje
trezveno	trêzʋeno
slagati	slǎɡati
kucnuti	kût͡snuti
izopačiti	izopǎːt͡ʃiti
toksički	tǒksit͡ʃki
šmerkifel	ʃmêːrkifel
purist	pǔrist
dobavljač	dobǎʋʎaːt͡ʃ
satrapijski	satrǎpiːjskiː
sednica	sêdnit͡sa
zrnast	zřnast
rascijepati	rast͡sijěːpati
oplodnja	oplǒdɲa
konak	kǒnak
maliciozan	mâlit͡sioːzan
redosled	rêdosleːd
opirati	opirati
pripravan	prîpraːʋan
tetovirati	tetoʋǐːrati
mjerljiv	mjěrʎiʋ
jahati	jâxati
patolog	patǒloɡ
tisućljeće	tǐsut͡ɕʎet͡ɕe
dlanovnik	dlǎnoʋniːk
smotuljak	smotǔːʎak
kaljuga	kǎʎuɡa
pustolovina	pustolǒʋina
izravnavati	izraʋnǎːʋati
umovati	umǒʋati
nemirno	nêmiːrno
šparmajstor	ʃpǎːrmaːjstor
energičan	eněrɡit͡ʃan
neretko	nêreːtko
neukost	něukoːst
vavek	ʋâʋeːk
hiža	xîʒa
besposlenost	běsposlenoːst
žitelj	ʒǐːteʎ
šleska	ʃlêskaː
nespremno	něspremno
popustiti	popǔstiti
seljaštvo	seʎǎːʃtʋo
romantično	romǎntit͡ʃno
nadjenuti	nǎdjenuti
indijanski	indǐjaːnskiː
proletos	prǒletoːs
dž	d͡ʒ
ekskrement	ekskrěment
šperholc	ʃpěrxolt͡s
pitomica	pitǒmit͡sa
učilište	ǔt͡ʃiliːʃte
nadovezati	nadoʋěːzati
banditski	bǎndiːtskiː
korenito	korěnito
razuzdan	râzuzdaːn
manekenka	maněkeːnka
bogat	bǒɡat
razglašivati	razɡlaʃǐːʋati
činovničin	t͡ʃinǒʋnit͡ʃin
zatajiti	zatǎːjiti
razdvojiti	razdʋǒjiti
carinarnica	t͡sarinǎːrnit͡sa
imitacija	imitǎːt͡sija
ilustrativan	îlustratiːʋan
začarati	zat͡ʃǎːrati
prikladnost	prǐkladnoːst
ulcinj	ǔlt͡siɲ
kajkavac	kǎjkaʋat͡s
procjep	prǒːt͡sjep
samoupravljati	samoǔpraʋʎati
bukara	bǔkara
regionalan	rêɡionaːlan
drama	drâma
udarnički	ǔdaːrnitʃki
prigodom	prîɡodom
napulj	nǎːpuʎ
osmi	ôsmiː
burmanka	bǔrmaːnka
hirovito	xirǒʋito
autarkija	autǎrkija
krakovski	krâkoʋskiː
pritvarati	pritʋǎːrati
apokalipsa	apokalǐpsa
obrt	ǒbrt
budist	bǔdist
gruda	ɡrûda
karakteran	karǎkteːran
matrica	matrǐt͡sa
inovacija	inoʋǎːt͡sija
ugodnost	ûɡodnoːst
kotrljan	kotřʎan
efikasno	êfikasno
obožavati	oboʒǎːʋati
zlokobno	zlǒkobno
bleštav	blêʃtaʋ
jugoslavenski	juɡoslǎʋeːnskiː
besavjestan	besǎːʋjestan
kinologija	kinolǒɡija
durati	dǔrati
kreolski	krěoːlskiː
autonomaški	autonǒmaːʃkiː
zelenaški	zelěnaːʃki
sudionik	sudiǒniːk
kresivo	krêsiːʋo
naslijediti	naslijěːditi
pobuniti	pobǔːniti
fakinka	fakǐːnka
obešenica	obeʃěnit͡sa
sakristijski	sakrǐstiːjskiː
zabuniti	zabǔːniti
uzica	ûzit͡sa
ovčarski	ǒʋt͡ʃaːrskiː
trunak	trǔːnak
imbecilitet	imbet͡silǐteːt
naterivati	naterǐːʋati
veljački	ʋěʎat͡ʃkiː
štekat	ʃtěkat
svetlo	sʋêtlo
isplaćivati	isplat͡ɕǐːʋati
zdrav	zdrâʋ
nega	nêɡa
urban	ûrbaːn
ideolog	ideǒloɡ
kraj	krâːj
lokva	lôkʋa
najlon	nǎjloːn
smešan	směːʃan
traumatološki	traumatǒloʃkiː
dugoročan	dûɡorot͡ʃan
razapeti	razǎpeːti
nemerljiv	neměrʎiʋ
izdašno	îzdaːʃno
brudet	brǔdet
smislen	smîslen
vjetrenjast	ʋjêtreɲast
versajski	ʋěrsajskiː
neprijateljica	neprijatěʎit͡sa
bazdjeti	bǎzdjeti
salomiti	salǒmiti
bivovati	biʋǒʋati
bizmut	bǐzmut
pukovnik	pǔkoːʋniːk
nagrađivati	naɡrad͡ʑǐːʋati
upecati	ǔpet͡sati
popriličan	poprǐːlit͡ʃan
samoprezir	samoprěziːr
kičma	kîːt͡ʃma
bespredmetno	besprěːdmetno
barbarizam	barbarǐzam
gdo	ɡdoː
resurs	rěsurs
trenje	trěːɲe
pobeda	pôbeda
olibljanin	ǒlibʎanin
ubitačno	ûbitat͡ʃno
kemija	kěːmija
stručno	strût͡ʃno
doplivati	dǒpliʋati
krivoverje	kriʋǒʋeːrje
skripta	skrîpta
dospevati	dospěːʋati
istjerivati	istjerǐːʋati
javljati	jǎːʋʎati
doktorski	dôktorskiː
simetrija	simětrija
velikaš	ʋelǐkaːʃ
glorifikacija	ɡlorifikǎːt͡sija
krilce	krǐːlt͡se
zaseniti	zǎseniti
čarobno	t͡ʃârobno
probavni	prôbaːʋniː
teoretizirati	teoretizǐːrati
klaun	klâun
izvoz	ǐzʋoz
popušiti	pǒpuʃiti
apsolucija	apsolǔːt͡sija
dogoditi	doɡǒditi
sustav	sǔːstaʋ
neprozirno	nêproziːrno
brižljivost	brǐʒʎiʋoːst
ljudstvo	ʎǔdstʋo
ispovest	ǐspoʋeːst
razmeran	rǎːzmeːran
antikomunistički	antikomunǐstit͡ʃkiː
stagnacija	staɡnǎːt͡sija
štampati	ʃtâːmpati
želatinast	ʒelatǐnast
nečasno	nêt͡ʃasno
hleb	xlêb
heretik	xerětik
vreća	ʋrêt͡ɕa
svjetlucati	sʋjetlǔt͡sati
vladavina	ʋlǎdaʋina
fikcija	fǐkt͡sija
čega	t͡ʃěɡa
bistroumlje	bîstrouːmʎe
gmaz	ɡmâːz
aerobika	aerǒbika
progovoriti	proɡoʋǒriti
akceleracija	akt͡selerǎːt͡sija
fibula	fîbula
bljuzgati	bʎûzɡati
donesti	dǒnesti
boja	bǒja
prkositi	přkositi
bezvezan	bězʋezan
smokva	smôkʋa
spisatelj	spǐsateʎ
hipotetično	xipotětit͡ʃno
zajebati	zajěbati
afirmativan	âfirmatiːʋan
ishod	ǐsxod
dalekosežan	dalekǒseʒan
sekretarijat	sekretarǐjaːt
keks	kêks
istorodan	îstorodan
nejače	nêjaːt͡ʃe
odurno	ôduːrno
selica	sělit͡sa
krasnorječivost	krasnorjět͡ʃiʋoːst
nezrelost	nězreloːst
azilantski	azǐlantski
fantom	fǎntoːm
krčmarski	kr̂t͡ʃmarski
bezvrijedno	bêzʋrjedno
avdest	ǎʋdest
bogoslovac	boɡoslǒːʋat͡s
drijen	drijêːn
gasiti	ɡǎːsiti
domišljatost	dǒmiʃʎatoːst
vratnica	ʋrâtnit͡sa
evolucionizam	eʋolut͡sionǐzam
anomalija	anomǎlija
razuveravati	razuʋerǎːʋati
gdjekad	ɡdjěkad
abecedni	âbet͡seːdniː
vjerojatan	ʋjêrojaːtan
gama	ɡâma
komadati	komǎdati
nizozemac	nizozěːmat͡s
ušetati	uʃěːtati
evropski	ěʋropski
građa	ɡrâːd͡ʑa
duvnuti	dǔːʋnuti
nagovoriti	naɡoʋǒriti
desetorica	desetǒrit͡sa
izumitelj	izǔmiteʎ
besmrtnički	běsmrtnit͡ʃkiː
luđački	lǔd͡ʑaːt͡ʃki
šepavac	ʃêpaʋat͡s
ljuvezan	ʎuvezan
agrologija	aɡrolǒɡija
podudariti	podǔdariti
kisao	kîsao
živcirati	ʒiʋt͡sǐːrati
antarktik	antǎrktik
ušica	ǔʃit͡sa
filmski	fîlmski
nepromenjen	neprǒmeːɲen
zagrada	zâːɡrada
kazneni	kǎzneniː
odazvati	odǎzʋati
bednik	bêːdniːk
visinomjer	ʋîsinomjeːr
vragolan	ʋraɡǒlaːn
plodina	plôdina
lom	lôːm
učiteljski	ǔtʃiteʎski
konciznost	kont͡sǐːznoːst
osveta	ôsʋeta
zgražavati	zɡraʒǎːʋati
jargovan	jarɡǒʋaːn
javno	jâːʋno
stav	stâʋ
poput	pôpuːt
omogućivati	omoɡut͡ɕǐːʋati
nesnosan	něsnosan
ijekavka	ijěːkaːʋka
zabosti	zǎbosti
lumbrela	lǔmbrela
epistemologija	epistemolǒɡija
ulazak	ǔlazak
zablokirati	zablokǐːrati
svrsishodan	sʋr̂sisxodan
vreteno	ʋretěno
prvotan	přʋotan
kozičavost	kǒzit͡ʃaʋoːst
voljno	ʋôːʎno
brdovit	brdǒʋit
uzleteti	uzlěteti
sudjelovati	sǔdjeloʋati
promašivati	promaʃǐːʋati
snižavati	sniʒǎːʋati
hljeb	xʎêb
ozvuka	ozvuka
džoint	d͡ʒǒint
alveolaran	âlʋeolaːran
hajati	xâjati
izmeničan	îzmenit͡ʃan
nizinski	nǐziːnskiː
pljesniv	pʎěsniʋ
rečit	rět͡ʃit
biljojedski	bîʎojedski
idealizirati	idealizǐːrati
nezadovoljstvo	nezadoʋǒːʎstʋo
dovoljno	dôʋoːʎno
šiljiti	ʃǐːʎiti
uštedjeti	uʃtěːdjeti
slavina	slǎʋina
krivina	kriʋǐna
otarasiti	otarǎːsiti
navrh	nǎʋrx
sadržajnost	sadrʒǎːjnoːst
sabljarka	sâbʎaːrka
oskudica	ǒskudit͡sa
samac	sǎːmat͡s
obalni	ôbaːlniː
jednoženstvo	jednoʒěːnstʋo
genijalan	ɡênijaːlan
bezgotovinski	bezɡotǒʋiːnskiː
rigiditet	riɡidǐteːt
madrigal	madrǐɡaːl
praznik	prâːzniːk
tendencija	tenděnt͡sija
aleutski	alěutskiː
bezemljaš	bezěmʎaːʃ
obesiti	ǒbesiti
kronološki	kronǒloʃkiː
zabundati	zǎbuːndati
taubek	tǎubek
prerijski	prêːriːjskiː
lovopazitelj	loʋopǎziteʎ
krivo	krîːʋo
isprava	îspraʋa
saprati	sǎprati
pasji	pâsjiː
skladan	sklâdan
križovečki	krǐːʒoʋet͡ʃkiː
zavidljivac	zaʋǐdʎiʋat͡s
rasklopiti	rasklǒpiti
antiseptički	antisěptit͡ʃkiː
nerabljen	něraːbʎen
antiheroj	antixěroːj
nezamislivo	nezamǐsliʋo
znatno	znâtno
trpak	tr̂pak
hiponimija	xiponǐmija
štedionica	ʃtediǒːnit͡sa
otklanjati	ǒtklaɲati
efektivan	êfektiːʋan
mjestimice	mjěstimit͡seː
opkop	ǒpkop
proizvodni	prôizʋodniː
bogatstvo	boɡǎtstʋo
nje	ɲêː
razumno	râzuːmno
pokvasiti	pǒkʋasiti
iluzoran	îluzoːran
kričav	krît͡ʃaʋ
metaforički	metafǒritʃkiː
nenavidjeti	nenǎːʋidjeti
pakirati	pakǐːrati
kovilje	kôʋiːʎe
providan	prôʋiːdan
kanibalizam	kanibalǐzam
dalekovidnost	dalekǒʋidnoːst
r	r
sebe	sêbe
zviždačica	zʋiʒdǎt͡ʃit͡sa
interpretatorka	interprětaːtorka
dosjetljivost	dosjětʎiʋoːst
krčmariti	krt͡ʃmǎːriti
peteljka	pêteːʎka
pribijati	pribǐːjati
uništiv	unǐʃtiʋ
topništvo	tôpniʃtʋo
konstruktivan	kônstruktiːʋan
iscuriti	ist͡sǔːriti
zerdelica	zerdělit͡sa
zapreka	zâːpreka
baraba	barǎba
lord	lôrd
blago	blâɡo
roktati	rôktati
duh	dûx
pregledan	prěːɡledan
himbeno	xîmbeno
verist	ʋěrist
rusija	rǔsija
bukač	bǔkaːt͡ʃ
saksofonski	sâksofoːnskiː
pustinjaštvo	pustiɲǎːʃtʋo
usvojiti	usʋǒjiti
sujeverje	sûjeʋeːrje
domišljat	dǒmiʃʎat
livadni	lǐʋadniː
ravnodušnost	raʋnǒduʃnoːst
capin	t͡sǎpiːn
frazeologija	frazeolǒɡija
alhamiado	alxamiǎːdo
biljožderski	bîʎoʒderskiː
štaubcuker	ʃtǎubt͡suker
opakost	ôpaːkoːst
uopšte	ǔopʃte
krmetina	křmetina
strpljiv	střpʎiʋ
kotarac	kotǎːrat͡s
gro	ɡrôː
rulja	rûʎa
vonj	ʋôːɲ
mučno	mût͡ʃno
gumb	ɡûmb
rašpati	râʃpati
nadmašivati	nadmaʃǐːʋati
razvezivati	razʋezǐːʋati
ban	bâːn
latinština	latǐːnʃtina
negirati	neɡǐːrati
ljuštura	ʎǔʃtura
anali	anǎːli
dostupan	dǒstupan
poništiti	pǒniʃtiti
uvježbati	ǔʋjeʒbati
naobrazba	nâobrazba
jednakost	jednǎːkoːst
hitac	xîtat͡s
iskren	îskren
od	ôd
neobjektivan	nêobjektiʋan
debi	děbiː
desno	dêsno
kalvinizam	kalʋinǐzam
oštroumno	ôʃtrouːmno
raskućiti	rǎskut͡ɕiti
agent	ǎɡent
ježev	jêːʒeʋ
pedeset	peděseːt
ličan	lît͡ʃan
pražanin	prâʒanin
kutijica	kǔtijit͡sa
kranjski	krâːɲskiː
totalitaran	tôtalitaːran
njihalo	ɲǐːxalo
povrediv	poʋrědiʋ
masnoća	masnǒt͡ɕa
bližiti	blǐːʒiti
katakana	katakǎna
prelomiti	prelǒmiti
kotlenica	kotlěnit͡sa
nemir	nêmiːr
završetak	zaʋrʃěːtak
tajga	tâːjɡa
glavonožac	ɡlavonoːʒat͡s
mineral	miněraːl
raskidati	raskǐːdati
nepoželjno	nêpoʒeːʎno
mumljati	mǔmʎati
gvatemala	ɡʋatemǎːla
hidrauličan	xidraǔlit͡ʃan
bezizglednost	bezizɡlěːdnoːst
leksikografija	leksikoɡrǎfija
suicidalan	sûit͡sidaːlan
krupan	krǔːpan
vrsnoća	ʋrsnǒt͡ɕa
bubrežast	bǔbreʒast
sestrinski	sěstriːnski
bleštiti	blěːʃtiti
babilonija	babǐloːnija
