سىستېمىسى	sˌɪstemˈɪsɪ
قىلىشنى	qɪlˈɪʃnɪ
يەرشارى	jærʃˈɑɾɪ
جەھەتتىمۇ	d͡ʒˌæhættˈɪmu
يالىڭاچ	jɑlˈɪŋɑt͡ʃ
ئۇيغۇرچە	ujʁˈurt͡ʃæ
ئۆتىدۇ	œtˈɪdu
يىراق	jˈɪɾɑq
قىلىۋاتىدۇ	qˌɪlɪwɑtˈɪdu
كەسپىي	kˈæspɪj
پۇل	pˈul
رەھبەرلىكىدىكى	rˌæhbærlˌɪkɪdˈɪkɪ
شېئىرى	ʃeˈɪɾɪ
قورۇقچىبەگ	qˌoɾuqt͡ʃˈɪbæɡ
يەڭگەن	jˈæŋɡæn
قىزىق	qˈɪzɪq
ساقلىنىپ	sɑqlˈɪnɪp
تەمى	tˈæmɪ
ئىشلىتىلگەن	ˌɪʃlɪtˈɪlɡæn
بارلىقىنى	bˌɑrlɪqˈɪnɪ
ئالىي	ˈɑlɪj
مۇمكىن	mˈumkɪn
كەلگەنلىكى	kˌælɡænlˈɪkɪ
سۇرە	sˈuɾæ
ئۆزىدىن	œzˈɪdɪn
سۆيۈملۈك	sœjˈymlyk
ئىستەك	ˈɪstæk
سەپەرگە	sæpˈærɡæ
كەسپىدە	kæspˈɪdæ
يېزىدا	jezˈɪdɑ
گېرمانىيە	ɡˌermɑnˈɪjæ
غەربكە	ʁˈærbkæ
سىياسىتى	sˌɪjɑsˈɪtɪ
ئېلىندى	elˈɪndɪ
ئەلئەنسارىي	ˌælænsˈɑɾɪj
دۇر	dˈur
كۆرىسىز	kœɾˈɪsɪz
توغرىلىق	toʁrˈɪlɪq
كەسپ	kˈæsp
دۆلەتنىڭ	dœlˈætnɪŋ
بۇلىدۇ	bulˈɪdu
مەسئۇلىيەت	mˌæsulˈɪjæt
تەرەپنى	tæɾˈæpnɪ
يەنە	jˈænæ
مەپتۇن	mˈæptun
ئەسەرلىرىنى	ˌæsærlɪɾˈɪnɪ
كەنت	kˈænt
ھازىرغىچە	hˌɑzɪrʁˈɪt͡ʃæ
ناھىيىسىدە	nˌɑhɪjɪsˈɪdæ
ياۋايى	jɑwˈɑjɪ
قەشقەردىكى	qˌæʃqærdˈɪkɪ
يۆنىلىشى	jˌœnɪlˈɪʃɪ
ئۇيغۇرلارنى	ˌujʁurlˈɑrnɪ
ئۆگەنگەن	œɡˈænɡæn
ئۇيغۇرلاردا	ˌujʁurlˈɑrdɑ
چىقىرىدۇ	t͡ʃˌɪqɪɾˈɪdu
ئايەت	ˈɑjæt
تۆھپىسى	tœhpˈɪsɪ
دادىسى	dɑdˈɪsɪ
سۇلتان	sˈultɑn
مو	mˈo
جاۋاب	d͡ʒˈɑwɑb
ۋەقەلەرنى	wˌæqælˈærnɪ
ر	r
بولغۇچى	bolʁˈut͡ʃɪ
تارقىلىپ	tɑrqˈɪlɪp
بىلگە	bˈɪlɡæ
شىنجاڭ	ʃˈɪnd͡ʒɑŋ
ئۇقۇم	ˈuqum
خىزمەتلەرنى	χˌɪzmætlˈærnɪ
تۆۋەندە	tœwˈændæ
د	d
ئارىسىدىن	ˌɑɾɪsˈɪdɪn
ماھىيەتتە	mˌɑhɪjˈættæ
ئوراپ	ˈoɾɑp
ئىنسانغا	ɪnsˈɑnʁɑ
دەل	dˈæl
ھاۋالە	hɑwˈɑlæ
ئومۇمەن	omˈumæn
ياشلارغا	jɑʃlˈɑrʁɑ
روھنى	rˈohnɪ
بىلىملىك	bɪlˈɪmlɪk
سۇتۇق	sˈutuq
مال	mˈɑl
سىياسى	sɪjˈɑsɪ
شېئىر	ʃˈeɪr
تەكرار	tˈækrɑr
بويۇن	bˈojun
ئوخشاپ	ˈoχʃɑp
زامانىدا	zˌɑmɑnˈɪdɑ
شۇنداقلا	ʃundˈɑqlɑ
ئىشەنچلىك	ɪʃˈænt͡ʃlɪk
كاپالەتكە	kˌɑpɑlˈætkæ
ئاڭلىغان	ɑŋlˈɪʁɑn
نۇقتىغا	nuqtˈɪʁɑ
يوغان	jˈoʁɑn
كىشىدىن	kɪʃˈɪdɪn
قوغداش	qˈoʁdɑʃ
ياد	jˈɑd
خرىستىئان	χrɪstˈɪɑn
ئاياغ	ˈɑjɑʁ
مىنىستىرى	mˌɪnɪstˈɪɾɪ
سانائىتى	sˌɑnɑˈɪtɪ
تىلدا	tˈɪldɑ
قازى	qˈɑzɪ
ۋەكىللىك	wækˈɪllɪk
تېما	tˈemɑ
ۋىلايىتىنىڭ	wˌɪlɑjɪtˈɪnɪŋ
بىلمەيدۇ	bɪlmˈæjdu
ناھايتى	nɑhˈɑjtɪ
ۋاقتى	wˈɑqtɪ
جاھان	d͡ʒˈɑhɑn
تەۋەلىكىدە	tˌæwælɪkˈɪdæ
تاۋۇش	tˈɑwuʃ
نۇرغۇن	nˈurʁun
ئىرادىسى	ˌɪɾɑdˈɪsɪ
يەل	jˈæl
ئىمىن	ˈɪmɪn
ئاساسىغا	ˌɑsɑsˈɪʁɑ
پايتەخت	pˈɑjtæχt
تارقىلىشى	tˌɑrqɪlˈɪʃɪ
ئەلچىسى	ælt͡ʃˈɪsɪ
دىنىغا	dɪnˈɪʁɑ
ئىشلىتىلىدۇ	ˌɪʃlɪtɪlˈɪdu
چۈشۈش	t͡ʃˈyʃyʃ
قىزىمنىڭ	qɪzˈɪmnɪŋ
دەرىجىگە	dˌæɾɪd͡ʒˈɪɡæ
ئەھمىيەتلىك	ˌæhmɪjˈætlɪk
ئەسىرىدە	ˌæsɪɾˈɪdæ
مۇبارەك	mubˈɑɾæk
ئېيى	ˈejɪ
قىزنىڭ	qˈɪznɪŋ
چالا	t͡ʃˈɑlɑ
ئوبيېكتىپ	objˈektɪp
چەتئەلگە	t͡ʃætˈælɡæ
بولۇشىغا	bˌoluʃˈɪʁɑ
توننا	tˈonnɑ
تاشيول	tˈɑʃjol
ئۇمۇ	ˈumu
يۈرگەن	jˈyrɡæn
دىئامېتىرى	dˌɪɑmetˈɪɾɪ
يۇنان	jˈunɑn
ئۇلارغا	ulˈɑrʁɑ
ۋاقىتتا	wɑqˈɪttɑ
ئىبارەتتۇر	ˌɪbɑɾˈættur
تەپسىلىي	tæpsˈɪlɪj
ئالغا	ˈɑlʁɑ
بىزنى	bˈɪznɪ
بالدۇر	bˈɑldur
دەرىجىلىك	dˌæɾɪd͡ʒˈɪlɪk
دۆلەتلەرنىڭ	dˌœlætlˈærnɪŋ
داۋاملىشىپ	dˌɑwɑmlˈɪʃɪp
پايتاھتى	pɑjtˈɑhtɪ
بارلىق	bˈɑrlɪq
قىلماقتا	qɪlmˈɑqtɑ
تىنچ	tˈɪnt͡ʃ
تاپتى	tˈɑptɪ
ئوقۇتقۇچىسى	ˌoqutqut͡ʃˈɪsɪ
سۇڭپىياز	suŋpˈɪjɑz
دەرس	dˈærs
يۈزىنىڭ	jyzˈɪnɪŋ
نىسبەتەن	nɪsbˈætæn
شەكىلدىكى	ʃˌækɪldˈɪkɪ
قوشنا	qˈoʃnɑ
ئەزەلدىن	æzˈældɪn
بۇزۇلۇپ	buzˈulup
قاراقاش	qɑɾˈɑqɑʃ
خىش	χˈɪʃ
كەسىپنى	kæsˈɪpnɪ
پادىشاھلىقى	pˌɑdɪʃɑhlˈɪqɪ
ماددىسىدىكى	mˌɑddɪsɪdˈɪkɪ
يىرىك	jˈɪɾɪk
قۇرۇلتىيى	qˌuɾultˈɪjɪ
نەرسىلەرنى	nˌærsɪlˈærnɪ
ساما	sˈɑmɑ
قويۇلىدۇ	qˌojulˈɪdu
ساھەدە	sɑhˈædæ
راھەت	rˈɑhæt
شەرىئەت	ʃæɾˈɪæt
يۈزىنى	jyzˈɪnɪ
كۆڭلىگە	kœŋlˈɪɡæ
ئابباس	ˈɑbbɑs
ئېلېكتر	ˈelektr
قىلىشتا	qɪlˈɪʃtɑ
ماڭدى	mˈɑŋdɪ
ماتېماتىكىلىق	mˌɑtemˌɑtɪkˈɪlɪq
مىللەتلەردىن	mˌɪllætlˈærdɪn
تۈزۈمى	tyzˈymɪ
قالمايدۇ	qɑlmˈɑjdu
چىقىش	t͡ʃˈɪqɪʃ
ھىس	hˈɪs
نىمىشقا	nɪmˈɪʃqɑ
ئىنىق	ˈɪnɪq
ئوقۇشى	oqˈuʃɪ
سېلىشتۇرما	sˌelɪʃtˈurmɑ
ئابدۇراخمان	ˌɑbduɾˈɑχmɑn
خەۋەرلىشىش	χˌæwærlˈɪʃɪʃ
چىشى	t͡ʃˈɪʃɪ
ئۇسۇللار	usˈullɑr
ھالىتى	hɑlˈɪtɪ
جۇغراپىيىلىك	d͡ʒˌuʁrɑpɪjˈɪlɪk
قىسمىنى	qɪsmˈɪnɪ
ئۇيغۇردىن	ujʁˈurdɪn
ئاخبارات	ɑχbˈɑɾɑt
ئىزھار	ˈɪzhɑr
ئويۇننى	ojˈunnɪ
ئېرىشىش	eɾˈɪʃɪʃ
ئەسلىي	ˈæslɪj
بىرلىشىپ	bɪrlˈɪʃɪp
خۇشال	χˈuʃɑl
ئافرىقا	ɑfrˈɪqɑ
قىرغىنچىلىق	qˌɪrʁɪnt͡ʃˈɪlɪq
مۇھەببىتى	mˌuhæbbˈɪtɪ
تەھسىل	tˈæhsɪl
باشلىنىدۇ	bˌɑʃlɪnˈɪdu
ئىلغار	ˈɪlʁɑr
ماھىر	mˈɑhɪr
ئۈستىدىكى	ˌystɪdˈɪkɪ
قەلەم	qˈælæm
بەدەندىكى	bˌædændˈɪkɪ
يازغۇچى	jɑzʁˈut͡ʃɪ
سامسۇڭ	sˈɑmsuŋ
ئەستايىدىل	ˌæstɑjˈɪdɪl
بولمىسۇن	bolmˈɪsun
بولمىغان	bolmˈɪʁɑn
ئىپادە	ɪpˈɑdæ
شەكىل	ʃˈækɪl
بەيئەت	bˈæjæt
يەنىلا	jænˈɪlɑ
بىخەتەر	bɪχˈætær
ئەللىرى	ællˈɪɾɪ
تېرىسى	teɾˈɪsɪ
بىرىنجى	bɪɾˈɪnd͡ʒɪ
ئۈندەيدۇ	yndˈæjdu
نوپۇس	nˈopus
كۆزىنى	kœzˈɪnɪ
تارىخىنى	tˌɑɾɪχˈɪnɪ
ۋاقىتلاردا	wˌɑqɪtlˈɑrdɑ
مەقسەتلىك	mæqsˈætlɪk
ئۆمۈر	ˈœmyr
دائىرىسىدە	dˌɑɪɾɪsˈɪdæ
سادىق	sˈɑdɪq
دۆلەتكە	dœlˈætkæ
ئىشلىتىپ	ɪʃlˈɪtɪp
ئوقۇغان	oqˈuʁɑn
تۇرسا	tˈursɑ
قانات	qˈɑnɑt
تۇتۇش	tˈutuʃ
كەينى	kˈæjnɪ
تۆۋەندىكىچە	tˌœwændɪkˈɪt͡ʃæ
سىستېما	sɪstˈemɑ
كاۋاۋىچىن	kˌɑwɑwˈɪt͡ʃɪn
شەھىرىگە	ʃˌæhɪɾˈɪɡæ
ئورمان	ˈormɑn
ئىنساننى	ɪnsˈɑnnɪ
تۇز	tˈuz
چىقىرىش	t͡ʃɪqˈɪɾɪʃ
كاربون	kˈɑrbon
بەرگەن	bˈærɡæn
ۋاز	wˈɑz
ئەنئەنىۋى	ˌænænˈɪwɪ
كىشىلەردىن	kˌɪʃɪlˈærdɪn
بىرىنچىسى	bˌɪɾɪnt͡ʃˈɪsɪ
جەريان	d͡ʒˈærjɑn
خوتۇنى	χotˈunɪ
ئەكىس	ˈækɪs
سانلىق	sˈɑnlɪq
سېلىشتۇرۇپ	sˌelɪʃtˈuɾup
ئۆزبېكىستان	ˌœzbekˈɪstɑn
ئورنىدا	ornˈɪdɑ
پەيدا	pˈæjdɑ
قېتىم	qˈetɪm
ئوتتۇرىغا	ˌottuɾˈɪʁɑ
پالۋان	pˈɑlwɑn
سىزدىن	sˈɪzdɪn
زامانىۋىي	zˌɑmɑnˈɪwɪj
بالىلىق	bɑlˈɪlɪq
كەلگەندە	kælɡˈændæ
ئويلىنىپ	ojlˈɪnɪp
ئوينايدىغان	ˌojnɑjdˈɪʁɑn
بەدىنىدە	bˌædɪnˈɪdæ
دەپتۇ	dˈæptu
قويۇپ	qˈojup
يەنى	jˈænɪ
ئۇلاردا	ulˈɑrdɑ
بانان	bˈɑnɑn
تەسىس	tˈæsɪs
بۇغراخان	buʁrˈɑχɑn
تەخسە	tˈæχsæ
ياشاش	jˈɑʃɑʃ
جەنۇبقا	d͡ʒænˈubqɑ
ئاچقان	ˈɑt͡ʃqɑn
تۇغۇلۇپ	tuʁˈulup
كەسىپكە	kæsˈɪpkæ
ھۆكۈم	hˈœkym
ئەكسىچە	æksˈɪt͡ʃæ
ئىسلاھات	ɪslˈɑhɑt
ئىپتىدائىي	ˌɪptɪdˈɑɪj
مەسىلىنىڭ	mˌæsɪlˈɪnɪŋ
بالىلار	bɑlˈɪlɑr
ماقالىنى	mˌɑqɑlˈɪnɪ
ئىشلارنى	ɪʃlˈɑrnɪ
ئالاقە	ɑlˈɑqæ
تۇرسۇن	tˈursun
دېيىلىدۇ	dˌejɪlˈɪdu
يېزىقى	jezˈɪqɪ
ئۆتىگەن	œtˈɪɡæn
خىتايلار	χɪtˈɑjlɑr
زامانىۋى	zˌɑmɑnˈɪwɪ
ھەقىقەتەنمۇ	hˌæqɪqætˈænmu
جىسىمنىڭ	d͡ʒɪsˈɪmnɪŋ
زاۋۇت	zˈɑwut
كىلاسسىك	kɪlˈɑssɪk
مالىيە	mɑlˈɪjæ
تىلنى	tˈɪlnɪ
چۈشەنگەن	t͡ʃyʃˈænɡæn
قىلىشنىڭ	qɪlˈɪʃnɪŋ
قارشى	qˈɑrʃɪ
ئۆزگەرتىش	œzɡˈærtɪʃ
ھەدىسلەرنىڭ	hˌædɪslˈærnɪŋ
يامان	jˈɑmɑn
ئائىلىسى	ˌɑɪlˈɪsɪ
گۇناھ	ɡˈunɑh
بايراق	bˈɑjrɑq
سەئۇدى	sæˈudɪ
قىلدى	qˈɪldɪ
ھەپتىدە	hæptˈɪdæ
ئورۇن	ˈoɾun
ھەممىمىزگە	hˌæmmɪmˈɪzɡæ
بولۇشتەك	bolˈuʃtæk
ياشلىق	jˈɑʃlɪq
ۋۇجۇتقا	wud͡ʒˈutqɑ
ئۈنۈملۈك	ynˈymlyk
تىلىدىن	tɪlˈɪdɪn
قىزىم	qˈɪzɪm
رادىئو	rɑdˈɪo
خەلقئارا	χælqˈɑɾɑ
ئاشىدۇ	ɑʃˈɪdu
مەنىسىدە	mˌænɪsˈɪdæ
كۆرسەتتى	kœrsˈættɪ
دىنىي	dˈɪnɪj
ھەم	hˈæm
مۇناسىۋەتنى	mˌunɑsɪwˈætnɪ
تەھرىر	tˈæhrɪr
سەۋەپلىك	sæwˈæplɪk
ھەرخىل	hˈærχɪl
غەربى	ʁˈærbɪ
كەچۈرۈم	kæt͡ʃˈyɾym
ئىشلىگەن	ɪʃlˈɪɡæn
سوزۇق	sˈozuq
قەدەر	qˈædær
پائالىيەتلىرىنى	pˌɑɑlˌɪjætlɪɾˈɪnɪ
چىقىرىدىغان	t͡ʃˌɪqɪɾɪdˈɪʁɑn
ھەرگىز	hˈærɡɪz
سەككىز	sˈækkɪz
مۇددىتى	muddˈɪtɪ
ئىچكىرىدىكى	ˌɪt͡ʃkɪɾɪdˈɪkɪ
غۇلجىدا	ʁuld͡ʒˈɪdɑ
رەڭگى	rˈæŋɡɪ
پەيلاسوپ	pæjlˈɑsop
باشقىچە	bɑʃqˈɪt͡ʃæ
كەپتۇ	kˈæptu
يېرىدىن	jeɾˈɪdɪn
دىلمۇرات	dɪlmˈuɾɑt
مارشى	mˈɑrʃɪ
ئالىدىغان	ˌɑlɪdˈɪʁɑn
ئۆلگەندىن	œlɡˈændɪn
خالىغان	χɑlˈɪʁɑn
تەخمىنەن	tæχmˈɪnæn
يازغۇچىلىرى	jˌɑzʁut͡ʃɪlˈɪɾɪ
قۇرئاننى	quɾˈɑnnɪ
تۇرمۇشىنى	tˌurmuʃˈɪnɪ
دېھقانلار	dehqˈɑnlɑr
ئوخشاشمىغان	ˌoχʃɑʃmˈɪʁɑn
نەتىجىسىنى	nˌætɪd͡ʒɪsˈɪnɪ
پۈتۈن	pˈytyn
ئەسىرگە	æsˈɪrɡæ
سەۋەپ	sˈæwæp
ئېنېرگىيە	ˌenerɡˈɪjæ
خىمىيىلىك	χˌɪmɪjˈɪlɪk
تەكلىپى	tæklˈɪpɪ
روياپقا	rojˈɑpqɑ
دانە	dˈɑnæ
لىكىن	lˈɪkɪn
ئەسەرنى	æsˈærnɪ
مەدەت	mˈædæt
غەيرىي	ʁˈæjrɪj
ئىگە	ˈɪɡæ
سوۋېت	sˈowet
مەھكۇم	mˈæhkum
سايلام	sˈɑjlɑm
ئىشنى	ˈɪʃnɪ
ئۆلتۈرىۋېلىش	ˌœltyɾɪwˈelɪʃ
كۇۋادىرات	kˌuwɑdˈɪɾɑt
ئون	ˈon
ماۋ	mˈɑw
بىۋاسىتە	bˌɪwɑsˈɪtæ
تەتقىقاتىغا	tˌætqɪqɑtˈɪʁɑ
باھا	bˈɑhɑ
پەسلىدە	pæslˈɪdæ
قىلىنىشى	qˌɪlɪnˈɪʃɪ
رەڭلىك	rˈæŋlɪk
شەيخ	ʃˈæjχ
قالىدىغان	qˌɑlɪdˈɪʁɑn
ئىنسانلارغا	ˌɪnsɑnlˈɑrʁɑ
تەربىيە	tærbˈɪjæ
بۇنىڭغا	bunˈɪŋʁɑ
تارىخىدىكى	tˌɑɾɪχɪdˈɪkɪ
خۇسۇسىيىتىگە	χˌususˌɪjɪtˈɪɡæ
زۆرۈر	zˈœɾyr
ئەھۋالنى	æhwˈɑlnɪ
بۈيۈك	bˈyjyk
ئۆگىنىش	œɡˈɪnɪʃ
تەۋەلىك	tæwˈælɪk
تەربىيىلەش	tˌærbɪjˈɪlæʃ
شام	ʃˈɑm
ھىساپلىنىدۇ	hˌɪsɑplɪnˈɪdu
ۋالىي	wˈɑlɪj
بەرمىگەن	bærmˈɪɡæn
ئىبراھىم	ɪbrˈɑhɪm
ئوقۇغۇچىلار	ˌoquʁut͡ʃˈɪlɑr
ئەھۋاللار	æhwˈɑllɑr
قۇللۇق	qˈulluq
قىسىم	qˈɪsɪm
ھازىرقى	hɑzˈɪrqɪ
دۇنيادا	dunjˈɑdɑ
سەھىھ	sˈæhɪh
باشقىلارنى	bˌɑʃqɪlˈɑrnɪ
توختاپ	tˈoχtɑp
ئۆلۈپ	ˈœlyp
بالىنى	bɑlˈɪnɪ
ئېتىقاد	etˈɪqɑd
توختىلىپ	toχtˈɪlɪp
مەلۇماتقا	mˌælumˈɑtqɑ
تاماملىغان	tˌɑmɑmlˈɪʁɑn
شەرت	ʃˈært
ئىجادىيىتى	ˌɪd͡ʒɑdɪjˈɪtɪ
خېلى	χˈelɪ
بىلدۈرىدۇ	bˌɪldyɾˈɪdu
ئاتىلىدىغان	ˌɑtɪlɪdˈɪʁɑn
يولنى	jˈolnɪ
قىلىنىدۇ	qˌɪlɪnˈɪdu
ئۇرۇشى	uɾˈuʃɪ
بۇلۇت	bˈulut
شىركىتى	ʃɪrkˈɪtɪ
فىرانسىيە	fˌɪɾɑnsˈɪjæ
ماددىلارنى	mˌɑddɪlˈɑrnɪ
يەھۇدىلار	jˌæhudˈɪlɑr
بېقىش	bˈeqɪʃ
بوستانلىق	bostˈɑnlɪq
خىلى	χˈɪlɪ
ئانىسىنىڭ	ˌɑnɪsˈɪnɪŋ
سىزگە	sˈɪzɡæ
ئولتۇراقلاشقان	ˌoltuɾɑqlˈɑʃqɑn
ئوقۇيدىغان	ˌoqujdˈɪʁɑn
جىنسىي	d͡ʒˈɪnsɪj
ئېقىپ	ˈeqɪp
خاننىڭ	χˈɑnnɪŋ
مەنئى	mˈænɪ
مۇرەسسە	muɾˈæssæ
قۇر	qˈur
قاتارلىقلارنى	qˌɑtɑrlɪqlˈɑrnɪ
ھوقۇقلۇق	hoqˈuqluq
يىلىغىچە	jˌɪlɪʁˈɪt͡ʃæ
قىلىدىغان	qˌɪlɪdˈɪʁɑn
ئۆزىنى	œzˈɪnɪ
روھ	rˈoh
مەھسۇلاتى	mˌæhsulˈɑtɪ
ھاسىل	hˈɑsɪl
بايان	bˈɑjɑn
بولۇشنى	bolˈuʃnɪ
بولدۇم	bˈoldum
خىتاب	χˈɪtɑb
مۇستاككىل	mustˈɑkkɪl
بوغۇم	bˈoʁum
ھېسابات	hesˈɑbɑt
ئوڭ	ˈoŋ
ئاسسىمىلياتسىيە	ˌɑssɪmˌɪljɑtsˈɪjæ
كېڭەش	kˈeŋæʃ
تۈركىي	tˈyrkɪj
سۆزلەنگەن	sœzlˈænɡæn
ھۈنەر	hˈynær
ياغ	jˈɑʁ
خاتىمە	χɑtˈɪmæ
پادىشاھ	pɑdˈɪʃɑh
قېرى	qˈeɾɪ
قارايمەن	qɑɾˈɑjmæn
تالانتى	tɑlˈɑntɪ
ئانىلار	ɑnˈɪlɑr
ئۆلچەم	ˈœlt͡ʃæm
ۋاقىتتىكى	wˌɑqɪttˈɪkɪ
چىقىرىشى	t͡ʃˌɪqɪɾˈɪʃɪ
ھادىسە	hɑdˈɪsæ
جىسمانىي	d͡ʒɪsmˈɑnɪj
ئۇيغۇن	ˈujʁun
گىرىپتار	ɡɪɾˈɪptɑr
ئارقىسىدا	ˌɑrqɪsˈɪdɑ
مەنىگە	mænˈɪɡæ
دەرىجىسى	dˌæɾɪd͡ʒˈɪsɪ
ئوقۇغۇچىنىڭ	ˌoquʁut͡ʃˈɪnɪŋ
ئۇچرايدۇ	ut͡ʃrˈɑjdu
بېگى	bˈeɡɪ
ئاندىن	ˈɑndɪn
جىن	d͡ʒˈɪn
بېيجىڭغا	bejd͡ʒˈɪŋʁɑ
ئىشغال	ˈɪʃʁɑl
تەركىبى	tærkˈɪbɪ
مۇقەددەس	muqˈæddæs
پىشۇرۇلىدۇ	pˌɪʃuɾulˈɪdu
تومۇر	tˈomur
ئاتالدى	ɑtˈɑldɪ
ئاتاقلىق	ɑtˈɑqlɪq
يارقىن	jˈɑrqɪn
تەلىپى	tælˈɪpɪ
شەكىللەندۈرگەن	ʃˌækɪllændˈyrɡæn
ئىدارىسى	ˌɪdɑɾˈɪsɪ
ماقالىدا	mˌɑqɑlˈɪdɑ
مەيداندا	mæjdˈɑndɑ
تەڭ	tˈæŋ
ئېغىرلىقى	ˌeʁɪrlˈɪqɪ
ئۆچ	ˈœt͡ʃ
تەمىنلىگەن	tˌæmɪnlˈɪɡæn
كېسىپ	kˈesɪp
ئۇچار	ˈut͡ʃɑr
رەھبەرلىك	ræhbˈærlɪk
پۇلى	pˈulɪ
رەھبىرى	ræhbˈɪɾɪ
قىلىمىز	qɪlˈɪmɪz
سەن	sˈæn
ئاممىۋىي	ɑmmˈɪwɪj
قاراشلىرى	qˌɑɾɑʃlˈɪɾɪ
رەزىيەللاھۇ	rˌæzɪjællˈɑhu
رېمونت	rˈemont
قىممەتكە	qɪmmˈætkæ
چارىسىنى	t͡ʃˌɑɾɪsˈɪnɪ
جايلارنىڭ	d͡ʒɑjlˈɑrnɪŋ
خان	χˈɑn
شەخسلەردىن	ʃæχslˈærdɪn
قاراش	qˈɑɾɑʃ
ئارىق	ˈɑɾɪq
ئىجتىمائى	ˌɪd͡ʒtɪmˈɑɪ
ئات	ˈɑt
ئىسلام	ˈɪslɑm
تىپلىق	tˈɪplɪq
قىلىشتىن	qɪlˈɪʃtɪn
خەلقنىڭ	χˈælqnɪŋ
ھەرگىزمۇ	hærɡˈɪzmu
يوللۇق	jˈolluq
قىلالمايدۇ	qˌɪlɑlmˈɑjdu
ئاستا	ˈɑstɑ
بىلىشى	bɪlˈɪʃɪ
دەسلەپتە	dæslˈæptæ
ياپونلۇق	jɑpˈonluq
ئەسلىگە	æslˈɪɡæ
دالا	dˈɑlɑ
ئۇرۇشىدىن	ˌuɾuʃˈɪdɪn
بېرەي	bˈeɾæj
بىنا	bˈɪnɑ
پۈتتۈرگەندىن	pˌyttyrɡˈændɪn
قىلسا	qˈɪlsɑ
مەدەنىي	mædˈænɪj
سۆيگۈ	sˈœjɡy
مۇئاۋىن	muˈɑwɪn
ئەھمەد	ˈæhmæd
سوئالغا	soˈɑlʁɑ
تۇرۇپ	tˈuɾup
ھاياتقا	hɑjˈɑtqɑ
گۈزەل	ɡˈyzæl
خەتنى	χˈætnɪ
لىق	lˈɪq
ئەخلەت	ˈæχlæt
پۇرسىتى	pursˈɪtɪ
ئېلېكترونلۇق	ˌelektrˈonluq
پوزىتسىيە	pˌozɪtsˈɪjæ
ئىشى	ˈɪʃɪ
سورۇندا	soɾˈundɑ
ئويناش	ˈojnɑʃ
قېرىندىشى	qˌeɾɪndˈɪʃɪ
چىقىشىغا	t͡ʃˌɪqɪʃˈɪʁɑ
ئۆلچەش	ˈœlt͡ʃæʃ
بولالايدۇ	bˌolɑlˈɑjdu
ۋاقىت	wˈɑqɪt
ئىلى	ˈɪlɪ
مەدەنىيىتىنىڭ	mˌædænˌɪjɪtˈɪnɪŋ
ۋاستىسى	wɑstˈɪsɪ
ساھابىلەر	sˌɑhɑbˈɪlær
مەسئۇل	mˈæsul
زامانىسىدا	zˌɑmɑnɪsˈɪdɑ
توپا	tˈopɑ
دورا	dˈoɾɑ
ئوقۇۋاتقان	ˌoquwˈɑtqɑn
جەھەتتىكى	d͡ʒˌæhættˈɪkɪ
جانلىقلار	d͡ʒɑnlˈɪqlɑr
ئۆينى	ˈœjnɪ
تۈرلىرى	tyrlˈɪɾɪ
ئەسلىدە	æslˈɪdæ
ھەققىدە	hæqqˈɪdæ
بەكرى	bˈækrɪ
چوڭقۇر	t͡ʃˈoŋqur
قاراشلىق	qɑɾˈɑʃlɪq
قانۇنىي	qɑnˈunɪj
ھەممىسىنىڭ	hˌæmmɪsˈɪnɪŋ
تەرەپنىڭ	tæɾˈæpnɪŋ
ئۇل	ˈul
ئۈرۈمچىگە	ˌyɾymt͡ʃˈɪɡæ
سۇلالىسىنىڭ	sˌulɑlɪsˈɪnɪŋ
كۈچەپ	kˈyt͡ʃæp
روزا	rˈozɑ
ھازىرمۇ	hɑzˈɪrmu
خىمىيە	χɪmˈɪjæ
قاتارىغا	qˌɑtɑɾˈɪʁɑ
توملۇق	tˈomluq
مۇداپىئە	mˌudɑpˈɪæ
يەكشەنبە	jækʃˈænbæ
تەسىرىدىن	tˌæsɪɾˈɪdɪn
قۇياش	qˈujɑʃ
قالتىس	qˈɑltɪs
قانۇندا	qɑnˈundɑ
سىنىپ	sˈɪnɪp
ئەۋج	ˈæwd͡ʒ
قەدەم	qˈædæm
ئايرىلغان	ɑjrˈɪlʁɑn
ۋەيران	wˈæjrɑn
ھازىرغا	hɑzˈɪrʁɑ
قىلىنىش	qɪlˈɪnɪʃ
مەنىسىنى	mˌænɪsˈɪnɪ
قالماستىن	qɑlmˈɑstɪn
ئاۋازىنى	ˌɑwɑzˈɪnɪ
خىزمىتىگە	χˌɪzmɪtˈɪɡæ
خىلاپ	χˈɪlɑp
مەڭگۈلۈك	mæŋɡˈylyk
لوپ	lˈop
جاي	d͡ʒˈɑj
ئىسىملىرى	ˌɪsɪmlˈɪɾɪ
ئۆزگەرتىشكە	ˌœzɡærtˈɪʃkæ
ئىشلەيدىغان	ˌɪʃlæjdˈɪʁɑn
ئۆزىدىكى	ˌœzɪdˈɪkɪ
پايدا	pˈɑjdɑ
مەھكىمىسىنىڭ	mˌæhkɪmɪsˈɪnɪŋ
بىر	bˈɪr
ئالتە	ˈɑltæ
ئۆيىگە	œjˈɪɡæ
كىتابلىرى	kˌɪtɑblˈɪɾɪ
قۇتلۇق	qˈutluq
كېسەلگە	kesˈælɡæ
جون	d͡ʒˈon
ياۋروپا	jɑwrˈopɑ
چىنە	t͡ʃˈɪnæ
