hokimiyatiga	hˌɑkymˌyjætˈyɡæ
Tashki	tˈæʃky
jihozlar	d͡ʒyhˈɑzlæɾ
birdan	bˈyɾdæn
sharti	ʃˈæɾty
ishlatila	ˌyʃlætˈylæ
chekish	t͡Sˈekyʃ
quloq	qˈʊɫɑq
koʻzlab	kˈozlæb
jahonning	d͡ʒæhˈɑnnyŋ
oʻsuvchi	osˈʊʋt͡Sy
matnni	mˈætnny
shoʻra	ʃˈoɾæ
xonligi	χɑnɫˈyɡy
oʻzlashma	ozlˈæʃmæ
kukun	kˈʊkʊn
maishiy	mæˈyʃyj
qanday	qˈændæj
yoʻqotish	joqˈɑtyʃ
minimal	mynˈymæɫ
hosildorligini	hˌɑsyɫdˌɑɾɫyɡˈyny
konussimon	kˌɑnʊssˈymɑn
aloxida	ˌæɫɑχˈydæ
oʻldirildi	ˌoɫdyɾˈyɫdy
Sulaymon	sʊlˈæjmɑn
klassik	klˈæssyk
oroli	ɑɾˈɑɫy
chiqaruvchi	t͡Sˌyqæɾˈʊʋt͡Sy
ilmini	yɫmˈyny
qon	qˈɑn
birgalikda	bˌyɾɡæɫˈykdæ
diplomatik	dˌypɫɑmˈætyk
Saljuqiylar	sˌæɫd͡ʒʊqˈyjlæɾ
muqobil	mʊqˈɑbyɫ
sotsializm	sˌɑtsyˈæɫyzm
cherkovlar	t͡Seɾkˈɑʋlæɾ
ogʻriydi	ɑʁɾˈyjdy
ovozlar	ɑʋˈɑzlæɾ
hunarmandlar	hˌʊnæɾmˈændlæɾ
nomzodi	nɑmzˈɑdy
tushunadi	tˌʊʃʊnˈædy
qoʻmita	qomˈytæ
xayol	χˈæjɑɫ
qoʻllaydi	qoɫlˈæjdy
yillari	jyɫlˈæɾy
qutbi	qˈʊtby
tashlab	tˈæʃlæb
liberal	ɫybˈeɾæɫ
jiddiy	d͡ʒˈyddyj
koʻliga	koɫˈyɡæ
oʻtishini	ˌotyʃˈyny
arboblari	ˌæɾbɑblˈæɾy
qarori	qæɾˈɑɾy
soʻzdan	sˈozdæn
kayfiyati	kæjfˌyjˈæty
boʻlishi	boɫˈyʃy
polietilen	pˌɑɫyetˈylen
quyma	qˈʊjmæ
loyiq	ɫˈɑjyq
nolga	nˈɑɫɡæ
qaror	qˈæɾɑɾ
energiya	ˌeneɾɡˈyjæ
togʻlaridagi	tˌɑʁlæɾydˈæɡy
texnika	teχnˈykæ
neft	nˈeft
ustida	ʊstˈydæ
zanjir	zˈænd͡ʒyɾ
yaratish	jæɾˈætyʃ
vegetativ	ʋˌeɡetˈætyʋ
ijodkorlari	ˌyd͡ʒɑdkɑɾlˈæɾy
bilimlarni	bˌyɫymlˈæɾny
Rumiy	ɾˈʊmyj
nima	nˈymæ
kasalliklarida	kˌæsæɫɫˌyklæɾˈydæ
biokimyosi	bˌyɑkymjˈɑsy
ado	ˈædɑ
namunalar	nˌæmʊnˈælæɾ
targʻib	tˈæɾʁyb
anorganik	ˌænɑɾɡˈænyk
davlatlarida	dˌæʋlætlæɾˈydæ
Ikromov	ykɾˈɑmɑʋ
havzasiga	hˌæʋzæsˈyɡæ
guruhlari	ɡˌʊɾʊhlˈæɾy
Ibn	ˈybn
induksiya	ˌyndʊksˈyjæ
boʻlmay	bˈoɫmæj
sonlari	sɑnlˈæɾy
jadidchilik	d͡ʒˌædydt͡Sˈyɫyk
marketing	mæɾkˈetyŋ
sirtiga	syɾtˈyɡæ
hid	hˈyd
stavkasi	stæʋkˈæsy
v	ʋˈe
соллаллоҳу	sˌɑɫlæɫɫˈɑhʊ
koʻlamli	kolˈæmɫy
tarqatilgan	tˌæɾqætˈyɫɡæn
unsurlar	ʊnsˈʊɾlæɾ
oʻrgangan	oɾɡˈæŋæn
sabab	sˈæbæb
koʻrsatkichi	kˌoɾsætkˈyt͡Sy
Sahna	sˈæhnæ
ramzi	ɾˈæmzy
isbotlaydi	ˌysbɑtlˈæjdy
nazariyani	nˌæzæɾyjˈæny
chastotalar	t͡Sˌæstɑtˈælæɾ
Gruziyada	ɡɾˌʊzyjˈædæ
katorda	kætˈɑɾdæ
uyali	ʊjˈæɫy
konlarning	kɑnlˈæɾnyŋ
doʻst	dˈost
rivojlanadi	ɾˌyʋɑd͡ʒlænˈædy
arablarning	ˌæɾæblˈæɾnyŋ
moyak	mˈɑjæk
qarshilik	qæɾʃˈyɫyk
koshin	kˈɑʃyn
filmni	fˌyɫmny
foydalanishi	fˌɑjdælænˈyʃy
daryo	dˈæɾjɑ
tashlanadi	tˌæʃlænˈædy
xalkopirit	χˌæɫkɑpˈyɾyt
kilingan	kyɫˈyŋæn
istalgan	ystˈæɫɡæn
Kasallik	kæsˈæɫɫyk
Allohdan	æɫɫˈɑhdæn
konsentratsiyasi	kˌɑnsentɾˌætsyjˈæsy
jasadi	d͡ʒæsˈædy
qoʻngʻir	qˈoŋʔyɾ
hosildorligi	hˌɑsyɫdɑɾɫˈyɡy
moslab	mˈɑslæb
tahsil	tˈæhsyɫ
Xurshid	χˈʊɾʃyd
hoz	hˈɑz
uygʻunligi	ˌʊjʁʊnɫˈyɡy
oqimidagi	ˌɑqymydˈæɡy
fenotipik	fˌenɑtˈypyk
tutilishi	tˌʊtyɫˈyʃy
muallifi	mˌʊæɫɫˈyfˌy
rejasini	ɾˌed͡ʒæsˈyny
oʻrganuvchi	ˌoɾɡænˈʊʋt͡Sy
huquqqa	hʊqˈʊqqæ
qiymatini	qˌyjmætˈyny
Ashxobod	æʃχˈɑbɑd
Devonu	deʋˈɑnʊ
shartnomasi	ʃˌæɾtnɑmˈæsy
saylanishi	sˌæjlænˈyʃy
etkazib	etkˈæzyb
parki	pˈæɾky
vagonsozlik	ʋˌæɡɑnsˈɑzɫyk
koʻtarila	kˌotæɾˈylæ
AFC	ˈæfts
qurishni	qʊɾˈyʃny
islom	ˈysɫɑm
ustunlik	ʊstˈʊnɫyk
qizib	qˈyzyb
tushirildi	tˌʊʃyɾˈyɫdy
Nodira	nɑdˈyɾæ
Hozirgi	hɑzˈyɾɡy
sanoatiga	sˌænɑætˈyɡæ
XII	χˈyy
doʻstlari	dostlˈæɾy
diffuziya	dyffˌʊzˈyjæ
navlarni	næʋlˈæɾny
Vladimir	ʋlædˈymyɾ
zavodida	zˌæʋɑdˈydæ
chiqishlari	t͡Sˌyqyʃlˈæɾy
oshirdi	ɑʃˈyɾdy
koʻrgan	kˈoɾɡæn
asosga	æsˈɑsɡæ
boʻlmasa	boɫmˈæsæ
hibsga	hˈybsɡæ
tarmogʻi	tæɾmˈɑʁy
park	pˈæɾk
taqdirini	tˌæqdyɾˈyny
Fe	fˌe
Olimpiada	ˌɑɫympyˈædæ
agʻdarib	æʁdˈæɾyb
debyut	dˈebjʊt
Aloqa	æɫˈɑqæ
qolishadi	qˌɑɫyʃˈædy
Qiz	qˈyz
bazasida	bˌæzæsˈydæ
olov	ˈɑɫɑʋ
kavlab	kˈæʋlæb
relyef	ɾˈeɫjef
hisobidan	hˌysɑbˈydæn
ishlatiladi	ˌyʃlætylˈædy
sulola	sʊɫˈɑlæ
amirlari	ˌæmyɾlˈæɾy
teatrlarida	tˌeætɾlæɾˈydæ
alayhissalom	ˌælæjhyssˈæɫɑm
muhandislari	mˌʊhændyslˈæɾy
navlarini	nˌæʋlæɾˈyny
sharida	ʃæɾˈydæ
koʻchib	kˈot͡Syb
kabilarni	kˌæbylˈæɾny
tumanlaridagi	tˌʊmænlˌæɾydˈæɡy
kinematografiya	kˌynemˌætɑɡɾæfˌyjæ
qatlamlar	qætlˈæmlæɾ
boʻyalgan	bojˈæɫɡæn
liniy	ɫˈynyj
kelgan	kˈeɫɡæn
yaxshilaydi	jˌæχʃylˈæjdy
shifokor	ʃyfˌɑkɑɾ
faylasuflari	fˌæjlæsʊflˌæɾy
kapalaklar	kˌæpælˈæklæɾ
Kislorod	kysɫˈɑɾɑd
brendi	bɾˈendy
hodisalarning	hˌɑdysælˈæɾnyŋ
bemorlarni	bˌemɑɾlˈæɾny
quldorlik	qʊɫdˈɑɾɫyk
Buxoroni	bˌʊχɑɾˈɑny
qoʻshinni	qoʃˈynny
jahon	d͡ʒˈæhɑn
Shundan	ʃˈʊndæn
ekspeditsiya	ˌekspedytsˈyjæ
tushadi	tʊʃˈædy
kuzatiladi	kˌʊzætylˈædy
kelishilgan	kˌeɫyʃˈyɫɡæn
Afgʻonistonga	æfʁˌɑnystˈɑŋæ
tushuntirishga	tˌʊʃʊntyɾˈyʃɡæ
oʻzlashtirgan	ˌozlæʃtˈyɾɡæn
oilasi	ˌɑylˈæsy
koʻrinadigan	kˌoɾynædˈyɡæn
Ishlab	ˈyʃlæb
antitelolar	ˌæntyteɫˈɑlæɾ
xudolar	χʊdˈɑlæɾ
taraqqiyotining	tˌæɾæqqˌyjɑtˈynyŋ
jarayonlarini	d͡ʒˌæɾæjˌɑnlæɾˈyny
nurlar	nˈʊɾlæɾ
hududlardan	hˌʊdʊdlˈæɾdæn
urta	ˈʊɾtæ
sabablarga	sˌæbæblˈæɾɡæ
qishloqning	qyʃɫˈɑqnyŋ
reaksiyalarida	ɾˌeæksˌyjælæɾˈydæ
boshqalar	bɑʃqˈælæɾ
kasalliklarining	kˌæsæɫɫˌyklæɾˈynyŋ
bajarishda	bˌæd͡ʒæɾˈyʃdæ
tarbiyasi	tˌæɾbyjˈæsy
qoʻyilib	qojˈyɫyb
Kengashiga	kˌeŋæʃˈyɡæ
Arslon	ˈæɾsɫɑn
chaqirish	t͡Sæqˈyɾyʃ
inson	ˈynsɑn
Birok	bˈyɾɑk
Avtonom	æʋtˈɑnɑm
achchiq	ˈæt͡St͡Syq
kremniyli	kɾemnˈyjɫy
tahdid	tˈæhdyd
yillarga	jyɫlˈæɾɡæ
tizimli	tyzˈymɫy
hiqildoq	hyqˈyɫdɑq
solishda	sɑɫˈyʃdæ
okeanga	ˌɑkeˈæŋæ
oʻrinlardan	ˌoɾynlˈæɾdæn
qozi	qˈɑzy
elektronlarni	ˌelektɾɑnlˈæɾny
muhitini	mˌʊhytˈyny
Oʻlchash	ˈoɫt͡Sæʃ
birikmalarini	bˌyɾykmˌælæɾˈyny
koʻylak	kˈojlæk
yanada	jænˈædæ
bolasi	bɑlˈæsy
tufayli	tʊfˌæjɫy
yodgorliklardan	jˌɑdɡɑɾɫyklˈæɾdæn
iplari	yplˈæɾy
mumkinki	mʊmkˈynky
xaltasi	χæɫtˈæsy
xodimning	χɑdˈymnyŋ
yetim	jˈetym
toʻrtburchak	toɾtbˈʊɾt͡Sæk
oʻqituvchilar	ˌoqytʊʋt͡Sˈylæɾ
qisqichbaqasimonlar	qˌysqyt͡Sbˌæqæsymˈɑnlæɾ
xossaga	χɑssˈæɡæ
prorektor	pɾɑɾˈektɑɾ
turtki	tˈʊɾtky
sporalar	spɑɾˈælæɾ
maqsadiga	mˌæqsædˈyɡæ
xonadon	χɑnˈædɑn
jarayonini	d͡ʒˌæɾæjɑnˈyny
mablagʻi	mæblˈæʁy
pochta	pˈɑt͡Stæ
tashkilotlarning	tˌæʃkyɫɑtlˈæɾnyŋ
metrga	mˈetɾɡæ
toʻplash	tˈoplæʃ
haqiqatan	hˌæqyqˈætæn
Oʻrmon	ˈoɾmɑn
davlatining	dˌæʋlætˈynyŋ
kitobini	kˌytɑbˈyny
bezaklar	bezˈæklæɾ
imkoniyatiga	ˌymkɑnˌyjætˈyɡæ
teatrlari	tˌeætɾlˈæɾy
gektar	ɡˈektæɾ
boʻlmaganda	bˌoɫmæɡˈændæ
Van	ʋˈæn
urugʻlik	ʊɾˈʊʁɫyk
Isroil	ysɾˈɑyɫ
Iordaniya	ˌyɑɾdænˈyjæ
harid	hˈæɾyd
Kuyosh	kˈʊjɑʃ
oʻlkalarda	ˌoɫkælˈæɾdæ
piroksen	pyɾˈɑksen
Vrach	ʋɾˈæt͡S
katta	kˈættæ
usullardan	ˌʊsʊɫlˈæɾdæn
Islandiya	ˌyslændˈyjæ
asrlardan	æsɾlˈæɾdæn
ot	ˈɑt
temirli	temˈyɾɫy
qoramtir	qɑɾˈæmtyɾ
geosinklinal	ɡˌeɑsynkɫˈynæɫ
vazirligi	ʋˌæzyɾɫˈyɡy
bolsheviklar	bˌɑɫʃeʋˈyklæɾ
amiri	æmˈyɾy
mexanik	meχˈænyk
kursatgan	kʊɾsˈætɡæn
Akbar	ˈækbæɾ
chogʻda	t͡Sˈɑʁdæ
jamgʻarma	d͡ʒæmʁˈæɾmæ
portlovchi	pɑɾtɫˈɑʋt͡Sy
mezoni	mezˈɑny
kelishiga	kˌeɫyʃˈyɡæ
Parkent	pˈæɾkent
kollejlari	kˌɑɫled͡ʒlˈæɾy
balandroq	bælˈændɾɑq
shia	ʃˈyæ
Binoning	bynˈɑnyŋ
qayin	qˈæjyn
orasida	ˌɑɾæsˈydæ
morfologiyasi	mɑɾfˌɑɫɑɡyjˈæsy
xudo	χˈʊdɑ
maydonini	mˌæjdɑnˈyny
salmoqli	sæɫmˈɑqɫy
oʻquv	ˈoqʊʋ
fizigi	fˌyzˈyɡy
tekshiriladi	tˌekʃyɾylˈædy
insoniyat	ˌynsɑnˈyjæt
koʻtargan	kotˈæɾɡæn
Alyuminiy	ˌæɫjʊmˈynyj
Sino	sˈynɑ
byudjeti	bjʊdd͡ʒˈety
kirishdi	kyɾˈyʃdy
neyron	nˈejɾɑn
jasorat	d͡ʒæsˈɑɾæt
Dam	dˈæm
shoh	ʃˈɑh
faoliyatning	fˌæɑɫyjˈætnyŋ
amaldagi	ˌæmæɫdˈæɡy
may	mˈæj
xossalariga	χˌɑssælæɾˈyɡæ
tadbirlar	tædbˈyɾlæɾ
yuborib	jʊbˈɑɾyb
Estoniya	ˌestɑnˈyjæ
gullari	ɡʊɫlˈæɾy
samaradorligi	sˌæmæɾˌædɑɾɫˈyɡy
yuklar	jˈʊklæɾ
boʻlindi	boɫˈyndy
Boyazid	bɑjˈæzyd
aniqlaydi	ˌænyqlˈæjdy
General	ɡenˈeɾæɫ
hissasi	hyssˈæsy
geomorfologik	ɡˌeɑmɑɾfˌɑɫˈɑɡyk
avtomobillari	ˌæʋtɑmˌɑbyɫlˈæɾy
suvini	sʊʋˈyny
organizmlarni	ˌɑɾɡænyzmlˈæɾny
ajralmas	æd͡ʒɾˈæɫmæs
Urugʻ	ˈʊɾʊʁ
asorati	ˌæsɑɾˈæty
joylarida	d͡ʒˌɑjlæɾˈydæ
struktura	stɾʊktˈʊɾæ
boʻlmaydi	boɫmˈæjdy
pnevmatik	pneʋmˈætyk
ideal	ydˈeæɫ
kunduz	kˈʊndʊz
qiziqishi	qˌyzyqˈyʃy
Naxichevan	nˌæχyt͡Sˈeʋæn
bemorga	bemˈɑɾɡæ
maqom	mˈæqɑm
qirollik	qyɾˈɑɫɫyk
oʻsimlik	osˈymɫyk
balki	bˈæɫky
amorf	ˈæmɑɾf
allaqachon	ˌæɫlæqˈæt͡Sɑn
Bahorgi	bæhˈɑɾɡy
Rim	ɾˈym
yupqa	jˈʊpqæ
hisoblanib	hˌysɑblˈænyb
fazasi	fˌæzˈæsy
Oksidlanish	ˌɑksydlˈænyʃ
tra	tɾˈæ
erishildi	ˌeɾyʃˈyɫdy
oʻsimliklardan	ˌosymɫyklˈæɾdæn
munosabatlar	mˌʊnɑsæbˈætlæɾ
mevasi	meʋˈæsy
gʻishtdan	ʁˈyʃtdæn
hududiga	hˌʊdʊdˈyɡæ
shakllaridan	ʃˌækɫlæɾˈydæn
qurildi	qʊɾˈyɫdy
Tashkilotning	tˌæʃkyɫˈɑtnyŋ
bozorida	bˌɑzɑɾˈydæ
qoidalariga	qˌɑydˌælæɾˈyɡæ
Amerikalik	ˌæmeɾykˈæɫyk
hamma	hˈæmmæ
organizmi	ˌɑɾɡænˈyzmy
Rus	ɾˈʊs
sotildi	sɑtˈyɫdy
ulangan	ʊlˈæŋæn
quyon	qˈʊjɑn
terminlar	teɾmˈynlæɾ
chora	t͡Sˈɑɾæ
Qattiq	qˈættyq
Alp	ˈæɫp
qogʻozlar	qɑʁˈɑzlæɾ
km	kˌaˈem
Oʻtmishda	otmˈyʃdæ
Bulardan	bʊlˈæɾdæn
Taxminan	tæχmˌynæn
yani	jˈæny
Sanoatida	sˌænɑætˈydæ
zaxiralarini	zˌæχyɾˌælæɾˈyny
boʻyidagi	bˌojydˈæɡy
uchragan	ʊt͡Sɾˈæɡæn
solish	sˈɑɫyʃ
kodeksi	kɑdˈeksy
yaratgan	jæɾˈætɡæn
vaziyati	ʋˌæzyjˈæty
buyum	bˈʊjʊm
yuzi	jˈʊzy
qalinlikdagi	qˌæɫynɫykdˈæɡy
oʻtkir	ˈotkyɾ
ammiak	æmmˈyæk
direktor	dyɾˈektɑɾ
Pokiston	pɑkˈystɑn
hoshiya	hɑʃˈyjæ
yuridik	jʊɾˈydyk
oilaning	ˌɑylˈænyŋ
ikkisi	ykkˈysy
bogʻlar	bˈɑʁlæɾ
Al	ˈæɫ
deformatsiyalar	defˌɑɾmætsyjˈælæɾ
prof	pɾˈɑf
Pastki	pˈæstky
sintez	sˈyntez
erda	ˈeɾdæ
Afsuski	æfsˌʊsky
huquqda	hʊqˈʊqdæ
paytida	pæjtˈydæ
sezgilar	sezɡˈylæɾ
mintaqalarida	mˌyntæqˌælæɾˈydæ
firma	fˌyɾmæ
keyingi	kejˈyŋy
Ijodi	yd͡ʒˈɑdy
Don	dˈɑn
hidi	hˈydy
mustaqilligi	mˌʊstæqyɫɫˈyɡy
buxoroliklar	bˌʊχɑɾɑɫˈyklæɾ
mumtoz	mˈʊmtɑz
tarkibidan	tˌæɾkybˈydæn
uslub	ˈʊsɫʊb
jamoada	d͡ʒˌæmɑˈædæ
Rossiyadagi	ɾˌɑssyjædˈæɡy
boshqarilgan	bˌɑʃqæɾˈyɫɡæn
quruq	qˈʊɾʊq
maqsadlari	mˌæqsædlˈæɾy
Sileziya	sˌylezˈyjæ
sinfi	sˈynfˌy
quruqlikda	qˌʊɾʊqɫˈykdæ
vaziyatni	ʋˌæzyjˈætny
talaygina	tˌælæjɡˈynæ
igna	ˈyɡnæ
konservatoriyasini	kˌɑnseɾʋˌætɑɾˌyjæsˈyny
aruz	ˈæɾʊz
spektakllarni	spˌektækɫlˈæɾny
soda	sˈɑdæ
guruhlariga	ɡˌʊɾʊhlæɾˈyɡæ
kerak	kˈeɾæk
toj	tˈɑd͡ʒ
qoʻriqxonasi	qˌoɾyqχɑnˈæsy
yopishtirib	jˌɑpyʃtˈyɾyb
chirigan	t͡Syɾˈyɡæn
va	ʋˈæ
manfaatini	mænfˌæætˈyny
chegaralanadi	t͡Sˌeɡæɾˌælænˈædy
kechib	kˈet͡Syb
yotqizilgan	jˌɑtqyzˈyɫɡæn
ikkalasi	ˌykkælˈæsy
yil	jˈyɫ
boʻgʻim	bˈoʁym
organizmining	ˌɑɾɡænyzmˈynyŋ
qiz	qˈyz
XVIII	χʋyˈyy
boʻgʻinli	boʁˈynɫy
ziyod	zˈyjɑd
tugatgach	tʊɡˈætɡæt͡S
ustalik	ʊstˈæɫyk
profilaktik	pɾɑfˌylˈæktyk
Chuvash	t͡Sˈʊʋæʃ
joyga	d͡ʒˈɑjɡæ
haykallari	hˌæjkæɫlˈæɾy
мулло	mˈʊɫɫɑ
Piyoda	pyjˈɑdæ
Mavjud	mˈæʋd͡ʒʊd
ҳам	hˈæm
yotadi	jɑtˈædy
mustamlakachilik	mˌʊstæmlˌækæt͡Sˈyɫyk
Narimonov	nˌæɾymˈɑnɑʋ
fikrlari	fˌykɾlˈæɾy
oʻsishini	ˌosyʃˈyny
Anna	ˈænnæ
Seleksiya	sˌeleksˈyjæ
konvensiya	kˌɑnʋensˈyjæ
sirka	sˈyɾkæ
tashkilotlar	tˌæʃkyɫˈɑtlæɾ
samarasi	sˌæmæɾˈæsy
belgilanadi	bˌeɫɡylænˈædy
yot	jˈɑt
yonidagi	jˌɑnydˈæɡy
etadi	etˈædy
katod	kˈætɑd
qiladi	qylˈædy
boks	bˈɑks
belgilarining	bˌeɫɡylæɾˈynyŋ
Zambiya	zæmbˈyjæ
pasayishi	pˌæsæjˈyʃy
zikr	zˈykɾ
tarqatuvchi	tˌæɾqætˈʊʋt͡Sy
Boburning	bɑbˈʊɾnyŋ
qurbon	qˈʊɾbɑn
ohanglari	ˌɑhæŋlˈæɾy
tegishlicha	tˌeɡyʃɫˈyt͡Sæ
korporatsiya	kˌɑɾpɑɾætsˈyjæ
yoʻlining	joɫˈynyŋ
majbur	mˈæd͡ʒbʊɾ
qilgani	qyɫɡˈæny
aylana	æjlˈænæ
bloklar	bɫˈɑklæɾ
Chunonchi	t͡Sʊnˈɑnt͡Sy
Sharkda	ʃˈæɾkdæ
ijodkorning	ˌyd͡ʒɑdkˈɑɾnyŋ
toʻkilib	tokˈyɫyb
predmeti	pɾedmˈety
Osiyodagi	ˌɑsyjɑdˈæɡy
tasarrufiga	tˌæsæɾɾʊfˌyɡæ
belgilarning	bˌeɫɡylˈæɾnyŋ
yangiliklar	jˌæŋyɫˈyklæɾ
oqibati	ˌɑqybˈæty
qolish	qˈɑɫyʃ
chirindi	t͡Syɾˈyndy
Xoʻjalik	χod͡ʒˈæɫyk
Ijodida	ˌyd͡ʒɑdˈydæ
moʻl	mˈoɫ
Dindorlari	dˌyndɑɾlˈæɾy
masofalarga	mˌæsɑfˌælˈæɾɡæ
imkoniyat	ˌymkɑnˈyjæt
Sardiniya	sˌæɾdynˈyjæ
Soʻngra	sˈoŋɾæ
oʻtiladi	ˌotylˈædy
standart	stˈændæɾt
jinslar	d͡ʒˈynslæɾ
asbest	ˈæsbest
birga	bˈyɾɡæ
bolalarni	bˌɑlælˈæɾny
bardosh	bˈæɾdɑʃ
provinsiyasining	pɾˌɑʋynsˌyjæsˈynyŋ
falsafani	fˌæɫsæfˌæny
bobosi	bɑbˈɑsy
magistral	mæɡˈystɾæɫ
madhiya	mædhˈyjæ
tushuniladi	tˌʊʃʊnylˈædy
xlor	χɫˈɑɾ
BMTning	bˌeˈemtnˈyŋ
boqiladigan	bˌɑqylædˈyɡæn
massagetlar	mˌæssæɡˈetlæɾ
koʻrinib	koɾˈynyb
uyli	ˈʊjɫy
qoyalar	qɑjˈælæɾ
Oradan	ɑɾˈædæn
rivojlanmagan	ɾˌyʋɑd͡ʒlænmˈæɡæn
yuborishga	jˌʊbɑɾˈyʃɡæ
ismli	ˈysmɫy
qirgʻoqlari	qˌyɾʁɑqlˈæɾy
avtonom	æʋtˈɑnɑm
konservatoriyasida	kˌɑnseɾʋˌætɑɾˌyjæsˈydæ
geofizika	ɡˌeɑfˌyzˈykæ
lat	lˈæt
ustidan	ʊstˈydæn
mustahkam	mʊstˈæhkæm
maydonlarning	mˌæjdɑnlˈæɾnyŋ
orkestr	ˈɑɾkestɾ
millatning	myɫlˈætnyŋ
tasvirini	tˌæsʋyɾˈyny
mutaxassislari	mˌʊtæχˌæssyslˈæɾy
Soʻx	sˈoχ
sexi	sˈeχy
Masalan	mæsˈælæn
bezagi	bezˈæɡy
ochish	ˈɑt͡Syʃ
oltingugurt	ˌɑɫtyŋˈʊɡʊɾt
ishlaydigan	ˌyʃlæjdˈyɡæn
taklifiga	tˌækɫyfˌyɡæ
quyilishi	qˌʊjyɫˈyʃy
Xorazm	χˈɑɾæzm
namoz	nˈæmɑz
sayyora	sæjjˈɑɾæ
uzoqqa	ʊzˈɑqqæ
yezdi	jˈezdy
hil	hˈyɫ
akademiyasida	ˌækædˌemyjæsˈydæ
oʻqish	ˈoqyʃ
hisobiga	hˌysɑbˈyɡæ
vaqtning	ʋˈæqtnyŋ
rivojiga	ɾˌyʋɑd͡ʒˈyɡæ
Audi	æˈʊdy
jismlarning	d͡ʒysmlˈæɾnyŋ
hokimiyatini	hˌɑkymˌyjætˈyny
tilining	tyɫˈynyŋ
oqilona	ˌɑqyɫˈɑnæ
Boʻz	bˈoz
sohalaridagi	sˌɑhælˌæɾydˈæɡy
adiblari	ˌædyblˈæɾy
egalik	eɡˈæɫyk
yigʻiladi	jˌyʁylˈædy
singib	sˈyŋyb
tuzishda	tʊzˈyʃdæ
Hindistondagi	hˌyndystɑndˈæɡy
farqli	fˌæɾqɫy
AQShning	ˌæqˈaʃnˈyŋ
bizgacha	byzɡˈæt͡Sæ
oʻtlar	ˈotlæɾ
oddiy	ˈɑddyj
qalinlikda	qˌæɫynɫˈykdæ
irrigatsiya	ˌyɾɾyɡætsˈyjæ
emizuvchilarning	ˌemyzˌʊʋt͡Sylˈæɾnyŋ
birlashtiradi	bˌyɾlæʃtyɾˈædy
orollarni	ˌɑɾɑɫlˈæɾny
manbalarida	mˌænbælæɾˈydæ
Oxirgi	ɑχˈyɾɡy
ariq	ˈæɾyq
oʻrtasidagi	ˌoɾtæsydˈæɡy
baxt	bˈæχt
Maydoni	mæjdˈɑny
artisti	æɾtˈysty
tikuvchilik	tˌykʊʋt͡Sˈyɫyk
statistika	stˌætystˈykæ
chuqurlik	t͡Sʊqˈʊɾɫyk
oʻtkazilgan	ˌotkæzˈyɫɡæn
sababi	sæbˈæby
vinolar	ʋynˈɑlæɾ
uchrashuvi	ˌʊt͡Sɾæʃˈʊʋy
imperiyasida	ˌympeɾˌyjæsˈydæ
Sababi	sæbˈæby
dori	dˈɑɾy
qurilish	qʊɾˈyɫyʃ
R	ˈeɾ
mutaxassislarning	mˌʊtæχˌæssyslˈæɾnyŋ
oʻrik	ˈoɾyk
radio	ɾædˈyɑ
kislotalari	kˌysɫɑtælˈæɾy
nufuzli	nʊfˌʊzɫy
joylashadi	d͡ʒˌɑjlæʃˈædy
sudralib	sʊdɾˈæɫyb
topildi	tɑpˈyɫdy
kelishuvi	kˌeɫyʃˈʊʋy
qonli	qˈɑnɫy
kub	kˈʊb
yashayotgan	jˌæʃæjˈɑtɡæn
Respublikasida	ɾˌespʊbɫˌykæsˈydæ
tavsiflash	tæʋsˈyflˌæʃ
tabiatda	tˌæbyˈætdæ
odamni	ɑdˈæmny
bezgak	bˈezɡæk
Vikipediya	ʋˌykypedˈyjæ
Konning	kˈɑnnyŋ
ataylab	ætˈæjlæb
Gʻarbda	ʁˈæɾbdæ
qiluvchi	qyɫˈʊʋt͡Sy
vagon	ʋˈæɡɑn
yuborgan	jʊbˈɑɾɡæn
chiqiladi	t͡Sˌyqylˈædy
oʻtgandan	otɡˈændæn
bogʻlash	bˈɑʁlæʃ
kuzatib	kʊzˈætyb
kuzgi	kˈʊzɡy
masjidlari	mˌæsd͡ʒydlˈæɾy
koʻli	kˈoɫy
zonalar	zɑnˈælæɾ
sakrab	sˈækɾæb
Ana	ˈænæ
Oʻlim	ˈoɫym
Xodjali	χɑdd͡ʒˈæɫy
duch	dˈʊt͡S
qoʻllashga	qoɫlˈæʃɡæ
chatishtirish	t͡Sˌætyʃtˈyɾyʃ
asarlar	æsˈæɾlæɾ
masjid	mˈæsd͡ʒyd
moyi	mˈɑjy
gavdaning	ɡæʋdˈænyŋ
muhitga	mʊhˈytɡæ
choʻlga	t͡Sˈoɫɡæ
boʻlganida	bˌoɫɡænˈydæ
yuboradi	jˌʊbɑɾˈædy
kech	kˈet͡S
aylanish	æjlˈænyʃ
energiyasini	ˌeneɾɡˌyjæsˈyny
raisi	ɾæˈysy
konus	kˈɑnʊs
musulmon	mʊsˈʊɫmɑn
metodlar	metˈɑdlæɾ
Rivojlangan	ɾˌyʋɑd͡ʒlˈæŋæn
qoʻshiqlari	qˌoʃyqlˈæɾy
cheklash	t͡Sˈeklæʃ
qoshidagi	qˌɑʃydˈæɡy
zulmiga	zʊɫmˈyɡæ
toʻra	tˈoɾæ
armanilarning	ˌæɾmænylˈæɾnyŋ
foydalanildi	fˌɑjdælænˈyɫdy
dirijyor	dyɾˈyd͡ʒjɑɾ
