जलसा	d͡ʒəl̪s̪äː
विश्वभाषा	ʋɪʃʋəbʱäːʃäː
तुक्का	t̪ʊk̚käː
गहना	ɡɛɦn̪äː
स्लाइस	s̪l̪äːɪs̪
भंग	bʱə̃ŋɡ
पढ़ना	pəɽʱn̪äː
पछाड़	pət͡ʃʰäːɽ
वीरान	ʋiːɾä̃ːn̪
अर्जेन्टीना	äːɾd͡ʒẽːɳʈiːn̪äː
अँगरेज़ी	ə̃ŋɡɾeːd͡ʒiː
चमड़ा	t͡ʃə̃mɽäː
सवेरे	s̪əʋeːɾeː
श्रावण	ʃɾäːʋə̃ɳ
मुलाज़िम	mʊl̪äːzɪ̃m
चुसकी	t͡ʃʊs̪kiː
बादाम	bäːd̪ä̃ːm
बाँध	bä̃ːn̪d̪ʱ
पेठा	peːʈʰäː
अंतर्कालीन	ə̃n̪t̪əɾkäːl̪ĩːn̪
मुनाफ़ा	mʊn̪äːpʰäː
अपसामान्य	əps̪äːmä̃ːn̪jᵊ
राजा	ɾäːd͡ʒäː
पनीर	pən̪iːɾ
अगाऊ	əɡäːuː
द्विपक्षीय	d̪wɪpəkʃiːjᵊ
क्षारीय	kʃäːɾiːjᵊ
मध्यांतर	məd̪ʱjä̃ːn̪t̪əɾ
बूढ़ा	buːɽʱäː
बाण	bä̃ːɳ
थाईलैंड	t̪ʰäːiːl̪ɛ̃ːɳɖ
जगमगाना	d͡ʒəɡməɡäːn̪äː
ससुराल	s̪əs̪ʊɾäːl̪
हितकारिणी	ɦɪt̪käːɾɪɳiː
चेहरा	t͡ʃeːɦɾäː
शाहीन	ʃäːɦĩːn̪
चंद्र	t͡ʃə̃n̪d̪ɾᵊ
भूचाल	bʱuːt͡ʃäːl̪
लूक़ा	l̪uːqäː
आलेख	äːl̪eːkʰ
तिब्बत	t̪ɪb̚bət̪
क़दम	qəd̪ə̃m
चॉकलेट	t͡ʃɔkəl̪eːʈ
सोशलिस्ट	s̪oːʃl̪ɪs̪ʈ
जेठानी	d͡ʒeːʈʰäːn̪iː
चंद्रग्रहण	t͡ʃə̃n̪d̪ɾəɡɾɛɦɛ̃ɳ
ग़ुस्सा	ɡʊs̪s̪äː
चेन्नई	t͡ʃẽːn̪n̪əiː
बोल	boːl̪
आर्मेनिया	äːɾmeːn̪ijäː
इकावन	ɪkäːʋə̃n̪
पंचशील	pə̃n̪t͡ʃʃiːl̪
क़ायदा	qäːjd̪äː
किरायेदार	kɪɾäːjeːd̪äːɾ
पसंदीदा	pəs̪ə̃n̪d̪iːd̪äː
खेला	kʰeːl̪äː
पुलिंदा	pʊl̪ɪ̃n̪d̪äː
पकोड़ा	pəkoːɽäː
संभोग	s̪ə̃mbʱoːɡ
जाला	d͡ʒäːl̪äː
अपेक्षित	əpeːkʃɪt̪
अध्ययन	əd̪ʱjə̃n̪
इंतकाल	ɪ̃n̪t̪əqäːl̪
टूथपेस्ट	ʈuːt̪ʰpeːs̪ʈ
अधिनायक	əd̪ʱɪn̪äːjək
कर्मशाला	kəɾməʃäːl̪äː
मूलाधार	muːl̪äːd̪ʱäːɾ
बकवास	bəkwäːs̪
परनानी	pəɾn̪äːn̪iː
नरगिस	n̪əɾɡɪs̪
हिलवाना	ɦɪl̪ʋäːn̪äː
कृदन्त	kɾɪd̪ə̃n̪t̪
संग्रथन	s̪ə̃ŋɡɾət̪ʰə̃n̪
देहली	d̪eːɦl̪iː
कुशल	kʊʃəl̪
झाग	d͡ʒʱäːɡ
चोखा	t͡ʃoːkʰäː
शोला	ʃoːl̪äː
बवासीर	bəʋäːs̪iːɾ
सरदार	s̪əɾd̪äːɾ
राजमा	ɾäːd͡ʒmäː
दवाख़ाना	d̪əʋäːxäːn̪äː
विक्षनरी	ʋɪkʃə̃n̪ɾiː
कारण	käːɾə̃ɳ
कमाई	kəmäːiː
प्रोत्साहित	pɾoːt̪s̪äːɦɪt̪
मचाना	mət͡ʃäːn̪äː
उपायुक्त	ʊpäːjʊkt̪
पंखावाला	pə̃ŋkʰäːʋäːl̪äː
झमेला	d͡ʒʱəmeːl̪äː
जा	d͡ʒäː
दालचीनी	d̪äːl̪t͡ʃiːn̪iː
गिनी	ɡɪn̪iː
टँगना	ʈə̃ŋɡn̪äː
सिडनी	s̪ɪɖn̪iː
मसिपात्र	məs̪ɪpäːt̪ɾᵊ
महफ़िल	mɛɦpʰɪl̪
राशि	ɾäːʃiː
क़दीम	qəd̪ĩːm
मनमाना	mə̃n̪mäːn̪äː
विद्यालय	ʋɪd̪jäːl̪əj
बायाँ	bäːjä̃ː
रियाज़	ɾijäːd͡ʒ
हिंसा	ɦɪ̃n̪s̪äː
अस्वीकृत	əs̪ʋiːkɾɪt̪
बहुपयोगी	bɔɦɔpjoːɡiː
मेक्सिको	meːks̪ɪkoː
बिकाऊ	bɪkäːuː
दाम	d̪ä̃ːm
मख़मल	məkʰməl̪
वेलिंग्टन	ʋeːl̪ɪ̃ŋɡʈə̃n̪
तारा	t̪äːɾäː
कागज	käːɡəd͡ʒ
हाफ़िज़ा	ɦäːfɪzäː
बंबैया	bə̃mbə̯ijäː
जोहानसबर्ग	d͡ʒoːɦäːn̪əs̪bəɾɡ
तैंतीस	t̪ɛ̃ːn̪t̪iːs̪
पेट्रोल	peːʈɾoːl̪
ज़लज़ला	d͡ʒəl̪d͡ʒəl̪äː
दराज़	d̪əɾäːd͡ʒ
कामचोर	kä̃ːmt͡ʃoːɾ
बराबर	bəɾäːbəɾ
क़ानून	qäːn̪ũːn̪
पीसना	piːs̪n̪äː
हैदराबाद	ɦɛːd̪ɾäːbäːd̪
मैलवेयर	mɛːl̪ʋeːjəɾ
वैकुण्ठ	ʋɛːkʊ̃ɳʈʰ
पसंदगी	pəs̪ə̃n̪d̪ɡiː
प्रागैतिहासिक	pɾäːɡɛːt̪ɪɦäːs̪ɪk
पोता	poːt̪äː
संशोधन	s̪ə̃n̪ʃoːd̪ʱə̃n̪
क्राइस्टचर्च	kɾäːɪs̪ʈt͡ʃəɾt͡ʃ
क्षेत्रीय	kʃeːt̪ɾiːjᵊ
मेवाड़	meːʋäːɽ
तर्कशास्त्र	t̪əɾkʃäːs̪t̪ɾᵊ
अबिवात्त	əbɪʋäːt̪t̪
नोनी	n̪oːn̪iː
ख़बरनवीस	kʰəbəɾn̪əʋiːs̪
प्रजा	pɾəd͡ʒäː
कम्युनिज़म	kə̃mjʊn̪ɪd͡ʒə̃m
फ़्रांसीसी	pʰɾä̃ːn̪s̪iːs̪iː
जिज्ञासा	d͡ʒɪɡjäːs̪äː
इल्तिजा	ɪl̪t̪ɪd͡ʒäː
अधीनता	əd̪ʱĩːn̪t̪äː
संगीन	s̪ə̃ŋɡĩːn̪
वादा	ʋäːd̪äː
तसल्ली	t̪əs̪əl̪l̪iː
किला	qɪl̪äː
टेलीफोन	ʈeːl̪iːfõːn̪
दिरम	d̪ɪɾə̃m
हवाला	ɦəʋäːl̪äː
मुक़दमा	mʊkəd̪mäː
संवेग	s̪ə̃mweːɡ
फ़र्रुख़ाबाद	pʰəɾɾʊkʰäːbäːd̪
छरहरा	t͡ʃʰəɾɛɦɾäː
भुवन	bʱʊʋə̃n̪
ताज़ा	t̪äːzäː
ज़ाया	d͡ʒäːjäː
आसमान	äːs̪mä̃ːn̪
सिफ़र	s̪ɪpʰəɾ
संत	s̪ə̃n̪t̪
कसौटी	kəs̪ɔːʈiː
परिकलित्र	pəɾɪkəl̪ɪt̪ɾᵊ
क़फ़स	qəfəs̪
तत्पश्चात्	t̪ət̪pəʃt͡ʃäːt̪
आजमाना	äːd͡ʒmäːn̪äː
मशीनीकरण	məʃiːn̪iːkəɾə̃ɳ
छली	t͡ʃʰəl̪iː
आदरणीय	äːd̪əɾɳiːjᵊ
जम्मू	d͡ʒə̃mmuː
भुगताना	bʱʊɡt̪äːn̪äː
सिफ़ारत	s̪ɪpʰäːɾət̪
कार्यकर्ता	käːɾjəkəɾt̪äː
परवाज़	pəɾʋäːz
दग़ा	d̪əɡäː
धरान	d̪ʱəɾä̃ːn̪
सौराष्ट्र	s̪ɔːɾäːʃʈɾᵊ
क़लम	qəl̪ə̃m
ऊन	ũːn̪
सर्वदलीय	s̪əɾʋd̪əl̪iːjᵊ
एडवायज़री	eːɖwäːjd͡ʒəɾiː
महीन	məɦĩːn̪
प्रांत	pɾä̃ːn̪t̪
ज़्यादती	zjäːd̪ət̪iː
चंद्रवार	t͡ʃə̃n̪d̪ɾəʋäːɾ
फेसबुक	feːs̪bʊk
मोबाइल	moːbäːɪl̪
किफ़ायत	kɪfäːjət̪
समक्ष	s̪əməkʃ
ज़र्रा	d͡ʒəɾɾäː
सहरा	s̪ɛɦɾäː
काग़ज़ात	käːɡd͡ʒäːt̪
दृढ़संकल्प	d̪ɾɪɽʱs̪ə̃ŋkəl̪p
गधा	ɡəd̪ʱäː
ताज	t̪äːd͡ʒ
संलग्न	s̪ə̃l̪əɡn̪ᵊ
अनुवांशिक	ən̪ʊʋä̃ːn̪ʃɪk
अंक	ə̃ŋk
अलार्म	əl̪ɑːɾəm
चरण	t͡ʃəɾə̃ɳ
रिक्शावाला	ɾɪkʃäːʋäːl̪äː
तिल	t̪ɪl̪
शिरोरेखा	ʃɪɾoːɾeːkʰäː
बजाय	bəd͡ʒäːj
ताड़	t̪äːɽ
अगवानी	əɡʋäːn̪iː
कूड़ा	kuːɽäː
दृष्टिपटल	d̪ɾɪʃʈɪpʈəl̪
हलाक	ɦəl̪äːk
ग़ोता	ɡoːt̪äː
नदियो	n̪əd̪ijoː
स्पेन	s̪pẽːn̪
उलझाना	ʊl̪d͡ʒʱäːn̪äː
आवृत्ति	äːʋɾɪt̪̚t̪iː
अवकलनीय	əʋkəl̪ən̪iːjᵊ
बिंदास	bɪ̃n̪d̪äːs̪
बर्लिन	bəɾl̪ɪ̃n̪
अंतरण	ə̃n̪t̪ɾə̃ɳ
अनुरक्षण	ən̪ʊɾəkʃə̃ɳ
अभ्यासवश	əbʱjäːs̪ʋəʃ
थूकना	t̪ʰuːkn̪äː
जवाब	d͡ʒəʋäːb
कला	kəl̪äː
दंदान	d̪ə̃n̪d̪ä̃ːn̪
मेहमान	meːɦmä̃ːn̪
कठिन	kəʈʰɪ̃n̪
ऋण	ɾɪ̃ɳ
लोटा	l̪oːʈäː
इसरार	ɪs̪ɾäːɾ
उलाहना	ʊl̪äːɦn̪äː
शिलांग	ʃɪl̪ä̃ːŋɡ
लौंडा	l̪ɔ̃ːɳɖäː
आत्मसात	äːt̪məs̪äːt̪
ऑस्ट्रेलिया	ɔs̪ʈɾeːl̪ijäː
पागलख़ाना	päːɡəl̪kʰäːn̪äː
होंडुरस	ɦõːɳɖʊɾəs̪
धन्य	d̪ʱə̃n̪jᵊ
क्रोएशिया	kɾoːeːʃijäː
ज़हरीली	d͡ʒɛɦɾiːl̪iː
बोली	boːl̪iː
समाज	s̪əmäːd͡ʒ
छाती	t͡ʃʰäːt̪iː
भुजा	bʱʊd͡ʒäː
तिलहन	t̪ɪl̪ɦə̃n̪
बेदख़ली	beːd̪əxl̪iː
पुतना	pʊt̪̚n̪äː
फिल्मी	fɪl̪miː
नुक़्ता	n̪ʊqt̪äː
दायी	d̪äːjiː
नारी	n̪äːɾiː
ख़ालिस	kʰäːl̪ɪs̪
तिलचट्टा	t̪ɪl̪t͡ʃəʈ̚ʈäː
यूनिवर्सिटी	juːn̪ɪʋəɾs̪ɪʈiː
तेईस	t̪eːiːs̪
भूसा	bʱuːs̪äː
नाग	n̪äːɡ
गुणसूत्रबिंदु	ɡʊ̃ɳs̪uːt̪ɾᵊbɪ̃n̪d̪uː
परिस्थिति	pəɾɪs̪t̪ʰɪt̪iː
सिंगापुर	s̪ɪ̃ŋɡäːpʊɾ
बम्बैया	bə̃mbə̯ijäː
रिश्तेदार	ɾɪʃt̪eːd̪äːɾ
बधिरता	bəd̪ʱɪɾt̪äː
अभ्यंग	əbʱjə̃ŋɡ
एस्पेरांतो	eːs̪peːɾä̃ːn̪t̪oː
पीपा	piːpäː
हमसफ़र	ɦə̃ms̪əfəɾ
फ़ना	pʰən̪äː
बेबाक़	beːbäːq
फक्कड़	pʰək̚kəɽ
बख़रा	bəkʰɾäː
तुल्य	t̪ʊl̪jᵊ
घमासान	ɡʱəmäːs̪ä̃ːn̪
वोल्गा	ʋoːl̪ɡäː
ग़ुसलख़ाना	ɡʊs̪əl̪kʰäːn̪äː
कामी	käːmiː
नहर	n̪ɛɦɛɾ
क़ाबिलीयत	käːbɪl̪iːjət̪
कनपटी	kə̃n̪pəʈiː
लेख	l̪eːkʰ
काल्पनिक	käːl̪pən̪ɪk
यतीमख़ाना	jət̪ĩːmkʰäːn̪äː
शहला	ʃɛɦl̪äː
सर्पिल	s̪əɾpɪl̪
आतमीयता	äːt̪miːjt̪äː
जीन	d͡ʒĩːn̪
फ़ौरन	pʰɔːɾə̃n̪
ब्याह	bjäːɦ
जानना	d͡ʒä̃ːn̪n̪äː
ग़ायब	ɣäːjəb
टुकड़ा	ʈʊkɽäː
सवाना	s̪əʋäːn̪äː
अंतर्देशीय	ə̃n̪t̪əɾd̪eːʃiːjᵊ
पेरिस	peːɾɪs̪
नंबर	n̪ə̃mbəɾ
मुंतज़िर	mʊ̃n̪t̪əd͡ʒɪɾ
अंग	ə̃ŋɡ
पूर्णबंदी	puːɾɳbə̃n̪d̪iː
संगठनात्मक	s̪ə̃ŋɡəʈʰən̪äːt̪mək
औजार	ɔːzäːɾ
ख़ानसामा	kʰä̃ːn̪s̪äːmäː
शुद्धगतिकी	ʃʊd̪̚d̪ʱəɡt̪ɪkiː
रासो	ɾäːs̪oː
सड़सठ	s̪əɽs̪əʈʰ
पादत्र	päːd̪ət̪ɾᵊ
नज़ारा	n̪əd͡ʒäːɾäː
साज़िश	s̪äːzɪʃ
प्याज	pjäːd͡ʒ
सूरिया	s̪uːɾijäː
राजकुमार	ɾäːd͡ʒkʊmäːɾ
बिस्तर	bɪs̪t̪əɾ
ने	n̪eː
शरियत	ʃəɾijət̪
ममनून	mə̃mn̪ũːn̪
अशान्ति	əʃä̃ːn̪t̪iː
हाउस	ɦäːʊs̪
सुग्गा	s̪ʊɡɡäː
ट्रंप	ʈɾə̃mp
ध्वनि	d̪ʱʋən̪iː
लहसुन	l̪ɛɦs̪ʊ̃n̪
अनूठा	ən̪uːʈʰäː
निशानेबाज़ी	n̪ɪʃäːn̪eːbäːd͡ʒiː
भीड़भाड़	bʱiːɽbʱäːɽ
ज़र्रा	zəɾɾäː
अनुनाद	ən̪ʊn̪äːd̪
ग़बन	ɡəbə̃n̪
प्रचारित	pɾət͡ʃäːɾɪt̪
एंड्रॉइड	ẽːɳɖɾɔɪɖ
उलझना	ʊl̪əd͡ʒʱn̪äː
पचासी	pət͡ʃäːs̪iː
चाप	t͡ʃäːp
छर्रा	t͡ʃʰəɾɾäː
शफ़ा	ʃəfäː
चीरना	t͡ʃiːɾn̪äː
समुदाय	s̪əmʊd̪äːj
छंद	t͡ʃʰə̃n̪d̪
नेकटाई	n̪eːkʈäːiː
असिस्टेंट	əs̪ɪs̪ʈẽːɳʈ
इम्तेहान	ɪ̃mt̪eːɦä̃ːn̪
विषकन्या	ʋɪʃkə̃n̪jäː
मूसा	muːs̪äː
ख़ुशमिज़ाज	kʰʊʃmɪd͡ʒäːd͡ʒ
व्यष्टि	ʋjəʃʈiː
अलंकृत	əl̪ə̃ŋkɾɪt̪
अक़्लमंद	əqəl̪mə̃n̪d̪
उम्मीदवार	ʊ̃mmiːd̪wäːɾ
भेषज	bʱeːʃəd͡ʒ
आषाढ़	äːʃäːɽʱ
दुकान	d̪ʊkä̃ːn̪
मनाना	mən̪äːn̪äː
निरंकुश	n̪ɪɾə̃ŋkʊʃ
उकसाना	ʊks̪äːn̪äː
आयुर्वेद	äːjʊɾʋeːd̪
तिरछा	t̪ɪɾt͡ʃʰäː
लैब	l̪ɛːb
विस्थापन	ʋɪs̪t̪ʰäːpə̃n̪
इंतज़ाम	ɪ̃n̪t̪əd͡ʒä̃ːm
शस्त्र	ʃəs̪t̪ɾᵊ
सफ़ेद	s̪əfeːd̪
ब्याज	bjäːd͡ʒ
साफ	s̪äːpʰ
सर्वेक्षण	s̪əɾʋeːkʃə̃ɳ
फिसलना	pʰɪs̪əl̪n̪äː
गुदा	ɡʊd̪äː
स्वदेशी	s̪ʋəd̪eːʃiː
वंशज	ʋə̃n̪ʃəd͡ʒ
फ़िनलैंड	fɪ̃n̪l̪ɛ̃ːɳɖ
जनाज़ा	d͡ʒən̪äːzäː
घुड़सवारी	ɡʱʊɽs̪əʋäːɾɪː
अयस्	əjəs̪
जज़ीरा	d͡ʒəd͡ʒiːɾäː
जनता	d͡ʒə̃n̪t̪äː
स्वार्थी	s̪ʋäːɾt̪ʰiː
चूतिया	t͡ʃuːt̪ijäː
बंटना	bə̃ɳʈn̪äː
युद्धकाल	jʊd̪̚d̪ʱkäːl̪
फायदा	pʰäːjd̪äː
कल्पनादर्श	kəl̪pən̪äːd̪əɾʃ
अभियोजक	əbʱijoːd͡ʒək
ज्वार	d͡ʒʋäːɾ
तकिया	t̪əkijäː
कैंची	qɛ̃ːn̪t͡ʃiː
गांव	ɡä̃ːmw
संहिता	s̪ə̃ɦɪt̪äː
क्रेमलिन	kɾẽːml̪ɪ̃n̪
आटिचोक	äːʈɪt͡ʃoːk
अंशतः	ə̃n̪ʃt̪əɦ
डोलना	ɖoːl̪n̪äː
याचिका	jäːt͡ʃɪkäː
सुनवाई	s̪ʊ̃n̪wäːiː
खटमल	kʰəʈməl̪
अन्दर	ə̃n̪d̪əɾ
चट्टान	t͡ʃəʈ̚ʈä̃ːn̪
टूर्नामेंट	ʈuːɾn̪äːmẽːɳʈ
शाबाशी	ʃäːbäːʃiː
बाक़ायदा	bäːkäːjd̪äː
सौम्य	s̪ɔ̃ːmjᵊ
चाकू	t͡ʃäːkuː
चिराग़	t͡ʃɪɾäːɣ
आसार	äːs̪äːɾ
बर्ख़ास्त	bəɾkʰäːs̪t̪
रंगीला	ɾə̃ŋɡiːl̪äː
ख़िताब	kʰɪt̪äːb
चरागाह	t͡ʃəɾäːɡäːɦ
नौका	n̪ɔːkäː
रज़ाकार	ɾəzäːkäːɾ
मारना	mäːɾn̪äː
आशिष	äːʃɪʃ
जमीन	d͡ʒəmĩːn̪
राजमार्ग	ɾäːd͡ʒmäːɾɡ
अनुसरण	ən̪ʊs̪əɾə̃ɳ
बेबाक़	beːbäːk
खलनायक	kʰəl̪n̪äːjək
संस्कृति	s̪ə̃n̪s̪kɾɪt̪iː
चबाना	t͡ʃəbäːn̪äː
अर्जेंटीना	əɾd͡ʒẽːɳʈiːn̪äː
रक़म	ɾəqə̃m
शयनागार	ʃəjn̪äːɡäːɾ
क़बूल	kəbuːl̪
परवल	pəɾʋəl̪
चमस	t͡ʃəməs̪
संन्यास	s̪ə̃n̪n̪jäːs̪
पेन्सिलवेनिया	pẽːn̪s̪ɪl̪ʋeːn̪ijäː
मज़लूम	məzl̪ũːm
उत्तोलन	ʊt̪̚t̪oːl̪ə̃n̪
बासठ	bäːs̪əʈʰ
रक़्क़ासा	ɾək̚käːs̪äː
आक्रमणकारी	äːkɾəmə̃ɳkäːɾiː
कर्ता	kəɾt̪äː
रईस	ɾəiːs̪
समसामयिक	s̪ə̃ms̪ä̃ːmjɪk
बरक़रार	bəɾkəɾäːɾ
कार्यकुशल	käːɾjəkʊʃəl̪
पालक	päːl̪ək
शाकाहारी	ʃäːkäːɦäːɾiː
दस्यु	d̪əs̪juː
अभिकारक	əbʱɪkäːɾək
सिलसिला	s̪ɪl̪s̪ɪl̪äː
चौराहा	t͡ʃɔːɾäːɦäː
इकहत्तर	ɪkɦət̪̚t̪əɾ
पतंगबाज़	pət̪ə̃ŋɡbäːd͡ʒ
माँस	mä̃ːs̪
माशूक़	mäːʃuːk
कज़ाख़स्तान	kəzäːxəs̪t̪ä̃ːn̪
स्थानीय	s̪t̪ʰäːn̪iːjᵊ
सलाउद्दीन	s̪əl̪äːʊd̪̚d̪ĩːn̪
लिफ़ाफ़ा	l̪ɪpʰäːpʰäː
अटपटा	əʈpəʈäː
वंशवाद	ʋə̃n̪ʃʋäːd̪
नाथ	n̪äːt̪ʰ
राजनयिक	ɾäːd͡ʒn̪əjɪk
परिसंपत्ति	pəɾɪs̪ə̃mpət̪̚t̪iː
उबालना	ʊbäːl̪n̪äː
सृजन	s̪ɾɪd͡ʒə̃n̪
मूल्यांकन	muːl̪jä̃ːkə̃n̪
मालिक	mäːl̪ɪk
अशुद्धि	əʃʊd̪̚d̪ʱiː
दूना	d̪uːn̪äː
कोपचा	koːpt͡ʃäː
बरसी	bəɾs̪iː
कसूर	kəs̪uːɾ
पदवी	pəd̪wiː
वार्ता	ʋäːɾt̪äː
दवाई	d̪əʋäːiː
नहीं	n̪əɦĩː
शब्दसूची	ʃəbd̪s̪uːt͡ʃiː
अख़बारवाला	əxbäːɾʋäːl̪äː
लथपथ	l̪ət̪ʰpət̪ʰ
कबड्डी	kəbəɖ̚ɖiː
महत्वाकांक्षा	mɛɦɛt̪wäːkä̃ːkʃäː
नापना	n̪äːpn̪äː
पीलापन	piːl̪äːpə̃n̪
सर्वोपरि	s̪əɾʋoːpəɾiː
नोट	n̪oːʈ
ख़ालिक़	xäːl̪ɪq
स्नानागार	s̪n̪äːn̪äːɡäːɾ
साथी	s̪äːt̪ʰiː
प्रतिध्वनि	pɾət̪ɪd̪ʱʋən̪iː
नवरत्न	n̪əʋɾət̪̚n̪ᵊ
ग्वालियर	ɡʋäːl̪ijəɾ
सेहतमंद	s̪eːɦət̪mə̃n̪d̪
मंगल	mə̃ŋɡəl̪
बखान	bəkʰä̃ːn̪
सतलुज	s̪ət̪l̪ʊd͡ʒ
गैस	ɡæs̪
प्रशासिक	pɾəʃäːs̪ɪk
पंजीकृत	pə̃n̪d͡ʒiːkɾɪt̪
सुप्रभात	s̪ʊpɾəbʱäːt̪
ख़फ़ा	xəfäː
थाली	t̪ʰäːl̪iː
फ़िराक़	fɪɾäːq
निरस्त	n̪ɪɾəs̪t̪
कलोर	kəl̪oːɾ
गुस्ताख़ी	ɡʊs̪t̪äːxiː
हाज़िरजवाबी	ɦäːd͡ʒɪɾd͡ʒəʋäːbiː
असुविधाजनक	əs̪ʊʋɪd̪ʱäːd͡ʒən̪ək
स्थित	s̪t̪ʰɪt̪
किरदार	kɪɾd̪äːɾ
लोग	l̪oːɡ
सम्पादक	s̪ə̃mpäːd̪ək
झोंपड़ा	d͡ʒʱõːmpɽäː
परिणामस्वरूप	pəɾɪɳä̃ːms̪ʋəɾuːp
आज़माइश	äːzmäːɪʃ
रूसी	ɾuːs̪iː
तस्वीर	t̪əs̪ʋiːɾ
आगार	äːɡäːɾ
औसतन	ɔːs̪t̪ə̃n̪
पौने	pɔːn̪eː
तक़ाज़ा	t̪əkäːd͡ʒäː
क़व्वाली	kəʋʋäːl̪iː
सम्मेलन	s̪ə̃mmeːl̪ə̃n̪
फ़ानी	fäːn̪iː
तकलीफ़	t̪əkl̪iːf
अत्याचार	ət̪jäːt͡ʃäːɾ
कॉपीराइट	kɔpiːɾäːɪʈ
छुरा	t͡ʃʰʊɾäː
चटगांव	t͡ʃəʈɡä̃ːmw
रसगुल्ला	ɾəs̪ɡʊl̪l̪äː
विशेषण	ʋɪʃeːʃə̃ɳ
मजमा	məd͡ʒmäː
स्यंदन	s̪jə̃n̪d̪ə̃n̪
सूडान	s̪uːɖä̃ːn̪
डीज़ल	ɖiːd͡ʒəl̪
छुपाना	t͡ʃʰʊpäːn̪äː
अनिश्चित	ən̪ɪʃt͡ʃɪt̪
पक्ष	pəkʃ
टेढ़ापन	ʈeːɽʱäːpə̃n̪
थैंक्स	t̪ʰɛ̃ːŋks̪
क्वार्टज़	kwäːɾʈz
चतुराई	t͡ʃət̪ʊɾäːiː
अपना	əpn̪äː
रेख़्ता	ɾeːkʰt̪äː
तनहाई	t̪ə̃n̪ɦäːiː
इंडस्ट्री	ɪ̃ɳɖəs̪ʈɾiː
निजी	n̪ɪd͡ʒiː
हर्षित	ɦəɾʃɪt̪
मुताबिक	mʊt̪äːbɪq
आँकड़ा	ä̃ːkɽäː
मसि	məs̪iː
मज़ा	məzäː
पीतस	piːt̪əs̪
पोलैंड	poːl̪ɛ̃ːɳɖ
ख़म	kʰə̃m
दिसंबर	d̪ɪs̪ə̃mbəɾ
कुकुरमुत्ता	kʊkʊɾmʊt̪̚t̪äː
कनपेड़	kə̃n̪peːɽ
तराज़ू	t̪əɾäːd͡ʒuː
मेला	meːl̪äː
कामुकता	käːmʊkt̪äː
निर्देशक	n̪ɪɾd̪eːʃək
बाहर	bäːɦəɾ
ख़याल	kʰəjäːl̪
मध्यावधि	məd̪ʱjäːʋəd̪ʱiː
दिशानिर्देश	d̪ɪʃäːn̪ɪɾd̪eːʃ
निहाई	n̪ɪɦäːiː
अक़्लमंद	əkəl̪mə̃n̪d̪
माँझी	mä̃ːn̪d͡ʒʱiː
गुलशन	ɡʊl̪ʃə̃n̪
कुतरना	kʊt̪əɾn̪äː
अँगूठी	ə̃ŋɡuːʈʰiː
सितम	s̪ɪt̪ə̃m
खँखड़	kʰə̃ŋkʰəɽ
चिपचिपा	t͡ʃɪpt͡ʃɪpäː
काठमांडू	käːʈʰmä̃ːɳɖuː
अंगना	ə̃ŋɡən̪äː
श्रामणेर	ʃɾä̃ːmɳeːɾ
फ़ीसद	fiːs̪əd̪
निरीक्षक	n̪ɪɾiːkʃək
लेकिन	l̪eːkɪ̃n̪
मरम्मत	məɾə̃mmət̪
दाहिने	d̪äːɦɪn̪eː
वाइटफ़ील्ड	ʋäːɪʈpʰiːl̪ɖ
कांति	kä̃ːn̪t̪iː
युवा	jʊʋäː
बिचला	bɪt͡ʃl̪äː
विकास	ʋɪkäːs̪
अँकवैया	ə̃ŋkwə̯ijäː
रोपना	ɾoːpn̪äː
मुस्तक़बिल	mʊs̪t̪əkbɪl̪
स्नेह	s̪n̪eːɦ
पछाँई	pət͡ʃʰä̃ːiː
नखलिस्तान	n̪əxl̪ɪs̪t̪ä̃ːn̪
बरतना	bəɾət̪̚n̪äː
ख़ैरात	xɛːɾäːt̪
धाकड़	d̪ʱäːkəɽ
दीवानगी	d̪iːʋä̃ːn̪ɡiː
पहचान	pɛɦt͡ʃä̃ːn̪
कूड़ेदान	kuːɽeːd̪ä̃ːn̪
लोकसभा	l̪oːkəs̪bʱäː
करनी	kəɾn̪iː
माफ़	mäːf
आयाम	äːjä̃ːm
वेदांत	ʋeːd̪ä̃ːn̪t̪
विज़ारत	ʋɪzäːɾət̪
इस्तक़बाल	ɪs̪t̪əkbäːl̪
विवाह	ʋɪʋäːɦ
समझदार	s̪əməd͡ʒʱd̪äːɾ
उमा	ʊmäː
अनुमेय	ən̪ʊmeːj
स्वजन	s̪ʋəd͡ʒə̃n̪
अलोना	əl̪oːn̪äː
सख़्ती	s̪əxt̪iː
तस्दीक़	t̪əs̪d̪iːq
कुत्ती	kʊt̪̚t̪iː
डाक	ɖäːk
नाख़ून	n̪äːkʰũːn̪
फ़्लोरिडा	fl̪oːɾɪɖäː
राष्ट्रीय	ɾäːʃʈɾiːjᵊ
प्रश्नोत्तर	pɾəʃn̪oːt̪̚t̪əɾ
वारदात	ʋäːɾd̪äːt̪
वली	ʋəl̪iː
भ्राता	bʱɾäːt̪äː
बेगम	beːɡə̃m
प्रधानाचार्य	pɾəd̪ʱäːn̪äːt͡ʃäːɾjᵊ
मूंग	mũːŋɡ
प्रतापी	pɾət̪äːpiː
ख्वाब	kʰʋäːb
नफ़रत	n̪əfɾət̪
डाक्टर	ɖäːkʈəɾ
इस्टाम	ɪs̪ʈä̃ːm
फ़ैज़ाबाद	fɛːzäːbäːd̪
